ParlaMint-NO_2011-01-19.ana.ud2356e26	The representative, Dagrun Eriksen, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e834	I'm busy with the dangerous traffic situations that bad-boiled car combinations can create on the Norwegian road. There is an unsustainable situation in which both Norwegian and foreign drivers do not take due account of weather conditions. It also affects traffic disruption, with the costs involved. In the winter half of the year, a good grip for running gear is important for emergence and traffic safety on the Norwegian road. When events occur, the reason is often a combination of bad tyres, missing chains, inappropriate driving combinations and inexperienced drivers. The State Road Administration has stated that from 1 October to 15 December 2010 there have been 62 events that have resulted in road and/or car storage that are caused by heavy running gear on national and county roads in the north region. Of these 62 events, there were 22 with foreign vehicles, which corresponds to about 20 percent. 30 pst. of the total cases. The state Road Service has been focusing on the problems for years. A number of measures have been taken to prevent heavy goods vehicles from creating problems in winter traffic. The state road authority carries out targeted checks. It'll be, for example. focused specifically on running gear that is not suitable for winter running, which has bad tyres and/or missing chains. Driving gear with these defects will usually be banned and removed from traffic. Another problem is when heavy goods vehicles get stuck. In these situations, it is important that they are quickly removed from the road – this is due to traffic trends, but also to the most effective snow clearance. Experience in the south of the country in the winter of 2006/2007 shows that an important reason why they were unable to keep these roads open was fixed heavy-duty vehicles that prevent effective snow clearance. The state Road Service has learned that in some cases the removal of heavy running vehicles has taken a long time, including: because the drivers do not have the ability or the willingness to pay for the assignment, possibly the guarantee provided by the owner, freight forwarder or others. I am pleased to announce that the Road Traffic Act has recently been amended, so that the State Road Service is now allowed to remove running gear that has been used to prevent the appearance. Only the police had this right before. Now, it's easier for road traffic controllers to get on our roads quickly. This is, in my opinion, an important measure that has recently come into force, which we will see the effects of the outlying in the winter. In addition, let me stress that it is obvious that it falls on the individual, whether Norwegian or foreign, to shoe for adequate grip in relation to the handling.
ParlaMint-NO_2011-01-19.ana.ud2356e849	I thank you for your answer. It is true that many people feel a considerable uncertainty by laying out on Norwegian roads during the winter, precisely because we are still reading reports about too poorly-shoeed car combinations that also create dangerous situations for other road users. Not only do they create traffic jams by standing and blocking the road – they actually blocked the main entryways, so we saw in many reports in the Western newspapers last week – but it is the fear that something will happen to these poorly-shoeed car combinations that may occupy most. It is then gratifying that the Road Traffic Act has been amended to give you this home. Can the Council of State imagine returning to Stortinget and reporting on the impact this has had on this particular problem?
ParlaMint-NO_2011-01-19.ana.ud2356e856	That's the answer. I look with interest at the possible impact of this proposal. I did my part to bring the matter before the Stortinget. The Storting managed to change the law very quickly, and she was immediately also punished by the King, last Friday before Christmas. It means so much that the State Road Service has had this home for a short time. They need a little time to focus on practice. There's still some work to do before you can announce how this home works, but I'm looking forward to the results.
ParlaMint-NO_2011-01-19.ana.ud2356e861	I would like to thank you for the answer and for the fact that the Council of State addressed this matter, which, once again, occupies a great many. I also think that many people ask if there are strong enough sanctions against those who are not really doing it. It's an area in which it's certainly possible to do more. It will also help to improve the competitive situation of Norwegian vehicles, which are thus facing this situation on the roads: non-resident vehicles that do not handle Norwegian conditions properly. Earlier today, we have had a debate with the Prime Minister on road safety. Unfortunately, he would not accept an outstretched hand and create an action plan that could commit us all. The councils have previously suggested that she will think about it for herself. Could the Council of State say anything more about that?
ParlaMint-NO_2011-01-19.ana.ud2356e870	Let me say that, as Mr Halleraker knows very well, we have a comprehensive road safety plan, with actually 152 measures. So I have said that I will not reject any proposals that will contribute to better road safety, but let me now take advantage of the opportunity to invite Right to cooperate on what is called ‘route automatic traffic control’. Measurement of average speed is the measure now considered internationally to contribute to the highest efficiency in terms of road safety. We have now given green light to the State Road Service to implement 40 new sections in that area. There you can Right contribute - put away your resistance and set it up for you.
ParlaMint-NO_2011-01-19.ana.ud2356e877	I guess I won't get any more questions.
ParlaMint-NO_2011-01-19.ana.ud2356e882	I'm sure the representative Øyvind Halleraker doesn't. On the other hand, the representative Arne Sortevik will now have the floor, because we will move on to question 4, which is from the representative Arne Sortevik to the Minister for Transport.
ParlaMint-NO_2011-01-19.ana.ud2356e889	The question is: ‘Annually granted over the State budget. 1351 money for the purchase of passenger transport services by train. The total amount in 2011 is 2200 million. kr. In 2009, 40 pst. of the money used for transportation in the city and the county of Oslo. The three other major cities in Norway, Bergen, Stavanger and Trondheim have little railway network in their own city. Therefore, today’s scheme provides a significant special treatment for passenger transport in Oslo. Will the Council of State change this in such a way that the population of the largest cities is treated in a non-discriminatory way through the annual purchase of passenger transport by the State?’
ParlaMint-NO_2011-01-19.ana.ud2356e898	Public transport is currently organised in such a way that the county authorities are responsible for the operation of all local public transport, while the state is responsible for all passenger traffic on the State railway network. State transfers to state municipalities, among others the operation of local public transport is cleared of the budget of the Ministry of Local and Regional Affairs. The transfers are divided into counties according to fixed split keys to capture the differences in expenditure in the operation of the local public transport of the county. From 2005 onwards, the government has taken over priority municipalities and county councils by ensuring a strong growth in free income. These revenues, which consist mainly of frame payments and county tax revenues, finance, among other things. continuing school, country roads and local public transport. In 2011, the total level of free income of county municipalities is approximately 49.5 billion. kr. In 2005, the corresponding revenues were about 29 billion. kr. Although one takes into account price developments and more tasks, the growth in the loopholes of municipalities and county municipalities shows that the government is investing in local services – also in the other cities. In 2009, the county councils also had a total of 8 billion. kr for expenditure on scheduled operations over the county budget, an increase of 15 pst. from the previous year. The state licenses for the purchase of passenger services on the State railway network are given over to the Ministry of Transport's budget. It also includes local train services operated by NSB. Today there is a local train on the state railway network around all the largest cities in Norway. Unlike the local train around Bergen, Stavanger and Trondheim, the local train in Oslo on the state railway network is cross-border so that at the same time they meet a transport need in Akershus, Buskerud and Østfold. The railway is a specially integrated system. In general, I believe that transport needs need to be addressed by means of the modes of transport that are best suited in different parts of the country. The government’s right to purchase passenger services should thus not be dissociated from other rights to the state railway undertaking. We have a responsibility to manage our society's resources as best as possible, and we must then focus on how best to meet transport needs in different parts of the country. Norway is a long-distance country with scattered busses, and in many places the car or bus is better suited than the railway. Railway operation is particularly costly and best suited to transport many people in a short time between the central hub. In the case of rail passenger transport, the government of the current NTP commits to prioritizing the near traffic around the largest cities and train traffic on the InterCity routes in the Austland. In these areas, rail passenger transport has the largest market base and competitive edge.
ParlaMint-NO_2011-01-19.ana.ud2356e911	I would like to thank you for the answer, which describes today's system and illustrates the bias. On urban transport policy, the government itself in the NTP says that it is important to improve the opportunities to invest in local public transport. Better collective provision increases collective use. Will there then be historical conditions, long-term railway construction, which will be decisive for the purchase of public transport by the State in the four largest cities? In 2009, the reward scheme, which goes to public transport, mainly buses, was well over 300 million. kr. – half of the country used in 2009 to buy passenger transport services in Oslo. For travelers in the largest cities, it is important that it is a good collective offer. Whether it's a bus or a train is less important. For the travellers in Bergen, Stavanger and Trondheim, it is important that the state contributes, regardless of where there is a lot of railway, or where there is a lot of road.
ParlaMint-NO_2011-01-19.ana.ud2356e918	Let me say three things. First of all, when it comes to the reward scheme, Oslo will argue that they get too little of it. The reason for this is two-part, but I don't now use the time to do this. Secondly, let me say that collective action will increase the attention of the roll that we are carrying out, and that is in relation to the national transport plan. Thirdly, in 2009, the number of local train trips in the Oslo region was about 72 p.m. of all journeys by train in Norway. 40 pst. of the government's license went to purchase a local train in Oslo. So the supplement rate per trip in Oslo was $19. The corresponding allowance per trip in Trondheim was SEK 74, the local train in Stavanger was SEK 39, Bergen-Arna 22 and Bergen-Voss-Myrdal NOK 104.
ParlaMint-NO_2011-01-19.ana.ud2356e925	I thank you for your answer. And you can do this in a lot of ways. In 2009, the state spent almost 650 million. kr on urban passenger transport in Oslo. The mountains get less than 20 million. kr for its own urban section between Bergen and Arna. The distortion is obvious. If this is recalculated per capita, the country is buying per capita in Oslo for more than NOK 1 100, while in Bergen it is less than NOK 80. But the answer is clearly given twice – so it's the railway that's going to get more money. How will the government get speed on railway development in Bergen to, for example, the district of Åsane, with 45000 inhabitants, and to the airport of Flesland, which is the second largest airport in the country, so that the local railways in Bergen can be connected to a national network — also with the appropriations granted from the State to that railway network?
ParlaMint-NO_2011-01-19.ana.ud2356e932	Let me just repeat once that the supplement element here is very different per trip, i.e. 19 kroner per trip in Oslo, corresponding to 74 kroner per trip by local train in Trondheim, and by local train in Stavanger 39 kroner. The corresponding figure for Bergen-Arna is 22 and for Bergen-Voss-Myrdal 104. That means there's an additional element inside. So I think that when we think about the future, on the one hand we have to base ourselves on the transport network that fits best. On the other hand, we also need to consider, for example: the plans in place when it comes to the urban railways, as we have confirmed in the Soria Moria Declaration, that we should take care of our contribution to the county municipalities where it is relevant.
ParlaMint-NO_2011-01-19.ana.ud2356e943	I have the following questions for the Minister for Transport: ‘Exposed remote control of the Nordlandsbahn combined with the lack of staff on the part of the Railway Agency has caused serious delays for freight trains from Oslo to the end station in Bodø. Sometimes it's more than 50 pst. of this traffic more than four hours delayed, with the enormous negative logistical problems involved. Delays can be largely avoided if the railway works have a crew in place to ensure that the train stops are avoided. Will the Council of State, as soon as possible, ensure that such staffing is now deployed on the Nordlandsbanen?’
ParlaMint-NO_2011-01-19.ana.ud2356e952	Some freight trains on the Nordlandsbanen have had major delays in the last year. I have been informed by the Railway Agency that this is mainly due to the delay of trains from the freight terminal at Alnabru in Oslo. The exit from Alnabru may be up to three hours late in relation to the scheduled schedule. Delays from Alnabru due to train not being prepared at the agreed time according to the timetable. The main problems of Alnabru are mainly due to: Winter problems with vehicles that have to be cleaned and vehicles that have to be repaired in the workshop. It takes time to see these in traffic again because of the limited operational track space. It is easy to wait when several train operators want to switch at the same time due to limited space. Restrictions have been made in the use pattern due to requirements for shunting with air brakes on large parts of the terminal due to accidents on Alnabru/Sjur Island. When a train is delayed from Alnabru, this delay is usually left unchanged or increased on the way to Bodø. This is related to the fact that from Eidsvoll and northwards there is a single track, which means that the train can only cross at selected crossing stations depending on the distance of the train. The delayed trains cannot be checked as planned and the Railways must make a choice as to which trains should be given priority when crossing. The timetable process establishes the rule that a train on a route shall have priority when crossing over delayed trains. This means that freight trains delayed from Oslo are often delayed from Trondheim to Bodø. I have been informed by the Railway Agency that figures from December 2010 show that the delay on freight trains from Oslo to Bodø will be somewhat reduced on the Nordlandsbanen on the road to Bodø. The railway station has placed people at the crossing stations according to the timetable configuration. In the event of delays, the Railway Agency will consider the possibility of relocating people based on the crossing of trains. Such extrabetancing is carried out as far as it can be done and if it gives effect. Increased staffing alone cannot reduce delayed freight trains between Oslo and Bodø. In order to solve the problems, priority must be given to the preparation of the freight train to go from Alnabru, so that they are ready to go according to a defined timetable.
ParlaMint-NO_2011-01-19.ana.ud2356e975	I thank the Council of State for the answer. I think there is a need for a slightly more complementary response than what the Council of State is delivering today. The fact is that the railway system has been dismantled, while hoping that the remote control system – the Mercury system – would be in place. It's as well-known far from the case. Then the situation is that you have stepped down the crew, which means that trains stay standing for up to three hours in Trondheim. The consequence of not being able by the Railway Agency to have one person in place five hours a day during the week is that this reproduces and produces almost unmanageable ring-effects, which result in thousands of containers on the road network, which should not have been there, but which should have been on the railway. Will the Council of State take care to have one man in place at Bolna Station, for example, so that you can solve this problem?
ParlaMint-NO_2011-01-19.ana.ud2356e984	I have asked the Railway Agency to assume an overall responsibility for the collection of railway operations on the State railway network, and made it clear that it means that all actors are doing their best to ensure that the train traffic is on a route. It also applies to freight traffic and to the operation of freight terminals. Then it's planned to rebuild and expand the capacity of Alnabru. It is mentioned in the national transport plan. In the longer term it will help to make freight traffic between Oslo and Bodø more robust and less subject to delays. And so today, the Railway Agency lacks railway professional competence, which also includes train agents. The railway works have a high priority in developing and recruiting the necessary professional skills. So Ivar Kristiansen very well knows that something of the last Right did when they left the government, was cut right into the railroad tracks. They're now solid on the way up again.
ParlaMint-NO_2011-01-19.ana.ud2356e993	The last blatant remark from the Council of State I choose to hear. This does not solve the problem of a large transport industry in Norway. Now we see that Schenker chooses to drive trains through Sweden, we see that CargoNet transports 600 000 containers each year on the railway body. This destroys the trust of a system that gets almost the billions they point to. This is the case in the case of the Nordlandsban and the trust in a chartering system to have one person in place five hours five days a week. Then I expect the Council of State, given this bottleneck, to take a new initiative to ensure that the crew is put in place, when the remote control system is not in place. For the Council of State knows even better than I do that the consequence is that we get thousands of new car trains on the road network, at any time anyone should have made sure that the containers were included in the railway system infrastructure.
ParlaMint-NO_2011-01-19.ana.ud2356e1000	The goal of the government is to get more goods on the path. And that's also what makes us just on the verge of organizing more for it. Of course, it's about both vows and competences, and it can be about other matters. One could call it "sleivspark", but we've increased the permissions of the railway by a total of 67 pst. The hour we have been in government. In any case, this has meant that we have both been able to clean ballast and provide for both maintenance, renewal and new tracks, and we have planned something more in the longer term – among others. Ofotbanen is a success in the context of goods. But let me underline: I take with me this question about a person in place in the right time back to the Railway Agency. I know that the Railway Agency is currently struggling with a lack of competence, but I take it with me.
ParlaMint-NO_2011-01-19.ana.ud2356e1011	‘For women with housing address in the municipality of Fusa, children are expected. She passed the semester, and on January 4th this year, the water went. She was then sent to the Women's Clinic in Bergen. After an investigation where she was sent home with a message that if the birth starts tonight, you have to call for an ambulance. When a woman felt insecure about ferries that did not go at night, she asked for accommodation, which she did not get, then the doctor replied that it was not economic for. Does the Council of State think that one can use the economy rather than the security of individuals in this situation?’
ParlaMint-NO_2011-01-19.ana.ud2356e1018	I do not know the matter that is raised here. However, I understand that the woman experienced insecurity in a vulnerable situation. Of course, economics is not a valid reason when medical conditions require a woman to stay close to the place of birth. If a doctor has made such a statement on the matter, the matter should be referred to the health undertaking concerned as a complaint, possibly referred to the State Health Authority. Many birthers live near the birthplace before birth. There may be several reasons for this, including: distance between home and place of birth, communication, weather and medical conditions. All these conditions must be considered as the woman approaches the time of birth. Pregnancy at risk of complications is often taken in good time before birth if they have a long journey. It is the medical evaluation and safety requirement that are essential when health professionals make decisions relating to the individual patient. If it was medically justified that the woman had to stay near the hospital, the hospital should have either put her in the Women's Clinic or in the patient's hotel. If the birther is admitted, this is of course free of charge for the woman. In such cases there shall be medical needs and the requirement of soundness to be decisive, not economic considerations.
ParlaMint-NO_2011-01-19.ana.ud2356e1029	I thank you for your answer. I'm glad that the council thinks one should take care of the woman and her security. But, sadly, in this case, the will and practice are not exactly what follow each other. The woman traveled home as there was no room for her in the hostel, and, as it was said, it cost too much. The birth started on the morning noise, and when they called the women's clinic to get an ambulance, there was a new no. The reason was that this cost NOK 20 000. Is it acceptable for the Council of State that the costs of using ambulances are used as an argument that they will get a no again?
ParlaMint-NO_2011-01-19.ana.ud2356e1036	It's hard to comment on individual matters. But if that's the way it's referred to, that the economy has been used and it wasn't fair for this woman to go home from the hospital in the first place, or not have access to the ambulance, it's obviously not acceptable. I believe that this matter must therefore be brought up by this woman with the hospital and, where appropriate, with the health care department in the county. They are the ones who should have complaints when patients believe they have not received the treatment they claim and are entitled to.
ParlaMint-NO_2011-01-19.ana.ud2356e1041	I thank you again for your answer. History continues that the coming father became frustrated and angry, most certainly because of an unsafe situation. He's calling the police's emergency number. An ambulance is sent here, but the child is still born in ferjekaia without a doctor or a health care professional present. Luckily, it went fine. So here, the police are able to evaluate the situation in a more health-friendly way than the health services themselves, and without talking about economics. Is the Minister satisfied that one is getting such a situation in the country? Will the Minister do something about this?
ParlaMint-NO_2011-01-19.ana.ud2356e1048	Of course, it is not the case that the economy should stand in the way of sound treatment. I believe that everyone who is born has a right to safety when they are in a birth situation. That's also why I say that if this case is correctly referred to for me, it is not acceptable that the economy is ahead of security. It must always be such that first account must be taken of the proper treatment, care and safety of a birth situation before any economic discussion is undertaken.
ParlaMint-NO_2011-01-19.ana.ud2356e1057	‘After waiting six weeks for MR, a patient was diagnosed with a brain tumor of 2 cm, and in MR study 17 days later the tumour had grown to 2.3 cm. The increase led to radiation being no longer a current treatment. Time for operation in Bergen was set at February 15, i.e. a new waiting time of 39 days. The patient has severe pain and is put on Tegretol and signs of deterioration in health. What does the Council of State think that patients with growing brain tumors and severe pain should have to wait so long for treatment?’
ParlaMint-NO_2011-01-19.ana.ud2356e1064	It is not acceptable that patients with a suspected serious illness have a long waiting period for investigation or treatment. Time for examination and treatment for each patient shall always be considered in relation to the requirement of soundness. It is not possible for me to comment on the medical assessments referred to in the question from the representative Giltun. However, I have been in contact with Health West RHF, who has assured that investigation and diagnostic clearance will be within medically acceptable deadlines. I have requested in the 2011 mission document that the waiting times in the specialist health service be reduced. Current measures to reduce waiting time may include increased investigative capacity and use of private actors where this helps to reduce waiting times in a cost-effective way. We follow up on the efforts of regional health businesses to reduce waiting times for treatment and intensify their follow-up as we have done in the economic field. Regional health enterprises shall report monthly waiting times to the Ministry of Health from 2011. We've also asked the Health Directorate to facilitate the publication of historical waiting times in the cancer field. In May 2010, the State Health Authority presented a report on the risk profile of Norwegian cancer treatment. The report identifies and describes a number of risk factors in the contact of healthcare companies with cancer patients, including investigational logistics, information flows, continuity of treatment and complication monitoring. Regional health enterprises were asked in the revised 2010 mission paper to base this report on their further efforts to improve the quality of service. We have also requested in the 2011 mission document that the follow-up to the Health Authority reports should have a greater focus. In 2011, particular attention shall be paid to health surveillance reports on the risk profile of Norwegian cancer treatment. The improvement of the quality of the service shall be based on the Health Authority’s report, with particular emphasis on the three main risk areas of the report: investigation logistics, information flow and complication monitoring.
ParlaMint-NO_2011-01-19.ana.ud2356e1077	Clearly, with regard to proper waiting time, first and foremost life and death are taken into account. What is not taken into account, in this case at least, is the development of the disease, what the patient suffers from secondary diseases and plagues, drug use, which is often addictive, psychological strain on both patients and relatives, and a long absence from work. It costs socio-economically, and it costs a lot of suffering and frustration for the patient every day. My question is: will the Council of State ensure that something can be called the ideal time of treatment for this type of suffering? It's predictable, kind of, how many cases you get of brain tumors per year. It should be fully possible to adjust the treatment capacity so that there was no more than absolutely necessary waiting time to prepare for such treatment.
ParlaMint-NO_2011-01-19.ana.ud2356e1084	Once again, it is often difficult to discuss a single matter when you do not know everything behind the individual case. But in general, I would like to repeat what I have said in the introduction, that it is not acceptable that patients with a suspicion of serious illness have a long waiting period for investigation or treatment. This waiting time, both for investigation and treatment, must be assessed on the basis of the individual patient and also on the basis of what the doctor considers to be a reasonable waiting time. That's the starting point. That's why it's so hard to make one state a general question in the Storting, because I'm a politician, not medically responsible. I have to assume that the medically responsible also make medically responsible assessments.
ParlaMint-NO_2011-01-19.ana.ud2356e1091	In 2008, there was a change in the practice of MR studies, which resulted in a very large number of waiting hours. So this patient waited six weeks. In the past, you would be able to get the investigation faster. Doctors, i.e. doctors, are unable to make a diagnosis until you have been examined. It is bombed in about half of the cases where cancer is detected. It won't be revealed until you get the MR study. So it could have been avoided by keeping old practice, with shorter waiting time for MR. In France, there is no waiting time for treatment beyond the time it takes to determine before treatment, i.e. the necessary investigations to be carried out by the patient. Waiting time is an unnecessary evil. And it doesn't cost less to treat a patient who's been waiting for several weeks for treatment, rather, on the contrary, the patient has suffered a lot more, while having a period of illness. The socio-economic calculation will be very expensive if you don't change this now and go away from ‘responsible’ waiting time and maybe start going for ‘ideal’ waiting time, especially in cases like this. What does the Council of State think of that?
ParlaMint-NO_2011-01-19.ana.ud2356e1100	As I also said in my answer, I am very concerned to bring down the waiting times and would like to receive all the good suggestions to get that time down. I have also said that it is important that we use private actors to reduce the waiting time if the public health service or those with whom we have an agreement are not able to deal within a reasonable time. We will follow up this case because it is very special. But I would like to stress that it is very difficult to have a discussion and answer a question in Stortinget on the basis of one particular matter, which I know no more than what is in question.
ParlaMint-NO_2011-01-19.ana.ud2356e1111	‘Last week, several alarming issues have arisen regarding the impact on patients of the implementation of the capital process. Reference is made to the Stortinges interpellation debate on this topic. Does the State Council consider that the results so far show that these changes take place at a pace that ensures that patient safety and quality are not affected?’
ParlaMint-NO_2011-01-19.ana.ud2356e1118	At the turn of the year, local hospital responsibility for the population of the city of Alna in Oslo and in the municipalities of Follo was transferred from Oslo University Hospital to Akershu University Hospital. This means an increase in the population base of 160,000 people for Ahus. Health South-East has followed the process closely, in order to ensure that patients have a proper service offer both in terms of capacity and quality. As is known, adapted manning and competence have been an identified risk factor in the process. But during the fall, Aarhus recruited and added staff in most of the positions. Therefore, the assessment was that Aarhus would handle the increased patient base properly from the turn of the year. In recent times it has been reported that the capacity of Ahus is challenged and that they have problems with Corridor Asians. According to Health South-East, the situation at Aarhus is primarily a consequence of seasonal viral infections and increased influenza activity. The other health establishments in the region report similar challenges. This is therefore a challenge not only for Aarhus, but for several health businesses in the region — at this time of the year. For Aarhus, however, the situation is extra demanding because they have many new employees who need extensive training in systems, procedures and equipment. In order to remedy the situation of Aarhus in a transitional phase, Health South-East must make appropriate use of the overall capacity of health establishments in the region. I have asked Health South-East to monitor and report specifically the development of Aarhus, both in terms of the number of patients admitted and the number of Corridor Asians. That is why I have received such reports every day. Position in the corridor is not acceptable, and there should not normally be patients located on the corridor, as I also point out in the mission document. For most patients, therefore, placement in the corridor will be a short-term solution while the patient is waiting for the regular bed area to become available. I am aware that Ahus has taken action to avoid Corridor Asians, among others. by ensuring a more even distribution of patients across the different bed areas. In addition, Health South-East will ensure that all healthcare businesses in the region routinely make medical professional judgements as to which patients can be briefly placed in the corridor, pending normal beds. I am also aware that the Health Authority in Oslo and Akershus is closely following the situation at Aarhus. The consideration of patients and the quality of patient treatment is the most important thing, we agree on that. Health South-East reports that the incidence of patients with seasonal diseases has recently been somewhat lower, including in Aarhus. Despite a large proportion of seasonal diseases, Health South-East has assured them that they will follow the situation so that the population of the metropolitan area can be confident that they have access to a sound and good service provision.
ParlaMint-NO_2011-01-19.ana.ud2356e1133	In the interpellation debate on this as Stortinget held on 12 October last, bearing in mind that the undersigned were concerned that the Minister for Health did not have sufficient quality assurance and follow-up to the processes to be carried out, the Minister for Health replied: ‘However, regardless of these challenges, Health South-East has assured me that no patients will be transferred from Oslo University Hospital to Aarhus until there is certainty that patients will receive at least an equally good service offer from Aarhus.’ Does the Minister of Health feel that the situations described by Ahus satisfy the criterion that the Minister of Health then withdrew and that the Stortinge agreed, namely that it would not be transferred to patients until it was certain that the patients would receive at least as good a service at Ahus as what they had before the process started?
ParlaMint-NO_2011-01-19.ana.ud2356e1143	It has of course been the starting point that they should have an equally good offer. Then I have also tried in my answer to say that there has been increased activity of influenza. You also have to take that into account this time of year, it's not just for this year. But this has been the situation in all the hospitals. All hospitals have the same attendance. Not least on the basis of the media releases that came well a week ago, we have followed this situation very closely – had daily contact with Health South-East, received daily reports of Corridor Asians, asked for the use of the free beds that, after all, have been in the hospital. It may be that things could have been done better, but it has been important that those who have remained in the corridor, perhaps because they have come in late in the day, have not been lying down longer than what has been proper. Then I would also say, as I said, and as we are familiar with, that the Health Authority is also closely following this situation. It will be easier to evaluate the situation in retrospect.
ParlaMint-NO_2011-01-19.ana.ud2356e1150	The county doctor said on TV 2 yesterday that he was concerned about the situation and demanded daily reports from Aarhus. There have been examples of patients receiving a treatment that I do not think is satisfactory. We see that Aarhus is now very dependent on temporary employees, employees who are necessarily not well-informed in the routines of the individual department, and to pick up personnel from other hospitals, including office staff from their own businesses, into the healthcare system. We know that exactly that kind of organisational challenges create uncertainty about the quality of services. Does the Minister of Health and Health now feel that she has a good enough overview of this process and that Health South-East is in control of this, which can in many ways be described as the largest reorganisation in the healthcare system that directly affects patients?
ParlaMint-NO_2011-01-19.ana.ud2356e1159	It's the way Health South-East sees their hospitals in the context in order to provide the same safe offer to the patients in the region. It's working very actively. The health workforce, both at Aarhus and at other hospitals in the Oslo region, is now around the clock to help patients, because there is a special situation. There have been a lot of instant help insertions, not least on the basis of influenza. Last year, the influenza epidemic was on the way back. This year it has been very strong. I believe that of course there is something that you have to be able to take into account. But there is no doubt that there has been a situation where the patient base has increased to Ahus. Still, we're following the situation, and it's very reassuring that the Health Authority is following the situation in Aarhus, because it's supposed to be the way patients should be in safe hands.
ParlaMint-NO_2011-01-19.ana.ud2356e1171	The question to the Minister for Health is: «The case of the little boy who has the disease APVS has been causing strong reactions for a long time. The parents of the boy have long claimed that a treatment method in the United States will give him the best offer. Nevertheless, the family is denied reimbursement for the treatment that can help this little boy. Why does the Council of State not change the legislation so that the boy gets help, and what does one really have to lose in this matter trying to treat in the United States?’
ParlaMint-NO_2011-01-19.ana.ud2356e1180	Discussion of medical treatment services for a small child with a serious illness from the Stockholm pulpit is demanding, primarily for the child, but also for the parents and health professionals who take decisions in line with the decision of the Stortinget. As Minister of Health and Health, I cannot intervene or comment on professional assessments by a hospital or a regional health company in the handling of individual cases. The Patient Rights Act § 2-1, fifth paragraph specifies the conditions under which a patient is entitled to treatment abroad. It is held, among other things: the severity of the condition, the expected benefit of the treatment, the cost of the treatment must be proportionate to the benefits of the treatment and the absence of an adapted medical treatment offer in Norway. The professional assessment in the individual case of entitlement to treatment abroad and, where appropriate, the duration of treatment and follow-up is the responsibility of the regional health undertaking. Decisions on applications for treatment abroad may be appealed against to a separate complaint board for treatment abroad. The decision of the Judge is final, but may be referred to the courts in the usual manner. The then Ministry of Social Affairs and Health was the complaint body for individual cases before the complaint topic was established in 1999. Experience has shown that some complaints were raised through a lawyer and that the complaint scheme could favour the most resource-intensive. The establishment of a judicial appeal body for appeals against decisions on applications for treatment abroad was based on the principle of legal certainty and non-discrimination. A unanimous rise joined the proposal. I do not want to go back to the previous model where the department was the complaint body. Such a scheme has a number of fundamental weaknesses and conflicts with my responsibility for the exercise of sectoral policies in the responsibility of the Ministry of Health and Welfare. An appeal body which cannot be audited by the administration is the best guarantee of non-discrimination.
ParlaMint-NO_2011-01-19.ana.ud2356e1191	The Council of State says that it is demanding to deal with individual cases in Stortinget. Yes, it is demanding for parents to also get in touch and dialogue with the Council of State. There is some reason why the cases come here to this hall. Because it's hard for people to get in touch with senior health officials. Earlier today, in reply to the representative, Laila Marie Reiertsen, the Council of State said that, of course, it should not be on the economy for proper treatment. Jonas' heart failure is very special, and it's complicated. He is one of three known cases throughout the world that have this disease, and the main heart defect, the APVS, is just part of the disease image. There are only a few children born with APVS in Norway, and several of them are now dead. Doctors in the United States say it's urgent to give Jonas help. Why doesn't Jonas get the best medical help? Here it's actually about living or not living, and not least about the quality of life of a family and a very sick child. I will continue to challenge the Council of State: Why can't the Council of State at least look at the possibility of having a dialogue, to get some of the issues that the family is experiencing when you're not being taken seriously in the health sector?
ParlaMint-NO_2011-01-19.ana.ud2356e1200	I don't know, but it's possible that these parents have written me a letter. I am trying both to read these and to answer all those who address me to my office, and there are many. Clearly, many individual creatures are difficult and heartbreaking. I have no problem at all in understanding desperate parents who are fighting for their son. But at the same time, the question here is not about the individual case. That's really why I don't want to change the system. I don't think you had good experience with the system before. That's exactly why it was changed. You always have to be awake to be able to change again if there's good reason for that. But the fact that you have medical responsibilities that go through the matter again and again must be more reassuring than that it should be up to politicians who are in the department or at the Stortinget.
ParlaMint-NO_2011-01-19.ana.ud2356e1207	I think it's good that there are also medical reasons why you do what you do, but it's not like in Norway you have the highest level of competence in all areas. I might think you don't have that in Norway. You might also want to listen to advice from foreign experts, who say that it is actually possible to help. When it comes to attempts from that family to enter into dialogue with the Council of State, it has been tried – I think – by letter, and they have tried to meet on the outside of the Ministry of Health, but there has been an incredible wall to enter into dialogue with the Council of State. That is why we are now being asked to address the kind of issues here in this room, because it is difficult to get in touch with those who are most responsible, and those who can actually make decisions that allow families and children to receive treatment abroad as well. It's a very rigid system, and there's a lot of health companies that are very critical to provide that kind of treatment, because it goes into the budgets of the different companies. That is what this matter is all about. I really hope that the Council of State will go into the matter and see if you can provide the help the family has a right to and should get.
ParlaMint-NO_2011-01-19.ana.ud2356e1216	It is right, as the representative Hoksrud says, that we do not have the best skills in Norway in all areas. This is precisely why Norwegian hospitals and Norwegian specialists also use to refer to other countries if they believe that a better offer can be made here. This should always be clear, because it is clear that the concern for the individual patient must come first, but those assessments – again – must be made by the responsible treating physician. When it comes to the question of whether I want to change the system, I actually believe that the way you have it today, where there is a name where you can complain about the decision, and you also have the right to get other opinions and studies, is important, and it's going to take care of patients in a good way. But it is clear that I am concerned that the patient should receive the best treatment.
