ParlaMint-NO_2011-05-05.ana.ud1933e53	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2011-05-05.ana.ud1933e955	First, I would like to say that it is very good to hear an article that is not a typical politician's post, which I think the representative Henriksen held when she held her opening post. It was a deep, honest and good post that we need more of in this room. This is an incredibly important topic. So as many people have been involved, there are several victims in a criminal case. Not only is the victim subject to crime, but relatives and children are indirect victims by putting Mom or Dad in prison. Life behind the walls is in many ways still, but it definitely does not make life outside. If you have committed a criminal act, it means that you have done a criminal act and have to take responsibility for it. But that doesn't necessarily mean that you're a cruel person on absolutely every other level, for example. not as a parent. Several have indicated that voluntary and non-profit organisations in this field are doing a great job – several of them are in the gallery. In some cases, they also do a job that the authorities should actually do to restore prisoners, trying to keep some of the networks they have, or trying to get outside. Although the increase in recent years has been good, it's like a lot of these live from hand to mouth every year. A little cheaply, it sometimes sounds as if they have to work for 100,000 kroner to apply for 150000 kroner afterwards. So you can sometimes ask questions about how we prioritise between public and private. While it's okay to get large sums into the big public systems, it's extremely difficult sometimes to get half a million more things that we know work, for example. to help children by prisoners in Norwegian prisons. Children are totally innocent if Dad or Mom are in prison. But otherwise in society, very few treat these children as completely innocent. There are many examples from school, kindergarten and other places that we adults say, "From that family there, yes, something else could almost not be expected." And when, for example, Children in kindergarten become unactive or quarrelling at school, we can say, the apple doesn't fall far from the trunk. After all, the father or mother is in prison. It kind of explains everything. Then, as pointed out by the interpellant, it becomes a self-fulfilling prophecy. The child becomes exactly the child that someone thought it was, because it happens to have a mother or father who has done something stupid, something serious, and is in prison. So attitudes to fellow humans apply to everyone. It's about school, about health care, child protection and every one of us, that we don't demonize people, neither in public debate nor in conversations, and that we sometimes think that there are people who have done a criminal act, but that they in 90 pst. of their lives are not completely destroyed or shaken people, but people who actually deserve respect that they are human beings and not just prisoners. For almost six years I have heard, for example. The Fangers Retirement Association is broadly the same every year. There have been allocations. But I want to go back to the point and challenge a little bit about how we're going to get a better balance between what's happening in the clean and cutting criminal care system, and not least in the direction of volunteers. Without strengthening the volunteers and those who work with an additional 'illegal responsibility', we will never succeed in creating safer societies for children of prisoners or a better society for those who are imprisoned and to be repatriated to society. Safe people, what is it? Safe people are the ones who feel safe on themselves. Safe people are the ones who are safe with other people. And how do we get safe? Most of us become confident that we have a family that looks after us, that we're pretty good at school, that we have cultural opportunities around us, and that we're able to handle everyday life. Very few of the prisoners in Norwegian prisons do just that. But a prerequisite for building a safe person from the ground up there is that they have the opportunity to have contact with those who stand them – most likely – all, most closely, and that the children, who are innocent victims, have the opportunity to keep in touch. In such a debate, it is quick that we are all touched by our own words. We think we're saying very well, that children are important and so on. That's why it's incredibly important that we don't just let it go with words that we think it's very nice that this case is going to travel, but that we actually jointly raise this debate to where it belongs, so that we don't just feel a lot, but that we do a lot too. I want to end by saying that the red-green government has full support from absolutely all the parties here in the hall, including the Right Party and the Advance Party. I fully agree that it is not really appropriate to come up with the kind of fracturing devices that we are talking about, as the representative of Håheim did. It was quite unnecessary, not least because the representative's own party thinks it's quite okay to use cracks, or so-called pavilions, in the case of school buildings where there's a lack of capacity.
ParlaMint-NO_2011-05-05.ana.ud1933e976	This is an important debate, and we must be very careful, but it must nevertheless be allowed to point out political disagreements in this area as well. Let me start by thanking the interpellant for the initiative. I feel that there is a far greater and positive focus on the situation of the prisoners' children today than a few years ago. Let me also praise all the volunteers who do a great job for these children, and therefore also for people who are in prison. We know that children come innocent in a situation where father or mother — mostly father — has to go to prison. And we know that in many situations the condemned one has bad advice, is poorly socially integrated, it's drug abuse, and he has a dysfunctional family from before. When Father has to go to prison, all this is reinforced for children. In our society, we count almost everything and have an overview of almost everything, except for one thing, and that's how many children have fathers in prison, and vice versa – how many fathers have children outside prison. It's important to get an overview, because if we don't know how many children are out there, we can't help parents and children to stay in close contact with each other. We know that it is important primarily for the children – this is a right-holders issue – and that the contact between the children and the parents can affect the choice and progress of the prisoner. That's why I think it's important that we manage to get an overview of how many children have fathers in prison, and use this in the further work. It's doing a very good job around in our prisons. Bergen and Ringerijk are very good examples of how to facilitate good contact between the prisoner and his or her child. Other prisons should learn from and move on with this. We have Dad in prison, a program that a lot of prison uses, and those who don't use it should learn something from. I agree that we should look at how one person can be responsible for following up on children's realization of their rights. There we have good examples from Sweden, and we should look at that and learn something from it. It is important that we know what rights children have, and that someone then makes sure that those rights are realised. Many prisoners have poor advice in the first place. When Dad suddenly gets in, the bad economy gets further strengthened. Then it will be difficult for very many children and families to visit this father, who is largely in a prison far away from the T-course on Sinsen, to say it like that. It costs a lot of money to visit Dad and realize a right. Again: I think we should be able to look forward to this. It's very good that there's a lot of focus on children. They deserve it absolutely, and the families do it. But it's more than the children and the absolutely closest family, that is. The spouse, we should spend time on and focus on how they are doing, for example. mothers who have their sons in prison. It's an equal feeling for a mother of a son to experience that the child is behind the prison walls. And all of this we have to look at in two perspectives. One is the people behind the prison walls. They're people, they have needs, they have desires, and they're going to come back to society. That's the other thing, to make sure they have good contact with their family. It affects their choices in a positive direction, and it gives us two gains: that this human being, hopefully, makes the right choices for his own life, and that there will be a better person when he, basically, comes back to our society – because that's what he's going to do.
ParlaMint-NO_2011-05-05.ana.ud1933e995	The interpellant takes on a very important theme. Prisoning is a burden on the prison itself, but children in prison may feel at least as bad. Criminal services should not only be punishable, but also, to a large extent, prevent them from returning later. These are tried in many different ways, depending on the problems and needs of the individual groups. The last paragraph of the word "criminal care" points out that we have to keep in mind that we are dealing with vulnerable people. So it's not just about punishing, it's about caring. Of course, all adults in prison are not vulnerable. There are some hardcore criminals. But most deployments – and their relatives not least – benefit and need positive follow-up by both their closest and public authorities. Many inmates have kids, and when they are released, they should be parents for these kids. Volunteer organisations make a tremendous effort to make the transition easier. The Minister of Justice has already highlighted important measures for young people who have parents in prison and for those who are in prison, which can improve their ability to be good parents. One should not stigmatise by claiming that the majority of prison sentences and prisons in Norway are poor parents, but sometimes have a great potential for improvement. Better young people and their follow-up will serve at least two purposes: first, to improve their quality of life if they escape insecurity and feel ashamed of the situation here and now. Secondly, it can prevent some children of inmates from becoming criminals themselves. Good growth conditions are important to prevent a criminal loophole. Often we now know that psychiatry and rushes are inside the image. Our international obligations through the Children's Convention give children equal rights to other kids to have contact with their parents. Of course, there are practical obstacles to this, but it is evident that we can facilitate better contact between children and prison parents. I can't see that the rehabilitation work during a prison stay will be easier if they are deployed and their children experience a lot of problems, rarely can they talk on the phone and meet under low-proprietary conditions. Good measures have been taken here, but more can certainly be done. But here I share Mr. Örsal Johansen's thoughts on right of cohabitation after killing and special situations. There is something that needs to be assessed separately. Finally, I would like to point out that the Minister of Justice will assess the child custodians in all prisons. I think that's a good idea. We'll be a long step forward if the perspective of children's best becomes an integral part of the thinking of criminal services.
ParlaMint-NO_2011-05-05.ana.ud1933e1010	Thank you to the debaters who have spoken on this matter. I think it's been a very good debate. It shows that these are important issues, which I also heard were mentioned in the previous case, on which we largely agree, but which are nevertheless important to debate in the Stortinget. The Minister of Justice was concerned with this with resources – and I support him on it. The experience he's referring to shows that there's a lot to do with little. It's not always that calls for more money, more people and better resources are necessary to get quite far. In Kristiansand, they have already begun work on planning a child contact in prison. They do because they see that it's important, and they see that it gives good results. They also see that it is necessary to rehabilitate those who are going to have their punishment, but also in view of the children, so that they will not suffer later. The representatives of Håheim, Oktay Dahl and Klinge were concerned about this with rehabilitation in the fields of crime, drug addiction, mental health, and also the link to working life, and more were involved in the poor living conditions. It is clear that when the prisoners have little connection with the working life, they lose the opportunity to create their own values and values for their family. Although we agree on most things, I believe that the red-green policy of working life will be much better for both prisoners and the family of prisoners in real life. So Ørsal Johansen drew up a very important point, and that's all of the dilemmas that criminal care is affected by -- the relationship between parents and children, the relationship between spouses, and justice within prisons. It's hard, but that doesn't mean we don't have to do anything. Justice is not for me that everyone is treated the same, but that they are treated according to the needs of the individual. The representative Chaudhry was involved with this with registration and the relationship perspective in a further setting. It's also important to get involved, but at the same time I think it's important to start at one end. So I'm just going to give a tip: when I was working in the sector and I asked people when they came into our clinic about how many children they had, the mothers said exactly the number of children, but the fathers ignored. As we went deeper into it, it turned out that the fathers had a notion that when they were asked about how many children they had, it was they who cared for, but not those to whom they were father. It's just a tip to ask correctly when you're going to register. Then I'm going to end by supporting Octay Dahl and saying as you say in the South: it's not just good to say hallelujah – we have to do it too.
ParlaMint-NO_2011-05-05.ana.ud1933e1028	I also fully agree that saying hallelujah can be nice, but we have to do it too. In fact, a cross-political majority in this Chamber has largely supported the measures outlined in St.meld. No 37 for 2007–08, also in budgetary terms, when it has been decided to implement fully concrete measures. However, it is no more than to read the measures in the Storing Communication in order to see that there are several measures outlined there that remain in this work. This debate can, of course, help put pressure on it. In the debate, there were questions about the grant scheme and the economy for those living with one in the family who are in prison. The government chose to propose extended child welfare for those outside – it should be a good contribution. This also applies to what I have mentioned about the visiting rooms and houses. It is a cross of thought that when we took over in 2005, and got the difficult project Halden prison on the table, which finally cost 1.3 billion. So it was a piece that had been taken out to make it a little bit more reasonable, and it was the visitation home. Now we got it back in, but it says a little bit about what you prioritize when it comes to the piece – and when it's done hallelujah, to say it like that. So this is a debate and a side of criminal justice that we need to have the greatest possible pressure to implement the proposals in St.meld. No 37 — in addition to having a child-responsor in prisons. Finally, I would like to stress that the entire criminal policy must bear this in mind. That is why I would like to point out in particular the alternative criminal responses we have, where we have the opportunity to ensure that relatives and children have contact, especially in the case of shorter prison sentences, and that this contact is not disrupted. A 14-year-old boy who was subjected to violence by his father – he was a direct victim of the sea – was referred to the Trondheim conflict council, in that family violence project there, which is very good. He was asked what he wanted. He was a direct victim and also a child. He did not want Dad to go to prison, sail if most of us would immediately think it when someone commits violence against children, and he replied that what he wanted was that the family would function again. So it's important to keep in mind that we're thinking about alternative criminal reactions. I take with me the signals that have arrived in Stortinget today. They're good to have when we're going to design new laws. I hope to come back quickly, so that we among other things. have a change in the direction of getting child-responsors in Norwegian prisons.
ParlaMint-NO_2011-05-05.ana.ud1933e1041	Then there's case no. 2 completed.
ParlaMint-NO_2011-05-05.ana.ud1933e1057	I have been chosen to represent those who vote for me. That is why, today, I am going to build the case on a number of individual cases, but my questions to the Council of State should be of a general nature. I want to start with the following example: On 24 January this year I get an e-mail from a desperate woman. She's a Norwegian citizen, but she's married and has two children with a foreign man. She writes to me because her husband is now expelled. His crime is that he has worked and paid taxes in Norway illegally. So he has worked without a work permit. The wife writes that in four years' time the daughter has begun to become a night sweater, has developed anguish of separation and is crying in sleep every night. Just to say a little about the topic: All children are generally very well in Norway. That's very good. But I'm worried about the kids who are not doing well or who are being illegally – and perhaps unnecessarily – hit by our immigration policy in general and our expulsion practices in particular. That's why I've initiated this interpellation. I'm essentially going to focus on two different groups of children. One group of children is those who come to Norway because their parents or other adults have decided that they should live here and that, once they have been refused, accommodation in the country becomes illegal. The other group applies to kids where their mother or father has been expelled from the country. And in both cases, I want to ask how much children are going to suffer for parental or adult choices. First, about the expulsion of persons. I will first address the situation of young people who come to Norway because parents or other adults have decided that they should come here. Those who are allowed to stay, there is no problem with it, nor with those who travel after a refusal. It is those who are not allowed to stay, but still remain in the country, I will discuss. In the case of these children, there are particularly two questions I want the Minister of Justice to answer. First of all, does the Council of State think that children can be illegal in the kingdom? Should their residence be considered illegal when they are under 18 and are counted as children under all international conventions? The second question to the Council of State is whether people who have lived illegally in Norway throughout their childhood should automatically be sent out when they reach 18. Maria Amelie is so far a good example because she was brought here as a child. But she wasn't a little child. What if a child is eight years old when it comes to Norway, or maybe two years when it comes to Norway? Does the Council of State consider it reasonable that immigration policy considerations should go ahead of the fact that a person has lived his entire childhood in Norway? Does the Council of State think it is right to volunteer for expulsion when you turn 18, even though you may never have lived in the country you are then expelled to? Where does that limit go? And is there at all any limit to those who have lived their whole lives in Norway? Just this issue, Norway is now facing the human rights court with regard to Abbas and Fozia Butt, where parents have filled out mistakes and made mistakes, having great consequences for children who have lived almost all their life in Norway. To me, it's an important principleal debate. For me, as a left-wing person, it's about me being in a liberal tradition from Johan Castberg's 'castberg children', who established a fundamental principle, that we should never judge children for adults' choices. The times we've done it in history, we've been ashamed of ourselves afterwards. So to the second theme, that goes on parental expulsion. There we get a lot of enquiries from women and men who are concerned when their child experiences being forced apart from their parents. Let me clarify one thing: I am not discussing here the practice of expulsion in the event of a criminal offence. I think that is a fundamental and important principle. But working without a work permit is not a violation of the penal code, it is a violation of the Foreign Affairs Act, and I believe that there should be a distinction between a violation of the penal code and a breach of the Foreign Affairs Act. A former State Secretary stated in 2009 that it should commit serious crimes in order to expel a toddler’s father or a toddler’s mother. I agree. I think it violates the common sense of law for people in the streets that they experience that offences of criminal law and foreign law are treated equally. I've been going through these matters carefully, and my opinion is not a criticism of UDI and UNE, which I believe makes the right decision. My criticism is of the policy, and of the basis for the decisions they take. I also want to mention some examples here, first of all an expulsion decision taken by UNE in 2010: here the man, who has Norwegian wife, two Norwegian children and one stebarn, is expelled. The man has not been illegally in the kingdom, but the alienation authorities have refused family reunification because his identity has not been clarified. At first UDI said that the birth certificate was not enough, and that he needed passports. Then he obtained a passport, but not by personal appearance. According to UNE, the passport has not been ‘adequately noted and therefore cannot be used as sufficient evidence of the complainant’s identity’. Family reunification was therefore refused. UNE has then assessed whether a man can still be allowed to stay on a humanitarian basis and indicates that the best interests of children should be a fundamental consideration, but that emphasis can also be placed on immigration-regulating considerations. The man has been legally resident in Norway since 2004. He has a wife and a child, but UNE believes that ‘this does not give him such an independent relationship with Norway that he is authorised under this provision’ — i.e. stay on a humanitarian basis. So living so many years in Norway, being married to a Norwegian woman, having two children in Norway, it's not related to the kingdom. The decision states that ‘in the meantime, contact with the family will be possible by letter and telephone’. Then I would like to ask my new father, and the Minister of Justice, if he thinks it is sufficient to have contact with a ten-month-old baby via letter and telephone. I also want to mention a case of expulsion due to illegal stay. A man from Nigeria, Michael, was denied his asylum application in 2006. Instead of going home, he was in Norway, because he had met a Norwegian woman he had fallen in love with. They had children, decided to travel to Nigeria, married, and applied for family reunification from there. After one year, the rejection came. UDI did not find the period he had stayed and worked illegally in Norway, which counted, so he was expelled for five years. This is not a criminal act that has been tried to hide either. It is very easy to find out that people have stayed here, paid taxes and followed Norwegian laws while they were here. But UDI then chooses an expulsion decision, for general prevention reasons, and believes it is far more important than the child’s concern. So how much is it really going to take to ensure that the child's interests are taken care of? Comparing things is hard. But we in the Left have noticed that when you create your own legislation to adapt it to Marie Amelie, you focus on the needs of industry for labour. So it's clear that the government here chooses to have a practice where you use the Foreign Affairs Act to take care of business interests, but you choose that immigration policy considerations should be much heavier than children's concerns. And I have to say - cf. Our document 8 proposal on criminal asylum seekers – that it is quite provocative to experience that one cannot get action against those who commit crime, but honest people who are here and work and pay taxes should be persecuted. Summary: I think there are two challenges. Does the Council consider that the time when children live illegally in Norway should count, or should it not count, when to decide on a humanitarian basis, and how old should children be before they suffer for adults’ choices? And the second: how much should general preventive consideration count when children are involved? Is the Council open that we may have gone a little too far in creating examples that it is not worth staying illegally in Norway, when we see what consequences it has for children?
ParlaMint-NO_2011-05-05.ana.ud1933e1093	I thank you for the interpellation. I just want to say in the beginning that, to the extent that it was true that the interpellant said that for convicted persons, no execution of decisions is possible, while the opposite is true for children, I would strongly draw attention to the results descriptions for the Foreign Office of the Police from last year. The group that certainly experienced what is the tough, hard core of government policy, that of sending out people who have been rejected or expelled, was very much the ones who were convicted, it was the ones who were hit. I think it was over 700 pieces, so here you really chose to prioritize this particular group. The Convention on the Rights of the Child is central to all aspects of the administration’s management of foreign affairs involving children. I have to take this on a general basis, it's hard to go into individual matters, including those that the interpellant is presenting here today. This includes the principle that the best interests of children should be of fundamental importance. That doesn't mean that's the only consideration. When assessing what is best for the child in a case, the foreign authorities will often face a number of dilemmas and, in practice, difficult balances, which also make it difficult to be general about where the border is going, which the interpellant repeatedly tries to challenge me. It would, in my opinion, deprive a very much of the discretion that must lie there, which is actually also for the protection of children. The concerns of children in expulsion cases were carefully assessed in the context of the drafting of the new Foreign Affairs Act and the regulation. It is explicitly stated in the law on expulsion that in matters relating to children, the best interests of the child shall be a fundamental consideration, in order to raise awareness of this. A provision was also introduced that the entry ban should, as a general rule, be made for a limited period of time if the foreigner has children in Norway, with whom he has lived for a long time with or has engaged in a certain amount of association, etc. and this shall continue to be the situation. I believe it is important that the legislation takes care of the best interests of the child, but this cannot be regulated exhaustively, as an individual discretionary assessment is to be made in each case. There will be a role to play there; the child’s situation will play a role; the child’s situation in the country to which you may need to return will play a role. These are difficult, discretionary considerations that foreign authorities are set to take, but which will obviously be based on discretionary and individual facts, and which will make it difficult to say that here goes the limit in these matters. I believe it is important that the legislation therefore takes care of the best interests of the child. But this cannot be regulated exhaustively. The specific assessments in individual cases concerning children and the best interests of the child are made by UDI and UNE — on which the interpellant was involved. A thorough assessment of all aspects of the child’s situation which may have an impact on the case shall be carried out. It is also necessary to consider the need to obtain additional information to give the best possible information. The Convention on the Rights of the Child does not provide an absolute directive on the weight to be given to the best interests of the child. It seems fairly obvious that for many children who come to Norway, or are born in Norway by foreign parents, an isolated assessment of the child’s best is that the best thing is to grow up in Norway. But as most people will understand, it will not be possible for us to implement this as the only criterion when considering these matters – sail if we would never want it so much when we see the individual issues. Therefore, the Convention on the Rights of the Child does not provide an absolute directive on the weight to be given to the best interests of the child. States are obliged to assess the best interests of the child, not as the only relevant consideration, but as the fundamental consideration. The fact that the best interests of children are fundamental does not mean that they are always decisive. The closer balance between the best and opposing interests of the child, such as: in the light of the specific nature of each case, the importance of controlled and regulated immigration. We can read that from the decisions. I have a hard time seeing that it can be different in this area. Sickness with regard to the child’s best in isolation indicates that the child’s mother or father is not expelled from Norway can legitimately legitimise a decision on expulsion. Nevertheless, according to established practice, more will be done to expel foreigners who have children in Norway. The best interests of the child mean that more than one condition that would otherwise result in expulsion is imposed or that the entry ban is limited in time. In the last year, the Ministry of Justice has made two changes to the expulsion legislation in the interests of children. In the summer of 2010, provision was made for persons who have children in Norway and who have worked illegally here for less than two years, as a general rule, not to be expelled on this basis. In the past, this was only the case in the case of illegal residence. Furthermore, a provision was introduced in March of this year that, as a general rule, the entry ban should not be set at more than two years when the foreigner has children in Norway and has been expelled because of a breach of the Foreign Affairs Act. The Ministry of Justice will also assess the possibilities for reactions other than expulsion for minor infringements of foreign law. This is reflected in the Ministry’s implementation plan for the foreign field from December 2010 and is to be further investigated. I therefore believe that today's legislation and practice are consistent with our obligations under the Children's Convention.
ParlaMint-NO_2011-05-05.ana.ud1933e1119	I thank you for the answer, sailor, if I don't think it was just an answer to the things I asked for, and that is not actually experienced out there as the Minister of Justice is now presenting it. There will soon be separate organisations for those affected by this. I think that most of the Nordics think that you find someone happy who doesn't live in the EEA area, and you do everything right and fill out forms and get married, at least when you have children, you have to do a lot to split that family. I think the North is walking around and believing it. There are a lot of people who get a hard one – I don't know if it's parliamentary to say drag in the face, President, but at least they get a big meeting with Norwegian bureaucracy when they find it's not like that. I fully agree with the Council of State that children's best interests are to be governed by foreign law. It is almost all children’s best to live in Norway. But here it's about children who actually live in Norway, but who we're taking away the opportunity to grow up with a mother and a father, who they actually have biologically, and who wants to live with their children. It's okay to coerce criminals and punish them. I should have liked to have said something about it too – but I don't have time for that – because I feel that it is not done in a way that makes it permanent enough. My objection is the same as the Children's Ombudsman's when they presented their supplementary report to the United Nations Committee on the Rights of the Child of 2009 that any expulsion of a parent, even limited expulsion of two or five years, will have major consequences for the child. We have a number of things. I want to say that every week I get enquiries from people who experience that they have broken their family life, either because of bureaucracy, or because of the matter that I mentioned in relation to Cameroon, or because you perceive it so that you have found an honest and decent person who has only worked a little too long in Norway to do things properly. One would like to discuss immigration policy and immigration-regulating considerations, but my appeal is that children should not suffer for the choices of adults. When we see children being brought here – children are also kept hidden as illegal immigrants – adults’ choices become very crucial for the future of their children, and we condemn them for literally being on the sidelines of adults. In addition, we condemn families to divorce, not because they have done something criminally wrong – cf. previous interpellation – but actually because we have a code that doesn’t value children well enough.
ParlaMint-NO_2011-05-05.ana.ud1933e1134	The President is not quite sure whether 'trafficking in the face' is the most parliamentary expression, but we have heard worse here from this pulpit.
ParlaMint-NO_2011-05-05.ana.ud1933e1137	Yeah, I guess we can handle it. I record that the interpellant does not believe that I am answering questions, but it is therefore the interpellant that I am trying to answer. There were a number of questions in the article that relate to very specific issues, and that really relate to what is difficult in the design of this type of legislation, namely that we might want as much as possible very clearly defined limits. I want to warn you a lot about such thinking, because I think it could also help to hit children, and that the only way we have in this is actually to have the discretionary provisions that you have in the law. I would also like to challenge the interpellant a little bit to dwell on the question of whether it is such that, with regard to the decisions taken by the foreign authorities, all the more immigration regulatory measures and considerations when there are children in the picture should be almost set aside. This will involve major problems for us, which I am convinced will not be for the child's best either. So sometimes it will actually be more appropriate to look at how we can get to a faster handling of these issues and better implementation of the decisions to be taken. This will include, among other things: be the subject of the great news that has been announced to the Stortinget, which will come to the autumn and not now in the spring, about children on the run. So how can we better deal with these things in this group, faster, so that you actually minimize the pressure on children, which it's not possible to hide is in a difficult situation? Then I will also challenge the interpellant to comment at least on the changes that I point out have been made in the legislation as late as the summer of 2010, and on the issue of the entry ban, now in March, where you just want to strengthen the situation of children. It is Section 14-2 of the Foreign Regulation and, in the case of expulsion, Section 14-1 of the Foreign Regulation, which shows that this has been the subject of attention, which makes it possible for someone to be better qualified than it was before.
ParlaMint-NO_2011-05-05.ana.ud1933e1148	It's an important topic that's being addressed in the interpellation, although I'm aware that the Council of State has notified, and repeated it now, that there's going to be a separate message about children on the run. In this context, it will be important to address the fundamental questions related to this. It's a little difficult to comment on the interpellation, because it's based on a lot of simple cases and individual cases. For us who work on asylum matters, it is very tempting to base the version that one is presented. But very often we get a different answer if we get more information about the matter. It is often the challenge in this type of debate that it may seem that injustice is often committed, but when one goes closer to the discussion that the foreign authorities have done, one finds that there was actually perhaps a reason for the decision to be as it was. Although the Right is not a warm supporter of the Foreign Affairs Department and the system adopted by the Stortinget at the time, depriving itself of the political responsibility for the final decisions in some of the principal and important asylum and immigration issues, we trust that the assessments that are being made suggest that the best interests of children should be taken into account. Me and the Right are pleased that the changes presented by the Minister of Justice have come in. It helps to strengthen the legal position of children, while I see that in many, many cases difficult decisions have to be made. These are cases of doubt, but we are of the opinion that this is largely well maintained, and it is generally seen that the best interests of children are taken care of within the law we have. I look forward to the debate we are going to have on the new, notified message. Then we can go deeper into many of these issues. I think it's important that the Left has the strong commitment to these questions. We have recently discussed a Document No. Eight proposals from the Left, one of the proposals just put forward with children's rights in relation to asylum legislation. The right is concerned that we should have legislation that is strict, i.e. that it can be verified and that there is a regulatory framework that does not allow too much discretion either. But the fact that within certain frameworks, of course, there must be a sloop that gives room for human concern is quite obvious. At the same time, it is important to remember that those who come through family reunification represent a very large proportion of those who stay in Norway. One is almost surprised when one sees that of the foreigners who live in Norway, refugees and asylum seekers make up less than 20 pst. It is well, while family reunification, labour immigration and other groups are the deciduous largest group. Maybe we should think a little bit about when we're going to discuss these questions in the future, is that very much of the political focus is on those around 10-15 pst. refugees and asylum seekers coming to Norway, while perhaps a little too little of the focus is on how we follow up the 80–85 pst. coming here on a different basis, e.g. migrant workers and their rights related to language training and other things. It's an important debate, but the substantive proposal and changes I expect we'll have the opportunity to discuss when the big message is presented.
ParlaMint-NO_2011-05-05.ana.ud1933e1163	First, I would like to thank the interpellant for raising an important debate here in Stortinget. How the best of children is reflected in our asylum and immigration policies is something that deserves great attention. In my post, I want to focus specifically on two groups: long-term children, and children who disappear from reception without being able to account for them. Initially, I would venture to make the claim that it may seem that the government is letting children's interests give way to immigration policy considerations. The children are hit when the government comes into competition to have the most stringent asylum policy in Europe. In the spring of 2007, changes were made to the foreign regulations, so that special emphasis was given to children’s relationship with the state. This came into place on the initiative of the Christian People's Party. Unfortunately, the government has tightened up this regulation. When children who have been here for four to five years are raised in the middle of the night and expelled from the country together with the rest of the family, it is difficult to see that this change in regulation that came in 2007 is followed. After all, the change in the regulation highlighted the need to strengthen the child’s relationship with the country. Expectations were created when the Council of State went into the Evening Post last year and expressed concern about the best care of children in Norwegian asylum policy. He said that three years in a child's life is like an eternity. At the same time, he announced that a message would be sent about children on the run before the summer of 2011. The Christian People's Party shares the concerns of the Council of State and is anticipating what the government will notify in this message. Children who have stayed in Norway for a long time and have been well integrated must be allowed to stay after a given number of years, also because it is not best for children to be punished for mistakes made by their parents. That is what is used today. The Christian People's Party hopes that there will be a change in practice that will make children's relationship with the country more important, as was the intention of the change that came in 2007. In addition to children in general foreign affairs and taking into account them, a group of children are in a special situation: children of prisoners to be expelled. The rights of these children must also be respected. They must be given the opportunity to speak. Today’s case-handling practices do not exercise this right towards children with deportees. Over the last ten years, between 300 and 400 children have disappeared from Norwegian reception. This is an asylum child who has come alone. They disappear without being able to explain where they are or what they've been advocating. This is serious. There is also reason to assume that many of these children may be exposed to human trafficking, or slavery, to call a spade a spade. This is unworthy and totally unacceptable, something we cannot be aware of in Norway. According to figures from the Organisation for Security and Cooperation in Europe, about 1.2 million children become victims of trafficking in human beings every year. Children’s slaves are often used as domestic workers, in the sex and drug industries, as workers in shops and restaurants, such as beggars and handkerchiefs. We know that Norway is both a destination country and a transit country for human trafficking. Several criminal networks that organise human trafficking operate in Norway. In addition, it has been discovered that Norway, together with Sweden and Denmark, is used as a transit country by children’s smugglers. These include: on this basis there is reason to fear that many of the children who disappear from reception are exposed to slavery. Action needs to be taken immediately. We need to intensify cross-border cooperation. We need to put in place a separate action plan specifically aimed at children who are victims of trafficking in human beings. We should put in place a specialised police unit that only works with human trafficking and children, because special knowledge and skills are required to work on this topic, just to mention some measures that should be taken. The Christian People's Party has great expectations that this too will be given great space in the message of children on the run. I know that the Council of State is concerned about the matter, and we are excited about how he will follow this up. Finally, in our asylum policy and practice, it is important to think that children are children, regardless of background. They are first and foremost children, then asylum seekers. They are the most valuable thing we have, and they deserve the best we can give them. Focusing on the best interests of children in our asylum practices should therefore be a matter of course.
