ParlaMint-NO_2011-12-16.ana.ud856e63	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2011-12-16.ana.ud856e1337	If we go back ten to twelve years in time, broadband was not available to individuals in Norway. Today the coverage is roughly equal to 100 pst. for the lowest degree of broadband. But also for higher capacity, the coverage rate has risen sharply. Almost 70 pst. Today, the population of Norway has a capacity of 25 MB/s. Over 40 pst. has an offer of 50 MB/s. But only about 10 pst. subscribe to broadband with a capacity of 25 MB/s or more. In other words, the offer is much larger than the demand. This also shows that the broadband policy pursued over the last 10 to 12 years has worked. In Soria Moria II, the Labour Party and the other government parties say that they ‘will continue to work to facilitate broadband with sufficient capacity to meet future needs in schools, health, businesses and households throughout the country’. The development of broadband is mainly market-based. Providers shall assess the needs and coverage for commercial reasons. The market rules. The market works well in some places and areas, but the market also has its weaknesses, including in broadband development. Therefore, the State contributes to grants in those areas where there is no commercial basis for development. For the last five years it has been granted approx. 1 billion. on the budgets of the Ministry of Renewal, Administrative and Church Affairs and the Ministry of Local and Regional Affairs. The county councils have also received appropriations from the Ministry of Local and Regional Affairs for the development of broadband – 128 million. kr for this year. We have funding solutions today that contribute to the development of broadband in those areas to which the market does not extend. So it's a question of broadband goals. There could always be a discussion about what is sufficient bandwidth. The aim of the Government and Labour Party is to continue to expand broadband with sufficient capacity throughout the country – broadband faster than the minimum standard underlying the definition of broadband. Then I can just refer to the numbers and the percentages I pulled out instead, which shows that today's offer is greater than the demand. It's a gang called the Countmates, which consists of several infrastructure companies. They are subject to the Code of Procedure and Responsibilities for cable laying and moving by public roads. The Ministry of Transport has taken an initiative towards the Ministry of the Environment and the Ministry of Local and Regional Affairs in order to bring about a more coherent approach to the treatment of excavation requests, planning and coordination of infrastructure in and along the road. That's good. An external party has been selected to look at this and to assess the various proposals for cover requirements of the Road Administration and the pipeline industry. This work shall be completed in mid-March. The working party expects the regulations to come shortly after this. This is not a simple topic, and it is understandable that things take time, but now you should be able to reach a conclusion that everyone can live with. Open and closed access networks are also a theme. It is appropriate to consider whether access networks should be more open to competition. The Ministry of Transport has stated that they will assess regulatory measures if the principles are not properly followed by the market. This assessment will put the Working Party behind it.
ParlaMint-NO_2011-12-16.ana.ud856e1352	The Internet is becoming an increasingly important part of a modern society. Not only can you exchange vast amounts of information, the Internet is also revolutionizing how people deal with each other, and how businesses are organised. We see this ourselves here at Stortinget, where tablets are now about to revolutionize the way we work here. Internet broadband infrastructure itself has now become so important that it is possible to estimate what a doubling of broadband speed means for economic growth in a country. This is something that politicians have to take over. In other countries, however, clear targets have been set for both Internet speed and broadband coverage. The EU has set the target for all to have the possibility of 30 MB/s by 2020 and for half of the population to have access to 100 MB. The United States has about the same objective as the EU, while Sweden, Finland and Denmark have higher ambitions than has been set for the EU as a whole. On the other side of the earth, goals have been set that in some cases are ten times as ambitious as those that you have in Europe or America. Australia has set the goal of 93 pst. of all dwellings and establishments, have access to fibre optics by 2016. In Singapore, all shall have fibre optic access by 2013 and in South Korea, all shall have access to 1000 MB from 2012. Then we're talking about a really fast Internet. Norway should be one of the richest countries in the world, but here the authorities use a prehistoric broadband definition that makes it appear that almost everyone has the opportunity to get broadband. As a result, Norway is not taking the necessary action either. The working party, SV and the Centre party have nothing to be proud of when it comes to broadband. The whole point of having forward-looking national broadband targets, as other countries do, is that it is possible to measure from year to year whether these targets are actually being met. If, for example: Turns out that some parts of the country are going to be hanging after, we can grab hold of things to sort out. Therefore, such objectives need to be adopted politically, as has been done in comparable countries. The advancement party has the ambition to have access to 100 MB/s by 2015. So this is a tenth of South Korea's goal for 2012, but the Workers' Party, SV or the Center Party will not even be involved in this. The Progress Party believes that development in Norway should continue and, in general, take place through the creation of broadband by private operators at their own cost and risk. Therefore, we need to facilitate the possibility of adding fibre to the ground and not imposing impossible demands on the broadband industry related to how deep they should dig. Today, broadband developers have to deal with 429 municipalities that have different local rules. It goes without saying that this is difficult for the industry to deal with. The Ministry of Transport has a regulation that, in some cases, can make it hundreds of percent more expensive to build broadband for most people. The Progress Party believes that, on the contrary, we should look at how we can simplify legislation so that the development of broadband is not more expensive than necessary. I find it strange that no other parties on the Stortinget have announced that they will vote in favour of this progress party proposal. There are many different business models for broadband deployment. In our proposal for a representative, we have put forward proposals to determine whether it would be useful in the long term to open up the closed broadband networks to competition. However, we do not see any reason to re-examine the proposal in the vote, because, in any case, the Post and Telecommunications Authority regularly assesses broadband access markets. In any case, opening the networks is very far ahead in time, and that is how Telenor's copper network was only opened up to competition many years after the network was fully developed. Introducing something like this during a period where large and expensive investments are still ahead could have a negative impact on broadband construction. In view of some of the recordings we have received from the industry as well, we think it makes sense to wait and look at the investigation that is also being carried out by the postal and telecommunications authorities. In conclusion, let me sum up that ambitions for this country must be allowed, which the Workers' Party, SV and the Centre seem to be lacking, both in terms of broadband and in terms of other infrastructure such as roads and railways. I would like to take up the proposals of the Progress Party in the matter and hope that future-oriented politicians in other parties will change their mind and vote in favour of the proposals.
ParlaMint-NO_2011-12-16.ana.ud856e1378	The representative, Mr. Bård Hoksrud, then addressed the proposals he referred to.
ParlaMint-NO_2011-12-16.ana.ud856e1381	This is a very important topic, which unfortunately often comes into the background of other issues when the committee is dealing with matters. Often, the exposure to and against tolls is actually greater than for this important theme. I'm sorry. This is important for districts, it is important to work, and this is the new form of communication. That's why there are possibilities in technology, and what's right today is not necessarily right tomorrow. This is why it is important that we focus on this, and that we see just when the need changes in this area – and there is full coverage of broadband a so-called issue we can look at. There is almost full coverage today when it comes to low-capacity broadband, while when we look at the new generation broadband, which has high capacity – fibre broadband – we only have a quarter of coverage today. Therefore, my concern is that we can get a greater digital class distinction if we do not actively stimulate development and use the whole country. That's why I think it's important that we work consciously to get a well-developed high-capacity fibre broadband across the country. When it comes to the proposal, I don't want to say anything more about it. I thought the case spokesperson in his statement did well for how the Right Party and therefore also the Christian People's Party put themselves to the proposal. I found it interesting that the representative Gorm Kjernli mentioned if the open network was open, and there is another issue that is quite clearly going to come out more clearly. To end where I started: we see that this debate in our committee is getting too little focus, but then it will be that when we now see that TV is on the go online, probably also interest and debates will take up this field.
ParlaMint-NO_2011-12-16.ana.ud856e1392	Norwegian broadband policy is a success story. OECD measurements show that Norway is among the best countries in terms of broadband access and household speed. I believe that the recipe for success we have followed so far should also be the strategy for the future. Norwegian broadband policy is aimed at facilitating market players to expand and public authorities to favour areas that are not adequately offered in commercial development. In the period 2006–2011, it has been raised around 1 billion. kr for broadband purposes over the Ministry of Renewal, Administration and the Ministry of Churches and the Ministry of Local and Regional Affairs. Government permits, along with local funds, have helped a large number of people to obtain broadband. The government is now fully operational with a new broadband lift. The superfluous TV frequencies are set to be used to give people a better broadband Saturday. The players who access these frequencies will be required to build a network with very large coverage and high capacity. I am pleased that the government is now making it possible for residents to experience a significantly better supply compared to today in a few years. Access to, and costs of, the use of driveways are important to achieve a high level of competition in the broadband market and in the ecosystem market in general. The Ministry of Transport, the Ministry of Local and Regional Affairs and the Ministry of the Environment have legislation that can determine price and access to driveways. There is today a well-developed market for co-location under the eco-regulation, but the Ministry now assesses whether there is a need to impose stricter requirements on e.g.: the duration of proceedings. There are two important social concerns to take care of when it comes to digging in one road. For my part, I will secure both the road and broadband. This means maintaining good traffic management, ensuring road safety, ensuring a good standard on the road during and after digging, while at the same time providing the best possible means for broadband developers to use roads to develop quickly and cost-effectively. Currently, the Department is working with a counsellor on the installation of cables in and along the road. We need to find a good balance between the road users and the cable operators' interests. Let me round off the debates on open network, network neutrality and packages of telephony, TV and the Internet and problems that may arise where the final users experience a link between infrastructure and content services. This is an important topic; they are debated livelyly both in the industry here in Norway and in the EU. The experience of broadband development in Norway shows that it is important that governance facilitates the development of good business models that users want and that promote the development of high-speed broadband. In our country, postal and telecommunications regulators and Norwegian broadband providers have done a good job in designing the principle of network neutrality. An important principle is that users should be able to download content and services over the Internet according to their choice. I follow developments closely and will consider regulatory measures after the eco-innovation if the principle is not followed up by market players in a satisfactory way.
ParlaMint-NO_2011-12-16.ana.ud856e1418	It's going to be line change.
ParlaMint-NO_2011-12-16.ana.ud856e1421	It was very good in the articles of the Council of State. I have to say I'm a little worried when you say you have the best access and the highest speed in the world – I guess I'm not sure if we're all there, but we'll see that now. What I'm concerned about, and I want the Council of State to be very clear on, is the digging order. It's been there a long time, and it's been working for a long time. There will soon have to be a clarification, because we see that some municipalities now have hopeless demands for those who are going to deploy broadband, so it is impossible to continue. The drama municipality is an example that it would really cost a lot of money if you were to put out broadband, so that's where you stopped doing it. Several other municipalities are now using the same rule. When can the Council of State guarantee that we will have a regulation in place? That's what's important to get more broadband and broadband at a much higher speed than what we have today.
ParlaMint-NO_2011-12-16.ana.ud856e1430	«Guarantee» means a demanding word, but what I can emphasize very strongly is that this is not a type of matter that remains at rest. There's something that we're really busy finding a solution to. The first time I met this question was from Nord-Trøndelag County, which wondered if they could use their regional means of development to provide fibre broadband at the same time as asphalted county roads. It was a brilliant combination. Later, I have just seen these conflicts that can occur locally when one is going to do things at different times and dig with different depths. We have a project, because we have to have a neutral instance that goes through how we're going to get a common solution here. We have to get it done, and it's urgent.
ParlaMint-NO_2011-12-16.ana.ud856e1440	I am pleased that the Council of State referred to the Nord-Trøndelag, which has done very well in connection with the development of broadband. Now it's also like there's some obstacles in the way to get this right. Those who have stood for this, probably haven't earned any money yet. The Council of State said that we are well placed in European context. What we've become familiar with in the committee is that we're slowing down in relation to other countries. I guess that's got to worry the government council a little bit. Although we were early out at the lower speeds and put it into use, at least we're now a lot of people who are afraid that this is going the wrong way. Can the council say something about how she's going to make sure we're in the carousel and not getting the worst in the class.
ParlaMint-NO_2011-12-16.ana.ud856e1447	We're among the best countries in terms of access and speed, and we have to continue our commitment to being there. Now, what makes a big difference is that the TV frequencies are superfluous when they light up. We first had a hearing with the actors about how to make the call. There's a lot of vision here, but I think that's going to mean a lot. Just when the announcement will come and in what way, I have to be allowed to come back to. We're not quite there yet.
ParlaMint-NO_2011-12-16.ana.ud856e1454	I agree with the representative, Bård Hoksrud: The council held a very good post, and in particular I liked the state council that said about online neutrality, and that it follows the market there both to ensure that users have access to important information, and that content providers get that opportunity. We're very good at low-capacity broadband, but we're not as good at it when it comes to high-capacity fibre broadband. There's only one fourth that has access to today. Then my question is, what ambitions does the Council of State have when it comes to high-capacity fibre broadband? What time does it mean that we can approach an acceptable level of that?
ParlaMint-NO_2011-12-16.ana.ud856e1463	We haven't seen concrete goals, and it's not because we're not ambitious. However, when it comes to capacity – both citizens and businesses should have access to it and whether a measure of a certain speed should be set for everyone before a certain time, it must be carefully assessed both in terms of future needs and technological possibilities. We know that what is sufficient broadband can change relatively quickly over a short period of time. The need for, for example, five years, it is difficult to predict now. But we have to be on and do what we can to improve both capacity and access – there is no doubt about that.
ParlaMint-NO_2011-12-16.ana.ud856e1468	As others have said, this is an important topic that may receive too little attention, so the invitation to the Council of State is appropriate to ensure that there is a greater focus on discussion in the Storting regarding this important tool. When we in the Progress Party dig into the digging regulations, it's because it's a very clear signal from stakeholders, from the industry that operates the development of new networks and high-speed networks. They're waiting impatiently. What they're saying is that last year it was promised by the Department and the Council of State that the regulation was right around the corner. In May this year it was said and promised that the regulation is right around the corner. Now they get information that a call for tenders to make this neutral investigation is right around the corner and will be completed in March 2012. When can we hope that there will be a regulation that will make it clear to the builders how to deal with expansion, so that we don't get something that stops expanding and renewing broadband?
ParlaMint-NO_2011-12-16.ana.ud856e1475	The call for greater focus I'm going to take with me. I want a bigger focus on this area myself. As Minister of Local and Regional Affairs, I was responsible for allocating funds to local and regional spice layers – although it is an expression that perhaps Blackevik does not like, he likes it in this area – in order to provide more people with access and capacity. And then it turns out that drafting a regulation or making a deal between different graves has been harder than I imagined a year ago. Now I'm going to be so direct and say that if Sortevik knows about an instance that can take on a neutral assignment in that context, I'll be very grateful – it'll be taken with pleasure.
ParlaMint-NO_2011-12-16.ana.ud856e1480	The cord shift is over. Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 1823]]
ParlaMint-NO_2011-12-16.ana.ud856e1498	At the request of the Committee on Transport and Communications, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies after contributions by a member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-12-16.ana.ud856e1507	This has been an exciting thing to be the case spokesperson for. This has been one-third of the Committee's work. The Committee's recommendations are those of the Labour Party, the Socialist Left Party and the Central Party, who ask for the matter to be put to the minutes. Then there is a proposal from the Progress Party, asking the government to lift the environmental limit in Oslo. From the Right and the Christian People's Party, there is a proposal asking the government immediately to clarify the legal basis for the environmental limit in Oslo, so that the action can be carried forward without delay. I think it is time for these cases to arrive at the Stortinget, and so I will pay tribute to the initiators, the representatives of the Progress Party. The environmental limit is a measure that is valid in Oslo, i.e. where it is normally 80 km/h per hour, the speed limit on some sections of the road is reduced to 60 km/h from 1 November to 15 April. The goal is to reduce air pollution. In its letter to the Committee, the Ministry states that the measure has a positive environmental impact. But the national lawyer has asked for a ruling on environmental limit decisions and an extension of how the department of my speed limit is allowed in today's legislation. The party of progress also says in a note that what is unexplained here should be cleared up by the road. That's what I'm going to end up with. In a recent judgment by the Lawyers' Court, it was found that the environmental limit is illegal, i.e. a penalty is imposed only for that part of the speed exceedance which exceeds the original speed limit. When the environmental speed limit is 60 km/h and one runs 75 km/h, one will not be punished for it. The judgment also states that ‘there is doubt as to whether the environmental limit is permitted by the Road Traffic Act’. After this, the attorney general said that he would not give the police authority the authority to enforce the speed limit. I have to say that I think it is serious that we have raised an environmental limit that it is not possible for the police to enforce. But I see a lot of the positive leads that are made for the environmental speed limit. Oslo is a city that also in European context has relatively major challenges when it comes to air pollution. That this measure is a positive contribution, I am not in doubt. But it has to be an objective that we can get this right, that we get it into the Road Traffic Act, and not least that we have to respect the rules we have. It's clear that the way this is organized, by not being properly allowed, is by undermining respect for speed limits. We today experience parts of these sections that there is a driving pattern that I do not think is lucky. There are some road users who stick to the environmental limit, while it is very clear that other road users keep to the speed limit on this route in the summer months. That's why I think this has to be cleaned up. This is my clear signal to the Council of State today. With this I take up the proposal of the Right and Christian People's Party.
ParlaMint-NO_2011-12-16.ana.ud856e1524	The representative Knut Arild Hareide has taken up the suggestion he referred to.
ParlaMint-NO_2011-12-16.ana.ud856e1527	Every winter the limit values for particulate matter and NO2 are exceeded in our largest cities. An important reason for this is road traffic. Environmental borders alone cannot solve the problems of urban pollution, but there is one action by several to make our cities cleaner. The environmental limit in Oslo was first tested in winter 2004/2005 following a local initiative. The sign is about rv. 4, from Sinsen to Grorud, from 80 to 60 km/h. The evaluation, for which the Norwegian Institute of Air Research was professionally responsible, showed the following results of the pilot project in the winter: the average driving speed was reduced by about 10 km/h and the suspended particulate concentration was reduced to 39 pst. the winter compared to the winter before. The public response was more positive than expected and in a survey four out of five replied that the environmental limit is an acceptable measure if it results in better air quality. The slowdown did not result in a worse traffic downturn on the route. Noise measurements also showed somewhat reduced noise. Environmental limit values have later been marked on several roads in Oslo in winter and the results showed that reduced speed results in reduced re-suspension of dust along the roads. This can also be seen in international studies, including: from the Netherlands. The Progress Party's proposal proposes to remove the environmental borders in Oslo. A main justification is the unclear relationship around the legal basis of the environmental limits. Let me say it right away: it's high time you got clarity on this once and for all. Road authorities believe that this is provided for in the Road Traffic Act and in the Sign Code. The police have doubted whether they have the right to enforce this. Now it's time to be clear about it. I am pleased that representatives of the Ministry of Justice and the Ministry of Transport have now joined forces to clear up the confusion. I expect that we will get the results from there soon, and that the necessary measures will be put in place quickly if necessary. We can't spend any more time on this right now. But then I would like to add: using ambiguities around enforcement as an argument for abolishing environmental limits seems to me to be a substantial argument. If the issue of enforcement is the problem, we need to do something about it, as we are doing now, and not abolish the environmental limit. I think the Progress Party is at the environmental limit because they are against measures that limit road speed. The fact that it is called the «environmental limit» does not contribute to the positive view of the Progress Party. As you know, the environment is not something they usually care about. Environmental limits have their mission. It is an action that contributes to better air and better quality of life in cities. They must not be abolished, but there is an urgent need to clarify the enforcement of the legislation.
ParlaMint-NO_2011-12-16.ana.ud856e1545	To the previous speaker's comments on the environment, you might say that earlier today the Workers' Party was to ease something like 1 million cubic meters into the Mjösa, so I don't know if it's so very environmentally friendly. The Progress Party believes that the environmental limit is an example of symbolic policy. It's all about pretending that you're acting and taking the emissions from the car seriously. The measure adopted is to reduce the speed limit for some sections with a high traffic rate from 80 to 60 km/h in the winter. The background to the introduction was that it was thought that this would reduce the suspended air from car traffic. In order to maintain the environmental limit, some reports were made several years ago. More doctors and researchers working with, among others respiratory diseases and allergies, have recently, in 2011, raised serious doubts as to whether there is any health effect of the type of particulates being reduced at reduced speed. In the case of combustion dust from the car engines, the environmental limit may contribute to more dust, because the queues are growing and therefore emissions are increasing. In the case of suspended particulates from heavy-duty tyres, it is obvious that a very large proportion of the suspended particulates from heavy-duty tyres are so large that they do not enter the airways. According to the State Road Service, the risk of accidents increases when drivers keep moving differently. In this case, it is quite clear that there are some politicians who have completely different motives. They push the environment in front of them as an excuse for what they really want, namely to reduce car traffic because they don't like cars. It is also interesting to note that both the State Road Administration, the police and the State Attorney have asked questions about the legality of the environmental border and thought that they did not have the authority to enforce and follow up the reduced speed limit with sanctions. We recently got a clear example of this. In one case against one that had broken the environmental traffic line, Borgarting came to the right of law that the court could not judge the person, because one did not have the authority to do so. I understand that for some symbol policies are important, but symbol policies that are not justified and that do not work, and that most people do not care about, should have been strictly put in the drawer rather than continued. If you really want to do something with the emissions from, among other things, For example, diesel cars could be replaced by diesel cars. only removed the mineral oil charge on the environmentally friendly fuel GTL, Gas-to-Liquid. This would lead to lower emissions of dust and NOx from both cars, trucks and buses. In addition, even more frequent sweeps along the roads could be made to reduce the amount of dust that is being swirled up. It is also a pity to record that committee leader Hareide, who said to Nettavisen on 18 November that he would not rule out going to remove the entire environmental limit, has now turned around and actually goes to maintain this hopeless speed limit. I allow myself to take up the proposal of the Advance Party in the matter.
ParlaMint-NO_2011-12-16.ana.ud856e1574	The representative, Mr. Bård Hoksrud, has taken up the proposal he referred to.
ParlaMint-NO_2011-12-16.ana.ud856e1577	Let me first say a few words about the background of the Oslo Environmental Limits. Part 1 of the pollution control regulation on local air quality imposes strict requirements on the level of pollution. The maximum levels for, inter alia: suspended particulate matter shall be maintained and plant owners shall be required to reduce the level of contamination. In Oslo, these limit values are exceeded more frequently than permitted. The state road body is required to implement measures to ensure that air pollution and particulate matter concentrations remain within the requirements. So it's health and environment that's the foundation. Road dust wear and suffocation is one of the major sources of suspended particulate matter in Norwegian cities. Several population studies have shown a correlation between exposure of suspended particulate matter and health concerns. I have done something about this in a letter to the Stortinget, both the background to the environmental limit, the effect that particulate matter has on health, the effect that environmental speed limits have on reducing suspended particulate matter, alternatives to environmental speed limits, and the enforcement of environmental speed limits. My recommendation is to keep this system, and I am pleased with the broad plurality of the Stortinget that is behind it. The government has taken action against local drive pollution, which is a high priority. Some Keywords here are: proposals for a charge to run in Rushtime; proposals for an increase in toll rates on days of high air pollution; and proposals for a fee for infringements of temporary traffic-regulating environmental measures, such as: par/oddetal execution. All actions will make the municipality toolbox bigger - the urban environment toolbox. I assume that this limit was introduced in consultation with the Municipality of Oslo. So the Ministry of Transport believes that both the Road Traffic Act and the Sign Codes provide an opportunity to establish an environmental limit. As a result of the fact that for years the police have doubted the right to enforce the measure, no Ministry of Justice and the Ministry of Transport are discussing this with each other. The goal is to clear the road once and for all. The situation we have now is not lucky. We were pleased that the state attorney asked the questions he asked, and we have done well in a letter to the state attorney on how we look at this matter. We are waiting for his assessment and the work that is now being done between the Ministry of Justice and the Ministry of Transport. I want to come back to Stortinget to find out about the government's solution as soon as possible. But I have registered today that a verdict in Borgarting Lawyers' Law has been drawn into the matter. It's a sentence that was passed recently. The judgment does not address the issue of clearance for environmental limits, but states that because the home has been re-examined, speed breaks exceed 80 km/h. Thus, the judgment cannot be accepted because the environmental limit is not permitted by road traffic laws. It is also a matter of history that the judgment is about a series of violations of road traffic laws. So our big question is, we're sure that the home is in line with the state road system and in line with the law, but we're looking at the reactions, because there's something that's not clear today.
ParlaMint-NO_2011-12-16.ana.ud856e1594	It's going to be line change.
ParlaMint-NO_2011-12-16.ana.ud856e1597	When the environmental limit was introduced on the E18 in Oslo west, i.e. on the route from Filipstad to Lysaker, the measurements subsequently showed that the speed level had fallen by 4 km/h despite the speed limit being reduced by 20 km/h. Early this morning I drove a car from home to Stortinget. Part of the journey took place along Ring 3, where there is also the environmental limit. There it went evenly for 70 km/h in the right and approx. 80 to 90 km/h in the left file. On the basis of this, I would like to ask: is the Minister for Transport satisfied with the way the environmental border works?
ParlaMint-NO_2011-12-16.ana.ud856e1604	I'm glad that the facts that can be obtained when the effect is when the limits are held mean a lot for the measurement of particulate matter. It means that they have a clear health gain. As I said in my post, I'm not happy with the discussion that's now, because here it's not cleanliness when it comes to enforcement. That's why I think it's important to clean up, so that fractions of these speed limits are enforced as they should.
ParlaMint-NO_2011-12-16.ana.ud856e1610	I asked if the Council of State was satisfied with the way this is being practised today, so I can add that the speed goes evenly to 70 km/h in the right file and in 80/90 in the left there is nothing new that has happened after the Law of Law of the Law a few weeks ago. But I would like to ask the following questions: Does the Council of State think it is right to maintain a speed limit system of which the legality has been discussed, or does the Council of State agree that it would be right to remove the environmental limit until it is established whether it is lawful to have such an environmental limit?
ParlaMint-NO_2011-12-16.ana.ud856e1617	I am pleased that the environmental limit is established and I am on the point of continuing. Then Myhre and I might discuss the consequences of control, i.e. the impact of control on the road safety field and on other areas. These are issues we need to look at more closely; control and response when it comes to crime. It's important to get in place. I am happy with the experience from both E18, Ring 3 and Rv. 4, but of course, I want people to keep the limits that are set.
ParlaMint-NO_2011-12-16.ana.ud856e1622	I see that the effect of having an environmental speed limit is that you get reduced particulate matter, and that this is how it benefits the environment. When the national lawyer points out that the implementation of the environmental limit cannot be enforced on the basis of current legal legislation, the question is very simply referred back to the Council of State: had it not been possible for the Ministry and the Council of State to have settled and clarified this before the environmental limit was introduced? In this way, I also hear that the Council of State says that it should now be looked at – but it should probably have been done much earlier. So that's my question to the Council of State, and also a call for the position to vote for the proposal of the Right and Christian People's Party here today, precisely because we are asking for the legal basis to be clarified.
ParlaMint-NO_2011-12-16.ana.ud856e1627	It was probably my ambition that this should already have been cleaned up – that is, in the way one here can react – and that one had removed the ambiguity that is today. I support myself to a department that has received many different, extra tasks during this fall. The Ministry of Transport and the Ministry of Justice are looking at this with a view to clarifying the situation. When I called a department that has been given many extra tasks, I thought indisputably the Ministry of Justice. But we're now going through this case and looking at how we're going to follow up. I think it's totally inappropriate to remove this environmental limit.
ParlaMint-NO_2011-12-16.ana.ud856e1632	The Council of State says that the Ministry of Transport believes that the Road Traffic Act is home, and the Council of State also refers to that judgment. After all, we know that the result of that judgment was that the road user who had breached the environmental limit was given assistance. It was said that it is doubtful whether the so-called environmental limit is covered by the Road Traffic Act. It is clear that we can understand what the Ministry of Transport thinks about this, but when our legal system is so clear on how they interpret it, my simple question is – since our legal system thus cast doubt on this: Can the Council of States promise that this will be cleared up and that it will happen as soon as possible?
ParlaMint-NO_2011-12-16.ana.ud856e1637	The answer is yes, I want this to be cleaned up as quickly as possible. There is agreement between the State Road Administration and the Ministry of Transport that there are in fact several decisions that give the necessary authority. But what has been unclear is the reaction. That is also what this judgment underlines. They say that since the home has been discussed, the speed break is over 80 km/h. By that I mean that the judgment cannot be taken into account because the environmental limit is not permitted by law. But let me underline one more time: action is needed to reduce particulate matter — there may be environmental limits. Other measures in urban areas are also necessary.
ParlaMint-NO_2011-12-16.ana.ud856e1646	Since the Right has not asked for two lines, the last line goes to the Advance Party.
ParlaMint-NO_2011-12-16.ana.ud856e1649	It might seem a little bit like this is a new phenomenon that has arisen, but as everyone knows, this speed limit has now been for many years. There has been a lot of back and forth, and there have been many questions to the Council of State about this with the environmental limit and its legality. Now the Council of State says that someone is sitting together and working to see if they can find a solution. But until it is put in place – the representative Myhre asked a very simple question about this, twice, earlier in the line change – will the Council of State remove the signs with the environmental speed limit that are now up, as long as it has not been legalized? Can the Councils answer yes or no? Because it should be like this that the speed limit you have is actually the legal limit, and then it's separated by 80 km an hour, until you might agree that you should be able to set the speed limit down to 60 km an hour.
ParlaMint-NO_2011-12-16.ana.ud856e1656	This matter is about three restricted sections in Oslo. At the same time, this case is about better health and the environment for allergy sufferers and others. This is an action that works. We have had similar discussions when it comes to road safety, where there is also disagreement about both introduction and control. I think we need to get the relationship pattern clean here, because I think these are measures that can be transferred to other metropolitan areas. There is no doubt that we need to assess different measures here to address environmental problems in more cities than Oslo.
ParlaMint-NO_2011-12-16.ana.ud856e1666	So the chord change is over.
ParlaMint-NO_2011-12-16.ana.ud856e1670	For most of us, it's kind of illogical to stay less than 60 km an hour on a road with an approximate highway standard, with a middle and level crossing. Such a low speed limit must therefore have a clear and concrete justification and a demonstrable beneficial effect. The Minister for Transport refers to a study carried out in connection with a lower speed limit test scheme 11 years ago, which concluded that: ‘it had a certain dust reduction effect’. And I'm adding, for us who remember so far back in time, that that effect was barely measurable. Furthermore, the Council of State states that: ‘cooperation of other measures and favourable weather conditions may also have contributed’. Yes, of course. There have been several things happening, better car engines, more salting that gives more days than before with wet roads, and better sweeping – and this has been much more important to reduce the particulate matter. The maximum levels are that no more than 35 days per year with more than 50 mg of dust per m3 of air is permitted. However, this was also observed before the introduction of the environmental limits. In other words, there is no evidence that the environmental limit has had any effect on suspended particulate matter. The Council of State also writes that the Environmental Speed Limit has not had a negative impact on the resolution of the criticism. As I was inside one of my lines, of course it doesn't. It has hardly led to any recordable reduction of speed since the traffic scene is essentially the same as before. On the E18 in the west, the speed limit was reduced from 80 km per hour to 60 km per hour, while the speed just went down by 4 km per hour. I'm a fan of reduced speeds. When the roads are soaked as a result of under-cooled rain, the speed limit should fall – not to 60 km per hour, but to 40 km per hour or to 30 km per hour. A good tool is a controllable speed limit sign, as you have on the E18 in Oslo west, and in most road tunnels in Oslo. However, these are used only for the purpose of establishing environmental limits. My call is: Put these systems into active use and introduce variable speed limits on the rest of the few miles that we have with highways in Oslo. The general reduced speed limit regardless of weather and driving conditions is a disc bomb. It only creates irritation and less respect for both speed limits and for signs in general.
ParlaMint-NO_2011-12-16.ana.ud856e1692	Several have not asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 1823]]
ParlaMint-NO_2011-12-16.ana.ud856e1708	At the request of the Committee on Transport and Communications, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Those who had to sign on the roster in addition to the allocated speaking time will have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
