ParlaMint-NO_2011-11-23.ana.ud1456e26	The representative Anne Tingelstad Wøien, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-11-23.ana.ud1456e830	It is not because I receive special treatment, but because the previous question was postponed one week. It's a question to the Minister of Health and Care. ‘Recently, there has been a strong focus on the chaos-like degradation of good quality in the hospital supply that reorganisation within the Oslo University Hospital leads to, in particular, an increase in waiting time before treatment for groups with life-threatening and serious illness. However, as reports on TV 2 have shown, there is also unacceptable and irresponsible patient follow-up and waiting time development for patient groups in hospitals elsewhere in the country. How do the Department and the Council of State contribute to the quality development of hospitals in the Health West?’
ParlaMint-NO_2011-11-23.ana.ud1456e841	I take as my starting point the way I got the question in writing. Now read the representative Sortevik «Directorate of Health» instead of «departement». But the ministry follows up the health businesses. I would first like to state that changes and conversions are an essential part of the quality work in Norwegian hospitals. We can't believe that creating calm and stopping change will give patients a better offer. It's not like this either in Oslo or in the West. In recent years, major changes have been made both in the organisation of hospitals and treatment methods. This has given results Norway can be proud of. We're also confirmed by international studies. As you can see, there is a good question the representative asks. A central task of the Minister of Health is to monitor the quality development of hospitals. That is why I have introduced much more quality objectives that are published and used in my follow-up to, among other things. Health West. The Ministry's management and follow-up is primarily carried out through the mission document and the business meetings. The Ministry sets management requirements in terms of both quality, patient treatment, research, education and training of patients and relatives. In addition, management requirements of an economic and organisational nature are given. Reporting and follow-up of regional health enterprises is carried out by means of annual notification, annual accounts and annual report. I also receive monthly reports that I follow up in meetings, and the regional health companies have expanded reporting for each tertiary. In addition, the Ministry of Health and Welfare has established monthly follow-up meetings with the management of regional health enterprises. In the 2011 mission papers, I have strengthened the management requirements relating to quality and patient safety. Brain strokes, cancer, diabetes and maternity care are among the subject areas followed up. The 2011 mission document also requires all hospitals to participate in the National Patient Safety Campaign in safe hands. In addition, I have notified a big message about quality and patient safety, so that we can discuss this topic in its full scope here in Stortinget.
ParlaMint-NO_2011-11-23.ana.ud1456e858	Thanks for the answer. The last part is unconditionally positive, a broad discussion of what should and should be quality in the hospital sector and how it is followed up. TV 2's report on Tuesday 15 November about the patient with prostate cancer was from Haukeland University Hospital in Health Bergen. He had first waited a very long time for the investigation, so waited for the results of the tests, and now he is waiting for treatment. In the same report, the surgical department in Haukeland confirmed that the waiting time for treatment for this patient group was 12–14 weeks, i.e. 60–70 working days. But cancer also works on weekends. In addition, the certainty of life-threatening disease strongly affects mental health. Is total waiting time acceptable in this example and especially acceptable in relation to the 20-day waiting time guarantee that patients actually perceive that the country's prime minister has given?
ParlaMint-NO_2011-11-23.ana.ud1456e869	With regard to the waiting time that was advanced in that report, it is very difficult to go into a single case, but this long waiting time is not acceptable in relation to the objectives we have set in terms of treatment and patient progression – this is because it should take 20 days from the hospital receiving a referral to treatment. That's the objective of 80 pst. by the patients. It must also be that if treatment is not started, patients must be informed why it is not done, that it is not necessary to start treatment, or that they should wait and see. In some cases it's like this, without me going into medical assessments. That's not my area. Then it is very important to know what the Prime Minister has actually said. He said that for 80 pst. of patients, there is a target for initiation of treatment within 20 working days. It's for hospitals to set up.
ParlaMint-NO_2011-11-23.ana.ud1456e878	Thank you again for your answer. It is well and good with good goals, and what is referred to are good goals. But it's actually even better if they're achieved, and even better if they're clearly achieved, so that it's obvious to the one who's experiencing the uncertainty associated with having a life-threatening disease. Haukeland University Hospital had failed to handle writing to patients upon transition to electronic hospital systems in 2010. It has been duly reported in the press. They have had a long-standing deviation from national guidelines on overtime in pregnancy, which is only now closed in November 2011. Haukeland’s own websites show quality indicators that have some worse results than the national average. Time to wait has been reported in a variety of ways - for cancer at all. Today's website shows that waiting time for cancer has been updated on 19 May this year, giving no specific waiting times. I guess that's bad with the good goals, isn't it?
ParlaMint-NO_2011-11-23.ana.ud1456e889	In the case of the quality indicators — especially with the lead times of cancer — new figures were published yesterday. They are now on the web, on healthnorge.no. That's where they have to be. It says what the situation is for each hospital. It's absolutely right that there are inequalities between hospitals. In the case of the lead-time, which is important for patients with a serious disease, this is particularly important precisely for the reasons that the representative Blackevik mentions: Cancer is a dangerous disease – can be dangerous and life-threatening – and it may be difficult for the individual to have such a serious diagnosis. That's why we have to do what we can to facilitate the situation for patients. An agreed course of patients is then important — and predictability is in it. But the quality objectives are very important to know where to stand.
ParlaMint-NO_2011-11-23.ana.ud1456e903	This issue is postponed to the next Question Time, when the Council of State has left. The next question is Per Roar Bredvold, and Defense Minister Espen Barth Eide will answer. Then the President takes the opportunity to welcome the Council of State to the Stortinget. I congratulate him on his office and want a good cooperation between the Stortinget and the Council of State.
ParlaMint-NO_2011-11-23.ana.ud1456e912	I would also like to congratulate Mr Eide as Minister of Defence. To that end, I would like to ask the following questions: ‘More HV districts have now been proposed, such as: HV-05. HV-05 has an estimated 3,650 soldiers in Hedmark and works very well, and is, and will be, a very important part of our preparedness in a crisis, regardless of the situation. Does the Council of State consider it appropriate once again to reduce the number of HV districts and the number of HV soldiers?’
ParlaMint-NO_2011-11-23.ana.ud1456e921	Thank you for your words, President. I look forward to the cooperation. The current long-term defence sector plan represents the end of an in-depth defence reform that has given us today's modern response defense. This long-term plan expires in 2012. As you know, the government aims to present a new long-term plan for the defence sector in spring 2012. This will indicate the direction of the Defence into a new era, and build on the current broad lines that are widely agreed upon on the Stortinget. In this context, the Defence Manager will present his/her professional-military advice tomorrow. The Council will play an important role in the government's work on the new long-term plan. Home security is today an important part of our overall preparedness for crises, war and for major national events. In January of this year my predecessor gave the Chief of Defence the defence policy priorities that underpin the work of a comprehensive professional-military council. Among other things, the Chief of Defense was asked to conduct a thorough review of the country's defence, including the Army and the Home Office. The terror that struck us on 22 July has further updated the importance of civil-military cooperation. In addition, the Defence Manager was subsequently asked to assess how the defence resources could be further structured and made more appropriate in order to provide assistance to civil society. In this context, the protection of the home is particularly advanced by the government. As Minister of Defence, I am concerned that the work on a new long-term plan should be a thorough and broad political process, with contributions and anchoring in the activities concerned and in close cooperation with the employees' representatives. The Chief of Defence Council will provide a good basis for public debate on the issues to be addressed in the long-term plan. Both the technical advice and the public debate are important input to the government's work. The government, in turn, will present its overall proposal for a new long-term plan for the Defense of the Stortinge to spring. Therefore, on this basis, I do not want to comment on individual elements of the advice I receive until tomorrow. However, there is no doubt that Home Security will continue to play a key role in a future defence structure, and that in the development of Home Security we will place great emphasis on an even better civil-military cooperative.
ParlaMint-NO_2011-11-23.ana.ud1456e940	I thank the Council of State for the answer, which was, to that extent, a good investigation, but it did not say so much about what the new Minister of Defence himself wants and believes. I remember the time I started on the defence committee – that was in 2001 – and if I remember the figures correctly, it was about. 83,000 Home Guard soldiers and approximately 83,000 Home Guard soldiers. 20 Homeland Districts. Now both of these numbers are approx. halved, and if the leaks that show that there will be even fewer home-protection districts – and perhaps even fewer home-protection soldiers – turn out to be right, then at least I'm personally very afraid of the situation we're going into. If we look further ahead, and the Home Guard may be decommissioned and become part of the Army, it is – with my personal position – that jokes about me. But at least I interpret the Council of State as he looks positively at the Home Office and wants to lay a protective hand over it. I'll interpret it your way.
ParlaMint-NO_2011-11-23.ana.ud1456e949	Governments are free to comment.
ParlaMint-NO_2011-11-23.ana.ud1456e952	I would like to stress that I share Bredvold's view of the importance of Home Protection, and I would also like to say that although there are fewer people involved in today's Home Protection, there is a significantly better home protection we have today than we had ten years ago. Since I was a few years before it was in the Home Office itself, I should say that we did a good job. But I think what's done today is even better, and that we've seen through both the exercises and the training levels that we've had a quality reform that's brought the Home Protection system forward. Without foreshadowing the defense chief's proposal, I will take that view with me in the further process.
ParlaMint-NO_2011-11-23.ana.ud1456e962	I thank you for those comments – which I, as I said, choose to look positive. Then we'll see what's coming tomorrow, and hope that there are positive signals, both for the Defense as a whole and for the Homeland Protection. Because there is no doubt that the Home Office has local expertise, it has characteristics that we can use in a crisis situation – regardless of crisis – in a good way. I don't think there's any other form of preparedness that could be better than having an up-to-date, good home protection.
ParlaMint-NO_2011-11-23.ana.ud1456e967	I would like to emphasise once again that I share Bredvold's view of the importance of having an up-to-date and modern protection of homes within the mission aspect that Home Protection has received from government and mass destruction. We will take that with us in the work further. I would also like to take this opportunity to say that I look forward to working with the Stortinge on a future long-term plan, and would remind you that tomorrow I will not respond to the details of the proposal for respect for tomorrow's Defence Manager's day, and we have a subsequent political process that ends up in a comprehensive long-term plan proposal for the Stortinge.
ParlaMint-NO_2011-11-23.ana.ud1456e976	I have a question for the Minister of Defence. ‘Stavanger Aftenblad has a case on 16 November 2011 concerning a nurse who was injured while in service in Afghanistan. She had to undergo surgery after she came home, and then she felt that her efforts for the country gave little back. The size has been concerned for a long time with the good treatment of those who serve outside even after return. Does the Council of State think that this case gives the Defense positive feedback, and what action will the Council of State take to improve the situation of those who need it after the end of service?"
ParlaMint-NO_2011-11-23.ana.ud1456e985	The proper provision of defence personnel is a government area. It is obvious that injured soldiers will have good follow-up both at home and outside. However, I ask for an understanding that I cannot go into the very individual matter that Ellingsen here raises. However, let me say the following: the government presented an action plan earlier this year with a number of measures for the provision of staff before, during and after foreign service. In Norwegian scientific policy, a general principle has been established that injured personnel should be followed up in the ordinary health, care and social services. The execution of injured persons, both health, social and economic, is a social responsibility. Norway has a good health and welfare service and a good welfare system. Experience shows that those in need of help are best served by using the established schemes. This gives better care, quality and resource use than if the defence that the employer should establish special care. Our soldiers deserve the best treatment. However, we need to ensure that health services and other public services have a better understanding of the special health challenges facing veterans. The action plan therefore contains concrete cooperation measures between the health service and the defence to ensure this precisely. These include: develop a training package in military psychiatry for doctors and psychologists. Cross-ministerial work shall contribute to the continued focus on the implementation of the Action Plan and the development of actions. The defense now has its own veteran inspector who runs a project called the Defence Veterinary Service. The service is a low-threshold offer to our veterans. Veterans shall always be able to request further guidance from the Defence Veterinary Service. From 2010 onwards, the veterans have been given a legal right to one year of psychological and psychiatric follow-up under the auspices of the Defence Agency. Regardless of the time since service, the defence shall be able to offer investigations and further references to the healthcare system. Next week, the defense will organise its own veteran conference to contribute to an increased understanding of the veterans' special challenges. Central actors from the public sector will participate. The execution of injured veterans is a responsibility we take very seriously. In recent years, the government has prioritised this work highly. The many initiatives and actions undertaken are in the process of strengthening the follow-up of the defence in a good way. The objectives and actions of the action plan are also geared towards a better, more seamless and holistic social responsibility for the veterans.
ParlaMint-NO_2011-11-23.ana.ud1456e1002	I thank the Council of State for the answer, and I doubt neither the ambition nor the vision of government to do better. But the challenge is, even if we are not going to discuss individual matters, that there are actually too many examples of people who register the words but miss the action. With that as a back cover, you can use the case that I am raising today as a reference point. So here we have a person who's been out, served, returned with an injury, and feels like the one she's been working for, doesn't value it. So the Council of State says to take care of staff before, during and after foreign service. In addition, they say that those who have been out should have the best treatment. I would then say, with the background of this matter, that it does not exactly light up from this example in that way. My challenge to the Council of State is, of course, then: Since we still have these challenges, what concrete action does the Council of State think should be taken to put this in place? For example, there are enterprises in Norway today, such as the United Kingdom and the United Kingdom. has insurance arrangements and takes care of theirs. What will the Council of State do?
ParlaMint-NO_2011-11-23.ana.ud1456e1009	This is a field that has been working a lot for now for a number of years, and I think the situation is considerably better than it was, but at the same time not as well as it should be. That's why there's still work to get these things in place. But I want to repeat that the starting point is that the somatic support of the defense for soldiers is given when they're on duty out there. When they come home, the follow-up of normal somatic disorders will take place in the normal health system. Then we've found that there are certain challenges that are typical of veterans, and we've set in motion a better cooperation between the Defense and the relevant agencies to make it better. But I don't want a system where, for example, public servants are purchased at the front of the queue with regard to the priorities of the normal health care system. We have a good health care system, and it is important to use it in the best possible way, with a special understanding of the challenges facing veterans.
ParlaMint-NO_2011-11-23.ana.ud1456e1016	With all sorts of respect, that means, if I'm going to interpret the council correctly, that if everyone has the same good/like bad, it's kind of okay. I would like to believe that this is in the utmost consequence and challenges the recruitment of the defence. If in the worst case, people are going to be able to risk coming back with a lasting injury, and then feel safe in this way, I think you might be hesitating. I might imagine asking the Council of State in more general terms. It's a shame that the defense gets a look-up of quite a negative nature at regular intervals. We saw yesterday that the Riksrevision was out and said something about the defense's ability to deliver according to Stortingen's order. This is one thing. There are other things where the defense is hit because you either handle things too badly, or simply don't have the ability to have the focus you need. Now the Minister of Defence has recently joined. What ambition does the Minister of Defense have in dealing with or reducing the volume of issues that give the Defense negative publicity?
ParlaMint-NO_2011-11-23.ana.ud1456e1025	I understand that the representative Ellingen is now expanding the topic somewhat, but that's fine. Let me first say that it is difficult to go into a specific individual matter that lies in the health care system. However, substitution schemes have been established that are widely used in that type of case and that did not exist before, and they are among the best available in public Norway. I know from my second appearance that other agencies envy the defense of the arrangements that have now come. With regard to my general ambitions, it is to continue the very positive development we have had in the same years. We are now seeing synergies take effect. We get better results every year on the operational capability of the defense, and that will be my first priority.
ParlaMint-NO_2011-11-23.ana.ud1456e1034	That being the case, it is no. 2 completed.
ParlaMint-NO_2011-11-23.ana.ud1456e1047	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
