ParlaMint-NO_2007-05-15.ana.ud2683e51	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2007-05-15.ana.ud2683e1035	Øyvind Halleraker has spoken twice earlier in the debate and is given the floor for a short reply, limited to 1 minute.
ParlaMint-NO_2007-05-15.ana.ud2683e1038	Thank you for that! The representative Langeland makes a number that the Right has changed his mind on a matter that we saw was crazy. That was exactly what the government was doing in the previous case we were dealing with, also while the matter was going on. That's how Langeland talks about pride. I would like to admit that I am not proud that we followed a misguided professional advice, but I am proud that the commitment shown to this decision helped the Bondevik government to start work to change the decision. That's the result of what we see today.
ParlaMint-NO_2007-05-15.ana.ud2683e1046	Hallgeir H. Langeland has also spoken twice earlier in the debate and is given the floor for a short reply, limited to 1 minute.
ParlaMint-NO_2007-05-15.ana.ud2683e1049	I think it's good that Halleraker is now satisfied with this government when it's about the licenses to Fedje, and that we're spending 29 million. kr to restore the depot there. That's good. I appreciate the fact that the Right's representative is now boasting of it. The reason why I had to take a last line is that the former Minister of Environmental Protection was not quite precise in his explanation of this. Mr. Brende was Minister for the Environment. He got a report from the SFT saying one had to have 100 million. kr extra for oil protection in Norway. It didn't matter to Mr. Børge Burnde at all, he didn't care about it at all. On the contrary, Mr. Børge Burnde, from another government position, is laying down an oil warehousing depot in Norway and weakening preparedness. Then I thought I should be a little bit careful about criticizing this government, which is actually now spending 29 million dollars. kr to set up a façade that Børge Burnde himself stood for.
ParlaMint-NO_2007-05-15.ana.ud2683e1056	I just want to repeat what I said in my previous post, which is what the State Council Helga Pedersen also said in the Stortinget last week, that the Government's assessment is that oil protection is today at a satisfactory level – and that after not having awarded one additional crown, according to WWF, in two years. With regard to the figures from the SFT in its time, they were not excluded from the public. SFT's figures were explained in landfill proposals, and the Storting could discuss it. As I said in my post, I look up to several parties here that had no additional appropriations, because the government said that oil protection equipment – after starting work on changing the sailing routes, after expanding the territorial waters limits and also after strengthening the tug capacity with three boats – was satisfactory. What this debate is now about is that in 2005, a report was issued at the Government’s table, which said that to maintain oil protection at a safe level, 50 million needed to be needed. SEK in 2006 and 70 million. kr in 2007. Has the Storting been made aware of this report? No, no, no. We did not know that the technical advice was that so much extra money was needed because of the opening up of oil and gas activities through the new management plan, and because more oil tankers are now sailing along our coast. Then, of course, we could also get a comment from the Government related to the Coastal Works report, where they had said yes, we have reviewed the report, and we believe that the additional appropriations are not necessary. The level at which we are today is satisfactory. At least then the Stortinget in designing its alternative budgets had the information that we should have had and that the Stortinget got through the SFT report in 2001. I don't think it's right to let Stortingen access that kind of information, even if it feels uncomfortable. It is particularly important in an area as vulnerable as oil protection. It is important that this information is provided to the national Parliament of the country. Had I been from the government parties, I would have said yes, Stortinget should have got this report on his table, and we should not have kept it secret until after the accident at Fedje. Then we could discuss the level and have arguments in both directions.
ParlaMint-NO_2007-05-15.ana.ud2683e1069	Firstly, this government has proposed to grant extra money. The allocation of the Fedje deposit proposed in the revised national budget is a good example of this. In the forthcoming budgets to be submitted by this government, we shall return to the report of the Coastal Works and to the slowdown left by the Bondevik II Government. The representative Børge Brende argues that this report had not been published. It has been published. The right has every opportunity to add the appropriations they want into their alternative state budget, an opportunity they don't use while they put in government and made proper budgets. The right has an excellent occasion when revisions are to be dealt with in Stortinget. That's where the government has proposed $29 million. kr to restore the depot that the previous government laid down. I hope and expect that the Right will support that proposal, and I am glad that the depot has been restored.
ParlaMint-NO_2007-05-15.ana.ud2683e1078	Mr. Brende has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2007-05-15.ana.ud2683e1081	I had actually looked forward to the articles of the Council of State. I had hoped that the Council of State had put the matter to death linked to this report, and that she had been so generous as to say that this report should probably have been informed in the current year's budget proposal. I think the Council of State would have earned that. It's not true, as the Council of State says, that we could take this information into account in our alternative budget. That report has now been released, but it was released after the Fedje accident, in March this year. How could we have taken this into account in our alternative budgets? I just don't understand that. I think it's a good principle to give the Storting the information that the Storting wants. It may also help to push forward increased bets, if that's what the Council of State wants.
ParlaMint-NO_2007-05-15.ana.ud2683e1088	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 3023]]
ParlaMint-NO_2007-05-15.ana.ud2683e1104	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 5 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Christian People's Party 5 minutes, Center Party 5 minutes and Left 5 minutes. In addition, it is proposed that the Council of State should have a speaking time of up to 5 minutes. In addition, the President will propose that there be a succession of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the posts of members of the Government – within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-05-15.ana.ud2683e1117	I think the temperature in this case is a little lower. It is also because, in my opinion, we have received a good document on the table related to offensive and internationally oriented chemicals policy. There is no doubt that the three really major environmental challenges we are facing are related to climate, dramatic loss of biodiversity, and that the amount of pollutants and other health and environmental hazardous chemicals we are dealing with is such both nature and quantity that it blends with the other two challenges. Environmental toxicities do not have any national boundaries and are, in fact, a not insignificant global problem. Norway and the north are particularly vulnerable to pollutants that produce ocean and air flows from other countries and parts of the world. Again, strict bans here at home are of little help, as long as our vulnerable Arctic acts as the world's toxins sink. In other words, this is also an important global challenge. Many of the environmental problems we face today are due to the ignorance of the past. PCBs, DDT and mercury were used for a long time without any known adverse effects. Today, such old environmental sins are found in polluted soils and polluted sediments in the fjords. In fact, there are dietary restrictions in 27 of our fjords, where it is not recommended to eat shellfish and the like. It is also true that in the 1950s and 1960s there was not much discussion about the use of PCBs and DDT when we are discussing remediation in contaminated land and in previous environmental sins. What is important in this communication is that we now also imagine what will become the future pollutants, where in fact someone in 20 years can say: why didn't you say no to this in 2007? We need to be more predictable, and it is the framework around such a code that we are today asked to decide. The environmental toxins accumulate in the food chain and create problems for animals and humans. It's actually the case that in måseegg in North Norway it's been measured so high PCB values that it's not recommended to eat more than one måseegg a year, and this is one of the areas that we think is cleanest in the world. Children and women of childbearing potential are advised to avoid sea eggs altogether. Researchers also suspect that misalignment in polar bears on Svalbard may be due to high levels of PCB. Why, for example, are living? polar bears on Svalbard so much shorter than the corresponding polar bears that you have in the northern part of Canada? There may be something about the airflows that are different. More of the pollutants end up because of the special air currents up in our Arctic areas. We must, as I said, avoid creating similar problems for later generations by using chemicals that can prove to be future environmental pollutants. Such an example may be brominated flame retardants. In the last 20 years, a sharp increase in these substances has been recorded in breast milk. The experience with PCBs shows that once pollutants are released into the wild, it is very difficult and expensive to clean up afterwards. So this is an area where the principle of good value both ecologically and economically is preferable. At the same time, it is difficult to imagine a modern society without extensive use of chemicals in products and processes. Only on the European market today there are 50 000 chemicals in use. It's the most dangerous chemicals, the pollutants, that we want to protect ourselves completely from. These can cause, as I mentioned instead, great damage in the long term. Among the most famous toxins are lead, mercury, PCBs, cadmium and brominated flame retardants. The most dangerous pollutants are not just dangerous by direct contact. In addition, they have the property that they climb up the food chain. It doesn't help to ban a substance at home when we import goods from other countries that are less strict than us. It helps little to impose strict requirements on the production of new products if at the same time we do not have a good grip on the sorting of hazardous waste at home. The Committee has worked closely on this matter and has in fact also agreed that it is an important task we are now facing to establish a toxic-free environment and a safer future. The Committee stresses that: ‘chemical policy must be consistent and predictable and have a long-term perspective. Nor should chemicals policy contribute to the disappearance of important industrial workplaces from Norway and the establishment of companies in countries with lower environmental standards. It loses both Norway and the environment.’» In addition, a new chemicals legislation has been established within the EU. In this area, too, the EU is the major global environmental player who is most offensive. It is interesting to note that the EU is now out there setting ambitious objectives in climate negotiations. We're coming for Norway. As regards biodiversity, the EU is the leading driver globally, and Norway would, for example, EU membership had to strengthen a good part of its natural management policy due to more stringent legislation there. The EU has also taken a great deal of responsibility in the field of chemicals policy. So it's interesting that there's a joint committee that says, ‘With its extensive requirements for testing, information on use and exposure up and down the supply chain, REACH is very ambitious in a global context. The Committee shall meet with the implementation of the REACH Regulation in Norwegian legislation as soon as possible.’ I would also like to challenge the Council of State in its contribution to say something more about when the Council of State sees it possible for the REACH Directive to be included in the Norwegian legislation. I understand that there is now a hearing going on, and that it is complicated to say an exact time. But what an overall committee says, and also with the SV's excellent representative on board, is that we should get a clarification quickly, and that we should also include the REACH Directive quickly. I think that the Council of State in a letter to the Committee highlights both the impact it will have on Norwegian jobs, and the danger that some of the industry will then move out of Norway to areas with lower environmental standards, if we are not quick to include the REACH Directive in Norwegian legislation. State councils say in their response, which is referenced on page 12 of the setting: ‘REACH is of major importance for Norwegian industry and, in particular, Norwegian suppliers of chemical products. As long as REACH is not part of the EEA Agreement, Norwegian suppliers could be considered to be exporters from third countries and EU customers would then be given the status of importers with the extensive obligations involved. This could result in EU customers preferring suppliers within the EU.» [[...]] We have to avoid for the most part that due to the late implementation of REACH in Norway, we have a situation where important Norwegian jobs disappear, for example. the large paint producer Jotun and l. This is essential, because there is no environmental benefit in their eventual disappearance. What is now also significant, and where I want to demand a greater commitment and more concrete initiative from the Government, is in terms of cleaning up the sediments. I mentioned the 27 fjords that have so many pollutants in the sediments that dietary restrictions have been imposed. An important work has been started – one has done it in Sandefjord, one is in Oslo, and one has done it in Trondheimsfjord – to clean up these old environmental sins. In fact, here I am calling for a more concrete action programme from the Government, and at least as an opposition party, we regret that this year the Government reduced the funds for clearing up the fjords by 6 million. kr. That was correct following an increased effort in the 2006 budget. But in an area that is so incredibly important, it was stupid to cut for the current year. It is also interesting to hear the thoughts of the Council of State and the Department. Was it a work accident that you cut off, I think it was $6 million. kr or 7 mill. kr for the current year? The needs are huge. The need isn't just tens of millions. The SFT has stated in a previous report that it is about billions. But these are investments to clean up old environmental sins. Keep those responsible, but many of them are not searchable. So it's about pollution from so many years back in time that the state has to go in and take responsibility. I believe that Norway is now establishing an offensive chemical policy through this big business message. We've had it internationally and nationally for many years. We've had some of the strictest demands. However, by including the REACH Directive into Norwegian legislation at the top of this, we get an even better and more effective regulation. And then we're going to hope that we get an international impact so that a lot of this code can become a global code, because it doesn't help much if we have strict rules, and China doesn't have them, and a lot of this ends up in the Arctic.
ParlaMint-NO_2007-05-15.ana.ud2683e1162	The protection of the environment has now come seriously on the political agenda, and this government has more than any other government has taken the initiative to turn Norway into one of the countries where others have so far only spoken. We're going to deal with the fight against a number of pollution. There is a significant reduction in emissions into air and water, a reduction in substances that deplete the ozone layer, a reduction in substances that supply excessive amounts of nutrients and a reduction in greenhouse gas emissions, etc. Of course, this picture includes the use and emissions of the pollutants. We want a safer future. Therefore, we now need to set targets for a policy that does not lead to health damage, which does not lead to damage to ecosystems, and which does not result in damage to nature's ability to produce and self-renewal. The ambition of the red-green government is to bring the concentrations of hazardous chemicals down to the level corresponding to the background level of naturally occurring substances. It implies a level of almost zero for man-made pollutants. One of several initiatives and responses comes through the big message we are now dealing with on a non-toxic environment. The need to bring about the necessary regulation and, where appropriate, the prohibition of the use of many chemicals is urgent. This was evident in the work in the EU on a new chemicals legislation, REACH, which Børge Brende mentioned quite broadly. I have partially followed this work in the EU since the European Commission presented its proposal in the autumn of 2003. In this work, it turned out that, first of all, we have a huge number of chemicals in use, and second, we don't know if these are harmful or how harmful these are. So we're talking about tens of thousands of chemicals. We don't know enough about health and the environment. This is very serious. In the future, the chemicals around us must be safe. It is important that environmental pollutants are removed from the recycling chain. The chemical legislation must also be clear and the supervisory bodies must have knowledge and ensure that the legislation is complied with. I've worked a lot on health issues and health policies in the past, and I just have to admit that it has sometimes been frustrating to see an increase in the incidence of many diseases, without anyone pointing to clear cause factors. Many cancers have increased by from 100 pst. to 300 pst. on approx. 40 years. It would not be particularly speculative to assume that health and environmentally hazardous chemicals have a rich share in these sad statistics. Strong increases in the incidence of allergy and reduced fertility also need explanations. Unfortunately, the worldwide use of pollutants includes: in agriculture long after it was clear that use could or would cause serious damage. This sample of examples can form a backstop for us to make significant improvements as the lack of knowledge about chemicals decreases and decreases. Moreover, as mentioned in the Communication, the precautionary principle is important when science cannot provide us with safe advice and answers. Contamination of the paying principle also makes many think about. If it costs to pollute, the improvements will also get faster on the table. However, much has already been achieved if one looks at the results of reductions in emissions on the list of priority areas, including for example: 95 pst. reduction from 1985 to the present day of the most dangerous substances on the list. However, much remains in the case of both PCB, brominated flame retardants and various heavy metals, such as: lead, cadmium and mercury. For example: heavy metals, global agreements are still to be reached, and Norway needs to make a strong contribution, as the Government has also announced in this Communication. It is important that the UN adopted classification system, with classification rules on which physical, chemical and health and environmental properties that may be hazardous, can now be accepted and implemented worldwide. In addition, it is important to gain understanding, both in Norway and globally, so that essential parts of production and future value creation are based on a clean and non-toxic nature. Yes, in many respects this is a decisive competitive advantage. I could only mention one of the most growing industries out there and at home, namely travel and tourism. Food safety is increasingly linked to toxic and environmentally friendly production methods and to a toxic-free environment. We are now making very strict demands on the use of chemicals in our largest industry, that is, the oil and gas sector. It hasn't always been done sufficiently in the past. The requirements should be tough and consistent. The sea is far more vulnerable than many have wanted to take over so far. In the notification, the government gives examples of strong commitment to the cleaning up of contaminated seabeds and the cleaning up of contaminated sediments. An action plan in this area is clearly set out in the Communication. That's excellent. That is why I do not think it was absolutely necessary to make a separate proposal from the opposition on that, because this is already happening. There's something called looking up open doors, it doesn't. There's nothing wrong with the proposal, it's just that the government has already taken this into account. I am also very pleased that an action plan is being presented to clean up contaminated soil in kindergartens and playgrounds. Security for our children and others must be important. I mentioned REACH earlier in my article. It is now important that the REACH Regulation – because it is a regulation – be included in the EEA Agreement, as the formalities require. If this is not the case, Norwegian enterprises will have an almost insurmountable competitive disadvantage — at least for some industries. I have noticed what the Minister for the Environment wrote to the Committee, which is also quoted earlier, but let me, to be complete, take it into my post here: ‘As long as REACH is not part of the EEA Agreement, Norwegian suppliers could be considered to be exporters from third countries and EU customers would then be given the status of importers with the extensive obligations resulting from the Regulation. This could lead to EU customers preferring EU suppliers.’ It is therefore urgent to clarify, so that customers such as Norwegian companies do not have in the EU are now switching to EU suppliers. It's said that someone has already started making strategic choices, so we can't wait too long to do this. I would also like to say that it may be a risk sport to try to obtain extensive exemptions from parts of REACH. It is very unlikely that we will be exempted from the REACH regulations that no other country has received. We'd rather work for – it's my visit to the Government, and I'm sure it does too – that the legislation for everyone is adjusted in line with new knowledge and good environmental policies.
ParlaMint-NO_2007-05-15.ana.ud2683e1214	Let me start by commending the Government for the job it has done with this message. I want to say a few words about the polar bear. The climate is changing. The ice is retreating. It has done the same before, but this creates certain problems for the polar bear. In addition, higher and higher levels of chemicals are being measured in polar bears in the northern regions. These toxic chemicals come up through the food chain, through fish for sale and into polar bears mainly. This causes the polar bear to face two challenges, of which at least one is man-made. The high level of chemicals causes the polar bear to have problems with fertility. But even though polar bears act in areas that we regard as Norwegian, most of the chemicals come from other parts of the world. It shows that it is important to have a significant commitment to international negotiations, because this challenge cannot be solved only in Norway. What you can solve in Norway is the problems facing seabirds in Trondheimsfjorden. Because of many years of high levels of chemicals and toxins in the water in Trondheimsfjorden, many seabirds nesting in the area have suffered a severely reduced breeding success. The reason for this is that the seabirds shall not take up enough lime. This reduces the breeding success, given that the eggs are not strong enough. These toxins don't come from the United States. Here I think I want to arrest some of the government's points in the message. Today the toxins come out mainly through the sewerage in Trondheim, and there is reason to warn against. It shows that national measures are also important, in addition to international measures. I find that the Government in the notification is using the polluter pays principle. Then I am proud to say that the Progress Party was the first party in Norway that the programming party just pollutes the payment principle. Some of the other things I also want to highlight from the message are the need for information to the consumer. Then I'm just going to mention areas where we don't fully agree with the majority. The part of progress indicates that copper, which is a micronutrient, should not be compared with serious toxins such as PAH, TBT, mercury, etc. For example, the impact of a rigid and strict legislation on the use of copper in Norway may be expected. the shipping industry is relocating its maintenance tasks from Norway to other countries. Then I hope that the REACH Directive can correct any changes. Should copper receive the same treatment in the REACH Directive, this is not a major problem. But to charge a substance like copper when its use is based on the best available technology, we find something strange. Marine sediments have both of the previous two speakers. The problem is that one cannot essentially say that the polluter has to pay, because the polluter is often not known. Pollution has been going on for decades. Unfortunately, the state has to take that bill. I look forward to the government coming back with a more ambitious bet on just this work. So it's like there's also some serious pollution on land. The Council of State and I had a debate a year and a half ago about the Nygården in Malvik. We have now been given a clarification to Nygården in Malvik that it will be cleaned up. We just have to appreciate that very much. I'm going to end by pointing at this with mercury. I find two major paradoxes about the government's work on this. Every year, the Norwegian industry releases approx. 200 kg of mercury. There is little relative to the amount of aluminium and lime produced in these processes. In Fedje there are 46 tonnes – 46 000 kg – mercury. I believe that the Government should have credibility in protecting Norway, Norwegian nature, Norwegian consumers, Norwegian fishing industry and Norwegian agricultural industry against mercury, the Government must also remove the mercury at Fedje. Another paradox is that in the same session as this message is being presented, the government will most likely also provide an injunction for the use of one-off barriers. Usual bulbs do not contain mercury, while disposable bulbs contain mercury. This leads to increased consumption of chemicals in the use of the product. I thought the intention of this message was to reduce the consumption of such products. I refer to the proposal in the vote.
ParlaMint-NO_2007-05-15.ana.ud2683e1240	The representative Tord Lien has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e1245	The representative Lien must do right for his daily salary today! There was a paradox in the representative's posts that made me take this line. Very many of the environmental improvements we have seen are linked to the fact that government and government have made demands both on public authorities and on companies to reduce emissions from production or services. The representative, Lien, is a polluter of the payment principle. It's a very important and correct principle. Then it may be unfortunate, but perhaps not surprising, that the Progress Party would not be involved in a comment that we have in the vote, where we are just stressing the need for extended producer responsibility to reduce the use of pollutants. With the opinions expressed by the representative in his post, I wonder whether he can live with such an observation.
ParlaMint-NO_2007-05-15.ana.ud2683e1254	Absolutely. We assume that for all hazardous pollutants, the best available technology — the best available technology — should be taken into account. Contaminants the paying principle is clear. The Progress Party has joined all the points presented by the Government in its setting. When we have not joined the comment to which the representative refers, it is afraid of the consequences it will have for the Norwegian industry.
ParlaMint-NO_2007-05-15.ana.ud2683e1261	Several have not asked for the word for a line.
ParlaMint-NO_2007-05-15.ana.ud2683e1264	The work on hazardous chemicals and pollutants is a global problem as described by the rapporteur. The chemicals know no borders, and we depend on international cooperation to have a clean environment here. The representative of the Progress Party was also about how the pollutants accumulate in our Arctic neighbourhoods and pose a problem for polar bears and seabirds. Looking back to the 1950s and 1960s, when the first researchers began to suggest this, it must have appeared as a bit of fairy tales that industrial emissions, emissions from sewerage and even emissions from products could follow ocean currents and wind currents all the way to the North Pole, in order to become a problem for the ability to reproduce polar bears and for eggshells to seabirds. There were many of the researchers who were ridiculed. There were many of the researchers who called out a warning then that no one heard. The most famous of them was Rachel Carson, who wrote "Silent Spring", about the effects of DDT, like, for example. did something about just the reproductive capacity of a bird. The history of the pollutants and of the damage they are doing to nature is, in fact, the story of why we have the precautionary principle in environmental policy: if we are in doubt, we should let the doubt benefit nature. I can only think of climate change when I hear the posts in the hall today. The coating we have today for climate change due to pollutants far exceeds what you should have taken seriously at the time. The scientists who called a warning in the 1960s and 1970s would have saved us enormous expenses for cleaning if they had been listened to at the time. Norway has a history of being one of the countries that have tried to lead the way in chemicals policy. We were among the first countries in the world to address the asbestos problem through our strict work environment law. Other countries — and the EU — came a long way behind this. We are still one of the countries in the world which have the most stringent policy on the use of injecting drugs in agriculture. Unfortunately, during this round, the EU was not able to make agricultural chemicals part of the REACH Directive, and that was not the case. Of course, we're going to implement REACH, because it's the framework that we can be with and improve and develop, and that we have to work within. It will strengthen Norwegian environmental policy in some areas, and we need to do what we can to implement it in a way that does not weaken Norwegian standards. The major environmental challenges are no longer the poison coming out of the factory pipes or the factory pipes, it's the poison coming out of the gate. Most of the pollutants in the future will be pollutants present in products. We're starting to get rid of the old pollutants like PCBs -- polychlorinated biphenyl. In a statistic that might not be nice to read, we see that the amount of PCBs in breast milk goes down. But at the same time, we see that we are starting to find increasing quantities of the new consumer chemicals, for example. the brominated flame retardants, in breast milk. When you breast-feed yourself, of course, it's a paradox to think about. It's also a paradox to think that if I had tested myself before I had my child, the content of environmental toxins in my body would have been higher than if I had tested myself now, because there are only two ways that the human body can get rid of environmental toxins – either through breast milk or by giving birth to a child. We still know very little about what the tiny amounts of these dangerous substances mean to our bodies and to our health, but it's important to be aware of it and try not to have them there. That's why I'm happy with the grips the government is now taking to get more information out, so that people can choose away environmental contaminants. Short on cleaning up sediments. For us, it is clear that efforts need to be stepped up. Norwegian fjords shall be a fjord and not a fjord. I am also pleased that there is an almost collective committee that has supported the Ministry of the Environment and the Minister for the Environment in the hard work that is now being done to clean up the Oslo soil.
ParlaMint-NO_2007-05-15.ana.ud2683e1284	With this message, the government has provided an important message for our living environment. The title – Together for a non-toxic environment – also covers the treatment in this room. The Committee's position demonstrates a high degree of political agreement on challenges, objectives and principles for a non-toxic environment. It's a pleasure. This political consensus can thus be used, ladies and gentlemen, to achieve concrete results towards the industry and the commercial industry that markets and uses chemicals. It strengthens the role of a driving force in international negotiations for stricter regulation of chemicals that are hazardous to health and the environment. It also provides an opportunity to promote the interests of the consumer: the security, the right to know and the right to conduct goods. The Christian People's Party wants us to be a driving force in international negotiations. We want Norway to be a priority country to prevent chemicals from harming health and the environment. The government thus has our support if it wants to implement a policy with these ambitions as a starting point. Environmental toxins can be very harmful to the environment and life. These are health and environmental chemicals that are not degradable in nature and easily accumulate in the ecosystem and the human body. When these pollutants accumulate in the food chain, even small emissions can pose an unacceptable risk to health and the environment. The research can document large values in e.g. polar bear and there is a legitimate suspicion that this affects the fertility of polar bear. We already know that 10 pst. of the polar bear population is dubbed. Environmental toxins affect nature and our basis of life, and this knowledge must have political consequences in terms of requiring evidence from industry that used chemicals are safe for health and the environment, and that we place greater emphasis on the importance of leading. In the past, environmental pollutants were dispersed with emissions from industrial production. In recent decades there has been a clear decline in emissions from industry. But the pollutants are finding new ways today. Today, the products themselves are an important source of environmental dispersal. This requires an increased focus on business responsibilities, documentation and the consumer's right to know. It is important for the consumer to have easily accessible knowledge, because knowledge can be involved and prevent fear and fear. But the desire for a non-toxic environment also involves the cleaning up of pollutants. The Christian People's Party believes that it is now important to prioritize cleanup. We agree with the Government that puts the children's play environment in focus. We need to ensure that the play environment is toxic, whether there are products or contaminated soils in playgrounds and kindergartens. It's about knowledge among adults, but it's also about financial resources to replace contaminated soil. An action plan without financial resources is of little value. Treatment of contaminated seabeds is also a challenge. In the Christian People's Party, we are particularly concerned that environmental poisons are now spreading in the Inner Oslofjord with the poison dumping outside the Malmøykalven. We are surprised that an SV Environment Minister ignores the majority of the referendum in SV-steered Nesodden, and listens more to a City Council from the Right and the Progress Party. I cannot be satisfied with the answers given by the Council of State and the Environment Administration to a troubled population around Inner Oslofjord. From the measurements, a halt to the deposit should be re-assessed, the methods should be re-assessed and the situation monitored. I underlined that there is a broad consensus in the setting. But I still want to say that it is strange that the government cannot participate in an obliging escalation plan for cleaning up contaminated sediments. It is also important that the Government clarify the REACH Directive and that it is rapidly implemented.
ParlaMint-NO_2007-05-15.ana.ud2683e1307	It is good to see that there is a great deal of consensus about the communication being presented today and in the comments made by the Committee. This is good in view of the possibilities for an effective follow-up to this big message, and there is no doubt that there is a need for it. In Norway, we have the tradition of being a leading country in this area, where we have been able to combine the concerns of increased production and welfare growth with offensive and forward-looking environmental and chemical policies. There are several of the numbers here that have been at the intersection of industry and the environment, and they have drawn it out in a way that makes it look like this is a contradiction. My view is rather the opposite: these are two considerations that should go hand in hand, and that should have a good opportunity to complement each other. And that's exactly what you see in Norway. The representative, Lien, said that we're going to get out in total at the base of 200 kg of mercury this year. We have an aluminium industry that is probably among the cleanest in the world. Nevertheless, it has been possible to create a framework for this industry, which has been interesting with development, initial investment and new jobs in Norway, now at Sunndalsøra. It is a policy that absolutely must continue. Because it is precisely this dynamic in which the state advances both with whips and with carrots, which provides for innovation, development and forward-looking activity in our business life. That is the relationship with the REACH Directive. The Central Party is also of the opinion that the REACH Directive is a significant step forward. However, we are concerned that this should not be reflected in the fact that there are minimum standards that we require ourselves to follow. We are prepared to implement it, but it is with the clear assumption that this does not mean a reduction in Norwegian environmental standards. It will also be very important that we continue to work to improve the directive, or the regulation, so that we can tighten up the areas where it is necessary throughout the European economic zone. In the message, the government already warns that it is going to work for a total ban on parts of the brominated flame retardants. We are very pleased about that, and it is clear that this ban will have a significantly greater impact if it is introduced across Europe. Last year the committee was on a study trip to Svalbard. There we were given insight into the effects of long-distance chemicals on the polar environment. The representative Tord Lien said instead that it was a challenge for the polar bear that the police disappeared. That must be today's understatement! However, it also has other challenges related to the impact of chemicals, like a wide range of other polar animal species. This first shows how vulnerable it is, and how important it is that we get chemicals out of the value chain, so that we avoid these problems in the future. In addition, it provides Norway with a special opportunity and responsibility through targeted research and knowledge acquisition to participate in and tighten up international legislation. We have the opportunity to be a knowledge base that allows us to base other premises on the further debate. Then I want to stress the importance of having an effective review, and having effective product information, so that people get full information about what their products contain. Consumer awareness is very important. So I'm going to end by saying that the clearing of old contaminated land must be a priority area. We look forward both to the action plan and to increased financial resources in the course.
ParlaMint-NO_2007-05-15.ana.ud2683e1326	Several of the previous speakers have well described the challenges we face in this area. There is also a good description of much of the positive work that has been done and that has helped to reduce parts of the problem. It has also been a good reflection of the challenges we face and of which there is a broad consensus that we must now tackle with strengthened force. For the Left, it is quite natural that we have the ambition that Norway should be a leading country in preventing chemicals from harming health and the environment. It should be an ambition for Norway to be a driving force for more stringent international regulation of chemicals that are hazardous to health and the environment. The Left fully supports the proposed measures in the Communication and an effort in the areas where the Government announces that one will return with a more offensive policy. We also support the principles outlined and which will underpin the work of a non-toxic environment. In its document to the Stortinget, the Government states that one is concerned with strengthening research activities in the field of health and environmental hazardous chemicals. It's a completely natural ambition, because part of the problem is that one doesn't know, and the relationships you don't know. This ambition to strengthen research efforts has, moreover, been described by the Government in a number of areas, and it seems increasingly incomprehensible that in a number of areas, one wants to strengthen research efforts, but at the same time reduces the ambitions through the budgets and says that one wants to have a break in research policy now. It is important that a replacement with a new offensive bet. What is uplifting in this area is to see that policy has worked in some areas. But there's still a lot that's been undone, and we're busy. One of the areas in which it is important to clean up is old environmental sins that pollute land both on land and on the seabed. Thus, although the Government stresses that one should clean up, this, which some previous speakers had in mind, was not followed up with appropriations in the 2007 budget. It is a problem in some areas of environmental policy that the ambition that one says one has, and what one actually delivers of appropriations and instruments, is not related. It's well illustrated with a budget where one says one has ambitions to clean up, but cuts the appropriations by six million. kr. The polluter pays principle is important for the Left, and it is important that it also includes the fact that where the State or state companies have been operating, there is a special responsibility for carrying out clean-up, including: because the State is to show its way by taking responsibility and by pursuing offensive policies in this area. The government has said that it will implement action plans to clean up the seabed and clean up contaminated soil – kindergartens and playgrounds are specifically mentioned in this context. I hope that one will come back with an obligating plan for how one will escalate the appropriations in this area, and it would be positive if the government parties had joined the proposal that is in the vote, to promote such an obligating plan for the Storting during the autumn. It would be a good way to meet the opposition, and it would be an important offensive in an area where it is definitely needed.
