ParlaMint-NO_2007-11-21.ana.ud1835e24	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2007-11-21.ana.ud1835e1094	So then we get gas power plants in mid-Norway in 2020. It's rare I get provoked when I'm in debates in the main hall, but I did now. So it is not the Progress Party that has put in place a strategy for taxing mini-power plants, as the Center Party of the Nations says on 31 October is too bad – as the Center Party of the Nations says on 23 October is too bad – and the Small Forces Association says today that they feel that they have failed by the Center Party. It is not the Progress Party that has ensured that hydroelectric power will not be built in central Norway! It is not the Progress Party that has ensured that one of the largest wind farms in Western Europe, namely the Outer Vicna, is not realised. It's the treasure-gim, the treasure-gim to the government, that has provided. Is it the case that the Council of State agrees that the small-scale owners around Norway, and not least around the river Gaula, who could have delivered 0.8 TWh alone in three-four years in Central Norway, are right when they say they feel that they have failed by the Centre Party?
ParlaMint-NO_2007-11-21.ana.ud1835e1105	In the case of small energy, there are some tax proposals within the 2008 budget. That's right. And I'm the first one to admit that it has aroused reactions, among other things. at the Small Forces Association and others. The reason for this is that a note will be adopted in budgetary terms, which means that we will have a full review of all aspects of the development of small-scale energy rather than the revised national budget. The environmental aspects of the development of small power, the economic aspects and the tax aspects are to be reviewed with a view to developing and producing electricity from small power. It will be an important theme for the government parties in the months ahead, and it will come back to the matter in the revised national budget.
ParlaMint-NO_2007-11-21.ana.ud1835e1116	This question, from the representative of Mr Ingreig S. Sørfonn to the Minister for Foreign Affairs, will be answered by the Minister for the Environment and Development on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2007-11-21.ana.ud1835e1119	Let me begin by saying that I am grateful that the Council of State Solheim would answer the question in the Foreign Minister's absence. This is actually a question that hastens to clarify. The question is as follows: ‘Several Norwegian organisations collect clothing and medical devices that are then sent to Russia. Help is important, and is appreciated. Much of the transport is via Finland. Now Finland has to pay customs duties when a Norwegian trailer with help consignments crosses the border. This whole important relief work can stop. What will the Minister of Foreign Affairs do to prevent this important relief work from being involuntarily stopped?’
ParlaMint-NO_2007-11-21.ana.ud1835e1128	Let me first say that both the Foreign Minister and I very much appreciate the fact that the representative Sørfonn addresses these kinds of questions on behalf of non-governmental organisations, who are making a very important effort, and who deserve that there are no bureaucratic or other obstacles to them. In particular, aid missions to Russia have been a very important feature of Norwegian-Russian relations in the past. Voluntary organisations and individuals have made considerable and worthwhile efforts. In particular, at the end of the 1990s, there was a great need for external humanitarian aid, and in those years considerable sums were provided for various measures in the budgets of the Ministry of Foreign Affairs. Now the situation in Russia is better in terms of organisation/economy. That's probably one of the reasons why President Putin has such a strong position in the country. Much has come into play again in a way that was not before. But there is still a great deal of poverty among parts of Russia's population, and there are many that fall outside the welfare system that exists. The wealth growth in which many Russians have participated has not been shared by everyone, and it has been unevenly distributed. But Russian society is now able to help itself and weaken groups to a greater extent than was the case if we go for example. 10 years back in time. That is why it is not the same need for humanitarian aid as in the past. This is why the Ministry of Foreign Affairs no longer contributes financially to relief missions. However, it is a fine thing that individuals in Norway want to make an effort to reach the poor part of the Russian population. The examples given here that border crossing through Finland should make this difficult are regrettable. From the Ministry of Foreign Affairs, we have raised this matter with the Finnish customs authorities and with the Finnish foreign authorities. They indicate that under Finnish rules no customs duties are to be imposed on aid consignments in transit to Russia. Nevertheless, according to the Finnish authorities, this may be due to misunderstandings or misinterpretation of the legislation. In order for the case to be examined, it is necessary to provide detailed information on the transport(s) concerned. And in order to be very practical and to deviate a second from the script I have here, let me just suggest, simply, that the representative in contact with the help organisations concerned get put up in an e-mail or otherwise a detailed review of the problems they have encountered. Send it to me, and I will make sure that this is handled properly in the Ministry of Foreign Affairs, and that we will get it up with the Finnish authorities and see if we can be helpful.
ParlaMint-NO_2007-11-21.ana.ud1835e1139	This was very good to hear. I appreciate such an informal tone, because that's the way such things have to be solved. I can only confirm that although the situation is better in Russia, there is a very great need for these relief missions. There's a lot of demand, so the pressure from Russia to get hold of the shipments is very high. I know that there is a convention between Finland and Norway on the freedom of customs duty on relief items. This has the help organisations that cross borders, including customs authorities, but they are not willing to take care of it. So if this can get tightened up, it's very good. Help messages have been sent for a while, and some devices have been installed. It's a transit warehouse in Finland, it's in cooperation with Finnish diaconia, etc., so this is an apparatus that works. I'm very pleased with the positive signals given here, so that we can bet that this finds the solution in a good way.
ParlaMint-NO_2007-11-21.ana.ud1835e1148	We have a common interest, the representative of Sørfonn and the government, in finding a solution to this, partly because there are still many relief needs in Russia – even though it is going better economically, there are a large number of Russians who need help – and partly to give a practical handshake to Norwegian citizens who make a worthwhile, idealistic effort of a kind we want more of, and not less of. They also deserve assistance and help. Of course, if we have a case with the Finnish authorities, it will always be – as in all other countries – a leap from there to the concrete enforcement of customs on the ground. We're going to do what we can to deal with this. The practical way is that these organisations then provide a detailed review of the problems they have encountered, and then we will see if the Finnish authorities respond positively to it and do something about it.
ParlaMint-NO_2007-11-21.ana.ud1835e1155	It's always a little dangerous to thank you again, but I almost dare to make myself a spokesman for the help organisations here. If this is possible, I would like to thank you on behalf of the help organisations, for these are those who really spend time and energy on something they believe in and burn for. When they can feel such goodwill and such help from the authorities, it is clear that they are involved and provide an unlikely inspiration in the work they are doing. It's a little unnatural, but with some reluctance, I want to thank the Council of State for the response.
ParlaMint-NO_2007-11-21.ana.ud1835e1164	I have a lot of hats, but I can't promise anything on behalf of Finland – that's quite clear. But I can promise that we'll do what we can to solve these problems in a sensible way with Finland. Then we're going to hope that it carries. Thank you for a sensible and useful exchange.
ParlaMint-NO_2007-11-21.ana.ud1835e1175	I have a question for the Minister of Local and Regional Affairs: ‘From September 2007, monthly decisions have been introduced in the housing aid. In the Kommunal Report 22 May 2007, the municipality's Central Association claims that the municipalities will lose 120 million. in 2007 for the change. The house bank contests this in the same article and claims that the loss will only be 2 million. kr. In the Hallingdølen newspaper on 10 November 2007, it is claimed that the State at the Husbank is incurring more than 600 million. in 2007 as a consequence of the conversion. Can the Council of State explain the economic impact on municipalities in 2007?’
ParlaMint-NO_2007-11-21.ana.ud1835e1184	I am pleased that monthly decisions have been introduced for bus pay. The conversion was very requested by the municipalities. The size was behind the measure. The introduction means that a bus fee can be applied for every month and that a bus fee may be paid in the following month. It is also such that no one falls out of the scheme after the conversion if the household is still entitled to a bus pay. The introduction of monthly decisions ensures that disadvantaged households come into the scheme quickly, while those who do not require a bus pay fall out of the scheme more quickly. In the past, households were paid a bus pay for up to four months after the need had fallen away. Now, if households, for example, fall out of the scheme after a month. receive an increase in income as a result of participation. This is how the new arrangement is more accurate. According to the article in the Municipal Report in May 2007, it was claimed that the conversion resulted in a budgetially lower income for municipalities of 120 million. kr on a national basis. This would be due to accounting relationships. These are now resolved by the House Bank and the KS. Local authorities will not lose their financial resources on the conversion to monthly decisions. Otherwise, let me tell you that the 2008 bus fee budget has increased by 27 million. as a result of the conversion into monthly decisions. Local authorities will not lose – in some cases they will actually benefit financially from the conversion. The reason for this is that many households do not seek supplementary social assistance in the start-up phase of a continuum while waiting for a bus pay.
ParlaMint-NO_2007-11-21.ana.ud1835e1195	I thank you for your answer. I have one follow-up question: According to the figures from the House Bank, reported in the Hallingdølen newspaper on 10 November, over 100 000 recipients had housing support for the last quarter. For a household with a initially low income, this must have been both unforeseen and uninhabitable. If the number of votes is far more than we've been suggested. Can the Council of State report on the number and impact of withdrawn housing aid in the previous quarter?
ParlaMint-NO_2007-11-21.ana.ud1835e1204	What I can say is that there are over 100,000 households that accept bus pay every month. What was described in Hallingdölen seemed to be based on a misunderstanding. I don't know the details of the calculations, but it may seem that the amount is based on the fact that all households who accept a bus pay before or later will fall out of the scheme – and will lose the bus pay faster than in previous legislation. While one before fall out of the scheme after four months, it now goes one month. Let me also remind you that there is a reason some households fall out of the scheme. It can be work participation, death or other conditions. But it's not right that the state has committed 600 million. kr.
ParlaMint-NO_2007-11-21.ana.ud1835e1218	I thank you for your answer. I don't have any more questions.
ParlaMint-NO_2007-11-21.ana.ud1835e1229	I allow myself to ask the following questions to the Minister of Defence: ‘Kingswinger fastening wears with a retardation on the maintenance. The council has been visiting, but without direct promise of money, it was signalled that you should look at the matter positively and look at the courtship building, which also needs to be rehabilitated. How far in the process has it come, and will financial resources be given to Kongswinger fortification?’
ParlaMint-NO_2007-11-21.ana.ud1835e1238	I am very concerned about caring for and developing the national fastening plants, because they represent some of the most important state cultural memories that we have in Norway. We therefore have a clear responsibility for managing the fastenings in a good way, through, among other things. targeted maintenance, so that they appear with dignity. The Ministry’s grant to the national fastening plants shall, together with the rental income from State and civil users of the fastenings, cover the costs of safeguarding and maintaining defence buildings. On a proposal from the Government, the Stortinget decided to increase the grant from EUR 38 million. SEK in 2006 to SEK 51 million. kr in 2007. The budget was also approved in the context of the 2007 revised national budget. Twenty million. kr to the ‘Full country national fastening plant’ project. The maintenance that has been prioritized on Kongsvinger’s fastening this year has been mainly further work on the wall that crashed out in summer 2005 and lime-pushing on Slavery. Here, a total of 1.3 million is spent. kr. Further, it is, among other things, clearance of the barrier carried out. Overall, maintenance has been carried out for approx. Two million. kr in 2007. Work on the unexpected wall will be completed in 2008. In addition, the necessary health, environmental and safety measures, the maintenance of technical installations and the deforestation are planned. For the time being, measures are planned for approx. 1.5-2 million. kr in 2008. It's the government's ambition to refurbish the lay-out building on Kongswinger's fastening. Defence structures have therefore been entrusted with the task of preparing the necessary documentation for this project. The work on providing adequate evidence has taken a little longer in Defence Building than expected. Defence construction has indicated that they will submit project documentation to the department around Christmas. Then the Department will consider the recommendation of Defence Building. At this stage, it is therefore premature to say something concrete about the progress of the project and the costs of the project.
ParlaMint-NO_2007-11-21.ana.ud1835e1251	I thank the Council of State for a thorough and good response, which so far calms me down. The reason I asked the question is that the investigation has taken a little longer than the proposed one. I was a little worried that this would go into the forgotten book – and that one would also forget to set aside funds for this. Kongswinger fastening is one fastening, but we also have many other fastenings around Norway that you have to take care of. The wall that collapsed on Kongswinger’s fastening – perhaps several places on Kongswinger’s fastening – is an example of something that can also happen on other fastenings around. We have a great responsibility, and the Minister of Defence and I have a common interest in taking care of these fortifications. I knew that the investigation had taken longer than expected, so I was concerned. The Council of State now promises that this will be looked at around Christmas time and taken up again. So if the Council of State can confirm this again, I'm satisfied.
ParlaMint-NO_2007-11-21.ana.ud1835e1260	I absolutely share Mr Bredvold's concern about the defence agencies. I have traveled a lot around and looked at the different defenses, and it is quite right that the walls rage in many places. Therefore, there is an increased focus on getting back to maintenance, but this is a big boost. We have many fortifications that it is worth preserving. That's why it's important that we do a thorough preparatory work, even if it takes a little longer. After all, these fortifications are to be handed over to our descendants in the future.
ParlaMint-NO_2007-11-21.ana.ud1835e1265	I thank you for the clarification and confirmation. It is a fact that many of these fastenings have been used differently in recent years, for example: was Kongswinger’s fastening center for, among others. The Home Guard – there were people in the Home Guards all the time, and the Home Guard School had a course there. There were also some soldiers there – it was life and touch. But after reducing the number of Homeland Districts, the activity of Kongswinger’s fastening was also greatly reduced. Now you just have a small commandship, and little help. The use of Kongswinger fastening and other fastenings is therefore quite different now, and it requires a greater focus on maintenance. At the same time, some rental activities are carried out, and some conversions in this context also need to be carried out, for example. on Kongsvinger fastening. It is clear that renting out a fastening as it is today is not just, just. There are some challenges — and some costs — to obtain rental income.
ParlaMint-NO_2007-11-21.ana.ud1835e1272	With regard to the use of the new-time pact fasteners, this is a work that operates on most of the fasteners, also in cooperation with local authorities and associations of interest – too many fasteners do. It's very important that we can get back to life within the walls of the fortifications. At the same time, this is very demanding, because some of the fastenings are very old, and it is difficult to get an appropriate and timely use. It also makes it quite demanding, even costly, to get this done. But this is something we focus heavily on. I will at least promise that we will follow the development of the fastenings further.
ParlaMint-NO_2007-11-21.ana.ud1835e1279	Tord Lien has asked a question in the previous question. It is not in accordance with the Rules of Procedure that he is asked another question, but the Presidency has dispensed with the rule because of various circumstances. Tord Lien gets to ask another question.
ParlaMint-NO_2007-11-21.ana.ud1835e1286	Thank you for that! It might actually have been tempting to hang on to the previous questioner, because the representative has written a main subject on Kongswinger's fastening. [[The President clubs.]]
ParlaMint-NO_2007-11-21.ana.ud1835e1291	The president noted that the representative should now ask his question.
ParlaMint-NO_2007-11-21.ana.ud1835e1294	Excuse me, President! Then I asked the question: ‘In the autumn, the bear has attacked people in the border areas twice, one attack was fatal. At the same time, both wolf and bear are increasingly observed in areas where, according to the predatory agreement, bears and wolves are not to be found. A survey published in the United Nations on 29 October this year shows that a clear majority does not want a quadrupling of the bear tribe. Does the Council of State consider that it is realistic to achieve the population target for the bear without serious consequences for the outlying industries and the quality of life for the outlying population?’
ParlaMint-NO_2007-11-21.ana.ud1835e1303	I think it would have been interesting to hear about the main task of the representative Tord Lien and become better acquainted with him. I hope it might be an opportunity to come back to it later. The representative and I are going to have a lot to do with each other in the future. Then it's always interesting to know a little bit more about the background. Don't do that. The aim of the predatory game policy is to achieve in the long term the set stock targets for all four predatory game species, while at the same time having the objective of implementing the policy with the lowest possible level of conflict. As I explained in the Question Time on 24 October of this year, today's predatory game management is based on the principle that predatory and land-based grazing should be given different priority in different parts of the country and in different parts of the individual predatory game region. The use of economic and legal instruments shall be applied differently in the different areas, depending on whether predators or grazing is a priority. Environmental protection authorities use instruments such as harm reduction and licensing to reduce the level of damage and the level of conflict. The threshold for abstinence on bears acting in close proximity, e.g. by their being close to the settlement and not being frightened away, is today low, and so it will still be. Let me repeat this one more time, because there is such a central question for some people who have experienced this in close proximity: it is therefore a low – and it should be a low – threshold for the birth permit for the bear when it occurs nearby. Then it's to be scared away. Humans, of course, have a priority. Unfortunately, the stock target for bear of 15 annual juveniles is far from being achieved. However, in order to control the growth in the construction phase we are now in, a fall in the licence of the bear can be implemented. Four bears were killed during the fall of the year. Licensing to which ordinary hunters are released is an important part of the generalisation of the presence of predators in Norwegian nature. I have registered that a large number of hunters this year have taken advantage of the possibility to register as license hunters. Over time, this may lead to the perception of predators as a valuable resource being strengthened, thus helping to lower the level of conflict. The recent human-bear meeting has focused more on the importance of knowledge about the large predators. It is natural that these events cause fear among the population living in areas with a lot of bears, including in areas represented by the representative Lien. I will therefore, in time to come, place great emphasis on good information measures and, not least, the dissemination of knowledge on how to live safely with predators. My impression is that the administrative regime that is now established in predator management works well. In addition, the focus on prevention and conflict mitigation measures has increased significantly under the current government. A further increase of 9 million. kr has been proposed for that purpose for 2008. From this point of view, it is my view that it will be possible to achieve the population targets of the four major predatory species, including bears, while fully meeting the concerns of grazing and the quality of life of the local population.
ParlaMint-NO_2007-11-21.ana.ud1835e1322	It might have been tempting to ask the Council of State whether knowledge dissemination, how to live with the bear, will also involve how the sheep learns to live with the bear. There shall be no reply from the Council of State. Today, the nation reports that ‘the documented damage after bear has tripled from last year’ — tripled from last year. Nevertheless, the Council of State and the Government consider that the population of bear in Norway should be quadrupled. Is this level of loss – for this is not just about the quality of life of most people, but also about a threat to an entire industry – which concerns the Council of State?
ParlaMint-NO_2007-11-21.ana.ud1835e1329	This is an area where there are real conflicts, and it is an important task for political authorities to deal with this so that we reduce conflicts as much as possible. That's my goal, and the basis for the government's policy is the robberies deal that the Stortinget made. Of course, I am aware that the Progress Party did not participate in the agreement, but it was nevertheless a broad agreement, which included large parts of the Stortinget. And that must be the basis. The purpose of this agreement is to reconcile two things: our international commitment to care for our natural heritage – we will protect nature, we will protect in many other areas as well, but protecting the large predators is part of our commitment – while facilitating the use of land for grazing. And of course, as far as it's possible, we have to give people in outlying areas absolute security that they can live a life of full quality of life.
ParlaMint-NO_2007-11-21.ana.ud1835e1334	Let me boast a little of the Government. This may indicate that the management of yours and yours is approaching a decent and sensible level. We in the Progress Party are quite clear that we must also help to take care of the large predators. The Council of State says that you want to reduce the level of conflict, and there's a bit of the core. One of the ways of reducing the level of conflict and at the same time protecting the large predators is to have a common Nordic administration and a common Nordic burden-sharing with regard to predatory policies. Because it is that neither wolf nor bear as a species is – or is in the vicinity of being – threatened. It is true that in Norway we have populations that may not be viable, but the species like them are not threatened. Bear Island opened up in the theory of a common Nordic administration. Will Erik Solheim also open up a common Nordic administration and burden-sharing?
ParlaMint-NO_2007-11-21.ana.ud1835e1341	First, I would like to say that I am very pleased that the representative Lien says so clearly that the Progress Party also wants us to take care of the four major predatory species in Norway, and have them in our nature. This gives you the basis for further dialogue on what is the right way to do it. Then I would also like to say that it is actually now that we have reached the goal – or the goal of youth – among others. for you. It provides the basis for extraction once this target has been reached. It's not that we're going to over-achieve the goal; we're going to reach the goal, and then we're going to stabilize on it. As for the relationship with Sweden, of course, we are extremely interested in cooperation with the Swedes, in the exchange of information with them. But there is one fundamental difference between Norway and Sweden. It is that Norway has widely based outreach industries in the districts, which Sweden does not have — at least not in the same way. And if I'm going to make a final statement, it's probably not the merits of the Advance Party that we in Norway have as central outing industries as we have.
ParlaMint-NO_2007-11-21.ana.ud1835e1356	The President will again take note that the representative, Mr Solvik-Olsen, has also had a question earlier today. It is not in line with the Rules of Procedure, but the Presidency has decided to derogate from the Rules of Procedure because of various circumstances.
ParlaMint-NO_2007-11-21.ana.ud1835e1359	It is simply because the Council of State was not present last Wednesday. That is why the question was put to the vote. The question is: ‘The government has long delayed clarifying the principle of the allocation of CO2 allowances to the gas power plant at Kårstø. When the Climate Allowance Act was discussed in June, then Minister for the Environment, Bjørnøy, was asked to clarify what is meant by ‘A quota reserve is set for new gas power plants to be based on purification and high-efficiency combined heat and power (CHP) plants with concession’. In a letter dated 15 June 2007, she replied ‘I do not want to further clarify this wording’. Can the Council of State clarify what the wording means for Kårstø?’
ParlaMint-NO_2007-11-21.ana.ud1835e1371	As the representative of Solvik-Olsen also mentioned, this was up in a long round of spontaneous questions. Of course I don't have a new answer now, half an hour later, it will necessarily be a repetition of what was then said. I can answer that in June this year the Stortinget passed the law on changes to the climate quota law. The law requires the establishment of a «quota reserve for new gas power plants to be based on purification and high-efficiency concessional cogeneration units». The law requires detailed rules to be laid down on the allowance reserve in the form of a regulation. The government is working on concreteising this legal provision and will shortly send to the hearing a draft regulation laying down rules on an allowance reserve for gas power plants. I can add freely to the extension of the discussion that we had, that there are two opposite approaches to the government here being criticized for – one especially from the Left and the Christian People's Party, and another from the Advancement Party. My opinion is that this question is somewhat oversized. Either a gas power plant receives a free quota or has to pay for the quota, this works will have the same incentive to try to reduce emissions, as the allowances – whether purchased or obtained free of charge – are freely tradable and can be traded in pure money. The incentive to reduce emissions should therefore be approximately the same whether one option or the other. However, there may be reasons for one or the other position, but the question is not as big as it might seem. The quota reserve will also be included in the total Norwegian emissions, so it does not affect the total Norwegian emissions, but only the composition of the Norwegian emissions.
ParlaMint-NO_2007-11-21.ana.ud1835e1385	I fully agree with the last thoughts of the Council of State. As long as you have a given quantity, a given number of allowances, in circulation, there will be no climate effect if Kårstø gets to the allowances free of charge, or if they have to buy them. But the significant difference here, which makes this an important principle and an important question to be clarified, is that it will be essential for the economy of Natural Power on Kårstø whether they have to pay for the allowances or whether they get them free of charge. A difference in expenditure between 150 and 200 million. kr and 0 kr are the same if the gas power plant is to stand and walk, or if it is to be closed. The Minister of Economic Affairs, who is present here, was opening the plant, and said it was a new chapter – it was not how much praise it was because one used Norwegian natural gas in Norway. Therefore, it is essential for Natural Forces to know what costs they receive with the climate allowances. This is relevant in relation to the level of revenue the Government is willing to waive by allocating them free of charge.
ParlaMint-NO_2007-11-21.ana.ud1835e1394	As I said, I don't want to preface what we want to send out to the hearing. But I allow myself to question these doomsday scenarios that are presented here. This is an investment that has already been made, a very significant investment in Kårstø. What my experts are telling me is that it is very unlikely that the choice of one or the other solution here will have a significant impact on the amount of emissions. It is not a major environmental policy decision that is being taken. It has to be taken, and it will be taken. When our consultation draft is sent out, of course, it will be a full opportunity to comment on it. It will probably be brought up in Stortinget in some form after that. But the impression that this will be a very central environmental policy disposition for the next few weeks and months is exaggerated.
ParlaMint-NO_2007-11-21.ana.ud1835e1399	I think the Council of State was wrong about the undersigned and the representative of Gunnar Kvassheim. I fully agree that, in relation to Gunnar Kvassheim's argument, this is completely irrelevant, because the emissions will be the same globally. But for Kårstø gas power plants, it is essential that they get an extra bill of up to 200 million. NOK, or if they get an extra charge of NOK 0. Everyone in the industry, including Natural Power – and I think most labour party politicians too – has had the impression that the gas power plant at Kårstø would have the same framework conditions as the corresponding gas power plant in Europe, was allocated a quota of about 75-95 pst. free of charge. It would give them a cost of about 20-50 million. kr. Then it's a significant leap up to suddenly getting a bill of 150-200 million. kr, especially if it's because the Council of State doesn't think it means anything to the economy of a business if they suddenly get an extra bill of 150 million. kr. For those who live off, and they're going to make money on, what they're doing, it's actually the bottom line that counts, and then it has to be profitable, if they're going to move on.
ParlaMint-NO_2007-11-21.ana.ud1835e1408	I have full respect for the fact that Solvik-Olsen is continuing on this issue, but I hope he also has respect for the fact that I cannot give a final answer to the Storting until we present the hearing opinion on the quota reserve. Then we'll be able to take that debate, but it's nevertheless important at this point to conclude that this is not the central environmental issue in our time, as one might have got the impression in the debate in the spontaneous Question Time. If the representative Solvik-Olsen and I at least agree on that, that is something.
ParlaMint-NO_2007-11-21.ana.ud1835e1417	«Norway cooperates, inter alia, with Switzerland on trade agreements with developing EFTA countries. Switzerland wishes to include in these agreements more stringent patent protection of medicinal products than is practised in the World Trade Organisation TRIPS Agreement. [[WTO]] Norway has called for flexibility in TRIPS in the WTO and will give priority to accessing cheap medicines for the poor. What is Norway’s position in this area in the EFTA negotiations, and how does the Council of States think it should be able to make an impact on our position?’
ParlaMint-NO_2007-11-21.ana.ud1835e1424	The purpose of including intellectual property rights provisions in trade agreements is to ensure that Norwegian actors effectively protect their intellectual property rights. It is at least as important to ensure effective enforcement of the protection, such as providing a materially high level of protection. Norway has been a driver in the WTO for establishing a system whereby developing countries can produce copies of patent-protected medicines under certain conditions to combat the spread of life-threatening diseases. The WTO initiative stems from the need for developing countries to be allowed to produce AIDS even if the drugs are patent protected. Switzerland initially countered these WTO initiatives, but once agreement was reached on TRIPS and health in the WTO, Switzerland was among the first countries to ratify and implement the agreement. Switzerland has also significantly changed its positions in recent years and is now showing a greater understanding of the needs of developing countries. Norway’s position is that trade agreements should not restrict the parties’ access to the issue of forced licences under the TRIPS Agreement. This applies to all countries, including countries that want such provisions. The Government considers that developing countries should not be pressured into accepting provisions that restrict their spaces of action under the TRIPS Agreement as regards patent protection, protection of confidential test data and plant variety protection. This is a continuation of the policy pursued by former governments. In the Soria Moria declaration, we have also stressed that consideration of cheap medicines for life-threatening diseases in poor countries must be given a crucial importance to international negotiations on patent rights. The other EFTA countries respect Norwegian policy and therefore do not force developing countries to accept TRIPS plus elements in trade agreements.
ParlaMint-NO_2007-11-21.ana.ud1835e1441	I thank you for your answer. The Council of State shall attend the EFTA Ministerial Meeting at the beginning of December. I wonder what is going to be discussed at this ministerial meeting, and if you will agree on what is going to be the EFTA negotiating position in relation to TRIPS. It is important to clarify this before Norway chooses to enter into negotiations with, for example: India, where we know that there are more than 200 million poor. We must not get into a situation, as the Council of State also said in its reply, where one reduces access to medicine in poor countries. My question is whether this will be a discussion at the ministerial meeting in December.
ParlaMint-NO_2007-11-21.ana.ud1835e1450	That's absolutely right. I'm not just going to attend, but I'm going to run that meeting. Norway has now chaired the EFTA, without paying as much attention to it as to the countries that have chaired the EU at all times. Nevertheless, trade agreements are one of the permanent themes of the EFTA ministerial meetings. As my first answer showed, the principles that I use are already a prerequisite for EFTA. Questions are raised about TRIPS plus – as mentioned above – in some negotiations with some countries, but there are already such agreements, either internationally or bilaterally, with others. So we've already had an impact in EFTA so that we don't force countries into that kind of agreement. Here I am convinced that the attitude of the previous government and the current government is so similar that this is one of the areas where we cannot say that there have been changes in policy – at least not towards pushing poor countries harder than what is otherwise done in negotiations.
ParlaMint-NO_2007-11-21.ana.ud1835e1461	I thank you for the answer, and I also thank you for the fact that there are no changes at this point. In addition to the negotiations with India, Norway is now taking part in EFTA negotiations with Colombia and Peru. A pilot study on Indonesia has also been completed. There are potential challenges here on the very topic we have discussed today – the liberalisation of financial services, public acquisitions and investment, as well as the issue we have discussed today on patent rights. My question to the Council of State is whether he will inform the Storting about the content of these negotiations, and when they concluded the preliminary studies on India and Indonesia will be published, so we know what the outcome is.
ParlaMint-NO_2007-11-21.ana.ud1835e1470	It is our hope that the feasibility study on India can be concluded and that we can start concrete negotiations as soon as possible. This would be a significant contribution to, inter alia: the Norwegian maritime sector and other sectors with good trade relations with India. TRIPS can be about a lot more than what was the starting point for the question, medicine, to which my answer was linked. There are reasonable demands for a non-national producer of ‘Swiss made watches’, for example, so that part of what is about protection is seen as reasonable requirements. So, with regard to the questions that the representative originally asked about, our practice is that if the country has other agreements that go beyond what the WTO says, we have the opportunity to address the question. But we agree not to impose the kind of solutions in the negotiations we have. It'll also be the line that goes on.
ParlaMint-NO_2007-11-21.ana.ud1835e1479	Then we go to question 20.
ParlaMint-NO_2007-11-21.ana.ud1835e1486	‘More schools in Oslo have recently reported serious violence episodes that have taken place in the school’s community. Such events have, in particular, taken place immediately after school leaving, or when students have moved outside the school area. Those behind this are under the criminal paranoid and almost exclusively youth gangs with immigrant backgrounds. Schools as well as the police are desperate, but they are without sanctions. What action will the Council of State take to stop this development?’
