ParlaMint-NO_2007-12-19.ana.ud897e24	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e911	The right has a comprehensive strategy to increase the supply of labour. We want more from social security to work. It must pay off to work, and we must much more strongly counteract exclusion from the labour market and facilitate a new chance for those who need it. We need to increase labour migration. It must pay off to be longer at work. It is therefore also strange to see what the Government is doing in relation to the 67-year-olds in terms of curtailment of pensions, but not for the 68- and 69-year-olds. We need to resume the modernisation of the public sector. Do the Councils have a similar strategy?
ParlaMint-NO_2007-12-19.ana.ud897e916	In the context of the 2008 State Budget, the Government has presented such a strategy, with many measures. Among other things, we are working to ensure that people who are out of work can fit into the workforce. A large number of employers should now take the opportunity to recruit groups that they have not previously seen as interesting workers. It could be young deformities, it could be people with a minority background. Here we know that there are competences and resources that are not being exploited. In addition, we have made various simplifications for foreign labour coming to Norway, for example. from the new Member States of the European Union. We're going to have a focus on this, too, when we add the whole economic policy to the budget for next year. I fully agree with the representative of Skovholt Gitmark. In two years we have increased the workforce by 150 000 people. There are as many people as live in Tromsø and Fredrikstad together, and many more than we thought it was possible to mobilize for the labour market. But we still have challenges for next year, because we lack capacity in some areas.
ParlaMint-NO_2007-12-19.ana.ud897e929	This question, from the representative Ketil Solvik-Olsen to the Minister for Oil and Energy, will be answered by the Minister for Agriculture and Food on behalf of the Minister for Oil and Energy.
ParlaMint-NO_2007-12-19.ana.ud897e932	‘The Government has announced new negotiations with Sweden on green certificates. In the past, there has been disagreement about the role of small power in a green certification market. Sweden included hydropower over 1,5 MW, while the Soria Moria declaration excludes all small power over 1 MW from a certification system. Can the Government clarify the role of small power plants in the new round of negotiations and can the Council of State ensure that Norway wants small power plants into a system of green certificates?’
ParlaMint-NO_2007-12-19.ana.ud897e939	The government's policy for the development of small-scale power plants is set out in the Soria Moria Declaration. We want to exploit the potential that lies in, among other things. construction of small, mini and micro power plants to a greater extent. Small-scale power plants are also part of the new renewable electricity support scheme. Electricity produced by the first 3 MW installed power in new hydropower plants will come under that scheme. There are many issues that need to be clarified in the discussions with the Swedish authorities about green certificates. The new EU Renewable Energy Directive, which is planned to be presented at the end of January, may also provide guidance for those calls. The technologies to be included in any single certification market are one of the issues that need to be addressed. However, the small power plant policy of the government is clear. We want to exploit the potential that lies here. In the discussions with Sweden, it would be natural for us to take on the existing policy for small-scale power plants.
ParlaMint-NO_2007-12-19.ana.ud897e948	This was a nice greeting to small power plants in general, but one knows how the government treated the small power plants in the state budget. They got a tax increase. The reason why the question is still relevant, and which requires clarification, is that the Soria Moria Declaration, to which the Council of States referred, states: «The government will introduce a mandatory green certificate market for new renewable energy and mini- and micro-power plants.» So it's not "small-power plants". This was the theme in Stavanger Aftenblad on 15 October 2005. Hallgeir Langeland said that the ironing of "small force" was conscious. And the current state councillor Magnhild Meltveit Kleppa said that the centre party had got its way, "small power" would be there. Thus, it is understood that the Soria Moria declaration deliberately omits small power plants from a green licence market. Can I still understand the Council of States so that the Soria Moria declaration does not apply, and that one will still try to bring small power plants into a green certification market?
ParlaMint-NO_2007-12-19.ana.ud897e958	As far as the general framework for small power plants is concerned, I believe that the representative Solvik-Olsen is also aware that we have a major ongoing review based on the financial situation, which was issued in Stortinget for a short time. With regard to the specific negotiations with the Swedish authorities, I am asking for an understanding that it is going to go into the details of how those negotiations will proceed, and could also forge a possible solution, either desirable or possible, since one is thus in an initial phase here. From Norway, however, it is of course an objective to build on the policy that applies to small-scale power plants in Norway.
ParlaMint-NO_2007-12-19.ana.ud897e965	I have a great understanding that one will not publish things from the negotiations, and I respect that, but it should nevertheless be very easy, I think, to say what kind of starting point the government has in the case of small power plants. I hear what the Government says about small power, and I record what they're doing – that's not always the match – but I also record that in what's the starting point of the government, the Soria Moria statement, you say that small power plants should not be part of a green certificate system. Now, the government has modified the Soria Moria statement several times – they would like to have come with a revised anniversary edition now that they are halfway – but it would still be good to get a clearer answer as to whether it is primarily desirable for small power plants to be part of a green certificate market. Or is there one on the Soria Moria Declaration, which Hallgeir Langeland said deliberately removed "small power" from the wording?
ParlaMint-NO_2007-12-19.ana.ud897e974	I am somewhat uncertain whether even a revised edition of Soria Moria would fall into the taste of the representative Solvik-Olsen. I think we have a little different approaches to important policy issues. I have nothing more to add when it comes to the negotiations on green certificates. We're in an initial phase. We want to implement as much as possible of what is in force in Norway for small power plants, and that is, among other things. mentioned in St.meld. No 11 for 2006-2007, with which the Stortinget is well known.
ParlaMint-NO_2007-12-19.ana.ud897e993	This question has been withdrawn.
ParlaMint-NO_2007-12-19.ana.ud897e1007	This question has been raised.
ParlaMint-NO_2007-12-19.ana.ud897e1014	This question, from the representative of Vera Lyskleat to the Minister for Oil and Energy, will be answered by the Minister for Agriculture and Food on behalf of the Minister for Oil and Energy.
ParlaMint-NO_2007-12-19.ana.ud897e1017	I have the following questions to the Council of State: ‘StatoilHydros installations on Melkoya have emissions of CO2 far beyond what was foreseen and for which a permit has been granted. The site has a dedicated area for a CO2 treatment plant. Will the State Council initiate cooperation between the State and StatoilHydro in order to clean the CO2 emissions from the Melkøya plant?’»
ParlaMint-NO_2007-12-19.ana.ud897e1035	StatoilHydro is authorised in the emissions permit of the LNG installation on Melkoya to allow emissions to exceed the permitted permit limits during the start-up phase. This permit is granted subject to the environmentally sound operation of the installation. There are two main sources of CO2 emissions in Melkoya. Firstly, there is CO2 in the gas stream from the Snow White field. This CO2 we know is being removed in an already built amine plant, and then reinjected in the Tubia formation. There's a CO2 handling. It is a solution similar to that chosen by StatoilHydro on Sleipner, where CO2 from the gas extracted has been separated and stored in a geological formation on the seabed. We have now actually done this for ten years. The second source of CO2 emissions on Melkøya comes from the flue gas to the energy plant. I must say that I find it sad that the Bondevik II government – a government of which the Left was part – set in motion the Melkøya plant without CO2 cleaning. That shouldn't have been done. The plant will release 1 million tonnes of CO2 into the atmosphere every year – ten times more than the emissions we're talking about from the testing centre in Mongstad, which I've found that the left has risen significantly over, yesterday at the latest. As you can see, there is good reason to ask some questions about the context of the policy right here. It's true, as the representative says, that there is an area set for CO2 treatment plants in Melkøya. Any facility located on this site will require an equivalent solution to that under Kårstø and Mongstad planning. The capture and storage of CO2 – CCS as it is called – is still at the technology development stage. Unfortunately, technology is still immature, and it is precious. Globally, there is still little practical experience in capturing CO2 from power generation. The Mongstad and Kårstø projects will and will change this. The Mongstad project is a pilot project in which several CCS technologies will be tested. Kårstø will scale up the technology by a factor of ten. With the construction of CO2 capture installations on Kårstø and Mongstad, the Government will make an important contribution to further developing knowledge of CO2 capture and scaling up this type of technology. Both in total and separately, these projects will help to reduce the costs associated with the capture and storage of CO2. The aim is to reduce the cost of carbon capture and storage so that it can be put into use when deploying all new power plants and connecting to existing power plants, both nationally and internationally. It is also important to gain experience and knowledge from the ongoing projects. The Kårstø and Mongstad projects have made it clear that the capture and storage of CO2 is a very costly measure. Whether and when to enter into new similar projects must be carefully considered. I therefore believe that we should gain experience from Mongstad and Kårstø before the state could possibly enter into other major and demanding projects, such as the power plant on Melkøya.
ParlaMint-NO_2007-12-19.ana.ud897e1095	I thank you for the answer, but in fact it was so that it was the Workers' Party and the Stoltenberg I-government that in its time had the direction and was the driver to get Snow White realized, with the frames that are there today. Today’s government has submitted to record high emissions of greenhouse gases at the Snow White Facility by granting an extended emission permit from 15000 to 200000 tonnes of CO2. Did the Government consider initiating cooperation on CO2 clean-up in relation to the treatment of the extended emissions permit? And if so, what was the reason for not going on that track?
ParlaMint-NO_2007-12-19.ana.ud897e1108	Firstly, I think it is important to point out that what is now done in relation to CO2 capture, and what is done around limiting CO2 emissions to the atmosphere, is on a historical level. The grips that the Government has taken — and that make the processes now going — are quite different from what we've ever been to in Norway. We could of course have started with long-drawn investigations and done a lot of work that would give us some answers in a long time. We've chosen to raise the list. We've chosen to say that we're going to put in good installations to capture and reinject CO2, but at the same time it means that there are demanding processes we're in the middle of. With regard to the concrete situation around the Melkoya plant, there is some emissions due to flares. There have been some challenges, problems related to the start-up of the installation, with emissions related to it. It is a consequence of the permits previously granted and is a consequence of the actual production of that installation.
ParlaMint-NO_2007-12-19.ana.ud897e1124	Thank you also for this answer. In Hammerfest, Hammerfest Energi has already developed a very exciting gas power plant with CO2 handling. They are now working to obtain a concession for this plant, which may be in operation in 2010. NVE rejected the application in July. It was then anchored and is now being treated in the department. When will there be an answer to this anchor, after the Workers' Party's Tore Nordtun was in Hammerfest a few days before the election in the autumn and stated that Hammerfest Energy will be granted a concession to this CO2-free gas power plant?
ParlaMint-NO_2007-12-19.ana.ud897e1139	I cannot give an exact answer to this case in Stortinget today. What is important, however, is that the kind of development that the representative here refers to, which is exactly what we need. We need good projects, we need innovation related to professional environments, technology environments, which can actually go those processes further. We have now invested a lot of resources on the Mongstad project from the Government. That doesn't mean that what's happening elsewhere is negative. On the contrary, we need both concrete suggestions for solutions and input around it. In general, it is very good that we are working on proposals for CO2 solutions in the different disciplines. Specifically in relation to the individual case, as I have mentioned, I cannot give an exact answer to this now.
ParlaMint-NO_2007-12-19.ana.ud897e1153	This question, too, from the representative of Tord Lien to the Minister for Oil and Energy, will be answered by the Minister for Agriculture and Food on behalf of the Minister for Oil and Energy.
ParlaMint-NO_2007-12-19.ana.ud897e1156	My question is: ‘According to the Address Paper on 7 December, LO’s leader, Roar Flåthen, at the December conference in Kristiansund, on Thursday 6 December, states that ‘Only an expansion of gas power stations in Fräna, Tjeldbergodden and Skogn can give Middle Norway the opportunity to become self-sufficient in energy’. The Minister of Oil and Energy has stated that a new gas power plant in Central Norway will have CO2 management from day 1 onwards and that the State will not contribute to the supply of gas. With these assumptions, how early is it realistic that a gas power plant can be completed in Central Norway?’
ParlaMint-NO_2007-12-19.ana.ud897e1168	The government takes the vulnerability of the Norwegian power supply seriously and has worked actively in this area since its accession. A lot of work has been done. Several concessions have been granted for both gas power and hydropower projects. At the same time, the 2008 budget for energy efficiency, heat and electricity from renewable energy sources is substantially increased. These are important contributions to improving the overall power balance, including in central Norway. The Government’s plan to strengthen the power situation in Central Norway is based on measures for increased transmission capacity, increased investment in energy conversion and new production, as well as other measures to ensure security of supply in Central Norway The government is working to optimise the conditions for the realisation of new gas power projects, for which the representative is involved. As regards CO2 management, the Government’s view of this is clearly set out in the Soria Moria Declaration. It says: ‘By means of economic instruments and by investing in new technologies, we will ensure that new gas power concessions are based on CO2 removal.’ In the case of granted concessions, it is also based on the Soria Moria Declaration that the Government will cooperate with the gas power builders on CO2 capture installations and contribute financially to its implementation as soon as possible. Several different plans have been presented for several gas power projects in Central Norway. The oil and energy minister has recently held meetings with all the relevant developers in the region to get an updated review of the status and potential of the projects. The review shows that there is a good basis for establishing production capacity in the region. At the same time, there are challenges related to the realisation of all the projects, and further work needs to be done. The Minister for Oil and Energy puts forward a close dialogue with the actors in this work. For the situation in Central Norway, it is also important to give equal attention to the work on new transmission capacity and other relevant projects that will help to strengthen the power situation in the area.
ParlaMint-NO_2007-12-19.ana.ud897e1190	I note that the emphasis is on transfer capacity, and then you move the problem from Tøndelag to Helgeland and to Bergen. There is no solution to the problem. The solution has been presented by Prime Minister Stoltenberg on 2 May 2006 when he promised gas power plants in Forest. The centre party’s own Ola Borten Moe, then an energy policy spokesman, today the head of the nutrition committee, says in November 2006 that ‘The centre party promises gas power plants in central Norway. And it's going to happen very soon». Now I noticed that the Council of State in its response would not have fixed a likely date for the implementation of the gas power project. I also note that the Council of State does not support either its own Prime Minister, who has said that we are organising gas power plants in Forest, or the head of the nutrition committee, Ola Borten Moe, for gas power plants to come in mid-Norway. It's disappointing.
ParlaMint-NO_2007-12-19.ana.ud897e1199	It could be tempting to read a little bit from the answer I just gave, because there it was clearly pointed out from my side that it is desirable to get gas power projects to stand up, and that there is one of several solutions to the energy situation and the challenges around it in Middle Norway. So it would be irresponsible for the government not to work with more solutions around the energy situation in Middle Norway. As the representative Lien also knows, it has been such extensive processes around the projects that have been launched, and as it is working on, that not having other reasoning, other solutions, including in the energy situation, will not be responsible policies. Therefore, the work done in relation to network investments is important, whether it is linked to extensions made by Hydro in the Sunndalsøra, related to the Worm Lange projects, or to what Statnett has done around stress support, and also [[President clubs]]
ParlaMint-NO_2007-12-19.ana.ud897e1204	If the industry in More and Romesdal and Trøndelag had been able to live on good wishes from the Government, this would not have been a problem. What you need is power, and the only thing that can provide enough power is gas power plants. Everybody knows this. LO knows that, the Workers' Party knows that, the Center Party knows that. The industry and trade unions in central Norway know that this is what is going on. A beautiful spring day, the facts must also go up for those who are going to make the decisions. The government is also talking about industrial power regimes. Then you have to understand that it may not have been as easy as the Workers' Party and the Centre's party stated in the 2005 election campaign. However, it is likely and possible to implement the industrial power regime in Norway with the power situation we have in Central Norway per year. Today?
ParlaMint-NO_2007-12-19.ana.ud897e1211	The relationship to industrial power, I think, we're going to lie in this context, and then I'm going to try to focus on what was the representative's original question, related to energy supplies towards Middle Norway. To repeat what I said initially: I, and we, want gas power plants and gas power projects to rise and stand in mid-Norway. It'll be a good solution if you also handle the capture of CO2. Then one of these facilities has been granted a concession, but we still see that it takes time to realize a project that has been at the planning stage. And then I think it would be irresponsible if you didn't go along with what's happening on the supply side, also focusing on overcapacity, on renewable energy, and on getting energy into the market other than that that unilaterally goes into gasworks.
ParlaMint-NO_2007-12-19.ana.ud897e1221	We go to question 21.
ParlaMint-NO_2007-12-19.ana.ud897e1228	‘Melk production is the most permeable sector of agriculture. Each producer operates its production under the quota system. This system of allowances has not changed since the 1990s. Many farmers have bought more milk quota, but at the same time we see the dairy sector struggling to get enough milk to cover our consumption. At the same time, demand for milk is increasing internationally. Will the Council consider allocating milk quotas for the re-establishment of milk production in order to ensure access to milk on the market?’
ParlaMint-NO_2007-12-19.ana.ud897e1235	I would first like to point out that there is already the possibility of new start-ups in milk production. The legislation, then called the Regulation on the milk quota system, allows new entrants to purchase milk quotas from the country in line with others. However, such sales can only take place in counties where an offer profit from the purchase and sale of the allowance is set aside. The background to the marketing of milk quotas only within the county or marketing region is the objective of maintaining production in all parts of the country. There is a broad consensus in the UK that the agricultural policy objective of spread production across the country is important, including: to maintain the values of the cultural landscape. In this year's agricultural settlement, the priority profile of districts and structures was stronger than, among other things, that of agriculture. The left did when they were in government, it was just to ensure this production distribution. Nor is it right, as the representative of Skkelstad claims, that we are struggling to obtain enough milk for our own consumption. In order to meet the need for a certain build-up of stocks of cheeses, an increase in production through the exemption from overproduction fees was provided earlier in the autumn. This has led to Tine getting in now approx. 45 million litres of milk, as they have said they need, in addition to the forecast for the 2007/2008 quota year. As of today, therefore, there is no shortage of milk and, in isolation, there is no particular need for new start-ups to increase milk production. I assume that there is still a need for this quota system for milk. I would like to remind the representative of Skelstad that we also have different methods of increasing production under this scheme. First of all, this is done by increasing the ratio of the allowance scheme, i.e. that all producers of allowances are allowed to increase their output by the same percentage. In this way, all producers across the country are given the same opportunity to increase their output. Another measure used in specific cases is to provide temporary exemptions from the overproduction tax, as was done for the quota year in which we are now living. There was also free milk production in the first two months of this year, with which the representative is well known. Manufacturers will then be able to produce beyond the quota, without any over-production charge being levied. Another specific measure is to sell new allowances from the country to those already holding an allowance. It has, among other things, have been used to increase the production of organic milk. An evaluation of the milk quota turnover scheme was carried out earlier this year together with the Norwegian Bondelag and Norwegian Bonde and Small User Teams. The point is that the milk market is the largest and the most important market in agriculture. I therefore have a continuous focus on possible improvements within the mechanisms that regulate this market. Towards the 2008 agricultural settlement, these questions will be something I particularly consider.
ParlaMint-NO_2007-12-19.ana.ud897e1254	I thank you for your answer. I am aware that there is an opportunity to purchase milk quotas in the context of the regulation mentioned by the minister. But there is no doubt that in 1997, when we had the first declines, it was mainly those who had a production of less than 30,000 litres that sold. And then we got a development of 40,000-60,000, and now it's between 60,000 and 80,000 liters. Quotas are a production regulatory instrument, and we agree with that. We also agree that we should have quotas to some extent, but I miss something in the response from the Council of State: we have to look ahead – we see that there is a development in both labour and the flexibility of adaptability. Does the Council see other forms of adjustment, where we have to have other instruments, when we come into a new era?
ParlaMint-NO_2007-12-19.ana.ud897e1263	I agree with the representative of Skelstad that it is important to look at the need for possible changes as the framework around – in this case – milk production changes. From this point of view, I believe that that entry is most relevant, just as I believe that the claim that we currently do not have enough milk is not relevant, because we are dealing with issues related to milk deliveries in Norway now. But that does not mean that we are going to have a static thinking about how the quota system is working. As I mentioned before, a comprehensive work was done in a report – a work that was completed in March this year. There are many interesting assessments of the changes that can be made within the milk scheme. As I also said in my previous answer, I want to be concerned about seeing possible changes and to what extent it can lead to improvements to this regime in the future.
ParlaMint-NO_2007-12-19.ana.ud897e1272	I thank you for this answer, which I see to a greater extent as positive. One could have been afraid of what the Farmer in many ways stood for in 2002 — they saw it as a static dimension, which had to be first and foremost put up for the primary use of available capacity in existing milk production. Here I think maybe a new time is pressing forward -- here we're a little bit on hell. We see, for example: not all available milk quotas were sold to private this year in the Trøndelag region. This indicates that we might have a saturation. And after what I hear, many are also on their way out of the next year. This is when I see it more clearly: Is the Council willing to look at the distance rules in relation to co-operation, and not least at how long they must have run their own production to enter into co-operation – which would greatly alleviate the investment needs of agriculture?
ParlaMint-NO_2007-12-19.ana.ud897e1279	Without prejudice to the fact that I do not remember exactly what I recently read in the statistics of the State Agriculture Administration relating to the sale and purchase of allowances in the various counties, I believe that the Nord-Trøndelag was relatively high on the statistics regarding the desire to purchase quotas in connection with the state supply of milk quotas. So it's quite obvious that there are more people who want to expand production in the North Trøndelag than what is currently possible based on the milk quota scheme. This suggests that there is also a young offensive farmer in the north of Trondelag who sees a future in milk production. That's good, because those people, those farmers, we need to move forward. There is now a manifest difference in relation to some years back in terms of capacity utilisation in individual poultry. Until a few years ago, there were very many poultry around Norway that went too close to half of the machine, as a result of the introduction of the quota system in the past. Now a lot of the frogs have increased production a bit. This means that the issues to be considered in this context should be assessed at a slightly different level from those addressed five to ten years ago.
ParlaMint-NO_2007-12-19.ana.ud897e1286	So we go back to question 8.
ParlaMint-NO_2007-12-19.ana.ud897e1298	This question has been raised.
ParlaMint-NO_2007-12-19.ana.ud897e1305	‘Minister of State for Economic Affairs and Regional Affairs Haga promised in the election campaign that tax-intensive municipalities would not lose out on the conversion of the income system, because the lifting of the tax-weaks would be covered by fresh money. She also promised that the normal municipalities would not lose out on a priority for growth and relocation municipalities for the same reason. Are the promises at hand?’
ParlaMint-NO_2007-12-19.ana.ud897e1312	Let me first say that Regeringen has strengthened the municipal economy in recent years. This was absolutely necessary after several years with a tight municipal budget. It has benefited all the municipalities. The Ministry is now working on a new income system for municipalities. We want to make a proposal in the municipal proposition for spring. In this work, it is important to focus on, among other things, municipalities with strong population growth, municipalities with strong dislocation and some large cities with special challenges. All changes in the income system – within the same budget framework – will result in some municipalities losing, while others will win. The government suggests that there will still be an increase in the free income of the years to come. This will increase the free income of most municipalities in 2009 and in the years to come.
ParlaMint-NO_2007-12-19.ana.ud897e1321	In this case, the government will break the tradition, for both in 2007 and 2008 there has been a reduction in free revenues. The former municipal minister said that the extra money for the poor municipalities would come from the state treasury. This must mean that, overall, the growth of municipal income in 2009 must be such that the tax-based municipalities receive relatively the same growth as all other municipalities, but do not lose weight on the conversion. However, the question to the Council of State was not about getting an account of the development of the municipalities' economy, but about whether, as a new municipal minister, she was behind the two promises made by the previous municipal minister, both in terms of the tax-intensive municipalities and in terms of the municipalities which have normal population development.
ParlaMint-NO_2007-12-19.ana.ud897e1330	Not least with the cost growth we are currently seeing in the municipalities, it will be important to secure the municipalities more resources. Now, the income system, as the Sørheim Selection estimates, is out of hearing, with a deadline of 28 January. The Ministry shall then also review the page entitled Expense Smoothing, Cost Keys. My goal is to provide an income system that is fairer than today. Of course, it is also my goal that no municipalities should lose on this. The representative Höie has so long seagoing time here that he knows that the municipal minister cannot promise in December what the municipal proposition will look like in detail in May.
ParlaMint-NO_2007-12-19.ana.ud897e1337	It's my long speed here that makes me ask, now that the election campaign is over, whether the municipal minister is behind the promises made by the municipal minister in the election campaign, not least since we've got a new municipal minister from the same party. The two answers we have now received indicate that the new municipal minister has not intended to support the promises made by the previous municipal minister in a municipal election campaign. Several municipalities then faced a situation where the majority of a sample, consisting of government parties, were in favour of changes in the income system that would lead to income reductions in the centenary-dollar class. It may not be seen as a more equitable income system for the inhabitants of those municipalities. These are municipalities which in these days make reductions in their budgets as a result of today's income system. Will the Minister of State repeat the promises, or will she not repeat the promises made by her predecessor?
ParlaMint-NO_2007-12-19.ana.ud897e1346	Let me say that I, of course, share Åslaug Haga's assessments in this matter. Let me also say that I am deeply disagreed in the representative Höie's production when it relates to the reduction of the free revenues in the last two years. It has to do with counting the VAT growth. In addition, let me stress that today the country has a government that is currently busy securing an equivalent offer across the country. It means that today's government has a completely different note against the municipal sector and what it's going to do to secure this supply, than the Bondevik II government had – a government where the right had the municipal minister, and where the focus was on tax relief in front of the community. So the final answer when it comes to the income system is in the municipal proposition in May.
ParlaMint-NO_2007-12-19.ana.ud897e1355	Questions 10 and 11 have already been dealt with.
ParlaMint-NO_2007-12-19.ana.ud897e1362	I have the following questions: ‘For a number of small and large transport projects, tenders are now much higher than the client’s own estimate. Many conditions may affect the price, not least the project base. External quality assurance has repeatedly demonstrated the need to improve the own cost estimates of the road network. What measures will the State Council implement to improve the project base and cost estimates of projects in order to reduce the possibility of a cost cut when new projects are announced on the market?»
ParlaMint-NO_2007-12-19.ana.ud897e1369	The market situation in 2007 has been particularly impenetrable, both in terms of interest from contractors to participate in supply competitions and in terms of price levels of supply. The reasons for this are several, but there seem to be two main factors that have worked. One is a huge increase in the cost of inputs such as goods and wages. The second is that the construction market has our labyrinth and its overheating. The final relationship has emerged from the fact that there has been little interest and supply in individual competitions and higher prices than the increase in the price of the inputs should be seen in isolation. Entrepreneurs' interest has been the lowest and highest on larger and complex projects. The railway system and the state road system are particularly concerned about the problem. I would like to point out here that according to this, the State Road Service has seen several measures, including: There will be a review of cost estimates for a number of projects. Training will be carried out for personnel responsible for renting the process of producing cost estimates.The level of detail of cost estimates will be strengthened. This means that an attempt to facilitate the participation of both large and international companies and small and medium-sized entrepreneurs in supply competitions for road construction tasks to a greater extent than at present. A process management system has been developed in the State Road Administration linked to the main process of ‘Implementation of development project’. This will be an important contribution to good project management. Furthermore, a cost bank has been established to provide a better basis for the preparation of cost estimates based on experience prices. A project database has been developed to provide better opportunities for providing the market situation. In addition, the State Road Administration Handbook 151 ‘Management of investment, operational and maintenance projects’ is revised and is soon ready for deployment. This will contain more structured and specific requirements for the implementation of projects than current ones. Experience from the implementation of external quality assurance, KS2, has been an important contribution to the audit work. Good quality when it comes to the basis of competition, and clear sharing of roles and responsibilities between the builder and the contractor, is crucial in order to ensure that the work can be carried out without large additional payments. Therefore, the road system of the State is continuously developing standardised models for the development of a competitive basis and procedures for ensuring quality. Statoil, Telenor, Defence Construction, the Swedish Railway Agency and the Swedish Road Administration are taking part in the research project ‘Practical management of uncertainties’, where it includes: work is being carried out on developing uniform procedures and procedures to identify uncertainties in cost estimates. I think this would show that the State Road Administration and the Railway Agency are actively and systematically working on measures and further development of the management system, with the aim of reducing the risk of cost gaps.
ParlaMint-NO_2007-12-19.ana.ud897e1406	I thank you for your answer. One of the projects notified back to Stortinget is a new Kråkerøy link, which Stortinget treated in the spring of 2007. In the autumn of 2006, the quality assurance report on cost uncertainty stated: ‘Metier records that the Road Directorate, following repeated recommendations to implement improvements in the estimation methodology in the State Vegvesen, seems to lack the necessary understanding of the problem and has not taken the necessary action. The Ministry of Transport must ensure that procedures are in place to ensure cost estimation of projects in accordance with recognised best practice.» This should show that there is a significant potential for improvement in the state road system. The councils were within it in their answer. However, it is important to stress that an important reason why projects are now cracking on the cost side is, in fact, a poor project basis. That should be improved.
ParlaMint-NO_2007-12-19.ana.ud897e1416	In such a case, if the representative Sortevik is to be entitled to his or her statements, it must mean that one has been given a particularly rapid reduction in quality in the state road system. In recent times, there have usually been very small deviations in cost estimates between the external consultants and the State Road Administration. It should also be noted that the consultants have done little to identify possible problems. The best example is the Ulven–Sinsen, where the consultants actually were at the base of their Vegvesen. We know how these calculations were, and what we've been doing behind it. Nor do we feel that the external consultants, who are several, have been picked out by the Ministry of Finance and disconnected from the State Road Administration, to some extent have been good at selling prices in the market.
ParlaMint-NO_2007-12-19.ana.ud897e1423	Thank you again for your answer. In fact, the criticism presented in this project has continued in one of the last projects dealt with by the Storting, namely the toll bill on E6 from Gardermoen to Colomoen. There is repeated criticism from the quality assurance companies about the way project drivers and builders calculate and document their calculations. As I have done before in Stortinget, I finally want to refer to the hearing in connection with the 2008 Transport Budget, where the director of the Land Association of Construction provided a very clear answer – is clear yes to questions as to whether there were a lot of errors and shortcomings on the project basis for new transport projects. He confirmed that quite clearly. I am somewhat surprised that the Council of State is concerned about minimizing this, when it actually became heavy and clearly pointed out in the quality assurance of the major projects.
ParlaMint-NO_2007-12-19.ana.ud897e1430	The state councils are debatable from nothing. I had a long list of measures that the Council of State and the State Road Administration agree to implement in order to get even better quality assurance. It may be better, but the constant blackout and the debt that comes from the representative Sortevik against the State Road Administration cannot stand behind. The state road service has been through a great reorganization. Despite this, the services are of high quality. If the industry can have its point of view on the material being sent out, I hope they will take it up with the State Road Service, possibly with the Council of State, then we will have to go in. So far, I have not received any specific references from the industry about errors and are missing from the basis for the projects that have been sent out. I still think it is wrong to say that the main problem today is the state road system's methodology. The main problem today is a strong price increase in the market, which is based on several factors. As I said, it's a price increase that doesn't have the ability to predict the external environment either.
ParlaMint-NO_2007-12-19.ana.ud897e1439	I would like to ask the Minister for Transport the following questions: «Newly, the winter weather creates giant problems on highway 3 in Hedmark, resulting in miles of queues, material damage and human tragedies. What can and will the Council of State do to minimise this annual problem?’
ParlaMint-NO_2007-12-19.ana.ud897e1448	There is no first time the representative of Bredvold has asked questions about rv. Three, and probably not the last one either. I will try to answer as best I can. It is true that at several times in winter, car combinations have run off the road on rv. 3 through the Østerdalen. Thus, the road has been blocked for periods. There should be no such thing, and there are several reasons why this happens. Winter weather is a recurring fact every year in the Østerdalen, and rv. 3 is operated as a winter road. Therefore, the State Road Administration accepted that there is snow and ice cover on the road. In some places the road is narrow and curved, which makes it particularly demanding for road users when snowing or raining on the frozen roadway. In the time between autumn and winter, there are more frequent weather changes with large temperature fluctuations in a short time. The contract of the State Road Service with the contractor requires that the road be strewn within two hours when the conditions so require. I have no reason to say that this has not been done. Such requirements are designed, which means that for periods it may be smooth. This is demanding, especially for drivers who have suffered from slippery winter roads and do not take into account the difficult situations. Unfortunately, when some combinations of vehicles have poor tyre equipment, the result is that exits and hatches may occur. I would like to ask the Swedish Road Administration to follow this route extra well to ensure that the contractor delivers, as required by the contract. I would also like to ask the State Road Service to increase the checks on vehicle combinations operating on this road to stop those who do not comply with the current requirements.
ParlaMint-NO_2007-12-19.ana.ud897e1461	I thank the Council of State for a good answer. It is true that I have had questions about this before, and I will certainly have it in the future. The reason I'm going to have it in the future is that I don't have full confidence that the road is going to be as good as it should be. When you look at what kind of path this is, you pick 90 pst. by the wagon trains Østerdalen in front of the Gudbrand valley. The size has decided to rv. 3 shall be the route of origin. For example, between 1990 and 2000, 38 people were killed along this road, and several have been killed after 2000. I had the question up on March 1st, 2006. Then, in response from the Council of State, I was told that they would use more salt. ‘to facilitate compliance with adhesion requirements. The aim of the measure is to improve road safety and to evaluate it after the season’. Where is the salting evaluation? And why don't you use more salt?
