ParlaMint-NO_2007-06-19.ana.ud1045e39	The representative, Mr. Bård Hoksrud, who has been on leave, has once again taken the seat.
ParlaMint-NO_2007-06-19.ana.ud1045e623	In the proposal under consideration here today, the government has presented proposals for a number of important investments to the Defence Agency. The proposals contribute to the implementation of the structure adopted by the Stortinges on the current long-term defence plan. The two new projects for investment in properties, construction and construction continue to focus on locating the Army's operations around the garrisons of Inner Troms and the Østerdalen, and they support the construction of the Army, which takes place with the greatest gravity in the north. The investments in the inner Troms garrison are thus important for the Northern Region of the Government. The acquisition of satellite communications for frigates and missile torpedo boats provides these vessels with safer and more robust connections for use in all operating areas, not least in demanding conditions in our northernmost waters and operations outside our vicinity. It is important for me to stress that the proposed increase in the cost framework is not to be seen as an excess of costs, but rather as a result of an additional acquisition to adapt the frigates to new operational requirements. The acquisition of the frigates was also previously announced to Stortinget. The project for the acquisition of target missiles, as well as the provision of frigates and missile torpedo boats with powerful weapon systems, will be of great importance for the Norwegian industry. The project will ensure high-tech jobs, primarily in the Kongsberg area. The rescue helicopter service is provided through the proposal in the proposal to provide new functional premises at Bodø Main Aviation Station that meet health, environmental and safety requirements. I note with satisfaction that a unanimous committee joins these proposals in the proposition. With regard to the Government’s proposal for the acquisition of C-130J Hercule’s transport aircraft, there has been a significant commitment and not least strong opinions about the acquisition. The acquisition of C-130J Hercule's transport aircraft is of great importance for the national and international execution of the defence's various tasks, both in civil and military terms. There are two basic aspects that lie behind the Government's proposal to acquire four new transport aircraft now. One is the safety of personnel, and the other, not least as a result of the first, is the need to have an available operational flight capacity as soon as possible. These two considerations are best addressed by making a so-called rapid acquisition. That's the situation we're actually in, which is crucial, not how we would prefer to do it if we could allow ourselves to wait. Since the government submitted its budget for 2007, we have gained new knowledge about the state and availability of our current transport aircraft. The rapporteur asked precisely this, if the statement about what we expected of the planes after the upgrade was wrong, when the proposition was written. I would like to refer to the information I gave myself to the Defence Committee during the hearing on the budget last October, where I informed that it was exposed to corrosion by wing changes, and where I also announced that the Government had to decide what to do next with the planes. As regards the question of why not the defence has performed avionic cup upgrade, I would say that with regard to wing changes, it was absolutely necessary to ease the flight restrictions imposed in 2005. The avionic cup upgrade was not thought to start. They worked on it from January to December 2006. What also came to knowledge last fall was that even if you were to do a heavy, time-consuming and complicated avionic cup upgrade, we would not get a greater availability on the planes than about. 50 pst., because we still operated on 40-year-old planes. That's why the government decided to consider a quick acquisition, possibly the rental of new aircraft. On this basis, we had to reconsider what we had hoped for first, namely that these planes could still meet our needs for years to come. This is also a consequence of not having – and this does not apply to one government, but many governments over a long period of time – done some of the major updates with our planes. That's why we have the situation we have today. As a result, the Government has assessed what can remedy the situation as quickly as possible. The assessments that have been made show that it is to acquire C-130J Hercule's transport aircraft now, by the U.S. Air Force offering to take over aircraft that are already in order. No alternative can give us transport planes faster than this, and probably not more reasonable either. Then I just want to refer to the time aspect, as someone has shown, as we referred it to it at the hearing. That's how this offer gives us the first transport plane in December 2008, and we get the second one at the beginning of 2009. This means that in mid-2009 we could operate on two transport aircraft, either in Norway or for example. in Afghanistan or elsewhere where appropriate. The last two planes we'll get in 2010, and can, as we say, be fully operational in 2011. In the case of A400M, which has been referred to by several speakers here, that plane is actually not on the wings yet. This will be the earliest in 2010 and would be a normal acquisition with normal bidding round, the Defense would have had new transport aircraft in the period 2014–2016 at the earliest, because the process is extensive, and also because the training is extensive. When we can become operational as early as 2009, it's because we can do the training in the period until we get the first plane. We have an agreement and opportunities for that with several countries that have C-130J. I just want to comment a little bit that it has been a quick process. Yes, it's been a quick process. In fact, in January, we started contacting others who had ordered aircraft. In March, we received an offer from the Americans, and we were able to make a solution and an impact assessment. In fact, it was not possible to launch an impact assessment until we had something concrete to determine. That is why we started that process in March, and the impact assessment was completed the day before this matter went to the Council of State and was left to Stortinget, on 25 May this year. I also want to remind those who have referred to the rapid process here that six investigations were actually carried out in the last growing period in the case of transport aircraft – six investigations in four years. I assume that those investigations were carried out because you were concerned about the transport aircraft situation. These conclusions were referred – they are available in writing – to the Defence Committee, and the investigations carried out show that there were two types of aircraft that would satisfy the defence's need for tactical transport aircraft. It was C-130J, and it was A400M. But it didn't benefit us to recommend the A400M when the plane is actually not on the wings. The transport plane we now recommend, and for which the Government has gone in, will give us the tactical capacity we need. The needs for strategic air capacity are resolved in other ways, and, as I said, the investigations that have been carried out in the past also support this. The government of course requires repurchase for this acquisition, and this is also accepted by the supplier, and we have been given a guarantee about it. The substance of the repurchase agreement is already being elaborated between the parties. Even in a rapid acquisition that the Government is now proposing, we have to base, for a short period of time, on large parts of our transport aircraft needs on commercial solutions and the use of apartment facilities for the capacity of allied nations. This is a solution that, for many reasons, will not be sustainable in the long term, not least because our allies also have shortcomings in this area. I must also comment on the posts of the representative Dørum. He's surprised by NATO's scarcity of planes. Yes, in fact, there is a shortage of flight capacity in Afghanistan. There is not much available flight capacity, so you are particularly vulnerable if you cannot support your own soldiers. So for us who now have soldiers in three different places in Afghanistan, with great distances between them, air transport is the only option. Therefore, in the view of the Government, it is necessary to make a rapid acquisition in order to ensure the necessary available operational flight capacity as soon as possible. I am therefore pleased with the committee's recommendation on the matter, and also that the Right and Christian People's Party subsidiaryly supports this.
ParlaMint-NO_2007-06-19.ana.ud1045e672	It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e675	I hear the Council of State's time aspect around the generation. She probably means what she says, I trust it, of course. I have my doubts as to whether it will last, but it will eventually show. That's not the question. The proposal and the hearing on 8 June still show that it is for the sake of the safety of our soldiers in Afghanistan that we need new transport aircraft. The party of progress is, of course, very concerned with the security of Norwegian soldiers, no matter where they are in the world. I would therefore like to ask the Council of State: what concrete action is now being taken to improve the safety of Norwegian soldiers in Afghanistan until new, operational and capable transport aircraft are in place?
ParlaMint-NO_2007-06-19.ana.ud1045e684	The representative is very well known that in the case of transport within Afghanistan for Norwegian soldiers, it operates on a regular plane. I would like to say that we are carefully assessing the safety situation. Until now, it has been considered acceptable to use this aeroplane. But, as I said, that situation is carefully assessed. The fact that we use ordinary aircraft and that the security situation can get worse is exactly why we have to act now. In fact, we can't afford to wait for many, many years for new planes. That's why we recommend this quick acquisition, so that we can get them as fast as possible. I also want to say that I think it would be easier to get help from our allies if we needed it, because at least we're doing what we can to get us new military planes.
ParlaMint-NO_2007-06-19.ana.ud1045e692	Two questions: The main spokeswoman of the Labour Party, Signe Øye, was very clear on the desire to have a broad defence policy consensus in the Stortinget. I agree with that, and would like to ask if the Council shares that view. When I ask, it's because establishing such an agreement means taking and giving, and the question is therefore whether the Council of State will be prepared to change the Government's plan regarding the long-term programme during the course of the process here in Stortinget. My second question concerns the previous budget proposal, where it says about the upgrade of the existing aeroplanes that they will now be able to carry out all types of tasks again until 2012-2015. According to what the Council of State has told us a number of times about the time it takes to upgrade the avionics, which is 45 months, the question is: Was this the statement in St. prp? No 1 ever a realistic statement?
ParlaMint-NO_2007-06-19.ana.ud1045e699	First of all, I have to say that when it comes to changing the government's arrangements, I have not experienced so much in this period that there has been a particular disagreement about defence policy. I can't kind of foreshadow what it would be necessary to change. But I want to say that I'm very concerned that we're going to have a broad settlement on defence and security policy, because it serves the country, and it also serves the defense. As far as the second question, about realism, is enough, as I pointed out many times during the hearing, and as I also tried to repeat now, we came to new knowledge, because some countries had started to avionic update their planes during the fall. It was also such that we could not predict that it was rust or corrosion, when we started changing wings. We were then put in a very difficult situation and so that even if we spent a lot of time updating avionics – and then we would at least have no capacity available – we would not get more than approx. 50 pst. availability on the planes, and it was too little for us to be satisfied with it.
ParlaMint-NO_2007-06-19.ana.ud1045e706	The focus of the Christian People's Party on this matter, which also leads to a subsidiary vote for what the Government recommends here, is security. I am pleased that the Minister here stresses, also on questions from the representative of the Progress Party, that security has been ensured already today, and that we need to increase flight capacity in order to safeguard it in the future under the tense situation that is. My question goes to the Airbus Military and what's been going on around them. As far as I can see from the hearing, and what I have been able to read, there is uncertainty about the extent to which there have been talks with Airbus Military, and what the promises that have come from there are really going on. Among other things, claimed that in that case we got the first plane from there, while it was informed in the hearing that it was about aircraft no. 40, possibly coming to Norway. Could the minister say a little bit more about the Airbus Military process?
ParlaMint-NO_2007-06-19.ana.ud1045e713	In the case of Airbus, they made an offer. There was also at least one meeting in the department with Airbus. What was the problem with Airbus was that in the case of their aircraft, as I also said, the first plane would be finished by 2010. It was not satisfactory for the Norwegian defence for a rapid acquisition. If we had only chosen Airbus, it meant that we had to go to a quick acquisition of Airbus. If we had received one of the earliest aircraft, which would not in any way be advisable for a small country, one would have training that might take up to two years – and still with a quick acquisition, we would be in 2012, 2013. These are theoretical numbers. The recognition that Airbus has not yet arrived on the wings was absolutely decisive for the rapid acquisition of C-130J Hercules and no other aircraft.
ParlaMint-NO_2007-06-19.ana.ud1045e720	In recent talks with defence politicians from a series of NATO countries in Europe, among others. members of the UK House of Commons Defence Committee, who have recently also visited British forces in Afghanistan, appear to be quite a complex picture of what is security and threat. One of the things that emerges is different types of bonds that exist within NATO cooperation in Afghanistan at different levels and in different ways. I do not want to raise the question that comes now in any strange debate, but would like to ask the Minister of Defence the question: what is being done and how does she perceive the move to soften in such conditions within the NATO Alliance's joint effort in Afghanistan? I ask that question simply because I have received this as a concern from people who share the concern that I also perceive that the Council of State had in its recent intervention.
ParlaMint-NO_2007-06-19.ana.ud1045e725	It's clear that when we have 700 soldiers in Afghanistan, it's taking care of their security our foremost thought and our greatest concern, really, and what we're concerned about. And as I say, we're following the security situation continuously. With regard to the bonds that many countries have on their soldiers, there can be complications for the operation, so that there's a good enough picture of the representative of Dørum.
ParlaMint-NO_2007-06-19.ana.ud1045e732	Recently, at the latest yesterday, we have experienced that Norwegian soldiers have been attacked and have been wounded and injured in fighting in Afghanistan. In view of this, I would like to ask the Council of State: is the Council of State comfortable with the fact that Norway does not have — and will not be able to carry the new aircraft — its own capacity to transport helicopters for the medical evacuation of Norwegian forces in connection with foreign missions? We heard the same meeting that the representative of Dørum talked about, that German helicopters can only be used for own soldiers, and we cooperate a lot with German forces in Afghanistan.
ParlaMint-NO_2007-06-19.ana.ud1045e739	It is not right that German transport planes or helicopters will not transport Norwegian soldiers. They do in the case of medical evacuation. It is precisely those who are responsible for the medical evacuation, for example. now in Meymaneh, and in the north area in general. So they do. But when we're busy getting our own flight capacity, it's precisely because the flight capacity is limited, and if you're engaged in missions elsewhere, it'll of course take longer before the planes arrive. I also want to remind the Storting that it was actually not until this government joined, that you got your own flight capacity and air transport capability in Afghanistan, so at least we've done something about a reinforcement on that plane that we're flying there. But we see that the situation can change, and that's why it's so important that we now get new military planes that have the necessary protection.
ParlaMint-NO_2007-06-19.ana.ud1045e746	So the chord change is over.
ParlaMint-NO_2007-06-19.ana.ud1045e749	The debate and the vote show that there are different opinions and perceptions about the rapid acquisition of new transport aircraft. So far in the debate, there has been a lot of focus on the process and procedure, and less on the actual realities of the matter and what is the real situation we are facing. Let me first remind the Stortinget that, in addition to the recommendation of the Minister of Defence and the Government, there is a unique professional military recommendation from the Chief of Defence, from the Chief of Air Force and from the Head of the FLO – there is an urgent need for new transport aircraft, and they therefore recommend the rapid acquisition of this capacity. Then we are left with the following question: Driver the Minister of Defense and the Armed Forces' leadership with a deliberate manipulation towards Stortinget with the proposal and the need to quickly procure transport aircraft, as the opposition suggests between the lines? Or is it so uncomplicated that the Minister of Defence and the leadership of the defence are actually telling the truth when they say that there is an urgent need for new transport aircraft, and therefore proposes to rapidly deploy this capacity? For me and the Workers' Party, the answer is simple. We choose to believe in the Minister of Defence and the leadership of the Defence. I ask, if we're not going to be able to trust the Department and the Defence Management on such a difficult question, who are we going to trust? Let me therefore repeat that the Workers' Party believes that Norway and the Defence have a need to dispose of tactical transport aircraft capacity both today and for the future. We therefore note with concern the information provided by the Ministry of Defence that Norway is currently in practice without operationally available tactical air transport capacity. Today's 40-year-old Hercules aircraft are not suitable for operations in war zones, even after completion of the upgrade. What is crucial for the Workers' Party is that the solution of quick purchase is the one that gets the fastest transport aircraft available for our international operations, and thereby the best possible security for our soldiers. What we are now caught in can best be described as a collective failure sin, by the fact that former governments, and I underline governments, and the defense has not prioritised the follow-up of our national tactical transport fleet as should be done. Therefore, there is respect for this government taking responsibility and cutting through on this important issue. In the view of the Workers' Party, the need for new tactical transport aircraft is undeniable. In our view, a normal acquisition, which would give competition between the relevant operators of aircraft, would initially be preferable. However, this must be weighed against the fact that Norway is currently without a real tactical flight capacity, while there is an increasing need to have such aeroplanes available to take care of the safety of our forces out in international operations. The intention to ensure the safety of Norwegian personnel, thereby ensuring as quickly as possible the availability of tactical flight capacity for international missions, means that the Workers' Party supports the proposal for the rapid acquisition of four new C-130J transport aircraft.
ParlaMint-NO_2007-06-19.ana.ud1045e770	For most businesses, 300 million. I spent a lot of money. Even more money is if you spend the money on something you don't really need, or let's say that: if you have a used car and you want to deliver it in return for a new one, it's very bad money to cost a lot of money, maybe even more money than you get in return for it. That's what the government has done to our transport planes. They've repaired for 300 million. NOK and at the same time decided to buy four new aircraft for almost NOK 4 billion. Buying transport aircraft is okay, but doing it almost simultaneously to repair the old for 300 million. kr is a strange decision. But what's strangest, or maybe worst, is the way this is done. A trade of this magnitude, without tenders, does not belong anywhere. When we buy equipment – in this case four transport aircraft – we will spend the time we need when we are going to buy. We're going to buy what the plane Norway needs, we're going to spend time on good repurchase agreements, and we're also going to know what to do with the equipment we have. In the eyes of the Progress Party, none of this is in order, and that's why we say no to the flight purchase today – not because we don't want new planes, because we do. That is why, over several years, the Progress Party has made proposals for purchases, but no one voted in favour. What about the situation that has changed until today? Our planes are getting older, but if they're 40 or 35 years old, there's no big difference. Upgrade is not a problem. In the United States, U.S. Air Force upgrades 500 Hercules aircraft. Most of them are older than Norwegians, they have flown a lot more than Norwegians, and they are much worse off than Norwegians. So they've chosen to extend their flight life. Then it's very strange that Norway can't do that with its six planes, i.e., 494 fewer than the US lifetime extensions. Instead, the government claims that we have to make an urgent purchase – understand who can! I think the United States, in line with Norway, will have as good a defense as possible in every way. They don't make any hasty purchases. Another thing that disturbs us in the Progress Party is why we have to buy the type of aircraft we're doing, when everyone – I repeat all – investigates in the Defense in recent years, concludes that Airbus A400M should become Norway's new military transport aircraft. However, the government is in favour of the urgent purchase of four aircraft to nearly NOK 4 billion, which is not really suitable for the Norwegian defence. Some of the differences that can be mentioned include: Airbus loads 37 000 kg, against Hercules 19 000 kg. Airbus has a range of 6,300 km, towards Hercules at 3,300 km. In addition, Airbus is cheaper. In addition, Airbus Norway guarantees full operational flight capacity until the new Airbus aeroplanes are ready. It might seem as early as the new Hercules planes. Then I don't understand why we need an urgent purchase. If it was so urgent, the government parties would support the proposals of the Advance Party on air purchases when we presented them earlier. Then, strangely enough, it was completely tame. As a conclusion, I am uncertain whether this day will be a good day for the Defence in the long term. Unfortunately, we have a military history that goes on that part of our defence investment for various reasons has proved not to be equally successful. The most important thing for the Progress Party is that we buy the plane that ensures the safety of our Norwegian girls and boys, and that the aircraft is what the Defense needs, in addition to economics and repurchase agreements. When the investigations available show that another plane is more suitable than what the government has chosen, I am very sceptical.
ParlaMint-NO_2007-06-19.ana.ud1045e792	It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e795	On 10 January this year, the representative Bredvold had questions to the Minister of Defence about, among other things. Stand for today's Hercules aircraft. Governments inform that they have decided to investigate the so-called quick acquisition of up to four C-130J Hercules aeroplanes. Then the representative replied that it was positive ‘I see, if it is not possible to repair the planes we have’. And further, «Rust can be scary, and rust can be so scary that you can't repair it, that one doesn't find it proper.» Everything is just positive, and then the representative goes on to say, «So I'm glad that the Council of State spoke about the rapid acquisition of – as I understood it – four aircraft», that is, C-130J. He also goes on to say, ‘Then the Hercules aircraft is probably a good alternative to this.’ Then my question is, what has happened since 10 January and until today?
ParlaMint-NO_2007-06-19.ana.ud1045e802	“A good alternative” – I didn’t say it was the best option. The most important thing for me and the Progress Party is that we get a good flight for our Norwegian boys and girls who are going to promote peace in the world. Whether it's by buying Hercules or Airbus is a big discussion. But what I want is that we're going to spend the time we need, just to buy what's best for Norway. Then I think it's okay to extend our flights, so we get the time we need to do the best trade.
ParlaMint-NO_2007-06-19.ana.ud1045e809	Several have not asked for the word for a line. The scheduled time for the morning meeting is soon to come, but the President proposes that the meeting continue beyond 1 p.m. 16 until the cases are settled. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-19.ana.ud1045e814	The centre party is concerned that, in the case of future investments, we need to redefine the investment concept so that, in addition to the purchase of equipment, investments also include the training and training of those to use and operate the equipment. The costs of this in the future must be part of the decision-making basis for the adoption of investments. We have also previously purchased material where serious misassessments have been made regarding the total costs of purchase, maintenance, training and operation. In this way, the decision-making basis for the investments is too low in relation to the fact that we are to have a total defence with the necessary capacities that have their primary responsibility for the Norwegian territory of the country and of the sea. The proposal states that an external quality assurance of the project has been carried out in the course of this purchase in accordance with the guidelines of the Ministry of Finance on a ‘simplified grant solution’. I am pleased that the Ministry of Defence in its implementation mission for Defence will follow up the uncertainty mitigation measures recommended by the external quality assurance body. These measures include, inter alia: the establishment of a comprehensive project organisation, as well as a concrete governance document with a progress plan for the implementation phase in accordance with the normal standard for large-scale government projects. It is also essential to explain how the project objectives relate to self-protection, etc. can be fully met in the future so that our transport aircraft can participate in any type of operation without restriction. What I noticed in this case is that it is difficult to assess the total cost of purchasing this plane from Lockheed Martin, since there is no alternative plane to compare the costs with. Should we have done that, we must have waited a few years, which we all thought was possible to do just half a year ago. In St. prp. No 1 – State Budget for 2007 – the Ministry of Defence announces that four of our C-130H transport aircraft will be replaced and upgraded to include some of the aircraft’s components. This will allow the aeroplanes to ‘again carry out all known tasks up to approx. 2012-2015’. That is the time when it would be realistic to expect new transport aircraft purchased under normal procurement procedures to be operational. So now there's new information from the aircraft manufacturer and the seller, Lockheed Martin, that the sails about the planes are upgraded in Canada, so the availability, the percentage of time the planes are able to fly, is too low on our existing planes. The Ministry of Defence trusts that information. It's too weak that we didn't have this information before. In order to ensure and further develop the necessary willingness to defend the Norwegian population in the future, a much more robust assessment of the investments to be prioritised is required.
ParlaMint-NO_2007-06-19.ana.ud1045e827	St. pp. No 78 for 2006-20007 deals with investments in the Defence. At the hearing on 8 June, the Council of State said that this proposition would come every year and that it would be even later last year. The Council of State is entitled to have a proposal every year for investment in Defence. However, there is no reason for it to be very late each year. The strange thing is that the defence's investment needs are not known until the end of May each year. Even more strange is that the government based a proposition on the information received the day before the case went to the State Council. You can then ask yourself whether you have had the opportunity to look at the conclusions and to make the necessary assessments in a matter of almost NOK 4 billion in a short time. The other issues dealt with in this proposition are also issues where there are large amounts that are granted. A general weakness by empowering project implementation with a cost framework is that it is difficult to monitor the economic development of the project in retrospect and in the course of its implementation. It is also difficult to see what is naturally included in the project when there are broad mandates granted. It would also be inconspicuous to be able to point out any deviations from what the project actually includes in detail, when this has not been presented to the Storting in advance. With regard to the new acquisition of target missiles, this is a natural continuation of the completed development project approved by the Budget. S. No 7 for 1994-1995, cf. St. pp. No 1 for 1994-1995. The development project was successfully completed by the test shootouts carried out in the United States in January this year. New target missiles – NSM – shall be the main weapons of defence for surface warfare on different platforms, such as our new frigates and MTBs. The party of progress is in favour of this missile becoming the defence's main weapon of surface warfare. We also hope that such an acquisition to the Norwegian defence will have positive ring-effects in terms of the interest of this missile at our allies. At the same time, we are concerned that this acquisition project should not be associated with projects aimed at adapting this missile to arms platforms other than the Norwegians it is intended to be in this proposition. The big issue in this proposition is, of course, the purchase of new transport aircraft. The need for new transport aircraft has been highlighted by the Progress Party for many years. The funny thing is, the government is right now to acquire new aircraft in a so-called fast-track acquisition. This way of acquiring new transport aircraft is exclusive to an open and good process. The reason for the Government is that there is only one type of aeroplane available on the market. That's why I don't think I'm good enough. There are other tactical transport aircraft on the market that can be delivered during the same period as C-130J. In addition, Airbus A400M can be delivered from 2010. In this context, it is therefore interesting to see the note from the Workers' Party and SV, where they ‘shows that a rapid acquisition of C-130J, combined with possibly lease-in of one aeroplane of the same type is what, according to the Ministry of Defence, will provide Norway with the necessary capacity as soon as possible, i.e. a partial capacity from 2009 and full capacity from 2011.’;» Face this, there is no need to acquire new transport aircraft through fast acquisition, all the time our current transport aircraft will be operational during this period. It is regrettable that such a large and important case as the acquisition of new transport aircraft has been dealt with in such a deplorable way as is the case.
ParlaMint-NO_2007-06-19.ana.ud1045e849	A few days ago we dealt with a matter in this Chamber about the management of the State pension fund – abroad, a matter such as: referred to the Government’s ethical guidelines for the management of the Fund. One of the companies in which the government has already excluded investments is the defence company Lockheed Martin, because the government claims that the company produces components that the government believes are unethical. Today Stortinget deals with a matter that concerns the rapid acquisition of transport aircraft C-130J to the Defence. This acquisition shall be made by the company Lockheed Martin and shall be made without competition. Irrespective of the facts of the matter, the government today has a double morale completely unparalleled. While the government claims that it is absolutely ethical to acquire transport aircraft for nearly 4 billion kroner from the company Lockheed Martin, it says at the same time that it is unethical to invest in the same company. In fact, through repurchase agreements, the Ministry of Defence forces companies such as Lockheed Martin to operate in Norway. So it's unethical to invest in the company, but we're going to acquire from the forced enterprise repurchase agreements and cooperation with Norwegian companies. That's double morality. In other words, the government believes that it is ethically correct to let the company Lockheed Martin make money selling weapons to us, while it is unethical that Norway earns money in the production of those weapons together. While Minister of Finance Kristin Halvorsen runs around and tells everyone who wants to listen, that the company Lockheed Martin is unethical, Defense Minister Stroem-Erichsen runs even faster and tells that Norway has to quickly procure transport aircraft from exactly Lockheed Martin. What do the majority of the managers of the company Lockheed Martin think would choose if the choice were between Norway investing shares in the company or Norway acquiring the company's transport aircraft? Of course, the company’s management would primarily want Norway to buy the company’s products. The truth about the government's ethics is that it likes to rely on ethical imperialism to score cheap rhetorical points, but that it becomes completely paralysed when it discovers that ethics does not match Norway's practical needs. Then the ethics becomes flexible and selective. Finally, I would like to challenge the Council of State on the possible consequences of the possible rapid acquisition of transport aircraft from an American supplier. All those who follow the defence carefully know that acquisitions of such a size today are not only competition policy, but also foreign and security policy to the greatest extent. Norway is facing two particularly large acquisitions, where our national industry can supply little. It's transport aircraft, and it's fighter aircraft. Traditionally, Norway has balanced its acquisitions between Europe and the United States. This has not least been the trend in recent years. In the light of the above, I would like to receive guarantees from the Council of State that today's decision to acquire transport aircraft from the United States will not lead the competition to take place with regard to fighter aircraft. In other words, can the government guarantee that the purchase from Lockheed Martin today will not give any leads, either rhetorical or real, for the decision on which supplier to choose, when the decision on new fighter aircraft will be taken in two years' time?
ParlaMint-NO_2007-06-19.ana.ud1045e866	I think it is right to correct some of the things that Bredvold said about having spent 300 million in vain. kr on the old transport aircraft. I would like to remind you of what I also said during the hearing that the change in wing cost 166 million. kr. The second was routine and major maintenance, which was necessary to do. After all, when the planes have got this wing change, they will be able to fly simple missions in Norway. They will also ensure that our flight crew can fly necessary training hours, which is very important. When reference is made to the US life extension of aeroplanes, it is not correct that those lifetime extensions extend aeroplanes that have flown more than 18000 hours. Our planes have flown an average of 22,500 hours. That's why it's a lot more than what you invest in in the United States, precisely because it's not considered to be equivalent – it doesn't pay off – because the planes are too old. It was also said that all investigations are going in the direction of Airbus. That's not right either. I just want to refer to the questions that we answered in writing to the Committee, where the conclusion of the six investigations carried out in the previous magnification period says that both the A400 VM and the C-130J satisfy the capacity of new tactical transport aircraft. I also think there is reason to refresh the memory of the representative of Bredvold. When he asked me 10 January this year about transport aircraft, he said: ‘That is why I am pleased that the Council of State spoke about the rapid acquisition of – as I understood it – four aircraft.’ Further on in the round of questions, he said: ‘Then enough Hercules is a good alternative to this.’ That's actually the recommendation we're now making to the Biggest, As for the representative Tybring-Gjedde's question, I want to say it this way: when we recommend the quick acquisition of new transport aircraft, it's because we're in a situation where we need new flights. There are no planes on the market other than the Hercules. Therefore, there is no one to choose from, and I want to say that this is an isolated matter. In the fighter aircraft project, we are very concerned that we should have three suppliers, and that we should keep the three suppliers and the competition between them.
ParlaMint-NO_2007-06-19.ana.ud1045e889	I guess we're all for the quick acquisition of planes, but the question is how fast it should be, and how many are going to be involved. I believe that not everyone has had the opportunity to be involved in this matter. We in the opposition – and then I speak for the Progress Party – feel that this time has gone too fast. It surprises me that it was said in a previous post – I think it was from the Council of State – that there has been only one meeting with Airbus. In all the investigations that have been – I think there have been six pieces – it has been said that Airbus is the best option for Norwegian defence. The Hercules flight from Lokheed Martin is, as I said, a good alternative – of course it is – but there are also other alternatives on the track, and that's what I want to highlight. Otherwise we've talked a lot about planes in this debate, and we've talked a little bit about Rena clay. A capacity for delay shall be built up. I guess it's good that we spend 118 million. up there, but we also have other things up on Rena clay, which I've talked to the Council of State about in other contexts, and it's a workshop. Will the Council of State be so kind as to answer this question: what happens now to the workshop up there that is not finished, which is used as a cold store? It was promised that it would answer that question when I asked it for quite many months. There's nothing on the matter we have here today, and I demand it.
ParlaMint-NO_2007-06-19.ana.ud1045e898	Several have not asked for the floor on case No. 1st@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2007-06-19.ana.ud1045e917	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2007-06-19.ana.ud1045e925	The size shall now vote on case No. 1 on the ordinary agenda and case No. 1 on the supplementary agenda.
ParlaMint-NO_2007-06-19.ana.ud1045e933	Three proposals have been put forward during the debate. It's the proposals No 1 and 2, by Per Ove Width, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 3, from Jan Petersen on behalf of the Right Proposal No. 3, from the right, is taken up to voting. The proposal reads as follows: ‘The request for the rapid acquisition of tactical transport aircraft shall be returned to the Government.’ The Progress Party, the Christian People's Party and the Left have announced support for the proposal.
ParlaMint-NO_2007-06-19.ana.ud1045e959	Proposal No. 1, from the Progress Party, taken up for voting. The proposal reads as follows: ‘The decision requests the Government to conduct an open tender procedure for the acquisition of new transport aircraft and to promote a new case for the Storting based on such an executed process.’ The left has announced their support for the proposal.
ParlaMint-NO_2007-06-19.ana.ud1045e976	There is an alternative proposal, proposal No. 2nd from the Progress Party. The proposal reads as follows: ‘The Government agrees that the Ministry of Defence in 2007 can1. start up new investment projects, including major property, construction and civil engineering projects, referred to in Chapter 2 New projects for approval in the submitted proposal, with the exception of the quick purchase of C-130J transport aircraft, within the given cost framework.2. amend the previously adopted projects, referred to in Chapter 3 Previous projects adopted in the proposed proposal, within the given cost framework."Left has notified that they wish to support the proposal of the Progress Party.
ParlaMint-NO_2007-06-19.ana.ud1045e1025	There is a vote on proposals from Ivar Kristiansen on behalf of the Right and Christian People's Party submitted from the Odelstinget meeting on 19 June 2007: ‘The decrease asks the Government to take into account abnormal events during the base period when allocating free allowances for the 2008-2012 period.’;»
ParlaMint-NO_2007-06-19.ana.ud1045e1031	The Progress Party supports the proposal in a subsidiary way.
ParlaMint-NO_2007-06-19.ana.ud1045e1047	We're going back to the ordinary agenda.
ParlaMint-NO_2007-06-19.ana.ud1045e1145	Since this is the last meeting before the summer vacation, the president will wish everyone good summer and hopefully well, but in any case well mood, because it's very healthy for everyone.
