ParlaMint-NO_2007-06-05.ana.ud458e51	The representative André N. Skelstad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-05.ana.ud458e1197	I hope the representative of Gullvåg does not go in the same trap that the representative of Jan Petersen went in, when he insinuates that we at Stortinget do not work. I've followed the whole debate, except for the little time I've spent in a committee meeting. In my office, there is a direct transmission from the debates in the Chamber. In this way, I have had the whole debate. And unlike Gullvåg, I have received internal proceedings in the Progress Party – from group board to group meeting – and the conclusions we have drawn. But now it seems like the Council of State might want a settlement. Could it be that we can get the evaluation during 2008? In that case, the government will meet us halfway, because we say in 2007, the government says in 2009. In fact, we believe that it is important for industry to know as soon as possible what policy to pursue in the future. It creates predictability for the industry. So now it has to wait for this government to evaluate in 2009. One of the points made by the Fischarlage in Sogn and Fjordane was that we wanted an evaluation and an impact assessment as soon as possible, based on the various proposals on the table. That's the only difference. If it is true that the representative of Gullvåg refers to a press release from the Progress Party: Well, then Gullvåg must have a reputation for having such an interest in reading the press releases from the Progress Party. But there is nothing in the press reports about the direction in which the Progress Party fell. We decide that in democratic bodies in this party, by the treatment of the group board and of the group. Then we've fallen into what's right, and what we think the industry is also satisfied with. There's nothing else the government says either, when they want to push the evaluation in front of them. It's that simple.
ParlaMint-NO_2007-06-05.ana.ud458e1209	Oge Starheim has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2007-06-05.ana.ud458e1212	I'm not going to spend much of that time. I just want to say that for me and for the Progress Party, it's more important that the fishermen and fish stocks are happy with what we're doing than that the government party is.
ParlaMint-NO_2007-06-05.ana.ud458e1217	I am really asking for the word to correct a manifest misunderstanding. So far, I have thought and believed that the Press Releases of the Advance Party also expressed an opinion. It is obviously wrong, and I am sorry that I have been wrong.
ParlaMint-NO_2007-06-05.ana.ud458e1222	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 3326]]
ParlaMint-NO_2007-06-05.ana.ud458e1238	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. Furthermore, the President will propose that five lines of reply be given within the allocated speaking time following contributions from members of the Government. Furthermore, it is proposed that those on the list of speakers, in addition to the allocated speaking time, should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-05.ana.ud458e1247	The case concerns an amendment to the EEA Agreement, Annex XIII on transport following the inclusion of a Council Regulation on the harmonisation of certain social legislation relating to road transport. The Regulation mainly provides for driving and sleeping time in road transport and provides for the use of recording equipment for the registration and control of driving and sleeping time. Its objective is to contribute to ensuring a level playing field between forms of road transport in the EEA territory and to improving road safety and working conditions in the industry. The Regulation will mainly be implemented in Norwegian law through a revision of the regulation on driving and sleeping time, a regulation that is currently being revised. In addition, a new legal secret is necessary to punish certain offences of the decision. The Ministry announces in the proposal that they will come back with a motion for a resolution proposing the necessary changes. The regulatory changes and the necessary legislative changes that are coming will hopefully make it less attractive to break or help break down driving time and sleep time decisions and thus also contribute to fewer accidents, better working conditions for drivers and a level playing field in the industry. I shall not go into all the articles or decisions of this Regulation, but I will comment on Article 10(1) under the heading of responsibility of the transport operator. Here's what it's called: «Payment by a transport undertaking to its own employees or to drivers made available to it shall not relate to the distance travelled and/or the amount of goods carried, even in the form of bonuses or pay supplements, if that payment is such as to endanger road safety and/or encourage infringement of this Regulation.» It's a fact that traffic has increased a lot in recent years. This is true of heavy transport, and it may be particularly true of freight traffic. Economic growth, increased trade and the fact that companies have largely stored their own on rolling stock, are involved in this. Most importantly, this activity does not have a performance-based pay system which is an incentive for congestion or hard and aggressive driving to quickly emerge in traffic. In the area of road freight transport, we find today a wide range of pay schemes for drivers. Very many are connected to the distance travelled and/or the amount of goods transported. Some of us may have felt a loathsome attitude on the part of drivers in the traffic picture. The Transport Workers’ Association, which organises part of the drivers, clearly states that this with performance-based pay systems is hazardous to traffic. In a letter dated 4 December 2006, the representative Per Rune Henriksen raised this issue with the Minister for Transport. In principle, a person should think that it was a relationship that the employee/employer himself could settle. But unfortunately it turns out to be impossible, much because it's only 20 pst. by the members of this organised industry. In my view, Article 10(1), to which I referred, opens for a certain degree of discretion when such a piece of pay is dangerous to traffic. I believe that one can safely establish that such a pay system is initially dangerous to traffic and should therefore not be allowed. I think this is something that not only the employees would have enjoyed, but also the employer/business owner. Many companies that might think of going away from such a piece of pay system refuse in fear of losing out in competition with others. A law or regulation that prevents this will make it fair for everyone. In fact, there are employers who have approached us and said that they have used a different payroll system, and that they have only good experience with it. What they may have lost in efficiency, they have taken the form of less damage, less insurance premiums and a better working environment. The majority would like to see a change in the rules that states that this pay system should actually be banned. There is a minority here that indicate that they will come back to this matter in connection with the motions for motions for resolutions. I'm assuming that they want to do their own thing for their view of it. Otherwise, I refer to the configuration of the committee, which is inconsistency.
ParlaMint-NO_2007-06-05.ana.ud458e1283	The Transport and Communications Committee has submitted to Stortinget an opinion with comments on proposals for new regulations on driving and rest periods. The Regulation essentially provides for driving and rest periods in road transport and for the use of recording equipment for the purpose of recording and checking driving and rest periods and replaces the provisions in force. The aim is also to contribute to ensuring a level playing field between forms of road transport in the EEA territory and to improving road safety and industrial working conditions. The consultation note from the Norwegian Freight Car Association points out, inter alia: that Norway’s road network and topography differ significantly from that in other parts of Europe and that this should be taken into account both in the case of exceptional assessments and in the way the legislation is enforced. The new provisions provide for fewer cases where derogations are permitted. When the final legislative proposal comes up for consideration, it is very important to include the assessments and input from the Norwegian Transport Workers' Association, but also those from the Norwegian Freight Car Association. It points to significant and important elements, and the NLF is opposed to a number of proposed aspects covered by the regulations. This is why the Progress Party believes that it is very important to consider these recordings and to have an expanded consultation round in Stortinget – just to give us the law for the benefit of all parties that come under and are to deal with this regulation. Attention should be paid to the smooth application of the law and to the need to take into account both the legislative amendment proposal and the related regulation, as I mentioned earlier, which clearly makes it difficult and not practical to comply with the detailed legislation. The introduction of co-responsibility for several transport operators could have financial consequences, but this will happen primarily when drivers are imposed on impossible timetables for forcing them to break the Regulations. The provisions and regulations of the Working Environment Act regulate working time, and the Norwegian Working Environment Act is stricter than the work environment legislation of the EU countries we know. In this case, by legislative amendment and regulation, it is necessary to ensure non-discrimination – non-discrimination between Norwegian enterprises and employees with non-resident operators in Norway, non-discrimination when enterprises and employees operate in other EEA countries, and when non-resident enterprises and employees operate in Norway. This applies in particular to checks and penalties in the event of any breach of laws, regulations or administrative provisions, and to the fact that the contracting entity is also held responsible for infringements of driving and rest periods and working time regulations. However, good practice is needed to prevent double penalties. Finally, I would like to point out that the legislation must be adapted to our natural circumstances, because they cannot be adapted to the legislation. I cannot see that national adaptation would be contrary to the objective. One is aware that both Sweden and Finland are based on their national circumstances, as the exceptions they have had to date have continued.
ParlaMint-NO_2007-06-05.ana.ud458e1296	The matter under consideration is the approval of a decision of the EEA Committee to join an EU and EEA Directive. We have had a very fast, and, to the best of our knowledge, a procedure, but there has been only one hearing body, and it was Norwegian Transport Workers' Union. In view of that, I think it might be a bit drastic when the majority of people in this case say that a type of pay system, namely performance-based pay, is scary and could put road safety at risk. If that's true, it's clear that this isn't a system that we can have on Norwegian roads. At the same time, we cannot have an industry where Norwegian transport companies are subject to competition rules different from those of other EU citizens. We have to keep our tongue right in our mouths here, and make sure that we get a thorough explanation of the matter when we get the odelsting proposal for treatment, and that different actors in the industry can make their input. I have every sympathy for not having a driver on the roads that – I was about to say – gives full gas and runs to the couches. However, Norwegian health and safety legislation and other laws and regulations suggest that it may not be possible to do so today either, nor should it be so. With this small reservation, we also end up with this directive, but perhaps it is a bit drastic to devalue, or almost to go in the form of a note for a ban on a type of pay system based on an hour-long consultation with Norwegian Transport Workers' Union where no other hearing bodies were present.
ParlaMint-NO_2007-06-05.ana.ud458e1303	Unlike the last speaker from the Right, I am very pleased that the majority of Stortinget is actually doing something active in relation to regulations and directives coming from the EU. I don't expect anything else from the right party than that they're rubbing over and swallowing away everything that comes from the EU. From the big crowd's side, including the Christian People's Party, we have said that we think that we need to take it easy here, because we want to take care of things. for road safety. It's a little strange, I think, that the right hand side of Norway, represented by the Left, Right and Advance Party, didn't think there's a reservation it's important to have it tied up to the fact that this can actually improve road safety in Norway. I myself have checked the Commission's review of two road accidents involving vehicle combinations in my country, where it is evident that there is a problem that the level of knowledge of some companies causes a pressure on workers to do something they should not do. If we don't tell the law authorities what we think is right, what direction we think is right, and what we think is most traffic-proof, there's only one principle that matters, and that's that the market has to control. It is initially good in accordance with the EU principle, and thus also in accordance with a part of what comes under the EEA Agreement, see: all the problems we have with this agreement, whether it concerns the industrial power regime or whatever it may be. The point for us, from the point of view of the plural, is to give a clear message and a clear signal that we see traffic safety and people's working conditions ahead of the market principle. I'm very pleased that we have multiples for such a vision in this room today.
ParlaMint-NO_2007-06-05.ana.ud458e1310	Regulation [[EF]] The purpose of the Regulation is to contribute to ensuring a level playing field between forms of road transport in the EEA territory and to improving road safety and working conditions in the industry. This is done by changing the current rules on driving times, breaks and sleeping times for drivers of goods and passengers by road. As a result of developments in the transport market, the scope of the rules has changed somewhat. More vehicles than before will be covered by a change in the derogation and some have been made dependent on national implementation. There have been some changes to the rules for daily running, breaks and sleep periods per. day and week, mainly to make the rules easier. There's a string in a single area, including the number of hours that can be used for running each week and the rules for daily rest periods and weekly rest periods. There is more clarity and, in a sense, stricter documentation requirements for running and sleeping times. Drivers and operators are responsible for transferring and storing data from the driver card and tachograph. In addition, individual definitions are adjusted. Requirements for digital tachographs in new running gear were in force for Norway on 9 December 2006. The responsibility of drivers and operators to comply with the rules on running and sleeping time and the use of tachographs is reinforced by more detailed and precise requirements. I would particularly like to point out that there will be a ban on pay schemes that poses a risk to road safety or encourages infringements of the Regulation. More specifically, third parties are given express obligations when it is necessary to ensure that transport timetables in contracts are in line with the rules, and the administrative powers have the power to sanction breaches of those obligations. In addition, Member States are required to enforce the rules irrespective of the country in which the offence occurred, where the driver comes from, or where the activity is established. Until 1 January 2009, the Governing Boards may inform the home Member State of offences committed in other countries by citizens or enterprises which are nationals of other countries. I hope that the implementation of the Regulation will have a positive impact on the transport industry and road safety, and I welcome the support of the Transport and Communications Committee to the Government's proposal for the approval of the decision to include Regulation No into the EEA Committee. 561/2006 of the EEA Agreement.
ParlaMint-NO_2007-06-05.ana.ud458e1329	It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e1332	There is, of course, broad agreement on all the challenges facing us here, and we will also come back to this when we have to make a proposal and, where appropriate, regulations. But I have a small challenge for the Council of State. I would like to have a clarification, but it may not be that the Council of State can take it on board. This concerns the majority comment on page 2, where it is considered that regulatory changes and any legislative changes are necessary to prevent such a remuneration system that could lead to a breach of the rules on driving and rest periods. Can the Council of State already point out which pay system we're talking about? And what problems do we face if it is that the Storting should intervene in terms of bonus schemes and remuneration systems such as: are included in collective agreements and the main agreement between the employer and the employee?
ParlaMint-NO_2007-06-05.ana.ud458e1343	It's hard for the Council of State here to go into the details of a work that's going on, because that's exactly what the representative Sandberg is dealing with, the relationship to collective agreements and the relationship to the current legislation, one has to go in and look at and get a clarification on. I have a clear formula that once I have been provided with that basis, we should ensure that we do not have current bonus schemes and incentives that could compromise road safety. I hope that a broad majority in Stortinget will agree. But a clarification in relation to the borderline cases that have been outlined, and other border crossings in question, one has to do, and that's what's going on.
ParlaMint-NO_2007-06-05.ana.ud458e1351	This goes on the same observation from the majority. We all agree that driving and rest periods must be respected. In its contribution, the Council of State has well documented this with digital tachographs, which are required, and other detailed requirements that are now in place. It is not certain that the Council of State can answer my question either, but it goes on to move forward towards the motion for a resolution, as the majority have taken this up: does the Council of State have a case in point that there is a pay system that leads to accidents? Or are there other heavy transport factors that contribute to accidents?
ParlaMint-NO_2007-06-05.ana.ud458e1358	It's a composite set of causes that lead to accidents. It's both about the individual driver's characteristics, it's about the road's characteristics, it's about the traffic a meeting, where others can cause accidents, and it can be about stress, where a person is pressured to work at a level of stress that some people experience so that they are unable to give full attention to traffic and can become a greater danger to road safety. There are several examples of that. I shall not draw exactly a sample. It would be a mistake to stand here in Stortinget and do it, but I've been recorded by some drivers who think they've been exposed to that kind of scheme. I have also been in contact with the company that explains to me that they go away from that kind of incentive scheme, precisely because of the road safety.
ParlaMint-NO_2007-06-05.ana.ud458e1363	My question is about driving and rest periods for the transport of live animals and the transport of offal. Here, Norway has per cent. today exceptional provisions due to climate, road network, topography and the location of slaughterhouses. Will this regulation that we are discussing today change the derogations we now have? In this case, the Council of State will contact the European Union, so that the derogations we have per year. today, can continue?
ParlaMint-NO_2007-06-05.ana.ud458e1370	Just the exception that the representative Tenden sketches is one of those that I am busy keeping. I have asked for the necessary grounds to see if we can keep them without going back to the EU. If necessary, I will contact the EU to secure and maintain these derogations. They are on animal welfare, and we cannot let corks or other legislation go beyond the responsibility we have to take care of it.
ParlaMint-NO_2007-06-05.ana.ud458e1375	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-06-05.ana.ud458e1380	The representative of Trond Helleland clearly believes that our plural remark about getting a code to prevent performance-based pay in the transport system is to build on a too thin basis – a ten-minute hearing with the Transport Workers' Union. Now it's saying that we had an open listener, and then there was a possibility for other parties to also set up. But my main point is to clarify that this is something we've been working on for a long time. I've got a lot of requests. In my post I also referred to a letter that we sent to the Council of State on 4 December 2006, where we just addressed that question. The industry itself, in particular the Transport Workers' Union, has pointed to the link between road-hazardous situations and the pay system. Personally, I'm completely overconfident that a performance-based pay system will be an incentive for dangerous traffic situations. Therefore, we should avoid such a pay system. The Norwegian locomotive association did not meet the call, but they will be able to make their views known later. I mention that if I do not have their official vision, I have at least received requests from individual companies. An example was an employer who called me, who had six tankers running for Norske Shell. He had gone away from a performance-based payroll system and over to another system, and he said he had only good experience with it. What he might have lost in efficiency, he would have felt that there was much less damage to cars, less insurance premiums and a much better working environment. I think it's worth trying to put in place a system that prevents this. I feel that in many ways it is to intervene in something that the social partners themselves should be able to sort out. But the actual ratio is that they've tried it for many years, without success. There is a lot of that in this sector there are so few organized that they can't get these things in place through the regular, central negotiations. I think it's time, through our legislation, that we make sure that this is banned.
ParlaMint-NO_2007-06-05.ana.ud458e1393	I think there might be reason to recall what this matter is really about. It is an accession proposal that we are dealing with – that is, a question in which the Stortinget takes a decision on the inclusion in the EEA Agreement of an EC Regulation. Afterwards, the rather detailed treatment of what is to be followed up by Norwegian legislation and the regulatory body which is linked to future legislation. In many ways, some of the comments here – not least comments from the government parties – are illustrative of what is a little strange in dealing with such matters. So it has been a little unusual to consult on this accession proposal, while at the same time having a deadline for consultation with stakeholders, a proposal for a detailed regulatory body for a forthcoming legislative change. In fact, parties who might have been at the hearing together with the one party who found an opportunity to attend were in the process of producing their hearing opinions within the time limit in force. Then it's a little strange that we looked to say in advance, in detail, a future amendment of the law and a regulation that the department is proposing to change before the Stortinget has actually adopted the actual legislative change. Just in order to be quite clear: the Progress Party is for road safety. We are too good working conditions also in the transport industry, and we are, not least, for the rational practice of driving and rest periods. It is a special challenge in relation to the EC regulation that we are now adopting unanimously, but also in relation to the practice of driving and rest periods by the Norwegian authorities, which, in fact, before this enlargement is a major enough challenge both for those who have the job of driving and transporting goods in Norway, and for those who are engaged in this as an industry. There are major challenges to how our own bureaucracy relates to the special geography we have, and the special conditions we have on a completely deleterious road network. However, we have also given some signals in connection with this accession proposal that we will listen to all stakeholders. We will do it in a thorough and good way through consultation in the context of the law, and we expect that there will be many parties represented at the hearing.
ParlaMint-NO_2007-06-05.ana.ud458e1406	After the representative from Sorteviks, where he came into the process, I felt the need to clarify the following: Of course, it is right that this is a treatment of an EEA committee where we should give our consent. At the same time, this should be followed up by a revision of the regulations in the case of running and sleeping time and a legislative change. That's why we haven't gone into the details of what's contained in legislation, and the different articles there. But at one point we mean that we've come so far that it's already necessary to tell you about, and put some leads for, what's going to come in the regulation and in any legislation. What I mean is it's politically legitimate to be able to do, even if these prescriptions are out on the ears. At this point, I think we've had such a good background, and we've been working on it for such a long time, that we would say clearly that here we saw the traffic safety in the high-seat. Priority shall be given to the preparation of the regulation and the legislation.
ParlaMint-NO_2007-06-05.ana.ud458e1413	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 3327]]
ParlaMint-NO_2007-06-05.ana.ud458e1429	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-05.ana.ud458e1438	Too many here are probably afraid of race a well-known and everyday problem. Securing racially dangerous areas is a high priority of the red-green government, and we want an even stronger focus on racial protection. No one who hasn't even tried it knows how it feels to run to and from work with fear of race, or send children to school when one knows that one sends them on unsafe and racially dangerous ways. Here you will need adult training for those who live their lives in the flat landscape of the east. Transport is an important element for construction, industrial development and resource use. A large part of the value creation takes place in the districts. Good and safe roads are crucial for the competitiveness of the workplace, deciding that the labour force is safe to and from work, and deciding that the goods are to come out and reach the market, preferably centrally in the Orient or on the continent. Racism is, therefore, crucial for people and businesses to continue to live and develop in these places, especially in the West and North of Norway. Racial protection is specifically highlighted as a field of action in the Government Declaration. On this basis, the Government has changed the development of low affordability for racial protection throughout the ageing period, and has prioritised significantly greater resources for the purpose than in the previous ageing period. In the 2007 state budget, there are about 560 million. kr for the project and action against race on the road network. The National Transport Plan Report 2006–2015 suggested increasing the effort for racial protection. That effort was further reinforced by the mass plurality, the Labour Party, the Socialist Left Party, the Center Party and the Advance Party. The government followed this up in the additional and revised national budget for 2006 to increase the commitment to racial protection for 2006 by a total of 90 million. kr in relation to the proposal of the Government of Bondevik II. In the 2007 budget, the national transport plan’s objective was to achieve racial protection. A total of about 480 million. kr will be used for racial protection in 2007. It's half of what's in the NTP's programme of action — half the period and half the amount. This means that the Government meets the expectations set out in the National Transport Plan. Climate challenges and racial security are an important part of the work of the Eta and the Ministry of Transport on the National Transport Plan 2010-2019. The Ministry also focuses on the context between these two challenges. This underlines the ministry in its letter dated 7 May 2007. The Council of State commissioned the State Road Administration and the Railway Agency to do more detail on the consequences of climate change and more extreme weather conditions for the development, operation and maintenance of the road and rail networks, with a focus on, among others. protection of breeds and fleas. State transport modes are now engaged in distribution and research projects which the Ministry of Transport will use as part of the basis for assessing whether racial protection should be given greater weight in a new national transport plan notification. The National Road Service draws up national racial protection plans as a leak in the work of the National Transport Plan 2010–2019. These plans provide a good basis for addressing the challenges, assessing the need for resources and giving priority to racial security measures. I am therefore of the opinion that road users are more likely to be involved in the government's work on specific racial protection projects instead of producing new documents. However, I would like to pay tribute to the opposition to put on the agenda an important issue in the field of transport policy. On this basis, on behalf of the Government Party, I would suggest that the proposal for a representative be annexed to the Minutes.
ParlaMint-NO_2007-06-05.ana.ud458e1464	Racial protection is an important theme. It is a special challenge in the transport sector because racial hazards pose a safety risk that cannot be safeguarded by its own behaviour. Here all road users depend on the road user taking responsibility and doing what can be done to ensure that it is safe to travel on Norwegian roads. I'm afraid there's a lot to it. Racial protection is a welfare measure. I would like to make my words to the Minister of Transport, because that is how the Council of State expressed itself the day before the National Racial Security Conference was held here in Oslo on 30 January this year. Let me point to the backbone of the conference and to the establishment of the National Racial Protection Group in 2001, a group of representatives from the seven most at risk: Sogn and Fjordane, Troms, More and Romsdal, Finnmark, Hordaland, Rogaland and Nordland. There are 2 000 racial events per year on the county and national roads network. There are 1,756 so-called racial challenges registered by the State Road Service, which includes 765 km of road. There are assumed hedging costs of NOK 20 billion. We know the challenges and the need for resources – with a visit to the previous speakers. Let me also take with me the conclusion of the Council of State and the Government after the opening of the conference: no new promises or signals. The State Council promised that the Government will give high priority to racial protection and that they will show it in NTP 2010–2019. It may be a few years to wait. There was no money for racial protection in the revised state budget. I quote again the Council of State: ‘Roadways connected by racial or racial hazards lead beyond that to poorer and more unreliable transport. Goods to and from businesses do not arrive in time. This results in additional costs for many activities in the district. A targeted and stronger focus on racial protection is therefore an important measure to reduce distance costs and disadvantages for people and businesses. [[...]] In addition to preventing road accidents and road closures, racial protection also has another important effect: good racial protection removes some of the uncertainties that many people experience when schoolchildren have to travel daily along raspline routes.’ Once again, I have quoted the concerns of the Council of State. The description is unfortunately so correct, so correct. Unfortunately, there is an equal amount of money missing. The Progress Party proposed a doubling of racial protection efforts in the national transport plan 2006-2015. The advance batch added 150 million. kr extra in its 2007 alternative budget, and there will again be extra money for racial protection in the proposals of the Progress Party in the context of the revised state budget currently under consideration. Nevertheless, the Progress Party wishes a separate case on the national Road Race Protection Plan, with the prioritisation of concrete projects and binding state funding. Nor in this field do we believe that we can only wait at national transport level. We should create our own plan and funding programme in order to implement a vow in the field of racial protection. Such a separate plan is a welfare plan. That is why other parties should also be able to support our proposal. I refer to our proposal, and I would also like to say that we can subsidly support proposal No. 1, from the Right, Christian People's Party and the Left.
ParlaMint-NO_2007-06-05.ana.ud458e1495	The representative of Arne Sortevik has taken up the proposal he referred to.
ParlaMint-NO_2007-06-05.ana.ud458e1498	Racism is an area that deserves increased focus and increased effort. I am very pleased that in the Right in our 2007 alternative budget, we prioritised 611 million. kr more for road investment and race protection than the government has been able to. We would have liked even more, but at least it is now important to follow up the country's action programme in relation to the NTP in the future, while supporting the good work done by the National Racial Protection Group to put this important theme into focus. I hope that the government parties' proposals for the 2008 budget will take over the delays in relation to the transport plan, and that one will then bring new money for racial protection. Money is good, but we also have to use it sensibly. It is therefore important to strengthen prevention measures. In the context of the national transport plan 2002-2011, an action plan on road race protection was drawn up and the Meteorological Institute carried out a climate scenario up to 2050 in the preparatory work of the National Transport Plan 2006-2015, on the assignment of transport modes. We now believe, together with the Christian People's Party and the Left, that there is a need for a new and further monitoring, as there is little reason to doubt that climate change creates the need for increased knowledge of racial prevention. Racing monitoring and protection is one of several important and necessary climate adaptation measures. In addition, coordination between the different institutions dealing with racial issues is important. To the right, we believe that we should be at the forefront of climate change by increasing research efforts and thus increasing knowledge of racial prevention and racial protection. In view of this, the Right Party, the Christian People's Party and the Left promote a proposal for the identification of all racially dangerous routes, which is also based on the challenges now posed by climate change. When the E18 scandal took almost everything fresh in the revised national budget, it becomes all the more important that we get a 2008 budget that takes back the loss of racial protection. The E18 case is, of course, exceptional. I am therefore pleased that the Right has found extra funds to be used in the revision. It remains to be seen whether we are receiving support for our proposals there. I refer to the proposal to which the right is the co-rapporteur.
ParlaMint-NO_2007-06-05.ana.ud458e1511	The representative of Trond Helleland has taken up the proposal he referred to.
ParlaMint-NO_2007-06-05.ana.ud458e1514	I think it is good that the Christian People's Party is now raising issues related to race and not least to the climate issue. Five years ago, SV had a similar proposal, which we also had with representatives of North Norway and the West, which the Christian People's Party has today. We proposed measures that were quite similar to those proposed by the Christian People's Party today, and we wanted the government to put forward a case on this. The answer from the government party that time – Sahl’s party was in government, and it was also Greece – was that the government did enough, there was no extra effort in this area. I think it's good to remember that this is a theme that's been up before, and, when these three centermates are some that it's important now again, that it wasn't that important when you were in position. What has happened is that this government already in the 2006 budget plus the 2006 budget of Jan Sahl and Trond Helleland's 2006 budget proposal with no less than 90 million. kr for breed protection. At once, we acted alternately in relation to the passivity we experienced by the previous government. Now, climate has become much more focused. It's very much appreciated. I am very happy that this also leads to an increasing number of areas that need to think about how to prevent the consequences of greenhouse gas emissions, for example. in the case of road safety and racial protection. It is therefore strange, given the previous debate and listening to people, that the Progress Party is still the party that does not listen to people most when it comes to climate issues. They want to do something about race, but one doesn't want to be part of the split layer and the effort one needs globally and nationally to reduce greenhouse gas emissions, thus helping to reduce the racial risk around it. There is preventive work, there is active effort. So there's not the party for the most people on the party with the most people. Clearly the right-hand apparatus has been switched off. I now believed that when we have such things as this, we would also get the Progress Party on the preventive team, what would do to reduce greenhouse gas emissions nationally, thus also helping to reduce global emissions. Finally, let me just sum up that I didn't think that this government is doing enough to reduce the race. But what I'm recording is that this government is now in line with the National Transport Plan says that it should do when it comes to the race risk. One has paid half of the amount that one should pay in relation to the national transport plan, so we're on the way. The fact that the previous government parties are now coming forward with their proposals is very good, because then a raised debate will be reopened. But I think the most important thing you can do when you're in government, is to do something when you're in government, not when you're out of government.
ParlaMint-NO_2007-06-05.ana.ud458e1527	Let me first thank the rapporteur for a constructive examination of the proposal within the Committee. So I would like to say to the representative Hallgeir Langeland that it is not the proposers here that have raised the debate on who has given the most in terms of racial protection. On the contrary, it was addressed by the minister in the response we received from the ministry. We have asked for an investigation, and we are answered with how much money the sitting government has spent on racial protection. That was not the debate we wanted to have. I'll come back a little bit to what the previous government did. As the author of the proposal, I would like to say a few words about the background to the document under consideration. The Christian People's Party is concerned with road safety, and we are committed to taking care of life. We often say that road safety is a responsibility you have as a road user. That's true, but just when it comes to racial protection, it's like you can't do anything special yourself to reduce the risk of accidents. One is fully awarded the natural forces, unless the racial protection measures have been implemented. This is about quality of life, because insecurity and fear of one's own and others' lives reduce the quality of life. There is a relatively broad consensus that racial protection is important and that priority should be given to it. However, when my co-sponsors and I decided to promote this proposal for a representative, it was based on the desire to raise the issue of racial protection on the political agenda. Although we all agree that this is important, obviously we are not concerned enough with the problem. That's what we're looking at, the huge need for appropriations that we can't cover. Race needs to be higher on the agenda. We need more knowledge and information, and we need greater levels of funding for racial protection work. That is why, in all humility, we have promoted this proposal for a representative. It was therefore surprising that we felt that the proposal was met with the usual boast by the responsible minister of what this government has done in this area. Let me then, in all humility, point out that the Bondevik II administration carried out a great deal of racial protection in the previous period. The action against racial protection was reinforced by more than 30 pst., from an average of 370 million. DKK in the period 1998-2001 to an average of 490 million. kr per. year 2002-2005. More than 37 racially exposed sections and 130 racially exposed points were remedied during the period. Then we have also thrown ourselves into the competition that the minister offered. Appropriations are one thing, and it is important, but attention to the theme, information and knowledge and overview of scale and needs is another important element. Some summaries of racial hazards have been drawn up in Norway and new surveys are being prepared. The national racial protection team shall be commended for its long-standing efforts to raise the racial protection problem. It has pointed out that we have a challenge of 20 billion kroner. There is little doubt that the climate challenges – which we were reminded of not least during the last weekend – need to be taken seriously. Racial mapping and protection is a very important topic that we, as proposers, want to raise on the agenda. I would like to challenge the Minister in his statement to inform us about what one will do in this area before the National Transport Plan is presented, and whether we can be informed by the Stortinges in some way about what the Government is working on in order to identify the challenges we face in the field of racial protection. Climate change creates considerable uncertainty. It is no longer sufficient to build on historical knowledge of racial events. We should be in the forefront of the changes by increasing research efforts, thereby increasing knowledge of racial prevention and racial protection.
