ParlaMint-NO_2007-12-17.ana.ud1745e106	The representative of Asmund Kristoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-12-17.ana.ud1745e836	The representative Carl I. Hagen has taken up the proposal he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e839	The development of the Entra Eiendom AS case is somewhat reminiscent of the word ‘up like a lion and down like a skin trap’. The case has been followed by tensions both in the public sector, in the company and in the media. It was exposed in ours, as we have said, after the adjustment was made, to get more information on the table. However, the new letter from the National Audit Office did not give the matter any larger dimensions, as it had probably made an impression in advance. Personally, I would like to say that at least there may be something to learn from this matter. If you take the time to, for example: to read through the minutes of the hearing, it can be seen that there is at least some experience to gain from the political process. I even participated in Stortinget's treatment at the time the Staten rental building AS, as it was first called, was separated from the administrative part of State Building. It is clear to me that, on the one hand, it was quite right to implement this divorce. On the other hand, it's as clear that several of us, despite the good intentions, were a little bit blue-eyed. To think that it was just to brush state properties and capital out into the open, so to say, to leave it all to itself in an increasingly commercial property market, was perhaps a little naive. In the case of Entra, it is then easy to see that the Storting's assumptions and primary purpose of the company, to obtain housing for state enterprises, were not simply combined with making money for the company. And it's not hard to see that it was both natural and necessary to extend the perspective beyond the scope of the Stortinget vision at the time. Much indicates that this was already clear when the board adopted the company's business idea and strategy in December 2000. «State purpose» was expedited for «public purpose»; it was natural to include municipal and county premises. Not least, it was also possible to widen the scope of the private market after all — in and on a case-by-case basis. Entra's involvement in more risky OPS projects was not quite right, and the Riksaudition asked questions, among others. in the case of the performance pay scheme, and in the case of the performance reporting carried out, have given a true and fair view of the results generated by the company. What is also left is, among other things. communication between the company, at the board of directors, and the owner has been good enough. There has been a lack of clarity and transparency in the relationship in several phases. Not least the way it has been communicated. In particular, there is reason to stress the lack of evidence of processes and decisions relating to the purchase and sale of properties. It's critical. On the positive side, it can be mentioned that there is no evidence that the company has traded properties or made transactions that have resulted in someone obtaining an unfair advantage at the company's expense. There is also reason to believe that most stones have been turned around to find weaknesses in the way the company has been run. As I said, the Committee has agreed on most of the points, and it could have been enough to refer to the comments and statements made by the rapporteur, which were a good summary. At one point the Supervisory and Constitutional Committee asked for a statement on Entra Eiendom in a case of its own to the Stortinget. The government announced on its side that this would come in connection with St.prp. No 1 for the 2004-2005 Ministry of Economic Affairs and Trade. Instead, it came in St. prp. No 65 for 2004-2005, and then it was only taken into account by a unanimous financial committee. In this respect, both the government and the company have probably acted on the assumption that the Stortinget was satisfied with the way the company worked, and the strategies put in place. Finally, let me mention the failure that occurred when the board initially decided to change the main strategy for the company without the Stortinget being given the opportunity to discuss this. This should have been done by the government then. So you could say that the Storting has itself to thank for not having followed the class. But it is not always as easy when the matter is moved from one department to another and the briefings given to the Stortinget are received by different committees at different times, such as here. This shows how demanding the art of communication can sometimes be. In the Entra case, later judgment is given whether it has ended up with the right proportions. As I started to suggest, someone can each have something to learn from this matter.
ParlaMint-NO_2007-12-17.ana.ud1745e865	I refer to Innst. S. No 124 for 2006-2007 and Innst. S. No 100 for 2007-2008. I notice that the Control and Constitutional Committee has critical comments on some aspects of the operation in Entra Eiendom and on the company's strategies. I agree that the study points to improvement points in the company's operations. That's something that I, based on the committee's majority comments, will focus on in my further contact with the company. However, I would first like to draw the positive conclusions on which the study has based. Entrepreneur’s activities have largely focused on the main objective. There has been a significant increase in the areas rented out to the country and other public tenants. The study, which ran up to the end of 2005, shows that the company has implemented extensive value-added measures. The 2006 accounts show that this value added has continued and that Entra has also created added value in 2006 in addition to the owner’s returns. The increase in value has occurred despite a significant increase in interest rates and shows that interest rates cannot explain the development of value alone. I believe that there is reason to conclude that the establishment of Entra as a private company has been essentially successful. So to some improvement points: the Committee asks the Government to make sure that Entra follows up the Riksrevision report and the Committee's comments. The company started concrete work in the summer of 2006 to improve its routines. The new procedures are now approved by the Management Board and the work is documented in a new quality management system, the Entra model. More recent improvements have been made in the model and it has been focused on implementation and enforcement. The Ministry is kept informed about the further development of the model. The Committee notes the company's bonus schemes. The Ministry has had contact with the Management Board to ensure that the company’s own contribution to the value creation is properly reflected. The head of the company’s board of directors has informed the department that the company will replace the EFTA calculations with calculations showing how well Entra is doing in relation to other actors. It should better reflect the company's own performance. I note that the Committee is pleased that the board of directors of the company has decided to wind up a collective pension scheme for the management group which was contrary to the existing state rules. The failure of that scheme has been partially compensated by wage adjustments, but without Entra appearing to be the wage leader in its industry. Furthermore, the Governing Board considers the establishment of a long-term incentive scheme for the leadership group within the framework of national guidelines. It is the Board that is responsible for the recruitment and remuneration of managers. However, following the amendments to the Shares Act, the Boards shall provide a briefing to the General Assembly on the remuneration of directors and proposals for forward-looking remuneration guidelines. By doing so, I want to make sure that the management compensation in Entra is in line with the guidelines of the State. It was underlined by the State representative at the annual general meeting of the company. The Committee points out that the ad hoc module reveals that several of the property transactions were untransparent, without sufficient traceability and evidence. Furthermore, the Committee asks the Ministry of Economic Affairs and Trade, in cooperation with the company, to follow up on the work to put in place new procedures to ensure sound documentation relating to the purchase and sale of properties. In a limited liability company, the board of directors must control the activities on behalf of the owners. The Board of Directors, as mentioned above, launched a broader review and development of the internal control system in the company last summer. A thorough review of the company’s documentation procedures is central. The Committee’s and the National Audit Office’s observations and assessments have made a useful contribution to that work. The head of board informed the department in a meeting in the spring that the board had under assessment the establishment of a separate internal audit plan at the initiative of the administration. The company has confirmed that such a scheme has now been implemented. There is no evidence that management’s powers in Entra differ from those of well-run private enterprises. Authorisations are essential for the execution of commercial transactions. However, it is important that they are linked to specific assumptions and good practices in order to inform about the use of authorisations. In Entra, 76 pst. of the transactions within the Executive Director’s mandate limits have been dealt with by the Management Board. The Committee is of the opinion that Entra provided insufficient information and information that was incorrect or inaccurate in its examination of the case. It has been unfortunate that not all information was provided to the National Audit Office in the first place. I have been concerned with full openness and that all the stones will be turned around in this matter. This is also continuously underlined to the board of Entra. The fact that the board of directors engaged Veritas to re-examine the transactions in question in order to settle the matter shows that the board has taken the criticism seriously. The Committee requests the presentation of its own case to the Stortinget. Of course, I am prepared to present a separate case about Entra, the company's device and strategy when Stortinget wants it. I see it as an important task to ensure that the management of Entra is in line with the Storting assumptions.
ParlaMint-NO_2007-12-17.ana.ud1745e891	Several have not asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 1536]]
ParlaMint-NO_2007-12-17.ana.ud1745e907	At the request of the Control and Constitutional Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to members of the Government. In addition, the President will propose the possibility of a replacement of up to five lines after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-17.ana.ud1745e916	The Committee refers to the Riksrevision's examination of the collection and local control of employers by the tax collectors, in Document No. 3:10 for 2006-2007, dated 1 June 2007. We stress the importance of the follow-up of this matter by the Government. This is a new study, after two studies have been carried out by the National Audit Office, Document No. 3:12 for 1999-2000 and Document No 3:5 for 2001-2002, focusing on whether the application of the residual tax was practised as intended, and assessing the extent and quality of the state control of employers. The Committee would recall that the Ministry of Finance followed up these documents and briefed the Stortinget in Riksrevision's Document No. 3:1 for 2005-2006. There may be reason to recall that the overall objective of the tax bill is to ensure the correct establishment and payment of taxes and taxes, with the two central tasks of collecting taxes and monitoring employers’ reporting and paying taxes and employers’ taxes. The system is based on the fact that municipal tax collection offices are responsible for both collection and control. However, as the Committee has understood the situation, the collection result and use of instruments has for many years varied widely between municipalities. The Committee would recall that the overall tax collection works well in our country, with a total of 99.7 pst. tax equalisation is paid. The National Audit Office’s study may therefore be seen as marginal, as – as the Committee sees it – it focuses primarily on the outstanding 0.3 pst. of tax havens. One of the questions relating to the introduction of these tax suspensions has been the question of the appropriateness of coercion. If it is to be used, it is also essential that it can produce some desired results and that it does not produce any undesirable results. In connection with this discussion, I had a meeting, together with some of the Committee's members, with the Association for Municipal Finance Management and Tax Enquiry, NKK, and a meeting with the Local Government Interest and Employers' Organisation, KS. They made their views known, and these views were forwarded to the Committee. In this context, the Committee notes that the early collection of taxes also calls for a greater proportion of the requirements, stressing the importance of the fastest possible collection process. It is the Committee's view that this process should not be at the expense of taxpayers' rights but that it should be practised and exercised in its implementation. From the NKK and KS there were clear signals that both the Ministry of Finance and the Tax Directorate actually want minimal use of bankruptcy requests against personal taxpayers, representing the 0.3 pst. of taxes outstanding and unpaid, as noted by the Committee. The Committee also recognises that the use of coercive measures against people who are incapacitated is a poor tool, as a whole 70 pst. by this group of persons consists of cases of unsubmitted declaration and hence discretionary settlement, unknown bopel, bankruptcy, serious illness and other specific reasons. The Committee recognises that instruments need to be adapted where debtors have a willingness to pay but lack the ability to pay. Today's collection system has many positive elements that should be continued. We have also noticed that the investigation confirms that forced sales and bankruptcy are used to a very small extent by the tax collection offices, as the instruction says that the department should be restrained from requesting ordinary employees to bankruptcy. It is clear that tax collection offices must follow the instructions they have from their general authorities, which are the Tax Directorate and the Ministry of Finance. Finally, I would like to say that this whole system has been examined quite thoroughly, and while the Committee is working on its case, the Solberg Committee gave its opinion on 6 November 2007. The Committee, appointed by the Ministry of Renewal and Administration on 21 September 2005 to review the public collection apparatus for improvements, concludes that all government collection of bills that have not been paid should be collected in a single establishment. The Committee as a committee does not address this issue, since it is not the responsibility of the Supervisory and Constitutional Committee and because it is a matter for the Government to consider and decide on first, and then the Stortinge gets into the picture when the Government has completed its work and, where appropriate, makes proposals to the Stortinge.
ParlaMint-NO_2007-12-17.ana.ud1745e933	The present report from the Riksrevision is a follow-up to previous studies on the levying of taxes and the local control of employers. At this stage, the employers examined are subject to the discretionary control of the tax collectors and the local control of the tax collectors in relation to the residual tax. The study shows that there are still wide variations between municipalities, both in terms of time, amount and use of different call measures in the levying of residual taxes. There are also wide variations in the control coverage between municipalities in the case of employers’ checks. An effective call for taxes and a well-functioning control of employers is of great social importance. Despite the weaknesses of the National Audit Office in its report, there is reason to stress that the tax collection in Norway is working well. Good for 99 pst. tax equalisation is paid. The residual tax is only a small part of the tax. A large part of the tax that is not paid applies to persons from whom it could be difficult to obtain payments. There are, to a large extent, people who have not provided a self-declaration and who are similar in their judgements, including: persons who have no known address or telephone, unmediated persons and others in difficult life situations. The use of coercive measures against those who are in a difficult situation in life has little effect and is a poor tool. Local tax collectors, especially in smaller places, often have a good knowledge of whom they may have any intention of using coercive measures. Otherwise, the size has been concerned in the past that you also have to take other considerations into account with people who have payment problems, such as: public creditors must also contribute to debt regimes where appropriate. As regards the control of employers, the Riksrevision points out among other things. that the controls are not enough and good enough, especially in smaller municipalities. I would like to stress that good control of employers is important in order to detect tax evasion and undeclared work. At the same time, it is important to stress that variations in control coverage may also be related to different industrial structures. For example, 57 pst. by employers concentrated in 11 pst. by the municipalities, and 54 pst. of the smaller municipalities have only 14 pst. by employers. In small municipalities, the nutritional basis is also well known for the tax collector. That nothing is revealed in almost half, or about. 43 p.m., of the checks, can also be seen as positive and show that the companies are careful in their accounting work. The Christian People's Party believes that local knowledge in tax collection also contributes to the better of tax collection. We therefore see it as important to continue to maintain this function in the municipalities.
ParlaMint-NO_2007-12-17.ana.ud1745e952	I would also like to comment on the suspension of the Solberg Committee, NOU 2007:12, on public collection, which concludes that all government collection of bills that have not been paid should be collected in one establishment. It addresses one of the most important discussions on this issue, who should be responsible for the collection – whether it remains a municipal responsibility as today, or whether it should be brought together in one state agency. From the Central Party we will warn against a state-making of the collection system. This could have a major impact on the municipal sector. The municipalities will lose their idiosyncrasies, which will enable them to demand their own municipal requirements. Such a solution would mean that, in the future, municipalities would need to be helped by this central collection setaside, or, alternatively, by someone else, to collect any municipal claims that are not paid at maturity. I would like to express my scepticism about making it public and further red tape of the tax collection, which I believe is a consequence of this proposal. Centralisation of obligor-adapted collection will result in poorer communication and contact between tax collectors and taxpayers. There is a major challenge in tax collection relating to tax suspensions in which income and tax have previously been determined on the basis of judgement. Knowledge of these discretionary requirements suggests that very many of these taxpayers do not have the ability to service their debts, and it is unlikely that a government agency will be able to handle this job better than local collectors. I would like to stress that several of these debtors are already disadvantaged citizens, who could not have a state agency as well as municipal collectors. Therefore, further governmentisation of the tax collection could have consequences for the recovery result also for a government budget, and it is likely that more bureaucracy and misassessments will be achieved in relation to this debtor group. Local responsibility for tax collection has positive consequences for district policy. Today’s decentralised location means maintaining the collection environments and jobs in outlying areas. It also means that local business has a short way to one of its main public partners. Thus, any governmentisation will mean centralisation, and a reduction in the number of offices – it is claimed to be down to a quarter of the number of offices we have today – will have negative regional policy consequences. The overall objective of the tax bill is to ensure the correct establishment and payment of taxes and charges, with the two central tasks of collecting taxes and monitoring employers' reporting and paying taxes and employers' taxes. We have a system that is based on the fact that municipal tax collection offices are both responsible for collection and control, which I observe is that the control works well. Municipal tax collectors do a good job with tax collection. The high percentage collected shows it: well over 99 pst. The continuation of local collection will facilitate the use of local knowledge in the collection process. This can be done in a better way also by other considerations The size has previously been involved in relation to individuals who have payment problems, for example through the use of debt regimes where appropriate. Finally, I would just like to say that the municipal tax collection has broad support in Stortinget.
ParlaMint-NO_2007-12-17.ana.ud1745e967	Several have not asked for the floor on case No. 6th@item: inlistbox [[Fotation, see page 1536]]
ParlaMint-NO_2007-12-17.ana.ud1745e983	Firstly, the proposal for a representative proposes that the extension of the possibility for municipalities to print property taxes adopted in the spring of 2006 be reversed. The proposers want property taxes to be levied only on ‘works and uses’ and on properties in urbanly developed areas. Secondly, the proposal proposes that a maximum limit be set on the 30 pst tax charge base for the issue of property tax. the market value. The majority of the Committee, consisting of the representatives of the Government Parties, recommends that the draft representative be rejected. A minority, consisting of the representatives of the Party of Advancement and the Right, is re-promoting the two concrete proposals, and I assume that the various fractions will further explain their views. It's probably not more than six months since we last had a rather heated debate in this room on another proposal for a representative relating to property taxes. It was the proposal of the Progress Party to terminate the entire access of municipalities to the issue of property taxes. As you know, property tax is a highly emotional issue, and it will probably also show today's debate. The Christian People's Party has the same starting point today as the last time we debated the matter. We assume that municipalities should have the opportunity to print property taxes, and rely on local policy judgement to decide whether or not to use the right. In this respect, it is also necessary that the legislation be designed in such a way that printing can be carried out in the most appropriate manner, both for reasons of efficiency and fairness. At the same time, we want the municipalities that actually print property taxes to focus on social concerns when the tax is designed. When the matter was finally up, the Christian People's Party and the Left promoted three concrete legislative proposals to strengthen the emphasis on social concerns in the law on property taxes. We refer to these proposals also in this case, and ask the Government to consider this when carrying out the announced reassessment of the different rules for the depreciation of property taxes. The Christian People's Party and the Left are further promoting a new proposal in the vote, which would strengthen the distribution of tax considerations even better if it were followed up. For proposal No 2, from those representatives, I would like to say that even if we do not support it, there is sometimes so little consistent practice between different municipalities in terms of the taxing itself, that the proposal is absolutely relevant. It must not be the address and not the market value that will determine the fare. Such differences, if extreme, will also be clearly unreasonable in the population. Moreover, I would like to leave to the representatives of the Right to make their principal arguments against a change in the law that a Finance Minister from the Right has not long argued for. With that I address the proposals of the Christian People's Party and the Left.
ParlaMint-NO_2007-12-17.ana.ud1745e1004	The representative Hans Olav Syversen has taken up the suggestions he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e1007	It's been about six months since we last discussed municipal property taxes in this hall. Like the representative of the Christian People's Party, the majority is committed to the position that we had before. The background to the proposal is likely to be the extended possibility for municipalities to impose property taxes throughout the municipality, because in the revised 2006 national budget, an opening was adopted for municipalities to issue property taxes for the entire municipality, only in the context of ‘urban construction, and/or works and use’. The aim of the change was to eliminate unfair discrimination within the same municipality, eliminate legal ambiguity and increase the choice of municipalities. The majority believe that it is still a right policy. The opposition likes to call this a cabin tax. I think that's a little strange, because it's not allowed just to charge cabins property taxes. It is therefore pointless to refer to parts of this property tax as a so-called cab tax. The municipality cannot print property taxes only in cabin areas. The choice is between the entire municipality or within the urban community. I would also like to remind the House of the following: Property tax is a municipal income source amounting to DKK 4.4 billion in 2006, i.e. in relation to the estimate in St. Prp. No 1 for 2006-2007. This means that if property taxes are removed, municipal income is reduced by approximately NOK 4.4 billion. The consequences of this may be reduced in the welfare provision of municipalities. The municipality decides whether or not to have property tax, the level at which it is to be held and whether or not to provide for the differentiation of the rates. We have no reason to assume anything but that through local democracy, local authorities are setting up property taxes so that they are perceived as reasonable to the inhabitants. The rapporteur-in-Office of the Council, Mr Syversen, points out that social concerns are not adequately addressed in some municipalities. There are circumstances that should be followed up in the municipalities concerned, as far as possible within the current legislation. But in general, as in all other cases, we should also be open here to adjust the legislation, if it turns out that there is a need for this for strong reasons of justice. The majority therefore do not support the proposal.
ParlaMint-NO_2007-12-17.ana.ud1745e1024	Now there is no doubt about what the Progress Party believes in this matter and about property tax in general, as we clearly say about, and which emerges clearly at the beginning of the party program of the Advance Party. We want to repeal the Property Tax Act, which we repeatedly repeat in election campaigns, and which we have proposed several times here in Stortinget – at the latest in the form of a representative proposal before the summer holiday, which unfortunately only received the votes of the Progress Party. We also point that out in our comments on this matter. Property taxes are a survival from old days when property meant wealth and ability to pay taxes, at a time when income taxes were not very fertile. The property tax happens randomly and unsocially, and not at all according to ability. Property tax is a particularly unfair form of double taxation, since the tax does not relate to whether one has had any return on the property. We also know that property is taxed several times, as taxes have already been paid on the wages and salaries for which the property is acquired, as well as the document fee when buying the property, where appropriate the inheritance tax, and the value added tax on the costs. Furthermore, the property is already subject to taxes on wealth. After this so-called cab tax was introduced, I have received several enquiries from the desperate pensioners, who have saved for many years to buy a cabin that they have planned to enjoy in the retirement life. And then all of a sudden, this cabin tax, which affects the lonely elderly, often has only the minimum pension as income. You have pensioners who will find it difficult to pay this tax on a property that can have a high market value, pensioners who have a house that has been paid off over a long life and at the same time may need huge costs. This also affects families with children, families with children at the start-up stage, which often have a high debt burden. The tax is particularly unreasonable in the case of cabins, as the owner of the cabin lives in another municipality and thus does not have the right to vote and influence in the municipality. It's a crossroads of thought that we in Norway are flooding with money. We will soon pass NOK 2 500 billion in wealth, and yet Norwegian citizens will be flogged. Municipal taxes and taxes then come to the top of already unfair and high taxes and taxes. Then I record here in Stortinget talking loudly about that the state should increase taxes and charges. The progress party would have liked to have removed the entire property tax, but understands that we are alone in this matter. As a step in the right direction, we support the right representative's proposal to abolish the so-called cab tax and limit the level of property tax. In conclusion, I will address the proposals we have with the Right.
ParlaMint-NO_2007-12-17.ana.ud1745e1041	The representative Jørund Rytman has taken up the suggestions he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e1044	First of all, I would like to thank the rapporteur, who, although we are not entirely in agreement this time, always presents matters in a balanced and good way. I fully agree with him when he says that taxes on property and housing are emotional in this country, for good reasons, but I also think that feelings are often icy a certain rationality, for the taxation of the homes of the North is constantly increasing during this government. The increase in the value of the equation of property has become a yearly phenomenon, where the only stress factor is whether to add 10 or 15 pst., maybe it could be more. The extension of the property tax law is a step in the same wrong direction. 80 pst. of us own our owner-occupiers and leisure homes. We live in special climatic circumstances, and we spend a lot of our time, energy and financial resources through a long life managing our own housing assets. This is a significant socio-economic plus value, which is rewarded by the authorities with ever-increasing taxes, in addition to the fact that VAT has already been paid on housing investment and on maintenance, and that purchases and maintenance are, of course, carried out for taxed resources – we hope. Yes, even work on owner-occupied dwellings is initially taxable, but with the exception of ordinary leisure, i.e. completed leave or transferred leave from the previous year in accordance with carefully specified rules in the practice of equations. It shows how much you really are after the housing owners. The Bondevik II government has abolished the tax on owner-occupancy and recreational housing, and fortunately the current government has not spoken out for the time being about reintroducing it. However, there are other methods used, such as: the extension of the possibility of imposing taxes on property. This expansion is unfortunate and could increase the total tax on dwellings and cabins. One has already seen examples of the possibility being seized by, in particular, municipalities with many cabins. I think there is good reason to use the name ‘cot tax’. This extension allows you to use that name. I understand that the representative Agdestein thinks it is annoying. For the cabin owners, the treasure is also annoying. This extension also poses a democratic problem by the fact that owner-occupiers charged with property taxes do not have any political influence, because of course they do not have the right to vote in the municipality. In addition, local rates are often random, and property taxes are unsocial, since they do not take into account the ability of taxpayers to pay or income ratios, so that there is a poor distribution profile. For this reason it is also surprising that the red-green government wants such an extension. In order to avoid some of this problem, our proposal also contains a maximum limit of 30 p.p., as is the case for equivalency values in relation to the tax on wealth. This may correct biases in random valuations. Let me also use this opportunity to raise a matter on which the case-rapporteur was concerned. He challenged me to say something about our post-herostratic famous remark from the 2004 tax reform suspension. I am happy to have that opportunity, because it was signed that led to that note in the pen. In that comment, it was quite rightly said that the intention of the government to assess the removal of the current restriction of property taxes, etc., which the Minister of Finance has also written to the Committee in his letter of reply was supported. After all, they asked the government to assess this, and the government evaluated it, and found out that this was not the way you wanted it. This has now been repeated so many times that it appears that this is almost a remarkableness in Norwegian political practice, but it is not. We are still seeing examples of the fact that the current positions – I can take examples from the Financial Committee – generally write comments that meet what the Government wants in its propositions. We've had several such things just this fall. I therefore think it is a little sensational that they have written a comment, asked for an assessment, and that the government has made a different assessment. However, thank you for having this opportunity to take the challenge from the representative Syversen.
ParlaMint-NO_2007-12-17.ana.ud1745e1059	If there is something special for Norway in relation to countries we usually compare with, it is precisely that taxes on housing and on property are very low. The representative of the Fleet stated in his statement that the new proposal should address a problem of democracy. I have never heard before that for entrepreneurs who have companies around Norway and are taxed in the different cities, there was a problem of democracy that they do not have the right to vote in all places where they had to operate and tax. Nor can I see that it has great consequences for those who have a cabin or leisure property somewhere, not to be able to vote in that municipality. As regards the use of recreational property in Norway, use is increasing. There are people who spend up to half a year on their leisure properties, and they use both the community's health and social services and all other infrastructure. That they are not going to pay taxes to the same municipality, I see that much more unreasonable than they would not be able to vote. Another solution would be that they could vote in multiple places. I've even seen it suggested. I don't expect the Fleet to support that either. The property tax is a voluntary municipal tax. The new rules adopted in the revised 2006 national budget allow municipalities to choose between issuing property taxes for the entire municipality only for urban and/or works and use purposes. The argument for the changes was to eliminate unfair discrimination within the same municipality by removing unclear legislation and giving the municipality greater freedom of choice. It is worth noting that there is no special tax on recreational property, but that municipalities can tax all types of dwellings with equal rates throughout the municipality, regardless of whether the area is urbanly built or not. The earlier demarcation of urban areas could be unclear and difficult to practice. For example, there could be different taxation of other similar properties in the same municipality only based on location, and this could easily be perceived as both unfortunate and unreasonable. The proposers focus specifically on leisure properties. Recreational property will often be located outside urban areas, and property tax on leisure property is a consequence of the extension to the scope of the Property Tax Act. It should be noted, however, that the law does not provide for the printing of property taxes only on leisure property. Then I was going to remind the representative Fleet of a previous remark. He focused so much on it myself that I think it could be over, but it could have been tempting. Finally, I would like to refer to proposal No. 4, from the Left and Christian People's Party, there ‘The government asks the Government to assess the possibilities for allowing municipalities to set a higher rate of municipal property tax on the most expensive dwellings and leisure properties’. This is a proposal I might sympathize with and might well think of looking into. I would like to recommend to the proposers that they convert it into a transmission proposal.
ParlaMint-NO_2007-12-17.ana.ud1745e1079	Tax on property versus income tax is an old and very interesting debate. Property tax used to bear the name Matrikkel debt tax, and today it is another name of the form of tax, namely land interest tax or municipal property tax. In the 1882 tax reform, we received taxes on income and wealth. So we got taxes according to our ability. Property tax, land interest tax, is the correction of this principle according to the view of the Centre Party, then under special conditions. We are therefore for rent taxes on oil, and we have rent taxes on land there at 50 p.m. higher than the general rate of taxation for business. We're for rent taxes on hydropower, and there's the rate 30 pst. higher than the general rate of taxation for business. As from the fiscal year 2007, municipalities have the opportunity to issue property taxes throughout the municipality, following the Act on property taxes to the municipalities of 6 June 1975 No. 29, Property Tax Elva, was amended by the Law of 26 June 2006 No. 25-digit number The purpose of the change was to provide the basis for fewer demarcation problems when issuing property taxes and the possibility of greater equality in taxation within each municipality. This has given the municipality an option that previously did not exist. It is erroneous to refer to the change in the law or property tax as a mortgage tax, as the law does not provide for the issue of property taxes only on leisure property. The center party is for the historical system we've had with optional municipal property tax. In recent years, municipal property taxes have been able to be levied only on works and uses. In the view of the Centre Party, what can be used for this occasion is an extra tax on the works and uses that have an income that in the economy is called a superprofit, i.e. that is close to what is profitable in power plants and similar activities. There is no need to charge municipal property taxes on works and uses that do not have a special return, and it is important that municipalities take into account when making the legislation also for works and use. The centre party has also historically been responsible for the output of municipal property taxes in urban buildings. Why has one been? Well, because appreciation of buildings in urban construction has historically had a much more positive development, and then due to public efforts. Thus, public regulation and public use of money have led to a much more positive development of the values of buildings in those areas than buildings elsewhere. The right-hander says in the settings that they generally do not want property taxes. They indicate that 80 pst. owns owner-occupied dwellings in Norway and that the housing should be protected as far as possible for tax purposes. These members believe that dwellings and recreational dwellings are already taxed more than enough and indicate that under the previous government, the tax on the benefits of owner-occupied dwellings was removed and the taxes on wealth on dwellings and recreational dwellings reduced. Yes, the truth is that there is a very favourable tax today on investment in housing and recreational property. This is one of the main reasons why investment in housing and leisure property is much larger each year than the government budgets. Compared with those who currently rent housing, the taxation of those who own a dwelling is very favourable. In particular, it resulted in the removal of the preferential tax on the value of owner-occupied dwellings, while retaining the unlimited debt interest deduction for individuals in investment in dwellings and leisure properties. So that's why we basically broke with the symmetry tax on our own housing. It's a big challenge, and it's a big system problem we're now facing to ensure that society's resources come to the areas where you have a prioritized view that they're coming to. The view of the centre party in the case of municipal taxes on housing, such as other taxes on housing, is that owner-occupied dwellings of normal standard are not to be taxed, neither on income, wealth or property. In the case of the municipal voluntary property tax, municipal government decisions, where one ensures these dwellings by means of a base deduction, differentiated rates and tariff basis, can safeguard the views of the Centre Party, which means that individuals should be stimulated to acquire their own housing of the sober standard. This is an advantage for Norway.
