ParlaMint-NO_2007-06-13.ana.ud1426e94	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-06-13.ana.ud1426e1020	Growth in the municipal sector continues, and it is necessary to ensure the welfare of Norwegian municipalities. After a period of budget cuts and the reduction of municipal services, Norwegian municipal politicians have been able to focus on something more constructive in the last two years. The total income of municipalities has increased sharply, and Norwegian municipalities are again setting rates at school and care. However, there is no denying that growth in the local government sector may not be evenly distributed across the country. Some municipalities come out better than others, and so it'll probably be in the future as well. It is, I think, quite impossible to create an income system that captures all conditions in the municipal sector. But it can't be natural that there are always the same municipalities and the same counties that are coming out badly and that are always at the bottom of all the metrological statistics. Of course, it may be because of a notion that we live our carefree lives down there on the coast of the sun in Westfold, with no need other than the sun or the wind. But just sun and wind are the cause of a demographic development that imposes additional burdens on the municipalities in our county. People of advanced age are increasingly living in our mild climate, and they are growing indecently older and older. That's the way Westfold gets a Florida look. So parental care is a particularly demanding task for the Vestfold municipalities. I am pleased that the so-called Sørheim Committee is now assessing changes in the income system. The selection shall deliver its position in the harvest and the Government intends to make changes from 2009. In this respect, I have noticed that the majority of the municipal committee wants an assessment of the cost keys in the income system based on the experience we have gained with the distribution effects of today's system. It's with a certain expectation I look forward to this.
ParlaMint-NO_2007-06-13.ana.ud1426e1033	The Rokkansenter in Bergen provided a report on housing construction a short time ago. They have made the report on behalf of the Ministry, and they have some concrete proposals that I hope will be good policy in 2008. We have to, as I said in my main post, revisit the social housing. It is unworthy that we still have so many homeless people in this country. It is unworthy that so many do not have the opportunity to enter the housing market because of the high entry tickets. What was pointed out in the report is that we need to get closer cooperation between the municipalities, the House Bank, the housing co-operation, etc. to obtain enough rental properties at a price that people have the opportunity to pay. Of course, we also need to increase the construction of student housing. In 2008, we have to start social housing policy, with the construction of several dwellings, so that everyone has the opportunity to enter the housing market. I sincerely hope that in the budgets and in other ways in 2008 we will be able to show that we are repatriating social housing. The school building loan scheme has been exhausted. That means that the envelope we've allocated at NOK 15 billion is filled in. Still, there is a great need, and this system has actually worked very well. It has been a good incentive. The municipalities have applied, the municipalities have received an interest subsidy, and we have been fixed and refurbished our school buildings. So I hope, as the committee also writes in its comment, that we're getting a system in place. I believe that a similar system that we have had now should be re-established and that state funding for housing will continue. We have some problems with putting the economic system around, cf. the change we made in the responsibility for the teaching of child protection institutions, where the county council took over. We introduced the funding into the framework transfer. Since these institutions are not evenly distributed across the country, we have a problem. There's a challenge. We've solved the problem, we think. Now maybe we haven't been 100 pst. lucky, but pretty much we've found a good way to do it in 2007. But when we look ahead, and we're going to make that kind of change, it's important that we find schemes that make the county councils or municipalities that get the increased costs also get compensation, and then the general income transfer system is not what works best. So we always have to be on guard when we change the kind of systems, so that we find schemes that hit those who want the money, the county councils or municipalities that get the increased costs.
ParlaMint-NO_2007-06-13.ana.ud1426e1048	It was with wonder that I read the opposition's comments on the municipal proposition, and I have been sitting and listening to the debate here today. One is actually trying to make it look like there has not been a significant increase in the income of the municipalities under the red-green government. Frankly, speakers from both the Right and the Advance Party have long admitted that it was a God’s closing that there was a change of regime. None of the right-wing spokesmen around the country have raised the vote and said no thanks, I don't want these extra money, I'll send them back as well. Because that's not the change of exchange we've given them. It's a real raise of $14.5 billion from 2005 to 2007. It's a lot of money. Then I heard that the Progress Party was concerned that it would become interest rate increase. Yes, I would also have been concerned if I had submitted their budget proposals. I just have to admit that. Right is concerned about the Government's business policy. Well, at least it's a fact that 100,000 of the unemployed are working after the government change. Isn't this positive, then? The majority of public service production is carried out in municipalities, in both small and large municipalities. This directly interferes with the everyday life of people at all ages. The fact that we have seen the turbo when it comes to babysitting, and have built 16 100 new places – in addition to the fact that it has not cost us our shirts – must be very nice when everyone appears. Can't a little boast about it? This, of course, makes it possible for more people to participate in the labour market, and they can be sure that their children have a good supply when they themselves are at work. Only then, as parents, we have good things to do too. When it comes to the nursery sector, I'm very proud of the government's bet, but I'm not happy until everyone gets there. Everyone who wants it should have a children's room. The phase-in of SFO with one hour more is another important step to take. As a parent, I'm very happy with this, and I think that's all, same game they belong to. When the municipalities cheer over the government lottery prize, the opposition sits on Stortinget. One would almost think that none of them had old parents -- who can now get the help they need -- or that no one has had to sit around for kindergarten, to name two things. The government has fulfilled the promise of the Soria Moria Declaration and has given the municipalities extra space for action. That's what she praises for. That not everything is happy and fun in the municipalities, we admit happily. We're proud of how far we've come, but we're not happy until everyone's there.
ParlaMint-NO_2007-06-13.ana.ud1426e1067	I had initially not intended to take part in this debate, because I thought this was probably the municipal committee's domain. But after following much of the debate, I was no longer able to hold on. I thought there was a bit of a lot of self-confidence and a bit of an attack on the politics of other parties, and then I found the need to make a small remark, among other things. to the representative signe eye, and also to the hill of Hage, which was before this a little while ago. When you hear these posts, it's quite typical that everything that goes well in Norway is the profits of the Norwegian Royal Labour Party, and everything that goes wrong or has gone wrong, and that's shaky and crooked and bad and difficult, is the fault of others. It's quite typical. There's very little space for nuances and recognition that things are actually connected. Yes, we have a municipal economy today that is in clear recovery, but it has been for a long time. We must also acknowledge that the Bondevik government's residence in 2001 did not include exactly a municipal economy characterised by gold and green forests. It was a municipal economy that had major problems, with a significant number of municipalities that were in deficit, and where we – quite rightly – spent a couple, three years turning the economy upside down. We did that, and it's clearly documented both by the KOSTRA figures and by the Statistical Central Bureau. From 2004 it turned around. To give an example to my own county: in 2005, the last year Erna Solberg – which has been much mentioned in this debate – was the municipal minister, there were 15 out of 18 municipalities in my county that went with profits. In 2006, there were 16 out of 18 municipalities with profits. This shows that the economy turned long before the red-greens took place in the government offices. This tax relief has been a key point for the red-green representatives. If these tax reliefs have been so terrible, why not the red-greens in the world then go back to 2001 levels? Why have they then chosen to keep 16 of the 24 billion given in tax relief? It's really funny, if this is the cause of everything that's bad and difficult. Why haven't you then zeroed out all the tax credits instead of keeping almost 70 pst. by them? I'm just asking. But the main problem and the main challenge, not least for several population-rich counties and municipalities in the eastern region, is a completely unfair income system for municipalities. There we have expectations, yes, more have probably. But I'm afraid they're once again disappointed by a municipal minister from a party that's not particularly concerned about adding up to changes that benefit counties and municipalities where there are people living.
ParlaMint-NO_2007-06-13.ana.ud1426e1080	This has in many ways become a somewhat backward debate, because some of the members of the government parties simply cannot listen to a proper presentation of the development of the municipality of Norway. That's why I'm going to once again bring out Rolf Requam's post as an post that I think gives a presentation everyone should really be able to join, but doing one, of course Tore Hagebakken's posts would be impossible to keep. And there had been nothing particularly pleasant about a campaign in which one has decided to deliver the same message as one did two years ago. I think it's a message that won't fall into any very good soil, because the situation in Kommune-Norway isn't in any way as pink as some here would like it to be. I am concerned that the government parties have now conducted a debate on the local economy in 2008 without any of the representatives having addressed the key challenges facing municipalities next year. It doesn't promise well. It is not good to promise that no one from the government parties has brought forward the significant challenges that Kommune-Norway is facing in getting people to do the most important tasks. If we are to provide good care with quality and knowledge, Kommune-Norway has major challenges in getting enough qualified personnel. Too many people who currently work in the care service are unskilled and jobs in part-time jobs. In particular, none of the government parties have brought forward the challenges that Kommune-Norge is currently facing, linked to the fact that interest rate developments are in the process of absorbing large parts of the growth that need not be said about, because it is at least well-informed in their posts – no medicine for how to stop that development. And none of the government parties have talked about how one can contribute in ways other than through the economy to help municipalities raise the quality of school, to meet the enormous challenges that the school is now facing, to get access to new, qualified and engaged teachers, to create a school where people go out with knowledge. That's what these three parties are going to lose the year's election. They're no longer part of reality. They live on their own pink cloud.
ParlaMint-NO_2007-06-13.ana.ud1426e1090	I feel the need to correct some statements that have come from this pulpit in the course of the day, especially from the representative Hagebakken, who is trying to present the earlier efforts of the Progress Party, where we are trying to get an extra billion elderly, such as populism. Yes, he almost presents it as if this is an electoral campaign. This, of course, falls on its own unreasonableness, because if you go back and look at our alternative state budget for 2007, and to some extent also for 2006, you will see that we do the same kind of priorities in the budgets. It is also a little strange that you try to make earmarking of money for the care of the elderly as negative. The government is earmarking funds for nursery schooling. The government is earmarking funds for kindergarten development. But they won't do it in relation to the elderly and the elderly. It seems to me to some extent a dual morality when you argue in one area to use tools to serve a group, while in other areas you don't. Here, if you have such fundamental problems with earring, you should carry it out all over the line. The representative Slagsvold Vedum from the Center Party is trying to present it as if the policy of the Advance Party would affect small municipalities in the districts. It's totally wrong. If there's a policy that really wants to enable the small municipalities out in the districts to do the job that's the most important, yes, it's the policy of the Progress Party. The most important job to do in small municipalities, which are located around the country, is to provide good basic welfare services. And that is what we do best by means of price financing, which the Progress Party has proposed repeatedly, but which, unfortunately, the other parties have not carried on. In today's case, the whole system of resource-intensive services is being reworked, which is good, but I stress that it is actually a step towards price financing. And that's where government parties do the opposite of what they say. The representative Hegø spoke about interest rate increase and almost tried to ridicule the policy of the Progress Party, as if our policy would lead to interest rate increase. Then I just have to remember the statistical central agency's calculations of our alternative state budget for the current year, which shows that it would give a lower interest rate increase than what we all see the government's policy entails. In fact, the interest cost received by municipalities, as a result of an increase in interest rates, means as much as any increase in free income.
ParlaMint-NO_2007-06-13.ana.ud1426e1101	Mr Reikvam had the floor twice earlier in the debate and was given the floor for a brief comment.
ParlaMint-NO_2007-06-13.ana.ud1426e1104	According to Bent Höie, we live on a rose-red cloud. I'm sure we're well placed in real life. I feel that many of us have tried to talk about current problems for 2008. I've talked twice about housing policy. Bent Höie hasn't commented on it once. Yet I have not claimed that he does not live in reality, and that he lives on a rose-red cloud. I feel like we're taking seriously the challenges we're facing. So we obviously have a little bit of different definitions of reality. The reason why I asked for the word was Martin Engeset's post. It's the way to define profit and net operating surplus, and it's an expression that now the economy has turned around. It's not. We must not, to a large extent, present it as such. Net operating surplus, what Martin Engeset called profit, is not an expression that now the municipal economy is good, now you produce services, now people get what they really need to ask for. It's not, so this is going to be completely wrong, if he uses those definitions this way.
ParlaMint-NO_2007-06-13.ana.ud1426e1111	First to the representative, Höie, who says that we are not concerned with quality development and the challenges the municipalities face. It's directly wrong. One of the things we have talked about in depth in the setting, on pages 21 and 22, is the quality municipality project – how we can develop the municipal sector, and how we can keep people in the labour market longer, through cooperation between the employee and the employer. We have a careful comment on that in the setting. The representative, Mr Løite, on behalf of the government fraction, made statements on the very importance of a good employer policy. So to the Progress Party and that we give a wrong representation of reality. They say that their proposal to increase the company tax, the municipality's share, to 4,25 p.m., and to keep a greater proportion of the taxpayer in the municipalities – which is a proposal The Right and the Progress Party are united – will not have a negative district effect. It's directly misleading. There is no doubt that if we had done the grips the Progress Party and the Right raised, there are many municipalities that would have lost, and someone who would have won. Which would lose? Well, the municipalities where there are many that have low income, where there is a weak nutrient base. Those who had won were the municipalities that have high incomes, and where there is a broad nutrient base. So it's just to think for yourself, is it in the cities or in the districts? So there is no doubt that the policy we have in relation to cohesion is the opposite of the Right and Advance Party, because they want to move resources from the districts to more central areas of the country.
ParlaMint-NO_2007-06-13.ana.ud1426e1118	The representative, Mr Hagebakken, has spoken twice and is given the floor for a brief comment.
ParlaMint-NO_2007-06-13.ana.ud1426e1121	Bent Höie is going to be a little bit right. If you have a strong need to focus on something starting to turn in the right direction before we entered the government corridors, it is a bit right, because in 2003 the Bondevik government concluded a budgetary agreement with the Workers' Party. Then a couple of billion kroner were put into the pot. It was a good start. So then we might be able to put that discussion dead. But there was good speed in the matter only when we found other partners and we were able to fasten as we wanted. Now, we're going to get on with the municipalities, which are good team players. The Progress Party is in favour of the fundamental law fixing of local self-government, but for price financing so it consumes. There's a little bit of a contradiction in that. They need to know little about their own price financing scheme, when they compare it with the resource-intensive services scheme, because it is a completely different matter. It is a top-level funding scheme to remove peaks in very special cases, which the other income system, the framework funding, is unable to capture.
ParlaMint-NO_2007-06-13.ana.ud1426e1128	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 3596]]
ParlaMint-NO_2007-06-13.ana.ud1426e1144	At the request of the Control and Constitutional Committee, the President will propose that speaking time be limited to 5 minutes for each party group and 5 minutes for the Council of State. Furthermore, the President will propose that five lines of reply be given after comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-06-13.ana.ud1426e1153	An overall committee refers to the overall objective of working for the introduction of electronic voting outside the electoral area in order to make it easier and less costly for voters to exercise their democratic rights. The Committee also considers that such voting may facilitate increased voting participation in some electoral groups. The secret choice principle is particularly difficult to maintain when voting outside the approved polling facility. Of course, one must also avoid speculation about the purchase and sale of votes, and about the validity of the election result. In all electronic voting, it is essential to choose a solution that guarantees the right to anonymity and, furthermore, that it is not possible to withdraw from the system what a person has chosen or whether he has actually cast a vote or not. There are shared opinions on the extent to which the confidentiality requirement is compatible with electronic voting. This issue does not have the same focus in all countries. In Switzerland, for example, many votes in ordinary letters. I guess it would have been unimaginable here in the country. In Estonia, e-voting has been used without technology ensuring the choice against undue influence. SMS in normal elections is probably not used in any other country we can compare with, not even in Finland, where the mobile phone industry is strong. The representative's proposal in Document No. 8:85 was submitted on 10 May of this year, and invites for pilot trials on electronic voting at the time of the autumn selection. The municipalities are already well-informed in their electoral systems, such as: is based on decisions here in Stortinget earlier this spring. It must be noted that the proposal comes in recent years. It is only after successive, successful trials and the necessary sensitivity that the systems can be ensured that electronic choices can be made. These recommendations form the basis for the work of the Government. A joint committee believes that such attempts do not depend on normal choices. In some municipalities, election results show that the fight for the last mandate can be very even. In large elections, there are examples of a majority and minority change after the financier count has been completed. This clearly shows that each vote counts, and that a few votes may have a decisive impact on the outcome of the elections, and on which representative will be elected. In view of this, it is necessary to consider voting outside the polling room in an uncontrolled environment. A comprehensive committee will highlight in particular two challenges related to the introduction of voting via the Internet and SMS. One is to ensure that the person voting is entitled to vote. The second is to make sure that the election is secret. Political perception is a sensitive information that requires consent for treatment. Such consent must be protected in such a way that it is granted on a voluntary basis. A comparison with the electronic processing of e.g. the declaration is, in so far as, technologically, relevant, but it must in fact be taken into account that parts of the declaration are already public. It is unlikely that anyone would be interested in putting pressure on someone in connection with the delivery of the declaration. For the Internet bank, there are many examples of police cases where there has been burglary or unregulated use. The traceability of transactions by the banking connection is an important reason for resolving such issues. The same applies to the mobile phone. For electronic selection systems, the Data Protection Authority clarifies that traceability must not occur. This does not apply to the tax return and to the net bank. The Labour Party wishes to see all measures that can help to increase the turnout welcome. E-vomiting outside the polling can contribute to this. In the context of such new voting opportunities, strict safety requirements must be imposed so that the voter does not lose confidence. An urgent introduction, already in the autumn, can be seen as a trendy positioning, so that you can look like the most up-to-date batch. I am pleased that the Government is not dealing with matters that way, but has a responsible offensive attitude to exploit the benefits that technology gives us.
ParlaMint-NO_2007-06-13.ana.ud1426e1179	I don't expect this to be a debate on the fact that it's worrying that the voter's going down. Nor do I expect this to be a debate about whether there are actually more people who would benefit from the voting rights if you were given the opportunity to vote via the Internet or SMS, and that there is a strengthening of democracy if more people use the voting rights. I don't think there will be any debate about whether there is any doubt that most people want to have the opportunity to vote via the Internet or SMS. There is undoubtedly an overwhelming majority who want this. On the other hand, I note that it is argued against supporting the proposal of the Progress Party to launch a pilot project in which, in this election, some municipalities are allowed to carry out a limited amount of voting via the Internet and SMS, because the technology is not there, and that it is too early to make this the choice now. I refer you to the majority of the Committee, all except the Advance Party, who writes in the note that: «in practice, it will not be possible to carry out trials with such votes within sound processes and the necessary safety already at the time of the harvest selection». Well – I wonder about that. Where did you get that? All the municipalities that have submitted hearing opinions said yes, and several of them asked to participate in such an attempt. Has the rapporteur or anyone else in the Committee been in contact with anyone in the ICT community here in Norway about this? I got it. Among other things, I have The talk with the ICT industry’s partner organisation, ICT Norway, which says clearly: Norwegian IT companies have the expertise and technology, and it is safe enough. They're willing to do business now. In fact, Norwegian ICT competence and technology are very highly recognised internationally. IBM has a very good technique on this. They have also recently purchased Nordic Language Technology at Voss. Furthermore, Telenor and Netcom have technology on this with SMS. There is also relatively well-known technology in the Norwegian company Carrot Lager, and they handle many of these solutions. They include: lead in this field internationally. It also has the data company Kantega, which has provided solutions for the network choice in savings banks here in Norway. They say straight away that Norway is at the top of the world in terms of this technology. I have also been in contact with the state company ErgoGroup, which is a subsidiary of Posten Norway. They have an electoral department consisting of the top experts in Norway in IT support for the implementation of elections, whether it is national elections for stockpiling and jointing, local elections for local government and county councils, or whether there is a choice of employee representatives for governors of Norwegian limited liability companies. They say straight away that they can offer their solutions now for the autumn’s choices – if there is a majority for it today. Black on white is also stated in a letter dated 12 March 2007 from the group leader in Posten Norway Dag Mejdell, sent to the municipal minister Åslaug Haga. I quote parts of the letter: ‘Norway considers it appropriate to launch more pilots in the municipal and county elections of the year. The testing schemes should cover both several municipalities and be organised for Nordic residents abroad so that we can gain the necessary experience in electronic choices for future municipal and wholesale elections. The technology is here, ready to be tested on a larger scale. Norway, which is one of the world’s most digitised countries, should also be in the forefront in this area and ensure that no more coals of young voters are excluded from participation in elections.’ If this is really the case, as someone here claims, that the Norwegian IT industry does not have the capacity, or that the technology here is not good enough, as the majority writes – yes, then I can personally call the Estonian IT company Cybernetica, which is behind the technology used in the municipal elections in Estonia in 2005, and in the parliamentary elections in Estonia now in March 2007. They're probably going to like to take it on. If you listen to the opponents of this proposal, it sounds like the proposal is about replacing today's electoral system. It doesn't. It is a limited experiment – i.e. two or three municipalities – and then as a complement to today’s way of doing it. I would also like to make it clear that it is the voter himself who decides whether to vote via the Internet or SMS, just as one decides whether to use the Internet bank, and whether to send the SMS or the Internet. In conclusion, I would like to raise the proposal of the Advance Party.
ParlaMint-NO_2007-06-13.ana.ud1426e1211	The representative Jørund Rytman has taken up the proposal he referred to.
ParlaMint-NO_2007-06-13.ana.ud1426e1214	The launch of a pilot project which opens up the Internet and SMS voting procedures at the municipal and county elections for the autumn is an interesting proposal, which could have been the basis for serious discussion. But above all, the proposal has one decisive, negative chin, which has also been pointed out by the rapporteur: it is too late. This is undoubtedly the main reason why several of us have chosen not to consider it in this context. That is also why I did not initially need to go into any debate on the proposal. Now that it is so strongly called for to implement it, I do not think it can be quite uncontradicted. As we record, a large majority of the committee has opposed the proposal, mainly on the basis that I have now outlined. From the Christian People's Party, I can only say that with the development we are witnessing in electronic communications today, there should be no doubt that one would not be willing to look at the possibilities of using this technology, for example. to increase voting participation in public elections. This requires a careful examination, as correctly pointed out by the rapporteur. Of course, such testing of electronic voting must take place in controlled forms, where safety, etc. is indispensable. This is detailed in the Committee's observations. It goes without saying that it would be quite impossible to make such a test in a proper manner even until the harvest, so short a time away. It is also an indispensable requirement for any pilot project to be carefully planned. It must be planned to provide for lessons learned in retrospect, which can then be used to design a more permanent scheme. An urgent project, as this would be, is doomed to failure. The Storting cannot be known to start. Of course it's just. This is not something you can just decide to ‘outsource’ to a private ICT company – as seriously as it may be – during a few summer weeks. I think everyone will understand that. However, I note that the Progress Party seems to believe that this is realistic. It'll be on their account. A faulty project in this area may at best focus on wasted time and money and, in the worst case, contribute to destroying future projects, including: as a result of mistrust of the use of the technology. It would be quite serious. Public choices may be vulnerable mechanisms. You don't experiment with that, but it's thoroughly prepared. I am therefore surprised by the sum total that the Progress Party only chooses to close its eyes to reality and continues to make every effort to have this proposal adopted. Everyone has to see that it's totally unrealistic. We're already in the middle of June. The election is September 10. Of course, this is how you can do it when you know in advance that a proposal will not go through. Then, of course, it can be used for what it is worth in retrospect, but serious craftsmanship is far from being.
ParlaMint-NO_2007-06-13.ana.ud1426e1229	I am absolutely sure that at some point we will vote via SMS or the Internet. In this sense, there's an exciting discussion Progress Party has started here. But I'm glad that the majority in the Stortinget keeps their heads cold and doesn't agree with a proposal that could put the trust in our entire electoral system at risk. The Norwegian way of voting may not be so modern, but our electoral system has confidence. It's a much more important value. A working group, on behalf of the Ministry of Local and Regional Affairs, has examined whether we should introduce the possibility of voting electronically. Their report, entitled ‘Electronic voting – challenges and opportunities’, is very thorough. There is one that addresses all the challenges of this type of voting. I think, as I said, that at some point we are going to offer voters to vote electronically, as a supplement to voting with paper ballots, but to vote electronically involves a major reform of our electoral system. Election reform must be properly prepared to maintain the high level of confidence. We also need to make sure that the systems to be used are working properly. Electronic voting raises several fundamental and difficult questions not only of a technical nature – as the Progress Party appears later – but also, perhaps more importantly, of a legal, democratic and administrative nature. The most important issue is how to take account of the basic principle of secret balloting. Election authorities are obliged to facilitate the situation, so that all voters ‘may vote unseen and protected from undue influence’ – as stated in the legislation – and to whom all actors, including internationally, are concerned. The principle that one should be able to cast one’s voice ‘inset’ and protected from ‘irreprehensible influence’, I say very loudly. We need to find solutions to how we're going to deal with this before we move into a new order. Summary: Electronic voting is future, but I want us to hurry slowly. That's exactly what we're doing. There is a plan for how we can try. Trials will be carried out already in the autumn in connection with the selection of schools in Buskerud. I believe that there is some sort of experiment that will be wise. We can't trust the electoral system. Everyone who casts a vote shall be sure that their vote counts. It is the electoral authority, we as political authorities, who must govern this development, not private IT companies.
ParlaMint-NO_2007-06-13.ana.ud1426e1244	It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e1247	I feel that the Council of State is very sceptical about such a new arrangement, innovation, which could increase the turnout. I want to ask the State Council if she thinks that the mobile phone and the Internet have come to stay, but I do not. It may seem too unprofessional. I would like to ask the Council of State what she will do with the dramatic downward turnout that we experience around Norway, if she does not want to use new technology.
ParlaMint-NO_2007-06-13.ana.ud1426e1252	I have just said that I believe that voting over the Internet and using mobile phones is future. I really believe that. We're going to work in that direction, because our society is moving in a direction where it's at least as natural to use electronics as to relate to things in other ways. But we are not there today that we have solved the problems. The first point is that we have to be absolutely sure that there is no «tariff» in the systems that means that votes can be balanced or abused, and the second point is that we have not solved the problem of voting being cast unseen and without undue pressure. I understand that the Progress Party is little concerned that you should be sure that people can vote unseen and without undue pressure, but the Government is very concerned about that very relationship.
ParlaMint-NO_2007-06-13.ana.ud1426e1259	Now there was a lot I wanted to ask, but I only have 1 minute. Finally, the State Council told Haga in its statement that we cannot leave this to private IT companies. It's too serious to be left to private. Would it mean that the State Council Haga does not trust private IT companies, not even the State subsidiary of Posten Norge AS, ErgoGroup? They have actually been responsible for election solutions for as long as I can remember – for the last ten years.
ParlaMint-NO_2007-06-13.ana.ud1426e1267	I've been working in an IT company, and I've seen the complexity of the technology. Per. Today, as an electoral authority, we are not sure that, for example: a voice can't be traced that we can be 100 pst. ensure that there is no abuse of codes and inputs in different ways. Per. Today, as an electoral authority, we are not sure that we have patents enough technological systems. The big, jumping point, seen from my point of view, is about how we're going to solve the challenges of not sitting on someone's neck when one votes. So one should not be under undue pressure when one casts the vote. We haven't solved the problem of how to ensure that people are unseen at the moment they voice electronically.
ParlaMint-NO_2007-06-13.ana.ud1426e1274	I was a little shocked that the Council of State could say that the Progress Party is not interested in secrecy, and is not interested in the vote being unaffected by others. I'm wondering where the state councils have it from.
ParlaMint-NO_2007-06-13.ana.ud1426e1279	I've just listened to the posts here today, and I've recorded that what you focus primarily on is the technological possibilities you have. I have heard very little reflection on the issues related to the fact that votes are to be cast unseen and without undue pressure. Nothing would please me more than whether this is a problem that the Progress Party is more concerned with than what they have given the impression of in the vocabulary in this room.
ParlaMint-NO_2007-06-13.ana.ud1426e1284	I thought it would have been a little reasonable for the council to read the setting, because the Progress Party is in the plural until what goes on in the time aspect. All the remainder of the case spokesman's statements support the Progress Party. I thought this was far across the border compared to what I expected from a serious state council.
ParlaMint-NO_2007-06-13.ana.ud1426e1289	It is very tempting to put a question back to the Progress Party, and it is: How does the Progress Party feel that the issue of a vote can be resolved unseen and without undue pressure?
ParlaMint-NO_2007-06-13.ana.ud1426e1294	Now I took a line on the Haga Council, and not the other way around. I'll sign up on the list of speakers, and then I'll answer what the government council Haga challenged the Progress Party. I was going to ask Haga State Council, which referred to the fact that the working group would not allow this as an attempt. As I understand it, it is actually three to four municipalities in Norway that have already carried out electronic voice testing in a controlled environment. It is mentioned in the report. The attempt was a success. What we're now proposing is step 2. I would like to quote from the working group: « the working group recommends testing electronic voting in an uncontrolled environment on a smaller scale for special groups; [[...]] [[e.g. foreign residents, disabled persons or individual municipalities]] Does the Council of State Haga agree with the Working Party that there should be attempts in some municipalities, or does she not agree?
ParlaMint-NO_2007-06-13.ana.ud1426e1308	In the case of voting in a controlled environment, there is no problem whatsoever. It's just a smarter way of counting. We want to encourage everyone to move on with that. What is the big challenge is related to what you do in an uncontrolled environment. We will continue to work on finding solutions where we can also implement choices electronically in an uncontrolled environment, but per. Today we do not have enough security around this to do so. But we have an offensive relationship to this and are systematically working towards getting to where I feel sure that we are coming, namely that votes can also be cast per. network and per. mobile.
ParlaMint-NO_2007-06-13.ana.ud1426e1323	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-06-13.ana.ud1426e1326	In order to have a living democracy, it is important that all voters use their voting rights. The PC, the Internet, mobile phones and text messages think I've come to stay. There are funds that we should use and that we should use now. The proposal is intended as a pilot project in some municipalities at the municipal and county elections this autumn. In the high-tech world we live in, it makes sense that we use the teaconologist we use every day, even now for the election. Experience from other countries has shown that choices can be fully implemented, among others. via the Internet. We also see what is possible when we submit the declaration, which is done today via SMS and the Internet, while at the same time being able to take care of personal safety. One of the reasons why the Progress Party wants such a scheme is the falling turnout, which we are concerned about, which we also have in Norway. In particular, we see it among the young people, who are the very clear target group for such a scheme. Many would probably have said that the biggest target audience is not those who are going to decide on this proposal. I therefore believe that making it easier for voters to vote is very likely that more people will avail themselves of the voting rights, which can help reverse the trend and increase participation. When we see what the turnout in Estonia has done, there has been an increasing turnout; 5.5 pst. of votes cast was just given over the Internet – can we afford not to try this? There are probably some old-fashioned bigotry representatives who are sceptical about this new development. Then I just want to remind you that today's electoral system, with paper choices, is not sure enough, as Norway received criticism from international electoral observers at the latest at the last elections. It's not sure enough either. Why not start the pilot project? It should be a wake-up call for those who are sceptical about voting over the Internet. Finally, it is not likely that ageing wholesalers will decide on this proposal, the largest target group.
ParlaMint-NO_2007-06-13.ana.ud1426e1343	Fortunately, it is rare that the Progress Party presents its unprofessional pages as clearly as they do in this matter. There is no disagreement about the need for and the desire to bring up the turnout. This is why, a long time ago, a working group has been set up to deal with these questions. However, the Progress Party does not address the real issues, and the real issues are not whether the IT industry in Norway can deliver electronic ballot boxes. They can. The real issues are, as both the rapporteur and the municipal minister have pointed out: How can you be sure that the elections remain secret, that you cannot trace who has voted what, and above all, when you have to do it outside the controlled environment, how can you be sure that the voter is the voter and without undue pressure? You don't go into it at all. Instead, they try to present it as if there are some old bigots representatives who, unlike some modern, forward-looking young bigots representatives, have failed to realize that IT and SMS have come to be. It is a level of debate that the Progress Party itself should remain too good at. Then the representative, Lodve Solholm, shows that you are in favour of the majority remarks. But at the same time, the debate shows that the realities and seriousness of these comments have not been taken into account. The question to be answered by the Progress Party – in addition to how to deal with the real issues related to that type of voting in an uncontrolled environment – is: Why was this proposal submitted so late? This isn't something that someone's come up with during this spring. There have been working groups in turn, and it has been working on this for a long time. Why was it delivered so late that it was almost impossible to handle it – it is 90 days before the election? If the Progress Party had been interested in having this proposal adopted, it would have been delivered a year ago. Now it is delivered so late, in order that it will be voted down. You'll try to show it as if there are some young, modern people who understand what's coming, and some old people who haven't realized it. As unprofessional as the Progress Party has dealt with this matter, I hope it will be long before we experience again.
