ParlaMint-NO_2007-02-06.ana.ud797e45	The representative Hans Olav Syversen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-02-06.ana.ud797e784	It is a pleasure that the representative Gunnar Gundersen addresses a matter of swimming pools and their many positive aspects for so many people – for I fully agree with the interpellant. But it's also surprising that there's a representative from the Right Party who's taking up the theme here in the staging room. My experience from the Municipal Government Hall is quite different. Usually, swimming pools have not had any big star at that party, so all praise to the representative Gundersen. When the swimming pool in my municipality was badly damaged in the middle of a fiscal year, during what I choose to call the major municipal economic crisis, we, as the representative of the majority, almost did not want to discuss repairs. We knew that there would be a lot of good things to do in the care of the elderly and in school. But we took it up. And we fixed the damage, because we knew that it would otherwise be the hook on the door also for our swimming pool – and we wouldn't, precisely because we thought the swimming pool represented so much good, both for the students at school and for the many others who used the swimming pool after school. The new elementary school curriculum has set concrete learning goals for swimming. It will be a challenge for those municipalities that have actually closed their swimming pools, or have very poor standards on them. In connection with the budget decision before Christmas, a joint church, education and research committee – as we have heard before – also expressed concern about the standard around it. The Committee asked the Government to consider including funds for the refurbishment and refurbishment of swimming pools used for teaching purposes, in a future continuation of the school building interest compensation scheme, based on a clear recognition that these are important facilities for the implementation of the Knowledge promise and the ambitions we have for more physical activity in the school. It is therefore gratifying to read in the Newspaper today that the Government also performs in this area. The Council of State also confirms that the matter is being worked on. The majority of the Committee also showed that municipalities receive an increase of DKK 3.65 billion in their free income this year, and that, in addition to this amount, they received an additional tax intake in the last year of approximately EUR 20 million. DKK 2.5 billion. No matter what the representative Gundersen may think about it, this money represents so that the municipalities are able to do something about the swimming pools that are closed. In particular, the additional tax revenue, which is a one-off income, must be used for investments in municipal buildings, both for new buildings and for the renovation of existing buildings, because there is a large backlog in the area in all Norwegian municipalities. This applies to all types of construction, but perhaps most of all in the school sector and older cultural buildings. I think the municipalities will give priority to both school buildings and swimming pools, now that the economy is improving. To get back to my own municipality: I now see that the total renovation, possibly the construction of a new swimming pool, has come into the investment budget. The swimming pool from approx. 1970 is well maintained, but is immature to the time standard, not least in view of possibleincrease measures. Once the municipal administration has carried out its numerous investigations and cost estimates, which are necessary before the local government takes its decision on renovation/new construction, it will, of course, also apply for funds, because the swimming pool is also a sports arena. And last week I read in the local language that the municipality's swimming club was back on track and had arranged a club championship. The swimming clubs also become optimists when they see that the municipality is again betting on the swimming pool. It promises good for the swimming in my local environment. But just the municipal inertia of investments in construction makes sure that it takes time before municipalities that have closed their swimming pools, or have worn-out facilities, can once again fill the basins with water. I've hurt to think that it's only my home municipality that has perceived the clear signals of the red-green government to fill up the basins with water, when the municipal economy has improved as strongly as it has done in the last year. If we also put in place an interest compensation scheme for loans for the renovation/reconstruction of swimming pools, it will certainly also stimulate efforts. I want to be ambitious on behalf of the swimming pool development in Norway. So does the Minister of Culture. This gives us all good reason to be optimistic — including the representative Gundersen, who correctly writes that ‘swimming pool is important for physical activity, rehabilitation and training’. And as he also points out, there is a physical activity that many can engage in, and where physical disability is also not an obstacle.
ParlaMint-NO_2007-02-06.ana.ud797e801	The representative, Gunnar Gundersen, is addressing a very interesting issue today. The undersigned has had the pleasure of sitting in a municipal cultural selection for 12 years – responsible for three baths, or swimming pools, two full-year indoor baths and a large outdoor. This is a strenuous exercise that many municipal politicians have to work on every day. Baths can be expensive in operation, technically challenging — and particularly challenging when they start to grow old. In my home municipality, two of the three baths were relatively old. It's also interesting to look at the purely fundamental aspects of this case. Is it a public task to own and operate a bath in 2007? Because let's say 80 years ago, in 1927, the answer was probably yes, for many had not asked at home, and it was a clear health benefit that people had to wash themselves in between. In 2007, I can go so far as to say that the public should contribute to swimming training for children and young people and sport, swimming and water sports as health promotion for sick and elderly people who need this. The fact that the public has a responsibility or should contribute to something is not for the Progress Party the same as that the public should own and operate an action. Swimming halls and bath facilities can be very well left to private operators, and the public can buy time or subsidise visits for those groups that need it. We have also seen examples that municipal politicians are not the most suitable people to manage this type of activity. Running a swimming pool or a swimming pool is per. today more than just to be responsible for some wardrobes and a swimming pool. They are often associated with SPA activities, well-being, training, etc. It's about relatively complex business models. Having said this, I have to say that, of course, the ability of municipal politicians to prioritize swimming training, swimming sports and water sports is a health measure for sick and elderly people depending on the municipality's economy. The Progress Party shares the concern for the local economy. We have therefore proposed NOK 1.5 billion more to the municipalities than the government has adopted. As the Council of State was satisfied with the Government's commitment, I assume that he would have been very pleased if the proposals of the Advance Party had won out on this matter. Finally, in the case of children and youth, swimming training is of course very important in a country like Norway with a long coastline, with fjords, with rivers and with water around our hinterland. The problem of a high number of drowning accidents has been highlighted earlier in the debate. Of course, this is something that also concerns the Progress Party. Public attention should be given to swimming training for children and young people. But I can't help but stress the responsibility of every parent to familiarize their child with swimming and dealing with water. In addition to public efforts in the field of swimming training for children and young people, initiatives should be taken by parents. I think that's very important. The Progress Party is positive in assessing this with maximum amounts under the TIP. We also welcome the signals provided by the Council of State regarding the adjustment of the other schemes that affect the possibilities of municipalities in this area.
ParlaMint-NO_2007-02-06.ana.ud797e822	I want to thank the interpellant for focusing on an important topic. Of course, I think you should learn to swim at school in Norway – a country with such a long-distance coast. It's quite right, as the interpellant says, that swimming pool is important for physical activity, rehabilitation and training. Swimming is one of the physical activities that most people can participate in, even if you are disabled, young or old. There are concrete learning goals for swimming in the new curricula. Therefore, it is absolutely right that local authorities should facilitate the provision of swimming lessons for children in schools. I even come from Eastfold, which is a state with a lot of coast. We have had many tragic drowning accidents with children in recent years. If you can't swim, you can die of it, which was also in the Council of State. That's why it's so important that we get this in place in Norwegian school. One thing is new swimming pools – it was clear to the Council of State, and he explained well what this government has done, and what increase it has been of games for swimming pools – but there are also very many swimming pools that are still empty, which are not 12,5 meters, but which are actually physically good enough to be used. I fully agree with what the Council of State says, that the municipalities have a great responsibility to facilitate swimming lessons, to fill these pools and to rehabilitate the usable pools that exist around them. I believe that the government has been quite clear by improving the local economy. It has given municipalities the opportunity to give priority to children and young people as well as to fill up the swimming pools. This government opted for the swimming pools to be filled. With the improved economy that is now in the municipalities, I believe that the municipalities must also take more responsibility. As many have experienced, efforts need to be made in several sectors and across departments, because many have a responsibility. Finally, in the case of drowning accidents, this zero vision is an important objective. As the Council of State had in mind, there are many different causes of drowning accidents. But I think it's a good goal to have, and SV supports it. I believe that this government has done a lot to get to the goal. We have a long way to go forward, but more governments are working on this, in different departments. It is clear that this is a bet area for this government.
ParlaMint-NO_2007-02-06.ana.ud797e835	The 2004 Year of Life Survey shows that seven out of ten Nordics train or exercise at least once a week, while only one out of ten never practice or exercise. Most popular is walking fast tours, followed by cycling and ski tours. It's most from the densely built strata, and especially from Oslo and Akershus, who train indoor activities, such as aerobics, strength training and symmetry. The study shows that this includes, inter alia: come from gyms, indoor gyms and gyms. It is important that children learn to sympathize, regardless of where in the country they grow up. A study by the Education Association shows that 38 000 school pupils in 200 schools do not have symmetry education. The fact that half of Norwegian teenagers are unable to swim means that these children do not have a basic skill and also have a higher risk of drowning if they fall into the water. In order to provide children and young people with a diverse range of activities, it is important to ensure that all municipalities have multipurpose halls and halls. Many of the small and large pools around the county are funded in a gap between municipalities, sports teams and games. In order to increase the number of basins in operation, the Government will offer the municipalities interest-free loans according to today's headlines in the Newspaper. In that case, it would be a follow-up to a cross-political note by the Church, Education and Research Committee during the budgetary procedure. That'll be good. Interest-free loans have been shown to have a good effect both in the case of squattering and in the case of the refurbishment of church buildings. In addition, it is appropriate to invest in Public Private Cooperation OPS. Marienlyst i Drammen has recently received a new symmetry system as a result of a OPS project. The use of OPS as a form of financing and agreement allows municipalities to leave responsibility for the operation and maintenance of the symmetry system for as long as 25 years. It provides a good framework for municipalities and can continue the development of new facilities and the upgrading of old ones. Sport is a major movement of people that gathers children, young people and adults for positive outcomes in various activities. Sport creates well-being and joy and is also important for people's well-being. The Christian People's Party will therefore facilitate the widest possible possibility of exercising sports and physical activity. Sports are important common venues in the local environment. The Christian People's Party supports the premise that is aimed at strengthening sport as an important factor in creating local membership and social integration. The Christian People’s Party will give priority to the provision of children and young people. Through the opt-out schemes, sport must be stimulated to integrate different groups into its activities. Through sport, immigrants are in a good way active participants in the local environment and in important communities. Sports facilities are an important part of the infrastructure for providing good growth conditions for children and young people. Local sports facilities that ensure a lack of activity and are accessible to a wide range of teams and organisations must be invested. As a result, the most likely young people are able to engage in sports and physical activity. The system has been an important back-up. The availability of facilities is very important for the individual sport team and the individual municipality. It is important for local sports, it is important for people most, and it is important for unorganized children and young people. In Norway, there is a long tradition of seeing the relationship between the width and the top. The Christian People's Party believes that government support for organised sport is mainly intended to support the voluntary, membership-based sport, so that one can maintain and develop a good range of activities, primarily at local level. The state's preference for top sport is important because of the role of imagery and cultural identity creators. Interest in the population is high and gives many common focus across age and interests, or else. We need both top-notch and what happens on the grass-roots planet. Even if many municipalities have had an economy, it will always be profitable for the community to invest in preventive activity. Putting down activities that provide physical activity, social activity, sports competitions, training and not least symmetry training will soon be very precious to a community. I therefore hope that gambling funds, interest-free loans and OPS can provide many municipalities with incentives to refurbish their symmetries, so that there are not so many empty symmetries around today, and that we also get water filled in several of these – to the joy of small and large.
ParlaMint-NO_2007-02-06.ana.ud797e858	The centre party has for a long time pointed to the need to turn the policy from repair measures to preventive measures. If we're just going to repair damage when it happens, whether it's in the form of accidents, in the form of health plagues or in the form of crime, we're fighting a fight that over time will require nearly infinite access to resources. But if the basic focus of all time in all politics is to prevent the events and developments we want to avoid, we don't save society just for large sums, but we also save the inhabitants too much suffering, and we help build a better life for our inhabitants. The interpellant refers to the important arena the swimming pool is for children to learn good symmetry. As a resident of a coastal and fjord municipality, I know a little bit about how decisive symmetry is, yes, it could be the difference between life and death in certain situations. The swimming pool also has other important functions. Rehabilitation is one example, and together with other sports facilities, the swimming pool is an important venue for one of the most important prevention measures of our time, namely physical activity. We are increasingly less moving, and it shows that on our bodies and on the health budget. It is a major challenge to facilitate more physical activity both at leisure, at school and at work. We need to put more effort into planning society so that there is room for physical activity, and so that it is made possible for us to be physically active on the way to and from the different places where we are in one day. In the early stages of life, there are different habits, and a positive relationship to physical activity in childhood and juvenile ulcers could therefore lead to a more physically active later in life. For this reason, it has been important for the Centre Party to get more physical activity into the school and to ensure good arrangements for the development of sports facilities around the country, such as: the tipping agent arrangement. Access to swimming pools and other sports facilities is of course important, and with access we also have to recognise that for many, the price level is an important factor in whether or not you have access to a sports facility. In the view of the Centre Party, it is therefore important to facilitate that children and young people are not stopped by a high price level when they seek out different sports facilities. The centre party shares the involvement of the interpellant in this matter, but it must be allowed to point out that, when the representative Gundersen is on the platform today and argues for a swimming pool, he moves himself and the party out on deep water, in order to use a relevant metaphor. A central tool for ensuring good access to the pool around the country is the municipal economy. The tight community economy Right stood for in the previous period, making it impossible for many municipalities around the country to upgrade a swimming pool or provide good enough symmetry education. It is close to pointing to the Right-steered municipality of Hornindal as an example, where the students had to have symmetry lessons in the Hornindal water. So it's not enough of Gundersen's representatives to have clear objectives in this area. He and the Party of the Right must also be willing to give priority to the means available to those who need pooling, either training, rehabilitation or physical activity. It has not been, and when it is pointed out, the representative, Gundersen, defends himself that they give priority to tax relief over community through the local economy, and it provides more money for long-term distribution. Then one would believe that after four years with the Right in the Ministry of Local Affairs, and after four years prioritizing tax relief in front of the community, the money would fall in, so that the municipalities got a priority swimming pool. But at the end of the previous period, nothing had happened to the swimming pool around the municipalities, rather on the contrary. I'm glad that the Center Party is not only engaged in this issue when an interpellation emerges in the Storting, but that our government has led a policy that has given more citizens, at least in my state, access to a swimming pool after the last government change.
ParlaMint-NO_2007-02-06.ana.ud797e874	In general, I do not need to defend the previous government, but in the previous speaker it was at least heard as if the new government has contributed large sums to construct swimming pools in this country. It's just that it's wrong. In fact, efforts have been made to improve the local economy, but the way money is used is still a municipal issue. Municipal swimming pools became an important issue during the election campaign in 2005. Profiled workers' party politicians with outstretched arms stood in empty swimming pool and told them that it was civil government's fault that the swimming pools were without water. The solution was ready: a change of government would make the water flow freely in the country's swimming pools again. There are actually a lot of people who just remember two things from the last election. The first is full child care coverage by 2007, otherwise Kristin Halvorsen goes out of Norwegian politics. The second is that the government parties, those who are now in government, did well to have water in the swimming pools after a shift. Stoltenberg did not promise to leave if the water was lacking, and that is perhaps why the investment and measures for swimming pools and swimming lessons have been largely absent. In the spring of 2005, a study was carried out on the Norwegian Federation of Swims, which showed that 200 swimming pools were closed. There's a lot of variation between the states. In Telemark, 14 out of 35 swimming pools were closed, in Sogn and Fjordane 18 out of 39 were closed, and in Møre and Romsdal 26 out of 56 swimming pools were closed. How many of these are closed today? I expect the Council of State to provide concrete figures as to how far the Government has come in its eagerness to open swimming pools. I expect the Council of State does not even repeat the standard response that all problems have been solved because the municipalities have received a better economy. It's a bit of a worn-out phrase, which essentially gives a completely uncontented insight into reality. My oldest son took the swim button last week. It was a great moment, and he swam all the way out to the deep and back again, as he said. I'm glad that my son's school offers swimming training. But there is reason for concern when almost one in ten students have no offer of swimming training via their school, and reaches 50 pst. by the ten-year-olds, despite the fact that there are concrete requirements for the competence of swimming training in the curriculum. The 4th classes shall be safe and swimmable; the 7th classes shall swim on both the stomach, back and under water; and in the 10th grade all the students shall have learned life saving in water and life saving first aid. It illustrates the importance of good swim training, it's about life and death. How can the curriculum be followed up for the almost 10 pst? by students who are not offered such education? It may not be sufficient to claim that this is a municipal responsibility and that it will therefore not benefit from State action. The whole point is that all public schools are obliged to deal with the curriculum, and to give students the skills that are set out. So a prerequisite for teaching swimming is that students have access to water in the pools. It's true that this is about priorities. The government has announced that they will consider proposing a support scheme for the municipalities that is based on an interest compensation for investments in swimming pools. It's in line with what the Church, Education and Research Committee has asked the Government to do, and that's good. However, the question is whether it is sufficient as an instrument if the aim is to fill up more basins than those already under upgrade, or – to say the least – in the course of fulfillment. The local government sector is burdened with debt, the interest cost is only a marginal part of the cost of borrowing. As long as the municipalities themselves have to finance deductions from the operating budget, there will be an assessment of how best to use the investment funds. The interest-rate compensation scheme for school buildings and church buildings has worked well, but the maintenance system for schools and churches remains enormous, and it indicates that the challenges in these sectors are not solved, despite interest-rate compensation schemes. According to Construction Research, the corresponding aftermath for the swimming pools was DKK 3 billion in 1993. I don't have any more recent numbers, it probably has the Council of State, but it's likely that this lag has doubled since that time. An interest-rate compensation scheme may be one instrument, but it is already clear that it is not enough to ensure that students’ right to swim training is met. Therefore, until the revision of the national budget has been reviewed, the government must make a broader commitment and ensure that access to the swimming pool, whether private or public, is good enough to ensure that all students have access to the swimming training provided by the curriculum.
ParlaMint-NO_2007-02-06.ana.ud797e895	It is correct, as the representative Anundsen said, that there was an impression that the water would flood into the basins again. At least we don't see that coming up. I think we should be careful to popularise this to the point that it's about heat cables in the rise of rich people. If the Minister of Culture is going to kill all the heat cables before he does anything in this area, I think it's going to take a long time before anything happens. With regard to the increase in the local economy, it is enough to recall that two thirds actually stem from increased tax revenue and one third from transfers. We can probably take that discussion to the spasm. I don't want to focus on it now, because it's getting something to happen that was actually my point. When it comes to zero vision, we have it in traffic, despite the fact that we know that both suicide, alcohol and drugs are inside the picture as well. So there's no argument that you're going to have to deal with the drowning problem more easily. Of course, there are many other reasons why people drown than they cannot swim. But a significant part of the problem is that people can't swim. I think there were many interesting articles, among others. this with OPS projects and other means of operating and financing them. I'm open to that, of course. But I think we should be aware that there are perhaps two different types of facilities that you talk about, because what goes to school, and what goes on drowning and prevention in that regard, is largely a public task. When it comes to play, which is also important, and commercial facilities, there may be a little bit of other facilities you talk about, but I think it's very good. I also realized that both the Christian People's Party and the Advance Party were positive in looking at the maximum amounts. That's basically what I could think of ending up with to the Minister of Culture. I think the focus is on the problem again, but then we come to the question: Will the Minister of Culture assess this with the max amounts? If we expect a 25-meter swimming pool to cost at least 60-70 million. kr, that is, you can support it by one-third after your toys applications – up to 8 million. kr. That means that one-third of the support is just going to be 3-4 pst. aid, because the maximum amount sets such a limit. It is clear that for the municipalities are 3-4 pst. support nothing, but if you can raise the support to a total amount that is more consistent with what it actually costs to build new halls, we can get a little speed on this. My final call to the Minister of Culture is whether he can say anything about it.
ParlaMint-NO_2007-02-06.ana.ud797e908	As Minister of Sport, as a former Minister of Education and as a member of the Government, it is only to bend and thank for the support given to the Government here in the Chamber, both for the description of the reality presented in the 2005 election campaign – which was not particularly endorsed at the time, when we were alone on that description of the situation in the municipalities – and also for the need to invest in welfare goods, the development of schools, swimming pools, etc., rather than spending money on other measures. I record that every time you say that the money has to be taken from somewhere, it says: No, did not bring the lesson about the local economy and tax relief. Well, the lesson is about what we politicians are put in here to do: to make choices about how society's common resources should actually be used. Those choices we dare to make. We dare say no to things that are certainly popular in many circles, large tax havens for those who have the most, and measures that demand all the craftsmen that we rather want to rust up schools and swimming pools. We were the ones who put the 15 billion into school buildings in their time. They were repeatedly proposed to be cut by the previous government. They were put back into Stortinget. Now we've come to terms with the 15 billion, and then we're going to work on looking at how we can also fit other bathrooms into this system. So the question of maximum amounts within sports. Well, no matter how you turn it around, there won't be any more money for sports facilities to change the maximum amounts. To say that each swimming facility should receive more support, the money must either be taken from other swimming facilities or from other sports facilities, because the sum is the Norwegian Typing yield of profits. Whether it is right then to provide more aid to fewer installations or to provide a little less support to many installations is always an assessment. There will be no more money for swimming facilities. From the previous period until now, the share of funds going to swimming facilities has increased from 6 pst. to 15 pst. So within sports facilities, you've increased the sum considerably. But one depends on the fact that Norwegian Typing actually has these incomes in the future as well. In particular, the Progress Party has held a different line in the field of gambling policy and has had a more liberal attitude to the automatic industry, but also to other types of games, to which the rest of the bulk of the population have fortunately failed to join. This is a very important struggle to win to secure these assets in the future. We're going to do ours. I'm glad it's a commitment to swimming pool. I'm glad it's an exposure to zero vision. I'm glad that it's a commitment to the local government's economy and the ability to bet on this. We're going to follow up on that in our work. I hope it is also reflected when future budgets are created, both by position and by opposition.
ParlaMint-NO_2007-02-06.ana.ud797e921	That is when the debate is on case No. 3 ended. All representatives are now called in because a record has to be adopted.
ParlaMint-NO_2007-02-06.ana.ud797e971	Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
