ParlaMint-NO_2007-12-18.ana.ud731e131	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-18.ana.ud731e1202	I want to start by saying that I listened carefully to Ivar Kristiansen's posts. In particular, I ate my ears when he said that the case could be ‘something darkened’ and I waited for the continuation. I thought he might say something about the Skarv expansion that increases Norwegian CO2 emissions by 1 pst, and that was where the eclipse was. But it certainly wasn't like that in the world of Ivar Kristiansen and Right, and I think that's interesting, not least given that we have just concluded the climate negotiations in Bali, and that we have just handed out a peace prize to the United Nations Climate Panel and Al Gore. Sick if many of us naturally view this as a joyous day compared to the fact that Skarv development will create new optimism, jobs, etc., I don't think it is worth a party that wants to emerge with a very environmentally friendly and climate friendly side, not to touch this side by this day, namely that with this we are increasing Norwegian greenhouse gas emissions by 1 pst. Because that's a serious situation. Scurvy is planned to be developed as a completely new production ship with turntables and five well frames on the seabed. The operator has assessed other expansion solutions, but due to flexibility and costs, production ships with a turntable were selected, as explained by the rapporteur. On the SV side, we believe that Skarv development shows the challenges we face in oil policy in the future. We are concerned that we should learn from some of the mistakes that have also been made in this matter. We want to take a look at what we can do in the future, because we believe that Skarv-saka can give us important lessons if we agree that it is an important goal to reduce Norwegian emissions. Let me do three examples of that: Firstly, the fact that billions of money could be invested without a concession being granted. As a result, a table quickly emerges. Secondly, the expansion solution chosen, with floating turntable production and storage ships, impedes an emission-free power solution from land. However, this is a decision and a neglect that has been committed many years ago, as the representative Torny Pedersen also pointed out in his statement. Thirdly, the lack of transparency and democracy in the processes. This applies in general to the concession system. Here, too, the Minister of Oil and Energy has signaled a willingness to enter into the systems of greater transparency, transparency and democracy. In the case of new field developments, field electrification shall be investigated. This has also been done in connection with Skarv development. The operator considers that there are no possible technical solutions to electrify a production ship with a turntable on such deep water. There is uncertainty with a power cable of 370 metres which has to rise from the bottom and through the turntable. This is not safe technology for today, while the distance to land is 200 km. It is regrettable that shore-side electrification cannot be used, but at the same time positively that the operator has facilitated the electrification of the entire process system. This will in future provide options to replace the gas turbines with a converter station allowing the use of other power sources. The Ministry of Oil and Energy will instruct the lawyers of Skarv to implement a programme to facilitate the transfer of large quantities of power to production ships. The Programme shall be completed by the end of 2008. It is important to stress that an overall committee has high expectations for this work, which can provide technology for electrification of production ships in the long term. In SV we will follow this carefully. I would like to mention to the extent that we have noticed that the Right, which has presented common demands with the Christian People's Party and the Left in the climate negotiations related to electrification, is not included in the comments of its two climate comrades in the setting related to electrification in this matter. I would also like to mention briefly that we in SV are very pleased that the oil and energy minister will resume the discussions on green certificates with Sweden. Creating a renewable energy market must be a top priority in the future. In this context, it is worth noting that the Nordic Working Life magazine estimated that increased renewable energy investment could provide up to 425,000 jobs in the Nordic region. So there's a big market within this, and future is going to be renewable.
ParlaMint-NO_2007-12-18.ana.ud731e1236	Recent weeks have been marked by climate change and the efforts made at national and international level to address the fight against global climate change. The Bali negotiating meeting ended three days ago, and last week Al Gore and the UN received the Peace Prize for their efforts to spread knowledge about the serious climate change that threatens our planet. This throws a rather strange light on the matter we have to deal with today. In the middle of a time when we are faced with the need to reduce greenhouse gas emissions, we are dealing with a matter that bears the opposite direction. During the operational period, the sharp field will emit 490000 tonnes of CO2 annually, which means that the annual national greenhouse gas emissions will increase by 1 pst. These emissions will make compliance with Norway’s greenhouse gas reduction obligations even more difficult, and Skarv’s emissions will need to be compensated by other emission reduction measures. The Christian People's Party is disappointed with the expansion solution that the Government is using for the Skarv field. Liquid production ships with turntables make an emission-free power solution from land difficult. This means that an additional installation on a Norwegian base is equipped with highly polluting gas turbines with power supply. However, it is good to note that the installations are arranged for electrification at a later stage. The Christian People's Party believes it is good that rightholders are required to implement a development programme for electrification of the production ship. However, we believe that the programme must be submitted to the authorities before the proposed government and completed by the end of 2010 at the latest, for the purpose of this development must be to electrify the Skarv field as early as possible. When the Christian People's Party chooses to vote in favour of this expansion, it is mainly because preinvestments have been made in the field of 4 billion kroner, and because we see great opportunities to put in place a solution with electrification in the relatively short term. The Christian People's Party wants to learn from this matter and make sure it does not repeat itself. We believe that plans for the development and operation of petroleum fields which are not initially based on electrification should not be approved for the future, i.e. shore or other emission-free force. We believe that this requirement must be incorporated into all forthcoming concession rounds on the Norwegian continental shelf. The petroleum sector currently accounts for a quarter of national greenhouse gas emissions. The Christian People's Party is skeptical of the large preinvestments made in the Skarv field. The Government should consider changes in the procedures relating to the treatment of future development on Norwegian pedestal, where Stortinget is given the opportunity to deal with the matter without corresponding guidance. The Christian People's Party also believes it is important that the Oil Directorate is given a stronger mandate to work towards the choice of non-emissionary expansion solutions for petroleum field developers. This should be clarified in the allocation letter from the Ministry of Oil and Energy. In order to better facilitate the electrification of oil installations in the future, it will also be important for the Government to speed up the announced investment in the development of new renewable energy. The Christian People's Party is pleased with the signals that the Government will now resume negotiations with Sweden on green certificates. Pending any negotiated outcome, support schemes for the development of new renewable energy should be considerably strengthened. This is also a clear demand from the energy industry. The representative of Thorkildsen had in his speech a focus on SV wanting to review the oil policy. The Christian People's Party uses this matter to begin a review of oil policy. I cannot see that the representative Thorkildsen and SV have their own comments that go in the direction of such a review as she is today saying SV wants. The Christian People's Party is concerned that new expansions of oilfields north of the 62nd parallel will benefit the local environment and the parts of the country in terms of jobs and activities. It is therefore wrong to accept the location of the Skarv Operations Organisation in Stavanger when the oil field is outside Lake Sandness. The Christian People's Party therefore considers that it is necessary to require the operator of Skarv to localise the operating organisation north of the 62nd parallel. I'll bring this up with our suggestions.
ParlaMint-NO_2007-12-18.ana.ud731e1265	The representative Line Henriette Holten Heimdal has taken up the suggestions she referred to.
ParlaMint-NO_2007-12-18.ana.ud731e1268	There are still large petroleum resources on the Norwegian base, and we will also in the years to come in this room manageable plans for the development and operation of fields on the base. The Skarv extension is already described by previous speakers, and I'm not going to repeat what has been said, just underline some points that have been central to the Center Party in the process. Electrification of the socket is environmentally beneficial measures under certain conditions, namely the availability of clean power on land and the availability of technology to enable this electrification. The centre party had also preferred to see Skarv drift with environmentally friendly power from land, but in this case these provisions are not in place. With that in mind, we believe from the Central Party that it is positive that the company has facilitated the future use of other energy sources, and we are pleased with the programme that the Minister of Oil and Energy has imposed on legal entities to drive forward the technology necessary for electrification of this type of production ship. Then to the ring-fences of the region. The centre party is slipping over the ringing effects of the Skarv extension on the region in terms of activity and workplaces. We are busy with an active petroleum management in line with the instructions provided in the legislation. And we're concerned that the expansion of the socket is going to give jobs on land in the region in question. Therefore, we are particularly pleased that this should be an important focus in the coming petroleum message. Finally, the sharp expansion of the forest brings with it significant environmental challenges through increased emissions. It is therefore appropriate to take lessons from this and other developments to ensure more environmentally friendly solutions to the socket in the future. All the time we don't have the power to deal with the emissions that come into the wake of our petroleum industry, there's an increase in emissions in the atmosphere. The government is taking this problem seriously, and the effort that CO2 capture and storage efforts and to produce environmentally friendly forces are examples of that.
ParlaMint-NO_2007-12-18.ana.ud731e1285	The left will vote to give the Ministry of Oil and Energy the agreement to approve the development and operation of Skarv. It is a project that can generate significant quantities of oil and gas and can contribute to value creation and significant revenues. It must also be expected that the local environment and the national community concerned will benefit significantly from the development through jobs and activity. The progress party Ketil Solvik-Olsen expressed some surprise that parties that had been critical of the release on Statfjord now voted in favour of this expansion. I can explain the position of the left. It is that we have long thought that in some areas there is such an obvious conflict between oil activity and the environment that one should have petroleum-free zones. These are areas of the Lofoten and the Vesterål. But that is not the kind of area we are discussing here, so we have a good connection in our policy in this area. It's still the only party in this room that went to the election against all the oil activity in the Barents Sea is SV. This case, however, is an illustration that it can be difficult to get a relationship between what we politicians say we want and what we actually do. 2008 will be a year of record CO2 emissions in Norway. The petroleum sector accounts for a significant proportion of these emissions. That is why we need to get a system of electrification of existing installations, and we need to get a system that makes new expansions based on power from land. We regret that a solution has been chosen for Skarv that will generate large emissions and that does not rely on power from land. The Left Party and the Christian People's Party have therefore promoted their own proposal to shed light on what we can actually do today, and that is to put greater pressure on the program to be implemented to develop technologies to get transfers of large quantities of power to production ships. It is appropriate to make provision for shore-side power supply when a secure solution for electrification is available for the area we are discussing today. We also believe that it should be stated that new projects should be based on power from land and that this should be included in the call text. There is also a need to redefine the procedures for dealing with future developments, so that no investment is made that effectively binds the final decision. The left is concerned that the development of oil and gas fields will benefit neighbouring communities and parts of the country. This is also true in the Norwegian Sea and the Barents Sea. We point out here that the Committee points out that the Government will come back to this problem of location in the light of the notification of petroleum, which is expected to be presented in 2008. It is clear that there is a clear link between the possibility of electrifying our oil and gas installations and the amount of power available on land. Not least in this perspective, it is depressing to note that after two years there is now a return where one was at the change of government, namely in the negotiating situation with Sweden regarding green certificates. This means that we have wasted two years where we could have generated significant amounts of clean energy on land — which would also have been interesting in the context we are discussing here. Now we have a hope that the government will succeed this time in the negotiations with Sweden. Some guarantee you don't have. It is therefore essential that the Government also provide an alternative to green certificates that can provide large amounts of renewable energy. Then one has to significantly adjust the rates that are within the current system. Today, Norway’s record high emissions of CO2 and one of Europe’s worst renewable energy support systems are, therefore, a very poor combination.
ParlaMint-NO_2007-12-18.ana.ud731e1310	Skarv is a good project for the further development of Norwegian petroleum activities. I am therefore pleased that the Committee endorses the Government's proposal to expand the field. I know that this is not just a result of a hectic interview here in Stortinget. The reason why we've got a good agreed solution to Skarv is a good job of everyone involved, and not least because it's been an active and constructive local and regional commitment to get a solution that has a good effect on Helgeland and Nordland. Power will have a supply base and operational support unit in Lake Sandness and helicopter base in Brønnøysund. The rest of the operating organisation will be located in Stavanger. The solution leads to a strengthening of the base environment in Helgeland. Strongness will lead to increased employment in the national part of the country. BP has already cooperated with various actors on development of competence in the region. Several supplier seminars have already been held at Helgeland. Supplier networks facilitate cooperation between local enterprises and the major suppliers of the project. We have good experience with the use of supplier networks through the development of Snow White and Worm Lange. I believe that the Skarv extension will also be a good example of how we can have ring-effects locally and regionally. The operator has assessed different power solutions for Skarv and found that a turbine installation on the ship is the best solution. Forces from countries have also been assessed. There are currently no technical solutions necessary to transmit power through the turntable on a production ship. There are major technological challenges and high costs of developing and testing a solution for power from land to a production ship. The Government has therefore conditional upon the rightholders of Skarv to implement a programme designed to facilitate the development of technologies for the transfer of large quantities of power to production ships. The Programme shall be submitted to the authorities by the end of 2008. There are still some unanswered questions that remain before we can draw power from land to the base, both in terms of security of supply and transfer technology. This is therefore an important programme to move forward in the process of reducing CO2 emissions from the petroleum industry. I think it is important to stress that there are no shortcuts in this work, but we simply have to build stone on stone. Significant pre-investments have been made in the project. The project is exposed to costs of DKK 4 billion in December 2007. The Ministry has been briefed on developments and has clearly communicated that consent to pre-investment is conditional on not providing guidance for the approval of the project by the authorities. However, I would like to stress that pre-investment on such a scale is unfortunate, and I assume that pre-investment on this scale will not be a new practice. The development of Skarv is one of the biggest developments in the years to come. The field will provide a good contribution to the infrastructure in the northern part of the Norwegian Sea and contribute to the further development of the resources in the area. The field has a long life expectancy and will lead to significant ring-effects both nationally, regionally and locally. Skarv shows that the Norwegian base still has a lot to offer. Then I've been allowed to inform about the relationship with CO2 management in Mongstad, and I understand that the president wants to take it under this agenda item. The government has set ambitious targets for CO2 management. Among other things, analyses from the International Energy Agency show that as much as 20-28 pst. CO2 emissions of the world may be reduced by means of CO2 capture and storage. This says something about how important it is that we continue with great efforts to contribute to the deployment of CO2 capture and storage technologies. The partnership of the CO2 capture testing centre in Mongstad, consisting of DONG Energy, Shell, StatoilHydro, Vattenfall and Gassnova, has carried out thorough investigation and planning work. In this context, I would like to inform you that the Government has joined the partnership’s recommended progress plan and cost estimate for the planning phase up to the investment decision of the test centre. The Parties agree that it is necessary to use time and resources up to the fourth quarter of 2008 to ensure a sound basis for investment decisions. The parties, who are heavy industrial actors with broad competence in this type of complex project, point out that the test centre is a complex project, where there is a need for thorough preparation and planning. As a consequence, the planned start-up has been estimated until 2011. The results of the planning work carried out by the contracting parties show that the costs of the planning phase will be higher than the estimated contract date in June. Planning is now budgeted for a total of approximately 260 million. DKK, of which approximately 120 million. are linked to infrastructure planning and preparation in Mongstad. The parties have agreed that StatoilHydro will advance the planning costs of approximately 120 million. until the time of the investment. The wasted planning costs will be borne by the parties who decide to participate in the construction and operation of the facility. With the new information on progress in planning, the 2008 budget requirement is likely to be less than estimated in St.prp. No 1 for 2008. The Government will return to the Storting with detailed information on the status and progress of the project and, where appropriate, proposals for revised appropriations under the revised budget for 2008. The State has taken responsibility for the establishment of a transport and disposal solution for 100 000 tonnes of CO2 per. years from the test centre. Several alternative solutions have been considered, including: temporary transport of CO2 to Sleipner or Snow White by ship, delayed timescales for full scale pipeline transport and postponement of transport solution from the test centre to infrastructure for full scale facilities on Mongstad and Kårstø are in place. The total cost of a temporary ship solution is estimated at DKK 3 billion. On this basis, the Government has decided to terminate work on a temporary ship transport solution. In order to help balance the emissions of captured CO2 from the testing centre at Mongstad for a period – we are talking about a period of three to four years – the Government assumes that emissions equal to an annual emission of 100000 tonnes of CO2 will be purchased until the installation is linked to a full-scale transport and storage solution. I would like to stress that the work on establishing a full-scale transport and landfill solution for CO2 continues. Furthermore, the Ministry of Oil and Energy will immediately undertake work to assess how CO2 from the test centre can be connected to a permanent CO2 transport system when it comes into operation. The government will return to the Storting with an assessment of the budgetary needs for 2008 related to the work on the CO2 transport and storage solution. In the case of investments in the full-scale installation, they are planned to take place in 2012. The start time of the full-scale installation in 2014 is fixed.
ParlaMint-NO_2007-12-18.ana.ud731e1387	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e1390	I will address the CO2 project in Mongstad in my question. I note that in the case of all major CO2 projects in the case of gas power plants, the government has been on the waving front. Kårstø was suspended from 2009 to 2012, Tjeldbergodden was scrapped, Hammerfest was not granted a concession, and at Mongstad we now get the first postponement. The Mongstad project was particularly exciting and received whole-hearted support from the Progress Party, because it provided a reasonable run in building pilot plants, testing and evaluating the plant and then making investment decisions on a full-scale facility. Such a project should be implemented. With this postponement, there is reason to fear that you will not have enough time to test and evaluate the pilot plant until you have to make the investment decision. Can the Council of State give a time horizon for how long to test this before the investment decision has to be made? It's not enough for it to be built. The Snow White system shows that many problems can arise even with the technology you thought was mastery. Is it safe to make an investment decision in 2012 with the information available to you?
ParlaMint-NO_2007-12-18.ana.ud731e1405	Firstly, I am pleased with the enthusiasm of the Progress Party for the Mongstad project. This is a very demanding project. Now that we have chosen to inform the Storting that it will not be an investment decision until the fourth quarter of 2008, it is based on the clear advice we have received from the partnership that, as we know, consists of DONG Energy, Vattenfall, Shell and StatoilHydro. We assume that we will start the full-scale plant in 2014 and take the clear starting point – we have discussed this with the partners – that we will have sufficient time to carry out testing with the setup that we have now briefed Stortinget on.
ParlaMint-NO_2007-12-18.ana.ud731e1410	My question is about Skarv development. Formerly, in the case of field development in the Norwegian Sea, operational organisations have been substantially or wholly added to one of the regions bordering the Norwegian Sea. It has been an explicit objective of a large majority in this house to build strong operating environments north of Dovre. Then, in the paradoxical situation, the head of the Central Party, as the State Council of the Ministry of Oil and Energy, now chooses to abandon this established policy. So my question is, is this a sign that we have a new policy? Is the government going to follow up on this in later expansions? I remind you that the barbed wire itself says that the field we are dealing with today is one of the biggest extensions in the future. Is it so that the Government will base this principle on further field development in the Norwegian Sea?
ParlaMint-NO_2007-12-18.ana.ud731e1417	The government, including the Minister of Oil and Energy, who is also, incidentally, the head of the Central Party, is deeply concerned about how to manage to create good ring-effects of the petroleum activity on land. I understand that the Progress Party expresses the same commitment. That's very good. We're going to work in the future to put a lot of emphasis on just taking advantage of the possibilities that exist. In the case of Skarv, we will get approx. 40 new employees in Lake Sandness directly linked to the supply base or operational support unit. These are important jobs in the region. We also place great emphasis on involving the supplier industry in the future. And overall, I believe that we will see very acceptable ring-effects of this project in the region.
ParlaMint-NO_2007-12-18.ana.ud731e1424	That's a dramatic news story for the State Council to present to the Stortinget. One thing is that it carries towards a year's postponement in time, it's lost time. It carries against an increase in costs, where one suggests a doubling. I think there's every reason to ask the question: what kind of pre-work is the department that has done in these cases, which is based on previous advice given in the Stortinget? At the same time, we were presented here a week ago through the media that the same, if not equivalent, problems have now been identified in the Snow White field – over two months with 1.1 million tonnes of CO2 emissions, 2 pst. of the total emissions of Norway. Today, we are also told through the media that the latest new information on the nation's so-called moon landing project has been known by the Council of State for three weeks. Can the Council of State confirm, if necessary, that she has been aware of this information during the last three weeks?
ParlaMint-NO_2007-12-18.ana.ud731e1432	Firstly, through the decision taken by the Government regarding the test centre, we will contribute to the release of 100 000 tonnes of CO2 into the atmosphere, for which we are going to buy quotas. I would like to remind the representative of Kristiansen that his government contributed to the construction of Snow White in Melkøya. There's a gas power plant that stands and emits 1 million tonnes of CO2 per. years, and there were no plans for purification. When it comes to the issue of lost time – no, there is no question of lost time here. We've listened to the commercial actors that we're busy with in the project at Mongstad. They have told us that in order to ensure a proper time cycle, we are dependent on expanding the time horizon somewhat. It's also the only thing that will give us a proper technological run forward. We're dependent on that. I am concerned that we should ensure that we have safe ground under our feet in the further work on this project.
ParlaMint-NO_2007-12-18.ana.ud731e1445	The government's gas-power lifts in the case of Kårstø and Mongstad were in no way quality-proof when they were given. They were tailor-made to join the team. If there is something I am convinced of, it is that the country's prime minister has always known that buying quotas is significantly cheaper than developing this project in Norway. And he has known that what we are facing today would be the end of this matter. There is no need to put their trust in the promises given for full-scale cleaning in 2012 at Kårstø and in 2014 at Mongstad. Every year has been shifted as far as they approach. My question to the Council of State is: Is what is happening now, in line with the concession given to the Mongstad plant, where I guess emission limits are set in line with the ambitions you had? And when it is that the Council of State has known what is now going to be the end of Mongstad for several weeks, why hasn't the public and the Storting been informed about it? Did it not fit into the exhibition window before the negotiations in Bali?
ParlaMint-NO_2007-12-18.ana.ud731e1452	I think it's important to remember the Storting about how complicated the Mongstad project is actually. There's simply no one who's done this before us. We're going to face technical challenges, and we're going to face economic challenges on many points in this project. We have to respect that this is complicated. Then my task is to give the Storting as safe a reason under the feet as possible in this project further, and I am now contributing to that. Our ambition is clearly to have the full scale plant up in 2014. And there's nothing about this that would prevent it. The government has announced that there has been an increase in the cost of this project for some time. I've been told I need to clear up the decision on how we're going to deal with this, in the government. This type of process will be well known to the representative Kvassheim for more than 24 hours.
ParlaMint-NO_2007-12-18.ana.ud731e1460	I have to say I am surprised today when the government council Haga, who has appointed himself as climate minister, chooses an economic argument, not an environmental argument. The Council of State informs the Government today that the Government has joined the partnership’s investment decision-making programme and its progress plan – I think it’s a fairly correct quote from the Council of State’s presentation. My simple question is, When did the Government take this decision to join the partnership’s investment decision programme and its progress plan?
ParlaMint-NO_2007-12-18.ana.ud731e1467	The answer to the question is that we only talk about very few days since the government made that decision. The reason why I want to go public with this is simply that the partnership meets today, and then it is right that the Storting is informed about the matter. I think it's interesting to listen to the Christian People's Party in these matters, where they're very tall and dark. So these are the ones that helped us to have a gas power plant that stands on Melkøya and emits 1 million tons of CO2 per. years – and no plans for cleaning. 100000 tonnes are in any case a limited amount of CO2. I'm not getting rid of it. Therefore, we also choose to purchase allowances for these emissions. But let me remind you that we're talking about a period of a maximum of four–five – maybe just three – years. The Christian People's Party has helped a gas power plant to stand and brush without cleaning on Melkøya – all the time.
ParlaMint-NO_2007-12-18.ana.ud731e1482	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-12-18.ana.ud731e1487	Our chief spokeswoman has thoroughly explained the Christian People's Party's fundamental view of the oil industry in the northern regions – and of the development of Skarv in particular. I would like to make just a few comments on the expectations of the Christian People's Party regarding the regional effects of increased oil activity in the north. And here it may be that we are «high and dark», as the Minister of Oil and Energy expressed in the change of lines. There have been very high expectations for the development of Skarv, and – in the name of justice – it is said that there will be a good deal of ring-effects. I see mentioned in the media new helicopter terminal in Brønnøysund, extension of the airport in Lake Sandness, new supply base with operational support unit, new hotel in Brønnøysund, oil-related investments for the rest, 600 years of development and 200 years of operation. And here it should also be possible for Northern Norwegian labour force to participate. Then it is especially gratifying that we have a line for well engineering at the Sandness Lake high school – a line that contributed to the rest of the Christian People's Party still being there and not being moved to Bodø. But we cannot be satisfied in the north as long as the entire operating organisation is not moved northwards. The Competence Environment related to Skarv should therefore remain in Stavanger. I noticed that the case rapporteur was reasonably satisfied with that, and emphasised that we would come back to this in connection with the oil notification. I wonder if it is possible to get back to this case, about Skarv. I'm going to doubt that when we give green light to the evolution we see here. The Stoltenberg II government has for a long time announced a North-Area bet that no one has previously seen the husband – as it was said. All state councils would contribute. So what do we experience? In the name of justice, I would say that the Minister of Foreign Affairs delivers – I have said that in cases before – but the other councils are almost absent. And here, at my discretion, the Minister of Oil and Energy has a golden opportunity to leave, by accepting that the heavy part of the operating organization, the competence, will remain in Stavanger. It is disappointing that the government party representatives in the hall accept this so easily, but I think it is in fact even more disappointing that the Right – with its armsman Ivar Kristiansen, who has been so high on the track in terms of oil activity in the north, and has strongly criticised, among other things. The Christian People's Party, which has a slightly more restrictive position, does not choose to take part in the proposals that exist. Finally, let me just stress that the Christian People's Party will share the same view in relation to the oil notification, that the operating organisation should follow in the case of new oil activity in the north.
ParlaMint-NO_2007-12-18.ana.ud731e1506	Let me first just say to the representative Sahl that if it had been the whole starting point of the Storting, I'm pretty sure we hadn't had the matter of Skarv for treatment in Stortinget today. The matter had hardly been ready for it – and you wouldn't have come as far as you have today. I would rather have a case for treatment today that gives great ringing effects – rather than one bird in the hand than ten that wanders around on the roof. But we'll probably have an opportunity to come back to this a little bit. Originally, the representative of Thorkildsen made me ask for the floor. I was a little surprised at her approach, where she chose not to talk so much about Skarv – the matter we have to deal with today – but rather about the Right approach to the matter. She went quite strongly to attack on the Right. A little from the climate negotiations that are now in progress, I had to take the trouble to look at what distinguishes Right and SV in this case. I just see that we write the same thing in the setting, and we agree when we're going to press the green or red button today. I cannot see this as anything other than that the SV on this issue must be in charge of a policy that is in conflict with the Government's. And I can't say anything but that the post that Inga Marte Thorkildsen held from Stortinget's pulpit today – and when SV votes as they will today – had fit much better in the lawn. Finally, I record that the state council Haga today realizes the well-known term «attack is the best defense». I believe that, when we are dealing with issues that are so demanding, we need to find in – as the Council of State itself was involved – that there are questions about both processing and approximation. Then it does not have to refer to what a previous government did. No previous government has adopted CO2 emissions from Snow White of 1,1 million tonnes in two months – no one has responded. And with the approach we have to Mongstad, there's also no question of looking back. Any government council must find that the Storting raises critical questions about follow-up and convergence, and that the recommendations for decisions given to the Stortinge have a quality that makes us take reasonable and correct positions at all times. There's little evidence that we're there today. And when the Council of State says there's nothing to suggest that we won't achieve our goal in 2014, it's just the doubt that's starting to creep into information rounds like this.
ParlaMint-NO_2007-12-18.ana.ud731e1527	Let me start by commending BP for the work they have done with local politicians and local businesses in Helgeland with LOG Nord, projects and supplier seminars. They have made possible the participation of local businesses in the development of the Skarv and Idun fields in a very satisfactory way. There is obviously an exemplary piece of work that has been done. Building strong operating environments also means that people with petroleum competence are given jobs in relation to already established operating environments. In order to establish new operating environments, it is in any case dependent on employees with petroleum competence — geologists and others. – actually works in connection with the Norwegian Sea. It has been an objective to build strong operational environments in connection with the Norwegian Sea. I have not heard any of the representatives from the government parties, nor the government council, be clear as to whether it is still an objective to build strong operating environments in connection with the Norwegian Sea. If they don't have that goal anymore, it's okay if the population gets it clearly established. We know that there is significant digestion of the petroleum activity both in Mora, in Trøndelag and in North Norway. But this upturn depends on the fact that in these parts of the country you see that you get value creation associated with this business. I was a little surprised, like the representative of Kristiansen, when the representative of Thorkildsen made his statement, because I was on the verge of assuming that SV would vote against the whole thing today, but they do not. With regard to what Thorkildsen said about shadow games, BP has been rarely open, and the dialogue between BP and the ministry has been rarely open. If you had any interest in it, you would have known a good deal of the planned ways to drive Skarv, but also that the BP and the Ministry of Oil and Energy have had an intention to add the majority of the operating organisation to Stavanger. I guess you have for a long time. At least I've known that for a long time. No matter how you turn this around and turn it around, it's the Big Thing that decides. I miss a clarification on the future. I understand that if the representative Thorkildsen and SV get an impact on their petroleum policy, there will be no more operating organisations to place. Then the operating organisations will be located on Soria Moria, where they will create neither values nor jobs.
ParlaMint-NO_2007-12-18.ana.ud731e1542	We have now completed the work on one issue – the resources were found in 1998, i.e. ten years ago – and now we are making the final decision in the Stortinget on the development of the field and on the operating organisation. What made me take the floor was to the extent that the first post to Holten Hemdal from the Christian People's Party. She was aware that there was now a completely new oil policy, and spoke in a way that led me to ask why there was no suggestion to vote against the whole Skarv development. There was a huge argument that nothing should be done about it, because there were so many uncertainties – there was a breach of Norwegian oil policy, etc. I must say that I am amazed that the Progress Party together with the Christian People's Party sets the conditions for the operation of Skarv to be placed north of the 62nd parallel. I follow some of the points of view, but it can't be that if you find smaller fields, whether it's south or north of the 62nd parallel, the whole organisation should move in relation to it. Economics and operation in the fields must also be taken into account. Many new fields — fortunately — will be discovered on the Norwegian pedestal in the future. We need to know how to organize them. That's what's used for Skarv expansion – to those degrees. More than 40 people will be established in the first round – in Brønnøysund, in Sandnessjøen, i.e. in the Helgeland area. They build up teaching activities, etc. That's how we have to move forward. With regard to the new fields, small and smaller ones, we also need to organise them in such a way that people are recruited, that they have stable environments and prospects in the environments that are there. It's obvious to everyone that we can't move large headquarters along the coast because of some kind of representative proposal from someone who comes from the areas from which you feel pressured. You have to see it in a whole. That's why it's so important to have totality when we're going to discuss the oil spill for next year. So finally, I want to say a little bit about -- I'm not hiding it -- a challenge we have, and that's the environmental aspect of the whole thing. I think the government has explained that thoroughly. But when we're going to supply the field with 80 MWh – 700 GWh – where are we going to take it from? No answer has been given. That's the big challenge for us. Here, the Government and the Council of State have joined forces with BP, which is making a great effort here, in order to assess this matter in the future – when we have more energy and more knowledge organized.
ParlaMint-NO_2007-12-18.ana.ud731e1555	It's always a little unfortunate to debate two things in the same case, as we are now in danger of doing here, by discussing both Skarv and Mongstad in one round. I'm going to focus on Mongstad. When we look at the problem that's up here, I think everyone thinks it's unfortunate. There are slightly different variations in how a person should act in relation to it. I think we should stick our finger in the ground and see what is realistic, what is reasonable resource, and then relate to it. So it is better that some people then have to go back on the promises they have made. I can live with that. But when one still looks at the totality of this – we had an interpellation debate in Stortinget a week and a half ago about the involvement of Norwegian industry in the CO2 clean-up projects – one sees, when one considers the list, that former Minister of Oil and Energy, Enoxen, was bomb-proof that the CO2 value chain on the Tjeldbergodden would be realised. It was his comment on NTB when this was the subject of public debate in February/March 2006. Prime Minister Stoltenberg said in the same context that he was reasonably sure that this would also be profitable for the companies to implement without state funding. Now we know that the project is iced up. One knows that Hammerfest Energi has a gas power plant project on Melkøya with CO2 cleaning from Sargas, but they have not received a concession from NVE. One knows that there are plans for coal-fired power plants at Husnes, but the CO2 treatment plant is from Sargas, with an estimated power price of about 30 øre per. kWh – but no signals from the Government. One knows that the government has spent half a billion dollars building two mobile gas power plants in central Norway without CO2 cleaning. One knows that the Government's plan for CO2 cleaning on Kårstø has been postponed for at least three years. One knows there's a postponement going on in Mongstad. I think it's going to be a postponement beyond 2014, but it's going to show time. One knows that Statkraft, a government-run company, is building two gas power plants in Germany without CO2 cleaning being a theme. One knows that there is a debate about Norwegian participation in the development of this, and even if the Government gives the impression that this is done by everyone trying, one also knows that there are some companies that express concern about whether they will reach the deadline, as long as the Government remains firm on it. Then the question is: are we going to run and deal with one project at a time, with postponements and without the possibility to see things in context, see costs in context, see technology development in context, or are we going to get an overall approach to it? I think the last thing should make sense. Then I challenge the Council of State to take the floor more than once in a debate in Stortinget – learn from the Council of State Geske – and answer a challenge about whether the Government will present a big message or an action plan, for that matter, where a sees CO2 policy in relation to the power generation as a whole, to look at all projects again, in order to establish some principles, so that others, like to have a power project, know what general framework conditions are leading, and must not wait until the concession request is sent.
