ParlaMint-NO_2007-01-31.ana.ud49e24	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-01-31.ana.ud49e953	In Hedmark, 27 people died in car accidents in 2006, of the nine on Rv. 3rd@item: inlistbox Twelve people died in car accidents at E6 in Akershus, Hedmark and Uppland in 2006, out of the six at E6 Gardermoen–Colomoen. The meeting openings show an increasing trend. Based on rv. 3 the importance of transport between Oslo and Trondheim must be seen in the context of the priorities for E6 between Oslo and Trondheim, cf. St.meld. No 46 for 1999-2000 National Transport Plan 2002-2011. In St.meld. No 24 for 2003-2004 National transport plan 2006-2015 has been proposed to implement small investment measures, including: rectification of existing rv. 3 between Elverum and Rena in the first four-year period. However, in the 2006-2009 Stable Road Network Action Programme, Stortinget did not find any room for investment on Rv. 3 in Hedmark. In 2006, the State Road Administration of the East Region completed a pilot project on an 11 km long route on Rv. 3 in the municipality of Stor-Elvdal. The project has been mentioned in St.meld. No 46 for 1999-2000, National Transport Plan 2002-2011. The arrangement includes measures on lateral terrain, width extension, driving control, etc. The project is coordinated with coverage on Rv. 3rd@item: inlistbox In the context of the 2007 state budget review, the Committee on Transport and Communications noted the following: ‘The Committee requests that the broad extension project be continued in 2007, as far as possible through savings within the eastern part of the State Road Administration Region, or otherwise on the main road of which Rv 3 is part.’ On the basis of the Committee's comments, I would like to raise this issue with the Directorate of Roads to see if it is possible to continue the wide-ranging project in 2007-2008. When priority is given to the parent road means for Hedmark in the next NTP, it is known to a large extent that the level of response to rv is high. 3 is going to be right over here. I would also stress the importance of the E6 for the accident development in general in Akershus, Hedmark and Oppland. In St.meld. No 24 for 2003-2004, National Transport Plan 2006-2015, it is foreseen that E6 Gardermoen–Colomoen will be converted into four-field road with physical mid-sections during the planning period. This is followed up in the Action Programme for Investment on the Tribal Road Network for the period 2006-2009. I believe this measure is very important for road safety in Hedmark. It was originally thought that there would be a total funding arrangement for the entire route. Due to the lack of plan clearance on parts of the section – Minnesund–Skaberud in particular – the Ministry of Transport has decided to provide a financing plan for the sections on which adequate level clearance has taken place. I think this is an important step, which can allow us to raise traffic security gains for the E6 deployment measure at an earlier date. The Ministry of Transport has now started work on external quality assurance, KS2, of the first part of the project, and I suggest that the Government will be able to make a deposit proposal for the development and financing of E6 Gardermoen–Dal in Akershus and E6 Creatorud–Colomoen in Hedmark during 2007. It is a commitment that it will be linked to the partial toll financing of the entire Gardermoen-Kolomoen project. I also refer to my answers to question No. 13 in Question Time on 15 February 2006 and on Question No 13 9 in Question Time on 1 March 2006 from Per Roar Bredvold on traffic accidents and measures in Hedmark and in particular on the increase in Rv. 3rd@item: inlistbox
ParlaMint-NO_2007-01-31.ana.ud49e977	I thank the Council of State for the answer, which so far was a straightforward guess of what might happen and hopefully will happen. The Council of State also mentioned that the representative of Bredvold had had similar questions before. I can promise the Council of State and the Stortinget that I will continue in my period as a magnificant representative. I'm afraid number 27. 27 killed is 27 too many. In 2005, there were 15 deaths in Hedmark. There is no other state that has such a large number of deaths, and I hope the Council of State takes over that we have to do something to bring down the number of deaths. When you look at rv. 3, it's not just a road for Hedmark, it's a transit route for the whole country. Of course, I exaggerate when I say the whole country, but I choose to do it, for about 90 pst. by the vehicle combinations, the Østerdalen chooses over the Gudbrand valley, because it is shorter and more profitable. Rv. 3 is appointed by Stortinget as a route, but only approx. 6 pst. – I think it was – today holds the tribal norm, i.e. Eight-and-a-half-foot standard. So there's a lot to do here.
ParlaMint-NO_2007-01-31.ana.ud49e988	The government is investing in transport and in the year's budget has a large increase in the transport budget, which also benefits Hedmark. But what we do with the big effort is to meet the national transport plan, which is attached here in Stortinget, and with an action programme that is at the heart of and falls within the national transport plan. In that action programme, the priority of the county of Hedmark has been followed up. In that priority lies the so-called lottery ticket – 2, 4, 6, 16 – and Rv. 3 is not a priority. In spite of this, there is a possibility of finding some means of broadening the width, and I'm -- ever in spite of what's going on in the NTP -- offered to engage in dialogue with the State Roads Agency, and I've done it all, hoping that we'll be able to find some means in addition. But it's a demanding exercise, because then we go beyond what the county has prioritised, and what the Storting has prioritised in its decision.
ParlaMint-NO_2007-01-31.ana.ud49e993	I thank the Council once again for the answer. With regard to the broad extension project, it was me and the Advance Party that, together with the then government, got to 20 million. Extra kr to Hedmark, 20 mill. kr extra to the South-Trundellag, as well as that the Vegvesen came with something. Then we've got 11 km of good road north of Rena. I had hoped that the government could continue to give some millions -- let's say 20-30 million. SEK to Hedmark, 20-30 million. kr to Trøndelag – so that at least something could happen. When nothing happens – unfortunately – it is bad. If, for example, the Council of State reads Hamar Arbeiderblad for 11 January 2007 and sees where people die in Hedmark due to traffic damage, and reads in other newspapers about daily accidents on Rv. 3 – and sometimes people die there – I hope the Council of State will take this on board. 27 killed is, as I said initially, 27 too many. That's why I'm asking this question now, and I'm going to ask it several times.
ParlaMint-NO_2007-01-31.ana.ud49e1006	Governments assume that the death toll is too high both in Hedmark and in the rest of the country. I've been reminded of it by a mark that Safety Traffic had outside the Storting here in the early morning hours, with its clear demands on what we should do to keep the walking and the incubating, i.e. the soft road users in our traffic system. So it's going to work, it's going to be a bet, and we're going to keep doing that, both in Hedmark and in the rest of the country. Unlike previous governments, we haven't just added 20 million. NOK, we've added 2 billion in increments for transportation. This means that there is room for much greater action on both the development and maintenance sides, which means increasing road safety for road users and other road users. So this is what we focus on. Traffic security is point 1 of the Government's policy on travel, and we are working on the vision of zero killed and severely injured in traffic as the guiding vision for our work – also in Hedmark.
ParlaMint-NO_2007-01-31.ana.ud49e1017	I allow myself to ask the Minister for Transport the following questions: ‘The NSB has introduced significant slack in its route construction on the Vestfold Railway. After the last router revision per. On 8 January 2007 travel time Tønsberg–Oslo varies from 1 hour 27 minutes to 1 hour 37 minutes. On the return journey time varies from 1 hour 25 minutes to 1 hour 31 minutes. Passengers are constantly experiencing that the train needs to take breaks in order to hold the scheduled journey time or wait for crossing trains. What can be done to reduce driving time and improve the route layout?’
ParlaMint-NO_2007-01-31.ana.ud49e1026	After the change of route from 8 January 2007, a train to Oslo during the rush period in the morning was given 7 minutes longer running time. The reason for this is that from the same date a new train departure was introduced in the opposite direction from Oslo to Larvik. The new take-off has the same running pattern as the other trains running on the Vestfold track every hour. It was a strong local wish that the new train departure should come to Larvik by 1 p.m. 8:00 a.m. Due to missing access to the track, so-called path, the path time for the arriving trains had to be adjusted somewhat. The infrastructure on the route between Oslo and Drammen is fully exploited, and the crossing possibilities on the route Drammen-Larvik are a limiting factor in increasing train capacity and at the same time a short downtime on the Westfold Railway. In order to improve passenger access to Oslo in the morning, the NSB will, in the context of the forthcoming change of route in June of this year, change the route times so that the running time of the southern trains is slightly longer, while the approaching train towards Oslo will be returned to the train path which was before 8 January of this year. I'm glad we got the morning train to Larvik, for which Vestfold County Municipality and Steinar Gullvåg have fought. Besides, I'm glad that from June this year, the NSB gets to the change of route that a local fan wants. There is also reason to rejoice that we have received a government to raise rail investment by 50 pst, so that we can also increase the capacity of this important route.
ParlaMint-NO_2007-01-31.ana.ud49e1037	I would like to thank the Council of State for a very positive response. I would also like to thank the Council of State for her efforts on the Vestfold track. I find it necessary to stress that it is necessary to keep a constant focus on the driving time on the Vestfold track, because it is now such that the Vestfold track will compete more and more with the car traffic on the route towards Oslo. As the collective field is expanded towards Asker, car traffic and bus traffic will in the future have shorter driving time than today. There is further reason to look at the stop pattern on these routes in order to get a better route than what we have today.
ParlaMint-NO_2007-01-31.ana.ud49e1046	I absolutely share Steinar Gullvåg's considerations on this theme. It is important for the Government to ensure that the train is competitive in relation to car traffic, not least in the traffic and peoplesette area that we are now talking about. The issue we are now discussing is a good example of how difficult and pressing the capacity situation is for the railway infrastructure in the Austland area, and then on the Vestfoldbahna in particular, as we are discussing now. Even a small increase in capacity, as the situation is today, has consequences for runtime. But we all have the same interest here in getting the train moving fast. What is happening now with the increased investments is that we get a new Lysaker station and a new double track between Lysaker and Sandvika while several parcels are planned on the Westfold Railway. So over time now there will be a better offer, as the passengers in the Westfold will definitely notice.
ParlaMint-NO_2007-01-31.ana.ud49e1053	I agree with the Minister for Transport that, in the long term, there are only additional infrastructure investments that could improve the situation on the Westfold Railway. I am also pleased that we are now getting investments on the route between Oslo and Sandvika. I hope that it won't take too much time until we can now also start developing the Vestfold track, as the Minister of Transport suggests.
ParlaMint-NO_2007-01-31.ana.ud49e1058	There is not so much to add to your pious request. And we're going to have a good dialogue about it in time. I would just like to remind you that, in addition to the investments that have been made, a new four-year agreement with the NSB has just been concluded involving an increase in the capacity of the route up to 15 pst. in rushtida. We are very pleased that people also in the short term, from today on and over the next four years, will experience an escalation of both material, departures and capacity that will be positive for both Westfold and the rest of this important, popularized area.
ParlaMint-NO_2007-01-31.ana.ud49e1069	I have the following questions for the Minister for Transport: ‘There are several complaints to be heard by ESA regarding the Norwegian toll-funded transport project. Complaints relate to infringements of EU provisions on tolls, in particular ex ante collection, direct benefit requirements for the payer, as well as possible re-routing possibilities. Several complaints have been notified, including for projects on the way to treatment in the Ministry of Transport and in the United Kingdom. What is the strategy of the Council of State if such complaints are supported by ESA and the EFTA Court?’.»
ParlaMint-NO_2007-01-31.ana.ud49e1078	The Ministry of Transport is notified of a total of six complaints to ESA concerning Norwegian toll schemes. The question is largely related to the relationship between use and payment, but with slightly different angles in the individual cases. I have no reason to believe that the collection in advance, as we practice it in Norway, is problematic in relation to the EEA Agreement, as ESA has never asked us to answer for this. Let me stress that the EFTA Court has so far not tried a single toll case. The Ministry has answered the ESA to all the questions we have received now. The Norwegian authorities believe that the cases where there is a complaint to ESA do not conflict with the current directive. I don't think it's right to go into a hypothetical discussion about the possible strategy if the complainants were to be included.
ParlaMint-NO_2007-01-31.ana.ud49e1085	Thanks for the answer. It is true that few, if any, have complained to ESA before regarding tolls. However, the reason why there are now six complaints, and several have been notified, is that the volume of toll use has increased dramatically in Norway, and in fact especially during this government. It is also true that none of these toll-funded projects have been submitted to a referendum, so that there is a direct channel from the citizens’ initiative used by the complainants. I assume that the Council of State is also open so that the citizens can use that kind of channels. But the question of follow-up is: If the complainants and the residents get the right, will the State contribute more to the projects that are not allowed to use ex ante collection and that are not allowed to claim payment from road users who are not using the project for which they are required to pay?
ParlaMint-NO_2007-01-31.ana.ud49e1090	We are in a process where we answer questions from ESA. If there is a legal case on some of these matters, we know nothing about today. Going into which strategy to choose if ESA will go to trial, and if Norway loses, it will be very much if, if, if, but. I mean, this is not the time to go into that kind of discussion. We have a clear position from Norwegian authorities in these matters. That means that we're running one race, and then, if it turns out to be unattainable, we're going to have a discussion about what the alternative strategies are. I choose to run in one direction and not spend a lot of time and effort on the alternative strategies today, as long as we don't know if there will be anything more than hypothetical questions.
ParlaMint-NO_2007-01-31.ana.ud49e1095	Thank you again for your answer. It's important and useful to listen, and perhaps especially to what you've said before. It is true that the batches that allow and encourage the use of toll financing have also set some reasonable requirements in relation to the use of such a scheme, and the reasonableness requirements are some of the same reasonable requirements that ESA is now examining and that the EU has stated, namely to tighten the guidelines on the principle of usefulness. It said the majority of the Stortinget when NTP was dealt with in 2006-2015, and the majority also said that ‘debt collection should be the main rule’. In practice, however, the follow-up question has not become so: will this government comply more closely with the guidelines that still have government parties to stress should be guidelines, when NTP 2006-2015 was addressed?
ParlaMint-NO_2007-01-31.ana.ud49e1100	As far as I can tell, we have the same practice on this as the previous government had, and that has been incorporated. I have promised Stortinget that we will come back with a review of the toll financing guidelines, and that is what we are going to do, so we will get back to it. Neither the Council of State nor any of the central political apparatus initiates and encourages toll projects, which could give the impression that the representative Blackevik claimed. These projects are both initiated and adopted locally and regionally before they go through the Directorate of Road and into the Department and government for decision, before the Stortinget gets them – if they pass the government. So we have a system that I think is both local democratic defence and in other areas defensive. However, we should discuss the guidelines, and of course Blackevik should also be given the opportunity to take part in a discussion.
ParlaMint-NO_2007-01-31.ana.ud49e1111	I allow myself to ask the following questions to the Minister of Knowledge: ‘The Regional Science Centre for North Norway in Tromsø is an important tool to increase interest and strengthen real-life competence in the region. The central science board has pointed out that new premises for this center are a critical factor for a well - functioning science center. Can the Council of State order that the State aid for the operation of the Northern Norwegian Science Centre be made dependent on new buildings, and does the Council of State see any possibility that the State may participate in a split layer at the newly built centre now needed?’
ParlaMint-NO_2007-01-31.ana.ud49e1120	Let me first say that the government is betting significantly on the testimonies. This is an important measure in the Government’s strategy for strengthening the real subjects. Knowledge centres target children and young people in particular and address natural and technological issues related to everyday life. Some centres also offer courses for teachers. The focus on science centres should therefore contribute to raising the real-time competence of schools, especially and in society in general, and not least to increasing interest in science and technology, which is a very important part of the functioning of science centres. The government has increased the investment in the White Centres and increased the investment in my Ministry's budget by a total of 6 million. kr for the current year, to 16 mill. kr, so it is a significant bet. This will be used both to strengthen the six regional knowledge centres and not least to help start a new knowledge centre in the border region. The White Centres also receive activity support through the cultural school bag. The professional part of the efforts at the science centres takes place through a separate science board of the Norwegian Research Council. They assess the operation of each centre and provide advice on what the centres should focus on in their development work. Nordnorsk Wittenzentrum in Tromsø has been advised that new premises will be central to its development. I would like to stress that this is a advice from the Swedish Science Council and in no way related to state support for operations. I can therefore cancel the cut in state aid because of the lack of new buildings, in view of the questions raised by the representative of Aspaker. The second part of the question from the representative Aspaker is about support for a new building. State resources shall be used to operate the knowledge centres on the basis of assumptions. There are currently many major and heavy challenges within the Ministry of Knowledge’s remit. I therefore see no possibility of providing support for new buildings for the Nordnorsk White Centre in Tromsø.
ParlaMint-NO_2007-01-31.ana.ud49e1133	I would like to thank the Council of State for the answer. I was present on December 1st when the government presented its northern strategy in Tromsø. It was then said that knowledge should be naveled in the Northern Region Strategy. Nor do I think there is any doubt that the real subjects are of particular importance if we are to realise the possibilities in the northern regions. We need more real science, and we need more researchers to push further technology development to the benefit of the environment, but also for the settlement in North Norway. I don't think there's any doubt that the science centres are feeding many small research sprouts, because it undoubtedly raises the interest in real science. I also see that the number of visits at the science centres in general and for North Norway has also increased sharply the short time that the science centres have been in operation. My question to the Council of State is then: is the Council of State willing to consider a specific strengthening of the scientific centre in North Norway for operation, and I challenge once again on construction, all the time it has been said that knowledge should be naveled in the North Region Strategy, and that the real subjects there should have a very special attention?
ParlaMint-NO_2007-01-31.ana.ud49e1142	I am pleased that the representative has read the Northern Territory Strategy of the Government. It is absolutely right that knowledge is nave, and our focus on knowledge is also significant in North Norway and will be significant in the budgets ahead. The White Centres are especially in my heart, and therefore we have had a significant investment – from just 10 million. kr under the previous government and up to 16 mill. kr in my budget for 2007. The reason for this is that I believe that the science centres are contributing positively to strengthening the interest in technology, science and real science. Being able to walk a Sunday morning at a Witness centre with their kids is, among other things, a very fun way to get this with technology and science into it. We want to strengthen the science centres further forward, because the science centres are an important part of our government's commitment to real science and science. But I can't promise money for a new building. Construction is beyond what we have finances, and not least beyond what may be the main priority of knowledge development in the north. I'm well aware that among all our universities and colleges, including in North Norway, there are many who would like to have new buildings, and they're in line, before a new science center.
ParlaMint-NO_2007-01-31.ana.ud49e1151	I would like to thank the Council of State for the answer, but I had actually believed that the Council of State would now seize the opportunity to help concretely formulate one action in the context of the Northern Region Strategy. If there's something that characterizes it, there's a lot of words, general expressions and little concrete action. I would again challenge the Council of State to say how he thinks that the Northern Norse Centre can play an important role in stimulating and motivating students and teachers, in a part of the country that may have particularly great distance challenges and geography to contend with, since it is to cover the centre from Namdalen to Kirkenes. I would say that it has some special operational challenges in order to do the job for its region. I ask again: is there no possibility, doesn't the Council of State see that this could be one concrete measure for the North Region Strategy to materialise in something concrete?
ParlaMint-NO_2007-01-31.ana.ud49e1156	I was present when we presented the Northern Region Strategy in Tromsø. It was an extraordinary journey of joy. The reception we received in North Norway certainly did not suggest that the measures we have proposed here were seen as little concrete. On the contrary, the continent was very satisfied with what we presented, and we want to come back in the annual budgets in the future, of course, with many measures. The White Centre in Tromsø plays an important role today – let me underline it – and do a very important job. The knowledge centres we have around Norway do a very important job to strengthen the real science and technology interest among children. If it is that the science centre in Tromsø is facing very special challenges that I don't know about, I encourage them to send me a little letter about it and an application with a special reason why – whether it's a distance problem or other situation – special measures are needed, so we can look at it. I will only accept such an application and evaluate it; here and now I cannot process an application.
ParlaMint-NO_2007-01-31.ana.ud49e1167	I allow myself to ask the following questions to the Minister of Knowledge: ‘The Forces Association has channelled between 100 million and 120 million in the last years. kr annually for cancer research. The association notes that they will not be able to maintain such a high level of support for research in the future. The position of the Cancer Association as a dominant actor and a premiscuous supplier makes voluntary efforts crucial to the activity in this field. What are the thoughts of the Council of State as responsible minister for research into the division of responsibilities and future financing of efforts in such an important field of research?’
ParlaMint-NO_2007-01-31.ana.ud49e1176	The fight against cancer is an issue that affects everyone. It is estimated that one in three Nordics is somehow affected by cancer. This is a very high number. Through the National Cancer Strategy to work until 2009, the Government shows that we want to meet the future cancer challenges in an offensive and holistic way through diagnostics, treatment and research. Health is a priority area of research policy, and public funding has increased significantly in recent years, particularly through regional health enterprises. There is considerable research on cancer funded by the Norwegian Research Councils and Regional Health Enterprises and on the regular budgets of the university and higher education sectors. We have research environments of high international quality, for example. Centre for Cancer Biomedicine at the Rikshospitalet – Radium Hospital and the University of Oslo. They have recently been awarded the status of a centre of excellence and will receive approx. 115 million. kr over a 10-year period. Contributions to research by foundations and organisations are also very valuable. For this reason, the Government of the State budget for 2007 proposed opening up contributions from non-governmental organisations to the gift-enhancing scheme. This implies a public contribution of 25 pst. of the amount of the gift of grants for research of more than 5 million. kr. The cancer association's contribution to cancer research is commendable. At the same time, several organisations, including the Cancer Association, have based a large proportion of their revenues on income from slot machines. On 17 June 2003, the Storting decided to wind up the operation of the slot machines and to grant Norwegian Typing exclusive rights to automatic operation. The aim was to reduce the social adverse effects of gambling addiction. The decision of the Trustee assumes that the voluntary organisations that received the income from vending machines will be secured with income of 2001 levels when the automatic operation is terminated. They will receive an annual share of the profits of Norsk Tipping. This does not fully compensate for the loss of income, as there has been an exceptional growth in automatic revenues since 2001 due to delays in the implementation of the Decision. There is a need for a better knowledge base on how medical and health research is funded and organised. The Norwegian Research Council has just started work on developing a policy for medical and health research for the next five years. The work will address the entire field of research, including: look at funding, coordination and work sharing in the research system. When the Research Council's document is available in June, we will also discuss overall priorities and the roles of the various actors. Future funding for cancer research will be part of such discussions and will also be a return to the Government in the annual budgets. But again, we are pleased with the great effort the Cancer Association has made in cancer research over the years, and hope that they will continue to make substantial contributions to research into our greatest public disease in the future.
ParlaMint-NO_2007-01-31.ana.ud49e1197	I thank you for your answer. I am very pleased that a policy is being developed in this area, because I have, in many ways, invited the Council of State to some fundamental considerations about this. There are many sources of funding for cancer research, but the Cancer Association itself – and I think that is right – claims to be responsible for 60-70 pst. the financing in this area. I also think you'll very much appreciate the signals around this with gift enhancement. The question of vending machines I think we should leave now, because it's probably under another government council, and it wasn't my point to focus on vending machines. But I think the fundamental considerations about how important a volunteer organisation should be in this field, and how to look at the selection of areas of engagement and such things, are quite important, and I could imagine hearing a little about how the Council of State looks at just the division of responsibilities that is now there.
ParlaMint-NO_2007-01-31.ana.ud49e1206	Let me first just stress that this with tipping agents of course is not part of my portfolio. But at the same time, that's why the Cancer Association sees that they want less income in the future, and therefore spend less money on cancer research. There is a result of the change in the machines, which is then below the Minister of Culture. The funding of medical research and cancer research currently has many different sources. Cancer association is one of them – non-governmental organisations are one of them. But the Research Council, universities and colleges, the business community and not least the institutes and, perhaps most importantly, the hospitals are part of this. This means that coordinating a field as diverse and comprehensive as a disease as cancer is is very demanding. Therefore, the work undertaken by the Research Council will provide us with better indications as to whether the resources can be used better – if we can do this in a different, better and more accurate way than we do today. That means I am attending this document from the Research Council with great interest, and it will probably also be interested here in Stortinget.
ParlaMint-NO_2007-01-31.ana.ud49e1213	I thank you again for the answer, because I had basically intended to encourage the Council of State to start such a review. Then I realize it's already going on. I think there might be a lot of synergy to gain by getting a total overview of the area. It can also prevent duplication of work in different fields, and it will also focus on getting the right priority between the different areas of this type of research. We certainly come back to this with machines in other contexts – the extent to which the source of income is lost for the Cancer Association. They have done a brilliant job, as the Council of State says, and it is important not to lose focus in this area. The question is whether the policy document that the Research Council will then arrive at will also be submitted to Stortinget, so that we can look at it.
ParlaMint-NO_2007-01-31.ana.ud49e1222	This policy document will, of course, be public and accessible for public debate, but it will have to be addressed by us, not least in cooperation with the Minister of Health and Welfare and perhaps other ministers too, in order to have this coordinating effect, which is the whole purpose of this. Then we have to always consider how this comes back to Stortinget. That this will be a document which the representative Gundersen will also have the opportunity to see and have a point of view in the public debate is quite obvious, and then we have to have the opportunity to see in what form we are coming back. But I feel pretty sure that if we don't get to Stortinget with it, Stortinget will somehow want to get it.
ParlaMint-NO_2007-01-31.ana.ud49e1229	So we go back to question 1. This question, from the representative Svein Flätten to the Minister of Finance, has been transferred to the Minister of Labour and the Minister of Inclusion who is directing him.
ParlaMint-NO_2007-01-31.ana.ud49e1239	I then have a question for the Minister of Labour and Inclusion: ‘The introduction of a differentiated employer’s fee, now with the exception of the cities of Tromsø and Bodø, has resulted in a total increase of 2 million in the fees of the management companies Tromsprodukt AS in Tromsø and Bodø Industri AS in Bodø. kr per. years. This is very serious for enterprises with small margins which pursue reintroduction and vocational qualification for a total of 600 persons. What will the Council of State do to ensure that the changed situation does not compromise the provision of assistance to disabled persons with a high need for assistance?’
ParlaMint-NO_2007-01-31.ana.ud49e1248	First of all, let me say that the Government considers it an important task for workers with high and complex assistance needs to be guaranteed appropriate measures involving more organised and comprehensive follow-up and training. Attractors are a suitable offer in this way. With regard to the two recruitment companies in Bodø and Tromsø, they – as the questioner says – have received a slightly higher employer tax rate in 2007 compared to the rates previously applicable. The higher rate in relation to the rest of the country is based on the fact that Tromsø and Bodø have had a high population growth in the last ten years, which in itself is positive. The management companies as well as other enterprises should initially relate to the general framework conditions laid down for business. This also applies to such an important framework condition as the rates for the employer’s contribution. However, I understand that during a transitional period there may be a need to compensate the companies in Tromsø and Bodø for the introduction of this fee conversion, in order to ensure the best possible offer to the disabled. I have therefore, in letters to the Labour and Welfare Directorate of today, asked them to provide compensation for a transitional period of one year.
ParlaMint-NO_2007-01-31.ana.ud49e1257	Thank you for a positive answer. This means that the Ministry will follow up the support provided by the Ministry of Labour and Inclusion on previous occasions, i.e. in the pre-re-introduction period. I think it's positive, because although I agree with the Council of State that we should follow the general framework conditions for businesses, this is special, and it's very special in the situation we're now in, with a great need for labour and a great need to bring people back to work. We have a force outside of work that's too big. So this is very positive. I have another question for the Council of State – he may be allowed to comment on this first, and then I can take it in the next round.
ParlaMint-NO_2007-01-31.ana.ud49e1264	What is important for me in principle to emphasise is: it is undeniable that the management companies carry out important tasks on behalf of society, and therefore they receive financial support to carry out those tasks. In addition, however, they are also enterprises that live within the living rules of each holding and they must be operated financially well in order to be able to move on. We have no tradition in Norway to correct for different framework conditions vis-à-vis management companies, such as: For example, in the eastern part of the European Union, there has been an increase in the number of jobseekers in the eastern part of the EU. a recruitment company in my own home district, Namdalen, which has a different employer’s fee rate. I don't think we can permanently correct for that, but I agree with the questioner that when the transition comes, there may be reason to give companies some time to adapt. The questioner has now contributed to this, by instructing me to the Employment and Welfare Act.
ParlaMint-NO_2007-01-31.ana.ud49e1271	We agree that the economic framework conditions should be the same. I also think we agree that this is a special situation. I just want to say in the end that I hope that the Minister of Labour and the Minister of Inclusion can contribute to the following: When companies address enquiries that are so far to the wrong address, in this case to the Ministry of Finance, which my question originally went to, which was also the wrong address, it would be okay that the people who addressed themselves – and then I don't think of the undersigned, but of the director of this association, who has met with the department – should not have to go the way about Stortinget's Question Time to be informed that you have turned to the wrong place. That's what I think the Council of State should take along, and maybe change the exact procedures.
ParlaMint-NO_2007-01-31.ana.ud49e1278	I notice that and take it with me.
ParlaMint-NO_2007-01-31.ana.ud49e1283	Then we go to question 12.
ParlaMint-NO_2007-01-31.ana.ud49e1290	I allow myself to ask the Minister for Employment and Inclusion the following questions: ‘Oil companies retain information on the chemical exposure to which employees have been exposed. This makes it difficult for former oil workers to be accepted for occupational harm and weakens preventive HMS work. The daily newspaper has documented that Statoil has long ensured that 8 out of 25 employees in a turbine department experienced symptoms of MS or MS, and that ConocoPhillips withheld poison information. In the past, state councils have undertaken a review to detect chemical exposure. Has the Council of State now changed its view?’
ParlaMint-NO_2007-01-31.ana.ud49e1299	I am well aware of this matter and take it very seriously. That is why I have launched several projects to better elucidate the issues and to assist former oil workers who believe that they are injured as a result of previous chemical exposure. First of all, it is now implementing a project to identify what we know about chemical substances that oil workers have become and become exposed to, what we lack knowledge, and what we need to get more knowledge about. This work is well under way and is carried out in cooperation between the Petroleum Inspectorate, the employers’ side and the employees’ organisations in the petroleum industry. The project shall be completed on 1 June of this year. In addition, the Ministry has granted funds to the Kreftregister for the continuation of an ongoing study on cancer risk and cause-specific mortality among Norwegian offshore employees. The purpose of the study is to assess cancer risks in relation to the working environment, adjusted for lifestyle factors. It is hoped that these measures will contribute to increased knowledge of the state of the work environment and the state of the Norwegian economy. In that case, it will benefit from established social security schemes and ensure that any injured professional oil workers receive the follow-up they require. Furthermore, in the context of the treatment of the HMS notification, the Committee pointed out that it is important to obtain concrete follow-up from medical expertise to those groups that fear the consequences of past exposure to chemicals. We've implemented this. Oil workers can contact their permanent staff, who forward them to an occupational health department for assessment. This shall give oil workers the assistance they need, including in the case of claims for professional damages. The Petroleum Authority has ongoing contact with the companies and has assessed the claims to which the applicant also refers regarding the retention of toxic information. The Authority does not find any basis for these claims but refers to the fact that companies provide high-quality information to the professional medical departments that are to investigate patients and that they make a significant effort to ensure that the information is presented as accurately as possible. This has also been confirmed by the vocational medical departments. I therefore have full confidence in the assessment of the Petroleum Authority. In the light of the wide-ranging measures in this area, to which all the actors concerned have agreed and agreed, and that nothing significant has come new in this matter since St.meld. No 12 for 2005-2006 was presented and addressed, I do not consider it appropriate to take further action, for example: a separate examination of this case, at this stage.
ParlaMint-NO_2007-01-31.ana.ud49e1316	I thank you for your answer. As early as 1997, the Oil Directorate received information from a sick oilworker about Statoil’s behaviour in the MS case. At this point, the Oil Directorate was responsible for the working environment on the base. Despite the fact that the information provided could easily have been examined, the Directorate chose to base the Statoil's statement on the matter. They did not carry out their own studies. They dropped the case without even obtaining the documentation offered by the ill oil worker. How does the Council of State assess such a procedure, and to what extent does it consider that this should have implications for the supervisory authorities?
ParlaMint-NO_2007-01-31.ana.ud49e1325	I think it's important now to answer in principle. And I have to say I might be a little surprised at the questioner's own critical approach to the information she's based on. But it's got to be the questioner's challenge, not mine. My starting point is that as the State Council, I have my own oversight in this area, the Petroleum Authority, which, in my opinion, takes on the biggest serious work environment in the sector, both what is today and what has been. So we've, in consultation with Stortinget, laid a loop for how to map the situation, and what to do with it once we've mapped it. I have great confidence in that process, and I have great confidence in the way the Petroleum Authority works. That is the basis for me to believe that we are now on a track where we will only be derailed by a possible new track.
ParlaMint-NO_2007-01-31.ana.ud49e1332	To the Council of State's question of being uncritical, I have to say that I think it is important to see two sides of the same matter. My last supplementary question is that we know that many former oil workers today are struggling with various work-related diseases and plagues. We have to recognise that we did not use sufficient protective equipment in the past and that there was harmful health chemical exposure. The Christian People's Party early called for the development of procedures and systems to ensure that this group, which undoubtedly has specific challenges, receives good follow-up at the NAV offices. I noticed in the first response of the Council of State that he mentioned that you could use the district attorney. My question is whether the Council of State agrees that we need quality assurance procedures to protect this vulnerable group.
ParlaMint-NO_2007-01-31.ana.ud49e1339	Yes, I think it's right to have that angle of incidence. And I think that's exactly what we've been concerned about, by focusing in particular on the situation of people who were in the pioneer period and far beyond the 1970s and 1980s in the oil industry, so that the occupational health departments in all regions are aware of the situation they might be in. That is why we have established procedures for that. So that's exactly the exposure that the query is now expressing, which has been leading the routines that are established. Our experience is that when the occupational health services contact the companies to gain insight into what the patient has been exposed to, they get insight into it. So there's no attempt to keep secret. The occupational health departments themselves say that it is.
