ParlaMint-NO_2007-03-06.ana.ud392e79	The representative, Lena Jensen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2007-03-06.ana.ud392e1752	I want to start by commending the proposers because they help put the spotlight on a group of people who are both vulnerable and vulnerable. FO, the Joint Organisation for Child Protection Educators, Sosionomers and Protective Caregivers, says in a new congress opinion that 15 years after the reform of responsibility, there is reason to be concerned about the quality of the services of this group. They are particularly concerned that many people with developmental disabilities live in inaction and solitude, and they claim that many have lost or changed their daily supply due to savings in municipalities. Under the previous government, the municipalities were the big losers. We've turned this around. But that doesn't automatically mean that exactly this group will get the offer they're going to have. That is why we need to do a job on the part of Stortinget, and the Council of State needs to do what she can to shed light on the situation of people with developmental disabilities. As an overall committee points out, there are several instruments that can help people with mental retardation to obtain a good service, including: individual plan and groups of responsibilities. Development of competences, cross-institutional cooperation, good internal control, documentation and reporting procedures and supervision of municipalities could ensure both the scope and quality of well-being. With regard to the specific proposal to set up a separate representative for mental retardation, we have assessed that it makes more sense to place this responsibility under the extended patient ombudsman scheme, which the Government will propose in the near future. We will ask the Ministry in its work on this expansion to pay particular attention to groups of people who are unable to express their own service needs. We also want the Government to evaluate the expanded patient ombudsman scheme after three years and report back to the Stortinget. However, we do not support a proposal where the ombudsman system has sanctions, and we do not want our own representatives based on diagnosis or condition. The new agents must assist everyone in caring for their health and care interests, regardless of the reasons for the need for assistance. However, it is important that the ombudsmen work actively to assist those who do not have the resources to contact the ombudsman, among others. individuals with mental retardation and their families. Then the county and the health department in the county, by virtue of being a supervisory body, have the opportunity to oblige the municipalities to rectify matters that are in breach of the law and to amend individual decisions. We have a responsibility ahead of us all, all the parties, to make the new representatives work well for this group as well. I think the committee is going to be active in elucidating the conditions for people with mental retardation, who need this in particular.
ParlaMint-NO_2007-03-06.ana.ud392e1771	Every year, the State Health Authority selects some specific areas to be monitored in particular, because it is of great importance for the legal certainty of individuals, where the likelihood of failure is high, where the consequences for the failure of users and patients are serious, or where users cannot be expected to attend to their own interests. In both 2005 and 2006, government health surveillance focused on the use of coercion and power against people with mental retardation. Reports of these inspections show that services for people with mental retardation are not good enough. There is a care failure and a crime. In 2006, as we heard yesterday, several municipalities did not provide services at a proper level. The supervision was particularly targeted at municipalities that had not taken decisions and/or sent notices of the use of coercion and power against mentally retarded persons. The use of coercion and power was found against several users without the municipality having taken a decision on the use of coercion and power. In some cases, alternative measures had not been tried before a used measure involving just the use of coercion and power. Furthermore, despite decisions on contact with aid, it was found that the decision was not implemented. If a user got an increase in his offer, others were reduced without it being considered that he needed less help. Adequate training was not ensured for all those who would work with people with mental retardation. Among other things, there was a lack of knowledge about when coercion is allowed, and they lacked guidance on how to help the individual user. Furthermore, we know, and we have heard that before, that related complaints to the county council, and that the county council obliges the municipalities to clean up without anything happening, because, as the representative Nesvik was inside, the county council has no sanctioning options. Fifteen years after the closure of mental retardation institutions, there is a need to raise awareness of legal certainty and living conditions. A broad and thorough review of all aspects of life is needed for those with developmental disabilities. What is the quality of the services provided when we know that half of those who work with mentally retarded people are actually unskilled? The Christian People's Party wants to improve the quality of the services with more skilled people, and we want to see greater multidisciplinaryism in the municipalities, among others. with several protective caregivers. We have been in doubt about where we should end up in relation to this proposal by the Progress Party, but we have come to the conclusion that we want to support the proposal. The reports of the State Health Inspectorate show that, despite supervision for several years, insufficient efforts have been made to ensure adequate services. That is also why we support the proposal to set up an ombudsman. Before we were to decide on this, the Christian People's Party and I would primarily have wanted a review of the legal security and living conditions of the mentally retarded to find out which ombudsman system should be set up for people with a mental retardation, because we have more representatives today. Some actually have sanctions and others don't. So there are variations in the sanctioning options you have, and when we have a situation where the county doesn't have the opportunity to do this, I'm deeply concerned. We don't get this kind of mapping, which also the representative Inga Marte Thorkildsen says she would want. She says that we have to illuminate the situation more strongly. That's what the state council said no. Therefore, when this does not come, I feel strongly that the only thing right now is immediately ensuring this group of sound services through its own representative. It is important that there is a body that focuses in particular on safeguarding their rights. We know that many relatives are very tired after fighting for their children to be safe and sound. For them too, there will be an extra security right now with a separate agent fighting for valuable services. I would like to refer to the resoundingly fresh supervisory report of the State Health Authority.
ParlaMint-NO_2007-03-06.ana.ud392e1794	The left will point out, on a principle basis, that there must be no inflation in the creation of government mandates. Taking into account the different interests of society and individuals is a fundamental political issue and not least a political responsibility. We believe that politicians should be the people and individuals of their lives, and they must take this responsibility, especially for people who need to watch their communities more than most, and administrations must have responsibility and duty to follow up their policies. We in the Left believe that it is not necessarily an advantage to red tape or to regulate the role of red tape. Rather, it can help to deceive both political and administrative responsibility for all people and the division of roles between public and civil society. Psychiatric retardation is not a single group either, and it is not certain that everyone will think that their interests are placed with a state-sponsored figure. State intervention cannot or should not replace policy. Without a principal and restrictive attitude, an unlimited number of traffickers between civil society and the state may be at risk in an unspeakable and unlucky way, in our opinion. We can simply risk that the Umboda will be a sleep cushion for the politicians, and that we – the politicians – will be able to shift responsibility to others, that is, from ourselves, who must have absolute responsibility. The left is concerned that mental retardation should be given a stronger and more dignified position in society. However, we do not believe that an own order is the right way to go. Finally, I would like to refer to the questions raised by the Norwegian Association for the Developmentally Impaired of 7 December 2006, and I agree with the fact that mental retardation is to be treated as equivalent citizens and given the rights conferred by Norwegian law and political decisions, and of course this includes the possibility of complaining to the county councillor, the Civilombudsman with more.
ParlaMint-NO_2007-03-06.ana.ud392e1813	I would like to make it as clear as I can, stress that it is totally unacceptable when the service offered to people with developmental disabilities fails, and when legal certainty is not ensured. Ombudsman arrangements may be one of several important measures to address such failures. I am therefore pleased that the Storting is concerned about the issue of representativeship. As is well known, in 1987 the Stortinget decided to abolish the special health protection for the mentally retarded. We all know that the liquidation meant that services for people with mental retardation should be provided by the ordinary auxiliary and that services and measures should be provided in relation to the local environment. Localisation was seen as an important prerequisite for people with a developmental disability to be seen as full members of society, and for them to see themselves as full-fledged members of society, which they are of course. We stand by these principles. The majority of the Committee is committed to ensuring that people with disabilities are given a strengthened and worthy position in society but do not believe that their own representative is the way to go. I agree. However, I believe it is very important to put in place ombudsman arrangements covering the health and care services in the municipalities, as several speakers have pointed out. In the care message presented in the autumn, the government has announced, as you know, that our work on expanding the patient ombudsman scheme, which currently only applies in the specialist health service, will soon be implemented. We will ensure that the ombudsman system also covers users of municipal health and care services. I have also previously explained this in a letter to the Christian People's Party big group. An extended patient ombudsman system will also be responsible for people with developmental disabilities. This shall apply to both healthcare and practical assistance in municipalities. The extended patient ombudsman system should be broadly embraced. It shall include health services where developmental as well as other residents of the municipality are included as patients, but the ombudsman scheme shall also include users of social services such as: relief, home help, user-driven personal assistance and care pay. In this context, we all know that we are not talking about patients. If the Stortinge joins this proposal, I will first send out a consultation note recommending that the patient ombudsman scheme be extended to the municipal health service and the social services section of the Social Services Act. In this case, I would like to emphasise that the ombudsmen should pay particular attention to groups that are unable to express their own service needs. This applies, for example: some people with developmental disabilities. I would also like to stress that it is not enough in itself to extend the ombudsman regime. Of course, the best thing is that users and patients do not need to go to the Ombudsman with a case. By doing so, I believe that we should put great emphasis on – and that is the most important thing – developing both the scale and quality of the services in the municipalities. We have also described this in the care message. In the national health plan, we have set the framework for further work on developing a good service. The Directorate for Social Affairs and Health will soon produce a report summarising knowledge about the provision of services, legal certainty and the living conditions of people with developmental disabilities. I look forward to receiving this report. I expect that it will be useful for the government's work in a number of areas. We would like to use the results of the report in the further process of expanding the patient ombudsman system. Of course, we will also use it in the government's follow-up to the study on defence, which came in 2004. It's a job led by the Minister of Justice. In the autumn, the State Council for the Disabled will organise a hearing in which we will discuss the report of the Social and Health Directorate. I would also like to focus on following up the supervisory report that has recently come from the State Health Authority. I feel that we all have a common goal of ensuring good and safe health and care services for people with a mental retardation and of strengthening their position in our society. I believe that the most important thing is to strengthen what we offer, but that the best solution for an ombudsman system is to extend the patient ombudsman system. In that case, we will have an ombudsman system that includes the health and care services in the municipalities and covers all the inhabitants. I would, as I said, like to stress that the new ombudsman system pays particular attention to groups that sail might not always be able to express their needs.
ParlaMint-NO_2007-03-06.ana.ud392e1832	It's going to be line change.
ParlaMint-NO_2007-03-06.ana.ud392e1835	I do not doubt the intention of the Council of State and the desire to make everyday life the best possible. That's not what this case is about, because I'm convinced that the Council of State is thinking about this every single day. The issue is how best to ensure that this group also receives the help it needs. The majority are concerned that this group should be included in the extension of the current patient ombudsman scheme. Then my questions to the Council of State are: How wide has it been thought that the scheme should be embraced? What is the size of the scheme in relation to resources and the number of annual works? How many municipalities should this apply? Should there be a system in each municipality? Should there be cooperation between several municipalities? What level are we talking about? In this context, the need to extend the current patient ombudsman system to the health and care services in municipalities is being defended. Then we have to know to what extent this will be, and when we can expect the scheme to be in place.
ParlaMint-NO_2007-03-06.ana.ud392e1842	If the Storting joins the proposal, the Government proposes that the scheme should cover all users of municipal health and social services — both patients and, as I said, this group and a number of other groups on the issue of practical assistance. How this is to be organised in the municipalities, whether there is going to be a scheme in each municipality, or whether any of the smallest municipalities should have a common, I will not be completely bastful of it, but the government's wish is to make sure that it embraces wider than today. If the Storting joins in this through the treatment of the care notification, as I know The Storting is in the final phase of, the Government intends to send this to the hearing as soon as possible to hear what people think about this before we promote a final proposal. But we should not delay that process.
ParlaMint-NO_2007-03-06.ana.ud392e1849	I want to refer again to the recent supervisory report that we heard about in the media yesterday. I think it shows a very negative development, and that we really should have taken a take-off immediately. Once again, I am very sorry that the government will not carry out a screening, where one had really looked at legal certainty, among other things. for mentally impaired persons. My question to the Council of State is subject to sanctions. We know that many municipalities make decisions that may be incomplete. We hear that many municipalities do not make decisions at all. In fact, many people with mental retardation have received support in their complaints via the county. Now that we are moving towards getting an ombudsman for everyone, is my question: can the Council of State consider a sanctioning option for the new ombudsman in relation to some mental retardation measures, possibly extending its sanctioning powers to this group in some cases?
ParlaMint-NO_2007-03-06.ana.ud392e1856	I take the Health Inspectorate report very seriously. That means that I fully agree with both the representative Davøy and others who have pointed out that we can read about some unacceptable things in that report. There's no doubt about it. That's what I'm trying to do. Now, when we get the report, we're going to go through it in a proper way and propose how we're going to follow it up, to try to prevent this from happening so much in the future. I would also like to inform the Storting that this year the enforcement of mental retardation under the Social Services Act will be evaluated. There is one response to what the supervisory report also reveals. The fact that we are also open to evaluating the ombudsman system after a while is another answer. I don't want to be over the table here in the Chamber to respond specifically to what the representative is dealing with in terms of penalties, but I am determined that we need to do what we can to improve the situation. We are now sending our proposal to extend the patient ombudsman system to the hearing, and then we'll hear what input is coming, before the government finally concludes. But I hear what's being said.
ParlaMint-NO_2007-03-06.ana.ud392e1863	As I was in my post, we are positive that the role of patient representatives is extended to municipal health and care services. I had a small question about evaluation in my post. When this system comes into place, I think it's very important for us who have been in doubt about what scheme to put on, that it will be a thorough evaluation of the new system. I'd like to ask the Council to comment on that.
ParlaMint-NO_2007-03-06.ana.ud392e1870	I can confirm that I have nothing against evaluating this scheme. Rather, on the contrary: I think it's very right to do it after a certain time – preferably three years, if it's wanted from Stortinget. Because we always have to make sure that the things we do actually work.
ParlaMint-NO_2007-03-06.ana.ud392e1875	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-03-06.ana.ud392e1880	It is not often the Stortinge gets the opportunity to discuss the issues of mental retardation. Like the representative of Thorkildsen, I think it's very good that we get it on the political agenda in between, and it might be relevant to discuss ombudsmen. I hope we have several opportunities to discuss care for mentally retarded people in the future. I think there is reason to remind each other that mental retardation is not a uniform group, but a very complex group of children, with young people, with adults and with some old ones, with complex needs and various disorders, such as us without mental retardation. Of course, infringements of the legal provisions of the social services law, including those with mental retardation, are totally unacceptable. But I have no faith that it is an ombudsman who decides whether the mentally retarded person will get a good and worthy offer. It is very much about respect and the willingness to follow up the good intentions that were once put in the care reform, when the special care was terminated. Then it's very important, and perhaps quite crucial, that we have a good municipal economy, in order to give mentally retarded people the good life out in the municipality they live in. Not everyone has. There are quite considerable inequalities in municipalities, and it is also a major issue of political priorities. I'm afraid of stigmatisation, I'm afraid of visualization more than inclusion. That was not what was in the reform that we were to do, that was not what was in Stortinget's intentions when the reform was adopted. That's why, at least, I'm very concerned that mental retarders have to be referred to the patient's representative, like other patients, because, as many people have been involved, they're affected by the same somatic disorders as the rest of us. I feel very confident that the Council of State will now follow that development closely, and I am quite satisfied with what the Council of State has expressed in this matter.
ParlaMint-NO_2007-03-06.ana.ud392e1891	I think we have to take some history with us in relation to why we are actually discussing this matter in Stortinget today. The whole reason we have a debate on that is that we have had a service offer that has clearly failed. Why are we discussing an ombudsman arrangement today? Well, it's just because of a service offer that hasn't kept a target, and it's been a run-up among the relatives of the mentally retarded, who's demanded a better everyday life. That's after all the weakest things we're talking about in this case. Of course, it is not that an ombudsman scheme alone will address all problems related to mental retardation. Everyone knows that's not the case, but we also know that this could have helped a step or two along the way. I don't think it makes sense to use individual plans as an excuse for today's system, when you know that in the years that individual plans have been passed as law, this has almost not worked in a single municipality. When you choose a course further where no one should have sanctions when there is clearly a breach of the service offer, you are sitting with a tool that you cannot use. When it comes to the fact that an ombudsman arrangement can become a sleep cushion for politicians, I would rather say the opposite: it is today's system that has become a sleep cushion, for today's system does not work. If today's system had worked, we wouldn't have had this discussion.
ParlaMint-NO_2007-03-06.ana.ud392e1901	This proposal is based on strong concern and a desire from relatives to people with mental retardation. It's a family that sees every day how services fail. They're worried. They're worried on behalf of their children. Many of these children have strong relatives who have followed them throughout their lives and who want to follow them even to the end of their lives. But it's not all the relatives who will make it because of their own health. They're particularly worried, they're worried about who's going to take care of these kids on the day they don't even make it anymore. Today's system is not working. There are representatives in the municipalities, representatives who each year submit reports to the local authorities with a lot of concerns messages, with individual cases that are not addressed. The following year, a new year's report is coming, and many of the same things are going on again. There's nothing happening. The local government has looked at it, took it for information, and finished it! This is also the case with an ombudsman system that does not have sanctions; it becomes an agent that has a lot to do, but has no ability to correct the errors. When you talk about politics and elected people's decisions, it's going to count strongly in a case like this, yes, I'm going to be completely exhausted, simply. They say you can pick someone else in four years. What kind of attitude is it to such serious problems? We must take seriously that we have had a reform that leads to many now living in their own homes and not getting what they need in everyday life – it's care, it's help to live an aged life and not just exist, and it's being cared for as a human being. They need help, and they need someone to see when they don't get the help they need. We need an agent who can be more out-of-office, an agent who can see when something is wrong, an agent who can handle it and order the municipalities to do something about it. Getting a lot of worry messages when nothing happens doesn't help. These are people who suffer from day to day, and who are unable to care for the elementary needs of others that we care for ourselves. I am very disappointed today that you can't now go in to give a group of this ombudsman for whom there is a clear need. It's not without reason that the relatives strongly want to protect their children, so they can get a good life on. I don't think that's the last time we have this case up. At least we're going to follow very closely what's going on. We hope we're wrong, but we're afraid there won't be much better relationships for those we're talking about today.
ParlaMint-NO_2007-03-06.ana.ud392e1914	Several have not asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 2149]]
ParlaMint-NO_2007-03-06.ana.ud392e1930	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 5 minutes to each party and 5 minutes to the Council of State. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. Furthermore, the President proposes that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2007-03-06.ana.ud392e1939	The proposal of the representatives of Nesvik, Giltun and Fredriksen deals with measures to increase organ donor capacity in Norway, including: registration, suspension of competence and DRG coding. There is a cross-political consensus in the Committee that there is an important area to focus on and that it is necessary to focus on how best to do this. The Committee points out that a good number of measures have been put in place to improve the situation, such as: that, from 1 January 2006, a record has been established of all deaths in intensive care units to detect potential donors and that a national coordinator has been employed to follow them up. A working group has also been set up to strengthen the development of competences and communication processes in healthcare professionals, where a new training programme is to be developed. The theme is difficult to address to those involved, and personnel must be guaranteed a good competence to meet the relatives in the difficult situations as they are. It is in the 2007 state budget earmarked 10.4 million. kr for organ donation and all RHFs have received their share. This has also been followed up in the mission document, following up on relevant actions. It is important that in our 28 donor hospitals, resources are allocated to the donor-responsible doctors, and it is now important that we also follow this further up and see what kind of effect the money has been allocated. The Committee also mentions this in trafficking in human beings, which newspapers have focused on the sale of organs on the illegal market. This needs to be followed up in particular by the Government’s action plan, which has also been presented in line with this. The specific measures in place are necessary to increase awareness of organ transplantation. Generalising this and getting people to take their stand before crisis situations arise is the best thing. How best to solve it, we don't know exactly. There have been many good ideas on how this can be done, but the Committee awaits the EU's efforts, among other things. electronic health cards, to see if this is one thing we can do in Norway to increase access. The question of organ donation is a difficult one, which is given to the individual in an already under pressure and difficult time. That the donor himself has taken this up in advance may be helpful, but often it is the relatives who have to make the decision. It is therefore important that personnel have the competence to make the conversation, both in order to follow up the relatives afterwards, and in order to make more bodies available. The Committee therefore agrees that the Government must ensure that healthcare professionals have this competence, as required. proposal No 1 in the settings. In the case of organs from the living donor, such as the kidney, it is worrying that the cows are growing. We also heard this when we had a hearing on the matter. It says, after we're informed by the Foundation Organ Donation, about 200 on the waiting list, which is a big challenge. Most people live with dialysis and a daily routine with frequent treatment, and the focus should also be on how to get living donors of the kidney. The Ministry of Health and Welfare now has a report on the topic, on the number of dialysis patients, and this needs to be followed up to see how we can best meet this in the coming years. What the committee disagrees on is costs related to transplantation. There is today a separate DRG code for the procurement of organs, and the Council of State, by letter to the Committee on 16 November 2006, has informed that the Directorate of Social and Health has been given a mandate to review the financial environment around it. The minority in the Committee, consisting of the Workers' Party, the Centre Party and the Socialist Left Party, awaits this report, which is coming soon, and will see if it reveals any deviations. I believe that the majority of the committee, consisting of the Progress Party, the Right, the Left and the Christian People's Party, will justify their proposal in the specific case of the DRG code. The disagreement is not so big. That's the time aspect here. There were several organisations in the hearings. Everyone was equally concerned about increasing access to organs. Organizations such as the Foundation Organ Donation do a very important job of generalising and generalising transplantation. Because what we know is that the more people know, and the more people dare to talk about difficult issues, the easier it is to get action. Attitude campaigns and awareness raising are important things to include further, which the Foundation and the Committee are also concerned about. Since this is a matter on which we agree, and the proposal of the Storting Committee has quite a number of aspects that we can take into account in the further work to increase access to organs, we want to attach the proposal to the Minutes.
ParlaMint-NO_2007-03-06.ana.ud392e1965	The Rikshospitalet has a nationwide responsibility and carries out all organ transplants in Norway. There is good cooperation with our Nordic neighbouring countries on the exchange of organs, but unfortunately it is a fact that the Rikshospital has had to send organs out of the country for time because of lack of capacity and for the same reason on some occasions has refused to offer organs from our neighbouring countries, and patients die on a waiting list pending life-giving organs. In 2004, a working group was set up to investigate matters with a view to improving access to bodies and, where appropriate, the establishment of a national register. The working group opposed the establishment of an organ donation register, as experience from other countries shows that registers do not help to increase access to organs. It is also expensive to establish and operate and difficult to liquidate. Since 1997, the Foundation Organ Donation has provided the public with good and accurate information on what organ donation is, and the donor card introduced in 2002 has proved to be a good way of promoting organ donation in relation to the public. The Progress Party will therefore provide in the budgets annual operational contributions enabling the Foundation to continue its information work. However, the working group’s investigation provided many answers on how to improve hospital conditions, and the undersigned, Nesvik and Fredriksen have therefore, in the light of this investigation, made proposals for three concrete actions, which have been supported both by the patient organisations and those responsible at the hospitals. Organ transplantation is currently the only treatment that can provide long-term survival in the event of a terminal failure of the heart, lungs and liver. For patients with renal impairment, which we can unfortunately expect to increase in number, dialysis is an option that sustains life, but the quality of life is getting worse, and the cost of long-term dialysis is many times higher than in transplantation. I now see that the number waiting for the kidney has actually increased by 30 pst. last year. At the same time, I have recorded that the number of transplants went down, although it can also be used with live donors. This was not what I expected after following the problem and discussions at conferences in the last year. It is a difficult task for healthcare professionals to talk to relatives about donation, especially if the victim himself has not taken a decision on the question. The relatives, who are characterized by deep sorrow and despair, may have difficulty accepting that their loved one really is dead, as the usual signs that death has occurred are not present. This places great demands on the doctor’s ability to communicate, empathize and engage, and even then, in many cases, the result will be a refusal to donate. There will also be cases where the bodies are not suitable or where a suitable recipient is not found at short notice. It is not obvious that any body is appropriate and the condition for a successful operation is that the body is not rejected. When a patient dies in circumstances that allow organ donation in a donor hospital, caregivers are obliged to address the question of organ donation with the relatives, and to ensure that this happens, we suggest that hospitals should be required to keep statistics on all deaths in intensive care units, where it is clear whether donations have been evaluated. The much higher donation rate in Spain is due significantly to the identification and follow-up of potential donors and the questioning of relatives. It is confirmed by the hospitals that it does not work this way with us today. In case of a positive response from the family, the Rikshospitalet is notified. The National Hospital donor team travels immediately to the donor hospital, where they take out organs, so quickly to return to the Rikshospital to perform transplants, up to seven at the same time. This requires very large resources, and activities must have a 24-hour standby throughout the year. A DRG code should be established as soon as possible, which will be triggered by each donation. For the calculation of such a code, all direct and indirect current costs must be taken into account. The DRG must not be set too low. It is also necessary to devote the necessary time to the tasks, as well as to self-relevance and training for both the donor-responsible doctor and his/her staff. It is necessary to ensure that hospitals have sufficient intensive capacity at all times to carry out organ donation tasks. It will be a paradox if measures are taken and means are used to increase the number of organs and the Rikshospital does not have sufficient capacity at the same time to use the bodies provided. We therefore hope that we will now receive support for the proposals of the Progress Party, which will be re-examined. There is an urgent need to introduce measures that have been shown to be effective in countries such as the United Kingdom and the United Kingdom. Spain, and our goal is to be the best at this.
ParlaMint-NO_2007-03-06.ana.ud392e1988	The representative of Vigdis Giltun has taken up the proposal to which she referred.
ParlaMint-NO_2007-03-06.ana.ud392e1991	Organ donation is a matter of life and death for many patients in transplant queues. There is reason to commend the Progress Party for the initiative to increase the number of organ donations, thus saving more lives. At the same time, it is gratifying that some of the measures proposed have already been implemented, in whole or in part. There is no doubt that both the competence for organ donation and communication with its relatives are essential for increasing the number of organ donations. It is therefore positive that work is in progress on developing skills in these areas. It is also essential that hospital activities are designed to fully exploit the potential for donations. I myself contributed to promoting proposals for concrete measures to increase donor capacity as early as 2001. The Co-operation Board followed up this initiative, including: through the establishment of a national organ transplantation coordinator. This was an action that had already proved to be effective in Spain, which has succeeded in significantly increasing the number of donations. Regional health firms were already instructed by the Minister of Health and Care to facilitate the activities of the coordinators in 2005 and to ensure that there were separate posts for donor doctors in hospitals. The right has also supported the positive proposal of the Government Parties for increased appropriations for this purpose for the current year. We now support the proposal of the Progress Party to introduce a DRG code to ensure that health businesses are covered by their real costs of organ donation. The co-operation administration launched the donor card scheme, which allows individuals to decide on the issue of donation before entering a critical and urgent situation. As I see it, this information work itself is key to increasing the number of donations and thus giving more people the opportunity to live on despite a serious illness. However, organ transplantation is more than a biological process. For some, it is a great privilege to be able to help save another human being – as a potential donor said to the Haugesunds Avis on 7 October 2000: ‘For me, the choice to give bodies is an expression of love and love for life. It's about giving of yourself, giving a life after death." It must be stressed that this is of course not a simple choice, for – as he said further: ‘The decision requires time, care and thorough thought.’ The choice is often left to the relatives, and this is a difficult choice to make on behalf of others. At the same time, most people are in a critical life situation when the question becomes relevant, and it is very understandable that the idea of donation may be difficult in such situations. There is reason to believe that this choice can be easier if the potential donor has already taken an active decision on the issue and informed his closest to it. In this way, the donor card scheme and the information work carried out in this context are crucial for increasing the number of donations. This work should be intensified to ensure that the issue of organ donation has been discussed as far as possible and reflected on its own position on the matter. Here I want to draw some parallels to the important work of cancer-causing Bengt Eidem – who most people probably know as a former political advisor in the Ministry of Defence – and his colleagues did to increase the number of donors and bone marrow transplants. This campaign shows that it is beneficial, and that very many people are willing to sacrifice something to stand up for fellow people who are affected by disease. However, it is also important to respect the choice of not wanting to be a donor or that the question is too difficult to address. This, as I see it, is essential to ensure the legitimacy and openness of the organ donation system.
ParlaMint-NO_2007-03-06.ana.ud392e2016	With effect from 1 January of this year, a record has been made of all deaths in intensive care units with a view to detecting potential organ donors. This registration is made in the Norwegian Intensive Register, which is a quality register operated by Health Vest RHF/Health Bergen. Data from this work will reveal the potential for organ donation in the individual hospital, thus targeting measures where the potential has not been sufficiently exploited. It is the Social and Health Directorate, through the National Organ Donation Coordinator, who is responsible for monitoring this. In 2006, a working group was set up to strengthen the development of competences and communication processes of health professionals in donor hospitals. In cooperation with NOROD — Norwegian Organ Donation Resource Group — a new training programme shall be developed with the aim of integrating the training of health professionals in this field into regular hospital training programmes. This is very important, because communication with relatives needs to be done – as many have been involved – in a way that guarantees both dignity and respect and at the same time provides an understanding of the importance of this issue to society as well. The Foundation Organ Donation has a particularly important role to play in providing information to the public about the possibility of donating organs, and they do a very important job. The brochure with donor cards, which is distributed to all the country’s pharmacies – such as: I have sails in my wallet, and probably many others are going around in their wallets – is an important contribution to generalising the donating of organs before difficult situations arise. For my part, I think it's just a point to be able to fill out the card in a situation where I sail expect that there won't be a situation where my relatives have to make a choice. It is important that I have thought through this in advance. The fact that we can disseminate information about this to other people is an important role that politicians also have. The 2007 mission documents for regional health enterprises include: to the effect that access to organs to transplants should be increased and that appropriate measures must therefore be taken. So it is said that all potential organ donors need to be identified and that healthcare professionals should address the question of donation. The regional health undertaking shall be responsible for allocating sufficient resources to the function of donor-responsible physician in the hospitals approved for organ donation. The regional health undertaking shall cooperate with the national organ donation coordinator of the Social and Health Directorate in order to increase the number of available bodies. Attention and information on organ donation are important in order for us to be able to maintain a high level of transplantation activity for the future and keep the waiting lists down. I also believe that it will be exciting to follow the EU's testing of electronic health cards, which are under testing in some countries, and to see if this can be relevant for Norway in the future. There's a lot happening on that area from the government side now. The need to increase the number of organ donations in Norway is high. Every year many families experience that one of their closest relatives is seriously injured in an accident, or is hit by brain bleeding or blood clots. If life is not about to be saved, there may be questions about donation. The doctor will then ask the relatives if they know the deceased's attitude to donation, and ask permission to use his or her organs to save others. The entire Committee believes that it is very understandable that relatives have difficulties dealing with this issue. In many cases, relatives have received a tragic message, a terrible message, that one of their loved ones has been exposed to an accident — or acutely fatal disease — and they are natural enough to be in shock. In such a situation, it goes without saying that those who are going to ask if the relatives are willing to make such a donation so close to a tragic event must be very well equipped to take this conversation in the middle of a grieving process. It demands a lot of money. Therefore, it is important that the question be asked by health professionals with competence in this area, but also with characteristics that make them the right one. The entire Committee has therefore agreed to ask the Government to provide health professionals with professional training on what is happening around an organ donation, and in particular on how to communicate with relatives. Since proposals are being made to establish a DRG code for organ donation, the majority need to point out that there is already a DRG code for organ procurement but that there are no registrations. In addition, the Directorate for Social and Health shall carry out a financial review of the organ donation activity. Brustad County Council has opened up additional reimbursement for organ donation if the report reveals major deviations, and we await this. I think this is an area where there is a lot of pressure, and there are many in the committee who are very involved in this matter.
