ParlaMint-NO_2007-11-08.ana.ud1064e38	The representative, Kari Lise Holmberg, will present a proposal for a representative.
ParlaMint-NO_2007-11-08.ana.ud1064e850	The President will remember the time of speech.
ParlaMint-NO_2007-11-08.ana.ud1064e853	First, I would like to thank the Minister of Foreign Affairs for a comprehensive briefing on the matter. It was especially gratifying that the themes of the environment and climate were given such a great place in the orientation he gave. It is an important point for the Central Party that these briefings allow us to take the heart of what is happening in the EU and in the intersection between Norway and the EU and the EEA. The Secretary of State said it was done in a good way. We are from the Centre Party's side, in agreement with the Council of State when he says so clearly: 'Our countries must set up the economic system so that laws and regulations draw people and businesses in a more climate-friendly direction, in terms of both consumption and production.' And also: 'In addition to knowledge and co-responsibility, there must be an economic motivation for businesses, municipalities and individuals to reduce their emissions.' The central party wants Norway to show its way in environmental policy. One of the most important steps would be to accept the principle that environmental concerns are the overarching of market forces. The Minister for Oil and Energy met in Brussels yesterday to discuss the project on CO2 capture and storage. The centre party believes that the project is too important to be stranded in any inconvenience with the EU, and we are following the EU's approach to this issue with great interest. The question of whether the EU will accept State co-financing for the capture and storage of CO2 from gas power plants in Mongstad and Kårstø will show whether the Union has addressed the environmental challenges. We had of course wished that the EU had already clearly signalled a positive attitude towards the necessary state funding of these projects. When the representative Erna Solberg says that the problem is that we are not inside, that is, that we are not members of the European Union, she is turning the whole issue upside down. One gives the impression that if we were members, we would not have had challenges with EU and EEA competition law. It's completely wrong. It's the opposite. In line with the Government's active European policy, the Central Party will work towards rapid and positive clarification in relation to the environmental projects at Mongstad and Kårstø. In addition, the Centre Party would strongly recommend to the EU that important environmental measures be exempted from competition law when the Union is now developing a new legislative framework in this area. Obstacles to effective environmental action will be a signal that developments are moving in the wrong direction. It will lose out on both the environment, Norway and the EU. The EU’s unconcluded detention comes from the interpretation of competition law, of which Norway is part under the EEA Agreement. CO2 capture and storage are very important and positive environmental measures, and it would be totally unthinkable if EU competition legislation were to prevent the realisation of that type of project. A rigid interpretation can prevent a pioneer project that will provide the necessary technology development, a technology Europe and the rest of the world need if we are to meet the commitments that the Kyoto agreement and the world are facing climate crisis. Unfortunately, in general, the EU has been reluctant to put the environment and health ahead of market liberalism and free competition. The Union’s Lisbon strategy to become the world’s most competitive economy builds up under an uncritical philosophy of growth. The Central Party believes that Norway should challenge the EU and its Member States to make a prioritisation between the market and the environment where necessary. Economic growth at the cost of environmental considerations leads to increased consumption and transport. The central party believes that such a policy would lead to a development that is fundamentally wrong if we were to solve the climate challenges. The Norwegian government will reduce CO2 emissions for cars to 120 grams per year. ran kilometers by 2012. In the EU, the limit appears to be set at 130 grams per year. km. In this area too, Norway must challenge the EU to put the environment at the forefront. If Europe is to achieve its objectives, we are dependent on being able to stimulate a positive technological development. The EU has stated that they will initially cut climate emissions by a minimum of 20 pst. by 2020. Norway has seen a 30 pst target. climate-cut. Norway shall meet the Kyoto commitments by 10 pst. and be carbon neutral by 2050. To achieve these objectives, a political vision must be different from the greatest possible economic growth. The Central Party supports the Foreign Minister's signal that laws and regulations in Norway will help to draw our country in a more climate-friendly direction. We cannot allow competition law to underpin climate policy. The implementation of effective measures is crucial if we are to solve the climate challenges, and I believe that the EU knows it. Therefore, I am sure that there is a solution to the challenges associated with the capture and storage of CO2 that the Government has.
ParlaMint-NO_2007-11-08.ana.ud1064e900	I would also like to stress the positive fact that we are now receiving an EU and EEA statement from the Minister for Foreign Affairs every six months. Let me add, as we've heard all day, that we're a European country. We are outside the EU, and we are outside the EU's decision-making bodies. But we are not just integrated into the EU's internal market through the EEA Agreement. We have 53 cooperation agreements with the EU. We are part of the Schengen cooperation. We participate in research cooperation and in a number of other areas. This means that Norwegian interests depend on an active European policy not only on vis-à-vis Brussels and the EU, but also on the individual Member States, as has been emphasised here today. Then it can be stated, as the evening post did in the leadership position yesterday, and as well as the Foreign Minister concluded his statement, that in the work on EU directives and EEA matters, our role in Europe is limited to responding to initiatives coming from the EU. That's now our starting point, and then we have to do what we can to take care of Norwegian interests. That is what the Government is doing, and to an increasing extent the Norwegian population is doing it. We're just in the initial phase of our active European exposure. Despite the EEA Agreement and the other agreements and the form of association with the EU, we are, however, far from the political dynamism that is driving the EU forward, the exciting process that has now resulted in the new Reform Treaty, or, for that matter, in the defence and security policy of the European Union. Yes, even in NATO, we feel that non-NATO countries like Sweden have such an influence, because they participate in EU meetings before important decisions are taken in the alliance on issues related to Euro-Atlantic relations. At the Lisbon Summit on 18 October, the EU agreed on a new reform treaty, which shows exactly what dynamism, not to say rigidity, is driving the EU further. There has been a demanding process. The aim now is for the Treaty to be ratified well in advance of the elections to the European Parliament in June 2009. The Treaty will provide the EU with a new framework for cooperation. I would like to stress what the Minister for Foreign Affairs said in his statement: ‘We are constantly serving the functioning of EU cooperation.’ This ensures that our agreements with the EU – including the EEA Agreement – are not blocked. For us, it is important that the Reform Treaty, among other things. means that national parliamentarians and parliaments have a more important role to play in developing new EU legislation. It can strengthen the participation of elected bodies in the legislative process. Then we should be aware that the EU's capacity to act in the field of foreign policy is strengthened. The position of High Representative for Foreign Policy is transformed into a Vice-Presidentship with responsibility for Foreign Affairs, and the Presidency is also firmly established. Finally, let me make some comments on the EU's defence and security policy. Let me stress that I am not willing to do well for what FFI researcher Bjørn Olav Knutsen says in yesterday's Evening Post, that the EU is in the process of taking over the main responsibility for European security, partly at the expense of NATO. For Norway, NATO is the cornerstone of our security policy, and transatlantic and Euroatlantic cooperation is strong. NATO, in addition to being a defence alliance, is also an important forum for the Euro-Atlantic Security Policy debate and has increased its political role and relevance even after enlargement and the PFP programmes. The ESDP has proved to be more robust than many would have predicted. Perhaps we are surprised to note that since 2003, the EU has undertaken a total of 16 major or minor operations. In the Balkans and Africa in particular, the EU has been active. Then, of course, the forces of the EU and NATO can be regarded as Tordenskjold's soldiers under the Berlin plus agreement. Nevertheless, EU operations have been demanding. In Norway, we should be prepared for a new Europe of self-confidence with a new Treaty to be the focus on Europe in a Euro-Atlantic dialogue. This is a major challenge for NATO and for those of us who are outside the EU and the ESDP. Norway has consistently supported the development of EU security and defence cooperation and has also had close contact arrangements. We have also chosen to participate in one of the EU's 'batlegroups' under Swedish leadership.
ParlaMint-NO_2007-11-08.ana.ud1064e923	The Foreign Minister’s presentation contained a number of interesting considerations about the process of achieving a more holistic European maritime policy. Norway has long traditions in maritime industries, and has developed for many years a unique competence in this area, which can be used in this work. Over the centuries, Norwegian shipping has actively contributed to the creation of value added, employment and prosperity across large parts of the country. In addition, shipping has played a major role in safety policy for Norway, and the maritime industries have been at the forefront of international technology development. The government’s proposal to harmonise Norwegian shipping companies’ tax rules with EU rules is, in isolation, an absolute step in the right direction. However, the entry ticket to such a tax system should mean that the so-called tax rebates must be paid is dramatic, and this unfortunately indicates that the government does not understand how important this industry has been and, hopefully, will be to Norway. However, we will have to come back to this in the budget debate. I am very pleased that, in the Foreign Minister's presentation, the focus was on the development of a comprehensive policy in the maritime field. According to the Norwegian Minister for Foreign Affairs, there has been an active participation in this work and the promotion of a number of well-documented proposals and input. Norway has long and good traditions in this area, so that our contribution to the development of maritime Europe is both constructive and helpful. The objectives of the EU's common policy in this area are, in many cases, consistent with Norwegian maritime policy objectives, and I note with satisfaction that the Government therefore adheres to its overall objectives. Sustainable use of seas and seas, the establishment of a broader knowledge and development base for maritime policy, high quality of life in coastal regions, as well as the visibility of maritime Europe, are the pillars of EU policy in this area. The convergence of objectives in this area provides us with a very good basis for further cooperation with the EU and the Member States in the future. I am also pleased with the Government's interest in the EU Commission's Blue Paper on an integrated maritime policy, which has noted some interdisciplinary areas that may be of great interest in further cooperation between Norway and the EU. This applies, inter alia, to: exchange of experience and ‘best practice’ examples in relation to maritime spatial planning and integrated coastal zone planning and the development of a common European marine observation and data network. A very interesting area for cooperation between Norway and the EU is maritime surveillance activities, where we have great opportunities for further development of existing solutions and new systems. I would like to remind you that, from the Norwegian side, we have also developed skills and experience in this area that it will be important to contribute to such cooperation. The EU shall establish five maritime traffic monitoring centres in Europe. One of these monitoring centres is known to be added to the North Sea basin. Norway should therefore, as a full member of the European Maritime Safety Agency, be a very topical country for such a centrality. I would therefore also like to remind you that the West Coastal Station in Haugesund has developed considerable competence on issues relating to monitoring solutions for shipping, and that a location in a maritime environment where the Maritime Directorate is also located would be very beneficial in this way. I hope that the Foreign Minister will use these clear advantages, the areas of competence we have, and the competences we have gained over many years in this area in Norway, both in terms of the localisation issue for the maritime monitoring centres, and in terms of building the common European maritime policy.
ParlaMint-NO_2007-11-08.ana.ud1064e944	The day-to-day functioning of Norwegian enterprises is closely interwoven with EU industry. The EU is our most important domestic market. This means that the framework conditions for Norwegian enterprises are to a large extent laid down in an EU where Norway has unfortunately placed itself at the same time in all important decision-making processes. At some point Norway should become a member of the EU, as we are now fully integrated, but lacking the last important part on influence and voting rights. In the meantime, it is important that Norway makes use of the opportunities available to get into the processes as early as possible to influence issues that are important for Norwegian interests. Therefore, it seems a little passive when the Foreign Minister is not more ambitious in his statement than he concluded that an important role for Norway is to respond to EU initiatives. It is important to respond to enquiries from the EU, but we need to have a higher level of ambition than waiting for Brussels telephones. There are some specific sectors of industrial policy that are particularly important for Norway. Maritime policy is one of them. The Minister of Foreign Affairs specifically mentioned the work of the Commission's so-called Blue Paper on an integrated maritime policy. Norway has contributed to this important process, including: by the fact that former Fisheries Minister Svein Ludvigsen had Mr Joe Borg on his visit to make his observations. It is still unclear how much the blue paper will have for Norway, but what is clear is that we will not have the opportunity to take part in the finalisation of this work on shaping the EU's overall maritime policy. I think this is a great paradox for one of Europe's most important maritime nations. A holistic approach to the management of the coastal zone in relation to ecology, economics and housing is central to us with a long coastline and great dependence on the sea like food barrels, transport years and recreational areas. A number of the issues raised in the blue paper are not very controversial, but they are significant and may have an impact on Norway’s development as a maritime power. This is an area in which national competition is ongoing between countries, for example: under tax conditions. Unfortunately, the red-green government is far behind and little in harmony with the EU strategy. In the 2008 budget, the Government proposes a transitional arrangement for a new shipping tax system that puts a number of shipping companies along the Norwegian coast far back in their development. The government proposes to charge DKK 14 billion on the transition to a new system, a tax shock that means a reduced coastal investment capacity of maybe three times as much, up to DKK 50 billion in reduced investment capacity. Although the new system will be an isolated step forward, the transition will mean a weakening of the competitiveness of our maritime business. Our competitors in the EU have not given their companies the same tax shock in transition to a new system. This is the government's strange invention, a nearly absurd compromise between anti-business SVs on one side and more pragmatically adjusted Workers' Party and the Center Party on the other. It tells a lot about the red-green marine disaster that the Minister of Economic Affairs of the day yesterday was relaxed that the maritime strategy will first have its final clarification in the Norwegian Supreme Court. Another important issue for Norway is the fight against illegal, unreported and unregulated fishing, so-called UUU fishing. In areas that we manage together with other nations, there has been extensive UUU fishing over time, which has a significant impact on populations and on Norwegian fishermen’s income. Increased focus from political authorities over a long period of time and improved control regimes have made widespread overfishing visible, especially in the Barents Sea. The focus on UUU fishing has been strong lately as a result of large individual cases, and as a result of agreements coming into place after long-term work. The measures taken have worked to some extent, but the fight against UUU fishing requires considerable efforts for many years to come. It was with interest that I registered that the EU Fisheries Commissioner announced four concrete strategies against UUU fishing on 30 October 2007 in Lisbon. The aim is to eliminate all illegal fishing, first of all to close the EU market against illegal fishery products through a port control system requiring the prior certification of the port State before vessels are allowed to call at EU ports. The second proposal is to establish a blacklist of UUU vessels and countries that do not take this problem seriously. The third is to strengthen the possibilities for EU members to influence penalties on their own vessels which are guilty of participation or support for UUU fishing. The amount of the fines shall be increased so that the economic benefits of illegal fishing do not exceed the level of the fine. The Marine Research Institute recently presented a report showing that illegal fishing was declining for 2007. It's a joyous development.
ParlaMint-NO_2007-11-08.ana.ud1064e968	Since we are one of the world's leading shipping nations, the maritime industries play a very important role in Norwegian business. The maritime cluster employs nearly 100,000 people, in all parts of the country. In keeping with our rich traditions, shipping is still our honor and our power. This will probably also be the case in the future, when the shipping industry is over sickening itself as part of the current tax credit campaign. There are also, as we heard, the last two speakers. They may then discover that they are offered very good tax conditions, and then they may become more concerned with exploiting the opportunities created by European competition conditions in reality. Just because shipping is international and dependent on international markets, business cycle and competition rules, it is so important that Norwegian shipping participates in the policy and regulatory developments taking place in the EU. Despite our exclusion, Norwegian shipping authorities have significant influence and influence. As a shipping nation, we are a major force and a leading nation, not least in the development of an international regulation on shipping through our participation in the IMO. It concerns maritime safety, the environment and the welfare systems of seafarers. The EU's efforts to develop a comprehensive maritime policy are undoubtedly of interest to Norway. I am therefore not particularly surprised that the EU's maritime policy is similar to that of Norway, or vice versa. This is, in fact, part of a more comprehensive transport policy, where maritime and land transport meet in hub ports and where the benefits of the various modes of transport are exploited in a more efficient transport system. Here we have a lot to learn from the EU. So we are talking about intermodal ports and the establishment of motorways of the sea, the relief of an overloaded European road network. Color Lines' new ferry concept in traffic across Skagerrak is an expression of this. The new high-speed and efficient car ferries actually create a motorway at sea. I hope that Norwegian business and Norwegian transport authorities will see the scope of what is now happening in Europe. A well-functioning infrastructure and efficient transport system has an invaluable impact on the competitiveness of business. We're losing a chance if we're now hanging out. In its EEA statement, the Minister for Foreign Affairs pointed to the need for a more sustainable use of the sea and sea. Maritime transport is environmentally far preferable to car transport, but maritime transport too has its potential for improvement. Increased investment in new types of ships, more efficient machinery and cleaner fuels will undoubtedly contribute to the competitiveness of shipping. The strategic commitment to sustainable growth in EU maritime activities is well in line with the ambitions of the Norwegian Government in the maritime sector. On 3 October the Minister of Industry presented a strategy for growth in the maritime industries. It confirms our ambition for Norway to be a world-leading maritime nation. And not enough, we're going to be world leaders in maritime competence, research and innovation. Our traditions, our broad maritime knowledge and our broad maritime competence, with world-leading companies and research institutions, give us important competitive advantages if we understand how to exploit them. It is hardly a coincidence that a small company in Austevoll in Hordaland is the world leader in ship design. In the context of sustainable and environmentally friendly shipping, Norway can make a significant contribution to European cooperation. Through our participation in the European Space Agency, ESA, Norway is now contributing to programmes where we are able to monitor large sea areas through satellite communications. Better and more precise navigation systems are under development. Norwegian researchers and institutions are currently taking part in a technology development that could have enormous significance, not only for the institutions involved and for European shipping, but for maritime, air and land transport in general. That is why it is so important that we continue to maintain the dialogue channels we have had in the work on EU maritime policy.
ParlaMint-NO_2007-11-08.ana.ud1064e987	On Sunday 25 March this year, I had the pleasure of being in Berlin and experienced the big people's party in marking 50 years of EU cooperation. It was big, but at the same time especially to experience that almost all European countries were represented, but not we. In cooperation that brings together countries from the Baltic to Portugal, Norway is still on track when decisions are taken. Without the right to vote, we are depriving ourselves of an important influence every day in a series of policy areas that are deeply involved in the interests of our country. One of today's perhaps greatest challenges is the rise in organised crime, which is often cross-border, and which represents a far greater threat to society and society than traditional crime. At the same time, it's harder to fight. Organised crime covers everything from serious child abuse, drug and alcohol smuggling, money laundering and other financial crimes to trafficking in human beings and trafficking in women. There are links to terrorist activities in this category of crime. Combating international crime can only be solved through extensive international cooperation. It underlines the need for Norway to continue to play an active part in international judicial cooperation with a view to combating serious crime and international terrorism. In this work, the EU is very central. The right has been a driving force for Norwegian police to participate actively in international arenas, which can contribute to the more effective fight against cross-border crime. Norway must not become a deserted island, where criminals fleeing from the police authorities of other countries should be able to hide. The right has followed with interest developments in EU judicial and police cooperation. It is a reality that EU cooperation in this field has become more important. Informal cooperation has developed further into a treaty, intergovernmental cooperation, and today important areas are subject to supranational authority. Police cooperation, crime prevention and control and judicial cooperation in criminal matters have become intergovernmental. Through Europol, EU countries have established their own police unit to improve efficiency and prevent and combat serious international crime. Europol has the task of working to combat crime in several areas, such as: illicit trafficking in drugs, illicit trafficking in nuclear material, trafficking in human beings, terrorism and money laundering. There is one problem: only EU countries can become parties to the Europol Convention, thus becoming members of Europol. However, the Commission is opening up the possibility for third countries and international organisations to enter into various forms of cooperation with Europol. In the right, it is positive that Norway, as a non-member country, has reached a cooperation agreement with Europol to combat serious forms of organised crime. From 2001 Norway has participated in the operational Schengen cooperation with Iceland and the EU countries. This cooperation includes, inter alia: that no personal checks are to be carried out when crossing the borders between the Schengen countries. It also involves reinforced police cooperation and enhanced judicial cooperation, which is very important in the fight against cross-border organised crime. A separate computer system, the Schengen Information System, provides Norwegian authorities with access to information that could be important for preventing and combating crime. The Schengen Agreement means that Norway and Iceland participate in the Schengen cooperation on a basis of international law, without conferring competences on the EU institutions. Although Norway is a participant both in Europol and in Schengen cooperation and can benefit from the expertise and information systems available, in the opinion of the Court, it is not sufficient to meet the criminal policy challenges in the future. Norway is a country that can have special needs in some areas, both because we are a country on the edge of the Schengen area and because we have a very long coastline. In particular, in relation to human trafficking and drug traffic, this may lead to a need for specific measures. To the right, it is important to stress that because we are not members of the EU, we do not have the influence that is desirable when designing future police cooperation and the strategy for combating crime in the future. We get to participate in the cooperation, but we have to adapt to the system that the other states think is most appropriate. In the Right's view, this is unsatisfactory. There are therefore also important arguments in the field of justice and police cooperation that should speak for Norway to become a full member of the EU.
ParlaMint-NO_2007-11-08.ana.ud1064e1013	It's always demanding to go to the front and plow new fields. This is precisely what Norway is doing in terms of CO2 management. We should be proud that we are addressing one of the greatest challenges of our time, namely how to combine increased energy use with good environmental policies. The International Energy Agency foresees an increase of 50 pst in energy consumption. By 2030, and they say that 80 pst. This will be based on fossil fuels, i.e. coal, oil or gas. It's just one thing to say about it, and that's that this isn't sustainable. We simply need to find ways in which we can balance our need to increase energy consumption and protect the environment. We should save energy in Norway, we should do so by sea. We're wasting some of our energy, but we can't tell poor people in the poor part of the world that they won't be allowed to increase their energy consumption. That would be unsolvable. If we said this, we would at the same time say that we believe that they should be trapped in a trap of poverty. We have some tough challenges ahead of us. Norway, which has become rich in oil and gas, has a particular responsibility to help develop technologies that can help us to find this fine balance point in the future. This is where CO2 management comes into the picture. Now we need to talk about CO2 management in an EU and EEA perspective. Let me first underline that we, who want to get to the top of this, should enjoy the commitment we have in the European Commission for CO2 management. We were also confirmed yesterday, when we had conversations with the Commission about this, that they see it as clearly desirable from their point of view that Norway is going ahead in this area, in the sense that we are doing what is possible for us to get up the first full scale CO2 handling facilities. In terms of CO2 management, Norway is not necessarily in the forefront of the EU, but we are in the forefront of planning concrete projects. The EU shall establish 10-12 pilot projects with a view to commercialising this type of technology. They shall do so by 2020. It is not good to say when you start these projects – the pilots – that are planned. It may seem that there is a somewhat extensive process associated with selecting these, but at the same time we know that there might be a British project in pipeline. The fact that we're among the first to work on concrete full-scale projects makes ESA in a difficult situation, because ESA simply has to plough new land. No country has previously notified a CCS project. We – Government – hope that ESA will be able to approve Mongstad Step 1 and that it can be done quickly. The reason why we hope that it can be done quickly is that we are dependent on making investment decisions in the first quarter of 2008, i.e. to spring, so that we can keep the timeframes we want for Mongstad Step 1. Let me underline: it's seamly fully possible. But if we were to end up in a situation where ESA starts a formal investigation, we're facing a time-consuming process, and that's when we want challenges with the timeframes. Because ESA has a demanding task ahead of it, I am glad that in the last few days we have established a process of close contact between ESA, the Commission and Norway. This particular process is an expression of the goodwill and interest of the EU. It is also an expression that it may prove necessary for ESA to take account of EU policy developments in this area in order to assess our notification. It has been, as it may look from my side, some arms and legs from the opposition in connection with this matter in the later days. They have asked questions about – as I see it – the process of notification. Let me say a few words about it. ESA received a copy of the agreement concluded between Statoil and the Government on 12 October last year on Mongstad, immediately after its conclusion. I would like to make it clear that the agreement itself is subject to approval by Stortinget and ESA. This is duly mentioned in St.prp. No 49 for 2006-2007 on cooperation in the management of CO2 in Mongstad. It's at point 5, page 7. Last November we had the first meetings with ESA at the office level, where the matter was explained, the agreement was reviewed and the background was given. It was already made clear at the time that ESA would need clarification on the issue of State aid, both in relation to Mongstad and in relation to Kårstø. Since then, a number of work meetings have been held with ESA. They were held beyond spring. The dialogue was used to calibrate the content and format of a notification. One important milestone in the work with Mongstad, step 1, was the agreement with several industrial actors that we want involved in the project, and those who follow along well will know that this agreement did not take place until June last year. Mongstad, phase 1, was notified on July 4. Let me also mention that in addition to the meetings I have mentioned, there have been a number of meetings between the Ministry and the Commission to inform about the development of our CCS projects and where the relationship with State aid legislation has been discussed. In addition, one will now be aware that there have been a number of meetings between representatives of the Commission, from the Member States and from the political level of the Ministry of Oil and Energy. The process we've had with ESA and the Commission in this area is a necessary part of the ordinary process in such matters. This shall ensure that the State aid issue is properly addressed on the basis of the applicable rules. Let me just say in the end that we hope that we will be able to keep the deadline. There are still a number of questions to be answered by ESA and the Commission. We think we have good answers here, but ESA is facing a demanding problem. We're going to do everything possible on our part to make it possible to meet the deadlines that we want, because we have great ambitions in this field, and we want to live up to our ambitions.
ParlaMint-NO_2007-11-08.ana.ud1064e1060	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e1063	Let me first say to the Council of State that I fully agree with the picture she initially draws in terms of the world's energy supply, needs and challenges. That's the same picture that the Progress Party drew when we took the initiative for a thorium debate in the Stortinge a year ago. That's good we're on the line there. Then we get to hope that we also find realistic solutions, so that the objectives are met by practical policies. In the case of Mongstad, on the other hand, the Council of State should not be surprised that the opposition reacts when one feels that one was led a little behind the light of the Government's light-winds when the Storting dealt with the matter in April – and then the Government itself is coming to overdramatise this. After all, the Stortinget has been led to believe that this was a simple matter, and it turns out that this can be both expensive and time-consuming in relation to what the Government describes. And we're not blinded by promises, but we're waiting for the government to actually deliver. One important prerequisite for Mongstad was that Norwegian business should be an active part. [[The President clubs.]] Opens the Government and EEA calls for Norwegian business to be centralized in Mongstad [[The President Clubs Again]]
ParlaMint-NO_2007-11-08.ana.ud1064e1072	First of all, let me say that I totally disagree that the government is somehow helping to overdramatize. We were asked by the representative of Solberg to come to the EEA Committee and to brief them on the status of this work. We were there 14 days ago, and we were briefed, and we started off on what was then the situation, and it's still the situation. I think it's right to keep the Storting informed about the real development. As regards the issue of Norwegian business related to Mongstad, the representative will be aware of the development of interesting industrial cooperation with different actors. These are the actors we are now having further discussions with, with a view to an investment decision in the first quarter of 2008. How this will end to the seventh and last, remains to be seen, but one will in any case know that StatoilHydro is the central player in this work. [[President clubs]]
ParlaMint-NO_2007-11-08.ana.ud1064e1079	The President will again remind you that when the red lamp goes out, the speaking time is up.
ParlaMint-NO_2007-11-08.ana.ud1064e1082	The government has not informed the Storting at any time in this process, except on the initiative of the Storting itself. That's what I'm worried about. All the information has come because you have demanded to be informed. That's why the government's new concerns become a little bit special. I feel that the reason we have now had this debate is that the Haga Council used the opportunity to owe it to the European Union. She does not take self-criticism for what is the main point of this matter, namely that this takes time because the government itself has not quite known what it was doing, when it started this process. Thus, it was written to the Stortinget in April that ‘where state aid was to become applicable’ – at a time when everyone knew that State aid was likely to be granted, but one lived in a world where state aid was not clarified. And now the questions ESA raises to the Council of States, also related to which state aid comes in phase 2, and the Government has no answer to this. That's why we have trouble.
ParlaMint-NO_2007-11-08.ana.ud1064e1089	I take note that the representative Solberg would like to see Stortinget further informed about the whole process. Then I can just say from my point of view here, that then we'll try to make it better later. I'm going to the Stortinget on all the occasions I'm being asked for, as I did when the representative Solberg took the initiative to inform the EEA Committee. With regard to the claim of maritime criticism or to blame someone, I do not believe that there is any reason to take any maritime criticism for the Government in this matter. There is also no reason to ‘guilt on the EU’, as it is said here. We would have liked the situation to be different in terms of regulatory development, but there is something quite different. The question of State aid is extremely complicated and the representative of Solberg has probably read the notification – it is primarily based on a notification based on the State as a market player. [[The President clubs.]] In this case, the state aid situation is different from the notification for other reasons.
ParlaMint-NO_2007-11-08.ana.ud1064e1098	For one who is in a minority in his own party with regard to the view of the European Union, it was at least nice that it looked as if the Council of State had a good time in Brussels when she was there. What may be more worrying is what came out of the meeting. On the part of the Christian People's Party, we are pleased with the clear assessment that the Council of State is now making – that the Storting will be continuously briefed on the occasion of the case. My question is related to the more detailed issue in ESA and in the Commission. We know that the CO2 management mission has been given to StatoilHydro without any competition. My question is, is this what particularly concerns the Commission? And, has the government underestimated that issue?
ParlaMint-NO_2007-11-08.ana.ud1064e1110	The answer to the specific question is definitely no, it's not at all a topic in the discussions with ESA. The challenge facing ESA is that they have to rely on existing EU legislation today. There is as much political process as one might say is at the forefront of legislative development. That's exactly ESA's dilemma. So we're trying to argue to ESA that it's important that they use their discretion. We understand that they have to work on the basis of existing legislation, but we want them to also put in a good dose of discretion so that they can take into account the political process that is going on in the EU – that is, a very positive political process, seen with our eyes. We're dedicated to getting important CCS projects up and running as fast as possible.
ParlaMint-NO_2007-11-08.ana.ud1064e1118	It is well known that the Mongstad compromise was the result of a bang-hard internal struggle in the government. What now stands out is a design that one did not have quality assurance, and that one did not provide from day one to follow up so that it could be implemented. The result is that ESA is now asking for information that should have been provided a long time ago. Governments say the result can be a time-consuming and delaying process. Thus, Kristin Halvorsen's guarantee, with his hand on his heart, appears that this was to be realized in 2014 at Mongstad, which a deterioration of a defeat SV had to endure when one did not receive cleaning and expansion at the same time. It appears like it, and not as a promise or an ambition to realize it in 2014. Can the Council of State understand that the opposition felt cheated when our repeated questions about whether this was anchored in relation to ESA/EU were answered with an absolute yes?
ParlaMint-NO_2007-11-08.ana.ud1064e1125	I am proud to sit in a government that takes great care of CO2 management. Unlike the previous government, which did not take any action in relation to this, one now has a government that really takes offensive action. It's demanding to go to the front. We're ploughing new ground in this area. It is demanding in relation to EEA legislation, it is demanding technologically. But we are going into this with the greatest enthusiasm and zeal – an zeal that the whole government is behind, seafaringly speaking – and with the clear aim that we should be able to follow up the great ambitions set out in the Mongstad agreement. It's a tight time span, but to put it so simply: it requires the climate challenges.
ParlaMint-NO_2007-11-08.ana.ud1064e1135	I find that the Council of State is new to the job and therefore does not have sufficient personal experience from the work that took place around Mongstad in April at Stortinget, nor does it understand the basis for the criticism. I'll leave it to you. But I'm recording that in April, the Energy and Environment Committee took this up. Then there was no particular concern on the part of the Government, as if this were going well. The red-green batches in the committee also did not address the issue in the comments in the vote. It shows, in my view, that the government parties have taken this very lightly. Then it's a little hollow to come today and express this concern, as if the government has had it for a long time. Back to Mongstad: The council said that in conversation with the actors you should try to get this done. But are these actors Norwegian, or are they foreign? Meg is well-known, after talks with industry and industry, no Norwegian actors, either on Kårstø or Mongstad, are prequalified to participate in this great moon landing. The Committee clearly expressed its view that the Norwegian industry was supposed to be the operators here. [[The President clubs.]] Then I ask the Council of State to respond to this: Is it appropriate for some Norwegian actors to be strongly involved today? [[President clubs]]
ParlaMint-NO_2007-11-08.ana.ud1064e1146	In the case of Mongstad, Statoil is the dominant company, and the company with which we have agreed. That's essentially Statoil, now StatoilHydro, which is the basis for the development of Mongstad, and then we're going to see which other actors we want with us in the long term. It's as Norwegian as it can be. As far as Kårstø is concerned, we are in the process of clarifying the basis of competition. When the competition is clear, I would like to have a discussion with the representative. So it will be up to Norwegian business how they will relate to the basis of competition. This is at work, and it comes around the next turn.
ParlaMint-NO_2007-11-08.ana.ud1064e1153	The cord shift is over.
