ParlaMint-NO_2007-06-15.ana.ud714e76	The representative Mr Børge Brende will make a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e1619	It is a pleasure for me on behalf of the Center Party and the Government to stress once again that when it applies to road, we are also on the right path. In contrast to previous governments, this government actually follows the national transport plan. At the same time, we take the local people seriously. There are quite a number of local initiatives where people want to supplement the public contributions to get even more going. And I have to say that it's something that I'm surprised about, it's the Progress Party, which couldn't get more money on the road in the previous period, despite being involved in three budgets, and which last night tuned down a big project where the local people were gathering and wanting tolls to make better communication happen.
ParlaMint-NO_2007-06-15.ana.ud714e1624	The representative of Meltveit Kleppa is liberatingly honest when she says that there is a lot to be done in soothsaying and for the poor. In a reply earlier today between the representative Peter Skovholt Gitmark and the committee leader, Skovholt Gitmark referred to the opinion of the Board of Directors in Rusfeld. They felt that they were not even sitting up to the table, but very far down, that the health minister had pushed the drug field back under the table, and that it was not now granted a single penny to start a bet that had been announced for almost two years. He quoted from their websites. This defecate committee leader as crazy premisses and conclusions. Does the representative, Mr Meltveit Kleppa, share this opinion on the opinions of those who do?
ParlaMint-NO_2007-06-15.ana.ud714e1631	Let me say first that there are some points of light in the debate today, and one of them is Right's commitment both in the field of drugs and when it concerns poverty. We actually didn't see that much in the previous period in Stortinget. So it's the trade union's task to point out that there are unresolved tasks in this field. They've actually been with this billion over many years, regardless of who has the seat of government, and that's important, that's their task. But let me point to a field of ownership that means an extreme difference in a short time, that is, the strengthened municipal economy, which means that municipalities have a completely different way of following up each drug burden from the need for treatment and aftercare. But there are unresolved tasks – action plan coming.
ParlaMint-NO_2007-06-15.ana.ud714e1636	We are on the right track, but half the time there is still a lot left, says Meltveit Kleppa, and that makes me a little curious. For at the Central Party’s national meeting, it was agreed that the social security rights of self-employed persons in connection with pregnancy and childbirth should be equated with what ordinary workers have. Following the national meeting, the party leader and councillor Åslaug Haga elaborated on this further and said: ‘Many women in the districts are struggling to find exciting jobs. Therefore, many of them start their own business instead. If they are now given the same rights as ordinary workers in pregnancy and childbirth, I think even more people will take the step.’ The Christian People's Party is completely united in this. It's an essential part of our business policy. For this reason, we have also put forward proposals on this in the 2007 and now revised national budgets, in the left and right teams. My question is: can the Central Party guarantee its parliamentary leader – and I stress the guarantee – that these rights will be introduced from 1 January 2008? In that case, I can guarantee the Christian People's Party's support for this important action.
ParlaMint-NO_2007-06-15.ana.ud714e1648	I don't think this is the day to come with guarantees. But I haven't been able to avoid registering that the Christian People's Party has been very active with different suggestions that they strangely didn't get through or worked on, after what we saw, while they were in government, not just one or two years, but actually four years. And then they come with this now. It's quite right, in this field, the Christian People's Party and the Center Party stand together. We're busy securing the founders. We're busy securing more female and more self-employed totals. This is a case that has not been added to it, but any guarantee that it will be implemented from 1 January 2008, I cannot give today. But that the Center Party is dealing with the case, it's firm.
ParlaMint-NO_2007-06-15.ana.ud714e1655	In St. prp. No 1 for 2006-2007, it appears that Trillemarka will be protected during this year. There has been no disclaimer from the Government of this. In the election campaign, the message from the Center Party was crystal clear: Forced protection in Trillemarka is not applicable. Since then, the Central Party Group has twice voted against proposals in Stortinget to accept compulsory protection in Trillemarka in Buskerud. Today can be the third time the Center Party does it. And then I wonder, is it still not relevant for the Central Party to contribute to the compulsory protection of the Trillemarka? And how – if ever – will this be expressed in the Storting?
ParlaMint-NO_2007-06-15.ana.ud714e1662	Let me congratulate Mr Lien on saying that the Central Party has in no way changed its view on this matter. We think this is a matter that is very easy for us to deal with, in the sense that this is so broad a deal between different instances locally. And at the same time, when we're in government -- something that the Progress Party doesn't have practice in that far -- there's a lot of different things that need to be clarified, which have to be spent time on, and where it's actually important to spend time. The protection of the Trillemark is such a matter. That means that in the Central Party, we don't have the way of working, that we're voting for all the proposals here in the Stortinget that we're working with, because we're working together in a community in the Government.
ParlaMint-NO_2007-06-15.ana.ud714e1669	When writing the textbook on lifting breaks, a person will find many crown examples from the Soria Moria Declaration. One of them concerns the gas power plant at Kårstø, the highly polluting gas power plant that is opened in the autumn and which the Government has promised to clean by 2009. Now the new date is 2012, and there are figures on the table that show that the cost of cleaning will be between 700 and 1 400 kroner per person. tonnes. Can the rogaland representative Meltveit Kleppa guarantee that during the autumn a decision will be taken on the cleaning of the gas power plant on Kårstø, so that it will be implemented – not when the government parties promised it, but at least as soon as possible? So it might be interesting to hear if this satisfaction with the development also includes the record-high displacement current that is now experienced from the districts into more central struts.
ParlaMint-NO_2007-06-15.ana.ud714e1676	Let me do the last one first. It's like good times have a centralising effect. The representative Kvassheim can find this in textbooks that are already written. The central party is not happy with the numbers that are coming, but we are very happy that we are participating in a government that actively counteracts the movement stream, as opposed to the previous government. There are a number of measures, ranging from local economy and transport to special initiatives in specific communities. Then to Kårstø. The promise from the Government that Kårstø will be cleansed as soon as possible is firm, but I also believe the leader of the Energy and Environment Committee knows that it cannot be done until it is technically and economically sound.
ParlaMint-NO_2007-06-15.ana.ud714e1683	This means that the cord shift is over.
ParlaMint-NO_2007-06-15.ana.ud714e1687	In case of a mistake, I was fed away with only five minutes in my main post. So I get five more minutes, hanging a little bit in the loose air, without a string change, but I'm out enough to say that mistakes can all do. I'm going to use the time to say something other than what I would have said then, except that I would like to say that there are three areas that are prioritised in the Left's repriorities of about NOK 1.5 billion. One relates to climate, which was not least about replication, where we do not choose to buy climate quotas now, but start action at home. Not least it was the representative Heikki Holmås who asked about it. We focus more on climate research, we want more on public transport in big cities and investment aid for renewable energy – and not least 100 million. kr to climate municipalities. That's the answer to why we re-prioritize as we do in that area. In terms of more for those who need the most, poverty efforts, our investment is significantly higher than the government's, with citizens' wages, free dental care for some groups, increased spending on care and more areas of action for people who have problems getting into the labour market, together with just under 200 million. kr. Finally, I would like to point out that the Left is the only ones who will grant money for better social arrangements for self-employed workers as of 1 July. We stand together with the Right and Christian People's Party in a great entrepreneurial effort in this budget. It shows real willingness to re-prioritize. We're approaching the closing three-minute round of revision, and I'll spend the last few minutes on some reflections. Now that we have come halfway through this great period, I think it is in place with some reflections on what two years of majority rule have done with the political change of word, the political debate in our Parliament and in the public space at all. I think, first of all, that it may be a point to point out the attitude we have today towards treatment – I also mentioned something about this in Odelstinget earlier this week, when we dealt with the tax matters. In this setting, several hundred pages represent the government's own comments, summed, up to half a page. There is something about – not least when we have a majority government – that when the minority, the opposition, who has such an important role in our democracy, argues, makes proposals and criticises the Government, I think we have a demand for counter-arguments. That is the very heart of the understanding of democracy. And I experience it as unnecessary and as a little arrogant not even wanting to relate to the arguments that the opposition has. Not least, a majority government has such a responsibility. It would be quite unimaginable under minority regimes to act this way towards the opposition. That's one point. Fortunately, we have a debate today, but I think this also belongs in an attitude so that more people can access it. Then we experience a situation this spring, at the end of the collapse session, halfway through a government period and just before a election, where it becomes impossible to liquidate party leadership debates in the public space through the television channels. Government party leaders say no. And since I am the longest party leader in this house, from the last century on, I must say with a certain weight: I have never looked at my husband! Clearly, it is a basis for our democracy that the political leaders set up in public space to change words at these important milestones that this represents. This would have been completely unimaginable by minority governments. I don't remember party leaders in minority governments ever prioritizing everything else to make themselves available in public space to defend what they stood for. Then you can make a big point out of the fact that the things come late from the government. The government has the right to labor and work with its conclusions as much as they like, and to fart and fart so it goes overtime. We can establish that the historical event is that the Storting must meet again next week because the Government was unable to conclude early enough in important matters. And we know that there are great issues for treatment – and perhaps the biggest of all this summer, before the fall elections – that the government has not yet come with. I think about the climate objectives and the sectoral plans. It is probably the government's right to use the time they need, but I just remember that we are now in danger of having this served for debate in the public space at a time when the Storting has taken vacation, when there are no TV debates, and what is the very democratic mechanism behind major issues from a government is not working. That is a problem for democracy. Finally, I hope and wish that someone from the government would comment on these things during the three-minute round. But at least I hope that it can contribute to the government side, the government itself and the majority of the government here in the Storting, reflecting around this through this summer: how to meet the public debate and the Storing in the next two years. What is increasingly a ‘snakkis’ among politicians, and as one hears in the press, is how the Government and government parties in all contexts spend so much of their time attacking the previous government. This is understandable during a transitional period. Now two years have passed, and it seems more and more obvious that what unites this government most of all is the opposition to the previous government. We also see government councils – I observed e.g. The Minister of Culture, who just left the Chamber — who in the last few days has had a state council conduct in this Chamber that does not belong here, where there is more to being an opposition politician and dreaming back to it. That's not how a member of the government should behave, and I hope there's a change in the next two years.
ParlaMint-NO_2007-06-15.ana.ud714e1713	The revised budget is not a new ordinary budgetary procedure in which a person opens, or opens the ‘ballet’, to change everything or to make the major changes. One shall adjust and one shall revise, and one shall do as the representative Sponheim said in his first post, one shall show the way. I am very pleased that the Government, while reducing the use of oil money by SEK 3.2 billion, has found room for prioritizing several important areas. And it does so without it exceeding the rule of action. It's actually under 4 pst. And it's been historically since the rule of action was introduced. The government and the red-green majority provide increased appropriations for children, young people and training, to strengthen environmental efforts and for action in districts. It also shows here that it prioritises the areas that are most important for the red-green areas. Kindergartens and kindergartens are being strengthened, and it's very good. As a result of the establishment of more new kindergartens in 2006 than one had assumed, the target figure for the development of new kindergartens has been adjusted in 2007. A capacity increase in 2006-2007 is now being taken into account in a total of 38 000 full-day locations, where 16 000 were taken in 2006 and where 22 000 are now to be taken in 2007. There are about 6,000 more places for this two-year period than what was foreseen in the aged budget. It's the strongest growth in the number of nursery places ever, and it means a step in the right direction towards full coverage. The fact that one increases the appropriations for kindergartens by 370 million. kr, is in line with the previous priorities of the Government, and it delights many young children’s parents. It is also very good that the red-green parties prioritise the state child protection. The government here proposes to increase the operational appropriations for the State Child Protection Agency by 220 million. Extra kroner. This is due to the fact that several children are under care and that one has increased the cost of child protection measures. As one of the parents who now for a few years has paid off their own pocket – and I can afford that, not everyone has – for my son to get fruit in school, which he appreciates incredibly, and which I as a mother think is dietaryly very right, I am pleased that everyone, regardless of the size of the wallet, is now going to get free fruit in high school. It helps to ensure that both children and young people get good dietary habits, which in turn provides a basis for good learning outcomes in school. This will cost approx. Eighty-seven million. kr per year. It is well spent money to get a healthier and happier youth. The government also prioritises environmental measures. It proposes an increase for different environmental purposes of about 160 million. kr. In the field of transport, increased public transport appropriations are proposed in cities, the so-called reward scheme being reintroduced. We know that both in the big cities and out there people weren't so happy when we took it out of the budget in 2007, but now the government and the red-green parties have decided to do as Prøysen said – fix failed from yesterday. People in big cities are happy that we do, and we who are engaged in public transport think that's good. I have to comment that the Progress Party has said several times here in today's debate that the Government does not give priority to health and transport. It becomes strange when one knows that we have given more for both purposes than the Progress Party ever succeeded when they had influence, or at least had the hand partly on the steering wheel in connection with Bondevik's budget. So we've spent $2.9 billion more on transportation. In health, we've spent NOK 1.5 billion more. I remember what the Progress Party was most concerned about when they had their hand partly on the steering wheel. It was to remove the annual fee on the caravan. We're delivering a lot more than that, and we're going to keep doing that. When parts of the opposition in the form of a note write that the government in the revised national budget does not show political priorities and direction, I believe that what has already been said in the hall of my comrades in the red-green parties, elegantly refutes what has been said by the opposition. We're clear on what we want, where we're going, and what's the most important area for us. Since we took over the government, the red-green parties have clearly prioritised. We've given the kindergartens $6.5 billion. We have given the municipalities 14.5 billion kroner. We have said how we want it to be. Then the representative Hageseter or the representative Siv Jensen can call it self-crust, or call it blush, because that's true – and one does not get away from the truth.
ParlaMint-NO_2007-06-15.ana.ud714e1734	In this revised budget, the government has clearly shown that all public debate and budgetary priorities are entirely irrelevant. After the budget has been settled by the government, the matter is closed and settled. No matter what fishermen, farmers, teachers, health professionals, industrial workers, business organisations – or whoever you are – think, the budget is set. Government parties may hear politely at various hearings and may even express a certain understanding of recordings that may come, but in any case, the budget is determined. It cannot be seen in any other way than that the draft budget in the eyes of the government parties is perfect. But is the draft budget perfectly seen with the eyes of the people? Have the majority parties really been able to do everything within the budgetary framework to which all parties in this Chamber – except one – still consider it reasonable to do so? No, it's impossible for the majority parties to think so. The Christian People's Party has pointed out in its comments that there is still room to do more — much more — to combat the division of labour. We see it demonstrated with all clarity. Even in a labour market that cries out for labour — and not just for highly educated and specialised labour — a quarter of the population of so-called pre-employment age is still out of regular employment. It's a huge challenge, and we're not near to meeting it. It is obvious that many people need more assistance — much more assistance — than just a call from the employment and welfare services to apply for job vacancies. It is widely known that people are in line for such assistance. When the government gets over 100 million. At the top of this field, it is a big mystery to me that it chooses not to strengthen its efforts towards the too many who fall outside the ordinary labour market – at least if this is still a job no. 1st@item: inlistbox The Christian People's Party also records that the Government has ample time to move forward with a commitment to care. We have supported, and will continue to support, each krona of increased free income to the municipalities that this government proposes. We agree with the Government that good municipal economy is a necessary prerequisite for achieving the goal of a care service that we can be proud of. But for the Christian People's Party it is so important that we would like to move on now! Do not the government parties really have a single extra crown to set aside in the current year's budget to translate good intentions in the care notification into action? It should be in place to bet something more already in the autumn on care in the municipalities, and on rehabilitation. And so – and should – the government could come back to the autumn budget with an obligating plan to invest in this. That train has not yet left, and I hope that you will take the extra chance that lies there. Let me address the biggest challenge we face in the fight for safe and good growth conditions, namely the climate challenge. Both the United Nations Climate Panel, the British Stern report and the Norwegian Low Emissions Committee conclude that it is possible to reduce climate emissions by two thirds by 2050, and that this is most profitable the earlier we start reductions. Is there one thing that points out as a matter where we need the widest possible political gathering and a great common promise for our nation and for a common future, it is this. Measures affecting both consumption patterns and ways of thinking in this country will need to be implemented. The time has come for it. People are ready for that. We can't afford to wait. Therefore, I am disappointed to note that even in this matter, the Government and government parties have used all their powers so far to discuss internally. The greatest challenge of our time has been reduced to a question of internal draw fights in the Government. I want to repeat what is in the setting. The Christian People's Party and the other two parties from the previous co-operation government are ready to take responsibility for a broad climate settlement, where both international quota trade and domestic measures that are labelled will be included. It's an outstretched and open hand from our side. However, our experience is that the government's definition of reconciliation and cooperation is often that the Storting should adopt the pre-processed internal compromises in the Government, without as much as moving a comma. Of course, the government has the full opportunity to do so, but when that strategy is also used for long-term policy responses to the climate challenges offensively, the political slump has taken over. It is five to twelve in terms of identifying broad and good policy collections on domestic climate action plans. But the government still has five more minutes – if it will.
ParlaMint-NO_2007-06-15.ana.ud714e1753	It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e1756	I would like to draw attention to considerations about interest rate policy, among other things. In a joint comment with the Right and the Left, the Christian People's Party criticises the Government for promoting a revised budget which, on the one hand, is exposed to political priorities and, at the same time, does not help to dampen the pressure in the economy. In its own draft budget, the Christian People's Party proposes 82 million. kr in tightening and moving 630 mill. kr. My question is whether the Christian People's Party believes it is a significantly changed arrangement in relation to its own demands that the party makes to us in terms of profile and tightening.
ParlaMint-NO_2007-06-15.ana.ud714e1763	The proposal that the Christian People's Party has made, including those parts of what we are together with other parties, is a substantially different approach in terms of political direction and priorities. Among other things, we have based on the labour market situation, priority is far higher than the Government's efforts for the most weak in the labour market. With regard to the tightening-up effect of our approach in relation to the Government's arrangements, it is not significantly different, and what we think is most important is that the Government in this context has chosen a rather unprofiled revision process, and has opted for a revision process that does not include any kind of changes or adjustments from the opposition side of the Storting. It's the most eye-catching thing about this arrangement, not exactly the question of the tightening effect.
ParlaMint-NO_2007-06-15.ana.ud714e1770	The representative on the high bank is busy getting a wide climate settlement. It could be heard, in the way he expressed himself, as if he thought that these conversations should take place in the Storting before the Government has clarified its own position. I registered that Per-Kristian Foss had a different view of this. He said earlier today that in the government of which he had been a part, there was no discussion 'outward'. Is it so that the representative Højbrätten is in conflict with Per-Christian Foss, or does he understand that it is really important to clarify internally in a government before inviting others to settle?
ParlaMint-NO_2007-06-15.ana.ud714e1775	Let me first say that the government of course has the right to make the necessary clarifications within before it discusses outwards. Maybe it should do it in some areas to a greater extent, and it would have avoided getting a lot of the opposition function from its own ranks. But when that is said, it cannot be so, if the government wants a settlement or cooperation in the Storting, that it comes with negotiated solutions, ready-made solutions, which it is not possible to change in the Storting. Unfortunately, this has happened in the revised national budget, the case of Stortinget now deals with. Unfortunately, it has happened in a number of other cases that the Christian People's Party has tried to settle – the notification of care is the largest and most important, but the fisheries structure policy is another example where it was the case. It was simply so hairy compromises that the government had reached, that it was unable to negotiate with the Stortinget. That's what we're gonna fear about climate policy, too, and it gets more embarrassing for every day that goes, that the government doesn't bring its climate policy to the Storting.
ParlaMint-NO_2007-06-15.ana.ud714e1782	It was not exactly the case that Ludvigsen, in dealing with fisheries policy in the last period, had an extensive hand for us, which today are government parties, in relation to how the fisheries policy was designed. So that's exactly what I think maybe was a little bad example. But I would like to say that, with regard to the overall budgetary policy of the government parties and the Christian People's Party, the view of economic conditions and the view of priorities has been very close. I expect that Dagfinn Højbrätten is comfortable that we now, after the new government took over, have NOK 12 billion more, funds that were previously used for tax relief, which are now used for public welfare at different points. Just one question: I'm very concerned that we're going to get a wide bet on climate. But I expect Dagfinn Højbrätten to also agree that when we present something to the Stortinget, the negotiations on climate issues cannot at least be drawn in a less ambitious direction. We know that some of the games on Stortinget do.
ParlaMint-NO_2007-06-15.ana.ud714e1791	I can guarantee the representative Heikki Holmås that the Christian People's Party will not draw that climate agreement in any less ambitious direction, and I think the representative knows that too. But now the representative Heikki Holmås is guilty of what has become a pattern from the government parties and its state councils towards Stortinget lately. Instead of responding to challenges, you attack, attack the policies and positions of the previous government, and you often do it on a false basis. It is quite correct that this government agreed to cooperate on a fisheries policy settlement, but when the matter came to Stortinget, it was impossible to get the government parties to move on a comma. That is correct, the representative Holmås cannot deny it. But I regret that, because we were actually prepared for a dialogue with the Government on fisheries policy.
ParlaMint-NO_2007-06-15.ana.ud714e1798	I will follow up on the representative Alf E. Jakobsen, who earlier today gave tribute to the representative Syversen for the Christian People's Party doing something that is good, you should have it – to say it first. So I want to follow up on the Aasen Agdestein question. It is such that, on the proposal of the Christian People's Party for containment, the Christian People's Party will take 140 million. kr from the stock item. Isn't that a little bit of budgetary bridging to do that? And what's the point of a saving of $82 million? kr if you have to cover it from the country's own account?
ParlaMint-NO_2007-06-15.ana.ud714e1806	I would like to say to Mr Sund: thank you in the same way. Fortunately, in most cases, we have too much sense of each other's positions. What I don't have a lot of sense for is the attempt to produce a cut at the cross post in the order of magnitude that we're talking about here, which is unprofessional. It is perfectly clear that any government that comes to the Grand Duchy and is to deal with a matter as a revised national budget should be prepared to allow for certain adjustments to the external item. I've been in several governments and I've been in on it. It's nothing extraordinary, and it's nothing unprofessional. It's a real discovery that we've assessed based on the information we have on the size of the miscellaneous item and the experience we have with what it's used for.
ParlaMint-NO_2007-06-15.ana.ud714e1813	I hear that the representative Højbräten says that the budget is unprofiled, while he is direct and says that the Christian People's Party is coming, despite all the modest changes. It's opaque. It's a minor consumption in relation to the government of $82 million. SEK, of which financed by 100 million. kr above the stock item, so in sum there is no difference. It is clear that the representative, Højbråten, has a point as to whether the Storting should not be able to fine-tune the budget when it comes here. It is a position that not only the representative Højbrätten understands, but also others share it. I took a line because I think it was a little strong words the leader of the Christian People's Party used when he talked about it being “merciful” for the Government in relation to the environment. Would it not have been a thought that the Christian People's Party could have been clear and come up with its options in relation to the climate challenges? I want to ask a specific question: Is the Christian People's Party going in to electrify the socket? It would be a concrete measure like monks.
ParlaMint-NO_2007-06-15.ana.ud714e1824	The Christian People's Party has presented its alternatives in a broad climate policy action plan adopted by our government in spring. We support action on the base, we support action in the transport sector, we support action in relation to households, and we support the Central Party in demanding that two-thirds of the measures should be taken in Norway. I also understand that representatives such as Lundtegen from the government parties think it is bad that the Stortinget has nothing to say about moving on to anything in this revised budget. It's probably an opinion that goes far into the ranks of the government parties. I would like to insist that the government side acts as a paralytic in the major issues – climate, care for the elderly, poverty. And when it comes to some other important issues in which the Government shows the power of action, the development is going in the wrong direction. This applies to the Bioethics Act, to the Marriage Act, and to the anchoring of values for schools and kindergartens. Here the government is going directly in the wrong direction.
ParlaMint-NO_2007-06-15.ana.ud714e1831	The cord shift is over.
ParlaMint-NO_2007-06-15.ana.ud714e1834	In many contexts, there is a debate about the intergenerational relationship, and there is talk of a generational account. I also think this is a moral dilemma and a moral problem. The older part of the population, the generation before me, lived in a time when there was not so much abundance. They also financed their last generation pensions, they paid taxes and taxes to build the country after the war, and they have worn a lot. Then it happens that the state economy is gradually going much, much better. They will then be told that we cannot afford to provide elderly care without cows and waiting lists – also called order servers for the providers of these services. They are told that in the case of pensions, too much money is being spent, so a commission is being set up to reduce pension payments for the future – not for those who are pensioners today. But they experience a lack of regulation of the basic amount over many years, as the Norwegian Pensioners' Association has pointed out many times. It's a significant slowdown in terms of whether G was regulated in line with wage developments, which was probably meant to be. And they know that they're still being viewed as a burden on the state economy. This, I think, is attitudes that are completely immoral. When the state economy this year is made up of a profit of NOK 338 billion, all the other parties in this room say that it is extravagant and almost stupid when the Progress Party proposes well under DKK 10 billion of the DKK 338 billion to increase the minimum pension at least, and comply with the wishes expressed by the Norwegian Pensioners' Association in terms of both young disabled and minimum pensioners in particular. I think it's sad. I assume it's because you've been fooling around by some tailor- and weaver-economists who claim this. And I've probably also heard the governor say that if the Storing and the government spend more of their huge profits on behalf of the Norwegian population – and in particular on behalf of the weakest and sufferers – interest will rise. I wish Minister of Finance Kristin Halvorsen could whisper a few words in his ear – and perhaps through the newspapers – that what he should have said, if he was honest, was that if the accumulation and government don't do as he wants, he would punish the Norwegian people by setting up the interest rate. It is he and his chief rule who decide it – no outsider. When you set up the interest rate, you also punish all those who have not increased their borrowings – who took up their loans four to five years ago. They're being punished because you have some remarkable macroeconomic theories. In its revised national budget, the Progress Party continues its efforts to improve the situation of the elderly, those who are most disadvantaged and those who need health care. We're increasing the hospital budgets by 700 million. kr. We are increasing the earmarked allocation to municipalities of NOK 1 billion, which is to be used to increase the volume and quality of elderly care services under the control of the county. We know we have capacity. In fact, the government parties of the Centre Party and the Socialist Left Party and those behind the Workers' Party, namely the trade unions, say that we have a lot of unused resources – in the form of small job breaks in healthcare and in the care of the elderly and in the form of people who would like to work more, which would increase the scope of the service, which in turn would mean more time and more staff in home care, in home care and in hospitals. But there is no money to pay any wages to do that work. At least we're strengthening this – with $1 billion. The funds are earmarked, so the municipalities can't use them in other areas. The Progress Party is only in Stortingen to say that if you want to improve care for the elderly, you have to give money to care for the elderly. You can't give money to anything else – and then send a prayer to some place and hope that you spend the money there on what we want. If we have a purpose, we need to control the money more than what goes on for the economy in general. I find with sadness that at present only the Progress Party is occupied by the weakest of the elderly, by the minimum pensioners and by those who need health care – in the sense that when we see the obvious shortcomings, we will do something about it during the revision of the budget. Everyone else speaks and speaks for – and then they vote against.
ParlaMint-NO_2007-06-15.ana.ud714e1853	For the Government, it is important to invest in those children who do not experience enough security and stability within their own family. It is therefore important for me to start by saying that this budget is raising children's children's protection – children for whom we must jointly take responsibility for getting a good and safe life. I would like to remind you that over 30 000 children receive help from Norwegian Child Protection. The vast majority of these children get good help from competent and committed employees, who do their utmost to make assistance the best possible. In this debate, I want to give those who spend years of their lives helping these children and their families. State child protection has been through a very demanding process of conversion. Despite the economic challenges, government child protection employees have done a great job. We know we're on the right track. More people today get help. Several people get help outside the institution, and more children get help where they live. We also see that there has been a improvement in the field of science and research. Today, we ensure a knowledge-based child protection, where, in addition to meeting love, children also meet subjects and new working methods, which help them to live a better life. In this revised budget, the Government proposes to increase the operational framework for the State Child Protection by 220 million. kr the current year. This budget is not unprovoked – as the representative Højbrätten called it instead – but an offensive effort. We use the revised budget to promote our misguided policies. I am pleased that a total increase supports the Government's proposal. It's very important that we have a political commitment to our child protection. I want a lot of debate and commitment to child protection, not least in the municipalities, where 80 pst. of the total work on child protection. That is why we also attach great importance to the repatriation of the municipal political debate on child protection. This government has provided the municipalities with a financial framework that the former bourgeois governments have only been able to fantasize about. We've made it possible to bet well and forward-looking on municipal child protection, and we've increased the appropriations for state child protection considerably since we took over government power a short time ago. The National Audit Office has had significant observations on the accounts of Bufatat both in 2004 and 2005. That is why we have carried out an external review of the use of resources and governance in the state child protection. I can promise Stortinget that we will continue to follow the situation very closely and have a close dialogue with the Children's, Youth and Family Directorate. Furthermore, the National Audit Office is now running an administrative audit of the national child protection system to be published for the autumn. After the Riksrevision has presented its findings, the Ministry will carry out a broad evaluation of the entire reform since the government assumed responsibility for the child protection of the county municipality. Let me end as I started: a critical look at the economy, systems and organization is primarily important for the sake of the children. Systems have no value in themselves. We need to ensure that the money we allocate is spent as best we can, and we need to ensure that the services are organised in such a way that they meet the needs of these children.
ParlaMint-NO_2007-06-15.ana.ud714e1879	It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e1882	In the 2007 budget, EUR 3.8 billion was allocated to the State Child Protection Agency. In 2006, there was an additional allocation of 200 million. kr. Now there's another additional allocation of over 220 million. kr to the State Children's Protection. The Council of State pointed out that the Riksrevision has been very critical to the accountancy in Buffetat. The Council of State itself says that there are now more effective measures in the field of child protection, so there are fewer children in institutions. Nevertheless, this budget is increasing by 220 million. kr. Can the Council of State assure the Government that Bufdir and Bufetat now have control of the economy, so that we release more appropriations and more comments from the Riksrevision?
ParlaMint-NO_2007-06-15.ana.ud714e1889	This government will continue to contribute increased appropriations for the protection of state children if we believe that it is sound. As Stortinget is very well known, this government took over a reform that was directly underfunded by the former government. The fact that we have entered into and taken responsibility in each budgetary round to improve the situation of the most vulnerable children, I believe is sound political treatment. We have taken a number of steps to ensure that we get the most out of the money we put into the state child protection. We have a management system to ensure that Bufetat remains within the limits granted. But we can't fully guard ourselves against there being some factors in the future that make us have to go in and quality assurance, and if necessary we will come up with supplementary appropriations. What this government has said about the state child protection is that we should use it as a tool to help the most vulnerable children. The meaning of national child protection is to provide the municipalities with more professional help.
ParlaMint-NO_2007-06-15.ana.ud714e1898	It's right, as the council says, that the municipalities need help, and that 80 pst. child protection takes place in the municipalities. Fortunately, it is now possible for municipalities to enjoy increased tax access and better economy. But the economic report tells us that only 34 pst. of the municipalities increase the provision of child protection, and half of the municipalities say that they do not have the power to operate sound child protection. The central government of the municipalities indicates that 800 posts are needed. That means it's pretty far ahead. My question to the Council of State is: what will she do to help us get a reinforcement in the municipalities as well, and then I think in addition to the purely financial, which I now expect is in place?
ParlaMint-NO_2007-06-15.ana.ud714e1905	I can't stand to say that I am very pleased with the cooperation government we have, and the finance minister we have, who has been willing to raise the local economy as significantly as we have done. This means that it is actually possible today for child protection to compete much more with care for the elderly, with kindergartens and with other good purposes in the municipalities. This is the situation in which Norwegian child protection has been provided. Therefore, from the first day, I have been concerned that we need to politicise child protection far more strongly in the municipalities. We have taken a number of initiatives to this end, including: by engaging in a direct dialogue with the KS system. We have had, and we are going to have more meetings with advisers and rapporteurs all over the country all over the autumn, just to put these children's situation much stronger on the agenda. Nor can we deny that the economic situation of municipalities has not been very good in recent years. But through the laborious promise we're making now, the numbers that the representative himself had in mind show that child protection is going in the right direction. [[President clubs]] [[President clubs]]
