ParlaMint-HR_2021-06-24-0.u42830	Now it's Mrs. Vukovac's turn to present the position of the House Movement Representatives Club.
ParlaMint-HR_2021-06-24-0.u53087	Here's a gentleman's answer.
ParlaMint-HR_2021-06-24-0.u53088	So, you didn't listen to me very carefully, and at the beginning of my debate, I apologized to all those people in the judiciary, the lawyers and the police who are doing their job honestly. When I was talking about closed caste, I was talking about the current Supreme Court structure, and you can't tell me that there's no caste closed when no one, we let now Zlata Djurdjevic, none of the candidates who answered this public call, and not a member or member of the Supreme Court is good enough for them 38 at a secret session behind closed doors. Don't be mad at me. It's caste behavior. As for Zoran Milanovic, I am not his lawyer, nor do I plan to be his lawyer, every man has his own style of work and behavior, he has his own, I have mine, you have yours, and whoever's to blame for whether Zlata Djurdjevic will be elected or not will be the ones who will or will not vote for it, and Zoran Milanovic here, as far as I know, will not sit.
ParlaMint-HR_2021-06-24-0.u53089	Injury of the Rules of Procedure, Mrs. Oreshkovic.
ParlaMint-HR_2021-06-24-0.u53090	238, I find it offensive to say that I did not listen carefully to the judiciary, and as far as the Supreme Court is concerned, I personally have had a terrible amount of objections to the judiciary, how to solve these problems even in 2019, I wrote to the Croatian Parliament to resolve it. However, we all forget at the Supreme Court there are very many high-quality judges who have invested in their scientific and professional qualifications for decades and have apparently some of their reasons by reading the work programmes of individual candidates. and have on those candidates remarks. [[Intruder: Thank you very much, time.]]
ParlaMint-HR_2021-06-24-0.u53091	It was a replica across all the canons of replicas and I have to give you a reminder, by all the canons of replicas. And now it's Mr. Damir Habian's turn, this vision of me today is not the one that was otherwise sharp and excellent.
ParlaMint-HR_2021-06-24-0.u53092	Thank you, well-respected Vice President of the Croatian Parliament. Dear colleagues and colleagues, the election of the President or President of the Supreme Court in the last few months is definitely in the public's focus, and I would say that this is actually normal and common since it is about selecting the highest judicial officer in our judicial system. Unfortunately, however, the choice of President of the Supreme Court is not a public focus because of its importance, but because of the strange derrogation of the positive rules of the Republic of Croatia and insisting on a procedure contrary to the provisions of the Law on Courts, with consciously ignoring the decisions of the Constitutional Court of the Republic of Croatia. So today we are discussing the motion for a decision made by the President of the Republic, we are discussing a specific person, we are discussing its programme that has been delivered, which has also been presented on the Justice Committee, but I do not think we can ignore certain facts that occurred during the first public call. I also do not think that we can ignore the fact that, first of all, a public invitation was called for the selection of the candidate of the Republic of Croatia as a judge at the European Court of Human Rights where I personally participated as a member of the commission that opened the tender, which held a conversation with candidates including Prof. Djurdjevic. There were a total of 7 candidates and candidates and all of them answered a public call. What I'm interested in, which I didn't get a response to on the Justice Committee, so where did this Copernicus turn happen, how did that happen? Djurdjevic made a public call six months ago, and now she hasn't answered. How is that possible? It's also an interesting thesis that Professor. Djurdjevic gave a daily newspaper where I quote it, he cannot question the constitutionality of someone's proceedings until the Constitutional Court makes a decision on it. So, if I understand her quote correctly, it turns out that the laws that are in force can be ignored, that these laws can only be violated because someone thinks that it is not in accordance with the Constitution. We can give a plastic example, does this mean that, for example, a group of citizens who disagree with the provisions of the Law on Discrimination of Discrimination feel that they are the same unconstitutional can for so long as the Constitutional Court does not confirm that they are in conformity with the constitution to ignore this law and violate those provisions. Does that mean anything? Also in the debate before the Parliamentary Committee on Justice in the presentation of the programme of Prof. Djurdjevic has put great emphasis on the issue of instructive deadlines or the fact that judicial authorities are over-compensating the same contributions in some way by stalling the court proceedings themselves. In fact, they can agree in that part, however, what is more interesting is the time limit for making public calls because respect for the procedure is a pre-inclusive time limit and its overrun comes to the loss of the right to take a certain action, so I find it unclear that in my programme as one of the elements for speeding up the resolution of court proceedings, it states that it has not made a public call within a pre-inclusive period, and after missing that deadline which leads to the loss of the right to take action, concrete participation in this process, it agrees to be part of that procedure. How's that? What is particularly surprising is that such a procedure by the President of the Republic of Croatia is supported by the SDP, which is precisely the SDP during the amendment and addition of the Courts Act 2018. commended and supported the above changes. For example, the then parliamentary representative and former justice minister, and now the head of the office of president of the Republic of Croatia, said during the debate, i.e. 2018. in this home, I quote: Certainly one of the best things the law adopts is to regulate the election of the Supreme Court president, there we have been deficiting so far and that is a great shift. It's a finished quote. Now the question is which is the real SDP, so is it the one from 2018? which has advocated this very procedure of election, so the Supreme Court president or this SDP now in favour of the illegal election of the Supreme Court president? It also raises the question which is the real president of the SDP, or whether it is a colleague of Grbin, who is 2018. In this assembly, too, the new election procedure of the Supreme Court President called a good solution or a colleague of Bauk who is now initiating a procedure for assessing compliance with the constitution of this particular law? I hope there's an opportunity in the replicas to say something more concrete about the very objections to the program. These are some of the reasons why I believe that the proposed candidate cannot perform the post of Supreme Court President. Thank you very much.
ParlaMint-HR_2021-06-24-0.u53093	Thank you, too, Mr. Habib. Now he's got a replica first, Mr. Mazhar.
ParlaMint-HR_2021-06-24-0.u53094	Thank you very much, Mr. Chairman. Dear counterpart Habian, here, as you have said in your presentation, we have witnessed and the fact is that over the past period, the election of the President or the President of the Supreme Court has become a fertile ground for various manipulations, insulations, false claims, spread anxiety among citizens in order to in some way cloud everything that is crucial and important, and that is primarily the transparency of the election of the President, the President of the Supreme Court. One of the issues that has passed over the past few days is that which is heading towards creating uncertainty and anxiety amongst the citizens of the Republic of Croatia, which is unless the Supreme Court president is elected to face a constitutional crisis. The very word constitutional crisis is certainly something that is a real great unrest among citizens, so I would ask you to explain to me what this is about.
ParlaMint-HR_2021-06-24-0.u53095	Thank you. Here's your answer.
ParlaMint-HR_2021-06-24-0.u53096	Thank you very much. You have noticed a well-respected colleague, so in the last few days the constitutional crisis has been mentioned, which is, of course, not true, and I think it is good for the Croatian public to explain, therefore, that the Law on Courts is, in particular, an article. 44c. very clearly prescribed what happens in case tomorrow HS doesn't choose the Supreme Court president. That is when, according to the schedule, the Deputy Executive Deputy shall be appointed, at this time, that is, the place of Deputy Supreme Court of Justice, i.e. in particular the colleague or judge Marin Mrcela. Therefore, I think it is not good to send these messages to the public because they further disturb the public. I think first of all we need to read the law and see that in fact, everything in the law is prescribed.
ParlaMint-HR_2021-06-24-0.u53097	Thank you. Mrs. Devereaux. Maric.
ParlaMint-HR_2021-06-24-0.u53098	Thank you very much. Dear colleague, you keep pointing out that Zlati Djurdjevic resented that she didn't initially answer a public call, bypassed the procedure, said you'd look back on some of her objections in her program. However, the fact is that none of you at the HDZ on the Justice Committee supported any other candidate. So my question is what does the candidate for, or potential, the president or the president of the Supreme Court have to have for you from HDZ? She would also quote what Mr. Bošnjakovic said on behalf of the HDZ Club position, so I guess that's your point of view. I quote, we want a public call where people who won't mud, who will be encouraged, all those who have ambition and programme, who are competent, have a reputation etc. So what's your message to these candidates who made a public call, who didn't go over the procedure, if that's how you voted on the Justice Committee and you have the kind of exposure you have?
ParlaMint-HR_2021-06-24-0.u53099	Thank you. Answer.
ParlaMint-HR_2021-06-24-0.u53100	Thank you very much. Dear colleagues, I'm wondering if you would like to meet formal legal requirements in such an atmosphere that was created primarily thanks to the fact that it must be emphasized to the President of the Republic of Croatia as an authorised promoter, would you report that you would know in advance what his position is? And what did Bosnjakovic say about what kind of message is that to those who have come forward when they know in advance that they will not be proposed? What kind of atmosphere is this and encourages all those high-quality and competent people who have a vision and who want to make a certain change within the Supreme Court when the president of the state has his candidate and says in advance I will propose him, what message does he send to the Croatian public?
ParlaMint-HR_2021-06-24-0.u53101	Mrs. Devereaux. Maric, it was too late, but I'm still giving you a chance, but you know, go ahead.
ParlaMint-HR_2021-06-24-0.u53102	Thank you very much. Art. 238, I'm risking a warning, but my colleague, Habib, didn't actually answer what I asked him, and the question was, why didn't you support any candidates on the Justice Committee? Obviously, no one's good for you. Thank you very much.
ParlaMint-HR_2021-06-24-0.u53103	Mrs. Devereaux. Maric, don't, Mr. Habian. Maric I'll let you know if I have to, but wait... Wait, wait, wait, wait. I have to answer. Mrs. Devereaux. [[/The intruder doesn't understand.]] Maric, if it's bad to hurt the Rules of Procedure without knowing that you hurt him, imagine how bad it is to hurt the Rules of Procedure knowing that you hurt him? I'll give you a warning. I'll give you a heads-up, but I have the impression that this Rules of Procedure will have to change in due course. Here's the violation of Mr. Habian's Rules of Procedure.
ParlaMint-HR_2021-06-24-0.u53104	Here I didn't know you were going to make a decision like this, so since you've shared a reminder, I agree, that's exactly what I wanted to suggest, but allow the HDZ Club to have its own, it has the right to take its own opinion when it comes to a session of the Justice Committee. But I accept your... [[/The speaker doesn't understand.]]
ParlaMint-HR_2021-06-24-0.u53105	Yeah, but I have to give you a heads-up because you hurt yourself, too, you hurt the Rules of Procedure normally. Mr. Shimičević's replica. So two warnings.
ParlaMint-HR_2021-06-24-0.u53106	Thank you, Vice President. Dear colleague, the president of the state has a legitimate right to propose a candidate, but he has no right to violate the procedure, and the president has just done so, and we should at once applaud him. That's the same man, the president of the state who calls his country a random state, running away from marking the anniversary of the Homeland War, and now suddenly he's the biggest right-wing and, behold, he's guilty of HDZ for all his exhibitionism, so please comment on that. Thank you very much.
ParlaMint-HR_2021-06-24-0.u53107	Thank you, too. Here you go, answer me.
ParlaMint-HR_2021-06-24-0.u53108	Dear fellow Members, I can agree with you, what you would especially point out and what you keep pointing out, especially colleagues on the left hand side of the assembly, which is a matter of trust in the judiciary. So what kind of message does the President of the State send when he acts beyond the Constitution as the highest institution of this country, acts beyond the law and sees no problem at all, but sees the problem in everything else. So he sees the problem in the decisions of the Constitutional Court, which I think every state body should start to respect from him, which on several occasions very detailedly explained for which reason the Law on Courts, in particular this provision, is in line with the Constitution, so what message the first man of the state sends such a message, how then the citizens have confidence in the judiciary.
ParlaMint-HR_2021-06-24-0.u53109	- Mrs. Crescent. Never mind.
ParlaMint-HR_2021-06-24-0.u53110	Thank you, Vice President of the Parliament. Dear counterpart Habiban, so listening to your debate at the very beginning, you made one argument why not Zlata Djurdjevic. So explain to me what your argument is that Zlata Djurdjevic is not like or is not similar solely because she is the candidate of the president of the Republic of Croatia? And the Constitution is clear here. So the President/President elects the Croatian Parliament on the proposal of the President of the Republic of Croatia. Thank you.
ParlaMint-HR_2021-06-24-0.u53111	Here you go, answer me.
ParlaMint-HR_2021-06-24-0.u53112	I have to admit that I don't think I said it that way and I didn't really understand what you wanted to say, I just said that it was the first public call she hadn't answered and it was the legitimate right of everyone, but after it was finished she accepted to be part of it or she accepted the candidacy from the president of the state. So, I think I was very, very clear in what I actually said and what I meant to say.
ParlaMint-HR_2021-06-24-0.u53113	- Mrs. Crescent. Jelkovac.
ParlaMint-HR_2021-06-24-0.u53114	Thank you very much. Dear colleague, this is where you pointed out in your debate that Mrs. Poirot was. Djurdjevic was also in his programme in some things and later in presenting to us board members, inconsistencies. So I would also cite one of her findings from the programme where she listed, quote "The independence of the judiciary is the value that Croatia has yet to build". On my personal question as to why she listed it and whether or not she felt that the independence of the judiciary in Croatia, she said she didn't think it was a public perception and from the very context in the programme did not seem to think so. So I really doubt everything she said about origin. She also feels that she has not acted illegally even though she has agreed to be a candidate in a procedure where she has not made a public call, so I'm asking you if anyone at all who submits to such a duty may be a credible candidate if he does not comply with the laws. [[Intruder Radin: Time.]]
ParlaMint-HR_2021-06-24-0.u53115	Thank you, thank you very much. Here you go, answer me.
ParlaMint-HR_2021-06-24-0.u53116	Thank you very much. I thank you for this question because you're giving me the opportunity to look back on the program a little bit. So this is exactly what I'm going to start with the last one. Therefore, on its 1st page of the programme that the President or President of the Supreme Court must strictly adhere to the Constitution and the law and already on this pre-step before being elected, it violates the Constitution and the law. As far as her programme is concerned, I agree that there are many things that are diametrically opposite, in the first part it is said that the system of the 1990s was influenced by politics, then, in some of its ideas, it is now in favour that it would politicise this judiciary when it mentions DSV, where in its opinion most members should actually be of the order of representatives, which is actually a direct influence then politics, then we could talk about some HDZ or some SDP judiciary. It also shows countries that have such a system, again incorrectly, states France, Belgium, the Netherlands, Austria that they choose through parliament, therefore their judges, which is entirely incorrect, so in these countries only judges choose executive power. There's more to it, about digitization. which we also mentioned, here... [[Intruder Radin: Thank you.]] [[The speaker doesn't understand.]]
ParlaMint-HR_2021-06-24-0.u53117	Mr. Boric.
ParlaMint-HR_2021-06-24-0.u53118	Thank you very much. Comrade Habian, here's a full five months. Since the first public invitation has been issued, we have been struggling with two perceptions or thesis that have been put in public in terms of the election of the President or the President of the Supreme Court. The first is that the choice of president is actually so important that we put one person, the Croatian judiciary becomes independent, it is no longer HDZ or SDP or I don't know whose, not party, is not party. The second point is that here, there should be no respect for the laws that this House, which the presidents of the office have also spoken about, as you yourself quoted the current President, so that this could then result in the election of the President of the Supreme Court or of the President, is that the President of the Republic has the authority to propose it regardless of the procedure. Have we succeeded and seen today from some debates that obviously we have, that these two things are actually not standing. And that legality must exist and that one person does not change the status of today's perception of the Croatian judiciary and the judiciary.
ParlaMint-HR_2021-06-24-0.u53119	Thank you. Here you go, answer me.
ParlaMint-HR_2021-06-24-0.u53120	Thank you very much. So I think it's quite clear, so I think that in fact most MPs and MPs have agreed, one person can't change the justice system, and so the law and the Constitution must be respected. What is important, therefore, is that this democratic process, therefore, exists in accordance with the Constitution and in accordance with the Law on Courts of Persons who propose but also there is a home which has the right to choose a candidate who is considered to be the most competent and the right person to be the President of the Supreme Court. So the question can be asked whether this kind of insistence on this candidate can create a perception that it is a particular person who is not as independent as the SDP president here said, that it is an essential feature of independence. What kind of independence is that if one person is not driving you by the hand and pushing you into this process, so if that's the only feature you've pointed out here, independence. What kind of independence is that in these six months? if you were brought by the hand just so in front of this Parliament to be a candidate.
ParlaMint-HR_2021-06-24-0.u53121	Thank you. And the last replica, Mrs. Crescent. Bad Billic.
ParlaMint-HR_2021-06-24-0.u53122	Thank you. Comrade Habib, we've seen it from Mrs. Habian's biography. Djurdjevic, who we have come to appreciate is truly impressive and the résumé that has proposed the candidacy for the Supreme Court president confirms it. Among other things, experts who choose judges for the International Criminal Court have written their opinion for it that it has exceptional knowledge and excellence in the field of human rights, justice and international law, and that is exactly what Croatian citizens expect from the judiciary and the judiciary, and that is exactly what is clearly unsuitable to someone, an effective, independent and responsible judiciary and the fact is that you know that because you come from this profession, that more than 70% of the citizens do not believe in the judiciary and that I think that independence of the courts is very bad. Then I ask you, why not an independent and professional person on the job of President of the Supreme Court?
ParlaMint-HR_2021-06-24-0.u53123	Thank you, answer.
ParlaMint-HR_2021-06-24-0.u53124	Thank you very much. Well, I have to admit, given her résumé I've seen and her biography, it's really surprising that a person of such reference has agreed to be part of an illegal and illegal procedure. I can't answer that question yet, I can't answer the question, I haven't reached the end of her program nor with this replica, for example, that the person who claims to be president or president of the Supreme Court, doesn't understand or is not familiar with the fact that digitalisation in the Croatian judiciary has moved away, so she mentions that there is a need for digitisation, for example you have an e-script, you have e-communication, you have at the Trade Court in Varazdin since last year of the debate, so she doesn't distinguish what is good or the way to choose judges, so these are some things that, in my personal opinion and according to the position of the HDZ Representatives Club, are necessary for the person to get the trust from us right from the HDZ Club, but unfortunately this candidate has not met it and for the reason that who, as well as my colleague Bosnakovic, such a candidate, we cannot support. Despite her resume.
ParlaMint-HR_2021-06-24-0.u53125	Thank you very much. You don't have any more replicas. And now it's Mr. Branko Bacic's turn. Here you go.
ParlaMint-HR_2021-06-24-0.u53126	Thank you, Mr. Vice President. Dear colleagues and fellow MPs and MPs. The moment in which the Supreme Court President is elected is the only time and procedure in which politics personnel or influences the human resources of the judicial authority in Croatia. In all other appointments, politics is deprived of the influence on the choice of judges and on the human resources of the judicial authority in Croatia. This is the moment when the Croatian Parliament, if we are to observe politics in Croatia, can influence the choice of officials in the Croatian judicial authority. However, it should be said to the end, it is the first man of the judicial authority in Croatia and that is the President of the Supreme Court. There is authority in the Croatian Parliament that the Constitution of the Republic of Croatia is in art. 116, which set out in the same article as the proposal of the President of the Republic of Croatia, who is the sole authority under the Constitution to propose the President of the Supreme Court and the Croatian Parliament is the only body in the country that, based on that same article of the same Constitution, decides on the proposal of the President of the Republic of Croatia. We in HDZ, as well as colleagues Bosnjakovic and colleagues, do not support the proposal of the president of the Republic of Croatia. Why? Because she's a candidate, Mrs. President. Zlata Djurdjevic, whom I personally think has an enviable, almost impressive scientific career, that the head of the Faculty of Criminal and Procedural Law Department in Zagreb, has agreed to be part of an illegal and then against the constitutional procedure that is being conducted by the Constitution and the Law on Courts, the process of appointment of the President or the President of the Supreme Court of the Republic of Croatia. It is a question of all issues that the HDZ Representatives Club will not overcome. Why am I saying this? Because the President of the Supreme Court or better said candidate for Supreme Court President must be the person in Croatia who is primarily the first legalist, who respects the rule of law and all the laws of the Republic of Croatia. - Mrs. Crescent. Zlata Djurdjevic, as a prominent legal expert, must have known as she knows today and as the entire Croatian public knows, especially the one who is legally educated, that the Law on Courts should have been respected, i.e. a specific article. 44. The Constitution. I do not accept and refuse to accept, replica, the HDZ indictment that it opposes the proposal of the president of the Republic of Croatia because it is Zlata Djurdjevic. We've never said that, we don't blame Mrs. Crescent. Zlati Djurdjevic, a professor at the Faculty of Law who did not answer a public call, never occurred to us because the conditions for applying for a public call issued by DSV did not consume more than 1000 or two Croatian citizens who have the conditions for a public call. It depends on their ambition, but we resent professor. Djudzrevic, who entered the procedure that was in force at the time she accepted the call from the president of the Republic of Croatia, was the Law on Courts which prescribed the election procedure of the Supreme Court president. And that decision, or the Constitutional Court's decision, taken by the Constitutional Court on March 23rd, has no bearing on it, would be the same attitude as if the Constitutional Court had abolished the Law on Courts because at the moment it appeared, the Law on Courts and Articles. 44th was in effect. Therefore, any conduct contrary to the law is unacceptable to us. The law is in force until it is amended by the Croatian Parliament or suspended by the Constitutional Court of the Republic of Croatia And while the law is in force every citizen of Croatia needs it [[Intruder: Thank you.]] to respect, above all, the candidate for the President or President of the Supreme Court. [[Thank you very much.]]
ParlaMint-HR_2021-06-24-0.u53127	Thank you very much, Mr. Bacic. Mrs. Maric has her first line.
ParlaMint-HR_2021-06-24-0.u53128	Thank you very much. My dear colleague, here's a quote. You said, "Professor." Djurdjevic has an envious career but did not respect the procedure. Furthermore, you're saying that every candidate for Supreme Court President I quote again must respect all the laws of the Republic of Croatia. And now I'm going back to what I quoted from my colleague, Bosnjakovic, and my colleague Habian, he didn't answer me, so I guess you'll be the president of the HDZ Club. So, I quote, you want a public call where people who aren't going to be muddy, who are going to be encouraged, who are going to have ambition, a program that is competent, have a reputation. You had four and five candidates, one of them quit, and you didn't support any of them on the Justice Committee. Again, I ask why, I respect that you have the right to your position, but you are clearly giving a message to all these candidates who have responded, and to some potential in the next public call that you are obviously not doing well. Please make a specific clarification and answer.
ParlaMint-HR_2021-06-24-0.u53129	Here's your answer.
ParlaMint-HR_2021-06-24-0.u53130	Speaking of a public call, your colleague, the chairman of the Justice Committee, Mr. Jaksic, has previously misquoted an unsuitable and unnecessary statement by the President of the Constitutional Court, that the President of the Constitutional Court has said that the public tender does not matter whether they are set up or not. That is not said, he said that the public tender, which is set up, must be insisted on the respected colleagues on the transparency of the public call, do their utmost to make the public call available to any Croatian citizen who has the conditions to participate in the procedure, and the decision is at the Croatian Assembly and at the HDZ Club who will be accepted and not supported by the participants in the public invitation. At this point, the HDZ Club has also assessed on, and through its representatives, the Justice Committee has been designated by all candidates who have responded to a public call.
ParlaMint-HR_2021-06-24-0.u53131	Mr. Mazhar.
ParlaMint-HR_2021-06-24-0.u53132	Thank you very much, Mr. Chairman. Dear colleagues, Bačić, we have witnessed that the Harnga of HDZ on the election of the president or the President of the Supreme Court came first and foremost because HDZ stood on the defender of defence and constitutionality and legality and transparency not only of the public call but of the overall procedure of electing the President or the President of the Supreme Court, that this is the main criminal of the HDZ while at the same time we are witnessing that fellow parliamentary representatives who have and supported the Law on Courts were now ready to violate that procedure or were ready to put this whole process in a position and situation that is not in line with the law and the Constitution of the Republic of Croatia.
ParlaMint-HR_2021-06-24-0.u53133	Answer.
ParlaMint-HR_2021-06-24-0.u53134	Mrs. Dark Taritash.
ParlaMint-HR_2021-06-24-0.u53135	Thank you very much, dear Vice President of the Croatian Parliament. My colleague Bačić, therefore things are very simple, we will not choose the President or the President of the Supreme Court, we will not choose, on July 19th, his mandate ends, and absolutely I will not quote anyone who has said anything in public or how whoever referred or anything, but what I am interested in, I am interested in what is next. So, again or again, the call will be repeated, some candidates will return, and the president will have the opportunity to propose to the assembly because this is how the procedures are going. And if the president doesn't suggest how long we have that opportunity, or I guess you at the HDZ Club and the HDZ as the ruling party are thinking about some scenarios, until we can even be without the Supreme Court president, until when this can happen, by the end of the year, are we going to change in the second half of this year the law to see that we bridge it all together because it's a very real scenario who we can be. [[Time, thank you very much.]] Thank you.
ParlaMint-HR_2021-06-24-0.u53136	Here's your answer.
ParlaMint-HR_2021-06-24-0.u53137	I would like to thank my colleagues, Mr. Dark Taritash, so no crisis will occur on July 20th when Mr. Gyura Sessi's term ceases. No crisis will occur and the Law on Courts provides for how and how it will continue to work, with the work of the Supreme Court. On the other hand, how and how will the Law on the State Election Commission continue with the work of the State Election Commission. What we at the Representatives' Club, because you are asking me as a representative of the HDZ, we expect that after today and tomorrow, Mrs Zlata Djurdjevic, the President of the Republic of Croatia, or the State Judicial Council, will call a new public call, and the President of the Republic of Croatia is obliged to act in accordance with the Constitution to act on the concerted action of all the members of the state authorities in Croatia, as well as the judicial authorities. President of the Supreme Court is the first official, first [[Intruder: Time.]] i.e. the first official of the judicial authority in Croatia. [[Thank you very much.]]
ParlaMint-HR_2021-06-24-0.u53138	Mr. Shimičević.
ParlaMint-HR_2021-06-24-0.u53139	Thank you, Vice President. Your Honor, you've been in the assembly for a long time, remember that someone has violated the procedure for such an important function in the state's justice system and my question to you, is the president of our country now, Mr. Zoran Milanovic, responsible, which is, we all agree, that Mrs. President, Djurdjevic's excellent candidate, which she is, so to speak, has been spent in this way. Where's his responsibility here? Thank you very much.
ParlaMint-HR_2021-06-24-0.u53140	Would you like to answer? Here you go.
ParlaMint-HR_2021-06-24-0.u53141	Well to me, I welcome the decision of the President of the Republic of Croatia to continue the procedure of proposing candidates for, or candidates for, the President of the VSRH. I believe that the process between the two public calls, which was called by the DSV, was unnecessary and that it caused political damage and that it was absolutely unacceptable, unnecessary and I am convinced that both the President of the Republic of Croatia as a lawyer and longtime Prime Minister knew that this procedure was not in line with the Court Act. As I replied to Mrs. Devereaux. Mrak-Taritash, I expect that after this procedure a new public call is issued as soon as possible, it is not predetermined with the candidate because it then demotes serious candidates to answer this public call.
ParlaMint-HR_2021-06-24-0.u53142	Thank you. - Mrs. Crescent. Never mind.
ParlaMint-HR_2021-06-24-0.u53143	I would like to thank Vice President of the Parliament, Honorable Representative Bacic. So while Croatia continues to be perceived as one of the EU's most corrupt countries, we are today dealing with the fact that the biggest crime of Zlata Djurdjevic is that she has agreed to be the candidate of the president of the Republic of Croatia. So, why don't you explain to me if it's not crazy why not Zlata Djurdjevic?
ParlaMint-HR_2021-06-24-0.u53144	All right, we'll get over it. Here's the answer.
ParlaMint-HR_2021-06-24-0.u53145	I thought someone was going to raise a breach of the Rules of Procedure when you perform like this and speak whose act is crazy, whose isn't. But, colleague Nikolic, it goes to you, and I will repeat for who knows which time today, we are not against Zlata, Professor Zlata Djurdjevic because she is the candidate of the president of the Republic of Croatia because no one else in Croatia will be the President of the Supreme Court if he is not proposed by the Republic of Croatia. You need to understand that, and you need to understand that. By who knows what time we say that we are in the same positions that we were in on 8 March this year, that we are against the election of Zlata Djurdjevic for the reason that at the moment the Court Act agreed to enter into the process of electing the President, President of the Supreme Court against that law, and if that is not clear to you, if you You can't accept that, that's your problem. [[Intruder: Thank you.]] That's your problem, you understand? [[Intruder: Thank you very much.]] We can't help you here anymore. No matter how hard we try. [[Thank you, sir.]]
ParlaMint-HR_2021-06-24-0.u53146	Thank you. It doesn't apply to you. A ben that's next, but at all, let's choose the words, please. Please, let's choose our words. - Mrs. Crescent. Sandra Bencic.
ParlaMint-HR_2021-06-24-0.u53147	Thank you. Here, teaching that argument of yours again that it is an illegal procedure. The law on courts has not said a word and does not specify that the president has to make sure that these candidates who have submitted to the public tender propose to the candidate to the Assembly, nor has he anticipated what if the president does not want any of these candidates, whether they are going to the re-invocation or not. To resolve this because there was literally a legal void, it was not clear, it went to the Constitutional Court. But the Constitutional Court made a decision after Mrs. Djurdjevic agreed to be president's candidate from the moment when the Constitutional Court adopted an interpretation of the Law on Courts which was unclear and said that he was not clear and was not agreed at that moment, upon the next call of Mrs. [[Thank you very much. Thank you.]] Djurdjevic He's calling. [[/Intruder: Time. Thank you very much.]] Where's the illegality? Where?
ParlaMint-HR_2021-06-24-0.u53148	Thank you very much. Here's your answer.
ParlaMint-HR_2021-06-24-0.u53149	I, in the introduction, said, respected colleagues Bencic that for every lawyer, and you are a lawyer, it seems to me, but it does not have to be a lawyer man in order to know how to read the law, it was clear that no one in Croatia can, based on the Law on Courts, be a candidate for the President or the President of the Supreme Court unless the procedure of a public call has passed. And that's your point, and there's nothing I can add to that. The Constitutional Court later said and explained. For me personally, the decision of the Constitutional Court, for you, this attitude I present to you today is irrelevant. Even if the Constitutional Court gave the President of the Republic of Croatia the right and that the Law on Courts is anti-constitutional. Even if he gave it to the law. At the moment he suggested and when he was. Zlata Djurdjevic agreed to the procedure, she disqualified herself for us. The President of the Supreme Court, more than anyone in this country must obey the laws. And he can't send a message, I think the law is unconstitutional. And I will act against the law [[Thank you. Thank you very much.]] It's started for you on which we've been on since day one. [[Intruder: Thank you.]] We insist on HDZ. [[Thank you. Time. Time.]]
ParlaMint-HR_2021-06-24-0.u53150	- Mrs. Crescent. Vesna Nadj.
ParlaMint-HR_2021-06-24-0.u53151	Thank you. Dear counterpart Bačić, you are constantly returning from HDZ to that first public call where Professor Djurdjevic did not answer, but here in the Assembly we are discussing the public call she made, the one that the Justice Committee had a debate on, which we have resolved for two and a half hours, so to speak, her and all the other candidates and candidates, where she presented her programme, where you say she is competent, and I can see from your discussions that she has ethical integrity, and why do you insist on refusing this candidate? Is it because President Milanovic proposed it and why in some way, is President Milanovic and Prime Minister in some way, to say, a duel with, among them, which actually entertains the public in some way? Why do you reject such a candidate apriora?
ParlaMint-HR_2021-06-24-0.u53152	Thank you very much. Thank you. Here's your answer.
ParlaMint-HR_2021-06-24-0.u53153	Dear colleague Nadj. Find one detail, one letter, one word, one statement, one sentence, in which I said I resent Mrs. Golden Djurdjevic for not answering his first public call? I don't blame her or anyone in Croatia who could have made that public call, I couldn't because I don't meet the conditions. All those in Croatia who met the conditions could come forward, but who I am or who any of us is who resents people who have a law school, 10 years of internships, passed a judicial exam, etc., not to report to that competition. I don't blame her for not waiting for the next public call you understand, the next public call from the State Judiciary Council that would be in accordance with the Law on Courts. And when, at no time did I enter your program, even though I read it in detail, into the program of Prof. Djurdjevic. I'd say something about that if we weren't her on March 8th when she agreed to this procedure. said that she was no longer a candidate for us to support because she was involved in an illegal procedure. [[Intruder: Thank you.]] Which is inadmissible for a candidate for Supreme Court President. [[Intruder: Thank you, time.]]
ParlaMint-HR_2021-06-24-0.u53154	Mr. Jaksic.
ParlaMint-HR_2021-06-24-0.u53155	Dear colleague Bacic only two questions. The first question, given how much you are calling today for proceedings relating to the Law on Courts and interpretations which are your reasons under the Law on Courts, why can't you accept Zlata Djurdjevic I respect it is your absolute right, but then you would like to hear the view why, in parallel, everything by the minister is released information that will come to the end of the year to change the Law on Courts. Does this mean that what you're defending today is so perfect will still have to be improved along the way? And the second question is regarding the President of the Constitutional Court of Miroslav Šeparovic, you interpreted my comments about his comments, just one human question. Is it normal for you, given that for decades you have been an important factor in Croatian politics that we have a debate with the President of the Constitutional Court at all in 2021, it is not his fault, that it is good to have competitions even if they were set up and we will control them, is this a normal state of society? Nothing else.
ParlaMint-HR_2021-06-24-0.u53156	Thank you very much. Answer.
