ParlaMint-HR_2021-07-08-0.u42844	Ruzica Vukovac will be the position of the National Movement Representatives' Club. Here you go.
ParlaMint-HR_2021-07-08-0.u55834	Thank you, well-respected Vice President HS, distinguished colleagues and colleagues. Today, a proposal for a decision on the establishment of an investigative committee to identify possible irregularities in post-war reconstruction of houses, apartments and public purpose buildings in the area of the Republic of Croatia is under discussion. Why is such an investigative commission needed? Let me remind you, 158,000 wars of damaged houses and apartments were restored in Croatia, which is 14.8% of the RH Building Fund. After the war, Croatia restored housing almost entirely with its own resources with just about 4% of international aid and the value of total reconstruction was 17.6 billion kuna. In the Sisak-Moslavina County, 25,000 housing units were restored after the war, with 200 performers, 80 designers and supervision, and the value of this was 2.6 billion kuna. Is there a country that, when an earthquake occurs and sees that, if the houses that she was restoring with her means had been damaged, wouldn't she want to know why this damage occurred? I don't think such a country should be. Equally, we have received answers from resolution ministers, he says, there can be no problem getting to those who participated in the reconstruction and see clearly who did what, who put the signatures on what was paid. Sure, but he can't if you ask. 14 January 2021 As a representative in this high house, I have asked a representative question in which I have asked this question, and to this day I have not received any answers. It seems to me that every overstate, over-government that invests so much in a serious and large project and has doubts that something is wrong with this project, wants to know the truth. He wants to know the truth about it never happened again. For the simple reason we live in earthquakes. As Minister Beros once said, we live with the crown, just as we wish not to live, but we live in areas where earthquakes happen. The first earthquake regulation was followed by a major earthquake in Skopje in 1963. when around 1,000 people died in that earthquake and the first regulation that we had and which started to apply in the design was from 1963. After that, we were all regulatory, therefore laws and sublegal acts according to which to be designed, implemented, monitored, maintained and used spaces, all the while supplementing, we were somewhat stricter and now we have Eurocode 8 to apply and applied. At the time when there was a postwar reconstruction, some basic breeds had to be used. First, it had to be designed in accordance with the regulations. Similarly, the implementation had to be carried out by those who were at that time, in accordance with the applicable rules, registered in accordance with the applicable rules. The materials used had to be the same. In addition, after using permits, the house had to be maintained and used according to purpose. I've seen different pictures from the Bania/Banovina area. I saw really that there were concretes where someone leaned down like a colleague of the coat of arms at first said, so he could shake the concrete like this with his hand. I've seen some reconstructions and upgrades and upgrades that obviously came later and if one of us had leaned a little more seriously on it, it wouldn't have lasted. So it seems absolutely to me, not to me, I'm sure that the interest of all of us should be, let's finally see what happened here. For God's sake, it didn't happen again, let's find out what the problem was. So each of us can come and say that he thinks this or that. But there are witches, there are experts who can report on one particular sample and see what happened, an earthquake can happen at the moment I'm talking, it doesn't have to happen anywhere for the next 100 years. But earthquakes are kind of everyday, that's what can't be affected. The crown can be affected to reduce the number of infected, but earthquakes cannot be affected. Therefore, I absolutely think that the interest of all of us, regardless of what side of this assembly we are sitting on, should be to establish an investigative commission and try this investigative commission in the history of this country and complete its work. In that regard, I must remind you of the Rehabilitation Act. So what was done was done in accordance with the Law on Reconstruction. The Law on Reconstruction was passed in '96, and I have the last amendment in 2019 that I don't, that I'm not stating it now, and exactly what needs to be done is defined in the law. What about the bearable walls, which is with inter-story structures, which is with roofs, which is for closing houses with carpentry to rebuild the family houses, that, as a rule, I am now reading from the law, working on the basis or part of the foundation of the war on the house, that the basement of the destroyed or damaged family houses will be restored in its construction area and that is as necessary for the belonging part of the residential house. Houses are built on foundations. Do you know where they're coming from? From the roof. So houses are built from the ground up. It is extremely important for houses, regardless of whether they are family, it is an important structure. After that, all of this, you can somehow, if you have some cracks and you're going to take care of it or the rest. But when the structure isn't bad, there's no possibility of recovery. So, there's only one thing you can take down and build over again. So our interest, all of us here should be to know what happened here. But how do we know that? If the government didn't have a need to answer any of this on one of the text cards. She could have responded in one of the text cards as the esteemed representative Bačić said, it's about the clock, you haven't even read it, it's not worth anything. She could answer, but how will she answer when a simple parliamentary question that has been asked very clearly since 14 January when it is addressed, there is no answer. That just means ignoring. Don't ask anything, we won't answer you, but that's what comes to a fundamental problem. It has been 15 months since the earthquake in the City of Zagreb. There's no renovation. Since the earthquakes in the area of Banovina, or Banovina, it has been half a year, slightly more than half a year. You'd expect something to have started, but it didn't start. We can also detect why it didn't. First of all, the procedures are complicated by freaking out these people who can't get their files in the way they deliver the documentation. After that, I have to say for the benefit of the Central Office, which even in Banovina, respectively, has something to do with it, and in the City of Zagreb, the minister who is in charge of it is also the director of the Fund, and when they are above the floor. But we haven't gotten to the real problem yet. The real problem is next. The cost of building material went to heaven. They're twice as big today as they were a year ago, in 3 or 4 months, it's a question of how much they're going to be. You don't have a company on the market that's going to start working at all, but okay. Let's find that, too. The question is where is our labour force because we needed to rebuild the Zagreb area, i.e. Banovina, to be able to step forward, to take steps further. We obviously can't do that. In conclusion, I don't see any problem with such an investigative commission being set up, but I'd like to, if it is, that he really does his job right. According to what we've had a chance to hear, let's paint all this time because it's obviously not going to happen, but that should be the interest of all of us. Thank you very much.
ParlaMint-HR_2021-07-08-0.u55835	Thank you. The next Club of Representatives will be the HDZ, and the respected representative Branko Bačić will speak. Here you go.
ParlaMint-HR_2021-07-08-0.u55836	Thank you, Mr. Vice President. Dear colleagues and colleagues The Club of Representatives of the Croatian Democratic Community will not support the proposal for a decision to set up an investigative commission to determine possible irregularities in post-war reconstruction of houses, apartments and public purpose buildings in the Republic of Croatia. Before I say why we will not accept this proposal for a decision, I would like to make it clear that post-war reconstruction is undoubtedly one of the biggest and most significant construction procedures in the territory of Croatia in all Croatian history and that one of the historical works that Croatia has done since the destruction of the 10th entire residential fund in the Republic of Croatia in the Homeland War. The reconstruction meant construction or reconstruction, reconstruction of more than 158,000 buildings representing the construction of 10 cities, 10 cities the size of Sibenik. The amount Croatia had to provide for the renovation was over 17 and a half billion kuna and, as a rule, almost 95% was financed by the funds of Croatian taxpayers, or from the state budget, at a time when Croatia cared for about a million and 200 thousand exiles and refugees, who were practically forced to leave their homes due to aggression and their care amounted to almost 600 million dollars a year. The restoration of family homes from 1st to 6th grade or from 1st to 6th was renewed on the basis of the Law on Reconstruction and the basis of two regulations which are important to mention, which is the Regulation on crediting the restoration of war-damaged and destroyed housing facilities and the Regulation on the organisation and financing of the reconstruction of war-damaged family facilities. Why do I mention these two regulations? It is precisely because these two regulations, as a technical implementing regulation, have established that family buildings should be brought into the original state so that they are very important in their original state and generally do not increase the quality of construction or earthquake safety, nor the energy restoration of the house, but I am going to do something a little later on. The reconstruction itself was carried out on the basis of a powerful solution to the right to reconstruction by the county offices. In this regard, it should be said that the restoration of family homes damaged from Grade 1 to Grade 3 was carried out in a way that was carried out by the owners themselves, for which the State provided them with funds, and the facilities from 4 to 6 were carried out by the State through the then competent Ministry of Reconstruction. Special instructions for the rehabilitation of family homes from 4th to 6th grade were drawn up for the resolution that had been controlled since then by authorised professional institutions in the Republic of Croatia. The reconstruction was carried out by performers based on a public tender and then concluded a reconstruction contract. Authorised supervisory engineers were also selected as the basis of a public tender, and additional supervision of the whole reconstruction process was carried out by the special department for internal control of the competent ministry. Clearly and not to run away from it, it should be pointed out, we are aware that there were shortcomings in the restoration. To assume that there were also corrupt acts. I suppose that some of the facilities were not rescheduled as they had assessed, but it is necessary to find out precisely defined objects and performers why, as far as I was aware, it was going through certain institutions of this country and the proper procedures were being carried out. But now to come to a scale, therefore the proposed decision on the establishment of an investigative commission was initiated by the alleged mass destruction of family houses in Banovina, which is precisely those of the houses that were built or renovated during the renovations from 1995 to 2010. On the side of the fact that the 6.2 earthquake that hit Banovina in December is one of the strongest earthquakes in Croatia so far unmarked in Banovina space. On the side of the fact that last March we also had a strong earthquake in Zagreb, although 12 times the intensity should be said, so of the 158,000 renovated houses in the Republic of Croatia in restoration after the Homeland War, 26 thousand facilities were restored to Banova. Of the 26 thousand facilities in the Banovina area in the organized reconstruction, so what the state had to do was refurbished 8 thousand and 880 buildings 4, 5 and 6 categories, so over 17 thousand citizens themselves in Banovina after the Homeland War renewed what the state later granted to them by means of. Out of nearly 9,000, 8000 and 880 buildings that the state restored due to an earthquake, 96 houses received a red and yellow sticker. So it's either unusable or temporarily unusable. Of these 96 houses, only 9 are scheduled for demolition. So, of the 26 thousand objects or of the 9,000 buildings that the Banovina state has restored, it's all 9%, 9 houses or 0.1% need to be destroyed and built a new facility. Imagine an earthquake that's six-two-two, someone's talking 6.4 degrees per Richter. When I first mentioned those two regulations that are very important, it would be good to listen in Croatia to the authorities that talk about earthquake engineering before we accuse anyone or use difficult words, and one of these Croatian authorities about earthquake engineering is a doctor of science and a member of the Academy of Technical Sciences of the Republic of Croatia, Dr. sc. Drazen Anicic, so he commented on the restoration of Banovina after the Homeland War, claiming that by 1995 in Croatia, the rules were in force, which defined the coefficient of seismic intensity, and this coefficient only changed after 2012, and he said that if it was a horizontal acceleration in Croatia, it had just caused this 6,4 earthquake, if this horizontal acceleration was 6 to 8 times higher than the seismic intensity coefficient, which is the basis for building a house, so if this horizontal acceleration is 6 to 8 times larger, then, as a rule, the houses have severe damages, severe damages, and much of them have collapsed. So said the man who is one of the greatest Croatian authorities when it comes to earthquake engineering. Which means that 0.1% of the houses that Croatia has built, in the Banovina area, of them 9 thousand, that only 0.1% die in a previously unrecorded earthquake, the best of all speaks about the quality and renewal. In that I mean, I can agree that there must have been a breach, that there have been failures, but that we here at HS are forming an investigative commission which, for the sake of respecting the sacrifice of every man to whom it is, this is Mrs. Vukovac read earlier, the house was not quality-renovated, and for this reason we throw away one of the biggest construction ventures of the Republic of Croatia and the Croatian people in history, you will not let it in the club of MPs but we invite those who have signed, this 44 MPs to each, if they have knowledge, and there are no 9 houses that have been torn down, or for any other which they know has been torn down because of this earthquake, because it was unqualityly built, let the application, and we will at the counsel club sign that criminal application against those who did so. But because of the desire in the pre-election time of the opposition parties, we'll get the best possible position. Before the local elections, that we will participate, we in the club of representatives [[Intruder: Thank you.]] HDZ, we certainly won't. [[Thank you very much.]] Thank you.
ParlaMint-HR_2021-07-08-0.u55837	On behalf of the promoter, she will now speak to the esteemed representative Sandra Bencic, please.
ParlaMint-HR_2021-07-08-0.u55838	Thank you. First, I'll look back on some of the things Mr. Bacic said as a representative of the HDZ Club. So, Mr. Bačić, this projection of the way HDZ works on other parties in this House, just talks about you. The fact that you in the pre-election period are making moves that have a short-term effect and long-term damage to Croatia, it is your modus operandi. Ours is someone else. The aim of this request to establish an investigative commission is, in fact, very simple and would expect a man-consensus around it. This is not to blame HDZ or any other government involved in the reconstruction. The goal is to rebuild it on one big project we've had since '95. By 2010, where there must have been irregularities, there are all kinds of irregularities, but where we see the consequences of these certain irregularities affecting the stability of these buildings in the earthquake we had last year in Banja, in a way that is serious, because when you say, Mr. Bačić, that 96 houses have a red sticker, but only a few of them have collapsed, so you say that this is another good and those 96 that have red ones are whole, so the red sticker is an unusable building or house. Unusable, you can't live in it. It is also not recommended for you in yellow, at your own risk, to live in it. So it's a red house, it's a ruined house. There may not have been a collapse, but there could have been a collapse. So, don't be, don't take those 96 as if they're houses we can do or people can live with. However, what we all have to ask ourselves is whether there is, is there a public interest because this is how the Law on Investigation Commissions regulates the question of establishing investigative committees, is there any public interest in conducting an investigation and detecting possible irregularities that we have had in the largest reconstruction project ever in Croatia, to define the lessons learned that we will integrate into reconstruction programmes for Banija and Zagreb? So is there that public interest? Learn something from the biggest reconstruction project we've ever had? Well, I think there's that public interest. The other thing, is there a public interest in detecting whether the device that existed on the one hand was that the state itself managed and organized the renovation itself, and you say to those houses that, in the most part, survived the earthquake in some form and this other form where people were financed by matter, so maybe more houses died. Why? Because it either came about that people had to save on material or that the performers were not adequate or that we might find that the supervision of it was not good enough and that we should have had strong supervision there. So we might also find that there is a responsibility for those who just built it, and unfortunately because of the lack of funds or poverty, they couldn't do it by those oatmeals and those rules that would actually ensure that these buildings are safe. And that's a learned lesson and that's important because then we'll say okay, this time we won't do it like we're going to provide and pay for the supervision that will really ensure that those houses that are made and with paid material are at the level that they can withstand the earthquake and that strength. So this opens up an investigative committee to see if there's any way we can come to such conclusions and put them in what we're doing right now. Because look, if it is, the outcome is that most houses have collapsed those who have been illegally upgraded, then maybe we should conclude that we should do something about illegal construction, right? It may be a message to our citizens that illegal construction is the most expensive construction in the end.
ParlaMint-HR_2021-07-08-0.u55839	Thank you. We have two replicas, the first respected representative of Bačić.
ParlaMint-HR_2021-07-08-0.u55840	Thank you, Mr. Vice President. Dear fellow Bencic, I said that out of the 9,000 facilities that the state organized in the post-war reconstruction, 96 of them have a yellow and red sticker. And you know how much in Banovina, or let's say, in Sisak-Moslavina County, the building has yellow and red? Over 12,000 and you now want to talk about corrupt and criminal reconstruction at 96 facilities. I would agree with you that these are all facilities that are on Banovina after such a strong earthquake have been collapsed, but in the fact that the same Banovina is yellow and red label has almost 13,000 objects, slightly less. Then I don't see the kindness and well-meaning in this of yours, in this decision to set up an investigative commission because if it were then it would be a completely different decision and not focus on just one particular number of houses that just happened... State renewed. [[/The speaker doesn't understand.]]
ParlaMint-HR_2021-07-08-0.u55841	Thank you. Honorable representative's response, please.
ParlaMint-HR_2021-07-08-0.u55842	Thank you. Mr. Bačić, if you have seen what the proposal says, and I believe that you have seen, it is not only directed to houses that were being renovated by the state organized but also to those in which it was in any way involved in the restoration because we want to detect what was therefore a failure where the state had organised, but we also want to determine whether there were any other moments of irregularities that we can now avoid, perhaps we can avoid them. Not every time an opposition asks for an investigative commission, sometimes when we're looking for an investigative commission, it's just about your government's actions, but the reconstruction that lasted from '95 to 2010. It's not a reconstruction that only your government ran, and don't take it as your personal HDZ project because it's not. And that's why I don't understand why there's so much resistance to something that's clearly a public interest.
ParlaMint-HR_2021-07-08-0.u55843	Thank you. The next replica of the esteemed MP, Mrak-Taritash.
ParlaMint-HR_2021-07-08-0.u55844	Thank you very much, Vice President HS. It is extremely important to stress all the time, so post-war reconstruction was one of those projects funded by the Republic of Croatia, funded by all, all citizens and citizens of the Republic of Croatia. And if something was wrong, it's good to know. I was on purpose when I spoke for the club, but we never listen to each other, but everyone listens to the part that is, that it's always about keeping the building and the way the building is used. So these are all some elements that are important when assessing the damage caused by the earthquake. But let me, it's good to read and refer to the Law of Reconstruction that it was. Where the state did not renovate directly, it gave funds, in which case it exercised expert supervision and the work was always done with the record. What's behind that would be good to know.
ParlaMint-HR_2021-07-08-0.u55845	Thank you. Dear representative Bencic. Thank you very much. Here you go.
ParlaMint-HR_2021-07-08-0.u55846	Thank you, Comrade Dark-Taritash. Yes, so for the purpose of research, 3 key goals are outlined, which include all of this that I have been talking about, and it clearly shows from them that this is exactly what the intention is to see and what happened to the surveillance, what is in the records on the supervision of those houses that have been restored by the material that was donated, or later refunded. Therefore, it also clearly states that the aim is to identify possible risks related to the security of the renewed assets, in particular as regards the anti-quake security and stability of the renovated houses, apartments and public buildings, in order to prevent future damage caused by potential natural or other disasters. Therefore, it is clear that it is a broader public objective, not a single act of a particular party in power.
ParlaMint-HR_2021-07-08-0.u55847	Thank you very much. The next Club of Representatives will be that of HSS and the Workers' Front, and the Honorable Representative Kreso Beljak will speak, please.
ParlaMint-HR_2021-07-08-0.u55848	Thank you very much, dear Vice President HS, colleagues and colleagues. First of all, I should say that I am really surprised by the decision of the HDZ Assembly Club that it will not support the establishment of this Research Commission. I expected not only to support this commission, but also to make sure that this whole problem not only stands on the commission, but to categorize all this together as a war crime in one hand, and then war profit after that. Namely, this whole story today, no one said it started in 1995 and ended in 2000. The whole story started a little earlier. We're talking about only one dimension, the homes of the victims in the war. But not all houses suffered in the same way in the war at the same time. We all know that in 1991, certain houses have been killed. But the largest number of houses were generally killed in 1995 or after the war, and no one mentions whether those people who brought down houses in Croatia and Croatia and Serbia were responsible for the state budget of our money, the money of all citizens had to pay for it afterwards. So it's one of the first dimensions of crime that's been going on around all these renovations. I'm a witness of time. There are others who have witnessed the time that knew that in 1995, before the Storm that there were two currents in Croatian politics in the HDZ were specific which was at the time. How does the problem of occupied areas of Croatia and the population living in occupied areas of Croatia after the war? The first current, unfortunately headed by the late Sarinic, Hrvoje Sarinic, advocated an agreement with Karadzic's war criminal because they had already been smuggling oil and various supplies, had agreements on non-attacking to reach the so-called. Human eviction. And all of you who remember 1995 will remember that right after the Storm that the rafts went through Sava from Bosnia and Herzegovina, from the Banja Luka area with the Croatian population that was evicted although there was no war and exiled de facto in Croatia. And the current advocated that these people of the Croats from Bosnia and Herzegovina move to the houses of Croatian Serbs who were exiled after 1995 and after the Storm. The current had one plan, and the second current at the head was also the late Bayway Minister of Reconstruction and Development Jure Radic had another plan to let the civilian population returnees, until yesterday's returnees of Croatian nationality, be released into areas of the net free area after the Storm where there was a good month or two total anarchy where not only houses collapsed, but dozens and hundreds of houses de facto, the entire former occupied territory was burned down so that later all of us, i.e. taxpayers, would have to pay. That's not a word to anyone, and let's not pretend it's not true. I know how to tear down houses. They showed me and some of you. Maybe Knight Reiner is too young, so he doesn't remember, but I know the house can be torn down and in what ways it can be destroyed. It's not just a word of how to light a house on a candle. You know, you have that thing with the gas bottle where you put, hermetically close the windows, you crack one bullet in, of course, when the gas is released one bullet into the window in the house itself. So I have this deformity that for years after the war, I could have recognized that in the Zadar hinterland or somewhere else that the house had been torn down.
ParlaMint-HR_2021-07-08-0.u55849	Let's go now, you've called me a joke, and I'm asking you to stick to what's the subject. It's not a theme [[Beljak: Well, that's the topic.]] Your experience... [[Beljak: This is the theme of Knight Reiner.]]
ParlaMint-HR_2021-07-08-0.u55850	Will you give me back the time please that you're talking about?
ParlaMint-HR_2021-07-08-0.u55851	As you tear down buildings, that's not the point. It's about possible irregularities.
ParlaMint-HR_2021-07-08-0.u55852	I didn't crash, I said who was showing me how to crash.
ParlaMint-HR_2021-07-08-0.u55853	... house [[You don't understand.]] I certainly didn't show it to you, and therefore let's stick to the subject. [[Intruder Beljak: They showed me your colleagues.]]
ParlaMint-HR_2021-07-08-0.u55854	Can anyone protect me? I mean, now he's defocused me, kicked me out of it. This wasn't knightly at all, Mr. Rainer.
ParlaMint-HR_2021-07-08-0.u55855	You stick to the subject.
ParlaMint-HR_2021-07-08-0.u55856	I don't know. I mean, you interrupted me in half a sentence.
ParlaMint-HR_2021-07-08-0.u55857	Okay. I give you the reminder under Article 239, and you proceed.
ParlaMint-HR_2021-07-08-0.u55858	You're giving me a warning, are you taking my word? Are you going to kick me out because I dared talk about that someone who's been rebuilding them again is a criminal way of taking them down? Who was responsible for that? And now the Knight Reiner will take my word for it because I wonder who knocked down those houses in 91 and 1995?
ParlaMint-HR_2021-07-08-0.u55859	I didn't take your word for it. But now, by virtue of Article 240(1), I give you a reminder by taking away the words. [[Intruder Whitey: And what was sown in the restoration...]] And you read your Rules of Procedure and you'll know what that means. You can keep talking. [[Intruder Whitey: Good.]] If you'd read the Rules of Procedure, you'd know you could keep talking. But if you don't want your problem. The next Club of Representatives is the SDP on behalf of which the respected representative Ivana Posavec Krivec will speak. Here you go.
ParlaMint-HR_2021-07-08-0.u55860	I thank the Vice President of the Croatian Parliament. On behalf of the SDP Club, I would like to strengthen the debate through several material indicators in terms of the need to establish an investigative commission to identify possible irregularities in post-war reconstruction of houses, apartments and buildings, public purposes in the Republic of Croatia. It is about a restoration that began a great number of years ago and ended in the past period, and which many here will consider to be a final story. Unfortunately, however, the earthquake that hit Sisak-Moslavina County, the City of Zagreb, Karlovac, Krapina-Zagorska and Zagreb County in the last year showed actually a real situation and reconstruction and pointed to possible irregularities that occurred during the renovation and took place. And why do we think it's important to talk about in the SDP Club? Because the restoration of these areas of post-war suffering as one of the biggest tragedies of the Croatian people took place by virtue of taxpayers' money. We believe that today in the Croatian Parliament it is necessary to draw attention to the need for responsible and transparent discussion of Croatian taxpayers' money regardless of the time. We need to show special responsibility to people who have received something from the state under quotes, and in fact today, they have nothing from that same country because work is not done by the rules of the profession or not done the way it should be. The reconstruction that took place in the territory of the entire Republic of Croatia took place largely in the Sisak-Moslavina County because Sisak-Moslavina County is one of the counties most affected in the Homeland War. That this also shows the fact that 25 thousand residential buildings have been renovated in the Sisak-Moslavina County area of about 160 thousand of them as renovated in the territory of the Republic of Croatia. We could say roughly about 1/8 renovations in the territory of the Republic of Croatia, which cost our taxpayers 2 and a half billion kuna. 2 and a half billion kuna was the majority of Croatian taxpayers' money, only 4% as already mentioned here in those moments came from international institutions or other sources of funding. We have before us a recovery after the earthquake that will be financed in completely different relationships. It will mainly be financed here by the European Union funds or funds from the grant funds, and by a small part from the budget of the Republic of Croatia. And we don't think that's why we shouldn't just ask for a responsible renewal. When we talk about responsibilities in restoring war-sufficient areas, then we should certainly say, as mentioned here by the HDZ Club, that the organized reconstruction was precisely for objects that suffered from the 4th to the 6th degree of damage. Such facilities, I'm talking about the Sisak-Moslavina County area, were in considerable numbers, and I'm about to deny what the president of the Bacic Club said on behalf of the HDZ Club, which is unfortunately not here right now. So, of the 2 and a half billion kuna spent on the reconstruction of Sisak-Moslavina County, 2 billion and 200 million kuna were spent right through the organized reconstruction of facilities from 4th to 6th degree damage. Just the biggest money was spent on the territory of Glina and the area of Petrinja. More than 7,000 such objects were renovated in the area of Petrinja, in the area of Glina over 3 and a half thousand objects. Of course, for the entire Sisak-Moslavina County, there are accurate data as many local self-government units have been restored. From what has been said here, it is clear that the people had no access to the restoration and participation they were promised at the very beginning, or they had no right to influence the restoration itself, had no right to point out irregularities, and therefore a series of these facilities were ultimately neither handed over to the property nor signed records of the handover that people were supposed to have had at the time. They refused to sign it because they had already seen irregularities in the restoration. These same irregularities have been reported and all this data exists. And the fact is that besides these people's testimony, there are also testimonies, unfortunately, of these objects on the ground that did not endure this earthquake. This means that no quality materials have been used during the renovation period, nor have those same materials been used enough. This means that all those who did not sign the transfer logs today have largely illegal objects because they could not legalize them. We are now returning to the beginning of the story of the current post-traumatic reconstruction in the area of Sisak-Moslavina County. The main objects that are not legalized or all objects that are not legalized cannot be restored under the Law on Reconstruction that we have adopted in this Croatian Parliament. So except that the citizens of Sisak-Moslavina County were killed in the Homeland War, except that they had lost everything they had, except that they were renewing the money of Croatian taxpayers once again and thanks to the devastating earthquake, they will not be able to restore those same facilities now because they are illegal and have no conditions for restoration. So we here are constantly talking about injustice against Croatian citizens in Sisak-Moslavina County, otherwise one of the most popular counties in the Republic of Croatia, one of the most popular and poorest counties. That is why we at the SDP Club believe that no one in Croatia should be afraid of this investigative commission that could determine possible irregularities, possible irregularities because if there is an irregularity let's all get rid of it together and let's return at least a little justice but once again and a lot of solidarity to those citizens who deserve it. It's the only thing they expect from us. That's all they're hoping for here. They are still ready with their modest means to restore their homes, as soon as they return under their roof. But we think it's time for these answers and for the state to be organised and responsible. Thank you.
ParlaMint-HR_2021-07-08-0.u55861	Next, we're actually done with the clubs now, so we'll move on to an individual debate and the next one will be spoken by a respected representative of Domagoj Hajduković. Here you go.
ParlaMint-HR_2021-07-08-0.u55862	Thank you very much, Mr. Vice President, colleagues and colleagues. I'm actually going to start from the end somehow, and that's from the announcement that the HDZ Club won't support the establishment of an investigative commission. As my colleague Posavec Krivec said before me, I think it would be good to establish a commission and determine possible failures if there were. Denying or at all rejecting the possibility of setting up a commission of investigation sends one false message, because if I were bad, I would think that one who perse refuses and Priory has something to hide, and he does. But I'm not bad, so I won't say it, but that's the message being sent. Today we are in Zagreb and the President of the European Commission and there is a lot of talk about it in the media, it is also said in the towers. We've been granted the National Recovery and Resistance Plan and everyone is euphoric and enthusiastic about it. However, colleagues and colleagues if it is to judge it day after morning, then I don't think we have anything good to write. The money's here. We have a plan that is mostly concreteizing Croatia, but well now it is a debate for something else and another debate. However, if we are to judge after the restoration of Zagreb as it flows, I don't think we will use that money. My colleagues and colleagues, for a year and a half even more, may have passed since the earthquake in Zagreb, and we have managed to bring down only two houses damaged by the earthquake. We have not been able to launch the tender effectively, nor have we been able to spend the money we received practically the second day after the earthquake from the European Union Solidarity Fund at all. But that's another topic, too, so I'm afraid that the reconstruction of Bania will take a long time, be ineffective, slow, and then the results we'll get if we judge according to and the damages they've been teaching, and that's why they're also not going to satisfy our citizens, and they won't meet the essence of the intention they were meant to do. When we talk about the restoration, we can talk about the restoration of so-called war on the affected areas. I'll go and talk about what I know best, and that's Slavonia. You have several pilots of reconstruction projects that have been done really well. Here's one of them that comes to mind is Ceric, a place in the municipality of Nuštar near Vinkovci. So it was a pilot project to rebuild where the houses that were killed in the war were restored not according to the number of household members as it was later, so you were entitled by the number of household members to certain squares, etc. Type houses were built and the like. But it was restored in the condition it was before the war was lost. That part was good. However, when it started later on from the type house and later renovations, and I can tell you about this vinca area, there was everything. Literally, what Posavec Krivec was saying about handing over records, illegal, uninfected buildings, etc. I think it's crazy that the state is building, and then the state itself doesn't put it in books, doesn't run through cadastre, doesn't run through a garland, etc. So the state itself contributes to the chaos we already have in land books. In that renovation, it literally depended on what company would be working on your renovation, because what I heard from people talking to them some companies were out of line to do bad, to save, to place where 3 bags of cement put a bag, etc., etc. So there were a lot of failures in the reconstruction that some of the facilities were not adequate, that people still live in them for years now, but they had to invest them further and invest a lot, rescheduling them, etc., etc. I think it would be good, God forbid there's an earthquake in Slavonia, so we'll see again how bad that restoration really was for someone to get hurt, but to get killed first of all by property. It would be good to determine irregularities if they were, to learn from mistakes because they say only a fool learns from mistakes. So it's not a problem to make, but it's repeated and then remove them during the reconstruction of Banija, the reconstruction of Zagreb, etc. Because only if we learn from mistakes can we actually say that we have made progress. If we're going to make the same mistakes, then hell, then why are we even trying? But I'm saying, I can't help but think that it's in someone's best interest not to talk about it like this and that we haven't finally met the goal of restoring the lost area.
ParlaMint-HR_2021-07-08-0.u55863	Thank you. We have two replicas. He's the first respected representative of the Bauk.
ParlaMint-HR_2021-07-08-0.u55864	Thank you. I'm going to use my friend Hajdukovic's right to the replica to actually draw a little attention to what happened earlier. I think that my colleague Beljak is actually too harshly interrupted to speak on behalf of the club because if I understood his intensity was not to speak outside the subject, but to extend the topic by intervention into a decision to add to the Commission's decision the circumstances under which the houses were torn down that they should be renewed. So, it was an emergency, and I think the president, after seeing the video, broke up his fellow white man too hard. Thank you.
ParlaMint-HR_2021-07-08-0.u55865	It's just... I'll stick to the topic that you've imposed, we've actually had this situation, and before, if you remember, you've been at the thick end of what is said and you've lost the right to speak if you remember. [[You don't understand.]] I mean, I don't remember the subject anymore, but we had this weird situation. We hope that doesn't happen.
ParlaMint-HR_2021-07-08-0.u55866	Perhaps a single correction, my colleague Beljak did not lose his right to speak, and he did not know the Rules of Procedure, so he left and stopped speaking is his problem, because I specifically said that this was an article 240. Therefore, he did not lose the right to speak. The esteemed representative of Anka Dark Taritash has a replica. Here you go. We've got a replica first, and then we'll give it to the Rules of Procedure.
ParlaMint-HR_2021-07-08-0.u55867	Thank you, well-respected Vice President of the Croatian Parliament. My colleague Hajdukovic, I would point to two facts. First fact, we can't talk about the restoration because there's no renewal. So there is no renovation of the City of Zagreb, since the reconstruction of the City of Zagreb there is not a bit o, let alone much o, and from the area of Banija/Banovina, there are some more buildings or houses indeed collapsed than it did in Zagreb, I think,.../incomprehensible/... but there is no story there either. Let's just say that if we started rebuilding, maybe if we started rebuilding Bania/Banovina, we'd get some answers to these questions that we did. As part of that recovery behind the earthquake, it could really be determined what was wrongly done, why, if the materials were built in, they were not, who had the serkla, there was no serkla, what had to be done. But it didn't start. Maybe they'd really say, my people, so we don't need this investigation committee because in reality we really see what happened, how it was done and how it was. But there's no restoration. Not a bit, let alone the big ones.
ParlaMint-HR_2021-07-08-0.u55868	Dear Representative Hajdukovic.
