ParlaMint-HR_2021-12-07-0.u71541	[[CONTINUES AFTER MEETING IN 13,00 HOURS]] Here you go.
ParlaMint-HR_2021-12-07-0.u80640	Thank you very much. Dear Secretary of State on your finding that HEP does not pay PR HEP has spent 300 million kuna in the last 4 years on various sponsorships and donations of which a very large portion of exactly the PR by press, media, for conferences etc. Secondly, HEP is not as a public enterprise aimed at achieving large profits, but at reducing the price for the highest quality services to its citizens. He did not invest in an investment cycle because by now he would have built a thermal power plant in Rijeka that had it been true and reduced in Rijeka that it was true and would have reduced imports to ensure cheaper electricity for citizens. And third, when will you finally realize that the power paid by the local self-government unit pays out of citizens' pockets? It's citizens' money, so the higher prices for my local unit are higher prices, higher costs to the Outcasts and the Nivics, not to anyone in the sky.
ParlaMint-HR_2021-12-07-0.u80641	Here you go.
ParlaMint-HR_2021-12-07-0.u80642	It's your view of how much HEP pays. You have read the data, and I would ask you to read how much HEP has invested, how much investment is made based on this investment that will tomorrow result in the production and reduction of imports and cheaper electricity, how much employment is on this basis, how much GDP is raised on this basis, how much the rating of the Republic of Croatia, which has also reduced the cost of citizens when it goes to the bank and all of that. We can now make the thesis, thank God we've finished some economics we can now give a lecture about it. So don't say that so HEP can't have a profit. HEP must have profit and the greater the better, the only question it is where it spends and why it serves. For the PR, I'm sure he's serving and HEP is helping out the good stuff. You can see the sign of HEP on each of our teams. If that's bad, then tell HEP it doesn't work. So I don't know why... [[The Intruder President: Thank you very much.]]
ParlaMint-HR_2021-12-07-0.u80643	Thank you very much, dear fellow Secretary of State. The secretary of state is over. Ten seconds. [[I'm sorry.]] Here's a breach of the Rules of Procedure.
ParlaMint-HR_2021-12-07-0.u80644	Thank you very much. The violation of Rules of Procedure of 238th State Secretary demeans my statement. And don't impute the Secretary of State to me. So I did not say it was bad for HEP to sponsor any Croatian team, but I said clear data, verified data 300 million kuna in 4 years of donation, sponsorship and on the media, media not to question their criminal activity.
ParlaMint-HR_2021-12-07-0.u80645	Your colleagues Ahmetovic are being warned. This wasn't a violation of the Rules of Procedure. This was a replica. Comrade Brumnic, here you go.
ParlaMint-HR_2021-12-07-0.u80646	Dear Secretary of State, HEP invests less than half of its profits annually in new projects. Isn't that weird to you? And speaking of knowing the economy, I'm sorry he's not the minister here, I wanted to ask him who gave him the passing grade for the things you're defending in this way, and I see you're an economist, too. I have to admit, I don't understand how you understand the state's functioning system in which citizens pay a high price, in order for a state-owned company to have a large profit in order to pay a profit tax and finance sports clubs. That's what you de facto said HEP should do. HEP should deliver a service to citizens at as low cost as possible with more quality investments, i.e. maintenance of the system as we have.
ParlaMint-HR_2021-12-07-0.u80647	Thank you. Here's your answer.
ParlaMint-HR_2021-12-07-0.u80648	Thank you, Mr. President. First of all, HEP was chosen voluntarily by Croatian citizens. 85% of Croatian citizens took HEP as a supplier. Up to one of those 85% tomorrow he can take someone else. So you're imputing that Croatian citizens don't know that HEP's electricity is cheaper, better, more efficient than anything else. When you say that HEP doesn't invest half of what it invests, it doesn't invest in new projects and investment in old projects of a type of hydro-re revitalisation potential, it's a clean investment in old projects. Right? What's wrong with that one... 450 megawatts lift or 450 lift to 650? [[The speaker doesn't understand.]] Where the price of this megawatt is in the revitalised part of 18 euros. That's why we have 53 euros in electricity. And that HEP is doing it wrong? I think he's doing well.
ParlaMint-HR_2021-12-07-0.u80649	I thank the Secretary of State. No more replicas, so she will now speak individually to her respected colleague Oreskovic. Here you go.
ParlaMint-HR_2021-12-07-0.u80650	The chairman, my fellow MPs and MPs. As regards the very way in which this bill is discussed, of course, that, in accordance with the Rules of Procedure, the Secretary of State may speak on behalf of the Proposer, but you will all agree with me that the Secretary of State is still lower than the Minister. And since this is the second time we have discussed the same topic with the secretary of state, it shows that either the minister of this topic and this law is not so important or simply afraid to come to the Croatian Parliament and answer the questions of opposition representatives. As for the very essence of the law. So increasing the production and use of renewable energy is the goal that we all support and really need to support each initiative or every step forward, and it is also necessary to look for ways to improve and strengthen the solution proposed by the promoter. And here, we can all agree that this law has certain technical solutions that we can evaluate in principle well, but it is really not some great wisdom to rewrite these technical solutions from some European regulations or from those countries that have already implemented these same technical solutions. The real impact of these solutions in the Republic of Croatia will only be seen through their implementation and in practice. So you need to see how it functions blended into our system as a whole. And that's where we get the problem. And that's where we come up with those basic objections that I've been talking about all along. So this system of ours is set up on an unsettled, unsettled climate. There is no good implementation of any law, especially the law with such ambitious objectives that we all seek, without regulatory bodies having sufficient degrees of independence. Our regulatory authorities in the energy supply system do not have such independence. These regulatory bodies submit certain annual reports to either the Croatian Parliament or the ministries. Who discusses them and how? How many contents of these reports are available to Croatian citizens? How many representatives in the Croatian Assembly of Details do we know from these reports? Look at how many of us are here today in the council benches? That's one thing. Then we come to a question, and how do the leaders of these bodies choose? How important in the criteria of choice and appointment is indeed the factor of expertise and previous professional results, and how important political similarities, political acquaintances and relationships are. We have also talked about this many times in the Croatian Parliament, but there is no movement for the better. When we talk about the basic problems closest to Croatian citizens, we still do not know how to solve the problem of the fastest finger. So don't tell me that this is in line with the achievements of digitisation and some modern age, no promotion that would go towards the equal opportunities being available to all Croatian citizens and then finally we get to the Ministry itself, the Ministry that has indeed, I don't know the Secretary of State, do you know that? But a minister who has been very wet in corruption affairs concerning recent cases has granted the right to produce energy from renewable sources. I don't know State Secretary you're saying that if there were any corruption affairs in some kind of administration, which administration does the Minister of your Ministry belong to? Lobbies will obviously continue to be one of the main focus points of the corrupt government and corrupt ministers, one of the main weaknesses of the Croatian system. Is it so difficult to make a register of activities and meetings at the level of one ministry and all other state bodies? Increase transparency, availability of information on who attends which meetings, with whom and with what purpose. This would help to change the perception of citizens and what some MPs were talking about that this Law does not favor large ones, but it goes towards making the whole system work and between large and small, so there is some synergy and co-operation between large and small investors. As for anti-corruption mechanisms, it would also be sufficient to make one public register of all donations and all sponsorships especially in state-owned companies whose administrations and supervisory boards are elected by political criteria.
ParlaMint-HR_2021-12-07-0.u80651	Thank you very much. You have one replica. Here you go, fellow Pavić.
ParlaMint-HR_2021-12-07-0.u80652	You spoke about regulatory authorities and their independence. I think there's, I guess that's what's meant primarily on HER. I haven't been able to read from your presentation whether it's in your opinion about policy dependence, whether it's lobbying, about some corporations, if you can explain it a little bit, please. [[And on Hera Hrote, we can... down.]]
ParlaMint-HR_2021-12-07-0.u80653	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80654	Well, they certainly don't depend on small citizens. They depend on the big players, they depend on the policy they choose in these bodies, they depend on the people their further career and existence depends on. And how independent policy is, because politics is subject to major interest lobbys, this is a question for some other competent state bodies, for example for USKOK and DORH bodies whose work is independence and the criteria they are also under great doubt. So what I'm talking about is that we can support this law in a technical sense, but we'll still have a problem with the system. We can only change this system in the next parliamentary elections. And then literally all of these institutions that are just being mentioned in such a slow way without being thoroughly analyzed by their work, we're going to have to separate them like they're made up of lego cubes, so we're going to rebuild them on better, healthier, fairer foundations.
ParlaMint-HR_2021-12-07-0.u80655	Let's move on now. We don't have individual applications anymore, so we have the Clubs over. The first is the Club of HDZ Representatives, respected colleague Dreven Buddinski, please.
ParlaMint-HR_2021-12-07-0.u80656	Dear President of the Croatian Parliament, State Secretary with a co-worker, co-workers and colleagues. The final proposal for a law on renewable energy sources and highly efficient cogeneration of this law regulates the framework for promoting the use of renewable energy in a sustainable way, regulates the planning and promotion of production and consumption of electricity in production plants using renewable energy sources and high cogeneration. Incentive measures for electricity generation shall be established, the implementation of the system of boosting electricity generation from renewable energy sources and highly efficient cogeneration shall be regulated. The implementation of financial support for their own needs is regulated, rules on legal procedures, information and training are prescribed through new educational programmes. The requalification programmes shall be governed by the management of the register, project holders and privileged manufacturers. The issue of renewable energy origin is regulated, the issue of international cooperation in the field of renewable energy sources as well as sustainability criteria for reducing greenhouse gas emissions. This Act regulates the acquisition of the status of a privileged energy producer for production plants using any of the primary forms of renewable energy sources and or highly efficient cogeneration in the territory of the Republic of Croatia. The use of renewable energy sources and highly efficient cogeneration achieves the obligation of climate objectives for the Republic of Croatia to reduce greenhouse gas emissions according to the distribution of the reduction obligation and achieves the interest of the Republic of Croatia in the field of energy established by the Energy Development Strategy of the Republic of Croatia by the year 2050. Integrated national, energy and climate plan for the Republic of Croatia for the period from 2021 to 2030 The regulations governing individual market energy as well as regulations governing the implementation of energy activities in terms of decarbonisation of the energy sector, the achievement of the national target for the use of energy from renewable energy sources with the share of use in total final energy consumption in 2030 of the wider sustainable use of its natural energy resources. Long-term reduction of dependence on energy imports, efficient use of energy and the reduction of the impact of fossil fuel use on the environment, the creation of new jobs and the development of entrepreneurship, the promotion of the development of new and innovative technologies, the contribution to the local community, diversification of energy production and increased security of supply, the involvement of citizens and entrepreneurs in active participation in energy transition. This Act adopts Directive 2018/2001 of the European Parliament and of the Council of 11 December 2018 concerning the prophesy of the use of energy from renewable sources. EU Directive 2018/2001 also provides for rules on financial support for the production of electricity from renewable sources on the own consumption of such electricity use for the heating, cooling and transport sectors of regional cooperation between Member States and third countries. The Directive also sets out the sustainability criteria, the reduction of greenhouse gas emissions to biofuels, liquid biofuels and biomass fuels. The EU's binding renewable energy target by 2030 is at least 32% of the share of renewable energy. The implementation of energy policy incentivising renewable sources of the Republic of Croatia has achieved an even exceeded target set by 2020, which is stabilised to 28% of the source in total energy consumption. However, there is still a large share of renewable energy sources for heating and cooling is based on the use of heating wood in the household and it is precisely why it is necessary to take a step in the greater use of new technologies, and they can meet the needs when it comes to heating space or hot water and cooling. A new Article 58, which sets out those programmes, states that, for the purposes of and the achievement of the Transport Sector, the Minister of Transport, will propose to the Government of the Republic of Croatia the adoption of a programme that promotes activity in the Transport Sector. The Ministry provides support, support for electricity and the use of renewable energy sources and highly efficient cogeneration of interest for the Republic of Croatia. Thank you.
ParlaMint-HR_2021-12-07-0.u80657	We are now going to a second debate, the Green-Left Block Representatives Club, a respected colleague of Bencic's. Here you go.
ParlaMint-HR_2021-12-07-0.u80658	Thank you. Dear colleagues and colleagues, Secretary of State. I have spoken here several times about our basic concerns about investing in renewable energy sources, and our concern is actually about ownership of renewable electricity generation facilities. I do not know if I can stress enough how wrong and potentially threatening the energy independence and sovereignty of the Republic of Croatia have been chosen in the long term. This whole law, but also the whole strategy that your government currently has towards renewable energy sources, is primarily aimed at market-oriented companies and investment by private entities. What should be the Republic of Croatia's renewables strategy is that ownership of infrastructure is public and citizens' property. That's what any normal country who cares about having energy independence should do. This specifically means that we are not primarily in order to pay off so far incentives, now premiums to large investors, but that we are firstly aimed at encouraging, to provide funds for, for example, local self-government units to be owners of renewable electricity generation facilities, to be HEP as a state-owned company. I'll tell you an example. The geothermal power plant is one of the first in Croatia to be the subject of a huge dispute between a Turkish investor and a minority partner from Croatia, Dragan Jurilj, which gets you 140 million kunas of incentives by 2021 until the contract is worth one and a half billion kunas. At the same time, what did citizens and local self-government get from this geothermal source? What did they get? Did they get cheaper electricity? Did they get the ability to control that energy? So I guess our goal is specifically for geothermal resources to give them the management of these communities where these geothermal sources are found to have free heating for schools and kindergartens, to have cheaper energy for citizens, to have secured heating for all those at risk of energy poverty, so that they can manage it and manage the price. No, it's our view of renewable energy sources, which is yours exclusively of market nature, and that's deeply wrong. Because this was a great opportunity to ensure long-term public ownership of electricity production and to become independent and independent in the long term. When you look at how you have defined the national target of using energy from renewable sources, everything is clear. You've defined it with yourself. The national goal of using electricity is to use electricity from renewable sources to 36.6% by 2030 in final gross consumption. The goal itself is that. Instead of being targeted at concrete social benefits, electricity availability, reducing energy poverty, encouraging communities in the first place, not promoting the market. So, renewable energy communities. Here's a few times I've said that this approach will continuously cause you what you have in almost every major investment of renewables, which is that you have a corruption scandal because you put it that way. Croatia is currently El Dorado for these investors, the El Dorado feature with the incentive system we've had so far, and I'd be an investor 314 million kunas you invest, you get 1.44 billion incentives. So where's that?
ParlaMint-HR_2021-12-07-0.u80659	Thank you very much. We're going to the SDP Representatives' Club debate now. Finally respected colleague Mirela Ahmetovic please.
ParlaMint-HR_2021-12-07-0.u80660	Thank you very much, well-respected President of the Croatian Parliament, dear colleagues and colleagues. Let's go to basics first. It is the citizens of the Republic of Croatia who provide the means to function their entire lives in the Republic of Croatia and I ask you here, when we will finally adopt it. So this Parliament, and the ministries, and the units of local self-government and the rest of their life in the Republic of Croatia function because citizens from their own pockets pay to work whether these citizens, citizens, are end-users of electricity consumers or they are entrepreneurs who produce electricity, but also pay, invest their resources in this production and, of course, enable life to work. It is incorrect to talk about funds through categories of households or entrepreneurship. All of this is ultimately paid by citizens and those who have to pay and those who do not have to pay. So I repeat that paradox, citizens who do not have to pay electricity bills pay a solidarity fee from which part of the cost of these electricity bills is paid to those who cannot pay those bills. So they pay themselves a solidarity fee. All citizens pay, but absolutely all citizens pay themselves. So don't be angry when we question HEP's work, when we question HEP's profits, when we question electricity prices, and it's not the job of HEP to make enormous profits. The job of HEP is to achieve and provide a quality, accessible service to all citizens of the Republic of Croatia either through that sector of entrepreneurship, whether through the household sector but at the lowest possible price. HEP has done nothing on self-sufficiency and today we import 34% of electricity and therefore we charge this same electricity to our citizens the same ones that make life in the Republic of Croatia work. HEP and the amount of electricity available to citizens today precisely because of the lack of investments by HEP depends on rain. Why the rain? Due to hydropower plants, and also in this report by HEP on HEP's work, boasting that it was a good rainy season, so there's a hydropower plant that produced enough production. So we're not gonna be a serious country dependent on rain, are we? Our tourism depends on the rain. Now our energy depends on the rain. Let's not say that HEP makes a big profit and that's very good because it refers to a terrible investment cycle, while HEP doesn't have an investment cycle. There is a minor investment cycle, without talking about how to implement public procurement through certain projects, which are under investigation and the management of HEP is under investigation by the same administration that is elected today or interviews are being conducted for the selection of administrations. I don't care who gets elected. About transparency and not talking. We learn more from the media and those unsponsored of course, rather than from those of whom we should know from HEP itself. The laws in Croatia are all very well known by consultants and lobbyists. The level of investment is not informed to the public. So the public finds out from these media when a non-sponsored, non-sponsored medium gets some information about an affair, so that's what's written. We're a little surprised, but there's always the Golden Croatia-Scipek to cover everything that can and should be covered. Someone is benefiting from that, and it's a notorious fact that they simply don't have citizens, so they don't, and they won't even have through this law that we're discussing today. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80661	We still have some more clubs to report for the final hearing. Now it is up to counterpart Pavić on behalf of the Social Democrats' Club of Representatives. Here you go.
ParlaMint-HR_2021-12-07-0.u80662	Dear President, the esteemed secretary with associates, colleagues and colleagues. Here's encouraged by the discussion of a colleague before me, and because she was actually talking about similar things that I was talking about in the debate, I have a few more words to say. I was talking about informing citizens, I was talking about educating citizens, I was talking about informing units of local self-government or regional self-government. It's that what my colleague said earlier if the citizens aren't referred to what they can, when they can, with what means they can, what they can get will certainly do nothing. But if we educate those citizens in time, if we inform them in time, if we give them all the information in the palm of the hand, then these citizens will surely go into investment and make certain smart business moves and then we will be one step closer to energy independence. If we are really going to give everything into the hands of entrepreneurs who are going to take great incentives from the budget or from EU funds, we will not achieve much that is certain. If you remember our discussions that we had here about HEP and that article in the law that says HEP will become a shareholder society, the whole opposition has responded to that. We're all... in the direction of preparing, in fact, the privatisation of HEP. [[The speaker doesn't understand.]] Whether it is true or not we heard the answer from Mr. Secretary that it is not true, but that it is actually a practice in Europe and that we are going in the direction in which Europe is going. It is not in all EU member states, but in a large number of Member States it is the case that actually national power plants are actually stock companies. And so unless we start a system of education, information in time, if we don't have agencies, people who will give information to our citizens, our units of local self-government free of charge, unless they're at their disposal, unless they're educated, we're sure to have a problem with keeping them both citizens and units of local self-government. Let us not forget that there is one expression in the law of the renewable energy community that allows stakeholders in these communities to be citizens of small and medium-sized enterprises, units of local self-government, units of regional or regional administration. Therefore, the law provides for it. But who are you to educate people if the projects for mini power plants are expensive, if we're going to be dependent on private entrepreneurs, consultants. I'm afraid few citizens will go into those investments. Therefore, on this point, we must take as much information as possible on time as possible, with the will that our citizens understand what they can, as well as that those in the city councils, who are in municipal councils, can react and can stimulate the development of power plants in local self-government units. It doesn't have to be just the head of the local self-government unit, it doesn't have to be the mayor or the mayor. It may be any citizen, but he needs to know what he can, when he can, and how he can. Without that, we won't achieve anything. Thank you.
ParlaMint-HR_2021-12-07-0.u80663	Good afternoon, everyone! Thank you, Your Honor, Representative Pavić. And now we proceed with the closing statement on behalf of the Center and GLAS Representative Club, the distinguished representative of Anka Mrak-Taritash.
ParlaMint-HR_2021-12-07-0.u80664	Thank you very much, well-respected Vice President of the Croatian Parliament, a respected secretary of state with an associate. Here are a few final words regarding the final draft law on renewable energy sources and the highly efficient cogeneration that we have, we have in the second reading. What when it comes to this law is that I kind of have to go and I want to start with that basic thing, which is that the use of energy from renewable energy sources is to make the interests of the Republic of Croatia come true in the field of energy. It's supposed to be a kind of starting line, and we need to get out of it. And we need to see if this law really makes it possible. I have to admit that there somewhere in the transition from one century to another I've had opportunities to meet in different ways and see how we treat renewable energy sources, which is, which means using water, which means using waste, which means using sea level, or boiling the sea, which means using the sun, which means using the wind. And when you look at some twenty years behind us from the moment we started talking about it we actually use water quite efficiently and well, but not for the reason it was some new story, but because it was an old story and where water became a renewable energy source. As far as the wind and the sun are concerned, we're actually limping here. As far as the wind is concerned, we started the first wind power plant on Pag, but behind that was what we were showing all the time, which is that which could be the benefit of the Croatian economy or Croatian industry, because all parts of the wind power plants are being purchased elsewhere, here they only came together and possibly just concreted the foundations. As far as the sun's concerned, there's a different story. Likewise, we have already been taught the experience of some other countries with relative caution. When we look at the way we use renewable energy, I look at it with three aspects. One aspect is environmental, the other aspect is economic and the third aspect is sociological. When we talk about the environment, we have a series of strategies and a series of definitions and members of the EU, and somehow we have environmental impact assessments, impact assessments which are both strategic assessments and everything else so that this environmental aspect is, I would say, at least formally on paper, taking care of it. When we talk about this sociological aspect, this sociological aspect is related to the population that is being displaced, which is not there, where we have certain parts of the country absolutely no longer have people and some kind of investment in renewable energy sources in a good way, in a better way it could encourage and then we come to this economic effect and we have to ask ourselves what is really, what is our goal? What's our wish? Is it our wish when we talk about renewable sources, and now I'm going to refer exclusively to wind and sun to actually develop industry or produce some other countries? At one point they were neither EU countries, it was China that went the farthest. That's where they get the cheap stuff. And there's just as much of the work force that is, and it's shown on the wind power plants very well, actually, everything's being installed. In the end, they were also installing foundations and about a series of wind power plants were employed to you if he was on some kind of maintenance. So we need to know what we want, what we want. So, on the one hand, we want to leave a message that we are a country that is aware of decarbonisation and other elements, but on the other hand we should also take care of the development of our economy as these renewable sources of energy and indeed can run an economy. These are some questions that we have to ask ourselves and, of course, the key questions and I always try not to open those topics that one other of the previous speakers opens, but I think we should look at it from all aspects and this relationship of using renewable energy sources and economic effects would be very good at one point to look at and see, underline the line and see where we are and what we should do to be better. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80665	Thank you, dear colleague Dark Taritash. And now, finally, on behalf of the promoter, we will be approached by the guest secretary of state Ivo Milatić. Here you go.
ParlaMint-HR_2021-12-07-0.u80666	Thank you, Vice President. I will use this final word, given that I am also in line with this Law that we propose before this House and which I hope will soon be adopted and the duty to take care as Ministry of Information to the Croatian public, and since this is being passed on, I hope that we will also share some information with the Croatian public. So as for the presentation of the esteemed representative Bencic, it's a classic example of how the thesis is twisted, how it's all shown completely the other way around than it really is. It means that it is to say that the ownership of the plants is badly set in the long term and that it will be a major problem for energy independence in Croatia I simply cannot understand what it means. What is this property of energy plants? So property is who owns them. Is this a foreign citizen, is he a Croatian citizen in the European Union where we are irrelevant. Most importantly, if Croatia needs 18.5 TW of electricity per year, and we know that it imports around 40% when 13% of the TW imported from the power plant in Krško means somewhere our imports are 27%. This is our goal, this is our topic that this Croatian state must make up for, and this means that by 2030, we have to have energy plants from renewable energy sources in the Republic of Croatia that will, without any problem, replace what we are importing today and we will have to be so smart that there will be more of these plants because count that slow transport will start to switch to electricity in every 1/3 of the total energy consumed today is almost 2 TW of new electricity that will need to be created in order for that traffic to move to electricity. So our goal isn't just... Croatian public are constantly imputing topics and thesis about expensive fiding tariff which is like... [[You don't understand.]] Money is being thrown at shovels. [[You don't understand.]] She has the Dalmatian “our eyes have sinned, and we eat sour grapes. ” I'm not going to talk right now about who made the mistake, who signed it, who introduced it, but it's kind of more of a left-wing thing than a right. But what happens today is that there are some power plants that get a big fiding tariff and no one says that MW of these fiding tariffs when it's invested was 35 million kuna, that 10 MW for that power plant cost 350 million kuna and that there's no market logic that without incentives can't be returned when we talk about the geothermal power plant of the Bricks. What's being said here is that we need to give the citizens infrastructure, so I'm listening and I can't come to my senses. So whose infrastructure is energy in the Republic of Croatia, rather than Croatian citizens? Because the CAPS is owned by HEP, and HEP is owned by Croatian citizens, i.e. Croatian state, because the ODS is owned by HEP, and HEP is owned by the Croatian state and complete infrastructure means portable this transmission and distribution is according to the Electricity Market Act for 50 years said it must be from the two companies. Why do I have to apologize here now that we're not selling HEP? Well, of course we're not selling HEP. What kind of lunatic would sell HEP? So why do we keep saying that? Citizens have their own security because they have what is most important, which is infrastructure, it is Croatian, it is Croatian. The highways are Croatian countries. Luke is on the maritime good they are Croatian countries. Airports are under concession, they are Croatian countries. What's the theme that's not citizens? It is clear that it is all Croatian citizens, that it is the Croatian state. This is our country, our mother. And to say that we give incentives, so who figured out what a premium model means? Did you read this law right here? It says there that if the one who's going to bid on the premium model tomorrow, what does that mean, the premium model? That we're going to say that there's about what I said the reference price is 58 or something euros, that means that someone who's a future producer will say ok tomorrow my price is simply a producer, I'm talking to you, 50 euros and I'm asking you to make up for those 8 euros in case the market price is below 58. And in case the market price on the market is higher than 58, you don't have to give me anything, but if I got 60, then I'll pay you back 2 euros. I don't think that's more transparent and purer. Of course, there's always an option for someone to say it's not worth it to me. Here's what we've all said. Here's what we've all said. And that's our theme. We're convinced, here we are just in correspondence, I think it's finally our support program for this great so-called. Too low before authorisation in the European Commission. And you'll see when people report to these companies on these competitions, and we'll figure out how much of the potential money we're going to give for it, and if the price of electricity on the market is going to grow, like the trend that the price of electricity is going to grow, we're going to give more and more, and eventually, maybe nothing. Maybe some of them will give up and say they'll go to market. So, the time of generous financing through the filling tariff comes out slowly already in 2024 most of them come out and clearly remain these last mochicans who went in late, but this system will be without a problem and it would agree with you as citizens, meaning the energy or money that Hrhote will then receive in future times then it is logical to start and focus on both concrete and civil projects, but by the time it comes in time, we can't reevaluate it now. What's important is to say that the register here was mentioned, that the registry was not required to notice you. We've noticed that there are some problems with meeting that register that our ODS and HOPS are kind of a little off the books, and that's where I agree with you, Mr. Pavić, that it's not normal for you to hit the Internet and not see the Elektrana you know exists, which has all the permits that it's not in the Register. We are that if you noticed in the Law now said that 90 days after the entry into force of this Act are all those who are obliged to bring data for the Registry to enter the Register and that in the future they have us in the Ministry supplying data and we will type it in neatly, because it is clear and legitimately your request, that if there is a Registry to Registra then it has to make sense, that means that it has some kind of dilemma of month, month and a half, and not a dilemma of a year, because then it doesn't make sense. So that's how we solved that part. What we've solved further if you haven't noticed and that's the first purchase of electricity from these producers that's going to be in the filling tariff by Hrote, because by logic we're buying all that electricity through Hrote because we're giving a generous filling tariff. When it is marketable, it is not a rule that we take that electricity, but we have put ourselves as an option that the state-owned Croatian electricity operator can estimate that in the future it is useful for him to buy that electricity in order to possibly sell that electricity to Croatian suppliers and perhaps help keep some kind of electricity price on a different scale. That nobody noticed that we wrote it and that I might be one smart, yes, yes, 10.10. Yes, for the next year, clearly. And these are the situations. What I can say is that, therefore, after we have passed the Law on the electricity market and now this Law, which I hope will be adopted in this esteemed home, we have created the preconditions for Croatia to achieve its objectives and to create power plants throughout Croatia in a way that all investors and one of the biggest investors will be HEP. I mean, we're talking here now, you keep thinking it's gonna be all private, but eventually almost half of these investments will make HEP renewables, because it's the logic of things to make these investments happen as transparently as possible, faster as possible. So we're giving energy approval in a public tender. We're giving the Prime Minister a public competition, and there's no fastest finger anywhere. We've put energy approval to the local community's contribution as well. The mention that local communities can't have their energy plants, so it's deplaced. So any local community can start its own local company owned by its local community and can neatly build its own power plant... electrical power plants, report to the premium model, use the European Union's incentives. In the carbon law that we adopted at the beginning of this year, we created development societies for geothermia, so for who? Well, for local self-government. I'm talking about this town of Zagreb that Mr. Matula here asked me about at that debate when they were hydrocarbons. I am still waiting for the City of Zagreb to come to the Ministry to see what we will do in the geothermal sense in the City of Zagreb and can't wait for them. Osset, for example, is making great progress, and they're seriously working on these wells that are near the heat in Osijek to make tomorrow what? Achieved 1.1 annual renewable sources in heat. How are we gonna do that? We can't achieve anything but geotherms and geotherms aren't cheap. The geotherm needs to be done through development societies, local self-government with European funds and aid from the State, and I agree, but then let's say that we saw it coming, and not that we don't know what we're doing here and how we're going to achieve our goals in thermal space. Clearly, heat lifts, heating and cooling on solar energy that we will produce from the collector in the coastal part of our country. And that's the whole story. So, first of all, I thank the Assembly MPs for the debate, the one who has always been constructive and interesting, and I promise this year I won't be coming to Parliament again, but at the beginning of the year you'll see me this one with other Bill proposals, and I look forward to adopting this law and I promise on behalf of the Ministry and the Government that sublegal acts that are important for the life of all of this will be passed on time and I will report you neatly. And just to give you one piece of information that's very interesting, especially with regard to these coastal MPs that aren't here, this one, and the ones that are here, and I'm also criticizing the end and the area that I come from. Here's to having this information. So in the last competition in HROT where 93 offers were offered for solar power plants, 75 bids were declared profitable. And so the total power of these power plants that should be built at some point is 13.396 megawatts. So the least reference price I'm talking about is 469 kuna per megawatt, and the most expensive is 630. So it's far from that kind of overpaid and some wonders, but now it's one incredibly interesting piece of information. It means of 75 approved projects 40 projects of sunny days of Osijek-Baranja County space. Good for Osijek. 10 projects Varazdinska, 9 Međimurska, 6 Vukovarska, 4 city Zagreb and now we come to the tragedy of Split-Dalmatia, Sibenik-Kninska, Zadarska, Splitska two, Sibenik one and Zadar one, Virovitička one and Zagrebačka one project. There's so much about when some MPs here say put our citizens on the roof, on the roof. And where are our citizens? I invite you fellow citizens to read the Electricity Market Act, you have aggregates, you can put on vacations, you only have supplies. Let's move! We, as a ministry, will do everything we can to get everybody moving together, because without it, there is no energy transition and I think it is smart for the sake of home budgets and for the standards of citizens that we are finally seeing and all of us. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80667	Thank you, Secretary of State. You've already said goodbye to the MPs for this year, but you've got more replicas and you'll be hanging out with them for a while. The first in line is the representative Željko Pavić. Here you go, buddy.
ParlaMint-HR_2021-12-07-0.u80668	My dear secretary, I'll have the information again. Why citizens don't have solar power plants on their roofs, they're not informed. Here I call you, please, in HEP, urinate and let HEP spend some of the money on a commercial to build solar power plants on the roofs of citizens to get to know the citizens. They have no idea. The local self-government units know where their chiefs, the mayors are a little more advanced and who are monitoring the situation especially those who have a connection with you, who are in contact with you. But others don't. The community of electricity producers, how many do we currently have in Croatia? Very little. Why? They haven't been informed. Small and medium-sized enterprises, entrepreneurs take care of their businesses, little water on the other alternative unless they are in big losses, if they are in big trouble then they are looking for some new sources of funding, so they'll probably do something about it. And so please give us information that we can contact the Ministry and we as citizens and we as parliamentary representatives, Commissioners, mayors to make projects and to cooperate on these projects to turn ourselves in and get money for such projects.
ParlaMint-HR_2021-12-07-0.u80669	Here's an answer to the replica.
ParlaMint-HR_2021-12-07-0.u80670	Thanks for asking. I've already answered it practically. So, from the entry into force of this law, we're going to need some months but not too big a month to create a manual and contact point is a clear ministry. But there's no point in us being a contact point, if the manual isn't made in detail, announced that a citizen can take it down, look at it, and then call us as a contact point and ask us, be careful this may not be clear to me. You understand? And that's where I agree with you. So there's one place to make a hot spot where it's gonna be, it's gonna be the ministry. The manual will be made and then these as you speak who are not active on the ground will also have an opportunity to see it on the ministry, or on the websites.
ParlaMint-HR_2021-12-07-0.u80671	Thank you very much. Before we go to the next replica, we have one violation of the Rules of Procedure. Here you go, fellow Pavić. What did the Rules of Procedure get hurt in?
ParlaMint-HR_2021-12-07-0.u80672	I'm sorry, I couldn't replicate otherwise, so I have to do this 238. I'm referring to the article, I know it'll be a warning. But just to ask you, I need information on whether a tender will be opened before the handbook is made. That's all I care about.
