ParlaMint-HR_2021-03-10-0.u27281	The sixth debate, SDP representative club, respected colleague Ivana Posavec Krivec, please.
ParlaMint-HR_2021-03-10-0.u38389	Thank you, Secretary of State. We're going to a club debate. The first is the Club of Representatives of the Centre and of the Voice. Honorable representative of Anka Dark-Taritash.
ParlaMint-HR_2021-03-10-0.u38390	Thank you very much, well-respected Vice President of the Croatian Parliament, the esteemed Secretary of State, the Director with his associates. So we have in our second reading the Law on Amendments, Supplements to the Law on the Research and Exploitation of Hydrocarbons. The exploitation of hydrocarbons always challenges us and quite an interesting debate and quite an interesting reference to all this together, but each country has some potential. So, in addition to having potentials in terms of nature protection, in terms of environmental protection, in terms of protecting certain resources, you have some potentials that you need to recognize, which you need to use further, and it is good to do through legislation, and also through reality some proportionate relationship, that is, all of those interests in space, because I am sure that if you go on time, if you do well, that this relationship can be done in an appropriate way. This amendment and the addition of the Law, regardless of what is quite extensive, has around 84, 85 articles, you have done for several reasons. One reason is because you had a pilot involved in public participation and the public interest. I can always pull that parallel with some other laws, it's good that the public participates, good that everything you have to say you say for the simple reason, you know, whenever the public gets excited, she gets excited when she sees something digging somewhere. And when something is digging up somewhere, everything else is already gone, so it's good to have it published at every stage, and at every stage, it's good to have it on the Ministry's website, or agency, available. The second topic I want to talk about is the theme of overlapping the use of space. So we have certain potentials that have been identified for years and there is a very different theme of research from the topic of exploitation, and it always causes resistance, because you have to explore, you have to record, you have to analyze to even get to the stage of exploitation. So I'm even in one phase when it comes to geothermal waters that I've already mentioned here, I said that it seems to me that the whole of Croatia can be a space for research, and where it is found it will go further into exploitation. Of course not, but geothermal potential is one that is extremely valuable to talk about and see what further in terms of development should be done. What I want to point out is this. We have some 25 geothermal sources right now. They have been known since the Roman era and have been used primarily for medical purposes, so it has proved to be one of the sources that can be used in terms of energy. The whole world, Europe, we must go in the direction of using different sources, therefore, in terms of energy potentials that can benefit us and that can make us a step. I'm absolutely sure that where geothermal sources you have a lot of things that can't be for a spa, but it can be for something else. I'll discuss it further in my individual discussion. So, uh... He's tied to Big Brick. [[You don't understand.]] I remember my grandfather saying that in the future no one would have to work because there would be oil and on our land that I still have my sister and I would, of course, draw oil, so we'd never have to work. Whether there's oil or not, it might be my kids or my grandkids. But he has geothermal sources. So, very close to my grandfather's, there are geothermal sources and there's the first power plant that was used there. I have to admit when it started, I was a little skeptical about what, how. But as time goes, it actually looks good, I'm saying it from one aspect. Not only does it look good, it's also the theme that it's in terms of using extremely great potential. The City of Zagreb has such potential. But the City of Zagreb, of course, has not yet used its potential. There was even a company called Terme Zagreb where it was seen that there was potential near the golf course, and then already, I saw a bunch of projects, a bunch of everything, all those slides, I don't know all these golf courses or the Terme Zagreb Golf Course and the great potential are geothermal springs. The more they explored themselves, the more I'd say not just in the last century, but in a time past, and that's some potential you have. I'm absolutely sure that when you have some potential, when the country has potential, when the city has the potential to use it, of course it needs reasonable use. I remember as well as you there is one of the UN's relating to the protection of cultural heritage which speaks about the next – when you do something and you find a cultural heritage and you don't know until the end what you're going to do with it, then you have the right to bury it with the earth and leave it for some future generations that are going to do it again, record it and bury it for future generations to record it properly. It seems to me that often and this kind of potential is the time for future generations, but I'm afraid that these generations, or I'd like those generations to be here right now and that those generations are really starting to deal with it. I want more, this rest I'm going to use an individual debate to say a little more, but now I want to point out three more things. One thing is the role of the State Inspectorate. We, we had the State Inspectorate, and then we gave the inspections to the departments, so we brought them back to the State Inspectorate not selectively. And then I said something that I repeat today, and it's not one mess in space, or you can't solve one mess with another mess. In 2021, we still need to change some laws to highlight the role of the State Inspectorate. And the State Inspectorate just needed to know what was wanted. If all that food business wanted to be in the State Inspectorate, it made sense. But now you have the State Inspectorate and some other inspections that some of them are in the State Inspectorate, some of them still remain in certain ministries, and there's a problem. And one of the amendments and these laws is to lay down what is related to the State Inspectorate. One topic is the relations between spatial planning and space for exploration, or for the exploitation of hydrocarbons. So I've given two amendments as a representative. One amendment is exclusively related to the relationship between the spatial plan and the area specified for exploitation. To understand until the end, a request for a change in the spatial plan can be made to anyone. You are entering a change in the spatial plan based on the council's decision. The spatial plan comes into force when the council, the city council, the municipal council, the city council votes it and the provision that should be to bind it to a spatial plan that is in force. Because no one guarantees any investor and it wasn't not a small number of cases. They get changed and complemented. Funding changes and additions. In the meantime, we have the election every four years. The city council has changed and the city council does not want to vote on that spatial plan. You must bind your conduct to a spatial plan which has been voted by the one which is legally envisaged for this, that is the municipal, city council, the county assembly or the City of Zagreb Assembly... Level. [[You don't understand.]] It is only right and only safe for two people throughout the process, for the investor, but also for the state and the agency. And the other thing is, you have introduced a provision in article 83 for issuing a valid permit for illegally built oil and mining facilities. You've had this before, and now you've said from the entry into force it's three years old and it's good to tie it to something. So, the crossover over the Republic of Croatia was 2011, 2011 was made DOF 1:5,000 and was recorded all that is above ground in Croatia. Because you're legalizing the country with this useful permission. And it seems to me that it would be an elementary courtesy to tie it to that DOF that started on 21 June 2011 and to allow you to give yourself a useful permit if you're in the time frame, but what's recorded in the 2011 flight, and not someone who's possibly doing it today, you're going to give him a useful permit within 3 years, but you need to tie it to some document on which it's drawn. Thank you very much, and I'll keep this going.
ParlaMint-HR_2021-03-10-0.u38391	The next debate on behalf of the Croatian Sovereigns' Club, the distinguished representative of Hrvoje Zekanovic. He's gone, so he loses his right. The following is Green-left bloc's Green-left Club of Representatives, reputed representative Sandra Becic.
ParlaMint-HR_2021-03-10-0.u38392	I'm on my way today. Thank you. First of all, I would like to say that given the first reading that there have been some improvements to this text and that whenever we see the good will of the promoter, with the Government, that we should commend and stress it and I, I personally thank the Committee on the Environment for taking a concrete comment and remark, which is actually not to remove the permit for the exploration and exploitation of geothermal waters or the production of energy from geothermal sources, in case it interferes with the exploration and exploitation of hydrocarbons. In fact, this provision that has remained from before has actually given priority to the exploration and exploitation of hydrocarbons, after we have made a comment on the board and here in the plenary room, it has indeed been adopted and this provision has been removed, and now we can say that this situation has been subdued in some ways. However, one of our amendments in front of the Green-Left bloc club will also be that, in the case of research into geothermal potentials and their exploitation, in fact, if hydrocarbons were to interfere with hydrothermal hydrocarbon exploration, in which case, we should actually suspend the exploration and exploitation of hydrocarbons because we believe that this would then clearly show Croatia's orientation in the direction we plotted in the green plan, which is actually decarbonisation and entry into low carbon and we hope later and post-carbon economy. What remains questionable to us and what we have already pointed out is the situation with the treatment of geothermal waters, so geothermal waters in the Law of Waters as well as all other waters, are treated as a common good. Why does it matter? Because the general good is not in the ownership regime. We think that for the waters of any kind, it's a key regulation for the reasons that it's our priority resource for future generations. So even geothermal waters, even when they are used exclusively to take energy for them and we know what the argument is, so just taking energy water, the water returns, etc., but we believe that it should remain in the general good regime. Being in the general good regime does not mean that the state cannot manage it, however, the state has an obligation to manage it, however, it is prevented to enter into the ownership regime which is crucial for us to water. We know that globally it comes about water to how to treat water as goods to certain changes, we really don't want to go in that direction and we want any water, regardless of its purpose, to remain generally well. Furthermore, I will also say that we were actually surprised that the law does not provide for a phaseout or a period of exit, a complete exit from the needs and activities of the hydrocarbon research and exploitation because we have decided to support the European Green Plan, we have decided to support a neutral therefore climatic neutral Europe by 2050. So there's no climatic neutral Europe until 2050, if we're going to continue to exploit fossil fuels. So, the prerequisite for this is a gradual reduction but then a complete elimination of the use of fossil fuels. Now, the arguments we've heard are from the prime minister that we're going to do so. By a two-way route, so on the one hand we will increase the share of renewables but on the other hand we will continue to explore and exploit hydrocarbons in order to have back-up for Croatia's energy sustainability. And now I understand that goal that we really need to be energy sustainable, we need to be more self-sufficient than we are now and that energy security is of course important, but what bothers me is the deadline on which we give these permits. So, we're still predicting in this law that we're going to give those permits for 30 years, so if they're issued in 2021, it's going to be 30 years, if they're issued in 2025, it's back to 30 years, so we're going to be behind 2050 the last year when it's supposed to be the complete break-up with fossil fuels. Now, an even more important issue for our citizens is that given the types of contracts that are concluded with investors, it is very often about foreign investors that are protected not only by our laws but are protected by international trade agreements. In addition to being protected by international trade agreements, they are protected by the so-called Energy charter, i.e. an international agreement that has many international trade agreements, so-called the investor protection clauses or specific provisions on investor protection. These provisions protect investors from changing regulation that would actually harm their investment interests. We know what it's like when it's activated because we already have lawsuits, so when we're being taken over in Washington, it's exactly on the basis of such provisions, and that's one of those lawsuits that we've just got is from MOL. So, they wouldn't be the first state, many countries have a problem with investors who have sued them precisely for violating LNG charter provisions. And why did they sue them? Well, for example, one of the lawsuits is because certain countries decided to stop exploiting coal by 2030 and then sue them for tens of millions of euros. So these are not small lawsuits and more, because their interest, therefore, is at risk of investor interest. Since we're signatories of this, I'm asking you to think, not to expose ourselves to potential lawsuits in case in 2040 we want to, for example, stop exploiting or go to a more serious phase out, give ourselves that opportunity, and we can give ourselves that opportunity so that we can now put into law that every license is issued by 1.1.2040. This does not mean that if we decide to do so, if circumstances change, if we have an energy crisis, that we cannot extend or renew these permits. But if we do this now, we're going to give each one 30 years, and we may need to break those contracts beyond these provisions legally, rather than regulation, we're really going to be exposed to potential huge claims for damages to investors. I really don't want us, our citizens and future generations to have to pay for it. And for that reason, our proposal, one of the amendments, is going in that direction to limit it. So we think it would show the will, the desire and what we're saying at the declarative level, and that's the support of the green plan, that we should also have a clear date when we stop exploiting coal. You know that the whole process of using fossil fuels goes first coal, oil and gas. So we still don't have a date to stop coal exploitation. We don't know when we're closing Plomin, we don't know if further investments are going to go maybe in a direction that will stimulate and exploit coal. I think as a first point right now we should already have a cut off date for coal. Everyone's afraid for some reason, no one wants to commit to a specific date. However, we believe that this date is important not only to show me the will to implement the green plan, the objectives of the green plan, but also to make sure that all those working in the industry know what they can count on. These things must appear to me at least five to ten years earlier. And now we're about to do it. So, further I would like to say that as the thing is set for me, it still does not reflect Croatia's clear orientation towards replacing fossil fuels with renewables recently, so in some more serious scale. And it also shows no understanding that we must lead this green transition through the strong role of the state. Both states and local self-government, not leaving things to the market, exclusively because this process requires an extremely strong leadership and an extremely strong role of regulators. Thank you.
ParlaMint-HR_2021-03-10-0.u38393	The next debate is on behalf of the MOST representative, MP Miro Bulj.
ParlaMint-HR_2021-03-10-0.u38394	Thank you very much. In the replica, I told the Secretary of State if soon we would be in Dinarids, Dinara, Velebit where squatted, guard, killed and defended Croatia's homeland on our beautiful mountains soon strange platforms will emerge that will drill the Adriatic. Of course you signed the survey, of course you excluded Plitvice National Park in this area and, of course, in the proposal for a spatial plan of the Split-Dalmatia County, we have 9 newly foreseen in one article, the new article was added on purpose, targeted, strategic 77a. hydrocarbon research sites in the Adriatic hydrocarbon exploitation programme, which means the folkly spoken drilling of the Adriatic. So soon we'll probably see down platforms that will look like strange things in the tourist season. It will be something wonderful in the tourist offer. It would be a shame to offer other destinations such as our quality mountains, facilities, rivers, forests, islands, beaches. But don't stick around to the beaches of your ministry. Here I was the other day and in Makarska, down Mate Vujnović and the team is digging up the pits on the beach of Sike, the white singing Macarski regrettably sang, though unfortunately we won't see the concreteisation of the entire coast soon. So these platforms wouldn't be weird, either. Nine, according to the proposal now in the county, nine fields of investigation in the area around Vis, Palagruža, the coastal islands nine means this in protected areas which were declared protected by UNESCO in 2019. Lastovo and these parts of our beautiful Adriatic are planned in the spatial proposal of the Split-Dalmatia County. I could talk more about it with my colleague Sanader, but he's the chairman now. Because they are probably much more involved in making these and such quality decisions for the development of tourism. Because it's a shame not to see these platforms that the Sinjska alka, a zero monument of cultural, mobile, which, I don't know, will give you a miracle Lady Sinjska as a religious content, which will give you that in Cetinje Krajina, the first football ever played in the world, the first football, two thousand years ago, by the FIFI. So we have a number of contents, but you think of hydrocarbons. And now I'm reading this law. I'm reading this Law and I see colleagues and colleagues, thank you so much for putting it in, they'll put it all in, don't be afraid, it'll all be written, but you'll get platforms. You opposed the idea of something not coming, but it came without a problem, so that everything they write on paper can be freely thrown into the toilet, there will be faster flow to the sewers, because everything they make, they make the interests of the Croatian people, national security, the same with other similar problems. We had strong research fields, not in Croatia, i.e. Not research fields, but we had white nights, white nights black roads, or vice versa as Thompson beers. Di is now, you were at the HNS during the time, Secretary of State, you were then, very well it went during Slavko Linic, it went away, so later what the SDP started, ended HDZ, no INA. That's it. It has, it says INA but it has nothing to do with Croatia. That's the problem. So our resources and our potentials, that's where we mention these waters, that water, basically a cross, 8 counties, is the most quality land, the most quality area, protects one area, it's a special area, it's an area of beautiful drinking waters, but it's going to take place just like on the Adriatic. Lipe Platforms, and then we from Dinara, celebrate our Dinara, not only have we declared it as Velebit, Dinara as nature parks, but we don't have that remorse, it's going to go to Biokovo, it's going to go downhill, and it's going to be so, unfortunately, and the point before it was to deal with a whole other topic, renewable energy sources. And that's what the government signed to investigate, and then three years later, it'll be exploited by the INA. As will be. And it's not sustainable development, we have resources, potentials, our Adriatic is potential and resource. It's not someone's girdle, who can drill and dig around and pay off anyone's thoughts as to whom it comes to mind. Since the Rapal Treaty in 920, we have not had the strength to declare an exclusive economic belt to our country and before entering the European Union. So since 920, Italians, a colleague of Sanader, a friend of your President fascist Tajani, has continued to usurp our Dalmatia, our Istria, and will not win it, will not, you can drink with it, same, dilith, tezgarite, win it no, nor will drill it. Neither Dinara nor Velebit. Is on Velebit someone left their head in the Homeland War and ran over all of Dinara and no one has the right to do it, no one has the right to sign it. Minister Coric said he signed the survey. He signed it, he said in Sibenik in 2020, I don't know, at the end. So all the laws that we are discussing here, we can actually make amendments, and I have some amendments, but basically, this is just that we can boast to European officials that we have fulfilled the obligation to comply with the laws on European norms, regulations, directives, and I don't know what everything. We have everything on paper, I think no Parliament has passed any more laws. So we discuss four, five laws a day. And mostly the copycat, she's heavy, classical, not plagiarism, she's a copyist. From letter to letter. It is not a directive order, the directive is like a recommendation, and we are those who, within these circumstances, can change the gauge, we can protect, we can work out, we can plan in a completely different way than clean, mere copying of the Directive. And at the end of this term, when this term is over or let this session end, then there will be the press president of the Parliament who will say we have brought, I don't know, 400 laws, we have aligned with the European Union, the stars behind it are shining, and at the same time, the stars of the European Union, they would say... I remember when that Sanader thing, Ivo, not Ante, raised the flag, so he said we'd raise gold, that when we get into the European Union, they lied so much, it's a hoax worldwide, I think it's amazing. [[the speaker doesn't understand...]] The people have never been told the truth, and at the same time these monsters will be destroyed by Dinara, by Velebit, I don't know where. Instead of protecting our resources, our water, our junk, our Adriatic and we are ruling in accordance with our strategies, whether tourism, whether developmental, whether energy, so I said Krš-Paden an example of Croatian governance. A breach-Passed wind power plant, for example. Two billion kunas went out of the pockets of the citizens of the Republic of Croatia. And again, now, again, I call on your coalition partner of HDZ ruling Milorad Pupovac, which he did not report about this Krš-Padena, there the people of Serbian nationality live. I repeat again, people of Serbian nationality, of course political Croats, because they probably chose him too, I don't know if he was there except when he solved the documentation to make Krsh-Padjani. And what harms the people, what the people in their pockets, the money is coming out, which is ecologically unacceptable, which is in the middle of the village, it's less important. He's gone. You can't hear him. They are not heard, except that they are neatly in the coalition with HDZ in Sibenik-Knin County, they work well there, they are functional, the party Milorad Pupovac and they are neatly watering and they are very efficient in destroying natural resources, from Dinara, Krka, all other potentials, sources of Cetina and cultural goods, I am surprised that they are not at the church of St. Rescue from the 9th century put plastic windows on.
ParlaMint-HR_2021-03-10-0.u38395	The next debate is on behalf of the HDZ Representatives Club, Honorary Representative Miro Totgergeli.
ParlaMint-HR_2021-03-10-0.u38396	Thank you, Vice President of the Croatian Parliament, dear state secretary with associates, distinguished colleagues and colleagues. A few weeks ago, we discussed the Bill on Amendments and Supplements to the Law on the Research and Exploitation of Hydrocarbons in the First Reading, and at the outset I will start from the difference between the solutions offered by this final bill and from the solutions set out in the bill that was in the first reading. The promoter also noted what we discussed here in the Croatian Parliament and certain proposals presented here, so that, in accordance with the opinion of the two parliamentary committees, the deadline for launching the process of harmonising the areas for exploitation with the spatial plan instead of the initial proposed 8 days per 30 days, it was further clarified in the final proposal of the law that it was not necessary to decide on the launch of the process of harmonising the areas for exploitation with the spatial plan, but rather on the initiation of the procedure which begins with the launch of the proposal for a decision to initiate the procedure. The opinion of the Environmental and Nature Protection Committee and the removal of provisions which eliminate geothermal water research if these studies interfere with or threaten the exploration of hydrocarbons in the same research area or the exploration of hydrocarbons in adjacent research areas, if the research endangers future hydrocarbon exploitation or if the research interferes or interferes with or threatens the exploitation of hydrocarbons in the identified exploitation fields, which is all in the spirit of fostering the use of renewable energy sources. I would also refer a little bit to the discussion of the president of this committee, colleague Bencic, who thanked the government for following the proposals, I will say that the government always respects all the good proposals, only when such proposals are proposed but also the part where it talks about the exploitation of hydrocarbons after 2050, however, hydrocarbons are not only fuel but in many situations are also used as raw materials. The promoter also accepted the SDP's proposal to draw up individual acts related to oil and construction projects and permits, published on the ministry's website. Furthermore, in relation to the first reading in the final proposal for a law, the erasure of certain articles has been carried out to avoid the double regulation of the same provisions relating to compliance with the provisions of the State Inspectorate Act or to the provision that the inspection of the protection of nature is within the scope of the State Inspectorate. A plan for the development of the geothermal potential of the Republic of Croatia for the management of geothermal waters is introduced in line with the direction of the Republic of Croatia towards decarbonisation and the increased use of renewable energy sources and thus fostering the use of geothermal energy in accordance with the Energy Development Strategy of the Republic of Croatia by 2030, with a view to 2050. It is necessary to carry out an assessment of the impact of research and exploitation of geothermal waters for energy purposes, while safeguarding environmental and nature components. This will clearly determine the geothermal potential and the possibility of its use by respecting environmental and nature protection requirements. For the purpose of harmonising the term in accordance with international regulation and practice related to underground gas storage, the new article adds, instead of the concept of ‘storage storage of natural gas’, the term ‘underground storage of gas’. I must stress that, as we pointed out in our first reading, this final bill will bring national legislation into line with the legal acquis of the EU, so that the definitions of the public will be transposed, representing one or more natural or legal persons, their groups, associations and organisations in accordance with specific regulations and practices, and to the public concerned, which may be influenced or affected by environmental decision or have an interest in environmental decision-making, as well as civil society organisations operating in the field of environmental protection and meeting all the conditions in accordance with the law governing environmental protection, will be considered to be an interested public. In conclusion, the public and the interested public will be able to access the judiciary with regard to the approval of requests issued under the Law on the Research and Exploitation of Hydrocarbons. Also, it is undoubtedly clear that overlapping of research spaces, i.e. exploitation fields for different purposes, is possible, and in the case of different hydrodynamic units, e.g. hydrocarbons and geothermal waters, underground gas warehouses and secret carbon dioxide disposal unless they are located in the internal sea waters or the territorial sea of the Republic of Croatia. This law introduces the powers of the Agency for Hydrocarbons, for the implementation of certain investigative works for the promotion of the geothermal potential of the Republic of Croatia, and for the special procedure of issuing permits for the operation of oil and mining plants for the manufacture or refurbishment of the well, given that the existing legal procedure for this purpose is inapplicable and not appropriate. In addition, it is introduced to equate permanent CO2 disposal with the new term "sustainable care with use" with the condition of ensuring full CO2 separation and to allow its safe return to the system of permanent disposal in the bed. That amendment contributes to the global acceptance of greenhouse gas emissions reductions. The proposed law opens the possibility of setting up a development society to promote development and use the geothermal potential of the Republic of Croatia in order to increase the share of renewable energy in total energy consumption. Determination of fees for access... The data are organised in the premises of the Agency for Hydrocarbons, which are charged for the use of data should be regulated by a special regulation, given that SOBIS data and data use are revenues of the state budget. [[/The speaker doesn't understand.]] The law clarifies that the Agency prepares and delivers initiatives for the production, modification and addition of the spatial plan and participates in the procedures in accordance with the rules in the area of spatial... in order to implement the Framework Plan and the research and exploitation programmes of hydrocarbons in the Adriatic and the Framework Plan and the research and exploitation programmes on land. [[/The speaker doesn't understand.]] A ban on mass hydraulic fractionation is defined as risky and dangerous activities. The law contributes to the creation of a secure legal environment for investors by protecting the interests of the Republic of Croatia. The HDZ Club will support this bill. Thank you.
ParlaMint-HR_2021-03-10-0.u38397	The next debate is on behalf of the House Movement Representatives Club, the distinguished representative Vesna Vucilović.
ParlaMint-HR_2021-03-10-0.u38398	Thank you very much. Dear Vice-President of the Croatian National Assembly, respected state secretaries with associates, respected colleagues and colleagues. The final proposal to amend and supplement the Law on Hydrocarbons, which is before us, is making certain changes which, as we have heard so far, are in line with EU legislation. I'm going to look back at this debate in a few parts. Since the first reading that was recently made, the law has suffered certain changes which are also suggested on certain committees, as well as in the parliamentary debate and what I will look forward to, it is one fact that in its first part this law refers to the assessment of the impact of certain public and private projects on the environment and the involvement and information of the public. In fact, so far, we have been assured by the ruling that the public is informed in this segment and that everything is fine, so we have heard from both the Minister and the Prime Minister and the Prime Minister several times that this is not a problem and the public is involved and informing. But if we remember the impelation of government work in connection with the Krsh-Padene project then we had such a rather heated debate which the rulings refused because they claimed the government was not a postman, and all requested documentation was publicly available, although certain contracts did not. When it comes to answering the questions of MPs, all deadlines are broken, and here I have been waiting for more than a month and a half to have several parliamentary questions given to me by the Ministers of Answers, and there is no help in the haste sent by the President of the Croatian National Assembly. I believe I'm not the only one. So any initiative that will increase transparency and public information is welcome, should be supported, remains to see how much public will be involved in new projects when it comes to environmental impact assessment. We know that there are several wind parks where this was not done properly, but to mention Krš-Paden where there were major changes in the project. I will remind you that the force of the aggregates has increased, the diameter of the shovels, the height of the pillars and, accordingly, the locations have changed, and no new environmental impact assessment has been made since Minister Coric decided that this is not necessary. Then, Ve Portrait 2, which has led us to get our pucks from the EU, and we have the court ruling again regarding the environmental impact assessment. It may not be important for us or for the ministry of rare birds, but the Birds Directive and the Habitats Directive are very important in the EU that we are a member of. The second part of this law refers to the use of research wells for the use of geothermal sources. It is known that geothermal sources are also available in Slavonia, both in Zagorje and in some other parts of the Republic of Croatia, of course there remains a question for which these geothermal sources can be used because they are not all similar to electricity production. It is interesting, though, that it has led to inter-strategic projects in preparation in five Slavonian counties of several projects related to geothermal potentials, with the following amounts. Osijek-Baranja County 75 million kuna, Požega-Slavon County 88 million kuna, Virovitičko-Podravska County 20 million kuna and Vukovar-Srijem County 180 million kuna for research into geothermal potentials. It's kind of a convenient match to the National Recovery Plan where over 30% of the funds have to go to green projects. Only project documentation is related to the survey of geothermal potentials in Osijek-Baranja County will cost 3.2 million kuna. The current mayor, Ivan Anusic, points out that geothermal energy will be used cascadely, as this law provides for the acquisition of electricity, agriculture and health tourism. It sounds great, if you don't live in that county so you don't know the following, namely in Bizovac you have a spa, the hotel has been closed for several years and there's no indication that it will open soon. There was supposed to be wellness, all newly renovated and it was long ago, and therefore the private owner does not see business interest and hotel yawns closed and collapses, and now our mayor will go to health tourism or another pre-election village of Pojpkin. We'll see, my colleague Davor Dretar would say. Let us return to this modular or cascade system of geothermal water use. As I said, such a model enables the production of electricity, the use of waste geothermal water for the purposes of heating and for agriculture or for heating of greenhouses or other purposes. In doing so, we must bear in mind that this rests on abundant incentives from the state budget and double. First of all, we encourage production from renewable energy sources in this case of geothermal energy, and then for the second time through incentives to agricultural production. Of course, all of this is paid by the taxpayers of the Republic of Croatia through electricity and taxes bills. The premium model for production from renewable sources is already unnecessary in certain segments. Geothermal energy is certainly one of those as well as solar energy because investors themselves declare to invest in megasolare without premiums because the level of investment is significantly reduced due to the price of solar panels. What the state should stimulate is the installation of solar panels on family houses and residential buildings to make our residents energy independent, not to take from all of us and then pour into the pockets of the chosen. In particular, given that these changes and additions to the Law on Hydrocarbons opened up the possibility of using hydrocarbon probes for the purpose of research and exploitation of geothermal waters, which significantly reduces the level of investment. The last provision I will refer to in this exhibition refers to a measure aimed at reducing greenhouse gas emissions. It refers to the suppression of carbon dioxide underground. This technique is nowhere near to be worth mentioning in relation to the construction of a low-carbon society. It's just a correction of a disbalanced system that's been caused by over-exploitation of fossil fuels. It is quite insecure and unknown about the long-term effects on the environment, the underground and everything that is related to it. In the end, I have to point out the following. The exploitation of hydrocarbons as energy in the economy of a modern and civilised state must, by meaning, reach where it belongs in the 3rd decade of the 21st century, which is at the beginning. So in this context, the search for hydrocarbons as energy is not and should not be a priority. Those supplies are here. They're not going anywhere, but they can and should be a reserve that will always come in handy but not as energy, but as raw material for the organic chemical industry. Therefore, it should not be imperative to call concessions and thus make it possible to use hydrocarbons as a preferred economic activity as quickly and as productive as possible. The law mentions the reduction of greenhouse gas emissions in several places, but only better use of geothermal sources has in principle a real net contribution in this direction, respecting certain changes in the premium system that should be made.
ParlaMint-HR_2021-03-10-0.u38399	The next debate on behalf of the SDP Representatives' Club, distinguished representative Mirela Ahmetovic.
