ParlaMint-HR_2021-03-03-0.u27275	Let's move on, now it's SDP's Club of Representatives, dear colleague Mirela Ahmetovic, come in.
ParlaMint-HR_2021-03-03-0.u37055	Thank you. Next is the club Hrvatskikh sovereign in a name to be spoken by the respected representative of Hrvoje Zekanovic. I don't see him, he's gone, he's losing his right to speak. So the next one will speak on behalf of the HDZ Representatives' Club, respected representative Josip Boris. Here you go.
ParlaMint-HR_2021-03-03-0.u37056	Thank you very much, Vice President. My colleagues and colleagues. Respected secretary of state with an assistant. Report on the implementation of the Island Act in 2018 and 2019 We heard in the opening statement of the distinguished secretary of state, and congratulations, you gave a nice picture of it to the MPs. And indeed this island story here in the second week, after last week's Island Law is something to talk about, given that simply these spaces have shown that politics when it has a commonity, when it has continuity, when it has the means to ensure that it can produce good results. And I'm glad that a colleague from Slavonia realized what I last said when I called them to mean, all representatives from Slavonia do not attack the project Slavonia and Baranja, that it is a joint project, that it is a state project and that it contributes to all local self-government, no matter where it is or where it lives or from which it is a party, and that such a story on the islands is already being carried out for almost 25 years and that it has its results. About these results we are now reported, reported by the Ministry and the Government of the Republic of Croatia, and they are a natural sequence of policies made possible by the Island Act, but also by certain sectoral laws from other ministries. Of course, the investments of numerous public enterprises on islands such as Croatian roads, Croatian waters, such as the stup of forests, etc. And that this story has a real and then its own and final number at the end of every year when it's being watched. 49 inhabited, constantly populated islands are the result of good policies, regardless of how many we have 1244, but we wouldn't be able to expect all 1244 to have residents. It wasn't much, much, long ago or long ago inhabited. It is simply the great islands that we all know more or less about and these smaller islands that consist of certain larger towns on land such as the Zadar Islands, such as the Sibenik Islands, such as Dubrovnik Islands, Lošinj Islands, and they have simply organized themselves to make through their local self-governments 51 plus these 8 on land simply make one good meaningful whole that has a good function today, and that is that all these things that invest in them can be returned to the state that makes them money. investments are about to be made. So this story of billions of kunas has its sequence long ago, long ago there since the early 2000s, when it really went pretty hard towards the islands and when it started to add up what everyone contributed to that development. Of course, I am pleased that in 2019 it was a total of 2 billion 959 million because it is really one for me so far the largest amount, and he is testifying together with 2018, which was somewhere on 2 billion kuna that the funds, the European funds finally did theirs, means on the islands. Of course, the Pelješki Bridge, which is the largest investment, is mentioned here, and since it connects Pelješac Peninsula, then we would add it together in this and this report, we did it both in 2006 and '07. and in '08, Peljesac was always part of the story of the Island Act and as such is part of the Island Act itself although it has as a bridge safe and much greater, much greater importance than it is just connecting Peljesac with the mainland i.e. Finally joining the Republic of Croatia in its territorial part. What was heard here in the debate I will try to explain since perhaps the secretary of state at the time of the debate couldn't say it, and it will look back at a lady who isn't here today, so she kept asking us what we did for something. So I've prepared myself so I can list here what we did about Jadrolinia in 2004 alone. – 2011, 12 new ferrys of beautiful names Biokovo, Bol, Cres, Croatia, Ilovik, Jadran, Juraj Dalmatinac, Korčula, Marijan, Supetar, Sveti Krševan. Supetar and St. Krševan were the first ferry ships we made in 2004 in the first attempt means to go to the full restoration of the Jadrolinija fleet, which in these 8 years I say received 12 new ferrys, 2 new catamarans, then by 2020 another 4 new ferrys built, all built in Croatian shipyards. And not to count 10 small ships of catamarans that have entered the private fleet. And this private fleet was created after we passed the Law on Public Line coastal occasional transport that allowed it to mean competition on all lines, which means that it was best shown on the high-speed lines and there they all found their economic interests and today the islanders are really driving in the proper, of course not just islanders and tourists, because of many things it was done to really when they came to Croatia especially on the islands as they think they should be the best and I think we do a lot there. The question of whether the Law on Islands gives i.e. This report is the real picture that happened or agreed on the islands is what I might think about in the ministry, but I don't think it's easy to implement. We therefore believe that a school is financed with 15 million kunas that this school is then either built or that this reaction will. such a stake to create such a value. So for any other investment because it will be difficult to write I don't know that the agglomeration on the island of Krk is, for example, complete, not connected some settlement etc., etc., it means it's not quite easy to describe it in those figures, but I think only this warning of what is happening in certain projects means that they happen, that they have a realisation and that sooner or later, through a year or two, this one will be completed. That's the part Mrs. Dark was talking about. The Croatian islands have also made a major step here, especially the Kvarners, although we still have some problems with our center of management in Mariščina, we are still doing a lot of work today to solve what the law has imposed on us and what they have provided us with. So we have dumps like on the island of Rab which this morning is a technical review, so we're done, we've done what we're asking for a recycling yard, overloaded, etc., rescheduled dumps, and we drive every kilogram of waste to Mariscina. That's what we want to do on the islands, that everything we've stored for 10 years, and that's where this rest is to be rescheduled, and that's all the new stuff that's come into existence in the last 2 years. You drive away means on the CGO and it costs something, of course we would like it to be something cheaper, but it's just something that, that's the standard we're going to have. There won't be any more, I don't know, lots of plastic bags flying all over the space, which eventually end up in the sea, which kind of pollute the environment, etc., which we witnessed for 10 years and 10 years. That's how it's gonna happen on every island. Zadar Islands have been doing this for 10 years, all riding from their islands to the mainland. We also have private operators like on the island of Brac dealing with this, we have the meaning of a municipal society owned by local self-government, we have the island of Krk which is an example that has long begun with its example of how and how waste should be taken care of, so that we may also be an example of many how it is done. As for tourism in summer, the 50 inhabited islands simply have 3 times as many inhabitants as in winter. Let us imagine the City of Zagreb with 2.5 million inhabitants in 3 months or another city with 3 times the population, so that we can think whether we are good, whether we can or if we have offered enough. I think we are, 300,000 people in the 7-8th month when it's the strongest season, it's staying on the islands and it gets me thinking more or less good services both in hotel accommodation and in car camps and in private accommodation, and then it needs to be served on the beach, have enough parking spaces, have a good infrastructure that can bear that sensational function, have enough water, have enough amount of everything we need, for three times as many residents. It is often forgotten or kept out of everything, but I say if it happened maybe in the City of Zagreb for 2 months we would understand what it means on the islands and how every leader of local self-government tries to deal with it and of course we do it quite well and I think our tourists on the islands are satisfied and that is why here, not only because tourists are satisfied but because this report clearly shows that the Island Act works and we fully support it for 2018 and 19. [[Intruder: Time]]
ParlaMint-HR_2021-03-03-0.u37057	Thank you very much. Good afternoon, all colleagues and colleagues, we continue the debates on behalf of the MPs' club, the next on behalf of the SDP Representatives' Club, respected colleague Mirela Ahmetovic, please.
ParlaMint-HR_2021-03-03-0.u37058	Thank you, well-respected Vice President HS, respected secretary of state with a co-worker, respected colleagues and fellow MPs. Today we are discussing reports on the effects of the implementation of the Island Act in 2018 and 2019. I will discuss them unitedly because they are essentially, essentially equal documents, analyse the amount of investment of the state and public sector body in the island and Peljesac peninsula during that time period. And as reports say, in 2019. EUR 2 billion 959 million was invested and in 2018 2 billion 71 million kuna based on the Island Act. The fact that the total amount of investment is if we compare those 2.g. in the islands growing, she would rejoice if she were to apply, or if she were the result of the island law. But it's not like that. If that were the case, all stakeholders, who were invited to show about the amount of investment in the island, thought and did everything, sought to do everything they could to increase the quality of life and the possibility of the island's inhabitants staying. But not everyone tries equally because they don't really have to, nothing forces them to, which I will explain in this debate. Fortunately, the island of Krk from which I come, if we look at it as one whole, there is no problem of what other islands in the Republic of Croatia certainly have or at least part of the island in the Republic of Croatia. I'm talking about when I'm discussing some of the problems that the islanders are facing, say, in Brac or on another smaller island or even in the Primorje-Gorski County. The island of Krk is one of or even dare to say the most developed island in the Republic of Croatia, it is certainly because we have the exactest island in the Republic of Croatia, and it is reasonable that there are no problems like some other islands. I mean, of course, the development of infrastructure, the transport connection, the availability of health, education and other services important to the life of the island population. And that is how I assure you not because this is the result of the Island Act, although it was first adopted in 1999, if I am not mistaken, but because they lived on the island of Krk, and for the island of Krk, there are wise people who have planned to invest in the island of Krk, how the island of Krk will develop and how, and how we will leave the most important man in the centre of interest forever. However, from the perspective of the people of the island of Krk, I will look back at a few of the facts mentioned in the reports, which, for the sake of truthfulness and clarity, need to be clarified. If you take, for example, the fact that the Primorje-Gorski County has invested in the reconstruction of primary schools on the island of Krk, it cannot be said that it did so because it was forced by the Law on the Islands and here we can already see why this is not the Report on the effects of the Island Act. This reconstructed elementary school on the island cannot be an effect on the implementation of the Island Act because it simply does not. It is the effect of a very effective school and education management department of the Primorje-Gorski Kotar County, which does not need any document to force him to invest equally in an island school or in a school on land, it does so simply on the basis of the criteria of how many students are in that school, in what state the school is, whether the documentation is ready, project documentation for investing in that school, etc. Not a single article of the Island Law gives primary school on the island before school on land when choosing which school will be reconstructed. That is why this cannot be the effect of the Island Law. Regardless, of course we are pleased to be recognized by the Primorje-Gorski County and what is actually the funds that the citizens of the island of Krk are paying into the budget and which are being allocated to the county budget, are returning through investment right to the island of Krk. We must also point out here that the Primorje-Gorski County and the island units of local self-government in the Primorje-Gorski County are very successful even after the withdrawal of grants. That's how it is, for example. through the Ministry of Regional Development Board, even 1/3 of the total funds invested in projects and activities carried out on the islands of the Primorje-Gorski County and is not because someone particularly prefers us, but simply because our projects are quality and ready, ready to withdraw these funds. Now that's our success, and that's not the effect of the Island Act, the efficiency of management in the Primorje-Gorski Kotar County area. The Primorian-Gorski County has ready-made projects and is ready to withdraw funds from the Ministry of Regional Development that recognises it. And I thank the Ministry for that. I will take advantage of the opportunity and say in the investments that I did in these reports during 2018 and 2019, but actually did in real Croatian mail. It is 454 103 kn in 2019 and 431 141 kn in 2018 and these investments relate to the purchase of air conditioning devices, to the arrangement or purchase of furniture for postal offices, to the purchase of IT equipment, to increase the security and technical protection system. In addition to this investment is not the result or effect of the Island Act, because nowhere in the Island Law does it appear that there is a need to invest more in postal offices on islands than anywhere else, this is also a realistic explanation of why postal services are at an extremely low level and the functioning of certain postal offices on islands, so we also have such examples fully dependent on funding by the local self-government unit. Do you know that the Post Office in Baška Municipality works because the Baška Municipality is financing a post office in its municipality? Now that's a shame, on the most tourist island in the Republic of Croatia, on the most developed island in the Republic of Croatia. On an island that has no birth problem, on an island that has no problem with the eviction or outflow of the population, it's a shame. In addition to the fact that this situation with postal offices is precisely in local self-government units with the old population, the older population than the average, with a small level of traffic connection because we know that Baška has a traffic connection problem unlike the Omis which is the first end of the let's say, the Krk Bridge, by not investing in modernising, increasing efficiency, availability and quality of postal services, not only does it turn back and that population but it also discourages the young population to stay alive and maintain life in this particular island environment. Then read the annual Croatian Post Office report for 2019, in which the first sentence says that a historically good net profit of € 130.7 million has been achieved, which is significantly higher than in 2018 when profits of €39.4 million have also been obtained. So Croatia's mail makes a record profit and invests in the islands of 454,000 or whatever, 431 000 in the equipment of air conditioning. Finally, I will refer to the promotion of air transport through a PSO programme aimed at maintaining transport connectivity in domestic line air traffic in order to carry out regular air traffic on lines within the Republic of Croatia, as airlines would otherwise not have a commercial interest in maintaining such flights. As far as the island is concerned, the Rijeka Airport is included in the PSO on the island of Krk and on the island of Brac. I don't think the Small Lošinj Airport is even included in this programme, but they are in a completely discriminatory position compared to other airports. For comparison, through the PSO programme for Rijeka Airport, the Rijeka-Osjek-Rijek line is provided with 3000 subsidized seats, i.e. two lines per week. At the same time, 50 000 seats, Pula and Zadar 70 000, Split and Dubrovnik 200 000 and Zagreb 500 000 seats were secured throughout the year. Instead of supporting additional support from the island airport by the Island Law, I do not see the effect of the Island Act on this matter. So this is not a report on the effects of the Island Act. This report is problematicly methodological because the content does not correspond to the truth, a significant part of the investment on the islands is not the result of the Island Law, and therefore it cannot be argued that the investments that are "existing" from the Island Act are growing year after year. Thank you very much.
ParlaMint-HR_2021-03-03-0.u37059	Thank you, thank you, colleague Ahmetovic. The debate on behalf of the Green-Left bloc's Club of Representatives will be shared by colleagues Bencic and Boric, the first to speak with a respected representative, Sandra Bencic, please.
ParlaMint-HR_2021-03-03-0.u37060	Thank you. So, last week, when we discussed the Island Law, we were actually discussing some of the things I said, and some principles of development that should be applied to programming measures, but also later in their evaluation, in terms of whether they were fulfilled. What's the first problem with this report is that we get it after we've already discussed the Island Law, it would be good if that debate had preceded that, so clearly, however, okay, we have another reading if I'm not mistaken, so it's certainly not in vain. Another thing that we need to notice in both reports and actually ask the Ministry to fix the future is that this report or it has to be called differently, so it can be a report on investment in the islands because these are data that are inside, and if we want to have a report on effectiveness, so measures on their concrete effects then we have to have a different structured report, different indicators, and it's a much more demanding job. The question is whether we can do it every year, maybe we don't have to do it every year, but maybe on some two-year-old basis, we could do a certain evaluation of the measures to know that these investments we have here have really affected the quality of life on the islands. One of the things I noticed last week, Mr. Boric, you reacted to it, I hope that was the consequence of that reaction, but I must say that I brought the problem of the Croatian Post and the yellow click here, which on some islands suddenly abolished the actual delivery of the package over 2 kilograms. And after already our discussion and the Croatian Island Assembly reacted and after the reactions were here I see that the Croatian Post Office corrected it and increased it from 2 kilograms to 10 kilograms of packages, however it remains to be seen whether this measure should be further improved, whether certain islands are concerned with the fact that packages of 10 kilograms are not delivered. Furthermore, what I wanted to point out in particular today is the report for 2019, which I also mentioned in last debate, which is that there was no investment in islands at the Ministry of Education position last year. Now, there have been investments of course from other ministries in education infrastructure, so we have investments, for example, in energy efficiency, etc. However, why do I point this out as a problem? I believe that, in addition to the basic infrastructure in which we must invest that our key investment to maintain the quality of life and improve demographic image on the islands is to invest in a substructure or specifically in education. So, the availability of quality education, and when I say education, I mean not only primary and secondary school, but also pre-school education, I think that's what should be a key measure for us. So I'm not just talking about schools, buildings, etc., I'm talking about the equipment our children on the islands have. I'm talking about materials they have. And I'm talking about the quality of the school and extracurricular program that they can attend. I think it is absolutely necessary to keep young families on the islands to offer them the first ones sometimes especially because they are in a difficult position, the first certain innovations, innovations, etc., in the field of education, so that their very quality of education goes not only at the speed that goes on land but sometimes faster and better because it is an attractive factor for young families to stay on islands. The very fact that we have a situation in the islands because of the demographic image where you can have fewer classes, in which you can have fewer kindergarten groups we need to use to actually pilot certain standards there that you could later transfer to the mainland. That's why I think investment in that part is crucial. Investments in a quality fit, investments in teachers working on islands to go, to provide them with sabbaticals, to go to additional educations, not from 2-3 days and seminars, but from serious additional educations so that they can offer an even higher quality of education in these areas. The particular problem I want to highlight is the coverage of children in preschool or preschool education and island education. So kindergarten and preschool education is a key step leading to greater or less success later in education. So, you have clear indicators at world research level that every year you have preschool education and extra 10 points on PASS tests later. So preschool education is also a predictor or influences the overall success of education later. For this reason you have a 2016 survey on coverage by units of local self-government, covering children with kindergarten programs on islands especially some, you have, for example, on the island of Mljet the coverage was zero because they had zero kindergartens. So we must ensure that both jaslic and kindergarten services are available on all islands if we want to keep such a young family and ensure the same if not a better standard for our children on the islands in order to actually attract young people to stay or even live on the island. Thank you.
ParlaMint-HR_2021-03-03-0.u37061	Thank you, we'll stop time. The second part of the presentation on behalf of the Green-left bloc's Club of Representatives, respected representative Rada Boric. Here you go, Mrs. Boric.
ParlaMint-HR_2021-03-03-0.u37062	... Secretary with an associate, I will something in these few minutes in principle also here has already been said that unfortunately these reports are not reports of impact assessment. [[Conversation subsequently turned on.]] What is also controversial in these reports, with all due respect to how many have worked here for the 19th and public sector bodies, so it seems that in each sector, every ministry has really put its share of investment on hold and that we see not only the synergy of these investments so that we can talk about what has changed on the islands about the improvement of our citizens on the islands, but what I do not think even the synergy of investment is seen here. If the reports themselves were written in an extremely different way, not just methodologically, I'll even give you little banal examples. What is unsearchable, so you can't look at the whole part of the report from the Ministry of Agriculture, for example, you can break down to connect around all the investments in olive growing. But additionally unsearchable and incomparable in the way that reports are made even though it's pointless after 2.g. talk about them, but maybe as some kind of suggestion. For example. In some niches you literally have investment for infrastructure sometimes there is a number of kilometers reached for some amount, and of course someone who would compare, so I would say if the maintenance of the road could not be, for example, maintenance of a 2.5 km road of 1.47 million kuna, and Supetar-Nerežiste 2.1 km 2.6 million kuna. So, it can't be that big a difference in road maintenance, or at least here we have the amount said, it just says in many it's "road maintenance", or we know at least mileage, so let's know how much for some assets there is and the infrastructure is arranged. I think it's the minimum that can be done when you're doing something like that if you're not already asking questions about impact. What also because you don't have synergy, let's say a colleague said we don't have an education report. We really see in some other ministries that safe and related to education, which is, say, right at the Ministry if you want tourism. You have the education of staff in tourism, scholarships, etc. So, but then when you come to the Chapter on Demography, you actually see that scholarships of 6,000 kuna are extremely small, there's no connection between what education gave, and we don't even know if we're re-educated for someone else because it's obviously about the deficit of the waist, but if it's going to be symbolic scholarships then I'm afraid who's going to do this and who's going to participate. They're very well shown, for example. In the Department of Construction and Spatial Planning, that's exactly what rebuilds the school, so other than public buildings, for many of us know which, somewhere it's just a public building, it says whether it's a police building, if I don't know it's a health center. But what concerns us, of course, is that we can't see, as if there's no understanding of what demographic policy is, so that part of demographic policy doesn't exactly include that it's invested in infrastructure education, about school restoration, about education, I don't know what people do in tourism if it's our goal. And what... [[Intruder: Time]]
ParlaMint-HR_2021-03-03-0.u37063	Excuse me, ma'am. The brooch is out of time.
ParlaMint-HR_2021-03-03-0.u37064	Nothing.
ParlaMint-HR_2021-03-03-0.u37065	Thank you very much. We're going to individual debates, the first individual debate on this agenda item, the respected representative Anka Mrak-Taritash, here you go, ma'am. Dark-Taritash.
ParlaMint-HR_2021-03-03-0.u37066	Thank you, well-respected Vice President HS, the distinguished secretary of state, colleagues and colleagues. I will only focus on two things in this individual debate. One thing is investment related to the catastre and the construction of the catastrophe on the islands, and another thing is state property on the islands. So, no matter what we're discussing about islands, these are topics that I'm sure we can open to other topics. Therefore, when you take the investment of the State Geodetic Administration in 2018 and 2019, The investment in 2018 was then around 3.5 million kuna, and the word is said to be “the completion of the cadastrian measurement in the area of the municipality of Kukljica, k.o. Doll 695 hectares", when you take the investment of DGU for 2019. One million and 920 thousand kunas and says "catastrian measurements were carried out and then were exhibits". I think the next time we get a report that would be good if we knew what part of the catastra on the islands was arranged and we don't have any more because with a million and 900 thousand kuna what the DGU gave in a year, you know what you can do, almost nothing or 2.5 million or 2 million that they gave in the previous year nothing. On several occasions it was spoken from this pay phone, but when you are in the actual executive authority just as emphasized the following. Let's take out the cadastre where the building opportunities are, where people have already built, let's take out that cadastre, and then take out the cadastre elsewhere. According to air footage 5.7% of the territory is built, which is built on buildings, which according to the infrastructure. I think that percentage's somewhere on the islands. Somehow, in one report, somewhere in 2020 or 2021, I'd like it to be in 2022 or 2023 when it's related to DGU to say we're done sorting out the cadastres, the cadastre on the islands where the possible construction is arranged, and now we're going to move on and we're going to invest so much and so much money in it. Let's see if we get that, then that would be some indicator, an indicator of existing buildings, for existing houses, for existing infrastructure. And we get to the second part that I'm very happy to talk about and always talk about, and here it was the investment of the Ministry of State Property. It is now in the Ministry of Spatial Planning and Construction, but it was a special ministry in 2018 and 2019. Implementing Regulation (EU) 2018/70 is amended as follows: The Ministry of State Property has made it quite important to rent the island of Smokovic and that 4 million kuna and 900 thousand kuna were contracted, so it seems to me that it would be a real lease, but let's say that in a year's time it was leased from the Ministry of the Island of Smokvica, and we all know that there were Todorovic and what was happening there, those, what was gained is more than they were in 2.g. DGU invested in a cadastre, so just to get a picture of the relationship we're talking about and says it's in 2018. The Ministry of State Property invested 81 thousand, for 81 million kuna and were there, in fact, there were 14 gift contracts shown in the money where certain JLS and the ministries donated state-owned properties. There's no real estate anywhere, what's it about, and what are we gonna accomplish? So did these municipalities and cities with that property they got from the state do anything further. We can't see that from the report. According to the 2019 report, the Ministry of State Property had 19 donation contracts, and these contracts were equally about the same amount, now not to mention it, but I also don't know what it was about. So, I absolutely think the state needs your property, you shouldn't have property. We need that property if necessary and if it's perspective to give units to local self-government, but to know what happened next. As far as this property is concerned, is something being built on that property, is this property being put into operation, is it something that it seems? We don't see it from this report, and since it's coming to an end, I'll just mention it, for the first time and I'll see the contracts surplus the dig of mineral raw materials on the islands of Mljet and Hvar. And the word about giving extra than one million kuna will be for another chance will be interesting to see who, why and why. [[Intruder: Time.]] Thank you.
ParlaMint-HR_2021-03-03-0.u37067	Thank you. Next individual debate, respected representative Gary Cappelli. Here you go, Mr. Cappelli.
ParlaMint-HR_2021-03-03-0.u37068	Dear Chairman, State Secretary, colleagues and colleagues, today, I thank all those who are trying to give maximum support to us islanders and I have heard today, I would not like to go now to those debates such as colleague Ahmetovic, whether thanks to the county somewhere on my island more or less invested or thanks to the local community so city or municipality or state because one without another in the chain would not work if we did not solve the issue of, say, a spatial plan then the county could also not invest anything. So let's not go into that detail, but today we've talked a lot about the effects, whether these effects on our islands are moving in these vast billions in some particular thing. So I'm not going to repeat what everything says today, which we can see I'm going to tell you today a nice story that depends precisely on the effects of what the state has done somewhere, but in the chain and the county and the city, etc. So, next to Little Losinj there's an island called Ilovik, there's about 90 people on it right now. 10, 12 years ago, there was a teacher on that island, there were two students in the field school, the population was mostly evicted, etc. In the meantime, we made all the arrangements and started investing. It invested in a dock somewhere over 20 million, and it started investing in a regional school, and it started investing in the fact that the boat no longer went three or four times a week but now has a 5-day boat line. 5 times a day because a small port near Lošinj was built, one unclassified road was used, thus connecting the island 5 times a day, and 4 times a week ago. There were 2-3 students in that field school. There are nine of them today. Next year, there'll be 12 of them. The first eight classes were one teacher, and now they're two teachers. There are three children, each day traveling neatly to Mali Lošinj High School and returning to Ilovika this afternoon. Three of them are students from that Ilovic. So all in all, one 18-tier child is part of education. There were only 3 families who had children, now 9 families who lived or lived on the island and had children. So that's one proof, that island under the sea got connected to Mali Lošinj has water, like everyone else in Zagreb, let's say even a better 3 times water. There is therefore a network of waterways throughout the island for these 90 inhabitants, there is a sewerage, there is a discharge, so biological discharge, etc., etc. So, the preparation is for landing helicopters so helipads, one of these children was born even in a helicopter during transport to Rijeka. So, all and all sorts of events but proof that there are indeed positive, good, quality events on the islands is precisely this proof of this island of 90 inhabitants. Nearby is the island of Losinj which, there are 2 hotels, let's say 5 stars, which in the next investment swing goes to the construction of 2 golf courses of 18 holes, where in the high stage of construction, that ecological part is now being studied which are possibilities etc., has the Museum of Apoxyomena in which the Ministry of Culture with us together in the local community spent 40 million, has all the services needed by surgeons, gynologists, specialists, interns, etc., and this is the basis for developing tourism. It is a base for the development of tourism for 12 months, not 2-3 months as it is said that there are only 2-3 months on the islands. I'll show you the data in 1910 on Mali Losinj was 250,000 nights from 1.10th to 1.4th, so returning to health tourism. Health tourism could not be done for one solid reason until a year ago because it was a bad law. It couldn't be invested and nobody wanted to invest. This government recognized this problem and we changed a law two years ago that allowed finally investment and interest in investing in health tourism. So that's the whole sequence going on and here's a nice example on one small island as you can and as you want thanks to the entire chain, local self-government, county and state. Thank you very much.
ParlaMint-HR_2021-03-03-0.u37069	Thank you. Stay a little Mr. Cappelli, you have a few replicas, the first is a respected representative, please, well-respected representative, please put on a mask and don't advertise the catering facilities, thank you. The first replica of the respected representative Josip Boric, please.
ParlaMint-HR_2021-03-03-0.u37070	Thank you very much. Dear fellow Cappelly, I agree with you that this... and the debate of a distinguished colleague from the island was not exactly at the best level and I don't know what it took to bring her down to some kind of politicizing that was the role of the county in the construction of schools. The County is the founder of the 32 primary schools in our county and of course they will invest in them and it is not the merit of not only do I know their education department but also the state that must have helped each school somewhere, I know about the island of Krk and beyond all, Malinska etc., I will not talk at all about what we've been doing but it's not right, because then in the same way the county port administrations that make the biggest funds from the Ministry of the Sea, Transport and Infrastructure need a word, so that county has nothing to do with it, gives 10% of the stakes and happens... So that's what you said, a vertical that connects everyone, and that's exactly what unity and political unity has made it possible for us to have what you've just told on Ilovik, and that's the task and the administration and all the rest of us to do it on all the other islands. [[The speaker doesn't understand.]]
ParlaMint-HR_2021-03-03-0.u37071	Thank you, reply to the replica.
ParlaMint-HR_2021-03-03-0.u37072	Thank you, fellow Boric. I haven't been able to tell the same vertical how important it is in health care, let's say, now we could say the county is somehow responsible for the functioning of health care and on these islands, so we won't talk about it. No, again I say vertical is important because to get a surgeon in Mali Losinj who came from Draskovic's trauma where he worked at the ER, he had a salary of 18,19 000 kn, when he came to Lošinj, he had 9,000 kn but not the county made a difference between 9 and 19 but the town of Mali Lošinj. And today we have one of the best surgeons on the islands, etc., etc. So I wouldn't single out the county here, the city, the state, but I'd say, I'd replace it if the islanders weren't to think that way, the islanders should think that the vertical is important. There's going to be more of a town somewhere, there's going to be more of a county somewhere, there's going to be a state, and that's why we're going to have the result of what's in this report and the future reports.
ParlaMint-HR_2021-03-03-0.u37073	Thank you. Next replica, the esteemed representative Grozdana Peric.
ParlaMint-HR_2021-03-03-0.u37074	A respected colleague, earlier, said that the success of Krka and all honours, but she forgot to say that the island of Krk was the only island that has had a bridge since 1980, so someone was then privileged and others were not privileged but it was forgotten to say that in the meantime the bridge was abolished for the island of Krk, and then it greatly improved the development of tourism but also made life easier and cheaper for the islanders themselves and we know that the bridge also means construction, how much was the reduced cost of, say, any investor's investment?
ParlaMint-HR_2021-03-03-0.u37075	Thank you. Replication response, please.
ParlaMint-HR_2021-03-03-0.u37076	Thank you very much. Well respected MPs, it's very clear, this government has recognized saying there was no bridge, the other one, it's only being charged etc., etc., so it was before the various authorities so it wasn't recognised, this government has recognized and we've abolished the bridge so what's really improved and reduced the costs, we see now let's say the crowd in the summer you'll see because now let's say Rijeka and everyone from the part where there's no beach, go swimming in Krk because it's no longer charged, let's say. So now they get day-to-day tourists, so they spend something on these beaches, restaurants, etc. again. The specificity is therefore the island but should also be said that today we have 24 ferry lines, 5 fast boat lines, so catamaran lines, 12 classic lines, that the state seems to have spent about 320 million in 2019. So that's the reality, that the islands are being invested, and that's why we have more and more people living on the islands.
ParlaMint-HR_2021-03-03-0.u37077	Thank you. Next replica, the esteemed representative of Katica Glamuzina, come in.
ParlaMint-HR_2021-03-03-0.u37078	Thank you, Chairman. Mr. Cappelli, the capital of the island of Hvar does not have a ferry port, there are many more inhabitants than your island, your place on the island and the entire island. There's no ferry port because there's not all those loose health specialists you mentioned you had, so it might be good if you're willing to change your residence, go to Hvar, run for your office, and maybe your authority allows you to invest in the capital on the island of Hvar.
ParlaMint-HR_2021-03-03-0.u37079	Replication response.
ParlaMint-HR_2021-03-03-0.u37080	Thank you, colleague. So I'm going to tell you that one part of these investments we did and during the SDP's government did, they just recognized the importance, so when it comes to the island, I don't think we need too much for it, I won't say that I resent, everyone has the right to say what they want, but on the island we're bloody fighting no matter what power we have, the main thing is that we live better. So, I was also going to Hvar, there at one point they told me, you know, now they've gone too far with that line, we seem at this point they've told me 18 different lines for the island of Hvar in the summer, I speak in summer. So at one point we even exaggerated the connection. I agree that we need to find a model and that in some way we should vertically and horizontally participate in all of this and thus improve life on the islands.
ParlaMint-HR_2021-03-03-0.u37081	Thank you very much. We still have another replica, respected representative Branko Juričev Martinchev, please.
ParlaMint-HR_2021-03-03-0.u37082	Thank you very much, Your Honor. Well, when you were speaking about how in fact small islands can also be made a lot and be a driver, you reminded me of the island of Prvic, which is located in the area of the town of Vodice, which in 2012 built Fausto Vrančić Memorial Centre, and it didn't all go so easily and smoothly because the ticket has to be paid for by boat and so on, but here for next year, 2021. The tourist community has launched a new tourist product inspired by Fausto and we will, for example. to tour the cycling trails where Faust passed, so we'll have certain events just inspired by Fausto, so we'll have an oil taster where the olive mill invented by Faust will be presented, so we'll also have a wine taster and there's a grape mill that Faust invented. With these little things back big, we can bring life, tourism and therefore jobs on the island.
ParlaMint-HR_2021-03-03-0.u37083	Time, thank you. The reply to the replica, please welcome Mr. Cappelli.
ParlaMint-HR_2021-03-03-0.u37084	Well, of course, it's a good approach to extending the tourist season, finding new models of people's retention to live and work on the island and to come tourists, we know that the islands are being realized around 2019, say, about 20 million nights, so of the 100 that have been realized, so in all of Croatia, how important tourism is on the islands, but also who is the driver and these cultural events, so all of those events that bring about certain prosperity to people who live on the island, tourism will still remain the main driver, but in this report it was seen how much more than a year invested in agriculture, in ecology, in all other important things, of which the islanders live better day by day, so as a real islander who lives more than 180 days on the island, so I can say that I quite accept this report. and that year after year we'll see that quality of life on the island. [[Intruder: Time]] Thank you.
ParlaMint-HR_2021-03-03-0.u37085	Time, thank you. We're moving on with individual debates. Just please, I've tolerated that in accordance with article. 235. The Rules of Procedure when you replicate, then do not replicate someone who spoke 20 minutes ago but replicate the person who discusses it individually. This wasn't right, it wasn't right, but I let go, next time I won't. Next individual debate, respected representative Josip Boris. The Rules of Procedure say it wasn't me. I didn't write it.
ParlaMint-HR_2021-03-03-0.u37086	Thank you very much, Your Honor. If we hadn't replicated the lady, maybe she wouldn't have come, and I'm glad there's this one, of course, that I got the replica right away, and that's the point of political debate that, yes, let's talk, so let everyone say what they think.
