ParlaMint-HR_2021-02-18-0.u27257	You, too. Mrs. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2021-02-18-0.u34685	Thank you. The next debate will be the respected representative of Josip Begonja. Here you go.
ParlaMint-HR_2021-02-18-0.u34686	Thank you. Honorable Vice President, Honorable Secretary of State, colleagues and fellow MPs. I think that today almost everything has been said about the amendment and the addition of this Law on the Protection of Monetary Institutions has been said, but it is also said that the repetition is the mother of knowledge. Well, the original law was passed in 2015. and as the law was then 2015. adopted with a view to reducing the risk and increasing protection primarily of persons in monetary institutions with the aim of preventing criminal offences, and these changes and additions play a more or less role. The law itself has been stated and I will repeat it has given certain positive effects in the last five years where almost 50% of the crimes in monetary institutions have been reduced. Today, however, we are talking primarily about the protection of ATMs, which are said to have slightly less than 6,000 in Croatia, but if we look at where 50% is concentrated by the coast, 20% in the City of Zagreb, then I can tell you that there are, for example, municipalities in the Dalmatian Zagora that do not have an ATM, and there are pensioners there, there are other citizens who need to come to cash, especially in these pandemic times, and there have been limited movement. Whether internal, external I agree with my colleague, I think the ATM, the ATM, whether it's out there, and there's 80% of them or in some places where there's 20 percent of them because they're starting to be internal ATMs according to the risk assessment will need to be built into this electrochemical protection system. I think it's necessary to install them in all of them, not a little arbitration here. On the introduction of the euro, so I join all colleagues who have said that the risk of an increase in the threat, the break-in, is marred by the moment we introduce the euro into our payment system will be increased. Because, regardless of what seven banks hold about 90% of the ATMs, I think what the people would say to the bank is as full as a ship, and as a cost, they'll be convinced that I'm compensated through a lower price insurance policy. In fact, every ATM or value within the ATM is also secured by a particular insurance company, and I assume that by installing this electrochemical system or protecting it, that shelf is somewhat lower and a five-year term, I think in some way, I join all those who have pointed out too long that it should actually consider it to be, to be a shorter deadline. How much shorter is it for me to say, but I think we should follow the introduction of the EUR into our payment system. That some of the things that have been said here, I'm just saying again, I just don't think it makes sense that we've all responded more or less together so far to what we think about this bill of law that's positive and that the government has put into first reading. Thank you.
ParlaMint-HR_2021-02-18-0.u34687	Thank you. We have one replica, I think, of course, of this esteemed representative of the Habian.
ParlaMint-HR_2021-02-18-0.u34688	Thank you very much. The esteemed fellow here was here to discuss whether actually cash as a means of payment was at large and that it would take over actually paying by card. You have well apostrophe in your debate this particular group of pensioners, therefore, and especially in settlements in the Dalmatian hinterland, for example, and in your town Drnis, there are certainly still groups that are especially at this time when we had this partial lockdown and when it was actually impossible to actually get almost money exactly the importance of the ATM. So I think you've just made this fact very clear that maybe today wasn't a lot of words.
ParlaMint-HR_2021-02-18-0.u34689	The Honorable representative of Begonja.
ParlaMint-HR_2021-02-18-0.u34690	Thank you. My dear colleague, of course, I agree with what you've said. I've actually listed it myself. But I'll tell you if the weather allows me one event that was in Drnis. Within one European project, there were 10 journalists from abroad from 5 European countries and 5 tour operators who said after their stay, we asked them what the objections were, which we do not have, and then they said, look at me when we bring the bus guests most of them are looking for where the ATM is, your first ATM is 30 km away. I mean that dispersion, I understand the banks that they go after profit that in Dubrovnik will certainly be far more than somewhere inside, but it's not even the subject of this law, but we should act on putting inland at least one ATM if no one else is at least a post office bank like our bank.
ParlaMint-HR_2021-02-18-0.u34691	Thank you very much, we've gone a little bit wide again, back to what's the subject of the debate, and the next one will speak to the esteemed representative Katarina Peović. Here you go.
ParlaMint-HR_2021-02-18-0.u34692	I'd still like a little bit in the widest. So the aim of this Amending and Supplemental Amendments proposal of the Law on the Protection of Monetary Institutions is to prevent ATM theft. We have received this proposal to amend and supplement the law a very interesting data that is repeated and really needs to be taken into account, and this is a shocking realization that only 8 of these crimes took place in 2015, and in 2020, even 44 such acts. Even in the debate, it was said that these ATMs would be even more attractive prey at the time of the EUR. Such information certainly shows, and this cannot be ignored both by growth and poverty and deprivation, which is certainly a motivation for such crimes. The fact that more and more people in Croatia are blowing up ATMs is certainly one problem that is trying to solve this law, but we have a problem on the other side of this ATM which is also the cause of such poverty and deprivation. Foreign commercial banks irrevocably raise fees and collect fees, which is just another form of estrangement of hard-earned money, and the supervisory system was never forced to determine how and how they come to the value of these transactions, they determine them entirely arbitraryly. It's also a form of money estrangement a little less explosive and loud, but the result is the same. Those who earned the money lost them. In the Covid crisis, therefore, when it was spoken and appealed, and the CNB called for compensation to be withdrawn from the bank's ATMs again and now we have an announcement so as to raise and price the fees and introduce new fees. So we have fees for opening accounts, for keeping accounts, for raising cash, for raising cash at other banks' ATMs, for raising cash abroad, and now the CNB is asking for the withdrawal of that fee on the ATM, but the banks in the Covid crisis are raising cash withdrawal fees on the counters. The same should be said in this respect to whom banks raise those fees, to whom banks raise fees, and to whom they release fees. The benefits are freed from the wealthiest means these subsidized clients who keep their accounts in banks so that banks don't lose them, they do their transactions without compensation, and those who are poor so who come to their hard-earned money pay those fees. Many venture capitalists who advocate various suspensions, etc., will not be so often nor happy to catch these charges where banks should be brought into order because if a law is to be passed then it is not the Law on the Protection of Monetary Institutions which are already protected, but the Law on the Protection of Workers. We need a law that protects us from banks, so these monetary institutions that make a net profit of 5.6 billion a year, and that information is very important for the entire picture of why they are raised up in the air, because they are the money that foreign banks from Croatia are making each year, which is not reinvested in domestic economy, in the launch of domestic economy, production, agriculture, etc., meaning rather than persistently losing money means that they are coming out of the country, and we have to say that the average profit of 30% that the defends therefore the kind of money that banks have. So it is not too much to say that this is a form of alienation that favours the poverty of the working majority and that this unfavourable economic structure that leads to this information shocking that we have at the beginning how many people pick up ATMs are very much related to the reflection of this system of banks that finance exports or imports from their home countries, they finance their producers does not mean Croatian, Croatian economy. Expensive transactions mean they have no excuse, and if we need to pass some law, then it's a law that would put these overpriced transactions in order and where the banks would actually explain Why... [[Thank you very much.]]
ParlaMint-HR_2021-02-18-0.u34693	Next, the next one will be spoken by the esteemed representative Bulj. Here you go. Here you go.
ParlaMint-HR_2021-02-18-0.u34694	Thank you very much. Here is this debate on the security of banking infrastructures, i.e. Financial, financial institutions' infrastructures in this case of ATMs which are normally protected by banks in the Republic of Croatia who are visible bears and put into their hands after being recapitalised by the money of our citizens, have been handed over to foreign investors in which way and which model we see how we manage and then we lose all the banks, and the CNB does nothing so that today's infrastructure that made to the ATM is essentially a key question of the security of our citizens who come and get up, who have a small pension, a small salary of what is the fee. The fees are rising more and more on ATMs, so the question is what is going to happen so that the question is what is going to happen and what are the limits and what are the criteria as far as these fees and commissions are going to go. Anyway, it's all gone a long way, five billion kunas to win, and those fees don't get taxed. So this goes into profit through fees and commissions, and banks in Croatia have 500 fees and commissions. Is now a matter of security, here's a fellow mentioned earlier in rural areas we lose our mail, we lose a number of institutions so that the older people and I can't come and the powerless who aren't or poor can't even get to their own resources because it's just so the law is aligned to the centres you can have an open account, and you can't, simply these people don't even have the opportunity to get their money anymore, their pension, or I don't know what or any social compensation or help on this one's hands in cash, in cash. And that's the injustice, and that's the fundamental human right that's been killed, is it simple, until the end of what's been done, you just have to come with a card that you have to pay, with a card that you have to, I know it's all costing, but how much is that profit. Whoever controls in the Republic of Croatia, I know you will say the event of mining, lifting into the air of ATMs, can result in injuries of people, of course there can be injuries of people, but in Croatia everything is done in accordance with what a colleague had just said from the ruling majority in the centres of power. Our government who doesn't decide anything, the CNB, the HANFA, no one decides anything except that they're their lobbyists and that huge profits have banks, exclusively banks, and you can't suck that kind of money out of our citizens every year. Of course it'll dry once, it's sucking up to infinity, banks 5 billion a year, teleopers the biggest profit in the Republic of Croatia is sucking up the same suck-up and so on.
ParlaMint-HR_2021-02-18-0.u34695	My colleague Bulj please on the protection of monetary institutions is the subject, please.
ParlaMint-HR_2021-02-18-0.u34696	Well, you'd really like to write the chairman of me what it's all about. I'm talking about a robbery that's allowed, that banks are handed over to foreigners.
ParlaMint-HR_2021-02-18-0.u34697	You're not talking about the subject.
ParlaMint-HR_2021-02-18-0.u34698	They rob banks and we protect, you protect...
ParlaMint-HR_2021-02-18-0.u34699	I warn you twice, talk about the subject.
ParlaMint-HR_2021-02-18-0.u34700	Well, yeah, yeah, you're protecting ATMs and okay, you're protecting ATMs, and I'm gonna tell you how much you rob.
ParlaMint-HR_2021-02-18-0.u34701	Excellent, in accordance with Article 232, I take your word for it.
ParlaMint-HR_2021-02-18-0.u34702	What are you taking my word for?
ParlaMint-HR_2021-02-18-0.u34703	Because you're not talking about the subject.
ParlaMint-HR_2021-02-18-0.u34704	What are you so nervous about?
ParlaMint-HR_2021-02-18-0.u34705	Read it, read it, read it.
ParlaMint-HR_2021-02-18-0.u34706	You are the knights of Jerusalem's grave, you are nervous.
ParlaMint-HR_2021-02-18-0.u34707	This next one, the next one will speak to the esteemed representative Arsen Bauk. Here you go. Here you go.
ParlaMint-HR_2021-02-18-0.u34708	Thank you, Mr. Vice President...
ParlaMint-HR_2021-02-18-0.u34709	Can I help you, Comrade Bauk, what is the injured Rules of Procedure?
ParlaMint-HR_2021-02-18-0.u34710	In order for him to complain, can you tell us which article you called for to take away my word?
ParlaMint-HR_2021-02-18-0.u34711	If you'd listened, you'd know.
ParlaMint-HR_2021-02-18-0.u34712	No, not on what?
ParlaMint-HR_2021-02-18-0.u34713	Have a look at this stenogram session.
ParlaMint-HR_2021-02-18-0.u34714	And I would ask that you have someone else else, be obedient to Andrej Plenkovic, and let us gather representatives to do our duty.
ParlaMint-HR_2021-02-18-0.u34715	It is not your duty, you have violated the Rules of Procedure, I have warned you twice, and read to yourself finally the Rules of Procedure after so long as you have never read the Rules of Procedure in the assembly, so you would know what article this refers to. Here's my colleague, Bauk, I'm sorry to disturb you.
ParlaMint-HR_2021-02-18-0.u34716	Thank you, Mr. Vice President. When we talk about the protection of monetary institutions in a particular case it's a topic here, the subject of these amendments to the laws are ATMs we all think about the protection of ATMs or money in an ATM from the robbery of those who come out and therefore introduces this chemical to destroy it and to act demotive that someone even tries it. But there's each other, another light that's thrown at ATMs, which is primarily expressed in tourist and coastal places, which is that it's that ATMs nothing without a plan like mushrooms after rain everywhere. In Poreč, for example, the ATM even managed to get into this even protected building so that one door from the 19th century that was, therefore, part of our heritage managed to damage. And in that sense, I think that this idea of destroying bills or chemical means of destroying bills is also great for that case when someone sets up an ATM without permission and without documents, when the inspection goes to remove them to destroy bills, and then it will act both demotively for banks and other money institutions to put ATMs where they remember. Therefore, in this respect, for the second reading of the law, it would be good to have one provision, which is that the responsibility for the funds that are destroyed by chemicals is, if they are illegally placed ATMs, those who are placed without proper documentation, especially in a culturally protected area, or simply where they interfere with daily traffic or the functioning of everyday life, so where they reward the environment and everything that is otherwise worth it for ordinary mortals, would be good for banks to do as well. In this sense, I pray that, I propose to the Proposer, in a clear way, to place responsibility for illegally placed ATMs and possible damages that could result from the removal of these ATMs as their responsibility. So much for me, thank you.
ParlaMint-HR_2021-02-18-0.u34717	Thank you very much, we have a replica of the respected representative, Peovic.
ParlaMint-HR_2021-02-18-0.u34718	So I have to say, I like this idea of yours, to put acid on, but not for bills, but for bankers. Can you explain what this is about and I don't know if you have any more concrete suggestions on how to work it out?
ParlaMint-HR_2021-02-18-0.u34719	Dear Representative Bauk.
ParlaMint-HR_2021-02-18-0.u34720	Well, that's worked out, that's settled in law. So, chemically, chemically, you'll be destroying bills when you try to rob an ATM in a way that's already prescribed by law. The only question is who's going to compensate for the damage that's going to take place. In case it's illegally placed, it should be the bank, not the one that's robbing about, it's about my taste. Thank you.
ParlaMint-HR_2021-02-18-0.u34721	Thank you very much. That concludes the debate on this subject, and we will vote on it when the conditions are met.
ParlaMint-HR_2021-02-18-0.u34723	We are now going to the next point, i.e. two points (a) and (b): a) Proposal for a Decision on the resolution of part of the members of the National Sports Council and (a) Proposal for a Decision appointing part of the National Sports Council is proposed by the Government of the Republic of Croatia on the basis of Article 4. Sports law. The discussion was conducted by the Committee on Family, Youth and Sports. Would the applicant's representative like to further explain the proposal? Yeah. Dear Secretary of State at the Ministry of Tourism and Sports Tomislav Družak. Here you go.
ParlaMint-HR_2021-02-18-0.u34724	Dear Chairman, honourable Members and MPs in the Croatian Parliament, allow me to explain this point (a) and (b) in one presentation, since it is actually the same business, resolution and appointment of the National Sports Council. Therefore, the National Sports Council is the most professional and advisory body concerned with the development and quality of sports in the Republic of Croatia, based on Article 3(1) of the Treaty on the Functioning of the European Union. Sports law. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The law on sport is prescribed that the National Sports Council has a president and 12 members who appoint and resolve the Croatian Parliament and 6 members on the proposal of the Government of the Republic of Croatia, 3 members on the proposal of the Croatian Olympic Committee, 1 member on the proposal of the Croatian Paralympic Committee, 1 member on the proposal of the Croatian Sports Union of the Deaf and 1 member on the proposal of the Faculty of Kinesiology of the University of Zagreb. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The law on sport is prescribed for the Croatian Parliament to appoint six members of the National Sports Council every 2 years, and the president is appointed for 4 years. It is clear from that provision that all 12 members of the council are not in the same mandate at the same time, but that the rotation takes place every 2 years. The Croatian Parliament appointed a new meeting of the National Sports Council of the President and all 12 members of the National Sports Council since 15 February 2019, with the president and six members appointed for the term of office of 4 years, and 6 members appointed for the term of office of 2 years in accordance with the transitional and final provisions of the Sport Act in order to ensure that the rotation of members is foreseen every 2 years. The term of office of 2 years was appointed 1 member of the council appointed to the proposal of the Government of the Republic of Croatia, 2 on the proposal of the Olympic Committee, 1 on the proposal of the Croatian Sports Union of the Deaf, 1 on the proposal of the Croatian Paralympic Committee and 1 on the proposal of the Faculty of Kinesiology of the University of Zagreb and their mandate expires on 15 February, it expired on 15 February 2021. The end of the term of office of those 6 members has led to a procedure for the appointment of new 6 members of the National Sports Council. In accordance with the conclusion of the Croatian Government from the session held on 3 December 2020, a public invitation was issued for the application of an application for a member of the National Sports Council to which the candidates could make themselves known by 28 December 2020. 5 applications for a public call were received to Ante Baković railway transport engineer, president of the Croatian volleyball association, member of the Croatian Olympic Committee Assembly, Erasmus Marcan professional first-time coach, swimming coach, chief coach and president of the Plivatska club Orka, Dragutin Karlo Poljak Engineering School, retired, football judge and judicial controller for 20 years on the list of judicial controllers, Klaudija Bubalo master of kinesiology, director of the Handball Club Lokomotiva, long-standing professional handball player and Croatian representative, Jurica Top Santiary Inspector Medical Faculty, President and swimming coach in Poško Split. In accordance with Article 4(1), The law on sport The government of the Republic of Croatia has proposed the appointment of the Croatian Parliament of Ante Bakovic as a member of the candidate, as a member of the National Sports Council. In addition, in accordance with Article 4(1) of Regulation (EC) No 1107/2009, The Law on Sport and Conclusion of the Government of the Republic of Croatia from the session held on 3 December 2020, the Ministry of Tourism and Sports called on the Croatian Olympic Committee, the Croatian Paralympic and Croatian Sports Union of the Deaf and Chinese Faculty of Zagreb to deliver their proposals for members of the National Council what they have done. The Croatian Olympic Committee proposed Tomislav Grahovec and Marija Vukoju. The Croatian Paralympic Committee proposed Ratko Kovacic. The Croatian Sports Federation of the Deaf was proposed by Oliver Lušić, and the Faculty of Kinesiology of the University of Zagreb proposed an extraordinary Prof. Dr.sc. Tomislav Krističević. A few sentences about these candidates. So Tomislav Grahovac is a dipl.iur. Law firm Grahovac, Horvat, Zapelj d.o.o., President of the Croatian Handball Union, Chairman of the Organising Committee of the European Handball Championship 2018. Mario Vukoja, professional first-in-command of the coaching profession, vice-president of the Croatian Gymnastics Union, president of the Technical Committee of men's sports gymnastics of the European gymnastics Federation, vice-president of the Association of Sports Associations and Associations of the Međimurje County, head of the National Gymnastics Centre and sports director Marijan Zadravec Macan. Ratko Kovačić, president of the Croatian Paralympics Committee, assistant head of health care, social protection and pensioners in the Bjelovar-Biogorje County, president and member of the Management Council of the Institute for Professional Rehabilitation and Employment of Persons with Disabilities Novi Sirac, longtime active contestant in table tennis. Oliver Lušić, president of the Croatian Sports Union of the Deaf, the main co-ordinator for the Croatian handball team, professional handball player. And Prof. Tomislav Krističević, dean of the Faculty of Kinesiology of the University of Zagreb, president of the Croatian Athletic Association of Persons with Disabilities, president of the Committee of State Award for Sport Franjo Bučar, university professor, special adviser for sport of the Ministry of Science and Education since 2016, member of the Executive Board of the Croatian Paralympics Committee since 2018. So the new 6 members of the National Sports Council that we propose to be appointed for a term of four years to ensure that the bill provides for a rotation or re-election by the Croatian Parliament for 6 members every 2 years. The proposal is therefore to get rid of Ante Baković, Tomislav Grahovac, Mario Meštrović, Mario Lušić, Ratko Kovačić, Tomislav Kristicevic, and to be named Ante Baković, Tomislav Graovac, Mario Vukoja, Oliver Lušić, Ratko Kovacic and Tomislav Kristicevic. Thank you.
ParlaMint-HR_2021-02-18-0.u34725	Thank you. We have several replicas, the first respected representative of Nikolic.
ParlaMint-HR_2021-02-18-0.u34726	Thank you, Vice President. Dear Secretary of State, please explain to me what kind of strategy you have in the National Sports Council when we at today's debate on the resolution and appointment of part of the members of the National Council are discussing, we draw some conclusions and when the conditions for voting are created and we will vote on those persons, and before that we have not been delivered, probably not even written a report on their work from the last term, so I don't know if you think we may be the grandmothers of Wang, so we can predict that they have done their job so well that they deserve this mandate or you're telling us that we simply believe in your word. Thank you.
ParlaMint-HR_2021-02-18-0.u34727	Dear Secretary of State.
ParlaMint-HR_2021-02-18-0.u34728	I appreciate the question. So these are two different appointment processes or re-election of members of the National Council, and the second is a legal obligation that the National Sports Council must carry out or submit to the Croatian Assembly as a parliamentary body practically every year. On the Committee on Demography, Sports and Youth, I have just presented and announced and said that the report for the last two years is over, it is in the process and will be in about 10-15 days, I suppose, for the longest to a month at the assembly. Otherwise, I have to say, in fact, the last report was submitted in 2013. Since 2013 no report has been submitted to the Croatian Assembly on the work of the National Sports Council.
ParlaMint-HR_2021-02-18-0.u34729	The next replica is the respect of MP Dark Taritash.
ParlaMint-HR_2021-02-18-0.u34730	Thank you, well-respected Vice President of the Croatian Parliament. Dear Secretary of State, my replica is on the line of the replica given by a distinguished colleague. How often does the National Sports Council meet? So I know that the last year, the year of the crown, and when, or Covida, it wasn't possible, but it was possible according to the different applications that they were. So how often does it meet, how much is it at the level of a year because if the last report was made in two years, then you know something about it, how much has it affected the decisions, how much does it affect today? We see that the Olympic Games are on the threshold, we see that some of the things in Japan are very unusual that happen, they really have consequences for us. What is the role of the National Sports Council because it is not just us MPs when it is appointed every 6 months, every 2 years 6 new ones are appointed, but that we also debate It's not about form, it's about content. [[Intruder: Thank you.]] Thank you very much.
ParlaMint-HR_2021-02-18-0.u34731	Thank you. Dear Secretary of State.
ParlaMint-HR_2021-02-18-0.u34732	I thank the honourable MPs for the question, of course I have some information about it, about this report, I have it here for 2020, for 2019 is in as I said in the procedure. It will be united in 2019 and 2020 and will be delivered. It does not mean that it is not within the authority of the state authority, the authorities of the state administration are already in the authority of the Assembly of the National Sports Council that it submits the report. However, I can say a concrete answer to the question at least by what I see. The National Sports Council held 12 sessions during 2020, but what is more important here has a whole series of acts that they have done through these sessions and that they meet regularly and indeed have a comprehensive agenda on what will be spoken by the President of the National Sports Council on the day of the meeting.
ParlaMint-HR_2021-02-18-0.u34733	The next replica is a representative of Bulja.
ParlaMint-HR_2021-02-18-0.u34734	State Secretary National Sports Council, the appointment in this way should be much more serious, in my opinion because sports in the Republic means a lot, of course that we are a sports state and we are proud of our athletes, but it is not a great situation in sport. I heard here somewhere you read that he was some sort of football trial coordinator is the judge of some kind that he was or someone like that. And you know what's most unpopular in the Republic of Croatia? Judges in football. So this whole story would be much better for me if a programme were presented in the way of this national council and these candidates by saying that it was done in this crown by athletes with great injustice, mostly younger, younger and younger age in sports, so I expect the National Council to react to some decisions that make a couple of bodies like the national headquarters with Beros and the team in the future.
ParlaMint-HR_2021-02-18-0.u34735	Dear Secretary of State, answer, please.
ParlaMint-HR_2021-02-18-0.u34736	I thank you for the question, so I just have to praise the National Sports Council in some way for this term, or in these last year, the crisis year for the Croatian dispute with a whole series of initiatives and proposals and according to the National Civil Protection Staff and towards the HZJZ, of course also towards the Ministry of Tourism and Sports, and have indeed been proactive and wanted to move at all costs for at least one millimeter of the state in sport which is not exactly wonderful and which, of course, follows the fate of the entire society and the sport itself in the Republic of Croatia cannot be beyond the time and space in which it is located as I have said to our entire society.
ParlaMint-HR_2021-02-18-0.u34737	The next replica of the respected MP, Peovic.
ParlaMint-HR_2021-02-18-0.u34738	Well, since we don't have that report yet, do you think it's true that the National Sports Council is working hard enough on the promotion, expansion and new opportunities of amateur sports, taking into account the imbalance that exists between professional sports and amateur sports. And do you think local and regional self-government units finance amateur sports enough?
ParlaMint-HR_2021-02-18-0.u34739	Dear Secretary of State.
ParlaMint-HR_2021-02-18-0.u34740	I appreciate the question. I'll take the easy question. It's this last one. Personally, I don't think they're funding enough and I personally think it might be much better in some way, but it's definitely not even in the National Sports Council's jurisdiction or in the authority of the state administration's authority, but it's already in charge, and there are conversations ahead. As you know, we're in the works, and I announced it the last time I was here at a session of assembly making or finishing work on making a new Sport Act. We will try to mean both through this segment and through that main state act or the Sport Act to try in some way to help the sport system. Of course we can't go into the funding of the state administration's body, but we'll also try to get the representatives of the state administration's body to even it out in some way and be as balanced as the funding of sports by those bodies.
ParlaMint-HR_2021-02-18-0.u34741	The next replica of the respected representative Bačić.
ParlaMint-HR_2021-02-18-0.u34742	Thank you, Vice President. Dear Secretary of State this time we live in, and this is the time of the Coronal epidemic itself is enough and among the greatest effects has just had on sports, so here I have to congratulate you and the Ministry this way, and normally and centrally before all the efforts to hold big sports competitions, and the normal and training of our top athletes, but here are a lot of the athletes themselves, athletes and clubs calling out for the new Sport Act. You didn't mention him in the opening explanation of this National Council. We know that only the National Council is working under the Sport Act, so I would like only two words in which we are in the process of adopting a new Sport Act. Thank you.
ParlaMint-HR_2021-02-18-0.u34743	Dear Secretary of State.
ParlaMint-HR_2021-02-18-0.u34744	I thank you, Mr. Representative. We are meaning in some final phase of drafting a proposal of the Law on Sport which should, as we have said, and as planned by the Croatian Government's legislative activity in the last quarter of this year. So, we will try everything in our power to do this before, and more importantly, we will try to open up as wide a debate as possible because what we would like to achieve is that this Sport Act is adopted in the assembly by a large majority, if not by consensus, because it should in some way create and pave the way and develop a Croatian sport that has brought so much and contributed to the promotion of the Republic of Croatia in the world. Thank you.
ParlaMint-HR_2021-02-18-0.u34745	And the last replica of the respected MP Vucilovic.
ParlaMint-HR_2021-02-18-0.u34746	Thank you very much, Mr. President. Dear Secretary of State, here and colleagues have already concluded that our athletes have been living and working under very difficult circumstances for a year. It's kind of a focus on these professional, but what about amateur clubs and what the National Sports Council has done as the most professional body to help amateur clubs that have to maintain some kind of cold drive, there are no measures for them. So they don't just lose enthusiasm, they don't just have a lot of different problems, they also have serious financial problems.
ParlaMint-HR_2021-02-18-0.u34747	Dear Secretary of State.
ParlaMint-HR_2021-02-18-0.u34748	I appreciate the question. So, I would if I were allowed a little bit just to clarify the definition of professional and amateur sport. I think professional sport in Croatia may be 1, 2, 3% of all Croatian sports. So, we, we prefer to treat it in some way as a top-of-the-line and amateur sport, but definitely both suffer the great consequences of, of course, this general pandemic that has hit us. I think that when we were doing the measures in the spring in the first wave of the pandemic, and, of course, the ones we're doing now, we didn't share sports at clubs top-of-the-line, like this, sport like everyone could and everyone could have participated in those measures that the state has provided as such, which is in the system of maintaining the employment of the profession in those sports clubs. So we didn't share whether it was amateur clubs or high-end sports clubs or whatever you say professionally. You too could respond to these measures of ours and make them come true.
ParlaMint-HR_2021-02-18-0.u34749	Thank you very much. Does the committee reporter want to take a word for it? No, I don't. I am opening the debate, so first, on behalf of the Homeland Movement, the respected representative Vesna Vucilović will speak. Here you go.
ParlaMint-HR_2021-02-18-0.u34750	Thank you very much, Vice President of the Croatian National Assembly. Dear Secretary of State with an associate. My colleagues and colleagues. As we have already heard and heard from the National Sports Council is the most professional body to care for the development and quality of sports in the Republic of Croatia and one of the tasks of this body is to discuss issues of importance for sport, proposing and encouraging the adoption of measures to improve sport. And in principle, we all agree now that both the National Council and all our athletes have been working in extremely demanding and difficult circumstances for the past year. It's not just about keeping jobs, there's other costs, mostly the cost of renting space, the direct costs so that they have serious financial problems. I don't have to remind anyone in particular that for the past year, a large number of our children have been deprived of normal exercise and sports activities. Croatia boasts of its athletes, top-notch, professional, whatever we call them with their successes. They are also great patriots and promote Croatia around the world, we are all proud of them with enthusiasm to celebrate with them their victories and we are also sad, sad when they lose. Let us remember Fire, tennis players, table-tensers, Janice and Ivica Kostelic, handball players, water-police, rowers, sailors, athletes, gymnasts, paralympics and many others who would really not have stopped at this exhibition for ten minutes, but they were all once children and their first sports steps began in some school hall, most likely because most of our clubs do not have their own rooms and use school halls, often in some evenings after recreation. A year ago in the European Parliament, the proposal for a resolution on the impact of the Covid-19 pandemic on youth and sports was also found to be the same that this epidemic hit stakeholders hard both in professional and amateur sports. And she also had a devastating impact on stakeholders in non-profit sports who face existential threats because they do not have a financial reserve, they often depend exactly on volunteers who invest their free time and most importantly their enthusiasm in these activities. In addition to the economic particularly important social role of sport, we must never forget it. Then Zeljana Zovko, our representative in the European Parliament, said: "Sport is not only an important aspect of a healthy lifestyle, it connects people and contributes to economic and social development. With established health measures many sports associations are both professionally and amateurly unable to continue their activities. We want to provide them with the opportunity to enjoy their favorite sports activities as soon as the virus is under control." What does that mean, what does that syntagma mean when the virus is controlled? Does that mean zero infected, five infected, ten infected? It's one general phrase, it can mean anything and everything. The virus won't go away, the virus is there, we need to learn to live with that virus, and that phrase when the virus is controlled by our children who are engaged in sports doesn't really mean anything. The absurd decisions of headquarters over the past year have been thrown into despair by a number of sports workers, a number of sports enthusiasts who are working on a volunteer base with children and a good part of them has given up and we must be aware of that and we must say it openly. It's going to take a lot of effort to get things back, not to say the old normal, but normal, because as counterpart Dark Taritash often says, this isn't a new normal, this is insane. They are also numerous at the edge of bankruptcy because they pay rent for places where they are not allowed to work on the basis of the headquarters decision. Agonia continues from month to month for amateur sports. How is it possible to open casinos where, among other things, they stay and addicts? We all know gambling and betting is an addiction that often destroys family and this serious addiction. We also witness the numerous statements of experts that point to an increased number of people with problems related to mental illness because every crisis is dangerous for people, we don't all deal equally with this really elevated various stress. It is not particularly important to highlight the negative impact of such a family atmosphere on children’s development. However, a little more attention should be paid to the negative consequences these measures have on sports, sports workers, children, family life and ultimately society as a whole. It would make sense that we already have a plan to revitalise and save sports activities. The fact is, the ministry has proposed measures, they haven't been adopted, and I'm here right now and I'm appealing you to continue and I support you in that. We must enable our children to practice sports because sports is important for their psychophysical development. If you add a line of teaching and as much time as our children spend in front of computers because of these difficult circumstances, then sports is something that is necessary and that we need to secure our children urgently in order to ensure quality psychophysical development. We all pride ourselves on the successes of our athletes, but let's not forget they were all children once who were ready to sacrifice their free time, hanging out with their peers just because they loved sports. This enthusiasm needs to be nurtured, it needs to be helped to develop, it needs to be invested in it because maybe those children will be top athletes, maybe they won't, maybe they'll be just recreationals, maybe they'll be sporting employees, but we can't boast about the successes of our athletes, be grateful for the promotion they're working for Croatia as a tourist destination, and on the other hand defend our children from training in school halls for a year. And here's another appeal to provide our children with an environment in which they will develop all theiraffinities and abilities as well as sports. In a way, we steal their future and do so under the care of their health. Let's not do this because if sports are good for health, how will we ever justify these decisions? No matter what the report the colleagues were talking about was supposed to be before, but here I see that the Secretary of State has some knowledge, I believe the report will come quickly to our benches, so we as the Home Movement Club will support this. Thank you.
ParlaMint-HR_2021-02-18-0.u34751	Thank you very much. We've gone a little bit wide again, stick to the resolution and appointment of part of the National Sports Council. The next one will be a respected representative of Anka Mrak Taritash on behalf of the Centre and GLAS Representatives Club. Here you go.
