ParlaMint-NO_2017-10-25.ana.ud320e28	The representative, Nina Sandberg, will put forward a proposal for a representative.
ParlaMint-NO_2017-10-25.ana.ud320e862	‘In written questions to the Council of State, I tried to clarify the background assessments, process and possible options for Svalbard airport. The answer was not adequate, so I want to give the Council of State another opportunity to respond to the Stortinget. Why has the status of Svalbard Airport changed, what impact analyses have been carried out, what do these analyses show, and what should be done to maintain the status of international airport of economic and other resources?’»
ParlaMint-NO_2017-10-25.ana.ud320e869	As I wrote in the reply to the representative Sivertsen, which I believe was adequate, the definition of Svalbard airport from international to national is about what kind of facilities and what kind of services you have at the airport. A cover did not cover the requirements that one had to cover in order to be known as international airport, and in view of the current traffic and service at the airport, it was natural to consider that the most relevant solution was to redefine it to national airport. There's an opportunity to have international charter aircraft there. It's been before, it's still going to be. However, if you are to have regular international services, you need to make significant upgrades to the aerodrome itself to deal with it, you need to make significant investments in, for example: border control, etc. Given the traffic that has been and that is, we thought that it would be better to classify it in line with the needs that are and in line with the facilities that are. We're going to follow closely the developments at the airport. It is important to try to be part of and further develop the travel opportunities that are there – it is important to secure jobs, it is important to give people an experience of the unique nature that is there. At the same time, there is no point in overinvesting if we see that the offer is more than well covered by the opportunities for international charter traffic and the national scheduled air services currently available.
ParlaMint-NO_2017-10-25.ana.ud320e878	Central to the development of Svalbard is a travel life effort contained in the Svalbard Communication, which Stortinget had to deal with in the previous period. The travel industry at Svalbard has also stated that the aerodrome is an important piece for it, and with the decision now taken to downgrade Svalbard airport, there is a little wonder at Svalbard. I also do not feel that you have been involved in that process. My questions to the Council of State in this regard are then: What analyses have been made of the impact on the tourism industry? How was the travel industry involved in Svalbard? And what is the assessment of these consequences in relation to the expressed objectives of the Svalbard Communication?
ParlaMint-NO_2017-10-25.ana.ud320e883	As I mentioned, we have made an assessment of what kind of air traffic is today, and what we see will be ahead, and what kind of needs are then. Then we see that with today's charter traffic, and with the national scheduled flight that is, a national aerodrome status is more than good enough to meet the needs. So one doesn't change any of what's been practice, a real practice, but the airport has had in its name a status that the aerodrome hasn't lived up to in terms of content. Then we thought it was more tidy and easier to adjust this to be a national airport. This means that you will still be able to fly in very many tourists, both through charter flights and through the national routes that exist. If that's how you see that this can grow significantly more than you've seen before, we'll, as I've said, follow the situation carefully to work with airlines that want to establish a new national connection to Svalbard.
ParlaMint-NO_2017-10-25.ana.ud320e888	I notice that the Council of State does not respond to how the tourism industry is involved, or how it has been discussed, nor does it answer the question of what consequences this will have for the tourism industry. I cannot understand it in any other way than that one has not had conversations or has not involved the travel industry at Svalbard in connection with the decision that is now taken. But let me ask the Council of State when it comes to upgrading Svalbard airport in order to meet the requirements that exist to be an international airport: what kind of upgrades and investments are necessary, and what will the cost of making the necessary upgrades and investments be?
ParlaMint-NO_2017-10-25.ana.ud320e895	These include: on the terminal structure and to ensure that there is better immigration control and facilities, both in a purely physical state and in relation to the people present. We have strengthened the employee at Svalbard with several positions to be able to handle the traffic that is today. But if you want to have regular services, it will mean a significantly larger investment – I don't have the amount of money right here and now. But we've looked at what's been necessary. If the Workers' Party has a completely different idea of what they want with the Svalbard policy, and what they want with the airport, it's fair enough, it may well be a discussion that Stortinget takes. With regard to the needs we see and anticipate in the light of the Svalbard message, we have had a lot of discussion, but it is naturally the Minister of Industry, who is also responsible for tourism, who has had that dialogue, and not the Minister of Transport. Then we've delivered on what's potential, and we're going to follow this closely. It is good and important to be able to develop profitable jobs at Svalbard.
ParlaMint-NO_2017-10-25.ana.ud320e903	‘The submarine wreck U-864 outside of Fedje was provided with a flooding aid which had been completed in July 2016. The flooding and the bottom of the sea must take place for 18 months before further measures can be implemented. In January 2018, a significant number of measures are ready for further action. The government is required to assess two alternative environmental measures: lifting of cargo and covering of wreckage, or covering of wreckage. What is the reason why the government has trained this important matter, and what environmental measures will be implemented in January?’
ParlaMint-NO_2017-10-25.ana.ud320e910	I notice that the question here is: Why has the government trained this important matter? I can just cancel it, the government hasn't. We have been relatively quick after we got into government in 2013, going into this case, looking at what the needs are, looking at the eight years of investigations that were before us, and seeing that here one could not just investigate things again, as one did when the Senterpartiet ran in the Ministry of Transport. Here we actually had to take action. The question raised by the representative is precisely based on the fact that we have taken action. After just one year in government, we decided that we would allocate 150 million. kr for a back-up. That support stuff has been built, so we've done concrete things. Now the few have to sit down, as it says here – it has to sit down for 18 months. En-route, many advanced measuring instruments are included. The coastal works monitor it to see whether the flooding provides the stability that we expect or whether further measures need to be taken in place. When we're told it's safe to go on, we'll do it. So in four years we've done more physical action than we saw from the investigations eight years before. Therefore, I believe it is completely wrong to say that you have trained this important matter. With regard to the environmental measures being implemented in January: Once we have been determined that the funding has had its function, we will discuss it and come back to the Stortinge to make decisions.
ParlaMint-NO_2017-10-25.ana.ud320e921	I have to say that there is a strange answer, as it was the Stortinget who decided on that support before we got a new government. It's an old decision, and of course this government should follow up on what the red-green government and the Storting decided that time. So it's been a training session. For the Coastal Works, which I assume do not lie on their websites, and which have its own progress site for this particular submarine wreck, write that they expect ‘that the seabed will be sufficiently stable for further action at the end of 2017’. Therefore, I ask why the government has not concluded on the two options, which are the options that Stortinget has gone on with in this matter.
ParlaMint-NO_2017-10-25.ana.ud320e928	I think this is going to be a bit of a strange debate, especially given that the representative Toppe got an answer to this also on 1 September 2017. Even one did not deliver anything in eight years other than investigations – and I have five pages of timeline here that are out to public scrutiny – where the representative Toppe's government first decided to lift the wreck, then cover, and so that one would investigate the alternatives. One may well shake his head, but in February 2007 the Minister for Fisheries and Coast decides that the wreck should be covered, on 29 January 2009 one goes in to lift the wreck, and then there are further investigations. And that's training -- when you actually can't decide for anything. We've started the physical work to get something done about this, to do nothing, to just figure out once again because you can't make a decision, that's not good enough. But that's absolutely right: we haven't yet decided exactly what will happen when we have got our Coastal Works 'go' on, that now this is stable, but we're going to make sure that something happens here over the next four years.
ParlaMint-NO_2017-10-25.ana.ud320e937	I'm a little surprised at the answer, because one of you has to stop arguing four years and eight years back in time, considering what the Council of State is responsible for here and now. When I read on the Coastal Works' pages, the following says about the progress plan now: «The Coastal Works are awaiting a decision on the main measures and further work». So all work is now under way because the government has not yet, after four years, concluded which of the two options one will go on with – either that one must cover the wreck, or that one can try to lift the load and then the deck to the wreck. That's what I'm asking for, and I actually thought that a responsible state council could give me a proper answer, instead of pointing out what happened in 2009.
ParlaMint-NO_2017-10-25.ana.ud320e944	What is being asked is, what is the reason why the government has trained this important matter? That's what the representative asks. Now, all of a sudden, the question is a completely different one. I pointed out in my first answer that we are working on this. Now the Coastal Plant will monitor the measures we have taken – so we have done physical things – and then we will make a final decision when we see that this is stable. But what would have been interesting is whether the Center Party itself had a position in some of the issues that they challenge the government. So after sitting in government for eight years, you haven't heard the Central Party think anything concrete about what they think we should have done. It's just asking what others think you should do. And even though we've done more in four years than we saw the last government did in eight years, one believes that things are trained, that nothing happens. I believe that this is a wrong description of the reality, and I have mentioned here that we have granted money, the Coast Guard is doing a job, we are waiting for feedback that everything is okay, and then we will proceed.
ParlaMint-NO_2017-10-25.ana.ud320e956	First of all, I would like to congratulate the Minister for Foreign Affairs on his appointment – not just because she is the first female foreign minister in Norway, but primarily because she is a capable politician. Similarly, it is a very good signal from Norway, which shows the relationship between life and learning for the world in terms of equality, that both the Prime Minister, the Minister of Foreign Affairs and the Minister of Finance are female politicians. This is a good and modern signal, under which the Left is very supportive. My question to the Minister for Foreign Affairs is: ‘The Minister of Foreign Affairs considers that the Government’s decision not to accede to the UN’s ban on nuclear weapons is consistent with the request decision No. 623 where ‘Is the government actively asking the government to work for a world free of nuclear weapons [...]’?’ [[26 April 2016]]
ParlaMint-NO_2017-10-25.ana.ud320e965	First, I have to say a thousand thanks for the congratulations. I am very pleased to cooperate with the representative Raja and the rest of the Stortinget. To the question: The government has an active role to play in this work. I think it might be important for the context that we quote the whole decision. It says we should work for ‘a world free of nuclear weapons and contributing to the implementation of the Non-Proliferation Agreement’s obligations, to play an active role in promoting non-proliferation and disarmament with a view to the balanced, reciprocal, irreversible and verifiable abolition of nuclear weapons’. [[NTP]] It is therefore on this basis that the government must work for a long-term and legally binding framework. This goal of a nuclear-free world, I think, all share. Of course, the government does. But unfortunately there are no shortcuts to achieve that goal. It is a time-consuming work, it is a great complexity of work, and a legally binding framework must come as a result. The government has been very clear that further disarmament must take place within the framework of the Non-Proliferation Agreement, which is also the basis of the Storting Decision. There are 191 states with it, including the nuclear weapons states. They have undertaken to contribute to nuclear disarmament. It's a core point, in order to use such a concept, that the nuclear weapons states are involved. The aim is to have a treaty for general and full disarmament under strict and effective control. The non-proliferation agreement is the support beam itself. We also work actively in particular when it comes to verification. It is now the absolutely most concrete disarmament issue that is being discussed globally. Norway has a driving role there. What we have just done these days is to complete a major verification exercise, which is completely unique, together with the United States, the United Kingdom and Sweden. We have very good results from the exercise. Not least, this is a very concrete disarmament work, in line with the obligations of the Non-Proliferation Agreement. This quadruple cooperation we want to develop further. One of the most interesting is that Norwegian researchers, together with their colleagues from the other three countries, have contributed to the development of technology and methodology that will be essential for monitoring future disarmament agreements and their compliance and verification. It is important to stress that we also take other initiatives. One of the clear Norwegian initiatives we have now taken is to get the United Nations to set up its own expert group on the theme of verification. We work closely with the UN and the countries I mentioned about this. We are a driver for the entry into force of the probation agreement. We are a driver to stop the manufacture of fissile materials for weapons purposes and to build up existing stocks. We have also actively contributed to the implementation of the nuclear agreement with Iran, and in particular it was important that we contribute to the transport of uranium.
ParlaMint-NO_2017-10-25.ana.ud320e983	It's very good to hear that the government initially shares the goal of a nuclear-free world. It's an important signal and a good clarification. If I go back to the position I referred to, the Committee also writes that ‘the government has informed Stortinget that it is working systematically to achieve the goal of a world free of nuclear weapons, and that in time to come it will focus on practical and effective measures’ – precisely for this active work in formal multilateral disarmament forums within the UN. And then we have this long quotation, where the committee has unanimously said that we should work for a world free of nuclear weapons. Me and the Left would prefer the government to be with these UN countries – 122 – who have signed this UN Treaty. When that has not happened, my specific question is to the Minister for Foreign Affairs: How does she plan to achieve these goals?
ParlaMint-NO_2017-10-25.ana.ud320e992	In particular, there are two things that are important for Norway in the work we are doing now. One is systematic and long-term. We're totally dependent on that to achieve results, and we're dependent on having the nuclear weapons states with us. This is what has characterized both landmines and class weapons in particular, that the countries with these weapons have been involved in the work. Results have also been achieved over time. The second is that we need to protect those institutions and mechanisms that actually contribute to real disarmament. The non-proliferation agreement is a support bar in that work. It has been important for us not to do anything that undermines the Non-Proliferation Agreement, and also to help avoid unnecessary polarisation. Unfortunately, some of what is seen in the global debate now, is that there is some polarization, and that there is some disagreement between countries about which instruments are the most effective. For the time being, only 50 States have signed this Treaty. There are only three that have ratified. There are now several countries that have taken some time to consider, because they see that the Treaty can help undermine the work of the Non-Proliferation Agreement.
ParlaMint-NO_2017-10-25.ana.ud320e1003	I hope that more than 50 countries will ratify this. To another theme, which borders on this subject: The Norwegian Nobel Committee has decided that the Nobel Peace Prize for 2017 will be awarded to International Campaign to Abolish Nuclear Weapons, ICAN. The Nobel Committee believes that through its work ICAN has contributed to filling a legal vacuum and has also been the leading civil society actor in the work to obtain a ban on nuclear weapons under international law. The Norwegian State is also a leading country in supporting civil society work in many different fields. We have quite long traditions for that. My question to the Minister for Foreign Affairs is: what does she think about supporting civil society actors, just like ICAN, Norwegian doctors against nuclear weapons, No to Atomic weapons, etc.? Does the Minister for Foreign Affairs agree that it is important that Norway support such civil society actors working for a world without nuclear weapons?
ParlaMint-NO_2017-10-25.ana.ud320e1012	As the representative Raja is familiar with, over many years, the UD has provided financial support to ICAN. It was no longer found to be in line with the eligibility criteria, in particular through ODA funds. Therefore, they are not supported in the future. Nevertheless, there are applications on the table, which we of course deal with in the Ministry of Foreign Affairs. We have always been committed to providing good support to civil society organisations. They are important not only in the work related to disarmament but in general as well. They're important drivers. They are key initiators. We work very closely with very many organisations, whether civil society organisations or others who contribute in areas that are also important to Norway, or in human rights work, disarmament, doctors Without boundaries or other organisations. That's going to keep the government going.
ParlaMint-NO_2017-10-25.ana.ud320e1028	This question is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2017-10-25.ana.ud320e1036	This question, from Nicholas Wilkinson to the Minister of Health and Welfare, will be answered by the Minister for Children and Family Affairs who directs him.
ParlaMint-NO_2017-10-25.ana.ud320e1041	Violence and child abuse are a serious social problem. ‘Sta Analyse, on behalf of the Government, has produced a report on the social costs of violence and child abuse. Based on its calculations, Vista Analysis does not exclude that violence and abuse against children cost society nearly 75 billion. kr. Preventing violence and assault, as well as working to discover this early to help the children who are exposed, will save a lot of suffering, but also money. Does the Ministry of Health and Welfare dispute the content of the report, or does the Council agree with the conclusions?’
ParlaMint-NO_2017-10-25.ana.ud320e1050	As the representative had in mind, it is the undersigned who coordinates the government's work related to violence and child abuse. That's why it's also the answer to the question. It could have been easy to say that I do not dispute this, but I want to elaborate it a little more, for every day in Norway, children and young people are exposed to care failure, abuse, violence or abuse. I'm glad that the Children's Violence Committee asked Vista Analysis to calculate the socio-economic costs of child and youth being subjected to violence. There is no reason to doubt Vista's conclusions, and the findings that emerged there are in line with other knowledge that we have from the past, both nationally and internationally. We know a good deal about the damage that violent children are doing, but too little about the extent of children who are subjected to serious care failure and abuse. That is why we have commissioned the National Knowledge Centre on Violence and Traumatic Stress to carry out an extensive study on violence and abuse against children, where children are themselves asked. Violence and assault are causing enormous suffering to children, and in the worst cases the child loses his or her life. The Vista report underlines how extremely expensive it is to repair the damage after violence and assault. So the most important thing we can do is prevent this from happening. Unfortunately, the Children's Violence Committee's investigation shows that many cases could have been caught or averted much earlier. For this reason, the government prioritises the prevention of violence and abuse, and during this government period there has been a significant investment, of over 1 billion. kr, for health centre and school health services. These are services that are in a unique position to prevent and detect violence and abuse early. Family protection services are strengthened by over 128 million. kr, and the family protection office of Enerhaugen has established an acute environment of competence in the field of family violence. In addition, we have tripled the funds for children’s homes, and during the period, victims’ care offices are to be set up in all 12 police districts of the country. I also want to highlight the support that the government has given to the Stine Sofie Centre, a national centre for mastering and life-stricken children. One of the biggest failures in the service that the selection of child violence revealed was that conversations with children are often lacking. We are now developing a national training programme for different disciplines in municipalities in conversations with children about violence and abuse. Knowledge and skills in dealing with violence and sexual abuse have become part of the framework plan for the various teacher training courses and are now also to be incorporated into a common framework for health and social education. The follow-up to the action plan against violence and abuse is a high priority for this government, and I am pleased that we are strengthening the work done in the field of justice, health and knowledge and in my department, to ensure that children and young people who are subjected to violence and abuse.
ParlaMint-NO_2017-10-25.ana.ud320e1069	I must admit that I am now a little surprised, but positively surprised, that the Council of State sees no reason to doubt the report. In the government budget, it is clear that this is not being followed up, because in the report they are clear that we need a stepping-up plan for work against violence and abuse. What the Children’s Ombudsman has said about this initiative – as the Council of State calls it – is that the government’s proposal for a State budget is far too poor in terms of funds to protect children from violence and abuse. It's a mockery of the very most vulnerable among us. So the government has figured out that they're going to make $54 million. kr more. To compare here: only on the stock discount, the government puts in at 700 million. kr. In other words, the government is paying just 13 times more on a share tax than they are paying on measures to help children who are subjected to violence and abuse. I want to ask the council if she believes that the stock discount is 13 times more important than protecting children from violence and abuse.
ParlaMint-NO_2017-10-25.ana.ud320e1080	I thank you for the question. I am a little surprised that the representative is surprised that I do not doubt the Vista report. What it shows is that violence in close relationships costs society 4-6 billion. kr. This is why prevention in this area is so important. This government has only spent half a billion dollars this year on the escalation plan. It's the first step-up plan with such a huge commitment for a government that some government has put forward for a big deal, and this is an important work that we're going to follow up. That's why I'm glad we're strengthening it for the next year, so next year it's going to be 584 million. kr on this escalating plan. However, this is in addition to the important work done at health and family protection stations — and not least the 200 million. kr used in early intervention and prevention activities in municipalities. So this is a priority area, and I think it's going to be wrong to start asking questions and putting stock savings up against the prevention work done by the government to combat violence and abuse against children.
ParlaMint-NO_2017-10-25.ana.ud320e1089	I record that the Council of State's answer to my question is that it is wrong to ask that question. I think it is not wrong to ask questions about how we prioritise violence and abuse against children. It turns out that we have all the limited resources to what we can prioritize spending money on. The State budget is revenue and expenditure. Then you have to ask yourself, what do you think is the most important thing to do? So I really have to repeat my question, because I didn't get an answer. So in its changes, from the previous state budget to the present, the government has introduced new initiatives. They've added a little little pot of 54 million. kr, which the Children's Ombudsman considers to be far too small, for action against violence and abuse against children. By comparison, they've put in $700 million. kr to share tax. So the government is giving 13 times more priority to a share discount than to measures to help children who are subjected to violence and abuse. Then again, I ask the Council of State: does the Council of State really think this is a good priority, or will the Council of State support SV in reducing the stock abate and rather spend more of the money on children who are subjected to violence and abuse?
ParlaMint-NO_2017-10-25.ana.ud320e1096	This is the responsibility of the Minister of Finance. But this is a good budget, a budget for growth, so Norway gets a sustainable welfare society. Even if we spend 700 million. kr to stock tax, I have just been involved in all the work the government has done over this four-year period – and what will be used to combat violence and assault next year. One of the most important things we can do to combat violence and abuse against children is to prevent. That's why it's important that we now spend over 1 billion. kr in health stations, over 130 mill. NOK 200 million for the family protection service. for early intervention and prevention in municipalities. This is in addition to the 584 million. kr, which we will use next year to combat violence and abuse against children, for action in the escalation plan. This is a budget in which we show our priorities, on which the representative was involved, but it also shows that, unlike other governments, this government really prioritises the fight against violence and child abuse.
ParlaMint-NO_2017-10-25.ana.ud320e1112	This question has been withdrawn.
ParlaMint-NO_2017-10-25.ana.ud320e1120	‘In the state budget for 2018, appropriations for actions to improve the mental health of students seem to have moved to drug prevention. Does the Council of State mean that work on the mental health of students is mainly about drug prevention?’
ParlaMint-NO_2017-10-25.ana.ud320e1127	No, the work on students’ mental health is of course about much more than drug prevention. The State budget for 2018 proposes to establish a separate grant scheme for drug prevention efforts aimed at students and study places under the auspices of, among others. Student relations and student organisations. By announcing the arrangements for a common regulatory framework, the application process will become easier for student partnerships, learning institutions and student organisations, while improving the efficiency of grant management. It is important to stress that this is a coordination of two grant schemes which will continue to have two objectives: one is to strengthen the mental health of students, and the other is to prevent problems related to drug use. Therefore, actions dealing with the mental health of students will still be able to seek support from the scheme, even without the action addressing drug prevention. And, on the other hand, drug prevention measures could be supported without addressing the mental health of students. For actions that take both objectives, it may be appropriate to provide support from both grant items at the same time.
ParlaMint-NO_2017-10-25.ana.ud320e1136	I thank you for the answer, and it is at least a little reassuring to hear that there is still a focus on other measures. For, in the previous student health and well-being study, from 2014, it is revealed that one in five is struggling with severe symptoms. This is twice as high as in the general population in the same age group. Of these, only one in three have sought help, and lowthreshold services are needed. A good initiative that can be mentioned is the student organisation at the UiS, which is now launching the Student Phone, where you can call and get help on the questions you need help with. And in this year's state budget, the Workers' Party added three times more than the government to work for students' mental health, and it was without drug prevention. Does the Council of State believe that next year's budget appropriations are sufficient for the action, when we know the scope?
ParlaMint-NO_2017-10-25.ana.ud320e1141	It's like you always want to find room for more when you're working with health. It'll be an infinite wish. But I believe that the government has just managed to prioritise and strengthen the work in mental health, both against students and in the general population. We have seen a sharp increase in the number of psychologists in municipalities; we have seen a sharp increase in the development of health care services for primary and secondary school students, while at the same time strengthening mental health services in hospitals. It's important. It is also important that we improve on preventing — or creating good mental health — through public health work, and that is one of the reasons why we now have a total budget of 70 million. to a public health programme directed by the municipalities just targeting children and young people’s mental health.
ParlaMint-NO_2017-10-25.ana.ud320e1146	I thank you again for the answer. In the pot that's for next year, 2018, it's set at 10 million. kr that can be applied for, among others. The student orders. Very familiar are the five million. kr from the year's budget not yet published. This is something, among other things: The Norwegian student organisation has wondered. So my follow-up question is going to be about the 5 million. kr entered are new funds, or there are funds transferred from the budget for this year.
ParlaMint-NO_2017-10-25.ana.ud320e1151	I am not aware of the fact that the funds in this year's budget are not spent, and that is because a person grants new money for each year. The money contained in next year's budget is not an increase in relation to the year's budget. It's probably at the same level as the year's budget.
ParlaMint-NO_2017-10-25.ana.ud320e1160	I allow myself to ask the Minister for Immigration and Integration the following questions: ‘In the film What will people say and NRK’s reports on children from Norway at Koran Schools in Somalia, it has been shown that sending children to the country of origin of the family is a tool for strong social control that prevents good integration. The Transnational Growth Report of the Institute for Social Research shows that a large number of children are sent abroad for longer stays, especially in Somalia, Iraq and Pakistan. What measures will the Council of State take to safeguard the right of these children to a safe growth in Norway?’
ParlaMint-NO_2017-10-25.ana.ud320e1169	I would like to start by thanking the representative of Bohemia for the question. This is a very important issue. This is, in fact, an expression of the failure of integration in Norway. It is important that those who come to Norway and are allowed to stay comply with the values, laws and rules that apply here. It is essential that all children and young people in Norway live in freedom to make their own choices. We are familiar with the problem of children being sent on a mission to their parents’ country of origin when their parents seem to have become Norwegians, or when their children have entered a drug or crime environment. The government is very concerned that these children, like all other children in Norway, should have a safe growth. The new Action Plan on Negative Social Control, Forced Marriage and Gender Harm, ‘The Right to Control Your Own Life’, launched in March of this year, provides 28 actions to be followed, including more to improve the first-line knowledge of how to help children and young people in such situations. Teachers meet very much with young people and have a unique opportunity to discover that something is not as it should be. There are also teachers who can discover that the student is missing from school. I believe it is important to strengthen the knowledge of teachers on these issues, and it is also important that teachers dare to tell the right authorities if they suspect that the student is not well at home, or at risk of being sent to their home country. The action plan also provides for the school to hold follow-up calls for students to move abroad without their parents. I think it is important to combat the fear of touch that many professionals who meet these young people feel in meeting these issues. We will work closely with the Ministry of Knowledge and several other departments on this in the future. I would also like to mention that we have minority counsellors in the most vulnerable schools, with which children and young people can contact. We finance the Red Cross telephone for forced marriage and sexual mutilation, to which children and young people can call and get advice and guidance on what they should do. The most important thing is to prevent children and young people from being sent out of Norway. Once they're out of the country, we've got far fewer tools we can use. However, we have four integration advisers at the foreign stations where these problems are greatest. The EEAS assists 10-15 Norwegian young people home to Norway each year. Other important measures in the action plan include: to improve the guidelines on survivors abroad. These guidelines need to be revised in line with current legislation and procedures. The revised guidelines shall also mention how Norwegian authorities can prevent children from being left abroad. There is also a separate provision of housing and support for young people who have to flee from the family because they are under strong pressure for example. coercion. This housing and support offer can also be used by young people who have to flee the family due to threats of being sent out of the country on mission. I believe we need to continue working to see what more can be done to prevent children from being sent out of Norway to stay that is directly harmful to integration, and will invite them to cooperate on this.
ParlaMint-NO_2017-10-25.ana.ud320e1188	Thank you very much for your answer. It was a full answer, which had important points. I would like to follow up by saying that it is often said that we do not have any tools once they have been sent abroad, etc. But we need to be aware that when these children come back to Norway – I get that from the neighborhoods, and I know examples myself – they often become Nav clients for the rest of their lives. They've lost friends, they've lost what they were doing in terms of integration, they've probably lost their boyfriends – lost a lot of their lives – and lost their language if they've been gone for years. It's very serious fate these children are exposed to, so we have to go further, I think, in terms of measures. So I want to ask about three new types of measures, which were not mentioned. One is to get a comprehensive overview nationally – from the county municipalities, from Nav or from those who register this – of how many are involved, and get it out to the embassies, so that the embassies can more closely follow up on how these children are doing, what kind of schools they are going on, and how their fate is, because there are enough people they don't know about.
ParlaMint-NO_2017-10-25.ana.ud320e1195	I think it's a constructive notion, that we have to try to get such an overview, although, of course, I see that there may be some challenges to it. But knowing the extent is incredibly important, so I'm going to take it with me and investigate what's possible, and how to possibly get it. I fully agree with Mr Bøhler that when you come to Norway after several years in another country, where you may have lost your language, it makes it quite difficult for the rest of your life in Norway. We met with, among others. Oslo's community on the challenges of secondary schools in some parts of the city, and they also pointed out that some of the people who come back are going into an ordinary course of education and have little basis for success. That's why I fully agree that we have to do more. I will therefore now work with several departments to try to find new ways to combat this phenomenon.
ParlaMint-NO_2017-10-25.ana.ud320e1202	When the Minister for Immigration and Integration commented on this in Dagsrevyen in May, he announced strong government action. I wish that meant that more strong measures were put in place, and I mention a few more points. One concerns the investigation of detention. I mean that if you, for example, then the movie "What will people say" and the story that was portrayed there, so you saw that it was a deprivation of liberty, a kidnapping. That is the case many times, I think, that the children have been sent e.g. on a summer holiday without knowing that they will stay in that country, and that it often lies among others. arranged marriages in the back, under strong pressure, or that they have been too integrated here in Norway, and that they should be brought into a different culture. So I think that the investigation of detention should be an important track, and that you can't hide behind the parents' rights, because they also have a training obligation, an obligation to ensure that children are properly trained, which many of these children don't get. The last thing I want to ask is for an emergency passport – if the embassies can issue an emergency passport without the parents' consent to get these children back.
ParlaMint-NO_2017-10-25.ana.ud320e1211	There are young people we bring back to Norway after they have been left out there, so it is handled by the embassies today. As I said, there are 10–15 examples of this, and most of them will probably be in a situation where they have escaped from their parents, i.e. they come to Norway against the will of their parents. I fully agree that the representative mentioned as an example on the investigation page is a lead to pursue. I think we also need to look at part of the agreements that are concluded with parents, that they should not send out the children. We have been given some indications that some of these agreements are not worth the paper they are written on. The question is whether, by using such agreements, we actually give these young people false security. I believe that the Norwegian authorities should not do that. So we're working along several tracks and we're going to prioritize this case in the future. There's a lot of departments involved, but I'm holding the strings.
ParlaMint-NO_2017-10-25.ana.ud320e1223	‘In answer to my written question about an 11-year-old from Dokka who has to wait in Kabul while the asylum case is being resolved, the Council of State answers that she does not intervene in individual cases. The question, however, was not about the legal case, but about the care of the child's best interests in matters where the state is the anchor, thus putting the child's life on hold. Why can't a child who is waiting for final clarification continue his education in Norway while, and what does the government do to ensure the child's best in such cases?'
ParlaMint-NO_2017-10-25.ana.ud320e1230	Let me first point out that under the Foreign Affairs Act, neither I nor the Ministry of Justice and Defence are involved in the determination of individual cases, unless the matter concerns fundamental national interests or foreign policy considerations. Foreigners seeking asylum have, as a clear rule, the right to stay in Norway until the asylum case is finally decided by the Board of Appeal for the Study of Foreign Affairs. If the decision of theee is refused, the foreigner, including families with children, is obliged to leave Norway. I believe it would be unfortunate both for the Norwegian community, but also for the individual asylum seeker, if the stay in Norway can be trained through long-term legal procedures. As a general rule, where two bodies, UDI and UNE, have concluded that the applicant for asylum has no grounds for staying in Norway, it is not appropriate to extend the waiting period further. UNE shall, upon request, consider whether a foreigner may nevertheless remain in Norway until the Court has settled the case by suspending, where appropriate, the application of the refusal decision. Under its own legislation, UNE is also obliged, in some cases, to provide deferred entry into force if new information emerges suggesting that the case should be reconsidered. Foreigners may also apply to the Court for a preliminary ruling and, by way of order, be entitled to stay in the country until the relevant court has decided the case. I believe that the legal certainty of the individual is well respected, including both the assessment of the risk of persecution and the consideration of the best interests of the child, when an asylum application has first been assessed in two instances and both the UN and the Court of Justice consider that there is no basis for the foreigner to remain in Norway pending the trial.
ParlaMint-NO_2017-10-25.ana.ud320e1239	This applies to a well integrated forced child with an unsolved asylum case, because the State at the Department of Foreign Affairs has appealed to clarify an uncertainty, which is certainly political, but which the court has to clarify because we politicians are unable to set the limit between the weighting of the child’s best – such as residence time in the country or other things that may provide the basis for permanent residence – against what one calls immigration-regulating considerations. I remember that this is a matter in which I happen to know that the family has both applied for delayed implementation and for temporary residence so that the child can continue to be educated in Norway while the state decides what we believe to be our law. Does the Council not believe that Norway has a responsibility for how a child, who may end up in Norway, is protected by his human rights in general and by children's rights in particular, while the family is waiting for a final decision in the Norwegian judiciary?
ParlaMint-NO_2017-10-25.ana.ud320e1246	I am confident that UDI and UNE will make the assessments that are correct in individual cases. We have a code that I think is good and that there is reason to follow. The fact that one is well integrated is not a starting point for staying in Norway. It is about whether you have a right to protection, and that is the basis for dealing with these matters. I believe that we have a good procedure in Norway. We are well among the countries in the world that have the best systems, and I am very pleased with that.
ParlaMint-NO_2017-10-25.ana.ud320e1253	I remind you that in this case, the issue is not my own legal case and the basis of the child's residence, but how we, as a society, are to care for the best interests of children in a situation where our judiciary needs to know how to weigh different concerns. The foreign student is very clear in this case because the reason they want to appeal to the Supreme Court is that two fairly similar cases have been assessed differently. Fair enough. But I remind you that in this case, the child's family has won the cases both in the District Court and in the Law of Lawyers, while the state continues to appeal. That means that the 11-year-old from Dokka can stay three years in Kabul together and eventually end up having a residence permit in Norway, because that is what we decide to believe in principle in this kind of case in Norway. At the end of the day, my question will be whether the Minister for Immigration and Integration does not believe that we can decide in principle, in these kinds of cases, whether the best interests of the child can also be cared for so strongly that it can be in Norway while the case is in progress.
