ParlaMint-NO_2017-05-10.ana.ud551e28	The called alternate of the South-Trundellag County, Ferhat Güven, now takes the seat.
ParlaMint-NO_2017-05-10.ana.ud551e1086	I thank you for the additional reply as well. I believe that in addition to food hygiene, which the Council of State was involved in serving places, some of the catering sites are out of place and some of them are out of business with regard to unprofessional activities, order problems, etc. Here the police point out that they are afraid that abolishing the food law could lead to more illegal activities. They point to the need to have a rule that one should have a satisfactory reputation for being a central person in food service activities, that one should have an Executive Director, that one should have passed the inaugural test, as the Stortinget decided in 2007. They also point to the need for information and notification obligations for the tax haven and municipalities to know which service points they have and to have the opportunity to check and have an overview, and point to the need to have a basis for carrying out inspections in the event of a suspected crime. They point to the need to be able to impose approved guards in places where necessary, to have temporary closures, etc. Doesn't the Council of State see that there could be central tools we're missing?
ParlaMint-NO_2017-05-10.ana.ud551e1091	As I said at the outset, I insist that most of the relationships that the representative here mentions are actually regulated in existing laws and regulations, and we don't need a double set. There are also many notions that the serving law does not work as intended. And in the case of the inaugural test, I would like to say that it is very special to require one industry to know the laws and regulations in its field. We assume that all those who establish their own business can – if they establish an electrician’s business, if they set up a public limited liability company to run a fund investment, if they operate a serving site. This is simply something we have confidence that individuals can do. But, as I said, I'm taking the serious hearing. I have my point of view on this matter, but I am concerned that we take care of the matters raised by the representative here. That's why we're going to go another round. But I hope the representative agrees that we need a good travel life in growth, which understands and can handle the control regimes and the laws and rules that we as a society have set. It has to be a goal that we spend the least time on it and the most time on doing good and healthy business.
ParlaMint-NO_2017-05-10.ana.ud551e1099	My question to the Minister for Children and Gender Equality is as follows: ‘The number of children living in poverty in Norway today has increased by 2 pst. compared to 2012. In Skien, Telemark’s largest municipality, child poverty has risen to 13.9 p.m. It's about 1,535 children, which is well above the national average. Why does the government pursue a policy that reinforces and does not reduce this trend, by, among other things, giving 25 billion dollars. In tax cuts, mainly to the richest, while unemployment is record high and children's support is cut off to the poorest?'
ParlaMint-NO_2017-05-10.ana.ud551e1108	The government looks seriously at the figures from the SSB, which shows that the number of children living in families with persistently low incomes is increasing. The main factor that can improve the situation of children in the long term is improving the family economy. For this reason, the government is pursuing a policy to get more people in work and a policy that ensures more jobs. The fact that parents have a job is the most important factor in preventing children from growing up in poverty. In the future, therefore, a safe and flexible labour market and the creation of new jobs across the country, with good infrastructure development and good framework conditions will be important. What we know for sure is that raising taxes by 15 billion will not help against child poverty. kr, as requested by the Working Party. It's not right that only the richest get tax credits. Everyone has been taxed with this government, and a normal family has got $8,000 more to go with since the government change, money that the Workers' Party is going to choose to take from people. The working party has increased taxes before, and this does not lead to fewer poor people. The Labour Party accuses the government of only investing in lower taxes, but of our investments, 13 are pst. to lower taxes and taxes. Rest – 87 pst. – is used for investments, including: in transport, knowledge and health. More well-being and safe jobs are the bet – it works. Unemployment is falling throughout Norway, and on Tuesday we could read in Stavanger Evening magazine that notices of cancellations and layoffs in the oil town have dried out completely. There is no easy solution to this problem. According to the SSB, one of the main causes of poverty and inequality is also high immigration. More than half of the low-income families have a migrant background, and four out of ten immigrant women have no job. Increasing immigration will therefore also increase differences. The government, together with the cooperation parties, has committed itself to targeted action against child poverty. Among other things, we have the establishment of a more reasonable childcare space for low-income families and a national free-core childcare scheme for all children in low-income families who are three years old. The main work on child poverty is in municipalities. In the National Audit Office’s survey on child poverty, it was found that many municipalities do not do enough to allow poor children to participate socially, better coordination of government efforts, and that more municipalities have problems identifying poor children, and therefore efforts are not sufficiently targeted. We've followed up on these points in this period, and we've developed indicators for child poverty where municipalities are going to get a better idea of how many children they're talking about. The network tool has enabled municipalities to better target their efforts and to establish more and better responses. I see that several of the representatives in Stortinget have benefited from these indicators in designing the questions of today's Question Time.
ParlaMint-NO_2017-05-10.ana.ud551e1125	These are indicators, but in reality they are young people we are talking about. And it helps very little for the kids I'm referring to, for example. in Telemark, that the Council of State is pleased with its own policy. The speech is clear on the fight against child poverty and against its far-reaching success. On the contrary, it is a strong increase. Nor do we see any light in the tunnel when it comes to the projections for the next few years, given the current policy. It is also often said that the differences are increasing due to immigration. But it's no longer a good thing that the differences are increasing because there are immigrant children. It may also mean that this government is not happy with its integration policy either. My question is: When we know that eight out of ten children with Somali background live in families with the current low income – what will the council do for those children?
ParlaMint-NO_2017-05-10.ana.ud551e1134	The fight against child poverty must be fought in many fields, and I also record that the previous government has failed to achieve its goal of eliminating poverty with a pen stroke. That is why the government has made a determined move to help the children who live here and now, and to prevent poverty from inheriting. Free core time, introduced for all children between three and five years of age, will help parents to get into work while children learn languages. Reducing parental payments in kindergartens will benefit these children, as well as the national grant scheme that municipalities can apply for, which allows children to have the opportunity for holidays and leisure activities, which we also know is important for children living in low-income families. The most important thing we can do is to make sure that parents get into work, and I'm worried about the development that's happening now, where it takes longer to get minority families into work or education and to learn languages. That's why I'm worried that these numbers are going to increase in the future.
ParlaMint-NO_2017-05-10.ana.ud551e1143	We probably share that concern. My concern is for all children and all families, and the situation we have today, which is so many outside the labour market, is a huge challenge. We are quite a few of them. The problem is that there are too few measures from this government to get people to work. In my home country, there are 4,028 children between 0 and 17 who live in households with three years of low income, according to Bufdir. We have a record high unemployment rate and a sharp decline in the part of work, the lowest in 20 years. The fact that we have more children living in families with income than in families with two incomes means that more people experience poverty. Then both the government and the minister have several tools they can use to do something about it. And then my final question is: What kind of initiative will the Minister for Children take to ensure that more children can grow up in families with two incomes than in families with one income?
ParlaMint-NO_2017-05-10.ana.ud551e1150	It is particularly true that the representative now refers to these indicators, but it also shows that the work we have done to get the indicators in place makes the municipalities much better equipped to find the children who live in the families where extra measures need to be put in place. This is a work we have to do together – both with the municipalities, the state and the volunteer – to help the children living in low-income families. So it's like we have to help them out in work. The government has now strengthened the introduction programme to enable them to use their skills. The whole process of integration undertaken by the government is important for more people to get into work. We know that where there are two incomes in Norwegian ethnic families, we see that immigrant families often have one income, and therefore it is important to get more immigrant women into work, so that they can participate and contribute to the family economy.
ParlaMint-NO_2017-05-10.ana.ud551e1160	My question goes to the Minister for Children and Gender Equality: ‘According to the SSB count from March, Trondheim has 6.9 pst. Poor child. By comparison, Drammen has 17.5 pst, which is the highest in the country. Trondheim has focused on reducing the differences between people. But under this government, the differences are increasing, and almost 100,000 children are poor. Nevertheless, the government's tax cuts go first and foremost to the rich. At the same time, vulnerable groups, such as child support, are being cut. Does the Council of State see that government policy is countering the objective of reducing differences in Trondheim?’
ParlaMint-NO_2017-05-10.ana.ud551e1169	In 2014, the National Disability Grant Scheme was established. After this, efforts have increased sharply, and the scheme is now 193 million. kr. The increase has resulted in a number of municipalities receiving support for action against child poverty. Trondheim and Drammen have been receiving funds for work against child poverty for several years. Since 2014, the municipality of Trondheim has received between 2,8 and 3,4 million annually. kr in support and Drammen between 2,5 and 2,9 million. kr. I know that both municipalities work systematically and holistically with local measures aimed at poor children, young people and their families. A requirement for the municipalities receiving the grant is that they have a focal point function which shall be a link between voluntary and public efforts to ensure that the measures reach the families concerned. Both Trondheim and Drammen have set a good example in this work. Several government grant schemes are part of the work of the Leisure Declaration, a cooperation between the government, non-governmental organisations and the KS. The purpose of the declaration is to establish good and long-term cooperation that all children, irrespective of the income of their parents, should be able to participate regularly in at least one organised leisure activity with their friends. The main work on child poverty is in municipalities. In the National Audit Office’s survey on child poverty, it was found that many municipalities do not do enough to allow poor children to participate socially, that better coordination of state efforts can be achieved, that more municipalities have problems identifying poor children, and that therefore efforts are not sufficiently targeted. This is why we have developed indicators of child poverty where municipalities can easily get an overview of how many children this is about. Several municipalities are actively using indicators in policy development and in developing local action plans to tackle child poverty. The representative Güven is wrong when he believes that the government only gives tax relief to the rich. Everyone gets lower taxes with the Right and the Advance Party. And it's still the way that those who make the most contribute the most. The 10 pst. The richest pay 38 pst. of all personal taxes in Norway, 37,4 pst. without taxes on wealth. The Labour Party must therefore stop pretending that Norway’s government finances are on the verge of whether we have property taxes or not. Social differences in Norway are largely driven by immigration. The main reason that many immigrant families have poor finances is that their parents do not have work. Children with a migrant background now make up 53.4 pst. of all children in low-income families. Therefore, it is good integration policy to ensure that parents have labour income. It's one of the most important things we can do to combat child poverty. The government is sticking to the line of work. It's worth working. Therefore, it is important that we now look at how we can get more minority families into work.
ParlaMint-NO_2017-05-10.ana.ud551e1182	Obviously, municipalities work differently depending on who governs in individual cities, in terms of reducing the differences. The district of Saupstad-Kolstad, where I've grown up, is the district of Trondheim that has the biggest demographic challenges. Here, the municipality and the county have taken into account the realities and focus strongly on area promises, free core time in the SFO and the new construction of schools for billions. Such measures contribute to raising the urban area as a whole and provide for smaller differences. At the same time, we see a government that increases the maximum prices in kindergartens and gives tax cuts to those who already have enough of them. Does the Council agree that this is the wrong way to go?
ParlaMint-NO_2017-05-10.ana.ud551e1187	There are, as the representative was also involved, many municipalities and many urban areas that are doing an incredibly good job of seeing the children living in low-income families – ensuring that they have leisure activities and entering with extra support to the families that need it the most. Then the government has extended the free core time scheme to the whole country, where all 3 to 5 year-olds now have the possibility of free core time in the kindergarten, while at the same time reducing the nursery prices for low-income families. It's true that we have increased the maximum price a little bit in order to be able to reduce the price of low income families. It surprises me that the Workers' Party is critical of this, and I hope they have not intended to reverse cheap kindergartens to low-income families. We must ensure that poverty is not inherited, and that children and young people follow up on school and get an education.
ParlaMint-NO_2017-05-10.ana.ud551e1196	During the weekend's national meeting, the Council of State party promised a 50-billion-billion-dollar tax party. kr in the year, primarily for those who have enough from before. The question to the Council of State will then be, Will any of these billions contribute to less differences in our society?
ParlaMint-NO_2017-05-10.ana.ud551e1201	Taxes are important to allow families to retain more of their income. Therefore, the government has actively committed itself to reducing taxes and charges for all residents of the country. A normal family with an average income from two full-time jobs will pay NOK 8 000 less in taxes per year under the tax rules imposed by that government. It is also important that we do not now tax companies so much that they cannot invest in jobs for the population. Therefore, it is important that we strengthen employment, lower taxes and taxes, but at the same time have measures to help children living in low-income families. That is the national grant scheme of 193 million. This is what we have done to reduce the prices of kindergartens for families with low incomes.
ParlaMint-NO_2017-05-10.ana.ud551e1211	‘In 2013, the maximum price for a children’s garden area was NOK 2330 per year. months. In 2017, it is $2,730 per year. months. The increase is far beyond price adjustment. At the same time, there are great variations in the parental payment in the SFO. Figures from the SSB show that there are almost 100,000 children growing up in poverty in Norway. In Akershus, 9 200 children live in households with persistent low incomes. Does the Council aim to reduce child poverty in Norway, and when does it expect that there will be fewer poor children in Norway?’
ParlaMint-NO_2017-05-10.ana.ud551e1218	First of all, I will be allowed to say that I am happy that the representatives address this important topic. Like the representatives, I'm worried about the evolution we're seeing now. That's why it's so important to get your parents to work. The government has a strategy against child poverty, the aim of which is to prevent poverty from being inherited and to improve the quality of life of children here and now. The fact that parents have jobs is one of the most important factors to avoid children growing up in poverty. A safe and flexible labour market where new jobs are created throughout the country is important in the years to come. One of the main causes of poverty and inequality, according to the SSB, is high immigration. More than half of the low-income families now have a migrant background. Four out of ten immigrant women have no job. Increasing immigration will therefore increase differences. For many immigrants, we know that it takes time to establish itself in the labour market and in the Norwegian society. That is why we need a good integration of immigrants and a strict immigration policy, which ensures that there will be no more than we can integrate in a good way. Combating exclusion and inequality is about good policies to create more jobs, about controlled immigration and good integration policies and about equipping our welfare system so that it can be there in the decades to come. The reversal of all reforms, a more liberal immigration policy and more difficult conditions for job creation will hardly help to reduce differences in Norway. In these four years, the Right and Advance Party, together with the Christian People's Party and the Left, have just worked to address the causes of poverty and exclusion: by investing in the knowledge school, early work and fairer kindergartens for those who have poor advice through a strong policy to create more jobs, which has turned pessimism and decline to optimism by strengthening drug treatment and psychiatry, which has reduced the waiting time for drug treatment by as much as 40 pst. by making clear requirements, such as: obligation of activity for young beneficiaries of social assistance and by increasing support for the fight against poverty to a historically high level We're not done, and there's a lot left to do in school, in health and in work, but it doesn't help with easy solutions and slogans. Outreach, inequality and poverty in Norway have many causes. It can be addiction and health problems, school drop-outs, lack of integration and lack of work. Even more difficult is to break the vicious circle where poverty passes from generation to generation. This government is not going to give up. We've still done a lot of work. It will be an important factor in the future to ensure that we have work for those who are going to work, to ensure that children living in low-income families are cared for here and now, and also to prevent poverty from inheriting.
ParlaMint-NO_2017-05-10.ana.ud551e1250	We hear that the answer to the government council is to get jobs. Consensus is the most important measure to combat child poverty. The problem is that the government's policy leads to the opposite. Unemployment has increased every day with this government over the last four years. Then we hear they point to increased immigration. Well, it's a confession that the Council of States failed to integrate while she was responsible for the integration policy in Norway before Sylvi Listhaug took over, and now she's in the Stortinget, blaming that there's a poor integration policy that is responsible for child poverty. I did not get an answer to the question I asked. It was really just an outline of the same thing she's been saying to the other children's poverty questioners. My question is: does the Council of State aim to reduce child poverty in Norway? If so, when will we be able to see a lower child poverty within her remit?
ParlaMint-NO_2017-05-10.ana.ud551e1261	Unlike the Aukrust representative – who is a member of the Workers' Party – and the previous government, I do not intend to stand here and say that we should abolish the child poverty with a pen stroke. Because this is complex work, and I'm worried about the future development where child poverty is going to increase, and we know that over 50 pst. of the children living in low-income families now come from an immigration family. With the influx of asylum we've had now, which the Aukust representative is also fully aware of, it takes longer to get immigrants to learn language, to get an education, to get ready to go out to work. That's why the government's integration work, with good support from the Storting, is becoming very important in the future. I would like to stress that there have never been as many residents as during the function of this Council of State as the Minister of Integration and under this government. So maybe that's what August's representative should also take over. But reducing poverty and helping children living in low-income families, the government aims to raise high and actively work with them.
ParlaMint-NO_2017-05-10.ana.ud551e1268	First, a comment that there has never been any more. Well, it's very good that people get settled. It is good that the municipalities do that job. This is because the municipalities do not do what the party leader of the Children's Minister encouraged the municipalities to do when she opened the election campaign two years ago, namely to say no to the requests you would get from the Swedish Council of Solvency Horne. It's fascinating to hear the Minister of the Child, because she's actually resigned in her work. She says that child poverty is going to increase. It is possible that it is very honest to say, but it is at least not to do the job that a Minister for Children in Norway should do. A child minister in Norway should say that my goal is to bring down child poverty. I'll do what I can to get to that. One of the instruments she pointed to in a previous answer is this scheme against child poverty. But we've seen that the grant scheme is very underfunded, and there's a lot more applications coming in than you can afford. It is good that the Left and Christian People's Party in Stortinget have got that grant scheme up. The Labour Party had a proposal to increase it further. If this is such an important measure, why does the Minister for Children not give more priority to this scheme?
ParlaMint-NO_2017-05-10.ana.ud551e1277	The most important thing we can do is get your parents to work. Then we need measures to secure these families. This is a work where the government has not resigned, but we are actively working with the Left and Christian People's Party on it. We have a strategy with over 64 measures. We've reduced the parental payment for those with low income. We have introduced free core time, and it's a trial plan with free SFO for the families who need it. We have focused on drug and psychiatry interventions, which are also important measures to help families who need to get to work more quickly. And the grant scheme we have now has been historically high under this government and is now at 193 million. kr. It is a record number of children who are now offered holiday and leisure activities, but it is a job that the government is not able to do alone. We are totally dependent on cooperation with volunteering, with organisations and with municipalities. And the fact that we have now prioritised putting these online tools in place, makes the municipalities also better able to see the children who live in these families.
ParlaMint-NO_2017-05-10.ana.ud551e1287	I have allowed myself to ask the following questions to the Minister for Health: ‘In Oslo there is a nine-year difference in life expectancy between the city of Sagene and the city of West Aker. We know that socio-economic differences can explain much of the variation, but also that active public policies help to reduce differences. Under the current government we are going in the wrong direction, and now we see, among other things, that half a million have taken out private health insurance. What has the Council of State done to reduce differences?’
ParlaMint-NO_2017-05-10.ana.ud551e1296	It is incredibly important to combat social inequality in terms of health. If the Workers' Party measures my success in that area in terms of the growth of private health insurance, it is quite a judgment of its own policy. Until the second quarter of 2016, there was an increase of less than 80 000 from the end of 2013. Compared to the increase under the red-green government, which was record high, we had an increase of 100,000 only between 2010 and 2011. If the growth in the sale of private health insurance is the Workers' Party's unit of measurement as to whether a government contributes to increased or not increased social inequality, it is a fierce sentence on its own policies. If we're going to fight inequality, we're going to have to go to the reasons why inequality occurs. The main cause of health concerns mental health and drug dependence. This government, together with the Christian People's Party and the Left, has launched an escalating plan on the Russ field, which is historic, where we're going to spend 2.4 billion. In order to improve the provision of services to drug addicts during a five-year period. The waiting time for drug treatment is now record low, and there are greater options. Russ institutions that were adopted under the previous government are up and going, and they are now treating patients. At the same time, early efforts are extremely important, especially in the case of children and young people’s mental health. That's why we've had a strong commitment to school health services, health centres, grouped up to 1 billion. kr during this four-year period. That's what results are. We took over a situation where the number of people in the municipalities who worked with children and the mental health of young people was reduced year by year in relation to the number of children and young people. We've turned that development around, and we're about to resume the slowdown from the red-green government. Combating social inequalities and health inequalities is also about looking at what explains the differences in health and life expectancy between different groups. The use of tobacco continues to be one of the main explanations of health inequalities in Norway. That is why it has been very important for me, as Minister of Health, to have Norway back in the front line when it comes to tobacco control. That is why I am very pleased that Norway, as one of the first countries after Australia, France and the United Kingdom, introduced standardised tobacco and snuff packages from 1 July just to prevent children and young people from starting tobacco, which is still a main explanation of health differences between groups in Norway.
ParlaMint-NO_2017-05-10.ana.ud551e1313	It is probably true that both tobacco and other types of drug are a cause of health differences. I don't doubt that for a second. But health is also affected by income, and it is affected by education and residence. There are large differences in average life expectancy between Norwegian municipalities. It is within Norwegian municipalities, and there are differences between families, because it has something to do with socio-economic status. In addition to the consumption of tobacco and alcohol, there are also health differences between different communities. These include: on physical activity where there are major differences between the different social classes. Several schools have already introduced physical activity every day. Is the Minister of Health willing to contribute to this in all schools and to make contact with his colleague in the other department?
ParlaMint-NO_2017-05-10.ana.ud551e1318	Clearly, there are differences in life expectancy based on income and participation. But it is then important to go back and figure out what the reason for it is. Many of the reasons for this include: a fall from education due to mental health challenges and drug dependence. In contrast to what the Workers' Party does, which only talks about the results of the inequalities once they have arisen, we must do what the Right does: dig down into what is the cause of inequality in Norway, and then grab hold of it. That's why it's so incredibly important to make early efforts in terms of children's and young people's mental health, and I'm very happy that the Right Party, the Advance Party, the Christian People's Party and the Left have said that in the next period we're going to have a stepping-up plan for children and young people's mental health. In the case of physical activity, the main challenge is falling physical activity at the level of youth. That's why I'm very happy that I, along with the Minister of Knowledge, have started the biggest project with increased physical activity in the youth class that has ever been launched.
ParlaMint-NO_2017-05-10.ana.ud551e1325	In addition to what the Council of State mentions, there are at least two things that affect health. One is physical activity in growth and in school, and it's important that it can happen in all schools. The second is actually dieting through growth, where there are also very big differences. That's why it's important, what's now happening in Oslo, that you give an offer of school food in some schools, for example. at the North Pole and Nordberg schools. It helps to balance the differences, and it does not least help to balance the differences in health and growth conditions. The approach to food and meals in these types of arenas made by school means much to children and young people’s eating habits and diets. Is it possible for the Council of State to address the issue of the spread of school food in schools as a health measure?
ParlaMint-NO_2017-05-10.ana.ud551e1330	First, I have to answer what goes on physical activity and meals in school. In childhood, we see that children and young people are physically active, very much in line with the recommendations given, and it is also very easy for the school to include activity in education. There are very good results. The challenge comes at a young age. There is a very common perception that children and young people fall from organized physical activity in the afternoon, while becoming more inactive at school. That's why the government has chosen to bet on getting knowledge of how to ensure more physical activity during the school day at youth. In the case of meals, we have presented a national strategy for that. We also have clear recommendations for schools. Firstly, it is not only in Oslo, but in large parts of the country that good meal solutions are established at school. However, the main challenge in Norway is that children do not have time to eat the food package they carry. That's why, together with the Minister of Knowledge, we've given a clear message to the schools that they have to put off enough time for the children to eat the food, not just bring food or get food.
ParlaMint-NO_2017-05-10.ana.ud551e1343	‘In the municipality of Tysne, Health Fonna and the taxi industry have not agreed on a permanent solution for a pre-paid taxi during patient travel. This has led patients to cancel medical consultations because they have not been able to afford the trip. The taxi industry reported to the newspaper Tysnes on 6 April 2017 that for some, this concerned amounts up to NOK 8 000. Does the Council of State consider this acceptable, or is the health care provider obliged to find solutions so that patients do not have to spend themselves?’
ParlaMint-NO_2017-05-10.ana.ud551e1350	It is true that in the municipality of Tysne for a period of approx. a month has not been provided with a new solution for a taxi paid in advance between the health business and the taxi industry. However, it is informed in contact with Health Fonna that a new contract has now been concluded for the requested patient transport in the municipality of Tysne. The agreement came into effect on 1 April of this year. When patient transport agreements are concluded between health regions and taxi suppliers, public procurement legislation is followed. The contracts are of limited duration, so that a good offer to the patient can be carried out together with a reasonable price for the health business. Thus, the focus is on maximising the resources of the healthcare business when agreements are made, so that one also ensures that resources go to patient care and good services for patients. On a general basis, it can be mentioned that regional health companies are responsible for patient transport. This is provided by the specialist health service law § 2-1a. The responsibility lies with the organisation of sound health services, including: for patient transport. Patients’ rights are governed by the Patient and User Rights Act and the Patient Travel Regulation. A revised regulation entered into force in the autumn of 2016 with the aim of clarifying patients’ rights. According to Sections 2 to 6 of the Act and the Regulation, patients and other users are entitled to cover the necessary expenses when they have to travel to and from treatment. The right is limited to financial compensation and does not entitle patients to requested transport. Patient travel is carried out in two ways: by the patient planning the journey, spending the cost himself and then applying for compensation after the journey has been completed. These are travels without requisition. In addition, patient travel may also be travel by requisition. All health regions of the country have access to the provision of services to receive transport to patients who, for health reasons, need to have an organised transport service. Finally, I would like to take it into account that it is important that users use their right to complain and send a complaint if they believe that the rights to patient travel are not fulfilled. A complaint will first be dealt with by the patient travel office that has dealt with the case. If complaints are not supported, the complaint shall be forwarded to the county of the country in question for final processing.
ParlaMint-NO_2017-05-10.ana.ud551e1365	When Health Fonna failed to reach an agreement with the taxi industry for people on Tysnes who are going to travel with requisition, so that the patients who were going for example. being filed or coming to an investigation, had to spend thousands of dollars itself, was Health Fonna's conduct then in line with the law of promise? Or didn't Health Fonna have the opportunity to leave out a system so that these patients could avoid having to pay themselves? That's my question. Can a health care professional act that way?
ParlaMint-NO_2017-05-10.ana.ud551e1370	Of course, it is not desirable that there be no agreement between a health company and the taxi industry on such issues, but these are also issues where I believe the representative understands that there are two parties that have negotiations on prices and conditions. It is very unfortunate that the kind of periods that have arisen here, where there is no agreement in place, which goes beyond the patients. But now a solution has been found, and the agreement has come into place. I also think I would warn against a situation in which one places the taxi industry in the position that they have veto rights on terms and that there is no real negotiation between the taxi industry and the companies. Then I think the representative will feel that unnecessary money goes into the taxi industry's pockets instead of for patient treatment.
ParlaMint-NO_2017-05-10.ana.ud551e1377	You haven't found a permanent solution to this problem. By the fact that the taxi industry has given up because they thought it must be a defensive offer to patients, the responsibility that Health Fonna did not take. My question was not answered. Obviously, it's not desirable with such a situation, it all understands. But my question was basically: can a health care provider just say that here we don't make an agreement, here we push this issue over to patients, who have to spend up to $8,000 to get to the necessary health care? Is it the law and order of a health care professional to avoid entering into an agreement, whatever the reason? I understand that there are negotiations and things like that, but does a health care company have the opportunity to push this over to patients if there is no solution?
ParlaMint-NO_2017-05-10.ana.ud551e1384	Firstly, I want to be very careful about allocating responsibility in a case where there are two parties negotiating, and where there are clearly strong financial interests inside the picture. So I'm not going to join that description of who wants the patients well, as the representative here came along. Then I answered the representative's question in my first answer: According to § 2-6 of the Act and the regulation, the starting point is that patients and other users have the right to cover the necessary expenses when they have to travel to and from treatment. The right is limited to financial compensation and does not entitle patients to requested transport. However, it is true that all health regions have organised an offer of requisitioned transport for patients who, for health reasons, need to have an organised transport service. That's still going to be that way. Then I also hope that we avoid the kind of situations that have arisen in Tysnes, and both parties have a responsibility for that not happening.
ParlaMint-NO_2017-05-10.ana.ud551e1402	This question has been raised.
ParlaMint-NO_2017-05-10.ana.ud551e1410	This question, from the representative Ruth Grung to the Minister of Knowledge, will be answered by the Minister of Health on behalf of the Minister of Knowledge, who has been away.
ParlaMint-NO_2017-05-10.ana.ud551e1415	‘In Hordaland now more than every 10 students go to private secondary school. It's the highest proportion in the country. The private schools are created in the Bergen Centre. The county must choose between not having schools in the centre or leaving school places in the districts. Young people in the districts, those with poor grades or those with parents who cannot afford private school are losers. Is it not the concern of the Council of State that this will increase differences, reduce options for young people and lead to fewer completions of secondary education?’
ParlaMint-NO_2017-05-10.ana.ud551e1422	The approval system under the Law on Free Schooling is discretionary. Authorisation shall not be granted if there will be negative consequences for the host municipality or the host county. This is a consequence of today’s law on free schooling and is a continuation of the practice under the former private school law. I believe that the legislation establishes a reasonable balance between the consideration of the host municipality and the host state on the one hand and the consideration of the youth's ability to choose between different schools on the other. The county council has the overall responsibility for secondary education and must have a wide range of training provision that takes into account the statutory obligation to take into account, among other things. the wishes of the applicants and the needs of society. A reasoned objection that the establishment of a post-secondary school would make it difficult to maintain a decentralised offer as a result of the failure of a student base would be relevant in the application procedure. The Ministry does not want increased possibilities to establish fresh schools to make it more difficult for students who want to choose a public school. Therefore, in assessing the impact on the school structure, it is relevant to consider the relationship with the secondary school and the reasonable route for the group of students wishing to attend a public school. Approved fresh schools shall be open to all applicants qualifying for admission to public school. Intakes into urban health schools therefore apply irrespective of where in the country or place of residence of the applicant. The Free School Act also has a clear upper limit on self-payment by students. This helps to ensure that fresh oils can be a real alternative for most people. In contrast to public schools, it is not required that post-secondary schools rank applicants according to entry points. There is therefore no reason for young people with low grades to come out worse as a result of the admission of independent schools. Similarly, I see no reason for increased options to lead to fewer completions of secondary education, on the contrary. I would also like to point out that more than half of the students in private secondary schools in Hordaland are students at schools approved on the basis of life views, a recognised pedagogical direction or at schools providing training specifically for the disabled. So over half of those who choose a private offer choose a real alternative to public school. I believe this shows that colleges provide students with increased choices in important areas of their lives. In Hordaland, the proportion of students attending a private secondary school is slightly higher than in other counties. However, I am not concerned that this will have a negative impact on young people’s choices or the implementation of secondary education in Hordaland.
ParlaMint-NO_2017-05-10.ana.ud551e1435	It's quite right that in the eight years of bourgeois rule, a lot of new private schools were approved, so what's now described is like new schools. But the minister is not worried. The situation is that 1,900 private school places are in the Bergen center. They have a concession to pursue high school and receive grants per student who is eternal. They now got e.g. School places are converted from study-specific sites to be built, which are not desired. The county no longer has the opportunity to fulfil its social mandate by offering good enough choice in terms of the breadth of the profession or having enough space in the districts versus cities. When one sees the result and how it has now been, is there no need to put in place measures to limit private individuals and increase the ability of the public to govern?
ParlaMint-NO_2017-05-10.ana.ud551e1440	I believe that today's law precisely balances these considerations, which will be emphasised when the various schools apply for approval. In Hordaland, applicants also have the opportunity to apply to secondary schools throughout the county, completely independent of residence, so it is difficult to see that the claim for reduced options is a consequence of high school classes in Bergen. When one looks at the number of seats approved, it is that under the Stoltenberg II administration, 725 seats were approved in Hordaland, which is 20.8 pst. of the total number of places of the day, and so far 66 are approved under the Government of Solberg. It also shows that the balance in today’s law is a continuation of the practice under previous government.
