ParlaMint-NO_2017-05-03.ana.ud198e28	The representative, Mr Knag Fylkesnes, will present a proposal for a representative.
ParlaMint-NO_2017-05-03.ana.ud198e923	This means that the Council of State may not believe that by 2020 everyone will have an offer in their municipality. Another area, cultural expression, song and dance, has been shown to have a very positive effect on people with dementia. Songs together contribute to joy and well-being, and it stimulates language skills and anchors good memory from previous years. The doctoral thesis of Tone Kvamme concludes that music therapy can have a major positive impact on dementia with symptoms of depression and anxiety. Doctor and specialist Audun Myskja has focused in her doctorate on the use of music in the care of the elderly. He has, among other things, engaged in an exciting project at Bergen Røde Kors Sykhomem, where music has been used in sitting situations. This shows very good experience with regard to how this appeals to patients and prevents anxiety and such things. Despite that, today's government suggested that we take away the cultural walking stick. Luckily, he's not being drawn away, but I want the Council of State to ensure that the cultural spaser stick is still an offer.
ParlaMint-NO_2017-05-03.ana.ud198e930	I believe that a good solution has been found for the scheme related to the Cultural Spaserstick, but it is very important that the representative does not put similarities between Myskja's research on music therapy and the Cultural Spaserstick. The cultural walking stick is about making cultural offerings. It's important, and it's good for the quality of life. Music therapy is about using music integrated in the treatment and care of people with dementia in a professional way. For this reason, this government has chosen to strengthen its funding for music therapy as a continuing training for employees in the sector. In addition to the cultural experience, which is important for quality of life, to which the Cultural Spaserstick contributes, this is about using music in a professional way, for example. care of patients, and it requires something quite different. That is why this government has chosen to strengthen music therapy as an education to improve its supply.
ParlaMint-NO_2017-05-03.ana.ud198e939	‘The decision to establish a gene bank in Hardangerfjorden came after a long draw on an own regulation on farming activity in the fjord and from the need to ensure the stock of wild salmon fish in Hardangerfjorden. In a short time, the genetic bank project has a large and broad commitment to preserving the remains of unique populations for future generations. What will the government do to ensure that the planned recovery bank comes into place and that the collection work can be carried out?’
ParlaMint-NO_2017-05-03.ana.ud198e946	Let me first say that I greatly appreciate the work done locally for the salmon fish stocks in Hardanger. The type of local involvement is very important in the management of the anadromous salmonids. As regards the envisaged re-banking of salmonid fish stocks from Hardanger, it was mentioned in the 2017 budget proposal. New cost estimates were made in 2016 to show that the return bank would cost 66 million. NOK, which is a cost increase of more than 50 pst. compared to previous estimates. Because the price had increased so much, the government decided not to build the bank. When the budget was examined by the Storting, no money was allocated for the purpose either. On 4 April this year, the Stortinget examined a proposal for a representative to take care of endangered populations of wild and marine trout in Hardanger. At the time of the examination, there was a proposal from a minority in the Energy and Environment Committee to ask the government to ensure the completion of the work of establishing a re-bank for salmonids from Hardanger. That proposal did not receive a majority vote in the Stortinget vote. In 2015 and 2016, material from the salmonid fish stocks from Hardanger was collected that could be relevant to a gene bank. The collected material will be kept at Ims in Rogaland until further notice. Salmon fish stocks in Hardanger will continue to be covered by the rest of the work being done to preserve the wild species in Norway. In this work, we are implementing strict regulations in the fishing industry. We also spend a lot of resources fighting the salmon parasite Gyrodactylus salaris and liming in acidified watercourses. The main impacts on wild salmon populations today are salmonids and escaped farmed fish. Actions and instruments in this field are the responsibility of the Minister for Fisheries, and we have close dialogue on these challenges.
ParlaMint-NO_2017-05-03.ana.ud198e962	What the Council of State says is well known from the debate, both at the time of the discussion of the State budget and at the time of the discussion of the draft representative. But it's still a big and good local commitment and a willingness to create a gene bank. What is currently precarious is that if there is no more funding for the project, one will not be able to collect anymore, but will have to complete the collection. Then there will be no way back. Can the Council of State confirm that the government has taken a complete and final decision on this matter, so that there is no hope of continuing the collection with a view to establishing a re-banking?
ParlaMint-NO_2017-05-03.ana.ud198e967	So, as I've seen, the situation was that the huge increase in costs did not allow us to find room for the restitution in the budget. Since the budget agreement, where no funds were allocated to a gene bank, we have been pressurised to obtain a temporary solution with the storage of the collected material. It gives us a breathing room to consider the next step, but no conclusion is drawn in that way.
ParlaMint-NO_2017-05-03.ana.ud198e972	It was good to hear that one has made a temporary solution, but the point is that if one does not decide soon, it will be difficult to continue because one cannot continue the collection. Then the work will also be in vain. One might argue with an increase in costs, but there is a lot of money in this country. When we see what one can achieve with this project, there are probably few other measures that would have helped preserve the wild fish in Hardanger. What kind of other corresponding measures does the Council of State see going on if one is not going to continue to have a re-banking in Hardangerfjorden?
ParlaMint-NO_2017-05-03.ana.ud198e977	I now focus on implementing the temporary solution that we have found for the material collected in 2015 and 2016. If no permanent re-banking is established, the material will have disappeared for later. But that does not mean that we do not have a number of other measures to manage the responsibility of Norway for the Atlantic wild species. The salmon fish population in Hardanger is covered by the rest of the work we are doing: strict regulations in fishing, which I have been involved in, the control of salmon parasites, liming and not least the new ‘traffic light system’ for the farming industry, which will reduce the impact on wild salmon populations.
ParlaMint-NO_2017-05-03.ana.ud198e985	‘The Working Party has promoted a proposal for a representative to set up a grant scheme for activity projects for people with memory failure and dementia. A good example of such a project, which shows how volunteering can contribute to activity and life happiness, is Hamkam's Memory Ball project. Soccer interest is used here as a starting point for association and mutilation. Will the Council of State support our proposal to launch more such projects?’
ParlaMint-NO_2017-05-03.ana.ud198e992	The government will strengthen the offer of people with dementia. We aim to make people with dementia experience living in an active community with others, and to facilitate more both physical and social activity adapted to the individual. I am pleased that the Labour Party shares this objective. In the work on Demenplan 2020, users and relatives told us that day care is important for having a good life with dementia. The Government will promote a legislative proposal that establishes an obligation for municipalities to offer a daily activity offer to residents with dementia, applicable from 1 January 2020. In 2012, a earmarked grant scheme was set up to stimulate municipalities to build up that kind of day-to-day activity offer. Projects of the type called for by the Workers' Party could be carried out under this grant scheme. These include: grants for projects that have tested different models and different content of the activity offer. Other schemes provide grants for the development and testing of environmental therapeutic methods, such as: use of song and music in the treatment offer. The grant has been used to a lesser extent than intended and desired. However, studies suggest that municipalities now have strong incentives to build up a daily service. In comparison with the notified obligation to offer such an offer, municipalities should have sufficient incentives to expand the daily activity offer to residents with dementia by 2020. Rather than establishing new grant schemes for the same purpose, the government wants municipalities to use the existing schemes. Through the ‘lifelong’ reform, we will also assess measures and instruments to ensure that municipalities learn more quickly from each other and make changes based on experiences of what works, including: to stimulate increased activity and content of life for the elderly.
ParlaMint-NO_2017-05-03.ana.ud198e1005	Thanks for the answer. It is good that the objectives set by the Storting for dementia care are followed up, and that there is a system. There are some concerns related to it, including: that it covers only a minor part of the total costs of the municipalities for both establishment and operation. In addition, we see that construction of new sites is slow. It is also a challenge that today's system only targets home dwellers with dementia. We see that there is a need for easily accessible money that can stimulate actions and activities that we know work within, for example. both culture and physical activity — not only for residents but not least for people living in nursing homes and nursing homes. The question is whether the Council of State sees that such a scheme as we propose would have been important in the work of municipalities to fill new day centres and day services with content.
ParlaMint-NO_2017-05-03.ana.ud198e1012	One of the challenges in this area is to make the municipalities want to establish an offer that is clearly good for the users, for their relatives and also for the municipalities. We have different grant schemes. We have grant schemes for day-time activities for residents, and then we have projects aimed at nursing homes. Municipalities initially have good financial incentives, especially in the case of residents with dementia, in addition to state grant schemes, by actually establishing offers. So I also think there is a need simply to work more systematically with the municipalities in terms of seeing which offers actually give good effect, and learning from each other. That is exactly what must also be done through the reform of Life throughout life.
ParlaMint-NO_2017-05-03.ana.ud198e1019	When we see that schemes are not fully used according to the objective, it is possible to ask more questions, including: whether the arrangements are successful enough and whether they meet the needs. I showed in my first question about the project that HamKam has set up together with the National Association for Public Health. HamKam himself says that they hope to be able to operate this as a lasting measure, but that the project funds they have received from the National Association have been triggering. We see that football clubs and other volunteers from all over the world can be important partners in dementia care. I believe that our proposal will be able to provide municipalities and counties with a good tool to stimulate and trigger that kind of voluntary effort. Does the Council of States see that facilitating cooperation with volunteers can be important in order to achieve the objectives we have set for dementia care?
ParlaMint-NO_2017-05-03.ana.ud198e1028	I am also very positive that both the National Association, the Extra Foundation and others offer money for good projects. It's a very good addition to the money allocated to the Health Directorate, which they manage, and which the municipalities can apply for. We also often see that there is money that makes projects other than what the government grant scheme does. This is often seen, in particular by voluntary and non-profit actors, as more accessible money, such as it is. Less evidence is required on the basis of which they can apply directly, while very much of the money allocated to the State budget has to go through the applicant municipality. I have also asked what the representative raises, which is a very good question: Is the grant scheme we have today difficult to use? It is a question I have often asked when I have been to the municipalities, and the answer I get from the municipalities that use the scheme is no, it is not. If we had got the impression that it was not available, of course, I would have been open to make changes to the scheme.
ParlaMint-NO_2017-05-03.ana.ud198e1039	‘As of 2017, the Government has proposed to change the criteria for current investment grants only to projects with net growth in the health care facilities of the lucky day. This has been adopted before the entry into force of the Government’s amendment to the legislation on the introduction of waiting lists, which will provide a better overview of the needs of the sector. How does the Council of State defend such a major conversion of the investment grant when the numerical basis is uncertain and the reluctance is so great both in the professional and local communities?’
ParlaMint-NO_2017-05-03.ana.ud198e1046	The Government proposed in the 2017 government budget a conversion of the investment grant from 2021 to only sites that provide net growth. This led Stortinget to the budgetary procedure before Christmas. In the last three years, the government has prioritised a higher rate and a higher framework for investment grants than previous governments have done, and in these years, there has been a high level of activity on the part of municipalities. Many inappropriate sites have been replaced and refurbished through the action plan for the care of the elderly and through the investment grant to the care centres of the lucky day. However, there has been a problem that we have not had enough knowledge of the needs in the future, of the plans of the municipalities and of the state of existing buildings. The government, in cooperation with the KS, has therefore initiated a series of investigations to gain new and up-to-date knowledge, and we now have a better knowledge base to make decisions than before. The studies carried out are likely to require several sites in the coming years. We need to take this into account through the tool we have available. Therefore, the government proposed to reschedule the scheme from 2021, which has also been decided by the Storting. Although the municipalities have been able to apply for funds for renovation and replacement since 1997, a transitional arrangement has been adopted for the years 2017 to 2020. Investment grants for the renovation and replacement of existing building stock may also be applied for during this period. However, at the end of the transitional period, the government considers it most important that the national instruments stimulate the construction of more sites, in line with the fact that the needs are also increasing to a very large extent. From 2021 onwards, municipalities must use the normal framework for upgrading and maintenance, which they receive through the income system. The government listens to the local authorities' input, assesses the needs and follows the situation beyond 2017 carefully. At the same time, we must recognise that the subsidy must be used to meet the needs of users. This must mean that we have to get more places of care for lucky days, and that is also what the investment grant is to stimulate. The municipalities now have a transitional period, but from 2021 onward, the State’s instruments must also be directed towards the real increase in the needs of municipalities in the years to come. And the country's older people, those who get older in Norway in the years to come, don't have time for the Labour Party's waiting-and-see attitude in older policy.
ParlaMint-NO_2017-05-03.ana.ud198e1059	The researchers have slightly different answers to what we really need, we who are now getting old. We probably need a much greater variety of offers than the government adds. I would like to remind you that a while ago Kristiansand was assigned to the best municipality of older people among the five largest cities in the country. It is a municipality that spends less of its care money on health care facilities, but much more on other types of good care. So it's important to think about diversity. From the introduction of the investment grant in 2008 and until 2015, 7700 new and refurbished sites were in fact ready-to-use. It's very important to note. So the investment grant went a little slow. If I'm going to be honest, and if we're going to use some good headcount, I guess you could say that you can say hello back to Erna Solberg's time as a municipal minister. But there was another thing that happened then. So in the situation in the municipalities, there were only 1,690 new annual works of care, while 22,000 new ones came on the red-green watch. Can the Council of State tell how many new annual works that have come in care and care per year on his watch?
ParlaMint-NO_2017-05-03.ana.ud198e1066	When it comes to the last question, I have to take it into account, but I think that the last KOSTRA figures for 2016 correspond to something in excess of 2,000 more just in the last year. We also see that the municipalities have significantly improved their local economy during this government and not least prioritize the care and care sector, both on the investment side and in the recruitment of several, more annual works. Then I fully agree with the representative that there is a need for more diversity. I also fully agree with those who say that several older people are going to live at home anymore – I am very happy about that – not least because of care technology. But I strongly warn against a notion that when we get so many more older and live so much longer, it will lead to a reduction in the need for happiness and care. No, there's going to be a great need for an increase in the number of day care places in the years to come. Although growth is going to be smaller, it's going to be a significant growth if we think about diversity.
ParlaMint-NO_2017-05-03.ana.ud198e1073	That's where we actually agree. We need more places. But we also need people working in the sector, and we need a lot of other solutions. Unfortunately, I am afraid that the Council of State and this government are not looking at the other solutions. The figures given to me by the Ministry of Health and Welfare and by the Central Statistical Office indicate that there are around 1 400 new annual works on the Health Minister's watch. If there are more, it's good, but it's still far below the annual growth that we had on the red-green watch. So we have received state funding for the care of the elderly, a conversion of the investment grant – measures that have received the smooth layer from the Council of State’s own party traps – cut the daily activity grant and the removal of the cultural spa. Then I think, isn't it a little small and a small failure statement that the Council of State at five o'clock in twelve – two minutes in twelve – suddenly doesn't have up an older reform that will have this content to which he has so far said no? I think that's weird.
ParlaMint-NO_2017-05-03.ana.ud198e1080	It's completely wrong. The reform Live your whole life, which is based on experience from, among other things, My home municipality, Stavanger, which is run by the Right Party, the Advance Party, the Christian People's Party and the Left, shows exactly what opportunities lie there to give more content to the days. The basis for that reform is much of what has been carried out until now. It is that we have introduced a legal right to the care and care of lucky people, requiring municipalities to keep waiting lists – against the votes of the Workers' Party. We have also introduced a municipal health service law that demands competence – against the votes of the Workers' Party. We make stricter demands for the municipality to expand several places, which the Workers' Party is opposed to. In addition, a number of measures have been taken to improve quality — raising skills, the introduction of municipal quality registers and the introduction of national quality indicators in this area.
ParlaMint-NO_2017-05-03.ana.ud198e1094	This question has been withdrawn.
ParlaMint-NO_2017-05-03.ana.ud198e1102	‘The government has spent a disproportionate amount of time, resources and valuable competence on proposing, investigating and implementing systems that do not give older people a better offer. It may seem that the government has mainly spent its time on desktop reforms. Only now do we hear the Council of State talk about him listening to the municipalities through the input of a reform that has not yet heard the start-up shot. Does the government council mean he conducts good old age policies when he is constantly going across professional councils, municipalities' perceptions and the wishes of the elderly?’
ParlaMint-NO_2017-05-03.ana.ud198e1109	The government has taken a lot of steps that will provide better services to the elderly. We have strengthened the financial instruments for developing skills and are making a major effort to increase the competence of municipal health and care services. We train several leaders and make clearer demands on management. We have significantly strengthened the investment grant for lucky day care facilities. We've created our own dementia plan, developed in close collaboration with people who have dementia, and their closest. We are working on introducing a health care standard for hospitals, which is under test. We demand a medical review for all residents of the hospital. We have a right to hospital or equivalent housing and reduced the proportion of those who, against their will, are placed in double rooms. This government has focused on increasing capacity, competence and quality, and it has been absolutely necessary to put these changes in place before we start a quality reform in the services of the elderly. Many older people experience great differences in health, mastery, well-being and security, and we know that the quality of services varies between municipalities and within municipalities. In many places, late help and poor services lead to aggravation of diseases and plagues, and old age becomes heavy and difficult to master for the elderly and not least for relatives. We have therefore been working on a reform aimed at helping older people to master their whole lives, at preventing relatives from struggling, and at allowing employees to use their skills. We need to find the tools that work in practice, and make sure that they are put into use throughout the country, and we are gripping the areas where, unfortunately, most of the time it fails: food, activity and community, health care and having services that are connected. ‘Life for the rest of your life’ is therefore a reform that comes about in cooperation with those who need the services, those who provide the services and those who are responsible for the services. We have recognised that we cannot erase quality differences and just plan a desk in the capital. That's why we're going out into the country and we're going to listen to those who wear the shoe. This is how the patient’s and relatives’ health and care services are to become a reality, through a quality reform for the elderly. I am very happy to hear that the Workers' Party very much agrees with this reform. It is a good promise that the government will continue to have broad support for the implementation of the reform in the next period.
ParlaMint-NO_2017-05-03.ana.ud198e1120	What is good about both the response of the Council of State and the political debate on care for the elderly is that there seems to be agreement on a couple of issues. A large number of these proposals, to which the Council of State refers, have full cross-political support, which is based on plans from the previous period and which have received unanimous support here in the Stortinget. That's very good. The second thing that appears to have been discovered by both the Workers' Party and the Right over the years is how systematically there is a difference between the quality of municipalities that initially have quite similar prerequisites for providing good care for the elderly, and that there does not seem to be any one-to-one response in the case of, for example: resource input versus experienced quality. That is why we called for something to be done with this two years ago, but we acknowledged that, on the part of Stortinget, we cannot start work on a major age-old reform. That's what the government has to do. Therefore, there is reason to ask again why, at the end of this period, a work is started that is in line with what the Workers' Party is thinking.
ParlaMint-NO_2017-05-03.ana.ud198e1129	The reason why it came at that point is because it's a right time. As I said in my reply, and as I have also answered several other representatives of the Workers' Party today, much of the foundation for this reform has been laid earlier in this period of government. It's e.g. Only now that we have a quality register for municipal health and care services in place. It is a work that we had to start when we entered the government offices, and I think the representative is aware of how much time and work it requires to establish the type of quality register for a sector that has not had it before. We have established national quality indicators. But it is not least about time – a time when we have trained enough leaders in the sector, so that they have the necessary change management skills. And with the pace we now have when we train leaders in this sector, the time of implementation will be a very good time, because then the municipalities have many people who have been through leadership education and are ready to accept this kind of reform.
ParlaMint-NO_2017-05-03.ana.ud198e1138	It was very good in that answer, but it's completely new to me that it's these leadership development programs, which are otherwise very good, that have stopped the government from working for better old age health in the last four years. I also believe that if you look back at the time-use of the Right Party government, it went, for example. to a large amount of legal work through which, as a nursing patient on his or her older days, he or she would be entitled to hospitalization. The problem was that you already had a right to a place of residence, and the entire legal work was severely criticised in a comprehensive consultation round. In addition, when a lot of time, money and resources have been spent on investigating different forms of government administration of care for the elderly, which hardly a single municipality has been interested in being involved, much time has also been spent — with all due respect — on things that have not been very patient-oriented or better for Norwegian care for the elderly. I'm stuck with it. Does the Council of State believe that time use has been correct?
ParlaMint-NO_2017-05-03.ana.ud198e1147	Yes, the time has been right, and it has been reasonable. It may seem surprising to the representative that this is a point, for example. to have allowed the system of training of managers in the sector to function for a few years before coming up with such a reform. But these are some of the experiences that we have, among other things. from the reforms undertaken by the Workers' Party towards the municipalities, e.g. The cooperation reform, which was a reform for which the municipalities were not well prepared, and for which many municipalities have had to struggle with the effects of long-term, simply because it was too little time to enable the municipalities to accept the reform and implement the expectations that the reform created. That error does not want this government to repeat, and that is among other things. one of the reasons why this reform came at the right time and will be implemented, as we see it, in the right way.
ParlaMint-NO_2017-05-03.ana.ud198e1155	‘As the Norwegian Association of Nurses refers to, there is a great shortage of nurses, and we are at risk of missing 30,000 nurses within 20 years. At the same time, the number of applicants for education has risen by 2.7 per cent, and there are a total of 3,566 more applicants than in 2016, according to Coordinated Recording. Nevertheless, the Right-Fremskritsparte government proposed no further study places in the State budget for 2017. How, then, will the Council of State ensure adequate care for the elderly?’
ParlaMint-NO_2017-05-03.ana.ud198e1162	Access to adequate and competent personnel is a prerequisite for good and safe health and care services. As Minister of Knowledge, I work closely with the Minister of Health and Care to get this done. Future personnel and competences challenges in health and care services — including in the case of nurses — cannot be met only with individual measures, but must be met with several measures at the same time. This involves educational capacity, implementation, recruitment, innovation, division of tasks, organisation and a number of other factors. These are central themes both in the primary health message, Report. St. 26 for 2014-2015, Primary Health Service of the Future, and in National Health and Hospital Plan, Report. OJ L 347, 20.12.2013, p. 671. The notifications also mention changing and increasing staff and competence needs in the case of nurses and promote responses to needs. Good management, skills-enhancing measures and opportunities for continuing training are important for recruiting and maintaining nurses in municipal health and care services. The government is committed to this in order to get more people to choose such jobs, and this is promised in these big messages. I would also like to stress that it is very important that municipalities follow up their responsibility to organise good practice. It provides many advantages for municipalities to receive and train nurse students in practice. Through relevant project tasks, students are prepared for their future profession, employees in the municipal sector are updated and stimulated for professional reflection and are given access to wider professional environments at the educational institutions. This also increases the possibility of developing professional and research cooperation and innovation. Overall, this can contribute to increased competence and quality in municipal health and care services. Positive experience from practical studies could also contribute to the recruitment of labour by allowing municipalities to motivate nursing students to apply for a job with them when they have completed their education. In this year's state budget, the government has put off about $12 billion. to actions under the Competence Plan 2020, which is the Government’s recruitment, competence and professional development plan for municipal health and care services up to 2020. Competence commitment 2020 covers more than 50 actions in the 2017 budget year, broken down by six strategies. We have increased the appropriations for the further training of employees in the municipal care services. This also includes increased funding for national leadership training for primary health services, so that from the autumn of 2016 there were 160 managers who started this study. We need leaders who know where the shoe prints, who know how to demand employees with the right skills, and who organize the work well. In the case of admission to nurse training, which is part of this recruitment work, it is not there that there is less education. The survey has increased since 2010, and if you look at the figures, for example: from 2010 to 2016, they have gone from 4,885 to 5,422. The number of persons who have completed this training has also increased, by about 20 pst. from 2010 – from 3,179 to 3,784 in 2016. In other words, it's going in the right direction.
ParlaMint-NO_2017-05-03.ana.ud198e1175	Here we were told about many good measures taken to improve the quality of nursing as a subject, what we can do in the municipalities, and what can be done in our educational institutions, etc. But what I asked you was how we're going to increase the number of people who actually work as nurses, in addition to those we have today. I don't think the council responded to that. We need more nurses. We need not only better quality, but also more nurses. Like some other areas where there is a greater need for skills in the labour market, for more people to take up vocational education, there have been no more places to study. There have been some places of study in ICT, where we need massively many more places of study. Nor has anything from the government been presented there – very few places compared to the need. Why won't the government set up more places to study?
ParlaMint-NO_2017-05-03.ana.ud198e1180	The government is to set up and have done more study places. In the health field, for example: in the field of health technology, to which we have given money. But the biggest discussion with the Workers' Party about study places has been that the Workers' Party at least seems to have wanted to use it as a kind of countercyclical policy. I think that has been a bad idea and a bad policy, because it is mainly new jobs you need. As far as the question is concerned, my point is that if you look at the numbers, it hasn't been a negative development. Rather, there are both several nurses being admitted to the studies, i.e. students, and several candidates, with an increase of 20 pst. from 2010 to today. It is also true that the recruitment challenges of the future, as I explained, cannot only be solved by increasing the number of places of study. And finally, of course, every year when we put together the state budget, we assess the need for more places of study – and we will do so this year as well.
ParlaMint-NO_2017-05-03.ana.ud198e1187	Why the Workers' Party is promoting proposals for more places of study, obviously the Council of State Røe Isaksen has better answers than we do, he believes – that it is about countercyclical policies. It's about a need. The Council of State may, of course, ask the Confederation of Nurses or ICT Norway whether this is a counter-cyclical policy for them. No, it doesn't. It is about the fact that there are vacant jobs that need to be filled by professionals. That's why we have to increase the number of places of study as well. That's the primary reason. In addition, there is, in fact, a very good response when there is such a high unemployment rate among people under 30 years of age, and once again, the nurse’s study is among the 10 most popular studies in Norway. You would easily be able to fill out many places of study with highly competent students. It's true that it's increasing, but it's not close to the need. So the question remains unanswered: why doesn't the government do more to satisfy the need we have in the future, by training enough nurses?
ParlaMint-NO_2017-05-03.ana.ud198e1192	I did not believe that the increase in study places in itself is a counter-cyclical policy. My impression after meeting this several times during this ageing period is that the Workers' Party was at least earlier, when the unemployment was on the way up – now it's going down – very concerned about it as a counter-cyclical measure. Now leave it, because now it's the nurses we're talking about. The simple and complicated answer is that the government has spent most of its resources on other recruitment measures that are important in the healthcare system and on municipal health and care services. It's important to us that when we look at the numbers, it goes in the right direction – there are more nurses. So the question is, why haven't we presented it before? No, it is because we have had other priorities that have also been important in health and care, in health and knowledge, but in future budgets we assess every year – also because we know that there is a great need – whether we need more places of study, both within ICT and within the nursing study.
ParlaMint-NO_2017-05-03.ana.ud198e1203	‘The new care scheme will be an improvement for many, but some will be considerably more difficult. Parents of anti-developmental youths over 18 years of age, who have previously been entitled to care when the youth has become seriously or critically ill, are now losing this right. This applies to few families, but they are hit hard. It appears to be an incomprehensible change. How will the Council of State ensure that these families do not receive even more burdens as a result of this tightening?’
ParlaMint-NO_2017-05-03.ana.ud198e1210	I am pleased that the representative agrees that the government's proposal for a new pension scheme will be an improvement for most people. There was also a great deal of agreement here on the Stortinget a few weeks ago when a new scheme was adopted. Today, the scheme is characterised by a complex regulatory framework with many demanding conditions of judgement and exceptions. It makes it difficult to understand the nature and challenges of dealing with administrative matters. In a new arrangement, therefore, we wanted to simplify legislation, while wanting to extend the system so that we could include more parents and their sick children. One of the measures was to combine two different provisions, one with a 12-year age limit, and the other with an 18-year age limit. We thought it was right that the parents should receive care allowance as long as the child is considered a child under the Swedish Social Security Act, and therefore proposed a general upper age limit of 18 years. It is a significant extension. When children reach the age of 18, they are regarded as adults and are granted independent rights in the social security system as adults. This applies to disabled persons as to health care. When a person reaches the age of 18, he/she will be able to receive his/her own living benefits from the State, such as: disability insurance, which shall ensure that the person can meet his or her necessary needs. Furthermore, aid may be granted to long-term sick persons with special needs for supervision and care so that they can establish private care. This applies even if a person lives at home with parents after 18 years of age. We therefore proposed to remove today’s rule of exception that care should be given to parents of home-dwelling mental retardants over 18 years of age in those periods where they have a very serious illness. I would like to point out that it is a primary municipal responsibility to provide the necessary health and care services to families with large care obligations. The representative’s group will be chronically disabled and will have long-term needs, even after the age of 18. These families will have plenty of time to plan and establish cooperation with the municipal relief and service services, including on how to deal with acute situations. I trust that the municipalities and hospitals, in cooperation with the relatives, can handle this. I would also like to point out that we are now including permanently ill children in the care scheme. These are today only in subtle exceptional cases. It is a major extension and will benefit many families with people with developmental disabilities.
ParlaMint-NO_2017-05-03.ana.ud198e1225	This is a small group, but there are families who already have it very tough. Many of these children – because maybe that's what you have to call them even if they're 18 years old – can't stand to understand. They're very dependent on someone who actually understands them. Then it's not just to conjure up people who can handle it. Who will follow these children when they reach the age of 18, if their parents lose their pension rights in the law? Will it then only be up to each municipality to take care of it? Doesn't the Council of State see that this tightening is unfortunate and will affect these families, and not least the users, who are in a completely different category than other sick 18-year-olds who can talk their own way, while this is young people who are totally dependent on close relatives who can contribute to an extra difficult situation?
ParlaMint-NO_2017-05-03.ana.ud198e1232	In the future, care allowance, as at present, will provide a temporary guarantee of income for working parents to care for their sick children. In addition to that, we have aid and the municipal welfare service. It is a municipal responsibility today to provide good and sound services to its citizens. Social welfare benefits are mentioned. In addition, municipalities may also have other arrangements, where they and their families make arrangements around the families. There may be other needs for those over 18 who live at home than for those who live in institutions. People living in institutions can also get help from others. At the same time, it will be very often that it may be good for children over the age of 18 to have their family with them. I trust that the municipalities, together with their parents and hospitals, will be able to find good solutions for the families involved.
ParlaMint-NO_2017-05-03.ana.ud198e1239	I'm not sure if I share that trust when you see how the system actually works today. It works very randomly, and these are very vulnerable families. In addition, aid is a social benefit that the family receives until the child reaches the age of 18. That's when the aid fails. Care allowance, or what was previously called care pay, is very arbitrary from municipality to municipality, so there is no guarantee in that way either. I understand that there has been a need for simplification. I recognise that there has been an improvement in the care scheme, but the question is whether the Council of State will follow this development closely and see if these families get an extra burden and an extra problem when their young people might be hospitalized and unable to understand. Will the Council of State follow this closely?
ParlaMint-NO_2017-05-03.ana.ud198e1246	I notice that the representative does not leave the municipality much trust. I choose to trust that municipalities will find good solutions with their families. But to the specific question of the Council of State will follow this up: Yes, it is obvious that we have to follow up on it. We are now implementing a major reform within the care scheme, where we include more than twice as many users — an estimated 9,000 more users than is currently available. We double the budget and make significant simplifications and improvements, including by reducing the disease requirement. That we're going to follow up on the scheme is obvious. It is important that we also make sure that the reform does not have unintended consequences. Of course, the change that the representative makes will be one of the things that you'll have to look at.
ParlaMint-NO_2017-05-03.ana.ud198e1256	‘The representatives of the Government of the parties have several times assured that the Government will arrange for payment information from Nav to be sent in the mail to those who need it. We are still informed that this has not been completed. Why has the Council of State not fulfilled these promises?’
ParlaMint-NO_2017-05-03.ana.ud198e1263	Yes, on several occasions I have answered both orally and in writing to questions from Stortinget about Nav's practice regarding the monthly payment notices to the pensioners. In my replies, I have stressed that all decisions and new information that are to be considered as important messages under the eManagement Regulation should continue to be sent in writing to people who are not digital users or who have reserved themselves against receiving digital mail. However, monthly payment messages which do not contain new information compared to the previous month’s payment message are not considered to be an important message requiring the message to be sent as a mail to those who have reserved or are not digital users. However, the Employment and Welfare Act will always send a message if the performance changes beyond regulations and changes in rates and will continue to send the annual task to users. If users have reserved for digital mail, they will receive the annual task and such notices of changes in the mail. Those who do not have a PC, electronic identification or self-registration skills can contact NAV Kontaktsenter and get these payment details read out. In specific cases, users may still need to document income information. In such cases, the user may also request the printing of the payment message. As I replied to the representative Erlend Wiborg on 29 March this year, the supervisor at NAV Kontaktsenter together with the caller will assess whether there is a need for a printout in the individual case. Such needs will, for example: be whether the user needs documentation for a loan request or to complain about possible mispayments. I have asked the Working and Welfare Department to act flexibly towards those who contact NAV Kontaktsenter. This has been assured by the Director of Labour and Welfare that they will be, and I have no indication that it will not be followed in practice. The experience so far is that there are relatively few who are now asking for this information to be provided in writing. There were relatively many requests when this was new, but now the enquiries are back on some normal level, i.e. how it was before the change was made.
ParlaMint-NO_2017-05-03.ana.ud198e1273	Thanks for the answer. It wasn't much new in the answer the Council of State now gave. I expect that when the said representative Wiborg writes in his reading that the Progress Party is clear that Nav has to show flexibility to its users asking for printing their pensions – there are actually many who need regular letters in the mail to feel secure that they get the pension they need – it means that if you want to receive a letter in the post each month as a pensioner, you can get it. If not, please provide incorrect information in the letters sent by the representative Wiborg. Then there is a question for Hauglie: Will the Council of State contribute to a uniform view between the representatives of the Progress Party in the United Kingdom who are responsible for this, and the Council of State?
