ParlaMint-NO_2017-10-18.ana.ud398e28	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2017-10-18.ana.ud398e844	This is, as the representative Bøhler says, a big project, and it's in the heart of Oslo. That is why we are committed to a good anchoring through a good dialogue with the Oslo City Council and the City Council, and they have given their support to the main actions of the regulatory plan. We also regularly orientate the Stortinget, among others. by means of the budgetary proposals. So it's right as the representative says, that we had a good discussion about this in 2015, and after that the project was scaled down by going from 25 m 2 to 23 m2. We informed already in December 2015, and so on in the 2017 budget proposal, that it was not relevant to go further with R6 – and for security reasons. But we're still going to evaluate how we can use R5. We believe that it should be possible to use it for government functions. It will also be considered a step by step development, so that we have the flexibility that we have been constantly alerting.
ParlaMint-NO_2017-10-18.ana.ud398e854	I thank you for the additional reply. It is clear that 9 000 m2 is a rather insignificant downscaling of a project on – I think it is – 144 000 m2, which it is about now. But if you keep five departments that are in R5 today, that's going to be a big change in the building volume. So I think when you're doing architectural competitions, you're doing design, you're going into these stages, you need to make the decision on the use of R5. The Council of State refers to a good process with the City Council in Oslo, etc. I noticed that the town councillor in the evening post commented on the winner of the architectural competition, he called the project a desert and used quite strong words that the city council wanted, among other things. further use of the OD. I have seen a number of editorial articles in various newspapers — several representatives of big business, former prime minister and former foreign ministers have taken up the debate. In those contexts, the Council of State refers only to safety reasons. My question is: isn't there a need to think about whether the security reasons are going to be as much of a public debate as the Council of State seems to be?
ParlaMint-NO_2017-10-18.ana.ud398e863	Now, the public debate is probably somewhat more nuanced than the representative of Bohemia. I also want to say that I am pleased with the involvement of Bohemia in this matter, and that the representative on several occasions has taken it to open discussion in Stortinget – I think that is very important. Just because the new government quarter is going to be open, it's going to be inclusive, it's going to be part of the city center, it's important to focus on different considerations. And there are different reasons why both the previous government and the current government have focused on collecting the ministries. It is also about efficiency in government work. It's about avoiding closed streets and securing many buildings around Oslo, which is also part of how to open the city more. So it's a total assessment. But when we make the decisions, it has to be based on the facts, and that means that when the final decision on R5 is to be made, it has to be fact-based, and then we have to know that this is also safe, otherwise I am absolutely sure that there will be new rounds about it in the Stortinget as well. But I look forward to further discussion and openness around the development of the new government quarter.
ParlaMint-NO_2017-10-18.ana.ud398e871	‘There is a broad consensus on the use of tax money to stimulate innovation, but State aid should not distort competition. Under EEA State aid rules, investments are to be made under market conditions. Innovation Norway granted Moods of Norway a 5 million risk loan. in February, after several years of deficit. They did not receive any more loans from the bank, and there was considerable uncertainty as to whether the business would be profitable again. Does the Council of State mean that we should spend public tax money on such, perhaps illegal, risk loans?’
ParlaMint-NO_2017-10-18.ana.ud398e878	Stortingsrepresentative Grung asks questions about a loan Innovation Norway gave to the company Moods of Norway in February this year. The loan was five million. kr and was granted under the district risk loan scheme. This is a loan scheme managed by Innovation Norway on behalf of individual municipalities, in this case Sogn and Fjordane. The objectives and premises of the scheme are referred to in the annual budget proposals of the Ministry of Local Affairs and the Ministry of Modernisation, which state that regional risk loans are to contribute to ‘a value-creating business in areas of scattered residence and large distances’. Loans ‘can be provided for the top-level financing of estimated profitable investment and development projects which are difficult to finance in the private credit market. Loans may be granted both to start-ups and to established enterprises’. I manage as well-known state ownership in Innovation Norway. The Storting representative, Grung, explains his question that: ‘In accordance with EEA State aid rules, investments shall be made under market conditions’. I agree with Mr Grung that this is a fundamental principle, but at the same time the State aid rules provide for a number of exceptions to this general rule. It is these exceptions that allow many grant and loan schemes to target districts, SMEs, sustainability, research and innovation. These are well-founded exceptions that create values for society. Therefore, many of Norway’s Innovation loans are granted on other terms than the loans of purely commercial operators. This is also the basis for the appropriations adopted by the Stortinget for the company and in the government's proposals for the State budget. Compliance with the State aid rules is something that the Ministry stresses in the dialogue with the company, and I perceive that the company also has a lot of attention in its work. District-based risk loans have been notified to ESA and are anchored in the regional aid exemptions. Innovation Norway makes independent assessments and decisions in individual cases, based on the assignments and leadership given to it. No aid shall, of course, be granted in breach of State aid rules. In the case of Innovation Norway's sponsors, i.e. the state and state, we mainly follow up our purpose with the company through our annual reports and evaluations of the company.
ParlaMint-NO_2017-10-18.ana.ud398e899	Thanks for the answer. As I see it, there is a difficult balance between giving risk loans and at the same time having widely accepted the population about how we manage public funds, not least tax money. I think it is important to have a public debate. After I sent over the question, there was also an answer from Innovation Norway, which I think is positive. Is it the case that there are different conditions relating to risk loans in districts than elsewhere? Are they fulfilled? A postdoctoral doctorate from the Bergen Faculty of Law also asks whether this is in accordance with the EEA rules. The Minister refers to the fact that it has been lifted on a general basis. Is it so that the Minister will check whether this is happening on a case-by-case basis, where questions have been asked, for example: on this allocation? It turns out that shortly after that there was actually no basis for profitability, and the company went bankrupt – unfortunately.
ParlaMint-NO_2017-10-18.ana.ud398e908	I really don't have any trouble having a public debate on this, I understand that very well when there's a loan of five million. kr, and a few months after the company goes bankrupt. However, we must then assume that Innovation Norway has made a concrete assessment, seen as a potential for the enterprise. It is not that a company is losing out, preventing the company from getting a risk loan. However, Innovation Norway should make a professional assessment of the underlying potential. I don't know what assessments have been made there. Innovation Norway should and must take these assessments itself and be in the position to take the decisions it makes. That is why I think it is good that they respond to these decisions. As far as our follow-up is concerned, it can be based on individual events, individual companies and a reference in the newspaper. We can, of course, ask questions, but our main follow-up takes place through ownership dialogue where we ensure that Innovation Norway reaches its goals. There is a difference between risk loans in districts and central banks. And it's reported to ESA.
ParlaMint-NO_2017-10-18.ana.ud398e915	Thank you for the Minister's reply. Another issue that has emerged in the wake of the aid is that owners have established company structures where they have made significant dividends. How does the Minister address this issue, by the fact that companies that have gone well for a long time – and it is good that they are making money – make dividends in their own companies, and then apply for loans to what is left of the business?
ParlaMint-NO_2017-10-18.ana.ud398e922	Here I rely on the law that we have, which is quite thorough and good in terms of bankruptcies. Then, of course, the creditors of a company are going through how the rules for this have been complied with. There are very clear rules on how to deal with a living, given that for example. is insolvent. I expect that the bankruptcy review will be clearer about what has been done is done in a legal and correct way.
ParlaMint-NO_2017-10-18.ana.ud398e931	‘The world over is organised Equal Pay Day to mark the global injustice that women earn less than men. The UNIO is marking the Equal Pay Day today, 18 October, as a symbol that their members from this date onwards and out of the year work ‘free’ if they compare with the man-dominated groups of equal education. What concrete action has the current government taken to ensure that the pay and income gap between men and women is close, in addition to referring to the social partners?’
ParlaMint-NO_2017-10-18.ana.ud398e938	The fundamental principle that women and men in the same activity should have equal pay for the same work or work of equal value is enshrined in Section 21 of the Gender Equality Act. In 2016, the average monthly salary for full-time women was almost 88 pst. by the level of men's wages and salaries. The main reason for the difference in pay is that women and men work in different sectors, enterprises, professions and jobs. Women dominate in the public sector, while men work more in the private sector. The level of employment of those with higher education is higher in the private sector than in the public sector. When we correct for the profession, industry, sector and length of education, the pay gap between men and women is halved. Compared to other countries, female participation in employment is particularly high. This must be seen in the context of a broadly based family policy, which facilitates the combination of work and care tasks and the increasing education of women. There are now more women than men taking higher education. When we know that those with high education work more full-time, we can assume that the convergence between men and women continues. A new report from the Statistical Centre shows that working mothers are approaching the working hours of fathers. A proposal to strengthen the provision of the Working Environment Act on the right of priority for part-time employees to an extended position rather than new jobs was sent to the consultation this summer, with the consultation deadline of 31 October this year. The aim of the proposal is to reduce the use of involuntary part-time and thus to ensure, in particular, a more stable relationship with the labour market, which in turn will have an impact on wages and salaries. Equalisation of pay differentials between women and men will be more rapid if women and men choose more education and later occupations across the traditional gender-based labour market in Norway. Further wealth growth depends on a well-functioning labour market with a high degree of adaptability. The government is responsible for ensuring that laws and regulations facilitate such flexibility in the labour market. But I would like to make it clear that the social partners are responsible for the formation of wages and salaries. TBU and the Government Contact Committee are key meeting points to build a common understanding of key challenges for the Norwegian economy. The principles of equal pay for work of equal value are established. And both the parties and the government are concerned that wage-fixing continues. But the causes of the inequality are complex, and knowledge is important. In TBU, wage trends for women and men are closely monitored. During the previous ageing period, the government set up a working group of the Employment and Pension Policy Councils to deal specifically with gender equality issues, including: through various research projects. The government supports, among other things: the ‘Women and Technology’ programme, the aim of which is to increase the share of girls in technology at all levels of the education system. Women's participation in the labour market and education are approaching men. As underlined, inter alia: in the government’s perspective communication, it is important that these developments continue.
ParlaMint-NO_2017-10-18.ana.ud398e959	We are still in a situation where equal pay has barely improved over very many years. It's moving forward, but it's going too slow. The Council of State is right in that if we equalise for sector or working time, it is somewhat more similar. But we can do it, for example. include financial income and the fact that men still own most of the properties in Norway. When the government chooses to give large tax cuts to those who own many shares, it increases the income gap in society. I thank you for the answer to what the government has done about action now, but I would also like to ask a follow-up question: What new action will the government take in the future – in addition to referring to the social partners – to ensure better equality between men and women in terms of both pay and income?
ParlaMint-NO_2017-10-18.ana.ud398e968	It is important to stress the responsibility of the parties for the formation of wages and salaries in Norway. It's a little difficult to imagine how to intervene in the formation of wages. There are priorities that the parties make in the various sectors. We do a lot. As I said, we have now had a proposal on the right of priority for full-time, that once you have had a part-time job, you can have a right of preference for posts that are published. We support several projects to contribute to more untraditional choices. I mentioned girls and technology. I could also mention ‘Human in Health’. We have changed the working time rules in the Working Environment Act, precisely to contribute to increased flexibility for workers. We have also started several projects and set up working groups in different departments, just to look at how gender differences affect. We also have high levels of competence in the sectors and sectors where women dominate, because we know that skills can also affect wages. If you go from a part-time job to a whole job, you get better access to skills. Competence also contributes to increased wages and salaries. We see that evolution is moving in the right direction. [[President clubs]]
ParlaMint-NO_2017-10-18.ana.ud398e977	Nicholas Wilkinson, please.
ParlaMint-NO_2017-10-18.ana.ud398e982	I have to say, now I'm a little disappointed. What I asked about was what the government would do now, in addition to referring to the social partners – and we got to list the same grips that the Council of State sprang off in its first post. What I'm asking is, what new grip will the government do for equality? Let me start in a very important field for us in SV – as a good suggestion for where the government can start. Yes, there is some grip on the priority of full-time. That might be good. But we have a lot of problems. I'm about to meet Madeleine. She's a health worker, she only has 19 pst. job and want to work more, but do not get the opportunity. We know that 40 pst. of women working part-time, against 16.8 pst. of men. We also know – as the Council of State says – that there are often major problems in the public sector. Will the government join forces with SV to ensure a full-time right-holding, so that we can get more in the full-time position, especially in the health and care sector, but also in the rest of the public sector?
ParlaMint-NO_2017-10-18.ana.ud398e989	Our common well-being depends on more jobs. Unfortunately, a little too many jobs are part-time on a voluntary basis. Our task, of course, is to remove all the fences that prevent involuntary part-time. Let's do that – among other things. with the proposals which have been consulted. The hearing period has not yet expired, so we will return to the follow-up to the hearing opinions. But the main challenge today is that too many work part-time on a voluntary basis. It's important that we remove the fences that keep people outside. We're doing more things now. Among other things – as I said – we have started several projects under several departments. There is work going on now, which of course will be followed up when the work is completed during the year. We have the skills enhancement that we have now started in important women-dominated sectors – in the teaching profession, in the kindergarten profession. The Competence plus scheme is important precisely in order to enhance the competence of those who are unskilled. We know that skills can lead to higher wages for those who currently have low skills and small job breaks.
ParlaMint-NO_2017-10-18.ana.ud398e999	‘Norwegian newspapers are already in a difficult situation with failed advertising revenue and circulation. Why does the government choose to make the situation even more difficult by cutting production aid, which too many editorials are necessary for further operation and for the digital transition?’
ParlaMint-NO_2017-10-18.ana.ud398e1006	First of all, I would like to congratulate the representative Gharakhani on his place in Stortinget, and not least on being a member of the important Committee on Family and Cultural Affairs. I hope for good cooperation and many interesting debates, not least on media policy in the future. Free independent media is part of democracy's infrastructure. The government believes that one of the most important things we can do to help the media through a demanding transition phase is to stimulate the necessary innovation and innovation. There is a need to make changes to current media support. The government has already taken important steps to modernise the media policy instrument. We have introduced VAT exemptions for electronic news media. In itself, there may be an indirect increase in media support of about 450 million. kr in 2017, i.e. significantly more than the press support itself provides. To next year, the value will probably rise. The government announced in the Sundvolden statement that the press support would be changed over time, and the level would be reduced. Therefore, as a follow-up to our declaration, we propose a cut in direct aid of 18.5 million. kr. We know that the totality of press support today is about 8 billion. kr. Media support shall facilitate the diversity of newspapers. Nevertheless, five newspapers receive more than half of the production grant for news and news media. The government believes it is time that we take a thorough review of how the grants are used and distributed, in order to ensure a good media diversity for the future as well. That is why we are going to discuss this carefully in the big message that we are going to present to the Stortinget. We consider twisting a larger part of media support against innovation, towards development, and we have taken a first step on the way through the proposal for next year's government budget, where we have established a new innovation-driven local government grant scheme. After years of downsizing, a pressed media industry is not saved only by maintaining the level of production subsidies, where more than half of the funds go to a few newspapers. Instead, the Norwegian media industry needs media support that is being developed and modified as a result of a change in media world. Therefore, we must contribute to innovation and innovation so that the media can find sustainable business models in the future.
ParlaMint-NO_2017-10-18.ana.ud398e1021	I believe the Minister of Culture must listen. The Minister lacks insight into the challenges of Media Norway. Her argument is that cut contributes to innovation. Well, press cut means less innovation. In a short time, 1,000 journalists have disappeared from the editorial work. Google and Facebook have eaten almost 3 billion. of the advertising revenue. In concrete terms, the government's cut means that 30–40 new journalists disappear from the editorial work. Media diversity is an important part of our democracy. The Minister for Culture is responsible for media policy. It is to contribute to more media pluralism, not less. The Minister for Culture has also designed the cut-off proposals so that it is the big, meaningful newspapers that are hit most, i.e. those that are the most quoted. My question is whether we see a new media policy from the Minister of Culture – not a best friend strategy, but an unfriend strategy, where the media houses that disagree most with the Right get the biggest cut.
ParlaMint-NO_2017-10-18.ana.ud398e1028	I agree with the representative that it is our job to ensure a free and independent press. Free and independent media are part of the infrastructure of democracy. Although media pluralism points to self-financing, it is also an important task for us politicians to ensure this independence. I believe that today’s support – the press support that was established at the end of the 1960s – does not provide the media with a sustainable business model, which ensures media pluralism across the country and ensures the transition to the digital platforms. We see that the most important thing, as many people point to right now, because digital subscriptions are being increased rather than paper paper- paper- paper- paper-bonnettes, is the introduction of the zero-moms, as the Workers' Party said, was very difficult, but as this government introduced, which now provides indirect support, is an increase of about 450 million. kr.
ParlaMint-NO_2017-10-18.ana.ud398e1033	The working party has stood in front of the zero-mom. The right was one of the last to get on the track. I also hear the Minister for Culture saying that she is protecting localities, but I suspect that the Minister for Culture does not want a public debate that the production aid has stood still for several years with the Right and the Advance Party, and has repeatedly been proposed cut in. Let me use a concrete example from my beautiful county, Buskerud, which I know well about the Minister of Culture, and the Eikerbladet: From 2013 to 2016, advertising revenue has fallen by 2.5 million. kr. They've done a lot of cost cuts. During the same period, the press support has only increased by NOK 4000. So my question to the Council of State is, how does the Minister of Culture think she's protecting local newspapers, when the smallest newspapers get really cut because their support isn't adjusted for price and salary growth over several years?
ParlaMint-NO_2017-10-18.ana.ud398e1042	I have to inform the representative that in fact some of the last working party said before they left the government offices four years ago – luckily it starts to be a long time ago – that it was impossible to do anything about introducing the zero VAT. So this government – despite what the Labour Party has said – has put it in place, and a lot of newspapers now claim that it is the most important contribution to creating more innovation and ensuring that several subscribers switch to digital. Then there is no secret that we have been concerned about changing the device of the production grant, because we believe it does not ensure a good enough and wide enough media diversity. That is why we are now in the process of a big message, which we are going to present to the Stortinget, where we are working on solutions that ensure that the press and a media industry that are in a very demanding transition phase get the tools they need to secure a free and open press in the future as well.
ParlaMint-NO_2017-10-18.ana.ud398e1052	This question, from the representative Kjersti Toppe to the Minister of Justice, will be answered by the Minister for Immigration and Integration, who will direct him.
ParlaMint-NO_2017-10-18.ana.ud398e1057	‘The Ministry of Justice and Defence has initiated and funded a campaign to prevent refugees and migrants from taking advantage of travel. The campaign shows a doctor who says to a person that the hospital staff will refuse treatment because he is missing a document. Will the Council of State take a clear distance from the contents of this information service, and what does the government do to correct the image created by the ruthless Norwegian body that refuses patients health care?’
ParlaMint-NO_2017-10-18.ana.ud398e1064	Over the years, the Ministry of Justice and Defence has financed information measures aimed at potential migrants without any need for protection. This is about taking responsibility in a situation where very many migrants are making a risky trip to Europe on a failed basis. We know how dangerous such a journey is. Many are subjected to assault, exploitation or kidnapping. According to international organisations, the situation of migrants in Libya is now appalling. Many travel without knowing this risk. Smugglers misinform and paint a pinkish-red picture of what awaits in Europe. It is therefore important to disseminate realistic information on the risks of travel and life as migrants in Europe. Information measures are targeted primarily at potential migrants, not refugees. But refugees also need information about the risks of travelling, and I am sure that most people themselves will balance the risk of staying home, seek protection in a country in the region and travel to Europe. In 2014, an information campaign was launched in Somalia, which was funded by the Ministry of Justice and Defence. The aim was to provide such realistic information to potential migrants. The comic book representative Toppe refers to was part of this campaign. This shows that the main person does not receive health care after getting sick in response to the Norwegian cold climate. This is not about merciless doctors, but reflects Norwegian legislation. The reality of being illegal in Norway is that a person does not have equal rights to health care in line with the population otherwise. This includes, for example: the absence of access to health care for general health problems, as referred to in the comic book. This is the message in the comic book, and there is no reason to correct this picture – rather the opposite. It is important that this information is made clear, so that, among other things. Somalis without a need for protection who consider leaving home get a realistic picture of their lives in Norway and in Europe.
ParlaMint-NO_2017-10-18.ana.ud398e1079	I disagree with the government that this comic book deals with people seeking help for general health issues. Most people look at this comic book in a different way. the Medical Association has reacted strongly to this presentation, and they have written letters to the Ministry of Justice and Defence that they believe that the presentation of the doctor who refused treatment to the patient is very unfortunate as information from public authorities. It breaks the values and policies of the Medical Association and can lead to a breach of the trust of all patients to a doctor. So they're asking for a correction of the picture that's now being created. Are the councils disagreed with the Legeforening? And won't the department correct the created image?
ParlaMint-NO_2017-10-18.ana.ud398e1086	As I have explained, the Ministry believes that this is simply a description of what is the law in Norway. If you are illegally staying in Norway, you do not have the same health rights as you do if you are legally staying here. That is why we believe that there is no reason to correct this, nor are we going to take the initiative. Then, of course, we will send a written reply to the Medical Association, where we also explain this.
ParlaMint-NO_2017-10-18.ana.ud398e1093	It is true that it is not the same legislation, but we have a regulation in Norway for health care for people without permanent residence in the kingdom. Health is, of course, a fundamental human right enshrined in international conventions. The regulation on the right to health care services in Norway states that everyone has the right to circumvention of health care, to health care that is absolutely necessary and cannot be expected, to necessary health care before and after birth and abortion and to infectious diseases. Children have also extended dishes. They have the right to the necessary health and care services from both the municipal and specialist health services. When the Council of State refers to health as a single procedure, it makes it so that it does not have a document in Norway, it does not receive health care. This should be corrected, and I'd like to ask again whether the council sees that a should nuance the picture and the production that has been created in this comic book.
ParlaMint-NO_2017-10-18.ana.ud398e1100	In the case of this comic book, there were general health problems related to a cold. Then you have no rights to get help. Then it is quite right, as the representative points out, that there is legislation under the Ministry of Health which clarifies the time when health care is required in case of illegal residence in Norway. This was last revised and made clear in 2011. That was when the representative Toppe's party put into government, and I would therefore believe that she also supports the legislation on which it is based today. But as I said, we believe that there is no basis for correction, simply because the case mentioned in this comic book does not include the rights referred to.
ParlaMint-NO_2017-10-18.ana.ud398e1112	‘According to Budstikka on 10 October 2017, Asker and Bærum are medically aware that the police response time at the weekends has become worse after the merger of the police districts, and that the medical officer has had to hire sentinels on weekends to ensure the safety of patients and employees. What does the Council of State think is the relationship between the lack of police preparedness and police reform, and what has the Council of State intended to do in this matter to ensure that the police’s ability to provide security is not impaired?’
ParlaMint-NO_2017-10-18.ana.ud398e1119	First, I would like to inform you that I have replied to a similar question in writing to Mr. Elisabeth Fanghol. As far as the situation at Asker and Bærum medical care is concerned, I would like to make it clear that it is the police chief's responsibility to solve the community mission within the applicable framework conditions at all times. The task of the police includes a number of tasks, a number of tasks, and good judgment on priorities is therefore important. The police directorate has obtained information from the police chief in Oslo, who reports that there have been 22 calls in connection with Asker and Bærum medical guard and Bærum hospital in the period 26 April–12. October of this year. None of these were registered as urgent tasks. I have been informed that a meeting has been agreed between the police and the medical officer in Asker and Bærum, where discussions will be held on how to create the best possible range of police services, among others. The toy guard. From the government in 2013, there have been 2,137 more annual police work. About 1,200 of these are police service women and men. This shows that a major and demanding reform period has not gone at the expense of police preparedness. At the same time, the close police reform provides a basis for a reduced response time through the establishment of larger and more robust police districts, operational centres and a strong recruitment process. In particular, the focus is on reducing the response time to the tasks of life and health at risk. Measurements show that the police on these missions mainly meet the targets set for 2017. Finally, I would like to stress that one of the main priorities of the government is to secure the population, to ensure security in society – something that we, among other things, do. has done through what is a historical bet on the Norwegian police.
ParlaMint-NO_2017-10-18.ana.ud398e1132	I thank you for your answer. Unfortunately, I have to record again that the Council of State contributes with self-confidence, while problems that are described are pushed down into the system. It is the Council of State who has overall responsibility for the Norwegian police. It is true that there has been an increase in the number of police posts, but it is above all the central bureaucracy that has increased. What has unfortunately happened in this period is that the police's ability to act in everyday life has been reduced. In 2013, the party went to the elections to drop the POD, but in four years the number of employees has almost doubled. So to the specific matter. In Budstikka, the head of the police operating centre in Oslo, Runar Skarnes, says that this is the situation in Oslo as well, and the police reform is about equal offers throughout the district. Do the councils agree? Should people in Asker and Bærum expect that one will still have to hire weights in the future, or can the Council of State guarantee that the local police will be strengthened, so that one will not hire weights in the future?
ParlaMint-NO_2017-10-18.ana.ud398e1139	As I just explained in my main response, it is – and has been – a historical bet on the Norwegian police. When you look at the efforts that have been made, Oslo police districts in particular have come out of it well. Some of the highest police density in this country, we're just finding it in the Oslo police district. They have a coverage rate of 2.4 per 1 000, which is significantly above the national average, which has a target of 2 per 1 000, but which is currently, with the increase that has occurred, has gone up to 1.83 per 1 000. So that's a good development. Oslo police districts have come out of it well, and it will continue to be visible through the force of the police also in Asker and Bærum.
ParlaMint-NO_2017-10-18.ana.ud398e1144	I ask again about the specific situation that people in Asker and Bærum experience. They feel that the investigation environment has been weakened, that the arrest has been closed, that the management of the new police district is both in and out of Oslo, and that one has had a dramatic fall in the number of attacks in the period after the reorganisation that has taken place. In May 2016 there were 112 attacks in Asker and Bærum. In May 2017, it was 32. My question is, when can people in Asker and Bærum expect an increased presence of the police, more patrols and more attacks than it's ever been?
ParlaMint-NO_2017-10-18.ana.ud398e1151	It is important for me to stress that when the police are in a reform, as they are doing now, it is demanding in the transition that all the increased police force is not as visible. It's a temporary phase while you're in the workforce, and then this will gradually become more and more visible. It is not right, as the representative has claimed, that the increase in the number of police posts has gone to bureaucracy – it is directly wrong. In the current year, when we've increased by about 500 new year's work in the police — and there's going to be even more when we get to the end of the year — the police districts are the only one and only priority. The police directorate, to which this representative and others refer, have a rather marginal percentage of police officers, about 50 is the correct figure, so I ask that the description of the situation at least stick to the realities and not describe something that is not right.
ParlaMint-NO_2017-10-18.ana.ud398e1161	I allow myself to ask the following questions: ‘The Nynazist organisation The Nordic resistance movement has recently increased its activity, for example in Eastfold. [[NMB]] The NMB encourages the persecution of ethnic minorities and the LHBT population. This leads to fear. The members of the organisation have also committed violence in Sweden. What measures have the police taken to counter the neo-Nazist organisation, both in general in the country and in specific Eastern police districts?’
ParlaMint-NO_2017-10-18.ana.ud398e1170	First of all, I would like to thank you for a question about a serious issue. Radical groups that create insecurity in words and actions are a very serious topic and must be combated. Although the problem in Norway at present does not appear to be smaller than in several other countries, it is important that we address the problems before they continue to grow and grow. This is the basis for the work of the Police Security Service in this area, the work of several of our police districts, on the part of the government, through the action plan against radicalisation and violent extremism and in the municipalities through a series of follow-up actions to people at risk of being caught by these types of groups. In the fight against right-wing extremism, police districts use all appropriate tools at their disposal, both in terms of prevention and in terms of criminal proceedings. Persons concerned about the right-wing environment are initially followed up by dialogue, clarification and follow-up. For example, in Rome, it seems that this has had a good, positive effect. The police also implement the necessary preventive and preparedness measures related to activities such as: right-wing extreme demonstrations, other activities which may lead to crime and corruption of order or which encourage crime. It is known, for example, that members of the Nordic Resistance Movement, NMB, in Norway have been reported for illegal demonstration. The ordinary police are also assisting the PST in their actions against far-right actors. According to the Police Directorate, every form of extremism is constantly being prevented in East police districts. East police districts have good cooperation with municipalities, county councils and other state agencies and non-governmental organisations. The Government's action plan against radicalisation and violent extremism is a guide to work. Several municipalities have also created their own action plans on the theme. Extremism is also a theme of most police councils.
ParlaMint-NO_2017-10-18.ana.ud398e1181	I thank you for your answer. I want to use the opportunity to give a description of the organisation we are now talking about. This is an declared national socialist organization that honors Adolf Hitler as a hero, and which believes that both the so-called homolobby and the so-called Jewish elite will be crushed. Their own programme says that foreign and domestic media acting hostile to the people should be banned and that a national court should be established to prosecute serious acts of treason. The undersigned himself has been referred to as a traitor to the people on their websites. It's not about opinions that we don't like, but about opinions that lay the basis for harming people. It's a romance of violence and a call for persecution. They have carried out a number of activities. In my own state they have had markings in several cities. Sometimes the police have allowed it, but in one case it was banned by the police. My question is: how consistent is police work in this field, and what action is being taken specifically to prevent this group from being organised?
ParlaMint-NO_2017-10-18.ana.ud398e1190	I can assure the representative that the follow-up of this group has been most seriously taken. As I just pointed out in my main post, the police security service has this high on its list. Then we also have to assume that the PST assessment is that, after all, it is unlikely that the right-wing extreme will carry out a terrorist action in Norway in the current year. High-recirculation in Norway is still characterised as unorganised, loosely linked networks. I agree with the representative that these are serious attitudes that need to be taken seriously, and then it is a concern that we see a development for growth and better organisation. We have to take that seriously. That is what is done, and I can assure the representative that it will be done.
ParlaMint-NO_2017-10-18.ana.ud398e1195	This group has applied for a demonstration under the slogan ‘Knus homolobby’ and was authorised to do so. Then it was withdrawn because the police were afraid that the counter-monstrants would make trouble. The demonstration was held in Kristiansand instead of in Fredrikstad, in my county. They had a marking on election day outside my own election venue in Sarpsborg. They've tried to lock up an election room in Arendal. They made a mark in Fredrikstad by 23 September, it was allowed by the police. They made a mark in Halden at the beginning of the summer, when I met them myself. They were removed by the police, and they then moved to Sarpsborg, where they were allowed to mark a mark. My question is: when, in the 1990s and early 2000s, a number of measures and programmes were put in place to combat neo-Nazist organisation, we saw it working. Then it was very necessary because these organizations committed violence. Now we see an increasing activity in these environments again. Can we wait until they commit violence before we see targeted programmes and actions?
ParlaMint-NO_2017-10-18.ana.ud398e1202	No, no, no. That's my clear answer. We have to deal with this at the current stage. We must prevent growth. We have to prevent a development where you see an increase in recruitment, as we have seen in a number of other countries around us. We have seen a very worrying development in Sweden with the same organisation. Fortunately, this is not the case in Norway today as we see in our neighbouring country Sweden. That is why it is important that we take early action, as we do, that we follow up through the Police Security Service and the ordinary police measures, but also that the action plan introduces good preventive measures that prevent the development of extremism. So this has to follow many tracks, and no single track alone solves the problem. But we're aware of that. We are introducing measures, and we should not allow this to develop in a negative direction with increased recruitment.
ParlaMint-NO_2017-10-18.ana.ud398e1210	‘In the election campaign, the Right decorated itself with promises of a reform of labour skills. It is necessary and the Labour Party has proposed a comprehensive reform of labour skills. But as far as I can see, there is no money put aside for any competence reform in the state budget for 2018. All I find is 25 million to a career guidance website. Is there a reform of the competences of the Right only on the Internet and not in the budget?’
ParlaMint-NO_2017-10-18.ana.ud398e1217	Let me start by saying that I am pleased that the Labour Party has again begun to talk about competence in the workplace. The Council of State for which I am the Constitutional Council said when he entered in 2013, that he had to blow dust from the policy of competence after eight years of red-green government. So let me start by saying a little bit about what the government has already done, and which are important steps that prepare the basis for the very reform of competence. Last year, the government issued a big message on lifelong learning and exclusion, in cooperation between the departments responsible for knowledge, working life and integration. The aim is for individuals to acquire skills and basic skills that can provide a stable and sustainable job. There is no quick-fix solution to this, but I want to describe some of the main measures we are taking. In 28 adult training centres in 10 counties, they sample a new scheme to enable shorter modules to be trained. Each module counts separately but is also a step on the way to full primary education. Similarly, from autumn seven county municipalities are testing modular training in eight upper secondary schools. Technology and digitisation require continuous development of labour skills. Through Competence plus, we provide financial support for more adults to acquire the necessary skills to master demands and change in their working life. That's why this is an item to which this government has increased funds, from 86 million. SEK in 2013 to SEK 150 million. kr in the 2018 budget. There is a significant strengthening and a good illustration of an offer made by the labour market and the authorities on how to empower employees. Let me clarify a misunderstanding in what the representative Christensen refers to as ‘a website on career guidance’. In Norway, we have not had a comprehensive career guidance system aimed at adults. At the same time, we know that good career guidance can help people through life to acquire the relevant competences that society needs. This applies to students seeking advice on further education, but it also applies to their 40-year-old neighbour who are at risk of the job being lost or automated. The government proposes to further develop the educational.no website to provide information to the adult population as well. In addition, the initiative involves the development of a chat function where those who need advice and guidance in order to make good choices in their careers and education can come into contact with professional career guidance staff. This applies regardless of whether it is students, their advisers, parents, adults or Nav staff who need this guidance. The idea is that we should draw on the skills of employees at career centres throughout the country, building on existing professional skills, while reaching a much larger group than today. I notice that several parties, including the Workers' Party, are now speaking hotly for a competence reform. I'm glad, and I think we can work together on this in Stortinget, even if someone is in opposition and someone is in government.
