ParlaMint-FI_2019-11-06-ps-59.u1	The fourth item in the order of business will be presented for the referral.
ParlaMint-FI_2019-11-06-ps-59.u101	The 11th item of the agenda will be presented for the referral. The Council of Presidents proposes that the matter be referred to the Committee on Agriculture and Forestry. A maximum of 30 minutes will be reserved for the referral. The proceedings shall be conducted in accordance with the procedures agreed on in the case of scheduled cases.
ParlaMint-FI_2019-11-06-ps-59.u102	Mr President! This government proposal to amend the feed law is a question of national implementation of the EU Control Regulation. In practice, these are technical amendments to the law, but they concern a very important and very topical issue, because healthy, safe and environmentally friendly food production is extremely important for all of us. By developing feed legislation, we ensure feed safety for animals and thus also the quality of animal food for us Finns. The Finnish way of producing food is one of the international leaders in terms of climate, environmental conditions and animal welfare. Finnish food production is the highest quality in the world as measured by many indicators. Food of animal origin is a strong part of Finnish food culture today and also in the future. For example, Finns will eat meat and drink milk in the future. By improving animal welfare, we can strengthen the confidence of Finns in our food production, and that is also what this change in feed legislation has to do with. Meat-eating and milk-driving will certainly not stop, and they will not have to end, but instead we must strongly continue to develop our agriculture in such a way that we guarantee farmers the conditions for sustainable work, including through legislation. Finnish animal production is the best in the world, and it is important that we together give it appreciation, even in such a way that everyone in our everyday life, for example, can support Finnish good, high-quality food production by promoting and buying Finnish food and drink.
ParlaMint-FI_2019-11-06-ps-59.u103	The 13th item in the order of business will be presented to the first reading. This is based on the report by the Administrative Committee on HaVM 3/2019 vp. The content of the legislative proposals is now being decided. — Mr Purra, Chairman of the Administrative Committee.
ParlaMint-FI_2019-11-06-ps-59.u104	Mr President! In February 2019, the Parliament adopted legislation enabling the integration of the tasks of the steering and development unit of the current Population Register Centre, Local Register Offices and Local Register Offices in the Regional State Administrative Agency of Eastern Finland into the Digital and Population Information Office to be established as a new entity. The changes will enter into force at the beginning of 2020, when the new agency will also start operating. The present Government proposal proposes to carry out technical amendments to the laws governing the tasks of the merging authorities, the division of powers between agencies, or otherwise referring to these operators, resulting mainly from the said organisational reform. It is also proposed to remove unnecessary regional jurisdictional provisions, as the Digi and Population Information Office is a national area of activity. The office of the Digital and Population Information Office also covers the province of Åland, where the duties assigned to the Local Register Offices, such as the duties of the guardian authority, marriages and the functions of a public notary, are carried out by the State Office of Åland. The role and competence of the Government Office of Åland will remain unchanged in the context of the change. The Government's proposal includes an amendment to the Sámi Language Act to extend the scope of the Language Act to the entire National Digi and Population Information Office. The change improves the linguistic rights of the Sami people. The Committee considers it important that sufficient resources are earmarked for this change. The proposed legislation will focus on the regulation of the register of persons maintained by Local Register Offices, Population Register Centre and the Government of Åland, with the exception of the Population Information System, on a new law on certain register of persons maintained by the Digi and Population Information Office. These authorities currently maintain a total of six statutory registers, which are governed by different laws. The committee believes that the proposed combination of regulation is justified by increasing the consistency of data processing and clarifying regulation. The amendments also update the regulation of personal registers in line with the new data protection legislation. Local Register Offices currently have 36 offices or work stations in different parts of Finland and the Population Register Centre. On the basis of the report received by the committee, the change has no direct impact on the number and location of existing offices in the combined operations. The localities where the Agency operates are excluded from the site network provided for by the Government Decree and are to be included in the Agency’s Office’s Rules of Procedure. The Administrative Committee has pointed out that, despite increasing e-services, some of the Agency's tasks and services require visitation due to their nature. Services requiring such personal services include, for example, civil marriages, public notarial certification services, the registration of foreigners and trade confirmations. Moreover, not everyone has access to information technology or the ability to use it. The Committee stresses that the availability of agencies' services must be ensured so that the services requiring visitation are within reasonable travel time. It is therefore important that the site network of the new agency is also sufficiently comprehensive. The Administrative Committee considers it necessary that the services of the Digi and Population Information Office are fully available throughout Finland. In order to ensure the availability of services, the committee proposes a statement for approval by Parliament: ‘The government requiresthe government to ensure the availability of quality services of the Digital and Population Information Office throughoutthe country, taking into account the needs for visits, The committee stresses the need for careful consideration and, if necessary, changes to the legislation of the Digital and Population Information Office so that it does not unnecessarily hinder the development of the Agency's activities and services by means of digitalisation. However, the committee notes that such changes are justified by the good way in which the legislation is drafted. The Committee welcomes the fact that the Ministry of Finance is currently assessing how the new agency will make use of the reputation of the Local Register Office as a traditional institution. The committee believes that a localist brand can and should be used at least partly in the services and communication of the new agency. Mr President! The committee supports the adoption of the legislative proposals contained in the government proposal, largely unchanged, but proposes certain technical amendments to five legislative proposals and the adoption of two new legislative proposals in order to take account of the legislative amendments previously adopted. The committee's report is unanimous.
ParlaMint-FI_2019-11-06-ps-59.u105	Mr President! During this autumn, there has been a turn on the network of local register offices and services in a situation where the functions of the current Population Register Centre and the Local Register Office are combined with the new Digi and Population Information Office as from 1 January 1920. There are currently 38 local register offices in different parts of Finland. However, it was recorded in the official proposal of the Ministry of Finance that only 18 of them would have been registered in the Government Decree. For the remaining 20 seats, the decision-making power over their fate would have been in the hands of the new agency without any political influence on them. In Finnish, in the Government Decree, the offices would have been safe in only 18 cities. In the remaining cases, there was a clear risk of their abolition as an official decision. This would have meant a further concentration of services. We, as a centre party, want to secure high-quality services throughout the country. For this reason, a phrase was added in our proposal: ‘The government requires the government to ensure the availability of highquality services by the Digital and Population Information Office throughoutthe country, taking into account the needs forother visits, the lack As has already been said, our committee was completely unanimous on this. It is very important for the equality of citizens that all over Finland there are services at a reasonable distance in the future. In my opinion, it would make sense in future to decide on all or at least most of the decisions relating to the site networks by means of a joint decision of the entire Government in the Government Regulations. Mr President! Finally, I would like to say that the name of the Digi and Population Information Office should continue to be the Local Register Office. Clumsy word monsters are not conducive to bringing citizens and the state administration closer together. Or how would you feel about getting married in a place called the Digi and Population Information Agency?
ParlaMint-FI_2019-11-06-ps-59.u106	Mr President! For my part, I would like to thank the committee for the fact that, just as we have just heard through the representative, it requires the government to ensure that the services of the Local Register Office, the Digital and Population Information Office, are secure throughout the country. Local register office services will now continue to be available in regional cities and rural areas. It is also particularly important that the committee's position on the need to take account of the fact that not everyone is able to do digital work online, but that we also need a personal visit to the Local Register Office. Although services can and must be provided via the Internet today, the importance of nearby facilities is still very important. Firstly, not everyone has knowledge or access to a computer, and it is not always possible to replace personal advice with a telephone service. The extensive network of sites and its security also serve the population, but it must also be taken into account that it employs in the region, when the dense network of services of the local government is present in the region, and it also sends a message to the region that the state administration is present and that there is a desire to take care of us. These are the very care we need for a small person everywhere in this country.
ParlaMint-FI_2019-11-06-ps-59.u107	Mr President! We are therefore dealing with a proposal from the Government which includes legislative changes concerning matters related to the Population Register Centre, the Local Register Office and the Regional State Administrative Agency of Eastern Finland. This package was approved last season, and now the government proposal needs to be specified. This is what we have discussed in the Committee on Administration and, as our chairman, Mr Purra, has just pointed out in this regard the committee's position, which was unanimously adopted there, so it is of course important that this government proposal improves access to these electronic services and also harmonises practices and processes. We also had a lot of discussion in committee about the Local Register Offices and the name of the Digi and Population Information Office. But when it was discussed and discussed last season, it was found that it is not the best possible, but when there is also a name contest and so on, this is what is going on. However, in this report, the committee pointed out in this name that we welcome the fact that the Ministry of Finance is currently assessing how the new agency could continue to operate using the reputation of the Local Register Office as a traditional institution. The committee believes that this localist name can and must be used at least partly in the services and customer communications of the new agency. One thing, too, which was discussed quite a bit by the committee was these different age limits, which relate to digital or e-services, and in particular to the age of children and young people who are able to use e-services and the age of children and young people who are also able to see things related to the child. And the committee would like to draw attention to ‘from the point of view of the development of legislation, including for the treatment of underage children and their ‘Article 8(1) of the Data Protection Regulation provides that personal data processing is based on consent Member States can set a lower age limit for this purpose and, last season, when this data protection regulation was adopted, there was a major debate about whether it was 13, 14 or 15, and then it ended up in this 13 year period. And in the context of the adoption of its data protection law, the committee has stated that setting age limits as such is, in principle, quite challenging for the individual development of children and young people. It is important that the information of the child's guardian is properly safeguarded, but then also the right of the child and young person to take advantage of the services of the information society and to participate in digital culture and the use of electronic services must, of course, be made possible and not unnecessarily restricted. Mr President! As regards this debate on the proposal for a statement adopted unanimously by our committee, since this whole will be nationalised and now in the future the Digi and Population Information Office will also be able to share the pressure on regional services in such a way that if there is a large number of people in another region who need services and another part does not exist at the moment, then — and this will enable it — the services will also be able to be provided and used regardless of time, the committee saw fit to make a statement to ensure that this is available to Parliament: “The government requires that the digital and demographic information agency’s quality services be secured throughout the country, taking into account, among other things, the needs of visitation, the lack of IT equipment or user competence in part of the population, the reduction of the capacity of the authority due to ageing and illness, and the need of linguistic services in both national languages and Sami languages.” Mr President! Although Mr Huttunen has just made it clear in his speech that all autumn there has been a turn on these offices of the Local Register Offices, it must be said that there has been no twist in the committee on this issue. We have all been in complete agreement on this issue. We asked for a draft regulation on the Ministry of Finance and unanimously discussed this availability of services and unanimously said that there would be a place for a statement here, and that was also adopted unanimously. That, as Vice-President of the committee, I did not in any way recognize this ‘full autumn’ of Mr Huttunen.
ParlaMint-FI_2019-11-06-ps-59.u108	Mr President! During the last parliamentary term, I was the minister of responsibility, who presented a law in this Chamber which was adopted in February 2019, in which, indeed, the Local Register Offices and The Population Register Centre was put together. First of all, with regard to this name issue, whenever new entities are put together, it is difficult to find a good, concise name in Finnish, they easily become word monsters. We prepared this, among other things, so that we asked Mr Kotus, the Centre for the Languages of Finland, for a statement on this, but there were no very simple proposals for names, and this was then formulated as the Digi and Population Information Office in the Ministry. I share the idea of what has become here in the speeches, that the Local Register Office is called this kind of historical and traditional name, and I would not think it bad at all, if in the future, when these are truly combined, could also be used in a way as a "helpline" to show where these services of the Local Register Offices are all in all. I am pleased that the committee has made this unanimous statement, which, in my opinion, is a good report that we want to safeguard the services of the state administration in the whole of Finland, in particular the Local Register Offices. I also drew attention to this point raised by Mrs Talvitie about how this new agency is national. It will, of course, give the possibility that if there is congestion at the local register office there will also be assistance in these matters. That is a good thing, but it does not rule out the fact that we should not have a relatively dense establishment network in these matters, and that is why I welcome the fact that this statement has indeed been put here. Then, on a more general level, I would like to say that, when we know that, in fact, for a long time now, our network of state governments has been reduced locally or regionally, I understand very well that public confidence in both the state and political decision-making is being undermined by such decisions, i.e. the experience that services are becoming increasingly elusive. Indeed, not everyone has the opportunity to handle them via digital, and it is therefore important that there is also physical contact. In fact, this development, where we are now, has taken place in several decades and many governments. During the last parliamentary term, the coordination group on regionalisation carried out a report on the development of local government offices over several Government term periods. It was harshly reported that these establishments have never been reduced in general from regional centres, towns and cities, but that they have generally been reduced from the regions' second, third and fourth largest cities or sub-regions. We all know, as parliamentarians here, that this is going to be very much feedback. I would like to say that a few ten years ago quite a few points of the law provided for the location of those establishments. Then we went more and more to the government regulations, and then we went to the ministerial decrees, and then there are the agency's own rules of procedure, which govern these places of employment. It has already been pointed out in these previous speeches that there is a certain problem here. I'll take an example. It is just any decision on the government agency that we are here to legislate, then we usually give a decree when it comes to legislating, and we may not always know where it is going. After all, we should always have a regulation here in the context of the law on which we give the power to adopt a regulation. This is not always the case. I welcome the fact that, at this point, the Administrative Committee itself has also wanted to look at the draft regulation that will only be adopted and adopted after the adoption and adoption of the law. This development has been achieved by the fact that, as Members of Parliament, we do, in a way, bear its political responsibility if we have distanced it and put it at lower levels of regulation. In practice, if it is not in the Government Decree which is adopted at the General Assembly of the Government, then it may be in the Rules of Procedure of the Office and then an individual official, usually the Head of the Office, can then make the decisions of the Office accordingly. He never comes out of it in public, so to speak, to take on his coat, but to take on representative Talvitie or whoever at any time, in whose territory these decisions come. That is why I think it is very important and I would like to see representatives awake on all the committees in this House, because this applies to everyone — there is, of course, a lot of decision-making in the Committee on Government Administration, but there are many other committees dealing with point networks — representatives are awake on these issues and we understand what it means when a regulation is adopted, and then there is a greater understanding of the government when it comes to making Government decrees or then making ministerial decrees, that very carefully, very little is given the opportunity to decide on offices in the Rules of Procedure.
ParlaMint-FI_2019-11-06-ps-59.u109	Mr President! Thank you very much to all the representatives, to the members of the Administrative Committee for a clear and good presentation of the matter. Local government includes police services, local register offices, enforcement offices, prosecutors' offices, employment and economic development offices, tax offices, Customs and legal aid offices. Although services are currently available and things can always be handled via the Internet, the importance of establishments close to them remains important. Not everyone may have the skills or even the ability to use a computer, nor will personal advice be replaced by a telephone service. Not only does the extensive establishment network serve the inhabitants of the region and employs, but the dense service network of the local government also sends out a message to the regions that the state is present and the state cares. As Mr Vehviläinen has rightly pointed out, there is some kind of failure to decide on the site network. Thus, the network of local government offices is currently defined either in the Government Decree, the Ministry Decree or as an agency's own decision. In practice, for example, the decisions taken by the Minister for the Interior have allowed police stations to be closed down, the decisions taken by the Minister for Justice have allowed for the closure of a new, significant office of the Office or, in the present case, the Director-General of the Office could have closed the premises. It would therefore be reasonable for all site networks to be decided in the future in a Government decree, i.e. by decision of the entire government.
ParlaMint-FI_2019-11-06-ps-59.u110	Mr President! The development of digital services is important, but it is good to remember that we now have almost a million citizens who cannot, can or can not use digital services, and that is why, alongside the development of digital services, we must also take care of the services provided by telephone and face-to-face and also the quality of them. In order to ensure this, this committee's proposal for a statement is very much to be welcomed. We have sometimes had a period of digital leaping, where the development of parallel services has been too limited when it comes to these digital services directly. Similarly, it is very important that this provision of services throughout Finland is also included in that statement. To the extent that, hopefully, the development of these digital services will also take greater account of accessibility, as digital services can be developed either more easily or more easily. Unfortunately, I have noticed that often when digital services are developed, accessibility is still forgotten, i.e. they are developed from an engineering point of view, and the user's point of view is too often forgotten, and this should now be given special attention. Finally, Mr President, I too wish that we could continue to talk about the Local Register Offices. It is a very traditional and well-known name, and the citizens know and recognise the Local Register Offices well, and it is sad if this valuable name becomes obsolete in the future.
ParlaMint-FI_2019-11-06-ps-59.u111	Mr President! A direct follow-up to Mr Mäkisalo-Ropponen's speech: I agree with all of these, including the fact that why this kind of digital and civil service agency — whether this was called, or what terrible name it was, and of course it will be shortened at some point by initials and there will be one more acronym — when we have a classic localist. I am very strongly of this opinion on the name issue. But my actual speech relates to the same subject which has already been raised here, namely this digital exclusion. Finnish society has now started to measure, as it were, that we are at the forefront of development in the development of these digital services. Everything will be transferred to a digital format. The system is penetrating throughout society. I cannot, in itself, criticise it because it is probably the future in some form, in any case, that more and more of this operation through networks will become part of our life-form. But at least in this transitional period we must take into account the fact that we have a large group of people who are unable to use these services. There will also be them in the future, then we will probably be talking about people who have physical problems with this to do, but at the moment we have quite simply the reality of ageing in that people live in a different reality than this world at the moment. I have a very recent statistics on Statistics Finland concerning the population of people over 65 and the extent to which they have mobile phones and computers at their disposal. Start with over 75-year-olds: almost 80% of people over 75-year-olds — 77% of Finnish citizens over 75-year-olds — do not have a computer. 88 per cent do not have a tablet, so 90 per cent do not have a tablet either. And it is even the case that 16 % of all over 75 do not even have a mobile phone, which means that they are genuinely excluded from this modern technology. Between 65 and 75 years, 40% of people do not have a computer. We currently have 300,000 people over the age of 65 who do not have computers or computer capabilities. If we now transfer basic services to a computer-based digital world, we will have a large number of people who will be dropped off. This is genuine age discrimination, Mr President, genuine age discrimination. And in this respect, we in Parliament must be very careful that this digital leap, as this term was correctly used, is brought to a halt in such a way that we respect people's ability to be involved in development. They have the right to certain basic services, and they must be guaranteed to all people in a natural way, and cannot go on the terms of the digital world, on the terms of technology, but must go on the terms of the people. Mr President, I would like to underline this.
ParlaMint-FI_2019-11-06-ps-59.u112	Mr President! The Finns also believe that people's terms must move forward on these digital issues.
ParlaMint-FI_2019-11-06-ps-59.u113	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u114	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u115	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u116	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u117	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u118	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u119	Mr President! I will return to that availability of services from a couple of points of view. Firstly, we have talked a lot about this accessibility of services in the Administrative Committee last season. When things are simple and common and follow the so-called normal path, e-services are quick, smooth, user-friendly and easy, and so on, but it always requires a telephone service, personal advice, physical access to e-services. We will never get to such a Finland — even though I myself have been a diploma engineer and had dealings with these matters — where all the business in our Digi and Population Information Office would be merely electronic. Then on that point raised by Mr Vehviläinen, the Minister for Digital Affairs and Local Government of the last period, namely this power of regulation, which Parliament has with regard to the offices: it is a big mandate, and in many places I have now noticed that there is no regulation there in the government's proposal, and that is precisely the kind of thing that it is important for all of us in the parliamentary committee to deal with. However, we have the right to ask the Ministry what kind of regulation is coming, and in that sense there is also the responsibility, because we know that people have different backgrounds at the offices, and when I come from Oulu, I also know that there is a long way to go, but there is sometimes an even longer way to go. So when they say someone's far away, it seems to be far away in the imaginations. I have heard that people working at the Helsinki office, for example, consider Pasila very distant, if the office is in Pasila or if you have to go from Helsinki to Pasila or if you have to go from Helsinki to Espoo, but often to Oulu people who come to meetings and other Helsinki, that trip is quite short. In other words, the political power and responsibility that we have here in Parliament, in relation to the power of regulation: as Mr Vehviläinen pointed out, political responsibility lies with us. Let me finish briefly: I will ease the concerns raised by Mr Mäkisalo-Ropponen and Mr Kiljunen about this name of the Local Register Offices. Indeed, the committee unanimously stated that we encourage the local register offices to be able to and must take advantage, at least in part, of the new agency's services or customer communications by the name of the local register office and, in particular, of this traditional feeling.
ParlaMint-FI_2019-11-06-ps-59.u120	Mr President! Now there has been a good discussion both in this Chamber and in that Administrative Committee on this Digi- and Population Information Office issue, and it has been really great to see how this kind of customer orientation has been the starting point for all of us. Many times, when you develop your operations, then you lose the customer perspective, and yet the main reason why these services exist is precisely the customers and the fact that your services are running smoothly. Thank you to Mr Kiljunen for the good reminder that not everyone is yet digital in Finland, and we must ensure that all public services are equally accessible. This reminder will probably continue to be needed in many different contexts. Now that this issue has been discussed here and we are familiar with it, it is well noted that it is aimed both at developing and harmonising policies and processes, and then at not compromising the fact that services are still attainable and that they must be accessible and also such regional equality will be achieved. That was a very central starting point in the committee, as has already been heard, and we unanimously raised this point there. It is important that this is now digitally able to develop these processes and become this kind of national domain, which will then enable, among other things, better staff specialisation and the fact that the human resource is in more efficient use. But it does not in any way exclude the possibility of still keeping to the points of contact, this site network. It remains to be seen how well it will be in practice and how well these resources will be sufficient for it, but at least I would like this to be an example now, that this work will continue to be carried out in this same way as state services are being developed, and perhaps even more can be considered in such a way as to enable the various services of state agencies to function at the same point, so that we can continue to take into account the fact that very often people also need that human contact and not just electronic means are not sufficient. Yes, much of this name has given rise to debate. Not only does it seem very clumsy and rigid, but it is also part of accessibility. When you think about how easily people feel about which agency you can get what service, the name is also very central, and not just that this is a very clumsy and linguisticly rigid name. The hope is that in the future, however, the local register office as a brand name will still be able to survive. Thank you to Mrs Vehviläinen for the background that what is behind this, because indeed in committee too much of this was discussed and it was very much wondered that this kind of name has been drawn up. A little while ago, when it was clarified that there was a name contest behind it, we wondered how bad the other proposals that have been lost here must have been when this has been the best. But I'm sure there's a lot of work to be done here and there, but let's hope there's still a local register name in the future. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u121	Mr President! Thank you, Mr Juvonen, for raising this clear language quite separately. Plain language is part of that accessibility and accessibility, but even less is said about it so far, because accessibility is all too often understood as a mere lack of physical accessibility, even though it is an observation of all senses. Plain language is a very important part of this total accessibility. After all, we are estimated to have as many as 700,000 people who would benefit from plain language. This group includes a wide range of people, including people with memory problems, people with disabilities, but also immigrants. So using this would be very useful for a lot of people. Fortunately, we have had a couple of good example organisations who have taken up this challenge. For example, Kela is now trying to make guidelines and forms in English in the future. And if I do not remember quite correctly now, for example, the Central Hospital of Satakunta has also decided that their instructions in the future will all be plain - language. Surely it is also good news for all patients and customers that they are plain language in terms of readability and understanding of their instructions. And I really do hope that we will take up this challenge more widely in the various organisations and bodies of society, because it would be the equality of communication that comes from where it is understandable to everyone.
ParlaMint-FI_2019-11-06-ps-59.u122	Mr President! I, too, would have returned for a moment to this name issue when it is so strongly expressed in everyday use. I would like to register in this context as such cultural conservative, even though I think I am radical. We should be able to appreciate that past history. Too often we try through appointments and by giving a new name, as it were, to dispel the reality behind it. The cleaners become institutional administrators and so on, we have plenty of these examples. But if I just think about an everyday event when so many people go to the Local Register Office even if they marry, will they then marry the Digi and Population Information Office in the future, or will they marry to DVTV or what? Why do we complicate people's lives, associations, our culture? Respect the past, give it space, reform society, but we don't have to change everything by force.
ParlaMint-FI_2019-11-06-ps-59.u123	Mr President! Thank you, Mr Mäkisalo-Ropponen, for your excellent speech. In that sense, plain language is also important to us all, that at the point when that hard drive in that brain starts to be full of stuff and text and performances, it is always easier to understand when it is spoken in plain language. That is why it is important that, here in Parliament too, we use that language every now and then. I would like to highlight this digital exclusion in relation to older people and, in particular, in relation to banking services. After all, banking services today have to use that computer and pay with bank credentials for their bills, but not all older people have the opportunity to do so, and then the bank will deal with these issues. Of course it pays for the bill, whether it's a payment service or it does it at the ATM, if there's still one at the bank. It would be very important for the elderly to face up well in banking services and for the banks to direct, advise the elderly in banking services and develop, for example, a basis or model for learning how to pay the bills. On the other hand, if you don't have that computer, you can't do that either. This is particularly true for older people who, for example, are being treated, hospitalized and unable to pay their bills. In that case, you may have to go into enforcement, which means you have payment problems because you can't handle the bills, and maybe no one's even there to take it forward. Important things. There has been a lot of talk and a lot of talk about this presentation. These were the comments I now had on this issue — to take into account the elderly in the future in this digital network and in the world and to take care of their affairs.
ParlaMint-FI_2019-11-06-ps-59.u124	Ärade Herr Talman, Mr President! The office of the Digital and Population Information Office also covers the province of Åland, where the tasks assigned to the Local Register Offices — such as the duties of the guardian authority, marriages and the functions of a public notary — are carried out by the State Office of Åland pursuant to Article 3(2) of the Registration Administration Act. The role and competence of the Government Office of Åland will remain unchanged in the context of the change. However, the jurisdiction of the Government Office of Åland should be governed by specific legislation, as the Registration Administration Act will be repealed when the Digi and Population Information Office Act enters into force. The Digital and Population Information Office and the Government Office of Åland will continue to act as joint registry administrators within the meaning of Article 26 of the EU Data Protection Regulation. The committee considers the solution chosen to be justified and notes that the tasks, responsibilities and obligations of the joint controller are properly described in the proposed provisions.
ParlaMint-FI_2019-11-06-ps-59.u125	Mr President! I will return to this question of name. As I said here myself, I understand that this localist title should continue to be used to tell us where to find those services in this respect. This background is indeed related to the fact that we currently have the Population Register Centre, known as VRK, and then we have the Local Register Offices, and in this context, when this law was adopted in February 2019, we brought together the functional development tasks of state digitalisation, because they were very fragmented on different sides. It is known that, for example, the task of e-identification is a complex one, it has now been slightly altered in a different way, and perhaps in the future the bank identification lists that we are now using will be completely removed from our hands and we may even need a state identification solution. In other words, such things are also done in the so-called new agency. That's why it can't be called the Local Register Office. Cannot name the Local Register Office and below Functions of the Population Register Centre. In addition to Trafi, the Population Register Centre is one of the largest registers in Finland overall. I was just painting that if we had just put all these titles together, we would probably have the Population Register Centre, the Local Register Office and the Digital Office, and I don't know if it would be all right. It is really difficult to find a good name when you put such important, big functions together, but, as I said, I have nothing against it if this Local Register Office name is used in places where there is a Local Register Office service point, so that it is displayed and included.
ParlaMint-FI_2019-11-06-ps-59.u126	Congressman Kinnunen.
ParlaMint-FI_2019-11-06-ps-59.u127	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u128	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u129	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u130	Mr President! For the next time. Thank you to Mrs Vehviläinen for this clarification. It will help those who have not followed this process more closely to understand what is being sought. On the other hand, I think that there is such a thing as a concept under which there are different activities. If there is a ‘Senate-Requirements’ sub-item-directly,what is the Senate-Requirement? If we have the name ‘maistraat’, so in the future we will understand thatit also includes Its activities areextensional,butI do I'm not gonna start making them up here when they're here for names. In some way you would like to respect that name of the Local Register Office, it is so old, and there is such a clear picture of it. Instead, I wanted to take the floor — Mr Juvonen has already left — when he raised the nature of this digital banking service, and when I quoted Statistics Finland's statistics, I also read this statistics on older people in an online bank. It is useful for all of us to get these last figures for 2018. In other words, it is quite clear that the older the person is involved, the weaker he is in such digital services. It is divided into two parts: people between the ages of 65 and 75 — I belong to the age group — and 66% of these online banking services are used, i.e. one third of people between the ages of 65 and 75 do not use online banking services, and when looking at the forms to be completed in an online bank, 30 % of people between the ages of 65 and 75, i.e. 70 % do not fill in the forms. And when you go to older age groups, 75-year-olds and up, only 30% of those over 75-year-olds use online banking services, 70% do not. They don't use them, so they're the ones who're waiting in line outside the bank's services and paying heavy bills for using that old style. And the figures for filling out the forms are even more gruesome: only 10% of people over the age of 75 fill out the forms through networks, or 90% do not. These are the figures that are now coming from Statistics Finland for us to see. We see that this is a genuine, big problem for a significant number of Finnish people now, and we must be able to pay proper attention to this.
ParlaMint-FI_2019-11-06-ps-59.u131	The 14th item in the order of business will be presented to the first reading. This is based on the report by the Committee on Social Affairs and Health on StVM 4/2019 vp. The content of the legislative proposals is now being decided. — Mr Vehviläinen, Chairman of the Committee on Social Affairs and Health.
