ParlaMint-NO_2016-11-30.ana.ud343e28	The representative, Rasmus Hansson, will present a proposal for a representative.
ParlaMint-NO_2016-11-30.ana.ud343e1147	There have been repeated wolf observations in residential areas in Trysil municipality. A local government representative from the Right has also sent a letter to the Minister for Climate Change and the Environment expressing the concern it has caused, not least when a wolf flock of five to six animals has passed between the houses. I think most of us will realize that it is quite demanding when animals are taken almost completely until the house wall – 20 meters from where you live. Does the Council of State think that there should be a basis for taking out the type of nearby wolf, simply because it is such a major intervention in individual freedom that you have wolves in the community? Does the Council of State realize that the local population wants to remove the type of animal that creates so much unrest?
ParlaMint-NO_2016-11-30.ana.ud343e1154	I understand, as I said in my answer, that all situations where the wolf is near can cause fear. That is also why we take this seriously. In those situations, a good case-by-case assessment is important. That's why the State's nature agency, at notice, moves out to the site and observes the situation. If, in the current situation, the predator does not get scared away or if, for other reasons, it continues to show undesirable behaviour, it will already be assessed whether killing will take place. But the first thing you do is you move out. It calms the local population, and it allows you to make a professional assessment of what to do on the spot.
ParlaMint-NO_2016-11-30.ana.ud343e1159	Hans Peter Nyhuus, who lost two animals in his farm because a wolf crew went in there and took them, says in the newspaper Eastlanden that he is unable to apply for a breeding permit again, because he has applied earlier and only received a rejection. He thinks it's very demanding, and is a little disillusioned on the basis of it. Will the Council of State take the initiative to make it easier for the local population who have wolves next to their homes – where they lose animals, where there are wolves sniffing on the trampoline, where there is a wolf between the farm and the bus stop – to apply for a moulting permit, so that they can get those animals shot quickly, or does the Council of State think that today's system is good?
ParlaMint-NO_2016-11-30.ana.ud343e1164	Today, we have a system based on Stortingen's decision on wolf zones and stockpiles, and that we are obliged by the Berne Convention and the Nature Diversity Act, which lays down conditions for what is to be done to allow the extraction of a totally satisfied species as a wolf in Norway. It works well, and in situations where the wolf is close, it is, in my opinion, appropriate that we have a system in which the State's nature oversight moves out and can make an on-site assessment of what is necessary. First of all, as I said, the wolf is tried to scare, and if it does not work, other measures, including possible killing, are considered.
ParlaMint-NO_2016-11-30.ana.ud343e1172	This question, from the representative Anna Ljunggren to the Minister for Climate and Environment, will be answered by the Minister for Municipal Affairs and Modernisation, who will direct him.
ParlaMint-NO_2016-11-30.ana.ud343e1177	‘Access by nature is important for public health and recreation regardless of the size of your wallet. In those areas where nature is easily accessible, the population has a lower threshold for the use of nature than where nature is less accessible. Figures from the SSB show that the inner Oslofjord counties have the least accessible beach zone, while the available beach zone shrinks both in East and West Agder and in some areas of the West. How will the Council of States ensure equal rights to nature for all?’
ParlaMint-NO_2016-11-30.ana.ud343e1184	The beach areas are important to all of us – regardless of the wallet, of course – and we must avoid unfortunate expansion near the sea. Under the Law on Planning and Building, there is a general ban on construction in the 100 meter belt along the sea. Particular attention shall be paid, inter alia, to: outdoor life and nature. The prohibition may be waived through exemptions and through municipal plans and regulatory plans. It is the municipalities that are responsible for treating exemptions and adopting plans, and therefore it is the municipalities that are responsible for taking care of public interests and ensuring that we can all use the beach areas for recreation. I am confident that the municipalities will take this responsibility and that they will cooperate well with the county council and the county council. There are a number of leaders from the central team for dealing with issues in the beach zone, including under the current government. The beach zone is referred to in the main message on outdoor life promoted by the Ministry of Climate and Environment on 11 March this year. As shown here, the government is concerned with maintaining recreational values in the beach zone. In regions and municipalities where the coastal zone is already heavily developed, State protection of open air areas is a relevant tool. In press areas, it is also important to avoid bit-by-bit degradation. Good and comprehensive planning in the coastal zone is important in order to avoid gradual degradation through dispensations. I would also like to mention national expectations for regional and municipal planning, which was adopted by the Royal Resolution on 12 June 2015. This provides important general guidance for planning. One of the points highlighted in particular is that municipalities should take care of natural values and facilitate physical activity and well-being for the whole population by ensuring coherent green structures, open waterways and close access to areas for play, sport, recreation and short-air life. These leaders are well associated with the building ban in the beach zone. The implementation of the construction ban has been deepened through government planning guidelines for differentiated management of the coastal zone along the sea, from 2011. More concrete leadership has been given here for municipalities, to help with the treatment of planning matters and individual matters. The question refers to figures from the SSB showing that Inner Oslofjord has the least available beach area, and that the available beach area shrinks in East Agder and West Agder and in some areas of the West. It is true that these areas are most exposed to land pressures, and this is also some of the reasons why these areas have the most restrictive leadership. Although it is built in the beach zone, the number of exemptions from the SSB for new buildings in the 100 meter belt along the sea has fallen. In 2014, 1 107 exemptions were granted for new buildings in the 100 meter belt along the sea, while 719 exemptions were granted in 2015. The number of permits according to the plan has also decreased, from 1,194 in 2014 to 811 in 2015.
ParlaMint-NO_2016-11-30.ana.ud343e1201	In proposals for amendments to the Planning and Building Act currently under consideration by the Stortinget, the Government has proposed simplified rules for, inter alia, dispensation. The Environment Directorate has been one of the hearing bodies that has warned against this because they believe that changes could result in greater expansion pressures in the coastal zone and in green areas in densely populated areas, by lowering the exemption requirements. That means that a normal family, a regular walker, gets less beach, less green areas in the center to use for recreation and public health. Why does the Council of State feel that changes to the Planning and Building Act were so urgent that it took no time to carry out the necessary investigations into the consequences of how the plan and the law have worked in practice since 2009?
ParlaMint-NO_2016-11-30.ana.ud343e1208	The government implements major simplifications in the Planning and Building Act and the Technical Regulations, and it is with the background that we need fewer fights, shorter planning processes and lower costs. There is great pressure in the housing market, especially in the cities and in the press areas. The issue of Stortinget’s treatment is very important, especially in cities, in order to reduce the duration of treatment in some congestive measures. It is not true that the proposal for a derogation will make it easier to build in the coastal zone, because the proposition emphasises that this does not apply to important regional and national considerations. Important regional and national considerations are the coastal zone, cultural memories and cultivated land, so that the increased dispensability will apply in simpler cases where we believe that municipalities should have a larger local space for action.
ParlaMint-NO_2016-11-30.ana.ud343e1215	We'll come back to the debate on the Law on Planning and Building for next year, when this room is going to deal with it. However, in the nature diversity report and its treatment, it was emphasised that Norway needs increased knowledge of nature and diversity, and that it is urgent to develop a comprehensive ecological base map for the whole country. This will be an important work for municipalities in their plans and in the work on land management, so that valuable species, habitat types and nature can generally be secured against interference and degradation. Does the Council of State believe that the municipalities today have enough knowledge to ensure comprehensive management of valuable nature and open air areas, against degradation?
ParlaMint-NO_2016-11-30.ana.ud343e1222	It is a good question that really deserves a more complementary answer, because there are two important elements in it. One is that there is a general need for more knowledge and competence to take care of nature, endangered species and other biodiversity. The second is that many municipalities lack the necessary skills. I think that is a real problem, and that is also one of the important reasons why we want to implement a municipal reform with larger municipalities, precisely in order to gain more level competence. We know that is a problem in many municipalities, and I believe that larger municipalities will be able to strengthen their skills, but in addition, I agree with the representative that there is also a need for more general knowledge in order to take the necessary consideration of nature and the environment.
ParlaMint-NO_2016-11-30.ana.ud343e1230	I allow myself to ask the Minister for Children and Gender Equality the following questions: ‘For the third consecutive year, according to a new SIFO report, the number of people who still have payment problems is increasing. Private households have 90 billion. kr in consumption loans, at the top of 3500 billion. NOK in other liabilities. These numbers have never been so high before. At the same time, the government has negotiated putting in place a debt register and rules to stop the aggressive marketing of light credit. Why does the Council of State spend so long on this important work?’
ParlaMint-NO_2016-11-30.ana.ud343e1239	It is, as the representative was involved, that the consumption debt in Norway is about. 100 B.C.E. kr, and it rises by closer to 10 pst. annual. In addition, there are already very high housing debts. It is particularly worrying that many young people take on more debt than they can handle. High debt, in particular consumption and credit card debt, are expensive loans that create a number of challenges for some. The government is now taking three important steps in this area: we have sent proposals to consult on the establishment of a private debt register, we have been assessed on restrictions on credit marketing, and we have supported several proposals to strengthen training in the personal economy. It is true that work on a debt register has taken time. The establishment of a regulatory framework in this area is complicated. We have had to make assessments of both how the protection of personal data can be optimised and how the debt register can be operated in a safe and efficient way. The proposal has now been put to the consultation and it is intended that private operators will be able to obtain a concession to set up debt registry companies, which will then be approved by the public. We put up a very fast process in this matter and aim that the Storting can deal with the proposal during the spring. If it is adopted, there may be an opportunity to apply for the creation of debt registers as early as next year. The government has recently also been asked what scope we have for regulating the marketing of credit and thus slowing down the most ongoing marketing. The investigation shows that we have a relatively large degree of freedom in relation to EU legislation. The government will now review the investigation and assess whether any of the regulatory proposals should be followed up. The government has also proposed stricter credit card billing procedures and an obligation to refuse such cards if the credit rating so requires. We all have a personal responsibility for our economy, but the work on prevention and good knowledge of personal finances is very central. Here the school is an important arena. The Consumer Ombudsman and Finans Norway have developed an online learning tool for the personal economy, and the government has contributed to several actions in this area. Last fall, Finans Norway launched the «School Menu», a website with many different training tools in personal economy. Yesterday I participated with, among others. Young Entrepreneurship on a theme day on personal finances at Edvard Munch high school and met 800 dedicated students who were going to learn about personal finances. It is also important that there is a way out when economic problems have arisen. The Debt Scheme Act, which is designed to help those most affected by debt problems, is an important instrument that we are constantly working to develop and improve. I am pleased with the representative's commitment in this area and can assure that it is an engagement that both me and the government share.
ParlaMint-NO_2016-11-30.ana.ud343e1258	Thanks for the answer. In dealing with the state budget one year ago, both the Labour Party and the Christian People's Party expressed particular concern about the increase in payment notes and debt collection cases among young people. On the other hand, from the government parties there was silence in both the budget and the comments. Now it's been another year. As the Council of State had in mind in its answer, figures from the Financial Supervisory Authority show that the consumption debt is increasing by almost 10 p.m. annual. Today it's about 100 billion. kr. Half of this debt is related to young people aged 18 to 26. The concern we expressed last year is still very real. It is good that the aim is now to deal with a debt register case in 2017, but from the government drew the red-green debt register proposal and up to this year, the consumption debt among the Nordics has increased by 25 p.m., and with a particularly large increase among young people. What are the thoughts of the Council of State about it?
ParlaMint-NO_2016-11-30.ana.ud343e1263	Like the representative, I am concerned that this increase is taking place especially among young people. We know there are numbers that show that young people between the ages of 18 and 25 now have about this year. 1 billion. kr in consumer debts, and that is worrying. Debt records are one of these measures. One of the most important things we can do for young people is to provide them with information about and good training in the personal economy. It is important that it is put on the agenda at school, and I am very happy that many schools are doing this now. School Menu.no, which Finans Norway has launched, and economists.no, with which the government has been and funded, are involved in providing teachers with tools to teach young people what debt collection means, what effective and nominal interest rates are, and what it means to take up credit card and consumption debts. These are expensive liabilities that are important for young people to be aware of and to have sufficient information about.
ParlaMint-NO_2016-11-30.ana.ud343e1270	If the interests of the government parties in last year's state budget treatment were labs, we were equally active. We also called for measures to be taken against the aggressive marketing of loans and credit. Now we're on our way into another Christmas deal month where it's lured with quick and simple loans and credit solutions. A quick search on the Internet, for example, gives the following words are added: «Direct credit cards for Christmas trade» and «Christmas trade in consumer loans, consumer loans on the day». The latter refers to consumer loans as the optimal solution when one wonders how to afford to shop everything you need for Christmas. As I said, this was also pointed out last year. The question is then: What has the Council of State done from last year to this year to avoid this year's Christmas trade contributing to further indebtedness and more payment problems?
ParlaMint-NO_2016-11-30.ana.ud343e1275	I would like to stress that we all have a personal responsibility for the situation we are facing, but I am, like the representative, concerned that there is an aggressive marketing of credit that can be a burden on too many. That is why it was important for us to have an investigation into the scope for action we had against EU legislation in order to regulate and tighten the regulatory framework for aggressive marketing. We have now received this report, and it shows that we have a clear room for action. There's something the government will follow up to see how it's going to be followed up on. The Minister of Finance has also looked at proposing stricter procedures for invoicing credit cards and the obligation to reject applications for such cards if the credit rating so requires. It is very important for me to make it clear that both in next year's budget proposal and this year's government has referred to more measures in this area, which I am now launching.
ParlaMint-NO_2016-11-30.ana.ud343e1285	‘The Rural Association for Heart and Pulmonary Disease, LHL, has purchased Vertical Health AS for nearly 400 million. kr. With this, a group model with so-called vertical integration enters the Norwegian healthcare system, where a patient organisation becomes the owner of both a private hospital and a health insurance company that generates patients for them. In the Netherlands health insurance companies are either owned or strictly regulated by the country. Does the Council of State see any fundamental challenges with this new design in the Norwegian health sector?’
ParlaMint-NO_2016-11-30.ana.ud343e1292	Questions concerning legislation relating to these types of company concessions addressed by the representative are initially questions which fall within the responsibility of the Minister of Finance since the Minister of Finance is responsible for insurance activities. So I can't really go into this. However, I share the concern of the bigotry representative. The fact that the same company or group owns both hospital and health insurance activities may provide some unfortunate incentives that are not desirable either for the sector as such or for the patients. However, Norway has a quite different approach to the health sector from that in the Netherlands. It's also a relationship you have to take into account. The Dutch health system is based on a compulsory insurance scheme. From 2006, all residents were required to take out health insurance from a private insurance company, and the need for regulation is therefore quite different from that in Norway. There is a broad consensus in Norway about protecting our public-funded healthcare solution, where the population receives equitable distribution of healthcare as needed and pays on the basis of ability above the tax bill – not through insurance schemes. In the future, the vast majority of patients will be treated in public hospitals. We have also, among others: through the introduction of free choice of treatment, improved public-funded healthcare through greater freedom of choice and access to private health services, but nevertheless funded by the public on the side of insurance schemes. This reform gives patients more freedom of choice, reduces waiting time and stimulates public hospitals. The question that the representative raises is an important question that I hope the political parties and the Stortinget can also discuss further, because one looks here at a new situation that we probably have not been prepared for in Norway, and which is also the basis for discussing the principal aspects.
ParlaMint-NO_2016-11-30.ana.ud343e1303	I thank you for your answer. I see that the insurance industry is regulated by the Minister of Finance, but this is largely a discussion about how we should use public funding for treatment. We are now in a situation where a patient organisation will be able to communicate its own members through an insurance company and directly to a self-employed hospital where the public actually pays for the treatment in a good number of cases. It's in itself a new situation. That is why we should look at competition law and how we should regulate, if necessary, because in Norway, too, popular protection is an insurance scheme, just that we pay zero. In the Netherlands, all residents are required to pay. But there are the insurance companies agents on behalf of the patients and the buyers of the actors. The further question is whether the Council of State will take this into account in terms of money use.
ParlaMint-NO_2016-11-30.ana.ud343e1310	Our agreements with LHL and other private and non-profit actors have been reached through either long-term contracts or tenders. These are things that I think are quite well regulated. Vertical health insurance is a company that, as I understand it, both brokers and pays for treatment and also guides patients in finding out publicly funded offers. LHL is also a patient organisation that has the task of caring for patients’ interests. Here, then, there are three different purposes that come together in the same organisation. It is a situation that I believe has not been provided for in the legislation we have today, and has therefore not been part of the political discussion. I believe that the representative's question should be the beginning of a discussion on the principal aspects of this.
ParlaMint-NO_2016-11-30.ana.ud343e1315	Private health insurance was part of the 2013 election campaign and was partly behind the Right's desire to introduce free treatment choices – along with growing health cows. Free treatment options are now being introduced and are currently not being used by patients. Private providers in the health sector have not yet taken a great deal of interest and would like to point out that the economic conditions are not good enough. It may be an indication that access to patients is good enough for the private, either because patients will pay for themselves, or that there are insurance schemes that generate patients at a good price. Finally, my follow-up question is whether the Council of State is concerned that the choice of treatment has not been sufficiently successful in competing with private health insurance – which seems to be growing further.
ParlaMint-NO_2016-11-30.ana.ud343e1322	My commitment to the free choice of treatment has been to increase patients' freedom of choice and to use the free capacity of private individuals. So far this year there are about 1,000 patients who have received help through the scheme. There are 1,000 individuals — several of them in drug and mental health — who have received faster help and who have not least been able to choose help. I think that is positive. There are now about 50 different private operators who have signed up and applied to participate in the scheme, 30 of them have been approved. I am convinced that the scheme is going to increase in use, but it is not a goal in itself that as much as possible get help through free treatment choices. The aim is that patients have choices and that they get help quickly. As a result, 80,000 fewer patients are in line, waiting times go down, and most patients will naturally choose first of all to receive treatment in their local hospitals, if they have acceptable waiting time.
ParlaMint-NO_2016-11-30.ana.ud343e1330	‘The Minister of Health has introduced what is called a reform, which is to bring funds from public hospitals to private actors, as well as to implement ABE cuts in healthcare. For Southern hospitals, this means that they are in a critical economic situation. Revmatological department was asked to cut off their offers, which would go beyond the chronicler groups and especially women. Such measures reinforce the inequalities in healthcare. What action has the Council of State taken to prevent inequalities in the provision of health?’
ParlaMint-NO_2016-11-30.ana.ud343e1337	First, I put a question mark on the causal link that the representative here raises. This government, through its four government proposals, has facilitated and financed a higher rate of growth in patient treatment than the previous government has been able to achieve in some of its eight. It is also the case that free treatment choices are an important reform, even in the light of what the representative addresses as a topic, namely inequality. That's why the government and the cooperation parties have been very clear about prioritizing that these extended patient rights should first apply to patients with drug dependence and mental health challenges, because it is precisely in the area we see the greatest inequality in Norwegian healthcare and in our society in terms of health. A person who is addicted to drugs and has mental health challenges has an average life expectancy that is 20 years shorter than the population otherwise. I record that the Workers' Party is now going to choose to weaken the patient rights of this patient group. The representative then takes up the subject area of Revmatology at the Sørlande Hospital. This is a subject of strong development. The introduction of biological medicinal products in the treatment of Revmatological Diseases has resulted in better predictions and improved quality of life for patients. This type of medical development is an example of the need to change hospitals all the way, and to change the way they work, because drug treatment provides a smaller need for the patient to be hospitalised 24 hours a day, and less need for beds, and patients can be more likely to live at home and be followed up by outpatient services. Southern hospitals are now in a budgetary process for 2017 and will, like all other hospitals, consider how they can best use their overall resources to provide the best possible range of services for all patients. Revmatology is a changing area where patients can be treated more effectively outpatiently, while also seeing that we have the opportunity to switch medicines – to biosimilar medicines. It makes it possible to see that this is an area where we can get better results using less resources. Then it's up to the local hospital administrator to ensure that the resources benefit other patients who have a lot of needs. It is also in line with the priority message that Stortinget joined last night.
ParlaMint-NO_2016-11-30.ana.ud343e1348	So while the richest people can get the most out of the more than 20 billion in tax cuts, Southland hospitals have to deal with roughly 70 million. kr less than that promised by the Right. It is true, as the Council of State says, that the hospital is now in the financial evaluation of next year's budget, and that is a rather critical situation for many. The feedback I get is that it's at the expense of the profession, they're afraid that professionals are going to go to private, because there's been a more liberal economy. Revmatological department in Kristiansand is in the process of ‘cracking’, writing a superior in the Fedrelandsvenn yesterday. The Revmatik Association has been out in the media and has expressed serious concern about the situation at Sørlande Hospital in respect of revmatology. What will the Minister do to ensure that this crackdown stops, and what will he do to reassure patients and employees and assure them that this crackdown will not continue?
ParlaMint-NO_2016-11-30.ana.ud343e1355	As I explained in my first answer, it is so that Revmatology is a subject that is changing. This means that the way you have worked in the past is abandoned for the benefit of the patient, because providing outpatient medication is a better option than the old way of working. While often politically discussing that new treatment methods lead to increased costs for hospitals, we are here in the fantastic situation that new treatment methods are cheaper for the hospital and for society, while providing better results for patients. Change is difficult – in all types of activities, change is difficult. But change is also often necessary, not least by ensuring that the principles behind the priority are followed, and that we use the resources of society for health in such a way that we contribute to the best possible years of life for as many people as possible. It also sometimes means moving resources when it is possible to use resources better.
ParlaMint-NO_2016-11-30.ana.ud343e1362	I note that this Council of State is also pointing downwards in the system, pointing to local leaders who are going to implement the cuts that come from the department's political responsibility. This too, that change is difficult, has become a mantra for those who are responsible. Taxutt, which creates no more jobs, red tape reform that creates no fewer bureaucrats, but on the contrary more, election vows to hospitals that are not followed up, and commercialization, which draws the economy and resources out of public hospitals – that is the Workers' Party against. But these are conscious choices that this government has put in place. The Ministry of Justice has informed the Committee that they do not follow up on this reform, the red tape reform, with reporting or monitoring to monitor its impact. So my question to councillor Höie is: is the government council following up on the consequences of cutbacks to prevent more bureaucrats getting too weak groups in health care?
ParlaMint-NO_2016-11-30.ana.ud343e1367	The representation of the situation given by the representative here is not really messed up. What's the situation, is that this government has been able to prioritise a higher rate of growth in patient treatment in all four of our draft government budgets than the previous government has been able to in some of its eight. The second is that when you look at the economic space, it's not primarily used for tax havens. It is primarily used to strengthen the welfare of municipalities, to facilitate higher growth in patient care in hospitals and to invest for the future in research, development and infrastructure. That's absolutely necessary. At the same time, we see that it is not just that hospitals have received more money, but that they also receive more patient treatment out of the money. Eighty thousand fewer patients are now in line than are on the Labour Party's watch. Waiting times go down and more people get help.
ParlaMint-NO_2016-11-30.ana.ud343e1377	‘Altapost on 25 April 2016 stated that the four directors of health care establishments had taken a decision on the air ambulance in an AD meeting. According to the newspaper Dølen, the same AD meeting on 14 November 2016 took a new decision on the Ambulance Flows. The AD meeting is not a formal body, nor is it a case list, decision or referendum public. Is it in line with the law that directors of healthcare professionals can make important decisions about people’s health services other than ordinary management and public access?’
ParlaMint-NO_2016-11-30.ana.ud343e1384	The AD meeting is a forum where the four managing directors of health regions can discuss issues of common interest, including: the need for joint governance. In order to ensure an equivalent range of services across health regions, it is necessary to cooperate on common governance issues and strategies prior to regional case preparation and governance. This also applies to matters relating to the joint ventures. The AD meeting is not a formal body and has no decision-making power. The authority to take decisions lies in the different regional health establishments, where the anchoring and involvement of trustees and the protection service takes place. The boards of directors of undertakings decide matters which are not within the scope of day-to-day operations. To the extent that decisions are taken at the AD meeting, each Executive Director shall take a decision within the limits of the powers conferred on him by his or her Governing Board. Paragraph 26a of the Health Business Act provides that meetings of the Board of Directors are, as a general rule, to be held for open doors. The deliberations of the members of the Management Board and the basis on which they are based are therefore public. The meetings in which the administration participates as part of the preparation of the case for the consideration of the Management Board shall not be public. In this specific case, the individual Executive Director has taken decisions to outsource the basis of competition for the provision of ambulance air navigation services. This has been done within the authority granted by the Management Board. For example, in the acquisition of ambulance helicopter services: the power of Health Nord RHF granted in the case of the Board of Directors, 86-2016/2, and was thus formulated as follows: ‘The Governing Board shall ask the Executive Director to complete the acquisition in cooperation with the other regional health establishments within the general powers in his capacity’.
ParlaMint-NO_2016-11-30.ana.ud343e1400	I have previously addressed written questions about what I get many feedback from trustees in healthcare professionals about, that they perceive that AD meetings in practice become more and more a forum where decisions are taken – if not formally, then in practice there is where decisions are taken without a warrant for neither anchoring nor involving the trustees. This is a case that shows that the device on the air ambulance has made a lot of commitment in the north, and my question is whether the Health Council sees that this may seem unfortunate.
ParlaMint-NO_2016-11-30.ana.ud343e1405	What is important is that the Executive Directors carry out their duties within the powers conferred on them by the Management Board and the responsibilities they have for their day-to-day operations. That's part of their job. The preparations for the Governing Board are the clear guidelines for this. In this specific case, there has been considerable public work around it, with consultations and meetings with municipalities, which have also resulted in changes in what was originally proposed, precisely because one has had good processes where one has also listened to the population. So it's like there's employee representatives on the boards. The staff representatives of the Governing Boards participate in these discussions, which shall include the powers of the Executive Director. It is also in the context of their ability to influence that kind of question.
ParlaMint-NO_2016-11-30.ana.ud343e1414	So the state council doesn't see anything problematic about the practice of health professionals in AD meetings, and the state council doesn't see anything problematic either when he learns that trust leaders around the country actually view AD meetings as a democratic problem so that they can't fully do their job as trustees. I have been contacted by trustees from different parts of the country, and I think it is quite special when it is also mentioned in the newspapers that the AD meeting actually makes decisions. So I want to ask again if the Council of State does not see anything problematic about these feedbacks, which I am at least bringing forward here, and if the Council of State thought it was entirely right for the managing directors to receive authority from the board in such an important matter.
ParlaMint-NO_2016-11-30.ana.ud343e1419	I am not familiar with any of the worrying issues associated with the meetings of the four directors of health regions to coordinate their work. And it is quite clear that there is work to be done within the powers they have as responsible for day-to-day operations, and within the powers that the boards have given them. The Management Board of Health Regions is responsible for assessing the types of powers they wish to grant to the Executive Director, and there are open processes, in which employee representatives also have insight.
ParlaMint-NO_2016-11-30.ana.ud343e1429	‘In 2011, opposition politician Höie, according to the NRK, ‘was concerned that the increase in private health insurance leads to a classed healthcare system, where, without private arrangements, they literally end up at the bottom of the health queue. In the 2013 election campaign, we learned that with the right’s proposal for health reform, ‘day’s health insurance would essentially fall away’. In 2016, the record height had 481,000 private health insurance. Does the Council of State Höie agree that the increase in private health insurance makes a classed health care system?’
ParlaMint-NO_2016-11-30.ana.ud343e1436	There is a broad consensus in Norway that it is important to protect our solution, which is a publicly funded healthcare service where the population is fairly distributed health care as needed, and pays by capacity over the tax bill. We have never – and I have never – taken for granted that people do not want to buy private health insurance. Too many factors contribute to this development – not least that the insurance industry will always adapt its products to any situation. What I have been concerned about is that patients should not feel the need – and feel the need – to have private health insurance to cover the necessary health care, which we have agreed jointly to be the responsibility of the public. It will be a development that over time undermines the basis of our model, which I am concerned about protecting about. That is why one of the solutions to the Right is to give patients who are a member of the population greater freedom of choice — including to use private health services, but funded by the public, equal to everyone. Figures from Finance Norway show that around 481,000 persons had health insurance at the end of the second quarter of 2016, an increase of less than 80000 since the end of 2013. Under the previous government, the number of insured persons increased by more than 100000 between 2010 and 2011. This was a very serious development. Therefore, this government has introduced free treatment options. The reform gives patients greater freedom of choice and reduces waiting times for public hospitals and organises work in new ways. We give patients the right to choose treatment at approved private, but on public account. In addition, we have asked health regions to buy more of the private available capacity through tenders. Priority should also be given to public hospitals. Therefore, the government has facilitated a higher growth in patient treatment in our four state budgets, compared to what the red-green was adopted through its eight. We have also removed the activity gap in public hospitals, so that those with free capacity and new ways of organizing work have the opportunity to treat more patients. The result is good. Waits go down. Eighty thousand fewer patients are in line now than under the previous government. At the same time, we see that in 2015 we were in a situation where more than 1 million more investigations, controls and treatments were carried out in healthcare, compared to the end of 2012. It is important to protect a good public health service, precisely in order to prevent negative developments.
ParlaMint-NO_2016-11-30.ana.ud343e1457	I note that the Council of State will not answer my question, which was whether he still thinks as in 2011, that health insurance increases the class distinction in society. It's probably like with many of the other promises, Höie joined the opposition – it can be difficult to deliver when one comes to government. I'm thinking, for example. in the 12 billion that he promised Norwegian hospitals. Let me therefore ask again whether what Höie in opposition said in 2013, that with the Right in government, the need for private health insurance will fall away. But with Höie as Minister of Health, almost 80 000 more now have private health insurance. Where is the Council of State not closed, when even more people now feel that they need such insurance? What measures will the Minister put in place?
ParlaMint-NO_2016-11-30.ana.ud343e1464	With respect, I don't think there's a lack of answers to the question, because I answered it very clearly. I meant before and still believe that it would be very unfortunate if the population felt that to feel safe to get the necessary health care, that is, the health care that we as a community have agreed to be publicly funded, a person must have private health insurance. We saw a record growth in private health insurance under the previous government, and there was reason to worry about that. I believe that the answer to that is just to ensure that the population experiences reasonable waiting times and greater freedom of choice in public health care. That's exactly what this government has done, with good results, in terms of shorter waiting time, fewer patients who have to stand in line, more getting help. Growth in private health insurance has begun to decline.
ParlaMint-NO_2016-11-30.ana.ud343e1471	A SINTEF analysis in 2015 showed that private health insurance did not reduce sick leave in companies that drew them. Studies show that there are mainly private employers who take out health insurance for their employees. Is the Council of State concerned about adding to the public sector to have poorer supply than to be added to the private sector, thereby reducing the attractiveness of the public sector? That's my question. And I would also like to remind the Council of State that Stoltenberg took away the tax deduction that the Bondevik government had introduced in just health insurance, to make them less attractive.
ParlaMint-NO_2016-11-30.ana.ud343e1478	The latter had a very limited effect, since we subsequently received record growth in private health insurance. I do not want, as I have said, a development in which people feel that having private health insurance should provide security to get the kind of health care that the public has agreed that we should offer. But the insurance industry will always adapt. For example, in a situation where people no longer experience excessive waiting time at a hospital, the insurance industry is likely to fill health insurance with content in areas where we, for example: has agreed that this is not a public responsibility. What is left – and the Workers' Party’s – answer to this is to deprive patients of freedom of choice. For the first time, the Workers' Party is going to choose to weaken patient rights. The Labour Party has always fought against patients' rights, but that's the first time they choose to remove patients' rights.
ParlaMint-NO_2016-11-30.ana.ud343e1492	‘Social inequality has an impact on the chance of survival of cancer. High - income lung cancer patients had 66 pst. more likely to be operated on than those with low income, cf. Kreftregisteret 2016, data 2002–2011. Yngvar Nilssen in the Cancer Register points out that “In general, we know that those who are operated have a much better prognosis than those who are not operated on.” How is the inequality in cancer treatment now, and can the Council of State live with this?’
ParlaMint-NO_2016-11-30.ana.ud343e1499	No, I think we can't live with these kinds of results, just because it's an expression of social inequality in terms of health. Although you can always discuss this type of study, I think the results you see here are quite clear. This is why it is as important as the Storting adopted yesterday, a prioritisation message setting clear criteria, principles for prioritisation, systems for prioritisation – precisely in order to provide a fair distribution of healthcare to the whole population. At the same time, we see that, among other things, within the cancer area, there have been very wide variations in what patients have been allocated. There has been a concern that some patients for different reasons, such as: that they are resource-intensive or have longer education, have fought more for their rights than other patients. That's why it was important for me, for this government and our cooperation parties, to introduce a cycle of cancer packages, just as an instrument to reduce this difference. These figures are from 2011, i.e. before the package sequences were introduced. Packing processes provide patients with a much greater predictability, a much greater certainty as to the type of treatment they receive, and better information. Not least, a coordinator is now responsible for providing patients with help and examination at the time they are to be. It should contribute to less variation and less social inequality — problems we have seen. Other tertiary 2016 shows that for lung cancer got 62.8 pst. of patients in the course of the package examination and treatment in line with the time of the package. I think it's a good start. The goal is for us to go over 70 p.m., and I hope that the hospitals will do it in the next year.
