ParlaMint-NO_2016-04-27.ana.ud1895e26	The representative Heikki Eidsvoll Holmås will present a proposal for a representative.
ParlaMint-NO_2016-04-27.ana.ud1895e1448	I allow myself to ask the following questions to the Minister of Culture: ‘In the evening post of 14 April, Pakistan’s ambassador says that Norwegian authorities should monitor the use of public support by mosques and other religious communities, that imams should speak Norwegian in sermons and lectures, etc. Many with background in Pakistan listen to and support the ambassador. Will the government follow up her important initiative by making assumptions that imams should take courses to use Norwegian in the mosque, that hate preachers should not be invited when support for mosques, other religious communities and religious organisations is granted?’
ParlaMint-NO_2016-04-27.ana.ud1895e1457	I would like to thank you for the question from the representative of Bohemia. We need religious leaders who understand Norwegian conditions, and I think evolution is heading towards the fact that more and more religious communities, hopefully most, will use Norwegian language when it is preached, and when it is preached. However, the country's ability to impose language requirements in the implementation of religious services, Friday prayers or religious gatherings will be limited by the provisions of the Constitution and of the International Conventions, inter alia. freedom of religion. As Minister of Faith and Life, I am concerned that the state's foremost task in the field of faith and life is to safeguard and protect freedom of belief and life. Freedom of religion and freedom of religion are fundamental values and prerequisites for a free society. Freedom of religion implies that the religious and life-view societies themselves set qualifications for their religious leaders and preachers, including language skills. At the same time, it is important that religious leaders with a foreign background have the necessary qualifications to be religious leaders in the Norwegian community. That is why the Ministry of Culture also provides support and grants for the course «To be a religious leader in the Norwegian community», a course offered at the Faculty of Theology at the University of Oslo. The aim of the course is that religious leaders with a foreign background should be able to become safe in their role as religious leaders in Norway, become familiar with and discuss values and rules that exist in the Norwegian community, about religious communities. I would also like to stress that, of course, religious and life-seeking societies are not in any way exempt from complying with Norwegian law, and anyone who publicly encourages anyone to commit a criminal offence, violence or murder can be punished under Section 183 of the Criminal Code. Hateful statements can be punished under the terms of Section 185 of the Criminal Act, and these provisions also apply to calls and statements made in a belief or life-view society. Religious communities that violate ‘right and wrong’ may be denied grants by the State and religious communities may also be deprived of any right of marriage. If an expert is acting contrary to Norwegian law, the County State may also waive the right to be an expert.
ParlaMint-NO_2016-04-27.ana.ud1895e1470	I thank you for your answer. The Pakistani ambassador’s comments responded to the participation of an imam from Norway in markings related to the killing of a liberal governor in Pakistan who was killed by an extremist. The concern expressed by the ambassador, I think we should take very seriously, and her role among Pakistani people in Norway is that this could give us a very good opportunity to put increased pressure on, take new initiatives, to speak Norwegian in sermons and lectures in mosques. It is true that there is a positive development in some places, but we also need to pay attention to those places where attitudes may go in a different direction. It could be the opposite, or at least it could not be a similar development. I would like to ask that the councils in mosques be asked to make demands in terms of job descriptions, really have something to do with the Constitution – there are many jobs that are required in Norway?
ParlaMint-NO_2016-04-27.ana.ud1895e1479	I agree with the representative of Bohemia that it is important that religious leaders working in Norwegian society learn Norwegian. That is why I am also pleased that the Norwegian authorities are providing support and facilitating this course in order to make religious leaders safer in their role as religious leader in Norway. At the same time, I am concerned that the right to determine the language in which it is to be preached belongs to freedom of religion. That's my whole starting point. Then I would also like to say that the representative of Bohemia addresses an important concern, and in the work now on a comprehensive law related to the religious and life views of Norway, this will be an issue that will be absolutely discussed and carefully evaluated in the big message that I am going to present to the Stortinget.
ParlaMint-NO_2016-04-27.ana.ud1895e1486	That's an interesting question, I think. Of course, I agree with the defence of religious freedom, but it's not about banning anyone to talk. The question of state support to government, which in turn controls mosques, is whether it is not possible to say that we give priority to those who use Norwegian except of course in certain rituals, but who use Norwegian in sermons and lectures, etc. It's so important to us that the mosques also have a place in the Norwegian community, that we build a relationship between ourselves, and that otherwise in society we can keep up with everyone who participates in the mosques, follow up with the Council of State on hateful statements, statements that encourage violence, etc. If it happens, you'll have a completely different relationship with language if it happens in your own language. I think you should be more offensive when it comes to examining the possibilities and frameworks than just referring to general law.
ParlaMint-NO_2016-04-27.ana.ud1895e1491	Then I have to stress my answer again, because I don't know if it came out clearly enough. I agree with the representative that it is important that there is a good relationship between Norwegian society and mosques, but this is not just about mosques, it is about all religious and life views. If the State is to enter and impose requirements relating to the religious communities receiving public support, it shall not only apply to mosques, it shall apply to all. I would like to stress once again that this is something I will consider in the context of a comprehensive law on religious and life-seeing societies, in which we are assessing whether, if necessary, demands are to be made in many other areas, and what requirements are to be imposed in order to receive public support. But these are complicated issues that we need to assess in a whole, and that it's right to look at in the context of all religious and life-view societies and not just one religious community. That's why I want to get back to it with a big message.
ParlaMint-NO_2016-04-27.ana.ud1895e1513	This issue is postponed, as the Council of State has left.
ParlaMint-NO_2016-04-27.ana.ud1895e1520	I will allow myself to ask the following questions to the Minister for Employment and Social Affairs: ‘How does the Council of State ensure that Nav employees make early contact with young people who have discontinued secondary education, in order to avoid inaction and to be able to initiate guidance and action early?’
ParlaMint-NO_2016-04-27.ana.ud1895e1527	First of all, thank you for the question. Basically, we don't want young people to get into Nav's ranks at all, but rather stay on the school bench or get to work. We know that secondary education is important in order to have a good and lasting link with the labour market. Nevertheless, a great deal falls short of completing their training. I believe it is important that as many young people as possible have the opportunity to complete secondary education. To ensure that it is not economically viable to leave school to participate in labour market measures, the age limit for getting action benefits has increased. Regardless of this, young people who need it, of course, get help from the Nav office to get into work or get into activity. In order to ensure that young people receive the assistance they need, young people are the top priority group in the work of the labour and welfare management. 1 000 of the additional action places for the unemployed in 2016 shall be linked to the implementation of actions in the Youth Package, which was launched in the 2016 budget. The apprenticeship grant has been increased to stimulate enterprises to attract more apprentices. A new follow-up and organisation agreement is also in place which ensures good follow-up from Nav to both the employer and the action participant. Several Nav offices have their own youth teams. There are also separate guarantee schemes for young people, and in the announced announcement to the Stortingen on the further development of Nav, among other things, I want to do so. discuss how follow-up work in the Nav Office can increasingly support the target of more people at work, including with a view to ensuring early efforts for young people in need of assistance. Tests with Nav supervisors in secondary schools have been established since autumn 2015. The aim is to prevent early school drop-outs by entering early school and providing an overall follow-up of students with complex problems. Several ministries are also working together to strengthen the work of vulnerable children and young people in order to ensure the success of more people in school and to complete secondary education, as a basis for lasting links with the labour market. I would also like to refer to the recently submitted message ‘From Exclusion to a New Chance’, where the government proposes a number of measures for better opportunities for higher education and better training in the Employment and Welfare Act.
ParlaMint-NO_2016-04-27.ana.ud1895e1548	We share the desire for more people to complete secondary education, but we know that too many people fall out. We also know that the follow-up of young people who fall out of high school is too poor. The National Audit Board has confirmed that 60 pst. of those who drop out, there is no action whatsoever. For many, it means days with little meaning, where you can't mean anything to someone necessarily, and where you like to end up in a negative spiral. Paradoxically, the government plans to impose an activity obligation on social welfare recipients, while many young people are left unaided. SV has proposed an enhanced youth guarantee that will give the right to work, education or activity within three months for all under 25 years. Former Minister of Labour Eriksson stated that he would assess the guarantee scheme for young people. I wonder what Minister of Labour Hauglies' view of SV's proposals is, and what guarantee the Minister of Labour will give to unemployed young people today.
ParlaMint-NO_2016-04-27.ana.ud1895e1555	As I said in my first answer, among other things, the youth guarantees are mentioned in the notified notification to the Stortinget. Fafo has evaluated the guarantee schemes that are now, and it shows that they are not good enough. The National Audit Office also confirms exactly what the representative Bergstø had to say. It is primarily the school owner who is responsible for students staying at school and completing high school. It is the school owner, together with the schools, who is responsible for organising the teaching and adapting the teaching in such a way that the students are able to complete and pass. But it's clear that when it doesn't happen, when you don't get it, it's Nav's job to contribute with their toolbox to capture the young as early as possible, ensure them qualification and education, and make sure they get a job. The obligation to work now leads to some young people getting into work. Young people also feel positive that they are being asked for, and that some people show care for them and help them to move on.
ParlaMint-NO_2016-04-27.ana.ud1895e1562	We know a lot about what works. We know that close individual follow-up works, that motivational work, a holistic thinking and working with the individual works, and we know that meaningful activity works. But in order to do this, a close hub is needed that knows the individual you work with, and the community you operate in, that has professional freedom, and that has an instrument that can be used to meet the individual in their situation. In order for young people to be a resource and use their resources, we also need to use resources to invest in youth. Therefore, I wonder how the Council of State will just ensure that Nav gets the resources and the means to do the important job of ensuring young people a meaningful everyday life of work, activity and education, and whether guarantees can be one of the ways to go.
ParlaMint-NO_2016-04-27.ana.ud1895e1567	Guarantees can definitely be a way to go. Unfortunately, the existing guarantees do not work as well as you wanted, and that is also the reason why I want to review the guarantees and see how a new one can possibly be made more effective. Earlier this week I visited Jessheim High School. They have Nav counsellors. What they include, among other things: there, the cooperation between the Nav supervisors and the school has contributed to increased knowledge of Nav at school, but not least – and perhaps so important – increased knowledge of the Nav school. They themselves say that they could thus in a much, much better way get closer to the young people and offer them the help that the young people needed. The most important thing now is to get into the lives of young people so early that you avoid unnecessary long stays between school and further school or work. There is also a background for the government to present a youth package in the State budget with a number of concrete measures to address this need.
ParlaMint-NO_2016-04-27.ana.ud1895e1580	‘The Government removed in 2015 the holiday allowance for day-care recipients. A daily allowance beneficiary who receives an annual benefit of NOK 300000 will subsequently receive a loss of NOK 28 500 per year. Why does the government think it is fair that those who lose the job should also be further hit by cuts in the daily allowance?’
ParlaMint-NO_2016-04-27.ana.ud1895e1587	The government is committed to targeting schemes to get more people to work. That is why we also presented an expansive state budget and a powerful package of measures that provides activity and work throughout the country. The scheme to which the representative refers is an example of a scheme that does not contribute to the creation of more people. The beneficiaries of the daily allowance shall be genuine job seekers, i.e.: active job seekers and available for work. A person receiving a daily allowance who takes a vacation from the job application is not a real jobseeker and should not receive a daily allowance. The idea behind the holiday supplement was that the daily allowance recipients would still be able to take a vacation without being hit financially. But the holiday supplement was paid in the year after the service year. Most of the recipients are then, hopefully, back to work, and the scheme is therefore not being targeted. The holiday supplement in the daily allowance scheme was terminated with effect from 1 January 2015. At the same time, as a more targeted scheme, the government has made it possible for those who become long - term unemployed over 52 weeks to take up to four weeks’ daily leave. They then retain their current income for up to four weeks. The four weeks may be taken together or as single days. After previous arrangements they had to cancel the daily allowance while they took a vacation, and received the holiday supplement only the following year. As a result, those who have received a daily allowance for more than 52 weeks can now take a vacation without losing money on it. The latter is a better system for those who have been unemployed for a long time and may need leave. That was not the case with the now terminated scheme, where the right to holiday allowances occurred already after eight weeks of leave. Overall, we now have a more balanced agenda than before, a holiday allowance for those who have a long daily allowance behind them, and a scheme that stimulates transition to work for those with shorter leave.
ParlaMint-NO_2016-04-27.ana.ud1895e1598	If you peel away all the technicalities and explanations, the reality is that you are unemployed, you get less money in return for it now than you received before – NOK 28 500 less if you have a daily allowance of NOK 300000 per year. That's why I repeat the question: Is it reasonable that those who lose the job should be further hit by cuts in daily allowances? Why does the Council of State think that people are more inspired to work – when the situation is that there are few jobs – by the fact that those who go unemployed are going to have an even worse economy?
ParlaMint-NO_2016-04-27.ana.ud1895e1603	So the unemployed now get holiday pay while they are unemployed, as opposed to before, when they were paid the holiday money the following year when they were likely to return to work. We felt that it was not a targeted and good enough arrangement. It is also the case that from time to time one should be quite critical to the legislation in place – one should review the legislation from time to time and look at what should be done by changes. As the representative is aware, we have already proposed a number of changes to the day-to-day pay legislation to facilitate the transition to work by facilitating the combination of education and day-to-day pay and by making it easier to receive day-to-day pay while establishing one's own activities. I have previously stated that we also consider several other rules or changes in the day-to-day pay code that will stimulate faster return to work. That's what the unemployed need now, they need to get back to work quickly, and that's what we're doing through our policies.
ParlaMint-NO_2016-04-27.ana.ud1895e1608	We have made a lot of suggestions to get people back to work, but right now that was not the question. Whatever explanation here, the total number of unemployed in Norway is going to be 1 billion. NOK less in benefit – i.e. a person who has NOK 300000 in the unemployment allowance will get NOK 28 500 less. The council can talk about vacations and when the money is paid and that kind of thing – the reality is that she stands and defends that she takes over 1 billion. NOK out of the pocket of the unemployed, NOK 28 500 for one who has NOK 300000 in the unemployment allowance. What I'm trying to get answers to is: Does the Council of State think it's fair – while giving large tax credits to those who have a lot of money from before?
ParlaMint-NO_2016-04-27.ana.ud1895e1613	I am a little surprised that the representative seems to think that it is more targeted to give holiday money to those who are no longer unemployed, and that you clearly want to go back to a system where you did not get holiday money while you were unemployed. I believe that it is more focused that those who are unemployed for a long time and who need a vacation do not lose money on it during the weeks that you take a vacation, as the scheme was before. We are concerned that we should stimulate transition to work. At the same time, we are also going to take care of those who go a long time without a job, and that is what we are doing with the change we proposed last year in the day-to-day money code.
ParlaMint-NO_2016-04-27.ana.ud1895e1622	‘In Sunnhordland, the unemployment rate has risen by 82 pst. from March 2015 to March 2016. In the municipality of Stord there are 7 pst. the gross unemployment rate. Most unemployed people are in industrial work and construction, but unemployment is also growing strongly to other industries. In a time of difficult market conditions for petroleum-based industries, prevention of unemployment is important. Business-internal training, BIO, enhances the adaptability of enterprises. Why do companies in the West now refuse their applications for funds for BIO?’
ParlaMint-NO_2016-04-27.ana.ud1895e1629	There is no doubt that there are now demanding times in parts of the country. It is serious for the person who loses the job, and it is serious for the companies and communities hit hard. The government is following developments in unemployment closely and is considering the ongoing need for the scope and arrangements of labour market measures. We are concerned with instruments that support the needs for conversion in different industries, such as the EU. oil-related establishments having particularly tough times. The figures so far in 2016 show that the use of intra-corporate training has increased and doubled since the autumn of 2015. In March this year, an average of about 500 employees participated in the measure at all times. We find most participants in the West. Within the overall budgetary framework of labour market measures, the Working and Welfare Act decides regionally and locally which measures are most appropriate to meet the concrete challenges of the labour market. The scope of intra-corporate training needs to be assessed against other instruments and priority areas and target groups. In-house training is a good tool to enhance the skills of employees in firms that have difficulties in converting and that have to make changes to the company's production or establish themselves on new markets. The conversion requirement is a condition for receiving funds for intra-corporate training. Only market failures fall outside the scope of the regulatory framework. The entry conditions of the measure therefore exclude the use of the measure in isolation as an alternative to permitations. Companies that do not fulfil these conditions may be refused their applications.
ParlaMint-NO_2016-04-27.ana.ud1895e1640	Apply Leirvik applied for NOK 1355 000 in BIO funds for spring 2016, and this offshore supplier company was granted NOK 172 000. In the grounds for the refusal, the County Director of Nav Hordaland wrote to the company: Our challenge is that, unfortunately, we have very limited resources for the BIO system. The need seems to be considerably greater than what we have at our disposal, as well as the limitations of the BIO rules on what support Nav can provide. The market for offshore suppliers is currently black seas, and companies are working intensively to find products and markets that can replace the oil and gas markets. Will the State Council strengthen the BIO scheme, in order to support enterprises such as Apply Leirvik?
ParlaMint-NO_2016-04-27.ana.ud1895e1650	I think I should be careful about handling cases for individual companies here. However, intra-corporate training is an action which, like the other labour market measures, is a framework-based instrument that requires priority within the overall financial framework for labour market action. Current conditions of entry are targeted and ensure that the action within the overall allocation of labour market measures is most effective and promotes the necessary conversion. The information I have received from the Employment and Welfare Directorate is that this year the department has not rejected applications because of a lack of financial framework. However, a refusal has been granted where the conditions for obtaining a grant have not been met. I also see that in several of the counties money is used that never before for company internal training. More and Romsdal is one of the states that are taking full advantage of this. I see that applications are also increasing in Rogaland. In many places you haven't known so well about the system, I think, and if we're going to raise the pot, we're going to get back to.
ParlaMint-NO_2016-04-27.ana.ud1895e1657	I have to remind you once again that the Nav boss in Hordaland writes that the need seems to be considerably greater than what we have at our disposal. I would say that the Labour Party proposed in the 2016 budget to change the BIO legislation to include market failures and cyclical conditions. We also proposed increasing the number of jobs in the labour market, to which the BIO resources fall, by 339 million. kr. And in the fall, the government decided to strengthen the system of in-house training, especially in view of the challenges facing industry in the West. BIO is an effective migration measure, which also serves as a prevention against cancellations. Will the Governments be able to change the BIO legislation to include market failures and cyclical conditions, as the situation is now in the West?
ParlaMint-NO_2016-04-27.ana.ud1895e1666	I fully agree with the representative that intra-corporate training is an action that is very good and that provides companies with a necessary handshake in a difficult time, and that is also the background for us to increase that pot in the 2016 budget. It is important that we in this room are aware that the situation we are facing now is different from the situation we were facing in 2009, where there was a sudden upsurge in everything, in all industries, and we had to go back to where we – almost – escaped before the crisis. We're not there now; we're at a time when more industries need to change, and we're not going back to where we were. We have to find a completely new normal, and then general market failure will not be the solution. Many of the companies that are now experiencing market failures will also experience this in the years to come. Many of them need to convert to new industries and new markets, and that's what we're going to help them – not to sedentate them in industries that aren't going back to where they were.
ParlaMint-NO_2016-04-27.ana.ud1895e1678	This question, from the representative of Kari Henriksen to the Minister for Labour and Social Affairs, has been transferred to the Minister for Municipal Affairs and Modernisation, who is directing the issue. The question will, however, be answered by the Minister for Labour and Social Affairs on behalf of the Minister for Municipal Affairs and Modernisation, who has been removed.
ParlaMint-NO_2016-04-27.ana.ud1895e1681	I allow myself to ask the following questions to the Minister for Employment and Social Affairs: ‘The unemployment rate in Agder is increasing. Several occupational groups are affected. The government spends 20 million. crowns to centralise and red tape the regional development funds scheme and cut them by 300 million. krona while pottery projects in Agder are in line. Prisons in Mandal and Fromand, upgrading schools in Vennesla and Flekkefjord, local roads, for example. be able to provide local jobs quickly. State council says more bureaucracy and cut $300 million. krona are active measures to create jobs quickly in Agder?’
ParlaMint-NO_2016-04-27.ana.ud1895e1690	The government is well in the process of renewing regional policy, including: priority is given to improving the overall framework conditions for business. Furthermore, regional policy efforts are targeted by giving priority to enterprise and enterprise-oriented actions. Entrepreneurship and innovation are also emphasised. However, although regional development funds for investment on the road and other growth promotion measures have been redeployed, there is a total budget of €1.85 billion in 2016. kr for regional development. The reduction in regional development funds over the last three years is more than offset by increased means of upgrading and renewal of the county road network. These are targeted measures to strengthen the competitiveness of industry throughout the country. Regional development funds are mainly funds that go through county municipalities or the instrumentation, with the aim of creating growth and value creation throughout the country. If the representative wants to link the rehabilitation of state buildings to these funds, there will be a whole new practice. The difficult situation in the South and West as a result of the crisis in the petroleum industry and in the supplier industry has led to the need for coordinated regional efforts across county boundaries. That's the background for the government's allocation of 20 million. to the County of Hordaland to strengthen cooperation between the counties of the South and the West on conversion measures. Enhanced cooperation shall improve cross-border action. The aim of these funds was coordination, not red tape. As part of the 2016 budget, the government has presented an additional action package for increased employment of a total of 4 billion. kr. The package is targeted at areas that are particularly sensitive to the consequences of lower growth. Package is being rolled out now. Among other things, the authorised representative noted that the Justisbygget in Kristiansand was on the list of buildings where rehabilitation or maintenance will be carried out. The overall economic policy now has a strong impact on unemployment. Overall, government policy contributes to better business framework conditions and facilitates the creation of more new jobs both in the Agder counties and in the rest of the country.
ParlaMint-NO_2016-04-27.ana.ud1895e1707	The measures are very effective,' said the Minister. Yeah, it's so powerful that there'll be 50 more people available every day. We have 140,000 more now, so that's a powerful effect of measures that actually don't work. So twelve new bureaucrats need to coordinate, while employees who are in existing positions cannot actually coordinate the means they get, and then you have to have even more bureaucracy. The government says it will bring new reforms. What they deliver are new records: in the number of bureaucrats, tolls and huge tax cuts to the richest. As Tornesus, the government is passively drowsy as the hedge grows very high. The passivity causes unemployment to spread to other industries. 75 pst. by the companies in the South are afraid that it will get worse in 2016. I visited a large business enterprise the other day, and they said that there was no active counter-cyclical policy at all in South Africa. Can the Minister of Labour and Social Affairs tell Stortinget how many jobs have been created and is the Minister satisfied?
ParlaMint-NO_2016-04-27.ana.ud1895e1716	There is still growth in employment in this country, although it seems that the representative believes otherwise – that is actually it. Jobs are created all over the country, including in the areas that are now struggling, and we should be pleased about that. Yes, we are reforming – it should just be missing. If that's what we should have done a long time ago, it's just reforming. Anyone who reads a little bit in the productivity commission's settings will just see that this is something you should have done a long time ago, that's what the government is doing. As I said in my previous answer, there are still large sums going to regional development, but what is important for the whole country, not least the region in which the representative is involved, is to have good framework conditions for businesses and a good infrastructure that ensures the accessibility of the people most and for the business world. This is what we have contributed to and provided through a historical on- and off-road investment – on transport – through powerful action packages that are now giving businesses a mission.
ParlaMint-NO_2016-04-27.ana.ud1895e1723	It's almost like sitting in a nice layer and singing a verse and rebreeding, and then we say that now we're going to sing the next verse, but then someone says, "No, now we have to sing the rebreed again." So now the government has sung this review for a year and a half, it doesn't work, and it doesn't get better for that reason. KS Agder has sent letters to the Minister for Municipal and Modernization on potable projects throughout Agder – 1.2 billion. Total kr. NITO has written letters to the Agder bench and asked that this be realized. Other professional groups in the South and Western countries see that there will be leavencies and redundancies around the next turn. Necessary conversion skills move from the continent. Kristiansand municipality estimated that 24 million. kr in reduced income is an effect of unemployment on Agder — it was a while ago. Half of Norway and so it's hit, and that's not enough for it to be called a crisis. What action will the Minister now take to respond to the needs identified by the region?
ParlaMint-NO_2016-04-27.ana.ud1895e1730	I said in my previous answer and must again make aware that jobs are being created in this country. Employment growth is increasing — it is not high, but employment growth remains. Money is granted, contracts are concluded, and jobs are created. The government has in the state budget for 2016, among others. provision of money for the rehabilitation and maintenance of state-owned buildings. It also creates jobs, not least in the areas that are now struggling. It may be worth reminding KS that there are also opportunities in the municipal sector to prioritise projects that create jobs locally. Most municipalities also need to clean up and maintain their own buildings, and they now have the opportunity to carry out maintenance work locally to also contribute to jobs. All of us now have to contribute to our efforts by providing local employment growth.
ParlaMint-NO_2016-04-27.ana.ud1895e1739	‘Many workers, especially in the West, have been laid off because of government’s opposition to improving the rules of leave. The question of funding is still unclear, and it may seem that the government is trying to push parts of the costs with longer leave on the already hard-pressed companies. The Labour Party has proposed to reduce employers’ ownership from 10 to 5 days. How bad must the situation in the labour market be before the Council of State is able to consider this proposal?’
ParlaMint-NO_2016-04-27.ana.ud1895e1746	It is almost striking that, in almost every debate, the main response of the Workers' Party is the rules of leave. Permitting can be a proper grip if we talk about short-term market failure. On the other hand, if there is a lasting change, there may be a poor solution for the employee. When designing the permitting mechanism, a balance must be struck between different considerations: on the one hand, the scheme should contribute to the effective exploitation of the labour force in society by means of a rapid transition to other work. On the other hand, the scheme shall bear the remuneration obligations of enterprises in the event of an unforeseen lack of employment by covering social security costs by the government. A proportion that motivates businesses to conduct that is in line with what is sensible on the part of society is therefore important. The excess share of the permit scheme is the employer’s period. Permitting legislation needs to be adapted to the current economic situation. The special thing about the situation we are now facing is the obvious needs for business conversion. Lower growth from activities related to oil is a lasting structural change, beyond a reasonable length of the periods of leave. Thus, the response to the challenge cannot be short-term measures or measures that have the effect of inhibiting the necessary transformations. In the new legislation that the government will present in the revised budget, we propose to increase the maximum duration of the leave to 52 weeks and to introduce a new employer’s payment of five days after 30 weeks of daily pay. The changes will provide firms with a longer conversion time at the end of their operation, while providing firms with an incentive to assess realism in terms of the possibility of a new activity within the overall period of leave. There are good reasons to make the legislation vary with the economic situation. The government made changes to the law on permitting last summer and has thus announced new changes to the revised budget in the light of the parties’ demands for wage-fixing now in spring. It is not the level of unemployment itself that should be crucial for the regulatory framework for permitting, but the expectation of the sustainability of the demand decline.
ParlaMint-NO_2016-04-27.ana.ud1895e1761	Once again, the Council of State repeats this criticism of the Workers' Party's commitment to the permitting rules and a claim that we do not understand the long-term migration challenges. I think it's a bad rhetoric when it comes from a government that doesn't understand that one has to see the challenges in the short and long term in the context. It's a good thing that some of us are concerned with the permitting rules, because it has been quite necessary to push the government not to turn it down, but twice to get a law of permitation that is somewhat adapted to the situation. The main counter-argument to the government against permitting is that it should give a so-called containment effect, hence it should be better to be cancelled than to be permitted. But when we know that nine out of ten lay-outs come back to work, 80 pst. to the same workplace, it would be interesting to right if the Council of State were able to document this so-called containment effect.
ParlaMint-NO_2016-04-27.ana.ud1895e1766	Yes, historical figures are that eight out of ten come back again in the job they had. The question is, what will happen now, when we see that unemployment is increasing in the sector that itself says that many of the unemployed can't wait to come back, because you have to keep falling due to. the level of costs in the industry. This means that those who lose their jobs need to find new opportunities in new businesses, and perhaps in new industries as well. That's what the government has been concerned about, ensuring a balance between the interests of yes, the needs of businesses to maintain skills, but also the needs of other companies for the same skills and the need for change that we see around us in society now. We believe that we have found a fair balance in the proposals we are now proposing for the Storting. The most important thing is that we ensure safe jobs and new jobs for those who lose their jobs, and that is what we are doing through an offensive state budget and a package of measures.
ParlaMint-NO_2016-04-27.ana.ud1895e1773	When eleven workers' party representatives from the West in this question hour challenge the government in employment, it is with a quite alarming unemployment rate as a backstop. An example is 4,400 notices of leave or cancellation only in March. When the mantra is still tax cut, combined with the complaint and criticism of the Workers' Party to avoid focusing on their own missing policies, I found it evidence of a government that has lost control of the increasing unemployment. In several responses today, the state council has developed the so-called government action package, without the fact that the package is completely revealed by Stavanger AFTENblad as a bluff, so in the name of propriety, one should perhaps leave it to be drawn up several times as a salivating measure. Will the Council of State now take seriously and start using fiscal policy to overcome unemployment in the revised budget, or is it still hoping that right-wing ideological desires for the market to be settled will be fulfilled?
ParlaMint-NO_2016-04-27.ana.ud1895e1780	It is fascinating to record how the representative is concerned about a few days' payroll obligation for businesses, while he wants to send a tax bill to the same companies of over 10 billion. kr. The last businesses now need, is that policy, to say it carefully. Yes, there are still notices of permits. We know from experience that many of the notifications are fortunately not made, but we still see that the situation is demanding, and it is going to be demanding beyond 2016, before the forecasts indicate that we are going to see increased opportunities in 2017. I think it is also possible – if I may be allowed to say so from this pulpit – that the representative, Mr Bjørdal, may well be the only one who now believes that the budget is not expansive. Most people would think that the budget is expansive and that there is also some reason why we are able to deal with the difficult situation that we are now facing.
ParlaMint-NO_2016-04-27.ana.ud1895e1793	‘Increased target prices have been a central element of the last two agricultural settlements. How will the outcome of negotiations on international agreements affect the possibility of increasing the target prices in future agricultural settlements?’
ParlaMint-NO_2016-04-27.ana.ud1895e1800	Norwegian agriculture is in competition with the outside world in many ways. Imports of agricultural products have increased. This has been the case for many years. Price differences in agricultural commodities between Norway and the rest of the world have also increased in recent years, for example. on dairy products where prices in the EU are now at a low level. Changes in prices of agricultural products are not required to develop in a way that weakens the competitiveness of Norwegian agriculture and food industries. Then we will lose market shares. The basis for extensive Norwegian agriculture and land use throughout the country will be reduced if this occurs. It applies to both the goods on which we have the target price and other goods, which now make up about 40 pst. of agricultural market incomes. I would like to point out, as the representative Pollestad also describes, that increasing target prices was a very central part of the framework of the last two agricultural decisions, but nevertheless the increase in real terms was less than half of the average under the previous government. It's because this government takes the price challenge seriously. Norway's WTO commitments mean that we can't have more than 11.4 billion. kr in trade-distorting social benefits, so-called yellow box. For Norway, the target prices are a large part of this benefit. For 2014, Norway has reported support from a yellow box of 9.8 billion. kr to the WTO, that is to say that the action space up is about $1.7 billion. kr under the binding if you do not want to exceed this lead. We have estimated that yellow social benefits will increase monthly in 2015, among others. due to high grain production. The bond is not expected to change in the next few years. Norway participates in several negotiations aimed at increasing trade. It shall apply, inter alia: free trade agreements with several countries and Article l9 negotiations on increasing trade in agricultural products with the EU. The EEA Agreement requires Norway to review trade in agricultural products every two years with a view to gradual liberalisation. However, the Government has as its objective the best interests of Norway. Therefore, developing the industry is a central part of the government's agricultural policy so that it tolerates increasing competition over time. This will provide the basis for us to continue to have a large Norwegian food production and to use agricultural land throughout the country. I believe in controlling evolution, rather than being guided by it. As a result, this government has given priority to increasing the competitiveness of agriculture. This is the most important contribution we can make in the world we live in.
ParlaMint-NO_2016-04-27.ana.ud1895e1811	In the two years when the Right Party, the Advance Party, the Christian People's Party and the Left have supported agricultural policy, there has been a very small increase in the budget for Norwegian food production, 45 million. NOK, but one has spent about 800 million. kr at increased target prices. Then it is that things are connected in different variants, and the space of action that has been used here is partly a space of action created by the so-called 'Ostetoll Decision', on which the Progress Party was opposed, but on which one is now basing its policy. So my question is, how does one evaluate what's now happening to Article 19? Is it the case that in future settlements the government will focus more on using budgetary resources to increase Norwegian food production and to achieve the objectives set by the Stortinget for Norwegian food production?
ParlaMint-NO_2016-04-27.ana.ud1895e1816	It is quite right that this government has tried to help increase the competitiveness of agriculture rather than budget support over the State budget, and it provides a more market-friendly industry. That's what I'm after. At the same time, agriculture is now making a claim for 2017. The negotiations shall enter into, the State shall make its offer on 4 May. I want to wait for further positions to actually sit in the negotiating room when it comes to these questions.
