ParlaMint-NO_2016-11-16.ana.ud119e28	The called alternate of the Nordland County, Anette Kristine Davidsen, now takes the seat.
ParlaMint-NO_2016-11-16.ana.ud119e1196	I would like to thank the Council of State for the answer. I agree with almost everything he now says, for that is something of my point. The Railway Agency and the Municipality of Oslo have actually come to an agreement, and the Railway Agency needs, as the Council of State also stresses, a decision before Christmas. But it is the opposition in Oslo City Council, which consists of the bourgeois parties and the Red Party, which is now proposing to split the plan in two, and to promote a new regulatory case for the depository. It will mean that the development of the area and the landfill are seen as two separate issues. It is not advisable to do so legally. But what is more important, as the Council of State also stresses, is that this could lead to a postponement that puts the Railway Agency in an impossible situation. What I now ask the Council of State is really: will he, or can he, contact the government's party traps in Oslo, so that we can have a flexibility in this decision, so that the progress of the Folloban project is ensured?
ParlaMint-NO_2016-11-16.ana.ud119e1203	At an early stage, the Railway Agency itself proposed to split the regulatory plan in two just to ensure good progress. Then Oslo wouldn't be in on it. Then I see that things are changing now, but I remember there's a red-green majority in Oslo City Board. Red is a support party for the City Council. Then I believe that the City Council, which would not share this plan in the past, must find a good solution. We just recommend from where we sit the Municipality of Oslo that one get adopted this regulation plan, so that one does not have to transport the mass far away. Then we ourselves know that the Labour Party in the election campaign really wanted to postpone the entire Folloban project, because one would explore the possibility of having a station in that tunnel. I strongly warned against that. But we see that there have been a little too many political games around the project from local politicians, with the Labour Party at the head, about this. That is why I hope that we can now at least get the decisions that will allow you to use the mass locally and not transport it.
ParlaMint-NO_2016-11-16.ana.ud119e1212	If I now interpret the Council of State in the best possible sense, he might try, under the hand, to check what's going on in Oslo City Council and at least do his own as Council of State for this to go according to plan. Because that's what the council said, that the consequence of not dealing with this plan before Christmas, is that the railway works are starting to run out of the mass from Folloban. And it will mean, at least according to my sources in Oslo City Council, that between 200,000 and 300,000 truckloads of slag will have to be driven through the city, and it is absolutely right that it will be very unfortunate in the environment. Then we also lose the opportunity to get a new urban development area, which has a potential for 10,000 dwellings and 4,000 jobs. It's a fantastic urban development plan. I'm not going to bother the Council of Transport States with that, but I hope he'll do his job as Council of State for this to work out.
ParlaMint-NO_2016-11-16.ana.ud119e1219	I'm going to do everything in my power as a state council to make sure we find solutions here. But it's basically the municipality of Oslo that has to take these decisions. Then I hope and believe that they will cooperate well with the Railway Agency on that. I also think this is an amazingly exciting area for driving urban development. There were some discussions last year, for example. to establish a station in the Folloban Tunnel, Åland Station, for which the Workers' Party was very concerned and which would expose the entire project. I am glad that nothing has happened, and that the Workers' Party has not taken it up. What I think is much more sensible, is that one works together on solutions that Router has outlined, where one can look at other solutions, or that one looks at today's Eastfold Railway as a local trainway, which will ensure that one gets good communication opportunities in this area. When I look at Router, I think it's one of the most progressive collective societies in this country. They should be absolutely involved in developing solutions both east and west of Oslo to develop new areas, which have been difficult today.
ParlaMint-NO_2016-11-16.ana.ud119e1232	This question, from the representative of Per Rune Henriksen to the Minister for Climate and Environment, will be answered by the Minister for Transport who directs the person.
ParlaMint-NO_2016-11-16.ana.ud119e1237	I allow myself to ask the following questions: ‘How will the Council of State ensure that the necessary consideration of the now globally endangered species of wild fauna and the need for the species for large barrier-free habitats in Hardangervida is taken into account in the issue of road links east-west?’
ParlaMint-NO_2016-11-16.ana.ud119e1244	Thank you for the question. It is one of the many important reasons to take care of both when building a road project individually, and not least when looking at the whole of East-West connections. I notified for approx. Two and a half years ago, we did not have to look at four-five highways east-west, but channel our investments on one or two routes, so that when we spend money to reduce travel time, we make one or two roads faster and better than the others, so that heavy traffic, the main traffic, chooses the routes instead of spreading thinly. So I said at the same time that it means that all the road sections that we have today also have good, important local and regional purposes where we need to ensure road safety, road safety, uptime, etc., which means that they should not be forgotten, but it is not like where a person spends the money to reduce travel time. Based on that, several investigations were started. One of them was a so-called concept selection investigation and relates to the links between the East and the West. In the recommended Vegvesenet we sketched two main roads. One is E134, and the other is rv. 52 over Hemsedal, which includes parts of E16 and parts of Rv. 7th@item: inlistbox For the Hardanger range, this priority meant that the Vegvesen did not recommend the development of a long tunnel where, since it was not supposed to be a main trasé, but they thought that there should be some minor improvements to ensure, among other things, that. Travel life and wild fauna. This became more detailed in the concept selection investigation for rv. 7, which is the one that crosses the Hardanger range, and there were the challenges with the wild train on the Hardanger range. The road system concluded that one should build a shorter tunnel there, the Tieranut tunnel, which would probably solve the problem of wild rain in a satisfactory way. There's a tunnel about 6 km. This is part of what we're working on, and we're looking at the whole thing when we're working on the National Transport Plan. We need to look at how a tunnel solution, short or long, will ensure that one at least reduces the problems that exist, and is able to provide for the accessibility of road users, but not least the need for low and range of movements of the wild species. As I said, I think this has been done in a good way in the job that Vegvesen has done.
ParlaMint-NO_2016-11-16.ana.ud119e1257	Thanks for the answer. If we look at the resources of poor countries in East and South Africa, for example. using endangered species such as elephants and rhinoceros, it is quite encouraging to see how low our international obligations for the protection of wild fauna are being weighted when important choices are to be made. Now that the wilderness is listed as a global threat to the nature of the World Union for the Protection of Nature, which happened in August this year, does not the Council of State then agree that the consideration of the wild rain must be given more weight to the final choice of roads? Then I remember that all natural expertise points to the long tunnel as the good measure, as fewer and shorter tunnels open up for more human activity in the areas where the wild train would have preferred to cross rv. 7, in order to access pastures which actually constitute one fifth of the area.
ParlaMint-NO_2016-11-16.ana.ud119e1264	In all road projects, there are many different considerations to be weighed and taken into account. It's also about how much money you spend on which sections. We've said that E134 is one of the two most important routes in terms of travel time reduction. There will be a need for significant investment. If one says that one of the road sections recommended by Vegvesen should not be a major section, yet one should have some of the largest investments, but one really should not facilitate more traffic, then one ends up not necessarily caring for the total environmental interests or the total transport interests. This is one of the things we have to balance with each other in the work on the national transport plan. Now it is during the implementation of a so-called quality assurance report 1, a consultation and the draft selection investigation that goes on the Gol-Voss section, and it is natural that we look at the recordings that come there before we finally conclude. But I also think it is important for all politicians who are calling for action in their fields, that they also say which projects they will give priority to away from other road sections, as I feel that the representative Henriksen is in charge here.
ParlaMint-NO_2016-11-16.ana.ud119e1269	It leads me into what's my next question in this, alternative K3 in the concept selection investigation for rv. 7th@item: inlistbox It's about a long tunnel, and that's what makes us go wild. But it has an investment cost of 8.1 billion. kr, and there is no doubt the option that will give the wild cleaner the conditions that the wild rain must have on Hardangervidda today. How much does the Council of State think is the possibility that the government will put forward proposals for the construction of such a long tunnel, when rv. 7 do not have the status of main East-West link?
ParlaMint-NO_2016-11-16.ana.ud119e1274	One of the effects of shifting more of heavy traffic to E134 is that you also relieve rv. 7 in terms of traffic, and it will also relieve you of some of the problems you experience in the wild. Then I also record that the Vegvesen itself believes that the short tunnel they have proposed will be sufficient to meet the needs of the wild train. There I perceive that the representative Henriksen has a different view and is willing to spend more money on this. That means there's less money to solve other challenges, and that's part of the overall priority we have to do.
ParlaMint-NO_2016-11-16.ana.ud119e1290	This question is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2016-11-16.ana.ud119e1299	I would like to ask the Minister of Health: ‘I Prop. 1 S from the Ministry of Health and Health it is set up to apply proton treatment and health businesses are given the task of establishing a proton centre by 2022. The Boards of all four health establishments have decided that if a centre is to be built, ‘it would be natural to start the development in Oslo’. The urgent introduction of proton therapy will improve radiation treatment for many cancer patients and time and resources should not be used in the localisation debate. Does the Council of State support the view of health establishments that the first centre should be built in Oslo?’
ParlaMint-NO_2016-11-16.ana.ud119e1308	The government will ensure the establishment of proton treatment in Norway. Such an establishment is a major promise, and the government has put forward proposals on how to finance such a centre in the draft government budget for 2017. In December 2015, regional health establishments were commissioned to conduct conceptual investigations for the establishment of one or two proton centres in Norway by 2022. In addition, it was considered that different capacity options should be explored. Particulate therapy and proton therapy are relatively new, and in all countries that have established the drug, there has been a great deal of uncertainty and discussion about patient backgrounds and indications for treatment. It also applies in the Norwegian process. The government believes that there is an advantage to the gradual upgrading of proton capacity in Norway. Then we can gain national and international experience, and we can take advantage of technological developments in this area. The planning so far of proton centres has not been part of the established management system for investments in health enterprises. It is the former and present government that has initiated and prioritised this, and there has been no framework for the establishment of proton treatment in Norway. At the business meeting in January 2017, health regions will be required to carry out an additional investigation, based on a staged development – with clear framework conditions for the implementation of the project. If Stortinget joins the leaders in the 2017 state budget, health regions will then know that proton treatment should be established with 30 pst. State grants and 70 pst. loan financing. They've got 75 million. kr to implement the next phase of planning. It will provide a better basis for decision-making on the way in which the first centre is to be established.
ParlaMint-NO_2016-11-16.ana.ud119e1323	I thank the Council of State for the answer. I would like to stress that it is very good that we now take a big step further, and decide that a proton center will be built in Norway. There will be 77 such centers throughout the year around the world. Norway would prefer to be in the first row, but here we are ‘a little on the heel’ when it comes to getting started. Sweden has a center in Uppsala that started in 2015 and Denmark gets one in 2018. So we're going to get one in 2022. It has been provisionally estimated in the investigation that it could be about. 1,500 patients who want to benefit from proton therapy, and 270 are certain. I understand that the Council of State will take this step-by-step, and that you start building one centre, to which it is added in the State budget. My question is: when all the regional health companies say that if one centre is to be built first, you should start in Oslo, why can't the Council of State now signal that he is in favour of that conclusion, so you don't spend time in that one year more?
ParlaMint-NO_2016-11-16.ana.ud119e1332	The assessments and investigations carried out by health regions up to now have been carried out without knowing the conditions of establishment. What the government is now clarifying in the state budget is the economic conditions under which the creation of proton centers should take place. The economic conditions differ from such a usually financing investment in health regions by receiving 30 pst. in direct grants from the State – they will not have to finance 30 pst. through self-financing, as usual – and the remaining 70 pst. the financing of loans. The two current locations of the first centre are either Oslo or Bergen. But we also need to be able to look at which of the concepts that health regions themselves take responsibility for, which are feasible within the framework that they now know. They will now receive money for that, and the process can start in 2017.
ParlaMint-NO_2016-11-16.ana.ud119e1339	I thank you for that answer, too, which I did not think went directly to what I asked for. There is a gift package here, because it is a similar decision in four points from all four regional health companies, including Health West, where point 3 states that it would be natural to start the expansion in Oslo if you add one centre first and within a regionalised model. Here you get a gift package by avoiding a localization contest and taking down that ball, when there are four similar decisions from all health regions. The arguments are that the site at the Rikshospitalet scores the highest in a professional assessment, plus that it will be part of the construction project with a new clinic building at the Radium Hospital. This makes it possible to build faster, to have a strong environment for experimental treatment and to look at several areas of proton therapy in the years to come. There are also other arguments, which I am not able to repeat now, but are there other arguments than those contained in this concept phase investigation by health companies, to which the Council of State will place emphasis, as he pushes on the decision on location?
ParlaMint-NO_2016-11-16.ana.ud119e1346	I think the investigation gives good arguments, so that's not the situation. The representative himself used the concept of a 'gift package'. A gift package is something that you get for free, and that you don't have to take into account what costs. That's what's been a bit of the challenge with that model and the investigation of this that former Minister of Health Anne-Grete Stroem-Erichsen started, has given us, namely that the investigation has taken place here without the health regions knowing what the economic conditions for the work are. The government has now proposed to Stortinget what should be the financial framework conditions for the investment, and then we will also have a much more qualified assessment of this from health regions – because they understand the economic conditions under which this work will take place. They didn't know that before, so the first investigation showed that one wanted four centers – because then one didn't know who would pay for this either.
ParlaMint-NO_2016-11-16.ana.ud119e1354	‘In the light of a tight economic situation, a strong review of the structure of the Inland Hospital is now being carried out. There is a risk that the total hospital supply for children and adolescents between 0 and 18 years of age will be moved out of Hedmark County. With the distances it has, and the special needs of children and young people must be met, does the Council of State consider that this will provide a sound and regulatory health service, and will he do something to ensure that this does not become the future hospital offer in Hedmark for them under 18 years of age?’
ParlaMint-NO_2016-11-16.ana.ud119e1361	There is no doubt that the Hospital Inland has a demanding distribution of tasks between their hospitals, both professionally and resourcely. I am aware that, in line with the Board’s decision of April 2016, the Hospital Inland is now reviewing various professional areas in order to promote quality and assess the appropriate organisation of services, and to ensure that resources are used as much as possible directly for patient treatment – and this is what the Board refers to as short-term migration measures. The review shall ensure that the operation of the undertaking is sustainable. These are actions aimed at implementing between 2017 and 2020. One of the areas under consideration is the provision of children and young people. The Inland Hospital informs us that whatever the review ends with will be a comprehensive outpatient offer, daily and daily offer to children and young people in Hedmark and Uppland. They have set up an open, involved and predictable process involving the relevant municipalities, user organisations and trustees. The hospital also discloses that only one internal process has been carried out in the enterprise. New guidance for health business development plans contains recommendations on processes around different stakeholders, etc. I assume that the leaders I have given are followed, and that any changes are carried out in a good process and in a professionally sound manner.
ParlaMint-NO_2016-11-16.ana.ud119e1370	I would like to thank the Council of State for the answer. I understand that the Council of State does not decide on this, and I have respect for it, I just have to admit that. But at the same time, I would like to express a great deal of concern about the answer that was now referred from the Hospital Inland, that one is almost left with an outpatient offer, to perhaps the group of patients that I hope the Council of State and the government also perceive as the most vulnerable. Moving into a newborn ward – and it is a good competence that we have in the Inland Hospital related to children and young people, in my opinion – I think we are facing perhaps one of the most vulnerable things we can treat in the health care system, both the child, the family and those who are employed. So my strong call to the Minister of Health on my question is: Won't there be any leaders from the government that will prevent you from getting as long travel routes and a health offer as far as it is outlined here?
ParlaMint-NO_2016-11-16.ana.ud119e1375	Hospitals are responsible for assessing how a person organises and offers to the population, which the representative is fully aware of. When making those types of assessments, it is important to have open and inclusive processes that ensure that the different points of view are well lit, are open and can be discussed, and counter-representatives can be presented. One consequence of us demanding that kind of process is that the discussion comes out into the open room. I think that's good, but the fact that the discussion comes out into the open room also leads, of course, to many people becoming anxious and uncertain in those kinds of processes. Unfortunately, we have to live with that, because the alternative is so much worse, namely that that kind of process is done internally, and that one just presents the conclusion at the end. But I expect the Hospital Inland to follow the leaders given for the way in which this kind of process is to be carried out.
ParlaMint-NO_2016-11-16.ana.ud119e1380	I thank you again for the answer, which I see so far on the road can mean that at least you have an understanding that this is sensitive and sensitive. After all, we can face a cancer teenager who today has 20 miles of travel. We can face a family that is struggling in a new birth situation, with 10 to 15 miles of driveway, and we know how demanding it is for both the poor and the parents. It is so demanding that I had expected that the government might tighten something in view of the expectations you had for a physical presence of such an offer, and where you are at risk of imposing a very heavy burden on families – children and young people – with perhaps 20-30 miles of driveway to an offer that you must constantly keep up. One of the options available to the Council of State is to contribute to the actual increase in hospital appropriations, such as: The Labour Party proposes, and avoids anyone coming into this situation.
ParlaMint-NO_2016-11-16.ana.ud119e1385	Distance is, of course, a quality in healthcare, and the need to be close to services is important. But that's not the only quality. Competence, the size of the professional environments, the security of the offer provided are other important qualities, not least of which patients and user organisations are concerned. That's the whole picture that decides. Some of these services that the Hospital Inland is currently undergoing also affect the provision of services to municipalities, i.e. the interaction between the specialist health service and the community health service. It is, of course, also important that the municipalities concerned be properly involved in these discussions, because they may have consequences for the municipalities. So it's important that we don't draw conclusions in advance until we know the whole decision base. Therefore, the Hospital Inland must be given the opportunity to carry out these processes in a good way.
ParlaMint-NO_2016-11-16.ana.ud119e1397	‘On 16 June 2015, the Government asked to draw up a sectoral law for the water and sewerage sector. What is the status of this legal work, will a legislative proposal be submitted for treatment in Stortinget, and what is the estimated time in the case of this?’
ParlaMint-NO_2016-11-16.ana.ud119e1402	I understand that the representative here refers to the Committee's comment on the Storting's discussion of the 'People's Health Communication: Mestring and Opportunities'. The Committee notes that the primary objective of a sectoral law is to regulate what is currently not regulated by law, including the responsibilities between the municipality providing water and sewerage services and the inhabitants as customers of the subscription, and to provide the basis for a comprehensive charging code. The Committee further refers to the Overwater Committee, which was to deliver its investigation on 1 December 2015. I perceive that the proposal for a sectoral law is largely linked to areas other than those resulting from health law, food law and public health law. I am aware that the proposal for a sectoral water and sewerage law has also been promoted as a minority proposal in NOU 2015: 16 from the Overwater Committee. This investigation is now being followed up by the Ministry of Climate and Environment in cooperation with other departments concerned. The committee has proposed changes to a number of laws, regulations and administrative provisions to facilitate better management of overwater in municipalities. The question of a sectoral law will be considered in this context.
ParlaMint-NO_2016-11-16.ana.ud119e1409	Thank you. It is true, as the Council of State says, that the issue is based on a plural note in the suspension of the public health notification, where a joint committee asked for a sectoral law for the water and sewerage kit to be drawn up. The majority relate it to the forthcoming municipal reform, but the entire committee therefore asked for a sectoral law. As I understand the answer from the Council of State, the government will not follow up this plural comment, as the Council of State refers to the NOO, and that this should be reconsidered when the government is going to follow up the NOO that has been submitted. Is that what I'm saying here?
ParlaMint-NO_2016-11-16.ana.ud119e1414	No, it is not true that the government does not deal with the committee's comment. The unanimous comment of the Committee on this issue also refers to the Overwater Committee and that they should present their position on 1 December 2015. This setting was ready before the completion of the current job. In this context, the Committee points out that there is a need to clarify functional provisions in the form of a sectoral law for this important service area in the municipalities. That's also what the government is doing. It follows up the NOU work, it's working on it now. What will become the conclusions of the government after the NOU has been consulted – the Ministry of Climate and Environment is working on its follow-up – will come back to the proposals that will be promoted for the Stortinget as a follow-up to the case.
ParlaMint-NO_2016-11-16.ana.ud119e1419	Thank you. I still don't fully understand the answer from the Council of State. For me, the Committee's comment is quite clear: the Committee stresses the urgency of introducing more clear and functional specifications in the form of a sectoral law. Now a year and a half have passed since the setting, and I had believed that the government had started working with a sector law, regardless of the NOU that came out, because this is the Stortinget's opinion. Can the Council of State explain whether it is actually such that work on a sectoral law has not started and that the Minister of Health and Health has not taken any independent initiative to follow up the comments of a joint committee?
ParlaMint-NO_2016-11-16.ana.ud119e1424	Work on the follow-up of the NOU on overwater lies below the Minister for Climate and Environment. I know that work has a high priority, but it is too early to say now when the relevant legislative changes will be promoted for Stortinget. I disagree with a presentation that says that you should start your own work with a sector law on the side of work on the NOU, which deals with that topic, and where a minority in the NOU is just proposing a sector law. It is in this way that legal work is usually done, based on a NOU, the follow-up to the hearing and an independent assessment by the government. The Committee itself also points out the NOU work in its comments.
ParlaMint-NO_2016-11-16.ana.ud119e1434	«Health professionals are one of the most important occupational groups in the health and care sector. Never have so many young people chosen a health profession in higher education, but they continue to meet a working life that is unable to offer permanent employment and at least 100 pst. position, although everyone knows that their competence is very much needed. There is little happening in this area despite many good intentions. What will the Council of State do to keep up the work of offering 100 pst. positions of newly trained health professionals?’
ParlaMint-NO_2016-11-16.ana.ud119e1441	I am very happy that we now see that more and more people want to take this education, because this is a profession that we need in health care. In the Sundvolden Declaration, the government has said that we will work to reduce the use of involuntary part-time and temporary work in the public sector, as well as to establish a full-time culture in the labour market. The changes in the Working Environment Act, which entered into force in 2015, included: the framework for the averaging of daily and weekly working hours was slightly extended, making it easier to put in place local solutions. It was possible to work longer a few days towards corresponding more free another day. This may facilitate more full-time use. The Employment Committee, NOU 2016: 1, addressed challenges related to shift and turnaround schemes such as: may have an impact on the use of part-time work, and in particular in the health and care sector. The committee proposed changes to the rules on shift and rotation work. These proposals will now be followed up by a working group of social partners. The working group shall identify consensus and disagreement, present system and practice challenges and assess the need for changes in rules or practices. I also know that many municipalities are working to reduce the use of part-time. With this, it is hoped that several municipalities will work actively to reduce the use of part-time in healthcare services, among others. for newly employed health professionals. Hospitals have been working over several years to establish a full-time culture and reduce part-time use. In cooperation with employees’ and employers’ organisations, hospitals have succeeded in increasing their cause-based knowledge base, developing new measures and reducing the use of part-time from 2013 to now in all four health regions, with a reduction of 0.8 pst. in the North of Health, 2,8 p.m. in Health Mid-Norway, 4.7 pst. in Health West and 3.3 pst. in Health south-east. The efforts to reduce part-time use continue in hospitals. One of the challenges is to motivate and facilitate employees in hospitals to choose higher job rates, preferably 100 pst. position. Another challenge is that hospitals should, to a greater extent than at present, offer fully trained health professionals permanent jobs. I will follow this up in the business meeting with the regional health companies in January 2017.
ParlaMint-NO_2016-11-16.ana.ud119e1454	Thanks for the answer. It is a good description, but what we experience when we are in the municipalities is that they lack a greater pressure, because it meant something when we in the mission document showed that we wanted to work to get an increase in the specialist health service. In the municipalities, in ten years, we have been able to increase the proportion that works full time, by just two percentage points, from 44 pst. to 46 pst. The proportion has risen among women and actually declined among men. How can we work even more actively? I also have good examples from the Songdalen on Sørlanden, which with intensive work over two years has managed to increase from 66 pst. to 75 pst. There's something about the pressure that's going on. We are not concerned with overarching the municipalities, but with role models and clarification, and in this room we say that it is important that we take care of the resources and make the best possible use of them. What can we do even better than what we've done up to now?
ParlaMint-NO_2016-11-16.ana.ud119e1459	As regards health businesses and mission documents, I feel that health businesses continue to experience very clearly that it is a task to reduce the use of part-time. And we see that from the results. In the case of municipalities, the representative knows that it is much more complicated. I do not send mission documents to the municipalities, nor does Stortinget want me to do so. There we are more dependent on each municipality feeling a responsibility for this. As the representative pointed out: there are no good examples. Several municipalities have achieved good results. My experience, after visiting some of those municipalities, is that it's very much about one thing, namely that you have both a political and an administrative management that has a very clear and conscious attitude that this is something you should work systematically with. And if you work systematically with it, you succeed. The government has tried to make some changes to the law. It's going to be interesting to see what the party sample comes to, but otherwise it's simply to point out that this is a big challenge.
ParlaMint-NO_2016-11-16.ana.ud119e1468	When so many young people now choose health care – it's really in health care that we've had the biggest increase, and we know that the need is greatest there – I asked the investigation section to go through the five largest cities to see how many of the final teachers had received 100 pst. position. Almost none of the cities were concerned about the relationship between taking in apprentices and that this is a recruitment channel. It was actually just Trondheim who was going to hire five pieces, and Drammen one. You do a job in the specialist health service, but is it about thinking a little more actively towards municipalities, being a role model and highlighting it more clearly? Because there's waste of human resources. It's possible to start with the new kids. They want full-time jobs, at least that's for sure.
ParlaMint-NO_2016-11-16.ana.ud119e1475	I fully agree with that. It's about lifting up those who succeed in this. It is also important, as the representative was involved, to facilitate apprenticeships. The government has therefore, on every possible occasion, increased the apprenticeship grant, precisely to contribute to it, but also to make the public sector aware of its responsibilities for apprentices. There's something I'm taking up with the hospitals. They also have a responsibility to facilitate apprenticeships for this group. The municipalities do, too. There the county councils have a central role in playing with municipalities and pointing out the responsibilities of municipalities to facilitate apprenticeships, and of course in the next round of full-time positions. We are going to face a major shortage of labour in this sector in the years to come if we do not succeed in changing the situation. An important part of meeting the need will just be providing a full-time culture of health and care.
ParlaMint-NO_2016-11-16.ana.ud119e1483	‘The Right Party and the Advance Party are clear that they want significantly more privatisation in the care of the elderly. Unfortunately, it is a fact that poorer pay and working conditions are one of the strongest competitive advantages of private care providers. Why does the Council of State not think this is a problem, and why does he consider the ideological objective of more privatisation to be more important than to stop this competition based on poor pay and working conditions?’
ParlaMint-NO_2016-11-16.ana.ud119e1490	No, that's not right. The Right Party and the Advance Party do not want the privatisation of the care of the elderly. Privatisation means that municipalities rely on private individuals to perform the service, determine the quality and ensure payment. This is not either the Right Party or the Progressive Party. On the other hand, we are committed to ensuring good welfare services for citizens, including: by facilitating an increase in freedom of choice, and thus also greater influence over one's own life. With user choice, we give users more influence over their own everyday life. It could stimulate both the quality of services and the development of the content of services for which municipalities are responsible. One simply gives users not only a right of complaint, but also a right of exchange. Municipalities are committed to providing the best possible services to their citizens, and they have a long tradition of developing welfare services in cooperation with both private and non-profit actors. This creates innovation, freedom of choice and more varied offers. The Government Parties are trailers of competition. The difference between the Right Party and the Labour Party is that we do not have a specific position as to whether it is the municipality, a non-profit or a commercial player who should win that competition. So it's not the government parties, but the Workers' Party, which has an ideological goal, that one here in Oslo will prohibit private operators from using their own logo in hospitals where they have won tenders against the municipality. The working party believes that the care provider is more important than the elderly being given the care they want and are entitled to. I could not have disagreed more. When the Workers' Party took over power in Bergen, Oslo and Tromsø in the autumn of 2015, they initiated one of their most important political issues – no to freedom of choice. Now we see that the elderly in Bergen are deprived of the opportunity to choose the private home help, which has been for 10 pst. hours. In Tromsø, where the Workers' Party cooperates with the Red Party, they are now phased out Privat Omsorg Nord – against large protests from relatives. In Oslo, they are to re-municipalise one of the best hospitals in the city. City Council in Tromsø, Gunhild Johansen from SV, said to the newspaper iTromsø that there is nothing that separates private and municipal providers from home help, and that therefore the municipality would do this itself. When asked why many then chose private services, Johansen replied: ‘They may choose privately for ideological reasons.’ Local politicians from the Workers’ Party and SV may choose who should operate the care services based on ‘ideological reasons’, but I feel quite confident that older users and their relatives do not choose for ideological reasons, but based on what fits best in their lives, and not least that it also gives a value of their own to choose this type of service. But it's the municipality's responsibility, and it's the municipality that has to pay. Therefore, there is no privatisation, as the questioner suggests in his question.
ParlaMint-NO_2016-11-16.ana.ud119e1510	This is a very special attempt by the Council of State to cover up, but also to engage in dialogue on the same topic. He says it's not privatisation, but he's still referring to the invasion of the private sector. In my question, I do not ask questions about privatisation or not, but I say that in the competition that is going on when deciding who is to do the tasks for the municipality, it is a fact that what is the private advantage in the competition with the municipality's own is the pay and working conditions for the employees. That's not what they deliver, it's not quality – it's essentially pay and work conditions for the employees. The question is then: why does the Council not want to say that it is okay that you can compete, the right is for it, but at least we must guarantee decent pay and working conditions for employees? That's the question right there.
ParlaMint-NO_2016-11-16.ana.ud119e1519	Of course, private operators acting in Norway should have decent pay and working conditions for their employees. They shall comply with the laws; they shall follow the works of agreement, as all others do. It was just supposed to be missing. When the Workers' Party says that they are to purchase specialist health services in response to offers in the specialist health service, does that mean that the Workers' Party is to privatise hospitals in Norway?
ParlaMint-NO_2016-11-16.ana.ud119e1526	I had the impression that the questioning process was about the bigots representatives asking questions to the state councils – but it is a recurring trick from this government to ask questions back because you have weak arguments yourself. The Council of State says that there should be decent pay and working conditions. The question is then: is it decent when we see that people who have been employed in municipal hospitals and who move to new, private ones lose DKK 40,000–50,000 a year in pension entitlements, while falling into salary? Is what the Council of State believes is a decent, decent – what should I say – treatment of employees, of people who have provided care to the elderly in Norway through a lifetime, and who end their career with it? If the Council of State wants to label it as decent, it is good treatment of employees, it is the way competition should be, for all things – but I wish the Council of State would come back to Stortinget with a solution to how we do not compete on pay and working conditions.
ParlaMint-NO_2016-11-16.ana.ud119e1533	First, it is the municipalities themselves that set the conditions in the tenders they may wish to have. Secondly, if one in Norway works within the framework of the law and the contract work that is, related to both employment and pay, I expect the representative to agree with me that then there is a decent working relationship and a decent salary. This is because we have simply regulated ourselves – both through the law and through the Norwegian agreement – decent relationships in this area, and I assume, of course, that this kind of relationship is not broken. Then I would also like to remind you that nurses, who are the largest group working in nursing homes, have a statutory right to a pension in KLP, completely independent of the workplace.
ParlaMint-NO_2016-11-16.ana.ud119e1543	This question, from Øystein Langholm Hansen to the Minister of Health and Care, will be raised by Torstein Tvedt Solberg.
ParlaMint-NO_2016-11-16.ana.ud119e1548	I allow myself to ask the Minister for Health the following questions: ‘The government’s attempt to finance the care of the elderly so-called state has led many municipalities to refuse to participate, as it has been estimated that they are losing money on the experiment. In the Health Minister's home municipality, Stavanger, Røre's head of the Living Committee, Kåre Reiten, reported that the municipality would have lost several hundred thousand dollars to join. Does the Council of State understand the deep skepticism of its party body in the attempted state-funded care of the elderly?’
ParlaMint-NO_2016-11-16.ana.ud119e1557	The aim of the pilot scheme is to ensure that users are adequately met and to increase non-discrimination across local borders. In the 2017 state budget, 8 million have been proposed. kr for the investigation, implementation and follow-up evaluation of the experiment. Other funds will be used to improve care services for caregivers. I am pleased that we have been tried with state funding of the care services. It gives us better knowledge that we can use to organise care services in the best possible way in the future. The municipalities say they have learned a lot about their own municipality and operation through this process. They have become more aware of how they organise services and how the individual patient can be cared for. It has a value in itself and will make the municipalities better rusted after the experiment is completed. Furthermore, we have tried out national criteria for who should be entitled to the care and care of the lucky day. It's important for the next step in the introduction of the statutory right to do just that. The experience of the municipalities involved will also be useful for other municipalities. Different municipalities have had different reasons to apply to participate in this project or not to do so. The municipalities that have planned to cut – what is often called to make care more efficient – in the years to come will not be able to do so if they are involved in the experiment, for the simple reason that the attempt locks up the money for the care services, so that you cannot spend less money on this and instead spend the money on other things. I don't think anyone suspects the government to carry out this experiment because we want the municipalities to spend less on care for the elderly, on the contrary. Different municipalities will be in different situations. Stavanger Municipality is in the situation that, compared with comparable municipalities, they use a lot of resources on just these services. I understand that is the background that a cross-political person in Stavanger does not want to go into this experiment, but has many other exciting development projects in the care of the elderly.
