ParlaMint-NO_2016-10-19.ana.ud107e28	The representative, Mr Pollestad, will present a proposal for a representative.
ParlaMint-NO_2016-10-19.ana.ud107e917	The government is focusing on pursuing an offensive and holistic gender equality policy. This is why a Communication on gender equality was promoted to the United Kingdom last year, which focused on a number of societal areas where efforts are still needed in several sectors. SSB figures show a positive trend towards more equality. Gender differences in management positions, income and part-time work are the lowest since 2008. Nevertheless, after decades of gender equality policy, there are still challenges. The reality of the Stortinget decision on 14 April this year was the unanimous adoption by the Government of the notification of the decision with 72 measures and 14 additional proposals from the Stortinget. I want to assure the Storting that these proposals are well-informed by the government to follow up. The government has also chosen to step up efforts in areas we believe have a particular impact on gender equality: violence and abuse, growth and education, working life, health, business and entrepreneurship. The Bondevik II Government gave annual equality assessments in the State budget. Equality assessments were part of a Nordic cooperation project on gender and gender mainstreaming in budgetary work. Before the end of 2005, the Bondevik Government also presented a thematic equality annex to the State budget on the allocation of financial resources between men and women. In the eight-year history of the Stoltenberg II government, two equality annexes to the State budget were presented, in the 2008 and 2009 budget. With regard to the very question from the representative of Trettebergstuen, I assume that the representative is well aware of the timing of a budgetary process. A thorough equality assessment of the entire state budget requires close and good cooperation and coordination with the relevant department. It is a time-consuming process, and therefore, at the government's discretion, there was too little time to develop it in a complete way, as the Stortinget has asked. We will therefore present an overall gender equality assessment in the state budget for 2018. I have also informed Stortinget that in the spring of 2017, I will come to Stortinget with a briefing on the gender equality work as requested by Stortinget, which was last done in 1999 by the Minister for Children and Family at the time Valgerd Svarstad Haugland.
ParlaMint-NO_2016-10-19.ana.ud107e938	I find it strange that in six months you can't say anything about the gender impact of the state budget as a whole. This is important, because although this government has not taken a single equality policy initiative that is going to lead equality further, it is the whole of the policy that says something about which direction we are going. This government's tax policy benefits older men. The distribution policy has turned its head around. It fails single mothers in social security, there is a lack of intervention against involuntary part-time, cuts in paperwork, cuts in organisations working with equality, cuts in LDO and the centres – yes, there is less and no more equality between the policies of this government. Everyone can see that with half an eye. Does the Council of State consider that the 14 measures for increasing equality adopted by the opposition in the context of the notification are good measures?
ParlaMint-NO_2016-10-19.ana.ud107e945	The government shares the intention in many of the proposals that came from the opposition and were adopted here at the Stortinget in April. We believe that the 14 measures – in addition to the more than 70 measures in the Single European Act – that we are doing well now are also involved and move on to equality. The government is well-informed to follow up the Stortingen proposals and will return to Stortingen in an appropriate manner and inform about that work. This is a work that takes place in many sectors. It takes place in the Ministry of Knowledge, the Ministry of Labour and Social Affairs, the Ministry of Health and Welfare and the Ministry of Justice and Defence, and the intention is something we share. I am also very pleased that the Storting is very clear that with regard to the challenges we face in violence and abuse, in education and in a sex-shared labour market, there are measures in the gender equality message that the government has promoted to move this forward. I do not share the representative's view regarding the suggestion that equality has gone wrong.
ParlaMint-NO_2016-10-19.ana.ud107e954	This response from the Council of State is a bit symptomatic of the views of the Right and Advance Party representatives and this government on equality. It doesn't keep sharing intention. Nor does it hold to deliver a message that outlines the challenges we face, but it does not come up with a single measure that can do anything about it when, at the same time, in the whole policy, equality is put in reverse. It's not just the Workers' Party that means – most of those who can crawl and walk who are concerned with equality, agree with us. Does the Council of State feel that it is a bit embarrassing to be forced on equality policy by the opposition and not deliver itself?
ParlaMint-NO_2016-10-19.ana.ud107e961	As the responsible state council in this field, I am proud of the gender equality message that the government presented last year, which was adopted in Stortinget. It unanimously adopted over 72 proposals to promote equality. I'm glad we see that the gender differences are the lowest since 2008. The proportion of children in kindergartens has increased – it has not fallen, as the representative points out. The increase in the proportion of female professors still has, there are stable numbers of women in government, we have a lower proportion of women working part-time. The 72 proposals adopted by a unanimous majority and promoted by the government in the Single European Act are proposals that will draw equality in the right direction.
ParlaMint-NO_2016-10-19.ana.ud107e971	‘In connection with the treatment of the equality notification, the Stortinget adopted a decision asking the Government to establish its own tripartite cooperation for increased equality with the social partners. Can the Council of State explain the work of the Government on the follow-up to this Decision?’
ParlaMint-NO_2016-10-19.ana.ud107e978	The government wants an inclusive working life where equality and diversity are at the heart of it. The government has put the spotlight on challenges and, through the gender equality message, has introduced several measures that contribute to increasing equality. We need the social partners with us in that work. Therefore, the ongoing cooperation we have with the social organisations is important. Good cooperation arenas between the authorities and the social partners are based on a solid tradition in Norwegian working life and politics. Labour and pension policy councils are a permanent meeting venue between the government and the eight main social organisations. In addition, a working group on equal opportunities is established in the labour market. This is part of the tripartite cooperation. This group is anchored in the Labour Market Policy Council. The Working Party is chaired by the Ministry of Children, Gender Equality and Inclusion and the Ministry of Labour and Social Affairs, where the parties discuss important gender issues that they can later address in the Council. This well-organised cooperation helps promote equality between women and men in the labour market. So there is today a well-functioning cooperation with the social partners on gender equality. By raising gender equality in meetings with the social partners, the government makes it clear that equality is important to address, in line with other key issues in the world of work. We have started to follow-up the Grand Duchy's request decisions on tripartite cooperation for increased equality with the social partners. In the Working Party on Gender Equality, we have discussed how we can work more effectively for increasing gender equality and how today's cooperation can be further developed. This will also be addressed at the November Employment and Pension Policy Council, where equality is on the agenda. I will then come back to Stortinget in an appropriate way with how the government will follow up the request decision that the Stortinget has made.
ParlaMint-NO_2016-10-19.ana.ud107e989	I would like to thank the Council of State for the answer. It almost sounds like this is a work that has been going on for a long time, and it might be interesting to hear with the council if she believes that the request decision, which a majority on the Stortinget is standing behind, was unnecessary. In the view of the Christian People's Party, it really wasn't, because we see that there are huge pay differences between women and men in working life, and that therefore it is absolutely necessary that a job be started. The council says that she will return to Stortinget in an appropriate way. The Christian People's Party believes that the government should design demands for a timetable for the social partners in order to correct pay discrimination between women and men, so that pay differentials are reduced and gradually eliminated, and give the proposed tripartite programme for gender equality to work on this. What does the Council of State think about that?
ParlaMint-NO_2016-10-19.ana.ud107e998	Let me first start by sharing the representative's commitment that we need close and good cooperation with the employment organisations and the social partners if we're to move on in the field of equal opportunities. This Council has been in place since 2004, when the Bondevik II Government established this Cooperation Forum. In 2008, the scope of the Council was developed to cover pension policy issues and changed the names of the Labour Market Policy Council. The Working Party on Equal Opportunities for the Council was set up from 2014. It would be natural for us to discuss with the parties what topics are relevant for them to discuss and which they believe in cooperation with the authorities and the employment organisations to be involved and contribute to the progress of gender equality.
ParlaMint-NO_2016-10-19.ana.ud107e1003	Thanks for the answer. If this Council has existed since 2004, I must say that it is rather disappointing that there has been no more progress in terms of gender equality policy and not least in terms of equal pay for equal work. But I hope that the government will now follow up this request decision, and that a timetable will be set for this. A slightly open question: in addition to this, what does the Council of State see as the fastest and best way to achieve the goal of equal pay? Is there any other measure that the Council of State sees that one could also have put into practice? The Christian People's Party has called for an equal pay pot. Is there anything the Council of State could look at?
ParlaMint-NO_2016-10-19.ana.ud107e1010	To answer the question, it is also very much up to the social partners to discuss pay. It is natural that this will also be raised as a theme in the meetings we have with the social partners when we have equality on the agenda. I am aware that the proposal put forward here by the representative was voted down in Stortinget. It is important when we discuss equality in employment with the social partners, that the social partners are aware of the role they have, and that the pay and working conditions, for example, are in place. discrimination in the workplace, is also lifted in the work of the parties. So this is a advice that has existed. The request decision states that the Stortinget asks the government to establish its own tripartite cooperation. It is already a well-functioning tripartite cooperation today, but we will come back to how this can be further developed and strengthened.
ParlaMint-NO_2016-10-19.ana.ud107e1017	Then we go back to question 1.
ParlaMint-NO_2016-10-19.ana.ud107e1025	This question, from the representative Jan Bøhler to the Prime Minister, will be answered by the Minister of Health and Care on behalf of the Prime Minister.
ParlaMint-NO_2016-10-19.ana.ud107e1030	I allow myself to ask the Minister of Health the following questions, as it was today: «After the Scandinavian Star fire in 1990, Erik Dørk Andersen was appointed a police perpetrator and in St.meld. No 63 for 1991-92: ‘It is considered presumptuously likely that the fire was incited by a passenger who himself died’, cf. page 1, on page 14, he is identified. At the Scandinavian Star press conference on 9 August, the police in Oslo said that they “will stress that there is no evidence either then or now to designate him as a perpetrator”. Will the government, after this, lament Andersen's family?'
ParlaMint-NO_2016-10-19.ana.ud107e1039	The question is originally addressed to the Prime Minister, but it is decided that the Minister of Justice and Emergency Response will respond on behalf of the Government, and I will respond on behalf of the Minister of Justice and Preparedness. The fire on the passenger ship Scandinavian Star occurred night until Saturday, April 7, 1990. On the same day, the attorney general decided that the Oslo Police Chamber would conduct a necessary police investigation in connection with the fire. After an extensive investigation, the national lawyer filed the case by an endorsement of 11 March 1991. There it was, among others.\t\t You can change the «The investigation has revealed that only one person can be suspected of the fire strike, namely Danish national., f. 030852. died in the fire, and it is not possible to proceed in the investigation against him. Therefore, in relation to the fire set-up, the matter is to be decided upon in accordance with the position of the certificate.» This can be seen on page 14 of St.meld. No 63 for 1991-1992 on the fire accident on the Scandinavian Star passenger ferry. In the introductory part of the same gross message: ‘The fires are considered to be presumptuously likely to be incited by a passenger who himself died.’ As it is clear from what I have reproduced from the Storing Message, the Danish citizen is not identified in this document in addition to the fact that his date of birth is included. He's not named. The Oslo Police Commissioner recommended in June 2014 that parts of the Scandinavian Star case be resumed with limited investigation. After the investigation, the police failed again, this time referring to a lack of evidence. This appeal decision has been appealed in such a way that the final appeal decision is not yet available. The handling of individual cases in the criminal field is governed by the prosecution authority, which is chaired by the National Attorney. In dealing with individual cases, the prosecution authority cannot be instructed by political authorities. State councils should therefore refrain from any opinion that might be perceived as the position in or the assessment of prosecution issues in individual cases. This applies not least to the absence of a final appeal decision. If, in dealing with the complaint of the new order decision, the prosecution authority changes the view of the Danish citizen on the matter, I assume that his status in the case changes according to good prosecution practice. As can be seen from what I said at the outset, the notification of the cancellation showed to the Riksadvokat's prosecution decision in 1991. This was probably not a position on the charge question, but it appears as a reference to what was available at that time from information on the outcome of police investigations. The Supreme Court shall, in December, examine the question whether the Danish widow and her son may apply for a hearing for the waiver of the suspicion of the deceased, cf. Article 241 of the Criminal Procedures Act. The General Court and the Lawyers' Court have concluded that, under this provision, the court is the sole suspect, not the survivor. The widow has therefore not received any support. The appeals committee of the Supreme Court has decided that the case should be dealt with in the Chamber.
ParlaMint-NO_2016-10-19.ana.ud107e1069	I thank you for your answer. The new thing is that on 9 August, a final police report came after a thorough review of the investigation in this case over a year and a half, concluding as clearly as I quoted. In St.meld. No 63 for 1991-1992, it is, in fact, actively stated in the government’s own text: ‘The fires are considered to be presumptuously likely to be instigated’, etc. And the person who must have incited the fire is indicated later in the communication with the date of birth, «Danish citizen., f. 030852.. perished in the fire’, which is mentioned in the media repeatedly, so there is no doubt that he was actually identified. It is important for us in Norway to show that we are a legal state that also takes the consequences when it is established that mistakes have been made towards people. I would like to ask the Council of State to clarify more precisely what is in the answer.
ParlaMint-NO_2016-10-19.ana.ud107e1076	Yes, and an important part of being a rule of law is also having a very clear distinction between political authorities and prosecutors and courts. I have also explained that in my original answer. I believe, on the basis of what I have explained, that it is not natural to make a specific public complaint in such a case. I also feel that Stortinget has actually set up an investigation commission which by 1 June 2017, among others. shall assess whether the facts set out during previous treatment by the Storting, including: in St.meld. No 63 for 1991-1992, to which reference is made, gives a correct and adequate picture of the case. There is also reason to note that the main message referred to in the question was provided by the Ministry of Foreign Affairs on 19 June 1992. It was under Gro Harlem Brundtland's third government. At the time of the presentation, Thorvald Stoltenberg was Minister for Foreign Affairs and Kari Gesteby was Minister for Justice – both from the author’s own party. These are, of course, free to express how they today assess the presentation given in their 1992 survey report.
ParlaMint-NO_2016-10-19.ana.ud107e1083	Thank you again for your answer. My point is that the big message does not clearly distinguish between the role of the Court and the role of the legislative authority – that is, the role of the Grand Duchy – and the role of the government, because it says in its own text, on page 1: ‘The fires are considered to be presumptuously likely to be incited by a passenger’, etc. If you'd just quoted the Riksadvokat later in text, it's something else than actively on page 1 drawing such a conclusion. At that time, it did not distinguish well enough between what the judicial authority — the judiciary — does and what is the role of the Storting and the government. So that's the division that we could get ready now. As far as the investigation commission here at Stortinget is concerned, it is not about the investigation. It concerns the handling of the case by the authorities. The investigation is dealt with in the report that came.
ParlaMint-NO_2016-10-19.ana.ud107e1097	That's right. The question is also about now giving a political regret for something that was in a political document, and I have answered what the government's view of it is. When the police investigated the Scandinavian Star fire, it was part of the handling of an individual case in criminal matters. Political authorities may not instruct in the handling of individual cases in this area. It is neither right nor natural for a political representative to complain about something that has happened in connection with an investigation conducted by an independent prosecution authority. If one is to make a political assessment of what is in the big message, it is close to the fact that it is the state councils that were responsible at the time, which might have to assess it, based on the situation of the day, or the Storting can of course do what they want in dealing with their case.
ParlaMint-NO_2016-10-19.ana.ud107e1109	This question has been withdrawn.
ParlaMint-NO_2016-10-19.ana.ud107e1117	«The hospital strike is referred to by many as a total trust crisis. Forced payroll does not solve this fundamental problem. Conflict and conflict affect the working environment and are a threat to patient safety in our hospitals. In a recent national study, the Health Directorate has identified poor cooperation climates in very many Norwegian hospitals and hospital wards. There is therefore a need for action. What will the government do to resolve the crisis of trust that results from the conflict?»
ParlaMint-NO_2016-10-19.ana.ud107e1124	A work conflict and its impact can often be demanding. I see that there is a challenging situation with strong opinions and opinions. On behalf of the patients, I am pleased that the hospitals are now in operation again. It is now important that hospital managers and staff contribute to good and constructive cooperation. The national salary earner shall decide on the content of the new collective bargaining agreement. The parties are the Academics and Specter. On the basis of the rules of the labour market, I cannot act as Minister of Health and Welfare in a way that can be seen as an attempt to influence the Rikswohnsnenne. I want to strengthen trust between managers and employees in hospitals. We need a working environment in hospitals that is characterized by transparency, quality, security and respect. There shall be a good reporting culture that contributes to the development, learning and good patient safety, and a high ceiling for involvement, debate and expression. I have the overall responsibility for the hospitals. Management, working environment, trust and patient safety are issues that I take most seriously. That is why I have asked for an increased effort from hospitals in terms of working environment and patient safety. At the business meeting on 12 January, I asked regional health companies ‘to continue working to improve patient safety and to see this in the context of health, environmental and safety work’. At the board seminar for the health regions on 16 February and in the letter of 16 March, I made this further concrete. Regional health enterprises briefed on the work of a joint follow-up meeting on 22 June and in the follow-up meeting to be held on 25 October, management training and leadership support to facilitate transparency and dialogue in hospitals are an important topic. In this context, it is also necessary to provide information on the plans and measures taken by health regions to re-enter patient treatment followed by the strike. The results of the patient safety programme in safe hands in 2014 show that at least 44 pst. treatment units in hospitals have a working environment that increases the risk of adverse events. I have asked the health regions to use this knowledge in their improvement work. A new screening of the patient safety culture shall be carried out in 2017. As I said earlier, next week, health regions will provide a briefing on how they have complied with the requirements I have set so far. I will then decide whether there is a need to impose further requirements on new measures.
ParlaMint-NO_2016-10-19.ana.ud107e1139	Thanks for the answer. I understand that the Council of States cannot enter into the strike or the labour conflict, but this is not any labour conflict. One can solve the strike with forced pay, but the trust crisis, as this is described as, cannot be resolved by coercion. This is not about money, but about the principle – of requiring influence on their working hours, on watch regimes and on the length of their working hours. My question is whether the Council of State can generally say that he thinks that working time is an individual matter, or that he wants to work for a health service where working time is regulated by law or regulation, so that health workers are guaranteed collective protection.
ParlaMint-NO_2016-10-19.ana.ud107e1146	Of course, hospital working hours, as in all other sectors of Norway, are regulated by law, regulation and collective bargaining. That's exactly what you've chosen as the Norwegian model. So one has some frames that the Storing and the Government decide. So one also says that one has organisations, and that depends on the size and degree of organisation of the organisation. Its stronger organisations on the labour side are, the greater the possibility of a collective agreement to agree other rules within, and exceptions related to, law and regulation. It is very important that there is a question just between these parties, because if one of the political authorities, in addition to the law and regulation, were to also enter into the leadership and interfere in the negotiation of the tariff agreement, we would have destroyed what I think we all experience as an important part of the Norwegian model.
ParlaMint-NO_2016-10-19.ana.ud107e1151	Thank you for that. This conflict, which is widely described as having a background in a crisis of confidence in the health care system, has led to the hospital strike that has been the longest in our hospitals ever. He's got a whole employee page, not just legging. Hospitals are knowledge companies that depend entirely on one having confidence in the services. If the way health services are rented — missing local rentals, e.g. – a lack of trust between those who work there and the people who work there over time is something that the Minister of Health should also be concerned about. In the answer he referred to patient safety work in openness culture, that's good. But besides that, what will the Council of State do to ensure that there is greater trust between those who work and the Norwegian hospital rental?
ParlaMint-NO_2016-10-19.ana.ud107e1156	As the questioner suggests in his question, and as I also draw up in my answer, it is not that this discussion has occurred during and after this conflict, but there has been a topic that has been up to discussion over time. That's also one of the reasons why, long before it was known that there was going to be a conflict related to this year's tariff settlement, I gave a concrete mission to the health regions in this area, because I believe that we have – and it shows the patient safety work and the study – a challenge related to the transparency, culture and management of our hospitals. It's a challenge that I highly acknowledge, and that's why I've started a work on it. I also feel that the representative is concerned about this issue – in the same way that I am. It is, of course, demanding now that we are still formally in a conflict situation, to cope with the long-term challenge. And I will – without being perceived as interfering with something that is a legitimate conflict between two social partners.
ParlaMint-NO_2016-10-19.ana.ud107e1164	This question, from the representative of Kari Henriksen to the Minister for Justice and Security, will be answered by the Minister for Health and Welfare on behalf of the Minister for Justice and Security, who has left.
ParlaMint-NO_2016-10-19.ana.ud107e1169	‘The justice sector is far from equality goals the Council of State says it will now, and the situation for women in prison is serious. While male prisoners are credited with several million dollars a year for housing in the Netherlands, the budgets for prisoners in Norway are suffocated and female inmates are affected. The Workers' Party compensated Bredtveit for the so-called ABE reform in the 2016 budget and has followed up several of the points in the report on women's housing conditions. What will the Council of State do to improve the compensation for women in prison?’
ParlaMint-NO_2016-10-19.ana.ud107e1176	I would like to begin by thanking the representative Kari Henriksen for once again addressing an important issue in Norwegian criminal justice. I fully agree that the reconciliation of women is an important topic. Women and men shall be subject to equivalent conditions during the criminal proceedings and women shall be entitled to an organised equal offer with men. The representative of Henriksen has also argued in the past that male prisoners will be compensated for several million years in the Netherlands and that this affects female prisoners. This must be due to a manifest misunderstanding. The sites we rent in the Netherlands provide better access to accommodation in Norway. This is precisely what frees women's places in separate departments and improves the organisation of women's shelters. If we had had a stronger pressure on the settlement sites we have in Norway, the conditions for women would not be better — rather, on the contrary. What we have achieved in prisons in the Netherlands is that the pressure in Norwegian prisons is dramatically reduced. The pay queue has been reduced from over 1,200 judges when the government took over, to 334 judges at the beginning of October, overtime in police detention has been significantly reduced, the pay queue for women is much shorter, and we have a more effective criminal execution. A lower pressure on settlement sites in Norway has contributed to the fact that we in this government have done a lot to improve the conditions for female prisoners. We've already turned Kragerø prison into a woman's own prison, and we're following up on turning department G of Kongswinger prison into a women's ward from New Year's. By setting up own prisons or separate prison departments for women, it will be easier to accommodate the needs of women. The Directorate of Criminal Welfare is working on a women’s soning strategy to be implemented during the year. The Ministry will follow up the measures when the strategy is available. The government has also proposed to reorganise criminal services from today's three levels to two levels, without regions. I am engaged in an organisation that facilitates the follow-up of women prisoners and sentences on specific challenges and needs. The government has therefore proposed the establishment of a special unit with specific responsibility for the provision of compensation to women throughout the country. This unit will have special competence in this group of prisoners, including: in the fields of health, education, work and not least child care. This proposal is now under discussion in Stortinget.
ParlaMint-NO_2016-10-19.ana.ud107e1191	Thank you for that, and thank you for the answer. I agree that some things have been done, but I cannot understand the argument that an exchange of places necessarily leads to better quality. What we see as the result in Norwegian criminal justice, in the Netherlands it seems to work better, is that the number of rapes and threats is increasing, there is a greater degree of insecurity, staff complaints – on serious incidents, which are also reported. What I read from the budget is that in the justice budget, it is not mentioned in one word in the bet areas that women should get better. It is mentioned in the budget proposal – yes, and it is good, but there is no mention of women being a special bet when it comes to the budget. So now I can ask the Minister of Health if he has put some money into his budget that is earmarked for women in prison.
ParlaMint-NO_2016-10-19.ana.ud107e1196	I believe that what I answered the original question from the representative shows that the contradiction that the representative is trying to draw between buying settlements in the Netherlands and the situation of women is a designed contradiction. In fact, it will have the opposite effect – it is quite obvious that the reduction in the pressure on Norwegian settlement sites has allowed for the kind of improvements in the settlement conditions for women that I explained, both with the offer at Kragerø prison and in Section G of Kongsvinger prison. If the Minister of Justice thought that the situation for Norwegian women in prison was good enough, I would have understood the criticism, but that is the opposite. That's why one has asked to create one's own women's soning strategy, which will be available during the year, and that the government in the matter that we are dealing with in Stortinget has proposed to set up a special unit with special responsibility for the provision of compensation to women throughout the country.
ParlaMint-NO_2016-10-19.ana.ud107e1201	Now we're sending out 21 million. kr only as a currency correction that goes to nothing, really, and it is from the budget to the criminal justice system. The point is that when fewer women are also in prison wards, they actually get a reduced offer because it becomes more difficult to get logistics to go together. When you're going to choose between getting ten men to an activity and one woman, with the same number of employees, it's often the women who get lost in terms of rehabilitation, and that's my point. The same applies to healthcare. I can only end by saying – since it's a stand-in state council – that I would urge the Minister of Health to speak well with the Minister of Justice to raise measures for women in prison in terms of both health and rehabilitation, because there is something these women need. It is true that this is not something that has happened now, but it can be improved, and then the government is in position to do it.
ParlaMint-NO_2016-10-19.ana.ud107e1208	I can assure the representative that there is another Council of State with which I have a close and close cooperation on all matters that lie between the health field and the justice field, and that is precisely the Minister of Justice. We have regular follow-up meetings and resolve matters between us continuously. So I agree that it's a point to have common charity for women just to be able to give women a better content in the settlement, and that's why one has established Kragerø prison as a separate women's prison and is now also being made a separate department at Kongswinger prison into a women's ward, just to be able to give a better organized offer. But this is not enough, and therefore there will also be a separate special unit for this in the new organization and created a separate strategy. So we fully agree that we still have challenges related to the reconciliation of women, but this government and the Minister of Justice have really taken this on board.
ParlaMint-NO_2016-10-19.ana.ud107e1225	This question has been drawn. So we go back to question 3.
ParlaMint-NO_2016-10-19.ana.ud107e1235	This question, from Rasmus Hansson to the Minister for Climate and Environment, will be answered by the Minister for Knowledge on behalf of the Minister for Climate and Environment, who has been away.
ParlaMint-NO_2016-10-19.ana.ud107e1240	The question addressed to the Minister for the Environment and to be answered by the Minister for Knowledge is as follows: ‘When Norway adopted the EU directive, an estimate of the cost was made where we now have a lag of 300 million kroner and one year of planned work. The size decided unanimously to include the Water Directive and the inclusion in the EEA Agreement of the financing needs and the financing estimated in the Government’s proposal. How will the government achieve the objectives of the EU Water Directive without providing the necessary funds for local work?’
ParlaMint-NO_2016-10-19.ana.ud107e1249	The water management plans for 2016-2021 were approved by the Ministry of Climate and Environment on 1 July 2016. Environmental objectives have been set for all rivers, lakes, coastal waters and groundwater in Norway. The plans result from many years of work carried out in the eleven water regions. Environmental improvement measures are now to be implemented in a number of areas. In general, the implementation of concrete environmental improvement measures shall be covered in line with the polluter pays principle. The costs of environmental improvement measures for municipalities shall normally be covered by municipal water and sewerage charges. Appropriations for water environmental work over the budget of the Ministry of Climate and Environment over the last nine years, from 2008 to 2016, amount to a total of more than 550 million. kr. The allocation of such measures has increased by 58 million. kr for the period 2015-2016. Much of the good work in the now approved water management plans has been done by the local level in the so-called water areas. Part of the budget appropriations have been allocated to this level in order to strengthen participation and influence on the levelling work. In 2017, the Government will mainly continue this practice.
ParlaMint-NO_2016-10-19.ana.ud107e1260	I thank you for your answer, but I note that the financing plan set out in the Stortingen for the implementation of the water regulation has not been followed up. According to KS, today there is an accumulated deficit of approximately 360 million. kr related to this job, and I can also confirm that I have been registered from the water regions every year throughout this period. I can also show that the state, as the Council of State points out, has approved the water-region plans. This implementation requires increased State effort, but is therefore not part of the State budget. So, with state-approved water region plans and measures to be implemented, will the government present a new funding plan for the water region plans?
ParlaMint-NO_2016-10-19.ana.ud107e1269	What are the future plans of the government, the Minister for Climate and Environment may have to come back to. Regarding the question from the representative Rasmus Hansson about what has been done, I explained it in my answer. There are two elements in that answer. One is that here, too, we use a polluter-pays principle. We know that municipalities will have costs with what is a strong uplift for the water environment in Norway, but it will normally have to be covered by municipal water and sewerage taxes. The Ministry of Climate and Environment has a budget that has increased sharply over the past nine years. Today it amounts to 550 million. kr. Action appropriations have increased by 58 million. kr in the period 2015–2016 and is mainly passed on to next year, so based on it it would not be right to say that there is no government money here.
ParlaMint-NO_2016-10-19.ana.ud107e1278	Well, I think it's right to point out that the financial plan that has been adopted is actually not visibly followed up in the state budget. As the Council of State itself pointed out, it has been decided to achieve good environmental status in both water and watercourses and fjords and coastal waters by 2021. This shall be a comprehensive management and it shall follow new administrative boundaries covering the river basins. The question will then be: can the Council of State, with the actual financing situation, on behalf of the Environment Council and the Government, guarantee that all Norwegian waters and watercourses and fjords and coastal waters will have achieved good environmental status by 2021, which is the purpose of the water regulation?
ParlaMint-NO_2016-10-19.ana.ud107e1285	With today’s level of funding, today’s lag will be achieved during 2019. Then we also have measures to achieve environmental objectives that will be operational by the end of 2018. Sectoral authorities are obliged to assess all proposed actions and to select those that produce the best results. I believe that the process that is under way will lead to that goal. So it's, as I said in my first answer post, also here, so that we use a polluter pays principle. Nevertheless, we also grant something extra to specific themes, such as: cryogenic, river moss, river conservation and agricultural pilot projects.
ParlaMint-NO_2016-10-19.ana.ud107e1295	I would like to ask the Council of State to answer a question: ‘I see the Inn. 228 S for 2015-2016, Decision 604; ‘The Government asks the government to design and introduce credits for boys and girls applying for lines in secondary schools where there is, for example, 80 per cent or more of the opposite sex, and to return to the Storting appropriately.’ What plan does the Council of State have for this?’
ParlaMint-NO_2016-10-19.ana.ud107e1304	I appreciate the question. It's quite right, what's premeditated here, that Norwegian boys and girls choose to a great extent gender traditional in their educational and professional choices. Guys, for example, choose: to a greater extent vocational training programmes, girls to a greater extent specialisation in studies. We saw again that boys chose much more construction and electrical engineering, while girls chose health and education and design and crafts. The large majority are granted their first choice when applying for the input to Vg1. The reason for uneven gender sharing among some educational programmes is primarily the students’ search pattern. A system of quotas is therefore likely to have a limited impact on the spread of gender, but of course it can have some effect, so I will not exclude that the rules on admission to higher education can contribute to a better gender balance in different disciplines. National rules on admission to higher education will break the line of thought underpinned by the current rules on admission, where the county dimension and the applicants are ranked by point. That means that, as the Stortinget has also asked, we have to spend some time investigating, and that has to be done thoroughly. In cooperation with the Education Directorate, we will explore how admission rules can contribute to a better gender balance in higher education, and we will return to the Stortinget in an appropriate way. The concrete order to the Education Directorate will be made in these days – not today, but in a short time.
ParlaMint-NO_2016-10-19.ana.ud107e1313	I would like to thank you for your answer. First of all, I have to say that it can't be very difficult, because it has worked, for example. in the 1980s. The Minister of Knowledge was probably quite young then, but it has worked before. I think it's possible to do this, and I'm glad it's started. But I want to take a little challenge that comes after, because once the girls and the boys have chosen untraditionally, it's unlikely that we'll follow them up. In the past, there was an equal opportunities officer in each county municipality, and they followed up and held it as a responsibility. Today, if anyone is interested in gender equality, there can be a lot, for example: in More and Romesdal, which have very good measures – South-Trundelag too, for that matter. But if there's a state where there's no one who has a special interest in it, there's actually nothing happening. I think we need to get back a equality officer in the county councils. What does the Council of State think about that?
ParlaMint-NO_2016-10-19.ana.ud107e1320	I agree that the county councils, which are responsible for secondary schools, must also think of equality, and that when there is a general, cross-political objective that we want more gender-based education choices, and the same political majority sit in all county municipalities – because I don't think there are any parties that disagree with it – they must also take that job. But I don't think having a national obligation to have a particular job working with equality in each county municipality is the right way to do it. It's very nice if some states have it, or quite fine, but I don't think a national directive makes sense. I also believe that it is important what we do, among other things. strengthening programmes and campaigns to recruit girls for technology, for example, and building on the important work that the parties are also doing with gender-untraditional educational choices.
ParlaMint-NO_2016-10-19.ana.ud107e1325	I note that the Council of State says there is no need for a national directive. But then I think, what should one do? If the minister says that he is actually busy with equality in the county councils and that there should be equality in the secondary schools, we must have a proposal for what we can do. Because I believe the minister agrees with me that we will need a lot of skilled workers in the future. If we're going to get the best, we need both boys and girls. And as the minister also said as a introduction, take a very traditional choice: 3-4 pst. girls on car and electric, even less on construction and machinery. When you talk about equality, it might seem like it's just about girls and technology, and about college and engineering or vice versa, but there's very little focus on professional science. I'm wondering what the minister's thinking about this.
ParlaMint-NO_2016-10-19.ana.ud107e1330	I believe that, on the contrary, where we have had the most attention in the field of gender equality, it is precisely in the professions, because that is where we see the greatest distribution of bias – both by the fact that more girls choose preparatory courses than professional ones, and by the fact that it is so very clear in the various professional study programmes. I also believe that when the representative asks what we should do then, it is a question of basing on what Stortinget has asked us to do with and investigate. It is natural for me, as the Council of State in a parliamentary system, to follow up what the Stortinget has asked of us. I have not received an order that we should investigate or require an equal opportunities officer in each state. My final point is that we have to be honest about what the challenges are, because the problem here is not that there is anything wrong with formal equality. That's when boys and girls get to choose, they choose gender traditional.
