ParlaMint-NO_2016-04-06.ana.ud272e31	The representative of Sveinung Rotevatn will present a proposal for a representative.
ParlaMint-NO_2016-04-06.ana.ud272e1038	Governments have in a lot of other things I know, worked well with organizations and talked warmly about good ideas and good ideas about the policy to be pursued, but not here, according to the organizations. Many recordings have come from organisations. The council says it's wrapped up in the law that is. To what extent does the Council of State follow up the unambiguous objections that the organisations have raised that they have not taken part in it?
ParlaMint-NO_2016-04-06.ana.ud272e1045	As I replied in my letter, a bill has now been out at the hearing. We are now working on a review of the recordings that have been made at the hearing. Then we will come back to Stortinget with a final bill.
ParlaMint-NO_2016-04-06.ana.ud272e1050	Sometimes an undo can go a little bit fast. Since this is about something that society has a responsibility to facilitate, and also about what kind of attitudes we have to facilitate, will I challenge the Council of State to the following: would she do it differently if she could start again, and remove the proposal for a weakened purpose paragraph?
ParlaMint-NO_2016-04-06.ana.ud272e1055	It remains to be seen when the Stortinget gets the final bill for consideration. Now we're working on going through the hearing opinions that have come, and that's, of course, something that will always be done when we listen to the opinions on what has been at the hearing. But I just want to stress that the objective of the legislative proposal that has been consulted is to create a stronger protection for those who need protection from discrimination. The other steps we've taken are in and strengthen the rights of those people who need it, who have a disability. The question then is that what is to be mentioned in a purpose provision is the most about symbols, and I believe that there are real rights and obligations in the law that are important. That is also what I said that the barriers of people with disabilities are mentioned in other provisions of the law. What we also need to do is to strengthen the protection of people with disabilities on several points, but this should give the Storting a real opportunity to deal with and debate.
ParlaMint-NO_2016-04-06.ana.ud272e1068	‘16. On June 1, 2015, The Stortinget unanimously adopted: 'The government is asking the government to conduct an overall public investigation into the palliation field, with a wide range of representations from different disciplines, and where children's palliation is part of the work.' [[NUE]] When is it expected that this sample will be reduced and can start its work?’»
ParlaMint-NO_2016-04-06.ana.ud272e1075	The task of responding to the request of the Grand Duchy to set up a sample to carry out an overall public inquiry is in the process of the Ministry of Health and Welfare. The follow-up to the Storting Decision is a high priority and will be implemented as quickly as possible.
ParlaMint-NO_2016-04-06.ana.ud272e1080	Both the environment and some of us are a little worried about the time use here, and therefore I would like to challenge the state council even more in terms of time use. Is it realistic to see that the sample is at least put down and going to work before the summer?
ParlaMint-NO_2016-04-06.ana.ud272e1085	Council of State Sanner, no, Council of State Höie – right to be right.
ParlaMint-NO_2016-04-06.ana.ud272e1088	That heart is full of, running its mouth over.
ParlaMint-NO_2016-04-06.ana.ud272e1093	Yeah, that's it.
ParlaMint-NO_2016-04-06.ana.ud272e1096	We are now working very specifically on this work, so we are going to comply with that decision as soon as possible.
ParlaMint-NO_2016-04-06.ana.ud272e1101	I don't know if I should be reassured about the answer from Höie or not. I just want to repeat that there are great expectations in the environment and among the politicians here in the house that this work will be undertaken quickly, and that it will be a broad and proper representation from the different environments. Nor is it possible to undermine the fact that there have been some complications with the dialogue, for example. between the Health Directorate and part of the organisations here. Can the Council of State also assure me that it is followed up, with the broad representation?
ParlaMint-NO_2016-04-06.ana.ud272e1106	Yes, we are working on a very good mandate, but also on a good and broad composition of this sample just to follow up what is the Stortinge's wish, and I have prioritised that with us now.
ParlaMint-NO_2016-04-06.ana.ud272e1115	‘User-led personal assistance is an important offer to ensure equality, equality and social participation for people with disabilities and a high need for assistance. [[BPA]] BPA means a great deal to the possibility of participation in employment, education and an active and independent life. The previous government presented proposals for the right-to-holding of BPA. New rules entered into force on 1 January 2015. The strengths and weaknesses of the municipalities are reported. How has the government followed up BPA towards the municipalities?’
ParlaMint-NO_2016-04-06.ana.ud272e1122	Representative Kjerkol and I agree on the importance of user-driven personal assistance for both equivalency, equality and social participation. Therefore, this government presented a reinforced proposal on the right to user-led personal assistance compared to the consultation proposal sent out by the previous government. The right was extended to support contacts and relief for persons with parental responsibility for disabled children under 18 years of age. For the government, it is important to improve everyday life also for relatives and to recognise the significant efforts they make. That's why we extended the right. The introduction of the right in 2015 compensated the municipalities by 300 million. kr through the free revenues. In 2016, the government increased the compensation by another 205 million. kr. Furthermore, the Ministry issued a circular on the right to user-controlled personal assistance in December 2015. The circular takes account of the understanding and practice of the system of user-led personal assistance, in line with the new provision. This will give users and municipalities guidance on how to understand the new right. In addition, we have launched an evaluation of the right to follow developments in municipalities after the time of the introduction. The follow-up evaluation has a time horizon of about two years and started in the summer of 2015. The central association of municipalities is involved in this work through the consultation system.
ParlaMint-NO_2016-04-06.ana.ud272e1133	Thanks for the answer. This is a new arrangement. It is a reassuring arrangement to follow the development of the scheme, together with relevant actors such as KS. I also believe that individual municipalities – those who have been early in designing the scheme and want this to be a successful offer in their municipalities – will be particularly involved in this. I have a follow-up question, and I understand that it may be difficult for the Council of State to answer it: The user organisations were particularly concerned about whether those who had a basis under the rights strike would be offered a lower price. We know examples from some municipalities that this may have happened. How does the Council of State view that challenge, and what is his impression of how it has ‘moved’ to use a trundle expression?
ParlaMint-NO_2016-04-06.ana.ud272e1144	It is difficult to give a concrete answer to that, but we know that in terms of the practice of the right and also the practice of what I am very concerned about, that although a group has now received a right to user-driven personal assistance, it does not mean that the old system, namely that the municipalities have an obligation to offer and facilitate user-driven personal assistance to the groups in addition to those who have rights, still applies. It is a very important question for the representative to address, namely whether the allocation of hours is adapted in such a way that some people feel that they are below the right limit, but it is one of the issues that we will receive answers to in the evaluation. Then we chose to introduce this from 1 January 2015, even though we were not ready with the circular. This means that there's probably been more uncertainty in the municipalities in the first year, without the new circular, than we'll probably experience in 2016.
ParlaMint-NO_2016-04-06.ana.ud272e1149	I thank you for your answer. I understand that it is difficult to give very precise assessments, we do not have enough experience, but I hear that the Council of State is concerned about exactly the conditions that we have already been signaled can occur. I just want to encourage that in the further process, when this is to be followed by research, very strongly involve user organisations. So the Council of States can choose to answer that, but it's probably more of a call than a question.
ParlaMint-NO_2016-04-06.ana.ud272e1154	I'll take that call. The user organisations are also well involved in the work with the circular, and I experience that they believe that it responds to a part of the uncertainty that was created. For example, Uloba writes that the rest of the BPA is “A recipe for freedom”. I think that is a good stamp, and the Norwegian Barriers' Association says that it is important that the government no longer ‘prohibits travel’. This is very good, so I experience that the user organisations, and also I Assistance, have given good feedback on the interpretation of the law that has been written around, and as they were – that is my impression – well involved in the development of the in advance.
ParlaMint-NO_2016-04-06.ana.ud272e1163	‘In the 2016 budget proposal, the Government announced its intention to launch a phasing-out plan for rehabilitation and rehabilitation in 2016. The Ministry of Health and Welfare received in 2014 reports from the Directorate of Health for such an escalation plan, which was based on recordings by user, professional and stakeholder organisations. Will the government produce such a stepping-up plan in 2016, how will the initiative be financed, and how will the government ensure the development of competence and capacity in the municipalities and specialist services?’
ParlaMint-NO_2016-04-06.ana.ud272e1170	It is correct, as the representative Toppe says, that the government has announced an escalation plan for rehabilitation and rehabilitation, and that it should have its main focus on the offer in the municipalities. It has been important for the government to see this escalation plan in conjunction with other ongoing processes in this field. In Report. St. 26 for 2014–2015, the Primary Health Service of the Future – proximity and overall, the challenges of rehabilitation and rehabilitation are fully addressed in a separate chapter. The government has also announced in this communication that we will legislate for the competence of municipal health and care services, which has been endorsed by the Stortinget. The Ministry intends to follow up the proposal for legislative changes mentioned in the Communication and its examination by the Storting. This will take the form of a consultation note before the summer of 2016. The Health Directorate came last autumn with a counsellor on rehabilitation, habilitation, individual planning and coordinator. The supervisor is a useful tool for municipalities and specialist health services in organising habilitation and rehabilitation, and it shows the importance of having a rehabilitative focus in the services. In order to enable municipalities to provide citizens with a professionally good multidisciplinary rehabilitation offer, the government will present a stepping-up plan during 2016. The details of how the bet will be financed and the measures that will be included in the plan will, therefore, come back to the government when the plan is submitted to the Stortinget.
ParlaMint-NO_2016-04-06.ana.ud272e1183	I thank you for your answer. It was uncertain whether the plan would come in 2016 or not, but now the Council of State determines that the plan of escalation will be promoted by Stortinget during 2016, and that is very good. There is also uncertainty about funding. I heard that the council wouldn't go into it, but I could think about it once more. There are at least questions from organisations about whether this comes as an ear-marked tool, whether it comes in the same way as for the escalating plan for the drug field, with some specific ear-marked bets and otherwise as another bet. At least there is a lot of attention around this that there has to be a follow-up to money with such a bet, so I would like to ask again if the Council of State can say something more about how one has thought that the financing of the escalation of rehabilitation and rehabilitation will take place.
ParlaMint-NO_2016-04-06.ana.ud272e1190	This is how we aim to present an escalation plan for rehabilitation and rehabilitation. As regards its content and its financing, it will of course be presented in the plan, and as the representative knows, there are the kinds of questions that a Council of State cannot answer before the plan is presented.
ParlaMint-NO_2016-04-06.ana.ud272e1195	I have another question then. The government has proposed that larger municipalities be given greater responsibility for the rehabilitation services currently provided by the specialist services. Today, according to reports from the Health Directorate, we know that the municipalities have gradually been given a greater responsibility for the rehabilitation and rehabilitation field, but that people have been printed faster from the specialist services, and in many municipalities, they are not built up to meet the demand. We also know that in the specialist services there is a lack of provision for at least a number of groups. Is it a good idea to transfer more responsibility?
ParlaMint-NO_2016-04-06.ana.ud272e1200	Local authorities have different ways of caring for their responsibilities in this area, and there are also many indications that there are differences in the capacity and competence of municipalities in this area. I am not in doubt that larger municipalities will be able to assume greater responsibility for rehabilitation and rehabilitation and also have the opportunity to offer better services to the inhabitants than if this offer were given in the specialist health service, precisely because rehabilitation and rehabilitation for many patient groups are about getting help for mastering in everyday life, and these are offers and responsibilities that the municipalities, if they have large enough professional environments, are well suited to have. It is not appropriate to transfer responsibility for rehabilitation as such to the municipalities. It will also continue to be a responsibility for the specialist health service to have an offer in rehabilitation and rehabilitation. How this is to be distributed, we will come back in a separate consultation note before the summer.
ParlaMint-NO_2016-04-06.ana.ud272e1209	I allow myself to ask the Minister for Health the following questions: ‘To many patients it is a demanding and difficult time to go and wait for serious scheduled operations. Once they've prepared for a long time and come to the day of the operation, it's important that it actually happens. I have received several enquiries about cancelled scheduled operations at Aarhus. Recently, a patient from an Oslo village was admitted early in the morning, and then got a shocking message in the ten-time about cancelling and printing without a new appointment. What will the Council of State do to prevent such events from occurring?’
ParlaMint-NO_2016-04-06.ana.ud272e1218	I have a great deal of understanding that it is felt as a great impression for the patient to be informed that a planned operation has been cancelled or postponed, especially in cases where the patient is informed about this shortly before the scheduled operation is scheduled to take place. I cannot comment on what assessments have been made in the case to which the representative refers. My response explains on a general basis how hospitals deal with situations where operations need to be cancelled and what can be done to prevent such events. In all hospitals that carry out surgery, surgery is sometimes cancelled. There may be different reasons for this. In some cases, the patient’s medical condition will have changed, so that there is no longer an indication of surgery, or the operation must be postponed because the patient has another acute disease. In some cases, a change in the patient’s medical condition may require further investigation of the patient prior to any intervention. Sometimes unusually large surgeries of immediate-aid surgery may require that scheduled surgery with a lower degree of urgency must be postponed. But it is important for me to stress that one cannot ignore the fact that operations are cancelled or postponed simply because of poor planning. I have contacted Health South-East about the matter. At Aarhus, the general rule of the cancellation is that the patient is either operated later during the same stay, or is printed with an appointment for a new operating date. It is assumed that there is still an indication of the intervention in question and that there are no medical reasons why the patient needs further investigation before a final decision on any operation can be made. It is the individual hospital department that is following the patient further. The hospital is concerned with facilitating the minimum number of cancellations or deferrals. Nevertheless, it cannot be avoided that a hospital of such size and complexity as Akershu University Hospital may, in some cases, have to cancel or suspend planned operations. The proportion of deferrals relative to the number of operations planned is included as an indicator in the national quality indicator system. The publication of these indicators provides important information to patients on the quality of healthcare. National quality indicators are also part of the quality management and improvement work of health enterprises. I fully agree with what lies ahead in the representative's question, that cancellations due to poor planning are something one should work to reduce further, while one now also works very well to reduce the overall waiting time and sees that there is now good results.
ParlaMint-NO_2016-04-06.ana.ud272e1233	I thank you for the answer and for the fact that the Council of State takes it seriously and goes into it. I understand you can't deal with a single thing here, it wasn't the intention either, but I wanted to use the power of the example. I just have to say that when I got to describe this case of this patient, I was very upset and engaged, in order to experience preparing for several months, putting about medicine use in good time in advance, being admitted at 6:30 in the morning and then being printed out at 10: 00 a.m. without a new appointment, is not as it should be. This is not about cases where there are medical reasons – I have now been informed that the patient has finally got a new agreement – but about poor planning. I hope that the Council of State agrees that it is advisable to try to turn around when such situations arise, to use the operating equipment a little longer a day or to find other solutions, because the hospital itself has been in an emergency situation when such a loss is made.
ParlaMint-NO_2016-04-06.ana.ud272e1238	I fully agree with the representative, and I also get upset when I hear those kinds of stories. As described here, it should not be, and in the cases where the hospital is in such a situation that they cannot give surgery that day, as I said in my answer, they should give patients a new hour, so that one feels secure that one is not forgotten. We are now working quite systematically on how to help hospitals improve their planning horizon. The amendment which entered into force on 1 November, in which patients should, as a general rule, be given the date and time at which the examination or treatment is to be given, is also mandatory for hospitals to have a longer planning horizon. We see that it is a challenge in some of the Norwegian hospitals that activity is planned for a short time to come, and it also creates unnecessary situations. It does not help to have a patient called for surgery if the doctor is at a seminar.
ParlaMint-NO_2016-04-06.ana.ud272e1245	My concern when I started going into this and talking to the patient and others who knew him was that there were several examples of the same hospital. For example, a patient told me that it was the third time he was there – he got surgery the third time. But what patients can experience is that when you get there you get a number tag, and the number that comes up is a little bit above what you're sure to get away from that day. I think that kind of working methods can be suitable for more factory production, but not for a hospital, where patients go through a very exciting period when they are preparing for serious operations. I would encourage the Council of State to be aware that it may not be that you distribute number plates as in a pharmacy, when you are going to undergo serious surgery.
ParlaMint-NO_2016-04-06.ana.ud272e1250	I fully agree with that, and it is a significant potential for improvement in this area – I fully agree with the representative. However, when we talk about Akershu University Hospital, I would like to highlight that there has been a significant improvement in this hospital in the last year. Many departments have worked very well and systematically to reduce waiting times and provide patients with faster and better services by better planning of their activities. We are getting more and more positive feedback on the development of the hospital. It's important to bring with you in this discussion.
ParlaMint-NO_2016-04-06.ana.ud272e1260	‘After the terror in Brussels, the PST Chief stated that the main means of combating terrorism and extremism in Norway is to maintain a society of great equality where citizens have confidence in the authorities, the police and the courts. Do the State Council share PST's assessments, and how does he think Norwegian municipalities can best strengthen the work against radicalisation and extremism?»
ParlaMint-NO_2016-04-06.ana.ud272e1267	The main task of the authorities is to secure citizens. It is therefore important to fight threats to our governance and our way of life. The fact that citizens trust the authorities, the police and the courts is crucial. I agree with the PST Chief's statement that it is important that there is not too much distance between the governing authorities and the people most, and that there is trust in the authorities and central institutions. In Norway, there are short lines between politicians and citizens, and people have a strong influence on public decision-making. Furthermore, we have a welfare system that should be a safety net for citizens, but also give them the opportunity to develop and participate in society. Trust in the courts and the police is also dependent on these agencies acting objectively and effectively. In recent years, both courts and police have been significantly strengthened. On the issue of how Norwegian municipalities can strengthen their efforts to combat radicalisation and extremism, a number of measures can be taken. The Government's action plan against radicalisation and violent extremism is being followed up by the fact that the measures are now being implemented in both state and municipal terms. The plan originally had 30 measures, but was subsequently supplemented because it was to be a dynamic action plan. Local prevention has a central role to play in several of the action plan’s actions. These are concrete measures that will help to strengthen the work and competence of municipalities. A national supervisor was launched in April 2015 and is available digitally on the government’s radicalisation website.no. There are dedicated contacts with radicalisation in all the previous 27 police districts to act as a contact point for local actors, with concerns about radicalisation. Furthermore, there is a research project in which several municipalities are involved. There is also money allocated to meet and combat extremism. In 2015, a total of 17.5 million was granted. SEK for two grant schemes that have provided many good local projects. Useful experience from these local projects will now be collected and will be made available to other municipalities as appropriate. The subsidy schemes continued for 2016 by 13 million. kr. However, the challenges of radicalisation will vary across municipalities. Some municipalities will work towards the radicalisation of violent Islamists, while others may face challenges with extreme right- and left-wing environments. Therefore, it is also important that the actions we are implementing can be used to a large extent against all forms of radicalisation and facilitate local authorities to adapt their efforts to their challenges. In 2016, we are facing a complex and complex threat picture. Terrorism is the ultimate consequence of radicalisation and violent extremism. Preventive action is therefore central to ensuring fundamental values such as democracy, human rights and security.
ParlaMint-NO_2016-04-06.ana.ud272e1282	Thank you for the reply from the Minister of Justice. I think it says quite a lot about Norway as a country, about the PST as an organisation and about it being run in a good and wise way, when one could imagine quite a lot of different responses from a PST leader and demands for different instruments the day after a brutal act of terrorism on our own continent, but the employee PST manager looked at this precisely with a trust society and pointed out that the most important thing we do is to have early efforts against vulnerable youth, to prevent marginalisation and to limit ‘drop out’. I am concerned that across the world, across Europe and also in Norway, there are still increasing differences. There are many reasons why I am opposed to increasing differences, but one of them is about security policy. Is the Minister of Justice concerned about a Norway with increasing differences?
ParlaMint-NO_2016-04-06.ana.ud272e1291	One of the aims of terrorism is to contribute to building under the lines of conflict in society. In some contexts, a person will be able to use changes in society as a basis for creating a form of debate and radicalisation on different aspects of a conflict. There is no doubt that having a social safety network will help to reduce the risk of that kind of ideology getting stronger ground. At the same time, I am not quite sure whether I want to share the questioner's starting point that the differences in Norway are increasing so rapidly. We're a society that has a lot of equality. There is a great deal of participation in democratic processes. We are an open, free society. These are fundamental, fundamental values on which we build our social structure. I do believe that it is important to take care of these interests, and I cannot say that there is a clear tendency that there are increasing differences in Norway that would help undermine it.
ParlaMint-NO_2016-04-06.ana.ud272e1296	There are increasing differences in Norway, and the truth is that in the future it will require much stronger instruments than it has historically been to reduce differences, because there are so strong counter-forces that are moving towards increasing differences. The party of progress has never been a party that has been very concerned with combating differences – perhaps on the contrary, it has been quite fine and acceptable that we have a society of increased differences. That is why I again ask whether the Minister of Justice believes it is a political goal, also for security reasons, to maintain a society of small differences and that he will pursue a government policy for reducing differences in Norway.
ParlaMint-NO_2016-04-06.ana.ud272e1303	I believe that the most important steps we can take to have a society that we want to have, a free, democratic society where human rights are at a premium, are to have a good integration policy that allows people who come to Norway to be integrated, become part of society, get a job and become active contributors to the society of which they are to be part. The biggest challenge for Difference Norway today is that one has failed well enough, that is, that one has not been good enough to get our new countrymen involved in various activities, which ensures that they are better integrated and part of the social structure they are to build. There the government is now taking a number of steps to ensure that one succeeds better in integration, to ensure that these people receive both the necessary follow-up and training, get out of work, receive education, etc., which I believe contributes to a society with equal opportunities. It's having equal opportunities to evolve and equal opportunities to participate that's the most important part of it with inequalities or not in a society. I think it's important that one doesn't put this at a level where one goes in, for example. level of taxation or income, etc. That is probably not what has been in focus purely safety-related; it is more that one should have equal opportunities, and that the same opportunities are actually being used and exploited by those who are going to be in Norway, at all levels, not only newcomers, but also those who have always been here.
ParlaMint-NO_2016-04-06.ana.ud272e1316	This question, from the representative of Kari Henriksen to the Minister for Immigration and Integration, will be answered by the Minister for Justice and Security, who will direct him.
ParlaMint-NO_2016-04-06.ana.ud272e1319	‘Women on refuge are vulnerable. Norway has undertaken to protect women in flight through international conventions. Many are subjected to rape, sexual harassment, and trafficking in human beings. Among them as refugees to Norway, there are many women. What action has the Council of State taken or will it take to identify whether women have been subjected to such criminal acts and to assist those involved in the consequences of such crime?’
ParlaMint-NO_2016-04-06.ana.ud272e1326	Let me first thank the representative Henriksen for a good question about a very important topic for a very vulnerable group. As a starting point, the police shall provide the same services to all those who have been subjected to criminal offences and who wish to report the situation in Norway. This means that persons who come to Norway as asylum seekers can report criminal relations with the police in the same way as all other residents of the country. The police's follow-up of offended persons shall be very good regardless of whether they are Norwegian citizens, asylum seekers or refugees, or, for that matter, foreign nationals residing in Norway for other reasons. Of course, if the act has been carried out abroad, the investigation could be subject to specific challenges, including: biological tracks or other tracks could have been lost due to the time lag between the criminal record and the notification, and interrogations are also more demanding and complicated in experience when the witnesses are outside Norway. I would like to mention that when asylum seekers come to Norway, they will receive information on women’s rights, equality and violence in close relations at reception. In 2015, five police districts also received their own funds for setting up specialised groups to combat trafficking in human beings. The effect of this is expected to be seen beyond 2016. Persons who are victims of sexual abuse, trafficking in human beings or other serious integrity-affecting crimes are often in a very vulnerable situation, and there are procedures and measures that are also important for the group the representative refers to — women and children who have fled to Norway. I'll say something about those measures as well. It is true that the auxiliaries and the police can catch up with women who have been exposed to trafficking in human beings in the course of their journey to Norway. In particular, it is important that women who are also exploited after arrival in Norway are identified and given the necessary follow-up and assistance after it has been clarified. This depends not least on the competence of the professionals coming into contact with these potential victims. Each police district is responsible for the prevention, detection and prosecution of trafficking in human beings. Victims or others who wish to report shall address their local police in the usual way. The police are then obliged to assess the threat situation of the victim and to assess the measures to be taken. They can also provide protection for witnesses who report trafficking in human beings. The police are responsible for registering asylum seekers in Norway, and they also have special follow-up procedures for potential victims of trafficking in human beings and other crimes, including sexual abuse. Employees are trained in what may be possible indicators to identify any victims. The registration interview shall also facilitate such identification. If necessary and necessary, the PU will notify child protection, UDI and asylum recipients in the relevant police district and, where appropriate, Kripos, depending on the circumstances of the case.
ParlaMint-NO_2016-04-06.ana.ud272e1345	Thank you for a thorough and good answer. There is a cross-political consensus on combating violence and abuse against women and children and against people in close relations, so I think to the extent that there was an adequate response from the Council of State. But Amnesty has two reports, one from 2014, that show that women on the run are, as the Council of State said, in a very vulnerable situation, and they have also done an interview now in 2016, with women, who show that they are being harassed and actually exposed to this type of crime by government officials on the run across the country. So if you could elaborate a little bit on what signals you've given to your underlying agencies explicitly about this group? I have asked the same question to the councillor Horne, and then she also mentioned this by giving information about the laws and regulations, but when I talk to the outside apparatus, they say that it can be a little variable how it is being followed up.
ParlaMint-NO_2016-04-06.ana.ud272e1350	The President recalls that the question should be addressed to the President.
ParlaMint-NO_2016-04-06.ana.ud272e1353	It's a complex problem. It's a serious problem, but it's also very complex, firstly because this is the crime these women are being subjected to very often on a trip to Norway. It creates the challenges I faced in my answer to the evidence situation, questioning, following up like that. Another challenge that makes it extra demanding is that this is still, and perhaps especially for many of the women who are on the run, a very taboo and difficult area. It often takes more time before they get the strength and courage to go to the police, also because they have different experiences with the authorities of their home country, and different experiences related to follow-up, reports and contact with the police. That's why we're primarily focused on creating the necessary trust relationship, so that these women get confidence in the police, get confidence in the authorities, so that they can come up with their stories. It's first and foremost important not only for the correction and follow-up of criminal matters, but perhaps first and foremost to provide the women with the follow-up they need.
ParlaMint-NO_2016-04-06.ana.ud272e1360	Governments were concerned with some of the important issues, and this is the case with prevention. It's also important because it makes it possible for us to integrate these women well, so that they don't live their lives with traumatized experiences that make them excluded from work when they're going to stay here. I think that's important. Governments also point this out with the need for competence. I have to say that I react with some concern – and there is nothing under the responsibility of the Council of State – when the Health Directorate now gives signals that they will not carry out health checks on newly arrived asylum seekers. The feedback I have received from both trade unions and those who are in contact with refugees says that it is quite important, precisely because, as the Council of State says, these women are so vulnerable, and it takes time to establish these contacts. I would then like to use my last question to ask whether the Council of State will encourage the Minister of Health not to listen to the advice of the Health Directorate?
ParlaMint-NO_2016-04-06.ana.ud272e1369	I think it is best for the Minister of Health to make his assessments on an independent basis, but I fully agree with the representative Henriksen that it is necessary to have expertise and knowledge along the way in such a process. We believe that someone has arranged for this, among other things. through police registration interview, where to look at clear indicators, and then there will never be a good enough tool, one will never be able to find everyone, but one will then be able to find someone who will get the help and follow-up they depend on. I am pleased – and it is not under my responsibility – that one in the receptions has the competence and follow-up of those who have been involved in trafficking in human beings. And I'm also very happy that we now have a competence in the police, which is of a completely different dimension than we've had in the past, to handle and help people who have been exposed to human trafficking and sexual abuse on their way to Norway.
ParlaMint-NO_2016-04-06.ana.ud272e1383	My question is: ‘The Council of State rejected in January the fact that Norway should accept a greater proportion of refugees with disabilities, despite being among the most vulnerable in areas of war and conflict and having a specific requirement for protection under the UN Convention. She said at the same time that we need to be better at settling the few coming here. They often stay in reception for a long time, because the municipalities refuse to accept them. What does the Council of State intend to do to improve this situation, which is of little value to society as well as to individuals?’
ParlaMint-NO_2016-04-06.ana.ud272e1392	I think it's great that the representative of Christoffersen has a great commitment to refugees with disabilities. Migration refugees accepted by Norway through UNHCR will be the most vulnerable and many will suffer from disability. As I mentioned earlier, Norway increased the number of medical places twice in 2015, and the level now in 2016 is 60 places. Municipalities do a good job of making provision for refugees who need extra follow-up. They also receive specific compensation for this. It is voluntary for municipalities to settle refugees, and I want it still to be so. Expecting municipalities to settle several refugees in need of special follow-up would be unreasonable at this stage. In 2015, around 2,380 transfer refugees arrived in Norway. More than once have health challenges. The current withdrawal criteria are not an obstacle to this. A group of about 1000 people have arrived in the last five years, giving rise to grants by settling persons with seriously known disabilities and/or behavioural disabilities. This includes both resident transfer refugees and residents from reception. The waiting time for these persons corresponds mainly to the waiting time for other residents. There are currently about 24 residents who have arrived as asylum seekers and who have organised offers in reception. They have special needs because they have physical or mental disorders, behavioural problems or chronic disorders. This group of people chooses municipalities to settle. It is justified that these persons incur considerable costs and resources. I am committed to Norway having a sustainable policy on the reception of transfer refugees, and to accepting those who need it the most. The government has a good dialogue with the local government in terms of housing, including those with disabilities. The work done by the IMDI in this regard is very important, and also that they of course follow this up in a good way.
ParlaMint-NO_2016-04-06.ana.ud272e1405	If I interpret the Council of States correctly, I see that the Council of States is so pleased with what is being done now, and that we cannot demand that it do more. But in the KS settlement agreement, the department has committed itself to identifying more likely refugees, including those with special needs. In the new disability 1/16, the UDI says that they lack an overview of those who are ready-to-residence refugees with such needs because few asylum seekers are talking about disability. So it might be more than the 24 that the Council of State is now referring to, that will have that kind of need. Councillor Horne said here earlier today that she is concerned that all departments have a good knowledge base for their policies. When UDI says that very few asylum seekers are talking about disability, will the Council take the initiative to make sure that someone more is asked?
ParlaMint-NO_2016-04-06.ana.ud272e1412	It is true that interviews are carried out by those who are expected to be in charge in Norway, who are then treated for their applications. It is then natural that this information can be provided there as well as, of course, when the IMDi is to pass these persons on to the municipalities. Of course, it is essential that the municipalities then have an overview of this. Of course, mapping this is important, and it's a work that we can definitely get better at. But there's something that we have to keep going. I think to the extent that the municipalities do a good job with this. They receive additional grants if there are people who require a lot of both economic costs and not least other resources. Because it's not always just costs that are the challenge, it can also be that you need to have personnel and some resources beyond that, which are demanding.
ParlaMint-NO_2016-04-06.ana.ud272e1419	The Council of State said in its first response that refugees with disabilities are also settled within the same framework as other refugees, but we know that the goal is to settle families with children within three months, we can't do that today. In the same disability news that I referred to, it is told of a Syrian family with a strong nursing son – father is an economist, mother is a pharmacist. They want to work and contribute. But 220 municipalities said no, and they stayed at the reception for one year, until the municipality of Farsund said yes. And they're not the only ones. In those kinds of things, it's obvious that this is not going to be a negative and a negative plus, which we learned at school, but here is going to be a negative and a negative to a double minus-- at least. So I wonder, is the goal of resettlement of families with children established within three months? Does this apply to all children anyway? And if so, why don't we succeed in achieving that goal?
ParlaMint-NO_2016-04-06.ana.ud272e1426	It's been a tough time for the foreign agencies now, and we're going to do what we can to settle people quickly. So we know that in the case of the small municipalities, it can be very demanding to settle those who require a lot of resources – not just because of the financial, but also because you need to have a lot of staff, which it might not be as easy to get anywhere in the country. Therefore, it is important to facilitate that the municipalities that want it and have the opportunity to do so can actually accept them. We're going to work for these people to settle. The IMDI focuses on that. They will continue because it is important for us to get these people out of reception and living in Norwegian municipalities. But it's equally important to stress that I'm against coercion. Therefore, this has to be on a voluntary basis, and we have to work with the municipalities to find these solutions.
ParlaMint-NO_2016-04-06.ana.ud272e1437	‘The Government proposes that the new five-year teacher education should include 60 educational credits, which in today’s four-year period run, but 15 of these credits should be devoted to religion, life views and ethics. The result is less pedagogy, even in an extended 5-year run. It is also suggested that one should not be able to go into pedagogics in the master's degree project, for example. write about issues such as bullying, learning environment and behavioral difficulties. In what way does the Council of State feel that this provides better teacher training?’
