ParlaMint-NO_2016-05-11.ana.ud122e26	The representative, Tove Karoline Knutsen, will present a proposal for a representative.
ParlaMint-NO_2016-05-11.ana.ud122e771	It is true that this is an area that actually embraces three departments, both the Ministry of Justice, the Ministry of Transport and the Ministry of Food and Fisheries, and our assessment has been that the responsibilities are relatively clear. It is such that the Ministry of Economic Affairs and Fisheries is responsible for the Directorate of Maritime Affairs, the general rules on recreational craft with westbound commands, boat driving licences and construction and equipment. In addition, we are responsible for the field of maritime transport under the National Maritime Commission for Transport, and so the Ministry of Transport has its responsibilities. Neither the previous government nor this government found recommending the creation of a separate accident team. We have an organisation that will be professionally independent, which will make its professional assessments of when further studies are needed. Then we have to keep looking for new tools. We all want to fight the large number of fatal accidents, and what is being concluded by the Ministry of Transport on this issue, we do not yet know.
ParlaMint-NO_2016-05-11.ana.ud122e778	Compared to shipping accidents at sea in industry, the number is about six times higher in the case of killed persons related to recreational boating. I have to say that I think there are alarmingly high numbers, and I would like to ask the Council of State not only to follow closely, but also to listen to the professional organisations and the recreational boat organisations, who are really asking for an accident team. And they want to contribute themselves. Taking users into account the design of the measures, I also believe that it is very important. Among other things, many fatal accidents have now occurred at the dock, when one is going to add, when one is going to fill water, when one is going to fill diesel – or what it is now. Once again, I would like to encourage you to really get hold of this and follow up on the organizations.
ParlaMint-NO_2016-05-11.ana.ud122e783	We have – and should of course have – contact with the user organisations. It was the case that the Maritime Directorate delivered a report in 2012 on the safety of recreational craft. That report was reviewed by Stortinget in June 2014 and also in December 2014. The main action taken by the majority in the Chamber was then westbound, in the hope that it would contribute to lower accident statistics. It has not yet done so, but one can conclude that it does not work. It's too early to say. We are now doing an evaluation, and then we have received a request from the Stortinget to come back with measures, and we will do that.
ParlaMint-NO_2016-05-11.ana.ud122e788	Question 2 will be answered later.
ParlaMint-NO_2016-05-11.ana.ud122e802	This question has been postponed to the next Question Time.
ParlaMint-NO_2016-05-11.ana.ud122e809	We go to question 4, from the representative Rasmus Hansson to the Minister for Climate and Environment, who will be answered by the Minister for Industry. It does not appear that Rasmus Hansson is present. There the president sees that the representative Hansson enters the hall. The President requests that representatives be present when questions are to be asked.
ParlaMint-NO_2016-05-11.ana.ud122e814	President, deeply regret that I was not, and thank you for the patience! My question is addressed to the Minister for Climate and Environment, but I understand that it is answered by the Minister for Industry. It's like: «The Environment Directorate recommends the Dalen mine in Brevik as a landfill for hazardous organic waste. The size awaits a big message about waste policy and the circular economy, which will review waste policy and how to best reduce the amounts of hazardous waste and recycle. Will the Council of State ensure that the Landfill Communication on Waste Policy and the Circular Economy is promoted before a long-term plan for inorganic hazardous waste and any new landfill is determined?’
ParlaMint-NO_2016-05-11.ana.ud122e825	I will begin by clarifying that I perceive that Rasmus Hansson here refers to the Environment Directorate's recommendation on the Dalen mines in Brevik as a landfill for hazardous inorganic waste. The current landfill of hazardous waste in Lang Island is estimated to be full by 2022. Norway has national targets and international obligations to maintain a national treatment capacity for hazardous waste. It is therefore necessary to put in place a new landfill for inorganic hazardous waste before the current capacity has been exhausted. The waste strategy presented in 2013 provides a basis for business to establish the necessary capacity itself. However, it has proved difficult, because attempts at it have been stopped at municipal level. This is why the Ministry of Climate and Environment commissioned the Environment Directorate to identify possible sites for a hazardous waste landfill. The Environment DG's recommendation was available on 2 May this year. The Ministry of Climate and Environment is now following up the case, and until 3 June, all interested parties have the opportunity to comment on the inquiry by the Environment Directorate. On 30 May, the KLD shall organise a stakeholder and interest group recording meeting, and on 7 June, the Minister for Climate and Environment will visit Brevik. Therefore, in the light of the ongoing process, it is too early to answer the representative Hansson’s question about time fixing. Regardless of where a landfill would be located, it is time to carry out the necessary impact assessments and planning processes, to process applications for permits under the pollution law and to carry out practical work on the establishment of the necessary infrastructure and logistics. While the establishment of a new hazardous waste landfill is an important task, an important challenge in the future is also to assess how and in what areas it is possible to achieve a reduction in the amounts of hazardous waste generated. It is also important to assess whether it is possible to use the resources of hazardous waste without leading to an increased risk to health and the environment. There are already several examples in the Norwegian industry of the use of inorganic hazardous waste as a resource. Although we would in the future achieve increased exploitation or alternative treatment of some hazardous waste types, the Environment Directorate is of the opinion that a landfill solution for inorganic hazardous waste will also be needed in the future. It will be waste types, or parts of the waste, that are not suitable for material recovery and that have intrinsic properties that make it important to ensure that substances in the waste do not drift away. There may also be cases where waste types that are not considered hazardous today are reclassified to hazardous waste in the future. Therefore, in the light of national targets and international commitments, and in the light of the time it takes to establish a hazardous waste landfill, it is important that we continue the ongoing process of setting up a hazardous waste landfill.
ParlaMint-NO_2016-05-11.ana.ud122e844	Thank you to the Council of State for a constructive, thorough and reassuring answer. I'll follow up a few of the things she's taking up. The municipality board in Porsgrund has stopped the plan program from NOAH and Norcem to establish a landfill for hazardous waste in Brevik, and that's good. The Green Party supports the absence of a decision on landfill solutions in Brevik, or elsewhere, until the Stortinget has addressed the Landfill Communication on a comprehensive review of Norwegian waste policy. The most important thing is to achieve a better policy to reduce the quantities of hazardous waste, as the Council of State rightly points out. Will the government present a national plan for the management of hazardous waste and its reuse and recycling?
ParlaMint-NO_2016-05-11.ana.ud122e853	As I said, it's too early to answer that question. At the moment, there is a process of having a consultation period and recording meetings, and the Council of State will go to Brevik to investigate this matter more closely. Before it is concluded, we cannot answer the question asked by the representative Hansson here.
ParlaMint-NO_2016-05-11.ana.ud122e858	I take note of that, although I would encourage the Council of State to think carefully about the need for such a plan. I would like to point out that the EU framework directive on waste requires the recycling of municipal waste, packaging, construction waste, etc., and the European Commission has recently put forward a number of proposals to increase the EU's resource efficiency. In this circular economy package, there is a strengthening of recovery targets and the proposal makes it clear that waste hierarchy should be taken into account in the design of instruments. In this case, at least the question to the Council of State must be: does the Council of State at least agree that material recovery requirements for hazardous waste should be established in Norway and will the Government actively work towards the EU in order to include such requirements in the EU framework directive on hazardous waste?
ParlaMint-NO_2016-05-11.ana.ud122e865	What I can at least answer is that we're going to deal with the international commitments we have. We've done that, and we're going to do that. We have received some technical recommendations from the Environment Directorate. It is the work that is now being followed up, and then we have to come back to the further work after that.
ParlaMint-NO_2016-05-11.ana.ud122e876	‘Parents/parents and foster parents with care for children with disabilities and developmental disorders often encounter child protection with a lack of competence. This has been pointed out repeatedly by, for example: Autism Association in Norway. The methodology related to the child’s challenges is often not used, but inadequate child protection methodology is used. This may have fatal consequences for the children concerned. What will the Council of State do to increase the competence and change the practice of child protection in relation to these children?’
ParlaMint-NO_2016-05-11.ana.ud122e883	I would like to thank the representative for a good and important question. Municipal child protection services always have an obligation to examine the needs of children before the choice of measures. In this first phase, where the needs of children are investigated and monitored, I assume that child protection cooperates with other departments with relevant specialist expertise where necessary. This will very often relate to the competence of health services, both from the primary and specialist health services. Research from NOVA 2011 shows that child protection employees find it challenging to assess the care of parents who have children with disabilities and who sometimes have very high needs for care. Parents may have very good care skills, but feel that they are not reaching out because they are not getting good enough help from the public to handle their particularly demanding care tasks. Other parents will not be able to care for their children’s needs for different reasons. Child protection employees experience that it may be difficult to distinguish these extremes from each other, and that it is particularly demanding to deal with issues that lie in the grey zone between them. I have commissioned the Directorate, Bufdir, to investigate a quality system that provides clear guidance for the implementation of studies, the choice of measures and their follow-up by the child protection system. Bufdir has also been given a mandate to address the competence needs of child protection services. Furthermore, Bufdir has created a network resource for the work of child protection with children with disabilities. The main objective of this information is to help distinguish between the symptoms of care failure and disability. The network resource has the title ‘Mission of care or disability?’ The Directorate will also, in cooperation with the Directorate for Health, provide a digital guide on children and young people with disabilities in the field of child protection. The guide, which is aimed at both the child protection and health sectors, is planned to be completed in 2017. Guidance has also been provided in the Guidebook for Community work on foster homes on how child protection services should provide a basis for good care for children with disabilities. The ‘Security and care — Foster home for children’s best’, which is being treated here in Stortinget now, refers to, among other things. recruitment of homes for children with disabilities. Here we underline that foster parents for children with disabilities have a special need for close follow-up, so that they can become good and stable foster homes. We also point to the need for guidelines for strengthening measures, with a specific mention of aid measures, to ensure greater equality and predictability in the framework conditions of foster homes providing care for children with disabilities. Finally, I would like to agree with the questioner on the importance of keeping a high professional standard in the field of child protection investigations. Wrong assessments at this stage know that we can have serious consequences for each child, and I want to stress the importance of child protection having good cooperation practices with other institutions that are important in this work.
ParlaMint-NO_2016-05-11.ana.ud122e904	I think it was very uplifting in the Council's response. Today I have two guests with me. I brought with me a mother and a foster mother, who have two young people with major challenges, including: autism. These are relatives who have met the system in a rather brutal way, to say it carefully. One, the foster mother, is known from the so-called Mountain cause. What at least I and others experience when we work on these matters is a child's protection that goes into locks very quickly, and that has little ability to turn when one first decides for something, even if the decisions are wrong. So the question is whether the Council of State will look at whether it is possible to create systems that allow quality child protection to be ensured at an earlier stage, even when a person makes bad judgements – because perhaps one will always do so – instead of those people being dragged through many legal processes, with the suffering it causes.
ParlaMint-NO_2016-05-11.ana.ud122e911	It is important, without me going into the individual case, that parents who need help from child protection, and also foster parents, who take on an incredibly important job, are met with respect and receive the follow-up and guidance they require, in order to give the children they have a responsibility for, safe, good home. Unfortunately, we see that in individual municipalities they are not good enough for the follow-up and guidance that is actually a municipal responsibility to carry out. For this reason, it is also in the foster home message that is being treated now, much clearer and clearer guidelines for the municipalities, where we now need to make professional recommendations on how to follow up the individual foster family so that they can provide the children with a stable, good home. It is important to stress that this work is being done in the municipalities, and it is important that municipalities and municipal politicians put child protection on the agenda and ensure that child protection in their municipality follows the obligation under the law that they are to do in the child protection cases in the municipality.
ParlaMint-NO_2016-05-11.ana.ud122e918	I'm glad the Council of State shakes a little bit in the local politicians here, because I think it's so diverse in terms of competence and willingness to go in and do a good job. It shows some of these things. Something else that is very worrying, perhaps especially about these children who have special challenges, and who may also partly lack language, is that they are little heard in these processes. Again, I use the mountain case as an example, where the child has not been tried at all, even if the law says that an alternative, supplementary communication should be used to hear the child or the youth concerned. How can one ensure that child protection as best they can try to hear all children, but especially these children, in these processes? Unfortunately, this is not always the case.
ParlaMint-NO_2016-05-11.ana.ud122e927	The children's right to participate in their case and to be heard has been strengthened by a unanimous magnification. It is within the law, and it is up to the municipalities to follow that law – children should be heard and involved in their case. If the municipality has not done so, they have not complied with the law. It is then, if there is a violation of the law, it is important that we have supervision, such as the County Council, that oversees the municipalities, and it is important that the municipal politicians put this on the agenda and ask how the municipality works with regard to the participation of children and whether children are heard, that this issue is addressed. Then it's important that the families or children who have special challenges are well-monitored, that they get the help they're going to get. Often we see that there are challenges between child protection and mental health or specialist health services. The Minister of Health and I have now taken action together to establish a better cooperation between the specialist health service and child protection. It is important that it is also done in the municipalities.
ParlaMint-NO_2016-05-11.ana.ud122e945	This issue is postponed, as the Council of State has left.
ParlaMint-NO_2016-05-11.ana.ud122e952	This question, from the representative of Hanne Thürmer to the Minister of Justice and Defence, will be raised by the representative of Geir Jørgen Bekkewold.
ParlaMint-NO_2016-05-11.ana.ud122e955	‘The Ministry of Justice and Security is responsible for the police's follow-up to the crime. How does the Council of State feel that the police follow up on the obvious crimes committed by Rema-1000 every Sunday, and what does the Council of State think that individual actors in this industry do not respect the applicable legislation?’
ParlaMint-NO_2016-05-11.ana.ud122e962	The question specifically refers to one food chain. As the underlying issue concerns several actors, I find it most appropriate to answer the question in general. It is the law of 24 February 1995 No. 12 on Holidays and Holiday Peace, § 5, second paragraph, No. 1 cf. the first paragraph, which opens up for sale on Sundays and public holidays from ‘sales outlets which essentially sell kiosks or groceries and which have a total sales surface not exceeding 100 sqm’, which is the starting point for the question. I believe, of course, that laws should be complied with. Paragraph 6 of the Act provides that fines are to be imposed on any intentional or negligent infringement of the provision in question. The criminal justice system correctly shows that, when the relevant provisions were adopted in 1995, the Stortinget assessed this type of offence among the minors, in a larger form of criminal law. The police and the prosecution authority are responsible for following up all types of offences that are punishable. At the same time, the police must make ongoing assessments of the offences that need to be prioritised and followed up. Priorities are not just about raising issues that are important, but sometimes about setting priorities, so that other issues get less attention. The Norwegian police have been providing significant funds since the government change, over 3 billion. While health care is provided, it is still the case – of course – that one in each police district must give priority to the issues to be addressed and the issues to be dealt with the most. Our key priorities for criminal proceedings follow from the budget proposal for 2015–2016, including: serious impairment of integrity and gross profit-based crime are brought forward. The reason for this priority is, of course, that this type of crime either represents major human suffering, has high socio-economic costs or is very socially damaging in other ways. I feel that the Stortinget has agreed to the overall priority through its treatment of the budgets. Furthermore, individual cases in the criminal field are covered by the prosecution authority, and in its 2016 criminal priorities, the Advocate-General has emphasised that police officers are responsible for giving priority to all matters in the district that fall under the priorities of the Advocate-General if there is a shortage of resources, regardless of the organisational unit initially assigned to the investigation and prosecution task. Violation of this provision in the Law on Holidays and Holiday Peace is not among the crimes that are considered to be prioritised by the Riksadvokat, but I assume that any police officer in his or her own police district will at any time make an assessment of how socially harmful crime is and what offences are to be followed up, and it is obvious that the activity we are now seeing could affect the priorities of a police officer.
ParlaMint-NO_2016-05-11.ana.ud122e979	I would like to thank you for your answer. Now I agree that the police must give priority, and it is not really the police who are addressing my question, it is the more government and what the government is doing. Because despite the fact that the government, in meeting with the actors on Friday, made clear that the law of the day was to be respected, ordinary shops in some chains kept open this Sunday as well, and there was a deliberate crime because the requirements of the law were not taken into account, among other things. on physical walls, separate entry and square metres. Some of the actors are clear that they are doing what they can to comply with the law, while others openly announce that they are breaking and thinking of continuing to break Norwegian law. So my question is, can the Minister of Justice assure us that he will assist the Minister of Culture in achieving respect for Norwegian law?
ParlaMint-NO_2016-05-11.ana.ud122e986	I would like to stress, as I did in my main reply, that individual cases under criminal law are under the prosecution authority. The prosecution authority is independent, and it is not up to the Minister of Justice and Defence to instruct in specific individual cases. At the same time, I believe that there is a difference between the situation we now experience, and the situation we have experienced in the past, which the questioner is also concerned with, where there were sporadic breaches in the past, often because there were a little too many square meters or other kind of follow-up that were not satisfactory, to what we now see the outlines of, which is a more systematic work to undermine a law that has been passed in this house, and which the police have also been set to enforce. But I would like to stress that I have great respect for the individual police officer's assessment of specific matters in his own police district, and I will not give any instructions or the like in this regard. However, I think it is important that the developments we have seen show that there is something else we are now facing than what we did a short time ago.
ParlaMint-NO_2016-05-11.ana.ud122e993	I would also like to thank you for that answer and feel that the Minister of Justice and Defence sees that there is a slightly different situation now than the one we have seen before. So, despite the Minister of Culture's clear message on Friday, we see that it seems that some of the actors do not intend to respect the law that this house has passed. But I hope that today's clear speech from Stortinget – to which the Minister of Justice has now contributed – makes the impression, and that all actors are listening to this and are concerned that the law must be followed. So my last question is, can the Minister of Justice guarantee that the government will ensure that the law is enforced, both on Sundays in general and not least now at Pentecost?
ParlaMint-NO_2016-05-11.ana.ud122e1000	I have now, in my two previous answers, stated that I am not going to give any instructions to the prosecution authority. It shall be independent in respect of individual cases in the field of criminal proceedings. But at the same time I have stressed that I think it is demanding to be a passive spectator that someone actively encourages a crime. There's no doubt about where the majority in this room is, where the boundaries of the law are, is standing, and I think it's hard to claim that the law in any area should be particularly unclear. It is the task of the police to work on all matters that are punishable, but I would like to stress that I have great respect for the fact that the police's resource situation is such that the individual police officer must give priority to the most serious issues. I am a very strong defender of the fact that it leads to other matters being deprioritized, and I have respect for the judgements that the policeman locally will make at all times.
ParlaMint-NO_2016-05-11.ana.ud122e1009	«Lastly, it has been revealed that several daily food chains violate the law on public holidays and holiday peace, by not dealing in different ways with the rules for Sunday open shops. How will the Council of State ensure that the offences of the shops do not continue, and that there is no legal situation developing in line with the law of the day, for which there is no majority in the Stortinget?’
ParlaMint-NO_2016-05-11.ana.ud122e1016	The law has limits to commercial activity on Sundays and public holidays. The general rule is that fixed outlets selling goods to the consumer should remain closed on these days, and there are a number of exceptions for specific types of shops. As you know, the Ministry has made proposals to amend the legislation at the hearing. The debate has shown that the government's proposals do not have a majority on the Stortinget. I would therefore like to stress that the rules that apply at all times should, of course, be respected and followed by all those who operate fixed outlets. The legal status of the shops does not change the practice of the legislation. It's the police's job to enforce the law. Several shops have been fined and withdrawn. The last examples of fines are from Molde and Kristiansund at Christmas. It follows from the current rules that a fixed point of sale must be a place which can be closed or locked. It is not possible to convert parts of a shop on Sundays and public holidays by using movable partitions etc. The definition of a fixed point of sale has a long history and returns to previous laws in the field. The rules for smaller grocery stores not exceeding 100 m2 are clear. I have communicated that the rules of the law are clear, in a meeting with, among other things, the food chain, which was held on 6 May. There were no examples in the meeting that the law was unclear. Any change in the legal status requires a majority in favour of a legislative amendment and it is not for the actors to decide how to interpret and practise the legislation. In the meeting with the food chains on 6 May I also made it clear.
ParlaMint-NO_2016-05-11.ana.ud122e1028	I am pleased that the Council of State is as clear as she is, that the government did not reach a majority or listen to the consultation for its proposals for amendments in the form of the liberalisation of the legislation, and that there is today's legislation, which will apply to the majority of the population, which provides for the possibility of having Sunday-open shops to a certain extent, but according to given rules, and which at the same time takes care of the concerns of the Workers' Party, and it is that Sunday is to be held as a different day, and, for most of us, is to be a day off. I also learned that the Council of State, at the request of the NHO, Trade and Office and the industry themselves, had a dishes meeting on 6 May, and that the Council of State there gave a clear message that the legislation should be complied with. But already on Sunday 8th May, several chains still had open, which is not in line with the legislation. What will the Council of State now do to ensure compliance?
ParlaMint-NO_2016-05-11.ana.ud122e1037	What we're really discussing here is the Brustad Bua, which is open on Sundays. It's a survival of a Workers' Party government. This situation and this law is something that this government has never primarily wanted. We are dealing with the legislation and the law that the Labour Party government introduced. We wanted to change this, also because today's law is distorting competition. We want equal rules for all actors. Then that proposal didn't get the majority, and we take note of that. But as long as the law is there, it must be followed. I understand that some actors in the industry want to change today's legislation, but laws change – as the representative of Trettebergstuen knows very well – by Stortinget. There are not single actors that change the law by apparently breaking it. Therefore, my clear answer is that this law should be followed by everyone.
ParlaMint-NO_2016-05-11.ana.ud122e1042	I am aware that the Minister of Culture really wants liberalisation in the case of Sunday-open shops. But it's the big crowd that decides, and the big crowd wants Sunday to be a different day, where most people are going to be free. That is why the Council of State is responsible for complying with today's legislation. As I said, daily food chains demonstrate every Sunday that the government lacks action, because despite the fact that the Council of State had a dishwashing meeting with the industry itself, the industry continues to keep open, contrary to the legislation. Now we're on our way into the pinnacle, the Council of State thinks she's been clear and clear, and the Minister of Justice says the law should be enforced. Nevertheless, it is advertised that the chain of stores should be open in the pink, and that is not in line with the legislation. Now what will the Council of State do to ensure that the chains do not break the law? Is she going to do something, or is she going to sit and see that the industry is still getting along?
ParlaMint-NO_2016-05-11.ana.ud122e1051	Unfortunately, when the law is designed as it is – by the former Labour Party government, which wanted to legislate the law like that – this situation has arisen. That's why I think we should change the law in order to get a level playing field for all actors, or in order to perceive that these are equal terms. I've been as clear as I can. I repeat that. I expect them to respect the law, and I am serious about deliberately challenging Norwegian law. It is not a majority in the United Kingdom to liberalise Sunday and public holidays legislation. That's what the government has taken inwards, and we also see from the hearing opinions. We expect the law, as it is now, to be followed. And then I refer to what the Minister of Justice said in his answer to the previous question.
ParlaMint-NO_2016-05-11.ana.ud122e1060	Then we go back to question 2.
ParlaMint-NO_2016-05-11.ana.ud122e1067	This question, from the representative Line Henriette Hemdal to the Minister of Economic Affairs, has been transferred to the Minister of Culture who is directing him.
ParlaMint-NO_2016-05-11.ana.ud122e1070	‘All the chains that have opened shops on Sundays have spent millions of dollars following the Holidays and Holiday Peace Act. How does the Council of State view that one of Norway's largest companies creates a completely new and challenging competitive situation by openly breaking the law every Sunday, and that they have also announced that they will do so in the Pentecost?’
ParlaMint-NO_2016-05-11.ana.ud122e1077	The question to the Minister of Industry refers to the law on public holidays and holiday peace, and that is why it belongs to my responsibility. So the question is answered by me as Minister of Culture. As I pointed out in my previous post, in response to the question from the representative of Trettebergstuen, the Holiday Act has a number of exceptions to the obligation to keep closed on Sundays and holidays for specific types of shops. There are some differences and distortions of competition between different types of shops. An exception provides for grocery stores with a total sales surface not exceeding 100 m2 to keep open on Sundays and holidays. Other grocery stores, on the other hand, must remain closed if they do not fall under one of the other exceptions in the law, such as: outlets at typical tourist sites or outlets on campsites during the camping season. As is well known, the Ministry of Culture has consulted proposals for legislative changes that could have given greater flexibility and less distortion of competition. That proposal did not receive a majority. The shops must, of course, respect the law in force, and it is not up to companies in the trade in goods to go beyond the legal framework. This applies to all actors in the industry. The competitive situation between the chains is similar in the sense that the general rule of law and the exemption rules are the same for all. There's no way to circumvent the law by using moving partitions, etc. A permanent point of sale must be a place that can be closed or locked, and as mentioned, I have announced in a meeting with the industry before the weekend that the rules of the law are clear and that the applicable rules should be followed. Until the Act of Holidays is amended, where appropriate, competition must be exercised within the current framework and the current legislation. Enforcement of opening hours is the responsibility of the police. Violation of provisions can be sanctioned and there are examples of shopkeepers who have been fined and withdrawn after police intervention. I assume that the actors in the industry are responsible, not behaving and challenging the boundaries and respecting the competitive situation.
ParlaMint-NO_2016-05-11.ana.ud122e1095	Thank you for the clear response of the Council of State. As the Council of State says, on Friday there was an urgent meeting of the Council of State. The councils are quoted, and now they're saying that the law is crystal clear. According to the Council of State's statement to NTB, the actors also say that the law is not unclear or unclear, but nevertheless there is a crime. Now we're going into the Pentecost, a long weekend with a 16th of May before the 17th, and my question is, what will the Council of State actually do so that the law – with a laborer – is not broken in the long weekend? It happened the weekend we got behind us, which came after the emergency meeting where the Council of State was as clear as it is now. What concrete action will the Council of State take?
ParlaMint-NO_2016-05-11.ana.ud122e1100	As the representative refers to, I have been as clear as I can. I expect Norwegian law to be followed. That is why I also asked the individual actors who were meeting with me whether the law was difficult to understand. All confirmed that it was not. I also asked if there were examples in today's law that make it possible to interpret. There was no doubt about the interpretation of the actors present. As the Minister for Justice and Security pointed out instead, it is clear that the law must be observed. Although the government does not in any way want any authority to instruct the police, it is demanding to be passive spectators to actively challenge the law to those degrees. Then my message is that it is the Stortinget that changes laws, not actors in the food industry.
ParlaMint-NO_2016-05-11.ana.ud122e1105	Thanks for the answer. There are no examples, no interpretative will – yet we are in this situation. I now hear that both the Minister of Culture and the Minister of Justice are talking about passive and active participation and about watching. But the government wanted liberalisation, it was the Minister of Culture and the Council of State Anundsen on the inside. That liberalisation is not a majority for now. But what's happening is a snowclad liberalisation of the law of holidays and holiday peace. Can the Council of State responsible for this sit still and look at it?
ParlaMint-NO_2016-05-11.ana.ud122e1110	As Minister of Culture, I must be clear on which law is applicable at all times. I've been very clear on that. Then the police in Norway are investigating crimes. I see that there is a possible need to review the law, even after input from the actors – look through Sunday and holidays legislation – because the situation with people's patterns of action is constantly changing. I will come back to that, but I would like to make it clear that all actors in the food industry have to deal with the laws adopted by Stortinget. It's an expectation. And so it's that the government doesn't instruct the police or prosecution. We're clear on which law applies, and then it's up to the police.
ParlaMint-NO_2016-05-11.ana.ud122e1115	Case No. So 2 is done. After it had been called to vote, said
ParlaMint-NO_2016-05-11.ana.ud122e1120	Councillor Linda C. Hofstad Helleland will transfer 12 kgl. propositions. State Council Linda C. Hofstad Helleland exceeded 12 kgl. propositions [[see Unit]]
ParlaMint-NO_2016-05-11.ana.ud122e1258	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
