ParlaMint-NO_2016-06-07.ana.ud158e111	The representative, Helga Pedersen, will present a proposal for a representative.
ParlaMint-NO_2016-06-07.ana.ud158e2223	That's it, and now the government council turns on what I'm saying, and tries to say something other than what I said. What I have mentioned is that there is a need to strengthen marketing, so that we can afford to market these products in a delicious and accessible way to consumers. That's what it's got to do. That's what everybody else does. If we have organic products that are not sold, it's a thought to put in some market organizations just to sell them, because they're good. The failure of the market organizations and not the fact that the public will actually have these products if they first receive them. It turns out that if the goods are in front, they look like the others, and they don't have much higher price, people will choose them. Then the question is, what do we do to break the limit of many of the goods that are not well known to many consumers today? I'm pretty sure consumers want them.
ParlaMint-NO_2016-06-07.ana.ud158e2228	I think consumers well what they think is useful almost every time they're in the store. That means that consumers do, we can see from the shopping pattern. It shows that we produce more organically than what we actually translated. It's a challenge, but it's a challenge first and foremost because we have a high-reliance agriculture, and we have a small range of products on some organic production, and part of the organic consumption we have is based on imported products. It offers less market potential for Norwegian production. But I think that when we have own slaughterhouses, farm owners, when we have own dairies, farm owners, who pay for these organic products, there is a much stronger incentive to get those products back out to consumers than I can solve with generic marketing.
ParlaMint-NO_2016-06-07.ana.ud158e2233	The cord shift is over.
ParlaMint-NO_2016-06-07.ana.ud158e2236	By reference to the previous line change, I would say that some of the replicators require both a completely different production system than what we have, and not least a different political system than what we have, to implement one, let's say, a theoretical objective. Then I would like to take the opportunity to advertise a little for an innocent little section of the vote, because there has been a majority of the Workers' Party, Right, Advance Party and Christian People's Party, which ‘believes that the main reason why the organic food production target is not met is that the demand for organic food is too low’. Yes, that's the truth. So we have a production system that makes it the customers who decide what's going on in the shelves. If over-subsidisation, prohibition or other intervention is taken, production is just becoming inefficient. Then you can talk to them in the grocery store who have to throw organic food at the closing time because it doesn't have sustainability qualities in full monn. You can think about what's of resource games in it, and of course also that something organic food is more expensive to drive than other food, which is also not sustainable. I notice that in the debate there has never been such a small slop of paternalism. You talk about the people. But there are no consumers here who have complained that they have not received – perhaps with the exception of the representative Andersen – who thought that the goods were on the shelves any longer. As consumers, however, there is nothing to prevent us from putting together our menu and shopping cart as we wish. The criticism that some have addressed to the Ministry of Agriculture is, in fact, a criticism of the Norwegian people that they do not realize their own best. The representative, Karin Andersen, also pointed out in his statement that consumers are not convinced that organic food gives them the quality, or quality, of which she was in, and we can add it to the price that they are willing to pay, so that the argument goes on that a high proportion of conventional agricultural production would not be sustainable. Yes, but then we get to attack it, and I expect that in particular the Center Party will put in a good word for conventional agricultural production, that it is sustainable. We still hear that conventional Norwegian food is in the top class in terms of quality, and that may also be part of the explanation, namely that it is doing well precisely because it is reassuring to our consumers. If anyone is to be criticized in this hall, it might be the Storting itself, to have unrealistic goals. How is the Riksrevision going to revise as theoretical objectives as these percentage targets really are? I think you also get a sense that you do not know exactly how to achieve these objectives, when you see the measures recommended. There are four indents, the first of which is an ‘updated overall strategy’, which is really novelty because it would be nice if someone had any ideas, but at least we don't have them. And then it's "farmed". Yeah, well, it's the same thing that you can probably get some motivation, you can pay some more to put together the production, but it's not sustainable for consumers' choices either. So the third thing is, when the country itself is a buyer, is going to use "organic food". Yeah, that's where the state puts aside the demand of other individuals, if they had had the election themselves. They can, of course, try out people's choices, and then they can say that in the canteens of the state it is only to be eaten politically properly. The last point is ‘generic marketing’, from those batches that usually negate marketing as something empty, devoid of content, and that give false values of life. Clearly, the real values of life have been identified here, which means that the population can gradually be raised in the right spirit, and live up to the 15th century. I think it is shameful – or it may be a bit strong, it may be a little sad – that the basic premise, the fundamental criticism here, which cannot in any way be directed at the Ministry of Agriculture or the agricultural authorities, is a disappointment that consumers, those who use the power of demand every day, do not live up to the requirements of the Storting.
ParlaMint-NO_2016-06-07.ana.ud158e2251	It's going to be line change.
ParlaMint-NO_2016-06-07.ana.ud158e2254	I can assure the representative Tetzschner that the Centre Party is behind both the production system we have in Norway and the political system. We're hot trailers of it, and we want to use it to achieve the goals that Storting sets. No one has said that the objectives set by the Stortinget in this area cannot be achieved with the system we have, both productively and politically. No one has said that conventional food is good. What we're discussing now is organic food. Then the representative Tetzschner says that it is, among other things, I stand for it is a disappointment at the consumers. No, that's not it. I would like to ask the basic question that the Progress Party explained: Share the party's right goal of 15 pst. at all levels, consumption and production of organic food? Yeah, or no?
ParlaMint-NO_2016-06-07.ana.ud158e2261	Yes, now it is not that I feel bound by that decision. I don't think – unlike the representative Lundtigen – it's a decision that can be realised within the means we're willing to use in a consumer-driven market economy where it's the customers who decide what comes in the shelves.
ParlaMint-NO_2016-06-07.ana.ud158e2266	I would like to thank you for your answer. It was very clarifying. What's interesting then is that the representative Tetzschner sits on the control committee, deals with the Riksrevision's report and does not have the power to write down a single word of what the representative now says, in the setting. He can't get it out. If you read the setting, you can get the impression that the game on the right is part of the goals. Isn't it driving people and systems behind the light with the huge costs that it involves, when you don't mean anything with it that gives the impression that you're for?
ParlaMint-NO_2016-06-07.ana.ud158e2273	We have formulated the following on page 7 of the setting, first column, together with other batches correctly, that we ‘believe that the main reason why the organic food production target is not met is the demand for organic food’. [[...]] So that's the sum of consumer choices. I am fully aware of this – if you also consider that there is in essence an explanation here that deludes some of the instruments, in fact the vast majority of whom the representative Lundtigen has advocated. That's also why we're not involved in any of the minority proposals, especially where the Center Party is involved.
ParlaMint-NO_2016-06-07.ana.ud158e2279	The cord shift is over.
ParlaMint-NO_2016-06-07.ana.ud158e2282	I'm very pleased with the discussion that is developing here, because now we get to clarify what the individual parties actually stand for. We have been made clear that the Progress Party is not in favour of the 15 p.m. target, and I cannot understand the representative Tetzschner other than that he does not support it on behalf of the Right. Then it is referred to the consumer. We're talking here about food and drink within import protection, where those who are actors are essentially three major chains. Those chains have a power that is incredibly great in relation to the consumer's choice. I will take one example of how the power of the chains can be used in a positive and – I would say – exemplary way. What chain and what matter do I think of? I think about the Norway Group, I think about chicken, I think about the fact that until last, chicken was produced in Norway with a substance called narasin, which is documented to be an antibiotic. So the Norway Group took social responsibility and said they wanted to get away from selling chicken produced using an antibiotic. The Norway Group has the power to obtain large results. Consumers have become aware of what we are talking about here, the producers have put themselves in the harness and have changed their way of production. To the benefit of both parties, results say that now the production of chicken meat in Norway is virtually no longer based on this narasin. It's really taking social responsibility from a chain that has a significant power. Otherwise I will answer an important question from the representative Holthe. He said that I spoke here hotly for the ecological and did not talk about the conventional and the degree of maritime supply. That's absolutely correct. I would like to make it clear that if the objective of organic farming and production is contrary to the degree of maritime supply, the most important is the degree of maritime supply, because the degree of supply of water says on a calorie basis the ability of Norway to supply its own country's inhabitants with food produced in Norway. The basis for the food produced in Norway is plant production, and plant production is the result of the area used, the land and the land area, and the crop that one picks on each unit of area. It is obvious that in an organic production mode, where one does not use fertilizers, i.e. does not supply nitrogen based on a chemical process and phosphorus and potassium based on a similar chemical process, one must be very competent to maintain the level of yield only by green manure or by manure. So the clear answer to the representative Holthe is that it's the maritime supply level that's the most important thing. This means that we have to increase the number of areas in operation, and we have to increase the yields. That's what's the big challenge. Today, however, the matter is how the Committee on Control and the Storting is dealing with the objectives that have been adopted. If one believes that these goals are to be abandoned, do so. If one believes that these objectives should not be abandoned, a goal will be achieved. I have here pointed out that one now has only five years to achieve the goals. It's very, very demanding. And I have said that the first thing is to get the consumption up, to get a suck in the market and thus get a ‘drive’ in the whole situation, so that the production should support what is consumed – quite clearly. The representative, Karin Andersen, was concerned that organic farming is healthier for the soil. I agree with that, in the sense that in organic farming it is not allowed to use spraying agents. Spraying agents kill weeds, kill fungi, kill lice, and affect the entire bacterial life in the earth. So Karin Andersen, in my opinion, has coverage for it. But I want to say that organic farming also produces products that are healthier for the consumer. Anyone who knows how to produce knows that part of what a person is producing will be included in the product – there are small residual concentrations that go further in the product. In particular, there are innumerable examples of this in fruit, berries and vegetables, where one has demanding production methods to deal with all the mischief that attacks these crops. Not least, it is the most important thing in organic farming to remove the spraying agents, and it also affects the production of conventional agriculture. I just want to end by saying that the Storting has set a goal. I see that in this hall, there's still a majority of those goals, because there's only two parties that have said that they're going to go away from the 15 pst goal. It is the Advance Party and – as I interpret it – the Right. There is therefore a majority behind the 15 pst targets. Then it is our task to implement them within 2016, 2017, 2018, 2019 and 2020. It's five years. It's very demanding to get to it. Those who oppose the implementation of the objectives must say so. Then there's a tidy discussion here in Stortinget and people can relate to a word being a word.
ParlaMint-NO_2016-06-07.ana.ud158e2301	The next speaker is Tom E.B. Holthe, the rapporteur on the matter. He has had the word twice before and gets the word for an article of up to 3 minutes.
ParlaMint-NO_2016-06-07.ana.ud158e2304	I'll be brief. What made me take the floor was the representative Hansson who said that the Progress Party through me thought that organic farming was a ‘customs’. ‘Customs’ is an expression I have not used and will never use in organic farming. If the representative had followed me in my post, he would have realized that the Progress Party is for the diversity of agriculture, also through the organic. Even I come from a state with a lot of niche production, and we appreciate it very much. Not least, as a cook specialist, I can and wish to express my great appreciation for the quality that we are today receiving from our farmers.
ParlaMint-NO_2016-06-07.ana.ud158e2309	There are at least double high-level communications here today, from multiple batches. It shows that there is a need to clarify whether the Stortinget is now in line with the Stortinget objective, and as the Riksrevision has pointed out, it has not been followed up in practical policy. It's a responsibility that different state councils have to assume, and that the majority of people have to take on to follow it up if we still believe it. And that's what SV means we have to. There are good reasons to want that, because we just have to take care of the food soil in the future so that it can be alive and healthy for generations. The reason why I don't mention health in my post – or claim it – is not that I disagree with what Lundtigen says, namely that in particular these plant protection residues that are left, probably eventually will accumulate in the food chain and also end up in people, and that's not a good thing. I think we'll realize that later on, but it's hard to prove, sail if there's any reports coming up this past week that both believe to establish this, that there's better health, and also mention all of these fears that organic production will be so inefficient that you won't be able to produce enough food that way. Well, you can, but then you also have to make sure that all the agricultural land is put into use, and that they are used in such a way that they can produce healthy and long. So this debate about marketing is strange. Parties that are very market-oriented clearly believe that marketing in this particular area is of no importance, for consumers choose freely here. I don't think that neither chains nor producers spend millions and billions of dollars on marketing when it doesn't work. Obviously, it works when you get taste samples, when you're told on the TV and in the newspapers and massively everywhere you go: eat this, it's healthy, it's good, the senses eat it, this is the teacher, the new one, you have to taste this. Of course this works. Of course, lure prices work, it turns out. Then you become familiar with products, that's why you use marketing. Because organic production is important for fundamental reasons, it is important to get production up, and then it is important that people have the opportunity to become acquainted with the products. It doesn't matter. Those who produce conventional, and those who produce very unhealthy things that we step into, both late and early, spend a lot of money on marketing. The chains also have power over how goods are placed in the store. There's no doubt that they have it. They have agreements about what's ahead of you, what's close to you. Where do customers most choose goods, where do you pick something when you just go by? Yeah, that's a lot of studies of, and this does all the shops. They know where they place the goods so they can sell them as much as they can. Then we want to get production up, and in order for consumers to actually see and have the opportunity to choose this, we have to do a lot more with marketing it, because everyone else is marketing their products so intensely and violently. So it becomes a little virginal, I think, when you say that you should not market this at all. Everything that is consumption can be influenced. I'm not saying that consumers are unconscious or don't know what they're doing. No, they know what they're doing, but consumers are being influenced. I also let myself be influenced by marketing, I admit that I do it, because you're a human being and it works. I hope now that we get a proper clarification from the government parties as to whether they are behind this goal for organic farming. That's what we need. We know that we have a government that doesn't have a majority in the Storting behind us, and that sometimes and quite often they're asked to do something they're against. It's a little slow and bad, but it's at least a good thing to have it quite honestly on the table when the situation is like that, because then the large number of people obviously have to act in a much more cash and much more actionable and direct way to get to what is otherwise agreed with the government's request decision. It can be done when we have a government that agrees with the objectives. Of course, if you have a government that disagrees with the objectives, proposals have to be much more ‘two the points’ and quite clear in their wording.
ParlaMint-NO_2016-06-07.ana.ud158e2328	It's a little amazing to follow the debate. Karin Andersen almost seems to be a mortal sin that is influenced by marketing. I think we're all going to be, but there's a very big difference between what the consumer chooses and what he wants to do with marketing so that the consumer chooses something completely different. That was Michael Tetzschner, among others. talked about, that it was the consumer's choice, and I'll come back to that a little bit. But it was the goals that have been adopted, and the actual time perspective, that the Riksrevision has looked at, that was interesting. Thus, this concerns the period 2005–2014. Then there were eight years of red-green government and one year of bourgeois government. Then you raise the tab very high because you haven't reached any goals. Then I think the real thing would have been if Lundtägen and Andersen had simply raised a debate in the Storting around the question: Is there realism in the goals that the Storing has adopted? There I think Michael Tetzschner had some very good points. We have conflicting decisions on most of this, and I'm going to come back to that a little bit. I also think it's fundamental error to believe that it's the power of the chains that's absolutely crucial here. I think the chains are doing what they see consumers are interested in. The point is: the consumer does not choose organically. There are many good reasons for this, because Norwegian agriculture is, in fact, the purest agriculture in the world already, and we should talk it over. Had the consumer seen the real costs behind organic, he would probably have chosen it even less. So a little bit about the farmer's choices: Read today's edition of the Nation. It says it's an organic farmer who's disappointed with the farming, but it also says that conventional agriculture produces 800 kg of grain per deer, while organic farming yields 300 kg per deer. First of all, it's obvious what the farmer chooses: he operates conventionally, and so do those who want to run somewhat professionally. But how are we going to achieve the Storting's goal of increasing food production if everyone's going to change that? I can't do that. Then we're sitting with the Natural Diversity Act, which we discussed last week, where we're not going to cultivate ants. It is a dream to believe that the areas left unused in Norway today can fill such a production gap: from 800 kg per measure to 300 kg per measure. Then we have to start a massive cultivation of ants, and then we go straight into the climate trap, because that's what the Natural Diversity Act says: we're not going to cultivate any particular ants, because it's totally destroying the climate. We will then have a huge climate impact on Norwegian agriculture. I think it's time we took a real discussion about the goal itself. And I think the red-green could be real enough to say, we didn't achieve any of the goals. It was our policy that led to that we did not achieve any objectives. As stated above, this survey covers the period 2005–2014. Then you have to assume responsibility and not push it over to a new Minister of Agriculture from a civil government. So we're going to have a discussion about the questions, are we earned with this goal? Have we not served to speak up conventional Norwegian agriculture and market it as the world's purest already? And if there are any sprays or the kind of things that track people after it's been used, we know that it's being opened out pretty quickly by the control systems we already have. I just wanted to take the word to elaborate on this a little bit. I think it should be taken seriously that the Storting has set objectives and limits for agriculture in a number of areas that make it impossible to achieve all the objectives, and we should perhaps have a proper debate on that. I personally believe that the ecological objective is one of those that we might be able to give up the easiest.
ParlaMint-NO_2016-06-07.ana.ud158e2345	The government uses the 15 p.m. target for its policy design, so those who have questions related to it today can assume that it is the position of the government. If he was to change or the government would find it right to challenge the Storting whether this goal is possible to achieve, we will come back to Stortinget with it. I have announced that I will mention the organic target in the agricultural message, which comes later this year, and that I will follow up the plurality in Stortinget today with a strategy to achieve the ecological goals that Stortinget has agreed to. But we cannot go from this debate and let it be left to the impression that traditional conventional agricultural production in Norway is not pure, does not promote food security and does not give consumers security when they choose Norwegian agricultural products. Norwegian food production is among the purest in the world. We use at least medicine by everyone. We work systematically to avoid developing a situation where agricultural production provides the basis for having antibiotic-resistant bacteria, which will later be a public health challenge. Norwegian consumers must be able to feel very safe when they are well aware of conventional Norwegian agricultural products, that they are safe to feed. Stortinget has been working with it for many years to get it done, this government has been working with it systematically, and it doesn't least have farmers working with it for generations to get to. We cannot have it hanging on this debate that that should not be the case. No one is against marketing, but we are because the market players take the main job of marketing their own product, not that the state takes responsibility for marketing the single product produced by Norwegian agriculture. What I mean is a sensible and healthy sharing of responsibilities, which we use in a lot of other questions, and which I am pleased that the majority in the Stortinget in an annotated form also joins today.
ParlaMint-NO_2016-06-07.ana.ud158e2354	There is one element in this debate that I feel the need to take the floor on, and that is the question of why this criticism has not come, why it has not come before, and why it has not come against the red-green government, as the representative Gunnar Gundersen said. This has also been partly carried out by others. Let me just say that the whole Stortinget, both the representative of Gundersen and others, is going to trust completely that this criticism would have looked exactly the same from the Labour Party's side if we had received this report for consideration at an earlier time. This is not a party political question. This is a question of how we organise agriculture in order to achieve the Biggest objective. That's what the Control and Constitutional Committee's mission is and nothing but that, really. I cannot see that there is anyone in this debate who has disputed that what is in the Riksrevision report is correct. The council has said it's right. Then we're very far from the goal, and that's what we're pointing out. So it becomes a question: how are you going to achieve this goal in the extension of this? It is a discussion that is really on the edge of the task of the Committee on Control and Constitutional Affairs, because it is an agricultural policy debate. I'm not going to go into it, but I felt like the committee leader that I wanted to make this mark so that this isn't going to be hanging either. Then I have one more element. The Council of State here says that it should not be left hanging that Norwegian conventional agriculture is not good. I have not heard anyone say that in this debate. There is no reason to say that either – on the contrary, it is very good – but it is the dimension of the difference between the objective of organic production and the fact that we are so far away, which is the task of the Control and Constitutional Committee. At least in this debate, we have emphatically stressed that this is the case. I hear what the Council of State says, but it will be up to him, the now responsible government and the Storting as such to ensure that the instruments are in place, so that we may reach that goal. Otherwise, we'll have to adjust it.
ParlaMint-NO_2016-06-07.ana.ud158e2367	Per Olaf Lundtigen has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2016-06-07.ana.ud158e2370	I agree with the chairman of the committee who said, while I am among the foremost people who speak the conventional agricultural case here in the Chamber, a conventional non-antibiotic agriculture in the feed – not so many are involved – a conventional agriculture that systematically combats multi-resistant bacteria, MRSA, within the pig team. We have a lot of important things. I experience a unique consumption growth for natural food, organic food – and that's great. It must be promoted further, because it also provides good public health. There is a lot in the Gundersen representative who said about organic cereal cultivation versus conventional cereal cultivation. It just shows that organic farming is more demanding. It requires a better soil culture, it requires a better plant culture, it imposes greater quality requirements and competence requirements on the user, and it is something that everyone speaks well in many contexts. What's left here is that the right party, as far as I understand it, doesn't support the 15 pst goal, while the government does it because the supporting parties stand for it. In this way, at least something good has come out of the debate.
ParlaMint-NO_2016-06-07.ana.ud158e2381	Several have not asked for the floor on case No. 9th@item: inlistbox
ParlaMint-NO_2016-06-07.ana.ud158e2395	The Committee on Control and Constitutional Affairs is again presenting a position on the development and use of digital services in public life and in public services. So this time it's about the development and use in our municipalities. The setting is unanimous. The Committee's view on digitisation, position and use in the public sector has been unanimous in all the positions we have delivered by the Control and Constitutional Committee. The Committee has addressed several serious issues relating to key areas of Norwegian society. The last time we were treated was the digitization in Nav, and then the digitization within our health companies. The latter led to a unanimous decision by the Stortinget that the Council of State should return to Stortinget in an appropriate manner on the further development of the health sector. The government has responded to this decision by submitting the notification, which is called the Digital Agenda for Norway, and I think that is good. However, there has been no lack of communications and proper objectives, but in all these cases dealt with by the Control and Constitutional Committee, there is one main issue that remains, and there is a lack of coordination and overall governance. I say this again: there is a lack of coordination and overall governance that is what is left in the attitude of the Control and Constitutional Committee in this important area of society. It is also the main theme of the issue that Stortinget is dealing with today, i.e. the digitisation in the municipalities. Here too, like the matter we have just dealt with, the goal and decision of the Storting is quite clear. That's what it says. «total and complete public digital services for residents and businesses». That's the goal that the Storting has set, also for today's discussion. In this area, the municipalities have not fulfilled this obligation either. The size has joined several times and pointed out that the local government sector has a separate responsibility towards its citizens in order to solve basic tasks, provide services, drive social development, exercise powers and be a local political institution. The fact that citizens and businesses have to be able to carry out their duties in the public sector in an easy way, regardless of whether it is the State, the county or the municipality responsible for the service, is part of this work. Digitization is a prerequisite for this in our time. I think everyone here agrees with what I have just said. It is, of course, discouraging that the work on digitisation in the municipalities has not come any further than we can read in the Riksrevision reports. The national audit studies show that municipalities have been short-lived, that there are considerable differences between municipalities and that the differences between large and small municipalities are striking. The Municipal People’s Council implies that each municipality has a separate responsibility for the renewal, conversion and digitisation of its own municipality, but national targets for equivalent services and the efficient and coordinated use of public resources are equally important. The state is also entrusted with a significant responsibility for giving municipalities the opportunity to digitise. The National Audit Office considers that the measures undertaken by the State are not sufficient to achieve the objective of comprehensive digital public services for citizens and businesses, and that there is a need for stronger nationally coordinated efforts to improve the progress of municipal digitisation. The National Audit Office recommends that the Ministry of Local Government and Modernisation assume a strong national responsibility for coordinating ICT policies in the public sector, so that public digital services can be seen as a whole for citizens and businesses. They propose more use of financial incentives, motivating the coordination of departments and directorates, facilitating coordination between the State and local authorities, and increasing the use of national common components and ICT standards by the municipality in order to streamline the digitisation of municipal services. The Committee agrees. I am pleased that the Committee is united in this matter, and that the Committee stresses the importance of taking seriously the findings of the National Audit Office. We believe it is serious that the Storting's objective of comprehensive and complete public digital services to the population and the business community is not met. It creates inequality and increased differences for both the population and the business community when online services are not a common good in all the municipalities of the country. Better interaction between the state and the municipality is absolutely necessary, and we stress the responsibility of the Ministry of Municipal Affairs and the Ministry of Modernisation. It goes without saying that good online solutions between the municipality and the population will contribute both to shorter processing times and to better resource use. I think most people appreciate being able to process a construction case online rather than visiting public offices. Construction work is also a good example in another respect. The Building Quality Directorate has developed a solution for building applications that have been used by many municipalities, and in this way has actually done what many municipalities demand, got to a greater degree of state involvement and responsibility, because it goes without saying that the challenges ahead, and already today, are too great for the municipalities to be able to solve them alone. It points to one side that I, for my part, think is striking in many things we are dealing with in Stortinget – the inability to learn from others. This applies to both the State and the municipality. It's in many ways a mystery that you don't go out and see what others have done when new solutions are to be introduced. When digital solutions are missing, there are several very unfortunate consequences. Data across subject areas and subject systems are not working. Inhabitants and businesses need to re-enter the same information for each of the municipal services. This leads to an improper offer, and it is not least to waste time and resources on people, businesses and municipalities. It is worrying when many municipalities say that they do not have the skills to digitise their services. Not least, it is worrying that municipalities do not have sufficient ordering skills. The municipalities can handle, inter alia: not to acquire ICT systems or data solutions in line with the local authority’s own needs. As I just said, there is little coordination and standardisation of the solutions that need to be addressed. It is essential to ensure that systems communicate with existing solutions and that data flows and interactions between those systems are ensured. Many municipalities say that the cost of digitising municipal services is too high for the municipality to prioritise it, and that the work is also lacking in the management of the municipality. It may not be so strange all the time that costs are on the municipalities, while the profits are on the community level. A Joint Committee will therefore stress that the findings need to be taken seriously and corrected, and that municipalities need to cooperate more closely and share experience and technological solutions. We also show that the Ministry of Local Government and Modernisation has the overall responsibility for coordinating ICT policy, and we therefore agree that there is a need for stronger nationally coordinated efforts to improve the progress of local authorities in digitising municipal services.
ParlaMint-NO_2016-06-07.ana.ud158e2435	Public sector digitisation shall enhance the quality and efficiency of public service activities. This is confirmed in several large-scale messages, and Stortinget has joined the goal of a digital first choice for residents and businesses, cf. Inner. 370 S for 2012–2013. This implies that online services are the general rule for administrative communication with citizens and businesses. It is discouraging to read the main findings of the National Audit Office. Municipalities have little digitised their services. Work on digitisation of municipal services has significant obstacles. The role of the Ministry of Municipal Affairs and the Ministry of Modernisation is not sufficiently adapted to the objectives and obstacles in this area. National common components have not been adequately facilitated for use in municipalities and actions undertaken are not sufficient to achieve the objectives of comprehensive and complete digital services. The digitisation of society has been going on for quite many years, and in some areas of society, digitisation has come a long way, and in several areas, one has already reaped good results from the work that has been done both in terms of more efficient operation and in terms of simplification for citizens and businesses. However, citizens and businesses are offered a digital first choice for only 27 pst. of the municipal services in three key service areas. The whole 14 pst. the municipalities do not have a digital first choice for any of the 19 services surveyed. That's about. 60 municipalities that cannot offer this. For most services surveyed, less than half of the municipalities transmit the information received electronically to different internal disciplines. This shows that the digital maturity of municipal services is consistently low. I believe that it is critical that the municipalities have today come no further than what has been reported in terms of achieving the objectives that online services should be the general rule for the administration's communication with citizens and businesses. I fully understand that digitisation is complicated to achieve when interoperability between many internal systems in a municipality is to be established, interoperability is established across municipalities, which once again have other systems, and not least make themselves useful and interact with large state systems. I can confirm that a municipality has many different systems. With my own experience as a consultant in two different municipalities, I have probably been given something about how fragmented the work on sewing together the ICT sector has been, and how fragmented this work is still, according to the National Audit Office's survey. According to the Riksrevision, many municipalities stress that the costs of digitising municipal services are too high for the municipalities to prioritize it, and if this work is not sufficiently anchored in management, it tends to stop, with a sluggish system as a result. When municipalities are not in direct contact with national registers, but instead make local copies such as shadow registers, the quality of the work will not be good enough, as shadow registers are not updated often enough. Unfortunately, this has been a well-known issue for many years. The Directorate for Administration and ICT, Diffi, has contributed to the digitisation of the public sector, but it is the central government that is the main target group of diffi. Divi is therefore limited in its ability to address cross-governmental and municipal issues. Many municipalities lack knowledge of the importance of ICT standards and architecture principles for the effective digitisation of municipal services. Since the national architecture principles are recommended only for the municipal sector, while they are mandatory for the State, the challenge is reinforced in order to achieve a good interaction between the municipal level and the state level. When a large majority of municipalities, according to the report of the Riksrevision, believe that national authorities should commit municipalities more in digitisation work, it is also close to seeing that common architecture principles for the state and municipal sectors are necessary. A stronger initiative must be taken for the development of solutions that can be used across municipal borders and between municipalities and county and state agencies. Finally, I would like to express a great understanding of the situation of the municipalities. Both technically and economically, the digitisation of municipal services is difficult and complicated. The State must provide both financial resources and competence to enable municipalities to better meet the findings of the National Audit Office’s report. In addition, it should be necessary that the principles of architecture, which are mandatory for State activities, are also made compulsory and applicable to municipalities. Otherwise, I am afraid that we will continue to experience so great technical challenges that the goal of digitisation of municipal services cannot be achieved in a long time.
ParlaMint-NO_2016-06-07.ana.ud158e2454	More and more services can be provided over the network in both postal, banking, trade in goods and not least in public reporting and services. It should also be possible for those who are not computer users for different reasons to have the necessary services carried out in a traditional manner. The public has a special responsibility to organise its services for everyone. However, there is no doubt that online services should be the general rule for administrative communication with citizens and businesses. The municipal sector is a significant provider of public services and therefore the digitisation of municipal services is crucial to achieving this objective. Today, the digitisation of public services is too small and, in particular, at the municipal level, even the extent to which they wish to invest in various digitisation projects is largely up to the municipality. The Christian People's Party wants the state and municipalities to work together to a greater extent than today to create accessible and user-friendly electronic solutions for the inhabitants. In the opinion of the Christian People's Party, the State should assume responsibility for developing a common digital platform that can be offered to the municipalities, so that they can choose to use it if they want it. Of course, municipalities themselves have to choose which services they want to offer digitally to their citizens. As the rapporteur and the chairman of the committee have explained, the vote is unanimous. The Committee shall be consulted on all comments on the matter. It shows that there is a broad cross-political consensus on the objectives here. The Christian People's Party endorses the criticism that is being voiced – a criticism based on the Riksrevision's findings that the aim of the Stortinge is not being achieved for citizens and businesses in general and in full public digital services. The Committee is of the opinion that non-compliance with the objective is critical. And why is this critical? Indeed, inequalities and increased differences are created for both the population and the business community when online services are not a common good in all the municipalities of the country. This points out to the committee, and I suppose the Council of State will comment on this in its statement. I believe a key word in this case is ‘order competence’, namely a lack of such competence. We see this again in several cases, including at state level and in state institutions. We remember the ICT scandal in the Nav case that the Stortinge had to deal with a year ago, where this was an important point. In the National Audit Office's report on the digitisation of municipal services, we see that many municipalities do not have sufficient competence to digitise their services. The survey of municipalities shows that the administrative management of only four out of ten municipalities, 44 p.m., believes that they have sufficient ordering skills to acquire ICT systems in line with the needs of the municipality. This means that management in more than half of Norwegian municipalities either does not believe that they have or are unsure whether they have sufficient ordering competence to acquire the correct and relevant ICT systems. We also see that among the small and medium-sized municipalities are 39 and 44 pst, respectively. agree, in whole or in part, that they have sufficient ordering competence. In comparison, the management experience in 56 p.m. of the large municipalities to have sufficient ordering skills. Moreover, profit implementation is not systematically pursued in most municipalities. Thus, much of digitisation is carried out without making good use of the opportunities for efficiency and resource saving. Lack of security about ICT and lack of knowledge about what is needed by ICT solutions can therefore lead to a lower level of provision for citizens. That is why I think the Riksrevision is about something very important when in the report they recommend the state to motivate the municipal sector to cooperate. Stronger cooperation is needed to develop skills and exchange experiences and technical solutions to enable municipalities to develop and benefit from digital services. Nor is it the case that every municipality itself has to invent the digital powder every single time. Often, finished standard solutions, shelf goods, can be used, and closer ICT cooperation between municipalities and countries, and not least between municipalities, can contribute to efficiency and better services. At the same time, I would like to stress the unanimous comment of the Committee expressing a certain understanding of the situation of the municipalities. Digitisation of municipal services is complicated and time consuming. That is why the Christian People's Party also believes that the state must provide both financial resources and – not least – competence. State aid is important in order to enable municipalities to better manage their tasks for the benefit of their citizens.
