ParlaMint-NO_2016-12-17.ana.ud83e67	The representative Trond Giske, who has been licensed, has again taken the seat.
ParlaMint-NO_2016-12-17.ana.ud83e11136	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2016-12-17.ana.ud83e11141	Talking about the north and north of Norway, you often focus on areas that are rich in important natural resources – and that is, of course, the case. But most importantly, human resources. The high drop-out from secondary education is therefore a serious obstacle to both equalising social and geographical differences and to the development of society in the north. In the last ten years, there has been largely a positive trend in the country, but it is dangerous to settle down on the fact that it is going to continue by itself. With the record-breaking use of oil money that the government has invested in, there was a great opportunity to invest in knowledge about, about and in the north. Instead, the government has invested in large social tax cuts in the order of 20 billion. kr, which essentially does not benefit the northernmost states. The combination of a low school budget and a weak municipal structure, which barely covers the bills that lie there, affects the ability of the municipal sector to invest in the children, the pupils and the future. For Troms and Finnmark, the budget agreement unfortunately meant that a precarious economic situation for county municipalities in the north became even worse through new cuts. It is the county councils that are responsible for secondary education. The implementation in Finnmark is increasing. However, a pressurised economy in municipalities and county municipalities will necessarily undermine the ability of school owners to develop quality and performance. That is why the local economy needs to be strengthened. In the spring – in the context of another report on high school dropout in the north – the Minister of Knowledge said that he would send experts northwards. My acquaintance has not sent any experts so far, and it may not be that dangerous either. Strengthening the implementation of higher education requires more than guest appearances in the national community. The most important thing is to train and recruit new experts, namely teachers who can make a targeted effort over time. That's what's required. This is why the Workers' Party proposes to improve the study funding schemes for teachers' students taking up their jobs in North Norway after completing their education. I heard that the Council of State, on its side, earlier in the debate, said that he would consider action as a matter of course. Then I ask, how long will it take for the government to stop waiting and see and actually do something about the recruitment? Students in North Norway do not need more seminars, reports or politicians acting as commentators; students and North Norway need a policy that prioritises school rather than tax cuts.
ParlaMint-NO_2016-12-17.ana.ud83e11156	It is as the representative Tyvand has said several times in this debate: it is only 15 days until we face a time gap in the relationship between the state and the Norwegian Church. A centuries-old tradition with a state church and a very close relationship between church and state is changing – 500 years after the Reformation, led by Martin Luther, and the establishment of our Evangelical Lutheran Church. With this also an important point is realized in the Sundvolden Declaration of a clear distinction between state and church. This distinction has been prepared here in Stortinget through a number of cases, from the large church settlement in 2008 and 2012 to the last law we had for the second time here yesterday, Prop. 9 L for 2016-2017. This is how we are at the end of a long process, and I have experienced that this has been a process that has had broad support and has been very well worked through, and that there has also been a process that responds to the expectations of the Church. Now the financial envelope is put into this budget, with a grant of €1.97 billion. NOK 100 million and equity. kr. I believe that there is now a good basis for the Church to be mastered in its own house and to be able to discharge its obligations as a nationwide church. Then I understand that there is some uncertainty about such a conversion and not least about the economy in that regard. For this reason, I am pleased that the entire Committee gathered on the budgetary note, which calls on the government to follow up the economic situation in the future and come back to the Stortinge with an assessment of the situation and equity requirements up to the revised national budget for 2017. I would also like to take the opportunity to wish the Norwegian Church good luck with the conversion in the coming year. It's going to be a demanding year, but it's also going to be an exciting year. So I'd like to comment on a completely different relationship, which I would like to comment on in my first post, and it's related to the students' everyday lives. The everyday life of students is an important part of our education policy, and I think it is worth noting that the government and the cooperation parties continue to be very offensive in this year's budget, where 2 500 new homes are supported. In addition, the government is now proposing that the first stage of the planned introduction of 11 months of study support be implemented. This shows that we give students high priority. Spring will also be marked by the rise in the quality of higher education, and the government's efforts to strengthen higher education in Norway – a long-awaited action in the sector.
ParlaMint-NO_2016-12-17.ana.ud83e11173	I spent my main post on school and education, so this post I'm going to spend on church stuff as a whole. The Advance Party greatly appreciates the important work done by the Seaman Church for the Nordics abroad. In recent years, the Sjömann Church has been largely involved in helping and assisting the Nordics abroad, including the Nordic countries. in cooperation with the protection of children in the case of Norwegian children who experience external care failures. We are therefore very pleased that in the budgetary agreement between the government parties, the Christian People's Party and the Left here on the Stortinget it is decided to grant an additional 2.5 million. to the Seaman's Church. Church buildings are historical buildings of great religious, cultural and social value. This applies not only to believers, but also to people who are not part of a religious community. Many of our church buildings need much maintenance and fire protection. It is therefore positive that the government as part of the employment package grants State grants of 25 million. SEK for the repair of church buildings. In addition, the budgetary agreement means that the interest-rate compensation scheme for church buildings is maintained. This will result in several of our church buildings being maintained and upgraded. After many years of work and decisions, the historical distinction between: state and church, on 1 January 2017. This implies that the Church now assumes responsibility for the priests, who since the Reformation in the 1500s have been civil servants. The financial framework for the Church in 2017 is in place. In the budget agreement, the operating grant to the Norwegian Church increased by 60 million. kr. So the grant is $1.97 a.m. kr. It should get a lot out of it. It's a challenge for the Church to control this, but I think that if they look at the way they operate and by other ways of operating, it can go very well. This conversion simply means that it is no longer the Stortinget to allocate the Church's budget, but the money should go for the same purpose as before, among other things. for training in faith. The big change is that the Church meeting is now going to dispose of the funds and give priority to their use. The church is still subject to laws and regulations that prevent it from being entirely mastery of its own house. The Progress Party believes that the Norwegian Church and other religious and life views should have the same legislation and regulations to a greater extent. The government has started to review legislation and financial instruments for all religious and life-seeking communities, and we look forward to the further work of giving the Norwegian Church full freedom, while the Church is still in a special position.
ParlaMint-NO_2016-12-17.ana.ud83e11190	Psychiatric disorders are the country’s main health challenge measured by prevalence, burden on children, sick leave, disability, lost years of work, the relationship between the cost of treatment and the cost of not treating, the burden of illness and mortality. This health challenge must be avoided as a society. First of all, we must prevent by creating a health-promoting society. A health-promoting society is a society that ensures children's growing-up conditions, which means that children living in this society get the sense of identity and self-respect, the feeling of being something and being worth something, that makes children and young people feel mastery, that they do something, that helps children and young people to know that they have a place at home and are connected to someone, that they can know about security, that they can think, feel and unfold without being afraid. They must be able to experience social support and social community, know someone who cares, and that they are part of a larger community. Norwegian schools are important for creating such a health-promoting society. Norwegian schools must contribute to giving children and young people identity, self-respect, feeling of maesterdom, belongings, security, social support and social community. Such health-promoting schools with a focus on the whole-skilled learning environment are also crucial to prevent mental disorders and problems in children and young people. The well-being and chiseling of the school are decisive for the pupils' learning outcomes and overall development. Today's young people are more decent, law-abiding and schooling-adapted than before. At the same time, population students show that anxiety, sleeplessness, and hopelessness in view of future increases among our teenagers. We in the Center Party are very concerned about this. What is even more worrying is that several researchers point out that the strict demands of the challenge society on individual chimpanzees can be expected to contribute to such a development. This is serious. In fact, if the Norwegian School of Testing and the measuring regime itself are to help increase the mental pressure on our young people, more parties must go on their own and be willing to change their policies. In the budget, the Centre Party prioritises the reversal of the government's proposed cut in support of the mental health programme at school. We're adding 150 million. in ear-marked funds for a municipal mental health escalation plan which will also be aimed at strengthening the scholastic services. We're also prioritizing 10 million. kr to strengthen mental health care for students. The Central Party will contribute to the creation of health-promoting schools in the budget. Norwegian school needs to get more focus on the whole learning environment. Today's sloppy target management doesn't contribute to this.
ParlaMint-NO_2016-12-17.ana.ud83e11199	As the Minister for Culture said in his speech, the Norwegian Church is now established as a national legal entity. This will include, inter alia: means that the Church will take over administrative duties and, in particular, employer responsibility. I stress that this matter is a follow-up to the church settlement, so when the representative Vinje presents it as a great and good proof of the government's executive power, it's a bit strange. This distinction stands the whole Norwegian potion behind it, and it would be very alarming if it had not happened. That's about. 1600 staff who are now to be involved in a major reorganization and conversion, and all know that such processes are very demanding. As I said in the change of line, I have received many enquiries and concerns from the staff of the Church after the government presented its draft budget. For the first time, bishops have even been at the door asking for a meeting to present their case. They say that the proposal for a government budget would weaken the ability of the Norwegian Church to provide assistance, guidance and help to people in crisis and who have come into a difficult life situation. The proposal would lead to the centralisation of some functions and to the reduction of the presence and supply in many communities. As an example, I can refer to the Hamar diocese, which would have a subbalance of approximately. $12 million. kr in 2017, which is equal to 15 pst. of the total performance resources — or in other words, a reduction of 17 performance positions. Another moment was equity. In the budget setting, the left has pointed out that the 100-million-dollar allocation. kr means about 5 pst. of annual operating costs, and that this is much less than what is regarded as sound capital and reserves in business. For us in the Workers' Party, it is important that everyone should have security during the transition. What the Church's employees experienced was great anxiety and insecurity, and that in a situation where everything else is changing, while at the same time performing their daily tasks. One might ask whether it was really necessary to create such a situation, because thanks to the Christian People's Party, there was an increase in the conciliation, and that's good, but there's still a great deal of uncertainty about this process, and I would like to stress that the committee asks the government to follow closely the development, so that the Church can safely and properly carry out the conversion, also in relation to equity. Finally, I would like to remind you that the Stortinget, when dealing with the new legal entity, decided that the Norwegian Church should be nationally and locally anchored. We're going to impart evangelical Lutheran faith and tradition, give all baptized children religious training and be organized in accordance with democratic values and principles. And we have a responsibility for the Church being able to do this.
ParlaMint-NO_2016-12-17.ana.ud83e11212	In his post, the State Council asked for answers on how SV would get to several hours in primary school while we wanted to increase the teacher's density. He'll be very happy to know. It is not the case in Norway today that we lack teachers; we lack teachers in school. Therefore, it is a major challenge to ensure that the school becomes such an attractive job that we can both get more of those who have left the profession back, can ensure that more of the graduates remain in the profession, and can increase the status of the education and thus get more people to choose the teaching profession. SV suggests in its structure e.g. a national mentoring system, as requested by the Pedagogical Students. We want to do the opposite of what this government is doing, which is to make sure that there are now many unskilled teachers in school, at the same time that places are available for education because of the meaningless and failed character requirement of 4 in mathematics. And we want to provide a full cost coverage related to continuing education for teachers. Speaking of this, there is one thing I would like to ask the Council of State about, and that is what the budget proposal says about trying out models that give the profession influence over competence development measures for teachers. That's something we in SV think is very positive. But then it is stated in the proposal, and it has also been repeated in the Committee's comments, that the Ministry of Knowledge should do so «in cooperation with teachers' organisations» – and «the teachers' organisations» in majority. But we have been informed that the Ministry of Knowledge has not discussed this matter and has worked with several of the teachers' organisations, such as the National Association of Schools and the Lektor team. I'm just wondering if that's right, and if what's in the proposition, in that case it's wrong.
ParlaMint-NO_2016-12-17.ana.ud83e11221	It is alarming that, in a situation of high-record unemployment, the government does not use the opportunity to prioritize places of study. The initiative in the study places has been raised in the election campaign from the right side in particular, and now we see what they deliver: not a single study place for 2017. On Østfold Right websites we read the following: ‘Eastfold shall be a knowledge centre with important institutions such as, inter alia, the College of Eastfold. It is important for the further growth and future value creation of the county and has a significant impact on the municipalities in the county. [[...]] So these are the words of the Right's own written words. The University of Eastfold has given explicit notice that they want and need more places to study. They refer to the need for, inter alia: 30 health and social education places, and that this can be integrated immediately in 2017. Then we look at the numbers that the Right in Government has provided in terms of places of study at the University of Eastfold. The number of places to study at the University of Eastfold in 2014 is 0 places, the number of places to study at the University of Eastfold in 2015 is 0 places, and the government proposes to continue this in 2017 – with 0 places. So much was the insurance and election fees of the Right-Worth in terms of investing in study places in Eastfold. The Labour Party, on the other hand, will be investing: we propose 3,000 new places of study. This means that unemployed people and others outside the labour market can better secure the skills they need to get into work — and get things more important than it is right now. For example, it would. were able to provide 70 study places to Eastfold in 2017, while the government has proposals for 0 places and, as I said, 0 places in 2014 and 0 places in 2015. This simply shows that it means something who controls the country, who controls the Ministry of Knowledge. And the Right Party and the Advance Party of Government have not served Eastfold well; they do not carry out Eastfold as a center of knowledge, as the Right Party itself has promised. So instead of studying places at the University of Eastfold, Eastfoldingen got segway and poker teams – so it was possible for the Right to be a priority.
ParlaMint-NO_2016-12-17.ana.ud83e11243	It is a good knowledge budget that will be adopted here today. One of the most important things that politicians can do is bet on those who come after us, those who are going to pay a lot of the bill for the things we prioritize today. They deserve such a good starting point they can only get, and that starting point will always be based on a good education: a school that sees everyone, that has motivated and skilled teachers, and that has good leadership. We are therefore betting on the people. A strong commitment to education and skills is necessary for everyone to participate in the future's work and value creation. We're betting on early school work, we've increased the apprenticeship grant six times by NOK 20 000, where it was still between 2005 and 2013, and we're giving more than three times as many teachers the opportunity to take on further education as before the Right Party and the Advance Party came to power. What's about as important is that we have something to live with, that we have employees who take on the boiler harness, the work gloves and the boots and go to work every day, that we have employers in the private sector who have chosen a different path from the very one, the safest one. They are the ones who have been betting what they had, and met the wall several times, yet have never given up. The cake has to get bigger in the years to come, so we have enough pieces for everyone. Everyone knows how a babysitting day with too few pieces of cakes is: first murmuring, then full war. If the cake is to get bigger, more people have to deliver to the state budget, not live off the state budget. When businesses and business leaders are asked what they want from us politicians, there are often known issues such as lower taxes, stable and predictable framework conditions and better transportation solutions. All are themes where this government and this bulk of population have increased their investment. However, what is often forgotten is that the enterprises that almost always mention are access to relevant and good competence and strengthened commitment to relevant research, development and innovation. The extraordinary, strong appropriation of 2.3 billion. kr from the 2016 budget for industrial research is proposed to be maintained. It is definitely a change of pace from the appropriations of the previous majority. Key business programmes, such as: The BIA – The User-Controlled Innovation Arena – and research-based innovation through the FORNY2020 programme have been strengthened. I also notice that, fortunately, in its alternative state budget this year, the Workers' Party, which last year cut off the FORNY2020 appropriations, has not done the same thing. It's no shame to turn around.
ParlaMint-NO_2016-12-17.ana.ud83e11254	The working party proposes a professional effort of a total of 325 million. kr, because Norway needs good tradesmen. Then more people will have to invest in the professional field, and we will have to ensure that teachers with good equipment at school are well equipped, and then students will have to have a place to learn when they are ready to do so. It is also important that one can change the direction of study in the course of the study. If an e.g. have started specialisation in studies and would like to move to a professional field, it must be possible. There are some places happening, but I think it should be a possibility for all of our students. So I'm sure that if we work to change the gender-based professional choices so that we get more girls in typical good times and more boys in typical girls' subjects, then it'll be more attractive to take a career, and our kids will have twice as many opportunities. But it has to focus on to get to change. It doesn't happen by itself. Students must first be given better advice — in the youth sphere, but perhaps also by parents and those around them. But the county must have someone responsible for equality. We need to create networks for the boys and girls who choose untraditionally. Then the students who start a professional must know that they have a place to learn. Last Friday we discussed here in the Stortinget Riksrevision's report on apprentices. He showed that every year there are several thousand elephants looking for a place to teach and not getting it. There may be several reasons for this, but there is also a lot more that can be done to prevent it from happening. Different surveys showed that ten municipalities say that they are not actively disseminating information about searchers. Two thirds of the county councils have not themselves identified the potential for new apprenticeships in their own countries. 15 out of 19 county councils say that they mainly leave the recruitment work to the training offices, while 40 pst. by the training offices, they say that they do not carry out much of any recruitment work. As you can see, there's a lot we can do there. In the Labour Party, we will put in place additional measures against the industries and the most remote regions, and will facilitate companies to benefit from flexible schemes such as apprenticeship schemes where more than one enterprise combines to provide apprentices with a holistic training. If we're going to get more good trade union workers, we have to do everything we can to get students to choose a professional and to complete them, and we have to set them up.
ParlaMint-NO_2016-12-17.ana.ud83e11267	I also have to get into the church budget a little in the end. As you know, the final distinction between the Norwegian Church and the State is carried out at the turn of the year. The Norwegian Church is now a legal entity of its own and has to manage financially on its own. This has been a long-standing process, with which many have been involved, and it may well have been known that I personally did not want this distinction – not because I have intended that we should politically interfere in the church's own affairs in some way, but because I have been concerned about the consequences for the wider church and its presence throughout the country. The centre party has a sincere wish that the church should exist for everyone in all hooks and crickets of the country. Time will show if fear was unfounded, and of course I hope it was. However, the church and the state are not completely finished with each other yet. With regard to the transition to framework financing and future financial bases, it is known that the Norwegian Church was in close proximity satisfied with the government’s draft budget. Even if something was corrected in the agreement, there is still a great distance between what the church believes is the need and what is now adopted. The church points, among other things, to on the need for 300 million. kr in equity, and in addition, there has been a desire to increase operating resources in order to implement the transitions resulting from reorganisation. The centre party therefore proposed 50 million. NOK extra in equity and SEK 50 million. kr in the framework grant, in Appendix 10 million. kr for religious training and other church purposes. In addition, we have proposed to increase the interest compensation for church buildings, and it will be very interesting to see how this year's unanimous decision of the Stortinge to develop a programme for conservation stone churches from the Middle Ages following a template of the stave church programme will be followed up. In the opinion of the Centre Party, this matter should have come as a matter of its own, and not been part of the treatment of a grant to a society of faith and life. This case is about cultural heritage, not about the Church as a religious community. The centre party has also proposed to grant 6 million. kr extra to the pilgrimage centers, and I would like to say to you who have pilgrimage centers in their area, that there will be no life for the pilgrimage centers if the same sum as before is to be divided into twice as many centers. It is important to be aware of this. We've also proposed 4 million. extra to the important work of the Seafarer’s Church. Finally, I would like to repeat from the pulpit that, as far as what the Central Party has written in the attitude about the ongoing processes around the state's relationship with both the Church and other religious and life-view societies is concerned, we believe it would have been more orderly if matters had been promoted and dealt with in a different order than the government has proposed. Now it's very fragmented and divided, and the basic questions literally come in second order, and it makes it difficult to ensure a whole range of policies.
ParlaMint-NO_2016-12-17.ana.ud83e11281	Young people who do not complete secondary education have an increased risk of health problems, lower life expectancy and major challenges of entering the labour market. If we're going to give every opportunity, it requires a school how much more successful. In addition to good teachers who see and develop the talent of each child, early efforts in other areas, such as health, nutrition and physical activity, also have a positive impact on learning. The proportion of young people struggling with mental health is increasing. The National Institute for Public Health estimates that about every five children and young people suffer from mental disorders that go beyond their daily lives. There is a broad consensus on strengthening school health services. The working party is not particularly dependent on earmarking funds for municipalities, but in order to ensure an equivalent offer for all children, we believe it is absolutely necessary to reserve the funds at a construction stage. We therefore commend the Christian People's Party and the Left, which, through the budgetary agreement, increased both the framework of the school health service offer and the proportion now earmarked. Early intervention is essential to avoid developing health challenges into serious illness. The most effective preventive public health measures are giving all children one meal per day. Although it has the greatest effect on health, it also has a very positive impact on learning. The Labour Party has therefore given priority to decommitment, allowing 50 municipalities to test out such forms of daily school meal to several children. Physical activity is the third area, and it is now being researched why active children are learning best. Sometimes I think it's pretty obvious, when they indicate that the brain is 2 pst, while the body consumes 20 pst. of the energy. Physical activity stimulates blood flow, and physical activity – it turns out – promotes especially memory, movement control, thinking and motivation. So here's a context. Previous Minister of Culture asked Jan Åge Fjørtoft to lead the Strategy Committee for Sport. His conclusion was quite clear and clear: the documentation is good enough. Now it has to be done. Statutory one hour of physical activity each day by 2020. But since it's been quiet in this area as well. The Labour Party believes that policy should be knowledge-based. Children are the future, but neither children nor schools live in bubbles. The ability to succeed in getting more through advanced education requires that we put new knowledge into practice, manage to see things in a larger context and build up the silos, and not least that we can see all children, so that everyone succeeds. Although we've been working on this for so many years, it turns out that the percentage of children who don't complete secondary education hasn't gone as far down as we want.
ParlaMint-NO_2016-12-17.ana.ud83e11298	When I started in the 1st class at Strigsklev School in Porsgrund in the 1990s, we didn't have computers and the Internet in the classroom. "The woman," as we then called her, didn't teach us what e-mail was for anything. There has been an incredible amount of progress since then. Schools shall deal with a rapidly changing society. That doesn't mean that the school is going to pick up all the trends, but we can say that the data and the Internet have come to stay. The working party believes that students should not only be able to use but also create digital content and services. If we're going to get there, there's going to be an offensive investment in ICT and digital skills in school. We have therefore made proposals in Stortinget that a national strategy for digitisation in school should be developed. We want such a strategy to include proposals for a national effort to develop educational software, a competence development plan for teachers, a commitment to infrastructure and, in particular, proposals for a purchasing system for digital learning material. In our alternative state budget, we are preparing the basis for this by setting aside money to enhance the competence of teachers. In the fall I was at Lunde Kinderschule in Skien in Telemark and saw how they worked with ICT and digitisation there. At Lunde Kinderschule they arranged voluntary code courses for the students, and the courses were very popular. The EU has encouraged education ministers in the Member States to promote school coding. They justify this because coding is an important skill for the 21st century, both by promoting creativity, by teaching students to cooperate, and by drawing parallels, among others. to the real subjects. Today, some students have experience in programming through courses, such as: what they have in Lunde Kinderschule, or as an electoral profession. The working party wants everyone to have experience in programming during the school day. We have therefore spent money on it in our alternative state budget. However, the basis for positioning and participation in technological and digital developments is also higher education and research. We need more people taking higher education in ICT and technology. In our budget, we have proposed 1 000 new places of study for these disciplines. Research on ICT is also important. The Research Council has asked for about 56 million. kr for research in the field of ICT. This has not been followed up in the State budget. The working party will therefore set aside 20 million. kr for ICT research. The Labour Party believes that Norway should be the best place in the world to take advantage of the opportunities offered by new technologies. That is why we are focusing on an offensive technology promise, which starts at primary school and lasts throughout our professional life.
ParlaMint-NO_2016-12-17.ana.ud83e11311	As a day-to-day political responsible for higher education in Finnmark, I have some thoughts about higher education. I think it makes sense for all of us to raise our eyes beyond what we're talking about here: the budget for next year. The proposal that has been notified by the government to increase the youth right to education beyond the age of 25, I think it makes sense. Just talking to the stakeholders and making a good proposal, I think that makes sense. But you have to remember that it will cost money – if it is good, it is probably spent money. In the state I come from, we know that people often spend longer on education. They travel a little bit on the mountain and a little bit on the sea before they figure out what to do and see that it makes sense to take an education. It should be included – the basic understanding of how this has been combined. We also have a high drop-out in the county. I've been in dialogue with the Council of State on how we're going to solve this, no later than an hour ago. The council has told him to get up to Finnmark with expert help when the paperwork is over. But I've said that quality, and especially change when you're going to make quality better, will cost you a little bit of money. I would recommend to the Council of State to have money with them. I also think it makes sense to see primary school with high school. What kind of quality are there on those students we get from high school? It's one of the factors that apply when we're about to drop out, and that Finnmark is about to improve. I want to talk a little bit about student housing. In Finnmark, for example: – there are several other states that also have very large distances – we need to internalize, to use that term, the students, and we need student housing. It's not legal. When we build student housing in the Finnish county municipality, we do not get the VAT refund. It was discussed to consider building student housing in Alta for approx. 60 million. kr. VAT would be between 10 and 12 million. kr. It could have been crucial, we didn't have the economy for it. If the student relationship does that, they get the VAT back. I'm asking the Council of State to consider it especially for those states that need this. In the case of continuing training for teachers in the north, if they are going to go to Bodø, Tromsø or Alta, it may cost from 80 000 kroner to 130 000 kroner in extra costs per teacher. There are also additional costs that have to be borne in the districts. I see some boasting and clapping on my own chest here, but I don't see much of a paradigm shift, unfortunately.
ParlaMint-NO_2016-12-17.ana.ud83e11330	It's possible that it's because it's late on a Saturday, but I really think the whistle has gone a little out of the government parties. If you compare this debate with, among other things, The budget debate we had in the autumn of 2013, there were representatives who boasted of a new majority. They were full of protests and talked about the great ambitions for the school. School was the big flagship. It wasn't quite like that. The school has, as I said, lost the budget fight against tax cuts year after year. It almost seems like they've gone a little tired. It is possible that they are tired of us – I understand that. Perhaps they are tired of endless budgetary negotiations with the Christian People's Party and the Left and constantly budgeting their way into the last hour of the grand process. Or there wasn't much more in the Right School effort than what we heard about in 2013. It is only now – after three years – that the government is making new proposals. One thing is that they come up with the proposal on teacher's density because they're pressed for it, not because they're taking the initiative. It is not until the last six months that they are going to leave a big message about quality in higher education, and only now do they see the need for an ICT strategy – after they understand that it would have been adopted in Stortinget anyway – or that they are making early efforts to be implemented at the earliest in the school year 2018–2019, after everyone else has talked about it for a long time. What is the explanation that several of the cases are coming so late? I think, first of all, that the government parties have realized that this is the majority for the Storting, and they'd rather prepare for it than go on more defeat in this room. It is much better that the majority who really want this policy governs. That's possible what we see is some kind of government wear. In any case, it is certain that there is little left of new ideas and better solutions. Finally, I personally think it is funny that there are right-wing representatives on this platform and refer to what they themselves said in 2013 about the Norwegian economy and Norway being too oil dependent. Since then, they've spent over 100 billion dollars. kr more in oil money, increased oil money use more in four years than the red-green government did in eight, went to the honey pot on every single occasion, became the most oil-dependent government in history and had the most oil-smurred budget in history without any particular reference. So we almost didn't create any new jobs. Under the red-green government, 355,000 new jobs were created, two thirds in the private sector. The statistics for this government are that 30 000 new jobs have been created, two thirds in the private sector. When representatives Bjørnstad and Gudmundsen say that we need more people who deliver to the state budget and fewer who live on the state budget, it must be a disappointment to them that their own government delivers so outstandingly poor precisely on that goal.
ParlaMint-NO_2016-12-17.ana.ud83e11341	It is approaching 2017 and I have to say that I am looking forward to 2017. Now there are many reasons to rejoice until 2017, but one of the reasons is that we are going to deal with the primary education message about vocational schools. It's a big message we've been waiting for, but now it's coming. My experience is that it is well received out there in the sector. There has been a need for a big message for a while, and to discuss the subject schools a bit wide here in the hall and in the committee. It is an important educational provision for those with a professional background, and it is an important educational provision for the business community. When you talk to the business community, some of the greatest people they can get access to are those who have taken vocational education. They also say that about those who later go on and take an academic education like this. engineer, that you can hardly get a better engineer than those who first have college and then have gone to university or college. The reason is that they just have the diversity of their education — they don't just have the theory, they've actually been out at work. When they talk about problems that need to be solved, they actually know what works and what doesn't work. It's an important offer, and that's why it's also important for the Storting to lift it up in such a debate that we're going to have, and that we're getting it lit up. What we know is that there's a little bit different prioritization of colleges around the different counties. We know that it's a little bit different status, we know that the colleges are enormously diverse. It's everything from nail academy to the more traditional maritime and technical colleges. So there's a width here that we're looking forward to discussing. To get to college, you have to start quite a lot before. For us in the left, it's about that we have to bet on the entire width, we also have to bet on practical-esthetic subjects in primary school if we want to bet on college. Because it's not like people are just good at one thing. It's not like you're either an academic or an internship. Most of us are good at something both academic and practical, and then it's a little random what kind of education you get and which way you choose in life. Then you have to have those possibilities in front of you, so that you can choose things that you are both good at and like to do. Apprenticeship grants are important for those who choose the professional path. It's important that we have enough apprenticeships, it's actually crucial if we're going to succeed in that area. Now there are several who have taken up the happy news that there has been 20 000 extra kroner per contract during this government period. But I want to add, for history's sake, that 14,000 of the 20,000 have come as a settlement between the government parties and the Christian People's Party and the Left.
ParlaMint-NO_2016-12-17.ana.ud83e11354	There is no doubt that children and young people’s health and growth conditions are a high priority of the government — as is the budget for 2017. One of the most important measures is the strengthening of health centre and school health services. It is important to prevent mental distress among children and young people. We know that children and young people report major challenges in this area now than before. Through good comparisons with the Christian People's Party and the Left, we have, here at Stortinget in the last four fiscal years, totally strengthened health and school health services by over 1 billion. kr. It is an enormous boost for prevention services for children and young people. The positive thing is that we see that the bet benefits. In 2013, the last year of red-green government, the number of health-creams decreased by 9. If we see the figures in 2014 and 2015 as a whole, there is now a strengthening of 292 health sisters out in the municipalities. It means several health sisters with an open door — which can accept children when something is difficult, when it is important to talk to an adult. But our efforts in this area also strengthen the possibilities in the municipalities to create a more interdisciplinary school health service. That is why we see several physiotherapists, several psychologists and other important occupational groups contributing to this work. We need municipalities that are offensively committed to early action. When the Health Committee visited the Municipality of Oppegård a while ago, we met a really offensive municipality management. They told how they systematically built up their school health service with psychologists, health sisters, physiotherapists and others. It is clear that it creates an exciting working environment for these disciplines. And then they were sure that it had an enormously good effect, both on the social environment among the kids and on the learning environment in the school. Building safe kids, who have learned methods to handle even difficult days, is incredibly important. It's hard to acquire knowledge in school if your head is different from where your teacher hopes to get you.
ParlaMint-NO_2016-12-17.ana.ud83e11367	It is nice to be here on a Saturday and sit in the office and listen to the debate. It was the post of the representative Pedersen, from the Labour Party in Finnmark, who got me to take the road away from here – not to let the claims she made about municipal economy stand out. She repeated a lot of what she said on Thursday, when we treated the finances of the municipalities. But it's not going to be right if you say on a Saturday that it's a skinny and bad setup for Kommune-Noreg. The special representative of Pedersen should be a little careful, because one goes in and reads the propaganda one had before the 2013 election, sees that she had been on the calculator and found out that the municipalities of Finnmark would lose 230 million. kr with a government of the Right and Advance Party – 230 mill. kr. Now we've come to see what happened these four years. There was no cut of 230 million. kr. On the other hand, there was an increase. If we look at the municipalities in all three states of North Norway, they see that under this government they have had an increase in free income, while during the period 2009–2013 one had a real decline for Finnmark and Troms. It will be very strange to say that the students in North Norway have poor conditions under this government, when the arrangement that we adopted on Thursday, in addition to what we adopted today – extra early effort – rejects it so well. She was also a member of the county councils. There was another claim that the county councils were going to get the worse after the budget agreement. That's not correct either. The Nordic counties have improved following the conciliation. The Christian People's Party and the Left have strengthened the loss compensation scheme for county municipalities, which they are completely free to use for whatever they want, including further training. Nordland County gets 12.6 million. kr extra in the agreement, Troms gets 2 million. extra kr, and Finnmark gets extra NOK 308 000 – at the top of the schemes they already have, and at the top of the economy that you have. So I thought it would be a little bit special when one of them gives the impression that there is a particular sin on the students in North Norway. Then I have to almost show you the facts about what the Nordic counties have per capita, compared to the others. In the original draft budget, the average for a county municipality is NOK 12 000 per capita, while Troms receives DKK 18 000 per capita. Nordland and Finnmark are SEK 19 700 and SEK 20 200 per capita. Then it is wrong to say that the students in the three northernmost states have poor conditions – when the facts show that a person spends money on the northern Norwegian county councils as well as on the northern Norwegian municipalities.
