ParlaMint-NO_2016-02-17.ana.ud2568e26	The representative of Kjell Ingolf Roppstad will present a proposal for a representative.
ParlaMint-NO_2016-02-17.ana.ud2568e967	I think the criticism that is being promoted is a bit strange, as one then says that the national transport plan that the Workers' Party itself put forward is not offensive enough when one is in opposition. It must be the Labour Party's problem. I note that the railway appropriations are so far ahead of the form in relation to what the Workers' Party has planned. In fact, the rail budget for 2016 had to be reduced by approx. 2.5 B.C.E. SEK – 2,500 million. kr – to reach the level set by the Workers’ Party for this NTP period. So I don't have a bad conscience like that. So I repeat – as I said before – that if one believes that the Progress Party should be able to take advantage of even more of our primary policy, a vote of the Advance Party should be held at the next elections, not the Workers' Party. I am very pleased that the working party leader Trondheim is early off with a urban environment agreement. It shows that the negotiations we've been working on will be in place. So I just want to say that when you're talking about someone who would like to have 75 pst. State share, I would like to remind you that when the Workers' Party crashed, Bergen received 15 pst. State share, against now 50 pst.
ParlaMint-NO_2016-02-17.ana.ud2568e978	I notice that the Council of State is more concerned with criticising the efforts of the Workers' Party than actually giving us an insight into the plans that exist. But in the Council's answer to written question No. 15:707 from 2014, from the representative Raja, writes the minister that ‘The electricalisation of the Trondheim-Steinkjer section will be completed in 2020 and the Meråkerbahn in 2021’. [[Trunder]] However, the 2016 state budget writes about the electrification project that it is planned for construction start in 2017 and completion in 2023, i.e. two to three years delay. The Council of State said in its reply to the representative here earlier today that the opening time is important to the Council of State. I agree with that. Then it is interesting if the Council of State is satisfied with its own power of action, when after 40 years of electrification it is able to run out the opening time by two to three years. The council says he does not have a bad conscience. It's got to be his case. But can the State Council then explain why the project has now been two to three years delayed compared to the previous information provided by the State Council to Stortinget?
ParlaMint-NO_2016-02-17.ana.ud2568e990	I think it might also have a little bit to do with how long distances you compare it to. But I think that the representative Tung's input into this question, when she talks about having spent 40 years planning, and then it's actually under today's government with the Right and the Advance Party that it's implemented, testifying to where the power of action really is. The fact that we've given so much more money because we're giving priority not only to plan, but actually to realize, is important. Then we have a job where we have to plan this done before you can start building. It makes sense to know what to have, so that you can order material and get the contractor in place before you start putting the stick in the ground. But as I said in the answer: It is in 2017 we start. So for NSB's material needs: there are many places in the country where you need new train sets. We have, as I mentioned, started ordering two new train sets on the Trønderbahn, which will come. Then one will see an electrification and all of this, so that one gets the train sets that are best suited. But I remember that, for example. The Gjøvik Railway runs a 30-year-old trainset. We will now renew them. The railway has not had new train sets since 1952 – they are also getting new ones.
ParlaMint-NO_2016-02-17.ana.ud2568e1003	This question, from the representative Erik Lundeby to the Minister for Transport, will be raised by the representative Siri Engesetzh.
ParlaMint-NO_2016-02-17.ana.ud2568e1006	‘The planning of a new Ringeriksbahn is in full swing, which will both extend the residential and labour market region around Oslo and contribute to a strongly abbreviated Bergensbane. What disturbs us in the left, however, is that the railway works seem to plan a trajectory for the track through the Bærum, which makes traffic on this new route impossible. For the left, it is important not to lose track on freight traffic. Will the Council of State facilitate the movement of goods with the Ringerix Railway as well?’
ParlaMint-NO_2016-02-17.ana.ud2568e1013	First, I want to say that I am very pleased that, together with the Left and Christian People's Party, we have made sure that what has been planned for many decades will now approach a realization. There are not a few national transport plans in which this project has been mentioned, but has taken a step and actually decided to do something. So that's where we've worked well together. In his investigation of the Ringeriksbahnen and E16, the Railway Agency recommended that the Ringeriksbanen should not be organised for freight in regular routes. It's a little bit about what kind of path we want to build. We want to have a high-speed train, and mixing trains running at 250 km/h, with freight trains with much lower speeds, will destroy the flexibility and safety of that project. For me, it's important that when we're expanding the residential and working region around Oslo, it's about reducing travel time, making sure that henfoss becomes an attractive place that can more or less be seen as a suburb of Oslo, just like part of the outermost sections of the Oslo T-Bahn network. Then you have to speed up the wagon equipment. The proposal submitted does not make it impossible to drive goods. But primarily the Railway Agency has said that one should run the Bergensbanen by freight train via Roa, and something on Randsfjordbahnen via Drammen. Today there is a six trainset running the route via Gjøvik, and one sees that it has to be done with 10 trainsets in the future. That means you have a vision that more goods are going on the track. I believe that with the upgrades that one should do, among other things. with crossing tracks, one will be able to handle the freight flows on the rail in a satisfactory manner via the Gjøvik track. Starting to mix it into the Ringerix track will both be unnecessary and destroy the quality of the Ringeriksbanen as a passenger train. If there's a problem on the Roa line or on the Randsfjord Railway, you could use the Ringerix Railway as a spare, so that it doesn't go beyond the freight sections in total. It's important to me, because when we talk to business, there are a lot of the big freight forwarders who say that having more goods on the rail is something they want – both because it gives a good environmental account, it does good in their annual reports, and because on many routes it's a good economy. But what they're saying is the reason they often choose the railway away is because predictability is too small. They know when to go, but it's not always. And if it's not part of a predictable logistics chain, then they choose the truck, where the chance of getting delays they don't have control of is smaller. Then it's getting the Ringerix track as a kind of back-up solution part of it to create a more robust freight transport structure. When one then has arranged for it, I am satisfied with it, but I am not going to do anything to turn it into a freight train as a primary route.
ParlaMint-NO_2016-02-17.ana.ud2568e1024	I think that was a really good answer. We do not want to delay the project. What we wanted to assure ourselves was precisely these thoughts about having the main tracks at Gjøvik and the Drama of Goods, and that you can have three thoughts in your head at once and run the capacity of the passenger traffic on the Oslo-Navet route. It'll be big. I only have one additional question: Will you be able to get to the start of construction and the coordination of road and railway projects as planned, starting in 2019?
ParlaMint-NO_2016-02-17.ana.ud2568e1031	That's the absolute goal and now there's no reason to believe that we're not getting it. We have to remember that here we're really doing a lot of new things at once, and that means that there's always a risk that things don't go like a wish, but there's no indication of that yet. One has done a very good and fast job where the Road Administration and the Railway Agency have jointly developed plans, involved local actors – both politicians, nature conservation organisations, cultural memory organisations and the like – and have made the compromises on an ongoing basis. There are still people who want to rematch, but not to the extent that it's been in such big projects in the past. Then we've been working further now, once we've chosen lines and stuff like that, got them to coordinate the job and solve things continuously along the way. We also do it so that many things are done in parallel instead of in order. This means that you can save for four to five years on the planning side, and so far it seems to be going well.
ParlaMint-NO_2016-02-17.ana.ud2568e1049	This question has been withdrawn.
ParlaMint-NO_2016-02-17.ana.ud2568e1056	‘DNB ASA is Norway’s largest financial group and is of great importance for the creation of value throughout the country, especially in the field of conversion and entrepreneurial activities. It is therefore strange that they centralise their services and thus distance themselves from the active business environment. The marine industry has the strongest cluster in the West, while DNB is moving its marine department to Oslo. The same with the insurance environment. How will the Council of State ensure a closer interaction between the financial industry and strong regional business environment?’
ParlaMint-NO_2016-02-17.ana.ud2568e1063	Well-functioning capital markets are essential for value creation. The banks play a key role in ensuring the necessary capital for business conversion, investment and on-going operations. Our business is in transition. Oil prices have fallen, and unemployment is increasing in parts of the country. It's not just the oil industry that needs to be transformed. All businesses and industries need to continuously streamline and develop their activities, including banking. The Norwegian banking industry is at the forefront of digitisation. For the last decades, we have gone from personal encounters in banks to online giro and accountancy. Today, most services are offered over the Internet so that customers can perform them themselves. It has given a simplified and user-friendly banking day. New technological solutions can provide the banking industry with adequate knowledge and insight into local markets. Digital solutions allow banks to have easier and more frequent contact with their business customers, and customers save time when they do not have to travel to the bank. Visits to business customers do not depend on bank officials sitting in a given geographical location. Of course, these balances and the impact they will have on the branch network must be assessed by the individual bank. What is important is that we have good, well-functioning banking services that are available throughout the country and that there is competition in the market. Good competition rules and strong competition supervision are therefore important to ensure the proper functioning of the capital market. The representative raises the issue of the aquaculture industry. This is an important and growing industry in Norway. Historically, farming has been considered a risky industry, but today the industry is primarily characterised by optimistic market prospects. The availability of capital is good, and breeding companies are currently lending to banks on good terms. The DNB itself has stated that the aquaculture industry will not have problems in securing financing for capital-intensive projects in the future. The objective of the State’s ownership of DNB ASA is to maintain a large and competent financial group with its head office function in Norway. The group shall be operated on a commercial basis and with a view to providing a competitive return. Enterprises must operate economically. It also includes the banking industry. There are constantly technological changes, and we need to make the necessary conversion happen. Nevertheless, I am following developments to discover any signs that the supply of capital on the business market is not sufficient. Therefore, on Monday, I invited a number of players from the market – the largest organisations, the tools and other business representatives – to a meeting on the access to capital and the situation in the capital market. In the meeting I got more good insights into the capital market and a good understanding of how the actors themselves perceive the situation. Good projects are still supported, but there may be challenges for SMEs and for some projects. Therefore, it is important that we use the instrument to support business in the transition phase we are in, and implement a tax reform that improves private access to capital.
ParlaMint-NO_2016-02-17.ana.ud2568e1080	Now it was primarily about the financial industry as an independent industry. One feature that we notice from several other industries is the close contact that is up against the environment – and is it wise to weaken the financial industry? We know that TV 2 has been involved in further development of the NRK. One should have the same effect, that one has two environments that make each other mutually beneficial, and at least they should be strong in the areas in which Bergen is strong, and especially in the seafood and marine sectors, but also in the insurance sector. Why is it moving away from Bergen, especially in the exact conversion period we're in now? We need a strong financial industry and that one makes each other mutually good.
ParlaMint-NO_2016-02-17.ana.ud2568e1085	There is no problem in agreeing with the questioner that it is important to have a good capital market that responds to the challenges you face, who know the challenges, and who knows the industry. This is what the banking industry and the financial industry know very well, they make such assessments every day. So this has been a development that has occurred especially during the 2000s. There have been major changes. And I realize that it's hard to understand too many people that even if we as a state own, among other things. in DNB, with more than 34 p.m., the Board of Directors shall take the business decisions on the structure of the business. There has been cross-political agreement over many decades. That's why the Boards are going to make these assessments, and I'm sure the Boards are doing them.
ParlaMint-NO_2016-02-17.ana.ud2568e1092	Nevertheless, it is very easy for most industries to operate with a centralisation that is not necessarily the best when you see the totality — and how to develop the most competitive. As I mentioned in the example of TV 2, which was a deliberate choice: by having two strong environments, the overall national environment was strong. And Bergen is the strongest financial environment outside Oslo – Oslo is always going to be a strong environment. So that was really the main challenge: how can you do something in that area right there? The mountains also have a strong environment for ICT. Then it may be a bit old-fashioned and a little special that DNB chooses to ‘outsource’ the ICT part of India and the Balkans, while we know – and the minister knows that very well – that itslearning and all these new companies that are established in Bergen, including the new Vipps solution, have developed in Bergen. So why not be clearer when it comes to establishing two strong financial environments, and not least using the local expertise that is around?
ParlaMint-NO_2016-02-17.ana.ud2568e1099	There is no problem in agreeing with the political starting point of the representative – I think we both are. We are pleased with a decentralised solution both in the media industry and in the financial and ICT industries. But from now on to breaking important ownership principles, like going into the companies, making business decisions about where they're going and how they're going to do their job, we can't do it. I don't think anyone deserves that. The banks know that they should be close to their business customers, and my experience is that they are. They know a lot about their markets, and they make important decisions about it every single day.
ParlaMint-NO_2016-02-17.ana.ud2568e1104	Then we go to question 8.
ParlaMint-NO_2016-02-17.ana.ud2568e1111	‘The mineral industry is one of the few industries specifically mentioned in the Government Declaration. The Minister of Industry has stated that the mineral industry is a land-based industry with the potential to increase value creation and employment. However, in this year’s budget, the industry is hit by a cut in the means of mineral screening, leading to redundancies in the NGU and the loss of important competences in what is defined as a future industry. What is the government’s strategy and any concrete measures to further develop the mineral industry?’
ParlaMint-NO_2016-02-17.ana.ud2568e1118	The mineral industry is an important area of government activity. The industry is present throughout the country, providing value creation and long-term jobs, and production from industry is absolutely necessary in a modern society. The industry has a potential for increased value creation and employment. At the same time, there is no doubt that the potential for short-term entry into service has been reduced recently. Prices of many of the industry's products have fallen in the last four years, from an historically high level. It has, among other things, led to the loss of a large company: Southvarger Gruve was unable to run economically and had to go down. Many of the players in the mineral industry also have lower margins than just a short time ago. On the government side, we have a long-term perspective on the development of the mineral industry. We know that the prices of raw materials vary, and that will bring bad and good times. In the long term, however, there is a potential for mineral holdings in Norway that we need to exploit. Then there's the results that count. The government has had on its table two major projects that could result in large start-ups in the mineral industry: the Nussir project in Finnmark and the Nordic Mining project in Sogn and Fjordane. Both projects have received confirmation of the regulatory plan and have received the necessary emission permits from the Environment Directorate and the Ministry of Climate and Environment. Of course, I am aware that these emissions permits have been charged, and we have to wait for the handling of the complaints. However, the permits granted illustrate the government's willingness to contribute to the development of the mineral industry in Norway, and that we, on the part of the government, are serious when we say that the mineral industry has a potential and is a priority industry. At the same time, the issues well illustrate the level of professionalism that needs to be taken into account, and the extent to which the investigations need to be carried out in order to determine a modern mineral extraction. It will not be possible for companies to obtain these permits if they have not done a sufficiently good job in advance. A thorough and good planning process is crucial for all major off-takes. The Government has implemented several measures to improve action in the field of planning in order to reduce the length of proceedings and to improve the handling of objections. We will continue to simplify and improve the planning processes. In the 2016 state budget, cuts were needed in many areas, as we had to deal with an exceptional situation in the short term with the influx of refugees to Norway. The allocation for mineral mapping was one of the areas that had to be cut, but that does not mean that the government has a lower ambition in the mineral field. An example is that the government, at the latest yesterday, approved the extraction of valuable quartz in Nasafjell, Northern Ireland. It means up to 50 new jobs in the municipality and increasing value creation in the region.
ParlaMint-NO_2016-02-17.ana.ud2568e1135	I record that the Council of State is using the argument about bad times not to bet on mapping, but isn't it just in bad times that one should have surveyed our resources? The Minister of Economic Affairs wrote the following in the press release in connection with the 2015 budget: ‘Mineral industries have the potential for growth, value creation and job creation across the country. We can only trigger that if we find new mineral resources that can be profitable to extract. The Government therefore proposes to allow a total of SEK 30 million for geophysical mapping in North Norway and South Norway.» However, in the context of the supplementaryproposal entered into the budget of the year, the entire allocation has been cut, as the Council of State said. NGU has been aware that they will not be able to maintain their competence. The question is: does the Minister for Industry not see that through this cut she has contributed to the loss of the ability of the mineral industry to grow, as she describes in the referenced press release?
ParlaMint-NO_2016-02-17.ana.ud2568e1147	I completely disagree with the description of the answer. I was very clear that it was the extraordinary situation that arose in the autumn, which meant that the allocation had to be cut. The draft budget was our proposal for a State budget, but we had to deal with a difficult situation, it had to be financed and we did. So I just described the challenges of the mineral industry today, because they're different than they were a short time ago, but that's not why the budget was changed. So it's that mapping is important, but the most important thing a government can do is deal with matters. The last government didn't. That's what this government has done. It leads to employment, and it leads to value creation, and it's important.
ParlaMint-NO_2016-02-17.ana.ud2568e1154	As a result of the development of high technology and green technology, industry will in future need new types of mineral resources as well as traditional metals and minerals. In Norway, we have deposits, including many undetected deposits, of minerals and metals that the EU has classified as critically important for our future industry. In this context, in my view, Norway needs to be attractive in order to attract industry with the necessary knowledge and capital to put the presence into operation. We know that current industrial enterprises require the modern, basic geological maps and data available, and therefore have considerable budgetary implications. The question is then: what kind of other attractive incentives and framework conditions will the Minister propose to attract industrial enterprises that can use their knowledge and capital in Norway to develop these mineral resources in an enterprise?
ParlaMint-NO_2016-02-17.ana.ud2568e1161	There is no doubt that this is an industry with great potential. The government's ambition is firm, but that's how we had to make changes this year because of an extraordinary situation. We still have a great desire to map and develop this industry. I think the most important signal we can give to the industry is that applications they submit are treated. It's taken years for the industry. It gives a very bad signal that we have a heavy root and complicated procedure, and that we do not clarify matters. The companies spend a lot of resources on this, they have to be very up-to-date, use a lot of expertise, we know that. These are big and complicated things. The least you can do then from the authorities is to deal with and settle matters, so that you get an answer as to whether you can get started or not.
ParlaMint-NO_2016-02-17.ana.ud2568e1173	This question, from the representative of Rasmus Hansson to the Minister for Climate and Environment, will be raised by the representative of Une Aina Bastholm.
ParlaMint-NO_2016-02-17.ana.ud2568e1176	The question from Rasmus Hansson is: «The Environment Directorate has examined all aspects of mining at Fördefjorden and believes that all are negative for the environment. In accordance with the Pollution Act, the Directorate has assessed this against the perceived socio-economic benefits and concluded that environmental interventions do not have adverse effects to offset them. If the socio-economic benefits that trump the precautionary principle and the right of citizens to a clean environment in and around the Fördefjord are reduced, is the emission permit withdrawn?’»
ParlaMint-NO_2016-02-17.ana.ud2568e1185	In general, when assessing whether a permit is to be granted under the pollution law, the assumptions that can be obtained at the time of the decision are taken. In this case, in line with the pollution law, an assessment of the pollution disadvantages of the measure has been made in conjunction with the benefits and disadvantages of the other measure. It is the future income from mining that will be the dominant benefit to society as a whole. Raw materials prices vary over time, and even if a company should periodically have problems with profitability, there is no basis for withdrawing authorisation. Undertakings authorised under the pollution law should be able to count on the permit to be valid for a period of time, in order to be able to comply with it, for investment purposes. However, the pollution authorities may withdraw a permit or, where appropriate, change the conditions in the event of a change in circumstances, but in particular it will be on the basis of changed conditions related to the pollution disadvantages. That assessment will also focus on the strong interests of the business in maintaining the decision.
ParlaMint-NO_2016-02-17.ana.ud2568e1192	The Environment Directorate has, as I said, concluded that the environmental impact is serious, but that the benefits can outweigh it. They have not said that mining in Fördefjord is environmentally sound. So in addition, the environmental consequences can be even greater than initially assumed. Just before Christmas, the research community at NMBU published criticism of the current measurements that form part of the decision base. The report claims that the waste masses can spread much more than assumed and that the limit of the time of particle damage to fish occurs has been assessed up to 50 times too high. I understand that the Council of State cannot decide which subject is most correct. But will the Council of State ensure that at least this new information is carefully evaluated?
ParlaMint-NO_2016-02-17.ana.ud2568e1199	To the first part of the question, I would like to stress that it is the rule and not the exception that state directorates take full account of when deciding on new measures, and the pollution law provides for an overall assessment of the benefits and disadvantages of the measure. That's the job that the Environment Directorate is set to do. With regard to concrete statements and complaints, I cannot go into this further, because the complaints are to be dealt with by the King in the Council of State.
ParlaMint-NO_2016-02-17.ana.ud2568e1206	Some of the interesting thing about this case is that this is probably not the only case where the mineral industry and vulnerable nature stand up against each other in the years to come. The demand for minerals is increasing and the most readily accessible and inexpensive deposits are being emptied. So we're already facing a corresponding intervention in Repparfjord, and there might be more. At the same time, Stortinget has decided to stop biodiversity loss by 2020, but the Minister for the Environment will rather give priority to jobs. The question then becomes – and a little back to what I started with: How many jobs does the Council of State think a species is worth? What is the Council's tolerance for loss of species in Norwegian fjords?
ParlaMint-NO_2016-02-17.ana.ud2568e1213	Natural diversity is an important value in itself, and it is also an important value for the economy. And it's also true that when we're in a climate-driven transformation, we're going to need more of those ecosystem services, to have good ecosystem services, also in a value creation perspective. So here, there's no simple contradiction, as the representative suggests. It also makes one species face one particular industrial interest, not that of this thematic one. It is about taking full account of societal developments. That is what the pollution law provides, and that is the job that the Environment Directorate has been set up to manage.
ParlaMint-NO_2016-02-17.ana.ud2568e1222	‘Access to qualified health professionals is a key factor in health services. The number of medical assistants in the specialist hospital in the period 2009–2014 has increased by 25 per cent; in the same period, the number of nurseries has increased by 12 per cent, while there was a 24 per cent decrease in the annual health professionals’ workforce. Thus, 2 000 health professionals have disappeared from hospitals in 5 years. What is the reason for this, and what measures does the government have to reverse this development?’
ParlaMint-NO_2016-02-17.ana.ud2568e1229	Access to adequate and competent personnel is a prerequisite for providing patients with safe and good services. These are key issues in the EEAS Communication on the future primary health service and in the National Health and Hospital Plan, which Stortinget currently has to deal with. The need for staff and competence in hospitals is changing and developing. Health enterprises must have a good balance and proper composition of occupational groups in order to ensure the diversity of tasks to meet the needs of patients. Health professionals are a large and important health care profession, particularly in municipal health and care services. They also have an important place in hospitals. At the same time, it is known that the development of specialist healthcare with shorter lay time and transition from day care to day care and outpatient care has affected the needs and requirements of hospitals for competence. It is true that the composition of health professionals has changed in recent years and that the proportion of health professionals and caregivers has decreased. One reason for this may be that modern hospital operations require higher and increasingly specialised competence. Another reason may be a lack of knowledge of the competence of health professionals and how it can be used in a modern hospital. Although developments have led to a reduction in the proportion of health professionals, there are several hospitals that are now paying attention to health professionals’ apprentices, for example. in Health Stavanger and in Health Bergen. Regional health enterprises have also contributed to the emergence of new areas for health professionals. This has led to the creation of new curricula for some health professionals to qualify for work in hospitals. In addition, health professionals are qualified through education and the apprenticeship system. It is the responsibility of health businesses to analyse and have an overview of the personnel needs of hospitals. They shall also provide plans for how to recruit and develop competences, so that resources are used in the best possible way. The government will strengthen the competence of health and care services. Health professionals are one of many important groups in the overall service provision. We are in the process of following up the primary health notification and the national health and hospital plan when it has been treated by the Stortinget. Ensuring proper competence in the right place is important in this work. That's why it's also, among other things. in the context of the national health and hospital plan, a national tool for better planning the need for competence in our hospitals is established.
ParlaMint-NO_2016-02-17.ana.ud2568e1246	I am uncertain whether I understood the answer correctly, and whether the Minister of Health and Health actually thought it was a quite natural development that so many years ago for health professionals have disappeared from Norwegian hospitals. Even if there are additional requirements for competence, there are some things during a stay in a hospital that actually have to be done, anyway. If a type of health worker disappears, others have to take over that job. So I would like an answer from the Minister of Health, if he thought that a decrease of 24 pst. In five years' time, that is, 2,000 annual works have disappeared, are natural and a development he thinks is right, or whether he thinks this is worrying.
ParlaMint-NO_2016-02-17.ana.ud2568e1253	I tried in my response to give a description of the conditions that may have led to this development, without considering whether this was a proper development or not in terms of the actual size of the number of health professionals. But I think the representative agrees that today, when we have fewer bed hospitals – fewer hospitalized patients – and more patients who receive outpatient treatment and day care, the result is that there will be less need for the 24-hour care and care, which was much more so in the hospitals earlier. But I am absolutely convinced that health professionals will also have an important function in the hospitals in the future. That's why I'm showing you, among other things. to Health Bergen, and to Health Stavanger, who really sat on this group.
ParlaMint-NO_2016-02-17.ana.ud2568e1258	What I'm asking is whether the Minister of Health and Health thinks that what they're doing in Health Stavanger is something other healthcare professionals should also do more about, and whether they want to encourage it. I assume that the Ministry of Health and Welfare and the government have a plan for health professionals in the large area called hospitals, and for how the development should be. Although it has been a shift from day care to outpatient treatment, this decline is so dramatic that I think it must probably have led to a deterioration in the competence of the normal hospital ward. What measures the Council of State will take to reverse developments, I would ask for clarification.
ParlaMint-NO_2016-02-17.ana.ud2568e1265	I can assure the representative that I often already refer to what Health Stavanger and Health Bergen do in meeting the hospitals. I think it's wise. I believe that it is also an important part of the societal mission to have apprentices in this subject, also as part of helping to develop the skills of those who have this education and who may later be working in the municipality. This is part of the community mission of our hospitals. During the period 2013–2016, Health Nord has had its own investment project, with the aim of increasing the proportion of health professionals with completed vocational letters by 40 pst. So this is something that other people are also taking seriously. I am absolutely convinced that health professionals will play a central role in our hospitals in the future as well.
ParlaMint-NO_2016-02-17.ana.ud2568e1278	I allow myself to ask the Minister for Health the following questions: ‘In an extraordinary board meeting, the University Hospital of North Norway in Tromsø has decided to build new administrative facilities related to the planned new PET Centre through an arrangement of OPS. Taking into account the poor experience of OPS in such contexts in many countries; how does the Council of State now intend to open up the use of OPS in the realization of new buildings in our hospitals?’»
ParlaMint-NO_2016-02-17.ana.ud2568e1287	In the business meeting last January, I gave health regions – through changes in the statutes – greater flexibility to use private solutions. This also applies to public-private cooperation, so-called OPS projects. I think it is clear that private individuals can contribute to greater flexibility and more efficient solutions. In OPS projects, the contracting entity and the supplier have a common focus related to the life cycle. This gives incentives to choose long-term, good and effective solutions. Furthermore, the maintenance required during the contract period is ensured. At the same time, health businesses themselves have the competence to choose between owning or renting and to handle this within the financial framework they have. Furthermore, I have included the use of private cooperation solutions, so that all agreements over 100 million. kr must be dealt with at the business meeting. This involves clearer governance than general investment decisions in health enterprises. As I am familiar with the matter to which the representative Knutsen refers, the board of UNN has approved that competition for public and private cooperation is being announced for the construction of three office stores at the top of the PET centre. The background is that UNN is currently renting office premises in the private market in Tromsø. The decision was taken subject to approval by the Board of Health Nord. I know that Health Nord has a tight control over investment projects in its region and has developed guidelines to ensure proper and good prioritisation of investments. OPS projects are investments and shall follow the same assessment criteria as other investment projects in the region. These provisions shall ensure a full decision-making basis in which quality, economics, organisational development and other impacts have been assessed. Regional health enterprises are responsible for both planning and prioritising their investments. Now they can also assess private cooperation solutions. This responsibility takes Health Nord in the greatest seriousness, and I have full confidence in it.
ParlaMint-NO_2016-02-17.ana.ud2568e1300	It's really not a surprise the answer the Council of State gives. His party is very excited about OPS, and there have also been Right-wing conservative sister parties in other countries. In the United Kingdom and Sweden, OPS has been used in the construction of many public projects, but after experience has been gained, the attitude has changed: ‘The greatest risk of OPS agreements, and this has been seen several times, is that the total cost of the project is going to be enormously much higher than what it would become with state funding’, said spokesman Adam Morris of the Conservative Party in Scotland two to three years ago, adding that he did not ‘believe in OPS as the financing model for public projects’. And the Minister of Finance Anders Borg said in 2008 that the government in Sweden would not build on krita. What is it that the Right and Government will absolutely not listen to the advice of their sister parties in other countries, based on highly animal-acquired OPS experiences?
ParlaMint-NO_2016-02-17.ana.ud2568e1312	Well, we're listening to the experiences from other countries, and that's also why we have a completely different frame of this than what you've had, for example. in the United Kingdom. It was not least during the Labour Government that the OPS scheme was used to greatly increase the amount of public investment without taking into account that it was actually due back. There were animal-bought experiences from the previous Labour government in the United Kingdom that conservatives have spent a lot of time cleaning up afterwards. Therefore, the framework for public-private cooperation and its use in healthcare companies is also clearly below the same criteria as other investments, but we have had many examples that wise solutions could not be used because of the rigid legislation that was in the past. It's been tricked in some places, for example. that a municipality builds an ambulance station together with its medical care centre and that health care establishments rent the premises.
ParlaMint-NO_2016-02-17.ana.ud2568e1317	The problem is not that you cannot have other rules to build, but it is the OPS device itself that is the problem, that you transfer large values from the purpose it was intended to to private operators. We have some examples: the Royal Infirmary of Edinburgh led to the state putting back on a bill of 11 billion. DKK for a building worth 3 billion. kr. New Karolinska Emergency Hospital in Sweden increased costs from 14.5 billion. Swedish krona for SEK 52 billion Swedish krona. We've had examples of costly OPS projects here at home, and there are values that go from public purpose to private, no matter how you turn it around. When the University Hospital of North Norway says that OPS is intended to be used, it lies between the lines that the reason for this is that the entity has a very stressed liquidity, and then my question is: When will the Council of State fulfill the promises he made before the 2013 elections, in at least 12 billion? extra to the hospital sector during the four-year period, so that enterprises can actually invest in the necessary infrastructure and not rely on corrupt private loans?
ParlaMint-NO_2016-02-17.ana.ud2568e1324	The growth in patient treatment in hospitals during my time as Minister of Health is significantly higher than that which it was over the eight years of the Workers' Party, resulting in, among other things. in that patients have to wait less time for treatment. 35,000 fewer patients are in line, and the level of investment in hospitals is record high. But it's always the way that ambitions about what you want to invest in, no matter how much money you give, are likely to be higher than what the frames add up to. When UNN assesses a solution where they think it's wise, when they're first going to do the groundwork and build a PET centre to which they've been receiving loan finance from the state, building office premises on top instead of renting in the private market in Tromsø, I don't see the big difference between finding a practical and good solution by building on top and even running on the rental market in Tromsø to rent.
ParlaMint-NO_2016-02-17.ana.ud2568e1333	‘In DN’s report of 23 January 2016, entitled ‘Fear and amputation in white’, employees warn of a strong fear culture in Norwegian hospitals. 30 hospital sources are the interview, and most say that the extent is so widespread that they call it a health problem. Penalties mostly affect trustees. The Health Inspectorate confirms that there are ‘some malicious working cultures that can affect both employees and patient safety’. What are the measures taken by the Council of State to ensure transparency and to prevent culture of fear in Norwegian hospitals?’
ParlaMint-NO_2016-02-17.ana.ud2568e1340	Freedom of expression is a fundamental value of a functioning democracy. Health policy often engages and debates in different social arenas. We want the employees, their trustees and their organisations to participate in this discussion. This will contribute to good and better decisions in the specialist health service and for society. Creating an open culture of free speech is a management responsibility. My impression is that health businesses are taking this seriously. All healthcare providers have developed alert-related procedures and guidelines. The Labour Environment Act’s warning rules state that sound warning of a critical relationship cannot be sanctioned by the employer. In the business meeting in 2012 and 2013, it was stressed that there is a great deal to be done to ensure that public criticism from own employees violates the employee’s loyalty obligations and that criticism should, as a general rule, be met with counter-posts. The political signals are therefore unambiguous. There shall be a high ceiling height, both for debate and for opinion. The series of articles in the Today’s Economy on ‘Fear and Decease in White’ claims that some leaders use it as ‘hard HR’ for ‘conclusion in the sequences’. Of course, if this is true, it is not acceptable. I do not have any insight into the issues that arise in today's business and cannot comment on them in particular. However, I expect the management of the healthcare companies concerned to address these issues critically – both concretely and in terms of learning. However, I would warn against drawing a general picture that the specialist health service is marked by a ‘fear culture’. The government wants to strengthen the transparency and the conditions of freedom of expression in hospitals. I have followed this up at a management seminar for the regional health companies yesterday. There I asked all the boards to acquire knowledge and follow up with measures to ensure a culture of transparency. One of the questions we need to clarify is how we will follow up and secure the rights of the elected workers. A culture of open exchange and good organisation of HMS work in general are prerequisites for the success of patient safety work. I'm going to follow this up in the follow-up meetings with regional health companies, and they're going to report to me about the actions they're doing at the follow-up meeting that we're going to have in June of this year.
