ParlaMint-NO_2013-10-23.ana.ud1862e15	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2013-10-23.ana.ud1862e1104	The right-wing Party government will base its policy on confidence in individuals, families, entrepreneurs and volunteering. Norway is getting better by using all the good forces. Voluntary and private activities must be shared with the public to perform community tasks. When we can play together well, we'll see Norway at its best. A better Norway is growing out of creativity and industriousness. With freedom and confidence in the inhabitants, the government we now have will give greater arms both to those who will create new businesses and jobs, and to those who burn for volunteering. We want to value their efforts and commitment, we have confidence that they want the best for the people around them. The government will rely more on trust in its policy – that’s a good thing: trust that individuals make reasonable choices, so that we can regulate less confidence that the elected representatives will do the best for their community, so that they can gain greater responsibility and confidence in culture and volunteering to the best of society at their own premises, and not just become instruments of government confidence that families themselves can find good solutions over the kitchen table, so that politicians can control the level of confidence that private and voluntary people in child protection, health, rehabilitation, preparedness and much more have good intentions, so that we can use all good forces in common effort for a better society; We are so lucky to have got a government that will build the country to get Norway at its best. The voters have wanted new solutions to the challenges we face, and together, the Christian People's Party, the Left, the Advance Party and the Right now have the opportunity to implement the necessary reforms and changes that the country needs, not least to speed up road and rail construction. The Government will base the generational perspective on the policies to be pursued and ensure continued high employment and increased competitiveness. By investing in more infrastructure and knowledge, Norway will have more legs in economic terms and will be better equipped to cope with a future in which reduced oil revenues will have to be compensated in other industries. For the vast majority of people, transport challenges are not about billions of dollars, public–private cooperation or planning authorities with objections. For the vast majority, for people out there, everyday life is about the possibility of commuting to work and at the same time picking up the nursery. It's about the possibility of living in the districts, but it could also transport goods to customers in other parts of the country. It's about efficiency and comfort, and above all it's about safety, so you get home safely. After the summer of the year on Norwegian roads, traffic safety figures are again on the road in the wrong direction. This is worrying. A stronger focus is needed on road safety measures, including: through more construction of mid-drawing works. The road and rail networks have deteriorated for each year. This development must be reversed. The government is therefore building up the country with new instruments, and I am pleased that they are now clear that they will halve the planning time, plan longer distances, improve the calculations of the profitability of transport projects and reduce policy detailing management. This is good. This will improve the efficiency of the transport sector and improve the quality of decisions. New ideas and better solutions will help to speed up the construction and maintenance of road and rail sections. The right-wing Party government is clear that you want a simpler everyday life for most people. We have a government that will build the country. In order to provide good welfare services and ensure competitiveness, we need high-quality, efficient infrastructure. In summary, the transport policy of the new government can be described with one sentence: faster, simpler and safer transport.
ParlaMint-NO_2013-10-23.ana.ud1862e1149	It opens for line chord shifts.
ParlaMint-NO_2013-10-23.ana.ud1862e1152	With as much talk as it was here yesterday, in and outside this hall, it was easy to notice the hook of political Norway where it was very quiet: among the women in the Right when it was about the right of reservation for doctors – or the possibility of reservation, as it is now called. The right has a tradition of freeing its representatives from abortion issues. Several of the Right-wing Representatives broke out on the Data Storage Directive case. Earlier today we could hear Prime Minister Erna Solberg ask Stortinget to vote for what you are in favour of. I wonder if she also believes that the representatives of the Right should vote against what they are against. My question to the representative of Hofstad Helleland is: is there any problem in the right when it comes to this matter? And if the answer to that is no, the natural follow-up question is, why not?
ParlaMint-NO_2013-10-23.ana.ud1862e1161	I want to reassure the representative that when we were present at the meeting in the Right House where the cooperation agreement was presented, there was full agreement both from all the women and from the men, who were a member of the Right Grandfather's Group. It was fully in line with that agreement. What we are sure of is that, in cooperation with the Norwegian Medical Association, it will continue to ensure the safety of women. I hear that the Workers' Party focuses on small municipalities, where there may be only one doctor. There, we're not going to hire a doctor who wants to use the reservation facility. All girls, all women should be sure that when they contact the medical office, they should receive the help they need.
ParlaMint-NO_2013-10-23.ana.ud1862e1168	It will be very exciting to see how transport and communication with the new government work. It promises so much when it is said that one should increase the bet in addition to what is presented in the red-green NTP. But what this means is an appropriate question. Does it mean that one is committed to the same ambition that E39 should be built for a maximum of 20 years? Does this mean that a building the City Ship Tunnel, which mirrors? Does this mean that a person not only continues, but increases the amount of racial protection and other areas, or is it enough that one fulfills the promises by giving more total permission to travel? That's an important question. I want a response to the ambition for a free E39. I would also like to comment on why there is a system of less tolling in the Austland, while they are being held up and actually increasing heavily in the West, as is right in what has been said from the government party.
ParlaMint-NO_2013-10-23.ana.ud1862e1176	I thank you for the question from Klinge, and I also heard the question from the representative Klinge yesterday asked the Minister for Transport. It was about a lot of the same thing. Our excellent Minister of Transport answered in a very good way. Yes, we have high ambitions. We want to get many new meters of road and track built. We want to be more offensive than the government that has been to now, also because we want to organize, streamline and apply new ideas to lift the infrastructure. Of course, we're going to come back to the concrete projects we're going to go into. I also believe the representative Klinge understands that it was difficult in a government platform, for those who sat and negotiated, to assess each individual project. But now we have to be very excited about what the government will come back to over the next four years.
ParlaMint-NO_2013-10-23.ana.ud1862e1183	I think there are many who are not guaranteed by the renaming of the reservation right to the reservation option. As far as I can see, this is the same thing. No one has proposed a reservation obligation, which would be the natural counterpart of an opportunity. Girls and women who want to have an abortion are likely to find themselves in a very vulnerable situation. They can face the condemnation of the environment, and it is precisely then that the neutrality and support of the public health system is so important, and that everyone has the same rights and meets the same public health system. This is something the Right has meant even for many years and has been very clear on. Now the right no longer means this, and the right also says that this is not a question of the right to abortion. So then my question to Hofstad Helleland is: what is the representative of Hofstad Helleland that the thousands of women who are now engaged in this matter have failed to understand?
ParlaMint-NO_2013-10-23.ana.ud1862e1192	What I understand is that we politicians should approach this issue in a slightly humble way. I may think some representatives in this Chamber are dealing with such difficult issues, to which difficult dilemmas are attached, in a very simple and populist way. Having said that, I would like to stress and make it clear to the representative Serigstad Valen that neither Right nor I will ever agree to limit women's rights and the ability to control their own bodies, and no women or girls looking for a doctor will meet a judgmental attitude. Therefore, I think it is very good that we also now clarify which doctors this applies, so that you also have a choice in choosing away the doctors and the prescribers who use the reservation option.
ParlaMint-NO_2013-10-23.ana.ud1862e1199	I think it's quite special that the party that is shyer about receiving dedicated emails from activists teaches others what's simple and populistic. And I can't at best understand what's so populist about from this pulpit to quote a very glittering post – written among other things. by the current Minister of Health – in Minerva. That's a good, principled and durable argument, which Right so far in the debate has not managed to give a satisfactory explanation as to why they have gone away. So I almost have to ask again, because I didn't get a satisfactory answer: what is the representative of Hofstad Helleland who has understood the conversion right now, which not all the women who worry about their right to self-determined abortion without condemnation, have not understood?
ParlaMint-NO_2013-10-23.ana.ud1862e1206	I was probably one of the representatives who first responded to the enquiries the deposit representatives received from the blogs that started with these enquiries to us. I spent a lot of time giving a thorough answer, where I was also very clear that I have changed my position on this matter. I also explained well what now makes me confident that girls and women looking for their regulars will not be met with a judgmental attitude, and that we can never agree to limit women's rights and the ability to determine their own bodies.
ParlaMint-NO_2013-10-23.ana.ud1862e1211	The cord shift is over.
ParlaMint-NO_2013-10-23.ana.ud1862e1214	In the debate yesterday, and to some extent also today, there has been a lot of talk about history, and the statements of an editor of an Oslo newspaper that the previous government went to the canvas and covered the table have been referred many times. After the last civil government took over after a labor party government, i.e. in 2001, the unemployment rate was 2.7 pst. When they left the table in 2005, the release was 3.5 pst. It was the same development in my home country, Hordaland, but what was especially true for Hordaland – a state of competitive industry and competitive business – was that the unemployment rate was higher than in the rest of the country. What we've done in the eight years that the country's been run by a red-green government is that we've got a lower leave. We have a lower leave in Hordaland than in the rest of the country, and this has happened despite a major economic crisis all over the world. We blew off a tax haven that would only benefit the richest, and we spent that money developing community goods. We've reduced economic disparities in these eight years, we've got good results in schools, we've got better results in the health sector. In Hordaland we were also in this period remedied the division that caused the Health West to receive less funding than the other Health Norway. So to the extent that the table had cloth and was covered, it was for very few guests. What we did was cover up to even more and invite to a real spice team for everyone, who could also contribute and enjoy the joys. And that is because, as the representative of Kolberg said, we have left the country's governance to policy – and not to the market – during this period. Hordaland is a large energy group. We have power-processing industry in Hardanger. Along the coast we have a strong and upstream petroleum industry. In the 2005 election campaign, one of the major questions in Hardanger was whether we were able to get enough power to the industry. We needed a new industrial power regime after the liberalisation of the power market. This was completely impossible, was heard from the time municipal minister Erna Solberg. We completed the construction of a new industrial power regime. Before the election this year, I was on a campaign tour in Hardanger. The industry and the trade movement in Hardanger are very pleased with the work that was done, and the change was: now it must not be shaken by this. In Tyssedal, the owners have announced that they will invest $6 billion. kr in the Ilmenitetwerk Tizir, as a result of good framework conditions. Now we see something that could threaten this good development, and I'll draw out two relationships. In the last period we saw an intense flirting from both the Right Party and the Advance Party around the idea of rocking through the consolidation model and public ownership of the power resources. This is a serious threat to the good results we have achieved in the melting industry. The next thing we've seen is the discussion about foreign tables -- about who should be able to operate these foreign tables and what should be the basis for the construction of foreign tables. The signals we have received from the Right and the Advance Party – that we want to privatize this, that anyone can start building a foreign table – we will warn against this. There will be a threat to many jobs in Hordaland. On the kerosene side: We delivered a kerosene message in 2011, which created great joy in the industry, and which had a broad majority behind it in the Stortinget, and where one of four important parallel activities that needed to be carried out in order to achieve what was the message’s title – An industry for the future – was to open new areas. We received criticism from the Right and the Advance Party throughout the last period that we did not open new areas outside the Nordic region. What we see when these parties take over is that the first thing they do – in fact during the exploratory negotiations – is to say, apart from the possibility of implementing these areas and other areas in the north. The Prime Minister spoke of policy-making from a generational perspective. This is a grip that will produce effects in the next generation. It would take 15 to 20 years to have activity in these areas if you had started now. That opportunity is wasted.
ParlaMint-NO_2013-10-23.ana.ud1862e1237	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2013-10-23.ana.ud1862e1240	The political platform of the blue-blue government provides the outline of the policy over the next few years, although the final policy will find its design here in the Storting – which has been repeated from both sides of the House, if I can put it this way. Something is the Workers' Party for, and something we're against, and other things we just don't know yet, because the government's will is still unclear in some areas. But the underlying premise is clear: ‘The Government considers initially that the production of welfare services differs little from other services.’ In addition, it says: ‘It is therefore absolutely necessary for competition to become a horizontal element of public activity.’.» Then we know that some of that government will submit to the Stortinget, will be a long step away from what we know as the Norwegian model. The government simply says that treating, nurturing and caring for the sick are services that are produced – just like changing tyres and hairdressing hours. In health policy, this is reflected in an ideological approach to the use of private health services and the winding-up of regional health businesses, in order to facilitate market access for private operators. For the Workers' Party, the most important thing is that patients receive help and treatment. This is the responsibility of regional health establishments today. Health enterprises are regional and not local, because in a small country there are benefits in planning healthcare for larger populations. They are regional rather than national because there are good reasons why responsibility should be as close as possible to those affected. Despite all the limited medical expertise in a small country that Norway needs to be managed sensibly and for several reasons. Compromises can always be improved – including today's model. But why should things necessarily get better by shifting responsibility from Bodø, Stjørdal, Hamar and Stavanger to Oslo, while at the same time making health policy in the Stortinget a single major But according to the health minister's statements, we don't see any of this in the first four years. The Labour Party is impatient about improving the quality of our hospitals, and we look forward to the new Minister of Health's presentation to the Stortinget, where we get the outline of how this is going to happen. And we hope, of course, that the Minister of Health is up to his promises from the election campaign.
ParlaMint-NO_2013-10-23.ana.ud1862e1263	We live in one of the best countries in the world. Much is good, and especially the representatives from the outgoing government have recently reminded us of how well things are going in Norway. However, the history and heritage of the Stoltenberg II government are much more nuanced. I therefore want to take the time to present one of our greatest challenges in society, namely the great drop-out in high school. Today, 13-year-old schooling is considered part of basic education, and for many of our young and hopeful, it is very important to endure this race. In yesterday's main speech, the parliamentary leader, Jens Stoltenberg, told us that the results are going forward in Norwegian school. Today – also followed up by the representative Trond Giske – he repeated this. However, the overview of the Minister of Knowledge, Kristin Halvorsen, shows that less remains our basic education. Higher education in Norway has a regrettable downward curve, despite the fact that the outgoing government has spent quite considerable money on its New GIV project. Politics is about prioritizing, and the Red-Green Government's New GIV bet was so good, but let me remind the representatives that this project only addressed students at the end of their high school course and their transition to high school. At the same time, let me remind the representatives that almost all students are already choosing to go from high school to high school – with too weak basic skills, but the question must then be whether a government should use the big money and the political focus on early schooling, rather than at the end of high school. Some red-green representatives may replicate that they have also prioritised early intervention, and they may point out that unskilled homework in 1–4. Steps as well as school fruit are measures that contribute to good early school learning. At the same time, let me remind the representatives that the performance development in primary school and the government's own evaluation report on homework shows something quite different. The latter shows that no action is taken. This has the Right Warning against. In addition, it shows that our 8th grade students have still not reached the 1995 level. Therefore, the question of whether educational assistance is more appropriate for the mid- and early stages is quickly reported when the professional challenges increase and lessons become more difficult. Not everyone can ask for help at home. There should be knowledge, skills and effort to decide – not who your parents are or where you come from. We shall work together to ensure that every human being succeeds.
ParlaMint-NO_2013-10-23.ana.ud1862e1280	It is a great pleasure that the voters gave the country a new government after the elections, and that they gave the new government a good mandate with a broad bourgeois majority, resulting in a historic bourgeois cooperation agreement. But this, of course, means giving and taking, as long as one party alone does not have a majority. This means making compromises. There's nothing new in this room. We've seen that in the last eight years, when the then government parties had to compromise all along. But what is important is the whole of policy and the direction in which policy is pursued. Then I'm glad that we now have a government that has faith in individuals, and that is also clear that all the challenges in society are not necessarily solved by politicians, but by having faith in individuals. I am also very pleased that the government is ready that it now wants to reduce taxes, make it even more profitable to work, reduce the deduction, remove the inheritance tax, reduce the taxes on wealth, etc. It is a matter of having confidence in the individual, and the role of politicians is to ensure that everyone has a good basic safety net and a fundamental well-being. An example of the fact that tax itself is no longer a measure, but an instrument, is that the government has warned that they want to investigate the famous ROT deduction, which makes it easier for people to clean up their homes in a more reasonable way and at the same time ensure that they get tax credit for it. The effects in Sweden, which introduced this in 2008, are positive. We also see similar schemes being implemented with good luck in Denmark and Finland. The party of progress has fought for this long time. No later than 17 June this year, we proposed this. I'm also happy that we're now choosing to put individual individuals over the systems. I think very many of us remember the heartbreaking story of Harald Vik, who was deaf blind, and who lost his companionship because they chose to put the system over the individual. Now we have a government that is aware that it has faith in the individual, and I also look forward to working with the other parties in the United Kingdom on how we can renew employment policy and make sure that we have a good social policy, which is working to get more groups into the labour market and to modernising working life.
ParlaMint-NO_2013-10-23.ana.ud1862e1296	Norway is the world leader in maritime competence, and it is our innovative solutions that lead Norwegian maritime nutrition to the world summit. The Christian People's Party shares the ambition of the Right-Fremskrit Party government to focus more on knowledge, innovation, research and development. The maritime industry is the industry in Norway with the highest value creation after the oil and gas industry. It employs about 100,000 people and creates values for approx. 150 B.C.E. kr annually. We must continue and further develop the enormous competence and innovation that is in the maritime industry. Being world leaders on the wise minds of this sector gives us the greatest competitive advantage. It gives us a leading role in environment and sustainability, advanced technology and other forward-looking solutions. We are in the front in the case of LNG-powered ships, electric ships, ballast water treatment, new hulls and a number of other solutions. At the same time, Norwegian maritime industries are drivers of environmental requirements and stronger regulations within the IMO and locomotives to cut emissions and attract industry internationally in an even more environmentally friendly and sustainable direction. This has to be continued. If we're going to make it, we're going to have to bet on youth. In this regard, Nor-Shipping has had a great Ocean Talent Camp earlier this year, where between 10,000 and 11,000 high school students were presented with the enormous possibilities of choosing a maritime profession. In addition, we have YoungShip, which has a lot of commitment to increasing the number that chooses the maritime industry as a professional path. YoungShip is an international organisation that started in Norway and is run by fires in the industry. These do an impressive job, but they need us to go with them – that they don't have to pull the load. That's why it's very positive that the government wants to strengthen education in maritime nutrition, because this is important. Maritime nutrition has been down-prioritized. We have textbooks from the 1970s. Unfortunately, the boats from the 1970s have already been scrapped. That is why we must train for the future. We still need to be at the forefront of sustainability and the further development of environmental technologies with a view to further emission reductions. We need to get even more wise heads into the industry and ensure that maritime nutrition enables Norway to maintain its world-leading position in one of the world's most important industries.
ParlaMint-NO_2013-10-23.ana.ud1862e1311	The red-green government was to be the government of Society-Norway, unlike the political forces that now have government power, forces that have market-Norway as their vision. We red-green population representatives experienced eight years with a historically unique increase in real income for many – for strong groups in the world of work almost unreal. Nevertheless, differences in income between people, industries and districts have increased sharply. It's just looking around in everyday life. In my view, the EEA Agreement is the main area of concern that prevented the vision of the Red-Green Government on Cohesion Norway from creating enough enthusiasm in our ranks to win the election. That is why this issue needs to be high on the agenda for this large-scale period. We will also experience great social and political unrest in the euro area, which will, as we have said, reinforce the debate among several professional groups, and the consequences for Norwegian business and employment will be much more serious than what we have experienced so far. Martin Kolberg concluded his speech by saying that the new government had programmed to pursue a policy that would make greater differences among people. Kolberg probably thought the most about the situation of employees. I think of those who work in the necessary professions for the country, who are not mentioned so much, either by professionals or state councils, but who keep Norway going every day. In addition to the life situation of these important people, the Centre Party considers the enormous economic differences resulting from the two-way division of business, where record-breaking activity related to oil and gas is absolutely central. In addition, we also think of the industries and districts that are increasingly characterized by lying in the oil shadow. It can't go on like that. Like Martin Kolberg, I would appeal to inspire and engage people against increasing differences through political debate. But this has to happen by that we, who are the followers of Cohesion Norway, think about what is necessary and unite our forces on some theme that is important to everyone. For the Centre Party, agility, profitable business across the country, proximity to welfare services and resolute meeting with climate challenges are important issues. The Intergovernmental Panel on Climate Change published the fifth main report in the autumn and there is now more scientific evidence that climate problems are man-made than that cigarette smoking is harmful to health. Then we have to correct the market forces. Then we have to be willing to use CO2 tax on what is the problem – the fossil carbon – to strengthen the profitability of the other. There could be one theme on which the people of Cohesion Norway gather.
ParlaMint-NO_2013-10-23.ana.ud1862e1329	As a newly elected Rogaland depositor, there are many things I'm concerned about. Two of these things are higher education and public transport. After eight years of underemployment in universities and colleges, I have expectations that the new government will contribute to a promise for these institutions. The new government has underlined that they will build their policies on knowledge, that they will step up their research efforts and that they will focus on long-term research policy. This promises good for the forthcoming budgetary proceedings. In Rogaland we have one of the so-called new universities: the University of Stavanger. A common feature of the new universities is that they have been underfunded for several years in relation to established universities. It's a historically contingent bias that seems to have been amplified year after year. Let me take a fresh example of a lack of willingness to bet on the new universities. In the government's proposal for a government budget, only 4 out of 60 scholarship positions in biotechnology, mathematics, science and professional science are awarded to the UiS, and these are disciplines in which the UiS is good. I therefore assume that the explicit commitment of the new government to the knowledge society also implies a commitment to the new universities. I also believe that my colleagues on the Rogalands bench and other depositors from other states with new universities are concerned that this historical bias will be corrected in the coming years. The government parties have agreed with the Left that public transport in cities should be strengthened, and I am pleased about that. It is clear from the government's declaration of accession that there is a desire to invest in rail and public transport, both because it will contribute to reducing CO2 emissions and because it would reduce the challenges in the housing market and give cities room for growth. In Northern Ireland, there is a need for a large-scale effort on public transport, both in order to achieve the climate objectives we have set ourselves, and because parts of the area are difficult to access as a result of high levels of private car use. The left has been concerned with the need to increase the state investment grant, and such an increase could provide the basis for a good collective offer in our region. An increase in the state contribution will also allow the region to re-assess the high-value collective services it wants to invest in. I hope that in common we can get this in place, and at least I can guarantee that public transport – alongside a university and higher education profession – is one of the top priorities.
ParlaMint-NO_2013-10-23.ana.ud1862e1349	In the last eight years, there are two words that have been used by people, organisations and other groups out there. It's long-termity and predictability, and there are two words that are actually very important. Around the country, we see that some road sections have been built up as a two-way road. So if we look at NTP, which we all know is a plan where it doesn't come with funds, we have to fight every year to get enough money for different projects. Now it's like starting to build a two-field road where the new government actually wants a four-field road, it doesn't sound good. The road system, which actually investigates different alternatives, says itself that they have only investigated from the frameworks that the red-green government has provided for eight years. This really means that we either get some kind of vacuum or that the project is being postponed indefinitely. This is what the new government wants to do. We can, among other things: change the normal road standard, i.e. lower the threshold for the construction of four fields. We can use more realistic figures for our road construction. As it has been in the last eight years, estimates have neither taken into account one or the other. We can apply state regulation. There are road sections where we see that one municipality fights against the other municipality, where the entry goes out on one side and the other municipality absolutely does not want the road to enter their municipality. We can also lower the number of hearing bodies. Who has not heard of various mosquito colonies or ancient memories that it has taken many years to investigate before an important road has come into place. Time has come to get better and cheaper roads and even faster development. As usual, the outgoing government receives dividends from major companies such as Avinor and NSB every year. There have been criticisms from, for example: Avinor, who is unable to solve the problems that the government has imposed on them. It goes without saying that we should not take the surplus into the state budget, to a state that is already rich enough, but rather allowed the surplus to work in the company, for example. Avinor, so you can get things in place. Avinor, who has monopoly, with the red-green barriers to development. It's time to do something about it.
ParlaMint-NO_2013-10-23.ana.ud1862e1362	I choose to stand down here. We're just celebrating the Supreme Court ruling that the fishing quota should not be forever, with dry fish, so I think the president can be happy that I'm not standing up there. The new government platform provides for moving values and power from people to companies, from small communities to rich municipalities in the east and west. Let me exemplify this from my own part of the country, North Norway. North Norway is rich in resources, and Norway will continue to be increasingly dependent on resources in the north. We have fish, minerals, and we have huge energy resources. But it is not stated that natural resources benefit those who live there. For who is the government that wants to sit in the driver's seat when deciding what to do in the future? The new government will shift control of fishing resources from coastal communities to the stock exchange through extensive privatisation. They will intensify their work on mineral extraction, an industry that offers very little value-added, which can distort traditional industries and future industries. They propose that oil and gas in conflict situations be given priority over other industries, with important exceptions in areas such as either the Christian People's Party or the Left Water through in the cooperation negotiations. Looking at the tip: shall it be the narrow desire of Shell, Smoke and Frederiksen to decide the future of North Norway? Or will the future be shaped by the dreams and the Creator's Throne of the Northern Norse people? The new government platform is setting up a new municipal economy model. Here one suggests that municipalities with head offices and capital owners get even more of the cake. Losers are strokes where large values are created by small communities occupied with fish and agriculture. This will weaken the well-being and construction and, as a consequence, Norwegian value creation in the long term. SV is consistently on the side of the people and the environment. For us, it's obvious: the future depends on us using the whole people, the whole country, in a resilient way. This perspective must permeate everything we do. In Northern Norway, we used the election campaign to show that there is another possibility for development in the region, which will create far more jobs, which will be at the forefront of the Nordic countries, pointing towards a much more exciting future than to turn Northern Norway into a host country. That's what's saying yes to North Norway. This is also an important basis for which I have been selected. I want to increase this mobilisation in the future, especially at a time when the politics of the right-hand side will dominate.
ParlaMint-NO_2013-10-23.ana.ud1862e1377	The president thinks the representative should take up a minority proposal, which is distributed.
ParlaMint-NO_2013-10-23.ana.ud1862e1380	I thought I would mention it in a comment a little later.
ParlaMint-NO_2013-10-23.ana.ud1862e1385	The President perceives that the representative has taken up the proposal he has referred to and has been reminded of, so that's fine.
ParlaMint-NO_2013-10-23.ana.ud1862e1388	Yesterday's debate and today's debate have been a lot about the environment and climate. I think that's good. It is important that today's greatest challenge characterizes the political change of words in this Chamber. During the ageing period, we need to consider what new measures we need to take to contribute to the reduction of global greenhouse gas emissions. In 2015, a new international agreement shall be adopted that will challenge us. Hopefully we'll take a position on Kyoto 2. I'm excited what the Progress Party will do here. We need to follow up and strengthen climate reconciliation, and we need to look at all policy areas against climate action. Yesterday SV promoted a proposal to bring forward a new climate communication. They have received many ironic comments from both the Left and the Right, including from the Prime Minister. It cannot be negative or strange that many of the parties on the Storting are impatient about the climate work. On the contrary, it's important. What's weird is that, for example, The left, which makes itself the big environmental and climate party, which has been involved in setting up the government, takes time in this debate to clarify what the government thinks. That's what I think is special. I hope I heard a mistake when the Prime Minister said today that she could not promise a message during this period. I guess there must have been a speech problem. In the last growing-up period, I was so lucky to be working on development issues. The climate and poverty problem is closely linked. It is the poorest countries that are hardest hit by climate change. I have to say that I think it is inconsequential that the government assumes the 1 pst target for assistance. This target has been important for Norway’s overall effort. The environment is about more than climate. I am concerned that the Storting in this period also raises other environmental issues. The Government Declaration states that biodiversity ‘is best preserved through a combination of sustainable use and voluntary protection’. What does this really mean? Voluntary protection is important and includes, for example: have been used extensively in the field of forest protection. But what does that mean for other environmental types? I believe that we also need to use protection through law and regulation. I'm worried that we can now get a weaker protection. Nor does the government write in their statement what they want. They will review the practice. Then, of course, I wonder what it means in practice to go through the practice. It's going to be interesting to get clarity on this in the future. I think we have had two good days of debate in Stortinget. I hope these can set the standard for further discussions we're going to have in this room. I would also like to make a request that it is allowed to have a good mood.
ParlaMint-NO_2013-10-23.ana.ud1862e1403	Unlike previous speakers, I think that the debate has been quite predictable, with known and dear greetings home as usual as should and should be. That's why I'm going to talk about something completely different. As a member of the Justice Committee for eight years and for four years on the Foreign and Defence Committee, I am proud to have Norwegian democracy as a tool. The one who has impressed me so far in the change of government that has taken place is the retired Prime Minister Jens Stoltenberg. I think the way he handled the election defeat and the transfer of power from him to the current Prime Minister has been exemplary. The behaviour and behaviour of our retired Prime Minister is in stark contrast to the individual members of the Workers' Party, who have obviously been deeply concerned that someone else could at all think of governing the country without having the party book in order. This is directly reprehensible, some would claim. When you think people are so capable that they should continue – because they are so good – you throw overboard the whole basic idea of democracy, the will of the people. Then you can equal it or you can't equal it. As I said, I think what has happened is good, and the outgoing Prime Minister has done a formidable job. There is also a strong contrast in many ways to the posts I heard yesterday from the representative of the Light Hill. When the Light Hill repeatedly goes through the amazing solutions SV has, he has a challenge in my opinion, for the connection to SV the time they have been in government has gone one way. Then there is either something wrong with SV's solutions, or they have the wrong people here. We don't intend to replace the Norwegian people, because they've done an excellent job once again during the election, so it's like SV probably has a bigger problem than that. Then I registered the day after the election that the Center Party is the Center Party, and I think that's good. It's a quality in itself when some people in the Center Party say the day after the election that we're getting a new government, we're briefing on it, and then we're going to join in and find good solutions where it's natural. That's good, because politics is about power, and power is influence, and then you have to look for the possibilities that exist. I have heard that much of the debate here has gone on: What about the Progress Party – you have promised and promised and promised, and then you may not be able to deliver? To those who are concerned about us, I would say the following: Our concern may not be the greatest in this room, it may be the most applicable to our voters, who have great expectations that we will settle with all that we have pointed out for 40 years now. And we're going to do that, but we're going to do it through a reality check, which some people had to do yesterday: the fact that the Progress Party got 16.3 pst. breakout at last option. We would've wanted fifty point something, we didn't get that. We're not going to replace the people for that reason. We're going to deal with the fact that we're part of a minority government. We're going to fight for our business and contribute to the best for most people, and we're going to succeed.
ParlaMint-NO_2013-10-23.ana.ud1862e1418	We've just started a new expansion period. Through small and large cases, we will spend the next four years making Norway a better country to live in. But what's going to be written in the history books about this Greatness? What is that story going to judge us by? I don't think it's going to be what prohibitions we remove, or what we do with the property tax. I think it's about how we solve the major global challenges. One billion people live in starvation. We can't say it's none of our business. The red-green government was able to achieve the goal of 1 pst. in aid, and it is sad that the blue-blue government has chosen to go away from that ambition. Obviously, it's not the percentage in itself that's the target, but the percentage has made it possible for us to increase our contribution to the world's poorest every year. We need more, no less, assistance. If the Right Party and the Advance Party follow up what they have said in the Storting, it means cut in the billions class. Cut billions into the world's poorest, to spend it on tax cuts for Norway's richest – it won't be more unfair than that. We cannot fight poverty without simultaneously resolving the climate crisis, because these crises are linked, and together they are the greatest challenge of our time. We in the Workers' Party are proud of what we have done in the climate issue, including: through two climate settlements in Stortinget. But no government can say that you've done enough for climate, because the challenge is so big. That's why we in the Workers' Party want to improve and strengthen what we've done in government – now from the opposition – both what we're going to do in the world and what we're going to do here at home. In the era of the throne, the red-green government at the very beginning affirmed that this is our main challenge – in great contrast to the blue-blue government statement, because in the government's eight challenges to themselves, climate challenge was not 1, it was not among the challenges at all. This, combined with the fact that we have received ministers who have said in the past that the climate crisis is almost a socialist idea of having a reason to introduce taxes and taxes in Norway, worries us about the government's overall efforts for climate and environment. But it is when the policy is put forward that the government must show that it is still delivering. From the Labour Party, we promise to be a constructive opposition to climate and environmental issues, to help improve climate reconciliation. But we also promise to be an impatient opposition, because we do not have time to wait – and more important than that: the climate of the globe does not have time for us to wait.
