ParlaMint-NO_2013-04-10.ana.ud394e26	The representative, Dagrun Eriksen, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e798	The problem is that not everything is on data now. We carry out the largest ICT modernisation in Velferds-Norway in connection with ICT Nav, and that is why we see this in the context of the implementation of the new ICT system. What is important is that all letters should be signed by the case handler, and there should also be the correct telephone number in the letter’s footer. I can't time precisely when all the changes are going to be implemented, but we see this in the context of getting everything on data now.
ParlaMint-NO_2013-04-10.ana.ud394e809	My question goes to the Minister for Transport: ‘Forest industry in Norway estimates by air due to a generally high cost level. In addition, when Norwegian transport costs and regulation impose additional additional costs on industry, the situation becomes dramatic. In November last year, the Council of State wrote that we are now proposing an increase in the maximum length of timber trains from 22 to 24 metres and are considering proposing an increase in the total weight of 60 tonnes. Since then, nothing has happened. This concerns the extra costs in the hundreds of millions of people each year. Why such insidiousness?'
ParlaMint-NO_2013-04-10.ana.ud394e818	The Government is committed to facilitating good competitive conditions for the forest industry. As soon as possible, the Directorate of Road has been asked to provide the assessment of the increased length of the timber train from 22 to 24 metres and a trailer weight from 30 to 32 tonnes on the timber train in particular. The draft regulation has now been finalised, and one from the Ministry of Transport has asked the Directorate of Road to establish and implement the amending provisions on increased length and trailer weight immediately. However, I stress that this increase is conditional on current timber road sections tolerating the increased length and weight. Therefore, the type of transport on specified national road sections is initially opened, but we have requested from the Ministry of Transport that the county roads that have been considered for increased length should be adjusted as soon as possible in the road maps. Then the Road Directorate has also been asked by us to ask the county councils that county road sections that will be applicable to 24 metres long wooden car trains are mapped and assessed as soon as possible. It is the veggiery who is responsible for it. With regard to the issue of introducing 60 tonnes of total weight in timber transport, both the Ministry of Transport and the Directorate of Road Transport have been clear to the industry that we are positive in carrying out the consultation of this type of regulatory proposal. However, the introduction of an increased total weight depends on the fact that several elements are in place. The road safety element in a broad sense must preface a change, and it requires that we have sufficient knowledge of the endurance of bridges and other bottlenecks on those parts of the county road network where the total weight increase is desirable. Such monitoring must be carried out in close cooperation with the industry and with the counties as vegetarians. In any case, I can assure you that, like the industry, I am concerned that this work will be done as soon as possible.
ParlaMint-NO_2013-04-10.ana.ud394e829	I am a little surprised when you talk about developing a good competitive environment. This isn't a new situation, it's been going on for years. It's not a length of transport – 24 meters will mean a little for carriers in the case of fines, which you are very active in applying by day, for lengths of timber mean you have to break 22 meters – which means something about transport costs, that's total weight. So that's what we're going to hear. I want to draw the attention of the Council of State to the fact that there was quite a high and dark state in 2005 when the Union was adopted. There was an adjustment within the group of Norwegian Forest, and a development of Norwegian Forest. Now you're faced with the fact that a whole value chain is on the move to disappear from Norway. There is evidence of much higher costs in Norway. Sweden is now experimenting with 70 tonnes of total weight – 90 tonnes of total weight in northern Sweden. So once again, I want to ask the Council of State, is it not any more urgent? We're now working overtime.
ParlaMint-NO_2013-04-10.ana.ud394e838	As I said, the government is committed to facilitating good competition conditions for the forest industry, and we are aware of the demanding challenges we face. Now it seems that the representative may not be so busy with 24 meters anymore, but it was now part of the question asked by the representative. It is now implemented with immediate effect. In the case of 60 tonnes, there is a more demanding and slightly more complicated question, especially with regard to the county road network. That's why we need to carry out the consultation on that proposal in a slightly wider way than what we've done in terms of 24 meters and what we've had the opportunity to do there. That means it takes a little longer, and that also means there are some more difficult balances, especially with regard to what the county road network can withstand, and also to what bridges can withstand in terms of the total weight of 60 tons.
ParlaMint-NO_2013-04-10.ana.ud394e847	I would like to correct: I am very busy with 24 meters, and would like to congratulate the Council of State on that. But it's kind of strange that you've been in government for eight years and you haven't done anything about it before. That's what was my point. Bottlenecks are a very familiar problem. It is clear that it must be sound on the basis of road standards. But when you had the Union situation in 2005, you were pretty tall and dark, and you've had eight years to look at it. The value chain in forests is quite clear – timber must be mowed, timber transported, it must be processed in Norway, and it must be sold in the international market with international competition. When we have such a high cost level as we have in Norway, and in addition have significant disadvantages at all levels, it should be reasonably obvious to the government that things have to be speeded up here. I heard the Council of State say that, among other things, would be the immediate realignment of weight limits. What's in that? Today, 1 May is the limit, as far as I know. Would it be an immediate upgrading?
ParlaMint-NO_2013-04-10.ana.ud394e856	To take the last one first: yes, in the case of national road sections, it will be – even in the case of some county road sections. However, it is clear that we need to have contact with the county municipality as a vegetarian and request that they also contribute to adjusting the road maps of the county road sections concerned, where appropriate. It's because it's going to go pretty fast. In the case of 60 tons, it's a difficult balance, and I understand the needs of the forest industry. But it is clear that, as the Council of State, one must also take some account of the professional advice that comes from the Directorate of Roads. That means that this case is not quite simple. Suffering if it is now at the hearing and we provide that hearing, I cannot foreshadow what is going to be the result of such a case, because there are also professional arguments from the traffic authorities that a state council must take into account.
ParlaMint-NO_2013-04-10.ana.ud394e867	‘On 28 February 2013, a tragic traffic accident occurred in which two persons lost their lives at Ådland Bru on E39 on Stord. The facts show that the route at Ådland Bru is a dangerous route with many serious accidents between March 2000 and March 2013. To the Official Journal of Bergen on 21 March, a representative of the State Road Administration says: "Today we would never build a crossroads at the end of a hillside and on a bridge." What operational measures and measures are being put in place to ensure that several accidents occur in Åland, and how does the State Road Service generally follow up dangerous road sections?’»
ParlaMint-NO_2013-04-10.ana.ud394e874	As the representative underlines, this was a tragic accident, and E39 over Stord has been an accident-related stretch in recent years. In view of this, an analysis was carried out for the entire route from Stordabrua to Sandvikvåg in 2011 and a number of immediate measures were proposed and implemented, such as the identification of background markings, the setting of speed display boards, road lighting, spacefield and reduced speed limit on several of the routes in the area. The speed limit beyond the actual accident site in Åland Bru is today 70 km / h. In the light of the latest accidents, the State Road Administration is now working on a separate report which will assess several measures. These are measures such as minor adjustments to cross/geometry and plate regulation, with perhaps even more focus on speed limit and on the issue of visibility improvements on the routes. Furthermore, operational measures, perhaps in particular winter operations, will be addressed in this report and will serve as a basis for further action. The report will be finalised during April, and one will then come back to the concrete actions that will be implemented. In general, the State Road Administration monitors the accident situation on the road network by means of its accident register via municipal road safety plans and by public input. There are several unannounced sections in the West Region where this type of analytical report has been prepared or is being prepared. These reports form the basis for concrete proposals for immediate action on the various routes. Then it is that the knowledge that provides in-depth analysis of accidents and accident-prone distances also provides the basis for guidance for the design of new road systems in themselves. The professional and thorough approach one has taken to this in recent years is some of the explanation of the decline in the number of fatalities and injuries.
ParlaMint-NO_2013-04-10.ana.ud394e885	Thanks for the answer. Concrete to E39 at Stord: I hope that action will be taken quickly. The monitoring is a reason for asking questions. Tuesday evening, 2 April this year, a Swedish trailer driver lost his life after an excursion on the E16 between Voss and Vinje. There's a sad similarity between these two events. Both fatal accidents occur on the European road in Hordaland, and both occur at the same point, where a number of accidents — including fatal accidents — have occurred over several years. Both sites remain without effective security measures from the State Road Administration. About the accident site on Voss last Tuesday, the Swedish Road Administration representative informed on TV 2 days later, i.e. on 3 April, that measures had been assessed, but were found to be too expensive. That is why I repeat the question: how does the state road system in general follow up dangerous road sections, especially dangerous places on the main road network — especially the European road network?
ParlaMint-NO_2013-04-10.ana.ud394e896	As I tried to say in my reply, in the State Road Service there is a thorough analysis of accidents occurring, and these analyses are the starting point for action taken, both immediate and more comprehensive measures relating to longer road sections and, in general, to the design of new road installations when new roads are being built. While it is clear that it is part of the important road safety work, it is not only that it contributes to the reduction of accidents, and it may at least be some of the explanation that one can manage both to repair routes and to design new road installations in a better way than one might have done in previous years.
ParlaMint-NO_2013-04-10.ana.ud394e903	In the case of E16 between Voss and Vinje, where the last fatal accident occurred, consumer representatives say, among others. Truck owners-Association, accidents here are really just something we're going to wait for. Not only do we wait for measures from the State Road Service, but it is actually the case that users are being intimidated and waiting for new fatal accidents. The government has set up roadside supervision under the State Road Administration – we believe that this is a poor solution, but it is a better solution than not having roadside supervision. It is now important that supervision comes on the road – it may be more appropriate to say ‘on the road’ in this context – because it must and should be an important task, in the view of the Progress Party, that roadside supervision, even localised on Voss, should be included in the most at risk of accidents. I ask concretely: will the Road Safety Authority supervise particularly accident-prone road sections, especially on the European road network? And: Will the Road Safety Authority have sanctions when accident points are not improved by the Road Safety Authority itself, the State, at the State Road Service?
ParlaMint-NO_2013-04-10.ana.ud394e910	The division of labour concluded between the State Road Administration and the Road Safety Authority shall be situated there and the role of road safety as supervision shall be further developed. It is important that the Road Safety Authority should be able to monitor that the trade unions do the job they are going to do. Whether or not to have a more maritime role in following the individual routes is a question we may need to get back to. I'm more uncertain about that. But I have to say that I see the work done by the State Road Administration in general – and I respond on a general basis – in terms of analyses related to both accidents and prevention work, has become very good in recent years and must also be a good starting point for further work. It is necessary to provide a basis for new road installations when they are being built and to ensure better operation and maintenance on sections which are known to be heavily damaged.
ParlaMint-NO_2013-04-10.ana.ud394e919	Then my question has also been answered far on the way, but I'm going to ask it anyway: «Once again, we have received the tragic message that a train has driven off the road and that a person has lost his life on the narrow and unwieldy stretch of E16 between Voss and the County border of Sogn and Fjordane. There have been several such events in winter, as there have also been previous winters. The distance is far from the European road standard, narrow, inconspicuous and fluctuating, and therefore particularly challenging for large vehicles, especially in winter driving. Will the Council of State take a closer look at this route and take immediate action?’
ParlaMint-NO_2013-04-10.ana.ud394e928	In recent years, several measures have been implemented on this route. Retreaders and edge-enhancing measures have been set up, a chain space has been completed, the speed limit has been reduced in several places, and minor measures have been taken, especially in the area of Sundve School. In addition, ice protection and race protection have been carried out. The contractor has a focus on particularly vulnerable routes and accident points. The concrete accident site between Vinje and Sundve has been marked as a special accident site since the previous accident, and the turn is marked much more clearly. Racket works have been reinforced as much as possible in relation to the foundation of the road. What is needed to improve the visibility of the oscillation at the point of accident has also been investigated. The representative requests immediate action after the accident last week. I can inform you that the Swedish Road Administration has started a process of inspection of the route between Skulestadmo and Oppheim for traffic safety, similar to that carried out on the E16 west of Voss. This involves prioritising relevant points, identifying actions that maximise their short-term impact, calculating and prioritising the actions, financing and carrying out the selected actions. Here, as in the past, it would be natural to cooperate with representatives from the municipality, the police and the LVU in their work. Once the measures have been finalised, they will be implemented on an agreed basis.
ParlaMint-NO_2013-04-10.ana.ud394e937	But still, the road is so dangerous that children who live only 300 meters away from school are entitled to school kisses. What does the Council of State think about is that the E16 in Hordaland/Sogn and Fjordane are now being repaired, and in fact it has been repaired on both sides of this route – from Voss and northward, even up to the four-field road at a speed of 90 km/h – while you have to have some life-threatening kilometers where there is only a one-field road. It is then a bottleneck, of course, and it is a crown example of climbing. And so is it that 3,000 recreational homes are planned in this area, which are going to reinforce this situation. Is it possible for the Council of State to bring about a small leakage today as well – it is time for now – if you want to carry out the improvements of this route?
ParlaMint-NO_2013-04-10.ana.ud394e948	In general, it is possible to say that E16 is one of the most important trajectories as a link between parts of the country and also within a region. So it's clear that it's a stretch that's important, and it's important that it gets a standard everywhere that makes it roadworthy and good to drive on. As regards this route and the longer-term measures that may be proposed, I must be allowed to come back to it when NTP is submitted on Friday.
ParlaMint-NO_2013-04-10.ana.ud394e955	Thank you for that. I think that will delight the 350 concerned people who met at a public meeting earlier this winter. So after that, the new accident has happened. I want to address a topic that was raised in the previous question, namely this by opening regulatory proceedings. Now both the Transport Workers' Association and the lorry drivers believe that this should be done on this route. It may be interesting in this context — since this supervision is so fresh — to get the views of the Council of State, from a political point of view, on whether this is a matter that she believes qualifies for the opening of supervisory proceedings. I ask the question both specifically for this project and on a general basis since this is a quite new scheme for us.
ParlaMint-NO_2013-04-10.ana.ud394e962	To that question, I have to answer on a slightly general basis. This is a question that has not been addressed or assessed by one of the departments. In general, however, it is the different supervisory bodies that decide whether or not to open regulatory cases to agencies, and it is usually the case that neither politically nor by the Department otherwise signals that kind of thing. It will be the supervision of the sea that decides. At least there is a general rule for all other supervision. I expect – without being able to answer it specifically – that this also applies to the Road Safety Authority.
ParlaMint-NO_2013-04-10.ana.ud394e971	I would like to ask the Minister for Agriculture and Food the following questions: ‘Investigations by the Agriculture Fire Protection Committee show that approx. 70 pst. by agricultural fires due to faults on the electrical system. How does the Council of State see that we can reduce the number of fires in agriculture, fires that often have very tragic consequences?’
ParlaMint-NO_2013-04-10.ana.ud394e980	There is no doubt that agricultural fires are serious and lead to severe loss of animal life and material damage. The agricultural industry has developed its own quality system, KSL. The system covers all types of food production on Norwegian farms and imposes requirements on how to carry out production and what to document. The system includes annual internal audits and external audits of a certain percentage of all farms. 99.66 pst. of Norwegian farms have self-audit systems. HMS is part of the KSL system and includes, inter alia: electrical control and warning instructions. It is important for me to stress that it is the farmer himself, as a self-employed person, and the individual undertaking responsible for ensuring the operation against fire and implementing fire prevention measures. The follow-up to the KSL system suggests that the farmer takes this responsibility seriously. In agricultural buildings where animals are present, fire prevention is particularly important, as evacuation of panic stricken animals is arduous to deal with. Animal husbandry legislation has laid down building requirements to help prevent fire, prevent the spread of fire to animal spaces and to ensure a certain possibility of animal evacuation. It is also recommended that emergency plans be drawn up for each individual use and fire drills should be carried out. Studies carried out by the Agriculture Fire Protection Committee show that fire alarm systems halve the risk of total damage at the time of fire. Appropriate and approved fire alarm systems are required in livestock buildings with herds over a certain size. Norway has the world’s highest coverage of fire alarm systems in livestock buildings. The insurance industry considers the improvement of electricity controls as an important measure to prevent fire in agricultural buildings and discounts are given in the insurance premium if the farmer carries out regular electricity checks. The insurance industry also participates in the Agricultural Fire Protection Committee, where the reduction of flammable faults in electrical installations is a priority area. Although the last responsibility lies with the farmer himself, I consider it important that the authorities also contribute to the fire prevention work. Through the agricultural agreement, annual funds are allocated to the Agricultural HMS service – 14 million. kr for 2013. They offer, inter alia: course in fire prevention and fire protection. In 2012, the National Agricultural Safety and Health Campaign was launched. Fire and fire safety are the central theme of the campaign, and I have great hope that it will contribute to increased knowledge and awareness of fire protection. I believe it is important that more actors work together to find measures that can reduce the number of fires in agriculture. The National Agricultural HMS Cooperation Forum, which I lead, has met twice a year since its inception in 2010, most recently last week. The Forum has a broad representation of both industry and private and public actors, including the Agricultural Fire Protection Committee and the insurance industry. At these meetings we are regularly kept informed about developments in this area.
ParlaMint-NO_2013-04-10.ana.ud394e999	I thank the Council of State for the answer. I might be a little disappointed that he's not looking forward. I have raised similar questions in the past, both with the previous Minister of Agriculture and before that as well. There really hasn't happened anything, I think. One has promised to look at the matter, but there are still many fires with many animal diseases and financial losses. If I remember correctly, it burned from 2006 to 2011 for over 2 billion. kr. There is a great economy in this too – so that we could save both animal diseases and the economy. I believe that for some of the farmers who experience losing their crew in fire – let's say that, for example. 400 pigs burn up – it is clear that it does something to those who run the farm as well. Therefore, I had hoped that the Council of State could be a little more specific about how the Council of State sees it that we can reduce the number of fires in agriculture.
ParlaMint-NO_2013-04-10.ana.ud394e1006	This is a complex problem, but in many cases faults in electrical installations have been one of the explanations of tragic fires in livestock buildings and other types of agricultural buildings. When we are going to go further in reducing fires – in addition to what has already been done, not least in terms of agricultural quality assurance and that we now have a completely different attitude to having approved fire protection systems in Norwegian construction – we need to look at whether improvements can be made in the control systems for power plants, which I think can be among the most relevant measures to assess.
ParlaMint-NO_2013-04-10.ana.ud394e1013	I thank the Council of State for the answer. There is no doubt that in most fires – up to approx. 70 pst. – then there is the electrical system there is something wrong with, and that triggers a fire. There is also no doubt that the individual farmer is responsible for this, but the individual farmer is not trained as an electrician. At least there are very few electricians who are farmers, to say it like that. That's why there have to be some specific issues, and I think that more frequent controls are at least one of them. We can't go on with as big animals as the ones we have a day, and that's not a few. That is why I want the Council of State to be strong here and make demands that individual farmers can make – within reasonable limits.
ParlaMint-NO_2013-04-10.ana.ud394e1022	Changes are being made to the regulations on the keeping of cattle, pigs, chickens and turkeys, horses, and changes to the regulation on the welfare of small ruminants are also being made, so it is a quite wide range. One of the measures that should be discussed is whether we can make changes in the setting of requirements for control officers to check the electricity plants in Norwegian livestock buildings. Then we are at the top of the world with regard to the number of livestock buildings that have warning systems, and there are strict requirements for this, because we are all very concerned that we should have the least possible fires with tragic results.
ParlaMint-NO_2013-04-10.ana.ud394e1031	«In a longer series of articles, the Official Journal of the European Communities has revealed what appears to be a systematic distribution of funds to equivalent cultural institutions in favour of institutions in Oslo. So far, the Council of State has not wanted to answer questions from the paper on this issue, despite the fact that the theme is, in principle, important for understanding national cultural policy. Can the Council of State justify the discrimination detected, in particular with regard to national orchestras and theatres and investments in museum buildings?’
ParlaMint-NO_2013-04-10.ana.ud394e1038	I thank you for the question from the representative of Warloe. I'm a little hoarse, but I think I'll be able to make myself understood. Different numbers show different shades. Warloe and I can find out that the discussion about these things is interesting, but I don't think we're going to meet the premises that he's going into this debate with. Divide the cultural resources by a model where everyone gets the same number of dollars per head, doesn't give a fair or equivalent cultural policy. A government needs to increase its height for the different needs of the entire country. If we are to stop assessing local needs and start allocating the same number of dollars per capita, regardless of the ratio, then we have abolished cultural policy. At the same time, the debate that has gone on has not only been about dollars per head. In the series of articles to which Warloe refers, one also compares the operating preferences of different institutions in Bergen and Oslo. There are examples of institutions in Oslo that get more than institutions in Bergen. Conversely, there are also measures in Bergen that take more than measures in Oslo. Not all theatres, museums or festivals should have the same state preference because they are in the same budget line. Such a cultural policy would provide little opportunity to adapt the instruments of action to their needs. All institutions and all measures are different, and they must be treated individually. It's a fairly widespread perception around the world that some national functions are added to a capital. The contributions of the individual museums, orchestras and theatres must be evaluated in a concrete way. These may be prosaic but necessary expenditures such as rents and pensions. We also look at what institutions want and need, and we look at how well they manage the funds. We also look at the needs of the cultural field in a health club. Warloe bases his question on the importance of understanding national cultural policies as a matter of principle. I agree with that. The principle may not be the same number of dollars per head at all locations, or the same amount of operating grants to institutions at the same budget line. I'm sure no one, nor Bergen, would be interested in looking at such a cultural policy in practice. Our government wants the cultural resources to benefit the whole country. Then we have to balance our needs towards each other in a thoughtful and nuanced way. Warloe suggests that I have not wanted to take this debate. There's probably some kind of misinterpretation. It has been important for me to provide good service to Bergen's Official Journal within the deadlines that the newspaper itself has seen for the series of articles that the newspaper has wanted to run. I think it's great that we have newspaper editorials and cultural editorials that give priority to asking detailed questions about cultural policy, and I'm busy getting answers within the deadlines that they themselves have seen. That's why the Secretary of State has responded on my behalf. But the positions that are our target children are the same as mine, and I have also participated in this debate in other arenas than in the Official Journal of Bergen, and now the last days in the Official Journal of Bergen.
ParlaMint-NO_2013-04-10.ana.ud394e1057	I thank the Council of State for the answer. I'm aware that she's been on the track for the last few days, and that's very positive. I fully agree with the Council of State that one should not operate with millimetres of justice or distribute crowns exactly the same. But it is the Council of State itself who has said that the opposite, that is to say, making quality criteria so that you can actually get an objective, comprehensive assessment of institutions and what they perform, is terribly difficult. Then I'm very uncertain about what is the state's policy in this area. The Council of State also stated that it was natural for national institutions to be added to the capital. In fact, I fully agree with that. But the reverse is very unfortunate – if institutions located in the capital are considered national and thus receive a special treatment in addition to objective quality criteria, it is therefore distorted. So the state has made massive investments in recent years and is still going to do so in the capital, and new so-called national institutions are being set up in Oslo. Does the Council of State see this creating an ever-increasing bias in this balance between the capital and the rest of the country?
ParlaMint-NO_2013-04-10.ana.ud394e1066	The representative Warloe says he has the impression that the Ministry of Culture is not interested in developing the quality criterion, or that it is very difficult. It is important for me to stress that having good quality indicators is an important work. The Enger selection, which I myself have put down to get critical input into how our work can be best suited to cultural life throughout the country, has also pointed out that the quality discussion must be given priority in the future. There is also one of the hindrances that we have already taken the initiative to start developing that kind of assessment, among other things. We evaluate three theatres, not only the National Theatre, but also Sogn and Fjordane Theatre and Rogaland Theatre, with the aim of developing quality indicators that are emerging in the cultural field as well. But when we evaluate the applications we get, we evaluate them in a very concrete way. We evaluate them on the basis of their reports on how money has been spent before, what ambitions they have in the future, the use of resources and the work of the public. It is clear that the sum of it also says something about the quality of the institution.
ParlaMint-NO_2013-04-10.ana.ud394e1071	One thing is the state cultural policy and the assessment of how state resources are distributed. Another thing is national cultural policy — how will Norway develop as a cultural nation? Norway is a small country. Two thirds of all professional artists in Norway live and work in Oslo. Here are the great classical and heavy institutions, and here is the weight of culture in Norway. I think it's important for Norway as a cultural nation that there's another centre of gravity also somewhere else. This can't be achieved anywhere, but in Norway's oldest city of culture – if I'm allowed to use that term – there are ambitions, and there are, therefore, centres of gravity that keep a relevant level of quality in international context. The mountains have international ambitions as a cultural city. Will the Council of State suggest that this could be a debate in national cultural policy, and what role should a city like Bergen have for Norway, not just for Bergen?
ParlaMint-NO_2013-04-10.ana.ud394e1078	The answer to that is yes. Now we're developing the next big cultural promise, and as part of that work, I'm going to travel to absolutely every state to get recordings and assessments from every part of cultural life on what's going to be the elements of the next big cultural promise. I'm coming to Bergen on May 23rd. I expect to be challenged and get good impressions from Bergen's cultural life, and that they have a good, well-thought-out view of how Bergen as a city of culture can be seen even more on the map. Mountain is a unique city in many ways. The mountain is also unique in the sense that it is the only city in Norway in addition to the capital that houses national institutions. It also says something about the cultural power of Bergen, and the heavy history that one has in Bergen with a stake in different cultural areas says that Bergen also has a great potential in the future. But it is also important to me that we manage to lift all parts of the country, so that different parts of the country can challenge each other. In this way, we can also develop the quality of culture in all parts of our country.
ParlaMint-NO_2013-04-10.ana.ud394e1083	We thank the Council of State for coming to Stortinget and giving priority to Stortinget even though she had his voice. Good recovery! Case No. So 2 is done.
ParlaMint-NO_2013-04-10.ana.ud394e1098	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
