ParlaMint-NO_2013-11-20.ana.ud2544e26	The called alternate of the Eastfold County, Wenche Olsen, has taken the seat.
ParlaMint-NO_2013-11-20.ana.ud2544e860	What we've been concerned about here, and what was the premise for this question, is related to child disappearances and also child abuse. There is also a clear role for the Ministry of Foreign Affairs in the follow-up to the action plan. With regard to wider issues of immigration policy and the treatment of single minor asylum seekers, it is a responsibility under the Ministry of Justice. But when it comes to values, treating children with dignity, and giving children proper treatment in Norway, I share the representative’s value base.
ParlaMint-NO_2013-11-20.ana.ud2544e873	Especially as a fisherman, I would like to welcome the Council of State to Stortinget and wish you the best of luck with the job and tasks! ‘Fischers and the fishing industry are increasingly recording that the king crab in the quota area, from North Cape and eastwards, has too little meat fill to achieve maximum quality and selling price. Does the Council agree with the fishermen’s claims that there is too little food and digestion from the royal crab that poses these problems for this new species, and does the Council see other solutions to this mentioned and growing problem than the increase in the total quota?’
ParlaMint-NO_2013-11-20.ana.ud2544e882	I would like to thank Mr Ingreichsen for his warm welcome. The king crab’s entrance into Norwegian sea areas has been both fun and troublesome. It has been demonstrated that the royal crab has significant effects on the bottom fauna, especially in areas of high density. Deforestation is likely to result in a reduction in stocks over time; this is the classic development when a new species establishes itself in areas with good nutritional access during the start-up phase. Gradually, a balance between food availability and stock size is likely to be established. According to the Marine Research Institute, however, there is little evidence that the crab’s meat fill has changed since the population became numerous in East Finland. A study from 2002/2003 showed that the average filling rate varied widely throughout the year, which at the time was hardly driven by the available industry. The variation may be density-dependent to some extent, but also related to the crab’s shell change. The King crab seems to be very adaptable and feeds on what is available. Gastro-intestinal studies indicate that large crabs are increasingly also eating small royal crabs. This may help to maintain the condition of the crab, but will also contribute to a decline in population size. Last year's quota of king crabs east of North Cape has been raised, taking into account the size of the catchable part of the population — that is, individuals above the minimum. The quotas have been so high that the crabs have been harvested mainly continuously, as they have grown above the minimum. Setting allowances higher than that available from catchable crabs has little to do. In 201l, the minimum size of royal crabs was reduced from 137 to 130 mm shield length. As a result, a greater proportion of the total population is now included in what is defined as a catchable stock. It is the youngest classes of the year – i.e. small crabs under the minimum measure – that are the most numerous. A significant increase in the total quota requires a further minimum reduction as long as recruitment is reasonably stable. However, small crabs have a much lower selling price than large royal crabs, which must also be taken into account when assessing profitability. The annual total quotas of royal crabs are fixed and the minimum level is also assessed annually. The year of regulation of royal crabs runs from 1 August to 31 July. The Marine Research Institute will present a new stock report with recommendations in December and the Ministry will be able to decide in the new year on the size of the total quota and the minimum target for royal crabs in the coming regulatory year.
ParlaMint-NO_2013-11-20.ana.ud2544e897	Thanks for the answer. During last year's king crab fishing we caught on my boat approx. 12 tons to get 2.3 tons. The rest we raised overboard because it wasn't good enough meat filling and quality. This is the clear view of the fishermen and the fishing industry, which we are aware of the fact that the marine research institute does not share. The King crab does not jump between Norway and Russia, it is only in our Norwegian zone. Is the Council of State open to a system or system which is also heard and which takes into account the observations made by fishermen in the sea when fixing quotas?
ParlaMint-NO_2013-11-20.ana.ud2544e906	Yes, in terms of this species, we will also listen to the recordings that come from the fishermen. I want to emphasize that we in the government platform have said that we want to introduce free capture of king crabs outside the commercial zone. In the last two years, we have managed to achieve a more targeted capture of king crabs in the areas west of North Cape, among others. through the lease-in of catching vessels and through the price premium for female crabs and small crabs. According to the Marine Research Institute, free fishing has helped to limit the spread. So I want to say that it's now important that we evaluate the king crab management. The Directorate of Fisheries has conducted a hearing earlier this year and will carry out a thorough review of the experience so far gained with the Institute of Marine Research. That evaluation will be completed well before the next season, starting on 1 August 2014.
ParlaMint-NO_2013-11-20.ana.ud2544e915	High-cost Norway exports live royal crabs, air cargo to highly paid markets in Asia. How can and will the Council of State organise the capture so that the industry can continue to export such a resource, which helps to place seafood as the second largest export industry in the country?
ParlaMint-NO_2013-11-20.ana.ud2544e920	Let there be no doubt that this government has great ambitions on behalf of the marine food industry and wants to increase value creation. In the further work we are going to be looking at regulation and what kind of fishing arrangements we are going to have for this crab, this will be part of our assessments, how we for this fisheries can contribute to increased value creation and, of course, could also increase exports.
ParlaMint-NO_2013-11-20.ana.ud2544e929	‘Linefanga fish have challenged better quality and offer better prices in the market. This is supported, among other things. of research from Nofima. Based on the market situation and the high costs of line operation, the Stoltenberg government proposed to reintroduce the linear approach by 18 million. kr, to stimulate more line caught fish of the best quality. The government is now proposing to remove this suggestion. Why won't the government support this quality promotion?'
ParlaMint-NO_2013-11-20.ana.ud2544e936	The new government is definitely concerned with measures that can improve the quality of all fish landed in Norway. The Lineage Grant was a scheme concluded in 2004. I see it as the lineage supplement is a operating grant for a specific tool that can give unfortunate incentives to a part of the industry. Such a grant may prevent the necessary awareness of the management of catches in general by not altering the underlying factors affecting the profitability and quality of the industry. Quality work is about how fish are treated en route from the sea to the consumer, where all joints must take their share of the responsibility for maintaining quality. The lineage premium was in due course replaced by an Agnquota scheme to ensure the cheapest possible bait for fishermen. This year, the Agnquota scheme represents a cost saving for fishermen of approx. 15.5 million. kr. In previous evaluations carried out on behalf of the Ministry of Fisheries and Coastal Affairs, the socio-economic impact of the allocation of own quantities of bait quotas in relation to a linearity grant is assessed to be the same. The difference is that in one scheme, funds are taken from the State budget. In the second, the economic operators themselves contribute to the scheme. If we are to stimulate more line-based fish, I think it is more right to stick to the bait quota system than to reintroduce a subsidy scheme that will present both administrative and control challenges by implementing and controlling it.
ParlaMint-NO_2013-11-20.ana.ud2544e949	I thank you for the answer, but I'm left with the impression that on the rhetorical altar the quality is to be sacrificed. That quality fish is not always paid as a quality fish is a familiar thing. That the liner, which deliberately delivers the best quality, wears heavily financially, that e.g. Norway Seafoods has begun to say no to net fishing because of poor quality, and that Norwegian fish abroad have had a bad reputation in part, the Minister for Fisheries should take over and not devalue. The answer is to cut market measures to produce Norwegian fish abroad and among others. remove this linear gradient. A higher agent quota system, as I understood the budget, shall not be replaced. So I ask again: What kind of measures does the Minister intend to come with to promote quality, at the best for the Norwegian consumer as well as for the rest of the world?
ParlaMint-NO_2013-11-20.ana.ud2544e956	Much is being done in this area to increase the quality of the fish landed, including at the following stages, on the way out to countries in the distant world and to all consumers who currently eat Norwegian fish. I want to challenge the opposition and the representative Heggø in this way: if this grant was so important, one might wonder that the Stoltenberg government has been sitting for eight years and failed to introduce it. Then I also want to add that I have just visited Nofima, to which the Council of State referred in its question. It turns out that for all types of fishing gear, whether by trawl, trawl or other gear, there is indeed a clear potential for improvement in how to handle the fish before it is landed in the boat. So here we need to have a broad approach and not focus on one tool in particular.
ParlaMint-NO_2013-11-20.ana.ud2544e965	We have to stick to the representative Heggø.
ParlaMint-NO_2013-11-20.ana.ud2544e971	I understand that the minister would like to return as a magnificent representative, since she called me the Council of State. I thank you for that. But I'm not, because that's what you are. But I would also like to remind the Minister for Fisheries that it was Right Svein Ludvigsen who took away the linear edge. And it's kind of strange to be sorry about Stoltenberg because he didn't reintroduce what Right himself took away. The crisis packages of the various industries that the Stoltenberg government has come with have come in just in time and in the right amount. It shows history. Now the market situation is critical in whitefish and in line fishing in particular, and therefore we have come up with proposals to reintroduce the linear approach. But does the Minister for Fisheries not see the need for short-term measures to promote quality? Is it just a long term look at this?
ParlaMint-NO_2013-11-20.ana.ud2544e980	The representative of Heggø indicated that it was Svein Ludvigsen and the Bondevik II Government that removed this grant. This was done in the sense that we wanted the fishing industry to be a non-subsidized industry. We also believe that the industry has all the conditions to stand on its own. That is why we would rather focus resources on research actions, and then we have retained some kind of action within the proposed budget to help us get the fish allocated, that it is possible for the smallest fleet to deliver. So when it comes to quality, it's all about how to deal with the fish taken, regardless of what kind of fleet you're talking about. Nofima has done research on this and is in very good dialogue with the fleet, which may indicate that we need to move quickly and without having to go the path of state subsidies, to get fishermen to handle the fish better, and thus to be better paid for it. And that might be the most important thing.
ParlaMint-NO_2013-11-20.ana.ud2544e998	This question has been postponed to the next Question Time.
ParlaMint-NO_2013-11-20.ana.ud2544e1012	This question has been withdrawn.
ParlaMint-NO_2013-11-20.ana.ud2544e1019	‘All patients in need of complex or long-term coordinated specialist health services shall be appointed coordinator under the Special Health Act. Nevertheless, there are still messages that do not happen in the past. Patients with severe and chronic illness do not receive a patient-responsible doctor or other permanent health care professional to whom they can relate. Will the Council of State take action to ensure that this will be a real patient offer in all hospitals and in all health regions?’
ParlaMint-NO_2013-11-20.ana.ud2544e1026	Patients with severe diseases are in a vulnerable and demanding situation. Having a regular doctor to deal with is therefore of great importance to the experience of being cared for. A fixed doctor who follows up the patient also means a lot to the quality and the whole of the medical supply. Per Fugelli is one of those who, on the basis of his experience as a cancer patient, has called for a fixed medical system in hospitals for seriously ill patients, and he has also made a settlement with what he calls the one-time doctors. For more than ten years we have had a code that is supposed to take care of the need for a permanent doctor in a hospital. The regulation on a patient-responsible doctor came in 2001, and it was replaced on 1 January 2012 by a new section 2-5(a) of the Special Health Service Act. It states that a coordinator should be appointed for patients in need of long-term and coordinated services and that the coordinator should be a doctor. Although healthcare companies have been obliged to ensure that serious sick patients are a permanent physician, the scheme does not work as intended. This impression is confirmed by feedback that I have received from many patients. The previous government sent before the summer to consult a proposal to remove the legal requirement that specialist healthcare coordinator should be a doctor. This proposal would, in my view, weaken the offer of seriously ill patients. I have therefore stopped this process. The government prioritises its efforts to improve patients’ and relatives’ rights. Therefore, we will introduce a permanent contact doctor in the specialist healthcare service for seriously ill patients. Changes in the Patient and User Rights Act were dealt with in the Stortinget in June of this year, in Prop. 118 L. At that time, the opposition at that time suggested that it should not only be the duty of healthcare companies to set up a patient coordinator, but the individual patient should also be entitled to do so. I still believe this. I will therefore come back to Stortinget in an appropriate way with suggestions on how we can ensure that seriously ill patients get a regular doctor to deal with in the specialist healthcare service.
ParlaMint-NO_2013-11-20.ana.ud2544e1041	I would like to thank you for your answer. It is true that patients who have a serious illness, such as: cancer, must be met by a system that also assures them trust and security in the situation in which they are. They cannot then experience a system with many corpses — health professionals — to stick to, and no one takes responsibility for them in this situation. It has been, as I said, 13 years since the first time it was said in the prescription that patients are entitled to a patient-responsible doctor – this has been to a patient coordinator. It has also been considered to turn it into a patient contact, which we now belong to the Minister of Health to tell him to stop. - That's it. My point is that in any case this is a responsibility for the businesses today. Too many years have passed. Will the Minister of Health now instruct the leaders to give this to all patients?
ParlaMint-NO_2013-11-20.ana.ud2544e1050	As the representative is aware, it was my favorite hobby as head of the Health and Care Committee to ask health companies if they followed up this legal requirement. The answer to that was often very elusive — and many flattering glances — but the question is going to be repeated, and the demands are going to be repeated. But it is also important to stop the work the previous government started to weaken this scheme further. In the work we are now going to do to strengthen the system, we will also look at how it is possible to ensure that the seriously ill patients actually get a permanent doctor to deal with, while at the same time ensuring that the coordinator function for all patients can be performed by professional groups other than doctors. Then we think we can get a more appropriate system and expand this to not only be an obligation for businesses, but also a right for the patient.
ParlaMint-NO_2013-11-20.ana.ud2544e1057	Thank you. I think the minister says it should also become a right, but it's kind of a weakness when there's already a statutory obligation. When not followed up, one must convert it to a patient's right. It is quite clear from the preparatory work of the Health and Welfare Act what to do in order to make this work work at system level: one must have a routine that ensures who is to be a coordinator in the departments, how the patient should be informed, and how the function should last if this coordinator – the person – is gone. My question – again – is: What will the Minister of Health do concretely? Now he no longer needs to drive his hobby to ask, now he is actually the top responsible for businesses and can choose to instruct them in another way?
ParlaMint-NO_2013-11-20.ana.ud2544e1066	Of course, I am going to be very clear to the companies that I expect them to comply with the laws and regulations that big business and government have adopted. It's a matter of course to my mind. When Stortinget has chosen to make this system so important that it has been enshrined in the law and regulation, I believe it must be followed up. But I also want to do something in addition to this, namely stop the work that the previous government started. They spent eight years constantly weakening this scheme, instead of making sure it was introduced. We need to work with businesses to ensure that the scheme is implemented and strengthened – and not least strengthen patients’ rights in this context. I think it would also be an advantage in this area if this became not only an obligation for the companies, but also a right for the individual patient. I am very happy that much indicates that the government will also have the Senterpartie with them in this work. It's very positive, because there the Center Party achieved little when they were in government.
ParlaMint-NO_2013-11-20.ana.ud2544e1079	‘Unfortunately, the debate on the possibility of reservation for permanent residents has become a one-sided abortion debate. When we look into the future, both for Norway and internationally, we see that there are soon no limits to what is technically possible in medicine, but where the question becomes whether this is ethically correct. Does the Council of States see the need to raise the debate on the possibility of reservation to a greater debate on value, where, as a nation, we put some stabbestones and take the debate on ethics and should go ahead of the technique?’
ParlaMint-NO_2013-11-20.ana.ud2544e1086	I would like to thank you for this important question. Technological developments in medicine are going very fast. The biotechnology area is an area characterised by rapid medical development and many ethical issues. A number of medicines and diagnostic tools are developed and produced using biotechnological methods. New treatments based on biotechnology research, e.g. the use of stem cells is becoming increasingly more and more clinical. Genetic studies are in a new era. Now the entire human genetic material can be examined in a few days and much cheaper than before. Through analysis is an important research method that enables us to analyse effectively the relationship between genes and disease and to investigate heritable causes of disease. Such research is expected to have a significant impact on the development towards more personalised medical treatment. This is likely to result in treatment that is more effective, safer and with fewer side effects for the individual. At the same time, the development raises demanding issues related to the privacy of individuals — issues related to what family and others should be allowed to know. Due to the rapid technological development in the field of biotechnology and the ethical and social issues facing us by the development, the Biotechnology Act has its own authorisation provisions. These shall contribute to government governance and enable the evaluation of professional, social and not least ethical impacts before new methods are put into effect. The task of biotechnology is to discuss fundamental societal and ethical issues related to biotechnology. An evaluation in 2012 showed that the term fulfils the function of debate-making in a good way. Of course, it is not that technology should control and ethics should be set aside. New technologies must be applied in an ethically sound manner. The size has asked for an evaluation of the Biotechnology Act. In this process, I want to involve the subject of biotechnology both as a consultant and not least as a debater. The evaluation will give rise to a broad debate on the societal and ethical implications of new technologies. New technologies also raise questions about how to prioritize healthcare resources. The previous government appointed a sample to assess how best to meet current health priority challenges. The priority committee will deliver its report in September next year. Otherwise, I would also like to stress that the Storting itself can raise a debate on the ethical consequences of new technology, and create meeting places for discussion on the relationship between politics and science.
ParlaMint-NO_2013-11-20.ana.ud2544e1109	I thank you for the answer, but I want to promise it even higher than just dealing with the Biotechnology Act – which is a very important thing. If we look at the story, we see that things were done that we today are happy that some hoist flags for and said that they were not on. For example, when we talk about lobotomying patients in psychiatry, or when we talk about coercion sterilization of people you wouldn't want to be fertilized, someone said that this wasn't what they were saying, because they had a conscience. What about the future? How will the Council of State raise the debate in the future so that we have room for discussion about what values we should have in the Norwegian health system – and should the conscience be part of this? I'm going to help lift the debate into the Storting. I'll be the first to say that. But we also need a government council that goes ahead and says that we will discuss values in the Norwegian health system.
ParlaMint-NO_2013-11-20.ana.ud2544e1120	I'm very pleased with that challenge, because this is one of the themes that I think it's important to discuss, and which I also think is very rewarding and interesting to be involved in discussing. I can promise that as the Council of State, I will contribute to these discussions, participate in asking some of the questions and also have some reflections on difficult issues. We are in continuous contact with health care. The representative was about some of the questions that have been raised historically. It is clear that, for example: Our research ethics committees are discussing this type of issue all the way. This government has also said that we should involve patients and users much more in the design of our entire healthcare system. History has also told us many times that it is often the patients and users who give notice as we move out towards the limit of what is ethically sound.
ParlaMint-NO_2013-11-20.ana.ud2544e1127	I'm glad the Council of State will go ahead. At the same time, those who violate what is the norm out there are seen as special, even in health. Conscience is a result of values, faith, mission and not least culture. It'll be pointless, I think, if we start to demand that people not be whole and take that cultural heritage and that conscience into their work as health professionals. Everyone has their professional integrity, and they should. But when they're going to work, they also have to take with them the inheritance they have. I know from many years of work in an emergency department that it has been like this that we have had to ask others to help us, because there is something behind it that makes us unable to do that job with the patient, and not to transfer our own attitudes, we have gone and said that others have to help us. Then I think, how will the Council of State see to it that we can maintain the integrity of health professionals, both professionally and humanly, so that conscience has a place?
ParlaMint-NO_2013-11-20.ana.ud2544e1134	Now the representative is approaching the question of the reservation option, and I have always been clear in that case that it represents two important issues that are balanced against each other. One is a reservation option for health professionals – which means that we facilitate what is at least my clear wish: that we have health professionals in Norway who have an independent ethical reflection on their own business and do not experience that they are on autopilot for what is decided at any time – up to the consideration of the individual patient’s fundamental rights to receive health care. That's also why I believe that the agreement the government has with the Christian People's Party at this point opens up in order to take care of just both of those reasons. That is what I think is positive with that agreement, and that is also why I support the right to reserve that is in the specialist healthcare service.
ParlaMint-NO_2013-11-20.ana.ud2544e1146	‘A high proportion of doctors are employed in temporary positions in hospitals. The Government has awaited the Supreme Court judgment. The representative Bent Höie said in an interpellation debate on 28 May 2010 that ‘the Minister of Health has a clear, independent responsibility to address this matter [...] and it is not a responsibility that can possibly only be transferred to other departments’. The Council of State Höie said in Dagens Medisin on 7 November 2013: ‘The Minister of Labour is responsible’. Can the Council of State now clarify which Council of State is responsible for improving the conditions of employment of hospital doctors?’
ParlaMint-NO_2013-11-20.ana.ud2544e1153	If you read the article in Dagens Medisin, it is clear that as Minister of Health, I strongly emphasise that doctors in specialisation – so-called LIS doctors – are a very important part of the specialist healthcare service. I would also like to underline that here in Stortinget. Nor should there be any doubt that I am responsible for the specialist health service. The background to the article is that the Supreme Court recently passed a judgment stating that the temporary employment of LIS doctors is not contrary to the Working Environment Act. The heading of the article refers to the Ministry of Labour that is responsible for the Law on Working Environment, and thus to the Minister of Labour who is responsible for the possible handling of questions related to changes to this Act. The State, as the owner of the hospitals, has a decisive responsibility for the specialist health service, but I would like to stress that the State has no central responsibility for the employer for the health workers, nor is it a party to the collective bargaining agreements that regulate the working conditions. Furthermore, it is clear from the article that the government’s objective is to reduce the use of temporary employment in hospitals. As owner, the State has for several years asked that hospitals have a responsible employer policy, that the general rule be permanent full-time jobs, and that one restricts the use of temporary jobs. At the business meeting in January 2011, provision was made for the organisation of permanent posts for the LIS doctors. This must be done in such a way as to meet the needs of society for efficient training courses, a good distribution between specialists and a good geographical distribution of doctors. This is a need that is crucial for a functioning specialist health service. Specter and the Lege Association have come up with a model that meets these needs and will offer permanent employment to the LIS doctors. What remains, and which there is disagreement between the Medical Association and Specter, is whether the model will require changes to the doctor's collective agreement. I am aware that there will be a process on this issue in the context of wage settlement in 2014. As previously pointed out, the State is not a party to this collective bargaining agreement. However, I hope and believe that the parties to the agreement – The Medical Association and Specter – will agree on this point. Such agreement will lead to more LIS doctors being offered permanent jobs.
ParlaMint-NO_2013-11-20.ana.ud2544e1166	I thank you for your answer. One of the reasons why I have asked the Council of State the question is that when you listen to an excellent response today, it is in stark contrast to the current representative of the Storing and the head of the Health and Care Committee, Bent Höie, who spoke about the matter in Stortinget. I wonder what exactly has changed since Höie spoke about the matter before the election, which means that this is no longer a matter that he can solve now – as Minister of Health and Top Responsible –. The matter has now been clarified in the legal system, as the Council of State points out quite correctly. What has changed since he spoke in this rather bombastic way, which makes it impossible for the Minister of Health now to intervene or to help find a solution? I would like to challenge the Minister of Health if he, in the months leading up to him, for example. The business meetings to be held in January will sit down with the parties. I respect that this is part of the tariff negotiations that will go to spring, but it would have been very good if one could have come up with a reunited sketch with the parties on this issue, which is very important to many, and which the current Minister of Health – in his former work here in Stortingen – has had very strong opinions that the Minister of Health is going to do something about.
ParlaMint-NO_2013-11-20.ana.ud2544e1177	There is then reason to remember that the interpellation was held in 2010. My challenge to the Minister of Health was at the time to take responsibility as the owner of the hospitals for starting this process. There I have to say that it did the Minister of Health after my interpellation in 2010. Substantial work was started in regional health enterprises, such as As a result, the job that the representative now asks me to start is actually done by his own government. The representative should have information about that. But there is a sketch for the solution in this case, which is agreed between the Specter and the Medical Association. What remains is a question of whether this is relevant to the collective agreement between the Medical Association and Specter. I would think that the Workers' Party had reacted very strongly to it if a government council that did not have employers' responsibility had put itself as a mediator in a tariff question.
ParlaMint-NO_2013-11-20.ana.ud2544e1184	I agree with that, of course. But we don't have to go to 2010. We can go to a little bit closer history, for example. to Stavanger Aftenblad in the summer of 2011, where the then head of the Health Committee Bent Höie states: ‘I know about young hospital doctors who fear that if they say no to extra guards, it will be harder for them to get permanent jobs. It can lead to unwarranted work and a risk to patient safety.’ So this is in 2011. While the trial is ongoing in the courts, Bent Höie believes that there is a risk to patient safety – that is, quite healthy characteristics of what is going on. Does the Council of State think that this is still the situation? And in that case, how can he now say and give the impression that this is the Minister of Labour's responsibility when he himself has his finger on the button?
ParlaMint-NO_2013-11-20.ana.ud2544e1194	I just have to stress that I fully agree with myself in Stavanger AFTENblad from 2011. That's why I still have a strong commitment to this matter, and that at the business meeting I will stress – like the previous health ministers – that government policy is that there should be permanent posts and that the use of temporary posts should be restricted. Because I believe that the extensive use of temporary jobs related to medical professionals, which is an essential part of our specialist healthcare, poses a risk to patient safety. That is why I have a very clear desire to remove the last obstacle on the way to finding a solution here, after the previous health minister did exactly what I called for through an interpellation debate in the Stortinget in 2010 – prepared everything that the owner would provide for a solution to this. Now there's one obstacle left, and that's that there's going to be an agreement between the parties to a tariff question. I have great expectations that the basis for reaching an agreement – when the judgment has now passed – is better than ever.
ParlaMint-NO_2013-11-20.ana.ud2544e1199	Let's move on to the next question. Now the representative Snorre Serigstad Valen is currently not present – he is a bit present at the committee meeting – so we go on and see if the next ones who are listed with questions are present, and then we'd rather come back to question 11. - There comes Serigstad Valen. Then we go back to question 11 and try to keep the order we've set up. Is Serigstad Valen ready to answer his question?
ParlaMint-NO_2013-11-20.ana.ud2544e1204	Yes.
ParlaMint-NO_2013-11-20.ana.ud2544e1209	That's him, and we go to question 11.
ParlaMint-NO_2013-11-20.ana.ud2544e1216	I just have to regret that I'm a little late for the meeting, but we also operate and provide a financial position, and that's also important. But one equally important thing is our working life, and I want to tell the Minister of Labour that I hope he doesn't take it badly that I was a few seconds ago. «The Council of State stated in Stortinget on 13 November: «[...] about 60 p.m. of those who take up a temporary post, enter into a permanent post within two years. This shows that the way we have done it in Norway is good in terms of getting more people into the labour market." Of course, so many people who have been temporarily employed get a regular job, are associated with strong Norwegian legal requirements for permanent employment. How does the Council of State feel that more temporary staff should be provided in permanent employment when the requirement for permanent employment is proposed at the same time weakened?’
ParlaMint-NO_2013-11-20.ana.ud2544e1225	Let me first thank you for the question and forgive Serigstad Valen that he is also doing the final job of the Financial Committee. So it's important for me to establish that the government's main principle is fixed employment. This is the general rule of Norwegian working life, and it will also be the general rule under this government. It is true that I showed that much is good in the Norwegian labour market, that it is good when as many as about 60 pst. of those starting a temporary employment, have moved to a permanent post within two years. In the last Wednesday Question Time, I asked the question, ‘Why not look at the possibility of softening it up, so that more young people, people with disabilities and also immigrants get an arena to try to get into the world of work?’ In Norway, employment is very high compared to other European and Nordic countries. However, as I have said before, the government has high ambitions in getting more of those outside the labour market into the workplace. I believe that it is possible to give more access to the labour market by allowing more people to try out targeted changes in the legislation. That's what we want to be concerned about when we're going to start designing changes to the Working Environment Act. We believe that we, together with the parties, should be able to find changes to the legislation on, among others. temporary employment, which may give the effect that more people are being shown, that more people are getting to work. We believe that this can in the long run provide a valuable subsidy on the labour market, not a negative effect on fixed-term employment.
ParlaMint-NO_2013-11-20.ana.ud2544e1238	The whole idea of the Right and Advance Party for temporary employment is based on the idea that more temporary employment itself leads to more, for example: disabled people, young people and immigrants, have to try out – as the Council of State says – and get to work, but there is no clear link there. The main consequence of temporary employment is that more people in Norwegian employment are going to be employed temporarily, more people are going to have less predictability, fewer are going to have loans, etc. And it's not that a deterioration in the law will only include those who need to get into the labour market and try; it will lead to many who would otherwise get a steady job, not getting more. So if fixed employment is a general rule for the government, why should you weaken that principle in the law?
ParlaMint-NO_2013-11-20.ana.ud2544e1245	First of all, we do not weaken the law. We're going to change the threshold, so that it'll be easier for those who are out of work today to get into the world of work. Both the 2004 study by FAFO, Atypical Work, and several Norwegian studies that have evaluated international research reports, show that an embellishment of temporary employment — and we are talking about an embellishment, to lower the threshold of the doorstep — will provide the opportunity for more people to enter the workplace, both more young people, more with migrant backgrounds and more with disability. So it's not like that that fewer people will get loans, because one thing that at least is 100 pst. is that those who are outside the labour market, those who do not have a job, are at least not given the opportunity to borrow.
ParlaMint-NO_2013-11-20.ana.ud2544e1252	Then my follow-up question is to the Council of State: how can the Council of State know that those who then receive temporary employment do not become a permanent B team in the labour market? How can you be so sure that they get a regular job later, when the reason we have so many in permanent work in Norway is that the law is what it is today? And the second is: how can the Council of State assure Norwegian workers that such a decoration, as he calls it – or dilution, as I would call it – will not lead to many who would otherwise have a safe life in working life in a permanent position, in the future having to invest in temporary work and still insecurity?
ParlaMint-NO_2013-11-20.ana.ud2544e1257	How can the Council of State know? At least I can support two clear research reports, two studies. One is the FAFO report, which I referred to in my previous answer, where for two years people who went in temporary jobs were followed. 60 pst. they entered into a permanent position in the course of the two years. The Labour Force Survey for the SSB shows that two thirds of the data from which the data are derived — the employment report of the previous government, which was presented in the Stortinget and dealt with during the previous ageing period — mean that two thirds of these ended up in permanent jobs. It shows that it is possible to obtain a transition through temporary employment towards permanent jobs. So I would also like to remind Serigstad Valen that, in the context of the job strategy, the previous government made a change in the autumn of 2012, which applies to the current budgetary period, where the previous government also said that they want to make it easier to use temporary employment related to the people who are on redundancy pay, in order to get them to work faster and better. So the former government must have believed that this will be on the lower threshold.
ParlaMint-NO_2013-11-20.ana.ud2544e1268	‘In the Grand Council on 13 November, the Council of State said, ‘[...] it is both natural and reasonable to have equal living adjustments for all pensioners, who ensure that one does not end up in a situation where one who works until he is 67 years old, with exactly the same assumptions as one who has worked part-time and is partially unemployed, comes out worse as an old-age pensioner than one who has been unemployed. I do not think that appeals are being made for more older people to be able to stand longer in the labour market [...]» Does the Council of State mean that you can only order disability benefits from Nav and that today's legislation opens up a free choice?»
ParlaMint-NO_2013-11-20.ana.ud2544e1275	Disadvantage is not an option for the individual to choose freely. As the representative is aware, the vast majority of those who become disability pensioners, have a previous period of sick pay and redundancy pay. Within both of these schemes, the beneficiary is confronted with clear activity requirements, with a view to returning to work. Both employers and the State of Employment and Welfare have a clear follow-up responsibility. The schemes have different working capacity requirements. It is not the health problems themselves that give entitlement to disability pensions, but the way in which the disease has affected the individual’s ability to income. Today's disability pension requires a permanent reduction in income by at least 50 pst. The size has adopted a pension reform with a live-age adjustment. In the opinion of the government, it is reasonable that this should also apply to persons who come from disability benefits. The government wants to stimulate as much work as possible. Levage adjustment will be an instrument in this context. The active period following the age of 60 has shown a steady increase over recent years and the incidence of old age has declined. However, it remains below 30 pst. by the 66-year-olds and about 20 pst. of the 67-year-olds registered with employment. Compensating for the whole or part of the life-age adjustment for disabled persons would be unreasonable compared to others who, for various reasons, do not have the power to work beyond the age of 67. In my opinion, it is reasonable that the same rules on living age adjustment apply to all. About 40 pst. of the new old-age pensioners are today the result of disability pensions. If disabled persons are exempted or protected from the age adjustment, they may be at risk of losing an old age pension, compared to those who do not have disability benefit. We know little about how the active will adapt to a new age pension in the years to come. If it turns out that economically active workers choose to stay at work significantly longer when the effect of life expectancy adjustment is increasing, it would also be natural to look at the effects related to it when evaluating the pension reform during this ageing period. An evaluation is already underpinned by a decision on the size of the population.
ParlaMint-NO_2013-11-20.ana.ud2544e1290	I hear that the Council of State now has an overview of the requirements that are being made to grant a disability benefit. They are strict, and it often takes several years. Nevertheless, in his answer, he continues to argue as if life-age adjustment could be used as an instrument against disability and disease – for that is what we are talking about. The point is that these are people who cannot themselves choose to work any longer, precisely because they meet the strict requirements that the Council of State has just stood up and hit, and because after years of nine-time review, they have come to terms with the fact that they cannot stand in the labour market and zero the impact of the lifestyle adjustment. That is why it indicates, I believe, that the Council of State continues to argue as if it is possible for someone to choose disability.
ParlaMint-NO_2013-11-20.ana.ud2544e1297	To be quite clear about it: Even those who today come from disability and become recipients of an old age pension are life-adjusted, but you have a protective system for them. It's not like they're not being life-adjusted at all. We also know that the Stortinget has decided that we will implement a new disability pension reform on 1 January 2015. It will be an under-pension reform such as: Consider that the combination of disability benefits and work is more important. The size, including the representative Karin Andersen and I signed, when I was a representative, was involved in making the rules on how the disability benefit should be curtailed against the income. This means that a person on disability during periods can combine his/her working capacity with income from work and that he/she is paid to remain in the labour market. In this way, a disability benefit will be much more likely to compensate for lifestyle adjustment. Then, in my head and in the government's head, it would be fair and fair to have a debureaucratic system, and to have a similar life-style adjustment regime for all pensioners.
