ParlaMint-NO_2013-03-07.ana.ud1208e36	The representative, Kari Henriksen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2013-03-07.ana.ud1208e1048	Today, we are discussing the UN and the communication that underlies it. There are many areas that are extremely important to Norway, but of course also to the whole world community. I want to get into two areas: the Law of the Sea and the International Labour Organisation (ILO). As the Minister for Foreign Affairs said, our geographical location makes the United Nations Maritime Law Commission one of the most important international instruments for Norwegian interests. The Law of the Sea Commission, which came in 1982, is often referred to as the Constitution of the Seas. Here are the rights and obligations attached to the continental shelf and arising from the provisions of the Maritime Law Commission. Norway is the first country to have its continental shelf approved up to the Arctic Ocean by the United Nations and the Continental Soccer Commission. Russia, Canada and Denmark are now on their way. 162 parties are today behind this convention, which is so important. In addition, the United States respects the law of the sea, even though it has not been implemented by them. This means that it is the UN that is normative for this important area also for Norway and that provides standards that are represented by all coastal states in the north. With regard to the establishment of own mechanisms for dispute resolution under the UN, the United Nations Continental Commission contributes to the strengthening of this cooperation. The UN's efforts in this area are invaluable, not least for Norway, which is a small country, in order to ensure stability and a peaceful development based on cooperation in the Arctic. The law of the sea guarantees us the rights and the right to dispose of the great economic resources. We also have a duty and a responsibility to manage resources in a sustainable way. Another major body of the United Nations system is the International Labour Organisation (ILO). Ensuring the rights of workers is – and will be – high on the priority list, and I am pleased that the government has given decent work a central place in our foreign, development and trade policies. The fight against child labour, forced labour and discrimination is important – equality and the right to organise. If we are to contribute to sustainable development, we also need to base fundamental principles and labour rights. We need to see results. I believe that based on the two main points I have mentioned, results can be seen – for the world and for Norway. It is important to be co-players and contributors in this to make the world work in a proper and good way. Climate and poverty must be at the top of the list. This is the great task of the world in the time to come. Everything goes with everything.
ParlaMint-NO_2013-03-07.ana.ud1208e1063	Earlier today, we discussed sports and sports policy in Stortinget. Now we're discussing the UN. It provides an opportunity to open this post by mentioning the very sports-interested Grorud boy who became the first Secretary-General of the United Nations, namely Trygve Lie. Trygve Lie was Minister of Justice, Minister of Trade, Minister of Supply and Minister of Foreign Affairs in Norway and the Secretary of State of Akershus. I also think that the position of the Secretary-General of the United Nations should be an appropriate right-wing position for storage representatives from Akershus. Why do I mention Trygve Lie? Well, because he played a formidable role in establishing the United Nations in New York. The compromise candidate Lie, who was elected after many votes, got the job with literally stabbing the new organisation on his feet. Nothing was in place – not offices, nothing. In fact, it was not even determined where the United Nations headquarters should be permanently. Tryglie insisted that it should be in New York, which I think both today's UN ambassador and others are happy about. Much has happened in those 67 years. The world has changed, and so does the United Nations. But to wonder if we need the UN in 2013 shouldn't be a reason. We need the UN – a different UN than in 1946, a better and stronger UN. The world, including Norway, has had good use for the UN, and as many others have mentioned today: Just think of the law of the sea, which guarantees Norway's ownership of our natural resources, what we live on! Imagine if this would be a game! We really shouldn't think about it at all. As I said, the world has changed, among other things. the emergence of regional organisations. The African Union, ASEAN, the Arab League, the EU and NATO – and also important organisations such as the OSCE and the Council of Europe. But the solution is not to bring down the UN, seas if we've got more and eventually strong regional organisations. Rather, the UN must play a role in interacting with these regional organisations. There are enough challenges in the world for all organisations to have something meaningful to do with, it's just a question of how the interaction is, and how the organisations work together. No organization is perfect, neither is the UN. Major organisations need to be regularly restructured – it is our defence, our hospitals or the UN. But as we know, it's not always as simple. That is why we, who believe in the UN and who believe in the role and position of the United Nations, must also take the lead in constantly changing and improving the UN. We live in a troubled world. We need more international cooperation and therefore also stronger international organisations, not weaker. Finally, Morten Höglund made a good contribution today. If I heard correctly, Morten Höglund said that the UN should perhaps have a role in the conflict in Cyprus. I must admit that I think is an interesting thought. Maybe Morten Höglund's in on something. It's a little interesting that it comes from the Progress Party, which usually wants to cut the UN's wings, but I think the reasoning is interesting. We could perhaps add other difficult and stuck conflicts not as far from Norway, for example. in Transnistria and Nagorno-Karabakh, considering whether the UN should also have had a stronger role there than the UN has traditionally had. It's not easy. Those who have so far tried to find peace solutions in these three conflicts have, as you know, failed – at least not well enough – but it would have been interesting to see if the UN could succeed in something that other organisations have so far failed.
ParlaMint-NO_2013-03-07.ana.ud1208e1082	This President believes that the position of the Secretary-General of the United Nations should be assigned to a magnificent representative from Groruddalen, because Trygve Lie was from there.
ParlaMint-NO_2013-03-07.ana.ud1208e1085	There's a need for a country heading towards the current. Norway is a small country, and we are dependent on others. At the same time, we have the opportunity to take leadership in important areas internationally, including: because we are not bound to the EU through membership there. The UN is an important international arena for cooperation, an arena in which we can jointly solve major international challenges with climate, environment, health and equality. Here we have the opportunity to fight for the rights of poor countries and for a fairer global distribution, and here we have the opportunity to be a leading voice for equality. That is why I would like to thank the Minister for his contributions to this debate. SV wants Norway to pursue an autonomous international policy of solidarity, cooperation, human rights and peace. Norway's foreign policy shall be independent of major interests, and our security shall be based on international law and on the cooperation of the United Nations. Just because we're independent, we can be like the crutch to the current, we can bring up themes on an international arena that's important too much more than ourselves, like women's sexual and reproductive rights. This week, the Minister for Equal Opportunities has spoken against Roma. She has made clear demands on land that will weaken women's rights. Norway is a vote against the conservative forces, such as the Vatican State, Iran or conservative Catholic countries. The struggle for self-determination is central to women’s reproductive health. Unsafe abortions and non-prevention are a major health hazard for women, especially in poor countries. Since we're not forced to negotiate our positions with conservative countries like this. Poland or Ireland, Norway can be a much clearer voice for women’s rights than our neighbouring countries, which are hindered by being a member of the EU. At least 47,000 women die every year because they do not have access to safe abortions. 99 pst. of these women living in a developing country. Half of today's abortions are unsafe. Government SV therefore prioritises the provision of prevention assistance and wants Norway to contribute a billion in the future towards 2020, not least we will continue to work for more safe abortions and for reproductive health. But I ask myself whether Norway will be as clear a voice for equality internationally without a red-green government that then clearly points out women's reproductive health and women's rights, and I ask myself about a possible new government with the Christian People's Party, which they say wants the Minister of Development, will give priority to women's health and access to safe abortions. Will the Christian People’s Party guarantee that enough money and enough power are still being spent on safe abortions? The women of the world need someone who dares speak Rome in the middle of it. It will and can, the SV and the red-green government, for women's rights and the right to determine their own body and health are human rights.
ParlaMint-NO_2013-03-07.ana.ud1208e1104	I think the president's call to find the next UN Secretary-General from Groruddalen came a little quickly. [[Laughter]] In particular, bearing in mind that the election is snuffed in to stand between current representatives Akhtar Chaudhry and Jan Bøhler, I think at least we need a little bit of consideration to be able to handle it on a tight arm. But we're probably all responding to this call. My contribution today to the tame of the debate was to say that a good message has also resulted in a good debate. It is very rare that Stortinget is in a situation where we discuss the Ministry of Foreign Affairs budget in such a way as we do today. There is no doubt that the Minister for Foreign Affairs is the Minister with the highest status, but compared to the Minister for Development and Assistance, his budget is just to be reckoned with. Of course, the status weighs up in relation to the 30 billion. NOK 36 billion. kr that goes for these purposes. Then you have to figure out that there can be some dividing lines in these debates. It is not as some from the position claim, that in the event of a change of government – I hope there are many who listen to the opposition parties today, not least in the diplomat lodge – some shades of change can emerge as such, but it is not possible that there will be a Norwegian aid policy and development policy that opens the way for the strongest, and that it is the poorest in the world who will be allowed to pay this invoice. It does not help to strengthen the debate in particular, but rhetoric is equally effective for each time it is launched. I also think it is important that Norway – and in this area we are a major force – set some Norwegian footprints. In the fields of aid, development, debt recovery, climate policy, etc. we need to be in a situation in order to achieve our goals – which are clearly set out in the Communication, and which is government policy – where we are also able to ask critical questions within the system. Of course, as many previous speakers have pointed out, it is easy to point out areas where the UN as an institution does not succeed as we wish. Therefore, it must be a common goal that if the UN – as Svein Roald Hansen puts it today – is not the world’s most important political institution, then it must be a common goal to return to it to become it. But more players are needed as contributors — much greater powers than Norway. Russia and China can be a few examples. Now, if the Groruddalen gets stronger in the system, this could be even better.
ParlaMint-NO_2013-03-07.ana.ud1208e1117	Politicians from the Groruddalen have raised the world further before, and they will do so later, too, I will count on.
ParlaMint-NO_2013-03-07.ana.ud1208e1120	I will at least reserve myself against the idea of giving the Groruddalen veto rights in the Security Council. [[Laughter]] I would like to thank you first again for a very good debate, which we take with us. There have been a lot of right and good points. It is good to bring with us when we are going out to conduct an even clearer and stronger UN policy and in the alliance building that is necessary in a heavily changed world. I want to remember when the United Nations came into existence during World War II. The conferences leading to the final San Francisco Conference were paralleled by attempts to win World War II. The United Nations concept was first used as one of the names of what we knew as the Allies, and that eventually slipped over into being the name of the new organization. Fortunately, even after a few years the old axe powers, which were then reformed, became part of the organisation. Then there was one key point for the UN, a clear and distinctly overarching key point that trumped all other goals, and that was to prevent war between states. That's what the United Nations was made for. Then there came an important development agenda, and then there came an important human rights agenda, but that's why you put the UN together. If it is the scale, then the UN has been a thundering success, for there is virtually no war between states in the world in modern times. Many of the warriors who are have actually been mandated by the United Nations, and are then in a slightly different category. On the other hand, the conflicts have moved from the intergovernmental to the intergovernmental space, and very many of the conflicts with which the United Nations struggled, both after World War II and after the end of the Cold War, were just intergovernmental conflicts. There, progress has been better. The Cyprus operation dates back to 1964 – it's the same year I was born. There is no age for a human being, but there is a rather old age for a peacekeeping operation. But it's happened a lot since then, considering what you've been doing in Sierra Leone, Liberia, Mozambique and a number of other places where you've been in a transformation. That's what you're going to learn from and get better at. Then I want to say a word about Security Council reform. We'll get back to that in the debate, but the point is to take a key chord: short time. You're looking for an African member. Should it be an individual country, or should you imagine that it is the African Union, directly or indirectly. That's the kind of thinking we need. My final point is that to be a good player in the United Nations system to help push the UN forward, we have to be consistent at home. Countries need to have a comprehensive, thoughtful and strategic UN policy, and our policies must be linked. A very important point for both the Minister of Development and me is to ensure that Norway has consistent, recognizable views in all the bodies we meet, and not least on basic standards and respect for human rights.
ParlaMint-NO_2013-03-07.ana.ud1208e1135	I would like to thank you for what I think has been an unusually good and constructive debate on an important topic. It is quite obvious that the United Nations is experiencing important experiences in Norway. But there have also been some clear expectations and clear marches on which direction Norway is going to use its great influence, because we are a stable and great giver who also wants to provide political influence. However, I would like to point out some issues that have been raised. The representative Gustavsen was concerned with this with legitimacy. The Committee has jointly tried to define this in its comments, including: talks about the fact that the UN is a meeting place in which almost all states ‘universally members’ give a legitimacy in itself. What I – and, to some extent, others have wanted to emphasise in the debate is that in terms of the role of the United Nations as a norm for international law and for maritime law, it is a major challenge for Norway and for the United Nations to challenge legitimacy. It's not quite as dangerous in terms of the UN as an operational actor, because there will at any time be other actors who can do the same kind of work, maybe better sometimes. Therefore, it is not the big problem, but for a country like Norway it is vital that the role of the UN as a norm is not challenged on legitimacy. We're totally dependent on that, and that's why it's important to distinguish between the two. Then the representative Gustavsen in his speech is also concerned that the Progress Party would halve support for the UN, and that it would result with the Right and the Advance Party in government. That's what I think is an unusually unpresidious and very bland point. Firstly, the Advance Party has not proposed to halve the aid; they have proposed to cut it about. 1 billion. SEK of 4,5 billion. kr in its budget. The right has proposed cutting $45 million. SEK of the 4,5 billion. kr. So it's less than the government parties themselves cut to the UNDP, so a little bit of precision in the debate I think we can all cost ourselves, because it's been a very good debate so far. Finally, I would also like to say that I very much agree with what the Minister for Development says about the relationship between the fundamental human rights and, of course, also having food on the table, access to school, etc. But at the same time, I would warn that many rulers think they can use that very argument as an opportunity to buy free from universal human rights. Saying that you can feed on the table at the same time means that it's not that dangerous with freedom of speech and faith, and it's a scary way of thinking. You can see how rulers try at regular intervals to swap universal human rights against more physical rights such as food and education. Human rights and other benefits shall not be set against each other. They are on the contrary dependent on each other, and – not least – human rights are universal. They apply everywhere. They apply to all people, and they apply at all times.
ParlaMint-NO_2013-03-07.ana.ud1208e1146	Since we're in the field of precision, I want to stress that human rights are universal and that you can't pick out any human rights and say that they are much more important than others. The whole point of human rights is that there's a whole package where all things are equally important. It's a vision I share. In the big message we are going to present, we are just going to say that we want to strengthen our cooperation with countries – and give priority to aid to countries – where we can get a stronger focus on human rights and democratic development along with the other human rights. Our problem is that in some context we get into a dilemma that we have to recognise. It is obvious, and at the latest yesterday I was asked that question by a journalist: what right do we have to say that poor people ashore with dictatorships have less right to help money from us than poor people living in countries that are not dictatorships? I think that's a good question. It just underlines the dilemma that is there. But I still believe that over time it is best to cooperate with countries that have positive democratic developments. I just wanted to say that and stress that human rights are universal, and that concerns all human rights and is not a menu. I want to invite you to a discussion, and then I have a comment for the Progress Party. That is why it is good that the representative, Mr Høglund, should come later. The representative Karin Woldseth was up and said that here's 83 measures that we set up, and that we can't measure according to those measures. What we fully agree with, but we must have humility when we work with the UN. The UN is an organisation working on all issues – the whole range of issues – in line with Norwegian policy, for that matter. I should like to see the Progress Party sit down and say that there are only five things that are important, or ten things that it is important to have goals for here in the country. No, that's not how it works. That's why it's going to be a width of objectives. But what we are clear about is that when we assess efficiency, and when we evaluate support for UN organisations, we have a set of criteria – seven criteria – we set. The seven criteria I perceive that the committee has joined and said that it is good that we have and work to get a broad consensus on. So, as I say, it will be a balance of political priorities. Just as political priorities differ from one party to another in Norway, there will be different political priorities for issues to be addressed, from one country to another. Therefore, not everyone’s priority will be exactly the same in terms of support to organisations. I will end by inviting the Committee to invite me back to a debate on the United Nations Development Goals, because when the new Millennium Goals come into place, Norway has a role to play. We are in the group working on the new sustainable development objectives – sustainability objectives. I would like to look forward to an opportunity to discuss this with the Committee at a later stage.
ParlaMint-NO_2013-03-07.ana.ud1208e1155	First to Councillor Eidsvoll Holmås: Yes, we acknowledge that we want to achieve something in many fields – with a large width. What we're asking for is a priority, a tip of the targets. When we go into an election campaign, which I'm sure SV will also do when they go into an election campaign, we give priority to some things that we want to focus on, and that we might want to do first. So that doesn't mean we don't want to do things in all walks of life. What we're asking is, what's most important now? The representative Swearer Myrli may give me some undeserved commendation for my comment on Cyprus. The idea was that there's been a peacekeeping operation here for so long that it's almost forgotten. There has been no progress on the ground in the conflict. I would like the United Nations to play a role if the United Nations has a role to play. But maybe there are other actors who should know their visitation time. With regard to other nearby conflicts, I fully agree with the representative of Myrli that it is doubtful that such conflicts remain, but I am not sure that the UN can contribute. OSSE and others may be more nearby. Unfortunately, there is not much progress. So to the representative Svein Roald Hansen who makes a point of some of our remarks. We make demands, which are not synchronised with other countries, and you can't deal with so many demands. I hope I give the representative Hansen some justice when I repeat it like this. When we say that we in Norway need to discuss requirements we should set to the UN – priorities we should set to the UN, what we want to achieve in the different organisations – it is not that it should be synchronised with other countries that also give money into the United Nations system. Yes, absolutely. That's the operational part. We expect the government to do that. We respect, of course, that if we come alone and put a menu on the UN table, we don't necessarily move on. This has to be seen in a whole. The representative Hansen was also inside that it is better to keep the worst country within than outside. Here the representative says something and writes something else. Is he willing to take credit for – or does it seem good – Libya being excluded by the Human Rights Council, that some other countries with gross violations of human rights have withdrawn from the Human Rights Council as candidates? I mentioned as an example that the red-green government was actively working to prevent Iran from entering the board of the UN Women's Organisation. Now you have to decide. Is it good to keep them inside or not? We can agree that this needs to be seen on a case-by-case basis, and that it is not right to keep everyone in all relevant organisations.
ParlaMint-NO_2013-03-07.ana.ud1208e1166	I understand that I have trotted the opposition on a sore toe, and that you need to characterize both my relationship with numbers and my relationship with using so-called political rhetoric. As far as the last point is concerned, I thought that Storting’s pulpit was also in favour of political debate and to make political disagreements visible – perhaps especially when we have an opposition that is very often close to the government in argumentation, but in practice it shows that it stands for something else. Then I felt a need to point out what the Progress Party has done in its alternative budget, and I might also use the opportunity to ask what would be a clear, possibly right-wing party policy in this area. The representative Eriksen Soreide is right that when I say 50 pst, there are the total cuts the Progress Party is doing in the budget. That's an important clarification. She is also right that the Advance Party cuts about 1 billion. kr to the UN organisations. It's at the base of 25 pst. of the United Nations budget. It's okay to clarify. What will become a possible consequence of the Right Party and the Advance Party in the Government, says the representative Eriksen Soreide nothing about, and then we have to assume that the Advance Party will be able to influence such a type of case. It's just to sum up that there's still to be seen, and we're waiting in suspense. I think that if, for example, had been the defense's budget opposition had cut in by about 25 p.m., they had experienced ramaskism, but because sometimes you have a rhetoric against the UN that is not effective – and sometimes the UN is it – they say it's just putting on with increased efficiency, then there's no problem in the budget. Then you have a real-world approach.
ParlaMint-NO_2013-03-07.ana.ud1208e1178	The representative, Mari Lund Arnem, used much of his intervention to agitate so that the right to abortion for all the women of the world should be a central area of concern to raise in the UN. She went on to refer to countries she considers to be particularly backward in this way, and ended by warning against the Christian People's Party in government – Norway is going to fight for abortion as a central health asset in the United Nations. Last autumn, it was documented that late-boards had failed in Norwegian hospitals, where abortions had shown signs of life for up to three hours after the procedure. I believe that such a practice will cause both wonder and disgust in countries that we normally regard as far less developed than Norway. Which countries appear to be backward-looking may vary, depending on their place of stand. The Christian People's Party will fight for health benefits for the poor of the world, and we will stand together with other political parties to wage that fight in the UN. However, I ask for an understanding that we will then give priority to treatment that saves lives, such as life. vaccination programme and assembly.
ParlaMint-NO_2013-03-07.ana.ud1208e1187	I didn't really intend to take the word again, but I just couldn't stop when the representative Gustavsen challenged us to those degrees. It's okay to be out and cycling, but trying to push the blame for ‘buggering’ on the Right and Advance Party, I think it's a little out of place. When it comes to demanding that the Right Party and the Advance Party have a clear relation to how the aid policy and how the UN policy is going to be in 2013/2014, if we come into government, I think that the representative Gustavsen may have to lubricate with patience. I hope, of course, that the Progress Party will have some influence, but it will have to wait until the election is over and we see how the force relationship is between these two parties. The representative Gustavsen should know that very well, she is in a government with two slightly smaller parties than her own. It's actually not that long ago – it's been quite a few years since – I heard the head of SV said that SV wanted Norway to leave NATO. SV is still in government, we're still in NATO, so if you have an idealistic point of view, you might actually have to adapt to reality.
ParlaMint-NO_2013-03-07.ana.ud1208e1194	The debate was probably about to end, so I'm not going to introduce any new topic. I just want to say a little bit in the light of what we heard from Steinar Reiten, that what we've achieved in Norway in terms of abortion law and reproductive health -- women's rights to control their own bodies -- is a very important part of the capital that we take with us into the world, and we work for the same things internationally. If I were to interpret that post as an indication that we would go in the opposite direction, I would just like to stress that it is not only my party and the other parties in this government that are against it, but that it would also be quite serious in relation to the authority Norway can use internationally. Then we would be facing a negative international trend, where we see several countries going in the wrong direction. If the point was that we're going to make it easier to save lives, it's an important way to do it by improving women's assembly, child's health and providing safe births. That's a pretty important part of the job we're doing, but it's also the right to decide about your own body. I hope this is not a signal that Norway is now going in the opposite direction.
ParlaMint-NO_2013-03-07.ana.ud1208e1199	The best way to make Norway go in the right direction is to understand that everyone in this room is to vote for a new round of red-green government after the election. I would like to stress that one of the things that I feel very strongly is that the same fights that my mother was fighting for in the women's movement in Norway in the 1970s, which was about the right to abortion, are exactly the same games that are currently being fought by a lot of women all over the world. In my opinion, it's about a fundamental opportunity for women to decide how many children you're going to have, and when you're going to have a child. We know from all experience that facilitating good family planning is something that makes the chance that children born survive is very good. Because we see that when kids are born very closely after each other, it is often the child that is the number. 2 after the birth of the first person, who is experiencing nutritional problems and who is at risk of loss of nutrition. Getting too little food and experiencing hunger can lead to brain damage for young children. It can lead to brain damage that means you never have the opportunity to learn the same thing as other children at any time in life. This is something that is countered internationally, and therefore it was good that we in London last year, together with David Cameron and several others, stood up and said that women's right to control their own bodies is something we have to make sure, because those who are against this are so strongly organized. They're doing lobbying courses, they're drivin' representatives in the United Nations, they're doing a huge job of going back from the important games that were won at the Beijing Conference, in Cairo, and elsewhere, where women's rights were explicitly established. I mean, if you're going to be busy saving lives, saving the lives of the women who choose unsafe abortions because they don't have access to safe abortions, actually the only humane thing to facilitate. That is why we in the government will continue to work hard to ensure that women's rights and equality are at the top of the political agenda. The role of Norway has been recognised internationally. Norwegian NGOs – non-governmental organisations – are getting a lot of feedback that we are tough in the negotiations that are about this. They get feedback about participating and doing the whole job with us to ensure that what we have achieved for equality in Norway, women elsewhere in the world will also get. That is why I would strongly warn against a change of policy today. I can't interpret the representative in any other way than that's what's wanted from the Christian People's Party.
ParlaMint-NO_2013-03-07.ana.ud1208e1214	I am not quite aware of how much this should be done as a domestic political debate, and I am talking about adjectives and the strong use of words by the members of the government. I'm a little surprised at that. I think it's important to see two relationships here – that you can also have a different view of the abortion issue, while, of course, you also work for a good mood. If you're going to set it up as a contrast, I think Norway has a lot of work to do with getting any consensus to help put assembly on the agenda in many countries. But I would like to know, and get to know, whether it is the government, when it works within the United Nations system under the umbrella ‘reproductive health’, telling other countries that for Norway it means the right to self-determined abortion.
ParlaMint-NO_2013-03-07.ana.ud1208e1223	Working for sexual and reproductive health — and rights — includes a range of things that we are concerned about. It's very different what different countries put in it. Access to family planning is controversial. Access to safe assembly during pregnancy and arrangements for it is not controversial. Access to safe abortions instead of unsafe abortions is definitely controversial. Access to sexual education is definitely controversial. This whole spectrum is important to Norway, and we are committed to moving that debate internationally and to participating in the fundamental rights of women. Homofile’s rights are also part of what is involved in sexual health — and rights — for very many people experience clear discrimination. This is a range of disciplines that we raise as one of our important priorities in the gender equality struggle. I would therefore like to say that it is not, in fact, a domestic policy issue; it is a foreign policy issue, because it is about Norway's credibility as one of the strongest tablers of women's right to decide over their own bodies – a right that I share to discuss when I am out as a Minister for Development, a right that I know the Minister for Gender Equality is taking up when she is at a women's conference, a right that the Foreign Minister brings up in dialogue with others we meet. So this is one of the areas where Norway has a special role, a special responsibility, and where it is quite clear that it will be a conversion if the Christian People's Party enters the Ministry of Foreign Affairs.
ParlaMint-NO_2013-03-07.ana.ud1208e1232	I hear what the council says, but he does not answer the question. Do we need to understand that now that Norway is talking about reproductive health and is going to convince other countries about the importance of good assembly, does this mean that Norway wants to oblige other countries to make sure that they have so-called self-determined abortion? We actually have to be clear about that, because if it's Norway's position, I'm absolutely sure it's going to, in sum, weaken the possibilities of a better assembly.
ParlaMint-NO_2013-03-07.ana.ud1208e1239	I believe I answered that question very clearly. I said very clearly that for us, sexual and reproductive health – and rights – is about a whole range of rights. But the concept must be filled with content based on the ambitions of each country as to what it is possible to achieve. We cannot impose anything on other countries, but we can work to influence other countries to participate in this agenda. This is one of the reasons why I think it's extremely important. When I spoke at the Rio Conference last year, I said that I thought it was bad that sexual and reproductive health – and rights – had been removed, because we believe it is worth fighting for all the rights in this regard. I also did not understand that the representative Hans Olav Syversen was very clear in his reply to me. I understand that in this area, the Christian People's Party will turn away to say, we want less focus on family planning than what you have, we want less focus on access to safe abortions. If that's the way it is, I think it's actually something that people here in Norway need to find out.
ParlaMint-NO_2013-03-07.ana.ud1208e1248	I would like to stress, as the Minister for Development also now said, that of course it is not that we impose Norwegian abortion legislation on other countries. We have no instruments for that either. Neither do we want to cooperate with just those countries that solve these questions just like we do. But what we have done, and we want to continue to do – which I hope Norway will always be at the forefront of – is to take this development further in the right direction. What we both have now pointed out is that if Norway, of all countries, now tightened up on abortion legislation, it may, in addition to all the domestic policy responses it would lead to, have a significant foreign policy downside, because it will send signals that we too are now on the bile that draws a number of acquired rights in the wrong direction. We're going to cooperate widely. We have tolerance for more vision. We're also going to continue working with people at home about what we agree on, even though we disagree on other things. But a trend in the opposite direction will definitely be noticed, and not in a positive way. For my part, I do not intend to say more in this debate. I just want to end by saying that what this also illustrates in a good way is that the UN is also an arena for normative questions. The normative issues can sometimes reflect the normative debates we have at home, in each country. It's good we have an international arena, because we're talking here about issues that not only concern the inhabitants of a single country, but humanity as a community. Then we have to talk about it in Stortinget, we have to talk about it in the UN General Assembly, and we have to talk about what it belongs to. Then I want to use the opportunity to thank Morten Höglund for very good cooperation, since this, as I understand, is Höglund's last debate in the Storting in the period and thereby on the Stortinget. It's been a very good collaboration, and I appreciate what we've done, and probably will also do in the future.
ParlaMint-NO_2013-03-07.ana.ud1208e1261	The representative Hans Olav Syversen has asked for the floor, but as I understand it, the representative Syversen under the regulations does not have the opportunity to have further comments. Several have not asked for the word. Debates of the European Parliament So 2 and 3 are done.
ParlaMint-NO_2013-03-07.ana.ud1208e1269	The size should vote on the matters on today's map.
ParlaMint-NO_2013-03-07.ana.ud1208e1277	A total of 16 proposals have been put forward during the debate. It's the proposals No 1–5, by Øyvind Hope on behalf of the Progress Party, Right and Christian People's Party the proposals No. 6-8, by Øyvind Korsberg, on behalf of the Progress Party and Right-wing Proposal No. 9, by Øyvind Hope on behalf of the Progress Party and the Christian People's Party the proposals No. 10–16, from Øyvind Korsberg on behalf of the Progress Party There is a vote on the proposals Nos. 10-14 and proposal No. 16, from the Progress Party Proposal No. 10 sounds: ‘The Government asks the Government to investigate the possibility of a sporting lift according to the model of the Cultural Lift.’ Proposal No. 11 sounds: ‘The government is asking for proposals for financial resources equivalent to the State guarantee for the Youth Olympics for investment in children’s and young people’s rights throughout the country.’ Proposal No. 12 sounds: ‘The Government is asked to ensure that new measures and priorities for sport referred to in the notification, which are not otherwise apparent, are financed in the framework of the games.’ Proposal No. 13 sounds: ‘The Government is asked to take the necessary measures to eliminate the delay in funding for the construction of sports facilities.’ Proposal No. 14 sounds: «The government is asked to carry out an evaluation of current grant schemes for activity and installations.» Proposal No. 16 sounds: ‘The Government requests the Government to make the necessary proposals to introduce from the autumn of 2013 one hour of physical activity each day for primary school pupils, with a corresponding increase in the frame-hour period.’;
ParlaMint-NO_2013-03-07.ana.ud1208e1334	There is a vote on proposal No. 15 from the Progress Party. The proposal reads as follows: ‘The government is asking the government to extend the current system of cabins in the lowlands to provide support for the overnight part of these cabins.’ The left has announced their support for the proposal.
ParlaMint-NO_2013-03-07.ana.ud1208e1351	There is a vote on proposal No. 9, from the Party of Advancement and the Christian People's Party. The proposal reads as follows: ‘The government is asking the government to maintain the current system of community facilities, including the measure item for simplified community facilities.’ The right and left have announced their support for the proposal.
ParlaMint-NO_2013-03-07.ana.ud1208e1367	There is a vote on proposal No. 8 from the Progress Party and the Right. The proposal reads as follows: ‘The government is asked to consider carrying out pilot projects that increase awareness of how youth self-organised sport can best be developed within organised sport.’
ParlaMint-NO_2013-03-07.ana.ud1208e1381	There is a vote on the proposals Nos. 6 and 7, from the Advancement Party and the Right. Proposal No. 6 sounds: ‘The Government asks the Government to review the game scheme to assess whether preparation machines should also be included in the game scheme.’ Proposal No. 7 sounds: ‘The government is asking the government to ascertain whether the current grant and allocation schemes adequately respect the characteristics of the self-organised sports.’ The left has announced their support for the proposals.
ParlaMint-NO_2013-03-07.ana.ud1208e1404	There is a vote on the proposals Nos. 1–5, from the Party of Advancement, Right and Christian People's Party. Proposal No. 1 sounds: ‘The Government is asked to assess, together with sport, the need for coordination of national and regional plans for sports facilities.’ Proposal No. 2 sounds: ‘The Government is asked to examine concrete measures to improve the organisation of the participation of disabled persons, including removing the 26-year limit on grants for equipment, strengthening access to personal assistants and leisure transport.’ Proposal No. 3 sounds: ‘The government asks the government to facilitate increased swimming activity by considering the inclusion of outdoor bathing areas in the Toy Scheme.’ Proposal No. 4 sounds: ‘The government asks the government to investigate how studies and study funding can be better organised for top athletes.’ Proposal No. 5 sounds: ‘The government asks the government to ensure that the sport itself can be integrated into the university’s and university’s sporting offerings.’ The left has announced that they will support the proposals.
ParlaMint-NO_2013-03-07.ana.ud1208e1496	There is no record. Thus, today's map has been processed. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
