ParlaMint-NO_2013-12-18.ana.ud2341e26	The representative of Ms Olug V. Bollestad will present a proposal for a representative.
ParlaMint-NO_2013-12-18.ana.ud2341e1185	The size can point out what you want, and that's why we're doing it now. We believe it is quite natural that the government also discusses this. I record that during the same answer we have somehow received both a yes and a no for a new assessment. This must mean that the government must discuss the follow-up after we have reached a conclusion from the Court of Justice of the European Union, and we look forward to that. Finally, let me challenge the Council of State on a very concrete issue, because a concern about the Data Storage Directive has been media source protection and the protection of alerts. In the context of the examination of this matter in the spring of 2011, the Norwegian Press Association, the Editorial Association and the Journalist team asked that a selection be set up in cooperation with the media organisations to review and submit proposals to strengthen media source protection in the light of the Directive. Is it possible for the government to re-assess these types of measures that can help us look at the consequences of the directive? Will the Council of State consider that?
ParlaMint-NO_2013-12-18.ana.ud2341e1196	I think it is interesting that a former member of the government now hopes that a new government will transform decisions that his old government agreed to make – and decisions that they made. As I said in my answer to the first question, we want a thorough assessment of the case when the final judgment of the European Court of Justice is in place. It is then natural that we look at all cases, as the Court of Justice may give us new signals that give us the basis for new rounds in the European Union. But one might say that everything is going to be what it's been decided before. It would be a little pointless for me to start wondering about all the eventualities before you know what the European Court of Justice actually says.
ParlaMint-NO_2013-12-18.ana.ud2341e1208	‘It has long been known that the Swedish FRA Act opens the way for Norwegian citizens to be monitored by Swedish authorities. It is a serious problem that our communication is monitored without the knowledge and influence of the Norwegian authorities in relation to it, that the judiciary is not involved, and that this information can be passed on to the powers of other countries. Is the Council of State willing to assess a new Internet cable to mainland Europe so that Norwegian Internet services can be routed outside Sweden?’
ParlaMint-NO_2013-12-18.ana.ud2341e1215	Let me first say that I am very concerned about privacy, and for that very reason this government has taken some initiative towards Sweden in terms of privacy in the light of the FRA Act. It's more than the experience that the previous government did. That is why I am very proud of the work we have started. With regard to the specific issue, there are already fibre cable connections from Norway both across Skagerak to Denmark and across the North Sea to the United Kingdom — in addition to those that pass through Sweden. International cable connections are established by private echo operators on the basis of commercial market demand assessments. So today there are opportunities to route the traffic into the world outside of Sweden. I want to be positive if the echo provider wants to make additional investments there, but that's something they have to do themselves. My mission is to make sure that we have contact with Sweden, and I have already been to Sweden and talked to the Swedish Council of State to ensure that Norwegian privacy concerns are respected as well as possible in the meeting with the world around us.
ParlaMint-NO_2013-12-18.ana.ud2341e1224	Last spring, there was a proposal in the Stortinget that both the Left and the Advance Party voted in favour. In that proposal, the Stortinget asks the Government to: ‘look at and come back to the Stortinget with proposals for solutions that prevent information and communication from Norwegian citizens being routed via countries which have laws that allow authorities to check the telecommunications and email content of individuals’. Do I understand the Council of State right when he no longer sees the need for such an investigation and to try to put in place alternative cables to route outside Sweden?
ParlaMint-NO_2013-12-18.ana.ud2341e1234	As mentioned, I have been to Sweden and talked to the Swedish Council of State about the problem we experience around the FRA Act from Norwegian privacy. I felt that they had an understanding of our views. We're still going to have a dialogue on this. But it is a complicated matter, because also in Sweden this was a controversial issue that had been adopted, so I do not expect them to turn around overnight. But I am very happy to have received the feedback I received in the first round. As I also mentioned, there are already fibre cable connections out of Norway – not just through Sweden, but to Denmark and the United Kingdom. In this way, there are the possibilities that the representative is asking for. That there is a need for additional cables, is well possible, and we have an ambition to expand the infrastructure for fiber, broadband and that kind of thing to a greater extent than what has been done. There was a strategy from the previous government, and we have the ambition to strengthen it, both because it is important for individuals' ability to communicate between themselves and because we would like to look at the possibility of developing a better data industry in Norway. Then cables are an important part.
ParlaMint-NO_2013-12-18.ana.ud2341e1241	I thank you for the answer so far, and I am very pleased that the Council of State takes the privacy considerations seriously, and that he has been in Sweden to discuss these issues with the Swedish authorities. I wondered if the Council of State could be a little more specific about what he raised with the Swedish authorities and what he considered to be a problem on our part, and – not least – whether he could be a little more specific about what positive signals he might get from the Swedish authorities, and what they would do to ensure that Norwegian citizens are not affected by the FRA Act.
ParlaMint-NO_2013-12-18.ana.ud2341e1248	I had a meeting in Sweden at the beginning of December, and then I took up a lot of different relationships that I also think Left will be satisfied with, among other things. cross-border rail traffic and the type of thing. I also communicated our concerns when it came to ensuring the privacy of Norwegian citizens in the domestic traffic that is occasionally routed through Sweden, but far from to the extent that the media has given the impression. The majority of Telenor’s traffic is routed only internally in Norway, according to Telenor. When I am satisfied with the answers I received, it is because the Swedish authorities did not say that it was not appropriate to discuss this with us. On the contrary, they showed a great understanding of privacy considerations and issues with regard to what we addressed, because they are equally concerned about it for their Swedish citizens. To figure out what possibilities exist, they were willing to discuss. More detailed than that, I do not want to say it, but we still have contact. It's a better contact than what you've had before, and that's why I think we're going in the same direction, the representative and I, and then we're going to hope that the results are coming quickly.
ParlaMint-NO_2013-12-18.ana.ud2341e1261	This question, from the representative Sverre Myrli to the Minister for Foreign Affairs, will be answered by the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and relations with the EU on behalf of the Minister for Foreign Affairs, who has been away.
ParlaMint-NO_2013-12-18.ana.ud2341e1264	‘On December 18, 2013, it is 100 years since Willy Brandt was born. His long political activity was characterized by the struggle for peace, reconciliation and disarmament. Brandt was an important supporter in normalising and developing Norway’s relationship with Germany. Today, in Norway, we see a renewed interest in Germany, the EU's heaviest Member State. How does the Minister for Foreign Affairs think that the legacy of Brandt on closer relations between Norway and Germany can best be further developed and strengthened?’
ParlaMint-NO_2013-12-18.ana.ud2341e1271	Today it is 100 years since Herbert Frahm was born in his hometown Lübeck. 20 years later, a young man ashoreed in Oslo port. The party he belonged to had been banned by the Nazis. There were not many days before his first article was printed in Norwegian newspapers, signed with the pseudonym Willy Brandt. Willy Brandt played an important role in rebuilding the historic close relationship between Germany and Norway after World War II. Erna Solberg's first visit as Prime Minister went to Berlin, where she was received by Chancellor Angela Merkel. There was one expression of the close ties between our countries. In the Sundvolden platform, the government states that it will deepen bilateral relations with central European countries, and among them, of course, is Germany. The links between our two countries are very well developed in almost all areas. The trade in 2012 was approx. 175 B.C.E. kr. Norwegian energy plays a key role in the extensive ‘die Energiewende’ in Germany, the conversion to the use of less polluting energy. The number of Norwegian cultural workers in Berlin is approaching in the nineteenth century, and Germany is the main market for Norwegian cultural exports. The number of German students in the Norwegian school is increasing, and there are more football players in the German Bundesliga than in the English Premier League. Willy Brandt was also a significant European politician. He was strongly committed to European cooperation and to Norwegian participation in European cooperation. It may be said that it is in Willy Brandt’s spirit when the government prioritizes Norway’s relationship with Europe, for example: made visible by a separate State Council on EEA and EU matters. In many ways, Norway’s way to Europe and to EU decision-making processes are going through Berlin. I am happy to record the strong interest and the strong openness of German governments have shown and shown Norway. This goes back a long way, and has repeatedly proved to be important for Norway’s relations with the EU. Both the government of Solberg and our predecessors have had close contact with German colleagues on EEA and European issues. We work together on a number of issues – energy policy, international disarmament and development issues and the North, to name a few. Yesterday a new government was sworn in in Berlin. We have already taken initiatives to quickly establish contacts with this new government, and let me conclude by saying that political cooperation between our two countries is not just between governments. Here in Stortinget, a Norwegian-German partnership group has existed for a long time, and it is a work I want to praise. Parliamentary cooperation and party contacts between our two countries are important parts of our relations.
ParlaMint-NO_2013-12-18.ana.ud2341e1286	It was very good here, and it's actually also so that there are still more Norwegian footballers in Germany, now last with Rune Almenning Jarstein's transition to Hertha Berlin. I am somewhat uncertain about whether the government should thank you for that, but in any case, I am very happy about what is happening. I am also very pleased that Erna Solberg, as the third Norwegian Prime Minister, chose to take his first trip abroad to Berlin. It is a clear and clear signal – very good. Norway has had its own Germany strategy for quite a long time. It has been a strategy for areas that are important for business, it has been in the field of energy policy – which is very important in the contact between our two countries – it has been about political exchanges and relations in general, about culture and not least about languages. My question is: does the government want to continue the strong and good cooperation and strategy that has been in relations with Germany?
ParlaMint-NO_2013-12-18.ana.ud2341e1293	I can confirm that the government wants to continue and strengthen this cooperation, because it is so important to us bilaterally, and because it is so important to us in an EU and EEA context. In this context, I can mention that the German strategy, which was first adopted in 1999, and which was revised in 2007, is now undergoing a new revision. We think it is important that we capture the breadth of Norwegian-German cooperation even better, and that is why we have started work on revising and updating that strategy. I am pleased that there is a great deal of agreement on that strategy, and that there are many actors working in the framework of that strategy, to strengthen the Norwegian-German relations. And we are excited about Norwegian footballers in Germany, even though we do not take credit in any way for being there or for the goals they score!
ParlaMint-NO_2013-12-18.ana.ud2341e1300	Willy Brandt, through his long and political function, had a thought of ‘change through approach’, as he called it — one must know one another, one must understand one another, one must approach one another in order to solve common challenges. After all, Brandt's work of life was in many ways his «East Policy», for which he also received the Nobel Peace Prize, which was about one having to have a stronger approach to those who, in many eyes, were viewed as enemies or opponents. There is no doubt that the issue of language is a challenge for a stronger convergence between Norway and Germany. Over several decades, there is no doubt for a few Northmen who have learned German, and who master German well enough, but fortunately we see some positive trends now. My question is: is the government concerned with ensuring that we have sufficient competence in Germany and the German language in Norway, and how to develop that competence?
ParlaMint-NO_2013-12-18.ana.ud2341e1307	I believe that the development of knowledge in the Norwegian community about Germany is something that increases by expanding and deepening cooperation in many areas, and that is why this is a work on how many actors are involved. Then the internationalisation of Norwegian education and research is very important, and the EU is the main instrument for internationalising research, and Germany is an important partner in this respect. In the field of work at the Internationalisation School, language and language training are important. We are pleased with the strengthening we see that more students choose German, and we hope and believe and will work to ensure that it will also provide a basis for increased knowledge about Germany and the importance of Germany as a partner for Norway.
ParlaMint-NO_2013-12-18.ana.ud2341e1320	The next question is from the representative Anniken Huitfeldt to the Minister for Foreign Affairs, who is also answered by the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU, when the Minister for Foreign Affairs has left.
ParlaMint-NO_2013-12-18.ana.ud2341e1323	My question is about women's rights to reproductive health: ‘Norway has worked for many years to strengthen women’s rights to reproductive health. Internationally, we have met forces against both increased transparency and preventive health work in this area. What will the Minister of Foreign Affairs do to ensure women's right to abortion and prevention in countries where this is not part of the healthcare system or is prohibited?'
ParlaMint-NO_2013-12-18.ana.ud2341e1337	The government is continuing Norway’s commitment to global health. The 2014 budget shows our commitment to achieving these objectives by the end of 2015, with particular emphasis on the Millennium Development Goal No. Four and five. We have a budget increase in our international health exposure from this year, we are active in all the main international arenas for women's and children's health, including reproductive health, and in the World Health Organisation we are actively involved in strengthening the normative foundation for health, especially for women and children. Women's right to reproductive health is part of the work on Millennium Goal No. Four and five. Family planning is an effective and reasonable measure to ensure safe pregnancy and safe births for both mother and child, and the fact that family planning actually works as well is perhaps our strongest argument in meeting opponents. There are too many women who die as a result of dangerous abortions. Let me mention some of the tracks the government is working along to preserve and strengthen women's right to reproductive health. We contribute to the implementation of the recommendations of the UN Commission on Vital Medicinal Products for Women and Children. Norway has this year channelled 450 million. kr for this, of which 150 million. kr is earmarked for reproductive health and will be continued in 2014. Norway helps to reduce the price of contraceptives by providing a guarantee of large purchases, which has led to halves of prices. And in order to get more people to use contraceptives, it is important to provide training to health workers, to young people and to women. Reproductive health is a matter of human rights. Through the World Health Organisation, WHO, and through the UN Population Fund and the UN Human Rights Council, Norway is working to promote sexual and reproductive rights. We also give priority to giving women access to safe abortion. Support for this work increased by 20 million. kr 2013 and this increase will continue in 2014. The support is distributed through a number of non-governmental organisations specialising in working for safe abortions, and this local knowledge is important in order to be as effective as possible in working in difficult national contexts. International work, the normative discussions on reproductive health, prevention and abortion are demanding and sometimes controversial. The more important it is that we carry on the good work that is already going on — and has been going on for a while — and that brings results for the health of children, young women and mothers.
ParlaMint-NO_2013-12-18.ana.ud2341e1350	Of the questions answered by the European Minister, this is, as he says, the most controversial with abortion, and in that case small changes from the Norwegian side, such as the right of reservation, could receive international attention as a step in the wrong direction. And that's why it's so important that this government is active in all the international assemblies where it's possible to address this issue, because there's often a lot of opposition from the other countries, much greater than in the other issues about mothers' rights. So my question is, in which assemblies has the government raised this question since it joined?
ParlaMint-NO_2013-12-18.ana.ud2341e1355	Norway works in the bodies where this is on the agenda, and we work along the same lines as previous governments. Not least within the World Health Organisation, important normative work is in progress; among other things, we see it as important that the WHO guidelines on abortion in healthcare are implemented. So there is no secret that there are controversy about this work in the UN, and that many UN organisations and UN bodies are characterized by the standstill in this work, but from the Norwegian side we consistently emphasise the importance of safe abortions, and Huitfeldt's representative can be sure that the line that Norway has been on here will be continued.
ParlaMint-NO_2013-12-18.ana.ud2341e1360	I am pleased that we are going to continue the Norwegian line, but this is also about using their intended speaking time to address this issue – because it is not always going to be applauded when you raise questions about abortion in international congregations. So my question is, where has the Foreign Minister taken this up since he joined?
ParlaMint-NO_2013-12-18.ana.ud2341e1365	I am not familiar with where the foreign minister has specifically addressed this, and in the two months the government has been sitting, nor have I become aware of what concrete multilateral and bilateral meetings this has been natural to address. But that does not mean that we will not take it into account in the context where it is important and natural, and there the representative Huitfeldt can be absolutely sure that Norwegian positions will be continued, whether it be the UN Human Rights Council, the WHO or in other UN contexts.
ParlaMint-NO_2013-12-18.ana.ud2341e1374	My question goes to the Minister for Climate and Environment: ‘How does the Council of State feel that nature considerations, reasons for outdoor life and concerns for owners are better protected than at present by a comprehensive liberalisation of the scooter driving rules and does not become a comprehensive attempt only when it is in any case thinking of implementing legislative changes with the liberalisation of the rules for scooter driving without having properly evaluated the trials?’
ParlaMint-NO_2013-12-18.ana.ud2341e1381	The scheme was initiated by the previous government and was originally to be limited to 40 municipalities, but we extended it to the approximately 100 municipalities that have notified their interest. The Ministry of Local and Regional Affairs, which administers the Test Act, has assessed the issue of the legality of this, and I have explained the judgment of the Ministry of Local and Regional Affairs in my reply of 11 December to written question No. 158 from the representative of Terje Aasland. The Ministry of Local and Regional Affairs concludes that the experiment is in line with the objectives, limitations and other conditions of the Test Act. The Ministry of Local and Regional Affairs believes that the experiment is aimed at the purposes covered by the Test Act and that it has a real experimental character and is not a general reform. The scope of the experiment is broad and within the framework of the law to gain experience with a wider range of municipalities. The government does not aim to increase the use of snowmobiles in Norwegian nature. What is important for the government is to allow local communities to have their own land, including the ability to decide whether to establish snowmobile runs. Many municipalities in Norway have large areas and little people. The government is based on trust policy. I trust that those who rule in Municipality-Norway have the ability and the desire to take into account all their inhabitants and visitors, both those who want quietness and tranquility, and those who want other experiences. In any case, it's not that the municipalities can do anything. There is a clear national framework for the experiment. These runs shall be established by spatial planning according to the Planning and Building Act. This ensures broad involvement of interested parties. There are limitations on where the loops can be placed, among other things. municipalities must avoid protection areas. Furthermore, municipalities must take into account, for example, the setting of loops. noise and other handicaps to outdoor life, natural diversity, residential and cabin areas, cultural memories and the cultural environment. Municipalities must investigate the effects of loops on outdoor life and natural diversity. They must map and value open-air areas where the loops are planned. In other words, it is not clear. In the case of landowners, the rule governing the experiment explicitly states: ‘The Commission may not take a final decision on snowmobile loop until private and public landowners have agreed to use snowmobile services for the part of the track relating to their property.’ These days we have started working on a letter of consultation with proposals for amendments to the law on motor travel in land and watercourses, which will give municipalities greater access to managing motorised outland traffic on a permanent basis. The letter of consultation shall be sent on a regular basis, subject to a reasonable period of time, to give an opinion. The hearing opinion, together with the experience gained from the pilot scheme, including experience from the planning work of the municipalities, will form the basis for the legislative proposal that the government will ultimately promote for the Stortinget.
ParlaMint-NO_2013-12-18.ana.ud2341e1408	I would like to thank the Council of State for the answer, but I wonder about the whole process that has been: When carrying out an experiment, it is common to evaluate the experience of the experiment before deciding to proceed. But here it was about rolling out an experiment in about a quarter of the country's municipalities and letting it be the first step on the road of what should be the democratic and good process of a legislative change. This way of doing it is, in my opinion, very undemocratic, because you roll out an experiment in a quarter of the country's municipalities, but you really don't intend to look at the broad experience of how this works in the municipalities before going on. My follow-up question to the Council of State is therefore: Does the Council of State see that this is not a lucky democratic way to do it when planning a legislative change?
ParlaMint-NO_2013-12-18.ana.ud2341e1421	We run the experiment to gain experience in the legal work, so that the law is as good as possible. It will be in everyone's interest.
ParlaMint-NO_2013-12-18.ana.ud2341e1426	Then, of course, the Council of State did not answer my question as to whether she sees that it is undemocratic when one really chooses not to run the experiment fully, but only evaluates a very small part of the trial before going on. That's why my question is left: Does the Council of State see that it is not possible to evaluate the whole experiment before implementing a change of law, and that, in my opinion, this is an undemocratic way of doing this? The Council of State has said that it makes an impression when 42 000 people in a short time have signed on a propeller saying no to carry out and unroll the test system to be put in place. The peasants, representing many landowners, have been opposed. The outdoor organisations, which are the broadest representatives of public engagement in nature, also clearly say no. How does this impress upon the Council of State, when the Council of State nevertheless chooses to move forward?
ParlaMint-NO_2013-12-18.ana.ud2341e1439	I am pleased with the great commitment in the matter. We need strict frameworks for motorized traffic, but for our government, local self-government is important. In this country, we have large areas and a few people. When I visited working party rapporteurs from Inner Namdalen, they said that in the four municipalities they had the same area as Oslo, Akershus, Østfold and Vestfold together. There are 1.7 million people living on that area, while there are 8,700. I think it's possible to combine snowmobiles with quiet nature.
ParlaMint-NO_2013-12-18.ana.ud2341e1452	‘The Board of Governors of Innovation Norway has recently decided that the two new seed mandates, which came into the revised budget, will go to the Proventure and Alliance Venture. These two funds will cover the important energy and IT sectors. However, the allocation implies that early-stage companies in the vulnerable Norwegian pharmaceutical/biotech industry will remain standing without seed. What will the government do to ensure continued access to capital for start-up and early-stage companies in this sector?’
ParlaMint-NO_2013-12-18.ana.ud2341e1459	I am pleased that the managers of the two new nationwide seed funds are in place. The funds are now going to raise private capital, and I expect them to make their first investments in the summer of 2014. The ability to develop new, innovative businesses is important for future growth and jobs. First of all, the market is to finance businesses. It also applies to these types of establishments. Investors have the main weight of capital and the skills needed to develop new businesses. The government has therefore taken action to strengthen private investors through tax relief on wealth, inheritance and income, for both individuals and businesses. However, the State has a role to play in contributing to the financing of enterprises where the market operates to a limited extent. This is why we also have comprehensive business-oriented instruments, where Innovation Norway manages some of the most important – in particular through loans and grants. In the very early stages, theinstitutional grants are particularly important. Minor grants are provided here to enable entrepreneurs to check out their ideas or market plans. Through the Norwegian Research Council, the Commercialisation Programme, Renew 2020, offers grants for verification and evidence that research results can be commercially used and thus become attractive to investors. I would also like to highlight Innovation Norway's schemes with research and development contracts and environmental technology schemes, which are particularly important in order to produce new, innovative projects. This is a system that is open to all sectors, including the pharmaceutical and biotechnology industries. Today, we are already investing heavily in research in the pharmaceutical and biotechnology industries, and we have had good success, among other things. Carcinogenic Algeta. The figure from the Treasure Fund shows that about 10 pst. of the projects supported are in the field of health. The government has in our political platform that we should increase the funds for the Seed Funds in order to further develop new businesses and innovations. There are many good entrepreneurs with a wide range of ideas out there – ideas that we will live on in the future. Therefore, it is important that we have seed funds and other capital and competences available to more industries than ICT and energy. The specific areas in which each fund is to be invested must be decided by private investors. They risk their own money, and we know that the competence of sectors is crucial for creating a fund for a good return for investors and therefore for society as well.
ParlaMint-NO_2013-12-18.ana.ud2341e1476	I thank you for your answer. I just want to add that Sarsia Seed, which is the seed fund that has worked towards this area today, has registered 70 qualified companies that are ready for start-up. They have also mobilised private capital that could have matched public capital, and this was really the third fund that was ready to establish itself. There was initially some scepticism as to whether there was enough private capital to match these new seed funds. Now it turns out that it is. As of today, there are 70 companies that are ready to start, and the alternative is that all the investment we have in health research is capitalised abroad and not here in Norway. When – because it takes almost a year – can you expect a new call so that they can apply again?
ParlaMint-NO_2013-12-18.ana.ud2341e1483	The government has said that it should invest in several seed funds. Then it depends on how quickly private capital can be acquired and on the individual state budget treatment when this can be obtained up and down. I can't forge day and time for it, but it's gonna happen. The Health Declaration is a four-year plan, so we're working on seed capital because we know this is important. I know well about Sarsia Seed, as the representative asks.
ParlaMint-NO_2013-12-18.ana.ud2341e1488	I just want to remind you that all the other seed funds have been included in the revised budget, so it would have been very positive about the Council of State – I know that she has been sitting in the Council of State for a short time – very soon could give signals that they could behave accordingly. We've invested heavily in Oslo Cancer Cluster. If we are to materialise, create new jobs for entrepreneurs, and not least avoid a doubling of the economy, it is incredibly important that we bet when businesses are clear about such an important knowledge industry.
ParlaMint-NO_2013-12-18.ana.ud2341e1493	Oslo Cancer Cluster was, as far as I know, the Workers' Party actually opposed, because it was some kind of OPS cooperation, but I'm not going to go into it. I take with me the good advice to work for seed capital. It is also stated in the Sundvolden Declaration, which we intend to follow up.
ParlaMint-NO_2013-12-18.ana.ud2341e1504	«Previous Minister of Industry of Right Ansgar Gabrielsen raised the issue of equality in business by introducing 40 pst. gender quotaing in the ASA controllers. What are the ambitions of the Council of State to ensure that more women take leadership positions in business, such as the board of directors, management roles and the establishment of companies?’
ParlaMint-NO_2013-12-18.ana.ud2341e1511	The requirement for 40 pst. representation of both sexes in ASA controllers has helped increase the proportion of women in such controllers, from 7 pst. in 2003 to 40 pst. in 2008. It is therefore in place to give tribute to the previous bourgeois government and former government councilman Gabrielsen for the job that was done to raise the proportion of women in the boardrooms. Of new enterprises that start up each year, 15-20 pst. by their female Executive Director and/or Chairperson. Almost 60 pst. of newly established enterprises have only male employees. The explanation for this is that most Norwegian limited liability companies have a few owners, and half of the companies have only one member of the board – namely the board manager – which naturally makes gender equality impossible. We still have a great potential for improvement. The Ministry of Economic Affairs and Trade is working to increase the number of women in management and board of directors and is seeking to help more women start a business or choose a career in industrial research. This is particularly the case through the economic actors Innovation Norway, SIVA and the Norwegian Research Council. One of these actions is Innovation Norway’s ‘Women in Business’ programme, which aims to contribute to increased value creation and innovation by increasing women’s participation and position in business as entrepreneurs, managers and board members. SIVA has the initiative ‘Women’s Innovation’, where participants are motivated to become leaders and directors, and where they are linked to professional networks for increased access to capital. Reports from participating environments show that both the number of entrepreneurs and the proportion of women in the company mass have increased as a result of concrete activities undertaken with support through the SIVA. In recent years, the Ministry of Economic Affairs and Trade has been working to identify suitable female candidates for executive positions. As a result, the number of female directors in the 24 companies in which the department manages ownership now amounts to 42 p.m. That's good, but still this is a responsibility I take seriously, and which I will follow up continuously.
ParlaMint-NO_2013-12-18.ana.ud2341e1526	The voting rules were controversial – not least in the Right, I think – when they were proposed and adopted, but today that discussion has calmed down considerably. The rules on sex quotaing in ASA controllers also raise international interest. Several countries have introduced similar demands after we did so, and even more are likely to do so. I think the Minister of Industry spoke a lot about the current situation, but my question is about the Minister of Industry, including in this field, having ‘new ideas and better solutions’ – which was a constant theme in the election campaign. I did not now get any new measures, other than looking at this. Can you now give some concrete input into how you want to establish more women in top management in business?
ParlaMint-NO_2013-12-18.ana.ud2341e1535	This is a work that must be done every day. I'm not busy reinventing the powder if the job we're doing actually works. There are some programmes in place that work, and we are also following a programme under the NHO-Registration – Female Future. This is about doing the job every day: when you select board members, when you create lists, when you talk to organisations, when you talk to people, and when you're on company visits and you ask what your gender balance is. This is a work I do every day. I've done that since I joined, and I'll keep doing that. That's the point. This must be followed up daily.
ParlaMint-NO_2013-12-18.ana.ud2341e1540	It's very positive to hear it. Norway is one of the world's most equal societies. In fact, figures from the Statistical Centre show that gender equality – in our long-term country – has a number of geographic dividing lines. North Norway and the East are very high, while the South, the West and the South East are even worse off in women’s representation. With regard to education, too, there are dividing lines around the country, and there is also a need to influence what you want to bet on with regard to career choices after completion of education. Does the Council of State see any challenges that can be addressed in relation to the gender divide?
ParlaMint-NO_2013-12-18.ana.ud2341e1549	Geography probably tells us something about divisions. Social differences tell us about divisions. Education tells us about divisions. There are many things that make there are differences in this country. I still think it's about doing the job every day. When we sit in the department in Oslo and have to choose, for example: Members of governments, we need to think of the whole country, both genders and different backgrounds – different political backgrounds, such as: It's about doing the job every day, whether you're in South Africa or in North Norway.
ParlaMint-NO_2013-12-18.ana.ud2341e1558	‘The Horne City Council has expressed itself in different directions in relation to equality. For example, we have been able to read that she thinks that equality has come too far, and that housewives are more discriminated against than homosexuals. In which area does the Council want to reverse equality, and how far back do we need to get to the desired level?'
ParlaMint-NO_2013-12-18.ana.ud2341e1565	I thank you for the question. We have come a long way in gender equality in Norway, as the 100th anniversary of women’s voting rights has also made clear this year. Nevertheless, there is a long way to go before we can say that there is full equality between women and men. The government's aim is for women and men to have equal opportunities for participation and freedom to make their own choices. Equality is about non-discrimination and non-equity, it's not just about a millimeter. The government will develop a forward-looking gender equality policy. We will strengthen equality and create a better protection of discrimination for all. The government will promote a universal equality and anti-discrimination law. The government will also work on issues that are important to women and men in everyday life. Action areas will be education, working life and the fight against violence in close relationships. The government wants to stimulate more, not least boys, to choose non-traditional professions and careers. The government also wants to strengthen the skills of the women’s dominated professions, including: in the care sector and in kindergartens. Furthermore, the government will work to reduce the use of involuntary part-time. Action against violence in close relationships is also an important part of gender equality. Like the Stoltenberg government, this government will also strengthen the offer to young violent perpetrators and children under the control of family protection services and the foundation Alternative to violence. In total, the government strengthens the offer by 7.8 million. NOK, which is 2 million. kr more than the Stoltenberg government proposed. This isn't going to reverse the equality. The measure of equality today is not that women and men behave equally and make completely equal choices. The aim is that opportunities should be good enough and really equal for women and men. Some women and men will bet on careers, while others want a quieter everyday life, to get more time for children and family or for other interests. My point is that we should not make poor or have a demeaning attitude toward the women and men who, at different stages of life, make a different choice, or choose to be at home. The government is concerned that it should be up to the family itself how it should organize its life, not that we politicians should govern the life of the family in detail. These choices are best for each family to make, and we need to respect the choices that each individual makes. The state should not enter into and govern the lives of people in the name of equality. The task of politicians is to make the good choices possible for the individual, and especially for the family.
ParlaMint-NO_2013-12-18.ana.ud2341e1580	I want to thank you for your answer. It's good to say to the right state council that she thinks equality hasn't come far enough. It may be a little in contrast to what the Council of State said during the financial debate: ‘The critique of the past few weeks is that we are immature, and some say that we have put Norway back into the 1950s. Then I want to say that I agree with those who say that we might be the retro government. Retro is as known back again and modern again. The gender equality in Norway has more bones to stand on than the four weeks that exceed the spring quota.’ Here the Council of State says equality is going to go back. If the Council of State, with this premise, makes concrete to the Stortinget what to do in reverse, how far back will one go – what will the blue-blue government do to become what Sovieig Horne calls a retro-regiering?
ParlaMint-NO_2013-12-18.ana.ud2341e1590	This is about politics, and it is about political disagreement – about who it is that should define what equality is. Equality is equality, or equality, and it also applies to freedom of choice. By saying that more flexibility and greater freedom of choice for families are a reversal of equality, the representative is completely wrong. This government is going to have equality in focus. We may want to spend a little longer time than the Stoltenberg II government did, but that's because it's important to bring some different values into the gender equality debate than what the representative Awake!
ParlaMint-NO_2013-12-18.ana.ud2341e1595	Yes, the Minister for Gender Equality has now withdrawn a big message that equality does not come about by itself – so it can signal what it wants. I wonder what the Minister for Gender Equality thinks – what kind of policy tool is she for, what kind of legs does the Minister for Equal Opportunities think should be on? Or is it that our Minister for Equal Opportunities does not recognise that political choices affect the development of equality? Does the Council of State mean that Norway would have been one of the world's most equalised countries without a system of quotas, papers and other instruments?
ParlaMint-NO_2013-12-18.ana.ud2341e1602	Norway is a good country to live in. We have incredibly good parental leave schemes, and we have a flexible working life. It is these schemes that allow both women and men today to choose to be at home with family, but also to be active with their families. The development of kindergartens – for which SV and the Progress Party spoke, but not for Stoltenberg and the Workers' Party, but for which they were and ultimately supported – is an important objective in the gender equality struggle. So I think we need to focus on what's the challenge today, and it's involuntary part-time, getting girls to choose non-traditional professions, and not least to drag men and boys into the gender equality debate. There are important fields in which I, as Minister for Gender Equality, will take part in the further work to achieve more equality – and not least work for a good universal equality law, for which the government in its government platform has said it will work.
