ParlaMint-NO_2013-04-17.ana.ud827e26	The representative of Laila Davøy will present a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e825	As far as road safety is concerned, they are required, according to the general documents, to supervise safety management in the implementation of projects and the safety management of existing national roads. They shall also supervise internal emergency systems. When and where the Road Safety Authority carries out supervision, a task is the Road Safety Authority’s decision. It is not the case that the Ministry of Transport, which owns it, determines where the Road Safety Authority is to supervise. This applies also to all supervision: where they choose to carry out the exact supervision, they are determined on their own. Over the last year, roadside surveillance has carried out 15 inspections, and I expect them to have the same level of oversight in the coming years too, without saying exactly which projects they are going to carry out supervision, for, as I said, it will be up to supervision.
ParlaMint-NO_2013-04-17.ana.ud827e836	‘According to the Rome Journal of 10 April 2013, Akershus has a dramatic increase in the scope of child protection cases. In 2012 Ullensaker and Eidsvoll municipalities have breached deadlines in 60,5 and 76.2 pst respectively. of the investigation cases. In 2010–2013, the size of the population has increased the allocation of municipal child protection. The NRK reports that municipalities have received funding for far fewer jobs than they have applied for, and needs are increasing. Akershus has applied for 56.2 jobs, while funds for 21.9 jobs have been allocated. How will the Council of State meet this growth?’
ParlaMint-NO_2013-04-17.ana.ud827e843	Let me first say that I share with the representative Ulfsten's concern about the situation in many municipalities. Reports from municipalities show that there are still large differences between municipalities, among others. in the case of a breach of time limits. In Akershus, there are individual municipalities with a high proportion of deadlines for investigations. It's good that this gets attention. I am aware that the County of Oslo and Akershus follow the municipalities very closely to improve the situation, and that is in line with government policy. Major intermunicipal variations are one of the reasons why the government has increased the number of child protection posts over the last four years through government appropriations. The government's child-restraint promise started in 2010 with a specific increase in the free income of municipalities, justified by the needs of child-restraint. Then, in 2011, 2012 and 2013, there have been earmarked funds for new positions in municipalities. In total, this has enabled municipal child protection to recruit 850 new professionals. The initiative provides a boost for the entire protection of children, with a particular focus on strengthening child protection services in the most vulnerable municipalities, providing better skills and strengthening supervision. Reports from municipal child protection in 2011 and 2012 show, for the first time in a long time, a positive trend in the reduction of the proportion of offences committed on a national basis. In 2012, the rate of break in time was 15 pst. This is a decrease of 2.5 percentage points from 2010, but there is still a serious situation. This is equally full evidence that the child protection promise has helped reverse a negative trend. The government continues to invest in municipal child protection in 2013. This year's bet gives 270 new jobs. Systematic development of competences is also an important tool for improving the provision of child protection services. In 2013, child protection services will be able to apply for funding for empowerment measures based on local needs. The county will also organise trade conferences with a view to enhancing the competence of child-restraint workers in national priority areas. Current themes include the handling of messages and surveys, how to deal with violence and sexual abuse against children and how to ensure the participation of children. It is natural for municipalities to apply for municipal child protection posts when the government earmarks funds for this. However, the overall designation does not reflect the government’s assessment of the actual need. Municipalities are obliged to assess this and to contribute to the sea through the prudent disposal of their free revenues. Let me just stress that the organisation and funding of local child protection is the responsibility of municipalities. Earmarking is something special that comes at the top. It helps to make a need that has made child protection services local and local authorities more aware of the needs of their child protection. It's incredibly good, and it's time. But it's not that when we designate positions, we assume financial responsibility for the municipalities. When the municipalities make a need visible locally, I expect local politicians to fill the gap with posts and provide the child protection services they need.
ParlaMint-NO_2013-04-17.ana.ud827e858	I thank the Council of State for the answer. I share the view that responsibility is also with the local politicians. I am also pleased that there has been an increased focus on child protection in recent years, and that concrete measures and resources have been followed up. We have noted with interest the propositions that have been made, and the suggestions in the message section. But when I read this, I'm still left with the thought: Is this too little too late? Will it solve the major challenges we face in many municipalities in growing areas like Akershus? It remains to be seen. So back to what the Council of State said about competence. There is a tendency to point to a lack of competence and poor management as the main challenges of child protection. The council said a little about working more systematically with it. My further question is two-fold: is it not a simplification to pass the blame on to the individual child protection office and individual employees? Can the Council of State be a little more specific in relation to the concrete challenges of the competence and management of child protection?
ParlaMint-NO_2013-04-17.ana.ud827e867	I have a feeling that this is meant to be played out by a specific rapporteur from the Progress Party in Ullensaker, namely Harald Espelund. This is especially so since this municipality has applied for more jobs than it actually has, and then the rapporteur comes later and says that they do not really need this, because there are really bad child-restraint workers who are the problem, not the number of child-restraint workers – which I think is a poor discharge from a rapporteur. I expect better, and that's what I'm going to say more about. That being said, it is absolutely right that we have competence challenges in child protection, but it is related to both the size of professional environments you have and the ability to keep good people. The size of job breaks, e.g. the offer is also a municipal responsibility. It also has an equality side. But it's also about management, etc. We address it in full terms in the proposition to which the representative refers, among other things. the establishment of master-level training for child protection managers.
ParlaMint-NO_2013-04-17.ana.ud827e874	Once again, I thank the Council of State for the answer. It is right that I aim for the wording that applied to the municipality of Ullensaker. As mentioned in my main question, the magazine of Rome has revealed several challenges in child protection. They had, among other things, a notice concerning the municipality of Skedsmo on 10 April. The children's protection in Skedsmo municipality strove last year and had over 70 cases pending. Fortunately, it's fixed up now, and that's good. But the studies from child protection itself show that 60 pst. the reports of concern in the municipality are about violence or suspicion of violence against children. That number surprised them, and it shows me that it's a frightening development. What does the Council of State think about the increasing number of child protection cases being related to violence? Is child protection protected to deal with such matters?
ParlaMint-NO_2013-04-17.ana.ud827e883	It's a very important question that's being asked here. I think this has to do with our society becoming much more aware of violence that affects children. Later today I will open the exhibition "If clothes could tell", which has been here in Stortinget, and which we are now going to show the departments, where the main message is that we don't see it until we believe it. We have to do what the State Attorney said on the Day Revy yesterday, namely be able to imagine that the worst can happen to children. It's a development we're in, by removing taboos and starting addressing issues that have belonged to the private homes, that have not been treated with the seriousness, the searchlight and the attention that the problem deserves. When we start to get this into the light, kids start telling, professionals start seeing, and we start getting better skills and collaboration across. I'm interpreting it as a sign that we're on the right track, and I think we're going to see a development where more and more children's sails are going to say from even when we get better at talking to children.
ParlaMint-NO_2013-04-17.ana.ud827e894	‘In a written question to the Council of State dated 14 September 2012, the Christian People’s Party called for a smooth approach to the requirement of free movement and exercise on grazing in Section 10 of the Code on the keeping of bovine animals. This requirement turns out to be difficult to meet, inter alia. for some farmers with robotics. A survey in the United Nations on 26 March this year tells us that the Food Authority is to ‘clean up’ in the uncertainties of the rules for the keeping of farmed animals. Can the Council of State confirm that a review of Section 10 of the Code on the keeping of bovine animals is part of this work?’
ParlaMint-NO_2013-04-17.ana.ud827e901	The requirement for free movement and exercise of grazing for all bovine animals — including those engaged in loose movement — was included in the 2004 regulation. For detached animals, a transitional period was granted until 1 January 2013. Anyone who has built a plumber after 2004 has been aware that this requirement would be met. It should have been well known. If the grazing requirement cannot be met, the requirement for the use of an appropriate air condition shall be opened. The regulation also provides for derogations in exceptional cases. However, there has been some confusion about the practical design of the air conditioner. Furthermore, there has been uncertainty about the possibility of possibly obtaining a derogation from the exercise requirement where the air condition cannot be used. I have therefore postponed the application of the exercise provision for cattle in bulk operation for one year. The notified review of the Regulation by the Food Safety Authority has as its primary objective the establishment of a more appropriate regulatory structure and the harmonisation of similar provisions for different animal species. This includes, inter alia: clarify unclear wording and propose the deletion/modification of any new requirement where it is deemed necessary. In the work on cleaning up the legislation, the Food Authority has asked for and received input from the industries concerned. Some of the recordings that have been made also include the exercise requirement. In this context, it is mainly concerned with documentation requirements, a better description of when the airspace is considered adequate, and design requirements. Not all recordings have been evaluated by the Food Safety Authority yet. The Ministry is in dialogue with the Food Authority on the appropriate ratification of the regulation on free movement and exercise. The recordings of the Food Safety Authority in its review of all the regulations can be useful in this work.
ParlaMint-NO_2013-04-17.ana.ud827e914	I thank you for the answer, which shows a practical and pragmatic approach to the problem. For a good many dairy farmers who have invested heavily in new operating buildings and robotics in recent years, the debt pressure is so high that they balance on a knife rod in terms of operating margins. Some of these farms have been approved for new buildings which are not close to sufficient grazing area. This in practice makes it impossible for them to meet the requirement of Section 10 of the Code on the keeping of bovine animals, as the cattle milk on the robot 24 hours a day. It is simply impossible to combine the requirement of exercise on pasture with practical solutions for milking. Section 10 of the Regulation provides that the requirement of exercise and free movement can be met by the establishment of an airfield in relation to the operational building. Modern cold spring is a loose spring which largely allows free air flow by allowing large wall slits to be opened and closed as necessary. Is the Council of State agreeing that such cold poultry can be said to be a shelter with roof over, and that cattle in such poultry thus get almost as good animal welfare as in an air condition without a roof in a rainy coastal climate?
ParlaMint-NO_2013-04-17.ana.ud827e921	In the time I have been Minister of Agriculture, I have chosen to travel very much around and meet many farmers. I've been in 16 counties and I've been in fudge almost in all the counties. One of the issues that has emerged is precisely the problem that the representative Reiten is now addressing in relation to the exercise requirement. That's why I also postponed it last fall, because we got that kind of recording. Now we review the legislation and see what adaptations are to be made, so that there is the best possible regulatory framework when animal welfare is the aim.
ParlaMint-NO_2013-04-17.ana.ud827e926	I thank you again for the answer. I mentioned in my first question that many farmers who have invested in new milking robot farm buildings do not have sufficient pasture area near the farm building to meet the requirement of the exercise requirement on grazing. I have also spoken to several of them, and they express their fear of building airfields with systems for fertilising walls with new and modern cold springs, with good airing, good space and loose operation. Such a burden would impose a large additional cost on them, which in turn would render the indebtedness unmanageable. The alternative is to terminate operations rather than risk bankruptcy. What is the Council of State's response to this group of farmers, who have dared to invest in agriculture at a time when more and more farmers are giving up and shutting down farming?
ParlaMint-NO_2013-04-17.ana.ud827e931	The most important answer I have given to those who have invested, and to many of those who have invested heavily, is the general change we made in customs protection. Especially for those who drive big, the customs change we made last autumn means a lot, because it's the volume percentage that makes a earn the most on it. As regards the exercise requirement, it is important to remember that this was decided in 2004, when the Christian People's Party was put in power. It is easy to put forward a regulation in 2004 to be implemented in 2013, as the next state council will be responsible. I really almost want to do the same now, adopt something to be done in 2025, for example. But the point is that we have to take this seriously, and I do that after the meetings we've had. That's why I also stopped it, or put it at risk, to go through it and see what practical adjustments are made, so that we get a good and easy regulation to deal with who puts animal welfare in focus. For animal welfare is one of the highest quality features of Norwegian agriculture, and we have to make sure that we are always in front of that area.
ParlaMint-NO_2013-04-17.ana.ud827e942	I have the following questions for the Minister of Culture: ‘The Ministry of Culture has, in its regulation dated 27 December 2012, given Film & Kino responsibility for the financing of cinematographic works outside Oslo. As the only cinematographer in Norway, Cinemateket in Oslo receives state full funding from the Ministry through the State budget. Film & Kino has now decided to cut support for the other cinematic characters from 2014. What is the reason for this distinction between Cinematography in Oslo and the others, and what will the Council of State now do to secure the economy of the other cinematographic institutions?’
ParlaMint-NO_2013-04-17.ana.ud827e951	Thank you for the question. First, the representative asks about the distinction between Cinematette in Oslo and the other cinematographers, and so I'll do it first. Cinematography in Oslo is part of the Norwegian Film Institute and is therefore financed from its operating budget. This is how it has been since 1994. Cinemateka in the rest of the country was granted State aid from 2004 through NFI. In 2009, funding was transferred to Film & Kino. It is known that the tax revenues of Norwegian cinema and film funds have fallen considerably over the last few years and that the decline may continue. The reduction in revenue, as the representative may be aware, is mainly due to the decrease in the turnover of DVD and the replacement of electronic commerce. It has consequences for the economy of Film & Kino. The NFI manages a national responsibility for knowledge of film heritage and history, which means that the Cinemate in Oslo, which is part of the Norwegian Film Institute, has tasks in addition to those of the other cinematographers. In order to be entirely concrete: as a result of their responsibilities as a national cinematographer, they have active cooperation and an advisory function in relation to regional cinematographers. It's the NFI that has the authority to certify cinematic in Norway. Internationally, the NFI represents Norwegian cinematic industry through membership of FIAF, a world-wide interest organisation for cinematic and film archives. NFI is also a member of ACE, the European Organization for Cinematic Studies. This means that they are in contact with international companies about film copies taken from abroad and that they offer parts of serials to other cinematics. That means that the Cinematographer in Oslo has a bigger administrative task than any of the other cinematographers have, and they also have it on behalf of the other cinematographers in the country. As Cinemateket leader Svein Inge Säther in Trondheim himself stated in the film magazine Montages on December 5, 2012, Norsk Filminstitutt ‘an important driver of the Norwegian cinematic characters, even if they no longer manage funds other than for the Oslo cinematic’. And of course, the Cinematography in Oslo does some of the same things that the other cinematographers do. The Ministry of Culture takes seriously the economic situation of Film & Cinema. We are now looking at alternatives when it comes to financing Norwegian cinema and film funds. Of the measures we are looking at, whether the fees can be set up differently, or whether the tasks of Film & Cinema today should be funded in another way. It is also assessed whether funds can be used for a limited period of time or whether tasks can be moved back to the State budget, such as the Kortfilmfestival in Grimstad in 2013. The economic situation of cinematographers outside Oslo will be included in this assessment.
ParlaMint-NO_2013-04-17.ana.ud827e969	I think I'm going to go in the opposite order of what the state council did, and start with the last thing, what can now be done for the other cinematic characters. It certainly burns a blue light, it's called, for the operation of several of these. There have probably also been cinematographic impairments in Norway – I have heard that Lillehammer, among others. has been mentioned recently. This is obviously a pretty acute problem. The poor economy as a result of lower tax revenues due to a decrease in the sales of DVD also has consequences for the film festivals, which are halved. Then it might seem a little puzzle to say that you can add funds for a limited period of time. There is clearly a need for a system change here, and I see that the director of Film & Kino also says that the state must now take its responsibility.
ParlaMint-NO_2013-04-17.ana.ud827e976	The state takes its responsibility with joy. I outlined three possible solutions to the difficult situation that Film & Kino and those who get their funds from Film & Kino are now in. The three possible solutions are for the first time to change the charging model — it will affect revenue. I would like to stress that it has proved to be a challenging task, but we are going into it with life and pleasure, and would like to find a charging model that asks for longer periods of time. The second possible option is to add more funds for a limited period of time to remedy the situation now that it has been more precarious than the original. The third thing you can do is change the tasks that Film & Cinema has today, and transfer something of the responsibility, for example. back to the state budget, as one has done with the Kortfilmfestival in Grimstad at an earlier time. I do not now decide what solution – one or more – we fall down on, but I look seriously at the situation and I would like to find a solution.
ParlaMint-NO_2013-04-17.ana.ud827e987	This is probably the last option I perceive that the industry feels is the only realistic and sustainable, as the director of Film & Kino has also pointed out. Then I want to go back to this which is on the obvious discrimination that is, no matter what history may have to say about it, between Oslo and Cinemateket in Oslo and the film offer in Oslo through Cinemateket and the other cities. So the Cinemate in Oslo doesn't have to worry about the situation that's affected on this issue because they already have their full funding. I understand that the Cinemate in Oslo can offer school students in Oslo school shows without the municipality of Oslo having to pay for it, while in other cities you have to pay because the economy is considerably tighter. Is it true that the Minister of Culture sees this status of national cinematic as having a special position in relation to the audience and the offer they make to the audience?
ParlaMint-NO_2013-04-17.ana.ud827e996	I think that the role that Cinemathete in Oslo has as part of the Norwegian Film Institute, for which I also did the right thing in the first answer, means that they have a different administrative burden than that of the other cinemateka, because they have an important driving function and a role that also matters to the other cinemateka, in which I feel that the others among the different cinemateka are some of them, and which they also express that Cinemathete in Oslo has a role. I note that the representative Warloe emphasizes that there may have been historical reasons for this, but I think the historical reasons are secondary. It must be the reality that is decisive, and the reality is that the Cinemate in Oslo has a different administrative task. But when that's said, I'm busy with the situation of the other cinematographers. As I said, I take their situation seriously, and we look more closely at how we can remedy the situation that Film & Cinema is in today.
ParlaMint-NO_2013-04-17.ana.ud827e1003	That being the case, it is no. 2 completed.
ParlaMint-NO_2013-04-17.ana.ud827e1016	There is no record available. Thus, today's map has been processed. Does anyone ask for a word before the meeting is cancelled? - The meeting has been cancelled.
