ParlaMint-PL_2020-09-11-senat-15-2.u1	I'm reopening the session. [[Mr. Marshal...]] Yes? Senator Mammoths.
ParlaMint-PL_2020-09-11-senat-15-2.u111	Thank you very much. I would like to thank the Ombudsman of the rights of the child, Mr. Nicholas Pawlak, for presenting the information. I state that the Senate has taken note of the activities of the Ombudsman for 2019 together with observations on the state of compliance with the rights of the child. [[Talking in the O.R.]] I'm calling a 20-minute recess until 1:16 p.m.... [[Voice from the room: 20 minutes?]] 20 minutes off, right? [[Voice from the room: Yes.]] It's 1:15, I'm sorry. [[Talking in the O.R.]] After the vote. [[Adjournment from 12 minutes 56 to 13 minutes 17]]
ParlaMint-PL_2020-09-11-senat-15-2.u112	I'm reopening the session. Dear Senators, I would like to inform you that the next Senate meeting is scheduled to take place on 29 and 30 September 2020. The order of business of this meeting will be provided to you by electronic means. We proceed with the consideration of item 9 of the agenda: changes in the membership of the Senate Committee. I would like to remind you that the proposal of the Rules of Procedure, Ethics and Senators' Affairs on this matter is included in print No 199. I would ask the rapporteur of the Rules of Procedure, Ethics and Senators' Affairs, Senator Sławomir Rybicki, to present a proposal to the committee.
ParlaMint-PL_2020-09-11-senat-15-2.u113	Mr. Marshal! High Senate! The Rules of Procedure Committee, Ethics and Senators' Affairs at its meeting yesterday unanimously decided to recommend the Senate to adopt a resolution on changes in the membership of the Senate Committee. I'll read the draft resolution. Senat of the Republic of Poland, pursuant to art. Article 13 (1) (b) and (c) of Regulation (EU) No 1303/2013 2 Rules of Procedure of the Senate, dismisses from the Extraordinary Committee on Climate Affairs: Senator Rafał Ambrozik, Senator Jacek Bury, Senator Jerzy Chróścikowski, Senator Viktor Durlak, Senator Stanisław Karczewski, Senator Maria Koc, Senator Józef Łyczak, Senator Robert Mątów, Senator Marek Martynowski, Senator Bogusława Orzechowska, Senator Mark Pęk, Senator Wojciech Piecha, Senator Zdzisław Pupa and Senator Rafał Ślusar. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u114	Thank you very much, Senator. Would any of your senators like to speak on this matter? [[Talking in the O.R.]] From the administrative staff, I would like to ask them to turn on the cameras remotely, as is provided in the instructions, so that you can be seen. [[Mr. Marshal, may I speak on this matter?]] I'm sorry, I can't hear... [[Mr. Marshal asked if anyone wanted to speak on this matter...]] Yes... [[Well, I'd like to.]] You're welcome.
ParlaMint-PL_2020-09-11-senat-15-2.u115	I would just like to express my regret at the fact that so many excellent senators are leaving such an important committee. Thank you. [[Voice from the Chamber: And we really regret the president...]]
ParlaMint-PL_2020-09-11-senat-15-2.u116	Thank you very much. Mr Senator, I think that this committee will be one of the brightest points among our committees, especially on matters of interest to the younger generation, i.e. on climate issues. We proceed to the vote on the draft resolution presented by the Rules of Procedure Committee, Ethics and Senators' Affairs. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted in favour, 94 votes against, no one against, one abstention. [[Voting No 6]] In view of the results of the vote, I state that the Senate has adopted a resolution on a change in the membership of the Senate Committee. We return to the examination of the first item of the agenda: the Act amending the Law on Special Solutions related to the prevention, prevention and eradication of COVID-19, other infectious diseases and the crisis situations caused by them and certain other laws. A meeting of the Committee on National Economy and Innovation took place at the end of the session, which responded to the proposals put forward during the debate and prepared a report on the matter. It is in print No 193 Z. I ask the rapporteur, Senator Wojciech Piecha, to present the report of the committee and then, as also the rapporteur of the minority of the Committee on National Economy and Innovation, to present proposals supported by a minority of committees. You're welcome, Senator Piecha.
ParlaMint-PL_2020-09-11-senat-15-2.u117	Mr. Marshal! High Senate! Report from the Committee on National Economy and Innovation on the Act amending the Law on Special Solutions related to the prevention, prevention and eradication of COVID-19, other infectious diseases and the crisis situations caused by them and certain other laws. The Commission was sitting on 11 September, which is today, and recommends that the High Senate adopt the law together with the amendments. Amendments 1, 3, 5, 7, 15, 16, 18, 22 During the committee meeting, 2 minority proposals were tabled concerning amendments 9 and 10. A minority of committees propose voting in favour of these amendments. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u118	Thank you very much, Senator. Do the senators of the applicants still want to speak? And they were pleno titulo senators Wojciech Necessary, Krzysztof Brejza and Alexander Pociej. So we proceed with the vote. First of all, the amendments will be voted on and then the resolution adopted on the adoption of the act as a whole, with amendments resulting from the amendments adopted. I'd like to suggest... As the Senator rapporteur said, Amendments 1, 3, 5, 7, 15, 16, 18, 22, 24, 37, 42, 44, 47 and 48 are legislative and editorial and can be voted together. If I don't hear any objections, we'll vote on them together. I therefore propose that we vote on the package of these amendments. Who's in favour? Who's against it? Who's holding back? [[Talking in the O.R.]] [[But you guys are in the eye, normally...]] [[Voice from the room: Quiet, please.]] [[I'm loud bad, quiet bad...]] [[Joy in the Chamber]] [[We appreciate you smiling at last.]] [[Talking in the O.R.]] [[But I can hear everything...]] [[Voice from the hall: Yes, congratulations, congratulations...]] Please state the results of the vote. [[Talking in the O.R.]] 95 senators voted, all in favour. [[Voting No 7]] Amendment 2 seeks to waive the exemption provided for by the Act from the beneficiaries of support for those tourism organisers who were entered in the relevant register after 7 March 2020. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. The vote was 95 senators, 47 votes against, 46 against and 2 abstentions. [[Voting No 8]] Amendment 4 seeks to modify the method of calculating the levy paid by the tourism organiser for the Tourism Aid Fund. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, all in favour. [[Voting No 9]] Amendment 6 seeks to clarify that the organiser of tourism receives reimbursement of payments and fees paid to the Tourist Aid Fund if his request for support was left unrecognized. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, all in favour. [[Voting No 10]] Amendment 8 seeks to complete the catalogue of data reported by the organiser of the tourism and the traveller in case they submit requests for support. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. The votes were 96 senators, 95 votes against and one abstention. [[Voting No 11]] Amendment 9 seeks to establish the basis for the collection of the data required to submit a complete request for support by the tourism organiser if it does not have such data. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 50 votes against, 45 against, no abstentions. [[Voting No 12]] Amendment 10 seeks to clarify that the tourism organiser's request for support is dealt with in respect of the individual travellers shown in that request. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. The votes were 96 senators, 49 votes against, 47 against, no abstentions. [[Voting No 13]] Amendment 11 seeks to lay down the principle that the 180-day period from the date of notification by the traveller of the cancellation of the package agreement or the notice of termination of the package agreement by the tourism organiser shall be suspended from the date on which the traveler receives this information from the tourism organiser until the date of submission of the request for payment by the traveller. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 49 were in favour, 46 against, 1 abstention. [[Voting No 14]] Attention, amendments 12 and 21 should be voted on together. These amendments seek to delete the rules providing for the exclusion of the liability of the Insurance Guarantee Fund and persons acting on its behalf with due care for the damage caused by the incorrect implementation of the payments provided for in the Act. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 49 were in favour, 45 against, 2 abstentions. [[Voting No 15]] Amendment 13 seeks to modify the rules for obtaining data by the Insurance Guarantee Fund in order to carry out statutory tasks, including the scope of such data. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 49 were in favour, 46 against, 1 abstention. [[Voting No 16]] Amendment 14 seeks to establish an absolute order for the deletion of personal data collected by the Insurance Guarantee Fund to carry out statutory tasks which are no longer required in relation to the stated objective. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 95 were in favour, no one opposed, one abstention. [[Voting No 17]] Amendment 17 seeks to ensure the substantive consistency of the provision. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 94 senators voted, 93 were in favour, no one opposed, 1 abstention. [[Voting No 18]] Amendment 19 seeks to establish an alternative condition for the mobilisation of payments from the Tourist Aid Fund to the organisers of tourism. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 49 were in favour, 45 against, 1 abstention. [[Voting No 19]] Amendment 20 seeks to establish a standard whereby the organiser of the tourism and the traveller submit an application for payment before the end of the deadline for reimbursement by the organiser of the tourism to the traveller of the fees and payments incurred. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 94 senators voted, all in favour. [[Voting No 20]] Attention, Amendment 25 will rule out voting on Amendments 26 and 29. This amendment aims to extend the scope of the beneficiaries of the additional parking benefit and to reduce from 80% to 50% the reduction in income from their activities as a requirement to obtain this benefit. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 94 senators voted, 2 were in favour, 91 against, 1 abstained. [[Voting No 21]] Amendment 26 seeks to extend the scope of the beneficiaries of the additional parking benefit. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 49 were in favour, 45 against, 1 abstained. [[Voting No 22]] Amendment 27 seeks to extend the scope of the beneficiaries of the additional parking benefit to those involved in film screening activities. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 49 were in favour, 46 against, no one abstained. [[Voting No 23]] Amendment 28 aims to reduce from 80% to 75% the degree of reduction of revenues from the activity as a requirement to obtain an additional parking benefit. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 93 senators voted, 91 were in favour, 1 against, 1 abstained. [[Voting No 24]] Amendment 29 seeks to waive the rules providing for the exclusion from the scope of the Law of Public Procurement in respect of service or supply contracts awarded by the Social Security Office in connection with the implementation of the tasks relating to the establishment of the law or payment of additional parking benefits. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 48 were in favour, 46 against, 1 abstained. [[Voting No 25]] Attention, amendments 30 and 35 should be voted on together. The adoption of these amendments precludes voting on amendments Nos 31 and 34, 36 and 38 and 40. Amendments 30 and 35 seek to extend the scope of the beneficiaries' exemption from the obligation to pay contributions due, to extend the period of that exemption to 31 December 2020 and to reduce from 80% to 50% the reduction in revenues from their activities as a requirement of that exemption. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 95 senators voted, 2 for, 92 against, 1 abstention. [[Voting No 26]] Amendment 31 seeks to extend the scope of the beneficiaries' exemption from the obligation to pay the contributions due. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 95 senators voted, 49 for, 46 against, no one abstained. [[Voting No 27]] Attention, voting on Amendments 32, 36, 39 and 40 only if amendments 30 and 35 are rejected. These amendments should be voted on together. They aim to extend the exemption period until 30 September 2020. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 96 senators voted, 91 for, 5 against, no one abstained. [[Voting No 28]] Attention, the vote on Amendments 33 and 38 must also be taken together. These amendments aim to reduce from 80% to 75% the degree of reduction in income from the activity as a requirement for exemption from the obligation to pay the premiums due. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 95 for, 1 against, no one abstained. [[Voting No 29]] Amendment 34 seeks to extend the scope of the beneficiaries' exemption from the obligation to pay the contributions due to them to film projection operators. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 Senators voted, 50 for, 46 against, no one abstained. [[Voting No 30]] Amendment 41 seeks to allow the adoption of resolutions by collegial professional authorities, as well as their implementing bodies and other internal bodies using means of direct distance or circular communication. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 96 senators voted, 94 for, 0 against, 2 senators abstained. [[Voting No 31]] Amendment 45 seeks to modify the entry into force of the added provision in the so-called '. The covid bill. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, all in favour. [[Voting No 32]] Amendment 46 seeks a substantively coherent determination of the date of entry into force of certain provisions of the Act. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, all in favour. [[Voting No 33]] We proceed to the vote on the adoption of a resolution on the adoption of the law in its entirety, with changes resulting from the amendments adopted. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 95 were against, 0 against, 1 abstention. [[Voting No 34]] In view of the results of the vote, I state that the Senate has adopted a resolution on the Law amending the Law on Special Solutions related to the prevention, prevention and eradication of COVID-19, other infectious diseases and the crisis situations caused by them and certain other laws. We are returning to the second agenda: second reading of the draft law amending the Law on specific solutions related to the prevention, prevention and eradication of COVID-19, other infectious diseases and the crisis situations caused by them. The Senate, following the second reading of the bill, sent the draft to the Committee on National Economy and Innovation and obliged the committee to present an additional report at the present Senate meeting. It is in print No 198 X. We proceed to the third reading. I ask the rapporteur, Senator Wojciech Piecha, to present an additional report to the committee. We'll wait a minute.
ParlaMint-PL_2020-09-11-senat-15-2.u119	Mr. Marshal! High Senate! The additional report of the Committee on National Economy and Innovation from the meeting held today: the committee requests that the draft resolution of the Committee on National Economy and Innovation be submitted for further proceding and supports the conclusions set out in paragraphs 1 and 2 in the compilation of the proposal, i.e. the amendments tabled by Magdalena Kochan. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u120	Thank you very much, Senator. Would Senator Magdalena Kochan still like to speak? No. Thank you very much. At present, senators may submit no more than one minute of a request to the rapporteur and the applicant in connection with the additional report submitted. Would any of your senators like to make such inquiries? I don't see any calls. We therefore proceed to the vote. In the first place... Let's give the rapporteur a chance to come back... Yes, yes, yes, we will give the senator the rapporteur a chance to return. Before we vote, Mr. Secretary, he'll be back in time. In the first place, the amendments will be voted in the order of the text. "Print No 198 X'followed by the adoption of the draft from print No 198 in its entirety, as amended by the amendments adopted. As we can see, the rapporteur is returning to his room. We proceed with the vote on the amendments tabled. Attention, amendments 1 and 2 should be voted on together. These amendments aim to extend the scope of the proposed law to persons subject to whom on the basis of the so-called law. The covid act introduced less favourable conditions for employment than those resulting from the basis for establishing an employment relationship. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, all in favour. [[Voting No 35]] We therefore proceed to the vote on the adoption of the draft law in its entirety, with changes resulting from the amendments adopted and on the draft resolution on the submission of this draft law to the Sejm. The Commission proposes that the Senate authorise Senator Wojciech Piecha to represent the Senate in further work on this bill. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, all in favour. [[Voting No 36]] In view of the results of the vote, I state that the Senate has adopted a draft law amending the Law on Special Solutions related to the prevention, prevention and eradication of COVID-19, other infectious diseases and the crisis situations caused by them and has adopted a resolution on the introduction of this bill to the Sejm. At the same time, I inform you that the Senate has authorized Senator Wojciech Piecha to represent the Senate in further work on this project. We return to the examination of the fourth item of the agenda: the Law on amending the Law on the Special Rules for the Removal of Legal Effects of Reprivatization Decisions concerning Warsaw Real Estates, issued in violation of the law, the Commercialisation Act and certain rights of employees and the Law on the Management of Real Estates. The meeting of the Committee on Local Government and State Administration and the Committee on Human Rights, Rule of Law and Petitions took place during the debate and prepared a joint report on the subject. It is in print No 194 Z. I ask the rapporteur, Senator Aleksander Pociej, to submit a report to the committee.
ParlaMint-PL_2020-09-11-senat-15-2.u121	Thank you very much. High Izbo, the joint committees recommend that the bill be adopted with all amendments except amendments 2 and 6. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u122	Thank you very much, Senator. Does Senator Wojciech Necessary still want to speak? No. So we proceed with the vote. In the first place, the amendments will be voted on, followed by the adoption of the law in its entirety, with amendments resulting from the amendments adopted. Amendment 1 introduces the possibility for a tenant to be regarded as a party to proceedings by the Commission for the reprivatization of Warsaw real estate. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 51 were in favour, 45 against, no abstentions. [[Voting No 37]] Amendment 2 aims to remove from the provision an indeterminate refund liable to give rise to interpretation doubts. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 3 were in favour, 92 against, no one abstained. [[Voting No 38]] Attention, amendments 3 and 20 should be voted on together. These amendments are of a clearer nature and make a correct reference. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 95 were in favour, with one abstention, no one opposed. [[Voting No 39]] Attention, amendments 4 and 5 should also be voted on together. These amendments aim to extend the catalogue of decisions of the Commission, the effect of which is the obligation to take over property on the board by the capital city of Warsaw, also aimed at exempting the capital city of Warsaw from property liability vis-à-vis the owner of the building for the acquisition and management of the building, as well as introducing a statutory guarantee of consequences for the management of the capital city of Warsaw or the Treasury after the Commission's decisions on reprivatisation. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 47 were in favour, 46 against, 2 abstentions. [[Voting No 40]] Amendment 6 aims to extend the catalogue of public objectives in the Real Estate Management Act to cover housing needs by entities with public housing resources. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 6 were in favour, 90 against, and no one abstained. [[Voting No 41]] Amendment 7 clarifies the provision in order to extend it also to claims for the transfer of land ownership, which is acceptable if the Decree proposal is taken into account after 1 January 2019 and concerns land built for housing purposes. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 95 were in favour, 1 against, and no one abstained. [[Voting No 42]] Amendment 8 aims to clarify the provision by indicating that the grounds for refusing to land in perpetual use are that the tenant will occupy the premises on the basis of a contract concluded with the municipality or the Treasury, excluding single-family housing, in order to enable them to be returned. The amendment introduces the possibility to notify the parties of the decisions of the body by means of a notice on the BIP website and leads to uniform rules for non-refunding property regardless of the procedure for submitting the application. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 49 were in favour, 46 against, 1 abstention. [[Voting No 43]] Attention, amendments 10, 11 and 13 should be voted on together. Those amendments are designed to remove from the Real Estate Management Act grounds for refusing to land in perpetual use and to clarify that refusal to put land, parts of land, buildings or their components into permanent use may take place where the grounds for refusal relate to an area of not less than 50% land, building or component parts thereof, the area of which is not less than 50% the total area of the land, or where the grounds for refusing to land in perpetual use relate to a smaller part of the land, the building or its components, but it is not possible to divide the land. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 48 were in favour, 47 against, and no one abstained. [[Voting No 44]] Amendment 10 is editorial. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 49 were in favour, 46 against, and no one abstained. [[Voting No 45]] Amendment 12 aims to amend the drafting process in order to eliminate interpretation doubts. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 51 were in favour, 45 against, and no one abstained. [[Voting No 46]] Amendment 14 provides the basis for the remission of the decree procedure in part if it is not possible to establish the parties to the proceedings or their addresses. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 96 senators voted, 49 for, 46 against, 1 abstention. [[Voting No 47]] Attention, amendments 15 and 16 should be voted on together. These amendments specify the provisions of the Act, indicating clearly that the grounds for the remission of the decree procedure are in place if the parties to the proceedings have not been established and not the applicant's. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 95 senators voted, 94 for, 1 against, no one abstained. [[Voting No 48]] Amendment 17 aims to delete the provision which constitutes the basis for refusing to give the land in perpetual use by reason of the acquisition of a claim from the curator unduly established, from the curator of the succession or in breach of the inheritance provisions. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. The votes were 96 senators, 47 for, 48 against, 1 abstention. [[Voting No 49]] Amendment 18 introduces a provision preventing the reopening of proceedings in which the final decision of the Authority was issued before or after 27 May 1990. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. The votes were 96 senators, 47 against, 47 against, 2 abstentions. [[Voting No 50]] The amendment didn't get the majority. Amendment 19 introduces a provision in the Real Estate Management Act imposing an obligation on the State Treasury to compensate for the consequences of expropriations. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 96 senators voted, 50 for, 45 against, 1 abstention. [[Voting No 51]] Amendment 21 aims to introduce into the Act a provision which requires the State Treasury to take over liabilities and claims arising from the Commission's decisions on the reprivatisation of Warsaw real estate issued before the date of entry into force of the Act imposing an obligation to reimburse undue benefits. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. There were 95 senators voted, 48 for, 46 against, 1 abstention. [[Voting No 52]] Amendment 22 lays down the principle that a decision on a case which has been decommitted by law will not be subject to a complaint. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 Senators voted, 96 in favour, no one was against and no one held back. [[Voting No 53]] Amendment 23 aims to allow the right to compensation or compensation to be transferred on the basis of the Commission's decision to reprivatise Warsaw real estate to legal successors who died. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, all in favour. [[Voting No 54]] We are now voting on the adoption of a resolution on the adoption of the law in its entirety, with amendments resulting from the amendments adopted. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 Senators voted, 95 in favour, no one against, one Senator abstained. [[Voting No 55]] In the light of the results of the vote, I state that the Senate has adopted a resolution on the Law amending the Law on Special Rules for the Removal of Legal Effects of Reprivatization Decisions on Warsaw Real Estates, issued in violation of the law, the Commercialisation Act and certain Rights of Workers and the Act on Real Estate Management. We return to the examination of item six of the agenda: the second reading of the draft law amending the Act on Pensions and Pensions from the Social Insurance Fund. After the second reading of the bill, the Senate sent the draft to the Legislative Commission and to the Committee on Family, Senior and Social Policy and obliged these committees to present an additional report at the present Senate meeting. It is available in print No 160 X. We proceed to the third reading. I ask the rapporteur, Senator Mark Borowski, to present an additional report to the committee.
ParlaMint-PL_2020-09-11-senat-15-2.u123	Mr. Marshal! High Senate! The Commission considered 4 amendments that were tabled during the second reading. The amendments were specific in nature to the provisions of the Act and were recommended by the committees, assessed positively, as well as of course the entire draft law. I would also like to say from the responsibility of the rapporteur that during the meeting of the 2 Joint Committees, the interpellation which Mr Andrzej Duda, the current President, addressed in 2013 to the then government, in which Mr Andrzej Duda called for changes to be made in this draft law. So that I think that, although late, this postulate is being implemented, which I recommend the attention of all my fellow senators. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u124	Senator Mark Borowski still has the floor as Senator of the applicant. I understand the senator has already spoken. At present, senators may submit a maximum of one minute's query to rapporteurs and applicants in connection with the additional report submitted. Would any of your senators like to make such an inquiry? No. We therefore proceed to the vote. In the first place, the amendments will be voted in the order of the text. Print No 160 X and then over the adoption of the project in its entirety, Print No 160 S corrected, as amended by the amendments adopted. We proceed with the vote on the amendments tabled. Note: Amendments 1 and 2 should be voted on together. These amendments align the deadline for submitting the pension application referred to in the Act and clarify the group of pensioners benefiting from the amendment. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 95 senators voted, 49 votes against, no one opposed, 46 abstentions. [[Voting No 56]] Amendment 3 clarifies the group of insured persons covered by the provision. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 94 Senators voted, 49 in favour, no one opposed, 45 abstentions. [[Voting No 57]] Amendment 4 extends the deadline for the decision by the Social Insurance Institution. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. 96 senators voted, 49 were in favour, no one opposed, 47 senators abstained. [[Voting No 58]] We therefore proceed to the vote on the adoption of the draft law in its entirety, with changes resulting from the amendments adopted and on the draft resolution on the submission of this draft law to the Sejm. The committees propose that the Senate authorize Senator Marek Borowski to represent the Senate in further work on this bill. Who's in favour? Who's against it? Who's holding back? Please state the results of the vote. The votes were 96 senators, 49 votes against and one vote against and 46 abstentions. [[Voting No 59]] In view of the results of the vote, I state that the Senate has adopted a bill amending the Act on Pensions and Pensions from the Social Insurance Fund and has adopted a resolution on the introduction of this bill to the Sejm. At the same time, I inform you that the Senate has authorized Senator Marek Borowski to represent the Senate in further work on this project. I would like to inform you that the agenda for the 15th Senate meeting has been exhausted. We proceed to senators' statements outside the agenda. I inform you senators that the statements made to the minutes will be included in the official version of the short-term report. Please draw up a list of senators willing to make statements. Let me remind you that statements can't last more than five minutes. The statement may include matters relating to the implementation of the mandate, but may not relate to matters discussed in the current Senate meeting. The Marshal will refuse to accept unsubstantiated statements which cannot be established or which the Senator's announcement would not be possible within the time available, i.e. within 5 minutes. There is no discussion on the senator's statement. Would any of your senators like to speak? The first to make a statement is Senator Krzysztof Brejza, remotely. You're welcome.
ParlaMint-PL_2020-09-11-senat-15-2.u125	Thank you very much, Mr. Marshal. High Senate! The case concerns the activities in the district and the circumstances of one of the road accidents notified to me, a terrible accident which took place on 11 August 2019. Four young people were killed in the forest in Miradz in the municipality of Strzelno, and the youngest victim was 17 years old. And what these young people's parents have experienced is horrible, because it was not only dramatic information about leaving under horrible circumstances, but Imagine that. After this incident, photos of the victims and the car began to appear on the Internet, taken by an unknown person, and through Facebook, various messages began to be sent through the communicator from the profiles of these young people. I know that the District Attorney's Office in Mogilno was involved in this case, but what happened is beyond human understanding. In connection with this case, I sent a senator's intervention to the Minister of Justice, raising the problem of publishing photographs of road traffic accident victims, because the accident in Miradz is the most drastic example of this type of practice, scandalous, but the problem is wider, because drastic photographs of accident victims are published many times on the Polish Internet. This case is not governed by law, and from this point on I would like to appeal both to the Minister of Justice and to the Prime Minister to take such legislative action, which will result in the creation of a draft law to implement such outrageous practices as we are dealing with. At the same time, I would like to strengthen the call for regulation of this, the prohibition in the law of violating family goods and such mocking of road accidents victims. I would like to point out that in 2020. The Germans have seen this problem, there have been changes in criminal law, and it is now a crime to record traffic accidents and publish photos of victims. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u126	Thank you very much. The statement is made by Senator Stanisław Gawłowski.
ParlaMint-PL_2020-09-11-senat-15-2.u127	Mr. Marshal! High Izbo! I want to address my statement to the Minister of Agriculture. It concerns the activities of the branch of the National Centre for Agricultural Support in Koszalin. This is the case that since the creation of these institutions on a national scale, people who are responsible for them are persons directly related to the PiS, members of the PiS, also in the case of Koszalin. And I would like to ask the Minister of Agriculture if he has any idea what's going on there, what's going on in the institutions under KOWR Koszalin. Exactly what I'm talking about is an ex-horse farm in White Bora. This stud had a tenant, and this lease was spoken by a PiS activist, the current director, Mr Nieckarz. They were introduced there for a time in a non-negotiable way, without any other person's mode. This person had property that was unlawfully occupied by the tenant. This property is now being returned, after years in fact, with the loss and exposure of the State Treasury to gigantic compensation. Things are going on in court. The consequences that will be borne by the State Treasury are already hundreds of thousands and perhaps millions of zlotys. Similarly, unclear circumstances concern the free disposal of the land managed by KOWR Koszalin. One example is the sale of agricultural property which took place in a sub-unit in Świdwin. In turn, another PiS activist, perhaps even the councilwoman of PiS in Świdwin or the district of Świdwiński, sold land to her husband, also to the activist of PiS, who owned the land without agreement, and in accordance with the procedures concerning the agricultural land of the State Treasury, the person who makes use of the agricultural land without agreement cannot be a buyer of the land. Despite the fact that Director Nieckarz knew this very well, the notary act was concluded, the sale of this land took place. I could list a lot more examples, I could mention just one, maybe two. Another example is the disposal of land in the municipality of Mielno, exactly in Mielno, directly by the sea. This applies to so-called. plot gardens. And it is easy to guess that the land in Mielno is highly attractive and very expensive. There's a fitting over there. Perhaps even this has already been done to sell these properties in a non-transferable manner to persons who do not really have any legal basis and right. And it's another exposure of the Treasury to giant losses. Another example, the last one, concerning the water company, which KOWR Koszalin finances, this water company also manages... She has recently been established and managed by people associated with the PiS. All of this together makes the circumstances of this branch very unclear. I therefore ask the Minister of Agriculture to carry out a detailed check on the disposal of agricultural property and property that this branch in Koszalin manages, and I request that the consequences be drawn against those who have committed such scandalous omissions. I would also like to ask the Minister for Agriculture to inform him of the action taken on this matter. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u128	Thank you very much, Senator. At the moment, you will be making a statement by Senator Marek Plura, remotely.
