ParlaMint-PL_2020-01-22-sejm-04-1.u1	I promise. So help me God. Mr Jacek Kurzepa.
ParlaMint-PL_2020-01-22-sejm-04-1.u183	Thank you very much. I invite Mr Dobromir Sosnierz from the Wheel of the Posel Confederation.
ParlaMint-PL_2020-01-22-sejm-04-1.u184	Hello, Mr. Marshal! Previously, you felt affected by the lack of this formula, so I would stress that you're welcome. The Confederation is also happy to welcome all expressions of desire for liberalisation, deregulation, reduction of bureaucracy, any desire to relieve our citizens wandering in this jungle of rules produced without pity by our House in wholesale quantities. And that's what this bill promises us. We are talking about simplifying procedures, giving up unnecessary requirements. We have a re-editing of some vague regulations here. These are certainly things that deserve to be supported. Unfortunately, you're shaking over these changes like a cat over a bathtub. Courage! Courage! Really, try to untangle the knot instead of just cutting it. That may not do much, because if you cut one head in red tape, the hydra immediately releases two more. Here, in many cases, we take two steps forward and one step backwards. For example, we eliminate the possibility of obtaining a derogation in the legalization process. He could've done it by now. In your explanatory statement, you point out that some courts allowed derogations, some didn't, and it needs to be straightened out. But why in this direction? Since such apostasy has been possible so far and the world has not collapsed, what would be wrong if it were still possible to obtain it, only in a uniform way. First of all, you leave the concept of self-confidence to the law. The concept itself is such a monument to socialism. This concept is based on the belief that there is something wrong with the fact that the owner himself decides what is built on his plot, without asking any officials. It doesn't fit in the heads of the socialists. You've just regretted that we're going to have a disorderly urban order. It's not like we have any urban order. Where do you see any urban order? We're in a mess. And all of this under the very authority of the building surveillance you are talking about, and so, as you can see, it doesn't help at all. We don't need construction surveillance at all. We need clear responsibility, simple rules, strict penalties when these rules are violated. There was a simple responsibility in the Hammurabi Code: if the building collapsed on someone's head, the builder was punished with death. We're all in control, and no one's responsible for anything. It is a miracle at all that in such a system any buildings arise and do not fall on their heads. If they don't fall apart in this system, they won't fall apart in any other system either, so really, again: courage! Let's go ahead and liquefy this bureaucracy, and not just crawl in and out. Two steps forward, one step backwards. There is no construction supervision in many countries. So? And there is no correlation between the incidence of any construction disasters and the liberalisation of the law. And the last such accent, note, in connection with this project: the subcommittee of a representative of the Confederation was not allowed. We didn't get an allocation due to the parity. It follows from these parities that during the entire term of office the Confederation will have round zero seats in all subcommittees. Behind that, I mean. against my proposal to extend this committee, they voted hand in hand both against the opposition and against the Law and Justice. Unless we expected anything else from the Law and Justice, because this arrogance of power has been repeatedly diagnosed, but from the opposition... The opposition often complains of arrogance here, that the Law and Justice are so relentless about it. Meanwhile, when you have the opportunity to hurt a smaller one, you also have the courage to spare yourself the pleasure. So don't whine about it. You're no better at anything. Despite some reservations, the Confederation will support this project. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u185	Thank you very much, sir. By the way, I wasn't offended, I just wanted to say hello to you because I like you. I just like people. Watch out for that declaration. Ladies and gentlemen, 12 people have come forward to ask questions. Would anybody else like to come in? If not, we close the list. I'm setting time for questioning - 1 minute. And I cordially invite Mr Konrad Frysztak from the Parliamentary Club the Civic Coalition. There you go. And if there isn't, I cordially invite Mr Przemysław Koperski from the parliamentary club Left.
ParlaMint-PL_2020-01-22-sejm-04-1.u186	Mr. Marshal! High Izbo! The position of the left club was presented. It is very good that we are making some changes to the Construction Law. But there is a conclusion, a request and a question: Why didn't the designers try to change far or deeper? Just yesterday, we were briefed by the Vice President of the Supreme Audit Chamber with a report on irregularities in the activities of district building surveillance inspectors. It shows that on the one hand we have the Construction Law, we improve it, but on the other hand there is currently no institution in Poland that would be able to uphold (The Bell) this right. And I would very much like to ask that these issues also be regulated in this amendment. Thank you kindly.
ParlaMint-PL_2020-01-22-sejm-04-1.u187	Thank you very much. I invite Mrs Katarzyna Kretkowska from the parliamentary club of the Left.
ParlaMint-PL_2020-01-22-sejm-04-1.u188	Mr. Marshal! High Izbo! With a minute at my disposal, I wanted to raise one specific, small, but important issue, especially for monument conservationists who report it. In Article 2, paragraph 2 is replaced by the following: Paragraph 7 Point 2 (1) of the Construction Law states that specific technical conditions for buildings will be laid down by the relevant ministers in the relevant regulations. The Minister of Infrastructure in Paragraph 3 (16) of the Regulation concerning the technical conditions to be met by buildings, in Paragraph 3 (16), referring to the floors, excludes from being regarded as a floor any equipment which is located on the roofs of buildings. So the roof of the building and what's above the roof is not considered a floor. Meanwhile, investors on these roofs put elevator shafts, put air conditioning, ventilations that denies these buildings (the bell), and conservators... I wanted to ask: Will this problem be taken into account either in this amendment, in which it is not included, or in the regulation? Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u189	Thank you very much. Małgorzata Chmiel, Civic Coalition. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u190	Mr. Marshal! High Izbo! The bill introduces the legalization of at least 20 years of construction self-confidence, even those that are illegal. I wanted to ask: What about the Polders, what about the construction on the Polders? I asked that at the committee meeting. I've heard it regulates the Water Law, which is not true. You're gonna legalize self-will there, too? What about illegal villas in gardens? Please answer these two questions in writing. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u191	Thank you very much. I invite Mr Wojciech Saluga, the Civic Coalition.
ParlaMint-PL_2020-01-22-sejm-04-1.u192	Thank you. Mr. Marshal! Minister! What kind of service does not work effectively, slowly, with delay, does not respect the c.p.a., what this service does not respond to winning by itself, does not perform replacement works, the effectiveness of the procedure is at 40% ? That's building surveillance. I also refer to this report by NIK on 19 June last year, which should be the management of the Ministry known, and which shows that in some areas of the Polish State the construction law does not work, is kind of suspended, because there is absolutely no supervision there. This report is very bitter, sad and tragic and must be leaned over. We have resources that are inadequate to our needs, we have resources that are inadequate to our tasks. In this bill there are several (the bell), more than 20 times mentioned building supervision and these are fictional records, obliged to perform these records are often so fictitious services. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u193	Thank you, Mr Zagłębowski. I invite Mrs Krystyna Sibinska. Sibinski. Lubuskie? Lubuskie. Nice. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u194	Mr. Marshal! Minister! Two specific questions. Will construction engineers be able to carry out land and land development projects and architectural and construction projects? That's the first question. Please answer me. Second question. How, by removing the provisions on necessity, are you obliged to provide the relevant institutions designated by the Minister for the safety of hazardous objects such as refineries, chemical plants, nuclear power plants, for example, to ensure the safety of these facilities if you delete this provision? Because I understand that when a technical project manager is delivered by an investor, no one will be able to check whether that is the opinion or not. [[♪ The bell ♪]] And why would a construction manager want that opinion? This must go to the appropriate institutions that will find that such an object will not endanger safety. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u195	Thank you, Member. Mrs Joanna Fabisiak, Civic Coalition. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u196	Mr. Marshal! Minister! High Izbo! With Members' on-calls - two burning problems that the residents report, it is a long waiting for permission to build and chaos, and an attempt to build anywhere and anywhere. Especially this first case, it seems, may be solved by the bill, but it just seems. Do you know what is the longest time I've ever had to wait for the construction approval I've ever met? 3 years. 3 years. And now will the bill solve this problem? I don't think so. The fact that it will be written slightly differently and slightly different documents - not here is a difficulty. I would like to ask if the bill regulates the extension of consent. This case is not settled, and officials are demanding one more and one more document, and one more document, as long as this period is one year, two years, three years old, and then you have to change the project (the bell) and everything starts over again. That's the first problem. And I ask you to answer: Is there a system, I don't know if punishments, but is there a solution to the matter of extension of consent, or is it a slightly different formulation of rules that really doesn't change anything, and it doesn't really help developers or private investors? Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u197	Thank you very much. Mrs Dorota Niedziela, Civic Coalition. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u198	Mr. Marshal! Minister! High Izbo! I'm no specialist in construction law, but given that the most important thing in the country is the safety of the law and the enforcement of obligations... How is it that someone without permission built something next to us that bothers us, and after 20 years of inability to enforce the law, when someone without permission, without any agreement, built something in our neighborhood... At the moment it turns out that all those who have been executed, and often these are the people who built a fence in another place, this fence had to be knocked down and built again at their own expense, there are many such situations... Suddenly it turns out that all these people were unnecessarily doing their duty and doing their duty, because someone else 20 years past the law, will now have legalized it (the bell), which for 20 years was lawlessness, and which we could not cope with. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u199	Thank you very much. Małgorzata Płępek, Civic Coalition. Please.
ParlaMint-PL_2020-01-22-sejm-04-1.u200	Mr. Marshal! High Izbo! It's a good thing you won't need permission from the district police chief. But how does this apply to existing buildings? At present, fire regulations are required for those buildings that were built 20 years or even more years ago and were put into service. Will it not be necessary to adapt existing facilities to the new regulations in connection with this law? Because it involves huge financial expenditures and entrepreneurs engaged in economic activities, e.g. Holiday homes, hotels, pay huge expenses for renovation purposes, adapting to these regulations. Will they be treated in accordance with the rules in force, existing at the time of surrender (The Bell) for the use of the object? Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u201	Thank you very much. Mr Marek Dyduch, parliamentary club of the Left.
ParlaMint-PL_2020-01-22-sejm-04-1.u202	Mr. Marshal! High Seym! I have a general question for the government representative. The Construction Law was established in 1994 and has been in force since 1995. It's been a long time. That law, the initial law, which we are now improving, was to adapt the Polish law to new market conditions - local governments, relations - because the old building law concerned the times of socialist Poland. Therefore, it is reasonable to ask whether, after 15 years, instead of making so many changes to this project, which we are discussing today, whether the government should actually present a comprehensive new solution, all the more so as construction in various forms is developing very quickly, it is precisely the Urban and Construction Code. My question is, is the government working on this code? And if so, when will he introduce him? Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u203	But you shot yourself in time, sir. Mr Romuald Aichler, parliamentary club of the Left.
ParlaMint-PL_2020-01-22-sejm-04-1.u204	Thank you very much. Mr. Marshal! High Izbo! Construction law is already, was, the city code also, comprehensive planning also, but in order to build it, you have to have something to build on. You have to have land that will allow this kind of situation. Municipalities and cities have developed spatial planning plans, and these plans often show that investments - also reserved for construction purposes - will never be created there for various reasons. Once the mayor, the mayor, the president of the city had a vivid imagination and figured out that there would be one bypass and three bypasses around the city. The land is reserved in the land development plan while blocking private property. Whether you intend to unblock this land or have an impact on the fact that local governments do not abuse (the bell) the law, also on the public purpose, because it is very often abused. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u205	Thank you, sir. Mr Mariusz Trepka, Parliamentary Club Law and Justice. Come on in.
ParlaMint-PL_2020-01-22-sejm-04-1.u206	Mr. Marshal! High Izbo! Minister! I would like to thank Mrs Annie Paluch for the smooth running of the subcommittee. In this subcommittee, we have just discussed various proposals for solutions. There were a lot of questions about why we split the project into three parts. I'd like it to sound out of that podium. Minister! Exact information. Is a technical project necessary to enable an investor to carry out construction works? This is my short question and I would like the Minister to answer, because many discussions have been conducted in this direction, why will it not be necessary to submit this technical project to Division AB in local government units where these departments are located? Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u207	Thank you very much. Mr Jacek Tomczak, parliamentary club PSL-Kukiz15.
ParlaMint-PL_2020-01-22-sejm-04-1.u208	Mr. Marshal! High Izbo! This amendment is undoubtedly a step in the right direction. It is undoubtedly also the case that it will not solve all the problems of longer construction procedures today and poorly functioning construction supervision. We have, for example, a very painful NIK report for building surveillance, which draws attention to a number of different errors and shortcomings in the work of this institution. I think it would be worth the discussion that was going on about the building law, to go on. Are there any plans to continue to change the Construction Law and to make a comprehensive amendment - one that will give entrepreneurs more impetus in Poland and the chance that these procedures can be shortened? Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u209	Thank you very much. Mrs Jagna Marczulajtis-Walczak, Parliamentary Club Civic Coalition.
ParlaMint-PL_2020-01-22-sejm-04-1.u210	Mr. Marshal! High Izbo! Designed changes are an abolition aimed at legalising lawlessness and action against spatial loading. It is also a change that is intended to unlock the trashed proposals of building supervision, because procedures are difficult, long and expensive. But how can we be sure that authorized people who confirm that the building is safe will do so according to art? Assuming hypothetically that e.g. The builder will confirm that the building is safe, and then something will happen, so who's gonna answer for it? Isn't it true that construction self-wills are also guesthouses, hotels that do not meet fire standards and other technical conditions? The law for today is dimpled and therefore it is possible that a working hotel or guest house is de facto a self-confidence building. Isn't it better to stop this project until the legal holes are patched up and regulations are introduced that will prevent building self-confidence? What government plans to make changes to the law so that in the future, construction will not be created? [[♪ The bell ♪]] And whether the next change proposed by the government will not be e.g. Putting green areas covered in rubble in parking lots? Thank you. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u211	Thank you very much. The list of Members registered in the vote has been exhausted. I ask the Undersecretary of State at the Ministry of Development of Minister Robert Nowicki to speak. Minister, 15 minutes.
ParlaMint-PL_2020-01-22-sejm-04-1.u212	Mr. Marshal! High Izbo! First of all, I would like to thank you for the votes that have been made so far in the discussions, for the work that has been done so far in committee and subcommittees. As important and important as this project is, it shows how many discussions and consultations have been held. First of all, I would like to refer to the statements made by the clubs. I will not agree here with Mrs Margaret Chmiel, who said she was a bullshit, and about the work being done with speed, too quickly. The fact that a subcommittee was set up, that more than 120 industry organisations were involved in the consultation process, and that amendments were adopted as a result of the work in the committee, the subcommittees, shows that we are listening to the voice of stakeholders. Speaking of BIM, yes, BIM is an important element of modern design, connected not only with design, construction, but also with maintenance. As we heard at the committee's meeting: on the contrary, the introduction of a technical project results in full compliance in BIM. We are not entering, Mrs BIM, absolutely. I would just like to inform you - unfortunately, there is no Member - that we are conducting a project in the Ministry together with the European Commission on the introduction of the standard of the BIM model for the area, the territory of Poland, so that it is in line with what architects say, what engineers say. As regards the allegation that installations will be dangerous: no, there are certain fuses that the State has spoken of here - and the Member has also spoken of them, thank you for the report - they have said, and the mechanisms introduced into the bill make the technical design absolutely necessary before the construction begins, and the architectural and construction project itself assumes some general intentions for the installation. So much controversy brings about a 20-year novel here. Well, we forget one important thing, safety. If for 20 years the administration... If during this period the impact of this building was not so annoying that proceedings were initiated which ended with an order - and I would also like to make it clear that as a result of the review carried out by the Chief Inspector of Construction Supervision it was found that these proceedings are not chronic, they are carried out very quickly if the nature of these cases is taken into account... I think we're forgetting one more thing about art. 103 Construction rights, about these old civil liberties - they could still be based on Article. 103 legalized. Finally, if we are talking about the economy, let us not forget investors, and the voice of investors is unambiguous in terms of the amendments introduced. I would very much like to thank Hanna Gill-Friday for this favourable vote, because, as we have heard, changes are needed and have been made through legislation. I would also like to inform you that when it comes to spatial planning - this is a question about the suspension of these works - on 20 January the work of the team on the development of the Spatial Planning Act was resumed. This is another important element that will connect with this process, with the Construction Law. I think that I will now come to the specific questions of Members of Parliament and Members, and I will address them in order... Mr Przemysław Koperski asked why there are no deeper changes. It's about the report on irregularities in the county building surveillance inspectors. Well, we're thinking about reforming building surveillance, we're planning it. We are aware that in the case of such an extensive matter, such a large element of the impact on reality... Construction law is a network of connections, it's a network of connections with other laws, it's an impact on specialities, it's an impact on infrastructure, it's an impact on quality of life. We are here in constant contact with the Chief Inspector of Construction Supervision and we are planning a wider reform of building surveillance so that it is the bodies of A, B... so that the Inspector of Construction Supervision can effectively manage its resources. Katarzyna Kretkowska - technical conditions. Thank you for your attention. We are working on a new regulation on technical conditions and we will look at this problem, because such signals have come to us, these voices are audible. Mrs Małgorzata Chmiel - polders and gardens. I understand that this issue - in writing. I will only say one thing: today we just at the request of the Polish Departmental Association, who reported his attention yesterday, analyzed it. Today, talks with the Polish Landowners' Union continued. So that we are not immune to these arguments. I'm also rejecting the booze charge, the hasty mode. Mr Wojciech Saluga - self-will and enforcement proceedings. This is also a question - as we say, I presume, I understand - of the quality of the work of building surveillance inspectors. I just want to remind you that last year's PiS government introduced the expected increase of PLN 500 per person and this year, the draft budget law provides for 6% for inspectors of construction surveillance. the increase from the base amount. This shows clearly that legislative reform goes hand in hand with the issue of improving the quality of work of people who work in the services of building surveillance inspectors. To answer Mrs Krystyna Sibińska's question: yes. I can definitely answer: yes. Engineers will be able to design. As far as the expert opinion is concerned, in our opinion... First of all, you have to realize that these are not mass matters. These are specific matters that govern the provisions of other laws. The provisions of other laws require that appropriate procedures, appropriate criteria be maintained, whether in relation to material or in relation to the procedure of application. Looking at this and examining requests for opinions that affect us, to the ministry, we are not in favour of maintaining this legal status, because the provisions of other laws will still require compliance with the requirements for these specific investments. I understand that both projects. Management and...? Yes, of course, both. What I'm trying to say is that we don't go into specialty power here. We even force industry coordination by law at the stage of the creation of these projects, in the field of specialty. This is important. It's important to maintain this coherence. We push this off and optimize the process of the creation of this work, and this is according to BIM. Whatever the case, let us remember that BIM is just a technique, not a design method. We have all this in mind, looking and listening to this voice, as I stress, 120 industry organisations. Mrs Joanna Fabisiak - the question of extending the consent. I would like to remind and say that the provisions that we already have in the legal order concern 65 days. If this is more than 65 days and the body is guilty, it is 500 PLN for each day of delay. I think it's disciplinary for consenting authorities, building permits. We, of course, monitor this situation and try to counter the various mechanisms that cause delays, because, as I said, the economy is investors. We want people who build single-family homes, eventually investors who build multi-family housing, but also build commercial zones, industrial construction areas... The aim is to manage this and the pace of investment growth - and investment is undoubtedly mostly related to construction - to maintain. As for Mrs Dorota Niedziela's attention, I think this is a general discussion that took place here, in front of the High House. I would like to say and address Mrs Chmiel's words about Podhale and ugliness. Madam President, the law does not apply to the sense of aesthetics. The law must be based on certain clearly standardised criteria. If you see such a threat in the form of self-confidence, each of us can submit such a notification to the appropriate authority - for these authorities to check it out. Those 20 years, on the other hand... I will remind you of what Mrs Paluch, the rapporteur, has said for these 20 years. When adopting local spatial planning plans at the level of the municipality, it is the obligation to inventory self-reliant, illegal buildings. If the municipalities have not done this or do not have enough effect on neighbouring areas, on surrounding areas, then let us give these people the opportunity to enter the system. And what does that mean: entering the system? I mean, to be subject to periodic checks, to pay real estate taxes. It is about a certain degree of social stability in relation to residence. Mrs Małgorzata Płępek raised an important issue here, but it is not a matter of construction law, but of the Fire Protection Act. I agree that this is an important problem. In the dialogue with the State Fire Department, we also analyse this topic. For today, neither I nor the Chief of State Fire Department can see such a threat here. As far as Mr Romuald Ajchler is concerned, it is not a matter of building law either, Mr Ajchler. This is a matter of separate laws. I am aware, and I know what you mean, but this has nothing to do with the process of designing the new rules. As regards the attention or question by Mr Mariusz Trepka, I would like to make it clear to you that such a technical project, which is a set of documents, will be required. And here I want to particularly lean over the article. Article 41 (1) (a) and (b) of Regulation (EU) No 1303/2013 4a point 2 of the Act, as it requires the investor to join the notification of the intended date of commencement of construction works - and I would remind everyone that they will have to submit such a notification of the intention to start construction works - a statement by the designer and a designer verifying the design of a technical project concerning the purpose of construction in accordance with the applicable regulations, with the principles of technical knowledge, the design of the plot or site and the architectural and construction project. So we have the same coherence between these three parts. I would also like to say that, in turn, the provision of the article. Article 45a (1) (a) (ii) (ii) (ii) (ii) (iii) (ii) (iii) (iii) (iii)) (ii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii)) (iii) (iii) (iii) (iii)) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iv) (iii) (iii) (iii) (iii)) (iii) (iii) (iii) (iii) (iii) (iii) (iii)) (iii) (iii)) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iv) (iv) (iii) (iii) (iii) (iii) (iii) (iii) (iii) Point 1 And the construction manager shall, in the case of an inspection by the supervisory authority, submit to that authority, at its request, a current technical design. Ladies and gentlemen, the division is unambiguous and welcomed by investors. The technical project is a specific project, a project that often requires updating, which, if there are no significant derogations, does not need to be updated at the level of the AAB. This is needed by the supervisory authority to check the technical condition, verify the compatibility of the actual state of construction with the current plan. As far as the next questions are concerned, I'd like to move on to them. Mr Jacek Tomczak. Yes, Mr President, as I said at the outset, looking at the issue of spatial planning and the issue of the law, a very important law, which is very wide-ranging, we see that it is not only a problem of spatial planning and this law, it is not only a problem of local plans, it is a problem of quality of life, it is a problem of protecting certain urban goods and tissues in the architectural and construction system. If we are talking about amending the Spatial Planning Act, we will need to change the Construction Law. We're aware of that. One last question, Mrs Jagna Marczulajtis-Walczak. I think that the pace of work (the Bell) and the ease itself - here I would like to address the issue of how we propose to reduce, how we think to reduce the amount of self-reliantness - the facilitations that the article brings. 29 talking about the notification or the failure to notify, the authorisation replaced by the notification, makes it easier for people to carry out the investment process. Let us remember that self - wills were mostly about things that were related to single - family construction. We made it easier. The state of consciousness of people and these facilitations, as predicted, forecast, will make these self-consciously less and less. Mr. Marshal! High House! Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u213	Thank you, Minister. I invite the rapporteur, Ms Anna Paluch.
ParlaMint-PL_2020-01-22-sejm-04-1.u214	Thank you very much. High Izbo! I would like to thank representatives of the Polish Coalition clubs and the Left for their statements of support for this project. I'll say it again. With all our responsibility, we tried to listen to representatives of the social side in the subcommittee and in the committee, to listen to critical voices, to draw conclusions and to try to clarify the rules in such a way as to resolve the doubts of different circles, because the stakeholders have the right to express their opinion. It is regrettable that the statements of the Civic Platform club were so unsubstantiated. Well, Member, my non-essential questions? I'm going back to BIM technology again. We have talked three times, because Mrs Chmiel has called for this discussion on BIM technology and three times the representative of the Polish Chamber of Architects and in the debate in the first reading and in the debate in the subcommittee, and in the debate in committee he has made it clear that the amendments to the bill do not go across, but on the contrary, they are in line with the new technologies that are being introduced. And this problem, which was raised by the Member, looks completely different. Ladies and gentlemen, as regards the issue that we are not introducing anything important in terms of consent and speeding up the procedure, I will say it again. I was talking about art. 5 and 7 containing amendments to the Energy Law and the Act on collective water supply and waste water discharge. Let me remind you that in the article. The amount of the fine to be paid in the case referred to in paragraph 5 relating to the Energy Law shall be clearly stated. 1 point 18, i.e. prolonged arrangements, must not be less than PLN 1500 per day of delay in issuing the conditions for connection to the network. And in the article. 7 on the Collective Supply Act, paragraph 7 is added. 3a as follows: The monetary penalty shall be subject to a water and sewerage undertaking which does not issue conditions for connection to the network within the time limits laid down in Article. Article 19a (1) (a) (ii) (ii) (ii) (iii) (ii) (iii) (ii) (iii) (iii) (iii) (iii) (iii)) (ii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii)) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) (iii) So, there are laws that discipline the right players, and that should obviously have an impact on speeding up proceedings. In general, thank you for the discussion. I'm sure the bill will contribute to this... Oh, one more thing, the question of the Confederacy saying that building self-will is a communist concept. Ladies and gentlemen, no. Spatial planning takes place at the municipal level and we must make efforts in this direction, however, in order to shape public space so that it does not hurt the eyes. If you're going to Italy, the whole of Italy looks like one of the architectural guidelines came out. So you have to take actions that will affect the quality of the common space. On the other hand, we have heard that there is no urban order here. Within the limits of common sense, it is necessary to ensure that space is shaped in a planned, coherent way, one that will provide us with life in beautiful space, and it is difficult to make these efforts as if it were. Of course, everything must be done within the limits of common sense, because, on the other hand, we are faced with the allegations of entrepreneurs that the excessive complexity of the preparatory process for investment is the great cost of doing business. The role of the legislator, responsible legislator, is to balance these various voices from different sides and try to shape the law so that everyone can defend his or her interests and ensure that public tasks are carried out in such a way that the community lives in the best possible conditions, and these better conditions are also life in beautiful space. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u215	Thank you, Member. I thank Members and Members. Thank you, Minister. Ladies and gentlemen, the discussion is closed. In view of the fact that, at the time of the second reading, the draft amendment was tabled, I propose that the Sejm re-direct this proposal to the Infrastructure Committee in order to present a report. If I do not hear opposition, I will think that the Sejm has accepted the offer. I can't hear you objecting. We proceed with the examination of item 6 of the agenda: the report of the Committee on Agriculture and Rural Development on the Government's draft law amending the Act on the Commercial Quality of Agricultural and Food Products and certain other laws (prints 65 and 165). I would very much like to ask Mr Leszek Galemba to submit a report to the committee. You're welcome, sir.
ParlaMint-PL_2020-01-22-sejm-04-1.u216	Dear Marshal, High Izbo! I have the honour to present a report by the Committee on Agriculture and Rural Development on the draft law amending the Act on the Commercial Quality of Agricultural and Food Products and certain other laws, print Nos 65 and 165. The project concerns the introduction of a change by entrusting the Inspection of Commercial Quality of Agricultural and Food Articles with tasks relating to the supervision of the commercial quality of agri-food products at all stages of marketing, production, processing and distribution. During the work of the Agriculture Committee yesterday, 21 January, the whole project was examined and six amendments were tabled to the draft. They were examined in substance and the committee unanimously accepted all amendments to this proposal. The Committee on Agriculture and Rural Development therefore adopted the amendments in full. The draft law was also adopted unanimously. On behalf of the Committee on Agriculture and Rural Development, I request that this law be adopted together with the amendments. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u217	Thank you very much for fitting in so well in time, Mr President. Two minutes. The Sejm agreed that in the discussion on this item it would listen to the five-minute statements on behalf of the clubs and the circle. I'm opening a discussion. I cordially invite Mr Leszek Galemba from the Parliamentary Club Law and Justice. You're welcome, sir.
ParlaMint-PL_2020-01-22-sejm-04-1.u218	Mr. Marshal! High Izbo! Minister! On behalf of the Law and Justice Club, I have the honour to present on the draft law amending the Act on Commercial Quality of Agricultural and Food Products a position which concerns the introduction of a change consisting in entrusting the Inspection of Commercial Quality of Agricultural and Food Articles with tasks relating to the supervision of commercial quality of agri-food products at all stages of trade. In view of the fact that the competence to supervise the commercial quality of agri-food products is part of the commercial quality inspection, of which the retail supervision carried out by the Trade Inspection is excluded, it is appropriate to amend the task of entrusting in full the quality control tasks of agri-food products to one specialised official food control body. Therefore, it is justified that the official food control body supervising the quality of production and retailing is subject to the Minister responsible for agricultural markets. In turn, the correct use of materials and articles in contact with food may affect the commercial quality of the products and materials of such agri-food products, and the Trade Inspection has therefore verified compliance by traders with the requirements for materials and articles intended to come into contact with food to the extent indicated in Article. 1 point 2. Checks on the regularity of placing on the market and labelling of materials and articles intended to come into contact with food will be carried out by the IJHARS only in the framework of commercial quality supervision and will not cover health aspects under the supervision of the State Sanitary Inspection. The proposed focus in a single inspection of responsibility for the control of the commercial quality of agri-food products will allow for a faster response and clarification of doubts related to the compliance of food manufacturers and placing food on the market with commercial quality requirements. The action of one inspection will shorten the time needed to complete the review procedure and eliminate the possible possible other interpretation of the legislation in connection with the control carried out by one or other control service. This will allow for faster withdrawal from the market of products which do not meet the requirements of the legislation, thereby contributing to a better functioning of businesses and uniform evaluation criteria. Mr. Marshal! High Izbo! On behalf of the Law and Justice Club, I request the adoption of this law and the adoption of six amendments tabled during the committee's work. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u219	Thank you very much. Mr Tomasz Lenz of the Parliamentary Club The Civic Coalition has the floor. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u220	Mr. Marshal! Referring to your request that we do not act too long, if that is not necessary, I would like to say that the position of the Civic Coalition Club on the bill has not changed since the last debate two weeks ago when I presented the club's extensive position on this matter. What I'm trying to say is that this is a good solution. In the current model, which is practiced in Poland, the supervision of the entire road from production to retail sales requires the involvement of two institutions, which are currently located in structures of government administration. The Agricultural and Food Quality Inspection is under the responsibility of the Minister of Agriculture and the Trade Inspection is under the responsibility of the President of the Office for Competition and Consumer Protection, which, of course, affects them to the full economic performance of these institutions, but also makes them insufficiently defend the interests of consumers. In the European Union, as many as 23 countries have solutions that make one institution control the way from production to sales. Like I said, two weeks ago, I talked about it quite extensively. We confirm our support for this bill. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u221	Thank you, sir. You set a wonderful example. Specially for you, sir. Voilà. We will see if you will benefit from this example by Mr Marek Rutka from the parliamentary club of the Left. There you go.
