ParlaMint-HR_2018-12-05-0.u101849	Thank you, time. Mr. Marko Vučetić on behalf of the Independent Representatives Club.
ParlaMint-HR_2018-12-05-0.u111182	... Invasion Bulj: Did Chief Plenkovic call you to tell you what you need to do./... If you think he's hurt, I'm telling you to turn around.
ParlaMint-HR_2018-12-05-0.u111183	Next, we have a replica of the respected representative Vlaovic, please.
ParlaMint-HR_2018-12-05-0.u111184	Thank you, Vice President... The State Secretary responds because the observation by the construction profession, construction inspections, that they are not in office of their business, supervision of economic activities, people who are engaged in catering, tourism and service activities. [[The speaker doesn't understand.]] So there was also a question in the debate and here and now I repeat, why exactly a construction inspection must go to the state inspectorate, because it has nothing to do with this part of economic activity, which is legally stated to be the purpose and purpose of the law. And it's also not clear why then... Not all construction inspectors and culture ministry inspectors go, so please respond. [[The speaker doesn't understand.]] Thank you.
ParlaMint-HR_2018-12-05-0.u111185	Thank you. The next replica is the respected representative of Juričev Martinchev, please.
ParlaMint-HR_2018-12-05-0.u111186	Thank you, well-respected Vice President, Honored Secretary of State Antolic, you said that this law is also an aid to our economy, and indeed it should sanction and prevent work on black, gray economy and the like, so I would ask you to reconsider the article, which refers to the request for a search for the apartment. In fact, those citizens who work on black and who do not allow entry into their facility to a tourist inspector do not have to ask for the assistance of the criminal court because I fear that both our courts and our personnel are understaffed and understaffed, but to seek the police's help immediately to enter the facility and find that it is black work.
ParlaMint-HR_2018-12-05-0.u111187	We don't have any answers. Well, then I'm concluding a debate on these 33 laws, and we'll vote on them when the conditions come to pass.
ParlaMint-HR_2018-12-05-0.u111188	We now move to the Amendments to: - Final proposal of the State Inspectorate Act, second reading, P.Z. Number 459. The draft act is proposed by the Government of the Republic of Croatia. The debate is closed. The amendments were submitted by the Committee on Legislatives, the Committee on Economy, the club of representatives of HSS, the club of representatives of Glass and HSU. The review of the Amendment was submitted by electronic means. I welcome the Secretary of State at the Ministry of Economy, Entrepreneurship and crafts, Mr. Maria Antonic. First Amendment of the club of Representatives of Glass and HSU, please welcome the Secretary of State.
ParlaMint-HR_2018-12-05-0.u111189	The Honorable Chairman, the Honorable MPs and MPs. At the first Amendment, where a construction inspection is proposed not to enter the State Inspectorate, the amendment is not accepted for the reason that the inspection, the construction inspection is united with other inspections within the State Inspectorate to better coordinate between inspections, adequate planning and implementation of supervision and functionality, which will allow better protection of citizens and a higher level of legal certainty for economic operators, which the entities are currently subject to segmented supervision by a number of other inspections.
ParlaMint-HR_2018-12-05-0.u111190	I thank the Secretary of State. Dear colleague Silvano Hrelja.
ParlaMint-HR_2018-12-05-0.u111191	Dear Secretary of State, due to the specificity of the work and way of functioning of the construction inspection and the tasks it performs, it would be much more effective to keep the inspection as part of the Ministry of Construction and Spatial Planning. The construction inspection must also be in constant contact with the ministry in order to carry out its work in quality, and the separation from the ministry system would slow down and make communication more difficult. This is also an advocate and respected colleague Branko Bačić, president of the HDZ Representatives Club, so we gave the amendment.
ParlaMint-HR_2018-12-05-0.u111192	I thank my esteemed colleague Hrelja. I guess you're looking for a vote, right? Thank you very much. We move to the 2nd Amendment of the Club of Representatives of Glass and HSU. Here you go, Secretary of State.
ParlaMint-HR_2018-12-05-0.u111193	and the second amendment as the first refers to the same topic as the construction inspection. The amendment is not accepted for the same reasons as the first.
ParlaMint-HR_2018-12-05-0.u111194	Thank you. Here's a colleague of the Hrelja.
ParlaMint-HR_2018-12-05-0.u111195	With the same explanation and with the support of counterpart Branko Bačić in the debate, I request a vote on this amendment.
ParlaMint-HR_2018-12-05-0.u111196	I thank my esteemed colleague Hrelja. Amendment 3 of the HSS Representatives Club. Here you go, Secretary of State.
ParlaMint-HR_2018-12-05-0.u111197	The 3rd amendment refers to a fishing inspection where it is required to enter a new body. The amendment is not accepted for reasons because a fishing inspection within the Ministry of Agriculture has been authorised by the EU user of the Fisheries and Maritime Fund with an allocated amount of EUR 37 million, and by changing the status of the holder would lose the right to use, the right to funds from that fund.
ParlaMint-HR_2018-12-05-0.u111198	Thank you. There's no proposer. We will vote on this amendment. 4th Amendment of the Club of Representatives of Glass and HSU. Here you go, Secretary of State.
ParlaMint-HR_2018-12-05-0.u111199	The 4th amendment also applies as the first and second to the construction inspection. The amendment is not accepted for the same reason as the first and second.
ParlaMint-HR_2018-12-05-0.u111200	Thank you. Dear colleague Hrelja. Here you go.
ParlaMint-HR_2018-12-05-0.u111201	With the same explanation and with the support of counterpart Branko Bačić, I request a vote on this amendment.
ParlaMint-HR_2018-12-05-0.u111202	Thank you. Didn't I see him proposing with you in the amendment? You can't hear. I'm saying I haven't seen Mr. Bacic propose the amendment along with you? .../ intrusion of the Hrelja: no, it's not... and it's not, okay. Thank you very much! We are moving on to the 5th Amendment of the GLAS and HSU Representatives Club. Here you go, Secretary of State.
ParlaMint-HR_2018-12-05-0.u111203	Thank you very much. The 5th amendment requires the Chief Inspector to respond directly to the vice president in charge of the economy rather than to the Prime Minister. The amendment is not accepted for reasons because the State Inspectorate is established as a central state office and as such directly corresponds to the President of the Government of the Republic of Croatia.
ParlaMint-HR_2018-12-05-0.u111204	I thank the Secretary of State. Here's a colleague of the Hrelja.
ParlaMint-HR_2018-12-05-0.u111205	As it is suggested, it turns out, in practice, that the Chief State Inspector in the ranks, that he is in the ranks of the Deputy Prime Minister of the Republic of Croatia because he directly corresponds to the Government, so we suggest that the Chief State Inspector be responsible to the Deputy Prime Minister in charge of the economy. If there were animosities of the former economy president and candidate for state inspector, then there is no more and it is completely removed. We therefore believe that this is a logical amendment and that the Chief State Inspector does not have to burden the Prime Minister for every detail. I demand a vote on this amendment.
ParlaMint-HR_2018-12-05-0.u111206	You're a very caring colleague of the Hill. Thank you.
ParlaMint-HR_2018-12-05-0.u111207	Without support from colleagues Bačić/... [[Intruder:]]
ParlaMint-HR_2018-12-05-0.u111208	We're moving on to the Sixth Amendment of the Voice and HSU Representatives Club. Here you go, Secretary of State.
ParlaMint-HR_2018-12-05-0.u111209	The 6th Amendment also refers to the unification of the construction inspection. The amendment is not accepted for the same reasons as most of these amendments.
ParlaMint-HR_2018-12-05-0.u111210	I thank the Secretary of State. Dear colleague Hrelja. Here you go.
ParlaMint-HR_2018-12-05-0.u111211	I'm not going to repeat my reasons and name my colleague, but I'm going to ask for a vote on this amendment.
ParlaMint-HR_2018-12-05-0.u111212	Thank you. We are moving on to the 7th Amendment of the Committee on Economy.
ParlaMint-HR_2018-12-05-0.u111213	The 7th Amendment of the Committee on the Economy is hereby adopted.
ParlaMint-HR_2018-12-05-0.u111214	Thank you. It becomes an integral part of the bill. 8th Amendment of the Committee on Legislatives.
ParlaMint-HR_2018-12-05-0.u111215	The 8th amendment is accepted.
ParlaMint-HR_2018-12-05-0.u111216	Thank you. It becomes an integral part of the final bill. 9th Amendment of the Committee on Legislatives.
ParlaMint-HR_2018-12-05-0.u111217	The 9th amendment is also accepted.
ParlaMint-HR_2018-12-05-0.u111218	Thank you. It becomes an integral part of the final bill. 10th Amendment of the Club of Representatives of GLAS and HSU, here are the Secretary of State.
ParlaMint-HR_2018-12-05-0.u111219	The 10th Amendment refers to the unification of the construction inspection. The amendment shall not be accepted for the reasons mentioned above.
ParlaMint-HR_2018-12-05-0.u111220	Thank you. Dear colleague Hrelja. Here you go.
ParlaMint-HR_2018-12-05-0.u111221	Also, the argumentation of the amendment is the same as in those previous articles requiring a construction inspection with the support of their HDZ colleagues, thereby calling for a vote on this amendment.
ParlaMint-HR_2018-12-05-0.u111222	I'd like to thank my colleague Hrelja. 11th Amendment of the Club of Representatives of the Voice of HSU, here are the Secretary of State.
ParlaMint-HR_2018-12-05-0.u111223	The amendment is not accepted for the same reason as before.
ParlaMint-HR_2018-12-05-0.u111224	Thank you. Dear colleague Hrelja, here you are.
ParlaMint-HR_2018-12-05-0.u111225	For the same reason, I'm asking for a vote on the amendment.
ParlaMint-HR_2018-12-05-0.u111226	Thank you. 12th Amendment of the Club of Representatives of GLAS and HSU, the Honorable Secretary of State, please be my guest.
ParlaMint-HR_2018-12-05-0.u111227	The amendment is not accepted for the same reason as before.
ParlaMint-HR_2018-12-05-0.u111228	Thank you. My dear colleague, here you go.
ParlaMint-HR_2018-12-05-0.u111229	I demand a vote for the same reasons for this amendment.
ParlaMint-HR_2018-12-05-0.u111230	Thank you, colleagues. 13th Amendment of the Club of Representatives of Glass and HSU.
ParlaMint-HR_2018-12-05-0.u111231	The amendment is not accepted for the same reasons as before.
ParlaMint-HR_2018-12-05-0.u111232	Thank you, dear colleague Hrelja.
ParlaMint-HR_2018-12-05-0.u111233	For the same reason I ask for a vote on this amendment.
ParlaMint-HR_2018-12-05-0.u111234	and the 14th Amendment of the Club of Representatives of Glass and HSU. Here you go, Secretary of State.
ParlaMint-HR_2018-12-05-0.u111235	Thank you very much. This amendment requires a postponement of the entry into force of the law on 1 September 2019. The amendment is not accepted for reasons because a working group has been established to prepare all technical items and what is needed in order for the central office to function normally as of 1 April 2019.
ParlaMint-HR_2018-12-05-0.u111236	Thank you. Dear colleague Hrelja.
ParlaMint-HR_2018-12-05-0.u111237	Dear Secretary of State allow us from these benches to have a second look, and we doubt that this whole big deal, it is really not a simple job, to get to the beginning of April 2019, so out of caution, from some other previous times and our negative experiences, we suggest that the law enter into force with the first day of September of the same year, so 2019, so a completely positive approach, so it may be better to think twice and measure once rather than catch a horn that is relatively short. Because you're staying here, you know, after some skiing, you're left with 60 days to realize this. So be careful with that, but since you refused, we're going to ask for a vote on this amendment because we're asking that logically this is a request for an extension of the deadline. Thank you very much.
ParlaMint-HR_2018-12-05-0.u111238	I thank my esteemed colleague Hrelja. With this, we have exhausted all the amendments to this Final Proposal of the Law. I thank the Secretary of State, Mr. Mario Antonic, for showing the amendments submitted. We'll vote on the amendments when the conditions are met. Dear colleagues and colleagues today have exhausted all the points of the agenda that are scheduled for today. We continue to work tomorrow at 9.30 p.m. with the Final Proposal for the Law on Amendments and Supplements of the Law on Renewable Energy Sources and highly efficient cogeneration, second reading, P.Z. No. 419. I'd like to note that tomorrow is the 12 o'clock vote. Have a nice rest of the day. The session was interrupted at 18.42 hours.
ParlaMint-HR_2018-12-05-0.u111239	Final proposal of the State Inspectorate Act, second reading, P.Z. Number 459. The motion for an act is the Government of the Republic of Croatia, the debate is closed. A statement on amendments to the Committee on Legislatives, the Committee on Economy, the Club of Representatives of the HSS, the Club of Representatives of the Voice and HSU, was held at a session held on 6 December, so yesterday. We are now going to vote on amendments that the applicant does not accept. Here you go, fellow Dark-Taritash.
ParlaMint-HR_2018-12-05-0.u111240	Thank you very much, Presidential Assembly, so before us is a statement, so we heard an attitude related to the amendments. I'm asking nicely for a break on behalf of the Voice and HSU Club for 10 minutes, and now I'm going to explain why I'm looking for a break. [[Intruder: You are looking for a break.]] So, it's about a law that creates a new state inspectorate, as we had the opportunity to hear yesterday, the government of the amendments that we proposed, which we want the construction inspection to be excluded from this great inspectorate is not equally accepted regardless of the debate that was in both the first and second readings. We've equally given an amendment to get the inspector to do something later. But also that the State Inspector should not be the new Deputy Prime Minister, but be responsible to someone else. Given the course of the debate, we are looking for a break on behalf of the Voice and HSU Club, but for the reason that we are also consulting with the HSS Club as well as with the IDS Club, we are tomorrow forming something called the Amsterdam Coalition and we want to make a mutual agreement whether we will continue to participate in this whole story or not. It's really depressing when you see a little bit of the way the ruling majority works, the way it decides, the way someone gives up on the amendment. It's just not good for the Parliament's work either. This is not good for the future of this country, and we want to consult and see what part and way we will participate today in this debate, or rather not a debate but a vote. Point 52 is the same as Household Law. In that law, the ruling majority decided to exercise and show power. We simply do not want to participate and do not want to give the wrong picture to the Croatian public and we want to be a voice of reason. So please pause for 10 minutes for consultation. Thank you very much.
ParlaMint-HR_2018-12-05-0.u111241	The apartment will be approved. Is anyone else picking up? If not, we'll continue at 13 o'clock and 35 minutes. Please be here at exactly the right time. It's the 13th 25th hour. [[CONTINUATION AFTER THE MEETING IN 13.40 HOURS]] Here's your pal, Bunjac.
ParlaMint-HR_2018-12-05-0.u111243	Thank you very much, President-in-Office of the Parliament. The Live Wall and SNAGA club is pulling out of this debate and voting in protest against corruption in Croatian politics. You don't know who the MPs are anymore, who the opposition representatives are. The laws are passed by procedural violence, and we believe that it is high time that this farce is interrupted and that you call parliamentary elections. Thank you very much.
ParlaMint-HR_2018-12-05-0.u111244	A colleague of Lovrinović's.
ParlaMint-HR_2018-12-05-0.u111245	Mr. President, on behalf of the Party, let's change Croatia and I declare that I am withdrawing from this circus and do not want to participate in it.
ParlaMint-HR_2018-12-05-0.u111246	Okay. Then let's vote on the final draft law on the State Inspectorate, second reading. ... Yeah, yeah. [[The intruder doesn't understand.]] But I'm just announcing that we're gonna... The State Inspectorate because we're going from the beginning and voting on amendments of course. [[You don't understand.]] The first amendment is the Club of Representatives of the Voice and HSU which the government does not accept. Please, let's vote. I'm saying he didn't get the votes he needed. We're going to the second amendment of the Voice and HSU Representatives Club. The government doesn't accept it. Please, let's vote. He didn't get the votes he needed. We're going to the third amendment of the House of Representatives Club of the HSS. The government doesn't accept it. He didn't get the votes he needed. Amendment number 4 of the Glass and HSU Representatives Clubs is not accepted by the government. He didn't get the votes he needed. The club of representatives of Glass and HSU also proposed the 5th amendment. The government doesn't accept it. Please, let's vote. He didn't get the votes he needed. Amendment number 6 of the Glass and HSU Representatives Clubs is not accepted by the government. He didn't get the votes he needed. Amendment number seven has been accepted. Amendment number eight has been accepted. Number nine is accepted. Number 10 is the amendment of the Club of Representatives of the Voice and HSU which the government does not accept. Please, let's vote. He didn't get the votes he needed. Amendment number 11 of the same Club of Representatives is not accepted by the Government. He didn't get the votes he needed. Amendment number 12 of the same Club of Representatives is not accepted by the Government. He didn't get the votes he needed. Amendment number 13 of the Vote and HSU Representatives Clubs is not accepted by the government. He didn't get the votes he needed. And Amendment number 14 of the same Club of Representatives is not accepted by the government. He didn't get the votes he needed. We are now going to vote on the final draft law on the State Inspectorate. For him, Article 252 is in line with Article 252. The Rules of Procedure of the Croatian Parliament for its adoption, therefore, requires a half-way majority of all MPs to 76 votes. Please, let's vote. I find that with 77 votes in favour and one vote against the State Inspectorate Act.
ParlaMint-HR_2018-12-05-0.u119599	We will now, as announced, move on to the Final Proposal of the Agriculture Act, second reading, P.Z. No. 416. Here you go, buddy Bull. Here you go.
ParlaMint-HR_2018-12-05-0.u119600	Dear Chairman, first of all we are discussing the most important law... Article 33, you again. [[The speaker doesn't understand.]] The most important law in the Republic of Croatia, the Agriculture Act they want now, has been made catastrophically, has been set up in the afternoon, without the minister here, without parliamentary representatives and making fun of the public and farmers. We do not need a secretary of state, who has been ordered to remain silent here, we need a debate on Croatian agriculture. And it's a shame if the agricultural debate continues now, I'm asking for an end to this session. Members of the opposition, colleagues from the ruling, stop this session, this is a mockery with farmers, with this law, although Croatian agriculture and Croatian land have been announced to foreigners. You've destroyed agriculture and now in the afternoon, you want to get this law under the grain. These are not silos when the grain is gone. I'm asking this one to be interrupted. circus which you do because it's agreed to be for tomorrow and it was on the agenda for tomorrow morning's chairman in the morning, so it was. [[You're out of time, pal.]]
ParlaMint-HR_2018-12-05-0.u119601	Thank you very much. We have a breach of the Rules of Procedure and a respected representative. Please calm down and let your colleague Grumo tell you. [[Whatever you want, whatever you want, you have to get a warning, what you're looking at.]]
ParlaMint-HR_2018-12-05-0.u119602	Dear colleague Boric, calm down, don't be nervous, don't be nervous, you throw yourself out of the bench all the time. Namely, the chairman, it is clear that you have injured an officer. In 33rd, if you had imposed a point that wasn't planned in the agenda, we all got a hearing schedule for this week, and it's clear that the Agriculture Act was supposed to be under discussion tomorrow. I don't know for what reason you decided to push it in now, I can understand that your opposition colleagues are angry. That an angry colleague of Pernar, that angry colleagues from the SDP, colleagues from the HNS, colleagues from Miro Bulj, forgive this from the HSS, is clear that you have done something that cannot be done. And besides, there is no Minister Tolusic present here. If you're going to discuss this, I call on Minister Tolusic to appear here.
ParlaMint-HR_2018-12-05-0.u119603	So I'm assessing that he's not hurt by his rules of procedure, and I'm going to explain why. So, first of all, it doesn't say anywhere that you should always be a minister and you know it very well and on a large number of laws, the laws defend those who are written to defend them, most often they're state secretaries and that's how it's always been and that's how it is now. So, it doesn't say anywhere that he has to be a minister. Sometimes he's a minister, they're much more of a secretary of state. My friend Grumo, you obviously don't care what I tell you, you did it for your show, of course, because you don't care what I say, so there's no point in answering you, uh, obviously. Dear colleague Hajdukovic, please.
ParlaMint-HR_2018-12-05-0.u119604	Thank you very much, Mr. Vice President. He's been injured. In fact, the unwritten rule on parliamentary and parliamentary work so far has been violated to announce when certain points will be on the agenda, we received a notice a week ago, our colleagues organized themselves so that the maximum preparation for this debate tomorrow and I think it is least incorrect, and I will say no parliamentary and not democratically treated and treated fellow MPs, then we don't need an announcement, then you put whatever you want on the agenda.
ParlaMint-HR_2018-12-05-0.u119605	Look, you yourself said it wasn't about breaking the Rules of Procedure, it was about an unwritten rule. So the fact is that in this House the whole series of times were adding points and it wasn't a problem at all. We were a few days ago in this same assembly they added two points, no one said one word. Obviously this has some purpose, some reason, etc. to make such noise about it now. No one prevents anyone from saying, to report on behalf of the club, to discuss it individually, to discuss it finally on behalf of the club, everyone can come here, everyone can discuss it, etc. I really don't see the reason why you're making so many problems, and you're not, say, a few days ago when it's also two exactly added. The same two points were added, no one said one word. No one said a word. If you want, I can take a break now so you can call all your colleagues and come here and have a discussion if you need to by 2:00 in the morning. We can make it by 2:00 in the morning. Well, there's nothing to vote on. [[/Intruder: Let's vote]] What? About what? [[Intruder: We are looking for a vote]] There's no vote on that. Kola Bulj [[Intruder: If you could ask for a vote this morning and now we will vote, most of us]] You cannot come for a pay phone and speak, Comrade Bull, I warn you and take away your word [[/Intruder: On a very important law, do not mock the Agriculture Act.]] I take away your word, please, I took away your word by the end of the day. [[Intruder: First of all, here should be the minister, this is a serious law, in the morning we talk about a very important law]] Here you go, just in order, here you go, here you go.
ParlaMint-HR_2018-12-05-0.u119606	I would like to ask on behalf of all the clubs of MPs if we have long received the weekly schedule and order of the bill that we will discuss, which comes from the president of HS, which is an extremely good practice that has been established and which we all respect and which we have followed and we expect to continue to do so, not as some Rules of Procedure, but as a good parliamentary practice. And I appeal, given that here and some clubs are gone, that there are no MPs who have prepared for this Final Proposal of the Law, that this Law as a whole as the Final Proposal assumes that we must submit amendments during the debate [[/Intruder: Thank you very much.]] that we couldn't have known all that. [[/Intruder: Thank you very much.]] I appeal for good parliamentary practice Please make this point as announced tomorrow on schedule we don't need one [[Thank you, thank you very much.]] If possible, I appeal to you as vice president of HS [[Thank you very much, this one, this one.]] [[/Intruder: This point was on a weekly schedule, so, uh, no, I don't give any more injuries to the Rules of Procedure, I just don't give it without a clue.]]
ParlaMint-HR_2018-12-05-0.u119607	Uh, he was still looking for a respected colleague named Djujic.
ParlaMint-HR_2018-12-05-0.u119608	Thank you very much, Vice President. So I have a proposal for a solution to this situation in the future. [[Intruder: What, what, why]] In the form of a proposal, he wants to tell you that [[Intruder: Look, in what form you want to say, what are you trying to say]] How are we gonna get out of this? [[Agreement: There is no form of proposal]] On behalf of the SDP Club, I suggest you take a break by tomorrow and tomorrow at 9.30 a.m., when we consult, let's get on with this because we see that everyone is nervous, especially the HDZ colleagues who are constantly shouting something. [[Intruder: You must do this in the turn of Rules of Procedure to tell me somehow]] Let's all calm down so we don't have any more hard words and problems, break one [[No, I think you're nervous.]] By tomorrow and tomorrow at 9.30, we'll continue and that's it. [[Employee: My colleague, Djujic, do not violate the Rules of Procedure I ask you nicely]] All right, all right. Dear fellow Boric is very nervous, let the man rest, he didn't seem to be asleep, he came late from Rab, I see he's tired, so let him get some sleep by tomorrow, so we'll continue [[Grmoya Intruder: Without a minister we cannot discuss, please]] [[Intruder: Well, fellow Grumoja, you have a warning by the end of the day anyway, so you can't speak, therefore, please, my colleagues to Grumoji I told you so, yes]]
ParlaMint-HR_2018-12-05-0.u119609	So, the Proposer is the Government of the Republic of Croatia, based on Article. 85. The Constitution of the Republic of Croatia. .../Intruder Bulj: Fellows and colleagues, this is a very important law here Now we're gonna interrupt the session and I'm asking the guards to remove Mr. Butt. [[The speakers speak at the same time, of course.]] [[Intruder Bulj: This is about agriculture, this is about the peasant you destroyed, this is about the most important law that you want.]] Comrade Bulj, you have been removed from this session by the end anyway. ... [[I don't want to hear him anymore, get him out.]] [[And who are you?]] [[Who are you, who are you, who, tell me who, what are you, you're in charge here, what.]] Please leave the sessions. [[You can't hear the intruder.]] You can't get the word anymore. Here, you have the right to a word.
ParlaMint-HR_2018-12-05-0.u119610	He's been broken. 238, because, in fact, the injury was to my colleague's representative anywhere he was called a shepherd. I think he put something you need to sanction, this is what you've heard yourself say in the end, call a shepherd's representative, I think it's an insult to any man, not a representative only. [[I'm proud of it.]]
ParlaMint-HR_2018-12-05-0.u119611	... You destroyed agriculture and the village. ... [[Specially enabled.]] Let him carry everything and get it over with. [[You can't hear the intruder.]]
ParlaMint-HR_2018-12-05-0.u119612	I'll give a 10 minute break and ask the guards to remove those who disturb the work of the assembly. .../Intruder Bulj: What, you won't, you won't, the peasant is the most important, village and agriculture, and you won't subdue. It's 3:35 p.m. [[CONTINUATION AFTER THE MEETING IN 15.57 HOURS]] My colleagues and colleagues, since there is unfortunately a continuation of the session violently physically disabled, I will interrupt today's session... And the session will continue tomorrow. [[Applause.]] I'll tell you exactly in which order so that no one has an excuse not to know and cannot prepare. So we'll start with the Final Proposal for the Agriculture Act, second reading, P.Z.E. No. 411, then Final Proposal of the Law on the Breeding of Domestic Animals, Second Reading, P.Z.E. No. 399. Third Final Proposal of the Law on Spatial Planning, Emergency Procedure, First and Second Reading. P.Z. No. 529. Fourth Final proposal of the Law amending and supplementing the Law on the Chamber of Architects and Chambers of Engineers in Construction and Spatial Planning, emergency procedure, first and second reading, P.Z. the number 530 and the declaration of amendments which have been submitted so far. This concludes today's session Session interrupted at 1600 hours. [[I would like to thank the opposition here for unity.]]
ParlaMint-HR_2018-12-05-0.u119614	Good morning, distinguished parliamentary MPs, respected parliamentary representatives. We're going back to work where we left off yesterday. - Final proposal of the Agriculture Act, second reading, P.Z.E. Number 416. The proposal is proposed by the Government of the Republic of Croatia, on the basis of Article 85. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Rules of Procedure of the Croatian Parliament. On the occasion of the debate on this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply, the amendments may be submitted by the end of the debate in accordance with Article 197. Rules of Procedure. The debate was conducted by the Committee on Law and the Committee on Agriculture, and the Government submitted an amendment that becomes an integral part of the final draft law. I would now like to ask the motionary's representative to give us an additional explanation, with us is the respected Deputy Prime Minister and Minister of Agriculture Tomislav Tolusic. Here you go, Vice President.
ParlaMint-HR_2018-12-05-0.u119615	Mr. President-in-Office of the Croatian Parliament, ladies and gentlemen of Parliament and parliamentary representatives, the objectives and measures of the agricultural policy are governed by the Final Proposal of the Agriculture Act, and a clear framework for implementing measures is given all to ensure the creation of consistency and improvement of the EU's common agricultural policy framework for the 2014 programming financial period. - 2020. The implementation of EU-level regulations is further strengthened by adding appropriate implementing acts, which are now ensuring the implementation of 13 EU regulations. In addition to that framework for the implementation of measures, it also includes the adoption of national strategic and programming documents with national objectives, priorities, measures and mechanisms of action in the current programming period. The objectives of the agricultural policy are in line with the objectives of the common agricultural policy and with the Strategic Plan of the Ministry of Agriculture and with the resources provided in the State budget. The division of agricultural policy measures is basically maintained in three basic categories and is consistent with the division of measures within the framework of the CAP to measures of the first pillar, meaning market-price policies which included direct payments and measures of the common organisation of the market and so on. the second pillar, or rural development, which provides for other measures to achieve the objectives of agricultural policy. The final proposal of the Agriculture Act ensures sustainable development of agriculture, the principles of general food security and the conservation of natural agricultural resources are met, the competitiveness of the agricultural food sector is improved and the social, social, economic and environmental role of agriculture is strengthened. The final draft law improves the current implementation of the common agricultural policy in the Republic of Croatia, regulates the way in which the Republic of Croatia participates in the adoption of international standards for food, alimentary code, which protects the aim of protecting consumer health and ensuring fair food trade procedures. The concepts in the food donation system are more clearly regulated and a legal basis is given for the adoption of a plan to prevent the completion of food waste production. The concept of a self-supply agricultural holding was introduced as one of the components of the broader concept of farmers. Compared to the text of the draft law which passed the first reading in the Croatian Parliament, the text of the final draft law made certain differences as a consequence of respecting the views made during the first reading of the bill and the reflection of the motions in order to improve the provisions of the final draft law. In this context, it is pointed out in particular that the final draft law in the national legal system implements Commission Implementing Regulation (EC) No 543/2011 of 7 June 2011 laying down detailed rules for the application of Council Regulation (EC) No 1234/2007 in respect of the fruit and vegetables sectors and the processing of fruit and vegetables and Commission Implementing Regulation (EC) No 2015/1831 of 7 October 2015 laying down rules for the application of Regulation No 1144/2014 of the European Parliament and of the Council on information and promotion measures relating to agricultural products carried out on the internal market and in third countries. Following which, through further alignment with the right acquis, EU assumptions for their implementation have been provided. With respect to the observations of the Assembly Committee on Law and the Committee on Agriculture, for the sake of clarity of expression, certain provisions have been developed and the full text of the final proposal for a law has been no-technically amended. In a clearer way, delivery of decisions to the paying agency in agriculture, fisheries and rural development towards users of agricultural policy measures has been prescribed and the Ministry of Agriculture decides on complaints from users of measures of agricultural policy against decisions of the paying agency. Provisions have been developed within the framework of the common organisation of the markets in agricultural products, in particular provisions on specific support programmes and rules relating to the placing on the market and of producer organisations. Furthermore, provisions on information and promotion measures as well as the rule of strong alcoholic beverages including the erasure of the provisions on ramatised wines have been further regulated, given that those substances will be regulated by a special regulation or by the Wine Act. In addition, some articles related to a clear statement of the provisions relating to the application of the European regulations have also been updated, more clearly and in more detail, to the tasks of the competent and implementing body and to the conditions relating to binding persons in the implementation of certain European regulations to which the law is called. A more detailed system of counselling of farmers as public and private advisory activities has been further implemented, the terminology harmonisation of the inspection control provisions has been deleted, the provisions governing the inspection as a body of the Ministry of Agriculture as well as the provisions governing the issue of inspection supervision covered by the Proposal for a Law on the State Inspectorate and, in the light of the proposed normative solution governing the establishment of the State Inspectorate and the conduct of inspection operations. Infringement provisions for natural and legal persons shall be broken down by type of offence and shall comply with the normative part of the rules. Penalty entities as possible perpetrators of the offence are separated in separate items, taking into account the regulation of the different limit of fines for a craftsman and a natural person performing another independent activity or a natural person. Infringement provisions correct the regulation of infringements by simultaneously calling on both the article of the law and the article of the Regulation. Coordination has also been carried out to avoid overlapping offences with the relevant criminal offences under the general rules governing criminal offences and criminal sanctions. Thank you.
ParlaMint-HR_2018-12-05-0.u119616	Let's go with the replicas. The first is a respected colleague, Chikotic. Here you go.
ParlaMint-HR_2018-12-05-0.u119617	Dear Minister, I'm interested in one thing, you're bringing a series of measures to the Agriculture Act, but unfortunately I have to say they're just implementing acts. At this moment, the Republic of Croatia does not have a agricultural strategy, although in this Law you are calling on a number of articles for the same. On the basis of which document will you have when creating a common national policy Croatia's position when we do not have a strategy for the development of agriculture in the Republic of Croatia? Thank you.
ParlaMint-HR_2018-12-05-0.u119618	Here's your answer.
ParlaMint-HR_2018-12-05-0.u119619	I thank the distinguished representative, Mrs. Sonja Cikotic. We have guidelines right now, so strategic guidelines, and two months ago, I think, I apologize if I miss the exact date, we have agreed on a strategy with the World Bank that unfortunately hasn't been drawn up in the last 20 years, and that injustice will be corrected in parallel with the adoption of a new financial framework, a new financial period we are doing a new strategy, or the only strategy that has not been made so far, so everything will be fine and everything will be under control. Thank you.
ParlaMint-HR_2018-12-05-0.u119620	Comrade Grmo, here you go.
ParlaMint-HR_2018-12-05-0.u119621	Thank you, Your Honor. Here, Minister, I'm glad you're here this morning, that you're here this morning, so you can answer your questions. Yesterday we had one will where she tried to put this important point for our farmers past the announcement and without your presence. Farmers couldn't hear the answers to the important questions. Here's a question I have, so you're introducing self-sustained agricultural economies, I'm asking why you define them, whether these smaller economies are going to lose some rights and there are thousands and thousands of them. And if they were going to be in one I'd say a worse position than a family farm. I think that for all the people who look at these questions, the answer should be given.
