ParlaMint-HR_2018-03-02-0.u66330	Dear comrade Grmoya, here you go.
ParlaMint-HR_2018-03-02-0.u66450	I thank my esteemed colleague. Here, we made it up to you for half a minute. We have a breach of the Rules of Procedure. Comrade Ivan Pernar, come in.
ParlaMint-HR_2018-03-02-0.u66451	I'm sorry, mine was a misjudgement. There's still a tube transfer on you, it just keeps breaking up and I don't know why. And I think the HTV's been shut down a long time ago. Thank you.
ParlaMint-HR_2018-03-02-0.u66452	I thank my colleague, but it has nothing to do with the breach of the Rules of Procedure. Thank you very much. Comrade Bulj answered his word, please.
ParlaMint-HR_2018-03-02-0.u66454	Thank you very much, Mr. Chairman. On behalf of the MOST Club, I'm looking for a break of 10 minutes. The topic is the current political situation in the Republic of Croatia.
ParlaMint-HR_2018-03-02-0.u66455	Thank you, fellow Bull. You know very well that only after the next presentation can you get a break, so when the next exhibition is finished then we'll talk about the breaks.
ParlaMint-HR_2018-03-02-0.u66456	It's my friend Bull's place. A colleague of Pernar's? My fellow Dark-Taritas. Just the theme of my colleague Pernar... Pernar, Pernar's first. [[You can't hear the intruder.]] Please stand up.
ParlaMint-HR_2018-03-02-0.u66457	On the subject of buying those F-16s from Israel. Thank you.
ParlaMint-HR_2018-03-02-0.u66458	You got it. Comrade Dark-Taritash.
ParlaMint-HR_2018-03-02-0.u66459	Please pause on behalf of the club GLAS and HSU and the topic is climate change. A colleague of Maras.
ParlaMint-HR_2018-03-02-0.u66460	A colleague of Maras.
ParlaMint-HR_2018-03-02-0.u66461	We're looking for a 10-minute break on the topic of the current political situation.
ParlaMint-HR_2018-03-02-0.u66462	You got it. That's it. ... At 8.20 p.m., we'll proceed. ... [[You can't hear the intruder.]] What? [[You can't hear the intruder.]] You were the first one, yeah. It's 8, 10 o'clock. [[CONTINUATION AFTER A MEETING IN 8.20 HOURS]] Here you go.
ParlaMint-HR_2018-03-02-0.u66464	Thank you very much and good morning, Mr. President Jandrokovic. Here, after 24 hours and 25 minutes, yesterday I came here just eight hours ago, all night long, we've been fighting for freedom of speech that she wanted to impose on the majority of the minority. With one non-democratic attempt and the usurpation of demographic procedure, they will begin to discuss the Rules of Procedure in the Croatian Parliament by midnight. This is not a fight for us, MPs, but for those who chose us to speak for them. In their name to speak, and I said too little, although I was the most active parliamentary representative, as long as you gentlemen have brought problems to this country, otherwise I wouldn't be a parliamentary representative, perhaps even the chairman of the local committee, if you were doing your job. Freedom of speech is the fundamental democratic right in the democratic Republic of Croatia. And you can't unify, tell us the MPs how we're going to behave. When I was a part of most personally, I voted, I didn't support the budget, it's my democratic right. And that's the right of you who are in the majority and us in the minority. And you can't ban us from taking breaks where I've been talking about labour rights, about my Dalmatian burn, like, undeveloped neighborhoods and on a number of other issues, as well as my fellow MPs, who have been here all night out of defiance and pride wanting to preserve the dignity of freedom of speech. Not only is freedom of speech and this is not a circus, because journalists were also deprived of freedom of speech, such as Tihomir Dujmovic at the public service HRT, Maja North, Milorad, a gentleman who also received this resignation or prior to his resignation, because he criticised HNS leader Vrdoljak. And he didn't think he liked the Bridge, but we stood behind him. At half past 12, I put up half the night, I put a patch on my mouth and I kept my mouth shut for a minute. The silence, the opposition, the Band-Aid, the Rules of Procedure. You don't have the right to make us just voter machines, because I don't have the right to, because I've been chosen by the voters, which pays me travel expenses, accommodations and wages. It would be best if you wanted to, and it's obviously your wish, because we're making you nervous about what we're making up for stories and themes, and it's our role and our mission that if you want to change the Rules of Procedure in this way, to send an email, we vote, or to insert 150 dolls here and if you want to be squeezed into remote red, white or red. You gentlemen can defend us all. You can, but you won't. There are methods and models of fighting in this society. But it's a shame that most people terrorise the minority by banning freedom of speech. By limiting the number of replicas. Well, if I'm coming from Sinj, I'm coming from three replicas. Will you, Mr. Reiner, as a motionary on behalf of the board, prescribe which replicas I will speak and to whom I will give the replicas. I know when this case happened, when he was here in front of the European Commission, after Mr Plenkovic and when he said he needed to change his rules of procedure. But he was elected by parliament, this is parliamentary democracy. This is parliamentary democracy. You have no right to, no one has the right to destroy and take away the right to freedom of speech. Mostly to MPs, or citizens, or journalists, but you do it. And because of that, you can bring this Rules of Procedure, but we will fight by strangling support for freedom of speech, and the Rules of Procedure will be worth as much as this paper.
ParlaMint-HR_2018-03-02-0.u66465	Thank you. Let's move on. It's up to the esteemed colleague Pernar, the Life Wall Representatives Club and the SNAGA. Here you go.
ParlaMint-HR_2018-03-02-0.u66466	Your Excellency, ladies and gentlemen of the Parliament. This session of the Parliament, we can call it a marathon, we can call it exhausting, we can call it, I don't even know how, but what's certain is that certain decisions that the government made weren't right, and that's why we have to protest. One of those decisions is the decision to make a remountive move in Ukraine, those moments were already for write-off, it was about copies, which would possibly be good for a technical museum in Sava. However, instead of ending up in a technical museum, huge money has been spent on their remont and they have been restored, such that they are not, are simply unusable and now Croatia is buying new museum copies, this time only 30 years old. It is only used Israeli planes, which are no longer needed by Israel. Now, if those planes were good, they'd write them off. I don't think I'd dare say an irrational enterprise of the state will single out 360 million kunas. Could that money have been spent better? I think so. And I think there are a lot more priorities where this could be directed, and one of them is certainly solving the status of protected tenants, which, if they accept these amendments to the law, actually become ordinary tenants and one leg all on the street. I am sorry that there is no consciousness and will in this House, which in this House are the eyes of most MPs, unfortunately, wide closed, instead of open. Also, with its support for this leading policy, the parliamentary majority is actually euthanizing Croatia, destroying Croatia and asking who will last turn off the light. And after all, wealth is in diversity. So is the goal only the HDZs survive, and we all disappear. Is the goal of surviving just one click and everyone else falling apart? So what kind of state is that, what kind of politics is that, and ultimately, what kind of people support such a policy? I am pleased that the opposition to this policy in the Croatian Parliament is slowly emerging, and this resistance is currently manifested in the form of civil disobedience, i.e. in today's debate, by the fact that the first time the history of the Croatian Parliament lasted literally throughout the night. I'm here on my feet, here I've been in the assembly since yesterday at around 9.30 p.m. and I'll remain for the reason that the fight against this government and for freedom of speech is my role here, or in other words, that I'm getting paid to sabotage the work of those who are ruining Croatia and who want to turn it into a country, as some commentator called, poor old people. It is a vision of the HDZ for Croatia and for this reason it is actually aware that HDZ has no vision for demographic recovery and is aware of the negative trends for these reasons Marin Strmota, the secretary of state, resigned. It's the suma sumarum of the whole story. And while Croatia is also dealing with this issue, it deals with everything but that. Why? Until when? God knows. And these measures that the state is carrying out to God, in order to promote birth, are folklore, as Mr. Stramota said, that's what we've already had opportunities to see in the past and what hasn't produced results back then, so obviously they're not going to now. I'm sorry that so few people see it and I wonder how much longer we're going to have to testify about this policy that is actually terrifying and that doesn't lead us anywhere, and especially not to a better future. Thank you.
ParlaMint-HR_2018-03-02-0.u66467	Dear colleague Anka-Murk Taritash on behalf of the GLAS Club in HSU.
ParlaMint-HR_2018-03-02-0.u66468	Good morning President of the Croatian Parliament, good morning and colleagues who joined us. We're already counting for 24 hours that we're in this assembly. On behalf of the GLAS and HSU Club, the apartment was on the subject of climate change. Climate change is a fact, not only in the Republic of Croatia, but also in Europe and the world. There is one statesman, Mr Trump, who quite often likes to say that, in fact, climate change that does not exist, and then, of course, nature defies it itself. It's the relationship between those powerful and those less powerful. Likewise, the parliamentary majority in this assembly decided to discuss amendments to the Rules of Procedure in the late hours thinking that it would go a long way under the radar, that we would all give up around midnight, 1-2 in the night, but as you can see, we haven't even given up, we haven't even finished the debate on behalf of the clubs, so that this debate can really go even in the third day, if someone really takes a big turn, but we'll see how it goes. But let's go back to the topic of climate change. Climate change is a fact. This century is where EU countries will be, where the Republic of Croatia will have to face three problems. One problem is climate change, another problem is waste disposal and the third problem is wastewater disposal. Climate change adapts relatively quickly. It adapts well to both the animal and the plant world, but you have to adapt a number of other things to that. There's a good story, it's always good to tell, somewhere about 20 years ago, I'd say, they were just starting to do environmental impact assessments and there was an environmental impact assessment in the Republic of Croatia, and then it was one of the largest energy facilities planned for the New Virje Hydropower plants, which was planned, there was an environmental impact assessment and it was to be built. The main problem in this environmental impact assessment was the Repash forest. The Repash forest that was created in Slavonia was created on, therefore, the oak forest that needed a lot of water. However, as the change came with groundwater, so the level of groundwater fell for years, the oak that had grown adapted to climate change, had an ever deeper and deeper root and the idea of the New Virus hydropower plant was that this Repash forest was actually submerged again and had a larger amount of water, i.e. as it had at the beginning when the Lužnjak oak forest was created. But then all the experts said that nature had adapted to new conditions and that if they had returned to the conditions on which the Repash forest had been created, it would have failed. What exactly does that tell us? This tells us that we must face the changes that are, that we should face each other and deal differently with agriculture but also treat other types of production that are for the simple reason that will be different. You have the opportunity and as I see that and lately even the four characteristic seasons... Croatia was that it somehow broke and turned into a 2-year period. [[The speaker doesn't understand.]] This should be adapted, adapted to energy, compared to design, compared to the use of new materials, even more so, the changes that have been made have contributed to this, but Croatia is there as a helmet in other things, helmets and so on. Sometimes when it was built especially in areas by the sea, it was those houses that were made of concrete blocks and were concrete plants. Today it's being built differently, it's being built with different materials, and some other countries have turned these concretes into a way where construction material on these concretes is actually recycled and used as a new value, and that's used as an incentive. So, in terms of changes that are, in terms of waste resolution, it's one of the projects that Croatia could be made about, it's one of the subsidies that should be and in this way we would actually respond to nature but also help the economy. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66469	Thank you. Now it's the SDP representative's club, colleague Maras, I'm sorry what they did? Are you shooting yourself?
ParlaMint-HR_2018-03-02-0.u66470	No, but it is social networks and at this point and people on social networks who are following my website can see what is said in the Croatian Parliament, I think it is nothing unusual but something that people are looking for, given that HRT is this session that is special in many things and is the first in Croatian history that lasts more than 24 hours uninterrupted, I think that people deserve to see and deserve to hear why we are here and why this session has taken place today and has not been held in the last 27 years. I also wanted to highlight and thank my colleagues and colleagues in the Croatian Parliament, employees of the Croatian Parliament who spent all day and night with us here. So there are people in this Croatian Assembly, officials who worked yesterday morning at 8am, I saw them at 6:30 that are still here, almost 24 hours of these people have spent here with us and I want to thank them and to you Mr. President, I want to say that these people should be rewarded for what they do so hard and dedicatedly. And on the other hand, the question arises why we don't take care of those people who work here with us and almost day and night I would say they help this Croatian Parliament work in the best possible way. Why am I saying that now? There is a competition in the Croatian Assembly for Jobs in the Assistant Services in the Croatian Assembly at the moment, and how much pay do you think it is? How much pay do these people work for? 3,500 kuna. And now you see that these people work from morning till tomorrow for 3,500 kuna and at this point still these consultants in Agrokor, Texo Management earn 250 000 kuna a week. And tell me that's fair. Last night while we were sitting here, while we were discussing the Rules of Procedure, I thought about it, and I can't be surprised that Andrej Plenkovic still pays Texo Management 250,000 kuna a week or almost million kuna per month as about 300 colleagues and colleagues of our staff, the tenants who work in the Government in the Assembly. One company, 2 employees, Andrej Plenkovic and HDZ are worth 300 of our associates who spent the night with us yesterday from 8 a.m. with us here. I can't be surprised, Mr. President, that kind of approach, I can't be surprised that these people don't deserve more, that they're not supported and paid for by a decent and decent man for the work they do. If there's so much money on one side that the Commissioner in Agrokor pays 80, 75 000 kuna a month, Texo Management million kuna a month, so can't it be found that people who work with us here from morning till tomorrow have a decent salary? And I wanted to point out this here today and thank them again for what they did with us this night that wasn't easy and especially for them since they weren't used to it, that they had to stay all night and that they were really miserablely paid for their job. On the other hand, gentlemen of the HDZ, you can see that nothing can go wrong. We ask you not to silence the opposition, to accept two amendments to the key SDP, so that these breaks are not lifted and that the agenda, the agenda points, may be said, so you may never have the opposition, why not raise the standards, so tomorrow you will be the opposition, and you will propose. On that side let's take a step forward, and look at this side on the right, not one member or member of the HDZ Club is in the assembly, does not even have a proposaler again [[The incursion president: Thank you.]] I beg you to respond by breaking the Rules of Procedure, there is no longer any suggestions here. [[The incursion president: Thank you.]] Thank you very much.
ParlaMint-HR_2018-03-02-0.u66471	Thank you very much.
ParlaMint-HR_2018-03-02-0.u66472	Now they've asked for the word Mr. Maras and Mr. Glasnovic.
ParlaMint-HR_2018-03-02-0.u66473	Thank you very much, Mr. Vice President. I'm looking for a break on behalf of the club, although I'm sorry about the students upstairs that we're going to interrupt the debate now to hear a little bit, but I'm asking for a break to consult at the club about the current political situation. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66474	Thank you very much. Mr. Glasnović.
ParlaMint-HR_2018-03-02-0.u66475	Dear colleague, I'm looking for a break on academic lustration in Croatia regarding what I'm talking about right now.
ParlaMint-HR_2018-03-02-0.u66476	Thank you very much. Mr. Alexic.
ParlaMint-HR_2018-03-02-0.u66477	On behalf of the Living Wall and the SNAGA Club, I seek a break to speak about the inacted authority in protecting citizens in the protection of their incomes because this protection is constitutional and not by protecting these incomes, the Constitution is being violated and the Constitution violates power.
ParlaMint-HR_2018-03-02-0.u66478	Any other interested? There isn't. Well, I haven't seen you, Mr. Grmoya, you're too close to me, so I haven't seen you.
ParlaMint-HR_2018-03-02-0.u66479	Dear Vice President, I'm looking for a break on behalf of the MOST Club on the topic of the current political situation.
ParlaMint-HR_2018-03-02-0.u66480	What, I didn't realize? Uh-huh, actual. [[Grmoya Intruder: Current political situation.]] Thank you very much. Ten o'clock break. It's 9:50 a.m. [[CONTINUATION AFTER MEETING IN 10.00 HOURS]] Here you go. You've changed? Well, then, Mr. Miranda Mrsic instead of Mr. Maras. Here you go.
ParlaMint-HR_2018-03-02-0.u66482	Thank you very much, Mr. Vice President. Honorable MPs and MPs. I asked for today's break to warn the circumstances that political staffing is ruining good and profitable companies that are unfortunately owned by the state. In a particular case, it's about the National Journal, a company that is a symbol of the state, a company that was obviously a company that the state took for itself, but apparently it ran it in a way that it shouldn't be. And while all public attention is directed towards Agrokor in front of workers' eyes, but not to the public, a healthy company is failing to make bad business decisions both for the company itself and for the workers. It is a company that was profitable, which is now in business problems because of the politics and politically elected people who led the National Journal to a company that could soon become a problem, a case not as big as Agrokor, but large given the symbol of what the National Journal means. From time to time, they leak into the public of certain affairs from the National Journals, so let's remember that affair with the uniforms of the Croatian Football Federation where the National Journal bought at one price, and then sold below that price which is above every healthy economic logic. And the last affair that will lead to the impact of the last nail on the People's Newspaper coffin is toilet paper. You won't believe the toilet paper will probably come heads to the People's Newspaper and the People's Newspaper can go bankrupt very quickly. Why did that happen? It was due to a poor business policy where it was obvious that it was not also counting on the economic viability of the project. And what's happening now is that the machines bought by the People's Newspaper at one price, well below that price, are sold to the private. But here's the devil, the private says we'll do profitable business, our private family company will export to our market, the market around Croatia or the European market, and we will succeed. Why didn't the People's Newspaper do it? The People's Newspaper case shows how harmful political staffing is for public companies, and this has been the European Commission and the EU's attention for many years because it is important that we manage state-owned enterprises more effectively in Croatia. However, we see that there are no shifts, and Minister Maric continues with a good old HDZ policy to politically frame, so he is politically involved in the People's Newspaper, not to mention that he is politically staffed both in Podrava and in other companies. I ask Minister Maric, is that how you take care of state-owned public enterprises? The People's Newspaper case reveals some other things that happen in these companies. Politically staffed administrations leave and come, make business decisions that bring businesses to ruin without anyone answering. I ask the State's Attorney's Office has found it appropriate to examine the conduct of previous administrations that have made harmful business decisions and concluded harmful business contracts. If DORH hasn't done it yet, why is it waiting? And most importantly, how is it that the burden of these bad business decisions always falls on the back of workers, so neither is the People's Newspaper excluded from it. Workers were asked last year to agree to a reduction in wages in order to compensate for losses caused by former administrations and thus put their bad business moves under the rug. And so the workers give up their rights, and politically staffed administrations pile up business failures. How long, gentlemen? I call on Minister Maric and the DORH to take concrete messages on this issue, not only on the People's News, but on other companies, and on the poor business of state-owned enterprises, to match those responsible, not workers. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66483	Thank you very much, Mr. Mrsic. The other is Mr. Glasnović. Here you go.
ParlaMint-HR_2018-03-02-0.u66484	Dear colleagues. Here we sit here all night, if we spent so much on key problems, politics is a priority, the skills of priority spent on the remonting of the legal system, total remonting that we spent so much on the law of origin of property, about academic lustration would be much better. Because about the academic lustration of this thing that I'm about to say you won't hear in the mainstream media that's why it's an important Rules of Procedure, it's just that there's only one thing that's heard is that journalists are under a heavy, hard hit by editorial censorship, self-censorship, afraid for their jobs. Well, when you touch someone in... real estate hunting, then you're the target, you have to keep your mouth shut. But journalists are networked to others, they have their sponsors in this House, and they're not telling the truth. Here's an example, yesterday I was saying that a Communist party was declared a criminal criminal organization in Bulgaria. I'll read it from that text from their decision by the Bulgarian Parliament to some point, and you just swap the Bulgarian KPH for this, and if there's a parallel, just listen. Here's how, first point, targeted and deliberate destruction of traditional European and civilization values, of course Christianity, deliberate violation of fundamental human rights and freedoms, mass murder persecution, etc. Third, strict punishment without the verdicts of parliamentary representatives from the national courts where people were being handed over just to take away their property, we talked about it yesterday. Nobody cares about that. The moral and economic breakdown of the state is crucial today, a moral and economic breakdown because this is where the heirs of the party sit. It was established centralised, managed by the economy on the basis of a directive that led to its collapse. Breaking and repealing the traditional principles of ownership rights, destroying the moral values of the people and reaching for its religious freedoms, implementing continued terror towards those who disagree with systemic management, according to target groups of the population, abuse of education, science, culture in political, ideological purposes also includes motivation, justification of those actions, destruction of nature without precedent. You have coves from Rijeka down to Omis, gray economy, etc. Is this how it happened with us now? In these redesigned communists overnight they replaced one of these failed doctrines for new birth ideology, which means I'd say they evolved from Mars to the buttocks, they came to the buttocks now here and that's where we are today, and that's actually, there's one, I'd call it Caiaphas syndrome. You have both left, right, Caiaphas syndrome. This is the priest, the high priest in Jerusalem, when Christ is crucified, they bow down to all authority. They have that possibility, is that Marshall or the chief. There's someone else, there's them. In that regard, academic lustration, what's said here is true, you'll be convicted in the media, I mean the media. You'll be blocked, or someone will introduce you as a clerofashist. A journalist recently, I don't know what her name was, was her name Yugoslavia or Memorial, I don't know anymore. He writes for Vecernji list and also has his own program where he washes brains with nebuloses on the Network TV that I introduced fascia into the Croatian Parliament. What kind of fascia? Is Fascism true? Is that the fascism of the phalanges, because I form the phalanges in Zagreb here. Is that corporate fascism? So I would, this is, from this podium here I would invite the Croatian people to get out of that mouse hole, to look for the truth. Here's a part of that truth we'll read about what it looks like in the practice of that system. My grandfather was deprived of his property because he was a Croatian patriot. One night they came to Grandpa's house, they arrested him, until today you don't know where he is, in a pit somewhere. And Grandma and her children were expelled and on foot came to Dalmatia. Only the mother I inherited from was left alive. My seized property, which is located in Zagreb from the 1990s to the day today, was returned to me by a court procedure, but the remaining protected tenants. The biggest tragedy that these tenants are too rich to know recently and have all the time. What have they got? Three houses, five cars, pastures, orchards. It's a continuation of that one-party system, everything else is just an act.
ParlaMint-HR_2018-03-02-0.u66485	Like clockwork, you haven't spoken for a second. Thank you for that. Mr. Goran Aleksic, I also appeal to accuracy. Here you go.
ParlaMint-HR_2018-03-02-0.u66486	I thank the esteemed Vice President of the Croatian Parliament. What I want to talk about is the inaction of the Croatian government, the inaction of the Government of the Republic of Croatia, the inaction of the Croatian Parliament. What's this about? Let us remember that the Constitutional Court has made a decision that prevents the full pay from being carried out, the full income is not stopped. Let us remember that at that time, I was raising a lot of trouble about it and after that trouble, the big creditors, the big banks, they decided silently not to make the full receipts, and the truth is that big banks don't do the full income to Croatian citizens, and they could because Article 173(1) of the Treaty on the Functioning of the European Union. The law of law is not retroactive. So we could do all the pay, the full income, the whole pension. But great believers don't do that. They are not working because of their rating, so the Association "Franak" recently urged Minister Bosnjakovic to go public and say that part of the Executive Law is retroactive, and Article 173(2) is retroactive. Because Article 21 of the Implementing Law has been resolved to limit the performance below the average income. And that restriction is retroactive. However, the average and above average receipts under the Implementing Law may be completed if the debtor has signed a declaration by 17 June 2008 allowing the believer to do so. I repeat, great believers don't do it after all the trouble we've been making. It's on the agenda right now, but it's not at the debate on the amendment and addition of the Executive Act. It was proposed by the SDP and by the proposal if accepted, it would no longer be possible to consider the whole-received situation at all. Unfortunately, it's still not on the agenda. The association "Franak" called on the president of the Croatian Parliament to urgently put the procedure on the agenda to discuss the proposal. However, the president of the Croatian Parliament does not do so. On the other hand, it is going to an emergency procedure to amend the Rules of Procedure. And what remains of me and what remains of my associates rather than visiting the believers and asking them not to do what the law allows them to do, so that me and my associates from the Franak Association are not from the party, but from the association we were just yesterday at Slatinska Banka and we asked the Slatinska Banka not to act on what the Executive Law allows them to do, not to complete the full incomes of people who signed before 17 June 2008 a declaration that it should be done. There's a certain number of people in that bank who signed those statements, it's not a large number. I won't tell you how many there are. They told us how many there were, but I won't tell you how many there are. It's not a big number. And the Slatine Bank has made a promise to us that they will not act on what they can do. Therefore, Slatinska Banka, as a small believer, will not complete the full income of the people who signed before 17 June 2008, statements that this should be done. So I call again from this assembly of Minister Bošnjakovic to issue a statement saying it is clear and unequivocal from the article. Article 173(2) of the Implementing Law that under average income must not be fully implemented despite the signing of a declaration before 17 June 2008, because it is an article. 173 st.2. The executive law is retroactive. But what by asking, through that statement, all the other less believers because the great credentials, as I said, do not do so, that neither those who have average and above average income also do so in full amounts if they have signed a statement before 17 June 2008. I also call on the President of the Croatian Parliament to put urgently in the procedure to discuss the SDP proposal to put the problem at last ad act. I know that jobs are under way to draft a new executive law, but in the meantime, it is necessary to prevent people who are not there and just because there are not many, they must be prevented from having their full income done. Thank you.
ParlaMint-HR_2018-03-02-0.u66487	Thank you, too. Mr. Grmoya, please.
ParlaMint-HR_2018-03-02-0.u66488	Thank you, Vice President. My colleagues and colleagues, here's for the public, and for those of you who weren't there tonight, it means what happened. So, some represent it as if there was a circus here in the House, and there was one resistance to opposition from the ruling that at midnight we were discussing amendments to the Rules of Procedure that were denied and the freedom of speech of the parliamentary deputies, and we were moving a break into a term that wasn't so much in the focus of the public itself, where we, as parliamentary representatives, are talking about the problems of our citizens. It happened, so they thought that most of the MPs would leave the assembly and that the debate in which they acquired the rights of parliamentary deputies and what our task was to talk about the problems of the people who chose us, so they tried to get all that under the radar. However, thanks to 7 MOST MPs, 2 SDP MPs, 2 Live Wall MPs, thanks to fellow Mrak-Taritash from GLAS, we managed to make it possible for all of you who were not with us last night to participate in the debate on the amendments of the Rules of Procedure. And what happened is that HDZ and their partners today will not vote on these changes and the public will follow much more what happens in the Croatian Parliament, what kind of changes the HDZ, HNS and minorities propose and what they want to achieve. Some say we've been dealing with ourselves. Not at all. At the break, we talked about many problems of Croatian citizens. I personally spoke at the stop about the problems of teachers and professors. Their rights and how the real reforms of education do not exist without improving the position of teachers and teachers who are a pillar of any educational reform. counterpart Ante Pranic spoke about public administration reform, colleague Ines Strenja-Linić spoke about the rights of doctors and health staff, colleague Bulj spoke about abandoned areas and demographic breakdown. We were talking about specific problems, and now she's trying to present it as if we were here tonight I don't know what we were discussing. And we have discussed, of course, this contrived Rules of Procedure who wants to take away the right of parliamentary deputies to talk about citizens' problems. We didn't fight for ourselves. If we were fighting for ourselves, then it should be a debate about some of our perks, privileges and wages. We fought to do what we do because we don't have other instruments. I remind you that any law of the opposition and the motion does not come to debate. I remind you that when we give the interpretation that she never has to come to the debate. The only thing left to do is call it off. It's the only thing that needs to come to an argument within a month. And that's why we use that instrument. Not because we are destroyers, but because we want to warn about all the bad things that happen in Croatian society. We set out last year only in last year 21 legislative initiatives. Now eight laws are waiting to be put to debate and vote, and we have a few more in public debate. The bill of elections where we propose three preferential votes a year and something is waiting for us to even discuss it here in this high house. And they represent the opposition, they represent MOST as those that are not constructive, and we offer solutions, but we have no chance at all to discuss these solutions, let alone vote. And that's what we wanted to warn you about. I thank all the MPs and I think that you colleagues should thank all those who were here last night and fought, not for our rights, but for the rights of our citizens to hear their problems here in the Croatian Parliament. That's why we fought here tonight. That's why we fought, we're tired, but we'll stay here in the Croatian Parliament, even though I'm in the Croatian Parliament, so I came yesterday at 8:15, now it's 10:21. And we will participate in this debate to warn of the intentions of the ruling and to continue to fight for those who chose us. And that's our job, that's our job, and that seems to be what they're trying to take away from us. Thank you.
ParlaMint-HR_2018-03-02-0.u66489	Thank you very much. Now we have a request for a break. We're going in the order I saw and I'm not perfect. Mr. Panenic was first.
ParlaMint-HR_2018-03-02-0.u66491	Thank you very much. Dear Vice-President, on behalf of the representative of the club of the Independent Lists, I am looking for a break on the subject of a difficult economic situation in Croatia.
ParlaMint-HR_2018-03-02-0.u66492	Economical, that's important, yes. Here you go, Mr. coat of arms.
ParlaMint-HR_2018-03-02-0.u66493	Thank you, Mr. Vice President. The SDP representative club is asking for a break on behalf of the club for 10 minutes to discuss the economic situation in the Republic of Croatia. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66494	Also important, thank you very much. So we have, Mr. Bunyan, here you go.
ParlaMint-HR_2018-03-02-0.u66496	Thank you very much, Vice President. I'm looking for a 10-minute break on behalf of the Living Wall Club to talk about the 100th anniversary of World War I.
ParlaMint-HR_2018-03-02-0.u66497	Nice, nice to have ended that war at least. Here you go, Mr. Vlaovic.
ParlaMint-HR_2018-03-02-0.u66498	Thank you very much, Vice President. On behalf of the HSS Club, I'm looking for a 10-minute break to discuss agricultural problems.
ParlaMint-HR_2018-03-02-0.u66499	It's just as important. Ten minutes, 11 o'clock. It's 10.50 hours. [[CONTINUATION AFTER THE MEETING AT 11:00 A.M.]] Somebody call Mr. Panenic. ... No, no. [[I don't know what you're talking about.]] I'm not rigid, no, no. Or someone else at the Most. I'm sorry, but you can yell all you want, I'll wait for someone from the Most, I'll wait because I'm toleranced. ... I won't replace it. I'll wait for someone from the Most. [[I don't know what you're talking about.]] Here you go, Mr. Panenic, if you see that level of tolerance. Here you go. Here, you must come here.
ParlaMint-HR_2018-03-02-0.u66501	I thank and apologize. I should have signed some papers. The topic I wanted to mention once again in this apartment is actually the problem that arises now and which occurs in the economic activities of the Republic of Croatia where we have stagnation. Maybe tonight my exhibit that was about bananas was someone interesting, funny. And it was tragic for me, too, that it was funny because that same banana in that export that we made boasting about export growth makes it a more significant component. So our statistics show this banana where we're just passing by as something we're exporting. And that creates one again, let's say the wrong picture of us being in reality. Whether we will be importing, exporting over such items that we are actually importers from third countries, so we deliver to some other countries again. It's actually a tragedy and that's why it was about bananas to understand how and what we're showing and it's statisticalally true, but in reality it doesn't show an economic picture of Croatia. And one subject that actually encouraged me to take this break was Petrochemy. Whoever followed Petrokemia, one of our significant economic operators, showed annual financial results in agriculture. The new one is not so strong as the new president of Petrochemy Administration, Djuro Popiac, announced a year ago that he would do anything to get the company on firm feet. We also have the result of solid legs. In 2017, the loss of 146 million kuna was shown to be almost 60 million kuna more than it was 2016. In 2016 I was also a minister and with great problems with trying to stabilise the entire company we managed to achieve a much better result than the one that was shown now at 60 million kuna is an increased loss at the annual level. And let's see the reasons. They are called for an increase in gas prices, rising to extremely high gas transport costs. And as far as the price of gas is concerned, I'd agree there's been a rise. Ten percent increased the price of gas, but not only in Croatia, the company grew in Europe as Petrochemy. It gets on the free gas market, where all its competitors do. Therefore, it is not for each other's comparison within the industry. All industry had an increase in the price of gas. Therefore, this cannot be a key indicator of the loss, because if everyone's price rises then the price of fertilisers is also formed because they are directly related to the price of gas. Now let's talk about extremely high gas transport costs. With us in Croatia, gas is transported by PLINACRO, a state-owned company that has more prices than in the environment and we have to say that. So our prices for transport are significantly more than they are in the environment. But looking at the financial result, we compare the results of Petrokemia for 2017 with 2016. Why am I warning you of this moment? I warn why on 20 April 2017 HERA approved a reduction in gas transport costs by 20%. Therefore, the financial result showed in 2017 that the transport costs of gas were lower than planned. They were, in fact, savings from 13, slightly over 13 million kuna compared to the plan. And yet there was still a very high loss, and there was additional savings here. That would be cumulatively going to over 70 million kunas. This is an indicator, in fact, is an indicator of the work of the Petrochemy administration and the desire that Petrochemy, which is a company of the utmost importance not only for the fertiliser it delivers, but also for the security of the gas system. Because if we lost the gas consumption of Petrokemia, we'd have a collapse. Prices would rise significantly. Transport costs would increase significantly to 25% of gas consumption in Petrokemia. And with all this together, she stopped by herself. Here's just another one. [[Intruder Radin: Thank you very much, Mr Panenic.]] Privatisation has stopped and needs to be dealt with. [[Intruder Radin: Until the gas picks up.]] Thank you very much.
ParlaMint-HR_2018-03-02-0.u66502	Thank you. Thank you. And now Mr. Peja Grbin is on behalf of the SDP Representatives Club. Here you go.
