ParlaMint-HR_2018-01-18-0.u65678	I'm looking for a break on behalf of the Most about the current political situation.
ParlaMint-HR_2018-01-18-0.u67541	Thank you. And there are several replicas for your exposure. The first one is the respected representative of Tulio Demetlika.
ParlaMint-HR_2018-01-18-0.u67542	Thank you, Mr. Vice President. Comrade Batinić, here you are in your presentation, I will relate as I will say experienced and long-time mayor, and today we see that most of the mayors of the current or former mayors who have safe experience to help the ministry I will tell the reduction of the risk of passing laws that will continue to slow down faster and more quality development. And in your presentation, you mentioned that this property managed by the Ministry of State Property cannot normally manage agricultural land or forest land. In our experience, we know we can't do those three things. I'm not going to mention maritime well-being now, or we're going to say other land for other purposes. But the fact that it is faster and more efficient to manage this property that we must find some common interest, and that is exactly what you said that when it enters the building area through urban plans whether it is agricultural, forest or within the Ministry of State Property to transfer it to local self-government management. But we also have proof that in its proposal today, the ministry has solved exactly the agricultural and forest land used by the camps today. Camps are part of the construction, part of the forest and part of the agricultural area. And with this law of automation, it comes to the management of the Ministry of State Property. Because in the same way, we suggest that it be transferred to local self-government management of what is in the construction area. And what you said nicely, I support it on the distribution of income because now the camps, the revenues will only be made in the ministry, i.e. the state budget. The local self-government doesn't get anything, and that's where we need to make a deal.
ParlaMint-HR_2018-01-18-0.u67543	Thank you. The answer of the respected MP Batinić.
ParlaMint-HR_2018-01-18-0.u67544	Thank you. Comrade Demetlik, I'm glad you're here to support our club's thinking. Namely, as I was saying in the debate, the fruits of all these discussions are just certain experiences that result from solving or inability to solve certain problems. So let's say one example. I think one four years ago, in fact, a threem-way project was designed for recreation, for citizens. It means public interest. The trim track means we've been sending demands, I think three times the Ministry of Agriculture. I was in DUUDI back then. We haven't been able to solve anything. I hope so now, because according to this, according to these amendments of the law, it will be able to be solved much simpler. But not for another year. The reality and that we're aware of. I'd like that sooner. Not to speak now since 2005 of the first term of one abandoned military facility, which is the Croatian Army, means it dates back to the former JNA built in '82, the third year the Croatian army declared unspective. It was a highly sophisticated object let's say electronic tracking, etc. We made all the necessary planning documents, the real estate assessment we were willing to buy from the state. Today this facility was worth up to a million kunas. Do you know what it's worth today? Ziro, zero. Unfortunately, it's fate. That's why we suggest this doesn't happen with some other real estate.
ParlaMint-HR_2018-01-18-0.u67545	Thank you. The next replica is the esteemed representative of Giovanni Sponze.
ParlaMint-HR_2018-01-18-0.u67546	Thank you, Vice President. Here is a respected colleague, Batinić, in your presentation, who said that everything that is not of strategic state interest should be left to the local environment. Each of us has a separate style and a way of saying it, and I was saying that through this bill the ministry is missing in fact that everything within the borders of the general urban plan conveys whether it owns or manages units of local self-government. I will agree in your statement also with the conclusion that I went with too much security or one conservative approach. However, what I have at least managed to read from all the debates so far, we all point to the necessary trust, between the state and the local level, which we really need, but I would add just one word, we lack determination. First of all, by the promoter, some norms, which have not delivered concrete results so far, simply need to be changed, should be broken, it should be said that this bill is not so bad. You have to say it's a step forward. That people inside the ministry invested a lot of energy. That there must be those power plants, which simply pull the brake and continue to insist that certain processes of state property management remain blocked. And on all of us, it's now between these two readings, which you've said well, enough time and space, that simply through this power, through this determination, through mutual trust, through second reading, much more quality and more liberal and better law.
ParlaMint-HR_2018-01-18-0.u67547	Thank you. The answer of the respected MP Batinić.
ParlaMint-HR_2018-01-18-0.u67548	Thank you, Vice President. Comrade Sponz, obviously the paradigm of our thinking, which we have some experience and practice and we have been facing for many years with these problems, we look differently at a particular problem. That's completely understandable. The determination, I agree, is that, however, what is the problem, is the problem of our political reality, populism, if one such, liberal happens in terms of a more free step, believe me, it will probably be the cover or statement or Plenkovic or before Milanovic or anyone else sells family silver. And there will be no cover, put in place property, worth 500,000 kuna, and the investment that was made on it, what is the multiplier. And colleague Klaric was saying, how many jobs... I think we need to change that a little bit. [[The speaker doesn't understand.]] You're as challenging as I am a consensus on certain things, yes. Because this is the interest of all of us. I believe, knowing Minister Maric himself and we all know him as a fellow representative before, looking at now, the way the government thinks, the current diameter, me personally, so I sold in the city two real estates for an estimated value. You know how much? One investment is 9 times bigger, the other is 15 over the value of real estate, so what am I talking about? So the availability of the property is a sale, of course by bending all the principles, all the positive regulations, and I don't see why.
ParlaMint-HR_2018-01-18-0.u67549	Thank you very much. And we're going to the next club, and that's that IDS, PGS and lists for Rijeka, in the name of which the respected representative Tulio Demetlika will speak. Here you go.
ParlaMint-HR_2018-01-18-0.u67550	Thank you very much, Mr. Vice President, the Honorable Secretary of State, colleagues and fellow MPs. Here, we can say with joy that the day came when we finally got a chance to discuss the Law on State Property Management. I will say that since the beginning of this term but also much earlier, the IDS, PGS and LRI Club has repeatedly stressed the importance of adopting this law and we repeat, how important it is to effectively manage and put into function unused state property. This law announces that it will bring more order and positive shifts in governance and positioning of state assets. It should be said that he, with his new provisions, is in fact a certain shift in relation to the current law, as well as to the previous, more than an unsatisfactory management of state property. We welcome the adoption of a new law, as the latter has been a brake to the role of unused state property. Quality and transparent management of RH assets, in the service of economic growth, is a driving force of development and units of local, regional, regional self-government. I remind you once again, that the cities and municipalities are the bearers of economic development. Efficient and management of state assets, we create a new value for the community, putting into operation existing, unusable resources, and thus ensure the prosperity of local units on an economic, cultural and social basis, without unnecessary further borrowing. I'm sure those wishes and intentions are positive. However, I must conclude that not even after nearly three decades of unsuccessful attempts to make this area a significant improvement, not even now the ministry, i.e. The government did not have the courage to leave the area to at least one of the more units of local and regional self-government that would know in any way that state property would bring in a function while filling up the state budget. In this bill, there is unfortunately no decentralisation. If such a bill is adopted, the State will continue to implement the procedures for the placing of unused assets in office, i.e. Local self-government representatives as well as interested investors will still have to run to Zagreb and wait for solutions to state bureaucracy. We agree that those items, which are of strategic importance to the Republic of Croatia, should remain in the domain of the ministry. However, what is of strategic importance to local and regional self-government should be transferred to management. It is pointless for the ministry to deal with the issue of garages, apartments, business spaces, land, which is covered by spatial and urban plans and the like. So it will be until it is understood that the problem is actually not in the law, but in the one who implements it or who should implement it. What we expect is at least a shift in the regulation of so-called. tourist land. The minister announced that he was preparing a new law and would go according to an emergency procedure, a colleague named Bacic said it was very important. Namely, the Ministry of State Property under this law will become competent for tourist camps independently of whether they are located in a building zone or on agricultural or forest land. And it is the camps that are ahead of the unsettled status that, apart from the state, the damages are suffered by hotel companies because they couldn't invest. It is a problem that hotelers, camp owners and other investors have been troubled for years so they expect to get rid of it as soon as possible, although we must admit that, by law of the current tourism and other construction land, big and more significant investments in tourism took place in Croatia, and thanks to me, I will tell the great efforts of any cooperation of quality between local self-government and the Ministry of State Property, because it was not simply these investments would not have been but we must say that with all the efforts it could certainly have been that what Mr Batinić said was a little more liberal, i.e. More flexible. And in the context of this bill, I must specifically refer to the absolutely unacceptable article 68, which is most discussed today. In particular, its paragraph 5, which stipulates that units of local and regional self-government must be returned to the State, i.e. to compensate for the money acquired by the sale of properties that were registered as their property in land books at the time they were sold. Therefore, local self-government units were enrolled in land books as property owners at the time of sale and acted in good faith with full confidence in land books, while respecting all the legal procedures prescribed. In addition, the Republic of Croatia has participated through its authorities in the land-booking procedures of recording these properties for the benefit of the units of local self-government and all land-book solutions on the conversion of social property have also been provided to the competent municipal authorities. If by then the state had considered that something had been done by law, it could have reacted within the legal time limit and made a complaint, but that did not happen. In particular, it is pointed out that the income from the sale of property owned by units of local self-government is a dedicated revenue spent in building municipal infrastructure and improving the living conditions of our citizens. The new reconstruction of municipalities since 1993 of the responsible local self-government unit immediately approached the registration of ownership from former municipalities i.e. from the social property or municipality of the people's property and made their own register for quality and efficient management in order to achieve higher incomes and after 25 years we still have an unsettled property situation both in the state and in the units of local self-government. If we pass a law like this, we will directly punish local units that have worked with the activation of their assets to develop their own areas by investing in public needs. Schools were built, kindergartens, and others would endanger their functioning and their survival. As many times so far, those who do something and invest, it turns out that it would be best for cities and municipalities to let property fail and lose value and ask for some help from the state instead of putting their resources into operation. At least now we wouldn't have to return anything to the state. If we're going to be guided by such logic, I'm sure our future isn't promising. In addition, there is no mention of potential charging and legal tightening interest anywhere in the law. I don't even want to think about what that would mean for local units' budgets. If, on the return of funds charged from the sale of real estate after unnecessary, long and expensive court disputes with the state of the local unit, they are to be paid tight interest, you will bring them into a very envious situation from which some units will find it difficult to get out of. So I will repeat the question to the Ministry, is the laws passed by this Croatian Parliament or by the State's Attorney's Office? Because it turns out that according to current practice, the State Attorney's Office has been ordered to write in land books units of local self-government and to register state ownership without informing the units of local self-government. And now, on this advice from the State's Attorney's Office, we also need to retroactively return what we put in place and bring in for the purpose of 20 years. So our club is the view that it's high time to make a turn, to start thinking properly and in a way that the state-level municipalities and cities of partners. That as partners we are working together towards faster economic growth, a greater number of investments, not that the state puts a huge burden on the back of local units and makes it impossible for them to function normally. We support this law to allow for the reduction of the number of court disputes between the state and the local self-government units regarding the proof of ownership because we think that the state, the county, the cities and the municipalities are one state and that it is pointless to conduct disputes in which the State's attorney is protecting the interest of the state and I am now asking a question and who is protecting the interests of cities and municipalities? Unfortunately, we still have to spend our own resources to hire private law offices to protect our interest. In the light of the law, you state that the new law will allow for the position of a larger number of real estate in the ownership of the Republic of Croatia, which will boost investment activities and new employment, and which will directly affect the increase in the revenues of the state budget and GDP growth. It is our wish that you also take care to increase the income of urban, municipal and county budgets because by transferring property, such as pensioners' homes, health homes, schools, you transfer the burden, we assume maintenance and commitment. And that property, which can put us in and give us extra income, is what you keep on running. But I believe that this will be measured and I sincerely hope that these words of yours will be fulfilled and that examples like the Muzil Peninsula in Pula, which represents perhaps the greatest present, will be solved, I will say pulse potential. The revitalisation project, putting the facility into operation, envisions a total investment of 189m euros. If that project were to be realised, this would mean, in particular, 19.5 million kuna per year from profit tax and 14.4 million kuna per year from VAT on food and drink. However, I must say, unfortunately from the answer to the parliamentary question that we have received from the Ministry of State Assets, just before this debate, it comes out, and therefore today, we are discussing in this direction, that for the project of putting into office the Muzil area, the four ministries, the State Geodetic Administration, the County State's Attorney's Office and that I am not listing any further. I am now asking the question, by adopting a new law, whether Muzil will be resolved in a year, as Mr Batinić said or as you replied, that knowing the experience so far, that this will be resolved from a minimum of 5 years and even 10 years. It is about the fact that state structures, simply or by that, are not interested in solving such complex problems. I'll get an answer, pal, okay, I'll be overjoyed if we settle it in a year. I honor not only the Ministry, but the entire Parliament. If in that segment, the powers of responsibility were lowered to a local level, people who are livingly interested in their city, their municipality and county progressing, I assure you that we would then much faster and more effectively activate unused property. I will also refer to Article 45, where real estate is proposed for the benefit of local, regional self-government units, to promote economic progress. We believe that the article is too narrowly defined and, in addition, it is not clear on what criteria it will be assessed by, the justification for the award of real estate without compensation. And what's still questionable, and that's just questionable is the implementation of this article, because it's not well defined. Further, regarding Art. The 69th question arises whether, among other things, any real estate owned by the Republic of Croatia, which is on 1.1.2017, will be entered in the unit of local self-government. Does this also apply to property, for example, some properties owned by the Croatian Pension Insurance Institute or, for example, some homes of pensioners or health homes owned by the Croatian Health Insurance Institute. We can't exactly read that from an article. 3. which prescribes the concept of state property. Another proposal that has not been taken into account and is not fully in the department of state property's management, but I will still be attached to the article. 8. where units of local self-government must inform the ministry of the launch of the procedure for the adoption of a spatial plan. I'll agree with my colleague, Mr. Taritash, that even your ministry, once a positive or negative agreement, on a spatial basis, we don't mind. However, what we believe is also to speed up safe processes, that after accepting spatial and urban plans, obtaining all consent, by all ministries and competent institutions of the Republic of Croatia, all land included in the boundaries of the spatial plan or urban plan is handed over to the management of units of local self-government. Whether it will be property, whether it will be after sale, division or income from it is a different story. But automation is transmitted and then we will no longer walk in Croatian forests, etc. Here's the last line, allow me, Vice President, I'm a little longer, but I believe There will be no problem in applying, but I believe that after this debate today, the ministry will take our remarks in the three weeks to come and then we will be able to support it, because this is the kind of proposal our club simply cannot support. [[You're way out of time.]]
ParlaMint-HR_2018-01-18-0.u67551	Thank you. We have some replicas, the first respected representative of Tomislav Klaric.
ParlaMint-HR_2018-01-18-0.u67552	Dear fellow Tulio Demetlika, I am convinced and I think it would be good to support, now in this reading, this bill of law, that he will be corrected to another and I believe you will do so as I do. And by what and how and why it should be done, because one positive step is in the direction in which we want units of local self-government, and then all of our citizens through us. While you were saying, and when you mentioned that time, which is needed to make some decision about the availability, I asked my professional services, to scan and send me one of the memos from the Ministry of State Property Management, and just an example of how the situation at the time is according to the current law. So, he has a location permit to build a road in 2010. A land resolution procedure has been initiated. In the meantime, the AUDIO stopped, and it was DUUDI, so DUUDI, all of our demands, were in the closet somewhere, i.e., deleted the archive, so he didn't even think about it, we were further preparing the documentation. 2015 get a building permit, prepare, report the construction site, so we don't fail. In order to get back 8 years from the ministry to find 2015 in the land status, I get the information that the land is included in the forest economic area. In 2015 we receive data from the Management Department for Urbanism and the municipal system... to work in the area of agricultural land. [[The speaker doesn't understand.]] And now you tell me what problems the ministry is in when making decisions? His problem is to make a decision that he'll give us this land because he's under the pressure of the Forests Act, the Law on Agricultural Land, and here we're talking about a law that should allow them to give it to us for management so that we can put it into office and now that the absurd is bigger, it's about a road leading to a firehouse, and now you tell me how to explain to my citizens, to my firefighters, that we can't build a firehouse because they're cheating on each other, and they're convincing each other who's right?
ParlaMint-HR_2018-01-18-0.u67553	Thank you. The answer of the esteemed representative Demetlika.
ParlaMint-HR_2018-01-18-0.u67554	Thank you. Kolega Klaric, what Mr Batinić said, we have enough experience and we know because we have encountered these problems and from this very experience we often repeat that the laws that are passed in the Parliament and the government suggests that they are simply not harmonised, that one ministry as if it were driving on its own road or along its tracks and that is the problem and that is why we suggested that what entered into the building area was the road, industrial zone, park plot, kindergarten and similar transfer to the local self-government unit then the thing would be simply solved. So the basis is to start with that spatial plan, if he's got all the permits, all the consent from the ministries, I don't see why we have to ask the Croatian Forests for five years after that, it's not going to be solved by the Ministry of State Property, it's going to be running around the Croatian Forests. After that they'll transfer you to another office and just walk you from one office to another and say it's not my jurisdiction, the same example, but when I have time for our specific mine that we wanted to activate and then we come to the Ministry of State Property, they say it's not the Ministry of Economy, the Ministry of Economy, we don't have it, go to the Ministry of State and walk up, 5 years has gone by, we're on a dead end. Thank you.
ParlaMint-HR_2018-01-18-0.u67555	The next replica is the esteemed representative of Anka Mrak-Taritash.
ParlaMint-HR_2018-01-18-0.u67556	Thank you very much. My colleague Demetlik, I've been thinking about whether or not to come forward, but this story with Muzil was absolutely a reason to call you back because everyone here can tell some sad stories they have and where they walk from the unloved to the unloved, and it's actually the point when we have some law to try to prevent it, that it won't be like that anymore. Unfortunately, even this law we've been discussing here today won't be like that, Muzil, I know about 4.5 years that I haven't been saying that you haven't included the topic of protection yet, so you haven't included the topic of environmental impact assessment, so we haven't included all these topics. But life taught me some things, something worth 10 years ago is not worth investment today. Investments like that didn't develop before 10 today. Equally what some investor who will be there in 10 years is going to do, it's going to be something completely different. You know very well how in tourism things change, you used to sell, I learned spatial planning, then the hotels planned with the number of beds, you saw the size of the towels, how many towels on the beach, you dimensioned the hotel with the number of beds. It's not like that anymore. What exactly am I trying to say about what you said? It takes a little courage. It's not simple. It's hard and for that courage you'll get at the beginning that they're all against you. But it takes a little courage, and it takes one hour to draw the line, if we don't draw that line again, some other assembly of Parliament will debate about another law, listening to other stories from colleagues who say that 8 years of wandering from one ministry to another, I can really agree with all of you who discussed it, it's much better when it's managed by municipalities and cities, they're faster, better and... But we really need to keep an eye on every law on that. [[The speaker doesn't understand.]] Thank you.
ParlaMint-HR_2018-01-18-0.u67557	Thank you. Next is the Club of Representatives of the HSS on behalf of which the respected representative Davor Vlaovic will speak, please.
ParlaMint-HR_2018-01-18-0.u67558	Thank you, Vice President of the Croatian Parliament, colleagues and colleagues, distinguished representatives of the ministry, all of whom I welcome on behalf of the HSS Club and this few sentences on the Law on State Property Management. In fact, the law certainly needs the Republic of Croatia because it is certainly a good tool for what has been announced to contribute to the overall development of Croatia and the attractiveness of EU funds through a quality register and through quality management of state property. After a year, what do we have? As we have established this ministry, although we were in the beginning against the establishment of the ministry, i.e. to increase the number of ministries that now have 20.5 central offices of the state administration in the status of the ministry, thus increasing the administration and we wanted a more efficient and efficient state. What do we have in the field? We've got a mess, we've got trouble and we've got negligentness and It's a picture, and what the minister himself said in the introduction, that we haven't recorded with certainty all state property yet. We hear that not all of us in the garter or in the catastrophe spent one through one, and surely it won't be for many years if we continue like this. We hear there are a number of facilities, economic facilities, locals, apartments for which there are no valid contracts, for which someone is illegally used and that there are a large number of those who have not paid neither rent nor concession. That's often the minister himself pointed out and that's where it's going to be done. We haven't heard anything about it today, so it's my question and my suggestion that by the second reading we get a list of who didn't pay for it, which is what the state is talking about, because I think that it's a citizen of the Republic of Croatia, and we also think that we from the HSS club need to know that, especially in the context that we want every farmer to be equal to the law and that he has the same chance, that he can have someone with a turn, some craftsman who doesn't pay for the rental of a place and we see that there are such cases and that there's a state space. I think that in this context this law needs to be done, and that is why we should make the order, and that is why we propose that in Article 9(6), the funds must be raised from the management of state property, in part, in a manner that does not say here in paragraph 6 that it is authorised to spend on the construction of the land of the library rather than that it is necessary to spend on the arrangement of land-based library states that are not in spatial plans, on the settlement of road conditions because they are a prerequisite for the development of other municipal infrastructures, and the fact that we have both not registered and local and county roads in spatial plans and catasters and grants. That is why we are also surprised by the article in the law that says that this record is not a public register, but it is explained by the minister, but the fact that there are many of us who have commented on it and that it is necessary to explain this situation more precisely to the second reading, and that we are from the club that the full record should remain in this ministry, not to go to the Central Office for Digitalisation, because this ministry has just been established to have a list of assets in one place and to manage it in a quality and transparent manner. And we don't see why this would go to another central body now, so if it's necessary to strengthen both the ministry and the capacities of the current ministry, I don't see any reason not to. It would also refer to the already mentioned decisions on which companies are strategic or of particular interest, which they are not. Especially us from Slavonia and Baranja pains what it is... example Luka Vukovar or Đuro Đaković are off the list of companies of special interest. Whose interest is it that they take off their clothes and what's going to happen to them? The minister replied that whether they were on the list or not they would be taken care of by a good master and that they would continue to invest in these societies and develop them. We personally think that this is not a good way to go and that they should have stayed on the list of companies of particular interest because we know what Đuro Đakovic means for Slavonski Brod, Brod-Posavina County and that if, and we see that society is hard to operate that there is not enough own capital, then the government and the resolution ministries must find ways to either capitalise society or find a partner. Is how it helps some other companies that do military production then and Djuro Djakovic deserves more active state and ministry involved, especially now that we have a new administration because it is allegedly that the minister with the previous administration did not have good cooperation and here is now an opportunity to make it better. We positively assess, of course, what ex-lege will do to transfer ownership to local self-government units from top facilities on the ground that are in function of local development such as kindergartens, firehouses and other facilities not to list now, but our question is why not apartments and houses that are not of strategic interest to the Republic of Croatia. Here are just a few reasons, for example, in the Municipality of Okucani you have a lot of residents who, after the Homeland War, moved there and expected to settle their housing issues. A lot of them haven't worked it out yet, and they can get through these very state houses that are... APN solves the housing issue, keep them there so they don't move out, and there are similar examples in other parts. Well, in that context, I think you should consider until the second reading to include this. And of course you need to see what with the places used by hunting associations, fishing associations, and on state property, I think that part, too, if it's not a field that's of strategic interest to the Republic of Croatia, could be transferred to units of local self-government. And our question and mine from the HSS is why not military facilities where there is interest and units of local self-government and regional self-government for some objects that are inspective objects in the opinion of the Ministry of Defence. For example, Vojarna in Novi Gradiška for many years there has been a requirement for both the city of Novi Gradiška and the county of Brodo-Posaviska to put into office yet to be solved, and now it has become a danger for passersby because it has begun to collapse and fall apart pieces of facade and we must be responsible and solve these problems. I would also like to point out what is already said here that Article 45 should add a unit of local self-government especially when it comes to the implementation of eu projects, and it is partly implemented on state property that the state must be partners with local self-government units and that it should certainly speed up these procedures and work together with them to realise these projects with the aim of attracting eu funds and development of all parts of the Republic of Croatia. We are also against the fact that in Article 68(5) of the local self-government unit is now burdened with the return of acquired assets and revenues from the previous period if the State subsequently entered as owner because it is certainly not in the context of decentralisation and assistance and the development of all parts. If that part is not going to change, at least to change one word in only one item where the state says that the units of the local self-government of the first and second group of development, or the underdeveloped, can free them from these obligations. I suggest that this can be changed to the sea because simply these units of local self-government are not first wrong, and the others do not have the means for further growth and development. If they are already classified in that group for a reason, they are classified into these underdeveloped groups and it is impossible for them to allocate funds and pay the state instead of investing in infrastructure and in eu projects. And when it comes to decision-making, they all mentioned it, so we at HSS must consider that the minister has put himself here too much and obligation and the right to 7.5 million kuna alone to decide on the fate of state property especially in the context of the assessment of the authorised court expert lowering the initial prices after the first and second rounds. And after that if there are no interested free or direct contracts to make contracts. This suggests that a large space is being opened with possible corrupt actions from the age of corners and similar, because whoever is at the source of information will find out that some real estate has no interest and that the price is nothing and that as such, it can qualityly agree and buy and place a function of its own personal interest rather than a common interest which should be of interest to all of us, so the proposal of the HSS is that we do not go in this way Mr. Secretary of State, but that after that, if there is no interest in the first or second round, there is no direct contract but bidding, publicly announce the bidding so who can do more. If only one person shows up and gives only one kuna, then it is public and transparent and not that the minister negotiates without the public with some transfer of ownership rights to anything that is state property. And we also want to point out that it's unclear when it comes to shares. In Article 32(3) to which shares would be sold directly if the previous buyer had already taken advantage of any existing legal rights. It's a little more specific until the second reading. And I welcome, of course, the proposal that parliamentary parties can also be given part of state property for their work. However, the question is whether it wants to buy a new majority again and why it does not open up space to other political parties so that they can get to use state property, because my opinion is that we from the HSS too, that someone better use state property, pay rent and direct than it fails. And if we are not already amending the Law establishing and establishing political parties, then we are giving everyone an equal chance and those who are not parliamentary have the opportunity to gain state space for their work and activities. And then, since we're spreading it, why not the defense associations and organizations involved in humanitarian work? I think such persons and such associations deserve the same that they can get a favourable state space for use. In short, the law needs the Republic of Croatia, we need quality records but we need transparent and responsible management of state property and as soon as possible speed up these processes to put into operation as much property as possible and attract investment in the Republic of Croatia and preserve jobs and create new jobs. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67559	Thank you very much. We've got more replicas. He is the first respected representative of Pera Cosic, please.
ParlaMint-HR_2018-01-18-0.u67560	Thank you, well-respected Vice President of the Croatian Parliament. In part of your discussion, you spoke about Đuro Đaković from Slavonski Brod, who was removed from the list of strategic societies of importance for the Republic of Croatia. That's what we talked about yesterday. I am certainly not pleased that this company has been removed from that list, but it certainly may not matter which list Đuro Djakovic and any company are on. The important thing is how he takes care of her if she already has inside the capital, and the state has that capital and she should have cared more about it before. I also spoke at my first announcement in this House, I was just talking about Đuro Đakovic, was Minister Panenić at the time at the last meeting and I asked here to be in charge, it is important to manage the company. So the Supervisory Board and the management responsible for the implementation, management and the Supervisory Board that approved their work is not then changed but extended the contract for a year even though they were then close to 270 million losses. With the end of 2016 it means 2012, 2016 Đuro Đaković has accumulated 320 million kuna losses. At that interval, 320 workers were fired, meaning one third of workers and was on the list for strategic societies of importance for the Republic of Croatia. So I think maybe this just administrative opinion on that list woke one to say more attention to the ship's public, and I'm sure both the state and the minister of the economy and the minister of state property will worry more about Djura Djakovic so much about all the companies, so on their capital not only the number of shares that have changed by recapitalisation but by their value that was 80 kuna, and today that value is somewhere around 18,19 kuna. And you know for yourself that on all the advice for Slavonia that I was talking about this problem. So the problem of the economy, especially when Đuro Đakovic... [[The speaker doesn't understand.]]
ParlaMint-HR_2018-01-18-0.u67561	Thank you. The answer of the respected representative Vlaovic.
ParlaMint-HR_2018-01-18-0.u67562	Thank you, Mr. Vice President. A colleague, Ćosic, does not matter whether Đuro Đaković is on the list of strategic or special interests, because there is also an important political impression. And you have to agree with me that it's not good even though she was on the strategic list not well run by this company. Because she used to employ 18000 people, sometimes she had a much wider production program, many companies within the holding company Đuro Đakovic slowly came into difficulties and disappeared and there were not enough engagements to preserve those jobs. And now that we've stayed the way we are, and now that we've stayed the way we are, you'll agree with me that we need to be louder, but we're louder than the opposition, and it makes sense that we're loud. And you from the position must not only publicly articulate this problem but together with the ministers, of course we will help if you invite us to sit down and see as far away as possible with Djur Djakovic. Because the fact is that we all accepted the need for Đuri Djakovic's recapitalisation. There was an opportunity at the end of last year when Black Steel offered recapitalisation, so the Ministry of State Property and the Ministry of Economy were in a dilemma to accept or not. Even a congregation of stock companies was delayed for that reason. At the end when it was approved, I don't know why it gave up the recapitalisation. Now that that's already happened, that's why I'm saying we need to find a way to put this company on its feet and through recapitalisation and through finding a strategic partner and through new investments and new programmes. Here we are together on this road I as an opposition and can call and shout, and you as a position have a much wider opportunity to act that way. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67563	Thank you. The next replica is the respected representative of Domagoj Hajdukovic, please.
ParlaMint-HR_2018-01-18-0.u67564	Thank you very much, Mr. Vice President, dear colleague Vlaovic. I'd go from the end. You were talking about non-transparentity in direct contracts and the like. That's exactly what we were talking about. This law is non-transparent. So Article 15 speaks about some principle of public property management, but it says it will be resolved by subsequent acts, and we have seen what we can expect in subsequent acts from this government, so that is not encouraging at all. The Minister has the right to hold up to a million euros, with the principle of the public according to us not being respected as it should be. When we talk about Đura Djakovic, I would look back at our ports. It's funny for me not to say tragically to convince you not to go in now that it's managed by companies before, but that they will now be better managed if they are not on the list of strategic companies or companies of special interest to the Republic of Croatia. I think they'll be mastered the same or similar as they've managed so far, and the message that they've downloaded from the list is actually just a bad political message. As far as our river ports are concerned, all our neighbours will reach both Hungarians and Serbs on one side, our ports will remain in an air-empty area and eventually close them down, and we have huge capacities in Osijek and Vukovar and Batina, though, through a recreational port, therefore not a commercial freighter. And finally, the biggest problem is that the state doesn't even know what's in its possession, it's the source of the main problem and the episode mentioned by the minister is exactly the cause of this. And what are we doing? We are now moving the Central Property Register from the Ministry of Property no matter who rules them into some third institution and how we will rule... yet the left will not know what the right is doing.
ParlaMint-HR_2018-01-18-0.u67565	The answer of the respected representative Vlaovic.
ParlaMint-HR_2018-01-18-0.u67566	Thank you, Vice President. Kola Hajdukovic, of course, expects all citizens of the Republic of Croatia to be transparently managed with state property, and therefore I am surprised that the minister has allowed himself, I believe that he wants to work honestly and transparently and wants to work responsibly. He puts too much on his back that he decides up to 7.5 million kuna and that he can make contracts directly to that amount and that he should certainly consider whether it is wise and should not be put in a position to suspect whether someone had privileged information or not. I therefore think that by the second reading they will surely decide to change it if it really wants to be a transparent work of this ministry and in a transparent way of managing the property. I say once again protest as you mentioned that Luka Vukovar and Đuro Đakovic have both taken off the list of strategic projects or strategic companies. You mentioned yourself that within the project “Slavonia” and Luka Osijek and Luka Vukovar and Luka Slavonski Brod are listed as of particular interest and that this is one great perspective for the development of the economy of Slavonia and Baranja and through transit operations, but also through business within Slavonia and Baranja and Srijem and every investment in these capacities we need. So in this context, I am surprised that it was not solved until the end of the Sava River, and we are still investing in Luka Slavonski Brod, of course I welcome it, but this problem remains even though it was announced two years ago that it would resolve the wateriness of the Sava River because there are certain saddle barriers. So surely I agree with you to sit down until the second reading and these remarks that we have made once more, and we all want a quality law to be a quality tool for transparent management of state property. Thank you.
