ParlaMint-HR_2018-07-12-0.u78396	The following will be spoken by the respected representative Željko Glasnović, please.
ParlaMint-HR_2018-07-12-0.u92114	Thank you. I would now at the end, here we discussed on two occasions, first there was a proposal and amendments and addition of the Penal Code, and now this would somehow conclude that we can't just call this a statement in certain media written by anti-pedophilic law, but rather by the provisions of the Penal Code where it would very clearly regulate penalties, but also protect every child's right, and that's the right to their quality of life, to have a carefree childhood and in any case punish all those who make such a serious crime. What should certainly be highlighted by some data in Croatia is the increase in sexual abuse of children and child exploitation. Earlier, a colleague pointed out how many cases during the previous year. That's certainly worrying, and I'm even more concerned about the fact that we have only about 1,400 registered pedophiles. What professional services are saying is that this needs to be multiplied by 10 more, so that's one extremely, extremely scary data. If we take into account that our children are on social networks very often today, that they come in contact with different people, that they are often not aware of the dangers they are threatened by, it is through this debate that these children need protection, they need education, not only by parents, but also by educational institutions. What we have in this last debate has all agreed that the register of paedophiles should be permanent, should be life-long and should also be prevented, apart from their rehabilitation, from coming back into contact with children, or in some way rehabilitating them to do such a crime again, which you all know very well that this is difficult. I don't think we should go to drastic measures like at some point Poland has come out that the register has to be made public, but every employer who knows that the person who hires will be in direct contact with the child or indirect contact with the child should definitely have a register of pedophile available. And once again, I would point out that every child has the right to a quality childhood, to a healthy childhood, and to a happy childhood. Thank you.
ParlaMint-HR_2018-07-12-0.u92115	You have two replicas. The first is Mrs. Maria Puh's replica.
ParlaMint-HR_2018-07-12-0.u92116	Thank you, Vice President. Here's a esteemed colleague, you encouraged me to this replica after you mentioned the Internet, and that possibility that paedophiles actually have practically has children standing in their palm. We often have opportunities to see various publications on Facebook where parents themselves are going to fight pedophiles and various different correspondences that are more than shocking and I know that this may be in some way a drastic measure, but one of my thoughts was even that convicted perpetrators of such acts would simply disable access to the Internet ever again, I know that jets are difficult and difficult to do, but I think give it one way to also deny them access to children. And as you said to strengthen associations, it is necessary, among other things, to strengthen the support of victims and families of those victims because unfortunately they have lasting consequences for their lives, they practically suffer the consequences of these misdemeanors that happen over them. Thank you.
ParlaMint-HR_2018-07-12-0.u92117	Here's your answer.
ParlaMint-HR_2018-07-12-0.u92118	I completely agree with you. Of course, everyone needs support, especially to the victims, especially because they are children, regardless of their child until 15 or after 15 years, that child needs support because it is only at the beginning of his journey, but also parents. Don’t forget that parents spend their whole care of their child in support of their child completely wear out. And every child really in that battle should have a stable parent. Thank you.
ParlaMint-HR_2018-07-12-0.u92119	The second replica of Mrs. Ana Comparić Devčić.
ParlaMint-HR_2018-07-12-0.u92120	Thank you, Mr. Vice President. So here's my colleague, I'm listening to this debate this morning, and I have one question in a way. We're talking about penalties, we're not talking about prevention, and I'm going to ask specifically now. For example. So you have a sport that a bunch of kids and coaches are your volunteers, and it doesn't say anywhere that I as club president have to get some confirmation for that coach and how I'm gonna get it, who's gonna have a look at the register, how does someone know and how they're gonna get a look at the register? So this is just the beginning, we have to work on all the other laws, that's what I said on the board. We must work to prevent such a person from contacting children at all. I'm just telling you about sports, so it's awfully widespread. Volunteer coaches go to trust, so there's no concrete confirmation, nor do they bring a certificate of impunity, let alone anything else. So if we bring this in, let's change a bunch of other laws right now to protect and prevent it from happening at all.
ParlaMint-HR_2018-07-12-0.u92121	Thank you. The answer of the respected representative Josic.
ParlaMint-HR_2018-07-12-0.u92122	Thank you. You're right about your co-workers and what you are and what we're always missing somehow in passing all our laws is that prevention. I don't mean all of them in general right now, I mean those who are concerned with certain problematic behavior. You're right when you mention sports, because what we have unfortunately, of course, there are other things besides sports. What's always asked is, with volunteers, how and how we're going to control them. But I believe this is only in the proposal and in the first reading, let's just say that these proposals, our representatives of the ministry are here and they've heard everything we've suggested. That we'll combine, not just those who are permanently employed, but all those who are in any kind of contact with children. Thank you.
ParlaMint-HR_2018-07-12-0.u92123	Thank you very much. The next individual debate is the respected representative of Branka Juričev Martinchev.
ParlaMint-HR_2018-07-12-0.u92124	Thank you, Madam Vice President, Your Honor, Secretary of State, Assistant Minister, colleagues and colleagues. It was necessary to go to the addition of this law, on legal consequences, convictions, criminal records and rehabilitation. We're witnessing that very often we have inscriptions in the paper, says he was cheating on girls at school, they let the lusters go free. Next, on Facebook, he asked a girl to send naked photos. A movie businessman harassed a girl, a professor accused of pedophile teaches students in several schools. We see that both teachers and businessmen and people who hang around schools and those on Facebook unfortunately and priests, we can no longer predict who they are and what kind of people come into contact with our children and that they can do something like that, we can no longer predict either the place or the time, because as we see, when a child goes to school, something like that can happen to him. It can happen to him on Facebook in church and cinema. If it's very hard to recognize them, we also have a sign, says the paedophile's wife, says I had no idea, my stomach is turning. So neither the wife, in her home, in her condition, could recognize that she had lived with such a person for years. The last thing we had was the writings of a pedophile in Croatian schools. No matter what our minister, she immediately sent an inspection, but apparently we didn't have well-regulated good legal regulations, which would make it impossible for the professor to work in several schools, though he says, to have a powerful charge of sexual abuse of children. Just by supplementing this law, I think it will be disabled. My colleague mentioned associations, I believe, that after the adoption of this law, when the data on the perpetrators of such works will be kept permanent and will not be deleted and that the keeping of a separate register for the legally convicted persons for the criminal acts of sexual abuse and exploitation of the child will be within the criminal record, that, of course, certain not to say the person, or, as well, the institutions will have insight into it, and either of us, as president of the association, that they will be able and will have to have insight and see if that person has such an impact on their burden. So I welcome this bill, and I believe until the second reading, that something from these suggestions and remarks will also be included. Thank you.
ParlaMint-HR_2018-07-12-0.u92125	Thank you very much. We have several replicas, the first respected representative of Nenad Stazic.
ParlaMint-HR_2018-07-12-0.u92126	I fully agree that we must do everything as a society to protect our children from paedophiles. You mentioned teachers, intellectuals, people who work on Facebook, and you're absolutely right about that. Pedophiles come from all groups. My question to you is the threshold of Pope Francis' confession... towards the church. [[The speaker doesn't understand.]] How do you plan to protect the children from paedophile priests?
ParlaMint-HR_2018-07-12-0.u92127	The answer of the esteemed representative.
ParlaMint-HR_2018-07-12-0.u92128	Thank you very much, Jovanovic, I mentioned, unfortunately, that there are, Stazic, excuse me, I mentioned that unfortunately there is also a church, that we also have a case with the priest and I think that this previous law, which is precisely what might have to be more clearly formulated, that the professional secret must not be in front of the civic obligation to bring such a thing in. Because even in my previous debate, I said that whoever does it once and doesn't get punished, I'm afraid they'll do it once more, twice if not again. Thank you.
ParlaMint-HR_2018-07-12-0.u92129	The next replica, the esteemed advocates of Maria Puh, which is not, well. Then the next replica, the esteemed representative of Maria Alfirev, is here.
ParlaMint-HR_2018-07-12-0.u92130	Dear Vice President, you mentioned and yet, you mentioned who is capable and who is the perpetrator of the criminal part of sexual violence against children, but we need to stress here and recognise, unlike some other countries, that in Croatia, however, it is even more emphasized that a much greater number of violent persons are coming from the priestly ranks. And that's the fact, precisely because we are such a country, and it's a Catholic church in question, which forbids a lot of things, so obviously there's no power to fight what it is, because SDP has also proposed one or will actually propose and thinks it should instead, I support this but bring one lex specialist, one special law, which would actually include all the punishment and protection of children and minors.
ParlaMint-HR_2018-07-12-0.u92131	Thank you for the response of the esteemed representative Juričev Martinchev.
ParlaMint-HR_2018-07-12-0.u92132	Thank you very much. Well, I'll say it again for every person, whoever does it, if that's what the priests do. I wouldn't say that in the Republic of Croatia there are more cases that pedophilia is by priests and church, that it happens, just because we're a Catholic country, that it's a bigger surprise and disappointment, so then there's stronger newspaper inscriptions.
ParlaMint-HR_2018-07-12-0.u92133	The next replica is the esteemed representative of Zeljko Lenart.
ParlaMint-HR_2018-07-12-0.u92134	Thank you, dear Vice President. Comrade Martinchev, paedophilia is the problem we have to deal with, I think it's the right law to do it, not just to make changes that are done year by year, we're not solving the real problem. I think the penalties for paedophiles who are convicted should be more drastic than they are today. However, in your discussion, you did have sexual discrimination. In your discussion, you only talk about paedophiles in men, intellectuals, priests, only in men. I believe that is not so and that when it comes to pedophile that it is not only a male and it exists on the female side and as such is a problem of one and the other gender but Croatia is too mildly acting in this because we know what our courts and the things that happen to these children are permanent for life, damage done. We find this law too mild and should be far more severe than... [[The speaker doesn't understand.]]
ParlaMint-HR_2018-07-12-0.u92135	Thank you. The answer of the respected representative of Juričev-Martinchev.
ParlaMint-HR_2018-07-12-0.u92136	Thank you very much. Well, buddy, we talked about criminal law a little while ago, and then we talked about criminal provisions, not obsolescence, stricter punishment and so forth. We're only talking about records in this. When I was talking about male gender, you should know that 96% of pedophile is precisely male, unfortunately, 4% are all women.
ParlaMint-HR_2018-07-12-0.u92137	The next replica is the respected representative Ana Komaračić Devčić.
ParlaMint-HR_2018-07-12-0.u92138	Thank you, Mr. Vice President. My fellow Members, I am pleased to agree and to hope, we are deeply hoping that together with us and with colleagues who come from the ministry you will find a way to find out exactly what we were talking about, access to the register, especially when it comes to the presidents of associations run by children, to simply find a model to have insight into that register and to know whether it is by chance that person who will volunteer and work in the association, work with children, to be in contact with children every day. I happen to be in the register, because we really don't have any knowledge right now and we have, these coaches, I'm talking about coaches and people of other organizations who have full freedom to work with these kids without control, because they're one-on-one with those kids.
ParlaMint-HR_2018-07-12-0.u92139	Thank you. The answer of the esteemed representative of Juric-in-Martinchev.
ParlaMint-HR_2018-07-12-0.u92140	Thank you very much. Dear colleagues, I think that regardless of which side we belong and the party that we all have to be together to protect our children better and those who practice and train daily in some clubs, but we also need to educate the presidents of clubs who certainly don't know that even now they can have an insight into the record as it exists and this bill will certainly make them better and better. It is therefore now possible to ask for insight and see if a person has already been prosecuted or not.
ParlaMint-HR_2018-07-12-0.u92141	The next replica is the esteemed representative Marin Škibola. ... Apparently, I have the wrong information all the time. [[You can't hear the intruder.]] Then we don't have a replica anymore. That's what I'd like to conclude. And we'll vote when the conditions are met. Now we'd go straight to the point of view on behalf of the clubs. And the first Club of Representatives will be that of the SDSS. ... Ah, on behalf of the promoter, I must admit I haven't seen but well. [[You can't hear the intruder.]] Here you go, then. Honorable representative Irena Petrijevcanin Vuksanovic. Here you go.
ParlaMint-HR_2018-07-12-0.u92142	I'm sorry, I waved, but you didn't see, I didn't see enough. Here, so very briefly. Here was before us the Law on Legal Consequences, Convictions, Rehabilitation and Criminal Records, we heard about what the main amendments were to the debate that was now under way over this second bill. So what's said about the insight from the criminal record. Every principal in primary school, preschool, president of a sports club, or someone who wants to hire a nanny, for example. or anyone who can work, come in contact with the children already and now has the right and has the opportunity to request an excerpt from the criminal record which is even desirable and necessary and has gone a few times a guideline from the Ministry of Justice as so-called. the circle, that is exactly what the rule is used and applied. Why doesn't a principal or a sports club president keep asking for it when hiring a person we can't get into. Of course it's already possible. There is a great discrepancy between some laws, so let's say in the Law on Nannys, it explicitly states: “Crime acts against sexual freedom and sexual disorder and criminal acts against sexual abuse and child exploitation.” So it is a quote that says that such persons cannot work as nannies. But on the other hand, you have the Law on Preschool Education and Education where it's just said, I quote: "Punitical acts against sexual freedom." And let's say the Law on Education and Education in High School, the Act on Sport where there's no saying at all, that's what you thought, but that doesn't mean that this person who hires someone in that workplace where they're going to come in contact with children shouldn't check it out, that's primarily the responsibility of that employer. What was mentioned repeatedly in the debate, a special law. That is where it needs to be clearly and decadently explained what this is all about. It's not too mild a law, it's just the opposite. The whole Head of Criminal Law, Chapter 17, which is even more than that, the judges would say drastic changes to the Penal Code, so plus this law we're talking about now, so two laws. From the comparative analysis of the criminal legislation of some EU Member States, not to mention them in particular now, it is more than evident that the crimes of sexual abuse and exploitation of a child are contained in the penal laws of those Member States, and not in secondary, or specific legislation, there are, of course, exceptions, Serbia is the exception, I mentioned earlier, which is in fact further indicating that this penal law of the Republic of Croatia is actually in line with the existing standards of EU Member States, Serbia as far as I know. Thus, to protect children from sexual exploitation and abuse. That so-called. I repeat that Serbia is not an EU member, so it does not contain the descriptions of the crimes, nor does it impose sanctions on it, but does it? So he points to their criminal, or criminal. So there's really no need for a special law if you change the whole head of a criminal which is more than a major change and into more items. So in all articles and in several items of each article. Once again, I thank everyone for a constructive and supportive debate, and I hope that by the second reading we will achieve an even greater consensus. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92143	Thank you. We have a few replicas. The first is a respected representative, Marija Alfirev.
ParlaMint-HR_2018-07-12-0.u92144	Thank you, Vice President. My fellow Members, indeed as we have spoken and colleagues all here and all who have appeared, indeed welcome all that is done in order to protect children because these are the works that are truly the most terrible, the worst. When you mentioned it, I came forward because you mentioned some laws in which the saying does not state protection in terms of or demand from the registers in certain laws. What I was about to mention, we recently had the first reading of the Household Law and should also say exactly what you were talking about and what should be the word that those with whom the rehabilitation took place would not be able to perform this particular activity.
ParlaMint-HR_2018-07-12-0.u92145	Thank you. The next replica is the respected representative Ana Komaračić Devčić.
ParlaMint-HR_2018-07-12-0.u92146	Thank you, Mr. Vice President. Well, my colleague and I agree, except for one fact that you mention employers. When I mentioned associations, they're not your employers. I don't mean people who have a complete self-port of secretaries, secretaries, and I don't know what. I'm telling you about people who give their free time to the president through all the people who work in that association their free time and actually occupy the free time of children that these kids are not exactly on the Internet, that these kids are not on the street, that they're not going through cafes, but that they're dealing with some kind of sports, whether they're being cultured, whether they're doing some other activity. So I'm talking about these people, these people don't have that port and you're saying they're guilty, not they're not guilty, the system is guilty, and that's why I keep telling you that we can't change just one law, we have to work on prevention. We need to change those laws that will allow these people to just prevent what they're after and what we're fighting for today.
ParlaMint-HR_2018-07-12-0.u92147	Thank you. The next replica is the esteemed representative of Nikola Grumoja.
ParlaMint-HR_2018-07-12-0.u92148	Dear fellow Members, I have been following this debate a little bit, and I have seen that you have practically boasted that this is a major statement by the HDZ Club, but I think it would have been a turn here in the debate that it was mentioned that a colleague of Strenja-Linić had practically forced this point to be put on the agenda by collecting more than 30 signatures, that this had long been standing, that it had been proposed, but that there was no debate here in the Croatian Parliament, which shows that it was neither the government of the Republic nor the President of the Parliament who did not want to put this item on the agenda, and today it is said how important it is, how important it is, how important it is, how much a step. So if the signatures had not been collected, this would not have been discussed here today in the Croatian Parliament. That's what to say and emphasize.
ParlaMint-HR_2018-07-12-0.u92149	The answer of the respected representative Petrijevcanin Vuksanovic.
ParlaMint-HR_2018-07-12-0.u92150	Thank you very much, Mr. Vice President. Dear counterpart Grmoja, MOST could otherwise show that it supports changes to the laws concerning strengthening the prevention and sanctioning of sexual abuse of children in Croatia. Otherwise, we're talking about the HDZ proposal, one and the other. Otherwise, these are the most difficult forms of crime, and this should mean special seriousness and responsibility when we talk about this subject, and despite this being an unfounded topic, this topic should not happen to become a polygon for political bickering and inappropriate advances, and especially should any unfounded criticism or collecting points, without ever being serious about this topic. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92151	What's the injured Rules of Procedure? You picked up a plate? Here you go.
ParlaMint-HR_2018-07-12-0.u92152	I don't know what my approach was inconclusive.
ParlaMint-HR_2018-07-12-0.u92153	Wait, I'm sorry. What's the matter with the Rules of Procedure?
ParlaMint-HR_2018-07-12-0.u92154	Injured Article 238.
ParlaMint-HR_2018-07-12-0.u92155	And what's hurt?
ParlaMint-HR_2018-07-12-0.u92156	Well, my colleague said that someone here was collecting some political points, that it was inappropriate.
ParlaMint-HR_2018-07-12-0.u92157	Well, that's not a violation of the Rules of Procedure.
ParlaMint-HR_2018-07-12-0.u92158	If it had been an inappropriate act, I had merely expressed the fact that this point would not have been debated if the colleague had not collected the signatures and that this point was not a priority to the government, as well as to the President of the Parliament, and that is the fact.
ParlaMint-HR_2018-07-12-0.u92159	Comrade Grmoy, I'm going to tell you first because you abused the institution of the breach of the Rules of Procedure, and then I'm going to tell you that you followed a little debate, and you didn't, but you ran inside then you'd know that a colleague of Strenja-Linić was collecting signatures for the point before, not for this one. Yeah, yeah, not for what you're saying, so... Let's not. [[You can't hear the intruder.]] Okay. I would now conclude this debate, and we will vote on this point when the conditions are met.
ParlaMint-HR_2018-07-12-0.u92160	We continue with the vote of the draft law supplementing the Law on the legal consequences of convictions, criminal records, rehabilitation, first reading, P.Z. No. 245, the proposal is the HDZ Representatives' Club, the debate is closed. In accordance with the proposal of the parliamentary working bodies, I am voting on the next conclusion. First, the proposal for a law supplementing the Law on the legal consequences of convictions, criminal records, rehabilitation and the second, all objections and proposals will be sent to the applicant to consider them when establishing the text of the final draft law, please vote. I find that with most votes, 120 for, 1 abstention and 1 against the conclusion that it was proposed by the parliamentary working bodies. We've got a breach of the Rules of Procedure. There's a colleague, Maras, here you go.
ParlaMint-HR_2018-07-12-0.u92161	Thank you very much, Mr. President. I believe that you have injured the Rules of Procedure because a business condition has been obtained to grant a recess since Mr. Beljak has requested a break concerning the possible legal consequences of Agrokor and, as we voted on the legal consequences of the conviction in criminal records and rehabilitation, it is possible that he had the right to seek a break before that, so I ask you to grant him a break.
ParlaMint-HR_2018-07-12-0.u92162	Okay, I'm not gonna give him a break and I'm not gonna give you a warning because I think you tried to explain in good faith that it existed, but, well, you couldn't convince me. We're moving on.
