ParlaMint-HR_2018-02-13-0.u66031	We're going to take a break. Here you go, Mr. Alexic.
ParlaMint-HR_2018-02-13-0.u70895	I would like to thank the esteemed Secretary of State. We have one replica, dear colleague Darko Horvat. Here you go.
ParlaMint-HR_2018-02-13-0.u70896	Thank you, Vice President, so here, carefully listening to all this data, the numbers that encourage me, I haven't had a chance to hear, perhaps accidentally or intentionally, given that we are getting, away, or about 10% higher water flow, since we are increasing the installed power, in which way these characteristics affect the environment within which the procedure is taking place. And whether the activity in the hydropower plant Zakučac is in question in line with the environmental permits to be issued by the Government of the Republic of Croatia. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70897	I thank my colleagues Horvato. Do you think maybe the committee reporter would like to take his word for it? No, I don't. I'm opening a debate. On behalf of the Representatives' Club of the Independent Lists Bridge, esteemed colleague Miro Bulj. He's not present, he's losing his right to debate. On behalf of the Representatives of the Living Wall and the SNAGA, dear colleague Branimir Bunjac. Here you go. OK, Mr. Ivan Willibor Sincic. Here you go.
ParlaMint-HR_2018-02-13-0.u70898	Thank you, Vice President of the Croatian Parliament. My colleagues and colleagues, as we have heard from the Secretary of State Mr. Šiljeg, are today at the debate on the subject, so the proposal for a decision to amend the concession decision for the use of water power for the production of electricity is specifically related to Hidroelectrica Zakučac. And as we heard from the beginning, so the Croatian state since '90. Member States shall ensure that the measures provided for in this Regulation are in accordance with the opinion of the Standing Committee on Plants, Animals, Food and Feed, Here we have an expansion of the increased, installed flow of water, with 220, 240 meters cubic, i.e. a corresponding increase in installed power, which will logically lead to an increase in concession revenues for the state budget. Before Mr. Secretary can get ready before I go to my hearing, I'd just like to ask a few questions. I've been monitoring the strategy for my time, so the impact of climate change, which the ministry has been preparing, I believe you know what this is all about, so I'm curious about a few things. So whether the impact of increasing this capacity on the Cetina River is considered, means that this increase will affect the Cetina River with these aspects. The second thing, which is today's capacity of the river Cetina, i.e., I'm talking about the accumulations and streams, and what does this have to do with this strategy that I mentioned, the strategy, the prevention of climate change, that is, adaptation, the truth. And the third question, to what extent does this proposal mean to increase the installed flow, took into account that strategy, in all segments. So whatever you can contribute to this debate would be extremely valuable. As for Croatian energy and documents that belong, I will repeat what I have said several times, the situation is far from good, the situation is I would say even tragically. So here, by preparing for this debate, in the National Journal, I found only two strategic documents, so in 2002 a strategy for the energy development of the Republic of Croatia was adopted in 2009-2020, so this is still a current strategy, a current document, a strategy for energy development of the Republic of Croatia. It's not development anymore, it's development. However, the documents, like those before, did not prove to be very useful, nor was much done by them. Here, for example, in Chapter 6, 3, 4 of the current energy strategy in which we live, we stand like this, the nuclear energy programme and then under that head stands the Republic of Croatia's nuclear energy programme. It is further stated that the nuclear option cannot be excluded from the future energy structure, it is said that the preparatory activities needed to decide on the construction of the nuclear power plant cannot be delayed. And it is said that lost time may not be possible to compensate and the right strategy does not narrow down future development opportunities. The same is said that the public debate supported the nuclear option that I'm not sure about, I followed it at the time when I was 19 years old. And lastly, the decision to build a nuclear power plant is expected at the latest in 2012. In 2012, some 5, 6 years ago, a decision was to be taken to build a nuclear power plant, according to the strategic document we made. So the government with the Parliament has set goals, we want it, that, that, has brought the document, millions of kunas are probably spent, thousands and thousands of hours to make such a document, to think about in the Croatian state what we want from energy, which are our goals, that in the end only a few months after the adoption of it all was thrown into the trash. Here's another example, it's not the only failure because we know that it didn't even go through nuclear energy at all, and I'm not going to argue here right now because I don't have time for whether it's a good option or a bad option, but that was the goal. And he's written in the document. And the deadlines were written, and there was nothing of them. Money was dropped, work was dropped. In addition, according to this document, the strategy, the government has reached a conclusion on establishing the priorities of the construction of the electricity buildings that I have here. The document is the same from that time, signed by Mrs. Jadranka Kosor. In the first sentence, i.e. the second explanation, it was just called for on 16 October 2009 when the Croatian Parliament adopted a new energy development strategy 2009 through 2020. And in this conclusion, the government is determined that the following energy facilities, or buildings, will be of priority to the Republic of Croatia. These are the order Te Sisak C, TE Plomin 3, HE on the river Savi, Podsused, Prečko, Zagreb-Drenje, i.e. Zagreb on the Sava as popular as it is called, HE Ombla, HE Kosinj, HE Molve 1 and 2, just that. This was listed as energy facilities of priority. Now let's see what it's made of. From Plomin 3, we know what situation it is, Zagreb on Savi, do you see any power plants, anything to do, no. And in 2020, it's very close. Since Omble gave up, Kosinj begins in 2019, Molve 1 and 2, it is an interesting case. By means of the ESPO Convention, since Drava is a border river, and Hungary has an impact on these projects, the project Novo Virje has already been planned, however, Hungary has decided to block it, give up that story and so HEP threw 30m euros worth of money invested in the documentation, designing the facility and working hours, so they were dumped because of the Novo Virje plant there was nothing. And then the story was slightly reduced by Molve 1 and 2 where Hungary can block us again, we are still going that way because that's probably part of our strategy, but as it is known to be Mura-Drava-Dunav Regional Park, UNESCO's cross-border reserve, and it is questionable whether any of it will ever be. To sum up, in the strategic documents that we brought in or immediately trampled everything we wrote, from what we wrote, we almost did nothing and what we did, fat, fat, late. So I asked all these questions about your boss, Mr. Tomislav Ćorić, when he came to the Environment Protection Committee whose member I was asking for confidence to become a minister along with Mr. Plenkovic, that what he thought about this energy strategy and its failures, Mr. Ćoric did not speak much, he justified himself that he had been brought into crisis just in time, so it changed plans a little bit, but as soon a new energy strategy will be adopted. I really hope, I'm not delirious, I really hope that in this country there will be documents that will make sense, money that will be invested in them that will not be thrown away, that working hours will not be thrown away, and that citizens will really have something because of these papers that I've listed here is God's preserve. The sooner we need an excessive document that's expendable, the easier this is. However, the world of course did not wait for us, why would it wait for us, the world went further, so I must say that in 2013 there was a turning point at the world level. That year, 141 gigawatts of new energy sources were opened, hence new installed forces in conventional non-renewable sources and 143 gigawatts in renewable energy sources. So, there was a turning point that year, for the first time, more new energy sources were opened in renewable sources than in non-renewable sources, and this trend continued to increase, so according to the International Energy Agency in 2016, as many as 2/3 of all new sources were in renewable energy sources. With us, such projects are still in place, in time when the government of Mr. Milanovic took over, Mr. Cacic was a major lobbyist of coal and such individual structures which further slowed down the development of renewable energy sources in Croatia and disappointed most of the public who called for the famous Plan 21 expected some changes in relation to the nuclear power plant and such things announced by the previous HDZ government, and we did not experience it. And so as the world moves forward, it is worth mentioning an example of a small country in Central America, close to us on the surface, close to the population of Costa Rica, even one Croat, Francisco Orlic, in '42. In the year, otherwise, a man of Krk origin became President of Costa Rica. Costa Rica recently celebrated last year, so 300 days out of 365 days they received electricity from renewable energy sources. In 2016, 98% of the electricity produced was from renewable energy sources, 2014. 99% of all currents are generated from renewable energy sources, mostly hydroelectric power plants. Of course, Croatia is not Costa Rica nor can it be, Costa Rica has such a geographical position as it has, it has tropical rains that further power or increase hydro potential. However, Croatia has its special features which in some segments especially in solar capacity, the wind, was still barely scratched. Otherwise, it is still considered dams, large renewable power plants although there are some thinking that only small hydropower plants would be renewable and large as having too much impact on the environment, so they should not be renewable or non-renewable or something between them, however, we still consider all the hydro potentials or their exploitation of renewable energy sources. Croatia is far from these trends, we have lost time to which the strategy itself is being called, so the world has gone forward, it is clear, it is clear that renewable sources are the future, to which extent we will be able to replace fossil fuels we will see it yet, but the trend is clear, Croatia does not follow that moment at all or does not follow it enough. One very interesting thing about renewable energy sources, for example the city of Zagreb, 640 km square, if we were to take all these surfaces, we would take for example this most famous case of solar panels, solar grids, if all of these surfaces were to be paved, using energy from them, is questionable to what extent the city of Zagreb could be covered from such sources. Why? Because the city of Zagreb is densely populated, you have a large energy consumption on a small surface. On the other hand, where we have a little energy consumption, a lot of space? Right in the rural areas. Renewable energy sources, renewable future needs space. Nuclear energy or thermal power is high density. You in a small space maybe just a few acres as much as these plants can get a lot of energy. But in the case of renewable sources, it's not like that, it's low density energy. You need big surfaces, big spaces to get some bigger amount of energy. So exactly the rural areas here have their chance, let's give people and decentralisation energy production because the future is where everyone will be a consumer and everyone will be a producer. The big power plants, the centralized systems, it's slowly going into the past and the trend's gone, and I've already set out which way the world's going. So this is exactly the opportunity for development and rural Croatia, it should allow people to stay in their own space, in their own backyard, in their backyard, to be producers of electricity, to join the network, and that will be one of the reasons why they will stay there because the situation in which we are now knows what is the situation, especially in Slavonia, Banovina, Kordun, the Dalmatian Zagora, people are going away, they have no real reason to live and there are no empty spaces left. The future just needs space and more importantly, it needs people in that space, so I urge you to make changes to the legal and strategic as soon as possible, not only in the energy strategy, but also in the strategy of preserving or adapting to climate change. Thank you.
ParlaMint-HR_2018-02-13-0.u70899	I thank Mr. Ivan Willibor Sincic for this debate. We move on to the next debate, on behalf of the HDZ Representatives Club, dear colleague Darko Horvat, please.
ParlaMint-HR_2018-02-13-0.u70900	Dear Vice-President of the Croatian Parliament, the Honorable Secretary of State, colleagues and colleagues. It's very interesting to listen to some of these discussions today, especially when we discuss the same topics, people that we are in formal education about the same profession. However, there are no political options in our Croatian Parliament that take a concrete stand. So, it's easy to be against but when you don't have your own attitude and you don't know if you're up for, then these are thematic debates and this is one of them, deplaced, causing controversy and shame that there are no colleagues here today, we'd be sure again, we'd take a turn at the issue and the issue of Agrokor and some of the prominent figures from our history who have not or had the opportunity to take advantage of that opportunity to make certain decisions. I will once again ask the Secretary of State whether the debate is under way or in its final address, apostrophe and put an emphasis on the question that has been asked by his colleague Sincic earlier, which are the ecological aspects of increasing the flow and increasing installed power at HE Zakučac, which for me is one of the rarest, good attempts to subject and existing locations of the energy type that are today in the spatial plans of the Republic of Croatia more adequate and technologically better use. I haven't heard from my colleague Sincic in today's debate whether it's his political option for a nuke or against a nuke. It would be nice to hear the attitude of the Living Wall, and after that, we could also make adequate decisions in a thematic debate. Secondly, what have I not heard at this moment, and in the presentation it seemed very superficial and does not judge the table of an engineer, why do some countries have a perspective and the possibility of implementing and introducing renewable production facilities into the system and some countries do not? Because when you compare the RH that today has a total installed capacity at a level of four thousand megawatts, it has a summer, and now almost a winter speck somewhere at a level of 2800 megawatts then it is very interesting to listen to the problem and debates that go to thousands, thousands of kilowatts or megawatts installed power into the space of the RH in the network, should be included in the domain of production from renewable sources. So the Department of Energy at the Faculty of Electrical Engineering and Computing teaches you something that is relatively percentage-related to basic energy production and colleagues who hand over these items to some production facilities still call alternative, therefore not fundamental but alternative. And then in this one energy mix you get the situation that, with a certain percentage of basic energy production, you can introduce and effectively regulate a certain number or a certain contingent of unstable alternative sources. Listening to the story of Costa Rica only once said that Costa Rica replaced 98% of its production from hydropower plants and I would be happy and satisfied that in such a way the hydropotential can and wants to take advantage of the Republic of Croatia. Let's not forget, so almost a long time ago, the Drava River began to be used as an energy potential, starting with Dravorad in that former state and the last hydropower plant that was built and launched in '87. She was HE Dubrava for years. After '87. In the year, the Republic of Croatia has dared and created only Lesje one energy potential of 43 MW and it is the only energy undertaking that we have since '91. by 2018 we can now call it in the segment of alternative or renewable or in the segment of basic energy production, but the production facility we dared to start completing and putting into operation. In 2009, HEP management decided to revitalise HE Zakučac, the largest hydropower plant in the area of the Republic of Croatia, so in the segment of the production area of the HE South Basin and here by increasing the water flow by only 20 cubic metres per second we managed to get a new installed power of approximately 90 MW. With this methodology, if we started to revitalise all existing production facilities, we would certainly raise the installed power by 20%, and hence production in the Republic of Croatia from the contingent production facilities of hydropotentials, regardless of the criteria of the European Commission, we can, and we do not have to call renewable energy or renewable production. I am pleased to hear that someone else does not mention that here we are now in 2002, so energy strategic documents exist, energy strategic documents are in line with spatial planning documentation, and the only thing we miss after 2009 is the implementation programme that would be needed for the Croatian public, and also for those who should be tasked by the Croatian Parliament through the Croatian Government to build production capacities, so in what time frame and how much financial envelope is needed to build and drive such projects. This is how HE Zakučac remains the only insulated bright example of something where, using new technologies, the reconstruction of the turbine system of generators and energy transformers, the existing installed power rises by almost 100 MW, 90 MW, and that only means that the two Lesces were built only by the reconstruction of an existing facility. I will not convince what the secretary of state said in his presentation, so all this was done under all the regulations of Croatian legislation, concessions were signed, concessions were made by HEP and today they were paid into the state budget. And what needs to be noted, not realizing today whether the methodology of calculation is good or perhaps needed to be completed, but of all these production facilities therefore of all hydropower plants today depending on the area of which the local environment or community is this production facility comes in favor and local self-government. However, what I want to warn and inform the Croatian public at the end of this presentation, as well as colleagues who may not be engaged in energy for the last ten years, but in their formal training, point out that energyists are especially those who, as economists, are giving their court to a segment of energy because today everyone is dealing with energy, they understand energy in everyone today, it would be very interesting to be or listen to engineers if we were going to operate or if we were going to move in any way in any other way. So here I am from a renowned auditory house that has been working on a proposal to restructure the Croatian electricity industry with which I dare say I am not overly happy and satisfied, but here is an interesting graph showing the production price of existing Croatian production facilities without included depreciation. So, the Water Power Plant, it was amortized a long time ago. All our hydropower plants, except Lesca, have long been amortized. And now I'm going to read you one piece of information that you're sure to think is from a fairy tale. So, a thermal power plant in Sisak, to produce a megawatt hour of electricity, needs to spend 500 euros. The Sisak thermal power plant, in order to produce a megawatt hour of electricity, needs to spend 500 euros. Somewhere in the middle of the Plomin 2 thermal power plant and Plomin 1 is close to producing a megawatt hour of electricity, 40 euros should be spent. So, at 500, we moved to an area of 40 euros. Before we started to restructure, i.e. reconstruct the Hydropower plant Zakučac. The production of megawatt hours of electricity, in that hydropower plant, was 5 euros. If I'm lying, I'm also lying to PVC whose official data is this, a study that HEP paid 8 million kuna. The study was made, delivered and this is this segment where the found state is analysed. And now that you're all together with me and the Croatian public, you're asking, what kind of Croatian energy mix should it be to produce competitive electricity, at cost and by quality, if we're aware that our imports are at a level of 55 or 58 euros, then this graph clearly tells you what Croatia should do. And if we want quality and at the cost of competitive electricity. And for the category of Croatian households or households and for the category of Croatian entrepreneurs. And the thing that I keep mentioning, and the thing that I resent to the Croatian Energy Regulatory Agency, is that this component, a component of production that is clean and exclusively market activity, including supply, which also ruled out market activity, cannot function in the area of the Republic of Croatia, with a minus, and the balance sheet is ironing or harmonising with the price of regulated services, the price of the magazine, and then transfer regulated activity to the market, and the whole time they have the impression that those who deal in regulated activities are doing very well, and those who have only the market activity are creating losses. On the other hand, therefore, with a note, whether we can or whether we want 10 or 100 thousand small solar power plants in Croatia. Croatian legislation enables investment on the roof of the household on every house with a built-in permit. And you don't need to ask anyone, you need to invest. Now, every resident of ours, our fellow citizen, we have to convince him that on the roof adequate consumption, so we don't need him on the roof of the power plant, which we're going to produce for market needs, but on the roof we need a power plant to meet our own needs. And it's very simple and easy to calculate. But, ladies and gentlemen, we must then make every household in the Republic of Croatia single out its budget for 10 kilowatts of installed power, 130,000 kuna. For 10 kilowatts of installed power for which you need about 70 square feet of roof, you need about 100 to 130 thousand kuna. Some have tried, and some have managed to cover their costs at the moment these targets were developmental, diversifying. However, today when we do not have a premium system, when we are still not sure whether or not we want to produce it, or to invest and sell the price to someone, at an average production price of between 30 or 35 June today, you cannot return the investment in 8 or 10 years or 12 years. E in such a way to communicate with the Croatian public, the desire to introduce 98% of renewable production into the contingent or in the Croatian mix, and make your HEP colleagues create such a regulatory system, which will keep this renewables contingent stable and keep the system under control. I believe you, I first, as an entrepreneur, will not agree to this, because I want the same conditions as Hungarians, Czechs, Slovaks and Poles, a stable system, the safety of equipment and a competitive price that my or our product would be on that common market as competitive. Given everything here, the HDZ Club will support this decision. [[Intruder: Thank you.]] Thank you very much.
ParlaMint-HR_2018-02-13-0.u70901	Thank you. We have two replicas, the first of which is a respected colleague, Sincic. Here you go.
ParlaMint-HR_2018-02-13-0.u70902	Thank you, President of the Croatian Parliament. You've said a lot, and I can't replicate it at all, because time makes it impossible for me, and I don't want to go into any wider discussion. At first, you said that part about Costa Rica, 98% comes from hydropotentials, not from renewable sources, within which the hydropotential is 80%. There are other sources, renewables, such as bio mass or wind. The second thing is to be honest again, that from the total energy consumption in Costa Rica, everything is renewable, because of course there is always oil and gas used in transport. So in global, the country isn't renewable, and I didn't say that. As for some other things, to say that the documents strategically exist for development. After I had as much as I could in time elaborated, that of all the points, barely anything was done, that we lost 10 years was actually scandalous. You mock the Croatian public, the documents exist, but in fact, six months after they voted, they became useless and we gave up capital things. As for nuclear energy and nuclear technology, the Living Wall is not an aprior against non-nuclear energy, it would be fundamentalism or nuclear technology. Our view is that to the greatest extent possible, it should go through renewable energy sources, but ultimately, the profession will always say what reality, oil still is our reality, it doesn't have to be liked either by me or by you, but it's instantaneous. In 20, 30 years, it's gonna be different, and we have to go some new ways, which we're supposed to determine by the documents, we didn't do. In the end, you mentioned, as one of the 10 topics that you mentioned, therefore, the need of 130 thousand kuna, that I was going to say the same, it takes 100,000 kunas to make the house renewable. And in the Croatian state, you cannot have an average household without credit, and such things are very difficult to get support.
ParlaMint-HR_2018-02-13-0.u70903	Thank you for the reply to the replica. Here you go.
ParlaMint-HR_2018-02-13-0.u70904	Well, on the one hand, I have to admit that you have improved a little bit now in this replica, but I am glad to hear that someone advocates the story that they want to build in the Republic of Croatia arbitrary facilities of basic energy production, regardless of whether they have paid off in time to amortize or after depreciation, because Croatia has in its spatial plans plotted and confirmed localities and existing energy projects that are ready for enlargement, but also a few new sites, which at this point can be very useful to build new production facilities. So, I'll agree with you about the story of Costa Rica. So when someone builds accumulatory and regulation hydropower plants and replaces and synchronizes the work of battery and regulation, they do something smart. I suggest you give full support to construction and regulation but also to the most accumulational ones, because they are no longer a trend today. Trends are flow power plants. And on the river Drava, which we contaminated from Dravo city to Donja Dubrava, also on the Sava River, in which there are four projects to build new hydropower plants, which are multi-functional projects. So, the territorial thing is to solve the energy issue of the hydropower plant on the Sava River. The priority story is the protection of the environment and the defence against the flood, after which, not by new regulation, prevents the flow of drinking water to the city of Zagreb, and afterwards these 150 megawatts of installed power will revive the flow of the Croatian energy system but not dominantly, as would be done by a new blog of the thermal power plant in Plomin or any building, based energy production, which then adequately tones, all of these hydropower plants that we are talking about, can be flow, regulated.
ParlaMint-HR_2018-02-13-0.u70905	Thank you. The second one's up, dear colleague Mader. Here you go.
ParlaMint-HR_2018-02-13-0.u70906	I thank the Honorable President of the Croatian Parliament. My colleague Horvat, here on behalf of the HSS Club, the HSS will support this proposal of the Law on the modification of the concession of Hidroelectrica Zakusac, but I have one other question, several years ago in the area of Koprivnica Cruise County was the actual construction of the Novo Virje hydropower plant, the strength of about 200 megawatts and I am clearly glad that this project failed, because it would greatly disrupt the ecological system of that part of Podravina. But at the same time, here, these days, we're talking about the construction of three smaller hydropower plants that would be flowing on the Drava River, so here, I think about the construction, means these three smaller hydropower plants that I'm saying, streaming on the Drava River, how much information I have from my fellow commanders, that they've been on some talks and most of them to support, but your opinion about building those three less. Although I'm saying, I've always been against this construction of a megalomanic hydropower plant that was about 200 megawatts. Thank you.
ParlaMint-HR_2018-02-13-0.u70907	Replication response.
ParlaMint-HR_2018-02-13-0.u70908	Well, here's a strategic document that my colleague Sincic also spoke of in 2009 that excluded in general from the intention of building any large building of the accumulation type, the flood of forests and territories, the cross-border influence, which would then either be derivated or I was moving into the territory of the Republic of Hungary, under the fall under the so-called so-called ". Espo Convention measuring cross-border impact, etc. The larger strategies of 2009 turned the large accumulation of the New Source, into 2 and 3 retentions, which would occur somewhere between Lower Miholjc and Osijek, so Molve 1 and Molve 2 should be built as streaming hydropower plants, or if we are to use the Austrian dictionary of such power plants as I had the opportunity to see there, then they are so called. submarines. So the turbine system descends into the riverbed and flow, whether there is water or not, defines the amount of kilowatt produced or megawatt hours. So, it is my personal opinion that such energy projects should be built in the area of the Republic of Croatia, regardless of what we have protected one part of the Drava with the UNSECO, stamp, so regional park, Mura Drava, in which and whose decision there is one mark that speaks of the vast economic interest. For me, the hydropower plant is the weight and category of overly economic interest. And if you will ever wonder about the circle of people in which I will have the opportunity to sit, I will always give support to build such a type of power plant, and it is not a nature 2000 of any kind, because the Austrians have a pointistic separation from nature, almost 400 such small hydropower plants in the Alps and all the waterways they use in various ways, including energy. Thank you.
ParlaMint-HR_2018-02-13-0.u70909	Let's go to the third line, dear fellow Music.
ParlaMint-HR_2018-02-13-0.u70910	Thank you, President of the Parliament. My colleague Horvat is as much like you for hydroelectric power plants, certainly that would be the most environmentally acceptable to us and certainly the most acceptable. However, we have in Dalmatia for solar power plants a large area where we have almost 300 hours of sunshine. I think solar power plants need to be built there and I hope and I don't understand why it's slowing down so much and why it's waiting so long for all these investments. Of course, we talk all the time, we keep promising, and it actually ends up on that thing, so the law comes back up again, and we're gonna talk again, and we're not gonna go into realisation. We know that it's been interesting for us since democracy came to include any associations that don't allow. We had this year actually passed down on the Cetina gas power plant we didn't make, I think that energy and electricity is survival, and we're going to need more and more, whether it's for cooling, whether for heating, whether for tomorrow and the electrics, I think it's a strategy and that we should go into that program, not wait, not wait for a lot if there's technology, have knowledge, and I think that electricity should work faster to make it happen. Thank you.
ParlaMint-HR_2018-02-13-0.u70911	My colleague Horvat's answer. Here you go.
ParlaMint-HR_2018-02-13-0.u70912	Here's a short, so why not invest in a small solar segment, I think a large or high factor is the price of technology. When someone today convinces us that the price of solar technology is so low that if anyone could afford it, I'd have it at home, probably all of us here, but those prices aren't still the ones people talk about very casually. On the other hand, in my presentation, I said about not exactly but precisely, we at this point at 4200 MW installed power have a syringe that in certain parts of the day and year reaches almost 2800 or 2900 MW. So comparable to one of the Czechs and Slovakias that have 23000 MW in the segment of the installed power, and their pitch is about 4, so 6 times more installed power than what is the daily pitch. With such countries I would not dare compare, I would not dare compare because having under control and regulate such a system is far, far easier than that in the Republic of Croatia. Long ago someone made a strategic decision and in the space of the former state the entire priority story was building an interconnector, we today all our shortcomings in the electricity consumption segment can be replaced by imports. If the entire production system were to collapse today, we could substitute all necessary electricity for the needs of the Republic of Croatia by importing through the interconnector capacities. Is that our goal? So the technical possibility exists, is that our goal? We are constantly seeking some energy independence, and energy independence will not be achieved by building an interconnector but by building production facilities, whether at this point they were expensive, cheap or obtained from them or not at this time getting a competitive price of electricity produced.
ParlaMint-HR_2018-02-13-0.u70913	Thank you. Let's move on, next debate on behalf of GLAS Club and HSU respected colleague Anka Mrak-Taritash. Here you go.
