ParlaMint-HR_2019-01-23-0.u123900	Now it is the independent representative of Hrvoje Zekanovic's turn, please.
ParlaMint-HR_2019-01-23-0.u125133	Thank you, too. We're continuing the debate on behalf of the clubs. The next colleague, Vedran Babic, is in front of the SDP Representatives' Club. Comrade Babic, please, take it easy.
ParlaMint-HR_2019-01-23-0.u125134	Thank you, Vice President. Dear secretary, colleagues and fellow MPs. Here is the proposal for a law amending the Law on the treatment of illegally built buildings, and I am pleasantly surprised that this debate has caused other debates, long debates, but where colleagues and colleagues have referred to what is not the subject of the debate itself because the subject of the debate is the agency that has conducted or assisted in legalisation and in our counties and cities. I tried to find out who needed help most, but basically it doesn't matter. I honestly expected that agency to do essentially more work. Fifteen percent of certain items have essentially reduced this whole, even called the legalisation campaign for some less than a year, but since even this long time period of legalization is already good, we can say for more than five years, let's say that maybe it wasn't, the legalisation itself would have lasted longer so that all those who couldn't find the financial resources to legalize at this time might have found it in due time or not, but here, I agree with my colleague Mrak-Taritash who said that the campaign itself legalization was in the sense that after 21. Six. 2011 underlines the line regarding the illegal construction itself in Croatia and I believe that in some way it is undermined because it is simply such that because it is a profession for them and I simply hear what people are saying about this topic that illegal construction is becoming less and less, regardless of all these negative examples that are constantly happening but in a much, much smaller scale than the campaign itself which is here, I would say even started during the time of being Minister Bačić. Development for illegal construction, here are some listed but even talked about intensity when it existed, then we can say that it's from II. svt. The war with us unfortunately constant in a smaller or larger scale and I definitely think that this law and all the procedures that were parallelly conducted with it have brought something positive in Croatia and that it is less illegal to build and that by simply implementing that legislation it is simply that we have changed the consciousness of our fellow citizens and fellow citizens to simply avoid illegal construction and note, the building permit has always been necessary and in some ways I regret those people who have simply tortured and issued building permits in accordance with all the regulations, paid even more than many have now paid in this legalisation process and followed the legal rules that they were in some way and damaged because someone could have built houses and past the spatial plan and legalized... and pay for it and some relatively small penalty given the investment that was there and managed to legalize its facility. [[The speaker doesn't understand.]] All in all, we can say that the agency has, no matter what, fulfilled its purpose, helped legalize illegally built buildings, and here I sincerely hope that regardless of these negative cases that are constants, that the awareness of citizens has changed in principle, that people are now looking for a building permit, that they simply don't dare go into illegal construction, because if we essentially failed, then this law was ad hoc and it's solved something that should be solved because all normal Western world on illegal construction and looking at other ways than what we've essentially looked at all these years. Not to be too long, the SDP Club will support this bill. Thank you.
ParlaMint-HR_2019-01-23-0.u125135	Thank you, too. We're continuing the debate on behalf of the MPs' club. Next up is a colleague of Bernarda Topolko in front of the Club of HNS Representatives, please welcome colleague Topolko.
ParlaMint-HR_2019-01-23-0.u125136	I would like to thank the Vice President of the Parliament, the Honorable Secretary of State with an associate, respected colleagues and colleagues. The HNS Club will support this bill, i.e. amendments to the law on the conduct of illegally built buildings, which is carried out by emergency procedure. In view of the large number of illegally built buildings, after the expiry of the deadline for submission of the application for an execution solution, it was found that more than 800,000 requests for a solution were received on 30 June 2013 and that the Agency was established to deliver solutions on the state of play in cases where the competent authority is not able to deliver those solutions within a reasonable period of time. It is also prescribed that the agency has a temporary character and ceases the work of completing building law. A total of 902 901 requests were received from the Agency from February 2014 to May 2018. The Agency’s revenue on 31.12.2018 was 43.913.000,00. Since the agency has carried out its task, that is, it has been processed according to the Agency's 99.41% report, there is no longer a need to work the same. On 2 August 2018, the Government of the Republic of Croatia concluded a reduction in the number of agencies, institutions, funds, institutes, foundations, companies and other legal entities with public authority. Those conclusions have been planned to end the Agency's work since 01 July 2019. The questions of the workers here agency do not need to be regulated by these laws because the agency's workers work on the basis of a contract of work concluded at a specified time, i.e. until the Agency's work is terminated. The Agency employed 110 workers from 31.12.2018. The consequences resulting from the adoption of this law are that, as of 1 July 2019, the Agency for the Law of illegally built buildings will cease to work. The decision on the state of play will be prescribed, the return of the case will be arranged and the completion by the place of the competent authorities, the takeover of the material assets will be arranged, the allocation and the purpose of the compensation for buildings authorised by the Agency for a decision on the state of play, which will be paid after the Agency has ceased its work. It is necessary that this law enters into force as soon as possible, i.e. before the Agency's work is completed and that time be allowed to the Agency to provide all the files, cases for the solutions made for the state of play to competent administrative authorities in whose territory the buildings have been illegally built. The Agency will also include files of cases in which no solution has been reached and return to the competent authority, the proposal of the law has been set out since 15 January 2019 and ends by 20 June 2019 at the latest. Since the law cannot be applied retroactively, the HNS Club will submit an amendment of the technical nature, i.e. to replace the words ‘on the date of entry into force of this law’. The Agency will pass on the funds and documentation to the Ministry of Construction and Spatial Planning within 60 days of the entry into force of this Act, the Government will comply with the Internal Design Regulation of the Ministry of Construction and Spatial Planning, and within 60 days of the date of entry into force of the Government of the Republic of Croatia's Regulation. The term of office of the Director of the Agency and the members and the President of the Management Board of the Agency shall be suspended on the day of registration of the Agency's removal. The law on the treatment of illegally built buildings was in discussion with the interested public and there were no objections to it. As I mentioned at the outset, the HNS Club will support this bill. Thank you.
ParlaMint-HR_2019-01-23-0.u125137	Thank you, colleagues. We're continuing the debate on behalf of the clubs. Next on behalf of the Independent Representatives Club, colleague Tomislav Žagar. Here's your colleague, Sagar.
ParlaMint-HR_2019-01-23-0.u125138	Thank you, Vice-President of HS, the distinguished representatives of the government, colleagues and colleagues, here, in a brief debate I will try to say the main things that I think are important now that this process is being brought to an end. Now we don't know when he's definitely going to be done, but it's coming to an end, and we're going to support, of course, the adoption of this law, otherwise it can't be, the Agency has done its job, according to this, as we've seen from the reports, successfully, so, given the government's plan to abolish the Agency, that's, well, let's say, a good thing that we have one less, and it's a good thing that she did the job. However, what would be valid in the context of this Act is the fact that it is the Law that was passed in 2012 which covered the period from 15.2.68 to 21.6/11, therefore, 43 years of construction in the Republic of Croatia and according to this number of requirements, it is about 800, 900 000 objects, therefore, it is a huge amount. It would be interesting to know how many objects were legally built in that time. Was that kind of in character with us, in the social norm of behavior, in the building. What was it built for? Some colleague of Anka Mrak Taritaš spoke of it, which all the reasons, but let's say, should be mentioned in the context of this debate that even at that time local committees, or even cities or what they were called, the municipalities, as it was already, were building morgues, so sports courts, homes, without permits, whether it was working actions or in other ways, and then, later, at that stage and municipalities had to legalise those facilities, because it was not according to the provisions of the Law and was allowed to invest in non-owned facilities, the audit warned. So what has been normal for many years in the Republic of Croatia, and this is building without permission, is this law has finally tried to put an end to it in this period and to have this process over once. What is mentioned in the same discussion, and in every law, it promotes it, and it concerns the future, and that is the role of municipal directors in illegal construction. I think it's the exaggeration again, the communal monks have neither the necessary knowledge nor the skills, and they're little and they can't do that, I'm telling the municipalities in particular, to make this situation on the ground so they can report people, and even have the ability to report neighbors, and I think that should be removed from it and that other methods that exist today, which, therefore, are the developed technological level, make it possible. So, what should be pointed out is that in 2017, the amendments to the Law extended the deadline for submitting applications until the sixth month of last year, the end of the sixth month, and I personally think that there will be more opportunities for some kind of action in the future, I am not sure that, I would like to see this situation end, but I think there will be an exception, because counterpart Anka Mrak Taritash also said, it is the worst thing to do is to tear down the housing in which people live, in which there are individual furniture. I'm not talking about those who were building consciously by the sea, so they were benefiting from it, but those people who, behold, to solve their existence, built an object, and even, well, they didn't have the money to end it through this legalization process. Anyway, let me conclude, we're going to support this legal proposal. Thank you.
ParlaMint-HR_2019-01-23-0.u125139	Thank you. We're continuing an individual debate. Next fellow Bulj, no colleagues, therefore, according to the Rules of Procedure, loses the right to debate. After him, he's a colleague of Maras, same case. And we'll end up with a colleague of the Lonchars, here's a colleague of the Lonchars.
ParlaMint-HR_2019-01-23-0.u125140	Thank you, Vice President. The short two things would look back, which is to beg the Ministry here if it is possible to extend this law for a year from two things. The first is that the situation in the so far legalisation of objects by 21.6.2011 was a series of factors in which there were no family opportunities, or on the current division, to exercise its right to a legalisation solution. There was a family in common who had now come to division and wanted, specifically, a father and son and could not apply because he had previously been a father to bear, and because of his property condition he was not in a position to do so. However, new circumstances are now in which an individual wants to submit a new solution, but the law limits it. So please, here we are, if possible, making it possible for many families, especially young people, where we are all looking together to stay in our areas, to enable them to do so. And the other thing is, it's important, and it's important that the local administration units, in their spatial plan, put... in the building land of all these buildings and it is important that it does not disrupt anything in the space, in this case it does not disrupt. [[/The speaker doesn't understand.]] It is only possible and better conditions to create life, which is that the Annex allows an individual if he had a house before, but he had no roof, so that he can put a roof and that roof in space doesn't change anything. Here, you'd like to respect that and make it possible for people to do so. That's it, thank you.
ParlaMint-HR_2019-01-23-0.u125141	Thank you. And now, on behalf of the motionary, State Secretary Zeljko Uhlir, here you go.
ParlaMint-HR_2019-01-23-0.u125142	Thank you very much. I thank all who participated in this debate, reminded us of the moments when the Law was passed and when the Law Agency was established that did this huge job and helped local administration also carry out its part of the task. I would also just briefly refer to a part of the discussion that is indirect and related to this Law, and it is talked about base stations. So that example that was set here today, he's not exactly like that in his nature. It is Rados near Sinj, a solution to the removal was reached, a fine of 70.000,00 kn was charged and a administrative dispute was initiated. So, it doesn't seem like anybody's doing their job, that the construction inspection isn't doing its job, so the management is under way. As far as the rest of the matter is concerned, there are other laws and I would not comment on that further. It is also noted in the law that it relates to the conduct of part 15 January 2019, but since today it has come to the turn of debate in this high home, this proposed amendment of the HNS Club is of a technical nature and is moving that period of action since the date of entry into force of this law, that is to say, the Agency will return the items and, therefore, the amendment is accepted. Thank you very much, everyone who participated.
ParlaMint-HR_2019-01-23-0.u125143	Thank you, too. This is also the conclusion of the debate on the final proposal of the Law on Amendments to the Law on the treatment of illegally built buildings, emergency procedure, first and second reading of P.Z. No. 536 and we'll vote on the law when the conditions are met.
ParlaMint-HR_2019-01-23-0.u125144	Final proposal of the Act amending the Law on the Treatment of illegally built buildings, emergency procedure, first and second reading, P.Z. Number 536. The motion for an act is the Government of the Republic of Croatia, the debate is closed. The amendment was submitted by the HNS representative's club of liberal Democrats. During the debate, the applicant's representative accepted the club's amendment and became an integral part of the final draft law. I am voting on that final draft of the law. I find that most of the votes, 109 for, 13 abstentions and 3 votes against the law on amendments to the Law on the treatment of illegally built buildings.
ParlaMint-HR_2019-01-23-0.u125145	We continue with the following, next item of the agenda, which is: - Final proposal of the Mark Act, second reading, P.Z. Number 417. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply. The debate was conducted by the Committee on Law, the Committee on Education, Science and Culture. Would the applicant's representative like to give an additional explanation? With us is State Secretary at the Ministry of Science and Education, Mrs Branka Ramljak. Here you go, Mrs. Ramljak.
ParlaMint-HR_2019-01-23-0.u125146	Thank you very much, Mr. Chairman, distinguished MPs and representatives of the final proposal in question of this law, it is proposed to adopt a new Mark Act with the aim of improving the system of acquisition of this type of intellectual property right and improving the protection of the rights of the holder of the trade mark in the territory of the Republic of Croatia. To this end, the Final Proposal of the Mark Act proposes the regulation of understandable and clear rules and effective procedures for the protection of trade marks to ensure consistency of conduct and compliance with the EU legal framework and the international legal framework in the field of trade protection. Also complementarity, co-existence of the national trade mark protection system with EU and international trade mark protection systems Madrid system. In addition, with regard to the protection of the right of the holder of the stamp, the aim of the final draft law is to provide a normative solution that will enable effective protection against the growing appearance of counterfeiting, thus ensuring better protection of consumers from products and services of questionable quality and safety where protected stamps are used unauthorized. The need to adopt this law is, in particular, based on the fact that a new Directive 2015/2436 of the European Parliament and of the Council of December 2015 on the harmonisation of the laws of the Member States relating to stamps has been adopted at EU level. And this Directive modernises, complements and advances the provisions of the previously applicable Directive of 2008. The significant innovations adopted by this Directive and, consequently, the proposed new Mark Act highlight the adaptation of the legal framework for the protection of trade marks in the EU to new technological opportunities to display the stamp following which the obligation so far to protect the mark must be lifted graphically. Therefore, the stamp will be able to be shown in any way that allows competent authorities and the public to determine the exact and clear subject of trademark protection, allowing for further development of non-conventional stamps such as sound, mobile and holographic stamps. In addition, an appropriate legal framework for the protection of traditional terms for wines, traditional specialties guaranteed, geographical indications and designations of origin shall be established from unauthorized registration with a stamp, by introducing appropriate so-called ‘signature’. the absolute reasons for refusing to register a trade mark containing such expressions and the detailed rules relating to the registration and protection of common and guaranteed trade marks. The subject-matter of the final proposal of the Mark Act with respect to compliance with the obligation to comply with the rules of the Republic of Croatia with the Mark Protection Directive at national level also improves the clearer determination of the conditions relating to registration, extension of the validity of the trade mark and of the facilities, the availability of trade marks rights in order to remove certain concerns that arise in the application of existing legal provisions. In addition to the new law, it will facilitate the use of the brand protection system and its compliance with the provisions of its users. In the first row, economies and entrepreneurs who will indirectly have favourable effects on the improvement of the business environment in the Republic of Croatia. In the case of the final proposal of the Mark Act, no additional competences of the State Intellectual Property Institute or other State bodies shall be introduced in the procedures of registration or protection of the trade mark, nor shall additional financial or other obligations be imposed. The Croatian Parliament considered and accepted the bill at a session in October last year. When considering the proposal for a law in the first reading in this respected home, no comments or suggestions on the content of the provisions of the law have been raised. The only pointed remarks and proposals came from the Legislative Committee, which concerned nomotechnical improvements in the text of the law. Therefore, the final proposal for a law differs only as far as the proposal for a law is concerned, which includes nomotechnical remarks and proposals from the Legislative Committee, as well as further minor non-technical amendments and harmonisation of procedural provisions with the provisions of other regulations, following the indication of the competent authorities on the draft final draft law.
ParlaMint-HR_2019-01-23-0.u125147	Thank the secretary of state for the opening statement. If the committee reporter wishes to take the floor, colleague Jelkovac and colleague Bedekovic, if not, I am opening the debate. First call from my colleague Miro Bulj. There's no friend of yours. In accordance with Article 233, a representative shall lose his right to speak on this item of the agenda. Sljj. is a colleague of Tomislav Sokol on behalf of the HDZ Representatives Club. Here you go, fellow Falcon.
ParlaMint-HR_2019-01-23-0.u125148	Thank you very much, Mr. Vice President, Madam Secretary of State, Madam Director, colleagues and colleagues. We have before us the final proposal of the Mark Act. And that's one law that, as far as I understand more or less, there's a consensus in the Parliament which certainly isn't good, it's not bad, it's good that it's not bad, it's certainly good that there are other situations like that. So stamp, eng. the trademark as an intellectual property right shall be protected by signs identifying products or services in order to distinguish between products or services of certain undertakings on the market. Legal protection by means of a brand mark which companies distinguish from their products or services on the market is extremely important for the economy since, in addition to this basic function of the brand which enables the consumer to identify products or services that meet its needs or expectations, that is, the source of such a product or service mark can also serve as a guarantee of quality, or as a means of competition between undertakings. So the stamp is extremely important both for the economy and for the entrepreneurs, but also for consumers because, in fact, through the stamp and its kind of expanded meaning, they actually know and are aware of what they are buying, what they are using, and that is why it is extremely important that these rules be clear so that there are no confusions in this regard. The protection and appropriate commercial use of stamps can contribute to the competitiveness of companies, i.e. to increase its market share and serve as a symbol of the reputability of the company’s reputation, i.e. its products and services on the market. The importance of trademark protection for the economy shows the results of a study by the European Patent Office and the EU Intellectual Property Office. So this 2016 study shows that in the EU, the segment of the economy that intensively uses trademark protection contributes to the total national gross product on average by 35.9%. So these are these companies that are intensively benefiting from the brand for these purposes that we cited. While at national level in Croatia this percentage is more than the European average, which may not be so common in some other sectors, means a segment that intensively uses brand protection contributes to the total national gross production of the Republic of Croatia by 36.5%. In addition to that segment of the economy which uses intensive brand protection, the share of 21.2% of total EU employment, or 20.7% at national level in the Republic of Croatia, has a share of 21.2%. So it's a law that has a strong impact on a very significant part of the economy. As already mentioned, the EU trade mark protection system includes 2 levels. It is therefore one unitary protection with the EU trade mark of a unique character to be applied in all Member States when it is approved and protected through national trade marks valid on the territory of a Member State under its national law. In the Republic of Croatia, therefore, the system of national protection of stamps governed by the Mark Act, which was passed since 2003 and in the meantime had as much as 6 amendments and additions, which also shows according to the Croatian Parliament's nomotechnical rules that it is necessary to access the new law as the Government has done and as we have seen in the first reading. So this is about a law that regulates the national aspects of the international trade mark registration system based on the so-called so-called ". The Madrid system under the auspices of the World Intellectual Property Organisation and of course the national aspects of trademark protection. The European Commission's analysis highlighted the problems facing businesses in the practice of applying the current EU legal framework and the existing national legal framework in the field of trademark protection following their incomplete harmonisation. This applies, in particular, to procedural rules relating to the registration and maintenance of the trade mark, the inequality or lack of rules relating to the registration and protection of common and guaranteed trade marks, as well as the lack of an adequate legal framework for the protection of traditional terms for wines, traditional specialties guaranteed, and the geographical indication of origin and designation of origin from the unauthorised registration of the mark, which is one of the most important things related to this law, which I will refer to in the end. The existing legal framework also does not provide adequate legal protection for rightholders and trade marks or for counterfeit goods located in transit through EU territory and for preparations related to the use or packaging of products by unauthorised use of the trade mark. In addition to that technological development and the placement of products and services of companies on the global market, it requires adequate development of the availability of IT tools and the harmonisation of the legal framework for the protection of stamps with new technological opportunities to display stamps, new means of delivery of evidence that enables businesses to register faster and more effectively with the protection of trade marks in national, regional and international brand protection systems. In other words, it is necessary to adapt itself, the rules on the branding of new circumstances, meaning different ways of showing it that no longer must be the classic, graphic as it has been so far, and certainly it is necessary to make it as easy as possible for entrepreneurs to be as burdened as possible by the already regulated European legal system as possible. For those reasons, Directive 2015/2436 on the harmonisation of the laws of the Member States relating to stamps has been adopted at EU level. The adoption of the Directive has implemented an appropriate reform of the EU trade mark system in terms of its modernisation and improved mutual coherence between unitarity and the national system. It means European legislation with a common European mark and this national system that regulates the registration of stamps at national level. Before its adoption it was found to be important... the limited part-cycle of harmonisation achieved by Directive 2008/95 and the extension of the harmonisation to other spectrum of material rights on stamps protected by registration under Regulation (EC) No 207/2009. [[The speaker doesn't understand.]] In order to promote and create a successful internal market and to facilitate the acquisition and protection of EU trade marks in favour of the growth of European companies' competitiveness, in particular SMEs. So this is what is of paramount importance, meaning that stamps have great importance for companies in the market competition for their visibility, which is of course important, when they compete with other companies and companies from other parts of the world, of course, that this process of protection of intellectual property is as simple as it is because of pre-regulation, which the EU sometimes tends to be, are not put in a difficult position with regard to competitors from the US, China, etc., and in particular, I say some countries that do not protect intellectual property, as strictly as the EU does. Furthermore, in order to facilitate the acquisition and application of trade marks registration across the Union, it was necessary to align not only the provisions of material law but also the procedural rules. These are precisely the ones concerning self-registration in order to make it as simple as possible and to represent a smaller administrative burden for entrepreneurs. All final draft legislation aims to improve the system of registration of rights and trade marks in the territory of the Republic of Croatia, the regulation of accessible and clear rules and effective procedures, which will ensure consistency of conduct and consistent with the EU's proper frameworks in this area. In addition to the protection of the trade mark, as already stated, the aim is to provide for those normative solutions, which will enable effective protection from the counterfeiter and rightholder and the brand in which they are protected except for entrepreneurs themselves and consumers, who, by the basis of the stamp, actually decide between which company they will enter into a contract with, from which they will buy some goods, etc. So that recognizability, given by the mark, is of great importance. In relation to the existing Mark Act, the final bill, several important effects are achieved, so the first thing that is important is that the current obligation to remove the sign that is being protected as a mark must be shown graphically, that is what I mentioned, that is, to coordinate now simply with modern technology and modern ways of showing signs that simply no longer have to be, to meet those criteria that were prescribed before, and which actually come from a strict graphic display that no longer in that sense would say... The proposed review will be able to show the stamp in any way that allows competent authorities and the public to determine the correct and clear subject matter of protection by stamping. [[The speaker doesn't understand.]] So the important content is, so it's important that the stamp can be shown in a way that the competent authorities, consumers, can determine whether it's working correctly, means to establish an accurate and clear object of protection, and it's not that important to form itself and it doesn't need to be slaved rigidly in this sense. So, Art. 6 of this final draft law, it is prescribed that the mark may consist of any particular word, including personal names or drawings, letters, figures, colors, product forms or packaging of products or sounds, provided that such characters are suitable for the following. The differentiation of the products or services of one undertaking from the products or services of other undertakings means that consumers could primarily distinguish the products of one entrepreneur from the products of another entrepreneur and display in the register in such a way as to enable the competent authorities and the public to determine the exact and clear subject of the protection provided by the stamp holder. It is therefore important to establish the content of this protection in any way appropriate. Furthermore, it would also point out the second aspect, the second most important aspect of this final draft law, which is to establish an appropriate legal framework for the protection of traditional terms for wines, traditional specialties guaranteed, geographical indications and designations of origin from unauthorized registration by introducing appropriate absolute reasons by refusing to register the mark. That's the way it is. 9th regulation that trade marks which are excluded from registration under EU legislation or international agreements will not be registered, ensuring the protection of traditional terms for wine. Marks excluded from registration in accordance with EU legislation or international agreements ensuring protection of traditional specialties guaranteed. For these reasons, the State intellectual property office is kept under official duty. So this job is important in the context of the Croatian economy. So we know that the protection of traditional products and, in general, the food industry is of strategic importance and recognised ultimately in the Republic of Croatia as such and as a strategy of smart specialisation. So the production of early traditional specialties is then one where Croatia can have a cumulative advantage over businesses and producers of other EU Member States and this is the area we really need to protect both in every way and in this sense have an adequate legal framework and therefore this change that the law adopts is extremely important. ... Food and drink has a significant share in the Croatian economy and reputations as the most powerful producer activity according to the incomes achieved and the number of employees. [[The speaker doesn't understand.]] Although the share of total revenues is lower than in other industrial activities, compared with other EU Member States, the share of the food processing industry in the total amount of goods is among the highest. So this once again illustrates this importance to this particular segment of the Croatian industry and the Croatian economy and therefore needs a legal framework that will adequately protect intellectual property in that segment. It's something that makes this law of exceptional importance and I believe our producers, our OPGs and everyone else who actually participates in this production process will feel it. And in the end, we would certainly praise the simplification of the more gradual rules, we know that the EU, prone to sometimes, may be re-regulating certain things, especially when we compare ourselves with the US, I still remember those stories and the reports on the regulation of the longest length, the maximum length of cucumbers, which was a lot of comments and snooze etc. And that is why every regulation that the EU makes, which simplifies procedures, reduces the administrative burden and burden of the legal framework on entrepreneurs, especially small and medium-sized, is something that needs to be welcomed. And in that sense, I think that this law, which implements adequate European regulations, achieves that goal and for all of these reasons, the HDZ Club will support it. Thank you.
ParlaMint-HR_2019-01-23-0.u125149	Thank you. This concludes the debates on behalf of the Club of Representatives, we have applications for two individual debates, is the first colleague Vesna Bedeković, please.
ParlaMint-HR_2019-01-23-0.u125150	Thank you very much, Mr. Vice President of the Croatian Parliament. My respects to Ms. Secretary of State. Ramljak, director of the State Institute for Intellectual Property and certainly her associate. So here, as fellow Sokol, so nicely, systematically explained and explained this Law, I will not add much, but here I will repeat some, here, points of this Law which I think need to be further emphasized, in order, among other things, to highlight, therefore, the good structure of this Law, therefore, and all that will be achieved by law or practice. Here, as it is said, therefore, the basic subject of this Act is the mark, such as, therefore, the exclusive right recognised on a sign that serves to distinguish the product or services of one of the other persons, and, of course, the mark protects itself, both the name, the logo, any album, the label or any other different characteristics of the product or services, and the mark itself, as regulated in the Law, is obtained by registration on the basis of the examination carried out by the relevant competent authority, in this case it is in the Republic of the State Institute for Intellectual Property and what, here, is a good, once again, that the basic condition which a mark must be satisfied in order to become at all a mark is that it is different and that it is not similar to any other earlier trade mark, and that is the basic condition that the mark as such can be insisted and thus ensure the owner of the exclusive right to place in the trade of the product or service that the product concerned, in fact, in fact, the means, the means that the means of the means of the protection of the consumer, that the means of the means of the consumer and the means of the means of the product. And I also find it important to point out that it is precisely by protecting the very creation or design of a sign or logo or some label that can represent an authorial work, that it is protected by copyright, which is therefore ultimately protected by the self-interest of the author and is in this sense branded as the right of intellectual property, shields and signs which mark products or services for their differentiation, and then differentiation of individual companies and economic operators on the market. It is already said that in the Republic of Croatia this issue was first regulated in 2003, therefore, when the first Mark Act was passed which, during the time, up to, today, had some 5 amendments and, well, because of the scope of the new amendments, we are going to go to the new Law, and not to another one in a series of amendments, thus making it easier to adopt this Act, in fact, to use the trademark protection system for its users, and as I said, firstly, to the owners and in that sense, it is important, therefore, to repeat once again the basic objectives of this Law, which is primarily to improve the system's registration and protection of the rights of trade marks, first of all to the territory of the Republic of Croatia, and then to ensure the complementarity of this system, therefore, our national protection of trades with EU-level systems, and of course, in this law and this respect of some regulations in the EU, first of all with the 2015. Of course, what is important is to point out once again that this Law establishes an appropriate legal framework and legal protection, which is, as well as a colleague who spoke on behalf of the HDZ Club in particular, which is the legal framework of protection, above all, the traditional terms of our wines for some of our guaranteed traditional specialities and for the designation of geographical origin or designation of origin, therefore, of course, that is important, what is important is to be pointed out precisely when it comes to our entrepreneurs, our owners of family agricultural holdings in our territory or in the territory of the Republic, both in national frameworks and through the whole territory of the EU, precisely because the rightholders and the stamps are given appropriate legal protection in relation to counterfeit goods that can be found in transit through the EU territory, and of course all these will be further improved in the system of registration and protection of rights on the mark, the system will be made more accessible and what I think is particularly important, in this way that the legal framework will ensure that the legal and that the protection of the EU will be established in accordance with the law and that the legal framework in order and that the security of the EU. And, of course, as a consequence, we have the assurance of the complementarity of the national protection system, the protection of trade marks in the EU and international transport. What may still be important to highlight here, and here, to underline, that the law does not introduce any new procedures, nor new obligations for our businesses, but rather, makes it easier for them to apply the cereals protection system, therefore, in business and, of course, to say, that the law does not introduce any new fees, nor any new fees, nor changes that would require the adjustment of business and related additional costs for our businesses and, of course, that positive effects on the business of economic operators are expected in that sense, as well as on competition due to the right to equalise the conditions for and maintain and protect the rights from the stamp is whether, of course, a positive impact on the greater legal certainty and competitiveness of our businesses both on the domestic market and, of course, we all need to be aware that this is stronger and competitive, and of course, the competitiveness of course, on the growth and on the labour market. Thank you very much.
ParlaMint-HR_2019-01-23-0.u125151	Thank you. We have three replicas on your exhibit. The first one's a colleague, Sagar. Here you go.
ParlaMint-HR_2019-01-23-0.u125152	Thank you, Vice-President of the Croatian Parliament, dear colleague Bedeković, since you have spent your entire professional life in the system of science and education, you have been through all aspects of this education from secondary school to higher education and since you were a dean, I would like to ask you what you think is sufficient attention in the education system on this issue exclusively from the point of view of the economic advantages that this law brings. Is the process of recognising copyright from stamp patents is actually a complex process, whether our students are getting enough knowledge about it and should, should we do some additional steps in this direction to bring this process closer to people because many innovators have these problems, I have noticed, have ideas, have all, but do not know how to materialize to express myself so.
ParlaMint-HR_2019-01-23-0.u125153	Here's an answer to the replica.
ParlaMint-HR_2019-01-23-0.u125154	Well, dear fellow thank you for this question, of course, that this question is relevant and how especially for our students, especially those who study on those study programmes that are related to entrepreneurship for so far, their future professional orientation for employment in economic operators, and even more on self-employment and of course information on this issue depends on which study programmes they study. So, if they are in the area of economy through individual colleges are well informed about this, but in some study programmes of these contents there is not enough and of course there is not enough and I agree with you that it is important and important for our young people, therefore, in time to inform about everything in the labour market, and in particular about ways in which they can protect their copyright and their patents, and I believe that Croatia is a country of valuable, hardworking, young, talented people who need to be supported in this area.
ParlaMint-HR_2019-01-23-0.u125155	Thank you. The replica of my colleague Maras.
ParlaMint-HR_2019-01-23-0.u125156	Thank you very much, colleague Bedeković this topic is of great importance, especially for small and medium-sized enterprises, what is particularly interesting is our position in the EU or the position of small and medium-sized enterprises whether this common market can in some way benefit them in going out and on the world market. So on this side, the question of registration is how to register your product, how to mark it where it is produced, and now I'm interested in your opinion that you think that certain things that are geographically important to Croatia or specific, and on the other hand, it's probably more interesting for some of our producers in high-tech industries to be registered under European auspices or community of countries, so there is also a way to find space in one and the other. What's interesting about companies? [[Intruder: Thank you.]]
ParlaMint-HR_2019-01-23-0.u125157	Thank you. Here's your answer.
ParlaMint-HR_2019-01-23-0.u125158	I'm not sure I've understood your question to the end specifically because you've explained it extensively and inexplicably, but I hope to guess, therefore, to answer what you wanted to ask. In any case, for our small and medium-sized entrepreneurs, it was for them to target the domestic market nationalally, whether targeted on a foreign market, it was necessary to create legal assumptions that the simpler, easier, faster, more efficient and the more effective way to protect their products and protect Croatian originality, both on the domestic market and on the EU market, and of course on the international market outside EU territory. Was that what you wanted to ask me?
