ParlaMint-NO_1999-12-07.ana.ud560e97	The representative of Terje Johansen, who has been on leave, has once again taken his seat.
ParlaMint-NO_1999-12-07.ana.ud560e1049	The budgetary agreement between the central government and the Labour Party leads to a better distribution policy and more money for the local government sector. Increasing the availability of revenue will give local politicians greater power to give priority to a tight budget in the municipalities. If we had once again received a government budget with a strong influence from the Right and the Advance Party, we would have a weak community economy, and we would have had a greater inequality between people, unless we were well-being in the municipal sector. The most important thing that can be done in relation to the 2000 budget is to smooth out the differences and adopt a budget that ensures higher employment, lower interest rates and the implementation of a more equitable taxation. These three areas are important for the Labour Party's policy in the future, and that policy must be pursued. The ageing rate in the municipal sector is important. Statistics show that the number of older people will increase sharply in the future. In 2020, there are more than 1.2 million people over 60 years of age. These developments result in an increase in the number of older and fewer economically active people in the country. This will lead to an increasing need for care and care services, and will make it necessary to strengthen public confidence. The number of population aged over 80 is an important indicator of the need for care for the elderly. And in the planning context, it is therefore important that developments in this population group are carefully analysed. The aim of the elderly effort is for municipalities to develop holistic services that can be easily adapted to different needs of the population and of the individual user. This should ensure that municipalities should give priority to the weak links in the action chain. In a number of municipalities, it may appear that a rather bet on more of what you already have than to make offers that they lack. In the future, it is therefore important that municipalities assess what kind of services you need to establish in order to have a good enough total supply of care for the elderly. The challenge for local politicians in the future must be that one can create a varied and flexible service provision in the care and care services sector. We need to have a care chain that covers everything from a few hours of help in the home to nursing homes or other boutes, more institutional places in nursing homes and an extension of care services to full-time care and one to those who want it. I am pleased that the elderly effort will also be followed up in the government budget for next year, and that the Committee has comments on this. We must not forget that a major goal for the elderly is that they should live in their own homes for as long as possible. This is often the best offer for the elderly to thrive and stay healthy. Measures that I believe may be useful in that respect include a number of day-care services and various preventive measures, a variety of activities, a variety of short-term spaces and provision of rehabilitation, unloading and other services for relatives and the provision of homes with special problems. I then think of older people who may have had some behavioral difficulties due to aging, and who may be difficult to deal with for their relatives. The community economy and the operation of the elderly care system are two factors that are inextricably linked to each other. The major challenges for municipalities, therefore, will be to provide care for the elderly in a good way within the financial framework that is being provided. It is also absolutely crucial that a person can provide sufficient and appropriate staff. I would like to point out some areas that concern health professionals, which I hope the Minister for the Interior will take with me: it is that a secure financial framework for operations so that anyone who needs help can get it, regardless of the type of housing or the municipality in which they live. One must recruit enough staff at a time of increasing needs and of failing recruitment to the professional care professions. One also needs to stimulate the provision of a wide range of services to care for the elderly in the future with a highly multidisciplinary professional environment. This seniorization is just a little over two years since we got started. So there's a lot that can happen in the future, which is clear from the plantations of the municipalities. Many municipalities will still make choices that have a significant impact on the population in the future, and so there should be many interesting discussions and exciting planning processes in the future. However, it is also absolutely necessary that the municipal sector should have a framework from the state with which the municipalities can live, which can provide the provision for the elderly that the Stortinget has told them to do.
ParlaMint-NO_1999-12-07.ana.ud560e1078	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-12-07.ana.ud560e1081	In the government’s budget line, the disabled are a priority target group. Over the last few years, we have stepped up efforts towards people with disabilities, and in the 2000 budget proposal we have proposed to continue this effort. I am pleased that the Committee is joining this priority. I still need to comment on some points in the setting. The Committee stresses the importance of improving and simplifying measures in relation to the disabled. I would like to refer here to the work we have undertaken to review the structure of measures for both ordinary and disabled workers with a view to simplification. The starting point for work is the needs of users and that, by making use of resources, we are able to get the most jobseekers into an active situation in work or education. Work on the review of the structure of measures needs to be based on comprehensive analyses and careful reflections and will therefore need to take some time. The Committee also states that some aid rates over many years have not been adjusted in line with real cost developments and recommends increasing rates in order to provide real cost coverage. The Government is concerned that the measures are designed to meet the needs of users and contribute to a successful transition to and integration into normal working life. In my opinion, the rates of aid are essentially adapted to such an objective. I would also like to point out that if one or more aid rates are raised, this would have to be at the expense of the number of job-impaired areas of action. In my opinion, it would be undesirable to reduce the provision of action places for people with disabilities. I would also like to point out that it will be difficult to implement substantial changes in the rates of aid from the turn of the year. The Department's instructions to the Directorate of Labour on the implementation of labour market policy for next year will therefore be based on the current year's rates of aid with a normal price adjustment. However, I would like to ask the Directorate of Labour to review the rates of aid and, if necessary, to adjust them. In the work undertaken to simplify the structure of measures, it will also be appropriate to assess the rates of aid and, of course, the Ministry will have to keep up with the implementation of labour market policies and deal with any problems that may arise in this context.
ParlaMint-NO_1999-12-07.ana.ud560e1094	It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e1097	I want to get back to the plot at the old Rikshospital. Here, the government has an opportunity to rule politically to solve some of the housing problems for young and disadvantaged people in Oslo, but instead, state council says that it is the municipalities that are going to facilitate land use and housing plans. The State Council responsible for housing Enoksen therefore shifts responsibility for the sale of land by Stadsbygs at the Rikshospitale to the State Council. This is not how the Government can do it. It is not only political denial of the grip in relation to housing, it is also disclaimer of responsibility. The government is taking the market price. How can we ask the municipalities not to do so? It is necessary for the State to set a good example – then we can require some of the municipalities, both in terms of plans and reasonable plots. Don't you see?
ParlaMint-NO_1999-12-07.ana.ud560e1102	Of course, municipalities have primary responsibility for facilitating housing, which the Danish Council of State, Mr Enoksen, pointed out earlier today. At the same time, the State has tried to be helpful in some of the contexts of state property. After the representative Sylvia Brustad asked me a question in the oral questionnaire, I went back to my department and looked at what had been done, and what we could possibly do about Pilestredet Park. It turns out that property which has been regulated for dwellings by municipal authorities has been sold by Stadsbyggen to dwellings. The task of state-building is primarily to manage and acquire state property for public use, which we still still need in the Oslo region, and of course we are trying to run long-term planning. In the case of Pilestredet Park directly, the sales process has come too far until we can reverse it, so to speak, it is finished in these days. We also have a disposal instructions adopted at kgl. Resolution and subject to which State Buildings have also been subject in this sales process. The last is that the sale of the properties in Pilestredet Park, which is now to be sold, is also included in the budget as a source of income. So it's a little late to do something about exactly these properties. But we're still going to try to be helpful to the extent that we can. I would also like to refer to the housing committee that will be set up from 1 January, where we might be able to take some overall action.
ParlaMint-NO_1999-12-07.ana.ud560e1111	It concerns ASVO sites. I have received a number of enquiries from municipalities that believe that they have a sub-recovery here and need to get more of that type of space in their municipality. This is something the municipalities have to apply for, among other things. the county employment office, and it has been a serious problem for many municipalities that they have at last not been able to get the funds to create perhaps 5-20 of the places that I am referring to here. This is a type of place that is very important to those concerned. Here it is often about people who may never be able to function and get into normal work. For my part, I would be happy if the Council of State could promise to attend when questions are asked from the interlocutory office whether there is a possibility of doing something about the undercoverage that exists in relation to this type of job, ASVO workplaces. I think that, as I said, there is a great need, and the information I have from several municipalities suggests that in some municipalities it is rather precarious. Some have contacted me for a longer time and are unsure that they do not receive state subsidies to create this type of place.
ParlaMint-NO_1999-12-07.ana.ud560e1118	Several locations are requested within ASVO companies. There have also been indications from the Committee that there is a desire for an increase in labour market enterprise rates. We're looking for a comprehensive, flexible offer from the Department for those who need it. We're not in the department per. Today, there are problems with getting more places, and the department has also not reported to the department that there are problems in implementing the action activity within the ASVO companies. I would like to point out – as I also said in my article – that we are now going to review the entire action structure once again. What I am concerned about is that the measures we have at all times should be flexible, simple and adapted to users as much as possible. We're going to try to make an improvement, and this is the goal we have.
ParlaMint-NO_1999-12-07.ana.ud560e1127	A joint note from the Progress Party and the Right points to the fact that disability rates continue to increase and that unemployment among people with disabilities does not show particularly positive developments despite the efforts made through the workline and despite other labour market measures. It points to the possibility of reorganisation, where you can also imagine bringing in other operators in relation to these special groups. I would like to ask the Council of State: although private employment services are now going to be allowed, does the Council of State have a fundamental counter-representation in setting aside such tasks and bringing other actors into this work?
ParlaMint-NO_1999-12-07.ana.ud560e1134	In the case of disabled people at work and on measures, we have had a measure in the labour market set of at least 75 pst. of the disabled at all times must be in action, which we have also been able to achieve. We've also said that at least 50 pst. will move to active solutions after recycling, and it is also a measure that we have managed to maintain. In other words, we think that we have done a relatively good job, but it can probably never be good enough. So to this with private actors. It is true that we have an embellishment on the stairs – the case is dealt with in Stortinget – in terms of private placement and private hiring of labour. We have not decided by the Department whether to privatise this part of the labour market. I cannot therefore answer that directly to the representative either. In that case, it would have to lead to a more detailed discussion. It's communication and rental we've been thinking about privatizing in this round.
ParlaMint-NO_1999-12-07.ana.ud560e1141	First of all, housing policy, which is an important theme: does the Council of State think that the Government has an offensive enough attitude towards housing policy? It seems that it has not thought through how to use the land and property of the state to solve one of the most precarious problems we have, namely the lack of land, and then land where people want to live. There may also be reason to remind the Workers' Party that there is a proposal from the SV in the municipal setting, which they – after this they have run as they have against the Government at this point – should consider supporting. We have a proposal that just goes on how to use the land and property assets of the state to promote investment in both permanent and temporary dwellings. One of the major challenges in the future is how we can have a pay and employer policy in the municipal sector in particular, which will enable us to manage our reforms. So one of the points is that we have to have a good paycheck in the future. So far, the government and the majority of the population have compensated for the krone wage settlements carried out in the state sector, while the municipal settlements have not been compensated in the same way – on the contrary, there has been a gap of over one billion dollars. Not even the pay bill implemented by the State, e.g. teachers’ settlement, has been compensated in the local government sector. It has put the municipalities in a very difficult situation, where they have to cut teaching and put on the prostheses in relation to kindergartens, i.e. cut off services for the population to finance the necessary wage settlement. Does the Council of State now see the need for a new policy in this area, so as to eliminate this unfair discrimination between state and municipal activities and to compensate for wage settlements in the same way both in the state and in the municipal sectors?
ParlaMint-NO_1999-12-07.ana.ud560e1152	With regard to housing policy and the issue of whether the Government has an offensive enough attitude, there may be a lot of opinions from representatives about it. In any case, I would like to point out once again that we are setting up a housing committee where we are of course going to try to take a comprehensive approach to housing policy, and we are also working on housing policy by the Government. As far as my responsibilities as the Council of State and the management of state properties managed by State Buildings are concerned, they are not primarily managed for the purpose of housing. They are used for public purposes — whether the ministry needs office space or hospitals and colleges. We actually have some unmet needs also within the public sector, and that's what the state's properties are primarily going to do. So I said in one of my previous posts that very many of the state's properties that are regulated into residential property, we've actually sold out. That doesn't mean we don't have to worry about whether it's still possible to do it in the future. As far as staffing is concerned, it is clear that we have major problems related to recruitment there, and we also have major challenges related to salary-setting, which are imminent. I am very pleased that we have the Arntsen Committee and have got commitments from the social partners that the framework has been laid for the settlement.
ParlaMint-NO_1999-12-07.ana.ud560e1167	The Labour Party has increased labour market measures by almost 50 pst through the budget agreement. We believe that this was necessary because the forecasts indicate that the unemployment rate will increase, and that we have received a doubling of the number of people who have left off only in the last year. My question to the Council of State is: Does the Council of State think that it is the level that is now being adopted, 11,000 on measures, which is the appropriate and necessary level to meet the increasing unemployment, or does the Council of State consider that it is the level at which the Government provided, which is sufficient and correct? I expect the Council of State has noticed that a unanimous committee, including the government parties, believes that in the context of the psychiatry reform there will be a need for many more places in the ASVO and labour market companies, and asks the Government to return to this in an appropriate way. There must be a misunderstanding when the Council of State does not know that there is a need for ASVO sites outside the municipalities. We're getting a lot of enquiries about that. Then I would like to ask: how and when will the Council follow up this majority remark? Does the Minister share the Committee's view that, in the context of psychiatry reform, there is a need for many more places in ASVO companies and labour market enterprises? As far as the State Council is concerned, in its statement that substantial changes in the rates of aid, as mentioned in the suspension, will go beyond the number of places, my advice is to the Council of State: Remember that there is something called the revised national budget.
ParlaMint-NO_1999-12-07.ana.ud560e1181	On the first question, I would just like to refer to the Government's budget, where it is said that in terms of labour market measures, there will in any case be a return to the revised national budget, and there will be careful monitoring of developments in the development of the labour market. We will also do so with the level of action included in the agreement. We'll have to do it at any time. None of us know exactly if that's enough, neither what we had, nor what's now here. With regard to the future psychiatry reform and needs, there is no doubt, and I agree with the representative that there is a need for more actions related to this group. It is also one of the reasons why the Government of the Cohesion Communication has provided a number of new measures, including: wage and salary subsidies for a number of vulnerable groups for longer periods, and the combination of measures and social security in a different and better way than in the past through some trials. With regard to the measures to be taken, we will also need to assess and evaluate, as we have also written in the budget, which measures are most appropriate for the different groups. So when the evaluation we're going to do, and not least the overall review we're going to have, is done, we're going to know exactly what we're going to go for in a slightly longer-term perspective. This does not mean that we are not going to come back to Stortinget as soon as we can review the need for action sites specifically aimed at ASVO companies, but the large, comprehensive review I cannot promise to make until we have carried out such an evaluation.
ParlaMint-NO_1999-12-07.ana.ud560e1190	So the chord change is over.
ParlaMint-NO_1999-12-07.ana.ud560e1193	As presented both by the financial setting and by the budget setting of the Municipal Committee, the Stortinget has joined the Government's proposal to change the geographical areas of activity for differentiated employer fees. With the changes and the currently notified scheme, a differentiated employer’s fee can be identified as an EEA legal instrument, which can still be used as part of national, regional and district policies. However, the change adopted will result in business and local authorities in 14 municipalities that have received a higher tax after the adjustment have incurred unexpected expenditures of around 245 million. kr on an annual basis. Particular attention should be paid to the fact that the employer’s side of these municipalities has not been able to adapt to a higher level of fees. This increase not only happens to the private sector, but also to the municipal sector as an employer. The government wrote in St. pp. No 1 on the Tax, Tax and Customs Decision that a higher employer’s fee will lead to an increase in labour costs in some municipalities, and that the Government states that this should be taken into account in the allocation of clientele over the municipal income system. I mean, budget-inner. S. No 1 for 1999-2000, the majority of the Committee, all the non-participants in the Progress Party, the Right and the Left Party, will ask the following: ‘The majority ask the Government of the Revised National Budget to make proposals for various compensation measures to improve infrastructure, enhance local business skills and promote regional development as part of a shift towards a higher charge. The local economy must also be followed up. On this basis, the majority will join the Government’s proposal.’ In the case of the additional wage costs in the municipal sector, the majority of the Stortinget Government shares the view that this must be compensated in an appropriate way and, in my opinion, so that the municipalities in question, in a letter from the Ministry, are familiar with the compensation, so that the municipality can take account of it in the context of the budgetary work for the year 2000. As this is a particularly important matter to clarify now and get familiar with the 14 municipalities it is owed, I ask the Council of State to confirm how well to orient the municipalities, and what economic scope it is said to compensate for when it applies to the calendar year 2000.
ParlaMint-NO_1999-12-07.ana.ud560e1213	Will the income system for municipalities and counties ever be fair? I'm afraid there will be more than two answers to that question. I have noted that someone in this room is discussing fair distribution on the basis of the profit principle. It is believed that areas in our country that contribute to the export of goods have earned huge transfers from the state. The size has for a long time left business in the areas of our country that contribute particularly to value creation through exports. These include: measures such as freight subsidies and differentiated employer fees. This has been necessary to maintain such activities in many places. The differentiated employer’s fee also benefits many municipalities – not so that they run some kinds of exports, but 60-70 pst. expenditure in municipal activities is paid. Reduced employer charges will therefore have a major impact on the business. In the Rattsø Committee sub-position 1: ‘The differentiated employer’s fee may be the main source of differences in compensation of employees between municipalities and counties, and a high employer’s fee is considered to be an involuntary cost disadvantage for each municipality and county.’ From this point of view, a differentiated employer’s fee should not contribute to different standards of municipal and county services. It is therefore right to compensate for this difference through the cost equalization. The Rattsø Committee chose not to take this into account in its proposal, based on regional policy considerations. Justice does not increase for that reason. The effect of a reduced employer’s fee on municipal activities must be made visible and included in the cost equalisation. The second relationship that contributes to the unfair distribution of funds to municipalities and counties is the loss compensation. The municipalities and county councils designated as ‘Rattsø winners’ are receiving increasing annual reductions in the population grant as a result of contributions to the increasing loss compensation. Here Stortinget has done one too bad job, or we should say that we have not completed the job. 12 municipalities in Akershus and 14 out of 15 municipalities in Vestfold are thus net contributors to the loss compensation. The amount of the Westfold municipalities corresponds to the cost of paying, for example: 200 teachers. If the employer’s fee had been abolished, 30 more teachers could have been added for the same sum. There will be no basis for equivalent public services with such schemes. In our eagerness to stop the movement flow from the districts, we must not forget our responsibility for those who have already moved.
ParlaMint-NO_1999-12-07.ana.ud560e1229	The municipal economy is important for everyone. The economy of the municipality that each of us lives in is crucial to many things in our everyday lives. I am therefore pleased that the Labour Party and the Government agreed on a budgetary agreement that strengthens the local economy significantly in relation to the original government budget proposal. In the health sector, the Stortinget has adopted multi-sectoral escalation plans, to be followed up and implemented in municipalities and counties. Both the Action Plan for the Disabled and the Psychiatric Surgery Surgery Programme emphasises the importance of being at work. There is a link between labour income and living standards, and it is important for the individual's self-esteem to participate in the community at work. We are very pleased that the Government has followed up the intention of the psychiatry escalation plan by adding a total of 27 million. D on the Ministry of Labour and Administration's budget for the strengthening of the work of the State of Labour for people with mental health problems, and that EUR 18 million. the amount under State measures is allocated to the strengthening of labour market measures over the budget of the Ministry of Labour and Administration, as referred to in the chapter of the budget of the Ministry of Health and Social Affairs for the year 2000. In order for people with mental disorders to be able to work, there is a need to make some effort in the systems that exist, and new models need to be developed. In this context, the Fontenehus model, known from the United States and Sweden, can be mentioned. The model is described in the settings of the psychiatry escalating plan. The Fontenehuset organises, among others. a transitional work. Transitional work is a model where work has been agreed on in ordinary enterprises for people who have a disease that makes them unstable. This gives them the opportunity to work, and when they are unable to meet, another person comes to work. In this way, the employer may also have the security to carry out the work, and for those people who need this work, a job will be created through this model. I am pleased that a consultation note is being drafted with proposals for longer-term wage subsidies for people with disabilities, who have variable working capacity and have no prospect of prompt improvement as a result of muscle pain or mental illness. The possibility of a grant scheme for employers for temporary reductions in the working capacity of employees is necessary for this to be implemented. I would also like to mention ASVO and AMB companies, which have experience and competence in developing work adapted to people who, for various reasons, have reduced their working capacity. It would be sensible to develop specifically adapted work in these enterprises. I am pleased with the signals given by the minister here, and hope that we will also receive further signals about such new models.
ParlaMint-NO_1999-12-07.ana.ud560e1246	It's said that some people are so impulsive that they don't know what they're saying until they hear themselves say it. It must be worse if people don't know what they're saying before they hear the Party of Advancement say it! I have to say I fell asleep today when Lodve Solholm went up to the pulpit and said that I had said that we can't turn the moving power around, and that we can't stop the moving power. In these days, there's a series on children's TV about the blizzards. One of the niches is called Twin. He's born backwards, and that means he's talking backwards, but it seems to go smoothly in the bluetongue world. But in the political world, I think the language is very important. This does not apply to the same rules for mathematics and Norwegian. In mathematics, we know that the order of the factors doesn't matter; in Norwegian, on the other hand, it's very important in what order the words come in. I believe that today I have said it this way: If we can't stop, we can't turn around, we have to brake at least. I support myself all the way to the State Council's interpretation, where he indicates that we take this step by step: we brake, we stop, we turn. And so I would like to make a small rejection of a serious accusation from the SV representative Karin Andersen, who claimed that I did not take the problems of the employer's fee seriously. I referred to the problems that many municipalities have experienced, and I referred to the joint comment of the government parties and the Labour Party in the budget position, but I brought with me another sentence that has not been included in the budget position, where I stressed that the municipal economy must be followed up with those municipalities. I believe that it is taking the matter seriously, and I really demand to be taken seriously when I speak from this pulpit. The EEA has given us many challenges. Many have asked if we have sold our fish too expensive. All things, however, have several sides. The EEA may have saved us from EU membership, which would have been the worst option. For the Central Party, self-determination and local self-government are very important; however, I think international commitments and international cooperation are also very important in important areas. The EU is a top bureaucratic, heavy-duty and costly system. I expect that the system over time breaks down by its own weight. In the meantime, it is important for the Centre Party to keep Norway outside the EU and to find the best possible political and practical solutions to the restrictions that the EEA imposes on us. I am not in doubt that the Government we have now has shown, and will still show, that it is able to govern in this difficult waters. The best thing we can have in this situation, after all, is a no-regiering, which we have today.
ParlaMint-NO_1999-12-07.ana.ud560e1259	It could have been a bit tempting to start with the last post here, but I should rather assume that the Council of State Enoxsen is a happy boy. He said several times in his post that he was pleased with several of the points on which the centre parties in Stortinget and the Workers' Party have agreed. There are completely new tones in the Central Party and the Municipal Economy. It was in the mention of the local economy that the main criticism of the previous government was perhaps made – when Enoxen was a general representative of the big business and the Central Party here in Stortinget stated how bad it was in Kommune-Norge and about the blessing it would be for Kommune-Norge if you just got a government change. But it has well been as the representative Kvalbukt now said: First they have slowed down, then they have stopped, and then they have turned around – in terms of the municipal economy. For while the criticism was strong against the Workers' Party earlier, after the change of government, it has actually gone in such a way that the deficit has increased and the debt has increased as the central government has cooperated with the Right Party and the Advance Party. But now they've turned around. That's why there's a good reason why the Council of State, Enoxen, is to be a happy boy. There is good reason for a government council that has received NOK 1 billion more to spend on the municipal sector than what he and his government thought was necessary. That's good reason for him to be happy. That's why it's nice that he is, too. So Kaka grew larger than the government thought was necessary for distribution in the municipal sector. But I have to admit, I'm quite as glad as the municipal minister, maybe we're not in the Labour Party, because we'd like to see that the cake was a little bit bigger. But it was now as far as we were able to get in these negotiations. What we were very little pleased about, at least from the financial fraction, was that we didn't get the center of our financial position when we took up the problem of distribution between municipalities. We had there a formulation that, at Storting’s treatment of the municipal economic proposition, we would have a “instant review” of the distribution between municipalities in order to follow up the intentions of the Rattsø Committee. What many people have said here is that some municipalities, not least around Oslofjord – Akershus and Vestfold have been mentioned – come out too badly and now have to get their fair treatment. But we didn't get that comment in the financial position. I am pleased that the centre has been included in a similar note on the budget of the Ministry of Local Affairs, which is being discussed here today. But I wish the Council of State could confirm that the intentions of the Rattsø Committee will be followed up, and I allow myself to ask that question to the Council of State, as I assume that he must come up here anyway when he has received questions from his party trap Jørgen Holte.
ParlaMint-NO_1999-12-07.ana.ud560e1270	I want to comment on some of the things that have been said about housing policy, and especially because we have two government councils here that are both responsible for housing policy in Norway. I feel that, after the article, especially the Swedish Council of State, Davøy has held here, the Government is depriving itself of the responsibility of the Government for the government to also pursue an active housing policy. Several speakers from the Workers' Party have taken up the example of the old National Hospital, which is to become the new Pilestreet Park, where we have proposed that one of the plots, or one of the blocks, be left at a reasonable price to a housing complex and thus converted into rentals for young people. State Council Davøy said that everything would be spent on the highest bid, because the process had come too far. To that I would like to say that it is a while since the Workers' Party first took up this, and it was actually before the bidding round had ended. So the Council of State Deaf said that it would have budgetary effects and was not included in the budget. It is true, of course, that it would have cost the state a few dollars to help some of the young people who can't afford to buy a dwelling in Oslo might have gotten it through this. The government had the opportunity to get through the work on the financial situation, because where the Workers' Party took this up, but there we got no. When it happens that one does not go in for an empty, or a block, at the old rickshospital plot to be reserved for young people, it is going to be the Holmenkol lock on the flatland. This means that the government does not use concrete opportunities to actually offer a reasonable dwelling to those who need it the most. I don't think I'm very wrong if I say that an apartment there on approx. 100 m2 will cost between 2 and 3 million. kr. There are not many young people, and in particular not disadvantaged in the housing market, who have a nubjesjesse to get a living in one of Oslo's most attractive strokes. Therefore, we regret to note that the Government does not act in this context when the Government can act, and that it chooses not to go from talking to practice when it has the opportunity, because here the Government could do something concrete if the Government would. I think that's very regrettable, especially when we know how many problems young people in this town have in getting housing, and when we also know that there are about 7,000 people in this country who don't have a permanent place to live. Finally, let me ask the Council of State Davøy, who said earlier in a reply to me that she will now go through the housing stock on which the State is otherwise sitting, to see if any of it can be transformed into homes for young people: What is the driving plan for that process?
ParlaMint-NO_1999-12-07.ana.ud560e1285	After the last article, I again need to ask the Workers' Party whether it is such that the Workers' Party can imagine supporting proposal No. 2, from SV, which is on page 42, where it says: ‘The government asks the Government to propose how the land and property stock of the country can be actively used to promote increased investment both in permanent and temporary dwellings.’ Now the representative Brustad has been up here and said that the government is not using the possibilities. Isn't it right, if we think they're going to use these possibilities, to propose it? It might also be interesting to know if there had not been a more correct use of the plot area, for example. in Fornebu to convert it into housing, when the situation in the area is as precarious as it is, and not outsourced the area to an activity which in its essence should have been decentralised and spread across the whole country to universities and research environments. So to the differentiated employer fees. I am pleased with Enoch's answer to that question instead. I believe that almost only Enoch has understood the seriousness of the EFTA judgment and of the major changes that are now directly affecting our district policy. The Labour Party makes a point of the minor changes in this matter, i.e. the changes between municipalities – and that is bad enough for those affected. However, the point is that this scheme is only temporarily approved until 2003, and the whole scheme is to be re-notified. Then it's a pretty risky one when the majority won't agree to a proposal that we should get this case up to its fullest width and get in front of us the fundamental changes that the judgment has brought, and that we get to put on the table a case that allows us to find other ways to maintain the level of support and differentiation. I have to say I am a little shocked that the majority has not understood the seriousness of the matter. So how we can recruit and keep enough staff in the municipal sector, which is one of the most important things we should discuss in the future. I record that the Minister of Labour and Administration says that she is pleased that these salary increases are now to be kept within 3.5 p.m., which is the recommendation of the Arntsen Committee. Then I also record that the Minister of Labour and Administration is quite pleased that we are not able to recruit and keep enough people either for the health sector or for school and education. Because that's the bitter reality. There will be a shortage of labour in these sectors, and if it is not that we can then have pay and working conditions that are such that young people can imagine starting in these professions, we will be standing without people to solve these important tasks.
ParlaMint-NO_1999-12-07.ana.ud560e1300	At the end of the debate as rapporteur for Mrs Sametinget, I would like to make a few comments on the matter itself. The merger is the main pre-missive provider for the common policies of the authorities. By decision on the Basic Law § 110a and the approval of international agreements on the rights of indigenous peoples, the Storting has facilitated the self-determination of the Sami population in defined areas. I say this as a comment to Right Sverre J. Hoddevik, who said in his intervention: the attitude of the majority of the committee must be read 'with scepticism of the non-Samian population'. I am going to assume that the Stortinge took the joint law with the greatest seriousness and very consciously in 1987, and that the same was the case when in April 1988 we adopted an addendum to the Basic Law – the Constitution § 110a – and when the Sami population got its velveting in the autumn of 1989. It is regrettable that the Right, by not taking part in natural comments, gives the impression of being in the direction of the Progress Party on co-political issues. For the Workers' Party, it has been important to contribute to the provision of good work opportunities to the Sami groupings in the Sameting, in the same way that we are committed to having it by the party groups in the Stortinget. I am pleased that we have brought with us the government parties on a small increase in the appropriations to improve the economic basis of the work of the political groups in the Sameting. I would also like to ask the Government to ensure that work is continued on the position of the Joint Committee, because there are still more and more issues in the border country regarding indigenous rights with regard to international obligations undertaken by Norway. The representative Sverre J. Hoddevik was involved in such a case in the border country, namely the Mineral Act, which should be clarified in connection with the handling of the suspension of the Samerrechtscommittee.
ParlaMint-NO_1999-12-07.ana.ud560e1309	Actually, I had thought that the last words should have been said a while ago, but Jørgen Holte made an article about the differentiated employer's fee, and I felt the need to add some comments to what was said. In fact, we have tried to find out what the majority actually thinks about the comment it has on the local economy, because the 14 municipalities affected by an increase in the employer's fee are now in the process of budgeting, and the county council has at least said that he does not have money in the discretionary pot, as it stands in the arrangement, to give more than approx. one third of compensation to municipalities in relation to increased expenditure. As the agreement is, one would have hoped from the local authorities that there would be more money. But it has been very difficult to deal with a situation where, for example: Now, before Christmas, there is a need to cut down on activities, which are suddenly brought back into the revised national budget — any changes in school structure, and issues related to kindergartens, which are issues for discussion in municipalities, at least in my home country. I have then tried to find out: what does the majority mean? Is there going to be more money in the revised national budget for municipalities as well? Is there any basis on which the county councillors can grant permission for one to be based on increased judgement compared to one third, or is that not? It has been difficult to get a clear answer as to whether this has been specifically affected in relation to the comments of the majority. I therefore think it would have been nice if the Council of State could now clarify whether the municipalities can expect more money from him and plan from it at an earlier time, or whether one must assume that there is nothing more to come than the money that the county officials are orientated about will come as a beauties, which will therefore mean approx. one-third coverage of the increased expenditure. When you first take the floor, there are always other things you could think of commenting, and after hearing the article from the Labour Party representative Dag Terje Andersen, I have to say that I am not quite sure if I feel that it is equally clear which way the Workers' Party will go in relation to the position of the Rattsø Committee and the follow-up of it, in relation to that, among other things. is not in the position of the Right and Advance Party, where we clearly say that the direction is to remove the loss compensation and to be on the way towards the objectives set for better distribution through objective criteria. I think in many ways that it would have been a little real to give the Council some instructions as to where to go further from that assessment, and not just ask for an open assessment, as I read it from the unanimous proposal for a decision. I'm glad that there are people in the Workers' Party who probably agree more with us than with their own position.
