ParlaMint-NO_1999-03-04-lower.ana.ud2401e37	The representative Sverre J. Hoddevik will present a private legislative proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e636	In § 4–3, which I understand the representative was now concerned about, i.e. what is being adapted to the people's rent, we believe that we have tried to balance that between different reasons that are necessary. I do have the approach to it that there should be little reason for a lessor to cancel a lessee after three years if there is a lessee who has fulfilled its obligations and with which there has been no problem, to say it very simply. But at the same time, it is clear that if there are defaults or other reasons that warrant it, then a lessor must also have the opportunity to ask for a change. We've assessed back and forth many alternatives and opportunities, and that's what we've finally come up with, and I see that there's a majority for. I think this is a balance between two different interests that are somewhat balanced. Should it prove necessary when we have some experience of how this law works, there is an opportunity to make proposals for changes, but I would like this to be tried in practice. I think it's going to work.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e646	Once there is an empty line to the Council of State, I would like to use it. I would like to focus on another remarkableness in this law that has not yet been promoted in the debate. The household admission rule says that without the lessor's consent, tenants can take up their wife or roommates in their household, both their children, as well as their own and their relatives in the straight up and down lines as well as their foster children. These aren't small things. The Progress Party has proposed that it be limited to spouses or cohabitants as well as both children. Why has the ministry not seen the need to clarify certain restrictions here, as this could lead to one or two people renting out to one or two people finally ending up with the multiplicity of people living in their homes? How can the landlord at all reserve itself against this? I would like to know what the department's assessment of this relationship has been, because I see clearly that there may be a practical conflict here in certain situations.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e657	Yes, we have actually outlined a limit on how many family members a tenant can take in without going to the landlord and asking about the law, and I think it is reasonable that someone who rents an apartment will have the opportunity to take in both the wife and the child and possibly her child or his child. As I said, we've limited it to what we normally define as the ‘nearest family’. I don't ignore the fact that the representative may be right that someone can have very large family, but we have taken that chance, and I think most landlords will be able to live with that. Most people don't have so many kids now, so if it were to get both my kids and your kids into such an apartment, I think most landlords will accept it without prior permission.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e662	The cord shift is over. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e667	After a volatile reading of the proposition and setting, there are two things I've attached to. I assume that the majority on page 14 of the vote believes that there is the highest legal rental that can be ‘increased by up to 20 pst. per 1 % years in the first nine years. ‘... So there's another question here, maybe first of all to the Council of State. Let's imagine that a town hall is completely renovated, so that the costs for the owner are very high. The owner will in no way obtain compensation for the renewal costs by applying the rental 20 pst. Under the law of today, the owner will be able to rely on § 3 paragraph. 3, i.e. the exemption from the separate house rental regulation, where this ‘because of special circumstances does not fit the rental relationship. ‘ This derogation is now proposed with the consequence that, as far as I can see, the owner of the house cannot, under any circumstances, increase rent in excess of 20 pst. I would believe that the repeal of § 3 paragraph. 3 could delay urban renewal and reduce extensive renovation of old apartments, as the owner of the house cannot fully offset the costs of higher rents. I want to know if this is a correct perception.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e678	I'm not a lawyer, unlike Fridtjof Frank Gundersen, so I had to confer with a lawyer. But in the case that Fridtjof Frank Gundersen took up, it is that, by full renovation, the entire dwelling goes out of this system, so that the problem that the representative Gundersen addresses will actually not exist, after what I understand.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e683	No more people have asked for the floor on case No. 2nd@item: inlistbox [[Footing, see page 333]]
ParlaMint-NO_1999-03-04-lower.ana.ud2401e697	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that there be a possibility of changing lines of up to three lines with replies after the speeches of main speakers from each party group and after contributions from members of the Government. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. – This is seen as a confirmation.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e706	The proposition we're dealing with now is divided into two. The first part concerns the establishment of a foreign student to deal with complaints under the Foreign Affairs Act. The second part concerns a number of individual changes in the Foreign Affairs Act, some of which are of a technical nature, some are about flexibility and a decoration of the legislation as a result of developments, while some are about direct, clear tightening. This denominator has a long history. A similar proposal was presented in Ot.prp. No 38 for 1995-96 of the then Labour Party Government. At that time, the majority, who were all except the Right Party and the Advance Party, came in for a form of mention, but asked the Government to further clarify what areas of activity should be called, and not least the experience of our neighbouring country. In this proposition, the Government presents two alternatives: a foreign student who deals with all matters, and a refugee student who has a more limited work area. Since the majority are now in favour of foreign education and no one is in favour of refugee education, we have also paid no attention to commenting on a refugee topic. We have chosen a foreign student because we think it will be difficult to define matters, as one has to do with a refugee student. It will be difficult to find out which issues are asylum-related. The pure asylum issues may be clear enough, but it will be difficult to set a limit. In addition, there are many issues that are complex, which have both asylum and other issues. In addition, we believe that there may be a need for such an appeal body for other matters as well. The main reason for having such a name is that we want to strengthen legal certainty for immigrants. A new and independent assessment of the case by a court-like body we think will just do that. And not least emotionally, many of those seeking a stay in Norway will probably feel that they are now getting better legal certainty. This does not mean, of course, that legal certainty is not good today, but we believe that it can be even better. And of course, you'll have the same opportunities to sue matters further in ordinary courts. In addition, we have a reform going on within the administration. The line is that in areas with a large scale of individual cases, they are being treated outside the departments. And there aren't many areas that have the scope of these issues. This means that there will be no authorising authority in individual cases. The exceptions concern issues in which the monitoring service is involved, as well as issues where foreign policy considerations need to be taken into account. But here the majority emphasises that it must be done with caution, and there must be special and weighty considerations behind it. The experience gained from Denmark suggests that a type of denominator with five members can be wise and that the chairman should have experience in the judiciary. The four others shall be appointed, as they are known, by the Ministry of Justice, the Ministry of Foreign Affairs, legal organisations and humanitarian organisations. As far as the last group is concerned, the Labour Party has previously expressed scepticism because there may be a risk that the members will then be perceived as hostages in relation to the individual decisions. But when we now stress that they are not representatives of the humanitarian organisations, but only appointed by them, we believe that the humanitarian organisations can have full coverage, with full integrity to be able to engage, and also make criticisms in individual case decisions. There should be access to personal attendance under the heading, but not an absolute right. It should be something called determining. The majority says that it is of a court-like nature, even though it is an administrative body. The more important the case is for a single person, the easier it should also be to have access to personal encounters. With regard to matters, they will be many, and those of an administrative nature, we cannot see anything in the way of the head of staff being able to delegate to his secretariat. The chairperson must also be able to have a certain authority alone in matters where there are no significant doubts. When it comes to turning negative decisions into positive ones, and it is obvious that such a change can take place, the denominator must be able to do so on his own. He must be able to do the same if a complaint is considered completely unfounded, but here the majority of the committee asks that he be particularly cautious. The majority of the Committee has amended the legislative text of the Government’s proposal to take account of information that could have been submitted in the past. Here, too, the government parties believe that only if it is obvious that the new documents do not amend the decision can the negotiator choose to reject them alone. We in the Workers' Party are pleased about that. Of other changes, many, as I mentioned, are of a technical nature. I don't think I'm going to tire the assembly of going into them. These are some changes that are in fact fully agreed within the Committee – this is the technical one. There is also a consensus within the Committee on non-technical proposals, namely the establishment of the internal organisation of a foreign national. It is also the case today that you can go to custody of people with unknown identity and foreigners to be sent out of the country. The Committee considers it unfortunate that these are in normal prison together with others convicted in criminal cases and believes it is good that we now set up our own institutions for them. There we can get more groups of professionals to take care of the foreigners while they are there. However, there must be the same strictness in assessing the need to preserve them. There is also agreement in the Committee on the amendment of the pension scheme in order to protect non-residents, namely that those who have received a final refusal and do not wish to obtain travel documents must be kept. The purpose of the prison is then to provide them for the home country’s representation in order to obtain such evidence. The Committee agrees with the new proposal that general experience should also serve as a basis for assessing the need for storage. Of course, before storage is done, it will be an individual assessment that is based on the individual case, but this assessment may also focus on general experience. However, the Committee stresses the need to be very careful about other general experiences and to consider other less comprehensive measures. With regard to identity, there is also full agreement in the Committee that it is causing problems in practice, and unfortunately it is often quite unnecessary that refugees do not dare, will not or cannot declare their proper identity. We believe that it is then right to introduce an obligation to actively contribute to finding the right identity, but of course only in cases where the right identity will not conflict with the need for protection. Because this is now a criminally sanctioned threat, the Committee stresses that it is important that we have supplementary rules on what this obligation entails. In the case of house surveys, a unanimous committee opposes what the Government proposes. We stress that house surveys are a serious interference with personal integrity, and therefore the Committee would like it to be a concrete, qualified suspicion as for other types of house surveys under the Criminal Procedures Act. We should not accept that this suspicion is somewhat weaker. This is what we agree on. Disagreements go on many points, for example: the duration of the authorisation to stay in the country. Here, the majority, all except the members of the Progress Party and the Right, believe that it is both impractical and bureaucratic to have it the way we have it today. It leads to long and late proceedings that only stays are granted for one year at a time. We want to say that you can stay for one, two or three years at a time, depending on the basis you have to stay. If there are cases where there is a need for control, the residence permit shall only be granted for one year at a time. We also believe that notification of the change of dwelling, which is to be made to the police today, is unnecessary. It is the People's Register that should have the message anyway. Reporting to the police only leads to more bureaucracy. However, these two proposals, which would facilitate red tape and facilitate proceedings, are opposed by the Progress Party. In the case of family reunification, everyone believes, still minus the Right Party and the Advance Party, that there must be the possibility of family reunification, even when one has resided under Section 9. These are people who have legal residence in the country, and then it is quite natural that they should also be able to have family reunification, as is the practice of today. Furthermore, when it comes to family reunification, the majority say that we are happy that we are now equalizing cohabitants and spouses, and that we are also equalizing gay cohabitants. We are very pleased that there is a Christian People's Party in the government that is implementing that reform, and we in the Workers' Party hope that it might spread in other areas as well. The Party of Progress and the Right does not support that equality. But something that is not good about family reunification, and that the Workers' Party alone opposes, is that children should not have family reunification with their parents. They shall not even be given the opportunity to be assessed for family reunification with their parents if they are married or have a partner in their home country. We think it's quite horrific that you're being cut off from that assessment when we know that there are cultures where 14- and 15-year-olds are being coerced. In the case of expulsion, the Progress Party, as the only party, opposes the possibility of expelling tourists for criminal acts committed after entry. But what we in the Labour Party regard as serious about expulsion is the new proposal that is supported by everyone in the Committee, except the members of the Workers' Party, who are about to expel the mentally ill. So now the government – and gets a majority together with the Right Party and the Advance Party – proposes that getting to the border and being obviously mentally ill should be an independent ground for rejection. We in the Workers' Party ask ourselves why in all the world it is. We haven't just asked ourselves about it, we've had discussions in the committee on this, we've finished the proposition, but we haven't got a single reason why in the world there should be an independent reason for rejection. In the comments of the Christian People's Party and the Center Party in the setting, they just argue against themselves by referring to making a diagnosis after a short assessment is difficult. And just that you have a disease, you can prevent a person from finding that you actually need protection, and you can be expelled before you get it. Mentally ill people need help. It may be best for them to return to their home country, but then it's going to happen because it's best for them. Psychiatric patients shall not be given any special treatment. It shall not constitute a basis for residence in the country, nor shall it be a basis for expulsion. In the Labour Party, we are also quite surprised that the Government, together with the Right and the Advance Party, will have a majority in order to remove the 48-hour minimum period, which we have today since the decision on expulsion has been taken, until it is implemented. We have no reason, and we know that it can have serious consequences for some people if there's something they haven't pulled around with, and they can actually have a need for protection that they haven't been able to get before now they don't get the little extra time to get around to get along with it. In addition, we cannot see why tourists and others should be cut off from 48 hours to possibly extend a tourist visa application. The working party and many with us, both hearing bodies and others, were quite disappointed when the government presented its first comprehensive legislative proposal. We had a backstop of years with aggressive criticism of the Labour Party's immigration policy. Then they come up with a proposition that contains adjustments in the pact of evolution, and tightening that gives us pickles. We have received a confession from a state council that was sick today that entry into the government office taught her that this area was more difficult than she had thought. I hope we can now recognize our social conscience, that we will never get the feeling that we can do enough for people who need our help. This is a difficult area. Let's agree on improvements, we who want it!
ParlaMint-NO_1999-03-04-lower.ana.ud2401e764	The question of a separate complaint subject for foreign affairs has been discussed earlier in Stortinget. The party of progress and the right went against it at that time and still does it. The reason is, among other things. a. that we consider this to be a form of discharge by the department. In addition, there is a composition of this complaint to which my colleagues probably understand that the Progress Party is very sceptical. With regard to the other proposals, the Progress Party will vote against the proposals to amend the Foreign Affairs Act which are more liberal. The rapporteur explained very well, I think, because where these differences lie. The asylum and refugee policy of the Progress Party is so well known that I am not going to have a debate on it now. I would just like to pay attention to the proposals in the vote, where the Progress Party has a proposal on its own and a proposal with the Right.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e771	Jan Simonsen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e776	I noticed that the representative Simonsen himself made it clear that the starting point for his position in relation to the law we are discussing was that he went against what could give the impression of being a liberalisation, and was for everything that could give the impression of being a tightening. There's actually a lot of tightening up in the government's proposal. Some of them are contractions that we from the Workers' Party can't be on. We want a comment from Simonsen related to a comment in the setting that concerns this with reversion. The setting reads as follows: ‘The members of the Committee of the Progressive Party believe that it should be an absolute requirement that refugees coming from countries where the conflicts from which they have escaped and who can no longer be considered to be in danger in their country of origin should return in order to contribute to the post-conflict build-up of their country of origin...’. My question to the representative is: Does he think that this should apply no matter how long it takes before the conflict in the country in question is settled? Should a condition be imposed when they are allowed to stay in Norway, that they then have to return, regardless of whether it is actually for children who may have had many years behind in Norwegian school?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e788	When a refugee comes to Norway as an asylum seeker or a quota refugee and receives residence as a refugee in our country, he should be made aware of the rules. And the rules shall be that unless he has become a Norwegian national in the meantime, he must return to his country of origin if the conditions from which he fled have changed, so that he no longer becomes in danger.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e793	Several have not asked for the word for a line.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e796	The Christian People's Party is pleased that today it will be decided to set up a complaint panel for foreign affairs. This denominator has many waited a long time for! The subject matter is important for various reasons, mainly because it strengthens legal certainty for each applicant. As a general rule, the applicant is given access to a personal appearance, and of course also to have a lawyer with him. The presence at the time of the proceedings may make it easier to accept the decision taken. Legal certainty is not only that laws and regulations are actually followed, but also about trust that this happens. An independent, judicially-like term may give many people greater confidence in the decisions taken than the current system, as it works. The Christian People's Party is pleased that humanitarian organisations, the Norwegian Association of Lawyers, the Ministry of Justice and the Ministry of Foreign Affairs, respectively, are proposing who can be appointed members. The Christian People's Party believes that this procedure/organisation is favourable, because it will ensure that its members will have competence in the matter. Members shall not act on behalf of the body proposing them but shall act on a free and independent basis. It has been claimed that the establishment of a foreign student is ‘political disclaimer’. We do not agree with that. It is important to stress that the Ministry continues to be responsible for managing the Foreign Affairs Act. When the Ministry is released for the treatment of individual cases, more time may be spent on legislative development and overall assessments. At some points in the vote, the majority splits. The Christian People's Party supports the Government's proposal to remove the 48-hour rule by expulsion. This does not mean that all residents of the country are illegally expelled immediately. That just means you have the opportunity to do it. Each case shall be individually assessed in accordance with the rules of the Administrative Act. Under the Administrative Act, the foreigner is to be given the opportunity to appeal, and he may also ask for the appeal to be dismissed, i.e. that the complainant is allowed to stay in the country until the complaint has been dealt with. So it could be 48 hours or more, but it could also mean that the expulsion is happening pretty quickly. The nature of the matter will be decisive. With regard to the rule in Section 27 on the expulsion of persons who are manifestly suffering from serious mental disorders, the Christian People's Party has underlined in its comments that there may be situations where it would be best for a person to be taken care of in the country from which he comes. Language, culture and family relationships are some of the factors that can make it right to show him away from the country. These factors will be important to help the person suffering from severe psychiatric disorders. So it's not about a brutal rejection of sick people, it's about human treatment for the sick. This also includes contact with health professionals in the home country before expulsion enters into force. The Christian People’s Party would stress that competent health professionals should assess whether a foreigner needs protection in Norway. This applies even if he does not explicitly seek asylum. If the foreigner comes from a country we do not return asylum seekers to, it will be an argument against expelling him even if he or she does not seek asylum. The amendment to the third paragraph of Section 17 means that children under the age of 18 who themselves have formed a family do not have the right to reunite. However, the child can have it. In each case, an individual assessment shall be made. The Christian People's Party emphasises that individual cases are to be assessed individually, and in many cases this leads to a higher proportion of correct decisions than if one has a standard rule. That's why we've separated layers of the Workers' Party on some points in the election, while we make up a majority together with that party.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e821	It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e825	I am pleased that the government parties now agree with the proposal to set up a foreign student to deal with all the complaints concerning decisions taken under the Foreign Affairs Act at first instance. I am not going to repeat the argument for forming a foreign student, it has been convincingly done by both the representative Lemmer Ås and the representative Marthinsen. What I wonder, however, is what has caused the turnaround in relation to the last time this theme was up in the Storting, to which the longest Christian Peoples Party could extend, was a separate asylum or refugee subject. So, what is the reason why the Christian People's Party has changed its mind and realized the need for a foreigner's name, with all the tasks that the majority now supports? It was interesting to hear Marthinsen's argument. And it may also be interesting to draw the question further: is it time in the government offices that has caused this change? As far as I have understood it, this government has led somewhat the same argument for the name as the previous government, resigned from the Workers' Party, did.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e834	I have been asked on several occasions in this Chamber what is the reason why the Christian People's Party has changed its position from the past. It's hard for me to go into the argument that's been before. What I can say in concrete terms is that when the Christian People's Party is now going for what is being presented by the Government, it is of course because we think these are good proposals, these are right proposals, these are temporal proposals, and these are proposals that we believe will improve the situation. And of course, if it's interpreted as turning around, it's free to do it. That means that we take a position where what is at the centre is not previous positions, but the consideration of the matter and the content of the matter we are dealing with. If it is perceived negative by someone, then you have to be allowed to do it. I think it's positive, yes, I think you should say it. And I interpret the representative so that he thinks this was a positive development. I can assure you that in the Christian People's Party we are constantly concerned with caring for the people whom we are ever assigned to care for, and therefore it is important for us not to be bound by the past, but to look forward. It is a principle that several parties in this House should follow.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e841	The representative Mathisen provided interesting reasons for two points: One was the reason for rejecting mental illness. He made it like it was because you wanted to be humane and would help them home. But if that's what's behind it, you don't need a ground for expulsion. You can do that very well today, and that is done today. And you have to make contact with health professionals in your home country before sending them away. Yes, but then we have to remember the 48-hour minimum rule after the banishment decision has been dropped. I don't know how much time you get on this, and if you get time for it, why in the world do you want a ban in your pocket before you contact your home country? This help can be very well provided today too, but now you are cutting off the psychologically ill opportunity to get involved and see if they have the basis to apply for a stay here in the country. The second point, which I think is equally strangely justified, concerns family reunification for children without spouses and cohabitants. What Mathisen said was a coherent argument for the Workers' Party's proposal. I almost have to ask if he has read the legal text where it says that: ‘children under 18 years of age without a spouse or cohabitation are entitled to asylum unless there are particular reasons against it. ‘... We in the Workers' Party want an individual assessment of everyone, and we also say in the comment that having a spouse or a partner can be an excellent reason why the child does not belong naturally in Norway with his or her parents, but also in the home country with his or her spouse or partner. But we'll give them the chance to be evaluated, we'll give them the chance to get the individual assessment. But the Christian People's Party is in favour of absolutely nothing, you shouldn't even be judged if you have a spouse or a roommate. But if it doesn't lead to correctness now, I'll recommend the Christian People's Party to turn for 12 hours and join our proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e855	The President has doubts as to whether the representative Mr Tmärås was given the time to present proposals in his previous statement.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e858	That's probably right. In the amazement of what the government parties are joining in with the Right Party and the Advance Party, I forgot to take up our proposal, and do so.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e863	The representative Ane Sofie Timberås has taken up the suggestions she referred to.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e866	It's a familiar tactic that you postulate, and then you argue against the postulate and say that this means my opponent. This is not exactly what the representative, Mr. Tömerås, said. According to the Mathisen representative, who is not called Mathisen, but Marthinsen, we say that these people under the age of 18 have the full opportunity to apply for family reunification in the usual way. There is no doubt about it, but they should not have an automatic right to family reunification. This is to be considered, because with these people and the relationships we're talking about here, it's very often about 12-, 13- and 14-year-olds who make marriages other than what we're used to. Therefore, we do not think that it is a necessary conclusion that persons who are considered to be mature for a marriage should be given the right to follow their parents immediately, with the extended consequence that a spouse may have. Individuals shall receive a search and be assessed in the same way. The representative says that we want to prevent an evaluation. No, far from it, you should not have an automatic right to family reunification. You can apply, and I think you will treat it in a humane way in relation to the rules.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e871	That was again a bit of an explanation, because the representative Marthinsen – it’s not that good when you’re always on first name except this talking chair – says, that’s what the Workers’ Party means! We also say that children under the age of 18 who have a spouse or a partner should have the right to assess whether they can have a family reunion. We do not say that it should be automatic in getting it, but we say that you should have the right to asylum ‘if there are no special reasons against it’, as is stated in the paragraph of the law today. What Marthinsen and the Government have proposed is the text in the vote on page 21, first column, that ‘children under the age of 18 without a spouse or a partner are entitled to asylum if there are no particular reasons against it. ‘If that wording means something other than what is stated in the proposition, and what comes out of the text of the law, nothing better than that. If it really means that although you have a spouse or a partner when you are under 18, you can be entitled to asylum through family reunification if special reasons do not speak against it, you must therefore vote in favour of the Workers' Party's proposal No. 1, which I took up, which says that ‘children under the age of 18 are entitled to asylum if there are no particular reasons against it. ‘... Of course, we want an individual assessment. And of course, as I said in my previous line, if it is that marriage in the home country is of such a nature that the child naturally belongs there, it is not natural with family reunification. But they say ‘children under the age of 18 without a spouse or a partner’, and I can't understand anything else, either from the statement in the proposition or from the legal text, but that means that you have a spouse or a partner, you don't have the right to asylum automatically. If there is anything else in it, I hope that both the Council of State and the representative can confirm it, because this was a quite exciting turnaround in the matter.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e881	There's no point in the matter, it depends on how you read, and through what kind of glasses you see, and what kind of attitude you take in relation to this. Because when you highlight the way the Workers' Party does, you give expression to an automatic method, and that's the automatic method we don't want to accept. We're therefore saying that these people, who have come into a different relationship with their parents through a marriage or cohabitation documented, with the duration mentioned, are in a somewhat different relationship than if they had had their parents as their closest. That is why they should apply for family reunification on their own basis. That's what's in this.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e886	The cord shift is over.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e889	Initially, it has been interesting to define what the centre option implies. As far as I understand it, it's keeping a policy in the opposition and a stick in the opposite position. Otherwise, I would like to mention that I am just coming from a radio debate with representatives from the Anti-racist Centres. It's been a sad performance. These representatives call the law we are now dealing with, a draft law, and otherwise they come with grotesque accusations, among other things. against Stortinget, despite the fact that we know today's law is a liberalisation of a practice that many North people already feel is too liberal. The few restrictions in the law are aimed at ensuring fair practice for those seeking residence in the country, and at silencing those who are unfortunately trying to exploit the system. It is sad, and it is in my opinion a bear service against the immigrants themselves to pretend that Norway is making laws across the Constitution and the Human Rights Convention. In particular, I feel angry with the Norwegian advisers that the immigrants have obtained; they have learned from the first day in Norway that it is unwise to apply for bad comrades. With regard to the proposals we otherwise discuss, I will deal with the issue of my own complaint topic for foreign affairs, and it raises both practical and fundamental questions. Unfortunately, the majority chooses to pay so much attention to some practical aspects of the handling of foreign affairs that important aspects of principle are neglected. The last time this matter was discussed in Stortinget, we went from the Right to both the proposal on the subject of foreigners and the subject of refugees. The material now presented does not change this view, so that we continue to go against both proposals. The majority are concerned that there are many issues, but such practical considerations should not, in our opinion, set aside important principles of the Council of State's responsibility for the decisions and deceive the government's political responsibility towards Stortinget. The Foreign Affairs Act is a pronounced law on powers which gives the Ministry considerable room for discretion. This discretion should be exercised under a clearly defined political responsibility of the Council of State. This is not least important because the decision in a single case may affect many similar cases. The responsible State Council should not be able to waive this responsibility by leaving the cases to an address. But the ambiguities do not stop with the relations of the Council of State and the Government with the Storting. The foreign student shall, according to the majority, be a ‘court-like body’. So here you create a governing body that also has to be a kind of special court. It creates increased ambiguity and unclear responsibilities and, in our opinion, is a poor contribution both to legal certainty and good governance. That, in addition, this new body costs 50 million. kr, does not make matters better, this is money that, in our opinion, could have been used with great advantage to strengthen the ordinary judicial system and the ordinary treatment institutions we have. The proposal for a foreign student should therefore be rejected, and we should continue today's system, which works well, giving clear responsibilities and the necessary political governance. With regard to other aspects of the law we are debating today, I would like to refer to a later article by one of my colleagues.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e909	In recent years, we have experienced a general humanitarianisation of Norwegian foreign legislation, as well as an increased focus on the rights of foreigners in the legal state of Norway. There has been a real change at system level, and the current proposals are a continuation of this trend. The important proposal for an independent appeal body in foreign affairs — the Foreign Office — is a decisive measure to ensure the legal certainty of foreign nationals and to increase the effectiveness of dealing with such matters. Decisions under the Foreign Affairs Act are decisions which have a very large personal impact on the individual. Although asylum matters are in a special position, matters relating to family reunification, expulsion, etc. of fundamental personal importance for the individual human being. The central party therefore wishes to welcome the proposal to establish an independent appeal body for all decisions under the law of the foreigner. The effective legal certainty will be enhanced by the fact that the instance is a court-like, neutral and independent of the department’s authority of instruction. In addition, mention will be important for the general legal opinion of the persons concerned, and this is almost equally important. It can be imagined that individuals with distrust of the judicial system will experience the new system of independent appeals as more reliable than today's system after experience from their respective home countries. The composition of the name, with members of the Ministry of Justice, the Ministry of Foreign Affairs, legal organisations and humanitarian organisations respectively, as well as a leader with experience in judgment, will ensure the intended neutrality. Members shall be on an annual basis, on a part-time basis. Individual anchors shall in all respects be given the opportunity of personal presence under the heading. In sum, this will do much to ensure balanced and discretionary proper treatment. We also recognise the traditional restrictive line of foreign policy of the Right and Advance Party in the position of the Judicial Committee on this matter. During the work on proposed amendments to the Foreign Affairs Act, we felt that these two parties constituted a restrictive minority float. However, I am surprised by the opposition of the Right Party and the Progressive Party to the proposal on the subject of new foreigners. Their argument that the term creates unbridled lines of responsibility vis-à-vis the ministry and political management is relatively general considerations which will also affect a number of other bodies in the management process and which do not overshadow the fact that the legal certainty of foreigners will be significantly improved. The term makes it easier to ensure equal treatment. It should be assumed that the Right and Advance Party also considered this to be the primary objective of any decision under Norwegian law. Furthermore, it will contribute to increasing the efficiency of appeals in relation to the current system through its design and guidelines. The pressure on the courts will be reduced by fewer cases being raised for them, by the fact that the term becomes a court-like body. Increased efficiency should also be assumed to be an attractive argument for these two parties. Paragraph 27, which extends the grounds for expulsion, has been the subject of extensive discussions within the Committee. The first subparagraph, point (g), shall allow for the expulsion of non-residents with severe psychiatric conditions. I record the problematisation of the proposal, but still choose to vote for it on the basis of the following arguments: Firstly, because it involves natural harmonisation with the existing identical section 57 of the same law, which authorises the expulsion of EEA citizens on the same basis. Secondly, the proposal shall not include persons seeking asylum. Consequently, it seems natural to treat non-residents from the EEA territory as other non-residents at this point. In addition, it must be clarified that the prerequisite for this home must be the establishment by regulation of procedures for the assessment of cases by competent health professionals and the respect of human dignity and the need for treatment. Before any expulsion takes place, contact with health professionals in their home Member State must be established. Statutory rights to lawyers and health professionals are assumed to ensure the safety of such persons. Furthermore, the Government proposes to amend the second paragraph of Section 39 concerning the minimum 48 hours period for the implementation of expulsion decisions. My colleague from the Christian People's Party has explained that, so I don't spend time on it. The amendments in question represent, in sum, a guarantee of the legal certainty of non-residents in Norway, as well as an opening to the exercise of discretion which is assumed to be necessary under the Foreign Affairs Act.
