ParlaMint-NO_1999-11-24.ana.ud542e27	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1999-11-24.ana.ud542e1032	I thank the Council of State for the answer and have more a comment than a question. I fully agree that for many of those who come, there is talk of serious human fortunes. The Iraqis, among other things: They may pay $50,000-60,000 to get from Istanbul to Moss, and when this is discovered, they are ruined. There are deep tragedies, and therefore we should also try to consider making the most possible, and even within Schengen, there is now a great deal to try to limit this illegal traffic.
ParlaMint-NO_1999-11-24.ana.ud542e1040	I allow myself to ask the following questions to the Minister of Justice: ‘The President of the Medical Association, Hans Petter Aarseth, and Biotechnology, have responded to the pilot project currently under way in the context of the reunification process. The background is that the test rules of the day do not seem to be properly discussed. Will the Council of State act in relation to this claim?’
ParlaMint-NO_1999-11-24.ana.ud542e1049	I want to take the opportunity first to explain a little general about the DNA project. The purpose of the project is to ensure that we grant a residence permit to those who are entitled to such a permit here in the country. It is a pilot project offering DNA analysis in connection with the application for a residence permit to reunite children and parents in Norway. Only in cases where, on the basis of the information provided in the application, the alienation authorities are in doubt about the correctness of the family situation indicated. DNA analysis can be very sure if there is a biological parent-child relationship. The testing shall be carried out on a voluntary basis and shall be carried out by professionally competent staff. There is a great deal of emphasis on informing applicants and residents about what a DNA test is and what kind of knowledge it can reveal, prior to taking a test. An application cannot be rejected on its own on the grounds that the applicant or the resident does not wish to carry out a DNA test. In such situations, the individual will be called to a conversation where they can give their reasons why they do not want to take such a test. This is then taken into account in the overall assessment on the basis of which decisions were taken in the case. The tests are analysed by the Forensic Institute. The DNA tests shall not be applicable to a genetic test. They shall be treated with the same care as other DNA tests at the Forensic Institute. It also implies following the guidelines given in the Data Protection Authority's concession to the Institute in the case of mutilation. Citizens of Somalia have been selected for the trial project because it is particularly difficult to obtain reliable written documentation on family relationships in Somalia. A DNA analysis can just be the result of an application being granted that would otherwise have been rejected because of the existence of conflicting data in the application. We have not received negative signals from the Somali environment in Norway or abroad. On the contrary, we have received several enquiries from Somalis and their lawyers asking for an opportunity to participate in the project. Among others, the Danish and Finnish authorities have carried out similar projects. They have been considered very successful. The experience from the project here in the country will be assessed over the next year. During the planning of the project, the Department has been in contact with the Ministry of Foreign Affairs, the Department of Forensics, the Medical Association, the NOAS, the Centres for Ethnic Discrimination, the Danish authorities, the Directorate of Foreign Affairs and the police. Looking at this background, I believe we have had a thorough discussion of various aspects of the trial project before it was started in October. However, after the recent play of the Medical Association in the media, I have invited them to a new meeting tomorrow, Thursday, November 25.
ParlaMint-NO_1999-11-24.ana.ud542e1062	I thank the Council of State for a thorough answer. The reason why I asked this question is that we in the Labour Party – with a background in particular. what was pointed out – interested in getting the views of the Council of State on whether this could be a violation of the European Convention on Human Rights. When the Medical Association is so strong that they want to boycott those of their doctors who are part of the trial scheme, we think that there might be a bit of heavy criminal reactions on a trial project that the authorities want to start. I feel that here one mixes in many ways medicine and legal certainty. The first is probably important for the Medical Association, but for the authorities, both medicine and legal security are important, and it is the responsibility here to ensure identification. I feel that, through the answer given, we are sure that legal certainty will remain [[President clubs]] I could imagine asking the Council of State what he's thinking about Biotechnology. [[President clubs]]
ParlaMint-NO_1999-11-24.ana.ud542e1073	The President will ask for the speaking time to be respected.
ParlaMint-NO_1999-11-24.ana.ud542e1076	To be absolutely sure that I have seen the arguments of the Medical Association, and that you are having a conversation about it, I have invited you to a meeting tomorrow. I think such conversations are better suited than third-source communications, that is through the media – not because the media is not supposed to do their job, but because it's always fruitful to talk to people. As far as the project is concerned, I have explained it. We don't know any review that we're breaking any international conventions. Nor can we see that we are doing anything through the project other than securing what is actually the most important point of legal certainty, namely that the individual receives a fair treatment. The alternative to a fair treatment for the individual is that it receives a random treatment. We are in a situation where we actually lack written documentation. I see in the public debate that I am then asked to use conventional methods. But it's very difficult when we're dealing with cultures and social relationships where, among other things. due to war there is not so much written evidence or easily accessible evidence to deal with. In my answer, I made it clear that I believe that all in all this is to safeguard the rights of family reunification, and not the very opposite, of which one can sometimes get the impression in the debate that has taken place.
ParlaMint-NO_1999-11-24.ana.ud542e1087	As I spent too much time instead, I'm just going to confirm that from the Workers' Party's side, it's important that we carry out the test project. And with the background of the meetings that the Council of State might have, he should know that the Labour Party is behind the implementation of such a trial project. I thank you for your answer.
ParlaMint-NO_1999-11-24.ana.ud542e1097	I have this question to the Minister of Justice: ‘In 1997, a pilot project on safety alarms was launched for women at risk of violence. This system has proved to work well for the 300 women who have received the alarm. However, the alarm package is not good enough because it lacks mobile phone and telephone answering and therefore cannot be used outside. Will the State Council take the initiative to extend the package and will the State Council make the scheme permanent?’
ParlaMint-NO_1999-11-24.ana.ud542e1106	The violence alert project has been developed through cooperation between the Ministry of Social Affairs and Health, the Ministry of Children and Family Affairs and the Ministry of Justice, following an initial initiative by the Equality Ombudsman, the current Equality Competence Centre. The scheme was launched on 1 September 1997 and has been in operation for more than two years. By 22 November, a total of 550 persons had had an alarm in periods of varying lengths. Today, 161 people have alarms outsourced. This figure has been almost stable in the last year. The Ministry of Justice is evaluating the project. The feedback from all actors is consistently positive. Increased safety and quality of life are reported for those at risk who have been given an alert. The police are also satisfied with the violence alarms. Alarms are rarely triggered, suggesting a significant preventative effect. On the basis of the positive experience, I have decided that the system of violent alarms should be continued, and the possibility of extending the scope of the alarms will also be considered. This is reflected in the action plan that addresses violence against women and violence in society, which will be presented to the Stortinget tomorrow. When I say we want to assess the scope, it's not a question of whether we should do it, but how we can do it in the best possible way. Because there are different technical challenges that we have to face. But of course, I'm familiar with the need for security that many people can also feel when they're in the public space, and that we've been getting closer to life in many ways through powerful testimonies lately.
ParlaMint-NO_1999-11-24.ana.ud542e1117	I thank you for your answer. I see it as very positive, and I also see it as an area that the Minister of Justice is taking seriously. I am very pleased that the scheme should be continued. I'm also very pleased that he considers extending it to the public space, because it is such that as long as the alarm cannot be used in the public space, it limits women's freedom of movement. Especially do women with children, and that's very unfortunate, to say it mildly. Now I am also aware that this is a technical problem, but the technical problems have been solved in Sweden and Denmark, as I understand. In Sweden, there is a system where mobile phone keystrokes are connected to an alarm station, and this link cannot be interrupted by the perpetrator of the violence. I want to challenge the Minister of Justice to look at the experience of Sweden, because I believe that he agrees mainly with me.
ParlaMint-NO_1999-11-24.ana.ud542e1126	The representative Valle and I are involved in a joint mobilisation in Norway where we support people who have often felt unseen, or even disregarded – which may be much worse – and encourage them to come forward, and I will, of course, take with me the experience that exists elsewhere. Now it is the case that I am the former Minister of Transport and the former owner of Telenor, so I am going to ask with considerable force the technical possibilities available, so that they can be found. So we've had some strong testimonies in this case, and we're using two of these, which were made public, as cases to review them in the department and in cooperation with all the bodies we've been working with, to ask the very close and ongoing question: what do we learn from this, and what do we do with this? It's like this in the country that when something is really close and ongoing, it makes an impression on us all. The representative's questions hit me both in my head and in my heart at the same time. I do mean to express with this response and the action plan presented through the media today, and as the Stortinget gets, that we are willing to take action in the Government.
ParlaMint-NO_1999-11-24.ana.ud542e1133	We can probably come back and comment on the action plan. I am very pleased with the attitude expressed by the Minister of Justice. But there is another problem I would like to address, namely that there is a misunderstanding between the number of alarms delivered, and what we know about the extent of violence against women. What we also know is that it's different treatment from the police chamber to the police chamber. What is quite typical is that in those political circles where violence against women is really serious, such as in the case of women. Bergen Police Chamber, it is easy to get an alarm, while at other police chambers we hear that it is difficult to get an alarm. This shows that more information is needed here, both for the police, for the crisis centres, for those who are victims, for the health services, etc., etc. I would like to challenge the Council of State and ask him if he can confirm one thing: it is not the case that there is a budget on whether or not women should be given a violent alarm?
ParlaMint-NO_1999-11-24.ana.ud542e1140	I do not consider this primarily as a budgetary question. I consider it a question that needs to be assessed against the specific situation, and I will, of course, follow up the matter with such a starting point. Through the action plan we have presented, as it is referred to here today, we will also be sure that we will have a spread of the good examples and good action in the whole legal system for which I am responsible, and especially in Police Norway. Then my impression is that there is a high motivation to do so. I can mention as a concrete information here that at the Spring Police Masters' Meeting one of the topics of review will just be violence against women and violence in society as part of this, so that we should be sure that the culture that is good in many places will also be good throughout the country. I think it's will for it, but I think it also needs a good spread of the most important experiences to get it done.
ParlaMint-NO_1999-11-24.ana.ud542e1148	We continue on the theme of violence against women. I have the following questions for the Minister of Justice: ‘Media redundancies have again shown that women who are subjected to violence do not receive necessary police follow-up, despite the fact that violence against women is one of our most serious societal problems. Sweden has had its own women's violence committee where the police were involved in the work. This has led to a change in attitudes to such issues within the police. Will the Council of State take the initiative to set up a selection which can look at different instruments against violence against women from an overall perspective and where different actors are involved?’
ParlaMint-NO_1999-11-24.ana.ud542e1157	In April 1998, the Government decided to set up a cross-ministerial working group between the Ministry of Justice and the Ministry of Children and the Family to investigate measures against violence and abuse. Later, the Ministry of Social Affairs and Health also joined the group. The working group has been based on so-called private violence, with the emphasis on violence and assault on women by spouses/partners. The group has looked at the violence, its causal links and areas where there are currently insufficient knowledge. The working group has drawn up an action plan containing measures to combat violence and improve the position of victims, while evaluating measures aimed at the offender. The plan has now been completed and will be sent to Stortinget on Thursday 25 November. The issue of violence requires a broad approach, involving more than one body in commitment cooperation. The focus of matters, such as health, competence, law, police or crisis measures, has often decided today where matters have been anchored. In order to ensure such a broad and general follow-up to the issue of violence, the Action Plan proposes to lay a coordinating responsibility for the country’s further work against violence to one department. Today, the Ministry of Justice has the primary responsibility for combating crime, and it seems natural that this department should be entrusted with such coordination responsibility. Work should mainly focus on prevention, criminal law follow-up and cross-border cooperation with a view to appropriate and comprehensive use of resources. It is proposed in the Action Plan that a position be set up that confers such coordinating responsibility and that, in addition, a cross-ministerial coordination group be set up. Its composition should vary according to the issues to be addressed. The issue of setting up a women's violence committee has been assessed in the context of the plan. In the opinion of the working group, a coordinating position, together with a ministerial coordination group, will carry out very far the tasks envisaged for a women's violence committee, if any. Furthermore, the Competence Centre for Victim Work has been decided to continue for three years and will be entrusted with specific tasks in the fight against violence against women and in the care of their interests as victims of abuse. The Centre of Competence is intended to play an important role in the overall efforts of the departments to combat violence and will become an important cooperation body for the coordinating unit proposed in the Ministry of Justice. This, together with the measures proposed, makes it inappropriate for the working group to propose setting up its own women's violence committee. Otherwise, as the responsible State Council in the Ministry of Justice, I will continuously assess the results of the action plan in order to ensure that both the evidence of female violence and actions against female violence are effective.
ParlaMint-NO_1999-11-24.ana.ud542e1170	I thank you for your answer. I am very pleased that the Government is now presenting an action plan to combat violence against women. I consider it a result of the many years of work done by a number of non-governmental organisations, not least women's organisations and the crisis centre movement. But if we look at the mandate of the group that has developed this action plan, we see that it is based on private violence and abuse by spouses or cohabitants. That's an important part of it. But then there's a number of shortcomings. We can look at the look-up in VG today: What does the Government intend to do in relation to the most marginalized, the prostitutes, those who are exposed to the most degrading and gross violence? What does the Government intend to do with the increasing violence against immigrant women, and will it consider what kind of coercive three-year rule is for immigrant women? I'm asking these questions, because these are complex questions, which have to be taken seriously.
ParlaMint-NO_1999-11-24.ana.ud542e1177	The representative is quite right that there is every reason to praise women’s organisations, other non-governmental organisations and the crisis centre movement for what they have done. At least it's made an impression on me, and I want to believe in others as well. It's quite right that these are complex questions. This action plan should therefore be seen in the context of the plan we have made, which will be supplemented before Christmas, which is about forcible marriage. Because there is no doubt that what is happening, for example, is happening. In the case of bigamies among immigrants — although not on a large scale — and forced marriages, they are in practice, cut through everything, mainly about violence against women. That's what this is about. Through the different action plans, we are now just making an effort to see the complexity. We also want to look at the situation of the prostitutes when we get back to Stortinget in connection with the Sexual Law Committee. Now, by putting coordination responsibility in the Ministry of Justice, we're going a step further than a sample, we're putting a political responsibility. By bringing together more ministries, and it may also be different from the ones I mentioned instead — among others. in the context of the representative mentioned – we ensure that we can act where we need to be.
ParlaMint-NO_1999-11-24.ana.ud542e1184	I thank you again for the answer. These problems have been taboo for so many years that there are still many things we do not know and do not understand about the cause of violence and what is driving men into violence. This is why it is very important not just to set up a State Secretaryial Committee, and not just to have a coordination committee – that is good, but not just that – but to bring together all the environments that can carry out research in the future, which can come up with measures and which both assess the measures that are and see whether new measures are needed. This is a problem that we both agree on is taboo, which is complex and which most often contributes to keeping women in place, in a subordinate position. That's why we get involved with this. I ask the Council again to consider a Women's Occurrence, a Women's Violence Selection. [[President clubs]]
ParlaMint-NO_1999-11-24.ana.ud542e1189	With all due respect, I cannot see that a separate selection can become more effective and more important than if it creates a commitment to cooperation between state councils that are politically responsible for what is happening. It is partly about the action plan we have been talking about now, about the fight against coercion, which I defined as being mainly violence against women, although there are also some young men affected by this, and I agree with the representative that we have marginalised groups that we should look more at. So I think I can say that it's a very strong commitment to the Government and among the governments concerned to follow up. However, I am not blind because there may be other measures we need. If we find that we're doing that, I'm going to promise that we're going to do it too, because we're busy acting and getting to the good actions. We've learned a lot from those who have created those actions. Even we feel that we have taken a step further in the systematisation, and I agree with the representative that there is a lot that is now about to come out into the open, which you have often worked with in silence. There can be violence against women in society, it can be the forcible debate. This is a golden moment, which we just have to hold on to, and the representative can count on me having deep involvement in it.
ParlaMint-NO_1999-11-24.ana.ud542e1197	I have a question for the Minister of Justice: ‘The Ministry of Justice has stated that when the church believes there is a peace of the church to be respected, it will not ask the police to pick up church asylumants. The police broke into Carmel Bedehus in Fredrikstad on 15 November 1999 in order to apprehend Louis Nessa without the consent of the assembly. Will the Council of State follow the same practice if an asylum seeker takes Nessa's bed in the prayer house because he does not want to respect the refusal of a residence permit?»
ParlaMint-NO_1999-11-24.ana.ud542e1206	The background to the police's attack in the case referred to by the representative Hedstrom was that Ludvig Nessa had avoided the execution of an indicted sentence by going to cover a prayer house. The decision to address such cases concerns the follow-up of a criminal offence by the police and falls within the scope of the prosecution authority. The same applies in cases where it is relevant to be apprehended in the investigation of criminal offences, or where there is a report from the church against those who are in the church room without the church's consent. Compared with asylum seekers who are in church asylum to avoid repatriation, this is different. Here, there is a question of whether the police should go into action in order to implement an administrative decision, and the Ministry of Justice will normally have full authority to instruct. I would also like to stress that in some cases there are no legal obstacles to apprehending people who are in church asylum, but that Norwegian law applies within the buildings of the church. The Ministry of Justice letter of 4 March 1999 to the police officers provided new guidelines for the apprehension of foreign residents in church asylum who have been given decisions requiring them to leave the country. As can be seen from the guidelines, it would not normally be appropriate for the police to enter churches and prayer houses to carry out attacks on such matters without the consent of the church. This position was also supported by the majority of the Judicial Committee at the Innst. S. No 67 for 1998-99. I stress that the government's practice does not imply any political or legal acceptance of the church asylum system, but is based solely on a desire to respect the church's call to protect church peace.
ParlaMint-NO_1999-11-24.ana.ud542e1222	I thank the Council of State for the answer, and I want to grasp the instructions of the police officers he mentioned. The Ministry says that church asylum seekers who are illegally present in Norway, as a rule, are not to be picked up by the police. It is the task of each congregation, if necessary, to ask the police to pick up church occupiers. Thus, each congregation has the power and authority to determine whether there is a breach of the peace of the church, and thus to decide who is to stay in the country, and not the courts that have refused an application for legal residence. If the law is to be equal, does the Council of State not believe that the church asylum should then be abolished as an institution and that it should be left to the ordinary judiciary to make the decisions?
ParlaMint-NO_1999-11-24.ana.ud542e1229	We're talking about two relationships. The question that was asked about Louis Nessa was whether you can go into a church to avoid a condemned punishment. The answer to that is no – you can't. It is quite clear, according to the guidelines I indicated, that you cannot. So the question is, what if you do this to avoid an administrative decision, i.e. under the Foreign Affairs Act? Then this is not a legal institution. But it is such that this government with broad support in the Great Britain has chosen, in a dialogue with the church's organs, to allow the church asylum as a practical arrangement, in respect of church peace and for the holy room. But it is also the case that the structure of the Norwegian Church is built on strengthening local bodies, and if the councils want a different situation, they have all the powers to act as they seem to be right, either by letting someone stay or by asking that the relationship in the church asylum cease. We're basing this on, and I'm not going to change this practice.
ParlaMint-NO_1999-11-24.ana.ud542e1239	I will ask the Minister for Church, Education and Research the following questions: ‘What does the Council of State do to promote equality in the Norwegian school community?’
ParlaMint-NO_1999-11-24.ana.ud542e1246	Promoting equality in schools is an overriding educational and research policy objective. Training and education shall provide girls and boys, women and men with the same rights, duties and opportunities in education, family life, working life and social activities, or else. The work on gender equality is facing a number of challenges today. The challenges facing the knowledge sector in general also largely apply to work on gender equality. Can be mentioned especially demographic changenew technologies and new mediachanges in labour marketchanges in social structures and value internationalisation and globalisation KUF has developed a special policy note for gender equality work for the period 1999-2001. The note outlines the problem area and orientation options, and measures have been taken in a number of areas. I can read as follows: mathematics, real science, technology and gender equality non-traditional educational and vocational choices for girls and girls in the university and higher education sectors in the mainstream and in the further education Studies show that girls in Norway often do away with math and other real subjects as soon as possible, and invest little in technological subjects. KUF, in cooperation with the Canadian oil company Norsk Chevron, has launched a nationwide project on girls and mathematics following a Canadian program, Operation Minerva. Gender policy challenges are also linked to ICT. Special measures for girls and women were launched in 1997 and have been followed up since then, for example. the provision of continuing training for female teachers and national conferences such as ‘D@mer and d@ta’. This also applies to a number of school projects, and it applies to information activities, among other things. an inspirational booklet about girls and ICT in the backbone. All of these actions will be followed more broadly in the future. Norway still has a highly gender-based labour market. Despite the high educational level of girls today, they – and, to some extent, boys – have within a traditional professional pattern similar to that of the 1970s. The KUF has been working for several years to change this situation. With regard to admission to basic education at state higher education institutions, the Ministry has decided that women's and male seekers receive two additional points in selected educations which have traditionally dominated our men's or women's. On the basis of the same intentions, the KUF implements, in cooperation with four counties, a three-year project, ‘Conscious educational choices’. Women are today in a number of universities and colleges – as students. But they're poorly represented in fixed scientific settings. The 1997 figures show that the majority of professors make up 11 pst. and among the first amanuens 24 pst. The figures are largely the same in 1999. The Ministry will work hard to change this undesirable situation. A report on women in the academy has been prepared, and the department has proposed changes. The research message discusses a number of measures, such as the ear tagging of options, and a separate study on women in the academy will now be carried out. Several institutions have implemented specific measures to get a greater proportion of women in permanent scientific settings. In accordance with the reform of competences, migrant women are important in their situation. Many of these are illiterate or have very poor education. KUF has now started a survey of the educational level of immigrant women. The custom training arrangements shall then follow this mapping. Equality is integrated into the new curricula. However, this scan still needs to be clearly visible today. The KUF is now developing an equal opportunities guide for the ground and the continuing school. The guide will guide you to the March schools.
ParlaMint-NO_1999-11-24.ana.ud542e1306	I would like to thank the Council of State for his thorough answers. I'm glad he insists that promoting equality in school is an overall educational and research policy objective. As the Council of State said, in Norway, we still have a highly gender-segregated labour market. Although girls today take higher education, and we know that they also come out with very good results, we see that when it comes to career choices, the pattern is very traditional. I think it is positive that the KUF will develop a guide that will make teachers much more aware of getting the gender perspective into school, and then it is also important that the school books appear in such a way that it focuses on equality. At the same time, however, it is important to develop materials that are targeted at the different age groups in the school. It will be very important for the material being used to reveal teachers and students in a way. Finally, I believe that, in fact, [[President clubs]]
ParlaMint-NO_1999-11-24.ana.ud542e1317	The President is sorry to interrupt, but the time has come for Lilletun to respond.
ParlaMint-NO_1999-11-24.ana.ud542e1320	The Council of State will only answer that he is agreed in the deepenings that the representative Bekkelem Orheim gave of my answer.
ParlaMint-NO_1999-11-24.ana.ud542e1325	So we go to question 25.
ParlaMint-NO_1999-11-24.ana.ud542e1331	This question, addressed to the Minister of Labour and Administration, will be answered by the Minister of Church, Education and Research on behalf of the Minister of Labour and Administration.
ParlaMint-NO_1999-11-24.ana.ud542e1334	I allow myself to ask the Minister of Labour and Administration the following questions – via the Minister of Church, Education and Research: ‘The undersigned has registered with pleasure that the Government still wants to sell Villa Grande after first having withdrawn the sale only a few weeks ago. It seems to the Council of State that such a procedure strengthens the confidence of the Government when it is known that the property company that has the sales contract worked with several stakeholders when the sale was made, and that they had a bid of 60 million. $70 million now. crowns?’
ParlaMint-NO_1999-11-24.ana.ud542e1343	The government has foreseen the sale of Villa Grande in the 1999 state budget. In the context of the revised national budget, a budget change was made as a result of a reduction in the estimated value of the property from 110 million. NOK 70 million. kr after it was declared protective by the Riksantikvaren. The sales process in addition to the harvest resulted in an oral bid of 50 million. kr on the property, and Statsbygg submitted to the Ministry of Labour and Administration the question as to whether it might be appropriate to go into price to sell the property. The government then decided to withdraw the property from the market. Shortly after the Government’s decision, a bid of 60 million was made. kr on the property. This bid was later raised to 70 million. kr. Based on the fact that it now seems possible to achieve the price estimated in the State budget, the government has nevertheless decided to sell Villa Grande. In addition, I would like to refer to the Prime Minister's reply to the representative Erik Solheim earlier today concerning the possible sale and future use of Villa Grande.
ParlaMint-NO_1999-11-24.ana.ud542e1354	I thank the Council of State for the answer, which was a well-known summary of the actual events in this matter so far. My question was more about the uncertainty, perhaps the wing back and forth, that has been in this matter. It also shows that the departments concerned may not have had enough communication with each other in this matter. It seems strange to me to withdraw the sale because of too low a bid when the company Banco Eiendom was negotiating with several stakeholders, which also resulted in a bid of 70 million. kr. It might also seem that the price might be even higher. I do not want to address the topic for which the property is to be used, but only the uncertainty that this case has been affected. It's not that long since we had another state-owned property, Villa Stenersen, which also created a lot of debate.
ParlaMint-NO_1999-11-24.ana.ud542e1367	I will first meet the representative of Bredvold at one point, and that is that communication between institutions and institutions can always be better, and it can also be between the Council of State and the Department, so that there is the representative and the Council of State agree. On the other hand, when it comes to the process, it would be irresponsible for a non-predictor to give information to the Storting that it looked like an even different salssum – if one were to sell – than what was in the statements made to the Storing. As the government evaluated it, it would also be a too valuable possession, with great symbolic value, to go for an too low price. Although it may seem like this has been a bit back and forth, a good reason for it can be found, and I therefore believe that the case, as it stands today, will be handled in a good way in the future.
ParlaMint-NO_1999-11-24.ana.ud542e1379	I would like to ask the Minister for Transport the following questions: ‘Previously classified measurements from U.S. submarines show that the Arctic ice cover has been reduced by approx. 40 pst. in the last 30 years. Researchers say that the main reason is the temperature increase due to global warming. The certainly fastest growing source of greenhouse gases is mobile sources, i.e. car and aircraft. What does the Council of State intend to do to reduce the use of private cars by most people?’
ParlaMint-NO_1999-11-24.ana.ud542e1388	In its policy, the government attaches great importance to limiting environmental pollution from transport. Drug use targeting the transport sector is currently extensive, both in the form of economic and administrative instruments. The transport sector contributes to the climate problem, primarily through carbon dioxide – CO2 emissions. Over the period 1990-98, CO2 emissions from the transport sector have increased by about 18 p.p., which is related to the increase in the volume of transport. The UNFCCC and International Protocols on Long-Range Air Pollution provide guidance for the level of ambition of Norwegian environmental policy towards climate change and air pollution with global and regional impacts. The main strategy for global environmental problems is the use of nation-wide cross-sectoral instruments, such as: fees. Both petrol, car diesel and other mineral oils are subject to a CO2 charge. The transport sector pays, in addition to the CO2 tax, higher ordinary taxes on fuels compared to other countries. In addition, there are high taxes on the purchase and ownership of cars that affect the size and composition of the car park and the use of cars. In general, there is a continuous effort to develop the use of environmental taxes. General environmental taxes will also have a positive impact on local environmental problems. Extensive administrative and regulatory measures have also been applied. Railway investment is given priority in areas where rail has a particular traffic and environmental impact, for example: near traffic around the largest cities and intercity trains. These are measures that can have a significant environmental impact. In the 2000 budget, speed and capacity-enhancing measures to facilitate the use of heel trains on Sørlandsbanen, Dovrebanen and Bergensbanen are given high priority. These are investments which will also be of great importance for rail freight.
ParlaMint-NO_1999-11-24.ana.ud542e1399	I thank the Council of State for your answer. Some of the reasons why SV takes this up include: climate research in relation to the Arctic. But it is also the problem that if you go in and read the Ministry of Transport's budget, it is very little affected by greenhouse gas emissions. So this is a problem issue, as I see it, of which the Ministry of Transport is not so busy. It's troubling SV. As the Council of State correctly points out, there is a huge increase in greenhouse gas emissions in the transport sector. The challenges lie ahead. I have written about some of the measures that are mentioned. But where does it stand, for example? the bet that was promised in relation to walking and cycling roads? Where does it relate to the urban runway projects that you know about in the big cities? There is at all a lot of things that can be tackled, and that will have something to say about one of the biggest problems we're facing, namely, greenhouse gases.
ParlaMint-NO_1999-11-24.ana.ud542e1406	I have said from this speaker before today that everyone can of course get better, and we can certainly remain in budgetary context when it comes to talking about greenhouse gases. Now it'll be so that it's always a division of labour. Of course, global greenhouse gases will be mentioned in many places, but mainly in the budget of the special department and in special general terms. I'll see if we can talk about this better in recent years. With regard to the concrete measures that I have mentioned, I believe that they are spread across several chapters of the budget, both on foot and by bicycle, on collective transport solutions and not least on rail, on which we put considerable effort into the next year, and also on some for which we are criticised: we are trying to prevent pollution through regulation, via heavy-duty tyres. There is no prohibition on using heavy tyres, but there are fees to pollute etc., to mention something.
ParlaMint-NO_1999-11-24.ana.ud542e1415	At the end of the day, it's clear that compared to Oslo and other cities, this is a big problem with dust and noise, but it has relatively little to do with greenhouse gas emissions. What the SV is concerned about is getting a more offensive hold, an offensive policy, in relation to the measures that really help, that is what can reduce transport needs: investing in collective solutions, promoting energy-efficient solutions and solutions that do not involve greenhouse gas emissions. There is much more to be done here, and I am sure – and this is one of the challenges – that if the Minister of Transport thinks more strongly about the Kyoto Protocol and about greenhouse gas emissions in his planning and prioritisation, one will be able to initiate the projects I mentioned: the Bergen urban railway project, the Stavanger urban railway project, a stronger focus on pedestrian and cycle roads and a follow-up to the plans already adopted in these areas.
ParlaMint-NO_1999-11-24.ana.ud542e1422	I take Langeland's call with me, and this will follow with me in the further work. Now I have to remind you that the question itself was angled against car use and reduction on the private car side. That is why I have not addressed aircraft, emissions of greenhouse gases and emissions in general, which have a greater impact on the global environment. I just have to admit that in relation to how society will affect car use, we have to use both carrots and whips, as some would call it, so briefly: a combination of advantages on the collective side and disadvantages and taxes related to private car transport in order to get more environmentally oriented transport in the future, so that both parts must be in place if we are to get people to move more from the private car to the public transport.
ParlaMint-NO_1999-11-24.ana.ud542e1431	I allow myself to ask the following questions to the Minister for Transport: ‘In view of the fact that the Minister for Transport has stated that the projects under the ‘Gross Road Package’ are to have a very sober standard, with easy upgrading and covering of existing roads, the Road Office in More and Romesdal enters in order for the two priority sections Rv 680 and Rv 652 to have a variable road width down to 4 metres. Both roads are characterised as ‘narrow with poor curve’. Does the Council of State think this is a national road standard that is good enough for a new millennium?’
ParlaMint-NO_1999-11-24.ana.ud542e1440	The stated costs of fixed cover on remaining dirt-covered highways show large variations in the size of the county. This is largely due to the fact that the scale of measures varies, from pure coverage and reinforcement to major conversions. The position of the Ministry of Transport is that the allocation of the new budget line for permanent cover on national roads — item 32 — is to be covered and the necessary reinforcement. An average running meter price of NOK 2000 has therefore been taken into account, which, on the basis of a road assessment, must be sufficient for this purpose. If major improvements and conversions are desirable, this must be assessed and prioritised in relation to the correction and conversion of other poor-standard national road sections within the allocated national road investment framework, item 30. After I was informed, the road office in More and Romesdal submitted a proposal for a gravel road package with a cost framework of 164 million. kr. This is in line with the information previously provided by the county council and involves an average running price of approximately NOK 3000. Consequently, the Road Agency has proposed that 108 million. kr shall be covered above entry 32 and the remainder above entry 30. If further increases in the standard of any of the sections are desirable, this must be covered above entry 30, both in More and Romesdal and in other counties. The solutions adopted for the said routes therefore appear to be in line with the overall leadership given by the Ministry of Transport for the use of funds from the gravel road package.
ParlaMint-NO_1999-11-24.ana.ud542e1451	I would like to thank the Council of State for the answer, but at the same time I would like to point out that I think this puts the so-called gravel road package in a rather strange light. When it was launched, it was given the impression that the gravel road package would solve all the problems related to gravel roads. Now the Road Office in More and Romesdal shows to its councillors and adds a road width to a distance of four meters – on a highway for 1999 and forward! This must be a temporary way, because you know that this is not suitable for the future. Small, curved roads cannot be highways ahead. I also didn't think I had a clear answer to what was my main question, and I would therefore like to repeat the question: Does the Council of State think this is a national road standard that is good enough for a new millennium?
