ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e73	The representative of Ursula Evje will make a private bill.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1441	Three proposals have been put forward during the debate. It's: the proposals No 1 and 2, by Siv Jensen, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, proposal No. 3, from Øystein Djupedal on behalf of the Socialist Left Party. Proposal No. 1, from the Progress Party, reads: ‘The government asks the Government in connection with the State budget for 2000 to submit proposals for deducting the document fee from the inheritance fee for ordinary inheritance, whose heir resides on the property. ‘... The proposal will be sent to Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1520	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1527	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1574	The Socialist Left has announced that they will vote against it.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1583	It is voted over the title of the law and the law as a whole. The President assumes that the Socialist Left also wants to oppose.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1592	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1596	There is still to be a vote on the proposals No. Two and three. First of all, there is a vote on proposal No. 3 from the Socialist Left Party. The proposal reads as follows: ‘Law of 20 July 1991 No 65 on special rules for the taxation of companies and members of companies is amended as follows: § 3-3 and § 3-4 are repealed. [[Company Tax Act]] § 3-5 becomes new § 3-3. ‘...
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1614	It is then put to the vote on proposal No. 2nd from the Progress Party. The proposal reads as follows: ‘Decisions to the laws amending the Law of 19 June 1969 No. 66 new value added tax.I.Law of 19 June 1969 No. 66 on value added tax is amended as follows: Paragraph 16, first paragraph, paragraph point 1(d) is replaced by the following:(d) for use by foreign ships. Paragraph 16, first paragraph, point (b) point 2(a) is replaced by the following:(a) for use in ships of at least 15 metres in length when carrying cargo or in return for hire or reward; 3 shall be replaced by the following: 1 point c.Current Section 16, first paragraph, No. 3, 4, 5, 6, 7, 8, 9, 10, 11 and 12 will be new points, respectively. 4, 5, 6, 7, 8, 9, 10, 11, 12 and 13.II. This Act shall enter into force on 1 July 1999. ‘...
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1659	During the debate, Mr Sørfonn, on behalf of the Christian People's Party, the Central Party and the Left, put forward a proposal. The proposal reads as follows: ‘Decision to the Act amending the Law of 22 June 1960 No. 36 on the State Petroleum FundI.In the Act of 22 June 1990 No. 36 on the State Petroleum Fund § 2 shall read 12 and the 13th indent shall be replaced by the following: any purchase by the State of units as part of its direct economic involvement in the petroleum industry, expenditure on project-oriented technology development in the petroleum industry. II.The law shall enter into force immediately. ‘... The Committee had nominated Odelstingen to do so. decision: Ot. pp. No 67 [[1998-99]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1701	During the debate, Jørgen Holte, on behalf of the Christian People's Party, the Central Party, the Socialist Left Party and the Left, put forward a proposal. The proposal reads as follows: ‘Agreements to the Auto-Funding Fuel Balancing Scheme § 1In the case of the introduction and operation of fuel, contributions to a freight balancing fund shall be paid. From the payment of the contribution paid to the fund, freight grants are paid.Oil companies which base their operations on the import of fuel and do not use tankers in Norway, if not covered by the freight balancing scheme.The King may lay down rules on the implementation of the freight subsidy scheme and the organisation of the fund, including the amount of the contribution to the fund, the amount of the payments, as well as detailed rules on the calculation, collection and control. § 2The rules applicable to the property and income tax to the State apply mutatis mutandis to the collection of contributions to the freight balancing fund. The king may provide for an obligation to pay interest on contributions that have not been paid in due time and on good interest on repayment of contributions. § 3The person who deliberately or negligently infringes this law or regulation given in accordance with the law is punished by fines unless the situation is affected by a more severe penalty. § 4The person who deliberately or negligently infringes this law or regulation given in accordance with the law, so that the levy on the Cohesion Fund is or could have been withheld, may be required by the Ministry to pay an additional contribution equal to the double, in repeated cases, the quadruple of the obligatory amount of the contribution. As far as liability under this paragraph is concerned, the contributor shall be assisted. § 5This Act shall enter into force on 1 July 1999. ‘...
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1764	In accordance with the fourth paragraph of Section 30 of the Rules of Procedure, the second paragraph of the decision will be to send the Stortinget.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1859	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1866	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1942	The Socialist Left wants to vote against.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1951	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1958	The Law Decision will be sent to the Lamentation.
