ParlaMint-NO_1999-10-20.ana.ud802e27	The called alternate of the Nordland County, Lisbeth Holand, has taken the seat.
ParlaMint-NO_1999-10-20.ana.ud802e941	Another problem with escape from Norwegian prisons is that anyone planning to flee can do so with full certainty that it is not punishable. There is no risk of extra compensation or punishment for escape from Norwegian prisons. So if you're planning to escape, it's very small that scares other prisoners not to get on the run, because, as I said, you don't risk getting any new criminal-law responses or any new convictions to try to escape. It does not seem to the Minister of Justice that it may seem strange and strange, for the common man in any case, that there is no law punishing an inmate to escape or to try to escape from a prison while, for example, there is no law. Are there laws against the most banal things else in society? Escape often spreads fear in the local environment, and people wonder not only whether it is too easy to escape from Norwegian prisons, but also why there are no schemes to reduce the motivation of prisoners to escape. Does the Council of State have any idea that there is a need to consider imposing more stringent penalties for people fleeing Norwegian prisons?
ParlaMint-NO_1999-10-20.ana.ud802e950	Being in prison is itself becoming exempt from something important here in life, namely freedom. The most important thing about prison operations is to place the most dangerous prisoners, who are responsible for the most serious conditions, in the various and proper institutions. In this case, I assume that the representative may be aiming at one of the refugees, and there are questions that I have already commented on. When it comes to prison conditions, we have already raised the question of whether it should be aggravating to the conditions of reconciliation not to be atoned for. Questions have also been raised as to whether repeaters can be assessed more rigorously in the case of probation. I'd prefer a line where the conditions in the prison are such that, to put it that way, the right prisoner is placed in the right place. We're going to take a closer look at just that kind of routine and challenges. I have to add and repeat, that when this first happened in Arendal and in a special way that is regrettable, there were nine of the prisoners who found no reason to escape even if the gate was wide open. It must indicate that there is some motivation in that it is better to sit in than to be taken and brought back.
ParlaMint-NO_1999-10-20.ana.ud802e959	Question 9 has already been dealt with.
ParlaMint-NO_1999-10-20.ana.ud802e965	I allow myself to ask the following questions to the Minister of Justice: «In recent times, we have experienced an ever-increasing number of rains, especially in the Oslo area. How does the Council of State feel that this development can be stopped, and what will the Council of State do in this context?’
ParlaMint-NO_1999-10-20.ana.ud802e974	A marked increase in number was recorded in 1998. For the country as a whole, the total number of rounds increased from 1255 in 1997 to 1529 in 1998. This represents an increase of 244 reviews, or 21.8 pst. The trend continues in 1999. The first half of 1999 shows an increase from 726 reviews in the first half of last year to 828 in the first half of this year. This gives an increase of 102 reviews, or 14 pst. A more detailed review of the notifications shows that there is a particular need for business, service stations and kiosks to increase. A little over half of the cranes happen in Oslo. The others are distributed across the country. The last six months of 1998 and the first half of 1999 have been a special year for value-added transport. In less than one year, six such rakes have been committed. The ranes have happened in the Drammen, Oslo, Romerike and Trondheim police districts. They seem very well planned. Auto-weapon has been used and the dividends have in all cases been significant. During the spring and summer of 1999, there has been a series of run-downs towards post offices in the central eastern region and Oslo. In comparison, there were four cases against post offices in 1997, while there were eight cases in 1998. Mid-August this year, a total of 18 units have been registered against post office. There has been a steady decline in the number of offices since 1992. This has been seen in the context of the Post’s increasingly improved security procedures. The significant increase in the number of run against this type of object represents a new and worrying development. Combating criminality is a priority area for the police. This is the responsibility of the individual police officer. Following the initiative of the Advocate General, it has been decided to give priority to the investigation of the unexplained barriers to the transport of goods. The Ministry of Justice considers it important that these cranes, which are very professionally carried out and where very large values have been removed, be clarified. The investigation shall take place through cooperation between the various police districts in which they have been committed. The Ministry of Justice has allocated additional resources and resources to this work. The General Organisation of Trade and Services and the Ministry of Justice have jointly discussed measures aimed at preventing trade and services. In Oslo, a test system was put in place in 1998 where businesses which have taken measures to prevent the use of physical security measures and staff training and plans for post-closure can be certified as ‘safe against ran’. In January of this year, the Ministry of Justice took the initiative to establish such a certification scheme on a national basis. In view of the trend in research, it was decided in March this year to reintroduce the previous contact committee for prevention. The primary task of the selection is to act as a resource group and a forum for crime prevention. The Ministry of Justice heads the sample and holds a secretary. The sample is otherwise composed of persons from different industry associations and trade unions associated with industries that are experiencedly exposed. The Ministry of Justice has also granted funds for an own research project on the subject, at the Department of the Police College's research department. The purpose of this work is to identify who is guilty and to what extent these are affected by various safeguards.
ParlaMint-NO_1999-10-20.ana.ud802e998	I thank the Minister of Justice for the answer, which underlines the seriousness of the situation. We're getting a confirmation of many of the numbers that tell us that there's been a disturbing development, for which we're not very excited. Action against the criminals, and not least against those who commit organised crime, we should not go into this much today. Earlier this year we had a case that went on repeaters, and the measures in this regard I think we very much agree on. But I have a small question in relation to the young rants who are about to enter a criminal racetrack: What are the measures of the Council of State in this regard? Then we have the other thing that is very serious. It is clear that today there are many employees in kiosks, shops, banks, post offices, etc. living in a way that is dangerous, as the safety measures are not good enough. What can we do to further improve safety measures, and can the Labour Inspectorate possibly play a role in this context?
ParlaMint-NO_1999-10-20.ana.ud802e1007	I had so much on my mind in the first answer that I want to say something more related to it before I answer the second. It's not long since there was a meeting on the initiative of the Riksadvokat, where I was present with the Oslo Police District and Kripos, where we discussed the issues raised in Oslo and the Eastern region. There, it was clearly just what I said, that you look at the big lines towards Securitas, but that there will also be attempts to see if there is anything else and more that can be done in relation to the mail and the bank account. This has a high priority. It is also true that some of the cracks that have been cleared concern young people. Then we get the question of how to prevent that kind of crime, and the answer is to take them quickly. The second answer is to have close cooperation with schools and child protection agencies and observe what you see there, because that's fast. This is why, among other things: in Oslo, launched a separate project in cooperation between the Oslo Police, the Oslo City Council and the Ministry of Justice, in order to enter into and prevent recriminalism and access to it. This has led to the Ministry of Justice being quite untraditional in granting posts to child protection consultants. We will also meet with professional and business organisations to discuss with them the kind of actions they can take. I think the representative pointed to very important areas, and we are all betting on them.
ParlaMint-NO_1999-10-20.ana.ud802e1014	I thank you again for the answer. Possibly due to the limited time available to respond, the Council of State did not address what I mentioned in relation to increased security measures at the exposed sites. Then I asked if the Labour Inspectorate could play a role there. We know that this will cost, and we impose measures on the employer, public and private employers that cost. Can the Labour Inspectorate play a role there? Then I'll look a little bit at our neighboring country Sweden. It's popular in several connections. While we have had a wave of ransacks in Norway, Sweden has had some opposite developments. The number of branches and banks in Sweden is today at the same level as in the mid-1970s. In 1998, they had 103 post offices/banks, and this year the number has continued to decline. One says on the Swedish side that better security measures and broken leagues are the main reason why this has now happened. Are there things in Sweden that we could bring with us? Can the Council of State imagine investigating it and doing something about it?
ParlaMint-NO_1999-10-20.ana.ud802e1023	We like to learn everything well from others to fight crime, but I think we should admit that in Norway there have also been waves. It was a decline, and then it swings up again. I think it's important that we do what the police do to combat the organized part of it, react in particular to young attackers, prevent what you can see, in cooperation with school and child protection agencies, and then engage in dialogue with business organisations. Then we are involved in protective measures and training. I agree with the representative that this is a very important area. That is the sum of the measures to be taken. I have the view that we should be able to bring this to life, but at the moment there is a regrettable development that takes a lot of time and effort to fight and break. I agree with the representative that we need to look at a range of measures to break this, and it must be the context that is crucial. I'd like to examine whether we have something to learn from others, because there's nothing to stop you from fighting negative developments. Then it also gets to be that there may be differences in crime images between two neighbouring countries, but I underlined in my answer that the representative and I have the same understanding. It needs a broad approach to mobilising many from the police to business organisations, and it also needs to look at the situation of employees.
ParlaMint-NO_1999-10-20.ana.ud802e1035	I will be allowed to ask the following questions to the Minister of Justice: ‘In several contexts, there has been strong criticism of aspects of the use of custody detention in Norway. This has mainly been related to the length of the custody period and the use of insulation. Will the Council of State contribute to a change in the precautionary practices in those areas and, where appropriate, how?’
ParlaMint-NO_1999-10-20.ana.ud802e1044	Vareting may be necessary during the investigation to prevent the loss of evidence, the avoidance of criminal prosecution or to prevent the repetition of criminal offences. Both the protection of citizens' rights and the enforcement of law justify custody. Prison of Varet is a load for the person concerned and shall be as short as possible. When a person is in custody, the investigation of the case against him shall be given high priority. The second paragraph of Section 186 of the Criminal Procedure Act provides for the imposition of prohibition or control of correspondence and visits. The Court of First Instance shall carefully consider whether there is a basis for the imposition of restrictions and it is necessary that the detention centre should not be subject to more restrictions than is necessary in view of the further investigation in the case. The Ministry of Justice attaches great importance to the situation of custody prisoners and has an ongoing assessment of measures to remedy and mitigate adverse effects on the targeted persons. Particular attention has been paid to the use of restrictions under care, especially under the long care. In addition to the provisions already contained in the legislation to prevent harmful effects of detention, the Ministry of Justice has provided guidelines for the treatment of custody prisoners, in a circular of 29 December 1997. The guidelines focus in particular on possible measures to address the harmful consequences of isolation and the lack of human contact for custody prisoners subject to restrictions. The Ministry of Justice has also appointed two working parties to propose measures to reduce the length of proceedings in criminal matters. The work will cover the whole chain of criminal proceedings and will also have an impact on the time spent in custody. Short term of proceedings is one of the objectives set for criminal proceedings. New statistics providing better information on the term of custody and the use of restrictions are currently being produced in the Ministry of Justice. The statistics shall provide better opportunities to assess the follow-up to different aspects of the use of custody. But let me mention two measures that can work. One thing that is under work is to look at the deadlines for the police proceedings. The second is to look at the legal provisions we have that say that you have to collect all the criminal offences before you are put into ordinary settlement. We're just looking at whether you can be judged for what's available, and then get a new sentence later while you're in jail. This may be some of the conditions that can contribute to the less and more efficient use of custody. Finally, let me say in this answer that on the basis of the information up to now this year, the average period of care has fallen for everyone, but there are some more people in custody now.
ParlaMint-NO_1999-10-20.ana.ud802e1061	I don't think there's such a difference between me and the Minister of Justice in the assessment of the use of custody. It is necessary in some cases where the law imposes conditions, where there is a risk of loss of evidence, that he will leave or there is a risk of new crime. It may well be that someone relative to, for example, repeaters should be able to use custody more than today because it is obvious that some are committing new crimes pending the case being brought before the courts. However, custody should not be a cover-up, and we should follow international standards and requirements. In particular, the criticism has been about the use of isolation, and in particular about its length. We have been judged to be the worst in the class, and there has been international criticism. Recently, the Council of Europe torture monitoring committee has been in Norway, and my question is: Will the Council of States follow the recommendations on international standards/requirements? And how could one possibly imagine that in relation to the use of insulation and in relation to the length of the custody?
ParlaMint-NO_1999-10-20.ana.ud802e1068	It is clear from the answer that we also have a parallel view of the use of insulation and the length of the watch. In terms of length, the length of proceedings in the criminal chain means quite a lot, so that getting efficiency into it has something to say for this. This has a high priority in the ministry. As far as isolation is concerned, we are talking about a ban on letter and visitation, and the Riksadvokat has also intensified the need to be very careful about the use of this. We are now reviewing all the international recommendations we have received, to make sure that we best live up to the pressure we have on us and that the international community should be able to put on us. We have also recently visited the torture commission, from which we will receive a report during approx. Six months. In this context, we are just looking at the questions that the representative Bjørnstad is now addressing. But I cannot now go into the details of that, except to mention that the search light – in addition to what I have said about the length of the watch period – is directed towards the isolation, the effect of it and how we use it in practice.
ParlaMint-NO_1999-10-20.ana.ud802e1077	I thank the Minister of Justice for the answer. The last time the Council of Europe's torture monitoring committee was in Norway and reported, followed up in a number of areas in relation to it with the use of police arrests and in relation to the follow-up of the detention centre. I think it's right, as I said, to assume that we're going to follow international standards and demands, and there's nothing in crime development or level that suggests that we should have something greater need to use longer custody than others, or to use a letter-and-visit ban that in practice is more about bans than about control. Now the Minister of Justice said that we will receive the new report from the Torture Monitoring Committee in half a year. Is the Minister of Justice going to present to the Storting a case relating to the follow-up to international standards and requirements, and the situation regarding the use of custody when it becomes relevant to the international report?
ParlaMint-NO_1999-10-20.ana.ud802e1086	I want to find a suitable way to present these questions, because I think a debate in Stortinget on this is worth it. On the one hand, we have just the legal considerations that the representative Bjørnstad now came up with, and on the other hand, we have a solid majority of people who say we should fight crime and avoid repeaters. Then it's about doing the right point of intersection, which is effective in fighting crime, but which is not unintentionally inhuman, to say it that way. We can't do that without being open and honest to the dilemmas we face. That we can discuss it in our Parliament, I shall look for a suitable opportunity because, as the representative of Bjørnstad, I am committed to finding this balance between stopping criminals and at the same time not acting in a way that we cannot stand by.
ParlaMint-NO_1999-10-20.ana.ud802e1094	I will ask the Minister of Justice the following questions: «The future of forest lay-outs shall be taken into account in the autumn as an open settlement option in the prison system. All experience suggests that the content of the open cushion is very good. Is any closure of the forest lay-outs in line with St.meld. No 27 For the care of the criminals? [[1997-1998]]
ParlaMint-NO_1999-10-20.ana.ud802e1103	It is true that the forest layouts under the Skien Circuit Prison and Arendal Circuit Prison over many years have been part of the reconciliation options. The core of the scheme has been that on request prisoners have been able to relinquish relatively short sentences in open camps while carrying out different types of forest cultivation work for local forest owners. For some groups of prisoners, obvious forest work has been seen as a good and meaningful way to execute the sentence. This is indicated, inter alia, by: through low failure rate. However, there is no research that says anything about whether such compensation is better or worse in relation to continued crime and relapse. In recent years, it has been difficult to find prisoners who have wanted such settlement options, and there has therefore been a low level of capacity utilisation and, therefore, a low level of resource efficiency. Therefore, the ski camp has been temporarily stopped for a period of time. This has led the Department to start an assessment of the future of forest publishers. A broad collection of views has been carried out from relevant bodies such as municipalities and forest owners’ bodies and from the etatate’s own bodies. There have been many views and assessments partly related to local jobs, partly to industrial reasons and partly to criminal matters. These views will form part of the decision-making basis when, if not for that long, the Ministry takes a decision on the future of forest loans. I can assure the representative Hegna that we are not taking long-term action in the field of criminal law that is in conflict with the criminal law notification. The treatment of this left the criminal-political foundation for the further development of the ethos, and we are using that document very actively.
ParlaMint-NO_1999-10-20.ana.ud802e1114	I will be grateful to the Council of State for the answer, and I notice that he underlines that he will follow up on what is stated in the message. But I want to say that right now, as far as I know, there is a nationwide political strike within the prison system. The union of prison officials carries out an hour's political strike against what they regard as a budget that does not provide a basis for following up the policies of the Stortinget report. A political strike is a serious signal. It expresses a real fear that they will not be able to carry out the work they are required to do through the notification of criminal justice. A key message in the message is that employees should create a prisoner's arena, so that they are better equipped for a life without crime when they have completed the zone. I believe that the Council of State is right and proper in this respect to cut the budget as, among other things, shall cover open resolution options?
ParlaMint-NO_1999-10-20.ana.ud802e1121	As far as the budget is concerned, it is for consideration in the Storting, and it is not correct for me to comment on it. What I have commented on in my first answer is what happens to the forest camps that are mentioned. It is for treatment, and the treatment has not been completed. For example, as regards the political strike to which Mr Hegna refers, this was also the case. such a strike in 1997. What we have said clearly in the budget is that we have an obligation to follow up the criminal service message, but that we will put the essentials of the follow-up into the budget that must come after the Criminal Welfare Act has been dealt with by the Storting. It will be sent to the hearing just over New Year’s, and we hope for rapid treatment so that we can follow up the measures in the law. I agree with the representative that those measures require follow-up and that there is an obligation to do so. We've added that to the budget for next year, and I'm not going to say more than that. Otherwise, we have just laid the groundwork for doing so by following up a regionalisation of the criminal justice system, so I feel that we are following up the message. But we have to do it in an orderly way. We first need the legislation in place, and then the necessary appropriations get in place at the right time.
ParlaMint-NO_1999-10-20.ana.ud802e1134	I just want to say a little thing too, and that is that in the municipalities where the forest covers are a very positive attitude both from the municipalities and from forest associations that get a useful job done. I see it that prisoners can do something that in the communities is perceived as sensible and useful, must be positive. As far as I know, there has been a meeting in the ministry with relevant municipalities and organisations. I do not know if the Council of State could give any signals as to what has emerged in that meeting.
ParlaMint-NO_1999-10-20.ana.ud802e1141	I do not know the details of the consultation process it has been prepared for, but I am absolutely sure that there has been such a meeting as is mentioned here. I assume that local emphasis has been placed on what is positive experience. It's normal and normal. What we're doing is when we hear it, we're seeing it in the context of the criminal welfare report, which says we're going to make sure that the open prisons are used effectively, and that we get as much back for the effort we have. Then we have to make a balance, find the intersection between what might be local nutritional considerations, and what's best for the inmates. If it is agreed in the sense that local concerns and consideration for the prisoners and those who work there end up in the same conclusion, nothing is better than that. But it's just to have a starting point to see where the intersection is, that we've done the hearing. Our starting point is that we have to make sure that the settlement conditions are secured in the long term, and then we also have to test these camps. And as I mentioned, one of them, the one in the Skiens area, has been closed for certain periods, because you haven't had enough inmates who wanted to use the camp.
ParlaMint-NO_1999-10-20.ana.ud802e1151	I have this question to the Minister of Justice: ‘Many communities, including Stord in Hordaland, have been engaged in relation to the Serbian asylum seekers from eastern Slovenia, who have now received their final date of dispatch. The Danish authorities have stopped the broadcasts of Serbs while reviewing a report from a ‘fact-finding mission’ to eastern Slovenia. The report contains a number of information on serious and alarming conditions for the Serbs. Will the Council of State stop the missions of the Serbs and also base the Danish report on the policy towards the Serbs?’
ParlaMint-NO_1999-10-20.ana.ud802e1160	Initially, I note that the report is about the situation of the Serbs in eastern Slavonia in Croatia. This is otherwise an area of Norwegian authorities have very good and in-depth knowledge of, and where we keep constantly informed about the development. We receive information from a wide range of sources. We have also been travelling in the area a number of times, not later than September this year, to keep ourselves up to date on the situation. For the moment speaking, Secretary of State Matlary from the Ministry of Foreign Affairs and Secretary of State Hamar from the Ministry of Justice of East Slavonia. The tour will be concluded tomorrow. Following a temporary stop in return to Croatia as a result of the conflict in Kosovo, the Norwegian authorities have resumed the implementation of negative decisions for the asylum seeker group concerned. I would like to stress that all those who are now scheduled to leave the police have received a thorough and individual assessment of their application. The Ministry has also assessed a very high number of requests for conversion made during the period of return or in relation to the setting of exit deadlines. In relation to the Danish report, which we have been familiar with since it became public, I would like to make it clear that it has been very thoroughly reviewed. It does not contain any new or other information than that we ourselves are familiar with and has been built upon in assessing the overall situation of Serbs in this area. Based on the information we received from the Danish authorities, they stopped the broadcasts while waiting for the report to be finalised, as well as a decision on the impact of the report on their assessment of the cases of Serbian asylum seekers. On 14 October, the Danish Refugee Convention decided that the report did not provide a basis for the Refugee Convention to take up asylum applications on its own initiative. In this context, the Danish authorities have not found that the report contains information to suggest that the situation of Serbs in eastern Slavonia is such that return cannot occur. At the same time, however, it decided that the coercive broadcasts should continue to be suspended. This in order to enable the Serbs who claim that they are unlawfully exempted from breast-feeding by means of Croatian authority decisions to have their case re-tested if they so request.
ParlaMint-NO_1999-10-20.ana.ud802e1174	I thank you for your answer. When I visited the Serbs at the reception in the summer, I met a fear that I saw was extremely real, and not a game for the gallery. That's probably also this fear people have seen, which is why they have engaged. I heard what the Minister of Justice said, but how one turns around and turns around Denmark has therefore decided to stop the forced emissaries and go through the cases again, especially considering how amnestylova is practiced. The report shows that it is completely arbitrary who is being tried for war crimes, and that therefore there is no amnesty law that ensures the returnees against being unjustly accused and convicted for war crimes. According to the report, the Croatian authorities indicate that all Serbs of armed age who return may be the subject of persecution. So it seems that this is politically motivated, and that the goal is to expel Serbs from East Slavonia. This was not mentioned in the report of the mission to Croatia at the latest. I would therefore encourage the Council of State to take the initiative to stop the forced broadcasts and review the case again, and then in particular have amnestynova as a backstop.
ParlaMint-NO_1999-10-20.ana.ud802e1188	As I said in my first answer, at speaking time we have a delegation in the area. In the first oral report I received last night – because I knew I had questions about this today – I did not get any information that would change our assessment. I would also like to say that we do not have a report that people who have either voluntarily travelled or been forced to leave Norway have been subjected to abuse after returning to Croatia. Secondly, while the situation of the Serbs in the area is worrying in many ways, it is still a fact that there are many Serbs living in East Slavonia, that they still constitute a majority in terms of the ethnic composition of the population in this area. It is not difficult to understand the involvement in asylum matters, but it is necessary to look into the concrete assessment of the individual’s situation in terms of well-being, health and safety. Based on this, approx. 600 of the Serbs who came here originally were allowed to stay in Norway. There is therefore no doubt that such an assessment is being made. We also have an active follow-up. And as I said, we have gone through the Danish report, and it does not contain actual information that is different from what we have, and we have no information that anyone should be subjected to abuse. Of course, we also have close contact with the U.D. and follow the OSCE in terms of the effects of the so-called Croatian amnesty law.
ParlaMint-NO_1999-10-20.ana.ud802e1195	I thank you for your answer. I am a little surprised when I hear that nothing new has emerged in the Danish report, because the Norwegian authorities have always said that amnesty legislation ensures that it is safe for the Serbs to return. There must be something new, as this report comes with such strong criticism of how amnesty legislation is arbitrarily practiced. I have also read the latest report from the mission to Croatia. There is nothing on how amnesty legislation is practised, and the basis for practice gives real cause for fear. The latest U.D. report says something about the development of Vukovar and the area south of Vukovar. There's actually ethnic killing, and the Department of Justice report also says there's instability, and there's reason for fear. I would like the Minister of Justice's comment on that.
ParlaMint-NO_1999-10-20.ana.ud802e1204	Because it's a very intense commitment around Serbs from East Slavonia in Norway, and because we feel that we have a special relationship with everyone who belongs to the former Yugoslavia, we follow up very closely what happens in that part of ex-Yugoslavia called East Slavonia in Croatia. In the light of the knowledge we have gained, it is consistent with what the Danish authorities have found after considering the matter, that we should not review the matter again. But they do of course what you do here in the country: when new information is provided in a case, they are evaluated. In Denmark, therefore, one believes, as far as I have understood, that information has been provided on the possibility of being prosecuted. Then there is a new case, and it is assessed. We have no such examples of Serbs either forcibly dispatched or voluntarily leaving Norway. With regard to the specific assessment of parts of the area, there is just one of the reasons why the delegation I mentioned is there and will report back to me. Of course, I'm going to question myself very carefully about what they're telling me. Travel is also arranged in such a way as to give you the broadest and best impression possible when you first study the situation.
ParlaMint-NO_1999-10-20.ana.ud802e1218	I have this question to the Minister of Justice: ‘Some Pakistani fathers use their daughter with Norwegian citizenship through forced marriage to secure her cousins or other Pakistani visas, residences and work permits in Norway, according to TV2’s ‘State of the Kingdom’ programme. Will the Government continue to be a passive spectator of such terrible and shocking conditions, or can it be expected that the Government will put an end to this traffic and in what way?’»
ParlaMint-NO_1999-10-20.ana.ud802e1227	The government has taken — and takes — issues related to forced marriage very seriously. The Ministry of Child and Family Affairs last year, in cooperation with several departments, developed an action plan on forced marriage. It has two main objectives: to prevent young people from being subjected to forced marriages, and to provide better help and support to the young people who are or have been subjected to forced marriages. It is totally unacceptable that parents force their children to marry in order for the spouse to obtain a residence permit here in the country. Where this is revealed, criminal law responses will be followed up, and such a marriage that is subsequently declared invalid by judgment will not form the basis for immigration to Norway. The problem is that when they deal with the application for a residence permit, the foreign authorities are not informed that the marriage has been established by coercion. Therefore, if the other conditions of the law are met, such authorisation will be granted. So the main problem is when a marriage is concluded by coercion. There will be a need for a set of measures to address this problem. As I said, the government has drawn up an action plan, and all aspects of the plan will now be assessed. Furthermore, if necessary, we will propose legislative changes. The Ministry assesses, inter alia: Danish law, which has a legal requirement for an interview to expose forcible sex for those who are going to Denmark. Finally, I would like to assess whether there is a requirement for immigrants who marry Norwegian citizens to take part in a course on introduction into Norwegian affairs. I think it's important in itself that the issue of coercion is addressed, and that it is generally debated in society. There has to be greater transparency about these questions. Then also more young people living in unsustainable conditions will dry out. Hopefully, fewer people will also be forced into marriage with people they do not want to marry. I also note with satisfaction that several imams and many in the Pakistani immigrant community in Norway have stated that forced marriages cannot be anchored in Islam or in any form of acceptable behaviour, and that they respond publicly and strongly to this. I think it's good. However, I would like to stress that in the further debate I will also challenge these environments in concrete terms, both in the case of religious communities and immigrant organisations, to take an active part in the fight against coerciveness, and also to participate in the design of concrete measures to combat this phenomenon.
ParlaMint-NO_1999-10-20.ana.ud802e1241	It's been more than two years since the Progress Party proposed to do something active in this area, and the only thing the Government now says is that it will evaluate. Then I would like to ask first: When is the assessment coming to an end and the conclusion coming to the table? The council said he'd assess changes in the law. How long will he sit and evaluate it? When will he come to the conclusion that we are going to legislate the same control authority that is in Denmark when it comes to investigating whether it is forcible or not? We proposed that in the debate on the throne, but we did not get any support from anyone else. My main question is: When does the Council of State expect this assessment – which has been going on under different governments for almost two and a half years – to come to a conclusion? Does he agree with me that that's what the imams say in the internal environments and in the mosques, that counts, and not what may be said in a public opinion to reassure the Council of State? Because in that way it has been very successful. But we know nothing about what is said in the closed environments. And that's what's crucial.
ParlaMint-NO_1999-10-20.ana.ud802e1250	I've been a Minister of Justice for six months, and I think I'm known for acting on the basis of social insight and things that impress me. I am working on these questions that I mentioned in the answer to the representative Hagen, active with interested colleagues, the Minister for Children and Family Affairs, the Minister for Municipal Affairs, and the Minister for Human Rights, and my assessment is to be concluded this autumn. Of course it does. One of the things that's happening now is that what you've had insecurity around comes out in the open landscape. And, of course, when it comes up, you have to take advantage of the situation and not let the debate fall asleep afterwards. I personally do not know that someone is trying to calm me down, but I can assure the representative Hagen that if, in any case, I discover that someone is talking to me in one way, while they are talking internally in other ways – and there are many ways to figure it out – I am going to react actively to it, right there and then and in any context. I'm going to choose the following procedure: along with government colleagues, I'm going to invite religious communities and immigrant organisations to just ask questions about how they, on the basis of their faith and the honour that lies in the commitment in this country to have real freedom of choice, will follow it up. I see this in the context of the legislative changes that we are now considering.
ParlaMint-NO_1999-10-20.ana.ud802e1261	I thank you for the promise that the conclusion of these assessments by the Government will come before Christmas. I am still a little surprised that so much assessment is needed just to introduce the system that a social democratic government in Denmark has put in place over a year ago and that has so far produced good results. I would like to ask: will the Minister of Justice, in the same assessment of changes to the law, also consider whether there should be a requirement for dependability and adequate housing for those who are to have family reunification with a foreign spouse in Norway, so that at least an effective stop can be set for families using young people, residents, Norwegians, young girls, as an entry ticket for a family member in another country to come to Norway with a work permit, residence permit and residence permit – at least to put a stop to where young people living at home are clearly at home with their parents and who are used as an entrance ticket for another relative? This can be done effectively by requiring that before a foreign spouse is allowed to stay, one has to have custody and adequate housing itself, not living with the parents.
ParlaMint-NO_1999-10-20.ana.ud802e1273	With regard to the latest issues that the representative Hagen raised, about housing and dependability, it could probably regulate how many people come to the realm, but it won't be a particularly suitable means of forcing marriage to live. But I'm going to review all the relationships in the job I do. The Danish law, was just publicly commented on by one of the social democrats' leading speech representatives, and he stated that it was primarily meant to be an opinion signal. I have to ask myself whether it is effective enough, whether there are measures that can be more effective. It's in the context that I, among other things, If we consider whether, in the situation in which a residence permit is sought for family reunification, we should demand that when you come to Norway, you enter Norwegian conditions as a condition for being here. It is in the context that I also raise the question of how we can actively challenge all the environments that represent immigrants, to participate in this attitude struggle, in concrete terms, and how we can be fully active on the part of different states councils. I do that because I have one thing in common with the representative Hagen, although we can have many different answers: we react to what is wrong, and then we try to find practical means against it.
ParlaMint-NO_1999-10-20.ana.ud802e1285	I allow myself to ask the following questions to the Minister of Justice: ‘The Supreme Court delivered a judgment on 24 September 1999 condemning a defendant for liability in the same case even if he was found to be acquitted. Will the Council of State take the initiative to amend the legislation in the light of the judgment?’
ParlaMint-NO_1999-10-20.ana.ud802e1294	The size has for many years been concerned with strengthening the position of the victim or of the victim. When a defendant was found to be acquitted, it was under the Criminal Procedures Act of 1887 that the court could only judge liability if the guilt question was settled against him. This restriction was omitted when Stortinget adopted the new Criminal Procedures Act of 1981. The change was one of several changes in order to strengthen the protection of disadvantaged persons. In the judgment referred to by the representative of Hove, the Supreme Court has followed this up by stating that the court shall rule on the question of civil liability when it has been brought into criminal proceedings, whatever the outcome of the criminal proceedings otherwise. This makes it easier for injured parties to have their claim for compensation, and it is in line with the attitude the Stortinget has taken towards the victim's position in general, as I understand it. However, on the basis of the case in question, it may be asked whether the presumption of liability casts doubt on the acquittal in the criminal proceedings. In other words, I see that here stands insulted or the victim's interests against what may be the interests of an accused person who is found to be free. I have therefore decided to get an in-depth analysis of the problem. The Ministry of Justice is now committed to carrying out such an investigation and analysis by an independent expert. In the light of that analysis, I will then consider whether there is reason to propose any amendment to the legislation at the point that has been raised.
ParlaMint-NO_1999-10-20.ana.ud802e1301	I have to thank for the answer, which I see as a positive piece on the way. It is clear, as the Council of State pointed out, that there are important considerations relating to the victim and the situation of the victim. It is also important to recognise that these are difficult questions, and the various votes in the Supreme Court just show this. However, they also show that the Storting may not have been particularly aware of the exact situation when liability is assumed to have been assumed that the defendant has performed the act that the acquittal just assumes that the defendant has not carried out. In some cases, liability could require a different legal assessment, namely where liability, for example: calls for reluctance, and criminal liability calls for intentional action. I would therefore like to allow myself the following additional questions: Does the Council agree that cases where a replacement judgment requires that the court assumes that the defendant has carried out an act which the acquittal assumes is not proved to have done are in a special position? And when can one possibly expect a result of the assessment promised by the Council of State?
