ParlaMint-NO_1999-06-08-lower.ana.ud224e91	The representative, Kenneth Svendsen, will make a private bill.
ParlaMint-NO_1999-06-08-lower.ana.ud224e871	It is true that, in matters dealt with in the Justice Committee, we are receiving input from many teams and many hearing bodies. The question here is well to what extent we're doing the views of our own. At that point, I want a clarification from the representative Tor Nymo in relation to the recording we got from the Law Association, and their views in relation to some proposals that the Government has made. Is it so to understand that Tor Nymo also believes that the Government has presented proposals that are far from our democratic traditions? [[The light goes into the main hall]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e879	Then the light went.
ParlaMint-NO_1999-06-08-lower.ana.ud224e882	It actually looks like you're not interested in me answering it! [[Laughter]] The representative Bjørnstad is trying to express that we are choosing on the top shelf in terms of advice and input in connection with different things. The Schengen issue is a very important matter for the Central Party – as we have stated earlier – just as the membership debate was. In this respect, I recall that the Central Party and our leader made an unusually good effort to prevent Norway from joining the Union – so that's what they said. I know that the representative Bjørnstad was strongly opposed to it, but let it go. He asks if I have the opinion that the government by presenting this is far from democratic thinking and democratic principles. I've never given an expression to that. We have great respect for the fact that a great majority has said and decided that we should adopt the Convention. I think the government has followed the big crowd in a good way, because I noticed that the representative Rasmussen gave praise to the government. I have no problem joining it, even though I disagree in principle with Schengen. The point is – and you should not read much in the proposition until you see it – that the sitting government is taking this very seriously. There are, among other things: taking into account several key consultation opinions, so that I am reasonably convinced that the thorough processing done by this Government is far preferable to what a workers' party government would have done, when we know their strong desire to join the Union.
ParlaMint-NO_1999-06-08-lower.ana.ud224e895	I shall not go into any further detail on the speech by the representative Nymos of the desire to join the Union. But I noticed some things that he said. I can repeat so far what I said in my main post, that I think the government has done a very good job of getting this law in place. Tor Nymo is concerned with this with long queues, etc., but we know that, according to what the Government also says, each country can pursue its own asylum and refugee policy. Then one in each country depends on whether one is more or less liberal, and that is what determines any queues entering each country. It is independent of Schengen. But I have a question for the representative Tor Nymo, because in many of his comments he puts a great deal of emphasis on what the Association of Lawyers says, and so has he here today. Does that mean that the representative Tor Nymo in this case trusts more in the Law Association than in his own government?
ParlaMint-NO_1999-06-08-lower.ana.ud224e904	When it comes to pursuing an independent asylum and refugee policy, I feel that the representative Rasmussen is trying to make it a practical issue. You're actually talking about cooling! With all due respect, the representative has understood little of what is in our principal objection and which has also been argued by heavy hearing bodies. Actually, that's what this is all about. Again, the question of whether we trust the Association of Lawyers more than our own government: the question is not more and better processed after it is repeated – let it now be said. In any case, the situation is that there is a majority in the United Kingdom that wants to accede to the Convention. [[The light comes on in the staging room.]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e911	The change of reply is over, and there is a light on the debate!
ParlaMint-NO_1999-06-08-lower.ana.ud224e914	What we are discussing today is the legislative changes that have automatically resulted from the conclusion of a Schengen Agreement SV. The proposed legislative changes show that there has been every reason to oppose the Schengen Agreement. In Norway, there has been broad agreement on the importance of strong data protection, the proper enforcement of legal certainty and, lastly, the need for monitoring systems to be democratically controlled. In these areas, Norwegian law is now changing in the wrong direction. The amendments also undermine the right of asylum. The Contact Committee between immigrants and authorities is now finding that changes to the law do not imply a dramatic change in Norway’s foreign policy, but rather the closest formalisation of changes that have already been introduced. But Norway is now part of Fortress Europe. Our freedom of choice to pursue a more humane refugee and asylum policy is being restricted. The Schengen Agreement is, as a system, logical in the construction of the Union, a Union to which the Norwegian people said no in 1994. The Schengen Agreement ensures free movement within Fortress Europe and ensures that unwanted persons do not come within. The freedom to cross borders is compensated for by control within borders - a big brother sees you society. Schengen is characterised by many as the laboratory for the development of EU judicial and police cooperation, a cornerstone of the EU Justice Palace. Several hearing bodies show how meaningless it is that all these proposals for amendments to the Norwegian law are only presented after the approval of the Schengen Agreement by the Stortinget in June 1997. There are strong objections, both in principle and in practice, to important parts of the Schengen Agreement from many and very heavy public hearing bodies. They're just being listened to to to a little bit, and the law firm calls this a kind of democracy. When the Stortinget took its position on the Schengen Agreement in June 1997, these problems had to be discussed without any relevant consultation opinions on the consequences of approval. At the same time, it would have been time to present the main legislative proposals before the Storting had to take a stand for the Schengen Agreement. But the workers' party government was in a hurry, so great that there was no time for a – after what we think – democratic treatment. In the light of the consultations currently available, it is also embarrassing that both the Government and the majority of the population refused to take substantive aspects of the Schengen Agreement up to discussion when the Stortinge dealt with the Schengen II Agreement in April this year. The centre batch has many critical comments in the configuration. All of these notes we're going to end up with. We will vote on the proposal of the Central Party when they come to Stortinget. We note that the Central Party takes note of the legislative amendments, but we will vote against all the amendments, with a few exceptions. We will vote in favour of the amendment in section 5 of the law on the extradition of offenders. It is taking the fight against terrorism seriously, and it is a legislative change that should be able to be made independent of the Schengen Agreement. The Ministry of Foreign Affairs, in its opinion of consultation, points out that ratification of the UN Convention to Combat Terrorist Bombing will require this amendment. We have our own proposal for the second paragraph of Section 47 of the Foreign Affairs Act because we believe that the fight against human trafficking must be taken seriously, regardless of the Schengen agreement. SV goes against the whole law on SIS. SIS and SIRENE contain sensitive information available to a number of persons. The activity report of the Schengen Cooperation Supervisory Body, JSA, is troubling in its criticism of the way in which legal certainty and data protection are ensured in both SIS and SIRENE. The bishop of Oslo says in his hearing opinion that too many people are at risk of being caught up in the system, and that the consequences are insurmountable. He goes on to say: ‘Incidental services may be linked to Schengen cooperation in a way that allows the exchange of information to be outside political governance and control.’ Finally, I refer to our proposal to amend Section 47 of the Foreign Affairs Act.
ParlaMint-NO_1999-06-08-lower.ana.ud224e936	Ågot Valle has taken up the suggestion she referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e939	The legislative proposals in Ot.prp. No 56 for 1998-99 has been encouraged to implement the Schengen acquis in accordance with the earlier commitments made by Norway. The legislative changes are necessary as a result of the consent of the Storting on 9 June 1997 for the ratification of the Cooperation Agreement between Norway, Iceland and the Schengen countries. Following the signature of the Cooperation Agreement by Norway on 19 December 1996, no new rules have been adopted in the Schengen cooperation requiring legislative decisions by the Norwegian side. In the work on the proposal, it is generally stressed that the amendments should not go beyond what is necessary as a result of the Schengen acquis. The main challenge has been to develop legislative proposals that provide the most appropriate implementation of the legislation. In preparing proposals for the SIS law, legal certainty and privacy have been essential. The Schengen acquis implemented by the legislative proposals contained in the Proposition has previously been submitted to the Stortinget for consideration by St.prp. No 42 for 1996-97 and in St.meld. No 33 for 1998-99. I have noticed that there is broad support for the Government's proposal. So I just want to briefly mention a few points. The importance of international cooperation in combating cross-border and organised crime is high. I place great emphasis on sharing in more effective police cooperation in Europe when Schengen cooperation is implemented. Norwegian police have access to an effective search register through SIS, the Schengen Information System. The police cooperation we have in the Nordic countries today is very good. With the Schengen cooperation, we will participate in a police cooperation that is constantly developing between a wider circle of countries, and certain aspects of cross-border cooperation with neighbouring countries are being formalised. The challenges facing asylum and refugee policy are also of a significant international nature. It is therefore also our duty to participate in international cooperation in order to contribute to finding solutions to the diverse and major challenges we face almost daily in this area. The experience gained in recent years shows that close contact and consultation with other countries and international organisations is increasingly important, and that international contact complements the instruments we otherwise traditionally have over nationally. Several have expressed concern that, with Schengen cooperation, we should have a more stringent refugee and asylum policy. For me, it is essential in this context that the Schengen Convention has been established in several places that the provisions of the Convention apply without prejudice to the provisions of the United Nations Convention on Refugees and the New York Protocol. It is also in the light of this as a general principle that the Government has presented the proposals for legislative changes that are being debated today and which I have also commented on in writing in the past on questions from the Committee. Mobility and cross-border contact are growing. While most of us can benefit from increased travel freedom, we also know that criminal elements are ready to take advantage of the situation. Increasing cross-border crime is one of the conditions requiring effective control procedures, whether at the external border or otherwise. At the same time, we need to ensure that the control systems put in place can conflict with the obligation we have to contribute to international protection of people on the run. I have noticed that the Committee emphasises the importance of an open and thorough debate on the control procedures established to ensure police control under the Foreign Affairs Act when personal checks are abolished on the internal border. The government is positive to this. At present, the question of which control measures would be appropriate is being discussed with the other Nordic countries. The government is in favour of briefing the Storting on the matter at a later stage. I have noticed that the Committee is in favour of increasing the penalties for the new criminal provisions on the purpose of winnings in the second paragraph of Section 47 of the Foreign Affairs Act, on so-called trafficking in human beings, from two years, which was the Ministry's proposal, to three years. I have no comment on this. Work on the proposal focuses on providing the Storting with the broadest possible overview of the economic and administrative implications of the Schengen implementation. It must be stressed, however, that it is still necessary to reserve the final costs. Through the Schengen implementation project, estimates will be more accurate than those presented in the proposal. However, it must also be borne in mind that the level of control that we impose on the Norwegian side is considered sufficient in relation to the requirements of external border control and other compensatory measures in the Schengen cooperation. This will not be finally clarified until after the conversion has been initiated by the Norwegian side and the approval decision has been taken. These costs fall within the responsibility of several departments. With regard to the State budget for 2000, the Government assumes that each department bears its own expenditure and promotes it in the budgetary process in the usual way. In this context, I would also like to take the opportunity to explain in more detail the process that has taken place in defining the legislation to which the agreement with the EU on institutional solutions for the connection to Schengen cooperation is to apply. On 26 March this year, the Ministry of Justice presented St. ermeld. No 33 for 1998-99 on this legislation. The size of the store was informed that it per person. that date had not yet been formally adopted which Schengen legislation was to be integrated into the EU, as this decision could not be taken by the Council of the European Union before the entry into force of the Treaty of Amsterdam on 1 May of this year. However, the Ministry of Justice stressed the importance of mentioning the legislation contained in the notification as far as it was known at the time and promised that the Stortinget would be informed of any changes prior to the signing of the agreement with the EU. The size has been informed of the changes that took place before the signature of the agreement on 18 May of this year, in my two letters to the Stortinget on 23 April and 12 May. At the same time, it was noted that the changes did not affect the scope of the agreement. The Schengen acquis to which the institutional agreement with the EU is to apply was finally and formally adopted in the signature of the agreement with the EU on 18 May. I would therefore like to take this opportunity to inform the Storting that this legislation, as set out in Annexes A and B to the agreement, in its present final form is identical to what I presented in my letter to the Presidentship of Storting on 23 April and 12 May this year. The proposal today includes a proposal for a law on the Schengen Information System (SIS) and on changes to the Foreign Affairs Act, the Extradition Act, the Police Act and the Criminal Code. The proposal also contains a description of the SIS system, as well as an overview of the administrative and economic consequences that participation in Schengen cooperation will entail. The Schengen Information System is an essential element of Schengen cooperation. SIS is a computerised register for use in all Schengen countries. Within defined frameworks and conditions, Member States may exchange certain types of information on persons and goods via registers. The Schengen information system is necessary for countries to have a common external border control system and important for combating crime and ensuring public order and security. The information system is a very efficient search register. A separate law on SIS is proposed which regulates the processing of data in Norway in the register. The law regulates key issues such as the conditions for recording and providing information, transparency, erasure, compensation, professional secrecy, access to justice and information security. Particular attention has been paid to the consultation opinion on privacy and other important rights. Ensuring privacy is included in the purpose of the law. I propose that the Data Protection Authority should be given a general control function in relation to the SIS. At any time, the Data Protection Authority shall be able, on its own initiative or at the request of the data subject, to verify the accuracy of the data contained in the SIS and whether they have been registered and used in accordance with the rules of the law. The Schengen Convention opens Articles 40 and 41 so that, under very specific conditions, foreign police can observe or persecute cross-border respectively without prior agreement. In practice, this could include police officers from the nearest neighbouring country. In the Police Act, the Ministry proposes to provide a separate basis for the exercise of powers by foreign police on Norwegian soil in cases where the police cross the border with Norway, for example, in accordance with the Schengen Convention and bilateral agreement between Norway, Finland and Sweden. I also want to refer to what is on page 95 of the proposition, and I want to make it clear that we want to evaluate the experience with this after a certain period of time to see how what is laid down in the law works in practice, and what we reap as experience from it. Norway will carry out external border checks, i.e.: personal control and supervision of the external border on behalf of the other Schengen countries. The Norwegian maritime border will be part of the external border. The importance of industrial interests along the coast is important. A broad range has assessed the number and location of authorised border crossing points after Schengen accession. It is based on a decentralised control model that takes into account business interests and how Norwegian police are organised. Work has been described in the proposal and the report has been included as an annex. The Ministry of Justice will draw up regulations and finalise border crossing points based on the Foreign Affairs Act. The most extensive administrative and economic implications of the implementation of the Schengen acquis result from the proposed amendments to the Foreign Affairs Act and the SIS Act. Participation will require Norway to carry out external border checks, i.e.: personal control and supervision of the external border on behalf of the other Schengen countries. The Norwegian maritime border, the border with Russia, as well as airports with air traffic and ports, with the exception of ferry services to and from other Schengen countries, will form part of the external border of the Schengen countries. The implementation of the legislation will entail substantial investment and operational costs. These costs fall within the responsibility of several departments. Work on the proposal has focused on providing the Storting with the broadest possible overview of the economic and administrative implications of the Schengen implementation. It must be stressed, however, that it is still necessary to reserve the final costs.
ParlaMint-NO_1999-06-08-lower.ana.ud224e979	It's going to be line change.
ParlaMint-NO_1999-06-08-lower.ana.ud224e982	When I was in the relationship between the Center Party and this government for which they form a basis, I said that the abnormality had become so normal that the press barely noticed it. But it is not said that we who are in the political environment are not aware of it and believe that it should have been much more focused than it is today. I mentioned earlier the answers that include: The Minister of Justice has given the Foreign Affairs Committee a number of questions from the Schengen sceptics, and I assume that the answers stand for the views of the Council of State and the Ministry, although I know the background of all the government parties in the area of Schengen. Is it not a problem for the Council of State – even today with regard to the implementation of the Schengen Agreement in the law – that a party which forms the basis of the Government still expresses great scepticism as expressed by the Council of State? And I'm assuming, once again, that this is the Council of State's view. I can mention quickly some of what is now available: some cases relate to refugee and asylum policy. It concerns the privacy of the SIS. This concerns carrier liability, which is now quite naturally extended to land transporters in addition to sea and air transporters. And it's not least police cooperation, which the Council of State once again gave a good investigation about, and the strict conditions that apply to this. Is it not a problem for the Council of State as Minister of Justice to operate in relation to a party – which in this case is also a government partner – that acts in that way in the Stortinge on these key issues?
ParlaMint-NO_1999-06-08-lower.ana.ud224e991	It is an elementary fact that the parties that formed this government did not want the Schengen Agreement. This proposal fell duly in the Storting, this relationship was known when the Government was formed, the Government has dealt with the Storting's proceedings and decisions and has also found it right to make it aware, but on the basis of the decisions taken, we have had the task of making the best possible out of the situation. I dare say that the intergovernmental agreement negotiated is a very good intergovernmental agreement. I would also say that within the framework of such an intergovernmental agreement as this is a prerequisite, the terms of such an agreement have been used to ensure privacy and other matters that have been expressed in the case under consideration today. Once we have done that job, there is of course no problem for me – to say it that way – that I get credit for the job being done well, because the assumptions and background for it are well known. This also applies to the Central Party and the position of the representative of Nymos. So this government sits like it does, the debate is going on like it does, and the questions you have about it are going to get you now. But the practical situation is that the Government has submitted a proposal that the Government is behind, to which the Government has received solid support. That's the situation. So it is sometimes in political life that we are persecuted by cross-thinking. But that's going to be one of the challenges life gives us to take on. This applies both within and outside policy.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1003	There may be differences in viewpoints when it is time for wonder and for cross - thought. I may not think that relationships that so much affect our relationship with other countries are the area that is best suited to the type of intellectual practice – if that is the word for it. The Council of State said that the Government is dealing with the decision of the Storting. It's not just the government's attitude to the decision of the Storting. Well, the government identifies itself with the document it submits to the Storting. And then I also assume that there are not only individual members, not just the Minister of Justice, but the government as a collective college that stands for this identification. I want to follow up on what the representative Rasmussen has mentioned earlier today. One of the parties to the Stortinget who is at the same time in government says in their fractional remarks, with the quote from the Advocate General's Opinion: ‘Entrying such instruments is far from the democratic traditions that we in Norway like to profess.’ It further states: ‘This member is very concerned that persons who protest against the aspects of a Schengen policy can be punished with exclusion from the entire Schengen area, perhaps during their lifetime.’ I think it would have been useful for this matter that the Council of State had made it clear that these statements are foreign to the Government's views, and that they are alien to the views of a single College of Government.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1022	It's very important to get quoted correctly. I said that the government was concerned with the fact that before it was formed, the Stortinge had actually agreed to the Schengen Convention. It's clear that when we present a document, we identify with the document. That's our document. And it's like when I'm standing here, I'm talking to the voice of the Government. It was supposed to be missing! That's how the constitutional system that we're part of works. Now it is also part of political life that sometimes government councils want to answer questions that government councils do not answer. That's the way it is today. The answer is very simple. The government has presented its views. Of course, the government is assembled about them. They're for treatment in Stortinget. They will be adopted in Stortinget. I'm very happy about that.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1029	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1034	The left belonged to the parties against the Schengen Agreement in 1997. At the same time, we have to recognise that there have been changes since what makes us today to vote in favour of a legislative decision that is a follow-up to the Schengen Agreement. It means to the extent that we adapt to a reality and a situation that is different than we would in principle wish it to be. It seems surprising to the representative hereafter that a political party is adapting to a situation that has become different from that of the party. This should of course not surprise the representative Hernæs, because there is no party in Norway that has more experience than the right in having opposed decisions and then has had to set itself up after the world has moved on. It's been the situation for the Right from the Right Formation in 1884. When you have an agreement, you will be in the situation that international cooperation is giving and taking. Let's acknowledge that there could be elements in what we are going in today to agree to adopt, which is not exactly what we would have liked. But there is one perspective that we need to take with us, and which perhaps for my part is a significant reason to be partly more positive about this cooperation today than in 1997: it is the fact that, on the basis of Norway's declaration in 1997 to join the Schengen cooperation, large parts of Nordic cooperation have really come into the situation that it will take place in the context of Schengen cooperation. If Norway had taken a different position in 1997, it is likely that the Schengen cooperation itself and the Schengen situation could have been different from today. So we get to accept that international cooperation is giving and taking, and then it's important to have a government that is prepared to take care of important interests. It is then also my opinion that we have got better data protection legislation within the framework of the first system, because we have had a government that has just taken these issues seriously. It is also important in international cooperation to take account of those areas which were part of the Left's grounds for opposing Schengen cooperation. In the end: Kristin Krohn Devold's attempt to start the big EU debate today, I must only be allowed to characterise it as follows: Never has any representative of the EU's supporters so clearly said that the purpose of the policy that has been pursued afterwards was to oversee the people's no in 1994.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1045	This is going to be a three-minute limit to 30 seconds or something like that. I need a little comment to the representative of Hoves's history on behalf of the Right. I don't accept it, and I don't think the Howe will be able to find a single example that the Right in Government has taken a position that the Right Representatives in this room, whether it's a magnification or a ostrich, has taken a distance from or distanced from, either in settings or in posts.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1052	Several have not asked for the floor on case No. 4th@item: inlistbox [[Footage, see page 677]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e1066	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 15 minutes, and that the speaking time be allocated to the groups as follows: the Labour Party 25 minutes, the Progress Party 10 minutes, the Christian People's Party 10 minutes, the Right 10 minutes, the Central Party 5 minutes, the Socialist Left 5 minutes, the Left 5 minutes and the People's Party 5 minutes. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted. The President has reason to believe that the debate will not take as long as the wish is expressed.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1075	The Proposition is a follow-up to the work of the Economic and Social Committee, of a subsequent monitoring of the administrative process and of the work of a working party responsible for investigating the introduction of procedural time limits in the administration. Various initiatives have also been taken in the United Kingdom. The Committee has noted that the monitoring of the processing time in central government showed considerable variation. The Committee, like the Hearing Officers, would point out that the objective is the swiftest and most effective procedure possible. The Committee also refers to the Civil Ombudsman’s opinion, inter alia: in the 1997 Annual Communication, which shows that management practices are not satisfactory in providing provisional responses, see: the second paragraph of Section 11a of the Administrative Act. The Committee would therefore stress the importance of incorporating administrative procedures in order to maximise compliance with the wording of the law providing a ‘temporary response’. The majority of the Committee, with the exception of the members of the Progressive Party, is, moreover, of the opinion that the Administrative Act initially has provisions that balance in a good way the conflicting considerations with regard to the duration of proceedings. The majority of the Committee, all with the exception of the members of the Progress Party, is pleased with the introduction by the Government of service declarations as a central tool for improving the service of central government. The Committee has also noted that the Economic and Social Committee considers that, in a number of areas, procedural time limits should be laid down, on the basis of a statutory provision of the Administrative Act. We have also noticed that the hearing opinions on the proposal of the Economic and Social Committee do not point in any clear direction. The Committee will ask the Government to return to Stortinget with a review of the administrative procedure, including the use of the regulatory helmet, and the impact of the introduction of service declarations and time-limit rules in the specific legislation, in an appropriate form. The majority of the Committee points out that the majority of the working party warns against the introduction of time limits leading to unintended and undesirable effects which are not for the benefit of the public. The majority have taken note of the Ministry's assessment that specific legislation provides for time-limits to which different types of effects are linked and that good experience with these types of rules is generally available. The majority support the Ministry's assessment that time-limit rules should primarily be laid down in specific legislation. The majority also agree with the Ministry that the introduction of regulatory deadlines may be appropriate in some areas and support the Ministry's proposal to include a basis in the Administrative Act as proposed by the Working Party. The majority would also point to the need not only for business to act quickly but also for equal treatment and legal certainty for all citizens of the country. The majority emphasise the need to exploit the current regulatory helmet. The majority point out that it is up to the Government to draw up regulations with appropriate deadlines for different administrative decisions and that this work must be undertaken as soon as possible. The majority point to the fact that the proposal of the Party for a general period of three months is contrary to the recommendations of the Committee on Economic and Monetary Affairs in the investigation set out in Annex 1 to the Proposition. On page 34 of the proposal, the Industry Law Committee says: ‘The Economic and Social Committee would point out that it would not be appropriate to introduce a general deadline for all matters dealt with by the administration. The diversity of administrative matters could be maintained by adapting the length of time-limits to each type of case.’ The majority have also stressed that industry itself — in the two hearings on these issues, as outlined in the Proposition — has not addressed such a general deadline. The majority have noted that the working group does not share the views of the Economic and Social Committee on the need for rules on specific legal effects related to deadlines and that the views of the working group on this point are supported by most hearing bodies. The majority share the Ministry’s view that the sanctions imposed by the Food Law Committee will have adverse side effects which are disproportionate to the effect of the duration of proceedings with which such rules could possibly be achieved. The majority will not rule out the possibility of returning to specific legal effects as explained in the proposal. Of these legal effects, there is in particular the legal effect of automatic recognition which should be assessed and investigated in greater detail and which, in the opinion of those members, is particularly relevant for the introduction by specific legislation. However, the majority want to see how practice develops after deadlines have been introduced. Finally, I allow myself to ask Odelstinget to vote for the setting.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1118	Public administration time and routines are a noble topic, often based on the lateness of the procedure and the fact that it is all too inconsistency. There is a criticism that can be more or less justified, and there is no doubt that many can experience the meeting with the public treatment system as frustrating and not very satisfying. But the opposite can also be the case: many people can experience a public system, for example. in some municipalities, where the administration is both service-minded, quick and not least thorough and fair in its treatment. This last one, which goes on principle and on justice, may be a lot of people who don't think about it. In some cases, a minimum period of time is required to comply. I also want to mention the myth that everything is so much better, faster and more efficient in the private business. Compared to public opinion, I find from my own experience that this is not the case. What is at issue in this case is the way in which administrative matters are dealt with, and in particular the time taken to deal with them. I am not going to repeat the history of dealing with this issue here today, just mentioning that the Stortinge when dealing with Document No. 8:120 for 1997-98 decided to await the situation of this proportion. The starting point of the working party is that there is a potential to improve public procedures and, in particular, to improve the potential of the process. The objective must be the most efficient, fair and serviceable public administration. In view of the diversity of issues involved in the treatment, scope and content of the cases, it would be totally wrong to impose fixed general time limits for public proceedings. A much more differentiated approach must be adopted, allowing time-limits to be set in individual areas. The Labour Party therefore supports the Government's proposal that Section 11(b) of the Administrative Act states: «The King may set time limits for the management of individual decisions. The king may, by regulation, lay down detailed rules for the calculation of the time limits.» I don't want to spend a long time deepening our position any further, just saying that we agree with the Government's further proposal to deal with the case complex itself. In particular, we think that an introduction of the so-called service statements is exciting. We also support the assessments that have been made on specific legal effects related to deadlines. Of these, I would like to mention, in particular, the possibility of automatic recognition as an interesting topic that might become relevant, but we will only see that when the Government comes back with its assessments.
ParlaMint-NO_1999-06-08-lower.ana.ud224e1132	It turns out in this case that once again the party of progress remains alone in strengthening the condition of consumers. We have had similar issues earlier in Document No. 8 proposals, and that was the exact same thing there. I have the feeling that most of the parties don't quite take the ball. It is important to confirm in its speeches that consumers are to be strengthened, but when adequate action is to be taken, the load is dropped. That is why we disagree that no penalties should be attached to the time constraints of the administration beyond what legislation already operates. The government's proposal to introduce service declarations in the administration could easily become just one blow in the air. We would point out that service statements will not be a sufficient tool to streamline management without supplementing them with concrete and additional deadlines. Today, there are many examples from some municipalities that have already introduced so-called service declarations, but it has not improved the situation of consumers, on the contrary. I would like to refer to some articles that mention this with management: a life-threatening sick 77-year-old has been waiting in vain for a response from one of our social security offices for more than seven months. That's one example. However, at regular intervals the country’s newspapers can report similar treatment from public authorities. Even three and four years of waiting have become something that seems to have to be found on the part of departments and public agencies – a form of procedure that can only occur as long as it is hidden and protected by what health and social representatives in Oslo, Helge Hjort, have so aptly called the ‘nameless bureaucracy’. Even the ministry that was to deliver an opinion on time-limits in public proceedings submitted its suspension 18 months late, by indicating that there was no need or reason for new rules on time-limits. That is to say, no one should be responsible. No one shall have to take employment or other consequences because of their lack of ability or willingness to follow up a case in a way that society and the public should have a natural claim. When it takes more than four years for the State Health Authority to answer a simple and small case, carefully prepared in advance with professional and unambiguous opinions, something clearly has to be wrong – and the matter has not yet been properly dealt with. During these years, the same small case has walked between six, possibly several, case handlers, all of whom have had to re-enter it. Faced with such administrative chaos, it is not for believers when one of the department heads in a newspaper interview complains that one has had more to do for a period of time than the manning calls for. It also emphasises the majority of votes in favour. It's because you don't have enough resources in the administration -- it's municipal or in other areas. This is a discharge. In this area, too, priority is given to prioritizing resources and taking sufficient account of consumers' wishes. The Progress Party supports the Proposal of the Economic and Social Committee to introduce deadlines in the management. We'll make it more concrete. In the interests of both enterprises and industries, and not least of individual people, greater predictability and a generally shorter and more efficient public administration procedure are currently required. We believe it would be both useful and necessary to introduce concrete deadlines into the Administrative Act, especially when the administration, which I have already been involved in, trains matters and procedures. On the other hand, we support the Ministry's proposal for a regulatory body that allows time limits to be introduced, but we believe, as I said, that the proposal does not go far enough. Therefore, we propose that the general regulatory body provide a special rule for applications for authorisations, authorisations and authorisations, stating that the time limit for dealing with such cases should not exceed three months. We will also link the legal effect to the expiry of the three-month deadline. I'm dealing with our proposal, which concerns this very thing. I would also like to address a study actually carried out by the Ministry of Local and Regional Affairs as part of a major review of local democracy in 19 selected municipalities in six regions — a survey whose results have been obtained. And, among others, neither Health and Social Ombudsman Helge Hjort in Oslo nor Managing Director Peter Batta in the Landesförbund is surprised by the result, which shows that 48 p.m. of the asked parties, the lack of trust in the municipal proceedings reveals: ‘My experience is that the rules of procedure are often broken. People usually have a too positive view of how the public case is going on, says Hjort. He assists many of those who face problems in the municipal health and social services of the capital.’ In fact, there are bureaucrats who also respond to the fact that there are no satisfactory deadlines within the management. In addition, it says: ‘Some of the problem is due to a lack of sanctions if the laws and regulations are broken by civil servants. Case-handling errors only lead to reactions where the outcome of a case may be different. It seems to me that Norwegian administration does not have sufficient ambitions to comply with the laws and regulations that actually apply, says Hjort.’ He is clearly up-to-date on what the matter is really about. I would like to quote Peter Batta in the Federation of the Houseowners: ‘My criticism of the public services is not about rejection, but about the fact that deadlines are being ignored and that the answers that are coming do not say anything at all. The latter often happens, because no one assumes responsibility for a matter, but eats a customer with swada, says Batta." It is for this reason that the Progress Party will have a legislative framework which will ensure that the administrative body itself or the overall authorising authority and the relevant staff member will have an incentive to comply with the absolute time limits so as to have an impact on the administrative body, on the granting authority or on the substantive substance of the matter. We are referring to the fact that the Food Law Committee proposes that provision should be made for specific legal effects to be regulated if the time limits set for improving the effectiveness of the rules are exceeded. The Party of Progress does not share the Ministry’s reasons for not following up the proposal of the Committee on Economic and Monetary Affairs and Industrial Policy. The imposition of alternative penalties such as compensation, fines, fees, automatic acceptance of applications, legal measures and complaints to the Civil Ombudsman in relation to the expiry of time limits should not be a practical problem, if the will is there. We point out that there is consistently good experience with time-limits in specific legislation to which different types of legal effects are linked. We therefore propose that: «The King may set time limits for the management of individual decisions. The time limit for the examination of an application for authorizations, authorisations, authorisations, etc. may not exceed three months. If the case has not been settled within three months, the application shall be deemed to have been granted unless it would be contrary to the rights of others.The King may, by way of regulation, lay down detailed rules for the calculation of the time limits, including the effect on the expiry of a time limit relating to matters other than those referred to in the second subparagraph.»
