ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e15	The representative, Bjørn Hernæs, will make a private bill.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1044	There are two different proposals from the Committee on the Rules of Procedure, the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Proposal No. 5 replaces the proposal in the vote under proposal No. 2 in the case of § 4-9, first paragraph. Proposal No. 2 sounds: « § 3-4 is replaced by the following:§ 3-4 Information when the patient is a minorIf the patient is under 18 years of age, both the patient and the parents or others with parental responsibility should be informed. If the Child Protection Service has taken over the custody of children under 18 years of age under § 4-8 or § 4-12 of the Child Protection Act, the same shall apply to the child protection service. § 3-6, second paragraph, shall be replaced by the following:If health professionals provide information which is subject to a legal obligation to provide information, the information to which it relates shall be informed of the information provided and of the information to which it relates. Paragraph 4-1 of the first paragraph is replaced by the following: Health care can only be provided with the patient’s informed consent, unless there is a legal basis or other valid legal basis for providing health care without consent. In order for consent to be valid, it is necessary to demonstrate that the patient has received the necessary information on his health status and the content of the health care. The first paragraph of Section 4-3 is replaced by the following:The right to consent to health care has legal personality, unless otherwise provided for by specific legal provisions. § 4-4 first and second paragraphs are replaced by the following:The parents or others with parental responsibility are entitled to consent to health care for patients under 18 years of age.If the Child Welfare Service has taken over care of children under 18 years of age under the Child Protection Act § 4-8 or § 4-12, the Child Welfare Service has the right to consent to health care. ‘... Proposal No. 5 sounds: « § 4-9 first paragraph shall read as follows:The patient is not entitled to refuse to receive blood or blood products or to refuse to interrupt an ongoing hunger strike. ‘... The President shall first allow votes to be taken between the respective paragraphs and the terms of the vote and the proposals of the Advancement Party. In the case of § 3-6, alternative voting is made between the second and third paragraphs of the suspension and the second paragraph of proposal No. 2nd@item: inlistbox The third paragraph of Section 4-5 shall then be contested. The Progress Party has announced here that they will vote against it. Finally, the other paragraphs and paragraphs under Chapters 3 and 4 are added.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1270	There is an aberrant proposal, No. 2nd from the Progress Party. The proposal reads as follows: « § 7-1 is replaced by the following:§ 7-1 Right of appealDecision under § 2-1 may be appealed against by patients or by relatives when they have applied for health care on their own. care for patients. The patient who has received a refusal of assessment under Section 2-2 to the reassessment requirement under Section 2-3 or on the request to change the hospital under Section 2-4 may appeal against the decision.The patient or the family member who considers that the provision of the right to participation and the right to information, the right to transparency, correction and deletion of the record and the right to self-determination have not been complied with may complain of a breach of the health care professional's obligations under the law. §8-1 is replaced by the following:§8-1 PurposeThe Ombudsman shall work to ensure that patients are not subjected to injustice and that health professionals do not neglect their duties. In addition, the patient representative shall work to address the patient’s needs, interests and legal certainty regarding healthcare and to improve the quality of healthcare. The patient ombudsman shall carry out his/her activities independently and independently and has professional secrecy under the Health Care Professional Act. § 8-2 is replaced by the following:§ 8-2 The scope and responsibilities of the schemeThe Ombudsman shall be a State responsibility with representative in all counties of the country. The responsibilities and work of the healthcare professionals shall include the specialist health service, both somatic and psychiatric, and the primary health service. The sixth paragraph of Section 8-7 shall be replaced by the following:The Ombudsman shall be able to take individual decisions on matters governed by regulations. ‘... Alternatively, between the respective paragraphs and the sections of the suspension and the proposal of the Progress Party, and then above the other paragraphs and paragraphs of Chapters 7 and 8.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1349	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1356	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1362	During the debate, Ms Knudsen, on behalf of the Progress Party, put forward the following proposal: ‘The decision asks the Government to submit proposals for legislative revision as soon as possible, where membership of student relations is voluntary. ‘... This proposal will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1412	The party of progress has announced that they are moving towards it.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1435	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1442	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1506	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1513	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1519	During the debate, Mr Evje, on behalf of the Progressive Party and the Socialist Left, put forward the proposal, which was included on page 3 of the vote.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1614	To the second paragraph there is a different proposal from the Progress Party and the Socialist Left. The proposal reads as follows: ‘ Paragraphs 3 to 9 of the second paragraph are replaced by the following: Symbolically speaking, the school is meant where sign language is the main language and where all provision is organized for hearing aids. ‘... The second paragraph of the voting shall be replaced by the present proposal, after which the Committee shall be nominated to the other paragraphs.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1650	The party of progress and the Right has announced that they are against it.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1672	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1680	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1690	B will be sent to Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e1699	There is no record.
