ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u165	Mrs. Rodriguez.
ParlaMint-ES_2015-04-29-CD150429.u166	And the question I ask you, Mr Montoro, is this: did you have any coffee with Georgina Lastra to ask what was going on with the report that this inspector had made on the business plot in Castile and León? Did you pick up the phone and ask someone, when you found out that Mr. Trillo and Mr. Pujalte were one of the big offices, or small ones, because they constituted them a few days before they started charging? Did you ask anyone if they were actually in these big offices with the companies that are brokers of this plot of looting and extortion, where, Mr. Montoro, there is a ball of 110 million...
ParlaMint-ES_2015-04-29-CD150429.u167	Mrs. Rodriguez, I'll conclude.
ParlaMint-ES_2015-04-29-CD150429.u168	I'm done, Madam President. ... in the concession of thirty-five wind farms in my community, with the government of President Herrera? But do you know how many wind farms there are in Castile and León? There's two hundred and twenty. When the investigation is over, what number will we be talking about? That EUR 110 million is 18.3 billion of the old pesetas. Mr. Montoro, you ask me what I want you to do. I want you to act as a government, I want you to bring to the Council of Ministers the amendment of the Organic Law on Electoral Reform...
ParlaMint-ES_2015-04-29-CD150429.u169	Mrs. Rodriguez.
ParlaMint-ES_2015-04-29-CD150429.u170	...because we're tired, Mr. Montoro. We are tired of Members, politicians who do not inherit offices, who are not going to leave their offices to our children, who in this you also have biological determinism.
ParlaMint-ES_2015-04-29-CD150429.u171	Mrs. Rodriguez, it's over.
ParlaMint-ES_2015-04-29-CD150429.u172	We're tired of you not feeling ashamed. Yesterday the last Member discovered in the incompatibility said: I am not ashamed of anything. Do you know what I'm saying? You're not ashamed, but you're embarrassing us all. So we're not going to allow it, and we've been in this legislature for a while... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u173	Mrs. Rodriguez, I'm so sorry, but your time is up. Thank you so much. Minister.
ParlaMint-ES_2015-04-29-CD150429.u174	Thank you, Madam President. Mrs Rodríguez, you with your style vehemently surpass me much in any debate, I am already used to throughout this legislature. I'm going to lower the tone to make some considerations. When's all this getting to know you? With you in the government? When were you Secretary of State? Or are the institutions functioning rigorously and effectively at this time? [[Protests by Mrs Rodríguez Ramos]] We'll see what the consequences of those investigations are, but what you've done here is also another disqualification. You disqualify everyone, the delegate of the Tax Agency in Castile and Leon, in Valladolid, whom I don't know. How am I supposed to meet a person who's a tax agency delegate? You understand institutions as susceptible to manipulation. That's the difference. That's the difference. [[Rumors]] I told you yesterday in the Senate. Apparently that's what you should try to do. But I guarantee and guarantee to all Spaniards that this does not happen, that neither that institution nor the General Intervention of the State nor so many other institutions that are allowing us in Spain to really make progress, also in avoiding, in laying down the procedures so that none of the things that we are aware of today, which are rightly alarming, do not happen. However, we must allow research to be completed and not make political and partisan use of the functioning of the institutions. Besides, Mrs. Rodriguez, anyone can see it. What is happening at this stage with a People's Party government and what was happening with the previous socialist governments? What was going on? It will now turn out that corruption is new in Spain, that there was never a governor of the Banco de España who had an account in Switzerland. It's just, it looks like it's new everything you're bringing in. It's not new, it's the human condition, and that's fought with effective laws and institutions persecuting those behaviors effectively, and that's what's happening right now, bad as it weighs; just like in paying taxes, as I used to say to a fellow banker. When I left the Ministry of Finance the big companies were paying very high taxes, when I came back many of those big companies did not pay taxes. The crisis. Change the tax rules for these big companies to pay taxes. We have brought these tax changes here, and today they are paying taxes in Spain, and that makes our tax system more equitable, and we have a tax agency with a high degree of efficiency. He can no longer maintain what he maintained in February 2013: there are instructions for inspectors not to inspect. On the contrary, tax agency inspectors enjoy full freedom and cooperate in the assistance of the justice system from the point of view and personal professionalism. That is why you must not make such criticisms, especially coming from whom you come and having been a member of a government where nothing happened, and where nothing was practiced. That's why there was a government relief in Spain; there was a crisis that destroyed hundreds of thousands of companies, 3.5 million jobs were destroyed, but that had nothing to do with the rest. [[Protests]] No one in the Government of Spain developed the premiums for renewables, which have subsequently led to exaggerations at least; that was not done by anyone. Ladies and gentlemen, the socialist governments did it, they did it... [[Denials by Mr Gordo Pérez]] Or isn't it? Didn't they? Didn't they? [[Protests]] Well, nothing. We have had to come to correct that so that today Spain is recovering in economic terms from all those very serious holes, including the tariff deficit, and we can now have a component of energy evolution that helps Spain's competitiveness and economic recovery. [[Protests by Mr. Elorza González]] But you are not interested in these debates, you are in others, but I am interested in the debate on the effective functioning of the institutions, so, Mrs Rodríguez, ladies and gentlemen of the Socialist Group, ask yourself why today there is so much effectiveness in the institutions and when you were ruling there was no effectiveness at all, and we were living a political discredit for the ineffectiveness of a government that passively attended the development of the worst cancer that a society and a country could have, which is the generation of unemployment, the destruction of jobs, the systematic destruction of businesses, with a wrong policy like that being done from that blue bank, where you were at the top of that administration working to bring Spain to the economic disaster we were reaching. [[Rumors]] [[Protests by Mrs Rodríguez Ramos and Mr Gordo Pérez]] [[Protests by Mrs Rodríguez Ramos and Mr Elorza González]] I'm done. I insist, Mrs Rodríguez, that, of course, we must first let the laws that we have passed show their effectiveness, and we must leave the institutions complete freedom to function, as well as have the confidence of the officials who are in those institutions. [[Protests by Mrs Rodríguez Ramos]] They, with their work, with their effort, with their capacity, are the ultimate guarantor of the rule of law in Spain. But don't go ahead with events and don't make the other one's politics, to be angry, to be embarrassed; go to the debates that are also fundamental to the citizens, and ask yourself, Mrs Rodríguez, why we are now knowing what we have not met with you in the governments of Spain. [[Protests by Mrs Rodríguez Ramos and Mr Elorza González]]
ParlaMint-ES_2015-04-29-CD150429.u175	Thank you, Minister. - the Joint Parliamentary Group,, on the acts of commemoration of the seventeenth anniversary of the liberation of the MAUTHAUSEN EXTERNAL FIELD, where more than seven thousand republicans of the Spanish state were killed, and other camps, as well as the end of the Second World War. [[Señor Tardà]] [[File number 172/000306]]
ParlaMint-ES_2015-04-29-CD150429.u176	We turn to the urgent inquiry of the Joint Group, in particular Mr Tardà, on the events commemorating the seventy-year anniversary of the self-liberation of the Mauthausen extermination camp, where more than 7,000 Republicans from the Spanish State and other camps were killed, as well as the end of the Second World War. Mr Tardà has the floor for his presentation and defence.
ParlaMint-ES_2015-04-29-CD150429.u177	Thank you, Madam President. Minister, I present this question to you and your Government following the commemoration of the 70th anniversary of the liberation of the Nazi extermination camps and the end of the Second World War, and once again I present in this Congress facts that should be recognized by the Spanish State - which you represent - in a legally valid form and with the legal recognition of Spain's participation in the political persecution carried out by the Axis countries, which was confronted by the Alliance which subsequently gave rise to the birth of the United Nations. Mauthausen was the camp of the persecuted politicians and not just the Republicans. It was also a field classified as category III, that is, extermination. There they were killed and exterminated politicians from virtually all European and other countries outside Europe - in total more than fifty nationalities - and thousands of Republicans arrested and detained as a result of being arrested as members of the French Army from June 1940, who were transferred to concentration camps where the Geneva Convention was respected, but who were then deported with Franco's consent, who informed the German authorities that, outside the borders, there were no Spaniards. Thousands of Republicans were also arrested by the Gestapo and sent directly to the camps and there is also the case of the railway convoy of the 927 civilians who were in the camp of Les Alliers, next to the city of Angulema. I repeat, Franco not only disagreed, but he agreed with Berlin on the status of stateless persons, which is why in Mauthausen, as you know, Republicans were not identified with the red handkerchief of political prisoners but with the blue handkerchief of stateless persons. [[Shows a blue handkerchief with the letter S.-Applause]] This is the reality as a result of the fact that deportation orders determined that the Republicans should be stripped of their status as prisoners, ultimately a symbiosis of interests between the Franco regime, interested in the German authorities handing over to Companies, Peiró and other senior Republican leaders, and the German authorities interested in having slave labour. As you know, minister, the testimonies of what happened there were taken by legal officers of the III Corps of the United States Army, among which there were some who later managed to conduct cases settled in Nuremberg, which is why the Republicans of the Spanish State were recognized as victims by the court and the Nuremberg sentences. And that, so many years later, I myself - and forgive petulance - have to open this inquiry by reminding it that it means that in this state, born in 1978, a democratic state, it is unknown that these facts have legal value and an enormous symbolic value. I say it plainly. A government such as yours, integrated in the democratic Europe, cannot ignore it and cannot limit itself to promoting moral recognition, as happened yesterday in the Constitutional Commission, because we speak of the great attack on the common conscience of humanity that represented fascism and national socialism, because we refer to the extreme and systematic cruelty exercised by both regimes, whose crimes were brought to the Nuremberg strata, and their prosecution - and this is really the important thing - gave rise to the current international criminal law, especially the criminal type of crimes against humanity, then the Spanish State must correct, and it should be a good occasion in this year 2015 to commemorate the 70th anniversary of the liberation of the Nazi extermination camps and the end of the Second World War, in short, ladies and gentlemen, correct to approve other States that have recognized the victims legally and, I repeat, not as the non-law proposal adopted yesterday in the Constitutional Commission on the proposal of the Socialist Party, which confines itself to recognizing a simple act of tribute and the granting of honours. This is another toast to the sun, another aesthetic act devoid of content. There is no real content, therefore, without legal recognition and without justice, any tribute is hollow; without legal recognition, victims do not exist. Before any tribute, the Spanish State must assume its own problem and put an end once and for all to the forced invisibility it seeks to impose on Republicans, victims of Francoism and National Socialism. This year 2015, Mr. Wert, should be the time to bury all the hypocrisy and bury all the manipulation manoeuvres, if not counter-intelligence, with which attempts have been made to avoid legal recognition and access to justice for the victims of the crimes of Francoism. Ten years ago - I repeat, ten years ago - this same Member, through an initiative of the Catalan Republicans, gave rise to a debate in this Congress, in which it was claimed that the Spanish State should clarify its responsibilities towards the deportees, and I will read to you, Mr Wert, what was approved, textually. It says: "The Congress of Deputies will address measures to establish adequate recognition and achieve the moral, legal and, where appropriate, economic rehabilitation of the victims". Since then, nothing has been done in favour of the victims and much has been done to hinder or prevent the bringing before the courts of the SS, murderers of Republicans, and I give you an example. The Public Prosecutor's Office of the National Court, following instructions from the State Attorney General, has opposed the advance of the only case that has existed in favour of the Republicans of the Nazi camps in the Spanish State. I refer to the SS Totenkopf case at the National Court that was opened in 2008. This obstacle will increase the annals of the ignominy of the State, which, on the other hand, would have to protect them, would have to protect the few victims present and, above all, the absent victims, which is the great difference that exists between the Spanish State and the other democracies that finally did all this. Look at what's happened so far. Felipe González, in 1995, refused to attend the liberation acts of the Mauthausen camp because he was waving the Republican flag. Zapatero, in 2005 - it has to be recognized - it was, but this visit - and I refer to all those who were present -, far from being part of the official protocol of the camp and the one used by the victims, was totally improvised and lacked respect for the survivors and relatives of the victims by trying to impose the current monarchy flag on those who have been reminding year after year of the values for which their Republican comrades died, and it has to be recognized - because, if not, it would lack the truth - that the Socialist Party apologizes. Then the mere formalities - I say mere formalities because Minister Margallo has announced that he would attend the events to be held on 9, 10 and 11 next May - and the scenic effect of them run the risk of becoming a real reproach without having previously asked for forgiveness as a State and having recognized as victims of Francoism, and after national socialism, the more than 10,000 citizens of the Spanish State who passed through the Nazi camps. These mere formalities must be the consequence of legal recognition and not an isolated act devoid of real value, because, if not, we would be faced with great frivolity. The thousands of deported Republicans - Mauthausen, Gusen, Dachau, Ravensbrück, Buchenwald -, of whom most were exterminated by different methods - exhausted by forced labour, gassed, hanged, shot, beaten - these thousands of Republicans were not victims by chance, I insist, were victims by their status as Republicans. After forty years I have asked you five questions quickly that will certainly form the motion that we are going to put to the vote and on which the rest of the groups will have to choose whether to vote in favour or against it, and whether you can answer me now, better, understanding that all this is somewhat improvised on your part. First, the request for forgiveness by the State. And don't tell us that it can't be because the Spanish democratic state can't take responsibility because it has nothing to do with the Franco state. From the point of view of international law, this argument is a legal aberration. The continuity of States is one thing and their regimes are another. Does today's Germany have anything to do with National Socialist Germany? Does current France have anything to do with Vichy's France? On the other hand, Germany and France have asked for forgiveness. Well, it is up to the head of the present State, Philip VI, to apologize to the victims on behalf of the State. Two, legal recognition of the victim status of persons who were interned, murdered or survived and their relatives, and, as a result of the previous point, the development of all necessary measures to meet the moral and economic reparations to the victims. There's something I'm sure you're interested in. We cannot allow the new generations not to be aware of the great contributions of the Republicans who fought militarily to win World War II and bury fascism...
ParlaMint-ES_2015-04-29-CD150429.u178	Mr. Tardà, you have to finish.
ParlaMint-ES_2015-04-29-CD150429.u179	... and neither can the new generations ignore the scope of the responsibilities of what the deportation of citizens of the Spanish state meant thanks to the policy of Mr Serrano Suñer, who agreed, as you know, with Mr Himmler - if you can tell this character - the stateless status of the Republicans.
ParlaMint-ES_2015-04-29-CD150429.u180	Mr. Tardà, you have to finish.
ParlaMint-ES_2015-04-29-CD150429.u181	So, Minister, I look forward to your reply with great interest and I hope that in the coming days the parliamentary groups will begin to reflect on this and that we will be able to vote in favour of a motion on the 12th for the victims. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u182	Thank you, Mr. Tardà. Minister for Education, Culture and Sport.
ParlaMint-ES_2015-04-29-CD150429.u183	Madam President, ladies and gentlemen, Mr Tardà, it is not normal for you and I to agree on many things when we are faced in this Chamber, but today we are. We agree with the abomination, the horror, the condemnation without any kind of palliatives and the need for moral, symbolic, legal and political restitution of the victims of Nazi barbarism, and particularly those closest to us, who are the Spanish victims of the extermination camps. We agree that restitution is accurate, and not only the material and legal restitution, but also the emotional and symbolic restitution that implies - and I link it to the last point of its intervention - that the next generations, through the educational process, have full knowledge of this episode of historical horror that was Nazism and of what its consequences were. In that regard, I have to say that this Government, like other previous ones, has taken various kinds of initiatives and from this point of view it cannot - in any case, in my opinion, it is not fair to speak of a significant failure, and there is indeed continuity between the governments. The Mauthausen camp and the various subfields around it, particularly that of Gusen, were known from the first convoy that in August 1940 arrived there, where Spanish went, like the Spanish camp. In this field, moving stories of heroism, resistance and honour were written by many Spanish Republicans who, as his lordship has recalled, were in some cases deported by the authorities of the so-called Free France, of the Vichy regime, and in others or were arrested as prisoners of war because they were participating together with the French army in the defense of France, or were directly taken prisoner by the Gestapo and led to this camp, which was the first to receive the type III classification, that is, that of the harshest conditions and which the hierarchs of the Nazi regime considered irrecoverable. In that field, indeed, many Spaniards died. There is a general regulatory framework, as your lordship knows perfectly well, for the application to the deported, established by the Historical Memory Act, particularly the declarations of reparation and personal recognition contained in article 4 - up to now 1,655; during the period of this Government, 301-, and also, of course, a general recognition of the radically unjust condition of all convictions and sanctions produced for political or ideological reasons during the war and dictatorship. I agree with you, Mr Tardà, that it is particularly harsh and particularly worthy of condemnation that, in addition to the material suffering suffered by the Spanish deportees, they must suffer that kind of additional moral suffering which implies the loss of national identity when they were considered stateless. You have shown the symbol of the Friendship of Mauthausen that effectively reproduces the badge that pointed to the Spaniards as stateless. I have to tell you that from the point of view of both legal and moral reparation established by the law, the Ministry of Justice has an important task, not only in promoting such recognition and promoting the various activities that, also related to the deportees, arise from the law to which I have just referred, but also in maintaining a database of the deportees that contributes to a better knowledge of the situation. The ministry I am honoured to lead also has a leading role in this regard. I am absolutely convinced that his lordship is aware that it was in the framework of research promoted and subsidized by the then Ministry of Culture when precisely, in the weeks preceding the commemoration of the 60th anniversary of Mauthausen's liberation, it was discovered the imposture of Enric Marco, then president of the Friendship of Mauthausen, and it was the work of two historians, Benito Bermejo and Sandra Czecha, who allowed not only that discovery and what entails moral restoration of the victims of that camp, but they have continued to work with the support of the ministry I run - the last contract was signed in December 2014 - to update that database of the deported to the camps. Specifically, with the contract signed last December, the updating of these databases has made it possible to identify 120 new deportees about whom there was no news and more than 2,000 new data about the 8,707 Spaniards who were already known. [[The lady]] It also raises a number of petitions or petitions - I imagine they will be put into practice in the subsequent motion for an inquiry that will be presented in the near future in this House - in order to make that recognition more complete. It will obviously depend on your specific approach - because, as you have acknowledged, it is very difficult to give an answer on behalf of the Government without knowing the details - but I would say that we agree with the spirit. To the extent that the mechanisms of the law allow for this triple recognition of victims - legal recognition, moral recognition and, to the extent that it is combined, economic recognition - will certainly have the support of the Government and the People's Group. With regard to the knowledge by generations of the horror of Nazism, knowledge of the holocaust and the phenomena associated with it is specifically included in the various curricula on a cross-cutting basis. You know that this government - specifically this minister has done so - has participated, in all the years in which the celebration has taken place, in the commemoration of the holocaust that has been organized successively by the Congress of Deputies and the Senate and maintains an attitude of permanent readiness and commitment, in its part, with which it corresponds more with the aspects of moral restitution of the victims. One of the first books about this period written by Germans is The German catastrophe, by Friedrich Meinecke, at the end of whose pages there is a judgment, a sort of general judgment on Nazism, which sometimes surprises because it seems to be a very limited condemnation of the horror that the regime meant. Meinecke says: This was not necessary. But, if it is seen in its context, it is pointed out that the consciousness of the civilized world in the face of that horror must begin by recognizing that such an act contrary to the basic principles of humanism, so contrary to the right to life, so contrary to the dignity of people, so cruel, so horrified, before anything else, was not necessary. I hope, Mr Tardà, that we will be able to find a common ground on this issue, because it also seems to me that in matters like this disagreement is not necessary. Thank you very much, Madam President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u184	Thank you very much, Minister. Mr Tardà has the floor.
ParlaMint-ES_2015-04-29-CD150429.u185	Minister, I am grateful that both the tone you have used and mine have been used today, because we were used to another tone between you and me, and this is good always. You speak of agreement. The only agreement that has been reached so far is that which occurred yesterday in the Constitutional Commission on the proposal of the Socialist Party, which hurts my soul: to give a decoration to the survivors, about 15 throughout the Spanish State, with which the garment to pay is tiny. The whole story is solved with a decoration and a tribute to the 15 survivors. I don't think this is the deal. The agreement is to do everything that other democracies have done, other democracies that had the misfortune that we had of suffering fascist or totalitarian pasts. All democracies, sooner or later, have metabolized it by thinking of future generations, strengthening democratic values. How did it get done? Following international parameters: truth, reparation and justice. Everyone's done the same thing. There is only one exception, which is the Spanish case, then do we agree? Perfect, but if there is no legal recognition, there are no victims. I believe that this is internationally agreed. You're as traveled as I am or maybe much more. The list of pain is infinite, because all the citizens interned were released, except those of the Spanish State, who continued to live in stateless conditions, welcoming other nationalities. Look, the components of Mauthausen's Friendship - you have made reference to them, some of them are here - were living underground in the association that grouped them. Look at the shame, how it should weigh us down. Those who returned made this brotherhood to recognize themselves and from 1962 to 1978 lived underground, those who returned, that is, the pain is immense. Then if we are able to redeem this pain and pass it on to the new generations, I believe that our democracy will be very strengthened. Instead, if we do it through the fake door, we have a problem, because we cannot metabolize the current violence and the future violence that unfortunately lurks if we are not able to metabolize past violence. Today the academy has shown it, we have documents from Mr Serrano Suñer, who even took out two Catalan citizens from Mauthausen for their personal relationship, intervened to get them out. The Spanish Administration was aware of what was happening. We have a number of postcards sent by Mauthausen inmates censored by the Spanish Government, that is, everyone knew what was happening. Today we are in 2015, we have all the tests by active and passive. Then I take the floor - I do not know if I should take it very much or little - but it cannot be that the Spanish Government, when it moves to Mauthausen on 9, 10 and 11 - will be there the top leaders of many democratic states, will go the few survivors, their families, people arriving from all over the world, the best of antifascism will be concentrated in Mauthausen in the next few days -, it cannot go there, either on the right or on the left, with empty hands. You can't go to Mauthausen saying: let's give them a medal and give them a tribute. This cannot be, apart from the political ideology of you, of mine, of the socialist colleagues or of the colleagues of other parliamentary groups. It's a great opportunity. It can't be wasted. So that you do what you can, please do what you can. The motion will be clarified 24 hours after Minister Margallo returns from Mauthausen. It would be good if we did not have to wait for the motion and the Government to announce that it will introduce a bill, because - I conclude, Madam President - it does not forget one thing, some baccalaureate, and it is that legal recognition can only be promoted through a law. Then what the Government should do is commit itself to introducing a bill for the legal recognition of victims, from which moral and, if necessary, economic reparations would hang, which was what was adopted here in 2005. Thank you very much.
ParlaMint-ES_2015-04-29-CD150429.u186	Thank you very much, Mr. Tardà. To conclude the debate, the Minister for Education, Culture and Sport has the floor on behalf of the Government.
ParlaMint-ES_2015-04-29-CD150429.u187	Madam President, ladies and gentlemen, Mr Tardà, first of all, ignored the presence of representatives of the Friendship of Mauthausen, whom I greet with all affection. I have before me - I don't know if at this distance a photo can be seen - some of the most significant photos that exist of liberation, I think I remember that on May 5, 1945, by the American forces of the Mauthausen camp. [[Show a picture]] In that field, a huge banner said: The Spanish antifascists greet the liberating forces. Probably out of ignorance on the part of the interns whether it was going to be the Russians or the Americans who finally freed the camp, it's in English and Russian. As I said before, huge stories of heroism have been written in this field of the Spaniards, which is important for generations to know, such as that of the famous Mauthausen staircase, with its one hundred and eighty-six steps, which had to climb the deportees loaded with heavy stones behind their backs and, at the end of it, the Spaniards said: one more victory. It was probably the group that maintained greater confidence, greater faith in the final victory over Nazism, the final victory of the allies. To the knowledge of this I have to say that the Ministry of Culture, with the sponsorship of the research of Benito Bermejo and Sandra Czecha, has contributed significantly with the publication in 2006, both in electronic version and on paper, of the Spanish memorial book deported to the Nazi camps, which was distributed to all the Spanish municipalities with a certain number of population, as well as all those subsequent initiatives of updating to which I have referred, that in the field of the ministry that I preside are, obviously, the most important together with those of the educational type. [[1940-1945]] But as far as Mr Tardà's request for legal recognition is concerned, in so far as such legal recognition is no longer determined by the application of the 2007 law, I am sure, and I am sure that this is the case with the discussions with the various officials and also with the People's Group, who will find the echo they need to find if they are necessary to bring that recognition to completion. I believe that the presence of the Minister for Foreign Affairs and Cooperation in the commemorations of 9, 10 and 11 May clearly symbolizes and marks the nature of this Government's commitment to that binding recognition and that binding reminder of such a tremendous and abominable episode of history. At the same time, I have to say that over the past almost forty years there have been many and progressive elements of recognition that governments of different political signs have been incorporating into the legal system. It is true that I have to acknowledge with you, that there are fewer and fewer direct victims, and that is why, perhaps, successive recognitions are coming later, but there is no doubt either that those involved in movements of support and solidarity with these victims, that the will of the Government - as I am sure from practically all the groups in this House - is that such recognition is most complete, effective and close in time. Thank you very much, Madam President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u188	Thank you very much, Minister. - OF THE VASCO PARLIAMENTARY GROUP ON INTERPRETATION, DEVELOPMENT AND IMPLEMENTATION OF ORGANIZATIONAL LAW 8/2013 OF 9 DECEMBER FOR THE IMPROVEMENT OF EDUCATIONAL QUALITY IS GOVERNMENT. [[EAJ-PNV]] [[File number 172/000307]]
ParlaMint-ES_2015-04-29-CD150429.u189	We moved on to the third inquiry. Urgent inquiry by the Basque Parliamentary Group into the interpretation, development and application of the Organic Law 8/2013 of 9 December for the improvement of the quality of education is being done by the Government. [[EAJ-PNV]] For your defence, Mrs Sánchez Robles has the floor.
ParlaMint-ES_2015-04-29-CD150429.u190	President, ladies and gentlemen, it already seemed to me that too long had passed without you setting the santabarbara on fire. After a brief and expected mutis by the forum in the, let's call it, tragicomedia that has represented during these more than three endless years at the head of the Ministry of Education, in the end, everything has remained in a mutis medium. It is obvious, knowing him, that he could not be deprived of closing the curtain, that he could not allow the show to end without setting fire to the gunpowder deposit to send the ship of consensus and, with it, the ship of education. It has done so only a few weeks ago in the submission of the draft draft Royal Decree establishing the general characteristics of the final assessment tests for primary education and regulating the final evaluations of compulsory secondary education and high school education. He has represented a great scene in the framework of the General Conference of Education held on 22 April and, in my opinion - I am sure he will discuss it, Minister - writing another black page in the logbook of the illegitimate and unconstitutional crossing of competition in educational matters, as in other areas, by his Government and by his ministry. Mr Minister, by pirating once again the forecasts contained in the Statute of Gernika, you and the Spanish Government have attributed themselves exclusively and exclusively to the fixing of the content of the subjects that education professionals must impart, when this is an issue which requires the participation of my Government, our governments, the autonomous governments and, of course, also the educational institutions. A sine qua non requirement, Minister. I'll ask you a few questions. Answer me, please. Do you think that you have a patent of course to impose a draft royal decree regulating the external evaluation tests of the student at the end of the ESO and the baccalaureate, so that the Basque Autonomous Community in our case - others too - is relegated to mere execution of the criteria laid down by the Spanish Government? Do you honestly believe that you have a patent of course to usurp and deny the competences in educational matters set out in the Statute of Gernika? I would also ask you to answer what you think legitimizes you to plunder our treasure, the treasure of the Basque educational heritage, which with effort and consensus we have built over the past thirty years us and other autonomous communities of the rest of the State and other nationalities. Minister, because they did not take into account even the reduced curricular development which they gave us, leaving the absolute majority, for their development through their own regulation. It seems to me to be an absolutely Jacobin approach. I'd like you to explain the following to me. If the only reference of competences, evaluable learning standards and criteria for assessing the achievement of the objectives of the different stages is that set out in annexes one and two of the respective royal decrees, where are the contents established or supplemented by the administrations of the autonomous communities? And where are those complemented by schools? I will tell you, Minister: they are sunk, submerged in the bottom of the sea of ashes in which, in my opinion, this peaceful reform has turned education into Spain. His approach to education and evaluation is in the antipodes of the Basque pedagogical educational approach and I believe that of the majority of the autonomous administrations, of the virtually entire educational community and of the social majority; this morning he has had the opportunity to answer a question posed by the socialist spokesman. In addition, we sincerely believe that it moves the ship away from what should be the core of the system: the school, the classroom. It incomprehensiblely takes him away from the autonomy of the centers and the faculty, which is the first reference that the student has from the system. Another question arises from the thread of this question. I would like you to tell me where the strategic lines of innovation and development set out in the European framework for 2020 will remain with regard to education, training and the educational challenges inherent in the context and environment of each autonomous community. I think we need a very important paradigm shift. It is necessary to turn and thread the bow of that ship that you are heading towards an approach of competence-based education. As I suppose you know well, what characterizes the approach of competence pedagogy is to transfer, articulate and combine all those learnings acquired in the solution of complex functional situations. The general exit profile defined for students, the purpose of basic education is achieved through the acquisition of basic skills. I understand that he knows that, among the basic competencies, some are defined as transversal or generic - necessary, in short, to solve problems or face different situations of life - and others as specific, typical of one or more disciplinary exits. I would also like you to answer how you intend to assess cross-cutting competences through your final test. I'd like you to tell me. How do you intend to evaluate, for example, the oral language or dialectic abilities of students? In my opinion, in no way, unless you are able to convince me otherwise. Analyzing annexes one and two of that draft royal decree powerfully draws attention to the fact that, at this point in this melodrama, which has become the entire deployment of the Lomce bill, they have designed tests with a maximum of 350 test-type questions, of multiple choice, with four alternatives and semi-constructed answers, which only allow a conceptual assessment of what has been learned and which, as we have predicted, aim to redirect teaching to encyclopedic learning. Minister, this is not what education in the 21st century should be. I'm sorry to have to tell you that the final assessments regulated by the Lomce and these royal decree projects are not intended for the benefit of the student, they are not. It is the student who will be harmed, especially ours, the Basque student, because, as you well know, it has higher performance ratios than the state average. It is not necessary to say that evaluations should help the student during the process of acquiring skills, which does not happen with the classic model of subjective evidence contained in his draft draft royal decree. In conclusion, what is clear is that its examination methodology, whether it's called a revalidation or evaluation tests, crashes, collisions frontally with the objective, with the design of a test that can measure the competence level of the student. And don't tell me that the level of competition would be established by the average obtained by the student in the exercises of the subjects related to each competition, because this is an anachronism, this is older than the Machin maracas. Minister, our model, the model of the Basque Group and of my Government, is another. We start from a double premise: evaluation is an instrument for measuring all competences, and when I say they are all, and moreover, inexorably, it must be closely linked to improvement, it must have a formative character linked to the development of competences; competences that, on the other hand, must be evaluated in real contexts, in situations that are offered daily and presented to the student. The priority should therefore not be to standardize and centralize to control the teaching, which I believe is yours, but to bring those competences closer to the educational centre and the classroom and thus contribute to the improvement of teaching through evaluations; it is good to measure, that has become clear and we share it. Frankly, I think they have lost their vanity, they have lost that desire to control, to have it all held by a flange and that nothing escapes, so they have opted for a unilateral approach, contrary to any pedagogical logic, in that obsession to grab the definition of contents. I also suppose, minister, that you will know better than I because you are in the day-to-day, that even PISA, your great referent theoretician, is putting forward new proposals for 2018. As an example, I will cite PISA's willingness to evaluate global competencies or, what is the same, those that we call transversal, such as entrepreneurship, curiosity, to analyze even the mood and empathy that the student has with his or her educational environment. There are a number of issues that are very interesting and that you are working on, as I told you, PISA. I have to make a mention of basic vocational training, Minister, and I ask you again: are you really aware that under the current regulations you can leave thousands of students who are not offered any help in obtaining a high school graduate unprotected and unprotected? That happens, that can happen. Another step back in something that at least in Euskadi was resolved. In short, an absolutely desolating panorama. I'm finishing up, Minister. Without any doubt we can conclude that this royal decree is a negation of the competences recognized and agreed with Euskadi. It must be made clear to me that, unlike you and the Government, we do not want to usurp the competences that are recognized to the State in terms of the management of education, of course not, but we do demand participation, Minister; a participation that has been denied to us throughout the whole process of gestation and processing of Lomce and its development regulations; a participation that is no more or less than the one emanating from the constitutional bloc, no more or less than that which belongs to us. It will also recognise us - I must say - that we have developed serious work, that we have been critical but constructive, that we have formulated proposals for technical content based on rigorous analysis of the model and we have tried to show that its proposal constitutes an insurmountable obstacle to bring competence education closer to the centre, to the classroom, to further improve. It's been useless. That is why, Minister, we have been and are against the Lomce and against this draft of real development decrees, in general of all and of this specifically also, made - as I said - unilaterally, without the real participation of the competent administrations and of the sector, without making any consensus with anything or anyone. And we are not going to allow either; nor the competitive invasion nor the destruction of the educational system. Minister, I think you have a new chance. We have always offered to cooperate. We hope that you will not continue with this dislate, that you will take the helm and change course, that you will take this last opportunity to mitigate the harm caused. In any case, if it is not you, Minister, if it is not your Government that moves, it will be the general elections that change the parliamentary scene that will allow us to put a stop to this law. Thank you very much.
