ParlaMint-BG_2021-08-19.u1	Good morning, colleagues.
ParlaMint-BG_2021-08-19.u149	Thank you, Mr. Stankov. Mr. Minister, you have the floor for an answer.
ParlaMint-BG_2021-08-19.u150	Madam President, ladies and gentlemen of the House! Dear Mr. Stankov, your concern with the questions you're asking me is a little late because it should have shown up earlier. And this directive should be adopted on time so that these things you ask me can be planned more adequately. With the new directive, there are new sustainability criteria, there are many new things that need to be reflected. Given that you are a year and a half behind on the work on this directive, I do not see why you are so worried about these issues now. Thank you.
ParlaMint-BG_2021-08-19.u151	Thank you, Mr. Secretary. For a question from the parliamentary group of BSP for Bulgaria? Here you go.
ParlaMint-BG_2021-08-19.u152	Dear Madam President, Mr Minister, honourable colleagues! I'm going to try not to ask the same question that my colleague asked, but I'm going to do an interpretation. Obviously, it's the delay, it's indisputable, and it's also obvious that we want to have some clearer rehearsals and clearer action from now on. There are three other things that are obvious. The plan has not been adopted, i.e. the directive has not been transposed, excuse me, but it is available, as is the National Plan................................................................................................................................................................................................................................................
ParlaMint-BG_2021-08-19.u153	Quiet, please!
ParlaMint-BG_2021-08-19.u154	...which has been revised several times by the European Commission with regard to Bulgaria and the Clean Energy Package and all that the Green Pact provides. My question to you is as follows: do you think that the funds you set up and provided for in the Recovery and Sustainability Plan are sufficient and adequate, taking into account all those circumstances that I have said, even though we have not transposed the Directive, and although we will probably still be working on the National Plan.............................................................................................................................................................................................................................. Thank you.
ParlaMint-BG_2021-08-19.u155	Thank you, Mr. Kostadinov. Here you are, Mr. Secretary.
ParlaMint-BG_2021-08-19.u156	Madam President, ladies and gentlemen of the House! Dear Mr. Kostadinov, I can't tell if, although this is not over, and although the other is not done, will the third happen? Because in what is not done, there are many criteria, many factors that affect what we have already pledged to adopt as a plan. So until we have a final version of the transposition of the directive with all clear criteria and new proposals, such an assessment could not be made adequately in my opinion. Thank you.
ParlaMint-BG_2021-08-19.u157	Thank you. A question from the Democratic Republic of Bulgaria? Here you go, Mr. Dimitrov.
ParlaMint-BG_2021-08-19.u158	Madam President, dear Minister, ladies and gentlemen! In case of capacity shortages, Portugal and Chile shall conduct international auctions. Very interesting! In both cases, Portugal and Chili for the colleague who asks who. These auctions are profited by new technologies. However, the more interesting question, Minister, do you think that the focus in the future policy of your government, of this parliament, of the next parliament, of the next government should be the small RES, the small capacity of the rooftops of the people? There's no transmission here, no transmission losses, they're inside the city. This will also lead households themselves to have electricity income, not to have concentration in large players. Is there enough incentives for households, in your opinion, to currently create such small RESs? And if there isn't, what should be done? Because speaking of this directive, in fact one of the strategic issues is precisely this: how to develop Bulgarian energy, how to reach the goals of the European Union? We from "Democratic Bulgaria" prefer to reach these goals of the European Union, creating very small capacities from Bulgarian households, very small RES on the rooftops of the people. And not, as was the practice in the past, a very bad practice, the concentration of huge projects, where there are also transmissions that are outside the city, which create a number of complications. People themselves, if they understand that it makes sense for them to build such capacities, will feel involved in the process, they will understand that there are benefits and meanings of new technologies. My specific question to you is: do you think there are enough incentives at the moment so that households can engage and build such installations?
ParlaMint-BG_2021-08-19.u159	Thank you, Mr. Dimitrov. Here you are, Mr. Secretary.
ParlaMint-BG_2021-08-19.u160	Madam President, ladies and gentlemen of the House! Dear Mr. Dimitrov, and there are currently incentives to build small RES from households. But what practically happened? They are not concentrated in large cities, but started buying houses in abandoned villages in order only to make small RES because they have a preferential price. This mode of action has slightly distorted the idea that you are developing that people need to build these RESs primarily for their own production. In Bulgaria it is now so that these RESs are being built for trade purposes. They disbalanced the system because they're being built in small remote villages, where the losses in distribution and transmission are getting big. The new directive provides for certain criteria to limit this way of construction. I mentioned that up to 10.8 kilos are even spoken not about the authorisation regime, but about the notification regime, people to notify that they have done such things. So it's a good idea, fulfillment at the moment does not meet the expectations that have been. Thank you.
ParlaMint-BG_2021-08-19.u161	Thank you, Mr. Secretary. A question from the Movement for Rights and Freedoms? Here you go.
ParlaMint-BG_2021-08-19.u162	Thank you, Madam President. Dear Minister, today you are a little more persistent, more aggressive. I see that you have finally been acquainted with Directive 2018 and Directive 2011, European Council Decision. It is a good thing that you did not take the decision of the European Council on gender equality, but we are talking about a serious document. But I'm surprised why the importers, when I suggested you withdraw the hearing, didn't, and now you're not asking any questions?! Because this directive is a document that requires a very serious reading, a very serious assimilation and subsequently articulation from this tribune. This way we ask ourselves questions with silence, this job will not happen, nor have you been president since 2014. Four years of the Energy Commission, and today to go out on this platform, to pretend to be great, that you are not familiar with those strategic documents that are missing, but are familiar with the Turkish Streams, is also not very decent, Mr. Dimitrov. However, out of respect for the Minister, I will ask a question to take after this respect on the subject. As far as we understand, and you have all heard that the National Renewable Energy Action Plan is from 2012. Since 2009 it is the last directive in relation to Bulgaria achieving 16% and then 21% of the final consumption of energy from renewable energy sources. Since then, what strategic documents does Bulgaria have related to renewable energy sources? Thank you.
ParlaMint-BG_2021-08-19.u163	Thank you, Mr. Atalay. Mr. Secretary, come in.
ParlaMint-BG_2021-08-19.u164	Madam President, ladies and gentlemen of the House! Dear Mr. Atalay, the main legal act governing public relations in the field of renewable energy is the Renewable Energy Act. The current law and the regulatory framework have transposed the requirements of Directive 2009/28 to promote the use of energy from renewable sources setting out the regulatory framework for promoting the use of energy from renewable sources in the Community by 2020. Directive 2009/28, as you yourself said, establishes the mandatory national targets of the Member State compatible with the 20% share of renewable energy and with the 10% share of renewable energy in transport for electricity consumption. Bulgaria has established a binding national target of 16% share in renewable energy in gross final consumption. The adoption of Directive 2018/2001, within the framework of the legislative initiative, laid down principles for all policy makers to ensure that, in 2030, Member States collectively achieve at least a 32% share of renewable energy in gross final consumption. On the basis of the European Union Regulation 2018/1999 on the management of the Energy Union and climate action, the Republic of Bulgaria has prepared and submitted to the European Commission the Integrated Energy and Climate Plan of the Republic of Bulgaria 2021. The Integrated Plan sets out the main objectives and measures for the implementation of national energy and climate policies in the context of the European legislation, principles and priorities for the development of energy by 2030 and with a horizon up to 2050. The integrated plan establishes the national target for at least 27% of renewable energy in gross final consumption in 2030 and will implement existing and additional policies and measures for which it is necessary to implement the relevant regulations. Thank you.
ParlaMint-BG_2021-08-19.u165	Thank you, Mr. Secretary. Get up! Get up! Get up! Get up! We're coming!
ParlaMint-BG_2021-08-19.u166	Procedure, Madam President. Madam President, I just heard from you that you want to rest. Please note that at 14.30 there is a joint meeting of the Committee on Budget and Finance and the Committee on Health and Social Policy, and there is therefore a hearing of three leading ministers on budget update, which is why I ask you to think about not having a break in order for the hearings to be possible, because, according to the Rules, with the time you are giving for a break, the sitting is also being extended. So we have, like, half an hour with the extension.
ParlaMint-BG_2021-08-19.u167	I accept your remark on the procedure. In that case, I would ask that we listen to each other, not to make noise in the room, so that we can quickly end all hearings.
ParlaMint-BG_2021-08-19.u168	Thank you, Madam President, for understanding. Dear Minister, the directive we are discussing sets the European Union's overall objective for the share of renewable energy that the Union must achieve by 2030. This share is 32% for the whole European Union and 27.9% for Bulgaria, according to the National Climate and Energy Plan. Will Bulgaria cope with this goal and what are the main challenges? The issue is also important in view of the proposal to raise this goal in the package "Ready for 55".
ParlaMint-BG_2021-08-19.u169	Thank you for your question, Mrs. Capon. Here you are, Mr. Secretary.
ParlaMint-BG_2021-08-19.u170	Madam President, ladies and gentlemen of the House! Dear Mrs. Capon, yes, provided that the directive is transposed in a short time, Bulgaria will manage. Otherwise, we face the case of not being able to take into account progress on certain criteria that are set out to us, as the new directive has changed the sustainability criteria for biofuels and this makes it difficult to take account of the results achieved, which, although achieved, may not be taken into account. I think there was such a case in 2012 in the field of Transport. Also, non-compliance was reported not because there was no execution but because the directives were not transposed in due time. Thank you.
ParlaMint-BG_2021-08-19.u171	Thank you, Mr. Secretary. That's the end of the question. I give the floor to the parliamentary group of "There is such a people" for attitude to the hearing. Here you go, Mr. Hinoski.
ParlaMint-BG_2021-08-19.u172	Dear Mrs. Chairman! Dear Minister, I support the thesis that there are a number of serious deficiencies in energy policy in the sector and, apart from the thesis that this directive is not harmonised with our legislation, I would like to express another very disturbing thesis that we have seven more criminal procedures in progress against Bulgaria in the field of energy, which could cost us tens of thousands of euro fines. Some of them are in a phase before punishment, and another part are in a memo status only remark. But I would like to ask you: in addition to this directive, on which you obviously need to propose a draft PID in legislation, do you feel it necessary to activate urgent proposals in legislation and other procedures? Some of them concern energy efficiency, nuclear safety, radioactive waste and they are all in the stage of severe criminal procedures against Bulgaria.
ParlaMint-BG_2021-08-19.u173	Mr. Hinosky, we're in the opinion phase, not the questioning phase.
ParlaMint-BG_2021-08-19.u174	I am asking a question because this is part of our committee's agenda after lunch and I am taking this opportunity for everyone to hear that this is one of the other topics that we will be discussing today. I'm so sorry.
ParlaMint-BG_2021-08-19.u175	You can finish with your opinion. You have a few more minutes because there's no one to answer the question.
ParlaMint-BG_2021-08-19.u176	I'm moving on. I think your answer pleases me. I believe that you are on the right track, but it is not done enough in this area and especially in this directive. There are many open issues that also concern the country's business and energy security related to the implementation of this directive. Thank you.
ParlaMint-BG_2021-08-19.u177	Thank you, Mr. Hinoski. From GERB-SDS?
ParlaMint-BG_2021-08-19.u178	Thank you, Madam President. Dear Madam President, dear Minister, ladies and gentlemen of the House! I can safely say that I personally am not satisfied with the answers, and at least I did not get an answer to my question, but rather received a personal attack. If the Minister had come to know him perhaps in detail, he would have seen that 2018/2001 is something like my E.N.N.N.N. Why? Because this directive is directly agreed during the Bulgarian Presidency and not only the Bulgarian Energy Efficiency Directive, the Management Regulation. Fifty-five hours of negotiations and trialogs with Parliament, the Council and the Commission -- something that shows to this day that Bulgaria is a flagship for negotiating the new legislation that determines the energy path of the Member States by 2030 and their objectives to be met. Instead of getting acquainted with it, Mr. Minister started explaining who, how, what, how long he had to do. Mr. Minister, after Bulgaria has negotiated this so important European document, this directive, part of the team that was with me, is already working in Brussels, working at the International Renewable Energy Agency, which has been proven experts who, thanks to their work at the moment, are on the highest floors and can help Bulgaria. On the other hand, we must note that what was expected of you as minister of the ministry was precisely by coming on the basis of the work done by the working group to upload the package of documents for public consultation at strategy.bg, to submit it to the Council of Ministers and to wait for the formation of the new government, so that Mr. Hinowski, as chairman of the Energy Commission, could present it at the first meeting, not explain which directorate she saw it at the Ministry or did not see it. In this regard, I appeal to you, it is obvious that this Parliament will also be short-lived, and in the future you will be able to continue to work on the transposition of this and other directives, including the imposition of policies to achieve these objectives. I would like to draw your attention to the fact that in the Recovery and Sustainability Plan the policies for stimulating the construction of photovoltaic panels, heating and cooling with geothermal energy were laid down and very carefully described both in stimulating the sector and business as well as in the direction related to local authorities, and not least aimed at households, where there is the greatest interest at the moment. What did you do? You took some money from the funds for the renovation of Bulgarian citizens and directed them to megaphotovoltaic parks. I repeat about megaphotovoltaic parks behind which there is some foreign interest! It is in this directive, which I doubt you know about it, that these 128 pages, which have passed at least hundreds of times through my hands, are explicitly emphasized that smaller parks should be made, to decentralise electricity production from renewable energy, in order for the electricity system operator and small operators to be able to balance the system more easily. But what am I burning? In the end, you would have known all this if you had just bothered to get to know the facts in advance. As for the answer to my question, perhaps simply constructively we could sit down and talk about the other financial instruments or grants that the Bulgarian citizens who sent us here could benefit from to think and talk about them rather than attack each other. We were going to talk not only about the Recovery and Sustainability Plan, we were going to talk about the financial mechanism on which we were going to negotiate, which certainly did not bring it to the end and you missed at least 15 million. EUR for stimulating the production of energy from renewable sources in the country's territory. We were going to talk about the Modernization Fund, which also has a working group, and you can accuse us of not being prepared by colleagues with the relevant regulations for using funds both for large installations and for green energy production. You can also charge us with $1 billion. 200 million. euros that...
ParlaMint-BG_2021-08-19.u179	Your time, Mr. Stankov.
ParlaMint-BG_2021-08-19.u180	Let me just finish one more sentence. I apologize, Madam President. You could've accused us of a billion. 200 million. EUR, which we have managed to negotiate on the Green Deal, and will ultimately also be aimed at green energy in the most affected regions, namely coal regions and those who have supplied labour force for these coal and industrial regions. But I repeat: why am I on fire when you haven't even bothered to get to know some of the things I'm talking about right now?! Thank you, Madam President, for the extra time. [[Applause from GERB-SDS.]]
ParlaMint-BG_2021-08-19.u181	Thank you, Mr. Stankov. I would like to make an explanation regarding what Mrs Capon said about the break. I draw your attention to the fact that the Rules have already regulated the rest given by the President of Parliament. It is no longer extended the time of the sitting. It shall be extended only if requested by parliamentary groups. Just so you know, I'm not taking a break. I can see the number of MPs in the Chamber anyway. I think that in view of the hearings, the Members of the National Assembly will be interested in them. We continue with the BSP for Bulgaria.
ParlaMint-BG_2021-08-19.u182	Dear Madam President, dear Minister, ladies and gentlemen of the House! Indeed, at the moment the situation is a little absurd: the ICN colleagues have requested this hearing.......................maybe they have met you, and they don't ask questions. Mr. Hinoski took a stand, announced that there would be an Energy Commission today, but in the end it is nice to know what the goal is. I heard very carefully from my colleague Stankov just now. If the working group has any effect on the transposition of the Directive, it is good to be made public what has happened and to start discussing it. Because at the end of the day, whether it will be another office or a regular one, a parliament can still be formed. The important thing is to make progress. Maybe that was the point of the question that the colleague asked. Colleagues, the fact that a directive has not been transposed is not the end of the world. I'm telling you this because there are other directives. The point is that this directive is extremely important for Bulgarian energy and hence for the Bulgarian industry and we can talk almost about revolution. Therefore, we must be extremely careful how we will do our homework, because it is not enough to transpose a directive but what will happen next. Unfortunately, we, up to this point and with the Recovery Plan, are still piling on some money that is due to our country as a Member State. We're still in a ridiculous situation where, as they say, we haven't done our homework and we don't even want an evaluation. Colleagues, there's something else. In addition to this plan, there are territorial plans for a fair transition. Here's our big question of what's happening to them. Because that's four plans, maybe five plans for coal regions. There's extra money in there, too. How do you tie this money to the National Plan for a fair transition? This is extremely important because these are additional funds that can help. You can see the current tensions in the complex of Maritsa-east. Yeah, someone might be lobbying for the RES, but at the same time, we have to decide and tell these people what's gonna happen. We must be honest and honest with them: the fifth is to come first, third, over the years. The unions have now signed a petition, that is, the money from these territorial plans when will be made public to the mayors, to the business, to the NGOs, the public itself should know. The National Plan. We really have to give ourselves a hand, because this is a transformation that cannot make any political force. No political power has this capacity to cope with this revolution that is to come. Of course, it's nice to have attacks, but we also have to be constructive. For example, I would like to commend you for what you did when it was the electricity price crisis, because if it wasn't for the Ministry's intervention, given that BEH withdrew and could do so, because I repeat, BEH has no right to interfere with the price of the electricity sale, but when there is a significant change in the way of production, BEH has this competence and then the Ministry reacts very correctly. When it comes to such essential issues and when this work is done, let it be publicly available, let us know what is happening and find the right solution, because personally to me, to tell you frankly, I find it uncomfortable for Bulgaria to be the country that has not yet surrendered its Plan. That is why I said: either bring this plan into Parliament to debate it, or rather give it to Brussels to launch the procedure. A nice, bad one can be changed, but purely administrative, purely bureaucratic procedure must start. Thank you.
ParlaMint-BG_2021-08-19.u183	Thank you, Mr. Stoinev. Mr. Dimitrov, come in from the Democratic Republic of Bulgaria.
ParlaMint-BG_2021-08-19.u184	Dear Madame Chairman, Dear Minister! Today, about an hour or so we are debating a directive that has not been transposed. There are many more in energy, for other sectors there are dozens more. Therefore, we need to choose our agenda and programme more carefully. To begin with, I propose that, specifically for the Committee on Energy per quarter, Commissioner Hinoski, we request from the Ministry of Energy, any minister, a report on how far the transposition of the directives has been made. Let's introduce it for the other sectors.. every quarter to have a report. Based on this report, to assess where the biggest delay is and only where the biggest delay is, to make such a hearing or hearing in the Commission is perhaps more appropriate than to involve the entire parliament with energy.. you see that some of the colleagues are not, have no competence on this subject. Maybe there's no point in the whole National Assembly with such questions... [[Comments from GERB-SDS.]] I exclude the group of GERB, which is all competent on this topic. They made a remark to me, which I accept, and I apologize, of course. Now, no energy strategy has been adopted, honourable Members. We don't have a strategy! Here we are talking about transposition of directives, we do not have a strategy in energy. That's where we should start. How can we have transposed directives if the strategy issue has not been resolved?! To a colleague from GERB who took the floor, that is what I wanted to tell him. You must have tried many good things to do, colleagues, but the very fact that there is no energy strategy adopted; the very fact that you acted in a piece, you did it for nothing but to be able to happen some projects and others not to happen and not to seek an explanation. What's important? What is important is that, speaking of renewable energy sources, we need to reach a consensus that really small producers are encouraged to create small capacity on the roofs of buildings in large cities or in cities where consumption will absorb them. There is no point in a village having a huge generation of electricity, and the village itself cannot absorb this consumption and have to be carried somewhere else. This model obviously doesn't work for us. What we can have consensus on, because I agree that the point of such debates is to understand each other on the topics on which we can work together, yes, we must stimulate small producers, but to put this criterion And, yes, that means first place in big cities, but not only cities that have enough consumption. This has to be done. When producers themselves feel that this is how they receive incomes, normal Bulgarian citizens start receiving incomes from RES, not having such a huge concentration of companies that built RES themselves. That's a bad model. We know very well where this model came from, but it is unfavorable. I've done a lot over the years. Everything that's depended on me, on the subject. By the way, Mr. Minister, we noticed from "Democratic Bulgaria" that when Mr. Atalay asks you questions, you are reading extremely convincing answers, which I personally explain to myself by the fact that Mr. Atalay's questions are very well-founded and there is no way for a person to have a written answer on them at the end of the day. [[Heckling]] I say that with respect, of course. The next issue on which I see the possibility of consensus is the Recovery Plan. Yeah, he's connected to energy, colleagues. Yes, this excessive delay is a problem of all parliamentary groups and of all of us. Let's think of a consensus in September to introduce this plan. I've heard from my colleagues at the "There's such a people" that they have specific remarks. "See it with Mr. Pekanov, smooth them out." Let September bring this plan in. A greater delay is no longer reasonable because the delay has two aspects. First, the implementation of the projects themselves starts to fall behind, there is a danger that they will be realized. Secondly, the advance Bulgaria should receive this year. Come on, assuming there's no drama for the advance, it's important, but it's not dramatic. The slowdown of projects and reforms related to them could be a problem. I wish that, in the context of dialogue, we could agree in September, the Recovery Plan will be tabled. Colleagues not to say that they have remarks, but to go with their remarks to Minister Pekanov, to be reflected, to find a solution and to move the issue forward in September. So, first, an energy strategy, then a quarterly report on what happens to transposition of directives, thirdly, stimulating small producers. This will be extremely important for Bulgaria, for energy and for the growth of the economy. Thank you.
ParlaMint-BG_2021-08-19.u185	Thank you, Mr. Dimitrov. From the Movement for Rights and Freedoms, come in, Mr. Atalay.
ParlaMint-BG_2021-08-19.u186	Thank you, Madam President. Dear Minister, the topic relating to Directive 2018/2001 is a serious topic. A moment ago, the former Deputy Minister tried to get into the essence of the directive, explaining to us that what we had taken as a goal before we adopted it as a goal, we agreed, even though then some MPs asked us a question as to whether we would handle it. In advance, we have agreed that we will achieve the goal. The objective of this directive to achieve 32% use of electricity from renewable energy sources from gross, final consumption is history. You know that the European Union already requires 40% of us to reach final gross consumption. Besides, maybe this is the time to do a substantial analysis once again. The first and main thing we need to do is an analysis of the base capacities, on which we need to determine the green energy that will be used in Bulgaria to be able to balance it. From these base capacities we need to know who will be decommissioned, what new we will build in their places, but all this is already derived from the green energy that we should be producing. So far, the Strategy has been the opposite: we will build the "Belene." We will not build the "Belene"; we will do the "South Stream." We will not do the "South Stream"; we will do the "Balkan Stream" "Martin Dimitrov wants the "Turkish Stream." Dear colleagues, if we do not do the Strategy, on the basis of this strategy, which should start from the territorial plans, which we cannot yet do, because BSP, GERB, I see all the other parties, and so on, maintain that they must lie to the miners that they do not want to do the territorial plan because this territorial plan must have green energy. From green energy to make green hydrogen, which is also in this topic. Therefore, Mr Minister, on the basis of this directive, on the basis of the Strategy of Territorial Plans, if we do not pay serious attention to the National Sustainability Plan (National Sustainability Plan) what needs to be tabled and we are looking for the smallest in a quarter, we should be gathering the Energy Commission to take a decision, I am offering you three days because this Parliament will hardly stand for three months. Things in energy are as serious as the non-seriousity of the MPs who are not here today in this Chamber. Things in the energy sector are serious because when the representative of the "There is such a people" comes out on this platform and tells us that the proposed amendments and additions to the Energy Act for wholesale trade on our free market are not applicable, and you are going out and saying that you have received a letter from the European Commission, which tells you to do so immediately. Honourable Members, we need to submit the sustainability and development plan to the European Commission as soon as possible in order for the next funds to be made, the modernization funds, to be made, as soon as possible those projects need to be made by means of which to absorb the funds of the............................................................................. Otherwise, I was under the impression that the colleague suggested that we look at the directive so that some more funds could be made from their green energy companies, where they have produced so far, which have been installed.
ParlaMint-BG_2021-08-19.u187	Your time, Mr. Atalay.
ParlaMint-BG_2021-08-19.u188	Ending up, if you want, every day to come the Minister of Energy here in this Chamber and answer the question that I have asked him what the strategic documents are and not to answer anything essential on this issue, and Martin Dimitrov recognizes that we have agreements with the Minister, heavy and woe to energy. Thank you. [[Single applause from DPS.]]
ParlaMint-BG_2021-08-19.u189	Thank you, Mr. Atalay. And stand up BG! We're coming! So, how'd you figure it out now, the way you're running it? Mr. Babikan, let's hear about the way we conduct ourselves. Here you go.
ParlaMint-BG_2021-08-19.u190	Madam President, ladies and gentlemen of the House! My point to you is not to allow this type of behaviour by certain colleagues with personal attacks, because this is why the public rating of the Bulgarian Parliament is traditionally low. I'm very sorry, but weren't you, sir, a minister in a Triple Coalition?
ParlaMint-BG_2021-08-19.u191	Mr. Todorov, please! It's the way it's supposed to be. If the colleague was affected, she could have asked for the floor. Please!
ParlaMint-BG_2021-08-19.u192	Were you not a minister in a coalition called the Triple Coalition between BSP, DPS and a party that is no longer there? And now you have the opportunity to have a five-year coalition. So don't attack us, guys. [[Noise and lines.]]
ParlaMint-BG_2021-08-19.u193	Mr. Todorov, this has nothing to do with the way you conduct yourself. Thank you. Here you go, Mr. Babikan.
ParlaMint-BG_2021-08-19.u194	Thank you, Madam President. I really hope that today we will not discuss ours and your companies, but we will talk about the substance. The directive we are discussing is an opportunity for at least two major changes in the country's energy system. Firstly, to change the energy mix and to introduce more renewable energy at the expense of carbon intensive sources that affect the climate, environment and health of Bulgarian citizens. The last one I don't know is whether someone is calculating it in the budget of the Ministry of Health or the Health Insurance Fund. Secondly, to create a viable and active sector of small and medium-sized businesses that produce renewable energy on their own account or for the benefit of their community. Renewable energy technologies are becoming increasingly accessible and the interest in investment in the sector is growing. Bulgaria has incredible natural resources that would serve as a catalyst for the development of this sector. There are regions in the country with more than 2400 hours of direct sunlight on an annual basis. There are other areas with an average wind speed over 4 meters per second per year. We also have a maritime territory that can make us one of the European leaders for offshore energy production, and I will not talk about Denmark. In addition to these resources, we see growing investment interest. Only as of May 2021 have received applications from 22 investors to join new RES plants with installed power in total 1971 megawatts. In comparison, at the same time last year, the investments were for a total of 479 megawatts by 14 investors. Apparently for the big ones there are opportunities, for the small ones there is no. The advantages of this sector for Bulgaria are not limited to the replacement of clean energy, they also include creating conditions for local economic growth and new jobs in the community. The country's energy problems will also be helped by moving towards decentralisation and decentralised energy system based on free private initiative and competition at cost and quality. The question here is why do we not hurry to create regulatory conditions for the rapid development of this sector? Why the Forty-fourth National Assembly did not transpose this directive, having had time for this since December 2018. In this meeting, you, too, were part of the asking questions. Forty-five doesn't make sense to talk, it was nine days. Why is it necessary that the accounts of Bulgarian citizens are constantly aggravated by NEK's debts instead of profiting from free competition in the prices and quality of services? Why can not depopulated regions of Bulgaria find new life during the energy transition to green energy? Okay, I can say wrong, if we do not transpose the directive, the European Commission will launch a criminal procedure against Bulgaria. And maybe that's the good news, if that's where we're gonna sit and wait. Otherwise, these questions would only remain hypothetical, but, thank God, there's a poker that can get to us. Thank you.
ParlaMint-BG_2021-08-19.u195	Thank you, Mr. Babikan. That's what we're done with, and this hearing. We're moving on to a hearing of the CEO... Here you go, Mr. Sandov.
ParlaMint-BG_2021-08-19.u196	Procedure. Madam President, ladies and gentlemen of the House! For the purposes of art. 43, para. 2 of the Rules of Organization and Activity of the National Assembly, insofar as Mr. Dunchev is not a Member of Parliament and a Member of the Council of Ministers, I propose that we vote for his invitation and inclusion in the Chamber. Thank you.
