ParlaMint-NL_2018-12-19-tweedekamer-6.u1	I'll give the Minister the floor.
ParlaMint-NL_2018-12-19-tweedekamer-6.u118	No, Mr. Chairman. I'm gonna start a step early. Let me return to the studies that have been published on this subject, even last year. I believe that it was the University of Tilburg that explained it finely that there is virtually no country that has benefited so much from the European Union and benefited so much from the euro as the Netherlands. That is not my conclusion, which is the conclusion of independent researchers. See also the analogy with the Brexit I'm about to come up with. I do agree with Mr Van Dijck that it is wise to think about this. I really mean that. But of course it depends on the design and you then have a very complicated discussion about the size of the overall MFF budget. I agree with Mr Van Dijck, which is a relevant discussion. That does not make it unwise to want to have this discussion. Mr. Chairman. I come to a number of other European issues. Mr Bruins asked whether public authorities and entrepreneurs would be prepared for the Brexit as much as possible. I'm looking for Mr Bruins, but I don't see him. This is, at least, for the Acts: we will continue to prepare and we will continue to appeal to the business community. We also do this with a number of ministers on a regular basis. It is true that very limited use has been made of the jar we have created. At the same time, the entrepreneurs who trade with England and whom I speak are very aware of what is coming towards them. Then Mr Slootweg asked for France and I believe that Mr Van Rooijen is still early on in Italy. Our views on compliance with the Stability and Growth Pact are absolutely clear. The Commission is first and foremost concerned with Italy and also with France, but my views on this subject are also unchanged. Mr Van Rooijen then asked at what rate quantitative expansion would be reduced. There he knows the dilemma of my role and knows the responsibilities that lie with the ECB. The ECB has announced that it will stop purchasing new bonds from January and continue to reinvest in the bonds already purchased. That is part of monetary policy. The ECB shall be independent. That is what I can say. Mr President, that brings me to the other block. Mr. Chairman. I shall begin with a subject which has also been discussed with the Secretary of State and which Mrs De Vries rightly referred to, namely the inheritance and gift tax and the setback in the estimates. I think the Secretary of State has explained in detail in the AO's how he wants to fix the operational side. It has his and also my particular attention, but I have already said that unfortunately this has not happened quickly enough in the past year. We just have to be honest about that. Mrs De Vries also asked about the estimates: what is going on here and should this perhaps still be investigated? To be honest, I think that is a sensible idea. So I will consider who could best do that. I should ask an independent agency or an independent body to do so. Maybe I can buy some more time to figure out which agency would do that best. In my view, this is precisely why Mrs De Vries is calling for attention to be given to this: we must be sure that the declarations made correspond or correspond almost entirely with what the public authorities are entitled to. This is a separate matter from the operational problem. I think her question went in that direction.
ParlaMint-NL_2018-12-19-tweedekamer-6.u119	I am grateful for the fact that good research will be carried out. I think that's also necessary, because at least we're divisive about the numbers. The following is also important to us. In 2017, there were problems in collecting the inheritance and gift tax. Afterwards, the estimate and the way in which it is estimated have been adjusted and there have been adjustments. What we as House of Representatives want to see is what was not collected in 2017 in order to be able to check that it does come in eventually. I wonder how the Minister intends to solve that.
ParlaMint-NL_2018-12-19-tweedekamer-6.u120	Mrs De Vries is right to make it even more precise, because you could actually say that there are three types of problem. The first is just collecting the amounts. As you can see, the IRS is once again lagging behind. Again, that's really disappointing. We're working on that with man and power, but it's just not going well enough. For the details of this, I would like to refer back to the debate with the Secretary of State. The second piece, which Mrs De Vries is right to ask for when interrupting, is: can the piece you are lagging behind actually actually get in? Of this, the assessment is now correct, but that could be a question that we are also very much involved with. The third question is perhaps the most fundamental long-term question: is there something going on with the inheritance and gift tax, regardless of the operational problem? I do not have a guarantee, but I do have the assurance that the assessment report shows that I refer back to that, too, that we in the Ministry generally have a sensible estimate. I have understood Mrs De Vries in such a way that she says: it is justified to stick in this again. So that's what I'm telling her. In January, I will come back with a letter in which I will make a proposal on who could help us.
ParlaMint-NL_2018-12-19-tweedekamer-6.u121	Thank you for that commitment. It's fine to put that back in January. I would also ask you to indicate what will then be investigated and how it will be examined, so that it is clear and meets the questions we have.
ParlaMint-NL_2018-12-19-tweedekamer-6.u122	Yes, of course. It will be the second half of January rather than the first half of January, but I think we can take that much time. Mr. Chairman. Mr Slootweg was right to ask another point: how do I look at the debt burden in the private sector? Honestly: we are rightly critical of the budget deficit in some other Member States, but in some of those Member States you can see the strange phenomenon that, although they have much higher public debt, they also have much lower private debt. We have very long balances in the Netherlands and hundreds of billions of debts in our households. That is precisely why the previous cabinet chose to bet on the LTV and to prevent high mortgage debts. I think that has been a very sensible step. We already see part of the effect and we will see part of the effect. We're gonna have to go through with that, too.
ParlaMint-NL_2018-12-19-tweedekamer-6.u123	The difference between what the European Commission recommends, 133%, and the small 220 we had in 2017 is large. Does the Minister have the idea that this LTV is sufficient and that this is only on the housing market? Or are there other places where you could encourage people to pay off debts?
ParlaMint-NL_2018-12-19-tweedekamer-6.u124	That is a valid point. It has my full attention and I refer to the bank letter from earlier this week to draw people's attention to debts, to ensure that they do not get out of the rain and to remind them of their own responsibility. I am pleased that banks really encourage people with redemption-free mortgages to think about it at least. That's what I've exchanged with the Chamber before. I would like to give the following undertaking to Mr Slootweg. I have already indicated in the agenda that I will continue to monitor what is happening, but I will tell him that I share this with the Chamber every six months or every year. Let me put it this way. We believe that we, the Netherlands, have taken a very big step forward. The previous cabinet really deserves the credits for that. It is a very big step, given where the Netherlands comes from. The other side of the story is that no other country in Europe, except Denmark, has such high private debts. Others, recently the IMF, therefore also remind us of the need to continue to think about this.
ParlaMint-NL_2018-12-19-tweedekamer-6.u125	Last question, Mr President. Then I have the idea that... Does he take up the point that besides households they are also companies where the debt ratio stands out against other countries?
ParlaMint-NL_2018-12-19-tweedekamer-6.u126	Let me take that. I would like to say once again that the vast majority of the total debt mountain in the Netherlands, at least for households, is caused by its own home. Mr Bruins asked if I agree with him that there is a responsibility to implement the changes in pensions. I very much agree with him. My real observation is that the cabinet, and Minister Koolmees in particular, has put incredibly much energy into reaching a pension agreement. What has been put on the table from the cabinet, both with regard to the contract and with regard to everything that has been added, was very generous. I have also experienced it as very disappointing that some people at that table apparently did not find this good enough. This means that the cabinet still has a mandate from the government agreement on the average premium and a number of other issues. Mr Slootweg asked about the elderly at the Tax Office and personal contact. That is a valid point. The Tax Administration also supports parties that help citizens with tax and surcharge cases. Think of the digital knowledge network and learning modules. In addition, in 2019, the Tax Administration will offer a train-de-trainer session for one trainer per assisting party. Mr. Chairman. Mr Sneller asked about legal aid and the Van der Meer Committee. That is a valid point, which I had an earlier exchange of views not only with my colleague for Legal Protection, but also with the Minister for Foreign Affairs and the Minister for Foreign Affairs and the Minister for Foreign Affairs. Minister Dekker has also sent a letter recently. I believe that on 17 January the Chamber will talk to him during the AO Legal Aid and I should not preach to that.
ParlaMint-NL_2018-12-19-tweedekamer-6.u127	I'm looking at the minister.
ParlaMint-NL_2018-12-19-tweedekamer-6.u128	I have one more question to answer, Mr President.
ParlaMint-NL_2018-12-19-tweedekamer-6.u129	Then I would very much like the Minister to conclude first.
ParlaMint-NL_2018-12-19-tweedekamer-6.u130	I have another question in the category of others. That is Mr Sneller's question about service cars in the Defense Department. Let me be very honest about that: there he did get to the limits of my parate knowledge. Here's the deal. For reasons of efficiency, it has been decided to replace Defence service cars every two years instead of every four years. This avoids increasing operating costs due to the age of the vehicles. The business case has recently been recalibrated, resulting in the revenue budget exchange of service vehicles adjusted downwards by exactly 59.2 million. Well, that's what Mr. Sneller can do.
ParlaMint-NL_2018-12-19-tweedekamer-6.u131	Mr Van Rooijen was first, but perhaps Mr Sneller has a question on this last point and then it might be wise to do so first.
ParlaMint-NL_2018-12-19-tweedekamer-6.u132	I think we would have had that business case in a benefit-charge system even better. But do I really understand that after four years, operating costs are so much higher that they now have to replace cars every two years?
ParlaMint-NL_2018-12-19-tweedekamer-6.u133	I already indicated that some modesty fits me when it comes to leasing contracts at the Department of Defense. I do not know whether I am making Mr Sneller entirely happy with another letter on this subject. It seems that after two years of replacement the contract will be cheaper. I don't know exactly how many hours the DOD executives spend in that car; that might have something to do with it. If Mr Sneller wants to know more about this, I have to come back to that in the second term.
ParlaMint-NL_2018-12-19-tweedekamer-6.u134	I would like to know much more about it, but I do not want to do it to this Minister to return to it in the second term. So we're gonna find another way, but it really surprised me.
ParlaMint-NL_2018-12-19-tweedekamer-6.u135	Let me turn to the Minister's answer to Mr Bruins' question. He defends the coalition agreement with an individual system. There won't be, but I'm not going to go into that now. What I continue to notice is that I have already said in a previous interruption that the Prime Minister offered, in the hope of reaching agreement between the parties, a reduction of between 100% and 104% for pensions. Let that be exactly the objective of my draft initiative that will be returned to this Chamber in January. The Prime Minister didn't get his way...
ParlaMint-NL_2018-12-19-tweedekamer-6.u136	Your question?
ParlaMint-NL_2018-12-19-tweedekamer-6.u137	...and the cabinet didn't and withdrew the proposal. Is the Minister prepared to discuss this proposal of 50PLUS in the cabinet and in the coalition groups? Well, at least we'll be done with that. It also means that tax revenues do not decrease...
ParlaMint-NL_2018-12-19-tweedekamer-6.u138	Mr. Van Rooijen, your question is clear. The Minister.
ParlaMint-NL_2018-12-19-tweedekamer-6.u139	I have to sum up the answer with "no."
ParlaMint-NL_2018-12-19-tweedekamer-6.u140	Back to what, as I understand it, was a commitment from the Minister when it comes to the surcharges. The reason why I raised this point in the context of the Autumn note is that this year's purchasing power, especially for senior citizens, is somewhat disappointing. Then you'll see what else you can do. One of the points is that we just see that surcharges are missed by the elderly. Do I understand why the Minister's commitment is that we are going to look with organisations and then something wider than just the elderly organisations, in which we can train them? There are already digital modules that many of these organisations still experience as too cold; they actually want more direct contact with teachers from the Tax Administration and that this training takes place via a representative per social organisation and the Tax Administration.
ParlaMint-NL_2018-12-19-tweedekamer-6.u141	That's the idea. The objective is and must be that older people can also continue to find their way to the Tax Administration. I immediately had to think about the discussion we had with each other about cash versus online payments. My impression is that this palette of measures is indeed working. What I can do is ask the Secretary of State to look at the impact of this in the course of 2019 and whether this actually solves the problems. My proposal to Mr Slootweg would be that we should really go ahead with this first and also see if it will be effective. So already saying that more is needed, I can't do it right now.
ParlaMint-NL_2018-12-19-tweedekamer-6.u142	I noticed I really needed a bunch of words. I wasn't asking for anything like that anymore. I'd like to see if I understood the Minister correctly. From the Tax Office someone is actually trained within the civil society organisations, and they can train people further down the road.
ParlaMint-NL_2018-12-19-tweedekamer-6.u143	It's a two-stage missile. There are parties that help citizens with their tax returns. There is indeed physical contact here. I think that is exactly what Mr Slootweg is looking for. The IRS supports these organizations. And what we're going to do now is make sure that we also train someone by helping party who is also maximum capable of helping the elderly. Then you could say "you're still one step away, because it's circumstantial," but there is human contact. And that, in my view, is exactly what Mr Slootweg is looking for, not so much for himself as for those who are concerned.
ParlaMint-NL_2018-12-19-tweedekamer-6.u144	This brings you to the end of your first term?
ParlaMint-NL_2018-12-19-tweedekamer-6.u145	That's what I thought, Mr. Chairman.
ParlaMint-NL_2018-12-19-tweedekamer-6.u146	Good. I'll look at the members. We will continue with the second term of office with Mr Van Dijck of the PVV as the first speaker. You will receive one third of the speaking time you requested. So you can all calculate individually how many minutes you get.
ParlaMint-NL_2018-12-19-tweedekamer-6.u147	The financial spokesmen can do that!
ParlaMint-NL_2018-12-19-tweedekamer-6.u148	Very good. I call Mr Van Dijck.
ParlaMint-NL_2018-12-19-tweedekamer-6.u149	Mr. Chairman. I find it disappointing how little has been said about the problem of purchasing power. As has been said, purchasing power has been lagging behind for decades. In the crisis, people's purchasing power has been further eroded, and now that things are getting better, this Minister of Finance is not giving up at home. Last year we got 0.3% and this year also a lusy 0.3%. Crumbles! Symbol politics! 38% of families can barely live in the Netherlands, in a rich country like the Netherlands. 20% of families, 1.5 million families face payment problems. And the minister looks away. That's what makes people angry. Because they're being ignored. 96% of the Dutch are making progress, he says. Meanwhile, the energy bill goes up, the VAT goes up and the healthcare premium goes up. ING and Pricewise have calculated that an average household will lose €1,000 next year in fixed charges. €1,000 more; they get a couple of tens back from this minister and they should be happy about that. The Netherlands is in place fifteen in Europe when it comes to net disposable income. Even France is above us. And Italy, Spain and Portugal are just below us. The Netherlands is just miserable when it comes to net disposable income. This cabinet isn't doing anything about it. Mr. Chairman. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Calls on the Government to reverse the VAT increase on messages, to reduce rents by 15% and to freeze the healthcare premium for 2019 and to use the budget surplus to cover this,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Tony van Dijck and Mr Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-3]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u150	Mr. Chairman. The budget surplus is 8 billion this year and it is 8 billion next year. This Minister of Finance simply performs to raise 8 billion too much tax money, while half of the Dutch can barely make ends meet. That arrogance, we have to get rid of it. We need to get that money back to the citizens, back in the wallet. First of all, we do not see the usefulness of the 500 million in CO reduction in the Autumn note. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government not to reserve EUR 500 million for CO reduction,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Tony van Dijck and Mr Kops. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-4]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u151	Mr Nijboer has a question.
ParlaMint-NL_2018-12-19-tweedekamer-6.u152	If this 500 million were to be reserved for the energy bill of people who are so sky high, you could still do it under the same heading. Would the PVV still support it to maintain it?
ParlaMint-NL_2018-12-19-tweedekamer-6.u153	Mr. Chairman. That brings me to the next motion, now that I've cleared $500 million. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to reverse the reduction in the tax reduction of energy taxes and the shift in the energy tax rates of natural gas and electricity, thereby increasing household energy costs by EUR 450 million, and to use the budget surplus to cover this,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Tony van Dijck and Mr Kops. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-5]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u154	And I expect support from the PvdA.
ParlaMint-NL_2018-12-19-tweedekamer-6.u155	Mr. Chairman. First of all, I would like to thank the Minister for his reply and also for the commitment to carry out a thorough investigation into the inheritance and gift tax at least as far as we are concerned. I look forward to the letter from the Minister which will be on the subject in January or February, because we believe that this problem really needs to be resolved and we should also be able to check whether the funds agreed on come in. A commitment has also been made in terms of targets. I am also pleased that the outstanding commitments will be clearly defined in future and that we can also look forward to their implementation in the Spring Paper and the Millions Note. Then the point of the cash drawer. I'll wrestle with that. I had asked the Minister if he would indicate that we will not have another problem in 2021 and that there will be a shortage of money in the post that we are already raising money from. So let me just say that I do not want to see that there is a problem there. Finally. I think we have all talked about purchasing power effects, also in relation to the energy bill and the climate agreement. Mr Snels van GroenLinks will be tabling a motion on this, which we have also co-signed, because we also see that there is just a lot of uncertainty among people in the country. People who live in a older house already have a very high mortgage and think: should I start borrowing again, what should I do when I have to replace my central heating boiler, which is at the end of his life? But also people who drive an old car and have to go to work. So we think it is important that we also look at measures to keep it affordable for people and thus retain the support for the measures. Thank you.
ParlaMint-NL_2018-12-19-tweedekamer-6.u156	Thank you. Mr. Snels.
ParlaMint-NL_2018-12-19-tweedekamer-6.u157	Mr. Chairman. The debate on the Autumn note is in fact always a rather curious debate; it is about the current budget. That's two weeks before 1 January, so we can't change a lot of things. That also almost always means that it will be a more technical debate. What's behind the numbers of those lucky guys? How do they go through the end-of-year margins to the in=terminal? In fact, it is a kind of preparation for the Spring Note, because the Minister is right: that is actually the real decision-making moment. Then we can look at the budget and the policy priorities that really matter to the Netherlands. So it's a bit of a crazy debate. At the same time, this is also the week of the climate. I told you, the broad climate law in this Chamber will be defended. We still really hope that there will be an agreement from that cockpit and for climate policy in the longer term. At the same time, Mrs De Vries rightly said that there are concerns about the acceptance of climate policy. This also has to do very much with the cost of the energy bill and the uncertainty that people have. We've been having this debate for a while. We have also tried to change that in the Tax Plan. Coalition groups also regularly make comments that show concerns about the acceptance of climate policy and, therefore, especially about the somewhat unfair cost-sharing between households and businesses. That is why it is important for the cabinet to really reflect on concrete measures to ensure that the climate policy is supported. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas climate policy is a priority for the Cabinet;]] [[considers it important to share the burden of climate policy fairly;]] [[noting that at the beginning of 2019 we know the exact climate challenges, have the CPB overlay of the income effects of the climate agreement and therefore know whether this leads to purchasing power problems for households, for example through the energy account;]] [[calls on the Government to make preparations to take measures to compensate, if desired, households for the costs of climate policy,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Snels, Mr Bruins, Mr Nijboer, Mr Aukje de Vries, Mr Van Rooijen, Mr Sneller, Mr Stoffer and Mr Slootweg.]] [[She's getting No. kst-35095-6]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u158	For those who value Christmas on symbolism these days: the motion is signed by the opposition and the coalition.
ParlaMint-NL_2018-12-19-tweedekamer-6.u159	That's good. Mrs Leijten has a question.
ParlaMint-NL_2018-12-19-tweedekamer-6.u160	Those who do feel like symbolism may also sign such a motion. Because what exactly does it say? What are we doing specifically for people, I ask GroenLinks.
ParlaMint-NL_2018-12-19-tweedekamer-6.u161	The whole concrete task of this cabinet is to really start thinking about what measures we can take to compensate for the purchasing power effects of households. That's what we're all worried about. I have fought hard myself to achieve very concrete measures by 2019. Unfortunately, this has not been achieved, but it must be done in the coming period.
ParlaMint-NL_2018-12-19-tweedekamer-6.u162	As an opposition, we fought hard not to allow the tax increase to continue, not to allow the VAT increase to continue and to stop the tax reduction for multinationals. None of that worked. We're all riding on a blind wall near this coalition. Then tabling a motion requesting action seems to me a little weak if you simply have budget rights and can also say: we are just putting some of the surplus in place to meet the energy bill. That's a one-time thing, sure. But every year we can decide once again if the government does not do enough. Can I conclude from the fact that GroenLinks is putting down this vague, symbolic motion that it will not support concrete proposals from, for example, the Labour Party and the SP to actually do something and to reserve money as a concession?
ParlaMint-NL_2018-12-19-tweedekamer-6.u163	I am actually surprised by Mrs Leijten's question. In my view, it was my group that really tried to bring about concrete measures and changes in the Tax Plan when dealing with the Tax Plan. At that time, I was strongly criticised by Mrs Leijten's party that I should not attempt to reduce the energy bill of households with the coalition. So you can't blame me for being all about symbolism? I am trying to achieve concrete results for households day in, day in. That is what I am doing and what I am asking the cabinet, now that we do not have a decision-making moment, is: now, in the coming period, go ahead with concrete measures to ensure that the energy bill of households, if it rises too fast, is actually compensated. I think that is why I am in politics: trying to achieve real results.
ParlaMint-NL_2018-12-19-tweedekamer-6.u164	Mrs Leijten, very briefly.
ParlaMint-NL_2018-12-19-tweedekamer-6.u165	We have all tried to adapt the Tax Plan in its treatment. I have just said about all the proposals we have made: it is a blind wall that you run into. This is not yet an answer to my question, but I suspect the worst, namely that GroenLinks will not support the concrete decision-making measures put forward by the Labour Party and the SP. Those measures can indeed be taken now. They can be taken into account in any debate, because we have budget rights, but with the Navy note altogether, because then we will discuss the surplus as we are now. Now there is a vague motion to do something in the future, without guarantees. We don't know what year either.
ParlaMint-NL_2018-12-19-tweedekamer-6.u166	I am looking at this blind wall that Mrs Leijten is talking about. I have strong disagreements with this cabinet on many issues, but it is not that I have noticed that the coalition is not sometimes trying to reach agreements, for example, on changes to the Tax Plan. That's important. In my view, this is how we can try to achieve concrete results. As far as the amendments are concerned, I am really looking forward to the Minister's reply, as to whether this can be done in these last two weeks before 1 January. Then I'll look into that at the time.
ParlaMint-NL_2018-12-19-tweedekamer-6.u167	Thank you, Mr. Quick. I call Mr Slootweg of the CDA.
ParlaMint-NL_2018-12-19-tweedekamer-6.u168	Thank you, Mr. Chairman. Thank you to the Minister for a number of commitments, particularly with regard to inheritance and gift tax. At the time of taking office, many issues have been raised by different parties which are unclear. It didn't feel right from the start. I welcome any commitment that leads to this being put right better. I am also very pleased with the commitments about the fill-outs, the volunteers who fill out tax forms. This year, too, we have seen that mainly the group of older people has progressed slightly less than we hoped. This might be a way to see where space is. We're gonna take care of the Navy's note, and then you're gonna think of falling leaves. The paper therefore deals with the changing climate. For the CDA, it remains important that this is not something that is only borne by government regulations. We would also like incentives within the financial sector to be right to get good green investment off the ground. Hence the next motion, co-signed by my green-bond partner Eppo Bruins. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are still many obstacles to achieving a fully-fledged market for green financial products;]] [[Whereas the financial sector can play an important role in achieving the climate objectives;]] [[Calls on the Government to explore ways of promoting the market for sustainable financing and investments and to send this to the Chamber by summer 2019,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Slootweg and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-7]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u169	I wish the Minister a good Christmas!
ParlaMint-NL_2018-12-19-tweedekamer-6.u170	Mr. Chairman. I have listened carefully to the Minister, of course, I always do, but I haven't heard anything about compensating for the energy bill, I haven't heard anything about why the Dutch live in more poverty and have a worse wage position than other Europeans. No answer, no insight, no explanations. I have not heard the Minister's question as to where the rise in wages is going. When everyone says "we're over the height of the economy," do we get that wage increase next year? No, but the economy is in good shape, the rich budget is in good shape, so this minister is going to sleep quietly. I can tell you that this does not apply to many people. That is why we have proposed the release of 1 billion to accommodate households in their high energy costs. No answer, nothing. It is poverty trump card, in this case policy poverty trump card. I have two motions. The first one is about the care premium. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that, over the past 12 years, 9.6 billion has been transferred to the Budgetary Framework for Health and that these funds have been spent on purposes other than those for which they were included in the budget;]] [[noting that the under-exhaustment at the BKZ has since become structural and is also used by the government for, for example, phasing out the Groninger gas;]] [[Considers that it severely restricts the Court's budget law if the government and the Court are not allowed to indicate how structural under-utilisation can be used or how occasional under-utilisation can be used;]] [[calls on the Government to allow the Chamber to have an equal budgetary position on under-spending on the budgetary frameworks financed by contributions,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-8]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u171	Then this government will reserve 500 million for a CO fund, and I have serious concerns about that when it comes to our supervision. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the government reserves EUR 500 million in a CO fund without any justification for this reservation being available to the Chamber;]] [[considers that the Court should be able to monitor closely whether and how this EUR 500 million is used and whether this is the most efficient use;]] [[calls on the government to send the Chamber an overview of the intended expenditure for decision-making on the use of the funds so that it can exchange views on this matter before making irreversible use of funds from the fund;]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Leijten and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-9]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u172	That leaves me with one point to make. Of course I wish everyone a Merry Christmas, but above all I wish that day in and day out of every Member of Parliament, if it is right, try to change policy. You can do that by dealing and wheeling and weakening all kinds of proposals, because you hope that the coalition will be in a good mood, or just by pointing the direction and showing that things have to be different. We started in May on climate justice. If I hear everyone now about the need to be fair, I am glad that we started to do so in May, Mr President.
ParlaMint-NL_2018-12-19-tweedekamer-6.u173	Before you leave, Mr Slootweg has one more question for you.
ParlaMint-NL_2018-12-19-tweedekamer-6.u174	It is a justified remark from Mrs Leijten that I did not wish my colleagues any good Christmas. In that sense, touché. But I did have one more question. I understand your discontent with energy taxation and so on, but it is true that the SP election programme also increased energy taxation for families. Or am I wrong?
ParlaMint-NL_2018-12-19-tweedekamer-6.u175	I don't know exactly how many. We had climate measures, but the opposite was the increase in the minimum wage and a huge reduction in all kinds of other things. The CDA always wants us to outline the overall picture...
ParlaMint-NL_2018-12-19-tweedekamer-6.u176	Sure!
ParlaMint-NL_2018-12-19-tweedekamer-6.u177	... and mention the tax increase of this government for low incomes. Here's to it. But with us, purchasing power increased even more than with GroenLinks.
ParlaMint-NL_2018-12-19-tweedekamer-6.u178	In any case, public finances, which were completely out of line, but that aside.
ParlaMint-NL_2018-12-19-tweedekamer-6.u179	In 60 years, exactly.
ParlaMint-NL_2018-12-19-tweedekamer-6.u180	In any case, your energy tax went up by 500 million. And I'm glad that by way of correction you indicate: you have to tell the whole story. I am also grateful that you have indicated that the burden on middle income is also considerably reduced by this cabinet.
ParlaMint-NL_2018-12-19-tweedekamer-6.u181	I didn't see that load relief. I've especially seen a higher discount. The tax reduction is particularly important for high incomes. We have already crossed swords on that. What we did, at least, was also to distribute the tax on energy more fairly. Companies also paid for this and I have never seen a proposal from the CDA. In fact, the CDA did not, and I see Buma taking different positions every day than he is voting here in the Chamber, or in the government agreement or in the budget or in the election programme of the same CDA.
ParlaMint-NL_2018-12-19-tweedekamer-6.u182	Thank you, Mrs Leijten. I call Mr Sneller of D66.
ParlaMint-NL_2018-12-19-tweedekamer-6.u183	Mr. Chairman. I will rethink my role and skills as mediator. Thank you to the Minister for replying. We've come a lot further than the General Financial Reviews when we're talking about preparing for the future. I would therefore like to thank the Minister for a number of commitments. We'll get more information from VWS colleagues at the beginning of next year about the rising healthcare costs and how we're gonna handle that, while ensuring accessibility. Our colleague from Economic Affairs will provide us with information on climate costs if we do nothing. They're hugely high. Mrs Leijten corrected me that in box K there are 117 seats this afternoon, so I would have liked to correct that. I wish the Minister a great deal of wisdom for later today when he talks to OCW colleagues about stable budget implementation. I have one motion to prepare us for the crisis, or at least to do the preparations right. And I have heard no response from the Minister to the question whether he chooses his own inspiration for Rocky or Roald, Balboa or Amundsen. But it didn't matter that much either. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands is currently experiencing an economic boom, but that an economic change is conceivable in the foreseeable future;]] [[Whereas, on the basis of the lessons of the previous crisis, it is wise to prepare a package of measures to stabilise the economy and the budget, so that we are well prepared in the event of an economic downturn;]] [[calls on the Minister of Finance to identify effective policy options and reforms, consisting of both pluses and minuses, in preparation for a future downturn or economic crisis, given past experience in the broad review,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sneller, Mr Bruins, Mr Slootweg and Mr Aukje de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-10]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u184	Finally, I would like to thank the Minister for his clarity about defence: not the cars, but the statements. And I have missed the date of entry into force of the new legal aid system, and how exactly that should be done. But I think I was distracted for a moment when that came up.
ParlaMint-NL_2018-12-19-tweedekamer-6.u185	It could be just like that. I call Mr Nijboer.
ParlaMint-NL_2018-12-19-tweedekamer-6.u186	I'm all over it, Mr. Chairman. It is a good thing that the cabinet has the economic wind in its back. Because when you read the Autumn note, it turns out that targets have not been fulfilled, you can read about 0.5 billion for the climate agreement, which is not supported by any support in the debate, and 3.7 billion for promised expenditure for this year, with a very thin justification why that has not been spent. I wrote down what the Minister said about this: we were late in the day, there was a lead time, we were in a hurry. Yes, he knew that when the budget was presented and dealt with, and I do not think this is very convincing arguments. Of course, there may be under-utilisation here or there, but now there is under-utilisation across the whole budget, across all expenditure categories and all expenditure frameworks. They're in care, where there are really big problems and waiting lists, but also with Infrastructure and with Defense. This is happening everywhere. I have pointed out in the course of dealing with the Millions Note, the problem is getting bigger and will become even bigger next year. Nevertheless, as a constructive member of the opposition, I am always prepared to help. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas at present there is no understanding of what part of the under-exhaustment of EUR 3.7 billion is structural;]] [[calls on the Cabinet to make clear which part of the under-exhaustment is structural and to use it to complete the mission on the budget of Education, Culture and Science,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer, Mr Leijten, Mr Snels and Mr Van Rooijen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35095-11]]
ParlaMint-NL_2018-12-19-tweedekamer-6.u187	That would help a lot. The problem of this task is then off the table, and we have also seen and deployed part of the structural budget. And I think you can if you look at this. Finally, Mr President, there is the amendment tabled by Mr Asscher and I. I assume that's how we'll be judged. But I would like to point out once again that this is better substantiated than the 0.5 billion that the cabinet has allocated. Furthermore, the social need is evident, because several group chairmen, including coalition parties, have the alarm about people being unable to pay the energy bill anymore. And since we have used exactly the same cover as the cabinet did for the 0.5 billion and it is an occasional amount, I expect this amendment to receive a positive opinion from the cabinet. It's an occasional amount. If it's structural, you have it every year, and if it's incidental, you have it anyway. So I expect it to have a positive opinion, or that the cabinet says, "Room," you vote on it. Because the Minister was right to say that the Chamber has the right to budget. In both situations, I hope for your support. Thank you.
