ParlaMint-NL_2018-11-22-tweedekamer-14.u1	Let's move on to the second term of office.
ParlaMint-NL_2018-11-22-tweedekamer-14.u167	Well, apparently I do. Thank you. Mr Krol also asked a question on legal aid, on legal aid packages. He said, "Can anyone afford insurance like that?" Maybe it's good to stress that the legal aid packages are not insurance. It is really under the system of subsidised legal aid that it is provided for. In the search for other forms of legal aid, we have once considered an insurance system, but in the end we have not chosen to do so. So that's why. People can, of course, voluntarily insure themselves. That also happens on a large scale. Then they have legal aid insurance, but I don't think that's what you mean. Then you asked when you would be further informed about the lead to victim lawyers. I think that could be spring 2019.
ParlaMint-NL_2018-11-22-tweedekamer-14.u168	If you will allow me, Madam President, just for a moment to reassure you: the people who cannot afford such a package, whether it be an insurance package or another package, will they not be able to go between ship and ship?
ParlaMint-NL_2018-11-22-tweedekamer-14.u169	The idea of subsidised assistance is that you have a concession right on the bottom. Now there are a lot of Dutch people in the target group for the Legal Aid Act. This target group is much larger than, for example, the beneficiaries of assistance. Almost 40% of the Dutch are in this target group. Those are the most low incomes, but also the middle incomes are in them. The most low incomes we're really going to spare, but we've also said that we want to grow there that... You now have that gap in the middle groups, where if you just make a few hundred euros you have to have a very expensive commercial lawyer, while if you're underneath it, you're very heavily subsidised. We want to do something about that, too, so it's going to be a sliding scale.
ParlaMint-NL_2018-11-22-tweedekamer-14.u170	We'll wait it out with interest.
ParlaMint-NL_2018-11-22-tweedekamer-14.u171	Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u172	Mr Van Dam asked about the CCV. He asked if we could do it a little sooner. The point is that I would like to come back to you with results and not with what the discussions have achieved. The first explorations can already take place in the next few weeks, but with that you haven't immediately collected an assignment from the outside. So I would like to stick to that second quarter. I hope that in that second quarter I will give you a little more clarity on what really happened when it comes to collecting private money. Then there's the motions. First of all, the motion in part No. 24, by Mrs Helder, Mr Van Oosten and Mr Van Dam. Maybe I could ask you to hold that motion. I am prepared to look again at the possibility of adapting the Code of Criminal Law and reconsidering my previous position. I will inform your Chamber more about this before Christmas.
ParlaMint-NL_2018-11-22-tweedekamer-14.u173	If I can understand it in such a way that the point of view also means that the letter that is not so old will be included in that review, because that would indeed collide a bit, and we will receive a letter before Christmas, then I would like to keep the motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u174	At the request of Mrs Helder, I propose her motion (35000-VI, No. 24). That is what is decided.
ParlaMint-NL_2018-11-22-tweedekamer-14.u175	Then the motion to part No. 32. That is Mr Markuszower's motion on the legal profession, about lawyers who would apparently not speak the truth. I'm deceiving that motion. The instruments of the Lawyers Act are sufficient, with the supervision of the blanket and disciplinary law. The motion by Mr Van Oosten and Mrs Kuiken on item No. 34 is about screening for the benefit of entrepreneurs, to ensure that they are not unnecessarily pushed into the wrong hands in the things they rent out, whether they are cars or buildings. That is quite complicated, but I am prepared to look into it and can therefore leave the judgment to the Chamber. The motion by Mr Van Toorenburg, Mr Groothuizen, Mr Van Oosten and Mrs Van der Graaf on part No. 47 on legal aid packages for victims. I can leave the judgement to the Chamber on this too. President. - I call the Group of the European People's Party (Christian-Democratic Group). 48 on the independent residence ban. The motion refers to the imposition of a residence ban on perpetrators of serious violence and sexual offences, so it is really about the serious cases, where I fully understand Mrs Van Toorenburg's idea. The Long-Term Monitoring Act makes that possible for this target group. This law covers perpetrators of sexual offences, offenders of serious violent crimes and offenders who have been subject to a TBs measure. It is precisely this group that can be subject to a residence ban within the framework of an independent supervisory measure that can be applied in line with the penalty. It can also be extended as long as necessary. In other words, what Mrs Van Toorenburg wants for this group of perpetrators is, in fact, already legally possible. In my view, this motion is superfluous and I would like to advise against it.
ParlaMint-NL_2018-11-22-tweedekamer-14.u176	We're doing a repeat of moves. That supervision can only be extended if there is something going on with the person why it needs to be extended, not for the fact that he wants to live next door to the next of kin. There's no danger. Nor does it appear that he is still dangerously crazy. He's just gonna live there alone. That could be annoying for the next of kin. That's why I want it looked at. Have another look at the grounds on which that can be done. However, I would ask the Minister to give a ruling to the Chamber and to have a proper look at it. I think we'll meet again.
ParlaMint-NL_2018-11-22-tweedekamer-14.u177	But then I'm gonna ask you to hold the motion. I have already indicated that I want to see what is happening in Belgium and whether there are gaps in this legislation. I don't think so. I do not know whether what Mrs Van Toorenburg is saying is quite correct, but perhaps this debate is not the place to do so in detail. Then I will return to it in writing and you may be able to hold the motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u178	I'm willing to do that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u179	At the request of Mrs Van Toorenburg, I propose her motion (35000-VI, No. 48), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council on the common organisation of the market in milk and milk products and on the common organization of the market in That is what is decided.
ParlaMint-NL_2018-11-22-tweedekamer-14.u180	Mr Van Nispen's motion and Mrs Buitenweg's motion for a resolution 50 asks for an examination of the total costs involved in the revision of legal aid for the State, municipalities and semi-public authorities. That should be done before we start reviewing legal aid. That does not seem to me to be a good idea and I would therefore advise against the motion. Then the motion to part No. 58 of the members of the Grand Houses, Van der Graaf, Van Dam and Van Oosten.
ParlaMint-NL_2018-11-22-tweedekamer-14.u181	Wait a minute. What was the verdict on the motion in part No. 50? According to Mr Van Nispen, it is up to the Chamber to decide.
ParlaMint-NL_2018-11-22-tweedekamer-14.u182	No, that was dissuaded. Then the motion to part No. 58 on understandable language. I just mentioned all the proposers. We've been discussing it. I think I can accept it and that is in line with what I said in the debate.
ParlaMint-NL_2018-11-22-tweedekamer-14.u183	Does anyone object to taking over the motion in part No. 58? It seems to me that this is not the case.
ParlaMint-NL_2018-11-22-tweedekamer-14.u184	Mr. Chairman. Then there is a motion on a subject on which we have indeed not had the debate, as Mrs Van Toorenburg said. It's the motion in part No. 60 by Mr Groothuizen and Mrs Bergkamp. I wouldn't recommend it. We don't know the tradition of double gender names. I know some people would like that. On the other hand, there are a lot of people who are very much in favour of maintaining the Dutch system. There is no huge consensus on this in the Netherlands either. And that is why I do not immediately see any reason to review this.
ParlaMint-NL_2018-11-22-tweedekamer-14.u185	Several colleagues asked me to hold this motion during the suspension. I've decided to do that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u186	At the request of Mr Grothuizen, I propose his motion (35000-VI, No. 60). That is what is decided.
ParlaMint-NL_2018-11-22-tweedekamer-14.u187	President. - The next item is the motion for a resolution (Doc. 64 on the right of recovery. It actually calls for more clarity in the referral. I recognize that, too. It's very different in a lot of places. I think this fits very well with an approach that we are already working on: creating a clear framework for agreements, a policy framework, about mediation in criminal law. In addition, we can take these recovery arrangements with us, so I can leave it to the Chamber to decide. The same applies to the motion in part No. 65 by Mrs Van der Graaf and Mr Groothuizen. It's about the collection register. This also applies: Judgment of the Chamber. Finally, the motion in part No. 73 by Mr Azarkan. It asks whether we want to monitor the fact that judges report their secondary duties. I find it a little complicated that we, as executives, should be monitoring the judges. Judges are legally required to do so. They also do so in the judicial board as the functional authority, which supervises it. I do agree with the Azarkan: if this is the intention, it should be done. What I can do is to bring this to the attention of the relevant body, and that is the Council of Justice. But I'm deceiving the motion. Mr President, I am out of my mind.
ParlaMint-NL_2018-11-22-tweedekamer-14.u188	Thank you. I now give the floor to the Secretary of State for Justice and Security.
ParlaMint-NL_2018-11-22-tweedekamer-14.u189	Thank you, Mr President. A few more questions have been asked. I will start with Mr Azmani's question on the Syrian screening project on 1F. I understand Mr Azmani's impatience, but given the size of the project, the specialised knowledge needed and the fact that a group of ten people are working on it, the possibilities for accelerating this are limited. I pledge to encourage the IND to complete it as soon as possible, but I do not want to raise too many expectations about it. It is not the case, however, that the project is waiting for all the results to come to an end. As soon as signals are received, they naturally simply lead to action. Mr Azmani also asked to be alert to signals about improved security in Syria and Eritrea. I can assure the Chamber that the alertness is there. But we are now going to draw the policy conclusions on the basis of post messages from the State Department. In the written reply, I have already indicated that in 2019 there will be ministerial reports on Syria and Eritrea, including with regard to possible return. I would like to acknowledge that the State will continue to be asked periodically to report on this matter. Mr. Chairman. Then there's Mrs. Chicken's question. She asked if there was an agreement on bed-bath bread, as she calls it, but it is not; in the coalition agreement the country's provision is called foreigners. There is no such agreement. There's an administrative consultation planned. This could lead to an agreement, but an agreement is only an agreement if all the parties are in agreement and speak against each other. And that is not yet the case. Mr. Chairman. Then I'll get to the motions. Mr Fritsma's motion for a resolution 21 calls on the government not to agree to the UN Migration Pact. I would like to discourage that motion, even if it is already because it is premature as far as I am concerned. As mentioned earlier in the debate, the cabinet is still making an assessment of this. I'd at least wait and see. The motion in part No. I have seen 22 of Mr Fritsma come along in many forms: a total asylum stop. I'd like to advise against that, too. The motion in part No. Mr Fritsma asked the government to always reject the application for asylum of asylum seekers who have committed a crime. I've explained that before. Where a foreigner who fears return has committed a crime, international and EU law provides that the stay can only be refused or withdrawn if there is a serious crime in case of fear of inhuman treatment or of a particularly serious crime in case of fear of refugee prosecution. And that is the case with an irrevocable prison sentence of six months or ten months respectively. That's how we searched the border. The cabinet respects international law, and for that reason I advise against the motion. The motion in part No. 26 members of Helder and Fritsma asked the government to allow police access to the alien database as soon as possible. I'm gonna have to advise against that motion. Members themselves have already found that there are conditions attached to consulting the alien database. It's been possible since 2007. Members are right to note that there was a gap between 2002 and 2007. But that cannot go on, because under the then applicable Personal Data Protection Act, now the GDPR, there are no wider possibilities to allow this.
ParlaMint-NL_2018-11-22-tweedekamer-14.u190	Your judgment? Dissuade?
ParlaMint-NL_2018-11-22-tweedekamer-14.u191	I'd advise against it, yes. Then the motion to part No. 38 by Mr Azmani. I explained in the debate that, as far as I am concerned, we are first waiting for the opinion of the Van Zwol committee. I have already said that, as far as I am concerned, it is appropriate to deal with the concerns expressed by Mr Azmani afterwards. And for that reason, I advise against this motion. The motion in part No. 42 members Van Ojik and Van Dijk request a study of the IND's financing system. The finding that the funding of the IND is based on the asylum influx of the previous year is incorrect. It is based on a forecast made in the previous year. However, fluctuations in the inflow have an impact on the financing of the IND. The IND will then have to adjust the capacity to this, while the nature of the work will take time to scale up. And fluctuations in the inflow can thus continue in the lead times. I am therefore prepared to include the research requested in the motion in the ongoing Flexibilisation Asylum Chain programme. I will therefore leave the motion to your Chamber. The motion in part No. 49 members of the Van Toorenburg cum suis also deal with discretionary powers. I would also advise against this motion, also because I indicated this afternoon that, as far as I am concerned, we are simply waiting for the recommendations of the Van Zwol committee and then looking at the discretionary powers.
ParlaMint-NL_2018-11-22-tweedekamer-14.u192	We want an investigation into this. I understand that there is a committee going on, but I think it may be clear that we want to have an investigation that comes out at the same time as their results. That is why we do not want to wait for it. Maybe the Secretary of State can take that into account.
ParlaMint-NL_2018-11-22-tweedekamer-14.u193	I took that into account. I take the view that such an investigation is not necessary. No doubt there will be members of the Chamber who think otherwise, but for that reason I would advise against the motion. Mr. Chairman. Then the motion to part No. 55 by Mr Jasper van Dijk. I'd like to explain that, because if you read and hear that motion like that, you think: we're all trying to give more nuisances even less chance, for example by placing them in the ebtl. But I would like to refer to the first two observations or opinions. They are about rejected and troublesome safe-lords, who should be placed in an ebtl until they are deported. Now, in the case of rejected safe-lords, if they are rejected, their right to shelter ends immediately. An ebtl is a special form of shelter, but it is shelter, and this group has no right at all to care. For those who have a perspective of return, detention is possible, or placement in a freedom-limiting location, to work on the return there. I suspect that the motion refers to the group of people who are still in proceedings. It does not apply to Dublin claimants either, because they are entitled to care and can also be included in an ebtl. I suspect that the request to the government is directed towards safe people who are still in proceedings and are therefore entitled to shelter. We can look at the obstacles. They are particularly concerned that we are trying to keep the procedure as short as possible for the safelanders, a few days to a few weeks at most. They must, of course, remain available to go through these steps in the procedure. I would like to accept that request for that group, but in this form I must discourage the motion. I would almost recommend to the author to take a close look at the considerations contained in it, so that it becomes a motion of which the considerations are also correct. If there is an amended motion, I could give that judgment Chamber, but in this form I must dissuade her.
ParlaMint-NL_2018-11-22-tweedekamer-14.u194	Then I know enough. With this explanation I am going to consult with Mr Van Dijk. I suspect that we will come to that amended motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u195	The Van Dijk motion in part No. 56 is also concerned with discretionary powers, but it deals with something that I did not think was such a good idea in the debate, namely to look at what other subjects it can be connected to. If only because the extension of the children's pardon is not in the coalition agreement, I would advise against this motion. The motion in part No. 57 is about the UN migration pact and its additions or adaptations. I have already explained in the debate that the UN is presenting this text to the Member States and that there are no other options available from the UN. For that reason, I advise against this motion. There is no doubt that we will be discussing this in the debate on the Global Compact.
ParlaMint-NL_2018-11-22-tweedekamer-14.u196	It says not only "modifications" but also "supplements." So that rules out the Secretary of State too, I understand from this.
ParlaMint-NL_2018-11-22-tweedekamer-14.u197	The UN submits one text to all UN Member States. The motion in part No. 59 belongs to Mr Groothuizen, Mr Van Ojik and Mr Voordewind and is about an annual report. I agree with the importance of reporting on my policy. I wonder whether this should take the form proposed by the Advisory Committee on Foreign Affairs. There are already several policy reports, which are issued periodically. There is a policy overview of the European Migration Network. We have the Reporting Stranger Chain, which provides insight twice a year into the influx and outflow of migrants. The SOPEMI report describes the development of migration and integration policies. And the WODC publication Migration in the picture provides an overview of migration flows, as well as developments in policy. So I do not know directly whether a comprehensive report by the government, which integrates all these data and sets out developments, has added value in this respect. What I do find valuable is an annual report on the progress of the policy proposals from the six pillars of the government's integrated migration agenda, in which I explain in general what has been achieved and what has not been achieved. By the way, the operative part says "all aspects." I do not know whether this will deal with all aspects, but with the relevant aspects. If that meets the petitioner's wishes, I can leave the motion to the Chamber's judgement with this explanation.
ParlaMint-NL_2018-11-22-tweedekamer-14.u198	The Secretary of State will be able to read the motion in a moment. Indeed, the operative part calls for reporting on these pillars. I understand that "all" might be a little spacious, so I'm willing to delete that word. I'll change the motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u199	Thank you. The motion in part No. 66) by Mr Voordewind and others, on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy, on the proposal from the Commission to the Council (Doc. Asks me to re-examine requests for asylum from converts in specific situations if the assessment has not been carried out in line with the new work instruction. I would like to stress that converts too may need additional hearing or decision if no full assessment has been made. These are explicitly situations where there has been no comprehensive assessment taking into account aspects such as the process of conversion, the knowledge of the new faith and the activities that a person engages in in the context of his faith. Indeed, that is not so explicit in the letter of the Chamber that I recently sent to the Chamber. However, if it does not occur that an integral assessment has been made in a case as mentioned in the motion, a new assessment must be made. I will therefore leave the verdict on this motion to your Chamber. I'll come to the motion in part No. 69 by Mr Van der Staaij and Mr Bishop. I have dealt with this in the written reply. As far as the professional phase is concerned, the Dublin Regulation requires that legal aid be granted at that stage if the foreigner is unable to bear the costs himself. Only where the competent authority or a court considers that that action does not have a real chance of success, legal aid should not be granted. However, if it is decided not to grant legal aid, there should again be an opportunity to challenge this decision before the courts. So such a measure will not directly lead to fewer procedures. I have indicated in my written replies that I am nevertheless prepared to examine whether, in certain specific cases, it may be appropriate not to grant legal aid if it is already clear in advance that that appeal does not have a real chance of success. But this motion asks me to go one step further. I don't think that's wise at this stage. That's why I don't recommend the motion. At the same time, however, I would like to point out that, of course, the intention of the government agreement to grant legal aid only after a motion for a resolution has been rejected will also have consequences for this particular group. So I'm guessing we're already gonna meet that to a sufficient extent. But I maintain the judgment that I must discourage this motion in this form. Mr. Chairman. The motion in part No. 70 is about audible prayer calls in rooms in asylum seekers' centres. I have already stated in the written reply that the COA is a political and religiously neutral organisation and that political and religious activities that violate the privacy of others are not allowed. However, there is room for small personal forms of religiosity, such as asking for silence for food or a prayer call in the form of an app or a ringtone on a mobile phone, provided that it is played softly and does not cause inconvenience or inconvenience to others. The manual available on all azc's also states that this must be maintained. The manual says that others shouldn't be able to take offense. That means that enforcement will also take place. In fact, I read in the motion doubt among the authors as to whether the practice is in line with that description. I'm willing to re-examine this at COA. In fact, I already have signals that that manual is just being maintained. But I will check that again; I will tell you that. It must indeed be the case that as soon as others take offense of something, COA employees can intervene with the manual in hand. That does not seem to me to be necessary. That's why I don't recommend the motion. The motion in part No. 71 is again about the Marrakesh Pact. That is actually the same motion as the motion in part No. 57 by Mr Jasper van Dijk. I advise against this motion for the same reason. In doing so, I have provided an opinion on all the motions in my area. Thank you, Mr. Chairman.
ParlaMint-NL_2018-11-22-tweedekamer-14.u200	Thank you. This also brings us to the end of the debate on the budget for Justice and Security. I would like to thank the Members of Parliament, the directors and the officials who have done the preparatory work, the staff of the Chamber and the people who have followed this debate on the Internet.
ParlaMint-NL_2018-11-22-tweedekamer-14.u201	We will vote on the motions on Tuesday.
