ParlaMint-NL_2018-03-29-tweedekamer-11.u1	I give the floor to Mr Kuzu van Denk, as the applicant for this debate.
ParlaMint-NL_2018-03-29-tweedekamer-11.u142	Mr. Chairman. Then a follow-up step, in addition to the curriculum review, is that there will also be support from schools and teachers in carrying out their legal task. In the direction of Mr Heerema, too, I would point out that this has already been taken into account in teacher training. Recently, in September, a joint citizenship agenda has even been issued that will apply for the coming years, which is particularly affecting the MBO. This has also been agreed with the MBO Council. But citizenship is also a part of current training. When we know exactly what we are going to do with the curriculum review, of course, the mirror must always be focused on teacher training. What consequences does it have for what is happening there? 'Cause it would be really weird if that link didn't get involved. I think you rightly pointed the finger at that. Those are, therefore, decent goals that we have set ourselves, which we are already working hard on and which we will talk about a lot and often in the coming period. But the importance of that is evident, I think. Then I come to the questions about the ICCS investigation that we are now talking about. In our view, that is not enough. It would now be carried out for the third time. We've been in on it twice. I have just indicated that the number of countries that are involved in this is very limited. There is another limitation: this research takes place only once every six years and the only group considered are the 14-year-olds in secondary education. I believe that, if I put it that way, I do not even need to draw any more conclusions. That's really limited. If I also tell you that we have to pay EUR 1 million for this, which is more than EUR 1 million, but around EUR 1 million; I should like to conclude by saying that I think that we should also spend that money. And that's what we want to do. We want a clear, more frequent monitoring of what is happening around citizenship education in the p.o. And we also want to look very strongly at how teachers deal with it and what kind of support they need. We're gonna work that out, too. That will be a good system monitor, just to put it in jargon, and we will continue to inform you about it when we have a clearer picture. We can use that money much better and do that research much better than we are doing now in that ICCS research, which, in our view, is inadequate in several ways.
ParlaMint-NL_2018-03-29-tweedekamer-11.u143	That system monitor the Minister is talking about: can he also attach a rough timetable to it?
ParlaMint-NL_2018-03-29-tweedekamer-11.u144	As soon as I inform the Chamber of how we are going to complete it all, I will, of course, also inform you how we are going to do it in time. We're developing it now and it's coming, but we're not actually choosing to put the money into an investigation that's not gonna come back for another six years, in 2023.
ParlaMint-NL_2018-03-29-tweedekamer-11.u145	Yes, you did.
ParlaMint-NL_2018-03-29-tweedekamer-11.u146	We're not gonna do that.
ParlaMint-NL_2018-03-29-tweedekamer-11.u147	I meant, when can we, as a Chamber, see information about that monitor?
ParlaMint-NL_2018-03-29-tweedekamer-11.u148	It should be possible in the next few weeks.
ParlaMint-NL_2018-03-29-tweedekamer-11.u149	I have also been able to see its shortcomings in reading that research, but its added value is precisely that it is being looked beyond borders. You can see what the differences and developments around you are, and on that basis you can say: boy, how do they do that in other countries; can we learn anything from that? Does the Minister share my fear that the moment you quit this investigation and just release a monitor of Dutch education, you might lose that component?
ParlaMint-NL_2018-03-29-tweedekamer-11.u150	When we come up with the effects of how we want to do it with the monitor I was just talking about, let's face up to each other what that offers us and look around us at what neighbouring countries are doing. I have already indicated that the research we have participated in until recently has limitations: once every six years, only among 14-year-olds and when it comes to comparable countries, only Flanders and Scandinavian countries. That's just really inadequate. But that we also have to compare internationally speaks for itself, so that too is part of thinking about what wisdom is.
ParlaMint-NL_2018-03-29-tweedekamer-11.u151	I agree with you on that first part. That's what I noticed when I read the investigation. Moreover, it would be easy to have a study that actually measures what people know when they get social studies, for example. But I would like to see in that effect how we are going to collect this knowledge and whether we are going to do so in a structured way, otherwise I would say: do not throw away those old shoes until you have new ones.
ParlaMint-NL_2018-03-29-tweedekamer-11.u152	If those old shoes were really useful, I would repeat that to Mr Kwint. I'll come back with an effect on how we want to do that. Then we'll take a look at this, too. You will understand that it is difficult in terms of comparability, if you do not do so together with all countries. But it is indeed good to keep looking around at other countries, because this is an issue that is not just confined to the Netherlands. Mr President, a number of separate questions have been asked. I'm gonna answer that now. Mrs Van den Hul has asked for compliance with the core objectives of sexual education and diversity. This is an explicit part of inspection supervision. The inspection will ensure that the schools implement this. As you yourself have said, there are times when there is talk of'shame' in my words. If the inspection concludes that this is not enough, then of course schools will be the first to be informed. Secondly, they get a clue. I know that this is a difficult legal term, but I will use it for a while, although I do not mean it in a legal sense. They do get some kind of indication that they have to meet the requirements that are set at this point. If a school still fails to implement the requirements, then there are also sanctions. These could even be financial sanctions. Of course, we do not want it to go that far, so here too, of course, we have to help schools. There may be some procedural embarrassment with teachers in the classroom. School leaders also need to be equipped to implement in a good way the goals that we think are important to each other. Mrs Westerveld mentioned examples of municipalities that actively involve young people in politics. I think she mentioned Nijmegen, where young people are actively involved in politics and think about social issues. There are, of course, more examples. Mrs Westerveld mentioned it herself: in the end, this must be done in those places where people are active, in this case municipalities. We cannot force that on behalf of the government, and we do not want that either. But I think it's very good to say out loud that this is important. It is a great deal that good examples are exchanged in the municipality. It's a wonderful way to involve young people. Mrs Westerveld also asked about the student grant. You know it applies in higher education and not in MBO. The MBO does try to get students to actively move around this theme, to be socially active and involved. The citizenship agenda I just mentioned is an important instrument for the coming years. As you know, we agreed in the government agreement that a social service will be organized. Mrs Westerveld also expressed warm words about this in a previous discussion. This is also an opportunity for young people to be actively and socially involved, in which they work for society; citizenship as you would like them to be. There are also very nice examples of this. The cabinet will soon come with a letter in your direction to explain how we are going to take it further. There has also been a large conference with young people. Those are also things that we cannot often draw attention to because of their beautiful added value. Mr Kwint has called for attention to be paid to home education. I think this is a subject that deserves careful and careful attention. It's getting a little carried away with the ICCS investigation. I can report to the Chamber this is well known that home education is also a subject under the government agreement that is on the agenda and that I will inform the Chamber in due course how we deal with it. I would like to say one thing because it affects citizenship: home education is not without obligation, and demands will also be made. One of these demands is that citizenship should be part of it. People who teach at home will have to have the ability to do so, so that they are able to work with it. For the moment, I think it is enough to respond to that in this way in the direction of Mr Kwint.
ParlaMint-NL_2018-03-29-tweedekamer-11.u153	Last interruption.
ParlaMint-NL_2018-03-29-tweedekamer-11.u154	I think it's a little more nuanced. It's not coming out of the sky at all. My whole speech was about the other issues, because the content of citizenship formation lies with the development teams. So about going to school together, about organizing discussion, about being confronted with opposing opinions and learning to form your own opinion. I understand the Minister when he says that we are going to talk about home education, but I wonder when that will be. I would like to hear from him how citizenship in relation to that go to school together, that social aspect of learning to deal with differences, relates to home education.
ParlaMint-NL_2018-03-29-tweedekamer-11.u155	I have just said something about this in the context of the demands we make on home education in relation to this kind of thing.
ParlaMint-NL_2018-03-29-tweedekamer-11.u156	When do you come...
ParlaMint-NL_2018-03-29-tweedekamer-11.u157	I don't have a moment in my head right away when that's gonna happen. That will happen in the coming months. First of all, I would like to talk extensively with the home education organisations in my prioritization. They are also involved in this issue. I will continue to inform the Chamber about this. We'll really get back to this, because it's important to do. My goal is that as many children as possible just go to school. There are situations where that goes differently and children come home. Then home education will be discussed, which, as you know, also has room for in the Netherlands...
ParlaMint-NL_2018-03-29-tweedekamer-11.u158	You'll get back to that.
ParlaMint-NL_2018-03-29-tweedekamer-11.u159	Then it is important that we have an eye for what is happening there. We will continue to discuss this subject later, so just a moment of patience.
ParlaMint-NL_2018-03-29-tweedekamer-11.u160	Please continue.
ParlaMint-NL_2018-03-29-tweedekamer-11.u161	Mr Kwint also asked about the legal obligation of municipalities to consult with schools on combating segregation. I checked that for a moment, because I was not in that consultation myself, but it has been promised that there will be a joint letter from OCW and my colleague from SZW on this matter. That letter will be sent to the Chamber in due course. That commitment has been made and we will, of course, implement it. Madam Chairman, I'm gonna take a look at my paper. I think I answered the questions asked. I'm sure you'd like to go to the second term.
ParlaMint-NL_2018-03-29-tweedekamer-11.u162	Thank you. Then we'll go to Mrs Westerveld. She has a question.
ParlaMint-NL_2018-03-29-tweedekamer-11.u163	The Minister has indeed answered some of my questions, but I had a very specific question about the number of national government grants. There used to be 20 of them. In 2009, Minister Plasterk said: I am making it 40 for youth organisations. My question is: what happened to that? We could not find out what the situation is now.
ParlaMint-NL_2018-03-29-tweedekamer-11.u164	Mr President, I do not have the exact number in my head. If I can, I'll come back to that in the second moment, otherwise in a different way.
ParlaMint-NL_2018-03-29-tweedekamer-11.u165	We're going to the second term. I give the floor to Mr Kuzu on behalf of DENK.
ParlaMint-NL_2018-03-29-tweedekamer-11.u166	Mr. Chairman. I thank the Minister for his answers. Of course, I have great faith in the improvement we are making. I'm filing two motions. The first motion concerns something which I believe is also widely shared in the Chamber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research shows that in the Netherlands the equal rights of men and women and ethnic minorities are less supported than in comparable countries;]] [[noting that the knowledge of citizenship education in the Netherlands is very different by type of education;]] [[considers that this is worrying and, where possible, needs to be addressed through good citizenship education, including knowledge of the Constitution and in particular the principle of equality set out in Article 1;]] [[calls on the government to pay particular attention to this in improving civic education,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuzu and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31289-362]]
ParlaMint-NL_2018-03-29-tweedekamer-11.u167	The second motion concerns the Citizens' Development Team. I've been looking for the names. I do not think that the various societies in which we live are adequate. That's not suspicious of the team members. I'm sure they'll all be capable, but still the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Citizenship Development Team will examine the curriculum of citizenship education;]] [[considers that the Citizenship Development Team should reflect society;]] [[Whereas this is not the case;]] [[calls on the Government to make efforts to ensure that the Citizenship Development Team reflects society,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuzu and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31289-363]]
ParlaMint-NL_2018-03-29-tweedekamer-11.u168	I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that young people working in associations, sports clubs and other civil society organisations make a positive contribution to society;]] [[Whereas citizenship is more than a lesson at school;]] [[calls on the Government to engage with youth organisations and ask them what they need to do to get more young people active,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are increasing signs that, due to the pressure of performance in education, pupils and students are seeing fewer opportunities to engage in society;]] [[Whereas a good picture is lacking;]] [[calls on the government to examine the extent to which educational performance pressure is at the expense of social involvement of pupils and students,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that many young people feel that they are not being heard;]] [[noting that according to the report on Citizenship in secondary education, young people have little influence in schools compared to other countries;]] [[calls on the government to discuss with young people and schools how to strengthen participation, whether formally or not,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Westerveld. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31289-364]] [[This motion has been proposed by the member Westerveld. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31289-365]] [[This motion has been proposed by the member Westerveld. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31289-366]]
ParlaMint-NL_2018-03-29-tweedekamer-11.u169	Thank you, Mr. Chairman. The Minister did not really comment on my speech. I did ask, but okay. I have another motion. I'm sure the Minister's gonna go into it. I'm not gonna miss an opportunity to highlight our mission. Mr Van Raan has a mission on sustainability. I also have a kind of sustainability mission, but when it comes to protecting this country from segregation, fragmentation and polarisation. Here we go. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas research into citizenship competences shows that the level of knowledge of Dutch pupils is lower than in comparable countries;]] [[noting that research has attributed this to a lack of direction given to schools in their social tasks;]] [[calls on the government to stop allowing citizenship education to be non-binding and to give teaching courses for curricula focusing on cultural transfer, assimilation and emancipation, based on the shared Dutch identity, traditions and standards, on Dutch history and the Jewish-Christian-humanist values, which determine our Dutch society,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beertema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31289-367]]
ParlaMint-NL_2018-03-29-tweedekamer-11.u170	I have one short question for you, Mr President. We've talked about it before. That little shy little flag is still there. You promised me that there would be a beautiful, large flag, which would preferably stand directly to the right of the speaker's seat. How's it going?
ParlaMint-NL_2018-03-29-tweedekamer-11.u171	They're working hard on it. Really.
ParlaMint-NL_2018-03-29-tweedekamer-11.u172	Working hard on it? On one flag?
ParlaMint-NL_2018-03-29-tweedekamer-11.u173	Yes.
ParlaMint-NL_2018-03-29-tweedekamer-11.u174	Can you promise when that flag will come? Is there a timetable? Or are you knitting it yourself?
ParlaMint-NL_2018-03-29-tweedekamer-11.u175	Let me put it this way: he's coming for the summer recess of 2018.
ParlaMint-NL_2018-03-29-tweedekamer-11.u176	You may be weaving him at home in the evenings.
ParlaMint-NL_2018-03-29-tweedekamer-11.u177	I wish I could. Thank you, Mr. Beertema. Mr Rog has waived the floor. Then I will go to Mr Kwint on behalf of the SP.
ParlaMint-NL_2018-03-29-tweedekamer-11.u178	Thank you, Mr. Chairman. You saw it here during the debate: Beertema's citizenship is not Van Raan's. That's fine. That is often the case in education. Just questioning each other about your beliefs, forming your own opinions and learning to deal with differences, regardless of the opinion of your teacher or of your parents, I would just like to make it clear to you that these values can bring citizenship with them. We will have to cherish them in the years to come. I'm not going to say much about the subject matter. That's why you're here. I'm looking at the gallery now. I wish you all the best from here on out. I would like to inform the Minister that he must continue to focus on the room for teachers in class and in their minds, so that they can close those books once in a while if necessary and continue to engage in any discussion with confidence. I had two motions prepared. I am not going to take up the question of the ICCS investigation because I would like to give the Minister a chance to come forward with his own proposal. In that I ask him to take that international component with him. I have the feeling that we will come again to discuss home education.
ParlaMint-NL_2018-03-29-tweedekamer-11.u179	Thank you. Mr Rudmer Heerema gave up the floor. Then I will go to Mr Van Raan on behalf of the Party for Animals.
ParlaMint-NL_2018-03-29-tweedekamer-11.u180	Thank you, Mr President. I need to get off my chest that I learned something tonight. Let's establish and mention that this is happening on White Thursday, because that's what it is today: a Christian common... One... A day of the Christian community.
ParlaMint-NL_2018-03-29-tweedekamer-11.u181	Is that a joke?
ParlaMint-NL_2018-03-29-tweedekamer-11.u182	I hardly get out of my words. How is it possible! I grew up with it anyway. It's very special. What I have learned is that as a Muslim in the Netherlands you can renounce your faith and that a party like DENK is fine with that. I honestly didn't know that. I should also like to look at Mr Kuzu. That party has no objection to that. I didn't know that. I think that's a win. That's a learning moment for me. That might say more about me than about the DENK party. Thank you for this clarification. Finally, Mr President. I would just like to mention it: sustainability. It was picked up by the teachers. Thank you. I would also like to express the support of society for this. I just didn't get there. Time was up. The organisations: Co-operative Learning for Tomorrow, SustainableBy, Rethinking Economics and Time is Now. Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u183	Thank you. It appears to me that the Minister can respond directly to the motions that have been tabled and can provide an opinion. The Minister has the floor.
ParlaMint-NL_2018-03-29-tweedekamer-11.u184	Mr. Chairman. I would also like to thank the Chamber for its second-term contribution, particularly for the motions. I'll walk them by now. In the motion in part No. 362 calls on Mr Kuzu to pay particular attention to what is mentioned in the motion for a resolution when improving civic education. I think this motion is really superfluous. I have made it clear in many ways that this issue is high on the agenda and that we are working in different ways to get on with this issue. That, I think, has not been convincing to Mr Kuzu, but I think this motion is really superfluous. Because we are just full of it and we will continue to inform the Chamber about it at the right moments. In the motion in part No. 363 asks Mr Kuzu to make an effort to ensure that the Citizenship Development Team reflects society. I advise against this motion. The teams have been assembled. The teams will not work in isolation, as it is clear that all nine teams will also be open to external insertion in a variety of ways. I want to give them the space to go to work right now. If a team's already started, we're not gonna suddenly change the composition. That would also be very strange and careless. So I advise against this motion.
ParlaMint-NL_2018-03-29-tweedekamer-11.u185	Well, then, I'll ask the Minister this. Let there be no misunderstanding: I trust the quality and competences of all sixteen people who are in this development team. But I'm looking at the Citizenship Development Team, I just don't see any diversity. This is not the Netherlands in 2018. If the Minister looks at this in retrospect, does he not think that this team should be put together in such a way that it does justice to the diversity of society?
ParlaMint-NL_2018-03-29-tweedekamer-11.u186	This minister has confidence in the team that has now started working. I have just indicated that any team, whether it is this team or one of the eight others, will also be open to input from society. That could be quite a variety of insertions. I have nothing more to add to that. I gave them the confidence. They're going to work. In the end, we will see what results they are going to achieve. And I have faith in that too.
ParlaMint-NL_2018-03-29-tweedekamer-11.u187	I would like to make a comment on this, because this is not the question I asked. The answer does not come close to the direction of the question that has been asked. The question I have asked is: does the Minister consider this to be a reflection of society? Could the Minister, looking back at the composition of this team, in retrospect, think "maybe it didn't go well; perhaps that team as a whole should reflect society and radiate more diversity than can be seen on the page that is now holding Mr Kuzu up'? Just looking back. Does he think it should have been otherwise? Yes or no? Does he think this is diverse enough? Yes or no?
ParlaMint-NL_2018-03-29-tweedekamer-11.u188	We're going to look back at the moment the assignment is completed and the results are there. On that basis, we can judge. If the team is working for three weeks, I'm not going to have such discussions in this Chamber. I find that inappropriate and undesirable. I gave them the confidence. That's what I stand for. I have said this in the direction of the teachers and the team leaders. I stand for my word. That is why I am not going to answer this question.
ParlaMint-NL_2018-03-29-tweedekamer-11.u189	Mr. Kuzu, finally.
ParlaMint-NL_2018-03-29-tweedekamer-11.u190	Locking up, Mr. Chairman. It's not a question of trust. I have indicated that I rely on the quality and competences of these people. But diversity is also a force of society. We could have seen that in the composition of the team. But the way it's written on this piece of paper, it's just: white, white, white and another white. We just shouldn't have that in the future. It's supposed to radiate diversity.
ParlaMint-NL_2018-03-29-tweedekamer-11.u191	You've made your point. The motion may put you to the vote.
ParlaMint-NL_2018-03-29-tweedekamer-11.u192	And it must be a composition of the Netherlands in 2018.
ParlaMint-NL_2018-03-29-tweedekamer-11.u193	Mr. Chairman. The motion in part No. 364 by Mrs Westerveld, the government calls on youth organisations to talk to them and ask them what they need to do to get even more young people active. This is indeed a very good task in the context of social service. If she wants to see it in that context, I'll give this motion judgment Chamber. In the motion in part No. 365 asks Mrs Westerveld whether the government can investigate the extent to which performance pressures in education are at the expense of social involvement of pupils and students. I propose that this part be included in the monitoring that we will be setting up with each other in the coming period. I have indicated that I will try to outline all the outlines, but it is clear that the full monitor will eventually be added to the bill that will be sent to the Chamber. So if I can see it in that frame, I'll give the motion judgment chamber. Mrs Westerveld asks in the motion for a resolution for item No. 366 to discuss with young people and schools the way in which participation can be formally strengthened or not. As is well known, we are in any case talking to schools about the participation and support they need. We have even talked about this at other times. In this context, these kinds of subjects are also simply taken into account in the administrative consultations we have with education. I had already promised this in the direction of Mrs Westerveld, as far as the budget is concerned. We've been on the road with each other for a couple of months. Right now, I don't need this motion. This is just part of our discussions about participation. Then the motion to part No. 367 by Mr Beertema to end the non-binding nature of citizenship education. I would like to refer to the word 'assimilation' in the operative part of the motion. We focus mainly on inclusiveness. Despite the diversity that exists, we try to be a society together. I think this motion is a bit similar to Mr Kuzu's first motion. The motion is superfluous in that I have indicated that, as far as I am concerned, the legislative proposal is now almost ready, then can go into the consultation and come to the Chamber later. That is also the place where we will have to find that anchoring, that spirit you were talking about. Let that be the time for us to judge whether we think that is sufficiently successful. Then, of course, you have the freedom to give your own reflections on that. I think this motion is superfluous in that sense, but we shall, of course, come back to that. I have also indicated that I am very motivated to work with this. But be patient, because we can work hard, but everything has to be done in order.
ParlaMint-NL_2018-03-29-tweedekamer-11.u194	We no longer have the "unneeded" qualification in the assessment framework. You can say "judge Chamber," "dissuade" or "take over."
ParlaMint-NL_2018-03-29-tweedekamer-11.u195	"Needless" isn't in there anymore? Then I'll advise against the motion.
ParlaMint-NL_2018-03-29-tweedekamer-11.u196	Thank you. Then we have come to the end of this debate.
ParlaMint-NL_2018-03-29-tweedekamer-11.u197	I thank the Minister, I thank the Members of Parliament, the people in the public gallery, the staff, the officials and the people who have followed this debate in a different way. We will vote on the motions tabled next Tuesday. I wish everyone nice Easter days.
