ParlaMint-NL_2018-10-18-tweedekamer-17.u1	The next item is the continuation of the budget debate on VWS.
ParlaMint-NL_2018-10-18-tweedekamer-17.u281	The Minister explained that there is a budget impact analysis in the quality frameworks. Is this analysis also looking at the financial effects for regional hospitals, or is it only at macro level?
ParlaMint-NL_2018-10-18-tweedekamer-17.u282	Sorry, but... If this had been a written question, I could have answered it in writing and all I had to do was nod or shake, but I really need to look for this. Mr. Chairman. I would still like to talk about the transparency of healthcare policies. Mrs Van den Berg asked whether it was a little too late to carry out an evaluation until 2021 or 2022. Just a few points about those insurance policies. Mrs Ploumen also asked. She asked: 60,000 different collections, should that number remain? We do not think so, or in fact we think it should be transparent for the citizen, so that he can make a good choice and know what the content of his insurance policy is. A choice of 60,000 or 50,000 isn't gonna be him. No one can. A few things about that. If there are differences in the price and quality of insurance policies, we want them to be clearly visible. The collectivity discount of max. 10%, which applied until last year, has had little effect. That was another cigar out of its own box, if I may say so, perhaps a little too homely. That's why we're gonna bring it down to max. 5%, to see if the number of collections will be concentrated. I think that's gonna help, but the evidence is with the insurers. That has to be delivered. What I really do expect is that we have said to insurers: now put with your collections, with all of them, out of what model agreement they come from. There are ten insurers in the Netherlands. Together they have about 50 model agreements. These are the different types of insurance they offer. From that 50, that whole range of 50,000 or 60,000 collections spawned. It seemed useful to me that at least all those 50,000 or 60,000 collections are from which of those 50 they come from. That already gives a pretty good insight. Then you still have differences in price and quality, but at least you have concentrated the lot to 50. That's what they're gonna do. That's what the insurance companies are gonna do. They're gonna mention that, and we're gonna judge them on that, too. The NZa will. We will see the first picture of this somewhere in the course of 2019. We will then be able to see whether that has been achieved or whether that transparency is being understood. And then we are going to urge the insurers whether the number of these 50 model agreements can also be reduced. Perhaps one asterisk: I do not believe that one of us, anyone in the Netherlands at all, knows all those 50,000 to 60,000 collections. You don't have to. Most of them are not applicable to you either, because you simply do not fall into one of those collectives. So the soup isn't being eaten so hot. But these are concrete measures to improve that understanding of this multitude of policies. I shall go back to Mrs Van den Berg's question. She asked whether this intermediate position on that understanding of the transparency of policies could not then be provided a little earlier. The answer to that is "no." We create an AMvB in which the collectivity discount is reduced from 10% to 5%. This will only play a role in the next policy season, the policy season that will play in autumn 2019 for the insurance of 2020. So if you want some evaluation, you're a year away. That's why. Mr. Chairman. I'm just getting corrected by expert people. The collectivity discount will be 5% in 2020. Until then, it's 10%. I was wrong about a year on the schedule. But the reasoning remains. Mr. Chairman. Then several spokesmen asked a question about the accommodations. Mr Slootweg spoke about De Boeg. Another has spoken about the transition to a care unit. The question is as follows. A guest house is not insured care, because it is a lodging facility, but there is a need to see whether there can be not only a stay but also a form of care. I might say it a little too flat, but a patient not only likes being in a guesthouse with family members, but it doesn't keep a hospital bed occupied. There are several examples. The Ronald McDonald may be a well-known example, but I also mention the De Bow. There's more. I call it The Farmer House Family in Groningen. So the question is: if it is not only a guest house but also an element of care provision, can you investigate whether and how that is financially possible? That was Mr Slootweg's question and others. It's a question that's a little between us. It's part of the Health Insurance Act and it's part of Langer Home. But we'd like to do that investigation.
ParlaMint-NL_2018-10-18-tweedekamer-17.u283	Is the Minister still considering the basic package, the content of the policy? Or was he all done with his story about the policies?
ParlaMint-NL_2018-10-18-tweedekamer-17.u284	Yeah, I was pretty much done with that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u285	Then I have the next question to the Minister. It is about the discussion whether or not oral care belongs in the package. The same applies to physiotherapy.
ParlaMint-NL_2018-10-18-tweedekamer-17.u286	Mr Van Gerven, may I ask if Mr Slootweg may first ask his question? Then we can close this subject. Then you will have a different subject. Otherwise, it's gonna get messy.
ParlaMint-NL_2018-10-18-tweedekamer-17.u287	Fine.
ParlaMint-NL_2018-10-18-tweedekamer-17.u288	First of all for clarity: are research forms involved with care and forms without care?
ParlaMint-NL_2018-10-18-tweedekamer-17.u289	Yes.
ParlaMint-NL_2018-10-18-tweedekamer-17.u290	Okay. That's clear. Do you have a time frame in your head, too?
ParlaMint-NL_2018-10-18-tweedekamer-17.u291	Before the evening is over, you have an answer to that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u292	Okay. Fine.
ParlaMint-NL_2018-10-18-tweedekamer-17.u293	Then you may now ask your question, Mr. Van Gerven.
ParlaMint-NL_2018-10-18-tweedekamer-17.u294	It is about the basic question: what belongs in the basic package that we collectively organise? In response to my statement on which care should be included in the package, the Minister writes: I agree that all care that is proven to be effective should be part of the package. I was very happy with that, but then we can see that, for example, oral care is medically effective care and that it is not in the package. The Minister says that people can pay for this themselves or they can arrange it through supplementary insurance. From the supplementary insurance, 1.7 billion is paid out to oral care. For us, the Central Planning Office calculated that it would be 1.2 billion if we organized oral care collectively. Wouldn't it be much more convenient to organize the collective? If it is so ineffective to organise it through supplementary insurance and the people still have that cost, why not organize it collectively?
ParlaMint-NL_2018-10-18-tweedekamer-17.u295	Because it's gonna be more expensive in health care. You know I'm standing here wanting to keep the care affordable. On such an evening as this, I should especially like to add things to the package. I don't think we should go on that path.
ParlaMint-NL_2018-10-18-tweedekamer-17.u296	But that's weird, isn't it?
ParlaMint-NL_2018-10-18-tweedekamer-17.u297	Well, I don't...
ParlaMint-NL_2018-10-18-tweedekamer-17.u298	That's weird! People pay 1.7 billion in premium for supplementary insurance. So they've lost it, because almost everyone has that supplementary insurance. Almost everyone provides additional guarantees for that oral care. Then why don't we organize it collectively? Those costs are lost to the people anyway. In addition, if we organize it through supplementary insurance, we will lose 300 million extra red tape. Then there is no senseless extra cost for the citizen. So I ask the Minister again: why don't we organize it collectively? That's cheaper and better. It also ensures that access to oral care is well arranged for everyone.
ParlaMint-NL_2018-10-18-tweedekamer-17.u299	I'm glad the SP is so excited about the fact that so many people have supplementary insurance. I have heard colleagues from Mr Van Gerven speak very differently about this. But we must leave the bill there too, because there are countless candidates to add to what is called the basic package.
ParlaMint-NL_2018-10-18-tweedekamer-17.u300	Chairman...
ParlaMint-NL_2018-10-18-tweedekamer-17.u301	No, you can come back to this in second term. But you're not getting any closer. I would like the Minister to continue answering his questions.
ParlaMint-NL_2018-10-18-tweedekamer-17.u302	Mr. Chairman. Then I come to Mr Hijink's question about the negotiations with the physiotherapists. Mrs Ellemeet and others have also asked for this. Let me say first of all that I could easily expand Mr Hijink's question. It applies not only to the physiotherapists but also to the logopedists. What about the negotiations between physiotherapists and health insurance companies? This question has reached me several times over the last period. Is there any real negotiation? There's a lot of complaints about the rates. What's the market like? How accessible is it? How should we address the complaints from the industry? I have been asking these questions at the NZa, which currently actively monitors the contracting, so I map out how that works in practice. That's the monitor I'm expecting at the beginning of 2019. This is what Mr Hijink knows, because that is how I wrote it down in the answers. If you look deep into my heart, I'd like to work on administrative arrangements with the paramedical sector. That may not be a general agreement, but it is administrative agreement. I'd work towards that, but it takes two to tango. For this tango I need at least three parties. So I'm gonna have to work on that a little bit. I can imagine that if I have the NZa's report what does the market look like, what about the tariffs and where are the blockades now? (b) to make administrative arrangements with the parties on the table. Does that solve everything? I don't know, I hope so. At least it could be a step in the right direction. I think it is important, not only for the physiotherapists, but also for the logopedists and perhaps for other paramedical groups, to start that conversation. Two things actually apply here. One is that the ACM, the Authority Consumer and Market, may also have to be involved in some form, not as a player in administrative arrangements, but in order to provide insight into how to contract. Because it's also very difficult for an insurer. There are a lot of physiotherapists. There are also a lot of logopedists, really many thousands. Individual contracting in another way, of "here you have the contract and you can sign it," becomes quite complicated. But I would also like to include the knowledge of the Consumer and Market Authority. That's one thing. The other point is that these administrative arrangements are not just there and that this will take some time. I think it's a theme that needs our attention.
ParlaMint-NL_2018-10-18-tweedekamer-17.u303	There are actually two questions. What kind of administrative arrangements does the Minister intend to make? I'm curious about that. If you look at what happened, for example, in the general practitioners, where agreements could be made in a regional context at some point, you will see that in practice it is no longer a bag and that the ACM says that: consultation between the general practitioners should not be aimed at gaining more negotiating power. For example, there should still be no discussion of tariffs by general practitioners. There should be no mention of service differences that they offer. As a matter of fact: even if you do end up in a collective, we now have an Authority Consumer and Market. You ask yourself what it is looking for in the care care that interferes with the general practitioner care, with the physiotherapists and with the logopedists to maintain some kind of artificial competition that no one gets better from. What exactly is the Minister's view of this?
ParlaMint-NL_2018-10-18-tweedekamer-17.u304	He really doesn't have a clue. I am trying to say here that the remarks that have been made in my direction over the past period by physiotherapists, by speech-pedists and also by dietists included: we find it incredibly difficult to reach good agreements with the insurer. For the physiotherapists I know that there is... I will not use the word "kissel in the shoe"... a hair in the soup with the treatment index. They find that incredibly difficult. That's what I'm told every time. This is not an instrument of the government, but of the parties themselves. It's very difficult to see how you can change that. At the same time, when people ask me the question, I'd like to see what's possible there. So I formulate a little bit of caution, and that's why I'm grabbing the NZa monitor that's being created about that contracting process. That monitor might provide building blocks for appointments. That's how general I have to keep it.
ParlaMint-NL_2018-10-18-tweedekamer-17.u305	I'm not asking what the NZa will do. I'm not asking what the ACM is gonna do. I'm not asking what the healthcare providers are gonna do. I'm not asking what the health insurance companies are gonna do. I'm just asking what this minister's gonna do. He is ultimately responsible for this system. It ultimately determines how tariffs are set and who competes with whom. Apparently he has also decided that it is simply made impossible for general practitioners, logopedists and physiotherapists to work together normally. I'm talking about something basic in health care like working together: making agreements on how to offer care in the region decently. The Minister will stop that because he is the system responsible. He has to take his own responsibility.
ParlaMint-NL_2018-10-18-tweedekamer-17.u306	Your question is clear. The Minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u307	Mr President, you should let Mr Hijink talk a little bit, because every time he says that I am responsible for things and that sounds pretty good. Perhaps the best reasoning was given by Mr Hijink. If the parties are prepared to make administrative arrangements, we could indeed look at the way in which the general practitioners are working. Can we then learn lessons from the administrative arrangements in the paramedical sector? Big question mark! I don't know, but I do find it interesting. I would like to move towards that on this subject.
ParlaMint-NL_2018-10-18-tweedekamer-17.u308	Really rounding up.
ParlaMint-NL_2018-10-18-tweedekamer-17.u309	Yes. Finally, Mr President. If the Minister had listened, he would have heard that I had just said that it does not work for the general practitioners. The general practitioners themselves state that we can now discuss regional issues, but on the most crucial points we should not talk to each other, for example when it comes to tariffs or contacts with insurers. And that, of course, is the crux. Why is that being stopped? Because apparently the ACM is the boss in the end. I am not asking what all these other parties are going to do, I am asking what this minister's vision is. But I have already heard the answer: there is simply no such vision.
ParlaMint-NL_2018-10-18-tweedekamer-17.u310	So I do not want to throw the broad lines and administrative agreements into one piece, because I see a clear difference between them. So I have just repeatedly expressed my willingness to look at whether and what can be agreed on the basis of this NZa monitor with the paramedical groups. And that's what I want to do in early 2019.
ParlaMint-NL_2018-10-18-tweedekamer-17.u311	The physiotherapists are a very important group. But those are the logopedists and the dietists who all have to do with this, of course. Thank you for the answer given by the Minister to the written questions, but I understand that these tariff agreements can be negotiated if they do not have significant market power and are therefore very small or if one can actually be seen as one company together. I would be very pleased if at least this could be clarified in the short term and if the Minister could communicate what the options are for this group.
ParlaMint-NL_2018-10-18-tweedekamer-17.u312	As regards what can be done in the contracting process, the role of the ACM in it and the willingness of the ACM to provide information, I have already said that I would like to take that on board. If we come to administrative agreements with the paramedical sector, I will want to use and use that insight and attention to such opportunities for contracting from the ACM.
ParlaMint-NL_2018-10-18-tweedekamer-17.u313	The Minister talks about monitoring the NZa. That it's important, I share. I am also curious about the results, but at the same time we can already see that there are major problems. I mean, the minister can't close his ears to all those physiotherapists. This also applies to groups such as the logopedists and the dietists, but let us confine ourselves to those physiotherapists. They're right to scream murder and fire about the contracts they're forced to conclude with the insurance companies. It's not working now! We can rest assured of that, because those are the facts. That treatment index is like a stone on their stomachs, because it doesn't work.
ParlaMint-NL_2018-10-18-tweedekamer-17.u314	And your question.
ParlaMint-NL_2018-10-18-tweedekamer-17.u315	My question is whether the Minister also sees this and whether he is prepared to talk to insurers about these obvious signals to us.
ParlaMint-NL_2018-10-18-tweedekamer-17.u316	Now I've been trying to say it all so carefully. I have said that I would like to work towards administrative agreements, but that it is three or four to tango takes. I am one of those parties, but those insurers are also one of those parties. I said that the instrument of the treatment index is not an instrument of the government. It is an instrument of the contracting parties and it is very difficult to do something about something that two other parties have agreed to. I am now trying to state in detail that the subject has my very great attention and that I also want to work on it and that I would like to do so on the basis of the results of that monitor. That is what I really want to do, Mr President.
ParlaMint-NL_2018-10-18-tweedekamer-17.u317	Yeah, I'm really hearing a repeat of the answers right now. There is also a second term. I think the Minister should now continue with the other questions that remain open. There is a third member of the government, and he must also be given the floor. So the Minister continues his speech. Minister, if I did count, that was your sixth answer in a series of ten. So there are, I believe, four answers to go. Is that correct?
ParlaMint-NL_2018-10-18-tweedekamer-17.u318	You count something different than me, but it's moving forward, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u319	Okay. Please continue.
ParlaMint-NL_2018-10-18-tweedekamer-17.u320	In the direction of Mr Raemakers, who spoke about the pilot psychosocial care in cancer. How many people are taking part in this? Order of size 150 new patients per month. In total, it could be 2,500. I let you know, I say in the direction of Mr Raemakers. Business doctors can also draw patients' attention to the possibilities offered by the pilot. That's what I've been telling you. Then the question is, what do you do with the results of that pilot? I need to see the pilot results first to assess them, but I'll give them an appreciation and present it to your Chamber, Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u321	Well, let's ask you a question about those numbers. I have here the first-line of 2018. Then Tineke Vos, the chairman of a working group on the drafting of a directive on this subject, said: the pilot takes two years and the estimate is that we can include about 8,000 patients. I hear and read 2,500 now. I think that's quite a difference. 8,000 patients could still participate earlier this year, and now it's 2,500. Can the Minister explain what that big difference is?
ParlaMint-NL_2018-10-18-tweedekamer-17.u322	I can't. I really have to come back to that in writing. That may be a bit crazy, but if Mr Raemakers had asked the question differently, I could have gone into why it should be 8,000 or 2,000 or whatever, but I really have to pay attention to this.
ParlaMint-NL_2018-10-18-tweedekamer-17.u323	If you come back to that, could you also consider the budget? I believe that's about 8 million. If there is a lower inflow or it is not sufficiently known by general practitioners or by company doctors, that would be a pity of course. That money is there, and we must use it. Can the Minister promise that he will do everything in his power to promote the awareness of the post-cancer psychosocial care pilot as much as possible?
ParlaMint-NL_2018-10-18-tweedekamer-17.u324	I want to check that awareness of the pilot in general practitioners and also actively promote it. That's what I'm saying here. The difference between the 8,000 and 2,500 I have to go into more detail. If Mr Raemakers is asking for the available budget, I must look for it precisely. I'll let you know in writing. Mr. Chairman. I would like to go to what I find to be a precarious theme, the recovery operation in genital mutilation. Luckily there is an abbreviation for that, then it all sounds a bit more pleasing: vgv, women with genital mutilation. I use that abbreviation to talk about it, but of course it is a very precarious subject. Mrs Ploumen asked about the reimbursement of recovery operations, because this issue has been on the agenda since 2014. My predecessor made a commitment in 2014 that once plastic surgeons and gynecologists had completed the model protocol on reconstructive surgery after genital mutilation, the recovery operations could be brought under the Health Insurance Act. Medical care is covered by the Health Insurance Act anyway. You already knew that, but that's the beginning. So this medically necessary care, aimed at functional recovery and the removal of complaints, is reimbursed under the Health Insurance Act, and it remains so. At least four and a half years have passed since 2014 and it was mainly plastic surgeons and gynecologists who had to work. They did not agree on that model protocol, at least initially, because there was uncertainty and lack of scientific evidence as to the usefulness, effectiveness and impact of the interventions. For example, the British Association of Gynaecologists in 2015 did not recommend reconstructive surgery after genital mutilation, because there are indications of unacceptable complications, without conclusive evidence of the usefulness of the procedure. In the meantime, the gynecologists, in collaboration with obstetricians, general practitioners, plastic surgeons and Pharos, have drawn up a concept guidance on medical care for women and girls with genital mutilation. Occupational groups are expected to authorize and publish this guidance by the end of this year. So far, so good. In the draft guidance board it is concluded that the literature available regarding what reconstruction is, what the purpose is and what the possibilities are very small. There is weak evidence of pain reduction and there is a need for a good quality clinical trial to investigate the safety and effectiveness of reconstruction. Now that the occupational groups indicate this, it cannot be automatically assumed, on the basis of the guidance, that the interventions described are eligible for reimbursement under the Health Insurance Act. Therefore, as soon as the guidance is authorized by the end of this year, I will ask the Health Care Institute for its opinion on this. I would ask the Health Institute to carry out the assessment quickly, because I think that this discussion has actually been going on for too long. This medical care is aimed at restoring the functions of the external sexual organs as much as possible. In anticipation of the judgement of the Healthcare Institute, I cannot bring recovery operations under the Health Insurance Act nor under any other form of funding. I read it in writing, because I want to do it quite precisely. I'd like to give you another answer, but I can't get past this.
ParlaMint-NL_2018-10-18-tweedekamer-17.u325	Thank you to the Minister for the comprehensive answer. I'm gonna try to sum it up, because I see where the problem is, but I don't want to accept it yet. I note that the Minister says that it is already being reimbursed in the event of medical need. I also note that medical necessity is, for example, if due to genital mutilation your menstrual blood or your urine cannot drain properly and you are therefore susceptible to infections. Do I understand correctly that this now falls under medical need, so that women who come to a doctor with these complaints are now eligible for compensation for the recovery operation on the basis of the medical need?
ParlaMint-NL_2018-10-18-tweedekamer-17.u326	You can't be precise enough. If I say yes now, it has to be. I read in my own texts that this medical care is indeed aimed at restoring the functions of the external sexual organs as much as possible. This involves, for example, unhindered drain of urine and menstrual blood to prevent possible infections of the urinary tract, bladder and vagina. Treatment of scar tissue following genital mutilation, abscesses and pain symptoms is also covered by this medically necessary care.
ParlaMint-NL_2018-10-18-tweedekamer-17.u327	That's one. I think it's good to establish that. The second step would then be that it is up to a doctor to assess, just as well as when you come up with other symptoms, or a recovery surgery than the proper therapy, so to speak. That's no different from other complaints. Thirdly, where exactly is the problem? Because if I read this right now and if we understand each other correctly, then those recovery operations are covered on those grounds and there may only be other complaints that are not covered. Sorry, Chairman. We're gonna have to go through this with each other.
ParlaMint-NL_2018-10-18-tweedekamer-17.u328	I fully agree with that. The model protocol for reconstructive surgery should therefore provide a handle for pain complaints and other complaints, for example. That's why I think it's important that professionals first agree on that. I hope so. Next, I need to see if that fits under the Health Insurance Act. I hope so. And if not, I'll have to see if there's any reason to organise another source of funding. I'm gonna have to think about that, too. The third is that some of the complaints, in part of the cases, may not be funded. I think that's all in order, so I'm not making a statement about that right now. I'd like to ask the Healthcare Institute first.
ParlaMint-NL_2018-10-18-tweedekamer-17.u329	Thanks to the Minister. Finally. Can I understand the Minister in such a way that his intention is, as that Health Institute, that medical necessity and those protocols are in order, actually for as much as possible, if not all, women to come to a certain form of compensation?
ParlaMint-NL_2018-10-18-tweedekamer-17.u330	No, I first need the advice of the Healthcare Institute to see if, and if so, which women or groups of women are eligible for compensation, either under the Health Insurance Act, or in any other way, or not at all. Those are the three possibilities I see. I also find this very annoying, because this is a theme that should have led to a result much earlier. I would also have liked to say in a different way and much easier, with a generous gesture, that we have to solve this because it has been going on for too long. But I need that guidance first and then the advice of the Healthcare Institute. And I'll put the socks in, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u331	Good. Mr Raemakers would like to ask another question on this point.
ParlaMint-NL_2018-10-18-tweedekamer-17.u332	It is incredibly complex and this issue has been going on for years. That is also the reason why my colleague Sjoerd Sjoerdsma and I have recently asked questions about this in Parliament. We just think this is a very important subject. Here's what I'm wondering. In 2014, another colleague of mine, Pia Dijkstra, already asked questions about this. The answer was indeed: the profession is now the first step. How come we're standing here four years later and we still don't know exactly what's going on? And can the Minister perhaps also outline what he, or at least "the Minister" in a state-law sense, has done over the past four years to ensure that there is some urgency in this matter?
ParlaMint-NL_2018-10-18-tweedekamer-17.u333	I thought I already said they were two professions, to put it simply, the plastic surgeons and the gynecologists, who couldn't agree on that protocol. And then it's not like we're gonna go over it with a whip. This is a complicated discussion. I also understand very well that the professionals need time for that, so I don't want to put this away with professionals either. Some things just take time, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u334	The last question about this, Mr. Raemakers.
ParlaMint-NL_2018-10-18-tweedekamer-17.u335	I now read in reply to Ploumen's questions that there is actually not a good clinical trial and that there is a need for it. I read that a good clinical trial of good quality could help to investigate safety and effectiveness. I'm guessing that trial wasn't there four years ago either. I wonder why they didn't act on it before, so they would be there.
ParlaMint-NL_2018-10-18-tweedekamer-17.u336	I'm repeating myself now, Mr. Chairman. I need that guidance first. There is no doubt that further research will be needed afterwards, but I do not want to wait and see. With the guidance in hand, I will ask the Healthcare Institute to speed up an opinion to us so that I can give a final answer to this Chamber, but also to the women with genital mutilation.
ParlaMint-NL_2018-10-18-tweedekamer-17.u337	Good. The Minister continues his speech.
ParlaMint-NL_2018-10-18-tweedekamer-17.u338	Another question from Mrs Ploumen was about the evidence of formal medical assistant. She asked to protect that title. The core of the BIG Act is to protect the professional title for the benefit of the patient, not for the benefit of the professional. That's the core of the BIG Act. That is why the BIG Act includes the logopedist or the dietician, but not the doctor's assistant. That doesn't affect the appreciation. I would like to conclude with Mrs Ploumen's words. But unlike a logopedist or a dietician, a doctor's assistant doesn't have his own authority because she works under the care of a doctor. This means that medical assistants are not eligible for BIG registration, simply because the BIG Act contains the protected professional qualifications of healthcare professionals who work independently or have their own powers; I do not know exactly how I can best express that. This does not affect the rating, but the BIG is not a quality stamp for the professional in that sense.
ParlaMint-NL_2018-10-18-tweedekamer-17.u339	One of the concerns of the medical assistants is not so much about their own status as about the risk of patients being assisted by a doctor's assistant who does not have the necessary training. I can imagine that the Minister thinks that this is a risk too. Let me come back to the reconstruction of these basic agreements. I have got the impression that there are all very smart, sensible men and women, and oilmen and creative minds, and really no sea too high... Then think of something else, Minister. If it doesn't fit in with that BIG registration, think of another way to protect that profession, so as not only to give the doctor's assistant himself a protected status but above all to the patient. That'll be my call.
ParlaMint-NL_2018-10-18-tweedekamer-17.u340	When it comes to the doctor's assistant, I think that the role for quality protection lies mainly with the Dutch Association of Doctors' Assistants and not through the BIG. And yet we will often get the question of whether the BIG can not be used as a quality registration tool. I'd like to think about that basic question, but I'm not ready to turn the BIG into a pick, a group of professionals at a group of professionals. The reason for the BIG is professional title protection for the patient, not for the professional. I don't want to get rid of that principle yet.
ParlaMint-NL_2018-10-18-tweedekamer-17.u341	When can we then see this fundamental reflection coming to us?
ParlaMint-NL_2018-10-18-tweedekamer-17.u342	It's principled, so I can take a little more time for it. I suggest that I put that on paper for you in the first half of 2019.
ParlaMint-NL_2018-10-18-tweedekamer-17.u343	Fine. Are you almost done yet?
ParlaMint-NL_2018-10-18-tweedekamer-17.u344	I'm almost there, Mr. Chairman. Then we'll just skip a few speakers; I hope no one gets angry! Mrs Sazias spoke about the importance of an annual drug assessment for patients with polypharmacism, i.e. a high level of drug use. The possibility for an annual medication assessment already exists and is also included in the package. When I read between the lines, Mrs. Sazias says: you should advertise a lot more for that annual medication assessment. I'd like to give you my word on that. I will. I'm gonna think about the way I'm gonna have to think about it, but I'm gonna do it. Mr. President, I'm almost there. Mr Van der Staaij has asked whether it is recognised that the legalization of supply to coffee shops leads to the standardisation of drug use and how this can be prevented. It is not Mr van der Staaij's words or mine that there can be a normalization of drug use. You know that Mr Knottnerus was in charge of a committee that advised us about an experiment with a closed coffee shop chain. Knottnerus has also made various suggestions for the prevention of cannabis use. I take very good note of that. That is what you will see in the development of the experiment, because normalization of drug use cannot be so normal. Finally, Mr President. In the form of an amendment, MP Kuzu has proposed the elimination of its own risk. I would like to point out that the bill has recently been adopted to freeze its own risk at €385 per year until 2021. The system is based on a high degree of solidarity between people who use little care and those who receive a lot of care. That current level of €385 is, in the opinion of the cabinet in that overall picture, a responsible, balanced choice, albeit a political choice. I would advise against that amendment.
ParlaMint-NL_2018-10-18-tweedekamer-17.u345	The amendment in part No. 23 of the member Kuzu is not recommended. Finally, there are three other Members who would like to put a question to the Minister for Medical Care. Mrs. Bergkamp.
ParlaMint-NL_2018-10-18-tweedekamer-17.u346	I also asked a question about the weed experiments. In the written answer we have read something about the planning: if it is right this year the legal treatment, for consultation the general measure of governance. I'm just curious how things are going and when we know about it, I don't need an exact date. Which municipalities are going to participate in these weed experiments.
ParlaMint-NL_2018-10-18-tweedekamer-17.u347	I don't know by heart. The preparation is going well. In the preparation together with Mr Grapperhaus, I see constructive work being done. I would like to answer any question about planning, but then I have to go back to people who really know how to do that. I would like to inform Mrs Bergkamp in writing.
ParlaMint-NL_2018-10-18-tweedekamer-17.u348	Mrs Bergkamp likes that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u349	It is quite right, but it is nice to hear that at least both directors have a lot of confidence in it and are probably also in conversation with municipalities and coffee shops and that the climate is so that they look forward to the weed experiments.
ParlaMint-NL_2018-10-18-tweedekamer-17.u350	Well, my answer just might have been a little less perceptive than Mrs Bergkamp said. I said there's constructive work going on. That's really good. I would like to answer the question of planning in writing.
ParlaMint-NL_2018-10-18-tweedekamer-17.u351	The Minister has just skipped a number of spokesmen and I was one of them, while I have asked a number of questions. I have received written answers and I would like to discuss them further with the Minister. First of all, the treatment of patients with long-term consciousness disorder. A report has been published on this subject, a worrying report: the concern for these people is not in order. In the written reply, the Minister deals mainly with treatment 25-plus, but it is also about an early diagnosis, it is about a mobile treatment team, it is about care after the first acute phase in the nursing home. There are all kinds of issues. There's no reference to that. I would like to include this in the report. I would ask the Minister to have more information on this in the near future, so that we can discuss it again at a later date. To be honest, this is a partial response to the questions I have asked.
ParlaMint-NL_2018-10-18-tweedekamer-17.u352	I am well aware that the question has been answered briefly, perhaps too short. I do not do justice to the subject either, but I am prepared to go into it in greater detail and more concrete terms, perhaps on the basis of further questions put by Mrs Dik-Faber.
ParlaMint-NL_2018-10-18-tweedekamer-17.u353	The Minister has also received a beautiful book, so who knows, maybe that will still provide inspiration in the autumn recess. My second point concerns the waste of care. The Minister referred to all kinds of waste in the care in his reply. For example, overtreatment, care that is not delivered in the right place, food waste. There's all kinds of waste in care. There's been a lot of whispering behind me, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u354	Mrs Dik-Faber has the floor. Ask your question.
ParlaMint-NL_2018-10-18-tweedekamer-17.u355	Thank you. The waste that my group has referred to is about the waste of medicine and medicine, and the Minister does not go into that at all. Is he prepared to look, with health insurers, with manufacturers, where that waste can be reduced?
ParlaMint-NL_2018-10-18-tweedekamer-17.u356	In the written reply, I mentioned this, albeit briefly. We made a green deal in the care sector very recently, last week, which, among other things, deals with this kind of waste. I would be happy to inform the Chamber more about this green deal so that I can clarify that it is not just a subject of years ago but from now on. Moreover, the issue of waste has also been mentioned in the main agreements, including the better-not-doing initiative. You can read that in the Task Force report. In addition, there are other initiatives aimed at preventing appropriate use and waste, thus promoting appropriate use and combating waste.
ParlaMint-NL_2018-10-18-tweedekamer-17.u357	Thank you, Mr. Chairman. You saw me begging.
ParlaMint-NL_2018-10-18-tweedekamer-17.u358	I'm too flexible, I can tell.
ParlaMint-NL_2018-10-18-tweedekamer-17.u359	The green deal has indeed been closed. The main agreements have been concluded, but the subject I mentioned is not included. A supplier does not deliver 3 patches but 3 boxes of 100 patches. That's on the patient and the health insurance company pays, but ultimately it's on all of us. I'm just not okay with that happening. The health insurance company doesn't have a visual on it. Would the Minister like to have a conversation? What else can the health insurance company do? Can manufacturers who knowingly and knowingly make these mistakes...
ParlaMint-NL_2018-10-18-tweedekamer-17.u360	The point is clear.
ParlaMint-NL_2018-10-18-tweedekamer-17.u361	... and deposit the bill with the patient, are not obliged to take back the products that have been wrongly delivered?
ParlaMint-NL_2018-10-18-tweedekamer-17.u362	I have regular consultations with the administrative parties that have concluded the main agreements. I would like to say to Mrs Dik-Faber that I will be presenting this issue of waste, so that it becomes clear that there is a waste in the main agreements.
ParlaMint-NL_2018-10-18-tweedekamer-17.u363	Let me take a look at Mrs Ellemeet, because perhaps her question was also about this. No, that's not the case, I understand. I just wanted to stop by the Side effects center, Lareb. The Minister replied to the question of the 10% discount. He's given a description of the trial, but I'm a little concerned. We did not have any signs that they would be cut short. Of course, everyone thinks it is important that the monitoring of the side effects of medicines is in order. Is the Minister prepared to solve that problem?
ParlaMint-NL_2018-10-18-tweedekamer-17.u364	No. I'm sticking to the answer I gave.
